context: The landscape around here has become a lot spikier. response:	Our depth is...
context: The goblets of giants...\the flat-creepers are responsible for that.\I also hear the landscape is blue due to the mixing of the vapor they put off with the light from the force field.\Oh...\You know, the part that supports the flat-creepers is actually a different plant.\The prey-trapping mechanisms of all these creepers stretching out before us wither up every 2,000 years...\But it's said that then the plants below all compete to grow,\giving rise to a completely new landscape. response:	So those are prey-trapping mechanisms?
context: the flat-creepers are responsible for that.\I also hear the landscape is blue due to the mixing of the vapor they put off with the light from the force field.\Oh...\You know, the part that supports the flat-creepers is actually a different plant.\The prey-trapping mechanisms of all these creepers stretching out before us wither up every 2,000 years...\But it's said that then the plants below all compete to grow,\giving rise to a completely new landscape.\So those are prey-trapping mechanisms? response:	Amazing...
context: I also hear the landscape is blue due to the mixing of the vapor they put off with the light from the force field.\Oh...\You know, the part that supports the flat-creepers is actually a different plant.\The prey-trapping mechanisms of all these creepers stretching out before us wither up every 2,000 years...\But it's said that then the plants below all compete to grow,\giving rise to a completely new landscape.\So those are prey-trapping mechanisms?\Amazing... response:	It's quite amazing...
context: Oh...\You know, the part that supports the flat-creepers is actually a different plant.\The prey-trapping mechanisms of all these creepers stretching out before us wither up every 2,000 years...\But it's said that then the plants below all compete to grow,\giving rise to a completely new landscape.\So those are prey-trapping mechanisms?\Amazing...\It's quite amazing... response:	We actually made it here to a place like this.
context: You know, the part that supports the flat-creepers is actually a different plant.\The prey-trapping mechanisms of all these creepers stretching out before us wither up every 2,000 years...\But it's said that then the plants below all compete to grow,\giving rise to a completely new landscape.\So those are prey-trapping mechanisms?\Amazing...\It's quite amazing...\We actually made it here to a place like this. response:	Compared to how I envisioned it in my dreams, it's so much damper.
context: The prey-trapping mechanisms of all these creepers stretching out before us wither up every 2,000 years...\But it's said that then the plants below all compete to grow,\giving rise to a completely new landscape.\So those are prey-trapping mechanisms?\Amazing...\It's quite amazing...\We actually made it here to a place like this.\Compared to how I envisioned it in my dreams, it's so much damper. response:	And my voice echoes like CRAZY!
context: But it's said that then the plants below all compete to grow,\giving rise to a completely new landscape.\So those are prey-trapping mechanisms?\Amazing...\It's quite amazing...\We actually made it here to a place like this.\Compared to how I envisioned it in my dreams, it's so much damper.\And my voice echoes like CRAZY! response:	It smells kinda vinegary here, too.
context: giving rise to a completely new landscape.\So those are prey-trapping mechanisms?\Amazing...\It's quite amazing...\We actually made it here to a place like this.\Compared to how I envisioned it in my dreams, it's so much damper.\And my voice echoes like CRAZY!\It smells kinda vinegary here, too. response:	Reg, let's go!
context: So those are prey-trapping mechanisms?\Amazing...\It's quite amazing...\We actually made it here to a place like this.\Compared to how I envisioned it in my dreams, it's so much damper.\And my voice echoes like CRAZY!\It smells kinda vinegary here, too.\Reg, let's go! response:	Riko...
context: Amazing...\It's quite amazing...\We actually made it here to a place like this.\Compared to how I envisioned it in my dreams, it's so much damper.\And my voice echoes like CRAZY!\It smells kinda vinegary here, too.\Reg, let's go!\Riko... response:	We need to find a decent place and make camp.
context: It's quite amazing...\We actually made it here to a place like this.\Compared to how I envisioned it in my dreams, it's so much damper.\And my voice echoes like CRAZY!\It smells kinda vinegary here, too.\Reg, let's go!\Riko...\We need to find a decent place and make camp. response:	You might not say it out loud, but I'm sure you understand...
context: We actually made it here to a place like this.\Compared to how I envisioned it in my dreams, it's so much damper.\And my voice echoes like CRAZY!\It smells kinda vinegary here, too.\Reg, let's go!\Riko...\We need to find a decent place and make camp.\You might not say it out loud, but I'm sure you understand... response:	That no matter how much we gloss over it, this place is right in the belly of the netherworld.
context: Compared to how I envisioned it in my dreams, it's so much damper.\And my voice echoes like CRAZY!\It smells kinda vinegary here, too.\Reg, let's go!\Riko...\We need to find a decent place and make camp.\You might not say it out loud, but I'm sure you understand...\That no matter how much we gloss over it, this place is right in the belly of the netherworld. response:	The strain of ascending in the fourth layer makes you bleed out of every orifice in your body.
context: And my voice echoes like CRAZY!\It smells kinda vinegary here, too.\Reg, let's go!\Riko...\We need to find a decent place and make camp.\You might not say it out loud, but I'm sure you understand...\That no matter how much we gloss over it, this place is right in the belly of the netherworld.\The strain of ascending in the fourth layer makes you bleed out of every orifice in your body. response:	It truly is a curse...
context: It smells kinda vinegary here, too.\Reg, let's go!\Riko...\We need to find a decent place and make camp.\You might not say it out loud, but I'm sure you understand...\That no matter how much we gloss over it, this place is right in the belly of the netherworld.\The strain of ascending in the fourth layer makes you bleed out of every orifice in your body.\It truly is a curse... response:	If Riko's body was to undergo that, it's likely that...
context: Reg, let's go!\Riko...\We need to find a decent place and make camp.\You might not say it out loud, but I'm sure you understand...\That no matter how much we gloss over it, this place is right in the belly of the netherworld.\The strain of ascending in the fourth layer makes you bleed out of every orifice in your body.\It truly is a curse...\If Riko's body was to undergo that, it's likely that... response:	No matter what...
context: Riko...\We need to find a decent place and make camp.\You might not say it out loud, but I'm sure you understand...\That no matter how much we gloss over it, this place is right in the belly of the netherworld.\The strain of ascending in the fourth layer makes you bleed out of every orifice in your body.\It truly is a curse...\If Riko's body was to undergo that, it's likely that...\No matter what... response:	protect her!
context: We need to find a decent place and make camp.\You might not say it out loud, but I'm sure you understand...\That no matter how much we gloss over it, this place is right in the belly of the netherworld.\The strain of ascending in the fourth layer makes you bleed out of every orifice in your body.\It truly is a curse...\If Riko's body was to undergo that, it's likely that...\No matter what...\protect her! response:	The fourth layer...
context: You might not say it out loud, but I'm sure you understand...\That no matter how much we gloss over it, this place is right in the belly of the netherworld.\The strain of ascending in the fourth layer makes you bleed out of every orifice in your body.\It truly is a curse...\If Riko's body was to undergo that, it's likely that...\No matter what...\protect her!\The fourth layer... response:	Commonly referred to as part of the depths, the probability of returning from this layer is so low
context: That no matter how much we gloss over it, this place is right in the belly of the netherworld.\The strain of ascending in the fourth layer makes you bleed out of every orifice in your body.\It truly is a curse...\If Riko's body was to undergo that, it's likely that...\No matter what...\protect her!\The fourth layer...\Commonly referred to as part of the depths, the probability of returning from this layer is so low response:	that the third layer can't even begin to compare.
context: The strain of ascending in the fourth layer makes you bleed out of every orifice in your body.\It truly is a curse...\If Riko's body was to undergo that, it's likely that...\No matter what...\protect her!\The fourth layer...\Commonly referred to as part of the depths, the probability of returning from this layer is so low\that the third layer can't even begin to compare. response:	Sprawling out here are the netherworld's goblets, which fill up with and spill out
context: It truly is a curse...\If Riko's body was to undergo that, it's likely that...\No matter what...\protect her!\The fourth layer...\Commonly referred to as part of the depths, the probability of returning from this layer is so low\that the third layer can't even begin to compare.\Sprawling out here are the netherworld's goblets, which fill up with and spill out response:	various lives and aspirations.
context: If Riko's body was to undergo that, it's likely that...\No matter what...\protect her!\The fourth layer...\Commonly referred to as part of the depths, the probability of returning from this layer is so low\that the third layer can't even begin to compare.\Sprawling out here are the netherworld's goblets, which fill up with and spill out\various lives and aspirations. response:	Will those who reach out their hands be presented with fine spirits that quench their thirst,
context: No matter what...\protect her!\The fourth layer...\Commonly referred to as part of the depths, the probability of returning from this layer is so low\that the third layer can't even begin to compare.\Sprawling out here are the netherworld's goblets, which fill up with and spill out\various lives and aspirations.\Will those who reach out their hands be presented with fine spirits that quench their thirst, response:	or will they instead receive a burning poison?
context: protect her!\The fourth layer...\Commonly referred to as part of the depths, the probability of returning from this layer is so low\that the third layer can't even begin to compare.\Sprawling out here are the netherworld's goblets, which fill up with and spill out\various lives and aspirations.\Will those who reach out their hands be presented with fine spirits that quench their thirst,\or will they instead receive a burning poison? response:	Daremo ga sakaraezu ni mogutteiku
context: The fourth layer...\Commonly referred to as part of the depths, the probability of returning from this layer is so low\that the third layer can't even begin to compare.\Sprawling out here are the netherworld's goblets, which fill up with and spill out\various lives and aspirations.\Will those who reach out their hands be presented with fine spirits that quench their thirst,\or will they instead receive a burning poison?\Daremo ga sakaraezu ni mogutteiku response:	Sono me o tomoshibi yori kagayakasete
context: Commonly referred to as part of the depths, the probability of returning from this layer is so low\that the third layer can't even begin to compare.\Sprawling out here are the netherworld's goblets, which fill up with and spill out\various lives and aspirations.\Will those who reach out their hands be presented with fine spirits that quench their thirst,\or will they instead receive a burning poison?\Daremo ga sakaraezu ni mogutteiku\Sono me o tomoshibi yori kagayakasete response:	Mezasu saki wa fukaku
context: that the third layer can't even begin to compare.\Sprawling out here are the netherworld's goblets, which fill up with and spill out\various lives and aspirations.\Will those who reach out their hands be presented with fine spirits that quench their thirst,\or will they instead receive a burning poison?\Daremo ga sakaraezu ni mogutteiku\Sono me o tomoshibi yori kagayakasete\Mezasu saki wa fukaku response:	Massugu ni mayoikomu
context: Sprawling out here are the netherworld's goblets, which fill up with and spill out\various lives and aspirations.\Will those who reach out their hands be presented with fine spirits that quench their thirst,\or will they instead receive a burning poison?\Daremo ga sakaraezu ni mogutteiku\Sono me o tomoshibi yori kagayakasete\Mezasu saki wa fukaku\Massugu ni mayoikomu response:	Kuchiaketa naraku no wana
context: various lives and aspirations.\Will those who reach out their hands be presented with fine spirits that quench their thirst,\or will they instead receive a burning poison?\Daremo ga sakaraezu ni mogutteiku\Sono me o tomoshibi yori kagayakasete\Mezasu saki wa fukaku\Massugu ni mayoikomu\Kuchiaketa naraku no wana response:	Shinjitsu no ato o oikakeyou
context: Will those who reach out their hands be presented with fine spirits that quench their thirst,\or will they instead receive a burning poison?\Daremo ga sakaraezu ni mogutteiku\Sono me o tomoshibi yori kagayakasete\Mezasu saki wa fukaku\Massugu ni mayoikomu\Kuchiaketa naraku no wana\Shinjitsu no ato o oikakeyou response:	Ima kotae ga mitsukaru nara zenbu nakushitemo ii
context: or will they instead receive a burning poison?\Daremo ga sakaraezu ni mogutteiku\Sono me o tomoshibi yori kagayakasete\Mezasu saki wa fukaku\Massugu ni mayoikomu\Kuchiaketa naraku no wana\Shinjitsu no ato o oikakeyou\Ima kotae ga mitsukaru nara zenbu nakushitemo ii response:	Sono koe o hanasanai youni kodama ga mada hibiiteru
context: Daremo ga sakaraezu ni mogutteiku\Sono me o tomoshibi yori kagayakasete\Mezasu saki wa fukaku\Massugu ni mayoikomu\Kuchiaketa naraku no wana\Shinjitsu no ato o oikakeyou\Ima kotae ga mitsukaru nara zenbu nakushitemo ii\Sono koe o hanasanai youni kodama ga mada hibiiteru response:	Rashinban wa zutto
context: Sono me o tomoshibi yori kagayakasete\Mezasu saki wa fukaku\Massugu ni mayoikomu\Kuchiaketa naraku no wana\Shinjitsu no ato o oikakeyou\Ima kotae ga mitsukaru nara zenbu nakushitemo ii\Sono koe o hanasanai youni kodama ga mada hibiiteru\Rashinban wa zutto response:	Yami o sashita mama
context: Mezasu saki wa fukaku\Massugu ni mayoikomu\Kuchiaketa naraku no wana\Shinjitsu no ato o oikakeyou\Ima kotae ga mitsukaru nara zenbu nakushitemo ii\Sono koe o hanasanai youni kodama ga mada hibiiteru\Rashinban wa zutto\Yami o sashita mama response:	Nigeba no nai
context: Massugu ni mayoikomu\Kuchiaketa naraku no wana\Shinjitsu no ato o oikakeyou\Ima kotae ga mitsukaru nara zenbu nakushitemo ii\Sono koe o hanasanai youni kodama ga mada hibiiteru\Rashinban wa zutto\Yami o sashita mama\Nigeba no nai response:	Hou e
context: Kuchiaketa naraku no wana\Shinjitsu no ato o oikakeyou\Ima kotae ga mitsukaru nara zenbu nakushitemo ii\Sono koe o hanasanai youni kodama ga mada hibiiteru\Rashinban wa zutto\Yami o sashita mama\Nigeba no nai\Hou e response:	Sore ga noroi demo
context: Shinjitsu no ato o oikakeyou\Ima kotae ga mitsukaru nara zenbu nakushitemo ii\Sono koe o hanasanai youni kodama ga mada hibiiteru\Rashinban wa zutto\Yami o sashita mama\Nigeba no nai\Hou e\Sore ga noroi demo response:	Kodou wa honmono
context: Ima kotae ga mitsukaru nara zenbu nakushitemo ii\Sono koe o hanasanai youni kodama ga mada hibiiteru\Rashinban wa zutto\Yami o sashita mama\Nigeba no nai\Hou e\Sore ga noroi demo\Kodou wa honmono response:	Nidoto akogare wa tomaranai
context: Sono koe o hanasanai youni kodama ga mada hibiiteru\Rashinban wa zutto\Yami o sashita mama\Nigeba no nai\Hou e\Sore ga noroi demo\Kodou wa honmono\Nidoto akogare wa tomaranai response:	The final section of the third layer had those spiky eggs, right?
context: Rashinban wa zutto\Yami o sashita mama\Nigeba no nai\Hou e\Sore ga noroi demo\Kodou wa honmono\Nidoto akogare wa tomaranai\The final section of the third layer had those spiky eggs, right? response:	Yeah...
context: Yami o sashita mama\Nigeba no nai\Hou e\Sore ga noroi demo\Kodou wa honmono\Nidoto akogare wa tomaranai\The final section of the third layer had those spiky eggs, right?\Yeah... response:	If one hatches...
context: Nigeba no nai\Hou e\Sore ga noroi demo\Kodou wa honmono\Nidoto akogare wa tomaranai\The final section of the third layer had those spiky eggs, right?\Yeah...\If one hatches... response:	I hear it'll become one of those squid-looking things.
context: Hou e\Sore ga noroi demo\Kodou wa honmono\Nidoto akogare wa tomaranai\The final section of the third layer had those spiky eggs, right?\Yeah...\If one hatches...\I hear it'll become one of those squid-looking things. response:	That species still hasn't been given a name, though...
context: Sore ga noroi demo\Kodou wa honmono\Nidoto akogare wa tomaranai\The final section of the third layer had those spiky eggs, right?\Yeah...\If one hatches...\I hear it'll become one of those squid-looking things.\That species still hasn't been given a name, though... response:	But, you know, less than ten percent of the creatures in the Abyss have even been named.
context: Kodou wa honmono\Nidoto akogare wa tomaranai\The final section of the third layer had those spiky eggs, right?\Yeah...\If one hatches...\I hear it'll become one of those squid-looking things.\That species still hasn't been given a name, though...\But, you know, less than ten percent of the creatures in the Abyss have even been named. response:	There are tens of thousands of species that-
context: Nidoto akogare wa tomaranai\The final section of the third layer had those spiky eggs, right?\Yeah...\If one hatches...\I hear it'll become one of those squid-looking things.\That species still hasn't been given a name, though...\But, you know, less than ten percent of the creatures in the Abyss have even been named.\There are tens of thousands of species that- response:	Shh!
context: The final section of the third layer had those spiky eggs, right?\Yeah...\If one hatches...\I hear it'll become one of those squid-looking things.\That species still hasn't been given a name, though...\But, you know, less than ten percent of the creatures in the Abyss have even been named.\There are tens of thousands of species that-\Shh! response:	What's wrong?
context: Yeah...\If one hatches...\I hear it'll become one of those squid-looking things.\That species still hasn't been given a name, though...\But, you know, less than ten percent of the creatures in the Abyss have even been named.\There are tens of thousands of species that-\Shh!\What's wrong? response:	Never mind...
context: If one hatches...\I hear it'll become one of those squid-looking things.\That species still hasn't been given a name, though...\But, you know, less than ten percent of the creatures in the Abyss have even been named.\There are tens of thousands of species that-\Shh!\What's wrong?\Never mind... response:	I'm sorry.
context: I hear it'll become one of those squid-looking things.\That species still hasn't been given a name, though...\But, you know, less than ten percent of the creatures in the Abyss have even been named.\There are tens of thousands of species that-\Shh!\What's wrong?\Never mind...\I'm sorry. response:	For a little while now, I've been sensing a strange presence...
context: That species still hasn't been given a name, though...\But, you know, less than ten percent of the creatures in the Abyss have even been named.\There are tens of thousands of species that-\Shh!\What's wrong?\Never mind...\I'm sorry.\For a little while now, I've been sensing a strange presence... response:	Huh?
context: But, you know, less than ten percent of the creatures in the Abyss have even been named.\There are tens of thousands of species that-\Shh!\What's wrong?\Never mind...\I'm sorry.\For a little while now, I've been sensing a strange presence...\Huh? response:	What is it? A creature?
context: There are tens of thousands of species that-\Shh!\What's wrong?\Never mind...\I'm sorry.\For a little while now, I've been sensing a strange presence...\Huh?\What is it? A creature? response:	Don't tell me it's a White Whistle...
context: Shh!\What's wrong?\Never mind...\I'm sorry.\For a little while now, I've been sensing a strange presence...\Huh?\What is it? A creature?\Don't tell me it's a White Whistle... response:	It only moves while we're talking.
context: What's wrong?\Never mind...\I'm sorry.\For a little while now, I've been sensing a strange presence...\Huh?\What is it? A creature?\Don't tell me it's a White Whistle...\It only moves while we're talking. response:	It's not moving right now...
context: Never mind...\I'm sorry.\For a little while now, I've been sensing a strange presence...\Huh?\What is it? A creature?\Don't tell me it's a White Whistle...\It only moves while we're talking.\It's not moving right now... response:	But it very likely has good hearing... And I bet it can understand our speech, too.
context: I'm sorry.\For a little while now, I've been sensing a strange presence...\Huh?\What is it? A creature?\Don't tell me it's a White Whistle...\It only moves while we're talking.\It's not moving right now...\But it very likely has good hearing... And I bet it can understand our speech, too. response:	I suppose it could be also be another cave raider other than just a White Whistle...
context: For a little while now, I've been sensing a strange presence...\Huh?\What is it? A creature?\Don't tell me it's a White Whistle...\It only moves while we're talking.\It's not moving right now...\But it very likely has good hearing... And I bet it can understand our speech, too.\I suppose it could be also be another cave raider other than just a White Whistle... response:	It's certainly strange...
context: Huh?\What is it? A creature?\Don't tell me it's a White Whistle...\It only moves while we're talking.\It's not moving right now...\But it very likely has good hearing... And I bet it can understand our speech, too.\I suppose it could be also be another cave raider other than just a White Whistle...\It's certainly strange... response:	I can't even begin to pin down its position.
context: What is it? A creature?\Don't tell me it's a White Whistle...\It only moves while we're talking.\It's not moving right now...\But it very likely has good hearing... And I bet it can understand our speech, too.\I suppose it could be also be another cave raider other than just a White Whistle...\It's certainly strange...\I can't even begin to pin down its position. response:	It's kind of eerie...
context: Don't tell me it's a White Whistle...\It only moves while we're talking.\It's not moving right now...\But it very likely has good hearing... And I bet it can understand our speech, too.\I suppose it could be also be another cave raider other than just a White Whistle...\It's certainly strange...\I can't even begin to pin down its position.\It's kind of eerie... response:	Maybe we should get out of this place...
context: It only moves while we're talking.\It's not moving right now...\But it very likely has good hearing... And I bet it can understand our speech, too.\I suppose it could be also be another cave raider other than just a White Whistle...\It's certainly strange...\I can't even begin to pin down its position.\It's kind of eerie...\Maybe we should get out of this place... response:	Good idea!
context: It's not moving right now...\But it very likely has good hearing... And I bet it can understand our speech, too.\I suppose it could be also be another cave raider other than just a White Whistle...\It's certainly strange...\I can't even begin to pin down its position.\It's kind of eerie...\Maybe we should get out of this place...\Good idea! response:	These umbrellas and the steam provide good cover, but walking here is difficult and visibility's bad.
context: But it very likely has good hearing... And I bet it can understand our speech, too.\I suppose it could be also be another cave raider other than just a White Whistle...\It's certainly strange...\I can't even begin to pin down its position.\It's kind of eerie...\Maybe we should get out of this place...\Good idea!\These umbrellas and the steam provide good cover, but walking here is difficult and visibility's bad. response:	Riko, you alright?
context: I suppose it could be also be another cave raider other than just a White Whistle...\It's certainly strange...\I can't even begin to pin down its position.\It's kind of eerie...\Maybe we should get out of this place...\Good idea!\These umbrellas and the steam provide good cover, but walking here is difficult and visibility's bad.\Riko, you alright? response:	Yeah...
context: It's certainly strange...\I can't even begin to pin down its position.\It's kind of eerie...\Maybe we should get out of this place...\Good idea!\These umbrellas and the steam provide good cover, but walking here is difficult and visibility's bad.\Riko, you alright?\Yeah... response:	At the very least, we need to find somewhere we can camp.
context: I can't even begin to pin down its position.\It's kind of eerie...\Maybe we should get out of this place...\Good idea!\These umbrellas and the steam provide good cover, but walking here is difficult and visibility's bad.\Riko, you alright?\Yeah...\At the very least, we need to find somewhere we can camp. response:	What's the matter, Reg?
context: It's kind of eerie...\Maybe we should get out of this place...\Good idea!\These umbrellas and the steam provide good cover, but walking here is difficult and visibility's bad.\Riko, you alright?\Yeah...\At the very least, we need to find somewhere we can camp.\What's the matter, Reg? response:	Was it this one?!
context: Maybe we should get out of this place...\Good idea!\These umbrellas and the steam provide good cover, but walking here is difficult and visibility's bad.\Riko, you alright?\Yeah...\At the very least, we need to find somewhere we can camp.\What's the matter, Reg?\Was it this one?! response:	No, don't!
context: Good idea!\These umbrellas and the steam provide good cover, but walking here is difficult and visibility's bad.\Riko, you alright?\Yeah...\At the very least, we need to find somewhere we can camp.\What's the matter, Reg?\Was it this one?!\No, don't! response:	Reg, run!
context: These umbrellas and the steam provide good cover, but walking here is difficult and visibility's bad.\Riko, you alright?\Yeah...\At the very least, we need to find somewhere we can camp.\What's the matter, Reg?\Was it this one?!\No, don't!\Reg, run! response:	That's an orbed-piercer!
context: Riko, you alright?\Yeah...\At the very least, we need to find somewhere we can camp.\What's the matter, Reg?\Was it this one?!\No, don't!\Reg, run!\That's an orbed-piercer! response:	Reg, don't fight it!
context: Yeah...\At the very least, we need to find somewhere we can camp.\What's the matter, Reg?\Was it this one?!\No, don't!\Reg, run!\That's an orbed-piercer!\Reg, don't fight it! response:	I was told that an orbed-piercer's spines can penetrate even steel...
context: At the very least, we need to find somewhere we can camp.\What's the matter, Reg?\Was it this one?!\No, don't!\Reg, run!\That's an orbed-piercer!\Reg, don't fight it!\I was told that an orbed-piercer's spines can penetrate even steel... response:	They're also laced with poison, and more than one hundred cave raiders have already been kill-
context: What's the matter, Reg?\Was it this one?!\No, don't!\Reg, run!\That's an orbed-piercer!\Reg, don't fight it!\I was told that an orbed-piercer's spines can penetrate even steel...\They're also laced with poison, and more than one hundred cave raiders have already been kill- response:	I didn't sense it until it got close!
context: Was it this one?!\No, don't!\Reg, run!\That's an orbed-piercer!\Reg, don't fight it!\I was told that an orbed-piercer's spines can penetrate even steel...\They're also laced with poison, and more than one hundred cave raiders have already been kill-\I didn't sense it until it got close! response:	So this is a beast of the depths, huh?!
context: No, don't!\Reg, run!\That's an orbed-piercer!\Reg, don't fight it!\I was told that an orbed-piercer's spines can penetrate even steel...\They're also laced with poison, and more than one hundred cave raiders have already been kill-\I didn't sense it until it got close!\So this is a beast of the depths, huh?! response:	Wha...?!
context: Reg, run!\That's an orbed-piercer!\Reg, don't fight it!\I was told that an orbed-piercer's spines can penetrate even steel...\They're also laced with poison, and more than one hundred cave raiders have already been kill-\I didn't sense it until it got close!\So this is a beast of the depths, huh?!\Wha...?! response:	The backpack...!
context: That's an orbed-piercer!\Reg, don't fight it!\I was told that an orbed-piercer's spines can penetrate even steel...\They're also laced with poison, and more than one hundred cave raiders have already been kill-\I didn't sense it until it got close!\So this is a beast of the depths, huh?!\Wha...?!\The backpack...! response:	I thought I dodged that...
context: Reg, don't fight it!\I was told that an orbed-piercer's spines can penetrate even steel...\They're also laced with poison, and more than one hundred cave raiders have already been kill-\I didn't sense it until it got close!\So this is a beast of the depths, huh?!\Wha...?!\The backpack...!\I thought I dodged that... response:	It's fast!
context: I was told that an orbed-piercer's spines can penetrate even steel...\They're also laced with poison, and more than one hundred cave raiders have already been kill-\I didn't sense it until it got close!\So this is a beast of the depths, huh?!\Wha...?!\The backpack...!\I thought I dodged that...\It's fast! response:	Or rather...
context: They're also laced with poison, and more than one hundred cave raiders have already been kill-\I didn't sense it until it got close!\So this is a beast of the depths, huh?!\Wha...?!\The backpack...!\I thought I dodged that...\It's fast!\Or rather... response:	it predicted my line of retreat!
context: I didn't sense it until it got close!\So this is a beast of the depths, huh?!\Wha...?!\The backpack...!\I thought I dodged that...\It's fast!\Or rather...\it predicted my line of retreat! response:	Reg, the Blaze Reap is...!
context: So this is a beast of the depths, huh?!\Wha...?!\The backpack...!\I thought I dodged that...\It's fast!\Or rather...\it predicted my line of retreat!\Reg, the Blaze Reap is...! response:	It's down by its feet!
context: Wha...?!\The backpack...!\I thought I dodged that...\It's fast!\Or rather...\it predicted my line of retreat!\Reg, the Blaze Reap is...!\It's down by its feet! response:	This is bad...
context: The backpack...!\I thought I dodged that...\It's fast!\Or rather...\it predicted my line of retreat!\Reg, the Blaze Reap is...!\It's down by its feet!\This is bad... response:	What's with this creature?!
context: I thought I dodged that...\It's fast!\Or rather...\it predicted my line of retreat!\Reg, the Blaze Reap is...!\It's down by its feet!\This is bad...\What's with this creature?! response:	Does it actually know what that thing is?!
context: It's fast!\Or rather...\it predicted my line of retreat!\Reg, the Blaze Reap is...!\It's down by its feet!\This is bad...\What's with this creature?!\Does it actually know what that thing is?! response:	Be careful, Reg!
context: Or rather...\it predicted my line of retreat!\Reg, the Blaze Reap is...!\It's down by its feet!\This is bad...\What's with this creature?!\Does it actually know what that thing is?!\Be careful, Reg! response:	The primeval creatures of the depths that Ozen was talking about have amazing intuition like that.
context: it predicted my line of retreat!\Reg, the Blaze Reap is...!\It's down by its feet!\This is bad...\What's with this creature?!\Does it actually know what that thing is?!\Be careful, Reg!\The primeval creatures of the depths that Ozen was talking about have amazing intuition like that. response:	Here it comes!
context: Reg, the Blaze Reap is...!\It's down by its feet!\This is bad...\What's with this creature?!\Does it actually know what that thing is?!\Be careful, Reg!\The primeval creatures of the depths that Ozen was talking about have amazing intuition like that.\Here it comes! response:	Reg, take this!
context: It's down by its feet!\This is bad...\What's with this creature?!\Does it actually know what that thing is?!\Be careful, Reg!\The primeval creatures of the depths that Ozen was talking about have amazing intuition like that.\Here it comes!\Reg, take this! response:	It should recoil from things bigger than itself!
context: This is bad...\What's with this creature?!\Does it actually know what that thing is?!\Be careful, Reg!\The primeval creatures of the depths that Ozen was talking about have amazing intuition like that.\Here it comes!\Reg, take this!\It should recoil from things bigger than itself! response:	So, use this Scaled Umbrella!
