context: If doing that means no one will cry, then... response:	You certainly took your time getting here, Emiya Shirou.
context: But no Heroic Spirit is summoned by chance.\A link is always required between summoner and spirit.\If Rin had no catalyst, that means...\Yes.\The summoned Heroic Spirit, not the summoner, possessed the catalyst.\The concept of time does not exist where the Heroic Spirits are recorded.\Heroic Spirits from the past are treated identically to those of the future.\In short... response:	Yes.
context: A link is always required between summoner and spirit.\If Rin had no catalyst, that means...\Yes.\The summoned Heroic Spirit, not the summoner, possessed the catalyst.\The concept of time does not exist where the Heroic Spirits are recorded.\Heroic Spirits from the past are treated identically to those of the future.\In short...\Yes. response:	It means that it's possible to summon someone who exists in the future.
context: If Rin had no catalyst, that means...\Yes.\The summoned Heroic Spirit, not the summoner, possessed the catalyst.\The concept of time does not exist where the Heroic Spirits are recorded.\Heroic Spirits from the past are treated identically to those of the future.\In short...\Yes.\It means that it's possible to summon someone who exists in the future. response:	Archer...
context: Yes.\The summoned Heroic Spirit, not the summoner, possessed the catalyst.\The concept of time does not exist where the Heroic Spirits are recorded.\Heroic Spirits from the past are treated identically to those of the future.\In short...\Yes.\It means that it's possible to summon someone who exists in the future.\Archer... response:	Where's Tohsaka?
context: The summoned Heroic Spirit, not the summoner, possessed the catalyst.\The concept of time does not exist where the Heroic Spirits are recorded.\Heroic Spirits from the past are treated identically to those of the future.\In short...\Yes.\It means that it's possible to summon someone who exists in the future.\Archer...\Where's Tohsaka? response:	I handed her over to Matou Shinji when he stopped by earlier.
context: The concept of time does not exist where the Heroic Spirits are recorded.\Heroic Spirits from the past are treated identically to those of the future.\In short...\Yes.\It means that it's possible to summon someone who exists in the future.\Archer...\Where's Tohsaka?\I handed her over to Matou Shinji when he stopped by earlier. response:	You what?
context: Heroic Spirits from the past are treated identically to those of the future.\In short...\Yes.\It means that it's possible to summon someone who exists in the future.\Archer...\Where's Tohsaka?\I handed her over to Matou Shinji when he stopped by earlier.\You what? response:	Relax, kid.
context: In short...\Yes.\It means that it's possible to summon someone who exists in the future.\Archer...\Where's Tohsaka?\I handed her over to Matou Shinji when he stopped by earlier.\You what?\Relax, kid. response:	Leave the little lady to me.
context: Yes.\It means that it's possible to summon someone who exists in the future.\Archer...\Where's Tohsaka?\I handed her over to Matou Shinji when he stopped by earlier.\You what?\Relax, kid.\Leave the little lady to me. response:	Lancer?
context: It means that it's possible to summon someone who exists in the future.\Archer...\Where's Tohsaka?\I handed her over to Matou Shinji when he stopped by earlier.\You what?\Relax, kid.\Leave the little lady to me.\Lancer? response:	I have my Master's orders, you see.
context: Archer...\Where's Tohsaka?\I handed her over to Matou Shinji when he stopped by earlier.\You what?\Relax, kid.\Leave the little lady to me.\Lancer?\I have my Master's orders, you see. response:	Keeping her alive has always been my reason for working with you.
context: Where's Tohsaka?\I handed her over to Matou Shinji when he stopped by earlier.\You what?\Relax, kid.\Leave the little lady to me.\Lancer?\I have my Master's orders, you see.\Keeping her alive has always been my reason for working with you. response:	Actually, it's been really nice.
context: I handed her over to Matou Shinji when he stopped by earlier.\You what?\Relax, kid.\Leave the little lady to me.\Lancer?\I have my Master's orders, you see.\Keeping her alive has always been my reason for working with you.\Actually, it's been really nice. response:	For me, it's rare to enjoy a task I've been given.
context: You what?\Relax, kid.\Leave the little lady to me.\Lancer?\I have my Master's orders, you see.\Keeping her alive has always been my reason for working with you.\Actually, it's been really nice.\For me, it's rare to enjoy a task I've been given. response:	So until this is over, let me look after her.
context: Relax, kid.\Leave the little lady to me.\Lancer?\I have my Master's orders, you see.\Keeping her alive has always been my reason for working with you.\Actually, it's been really nice.\For me, it's rare to enjoy a task I've been given.\So until this is over, let me look after her. response:	After that, we'll be enemies again.
context: Leave the little lady to me.\Lancer?\I have my Master's orders, you see.\Keeping her alive has always been my reason for working with you.\Actually, it's been really nice.\For me, it's rare to enjoy a task I've been given.\So until this is over, let me look after her.\After that, we'll be enemies again. response:	Take care of Tohsaka.
context: Lancer?\I have my Master's orders, you see.\Keeping her alive has always been my reason for working with you.\Actually, it's been really nice.\For me, it's rare to enjoy a task I've been given.\So until this is over, let me look after her.\After that, we'll be enemies again.\Take care of Tohsaka. response:	Will do.
context: I have my Master's orders, you see.\Keeping her alive has always been my reason for working with you.\Actually, it's been really nice.\For me, it's rare to enjoy a task I've been given.\So until this is over, let me look after her.\After that, we'll be enemies again.\Take care of Tohsaka.\Will do. response:	I shall remain here, Lancer.
context: Keeping her alive has always been my reason for working with you.\Actually, it's been really nice.\For me, it's rare to enjoy a task I've been given.\So until this is over, let me look after her.\After that, we'll be enemies again.\Take care of Tohsaka.\Will do.\I shall remain here, Lancer. response:	Are you serious?
context: Actually, it's been really nice.\For me, it's rare to enjoy a task I've been given.\So until this is over, let me look after her.\After that, we'll be enemies again.\Take care of Tohsaka.\Will do.\I shall remain here, Lancer.\Are you serious? response:	Your Master is the little lady now.
context: For me, it's rare to enjoy a task I've been given.\So until this is over, let me look after her.\After that, we'll be enemies again.\Take care of Tohsaka.\Will do.\I shall remain here, Lancer.\Are you serious?\Your Master is the little lady now. response:	I understand that.
context: So until this is over, let me look after her.\After that, we'll be enemies again.\Take care of Tohsaka.\Will do.\I shall remain here, Lancer.\Are you serious?\Your Master is the little lady now.\I understand that. response:	But I must bear witness to this battle.
context: After that, we'll be enemies again.\Take care of Tohsaka.\Will do.\I shall remain here, Lancer.\Are you serious?\Your Master is the little lady now.\I understand that.\But I must bear witness to this battle. response:	Really now?
context: Take care of Tohsaka.\Will do.\I shall remain here, Lancer.\Are you serious?\Your Master is the little lady now.\I understand that.\But I must bear witness to this battle.\Really now? response:	Have it your way, then.
context: Will do.\I shall remain here, Lancer.\Are you serious?\Your Master is the little lady now.\I understand that.\But I must bear witness to this battle.\Really now?\Have it your way, then. response:	Bear witness, huh?
context: I shall remain here, Lancer.\Are you serious?\Your Master is the little lady now.\I understand that.\But I must bear witness to this battle.\Really now?\Have it your way, then.\Bear witness, huh? response:	I'm glad to hear that.
context: Are you serious?\Your Master is the little lady now.\I understand that.\But I must bear witness to this battle.\Really now?\Have it your way, then.\Bear witness, huh?\I'm glad to hear that. response:	If you interfered now, severing my pact with Rin would have been for nothing, Saber.
context: Your Master is the little lady now.\I understand that.\But I must bear witness to this battle.\Really now?\Have it your way, then.\Bear witness, huh?\I'm glad to hear that.\If you interfered now, severing my pact with Rin would have been for nothing, Saber. response:	Yes.
context: I understand that.\But I must bear witness to this battle.\Really now?\Have it your way, then.\Bear witness, huh?\I'm glad to hear that.\If you interfered now, severing my pact with Rin would have been for nothing, Saber.\Yes. response:	Come what may, I shan't interfere with your battle with Shirou.
context: But I must bear witness to this battle.\Really now?\Have it your way, then.\Bear witness, huh?\I'm glad to hear that.\If you interfered now, severing my pact with Rin would have been for nothing, Saber.\Yes.\Come what may, I shan't interfere with your battle with Shirou. response:	But in return, I want you to answer one thing.
context: Really now?\Have it your way, then.\Bear witness, huh?\I'm glad to hear that.\If you interfered now, severing my pact with Rin would have been for nothing, Saber.\Yes.\Come what may, I shan't interfere with your battle with Shirou.\But in return, I want you to answer one thing. response:	Why are you so intent on killing Shirou?
context: Have it your way, then.\Bear witness, huh?\I'm glad to hear that.\If you interfered now, severing my pact with Rin would have been for nothing, Saber.\Yes.\Come what may, I shan't interfere with your battle with Shirou.\But in return, I want you to answer one thing.\Why are you so intent on killing Shirou? response:	Why do you even ask?
context: Bear witness, huh?\I'm glad to hear that.\If you interfered now, severing my pact with Rin would have been for nothing, Saber.\Yes.\Come what may, I shan't interfere with your battle with Shirou.\But in return, I want you to answer one thing.\Why are you so intent on killing Shirou?\Why do you even ask? response:	Just as he can't accept me, I can't accept him. That's all.
context: I'm glad to hear that.\If you interfered now, severing my pact with Rin would have been for nothing, Saber.\Yes.\Come what may, I shan't interfere with your battle with Shirou.\But in return, I want you to answer one thing.\Why are you so intent on killing Shirou?\Why do you even ask?\Just as he can't accept me, I can't accept him. That's all. response:	That cannot be true!
context: If you interfered now, severing my pact with Rin would have been for nothing, Saber.\Yes.\Come what may, I shan't interfere with your battle with Shirou.\But in return, I want you to answer one thing.\Why are you so intent on killing Shirou?\Why do you even ask?\Just as he can't accept me, I can't accept him. That's all.\That cannot be true! response:	You should embody Emiya Shirou's ideals in Heroic Spirit form.
context: Yes.\Come what may, I shan't interfere with your battle with Shirou.\But in return, I want you to answer one thing.\Why are you so intent on killing Shirou?\Why do you even ask?\Just as he can't accept me, I can't accept him. That's all.\That cannot be true!\You should embody Emiya Shirou's ideals in Heroic Spirit form. response:	Why would that ideal reject itself?
context: Come what may, I shan't interfere with your battle with Shirou.\But in return, I want you to answer one thing.\Why are you so intent on killing Shirou?\Why do you even ask?\Just as he can't accept me, I can't accept him. That's all.\That cannot be true!\You should embody Emiya Shirou's ideals in Heroic Spirit form.\Why would that ideal reject itself? response:	Unlike you, I didn't become a Heroic Spirit entirely on my own merits.
context: But in return, I want you to answer one thing.\Why are you so intent on killing Shirou?\Why do you even ask?\Just as he can't accept me, I can't accept him. That's all.\That cannot be true!\You should embody Emiya Shirou's ideals in Heroic Spirit form.\Why would that ideal reject itself?\Unlike you, I didn't become a Heroic Spirit entirely on my own merits. response:	I became one by selling my posthumous self.
context: Why are you so intent on killing Shirou?\Why do you even ask?\Just as he can't accept me, I can't accept him. That's all.\That cannot be true!\You should embody Emiya Shirou's ideals in Heroic Spirit form.\Why would that ideal reject itself?\Unlike you, I didn't become a Heroic Spirit entirely on my own merits.\I became one by selling my posthumous self. response:	I'm nothing but a Guardian.
context: Why do you even ask?\Just as he can't accept me, I can't accept him. That's all.\That cannot be true!\You should embody Emiya Shirou's ideals in Heroic Spirit form.\Why would that ideal reject itself?\Unlike you, I didn't become a Heroic Spirit entirely on my own merits.\I became one by selling my posthumous self.\I'm nothing but a Guardian. response:	A Guardian?
context: Just as he can't accept me, I can't accept him. That's all.\That cannot be true!\You should embody Emiya Shirou's ideals in Heroic Spirit form.\Why would that ideal reject itself?\Unlike you, I didn't become a Heroic Spirit entirely on my own merits.\I became one by selling my posthumous self.\I'm nothing but a Guardian.\A Guardian? response:	Off you go.
context: That cannot be true!\You should embody Emiya Shirou's ideals in Heroic Spirit form.\Why would that ideal reject itself?\Unlike you, I didn't become a Heroic Spirit entirely on my own merits.\I became one by selling my posthumous self.\I'm nothing but a Guardian.\A Guardian?\Off you go. response:	What's with the stink eye?
context: You should embody Emiya Shirou's ideals in Heroic Spirit form.\Why would that ideal reject itself?\Unlike you, I didn't become a Heroic Spirit entirely on my own merits.\I became one by selling my posthumous self.\I'm nothing but a Guardian.\A Guardian?\Off you go.\What's with the stink eye? response:	You still can't read a situation, can you, Tohsaka?
context: Why would that ideal reject itself?\Unlike you, I didn't become a Heroic Spirit entirely on my own merits.\I became one by selling my posthumous self.\I'm nothing but a Guardian.\A Guardian?\Off you go.\What's with the stink eye?\You still can't read a situation, can you, Tohsaka? response:	Can't you see the position you're in?
context: Unlike you, I didn't become a Heroic Spirit entirely on my own merits.\I became one by selling my posthumous self.\I'm nothing but a Guardian.\A Guardian?\Off you go.\What's with the stink eye?\You still can't read a situation, can you, Tohsaka?\Can't you see the position you're in? response:	Try looking in a mirror.
context: I became one by selling my posthumous self.\I'm nothing but a Guardian.\A Guardian?\Off you go.\What's with the stink eye?\You still can't read a situation, can you, Tohsaka?\Can't you see the position you're in?\Try looking in a mirror. response:	I'd say you're the clueless one here.
context: I'm nothing but a Guardian.\A Guardian?\Off you go.\What's with the stink eye?\You still can't read a situation, can you, Tohsaka?\Can't you see the position you're in?\Try looking in a mirror.\I'd say you're the clueless one here. response:	Oh, drop the tough act.
context: A Guardian?\Off you go.\What's with the stink eye?\You still can't read a situation, can you, Tohsaka?\Can't you see the position you're in?\Try looking in a mirror.\I'd say you're the clueless one here.\Oh, drop the tough act. response:	It's pathetic.
context: Off you go.\What's with the stink eye?\You still can't read a situation, can you, Tohsaka?\Can't you see the position you're in?\Try looking in a mirror.\I'd say you're the clueless one here.\Oh, drop the tough act.\It's pathetic. response:	Unbelievable...
context: What's with the stink eye?\You still can't read a situation, can you, Tohsaka?\Can't you see the position you're in?\Try looking in a mirror.\I'd say you're the clueless one here.\Oh, drop the tough act.\It's pathetic.\Unbelievable... response:	Looks like nothing I say will get through to you.
context: You still can't read a situation, can you, Tohsaka?\Can't you see the position you're in?\Try looking in a mirror.\I'd say you're the clueless one here.\Oh, drop the tough act.\It's pathetic.\Unbelievable...\Looks like nothing I say will get through to you. response:	Good! That's more like it!
context: Can't you see the position you're in?\Try looking in a mirror.\I'd say you're the clueless one here.\Oh, drop the tough act.\It's pathetic.\Unbelievable...\Looks like nothing I say will get through to you.\Good! That's more like it! response:	So you've finally figured out you belong to me?
context: Try looking in a mirror.\I'd say you're the clueless one here.\Oh, drop the tough act.\It's pathetic.\Unbelievable...\Looks like nothing I say will get through to you.\Good! That's more like it!\So you've finally figured out you belong to me? response:	Man, I love legs that have just enough muscle...
context: I'd say you're the clueless one here.\Oh, drop the tough act.\It's pathetic.\Unbelievable...\Looks like nothing I say will get through to you.\Good! That's more like it!\So you've finally figured out you belong to me?\Man, I love legs that have just enough muscle... response:	It'll make tormenting you all the more fun.
context: Oh, drop the tough act.\It's pathetic.\Unbelievable...\Looks like nothing I say will get through to you.\Good! That's more like it!\So you've finally figured out you belong to me?\Man, I love legs that have just enough muscle...\It'll make tormenting you all the more fun. response:	Ow!
context: It's pathetic.\Unbelievable...\Looks like nothing I say will get through to you.\Good! That's more like it!\So you've finally figured out you belong to me?\Man, I love legs that have just enough muscle...\It'll make tormenting you all the more fun.\Ow! response:	Sorry about that, punk.
context: Unbelievable...\Looks like nothing I say will get through to you.\Good! That's more like it!\So you've finally figured out you belong to me?\Man, I love legs that have just enough muscle...\It'll make tormenting you all the more fun.\Ow!\Sorry about that, punk. response:	My fist went flying before my words.
context: Looks like nothing I say will get through to you.\Good! That's more like it!\So you've finally figured out you belong to me?\Man, I love legs that have just enough muscle...\It'll make tormenting you all the more fun.\Ow!\Sorry about that, punk.\My fist went flying before my words. response:	Lancer?
context: Good! That's more like it!\So you've finally figured out you belong to me?\Man, I love legs that have just enough muscle...\It'll make tormenting you all the more fun.\Ow!\Sorry about that, punk.\My fist went flying before my words.\Lancer? response:	Hey.
context: So you've finally figured out you belong to me?\Man, I love legs that have just enough muscle...\It'll make tormenting you all the more fun.\Ow!\Sorry about that, punk.\My fist went flying before my words.\Lancer?\Hey. response:	Wh-What are you doing here?
context: Man, I love legs that have just enough muscle...\It'll make tormenting you all the more fun.\Ow!\Sorry about that, punk.\My fist went flying before my words.\Lancer?\Hey.\Wh-What are you doing here? response:	Save it.
context: It'll make tormenting you all the more fun.\Ow!\Sorry about that, punk.\My fist went flying before my words.\Lancer?\Hey.\Wh-What are you doing here?\Save it. response:	I'll have those bonds cut in a jiffy.
context: Ow!\Sorry about that, punk.\My fist went flying before my words.\Lancer?\Hey.\Wh-What are you doing here?\Save it.\I'll have those bonds cut in a jiffy. response:	After that, do as you like.
context: Sorry about that, punk.\My fist went flying before my words.\Lancer?\Hey.\Wh-What are you doing here?\Save it.\I'll have those bonds cut in a jiffy.\After that, do as you like. response:	Go to the hall and stop those idiots from fighting,
context: My fist went flying before my words.\Lancer?\Hey.\Wh-What are you doing here?\Save it.\I'll have those bonds cut in a jiffy.\After that, do as you like.\Go to the hall and stop those idiots from fighting, response:	or slip out the back and go home. Your call.
context: Lancer?\Hey.\Wh-What are you doing here?\Save it.\I'll have those bonds cut in a jiffy.\After that, do as you like.\Go to the hall and stop those idiots from fighting,\or slip out the back and go home. Your call. response:	Lancer, behind you!
context: Hey.\Wh-What are you doing here?\Save it.\I'll have those bonds cut in a jiffy.\After that, do as you like.\Go to the hall and stop those idiots from fighting,\or slip out the back and go home. Your call.\Lancer, behind you! response:	What?
context: Wh-What are you doing here?\Save it.\I'll have those bonds cut in a jiffy.\After that, do as you like.\Go to the hall and stop those idiots from fighting,\or slip out the back and go home. Your call.\Lancer, behind you!\What? response:	That's quite enough, Lancer.
context: Save it.\I'll have those bonds cut in a jiffy.\After that, do as you like.\Go to the hall and stop those idiots from fighting,\or slip out the back and go home. Your call.\Lancer, behind you!\What?\That's quite enough, Lancer. response:	I said to work with them.
context: I'll have those bonds cut in a jiffy.\After that, do as you like.\Go to the hall and stop those idiots from fighting,\or slip out the back and go home. Your call.\Lancer, behind you!\What?\That's quite enough, Lancer.\I said to work with them. response:	I never said to get emotionally invested.
context: After that, do as you like.\Go to the hall and stop those idiots from fighting,\or slip out the back and go home. Your call.\Lancer, behind you!\What?\That's quite enough, Lancer.\I said to work with them.\I never said to get emotionally invested. response:	Kirei?
context: Go to the hall and stop those idiots from fighting,\or slip out the back and go home. Your call.\Lancer, behind you!\What?\That's quite enough, Lancer.\I said to work with them.\I never said to get emotionally invested.\Kirei? response:	A Guardian?
context: or slip out the back and go home. Your call.\Lancer, behind you!\What?\That's quite enough, Lancer.\I said to work with them.\I never said to get emotionally invested.\Kirei?\A Guardian? response:	I heard that, after their deaths,
context: Lancer, behind you!\What?\That's quite enough, Lancer.\I said to work with them.\I never said to get emotionally invested.\Kirei?\A Guardian?\I heard that, after their deaths, response:	Guardians become a Counter Force to protect humanity.
context: What?\That's quite enough, Lancer.\I said to work with them.\I never said to get emotionally invested.\Kirei?\A Guardian?\I heard that, after their deaths,\Guardians become a Counter Force to protect humanity. response:	Even if your circumstances differ,
context: That's quite enough, Lancer.\I said to work with them.\I never said to get emotionally invested.\Kirei?\A Guardian?\I heard that, after their deaths,\Guardians become a Counter Force to protect humanity.\Even if your circumstances differ, response:	you are a Heroic Spirit, regardless.
context: I said to work with them.\I never said to get emotionally invested.\Kirei?\A Guardian?\I heard that, after their deaths,\Guardians become a Counter Force to protect humanity.\Even if your circumstances differ,\you are a Heroic Spirit, regardless. response:	That's where you're mistaken, Saber.
context: I never said to get emotionally invested.\Kirei?\A Guardian?\I heard that, after their deaths,\Guardians become a Counter Force to protect humanity.\Even if your circumstances differ,\you are a Heroic Spirit, regardless.\That's where you're mistaken, Saber. response:	Guardians don't protect humanity.
context: Kirei?\A Guardian?\I heard that, after their deaths,\Guardians become a Counter Force to protect humanity.\Even if your circumstances differ,\you are a Heroic Spirit, regardless.\That's where you're mistaken, Saber.\Guardians don't protect humanity. response:	They're simply cleaners.
context: A Guardian?\I heard that, after their deaths,\Guardians become a Counter Force to protect humanity.\Even if your circumstances differ,\you are a Heroic Spirit, regardless.\That's where you're mistaken, Saber.\Guardians don't protect humanity.\They're simply cleaners. response:	Archer?
context: I heard that, after their deaths,\Guardians become a Counter Force to protect humanity.\Even if your circumstances differ,\you are a Heroic Spirit, regardless.\That's where you're mistaken, Saber.\Guardians don't protect humanity.\They're simply cleaners.\Archer? response:	You're right...
context: Guardians become a Counter Force to protect humanity.\Even if your circumstances differ,\you are a Heroic Spirit, regardless.\That's where you're mistaken, Saber.\Guardians don't protect humanity.\They're simply cleaners.\Archer?\You're right... response:	I did become a hero.
context: Even if your circumstances differ,\you are a Heroic Spirit, regardless.\That's where you're mistaken, Saber.\Guardians don't protect humanity.\They're simply cleaners.\Archer?\You're right...\I did become a hero. response:	Just as the man called Emiya Shirou always wished,
context: you are a Heroic Spirit, regardless.\That's where you're mistaken, Saber.\Guardians don't protect humanity.\They're simply cleaners.\Archer?\You're right...\I did become a hero.\Just as the man called Emiya Shirou always wished, response:	I became a true hero of justice.
context: That's where you're mistaken, Saber.\Guardians don't protect humanity.\They're simply cleaners.\Archer?\You're right...\I did become a hero.\Just as the man called Emiya Shirou always wished,\I became a true hero of justice. response:	A hero of justice...
context: Guardians don't protect humanity.\They're simply cleaners.\Archer?\You're right...\I did become a hero.\Just as the man called Emiya Shirou always wished,\I became a true hero of justice.\A hero of justice... response:	And that is exactly why I know that that reality is a mistake.
context: They're simply cleaners.\Archer?\You're right...\I did become a hero.\Just as the man called Emiya Shirou always wished,\I became a true hero of justice.\A hero of justice...\And that is exactly why I know that that reality is a mistake. response:	That that man's life had absolutely no value.
context: Archer?\You're right...\I did become a hero.\Just as the man called Emiya Shirou always wished,\I became a true hero of justice.\A hero of justice...\And that is exactly why I know that that reality is a mistake.\That that man's life had absolutely no value. response:	No value?
context: You're right...\I did become a hero.\Just as the man called Emiya Shirou always wished,\I became a true hero of justice.\A hero of justice...\And that is exactly why I know that that reality is a mistake.\That that man's life had absolutely no value.\No value? response:	None.
context: I did become a hero.\Just as the man called Emiya Shirou always wished,\I became a true hero of justice.\A hero of justice...\And that is exactly why I know that that reality is a mistake.\That that man's life had absolutely no value.\No value?\None. response:	Surely you understand, Saber.
context: Just as the man called Emiya Shirou always wished,\I became a true hero of justice.\A hero of justice...\And that is exactly why I know that that reality is a mistake.\That that man's life had absolutely no value.\No value?\None.\Surely you understand, Saber. response:	You, who wants to change the past, to take back her decisions, more than anyone.
context: I became a true hero of justice.\A hero of justice...\And that is exactly why I know that that reality is a mistake.\That that man's life had absolutely no value.\No value?\None.\Surely you understand, Saber.\You, who wants to change the past, to take back her decisions, more than anyone. response:	Saber?
context: A hero of justice...\And that is exactly why I know that that reality is a mistake.\That that man's life had absolutely no value.\No value?\None.\Surely you understand, Saber.\You, who wants to change the past, to take back her decisions, more than anyone.\Saber? response:	What?
context: And that is exactly why I know that that reality is a mistake.\That that man's life had absolutely no value.\No value?\None.\Surely you understand, Saber.\You, who wants to change the past, to take back her decisions, more than anyone.\Saber?\What? response:	You never asked her what her wish was?
context: That that man's life had absolutely no value.\No value?\None.\Surely you understand, Saber.\You, who wants to change the past, to take back her decisions, more than anyone.\Saber?\What?\You never asked her what her wish was? response:	Why she desires the Holy Grail enough to commit herself
context: No value?\None.\Surely you understand, Saber.\You, who wants to change the past, to take back her decisions, more than anyone.\Saber?\What?\You never asked her what her wish was?\Why she desires the Holy Grail enough to commit herself response:	to this pointless bloodbath?
context: None.\Surely you understand, Saber.\You, who wants to change the past, to take back her decisions, more than anyone.\Saber?\What?\You never asked her what her wish was?\Why she desires the Holy Grail enough to commit herself\to this pointless bloodbath? response:	Then allow me to tell you. She is
context: Surely you understand, Saber.\You, who wants to change the past, to take back her decisions, more than anyone.\Saber?\What?\You never asked her what her wish was?\Why she desires the Holy Grail enough to commit herself\to this pointless bloodbath?\Then allow me to tell you. She is response:	Archer!
context: You, who wants to change the past, to take back her decisions, more than anyone.\Saber?\What?\You never asked her what her wish was?\Why she desires the Holy Grail enough to commit herself\to this pointless bloodbath?\Then allow me to tell you. She is\Archer! response:	Shirou...
context: Saber?\What?\You never asked her what her wish was?\Why she desires the Holy Grail enough to commit herself\to this pointless bloodbath?\Then allow me to tell you. She is\Archer!\Shirou... response:	I wanted to use the Holy Grail, the all-powerful wish granter,
context: What?\You never asked her what her wish was?\Why she desires the Holy Grail enough to commit herself\to this pointless bloodbath?\Then allow me to tell you. She is\Archer!\Shirou...\I wanted to use the Holy Grail, the all-powerful wish granter, response:	to undo a decision I once made.
context: You never asked her what her wish was?\Why she desires the Holy Grail enough to commit herself\to this pointless bloodbath?\Then allow me to tell you. She is\Archer!\Shirou...\I wanted to use the Holy Grail, the all-powerful wish granter,\to undo a decision I once made. response:	To undo my mistake...
