context: How irresponsible. response:	You don't care if she dies or succeeds?
context: Do you really think you'll be forgiven for buying a human?\It seems you're still as much of a human supremacist as ever, Renfred.\Why do you know about Chise?\You've never liked auctions, have you?\That event is strictly private.\What happens there is to be kept secret.\Besides, what use do you have for this mass of human rage and regret?\I see. response:	Who took that arm of yours?
context: It seems you're still as much of a human supremacist as ever, Renfred.\Why do you know about Chise?\You've never liked auctions, have you?\That event is strictly private.\What happens there is to be kept secret.\Besides, what use do you have for this mass of human rage and regret?\I see.\Who took that arm of yours? response:	Good work, Chise.
context: Why do you know about Chise?\You've never liked auctions, have you?\That event is strictly private.\What happens there is to be kept secret.\Besides, what use do you have for this mass of human rage and regret?\I see.\Who took that arm of yours?\Good work, Chise. response:	Elias.
context: You've never liked auctions, have you?\That event is strictly private.\What happens there is to be kept secret.\Besides, what use do you have for this mass of human rage and regret?\I see.\Who took that arm of yours?\Good work, Chise.\Elias. response:	Flowers, huh?
context: That event is strictly private.\What happens there is to be kept secret.\Besides, what use do you have for this mass of human rage and regret?\I see.\Who took that arm of yours?\Good work, Chise.\Elias.\Flowers, huh? response:	You're safe!
context: What happens there is to be kept secret.\Besides, what use do you have for this mass of human rage and regret?\I see.\Who took that arm of yours?\Good work, Chise.\Elias.\Flowers, huh?\You're safe! response:	That was clever.
context: Besides, what use do you have for this mass of human rage and regret?\I see.\Who took that arm of yours?\Good work, Chise.\Elias.\Flowers, huh?\You're safe!\That was clever. response:	Chise isn't all about destruction the way you are.
context: I see.\Who took that arm of yours?\Good work, Chise.\Elias.\Flowers, huh?\You're safe!\That was clever.\Chise isn't all about destruction the way you are. response:	He looks relieved.
context: Who took that arm of yours?\Good work, Chise.\Elias.\Flowers, huh?\You're safe!\That was clever.\Chise isn't all about destruction the way you are.\He looks relieved. response:	Let's go, Alice.
context: Good work, Chise.\Elias.\Flowers, huh?\You're safe!\That was clever.\Chise isn't all about destruction the way you are.\He looks relieved.\Let's go, Alice. response:	Master...
context: Elias.\Flowers, huh?\You're safe!\That was clever.\Chise isn't all about destruction the way you are.\He looks relieved.\Let's go, Alice.\Master... response:	Are you leaving?
context: Flowers, huh?\You're safe!\That was clever.\Chise isn't all about destruction the way you are.\He looks relieved.\Let's go, Alice.\Master...\Are you leaving? response:	You still haven't told me anything.
context: You're safe!\That was clever.\Chise isn't all about destruction the way you are.\He looks relieved.\Let's go, Alice.\Master...\Are you leaving?\You still haven't told me anything. response:	The corruption is gone. I have no further business here.
context: That was clever.\Chise isn't all about destruction the way you are.\He looks relieved.\Let's go, Alice.\Master...\Are you leaving?\You still haven't told me anything.\The corruption is gone. I have no further business here. response:	I don't care how you use the girl.
context: Chise isn't all about destruction the way you are.\He looks relieved.\Let's go, Alice.\Master...\Are you leaving?\You still haven't told me anything.\The corruption is gone. I have no further business here.\I don't care how you use the girl. response:	Be careful.
context: He looks relieved.\Let's go, Alice.\Master...\Are you leaving?\You still haven't told me anything.\The corruption is gone. I have no further business here.\I don't care how you use the girl.\Be careful. response:	There are countless people interested in her.
context: Let's go, Alice.\Master...\Are you leaving?\You still haven't told me anything.\The corruption is gone. I have no further business here.\I don't care how you use the girl.\Be careful.\There are countless people interested in her. response:	You knew them?
context: Master...\Are you leaving?\You still haven't told me anything.\The corruption is gone. I have no further business here.\I don't care how you use the girl.\Be careful.\There are countless people interested in her.\You knew them? response:	That sorcerer is famous for his distaste for mages.
context: Are you leaving?\You still haven't told me anything.\The corruption is gone. I have no further business here.\I don't care how you use the girl.\Be careful.\There are countless people interested in her.\You knew them?\That sorcerer is famous for his distaste for mages. response:	He's always liked picking fights with me.
context: You still haven't told me anything.\The corruption is gone. I have no further business here.\I don't care how you use the girl.\Be careful.\There are countless people interested in her.\You knew them?\That sorcerer is famous for his distaste for mages.\He's always liked picking fights with me. response:	He still had both of his arms the last time I saw him, though.
context: The corruption is gone. I have no further business here.\I don't care how you use the girl.\Be careful.\There are countless people interested in her.\You knew them?\That sorcerer is famous for his distaste for mages.\He's always liked picking fights with me.\He still had both of his arms the last time I saw him, though. response:	Something's going on.
context: I don't care how you use the girl.\Be careful.\There are countless people interested in her.\You knew them?\That sorcerer is famous for his distaste for mages.\He's always liked picking fights with me.\He still had both of his arms the last time I saw him, though.\Something's going on. response:	Are you okay, Chise?
context: Be careful.\There are countless people interested in her.\You knew them?\That sorcerer is famous for his distaste for mages.\He's always liked picking fights with me.\He still had both of his arms the last time I saw him, though.\Something's going on.\Are you okay, Chise? response:	Her magical production circuits must be exhausted.
context: There are countless people interested in her.\You knew them?\That sorcerer is famous for his distaste for mages.\He's always liked picking fights with me.\He still had both of his arms the last time I saw him, though.\Something's going on.\Are you okay, Chise?\Her magical production circuits must be exhausted. response:	You can get some sleep.
context: You knew them?\That sorcerer is famous for his distaste for mages.\He's always liked picking fights with me.\He still had both of his arms the last time I saw him, though.\Something's going on.\Are you okay, Chise?\Her magical production circuits must be exhausted.\You can get some sleep. response:	Thank you.
context: That sorcerer is famous for his distaste for mages.\He's always liked picking fights with me.\He still had both of his arms the last time I saw him, though.\Something's going on.\Are you okay, Chise?\Her magical production circuits must be exhausted.\You can get some sleep.\Thank you. response:	Elias...
context: He's always liked picking fights with me.\He still had both of his arms the last time I saw him, though.\Something's going on.\Are you okay, Chise?\Her magical production circuits must be exhausted.\You can get some sleep.\Thank you.\Elias... response:	When am I going to die?
context: He still had both of his arms the last time I saw him, though.\Something's going on.\Are you okay, Chise?\Her magical production circuits must be exhausted.\You can get some sleep.\Thank you.\Elias...\When am I going to die? response:	You hadn't forgotten, huh?
context: Something's going on.\Are you okay, Chise?\Her magical production circuits must be exhausted.\You can get some sleep.\Thank you.\Elias...\When am I going to die?\You hadn't forgotten, huh? response:	In three years, maybe, if nothing's done about it.
context: Are you okay, Chise?\Her magical production circuits must be exhausted.\You can get some sleep.\Thank you.\Elias...\When am I going to die?\You hadn't forgotten, huh?\In three years, maybe, if nothing's done about it. response:	I've thought of a way to prevent it.
context: Her magical production circuits must be exhausted.\You can get some sleep.\Thank you.\Elias...\When am I going to die?\You hadn't forgotten, huh?\In three years, maybe, if nothing's done about it.\I've thought of a way to prevent it. response:	You don't have to worry.
context: You can get some sleep.\Thank you.\Elias...\When am I going to die?\You hadn't forgotten, huh?\In three years, maybe, if nothing's done about it.\I've thought of a way to prevent it.\You don't have to worry. response:	Why didn't you tell me?
context: Thank you.\Elias...\When am I going to die?\You hadn't forgotten, huh?\In three years, maybe, if nothing's done about it.\I've thought of a way to prevent it.\You don't have to worry.\Why didn't you tell me? response:	Because there was no reason to.
context: Elias...\When am I going to die?\You hadn't forgotten, huh?\In three years, maybe, if nothing's done about it.\I've thought of a way to prevent it.\You don't have to worry.\Why didn't you tell me?\Because there was no reason to. response:	Your death isn't a part of my plans.
context: When am I going to die?\You hadn't forgotten, huh?\In three years, maybe, if nothing's done about it.\I've thought of a way to prevent it.\You don't have to worry.\Why didn't you tell me?\Because there was no reason to.\Your death isn't a part of my plans. response:	So your experiment is to see if you can keep me from dying?
context: You hadn't forgotten, huh?\In three years, maybe, if nothing's done about it.\I've thought of a way to prevent it.\You don't have to worry.\Why didn't you tell me?\Because there was no reason to.\Your death isn't a part of my plans.\So your experiment is to see if you can keep me from dying? response:	Sure.
context: In three years, maybe, if nothing's done about it.\I've thought of a way to prevent it.\You don't have to worry.\Why didn't you tell me?\Because there was no reason to.\Your death isn't a part of my plans.\So your experiment is to see if you can keep me from dying?\Sure. response:	To see what will happen if I have a Sleigh Beggy around me, a reservoir of limitless magic.
context: I've thought of a way to prevent it.\You don't have to worry.\Why didn't you tell me?\Because there was no reason to.\Your death isn't a part of my plans.\So your experiment is to see if you can keep me from dying?\Sure.\To see what will happen if I have a Sleigh Beggy around me, a reservoir of limitless magic. response:	But you don't need more magic, do you?
context: You don't have to worry.\Why didn't you tell me?\Because there was no reason to.\Your death isn't a part of my plans.\So your experiment is to see if you can keep me from dying?\Sure.\To see what will happen if I have a Sleigh Beggy around me, a reservoir of limitless magic.\But you don't need more magic, do you? response:	So, why me?
context: Why didn't you tell me?\Because there was no reason to.\Your death isn't a part of my plans.\So your experiment is to see if you can keep me from dying?\Sure.\To see what will happen if I have a Sleigh Beggy around me, a reservoir of limitless magic.\But you don't need more magic, do you?\So, why me? response:	I'm half-bakedneither human, fairy, nor spirit.
context: Because there was no reason to.\Your death isn't a part of my plans.\So your experiment is to see if you can keep me from dying?\Sure.\To see what will happen if I have a Sleigh Beggy around me, a reservoir of limitless magic.\But you don't need more magic, do you?\So, why me?\I'm half-bakedneither human, fairy, nor spirit. response:	I've lived for a long, long time, and seen many humans,
context: Your death isn't a part of my plans.\So your experiment is to see if you can keep me from dying?\Sure.\To see what will happen if I have a Sleigh Beggy around me, a reservoir of limitless magic.\But you don't need more magic, do you?\So, why me?\I'm half-bakedneither human, fairy, nor spirit.\I've lived for a long, long time, and seen many humans, response:	but I still don't quite understand any of them, including you.
context: So your experiment is to see if you can keep me from dying?\Sure.\To see what will happen if I have a Sleigh Beggy around me, a reservoir of limitless magic.\But you don't need more magic, do you?\So, why me?\I'm half-bakedneither human, fairy, nor spirit.\I've lived for a long, long time, and seen many humans,\but I still don't quite understand any of them, including you. response:	I can comprehend your thoughts,
context: Sure.\To see what will happen if I have a Sleigh Beggy around me, a reservoir of limitless magic.\But you don't need more magic, do you?\So, why me?\I'm half-bakedneither human, fairy, nor spirit.\I've lived for a long, long time, and seen many humans,\but I still don't quite understand any of them, including you.\I can comprehend your thoughts, response:	but I can't empathize.
context: To see what will happen if I have a Sleigh Beggy around me, a reservoir of limitless magic.\But you don't need more magic, do you?\So, why me?\I'm half-bakedneither human, fairy, nor spirit.\I've lived for a long, long time, and seen many humans,\but I still don't quite understand any of them, including you.\I can comprehend your thoughts,\but I can't empathize. response:	I can understand the reasons behind your tears, anger, and laughter,
context: But you don't need more magic, do you?\So, why me?\I'm half-bakedneither human, fairy, nor spirit.\I've lived for a long, long time, and seen many humans,\but I still don't quite understand any of them, including you.\I can comprehend your thoughts,\but I can't empathize.\I can understand the reasons behind your tears, anger, and laughter, response:	but I can't make them my own.
context: So, why me?\I'm half-bakedneither human, fairy, nor spirit.\I've lived for a long, long time, and seen many humans,\but I still don't quite understand any of them, including you.\I can comprehend your thoughts,\but I can't empathize.\I can understand the reasons behind your tears, anger, and laughter,\but I can't make them my own. response:	I bought you because it was advantageous for me.
context: I'm half-bakedneither human, fairy, nor spirit.\I've lived for a long, long time, and seen many humans,\but I still don't quite understand any of them, including you.\I can comprehend your thoughts,\but I can't empathize.\I can understand the reasons behind your tears, anger, and laughter,\but I can't make them my own.\I bought you because it was advantageous for me. response:	That's all.
context: I've lived for a long, long time, and seen many humans,\but I still don't quite understand any of them, including you.\I can comprehend your thoughts,\but I can't empathize.\I can understand the reasons behind your tears, anger, and laughter,\but I can't make them my own.\I bought you because it was advantageous for me.\That's all. response:	Because you had nothing, and you couldn't part from the non-human that is me.
context: but I still don't quite understand any of them, including you.\I can comprehend your thoughts,\but I can't empathize.\I can understand the reasons behind your tears, anger, and laughter,\but I can't make them my own.\I bought you because it was advantageous for me.\That's all.\Because you had nothing, and you couldn't part from the non-human that is me. response:	I let you hear the words that I suspected you would want to hear, and gave you shelter, food,
context: I can comprehend your thoughts,\but I can't empathize.\I can understand the reasons behind your tears, anger, and laughter,\but I can't make them my own.\I bought you because it was advantageous for me.\That's all.\Because you had nothing, and you couldn't part from the non-human that is me.\I let you hear the words that I suspected you would want to hear, and gave you shelter, food, response:	knowledge, and attention.
context: but I can't empathize.\I can understand the reasons behind your tears, anger, and laughter,\but I can't make them my own.\I bought you because it was advantageous for me.\That's all.\Because you had nothing, and you couldn't part from the non-human that is me.\I let you hear the words that I suspected you would want to hear, and gave you shelter, food,\knowledge, and attention. response:	I thought I might learn something if I raised one of you myself.
context: I can understand the reasons behind your tears, anger, and laughter,\but I can't make them my own.\I bought you because it was advantageous for me.\That's all.\Because you had nothing, and you couldn't part from the non-human that is me.\I let you hear the words that I suspected you would want to hear, and gave you shelter, food,\knowledge, and attention.\I thought I might learn something if I raised one of you myself. response:	I did plan on telling you after you'd become completely attached to me.
context: but I can't make them my own.\I bought you because it was advantageous for me.\That's all.\Because you had nothing, and you couldn't part from the non-human that is me.\I let you hear the words that I suspected you would want to hear, and gave you shelter, food,\knowledge, and attention.\I thought I might learn something if I raised one of you myself.\I did plan on telling you after you'd become completely attached to me. response:	It's strange.
context: I bought you because it was advantageous for me.\That's all.\Because you had nothing, and you couldn't part from the non-human that is me.\I let you hear the words that I suspected you would want to hear, and gave you shelter, food,\knowledge, and attention.\I thought I might learn something if I raised one of you myself.\I did plan on telling you after you'd become completely attached to me.\It's strange. response:	Though I had to do it earlier, thanks to Renfred.
context: That's all.\Because you had nothing, and you couldn't part from the non-human that is me.\I let you hear the words that I suspected you would want to hear, and gave you shelter, food,\knowledge, and attention.\I thought I might learn something if I raised one of you myself.\I did plan on telling you after you'd become completely attached to me.\It's strange.\Though I had to do it earlier, thanks to Renfred. response:	His facial expression doesn't change.
context: Because you had nothing, and you couldn't part from the non-human that is me.\I let you hear the words that I suspected you would want to hear, and gave you shelter, food,\knowledge, and attention.\I thought I might learn something if I raised one of you myself.\I did plan on telling you after you'd become completely attached to me.\It's strange.\Though I had to do it earlier, thanks to Renfred.\His facial expression doesn't change. response:	I know.
context: I let you hear the words that I suspected you would want to hear, and gave you shelter, food,\knowledge, and attention.\I thought I might learn something if I raised one of you myself.\I did plan on telling you after you'd become completely attached to me.\It's strange.\Though I had to do it earlier, thanks to Renfred.\His facial expression doesn't change.\I know. response:	If you don't need this memory, I can destroy it for you.
context: knowledge, and attention.\I thought I might learn something if I raised one of you myself.\I did plan on telling you after you'd become completely attached to me.\It's strange.\Though I had to do it earlier, thanks to Renfred.\His facial expression doesn't change.\I know.\If you don't need this memory, I can destroy it for you. response:	Yet the glimmer in his eyes is like a child's.
context: I thought I might learn something if I raised one of you myself.\I did plan on telling you after you'd become completely attached to me.\It's strange.\Though I had to do it earlier, thanks to Renfred.\His facial expression doesn't change.\I know.\If you don't need this memory, I can destroy it for you.\Yet the glimmer in his eyes is like a child's. response:	There's no need to be scared.
context: I did plan on telling you after you'd become completely attached to me.\It's strange.\Though I had to do it earlier, thanks to Renfred.\His facial expression doesn't change.\I know.\If you don't need this memory, I can destroy it for you.\Yet the glimmer in his eyes is like a child's.\There's no need to be scared. response:	Until you don't need me anymore...
context: It's strange.\Though I had to do it earlier, thanks to Renfred.\His facial expression doesn't change.\I know.\If you don't need this memory, I can destroy it for you.\Yet the glimmer in his eyes is like a child's.\There's no need to be scared.\Until you don't need me anymore... response:	I'll stay by your...
context: Though I had to do it earlier, thanks to Renfred.\His facial expression doesn't change.\I know.\If you don't need this memory, I can destroy it for you.\Yet the glimmer in his eyes is like a child's.\There's no need to be scared.\Until you don't need me anymore...\I'll stay by your... response:	side...
context: His facial expression doesn't change.\I know.\If you don't need this memory, I can destroy it for you.\Yet the glimmer in his eyes is like a child's.\There's no need to be scared.\Until you don't need me anymore...\I'll stay by your...\side... response:	Look at that quality male, being confessed to by a female.
context: I know.\If you don't need this memory, I can destroy it for you.\Yet the glimmer in his eyes is like a child's.\There's no need to be scared.\Until you don't need me anymore...\I'll stay by your...\side...\Look at that quality male, being confessed to by a female. response:	You've impressed me, mage.
context: If you don't need this memory, I can destroy it for you.\Yet the glimmer in his eyes is like a child's.\There's no need to be scared.\Until you don't need me anymore...\I'll stay by your...\side...\Look at that quality male, being confessed to by a female.\You've impressed me, mage. response:	I think she meant, You're so pathetic, I can't just leave you.
context: Yet the glimmer in his eyes is like a child's.\There's no need to be scared.\Until you don't need me anymore...\I'll stay by your...\side...\Look at that quality male, being confessed to by a female.\You've impressed me, mage.\I think she meant, You're so pathetic, I can't just leave you. response:	She touched me for the first time.
context: There's no need to be scared.\Until you don't need me anymore...\I'll stay by your...\side...\Look at that quality male, being confessed to by a female.\You've impressed me, mage.\I think she meant, You're so pathetic, I can't just leave you.\She touched me for the first time. response:	It looks like you'll finally have what you've sought, after your long journey.
context: Until you don't need me anymore...\I'll stay by your...\side...\Look at that quality male, being confessed to by a female.\You've impressed me, mage.\I think she meant, You're so pathetic, I can't just leave you.\She touched me for the first time.\It looks like you'll finally have what you've sought, after your long journey. response:	I'm glad for you.
context: I'll stay by your...\side...\Look at that quality male, being confessed to by a female.\You've impressed me, mage.\I think she meant, You're so pathetic, I can't just leave you.\She touched me for the first time.\It looks like you'll finally have what you've sought, after your long journey.\I'm glad for you. response:	Shall we return to our home, Chise?
context: side...\Look at that quality male, being confessed to by a female.\You've impressed me, mage.\I think she meant, You're so pathetic, I can't just leave you.\She touched me for the first time.\It looks like you'll finally have what you've sought, after your long journey.\I'm glad for you.\Shall we return to our home, Chise? response:	Is this all for today?
context: Look at that quality male, being confessed to by a female.\You've impressed me, mage.\I think she meant, You're so pathetic, I can't just leave you.\She touched me for the first time.\It looks like you'll finally have what you've sought, after your long journey.\I'm glad for you.\Shall we return to our home, Chise?\Is this all for today? response:	Indeed, I hope she wakes up today.
context: You've impressed me, mage.\I think she meant, You're so pathetic, I can't just leave you.\She touched me for the first time.\It looks like you'll finally have what you've sought, after your long journey.\I'm glad for you.\Shall we return to our home, Chise?\Is this all for today?\Indeed, I hope she wakes up today. response:	Her breath and her pulse are stable.
context: I think she meant, You're so pathetic, I can't just leave you.\She touched me for the first time.\It looks like you'll finally have what you've sought, after your long journey.\I'm glad for you.\Shall we return to our home, Chise?\Is this all for today?\Indeed, I hope she wakes up today.\Her breath and her pulse are stable. response:	It hasn't hurt her physically yet.
context: She touched me for the first time.\It looks like you'll finally have what you've sought, after your long journey.\I'm glad for you.\Shall we return to our home, Chise?\Is this all for today?\Indeed, I hope she wakes up today.\Her breath and her pulse are stable.\It hasn't hurt her physically yet. response:	Chise may be more capable than I thought.
context: It looks like you'll finally have what you've sought, after your long journey.\I'm glad for you.\Shall we return to our home, Chise?\Is this all for today?\Indeed, I hope she wakes up today.\Her breath and her pulse are stable.\It hasn't hurt her physically yet.\Chise may be more capable than I thought. response:	You're back, Simon?
context: I'm glad for you.\Shall we return to our home, Chise?\Is this all for today?\Indeed, I hope she wakes up today.\Her breath and her pulse are stable.\It hasn't hurt her physically yet.\Chise may be more capable than I thought.\You're back, Simon? response:	At least let me worry about her.
context: Shall we return to our home, Chise?\Is this all for today?\Indeed, I hope she wakes up today.\Her breath and her pulse are stable.\It hasn't hurt her physically yet.\Chise may be more capable than I thought.\You're back, Simon?\At least let me worry about her. response:	Two weeks you've returned from Ulthar, and she's still not awake.
context: Is this all for today?\Indeed, I hope she wakes up today.\Her breath and her pulse are stable.\It hasn't hurt her physically yet.\Chise may be more capable than I thought.\You're back, Simon?\At least let me worry about her.\Two weeks you've returned from Ulthar, and she's still not awake. response:	It's to be expected.
context: Indeed, I hope she wakes up today.\Her breath and her pulse are stable.\It hasn't hurt her physically yet.\Chise may be more capable than I thought.\You're back, Simon?\At least let me worry about her.\Two weeks you've returned from Ulthar, and she's still not awake.\It's to be expected. response:	She's keeping her physical functions to a minimum,
context: Her breath and her pulse are stable.\It hasn't hurt her physically yet.\Chise may be more capable than I thought.\You're back, Simon?\At least let me worry about her.\Two weeks you've returned from Ulthar, and she's still not awake.\It's to be expected.\She's keeping her physical functions to a minimum, response:	so she can focus on replenishing the magic she used.
context: It hasn't hurt her physically yet.\Chise may be more capable than I thought.\You're back, Simon?\At least let me worry about her.\Two weeks you've returned from Ulthar, and she's still not awake.\It's to be expected.\She's keeping her physical functions to a minimum,\so she can focus on replenishing the magic she used. response:	Recovery is faster in the forests or under water than in the city.
context: Chise may be more capable than I thought.\You're back, Simon?\At least let me worry about her.\Two weeks you've returned from Ulthar, and she's still not awake.\It's to be expected.\She's keeping her physical functions to a minimum,\so she can focus on replenishing the magic she used.\Recovery is faster in the forests or under water than in the city. response:	She'll awaken soon.
context: You're back, Simon?\At least let me worry about her.\Two weeks you've returned from Ulthar, and she's still not awake.\It's to be expected.\She's keeping her physical functions to a minimum,\so she can focus on replenishing the magic she used.\Recovery is faster in the forests or under water than in the city.\She'll awaken soon. response:	I don't approve of you letting such a child be so reckless.
context: At least let me worry about her.\Two weeks you've returned from Ulthar, and she's still not awake.\It's to be expected.\She's keeping her physical functions to a minimum,\so she can focus on replenishing the magic she used.\Recovery is faster in the forests or under water than in the city.\She'll awaken soon.\I don't approve of you letting such a child be so reckless. response:	You're still hiding something, aren't you?
context: Two weeks you've returned from Ulthar, and she's still not awake.\It's to be expected.\She's keeping her physical functions to a minimum,\so she can focus on replenishing the magic she used.\Recovery is faster in the forests or under water than in the city.\She'll awaken soon.\I don't approve of you letting such a child be so reckless.\You're still hiding something, aren't you? response:	You can tell, huh?
context: It's to be expected.\She's keeping her physical functions to a minimum,\so she can focus on replenishing the magic she used.\Recovery is faster in the forests or under water than in the city.\She'll awaken soon.\I don't approve of you letting such a child be so reckless.\You're still hiding something, aren't you?\You can tell, huh? response:	It's been ten years since I was assigned to keep an eye on you.
context: She's keeping her physical functions to a minimum,\so she can focus on replenishing the magic she used.\Recovery is faster in the forests or under water than in the city.\She'll awaken soon.\I don't approve of you letting such a child be so reckless.\You're still hiding something, aren't you?\You can tell, huh?\It's been ten years since I was assigned to keep an eye on you. response:	I can tell when your bony face is pale under your cloth.
context: so she can focus on replenishing the magic she used.\Recovery is faster in the forests or under water than in the city.\She'll awaken soon.\I don't approve of you letting such a child be so reckless.\You're still hiding something, aren't you?\You can tell, huh?\It's been ten years since I was assigned to keep an eye on you.\I can tell when your bony face is pale under your cloth. response:	Sing, sing, sing.
context: Recovery is faster in the forests or under water than in the city.\She'll awaken soon.\I don't approve of you letting such a child be so reckless.\You're still hiding something, aren't you?\You can tell, huh?\It's been ten years since I was assigned to keep an eye on you.\I can tell when your bony face is pale under your cloth.\Sing, sing, sing. response:	Ruffle, trees, in the wind,
context: She'll awaken soon.\I don't approve of you letting such a child be so reckless.\You're still hiding something, aren't you?\You can tell, huh?\It's been ten years since I was assigned to keep an eye on you.\I can tell when your bony face is pale under your cloth.\Sing, sing, sing.\Ruffle, trees, in the wind, response:	let not the sunlight pass.
context: I don't approve of you letting such a child be so reckless.\You're still hiding something, aren't you?\You can tell, huh?\It's been ten years since I was assigned to keep an eye on you.\I can tell when your bony face is pale under your cloth.\Sing, sing, sing.\Ruffle, trees, in the wind,\let not the sunlight pass. response:	Dance, flowers and grass,
context: You're still hiding something, aren't you?\You can tell, huh?\It's been ten years since I was assigned to keep an eye on you.\I can tell when your bony face is pale under your cloth.\Sing, sing, sing.\Ruffle, trees, in the wind,\let not the sunlight pass.\Dance, flowers and grass, response:	let not your scent be lost for direction.
context: You can tell, huh?\It's been ten years since I was assigned to keep an eye on you.\I can tell when your bony face is pale under your cloth.\Sing, sing, sing.\Ruffle, trees, in the wind,\let not the sunlight pass.\Dance, flowers and grass,\let not your scent be lost for direction. response:	Sing praise, homeless bird, that the mistress of the night
context: It's been ten years since I was assigned to keep an eye on you.\I can tell when your bony face is pale under your cloth.\Sing, sing, sing.\Ruffle, trees, in the wind,\let not the sunlight pass.\Dance, flowers and grass,\let not your scent be lost for direction.\Sing praise, homeless bird, that the mistress of the night response:	shall not tear off your wings.
context: I can tell when your bony face is pale under your cloth.\Sing, sing, sing.\Ruffle, trees, in the wind,\let not the sunlight pass.\Dance, flowers and grass,\let not your scent be lost for direction.\Sing praise, homeless bird, that the mistress of the night\shall not tear off your wings. response:	Return to the earth, and sing,
context: Sing, sing, sing.\Ruffle, trees, in the wind,\let not the sunlight pass.\Dance, flowers and grass,\let not your scent be lost for direction.\Sing praise, homeless bird, that the mistress of the night\shall not tear off your wings.\Return to the earth, and sing, response:	flutter in the skies, and sing,
context: Ruffle, trees, in the wind,\let not the sunlight pass.\Dance, flowers and grass,\let not your scent be lost for direction.\Sing praise, homeless bird, that the mistress of the night\shall not tear off your wings.\Return to the earth, and sing,\flutter in the skies, and sing, response:	bow your head to the noble garden and sing,
context: let not the sunlight pass.\Dance, flowers and grass,\let not your scent be lost for direction.\Sing praise, homeless bird, that the mistress of the night\shall not tear off your wings.\Return to the earth, and sing,\flutter in the skies, and sing,\bow your head to the noble garden and sing, response:	for the great Gealach of Tir na nOg has arrived.
context: Dance, flowers and grass,\let not your scent be lost for direction.\Sing praise, homeless bird, that the mistress of the night\shall not tear off your wings.\Return to the earth, and sing,\flutter in the skies, and sing,\bow your head to the noble garden and sing,\for the great Gealach of Tir na nOg has arrived. response:	Well, well, two strapping young men to greet me.
context: let not your scent be lost for direction.\Sing praise, homeless bird, that the mistress of the night\shall not tear off your wings.\Return to the earth, and sing,\flutter in the skies, and sing,\bow your head to the noble garden and sing,\for the great Gealach of Tir na nOg has arrived.\Well, well, two strapping young men to greet me. response:	How kind of you both.
context: Sing praise, homeless bird, that the mistress of the night\shall not tear off your wings.\Return to the earth, and sing,\flutter in the skies, and sing,\bow your head to the noble garden and sing,\for the great Gealach of Tir na nOg has arrived.\Well, well, two strapping young men to greet me.\How kind of you both. response:	My queen, you ought not speak directly with the commoners.
