context: The experiments we've run so far response:	prove that the D-mails are being sent to the past.
context: into giving up classified information?\I won't ask Kyouma.\Daru-nyan!\You think Daru would betray me?\We built a machine that sends texts to the past!\And by we, I mean mostly me!\That was entirely too fast!\Messages to the past? response:	OP HERE
context: I won't ask Kyouma.\Daru-nyan!\You think Daru would betray me?\We built a machine that sends texts to the past!\And by we, I mean mostly me!\That was entirely too fast!\Messages to the past?\OP HERE response:	OP
context: Daru-nyan!\You think Daru would betray me?\We built a machine that sends texts to the past!\And by we, I mean mostly me!\That was entirely too fast!\Messages to the past?\OP HERE\OP response:	suujuuoku mono kodou no kazu sae
context: You think Daru would betray me?\We built a machine that sends texts to the past!\And by we, I mean mostly me!\That was entirely too fast!\Messages to the past?\OP HERE\OP\suujuuoku mono kodou no kazu sae response:	Even the world's billions of heartbeats
context: We built a machine that sends texts to the past!\And by we, I mean mostly me!\That was entirely too fast!\Messages to the past?\OP HERE\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats response:	anata ni wa matataki teido no saji na toukyuu
context: And by we, I mean mostly me!\That was entirely too fast!\Messages to the past?\OP HERE\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu response:	Are nothing to you but a fleeting and insignificant question
context: That was entirely too fast!\Messages to the past?\OP HERE\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question response:	kako ni torawarete mirai wo nageku mo
context: Messages to the past?\OP HERE\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo response:	We may be trapped in the past or lament the future
context: OP HERE\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future response:	chiri hitotsu gosan wo yurusanu hitsuzen
context: OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen response:	But predetermination does not allow the slightest mistake
context: suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake response:	mugen ni hirogaru yume mo egaku mirai mo
context: Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo response:	The infinite dreams and imagined futures before us
context: anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us response:	bokutachi ni yurusareta kyoei no genri
context: Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri response:	Are naught but vain theories we may hold
context: kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold response:	yuugen sore wa futatsu no hari ga shimesu
context: We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu response:	Finitude is what the two clock hands show
context: chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show response:	zankoku na yakujou to sentaku e
context: But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e response:	As they point toward a cruel destiny and choice
context: mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice response:	Hacking to the Gate
context: The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate response:	dakara ima ichibyou goto ni sekaisen wo koete
context: bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete response:	And now I cross the boundary between worlds each second
context: Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second response:	kimi no sono egao mamoritai no sa
context: yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa response:	Because I want to protect that smile of yours
context: Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours response:	soshite mata kanashimi no nai jikan no ruupu e to
context: zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to response:	And a loop in time without sadness will once again
context: As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again response:	nomikomarete yuku kodoku no kansokusha
context: Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha response:	Engulf me, a lonely observer
context: dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer response:	Chaos Theory
context: And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer\Chaos Theory response:	Chaos Theory
context: kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer\Chaos Theory\Chaos Theory response:	Chaos Theory
context: Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer\Chaos Theory\Chaos Theory\Chaos Theory response:	Chaos Theory
context: soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer\Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory response:	Chaos Theory
context: And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer\Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory response:	Chaos Theory
context: nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer\Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory response:	Chaos Theory
context: Engulf me, a lonely observer\Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory response:	Chaos Theory
context: Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory response:	Chaos Theory
context: Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory response:	Homeostasis
context: Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory\Homeostasis response:	Homeostasis
context: Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory\Homeostasis\Homeostasis response:	Homeostasis
context: Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory\Homeostasis\Homeostasis\Homeostasis response:	Homeostasis
context: Chaos Theory\Chaos Theory\Chaos Theory\Chaos Theory\Homeostasis\Homeostasis\Homeostasis\Homeostasis response:	Homeostasis
context: Chaos Theory\Chaos Theory\Chaos Theory\Homeostasis\Homeostasis\Homeostasis\Homeostasis\Homeostasis response:	Homeostasis
context: Chaos Theory\Chaos Theory\Homeostasis\Homeostasis\Homeostasis\Homeostasis\Homeostasis\Homeostasis response:	Homeostasis
context: Chaos Theory\Homeostasis\Homeostasis\Homeostasis\Homeostasis\Homeostasis\Homeostasis\Homeostasis response:	Stupid Daru...
context: Homeostasis\Homeostasis\Homeostasis\Homeostasis\Homeostasis\Homeostasis\Homeostasis\Stupid Daru... response:	Spreading our secrets to outsiders...
context: Homeostasis\Homeostasis\Homeostasis\Homeostasis\Homeostasis\Homeostasis\Stupid Daru...\Spreading our secrets to outsiders... response:	Why?
context: Homeostasis\Homeostasis\Homeostasis\Homeostasis\Homeostasis\Stupid Daru...\Spreading our secrets to outsiders...\Why? response:	Why must you take it that way?
context: Homeostasis\Homeostasis\Homeostasis\Homeostasis\Stupid Daru...\Spreading our secrets to outsiders...\Why?\Why must you take it that way? response:	I just wanted to...
context: Homeostasis\Homeostasis\Homeostasis\Stupid Daru...\Spreading our secrets to outsiders...\Why?\Why must you take it that way?\I just wanted to... response:	No, that isn't what I meant!
context: Homeostasis\Homeostasis\Stupid Daru...\Spreading our secrets to outsiders...\Why?\Why must you take it that way?\I just wanted to...\No, that isn't what I meant! response:	Wh-Wh-What?
context: Homeostasis\Stupid Daru...\Spreading our secrets to outsiders...\Why?\Why must you take it that way?\I just wanted to...\No, that isn't what I meant!\Wh-Wh-What? response:	I'm not crying!
context: Stupid Daru...\Spreading our secrets to outsiders...\Why?\Why must you take it that way?\I just wanted to...\No, that isn't what I meant!\Wh-Wh-What?\I'm not crying! response:	It's not like I was crying, okay?
context: Spreading our secrets to outsiders...\Why?\Why must you take it that way?\I just wanted to...\No, that isn't what I meant!\Wh-Wh-What?\I'm not crying!\It's not like I was crying, okay? response:	You were clearly crying...
context: Why?\Why must you take it that way?\I just wanted to...\No, that isn't what I meant!\Wh-Wh-What?\I'm not crying!\It's not like I was crying, okay?\You were clearly crying... response:	Your eyes are still red.
context: Why must you take it that way?\I just wanted to...\No, that isn't what I meant!\Wh-Wh-What?\I'm not crying!\It's not like I was crying, okay?\You were clearly crying...\Your eyes are still red. response:	No!
context: I just wanted to...\No, that isn't what I meant!\Wh-Wh-What?\I'm not crying!\It's not like I was crying, okay?\You were clearly crying...\Your eyes are still red.\No! response:	Something's in my eye...
context: No, that isn't what I meant!\Wh-Wh-What?\I'm not crying!\It's not like I was crying, okay?\You were clearly crying...\Your eyes are still red.\No!\Something's in my eye... response:	What is this, an old soap opera?
context: Wh-Wh-What?\I'm not crying!\It's not like I was crying, okay?\You were clearly crying...\Your eyes are still red.\No!\Something's in my eye...\What is this, an old soap opera? response:	Anyway, I'm not crying.
context: I'm not crying!\It's not like I was crying, okay?\You were clearly crying...\Your eyes are still red.\No!\Something's in my eye...\What is this, an old soap opera?\Anyway, I'm not crying. response:	So no questions.
context: It's not like I was crying, okay?\You were clearly crying...\Your eyes are still red.\No!\Something's in my eye...\What is this, an old soap opera?\Anyway, I'm not crying.\So no questions. response:	Got it?
context: You were clearly crying...\Your eyes are still red.\No!\Something's in my eye...\What is this, an old soap opera?\Anyway, I'm not crying.\So no questions.\Got it? response:	I didn't say anything.
context: Your eyes are still red.\No!\Something's in my eye...\What is this, an old soap opera?\Anyway, I'm not crying.\So no questions.\Got it?\I didn't say anything. response:	Shut up!
context: No!\Something's in my eye...\What is this, an old soap opera?\Anyway, I'm not crying.\So no questions.\Got it?\I didn't say anything.\Shut up! response:	Christina...
context: Something's in my eye...\What is this, an old soap opera?\Anyway, I'm not crying.\So no questions.\Got it?\I didn't say anything.\Shut up!\Christina... response:	Don't talk to me!
context: What is this, an old soap opera?\Anyway, I'm not crying.\So no questions.\Got it?\I didn't say anything.\Shut up!\Christina...\Don't talk to me! response:	I'll only say this...
context: Anyway, I'm not crying.\So no questions.\Got it?\I didn't say anything.\Shut up!\Christina...\Don't talk to me!\I'll only say this... response:	You're part of my life now.
context: So no questions.\Got it?\I didn't say anything.\Shut up!\Christina...\Don't talk to me!\I'll only say this...\You're part of my life now. response:	Any time you want to talk, I'll listen.
context: Got it?\I didn't say anything.\Shut up!\Christina...\Don't talk to me!\I'll only say this...\You're part of my life now.\Any time you want to talk, I'll listen. response:	Okabe...
context: I didn't say anything.\Shut up!\Christina...\Don't talk to me!\I'll only say this...\You're part of my life now.\Any time you want to talk, I'll listen.\Okabe... response:	Just as planned, she fell for it!
context: Shut up!\Christina...\Don't talk to me!\I'll only say this...\You're part of my life now.\Any time you want to talk, I'll listen.\Okabe...\Just as planned, she fell for it! response:	Now I can use her for all the grunt work!
context: Christina...\Don't talk to me!\I'll only say this...\You're part of my life now.\Any time you want to talk, I'll listen.\Okabe...\Just as planned, she fell for it!\Now I can use her for all the grunt work! response:	Hey.
context: Don't talk to me!\I'll only say this...\You're part of my life now.\Any time you want to talk, I'll listen.\Okabe...\Just as planned, she fell for it!\Now I can use her for all the grunt work!\Hey. response:	Good work out there!
context: I'll only say this...\You're part of my life now.\Any time you want to talk, I'll listen.\Okabe...\Just as planned, she fell for it!\Now I can use her for all the grunt work!\Hey.\Good work out there! response:	Feyris-chan!
context: You're part of my life now.\Any time you want to talk, I'll listen.\Okabe...\Just as planned, she fell for it!\Now I can use her for all the grunt work!\Hey.\Good work out there!\Feyris-chan! response:	Are you heading to Kyouma's?
context: Any time you want to talk, I'll listen.\Okabe...\Just as planned, she fell for it!\Now I can use her for all the grunt work!\Hey.\Good work out there!\Feyris-chan!\Are you heading to Kyouma's? response:	Yeah, he wanted me to bring lunch.
context: Okabe...\Just as planned, she fell for it!\Now I can use her for all the grunt work!\Hey.\Good work out there!\Feyris-chan!\Are you heading to Kyouma's?\Yeah, he wanted me to bring lunch. response:	Hey, have you seen the time machine, Mayushii?
context: Just as planned, she fell for it!\Now I can use her for all the grunt work!\Hey.\Good work out there!\Feyris-chan!\Are you heading to Kyouma's?\Yeah, he wanted me to bring lunch.\Hey, have you seen the time machine, Mayushii? response:	Time...
context: Now I can use her for all the grunt work!\Hey.\Good work out there!\Feyris-chan!\Are you heading to Kyouma's?\Yeah, he wanted me to bring lunch.\Hey, have you seen the time machine, Mayushii?\Time... response:	Oh, Phone Microwave-san?
context: Hey.\Good work out there!\Feyris-chan!\Are you heading to Kyouma's?\Yeah, he wanted me to bring lunch.\Hey, have you seen the time machine, Mayushii?\Time...\Oh, Phone Microwave-san? response:	Phone Microwave?
context: Good work out there!\Feyris-chan!\Are you heading to Kyouma's?\Yeah, he wanted me to bring lunch.\Hey, have you seen the time machine, Mayushii?\Time...\Oh, Phone Microwave-san?\Phone Microwave? response:	There's this big spooky lightning, and it's kind of scary...
context: Feyris-chan!\Are you heading to Kyouma's?\Yeah, he wanted me to bring lunch.\Hey, have you seen the time machine, Mayushii?\Time...\Oh, Phone Microwave-san?\Phone Microwave?\There's this big spooky lightning, and it's kind of scary... response:	Wow!
context: Are you heading to Kyouma's?\Yeah, he wanted me to bring lunch.\Hey, have you seen the time machine, Mayushii?\Time...\Oh, Phone Microwave-san?\Phone Microwave?\There's this big spooky lightning, and it's kind of scary...\Wow! response:	It's like a time machine out of the movies.
context: Yeah, he wanted me to bring lunch.\Hey, have you seen the time machine, Mayushii?\Time...\Oh, Phone Microwave-san?\Phone Microwave?\There's this big spooky lightning, and it's kind of scary...\Wow!\It's like a time machine out of the movies. response:	Yeah...
context: Hey, have you seen the time machine, Mayushii?\Time...\Oh, Phone Microwave-san?\Phone Microwave?\There's this big spooky lightning, and it's kind of scary...\Wow!\It's like a time machine out of the movies.\Yeah... response:	But Mayushii doesn't really want him doing that stuff.
context: Time...\Oh, Phone Microwave-san?\Phone Microwave?\There's this big spooky lightning, and it's kind of scary...\Wow!\It's like a time machine out of the movies.\Yeah...\But Mayushii doesn't really want him doing that stuff. response:	Why?
context: Oh, Phone Microwave-san?\Phone Microwave?\There's this big spooky lightning, and it's kind of scary...\Wow!\It's like a time machine out of the movies.\Yeah...\But Mayushii doesn't really want him doing that stuff.\Why? response:	It feels like Okarin is leaving me.
context: Phone Microwave?\There's this big spooky lightning, and it's kind of scary...\Wow!\It's like a time machine out of the movies.\Yeah...\But Mayushii doesn't really want him doing that stuff.\Why?\It feels like Okarin is leaving me. response:	We will now begin our Round
context: There's this big spooky lightning, and it's kind of scary...\Wow!\It's like a time machine out of the movies.\Yeah...\But Mayushii doesn't really want him doing that stuff.\Why?\It feels like Okarin is leaving me.\We will now begin our Round response:	Okarin! Okarin!
context: Wow!\It's like a time machine out of the movies.\Yeah...\But Mayushii doesn't really want him doing that stuff.\Why?\It feels like Okarin is leaving me.\We will now begin our Round\Okarin! Okarin! response:	What?
context: It's like a time machine out of the movies.\Yeah...\But Mayushii doesn't really want him doing that stuff.\Why?\It feels like Okarin is leaving me.\We will now begin our Round\Okarin! Okarin!\What? response:	Isn't this strange?
context: Yeah...\But Mayushii doesn't really want him doing that stuff.\Why?\It feels like Okarin is leaving me.\We will now begin our Round\Okarin! Okarin!\What?\Isn't this strange? response:	Mayushii says she isn't cosplaying.
context: But Mayushii doesn't really want him doing that stuff.\Why?\It feels like Okarin is leaving me.\We will now begin our Round\Okarin! Okarin!\What?\Isn't this strange?\Mayushii says she isn't cosplaying. response:	It isn't cosplay.
context: Why?\It feels like Okarin is leaving me.\We will now begin our Round\Okarin! Okarin!\What?\Isn't this strange?\Mayushii says she isn't cosplaying.\It isn't cosplay. response:	It's her school uniform.
context: It feels like Okarin is leaving me.\We will now begin our Round\Okarin! Okarin!\What?\Isn't this strange?\Mayushii says she isn't cosplaying.\It isn't cosplay.\It's her school uniform. response:	I had school today.
context: We will now begin our Round\Okarin! Okarin!\What?\Isn't this strange?\Mayushii says she isn't cosplaying.\It isn't cosplay.\It's her school uniform.\I had school today. response:	It's a super-realistic portrayal of a school uniform.
context: Okarin! Okarin!\What?\Isn't this strange?\Mayushii says she isn't cosplaying.\It isn't cosplay.\It's her school uniform.\I had school today.\It's a super-realistic portrayal of a school uniform. response:	That's sexual harassment, and she doesn't have to accept it.
context: What?\Isn't this strange?\Mayushii says she isn't cosplaying.\It isn't cosplay.\It's her school uniform.\I had school today.\It's a super-realistic portrayal of a school uniform.\That's sexual harassment, and she doesn't have to accept it. response:	Here's yours, Okarin!
context: Isn't this strange?\Mayushii says she isn't cosplaying.\It isn't cosplay.\It's her school uniform.\I had school today.\It's a super-realistic portrayal of a school uniform.\That's sexual harassment, and she doesn't have to accept it.\Here's yours, Okarin! response:	Thanks.
context: Mayushii says she isn't cosplaying.\It isn't cosplay.\It's her school uniform.\I had school today.\It's a super-realistic portrayal of a school uniform.\That's sexual harassment, and she doesn't have to accept it.\Here's yours, Okarin!\Thanks. response:	No, wait. I said we're having a Round Table!
context: It isn't cosplay.\It's her school uniform.\I had school today.\It's a super-realistic portrayal of a school uniform.\That's sexual harassment, and she doesn't have to accept it.\Here's yours, Okarin!\Thanks.\No, wait. I said we're having a Round Table! response:	You're the one who wanted me to bring lunch.
context: It's her school uniform.\I had school today.\It's a super-realistic portrayal of a school uniform.\That's sexual harassment, and she doesn't have to accept it.\Here's yours, Okarin!\Thanks.\No, wait. I said we're having a Round Table!\You're the one who wanted me to bring lunch. response:	Don't mind him.
context: I had school today.\It's a super-realistic portrayal of a school uniform.\That's sexual harassment, and she doesn't have to accept it.\Here's yours, Okarin!\Thanks.\No, wait. I said we're having a Round Table!\You're the one who wanted me to bring lunch.\Don't mind him. response:	Obviously, it isn't anything important.
context: It's a super-realistic portrayal of a school uniform.\That's sexual harassment, and she doesn't have to accept it.\Here's yours, Okarin!\Thanks.\No, wait. I said we're having a Round Table!\You're the one who wanted me to bring lunch.\Don't mind him.\Obviously, it isn't anything important. response:	You can say that after you hear the discussion topic...
