context: Such Regret...! Vegeta, Pride of the Saiyans, Dies response:	Damn...
context: It's a little soon, but maybe I should finish you off.\So then, the identity of that huge Ki was Piccolo after all.\S- Son!\Nice. You were brought back here with the Dragonballs, huh?\Father!\Are you all right now?\Yeah. Thanks to you guys, I've recovered from all that damage.\You've stuck it out well, Gohan! Leave it up to me now. response:	What!?
context: So then, the identity of that huge Ki was Piccolo after all.\S- Son!\Nice. You were brought back here with the Dragonballs, huh?\Father!\Are you all right now?\Yeah. Thanks to you guys, I've recovered from all that damage.\You've stuck it out well, Gohan! Leave it up to me now.\What!? response:	Leave it up to you? What, are you planning on taking that freak on by yourself?
context: S- Son!\Nice. You were brought back here with the Dragonballs, huh?\Father!\Are you all right now?\Yeah. Thanks to you guys, I've recovered from all that damage.\You've stuck it out well, Gohan! Leave it up to me now.\What!?\Leave it up to you? What, are you planning on taking that freak on by yourself? response:	Yep.
context: Nice. You were brought back here with the Dragonballs, huh?\Father!\Are you all right now?\Yeah. Thanks to you guys, I've recovered from all that damage.\You've stuck it out well, Gohan! Leave it up to me now.\What!?\Leave it up to you? What, are you planning on taking that freak on by yourself?\Yep. response:	Father!
context: Father!\Are you all right now?\Yeah. Thanks to you guys, I've recovered from all that damage.\You've stuck it out well, Gohan! Leave it up to me now.\What!?\Leave it up to you? What, are you planning on taking that freak on by yourself?\Yep.\Father! response:	Are you really Goku? There's something different about the way your Ki has felt up until now.
context: Are you all right now?\Yeah. Thanks to you guys, I've recovered from all that damage.\You've stuck it out well, Gohan! Leave it up to me now.\What!?\Leave it up to you? What, are you planning on taking that freak on by yourself?\Yep.\Father!\Are you really Goku? There's something different about the way your Ki has felt up until now. response:	S- Son!
context: Yeah. Thanks to you guys, I've recovered from all that damage.\You've stuck it out well, Gohan! Leave it up to me now.\What!?\Leave it up to you? What, are you planning on taking that freak on by yourself?\Yep.\Father!\Are you really Goku? There's something different about the way your Ki has felt up until now.\S- Son! response:	Is that Son? He's got an unbelievable strength of Ki.
context: You've stuck it out well, Gohan! Leave it up to me now.\What!?\Leave it up to you? What, are you planning on taking that freak on by yourself?\Yep.\Father!\Are you really Goku? There's something different about the way your Ki has felt up until now.\S- Son!\Is that Son? He's got an unbelievable strength of Ki. response:	There's no comparison to when he was on Earth.
context: What!?\Leave it up to you? What, are you planning on taking that freak on by yourself?\Yep.\Father!\Are you really Goku? There's something different about the way your Ki has felt up until now.\S- Son!\Is that Son? He's got an unbelievable strength of Ki.\There's no comparison to when he was on Earth. response:	So you're Freeza?
context: Leave it up to you? What, are you planning on taking that freak on by yourself?\Yep.\Father!\Are you really Goku? There's something different about the way your Ki has felt up until now.\S- Son!\Is that Son? He's got an unbelievable strength of Ki.\There's no comparison to when he was on Earth.\So you're Freeza? response:	You're much more of a runt than I'd imagined.
context: Yep.\Father!\Are you really Goku? There's something different about the way your Ki has felt up until now.\S- Son!\Is that Son? He's got an unbelievable strength of Ki.\There's no comparison to when he was on Earth.\So you're Freeza?\You're much more of a runt than I'd imagined. response:	So there's still another one of you scum left?
context: Father!\Are you really Goku? There's something different about the way your Ki has felt up until now.\S- Son!\Is that Son? He's got an unbelievable strength of Ki.\There's no comparison to when he was on Earth.\So you're Freeza?\You're much more of a runt than I'd imagined.\So there's still another one of you scum left? response:	Vegeta has promised to fight with me. Don't you interfere!
context: Are you really Goku? There's something different about the way your Ki has felt up until now.\S- Son!\Is that Son? He's got an unbelievable strength of Ki.\There's no comparison to when he was on Earth.\So you're Freeza?\You're much more of a runt than I'd imagined.\So there's still another one of you scum left?\Vegeta has promised to fight with me. Don't you interfere! response:	You... It's like I've seen you before...
context: S- Son!\Is that Son? He's got an unbelievable strength of Ki.\There's no comparison to when he was on Earth.\So you're Freeza?\You're much more of a runt than I'd imagined.\So there's still another one of you scum left?\Vegeta has promised to fight with me. Don't you interfere!\You... It's like I've seen you before... response:	K- Kakarrot, it's you...
context: Is that Son? He's got an unbelievable strength of Ki.\There's no comparison to when he was on Earth.\So you're Freeza?\You're much more of a runt than I'd imagined.\So there's still another one of you scum left?\Vegeta has promised to fight with me. Don't you interfere!\You... It's like I've seen you before...\K- Kakarrot, it's you... response:	K- Kakarrot? But that name is Saiyan.
context: There's no comparison to when he was on Earth.\So you're Freeza?\You're much more of a runt than I'd imagined.\So there's still another one of you scum left?\Vegeta has promised to fight with me. Don't you interfere!\You... It's like I've seen you before...\K- Kakarrot, it's you...\K- Kakarrot? But that name is Saiyan. response:	It's him!
context: So you're Freeza?\You're much more of a runt than I'd imagined.\So there's still another one of you scum left?\Vegeta has promised to fight with me. Don't you interfere!\You... It's like I've seen you before...\K- Kakarrot, it's you...\K- Kakarrot? But that name is Saiyan.\It's him! response:	Freeza! Get out here!
context: You're much more of a runt than I'd imagined.\So there's still another one of you scum left?\Vegeta has promised to fight with me. Don't you interfere!\You... It's like I've seen you before...\K- Kakarrot, it's you...\K- Kakarrot? But that name is Saiyan.\It's him!\Freeza! Get out here! response:	I won't let you get away with this!
context: So there's still another one of you scum left?\Vegeta has promised to fight with me. Don't you interfere!\You... It's like I've seen you before...\K- Kakarrot, it's you...\K- Kakarrot? But that name is Saiyan.\It's him!\Freeza! Get out here!\I won't let you get away with this! response:	He looks just like that last Saiyan who opposed me when I destroyed planet Vegeta.
context: Vegeta has promised to fight with me. Don't you interfere!\You... It's like I've seen you before...\K- Kakarrot, it's you...\K- Kakarrot? But that name is Saiyan.\It's him!\Freeza! Get out here!\I won't let you get away with this!\He looks just like that last Saiyan who opposed me when I destroyed planet Vegeta. response:	I won't let a single one of you Saiyans live.
context: You... It's like I've seen you before...\K- Kakarrot, it's you...\K- Kakarrot? But that name is Saiyan.\It's him!\Freeza! Get out here!\I won't let you get away with this!\He looks just like that last Saiyan who opposed me when I destroyed planet Vegeta.\I won't let a single one of you Saiyans live. response:	Don't you see, you would do well just to tremble before me.
context: K- Kakarrot, it's you...\K- Kakarrot? But that name is Saiyan.\It's him!\Freeza! Get out here!\I won't let you get away with this!\He looks just like that last Saiyan who opposed me when I destroyed planet Vegeta.\I won't let a single one of you Saiyans live.\Don't you see, you would do well just to tremble before me. response:	Maybe so.
context: K- Kakarrot? But that name is Saiyan.\It's him!\Freeza! Get out here!\I won't let you get away with this!\He looks just like that last Saiyan who opposed me when I destroyed planet Vegeta.\I won't let a single one of you Saiyans live.\Don't you see, you would do well just to tremble before me.\Maybe so. response:	H- He's not the same Kakarrot as before...
context: It's him!\Freeza! Get out here!\I won't let you get away with this!\He looks just like that last Saiyan who opposed me when I destroyed planet Vegeta.\I won't let a single one of you Saiyans live.\Don't you see, you would do well just to tremble before me.\Maybe so.\H- He's not the same Kakarrot as before... response:	He's at last climbed over the wall of his limitations...
context: Freeza! Get out here!\I won't let you get away with this!\He looks just like that last Saiyan who opposed me when I destroyed planet Vegeta.\I won't let a single one of you Saiyans live.\Don't you see, you would do well just to tremble before me.\Maybe so.\H- He's not the same Kakarrot as before...\He's at last climbed over the wall of his limitations... response:	W- Which means...
context: I won't let you get away with this!\He looks just like that last Saiyan who opposed me when I destroyed planet Vegeta.\I won't let a single one of you Saiyans live.\Don't you see, you would do well just to tremble before me.\Maybe so.\H- He's not the same Kakarrot as before...\He's at last climbed over the wall of his limitations...\W- Which means... response:	Are you ready, then?
context: He looks just like that last Saiyan who opposed me when I destroyed planet Vegeta.\I won't let a single one of you Saiyans live.\Don't you see, you would do well just to tremble before me.\Maybe so.\H- He's not the same Kakarrot as before...\He's at last climbed over the wall of his limitations...\W- Which means...\Are you ready, then? response:	Yeah.
context: I won't let a single one of you Saiyans live.\Don't you see, you would do well just to tremble before me.\Maybe so.\H- He's not the same Kakarrot as before...\He's at last climbed over the wall of his limitations...\W- Which means...\Are you ready, then?\Yeah. response:	W- What was that? Did Goku just do something?
context: Don't you see, you would do well just to tremble before me.\Maybe so.\H- He's not the same Kakarrot as before...\He's at last climbed over the wall of his limitations...\W- Which means...\Are you ready, then?\Yeah.\W- What was that? Did Goku just do something? response:	Unreal!
context: Maybe so.\H- He's not the same Kakarrot as before...\He's at last climbed over the wall of his limitations...\W- Which means...\Are you ready, then?\Yeah.\W- What was that? Did Goku just do something?\Unreal! response:	Not even I could see that clearly. He's exceeded Freeza's speed!
context: H- He's not the same Kakarrot as before...\He's at last climbed over the wall of his limitations...\W- Which means...\Are you ready, then?\Yeah.\W- What was that? Did Goku just do something?\Unreal!\Not even I could see that clearly. He's exceeded Freeza's speed! response:	Oh, no! Get out of the way, Goku!
context: He's at last climbed over the wall of his limitations...\W- Which means...\Are you ready, then?\Yeah.\W- What was that? Did Goku just do something?\Unreal!\Not even I could see that clearly. He's exceeded Freeza's speed!\Oh, no! Get out of the way, Goku! response:	It can't be! He deflected every one of them, and with just one hand!
context: W- Which means...\Are you ready, then?\Yeah.\W- What was that? Did Goku just do something?\Unreal!\Not even I could see that clearly. He's exceeded Freeza's speed!\Oh, no! Get out of the way, Goku!\It can't be! He deflected every one of them, and with just one hand! response:	Freeza, you'd better fight like you mean it!
context: Are you ready, then?\Yeah.\W- What was that? Did Goku just do something?\Unreal!\Not even I could see that clearly. He's exceeded Freeza's speed!\Oh, no! Get out of the way, Goku!\It can't be! He deflected every one of them, and with just one hand!\Freeza, you'd better fight like you mean it! response:	H- He's the very thing you fear most...
context: Yeah.\W- What was that? Did Goku just do something?\Unreal!\Not even I could see that clearly. He's exceeded Freeza's speed!\Oh, no! Get out of the way, Goku!\It can't be! He deflected every one of them, and with just one hand!\Freeza, you'd better fight like you mean it!\H- He's the very thing you fear most... response:	A Super Saiyan!
context: W- What was that? Did Goku just do something?\Unreal!\Not even I could see that clearly. He's exceeded Freeza's speed!\Oh, no! Get out of the way, Goku!\It can't be! He deflected every one of them, and with just one hand!\Freeza, you'd better fight like you mean it!\H- He's the very thing you fear most...\A Super Saiyan! response:	That's right! The strongest warrior in the universe, a Super Saiyan!
context: Unreal!\Not even I could see that clearly. He's exceeded Freeza's speed!\Oh, no! Get out of the way, Goku!\It can't be! He deflected every one of them, and with just one hand!\Freeza, you'd better fight like you mean it!\H- He's the very thing you fear most...\A Super Saiyan!\That's right! The strongest warrior in the universe, a Super Saiyan! response:	Freeza, you're finished now! Serves you right!
context: Not even I could see that clearly. He's exceeded Freeza's speed!\Oh, no! Get out of the way, Goku!\It can't be! He deflected every one of them, and with just one hand!\Freeza, you'd better fight like you mean it!\H- He's the very thing you fear most...\A Super Saiyan!\That's right! The strongest warrior in the universe, a Super Saiyan!\Freeza, you're finished now! Serves you right! response:	Vegeta!
context: Oh, no! Get out of the way, Goku!\It can't be! He deflected every one of them, and with just one hand!\Freeza, you'd better fight like you mean it!\H- He's the very thing you fear most...\A Super Saiyan!\That's right! The strongest warrior in the universe, a Super Saiyan!\Freeza, you're finished now! Serves you right!\Vegeta! response:	You knew, Vegeta, that I hate such petty jokes, didn't you?
context: It can't be! He deflected every one of them, and with just one hand!\Freeza, you'd better fight like you mean it!\H- He's the very thing you fear most...\A Super Saiyan!\That's right! The strongest warrior in the universe, a Super Saiyan!\Freeza, you're finished now! Serves you right!\Vegeta!\You knew, Vegeta, that I hate such petty jokes, didn't you? response:	Vegeta!
context: Freeza, you'd better fight like you mean it!\H- He's the very thing you fear most...\A Super Saiyan!\That's right! The strongest warrior in the universe, a Super Saiyan!\Freeza, you're finished now! Serves you right!\Vegeta!\You knew, Vegeta, that I hate such petty jokes, didn't you?\Vegeta! response:	Hey! Vegeta was in a state where he couldn't even move!
context: H- He's the very thing you fear most...\A Super Saiyan!\That's right! The strongest warrior in the universe, a Super Saiyan!\Freeza, you're finished now! Serves you right!\Vegeta!\You knew, Vegeta, that I hate such petty jokes, didn't you?\Vegeta!\Hey! Vegeta was in a state where he couldn't even move! response:	There was no reason to finish him off on purpose!
context: A Super Saiyan!\That's right! The strongest warrior in the universe, a Super Saiyan!\Freeza, you're finished now! Serves you right!\Vegeta!\You knew, Vegeta, that I hate such petty jokes, didn't you?\Vegeta!\Hey! Vegeta was in a state where he couldn't even move!\There was no reason to finish him off on purpose! response:	The Super Saiyan is nothing more than a frivolous legend.
context: That's right! The strongest warrior in the universe, a Super Saiyan!\Freeza, you're finished now! Serves you right!\Vegeta!\You knew, Vegeta, that I hate such petty jokes, didn't you?\Vegeta!\Hey! Vegeta was in a state where he couldn't even move!\There was no reason to finish him off on purpose!\The Super Saiyan is nothing more than a frivolous legend. response:	He wouldn't stop going on about it. I hate it when people get tedious.
context: Freeza, you're finished now! Serves you right!\Vegeta!\You knew, Vegeta, that I hate such petty jokes, didn't you?\Vegeta!\Hey! Vegeta was in a state where he couldn't even move!\There was no reason to finish him off on purpose!\The Super Saiyan is nothing more than a frivolous legend.\He wouldn't stop going on about it. I hate it when people get tedious. response:	- K- Kakarrot... - Vegeta!
context: Vegeta!\You knew, Vegeta, that I hate such petty jokes, didn't you?\Vegeta!\Hey! Vegeta was in a state where he couldn't even move!\There was no reason to finish him off on purpose!\The Super Saiyan is nothing more than a frivolous legend.\He wouldn't stop going on about it. I hate it when people get tedious.\- K- Kakarrot... - Vegeta! response:	Are you... still reciting that soft crap? Are you not a Super Saiyan!?
context: You knew, Vegeta, that I hate such petty jokes, didn't you?\Vegeta!\Hey! Vegeta was in a state where he couldn't even move!\There was no reason to finish him off on purpose!\The Super Saiyan is nothing more than a frivolous legend.\He wouldn't stop going on about it. I hate it when people get tedious.\- K- Kakarrot... - Vegeta!\Are you... still reciting that soft crap? Are you not a Super Saiyan!? response:	Wait!
context: Vegeta!\Hey! Vegeta was in a state where he couldn't even move!\There was no reason to finish him off on purpose!\The Super Saiyan is nothing more than a frivolous legend.\He wouldn't stop going on about it. I hate it when people get tedious.\- K- Kakarrot... - Vegeta!\Are you... still reciting that soft crap? Are you not a Super Saiyan!?\Wait! response:	You foolish scum! Get cold-hearted! If you had only discarded your leniency, you would surely already be...
context: Hey! Vegeta was in a state where he couldn't even move!\There was no reason to finish him off on purpose!\The Super Saiyan is nothing more than a frivolous legend.\He wouldn't stop going on about it. I hate it when people get tedious.\- K- Kakarrot... - Vegeta!\Are you... still reciting that soft crap? Are you not a Super Saiyan!?\Wait!\You foolish scum! Get cold-hearted! If you had only discarded your leniency, you would surely already be... response:	I just don't see how I could act as cold-hearted as you do.
context: There was no reason to finish him off on purpose!\The Super Saiyan is nothing more than a frivolous legend.\He wouldn't stop going on about it. I hate it when people get tedious.\- K- Kakarrot... - Vegeta!\Are you... still reciting that soft crap? Are you not a Super Saiyan!?\Wait!\You foolish scum! Get cold-hearted! If you had only discarded your leniency, you would surely already be...\I just don't see how I could act as cold-hearted as you do. response:	And as for this Super Saiyan business, I don't know what you mean.
context: The Super Saiyan is nothing more than a frivolous legend.\He wouldn't stop going on about it. I hate it when people get tedious.\- K- Kakarrot... - Vegeta!\Are you... still reciting that soft crap? Are you not a Super Saiyan!?\Wait!\You foolish scum! Get cold-hearted! If you had only discarded your leniency, you would surely already be...\I just don't see how I could act as cold-hearted as you do.\And as for this Super Saiyan business, I don't know what you mean. response:	A- A Super Saiyan is...
context: He wouldn't stop going on about it. I hate it when people get tedious.\- K- Kakarrot... - Vegeta!\Are you... still reciting that soft crap? Are you not a Super Saiyan!?\Wait!\You foolish scum! Get cold-hearted! If you had only discarded your leniency, you would surely already be...\I just don't see how I could act as cold-hearted as you do.\And as for this Super Saiyan business, I don't know what you mean.\A- A Super Saiyan is... response:	How wonderful! Look at it, Zarbon-san, Dodoria-san! Behold such beautiful fireworks!
context: - K- Kakarrot... - Vegeta!\Are you... still reciting that soft crap? Are you not a Super Saiyan!?\Wait!\You foolish scum! Get cold-hearted! If you had only discarded your leniency, you would surely already be...\I just don't see how I could act as cold-hearted as you do.\And as for this Super Saiyan business, I don't know what you mean.\A- A Super Saiyan is...\How wonderful! Look at it, Zarbon-san, Dodoria-san! Behold such beautiful fireworks! response:	L- Listen well, Kakarrot...
context: Are you... still reciting that soft crap? Are you not a Super Saiyan!?\Wait!\You foolish scum! Get cold-hearted! If you had only discarded your leniency, you would surely already be...\I just don't see how I could act as cold-hearted as you do.\And as for this Super Saiyan business, I don't know what you mean.\A- A Super Saiyan is...\How wonderful! Look at it, Zarbon-san, Dodoria-san! Behold such beautiful fireworks!\L- Listen well, Kakarrot... response:	And here I've pierced his heart. What nerve. Are you going to keep talking?
context: Wait!\You foolish scum! Get cold-hearted! If you had only discarded your leniency, you would surely already be...\I just don't see how I could act as cold-hearted as you do.\And as for this Super Saiyan business, I don't know what you mean.\A- A Super Saiyan is...\How wonderful! Look at it, Zarbon-san, Dodoria-san! Behold such beautiful fireworks!\L- Listen well, Kakarrot...\And here I've pierced his heart. What nerve. Are you going to keep talking? response:	Your... our planet of birth, Planet Vegeta... was not destroyed... in a collision with a giant meteor...
context: You foolish scum! Get cold-hearted! If you had only discarded your leniency, you would surely already be...\I just don't see how I could act as cold-hearted as you do.\And as for this Super Saiyan business, I don't know what you mean.\A- A Super Saiyan is...\How wonderful! Look at it, Zarbon-san, Dodoria-san! Behold such beautiful fireworks!\L- Listen well, Kakarrot...\And here I've pierced his heart. What nerve. Are you going to keep talking?\Your... our planet of birth, Planet Vegeta... was not destroyed... in a collision with a giant meteor... response:	Don't say any more! You're just hastening your death!
context: I just don't see how I could act as cold-hearted as you do.\And as for this Super Saiyan business, I don't know what you mean.\A- A Super Saiyan is...\How wonderful! Look at it, Zarbon-san, Dodoria-san! Behold such beautiful fireworks!\L- Listen well, Kakarrot...\And here I've pierced his heart. What nerve. Are you going to keep talking?\Your... our planet of birth, Planet Vegeta... was not destroyed... in a collision with a giant meteor...\Don't say any more! You're just hastening your death! response:	Freeza did it...!
context: And as for this Super Saiyan business, I don't know what you mean.\A- A Super Saiyan is...\How wonderful! Look at it, Zarbon-san, Dodoria-san! Behold such beautiful fireworks!\L- Listen well, Kakarrot...\And here I've pierced his heart. What nerve. Are you going to keep talking?\Your... our planet of birth, Planet Vegeta... was not destroyed... in a collision with a giant meteor...\Don't say any more! You're just hastening your death!\Freeza did it...! response:	This after we Saiyans... served as his hands and feet... working exactly as he ordered...!
context: A- A Super Saiyan is...\How wonderful! Look at it, Zarbon-san, Dodoria-san! Behold such beautiful fireworks!\L- Listen well, Kakarrot...\And here I've pierced his heart. What nerve. Are you going to keep talking?\Your... our planet of birth, Planet Vegeta... was not destroyed... in a collision with a giant meteor...\Don't say any more! You're just hastening your death!\Freeza did it...!\This after we Saiyans... served as his hands and feet... working exactly as he ordered...! response:	Everyone besides us was killed...!
context: How wonderful! Look at it, Zarbon-san, Dodoria-san! Behold such beautiful fireworks!\L- Listen well, Kakarrot...\And here I've pierced his heart. What nerve. Are you going to keep talking?\Your... our planet of birth, Planet Vegeta... was not destroyed... in a collision with a giant meteor...\Don't say any more! You're just hastening your death!\Freeza did it...!\This after we Saiyans... served as his hands and feet... working exactly as he ordered...!\Everyone besides us was killed...! response:	Your father... and my father, the king, as well...!
context: L- Listen well, Kakarrot...\And here I've pierced his heart. What nerve. Are you going to keep talking?\Your... our planet of birth, Planet Vegeta... was not destroyed... in a collision with a giant meteor...\Don't say any more! You're just hastening your death!\Freeza did it...!\This after we Saiyans... served as his hands and feet... working exactly as he ordered...!\Everyone besides us was killed...!\Your father... and my father, the king, as well...! response:	Freeza... was afraid that as the Saiyans gathered strength...
context: And here I've pierced his heart. What nerve. Are you going to keep talking?\Your... our planet of birth, Planet Vegeta... was not destroyed... in a collision with a giant meteor...\Don't say any more! You're just hastening your death!\Freeza did it...!\This after we Saiyans... served as his hands and feet... working exactly as he ordered...!\Everyone besides us was killed...!\Your father... and my father, the king, as well...!\Freeza... was afraid that as the Saiyans gathered strength... response:	a Super Saiyan would be born among us...
context: Your... our planet of birth, Planet Vegeta... was not destroyed... in a collision with a giant meteor...\Don't say any more! You're just hastening your death!\Freeza did it...!\This after we Saiyans... served as his hands and feet... working exactly as he ordered...!\Everyone besides us was killed...!\Your father... and my father, the king, as well...!\Freeza... was afraid that as the Saiyans gathered strength...\a Super Saiyan would be born among us... response:	Just listen to you.
context: Don't say any more! You're just hastening your death!\Freeza did it...!\This after we Saiyans... served as his hands and feet... working exactly as he ordered...!\Everyone besides us was killed...!\Your father... and my father, the king, as well...!\Freeza... was afraid that as the Saiyans gathered strength...\a Super Saiyan would be born among us...\Just listen to you. response:	Vegeta!
context: Freeza did it...!\This after we Saiyans... served as his hands and feet... working exactly as he ordered...!\Everyone besides us was killed...!\Your father... and my father, the king, as well...!\Freeza... was afraid that as the Saiyans gathered strength...\a Super Saiyan would be born among us...\Just listen to you.\Vegeta! response:	l- I beg you...! Freeza... defeat Freeza...!
context: This after we Saiyans... served as his hands and feet... working exactly as he ordered...!\Everyone besides us was killed...!\Your father... and my father, the king, as well...!\Freeza... was afraid that as the Saiyans gathered strength...\a Super Saiyan would be born among us...\Just listen to you.\Vegeta!\l- I beg you...! Freeza... defeat Freeza...! response:	Please... by your Saiyan hand...
context: Everyone besides us was killed...!\Your father... and my father, the king, as well...!\Freeza... was afraid that as the Saiyans gathered strength...\a Super Saiyan would be born among us...\Just listen to you.\Vegeta!\l- I beg you...! Freeza... defeat Freeza...!\Please... by your Saiyan hand... response:	Vegeta...
context: Your father... and my father, the king, as well...!\Freeza... was afraid that as the Saiyans gathered strength...\a Super Saiyan would be born among us...\Just listen to you.\Vegeta!\l- I beg you...! Freeza... defeat Freeza...!\Please... by your Saiyan hand...\Vegeta... response:	Has he finally croaked? Well, shall we reconvene this Show of Terror, then?
context: Freeza... was afraid that as the Saiyans gathered strength...\a Super Saiyan would be born among us...\Just listen to you.\Vegeta!\l- I beg you...! Freeza... defeat Freeza...!\Please... by your Saiyan hand...\Vegeta...\Has he finally croaked? Well, shall we reconvene this Show of Terror, then? response:	For you to cry...
context: a Super Saiyan would be born among us...\Just listen to you.\Vegeta!\l- I beg you...! Freeza... defeat Freeza...!\Please... by your Saiyan hand...\Vegeta...\Has he finally croaked? Well, shall we reconvene this Show of Terror, then?\For you to cry... response:	For you to beg of me, must have been awfully difficult, I bet.
context: Just listen to you.\Vegeta!\l- I beg you...! Freeza... defeat Freeza...!\Please... by your Saiyan hand...\Vegeta...\Has he finally croaked? Well, shall we reconvene this Show of Terror, then?\For you to cry...\For you to beg of me, must have been awfully difficult, I bet. response:	I understand. It wasn't that your fellow Saiyans had been killed that was rough on you-
context: Vegeta!\l- I beg you...! Freeza... defeat Freeza...!\Please... by your Saiyan hand...\Vegeta...\Has he finally croaked? Well, shall we reconvene this Show of Terror, then?\For you to cry...\For you to beg of me, must have been awfully difficult, I bet.\I understand. It wasn't that your fellow Saiyans had been killed that was rough on you- response:	Having to do as he told you must have been worse than anything you could stand.
context: l- I beg you...! Freeza... defeat Freeza...!\Please... by your Saiyan hand...\Vegeta...\Has he finally croaked? Well, shall we reconvene this Show of Terror, then?\For you to cry...\For you to beg of me, must have been awfully difficult, I bet.\I understand. It wasn't that your fellow Saiyans had been killed that was rough on you-\Having to do as he told you must have been worse than anything you could stand. response:	I hated you so much...
context: Please... by your Saiyan hand...\Vegeta...\Has he finally croaked? Well, shall we reconvene this Show of Terror, then?\For you to cry...\For you to beg of me, must have been awfully difficult, I bet.\I understand. It wasn't that your fellow Saiyans had been killed that was rough on you-\Having to do as he told you must have been worse than anything you could stand.\I hated you so much... response:	And now I too will share in some of that pride of yours.
context: Vegeta...\Has he finally croaked? Well, shall we reconvene this Show of Terror, then?\For you to cry...\For you to beg of me, must have been awfully difficult, I bet.\I understand. It wasn't that your fellow Saiyans had been killed that was rough on you-\Having to do as he told you must have been worse than anything you could stand.\I hated you so much...\And now I too will share in some of that pride of yours. response:	I am a Saiyan raised on Earth!
context: Has he finally croaked? Well, shall we reconvene this Show of Terror, then?\For you to cry...\For you to beg of me, must have been awfully difficult, I bet.\I understand. It wasn't that your fellow Saiyans had been killed that was rough on you-\Having to do as he told you must have been worse than anything you could stand.\I hated you so much...\And now I too will share in some of that pride of yours.\I am a Saiyan raised on Earth! response:	For all the Saiyans who were killed by you...
context: For you to cry...\For you to beg of me, must have been awfully difficult, I bet.\I understand. It wasn't that your fellow Saiyans had been killed that was rough on you-\Having to do as he told you must have been worse than anything you could stand.\I hated you so much...\And now I too will share in some of that pride of yours.\I am a Saiyan raised on Earth!\For all the Saiyans who were killed by you... response:	I am going to beat you!
context: For you to beg of me, must have been awfully difficult, I bet.\I understand. It wasn't that your fellow Saiyans had been killed that was rough on you-\Having to do as he told you must have been worse than anything you could stand.\I hated you so much...\And now I too will share in some of that pride of yours.\I am a Saiyan raised on Earth!\For all the Saiyans who were killed by you...\I am going to beat you! response:	Such drivel.
context: I understand. It wasn't that your fellow Saiyans had been killed that was rough on you-\Having to do as he told you must have been worse than anything you could stand.\I hated you so much...\And now I too will share in some of that pride of yours.\I am a Saiyan raised on Earth!\For all the Saiyans who were killed by you...\I am going to beat you!\Such drivel. response:	Son Goku opens his eyes to his Saiyan pride.
