context: How audacious it was for them to attempt to inflict even one injury upon me. response:	Such extreme examples of those who did not keep their places.
context: you would soon change your mind and tell me\how to have the Dragon Balls grant my wish.\You will also regret not having spoken up sooner,\while you were still unharmed.\If you like, we can spare your life right here and now.\You've probably already realized this,\but Grand Elder- sama has only a short time left to live.\It would be bad for you and I both response:	if we were to fight here, with him caught in the middle.
context: how to have the Dragon Balls grant my wish.\You will also regret not having spoken up sooner,\while you were still unharmed.\If you like, we can spare your life right here and now.\You've probably already realized this,\but Grand Elder- sama has only a short time left to live.\It would be bad for you and I both\if we were to fight here, with him caught in the middle. response:	We will change our location.
context: You will also regret not having spoken up sooner,\while you were still unharmed.\If you like, we can spare your life right here and now.\You've probably already realized this,\but Grand Elder- sama has only a short time left to live.\It would be bad for you and I both\if we were to fight here, with him caught in the middle.\We will change our location. response:	I do not anticipate the extent of our fight to be that great,
context: while you were still unharmed.\If you like, we can spare your life right here and now.\You've probably already realized this,\but Grand Elder- sama has only a short time left to live.\It would be bad for you and I both\if we were to fight here, with him caught in the middle.\We will change our location.\I do not anticipate the extent of our fight to be that great, response:	but very well.
context: If you like, we can spare your life right here and now.\You've probably already realized this,\but Grand Elder- sama has only a short time left to live.\It would be bad for you and I both\if we were to fight here, with him caught in the middle.\We will change our location.\I do not anticipate the extent of our fight to be that great,\but very well. response:	Anywhere you like.
context: You've probably already realized this,\but Grand Elder- sama has only a short time left to live.\It would be bad for you and I both\if we were to fight here, with him caught in the middle.\We will change our location.\I do not anticipate the extent of our fight to be that great,\but very well.\Anywhere you like. response:	My apologies, Nail. Please find a way to hold out
context: but Grand Elder- sama has only a short time left to live.\It would be bad for you and I both\if we were to fight here, with him caught in the middle.\We will change our location.\I do not anticipate the extent of our fight to be that great,\but very well.\Anywhere you like.\My apologies, Nail. Please find a way to hold out response:	long enough for Dende to reach the Earthlings.
context: It would be bad for you and I both\if we were to fight here, with him caught in the middle.\We will change our location.\I do not anticipate the extent of our fight to be that great,\but very well.\Anywhere you like.\My apologies, Nail. Please find a way to hold out\long enough for Dende to reach the Earthlings. response:	At this point, the fate of our planet rests in their hands.
context: if we were to fight here, with him caught in the middle.\We will change our location.\I do not anticipate the extent of our fight to be that great,\but very well.\Anywhere you like.\My apologies, Nail. Please find a way to hold out\long enough for Dende to reach the Earthlings.\At this point, the fate of our planet rests in their hands. response:	C- Commander Ginyu!
context: We will change our location.\I do not anticipate the extent of our fight to be that great,\but very well.\Anywhere you like.\My apologies, Nail. Please find a way to hold out\long enough for Dende to reach the Earthlings.\At this point, the fate of our planet rests in their hands.\C- Commander Ginyu! response:	What are you laughing about?
context: I do not anticipate the extent of our fight to be that great,\but very well.\Anywhere you like.\My apologies, Nail. Please find a way to hold out\long enough for Dende to reach the Earthlings.\At this point, the fate of our planet rests in their hands.\C- Commander Ginyu!\What are you laughing about? response:	How can I not laugh about this?
context: but very well.\Anywhere you like.\My apologies, Nail. Please find a way to hold out\long enough for Dende to reach the Earthlings.\At this point, the fate of our planet rests in their hands.\C- Commander Ginyu!\What are you laughing about?\How can I not laugh about this? response:	I didn't think anyone could be as strong as you.
context: Anywhere you like.\My apologies, Nail. Please find a way to hold out\long enough for Dende to reach the Earthlings.\At this point, the fate of our planet rests in their hands.\C- Commander Ginyu!\What are you laughing about?\How can I not laugh about this?\I didn't think anyone could be as strong as you. response:	So why laugh?
context: My apologies, Nail. Please find a way to hold out\long enough for Dende to reach the Earthlings.\At this point, the fate of our planet rests in their hands.\C- Commander Ginyu!\What are you laughing about?\How can I not laugh about this?\I didn't think anyone could be as strong as you.\So why laugh? response:	Because I'm happy to have found someone much stronger than even I, Ginyu- sama.
context: long enough for Dende to reach the Earthlings.\At this point, the fate of our planet rests in their hands.\C- Commander Ginyu!\What are you laughing about?\How can I not laugh about this?\I didn't think anyone could be as strong as you.\So why laugh?\Because I'm happy to have found someone much stronger than even I, Ginyu- sama. response:	Yes, yes! Such strength!
context: At this point, the fate of our planet rests in their hands.\C- Commander Ginyu!\What are you laughing about?\How can I not laugh about this?\I didn't think anyone could be as strong as you.\So why laugh?\Because I'm happy to have found someone much stronger than even I, Ginyu- sama.\Yes, yes! Such strength! response:	I'm so happy! I'm so happy!
context: C- Commander Ginyu!\What are you laughing about?\How can I not laugh about this?\I didn't think anyone could be as strong as you.\So why laugh?\Because I'm happy to have found someone much stronger than even I, Ginyu- sama.\Yes, yes! Such strength!\I'm so happy! I'm so happy! response:	It's been quite a while since I've been so happy!
context: What are you laughing about?\How can I not laugh about this?\I didn't think anyone could be as strong as you.\So why laugh?\Because I'm happy to have found someone much stronger than even I, Ginyu- sama.\Yes, yes! Such strength!\I'm so happy! I'm so happy!\It's been quite a while since I've been so happy! response:	I'm so glad to be alive!
context: How can I not laugh about this?\I didn't think anyone could be as strong as you.\So why laugh?\Because I'm happy to have found someone much stronger than even I, Ginyu- sama.\Yes, yes! Such strength!\I'm so happy! I'm so happy!\It's been quite a while since I've been so happy!\I'm so glad to be alive! response:	W- what!?
context: I didn't think anyone could be as strong as you.\So why laugh?\Because I'm happy to have found someone much stronger than even I, Ginyu- sama.\Yes, yes! Such strength!\I'm so happy! I'm so happy!\It's been quite a while since I've been so happy!\I'm so glad to be alive!\W- what!? response:	Jheese...
context: So why laugh?\Because I'm happy to have found someone much stronger than even I, Ginyu- sama.\Yes, yes! Such strength!\I'm so happy! I'm so happy!\It's been quite a while since I've been so happy!\I'm so glad to be alive!\W- what!?\Jheese... response:	Y- yes, sir.
context: Because I'm happy to have found someone much stronger than even I, Ginyu- sama.\Yes, yes! Such strength!\I'm so happy! I'm so happy!\It's been quite a while since I've been so happy!\I'm so glad to be alive!\W- what!?\Jheese...\Y- yes, sir. response:	S- so that's it! Commander Ginyu...
context: Yes, yes! Such strength!\I'm so happy! I'm so happy!\It's been quite a while since I've been so happy!\I'm so glad to be alive!\W- what!?\Jheese...\Y- yes, sir.\S- so that's it! Commander Ginyu... response:	Take care that you do not drop my Scouter.
context: I'm so happy! I'm so happy!\It's been quite a while since I've been so happy!\I'm so glad to be alive!\W- what!?\Jheese...\Y- yes, sir.\S- so that's it! Commander Ginyu...\Take care that you do not drop my Scouter. response:	That's it, all right!
context: It's been quite a while since I've been so happy!\I'm so glad to be alive!\W- what!?\Jheese...\Y- yes, sir.\S- so that's it! Commander Ginyu...\Take care that you do not drop my Scouter.\That's it, all right! response:	How far away are you going?
context: I'm so glad to be alive!\W- what!?\Jheese...\Y- yes, sir.\S- so that's it! Commander Ginyu...\Take care that you do not drop my Scouter.\That's it, all right!\How far away are you going? response:	This is far enough!
context: W- what!?\Jheese...\Y- yes, sir.\S- so that's it! Commander Ginyu...\Take care that you do not drop my Scouter.\That's it, all right!\How far away are you going?\This is far enough! response:	There is no need to distance ourselves any farther than this, is there?
context: Jheese...\Y- yes, sir.\S- so that's it! Commander Ginyu...\Take care that you do not drop my Scouter.\That's it, all right!\How far away are you going?\This is far enough!\There is no need to distance ourselves any farther than this, is there? response:	I suppose not.
context: Y- yes, sir.\S- so that's it! Commander Ginyu...\Take care that you do not drop my Scouter.\That's it, all right!\How far away are you going?\This is far enough!\There is no need to distance ourselves any farther than this, is there?\I suppose not. response:	My, my. Those who wish to die certainly account
context: S- so that's it! Commander Ginyu...\Take care that you do not drop my Scouter.\That's it, all right!\How far away are you going?\This is far enough!\There is no need to distance ourselves any farther than this, is there?\I suppose not.\My, my. Those who wish to die certainly account response:	for a large number of this planet's inhabitants.
context: Take care that you do not drop my Scouter.\That's it, all right!\How far away are you going?\This is far enough!\There is no need to distance ourselves any farther than this, is there?\I suppose not.\My, my. Those who wish to die certainly account\for a large number of this planet's inhabitants. response:	How troubling.
context: That's it, all right!\How far away are you going?\This is far enough!\There is no need to distance ourselves any farther than this, is there?\I suppose not.\My, my. Those who wish to die certainly account\for a large number of this planet's inhabitants.\How troubling. response:	This is amazing! Your battle power has risen to 42,000.
context: How far away are you going?\This is far enough!\There is no need to distance ourselves any farther than this, is there?\I suppose not.\My, my. Those who wish to die certainly account\for a large number of this planet's inhabitants.\How troubling.\This is amazing! Your battle power has risen to 42,000. response:	I see now. You certainly are quite different from the other Namekians.
context: This is far enough!\There is no need to distance ourselves any farther than this, is there?\I suppose not.\My, my. Those who wish to die certainly account\for a large number of this planet's inhabitants.\How troubling.\This is amazing! Your battle power has risen to 42,000.\I see now. You certainly are quite different from the other Namekians. response:	I am surprised. It is a wonderful battle power.
context: There is no need to distance ourselves any farther than this, is there?\I suppose not.\My, my. Those who wish to die certainly account\for a large number of this planet's inhabitants.\How troubling.\This is amazing! Your battle power has risen to 42,000.\I see now. You certainly are quite different from the other Namekians.\I am surprised. It is a wonderful battle power. response:	You certainly live up to your classification as a warrior-type.
context: I suppose not.\My, my. Those who wish to die certainly account\for a large number of this planet's inhabitants.\How troubling.\This is amazing! Your battle power has risen to 42,000.\I see now. You certainly are quite different from the other Namekians.\I am surprised. It is a wonderful battle power.\You certainly live up to your classification as a warrior-type. response:	I wish you were among my ranks.
context: My, my. Those who wish to die certainly account\for a large number of this planet's inhabitants.\How troubling.\This is amazing! Your battle power has risen to 42,000.\I see now. You certainly are quite different from the other Namekians.\I am surprised. It is a wonderful battle power.\You certainly live up to your classification as a warrior-type.\I wish you were among my ranks. response:	Well, shall I inform you of the battle power rating which I possess,
context: for a large number of this planet's inhabitants.\How troubling.\This is amazing! Your battle power has risen to 42,000.\I see now. You certainly are quite different from the other Namekians.\I am surprised. It is a wonderful battle power.\You certainly live up to your classification as a warrior-type.\I wish you were among my ranks.\Well, shall I inform you of the battle power rating which I possess, response:	to use as a reference as you begin your fight against me?
context: How troubling.\This is amazing! Your battle power has risen to 42,000.\I see now. You certainly are quite different from the other Namekians.\I am surprised. It is a wonderful battle power.\You certainly live up to your classification as a warrior-type.\I wish you were among my ranks.\Well, shall I inform you of the battle power rating which I possess,\to use as a reference as you begin your fight against me? response:	My battle power rating is...
context: This is amazing! Your battle power has risen to 42,000.\I see now. You certainly are quite different from the other Namekians.\I am surprised. It is a wonderful battle power.\You certainly live up to your classification as a warrior-type.\I wish you were among my ranks.\Well, shall I inform you of the battle power rating which I possess,\to use as a reference as you begin your fight against me?\My battle power rating is... response:	530,000.
context: I see now. You certainly are quite different from the other Namekians.\I am surprised. It is a wonderful battle power.\You certainly live up to your classification as a warrior-type.\I wish you were among my ranks.\Well, shall I inform you of the battle power rating which I possess,\to use as a reference as you begin your fight against me?\My battle power rating is...\530,000. response:	However, naturally I do not intend to use my full power against you,
context: I am surprised. It is a wonderful battle power.\You certainly live up to your classification as a warrior-type.\I wish you were among my ranks.\Well, shall I inform you of the battle power rating which I possess,\to use as a reference as you begin your fight against me?\My battle power rating is...\530,000.\However, naturally I do not intend to use my full power against you, response:	so you need not worry.
context: You certainly live up to your classification as a warrior-type.\I wish you were among my ranks.\Well, shall I inform you of the battle power rating which I possess,\to use as a reference as you begin your fight against me?\My battle power rating is...\530,000.\However, naturally I do not intend to use my full power against you,\so you need not worry. response:	What!?
context: I wish you were among my ranks.\Well, shall I inform you of the battle power rating which I possess,\to use as a reference as you begin your fight against me?\My battle power rating is...\530,000.\However, naturally I do not intend to use my full power against you,\so you need not worry.\What!? response:	I know! What if I were to fight using only my left hand for you?
context: Well, shall I inform you of the battle power rating which I possess,\to use as a reference as you begin your fight against me?\My battle power rating is...\530,000.\However, naturally I do not intend to use my full power against you,\so you need not worry.\What!?\I know! What if I were to fight using only my left hand for you? response:	That might make it more enjoyable.
context: to use as a reference as you begin your fight against me?\My battle power rating is...\530,000.\However, naturally I do not intend to use my full power against you,\so you need not worry.\What!?\I know! What if I were to fight using only my left hand for you?\That might make it more enjoyable. response:	Enough!
context: My battle power rating is...\530,000.\However, naturally I do not intend to use my full power against you,\so you need not worry.\What!?\I know! What if I were to fight using only my left hand for you?\That might make it more enjoyable.\Enough! response:	No, this will not do. Here I stretched out my neck for you
context: 530,000.\However, naturally I do not intend to use my full power against you,\so you need not worry.\What!?\I know! What if I were to fight using only my left hand for you?\That might make it more enjoyable.\Enough!\No, this will not do. Here I stretched out my neck for you response:	so that you could not miss, and this is all you have?
context: However, naturally I do not intend to use my full power against you,\so you need not worry.\What!?\I know! What if I were to fight using only my left hand for you?\That might make it more enjoyable.\Enough!\No, this will not do. Here I stretched out my neck for you\so that you could not miss, and this is all you have? response:	On the other hand, this is about right for someone at 42,000.
context: so you need not worry.\What!?\I know! What if I were to fight using only my left hand for you?\That might make it more enjoyable.\Enough!\No, this will not do. Here I stretched out my neck for you\so that you could not miss, and this is all you have?\On the other hand, this is about right for someone at 42,000. response:	Oh my, that was impolite of me.
context: What!?\I know! What if I were to fight using only my left hand for you?\That might make it more enjoyable.\Enough!\No, this will not do. Here I stretched out my neck for you\so that you could not miss, and this is all you have?\On the other hand, this is about right for someone at 42,000.\Oh my, that was impolite of me. response:	I will return it to you.
context: I know! What if I were to fight using only my left hand for you?\That might make it more enjoyable.\Enough!\No, this will not do. Here I stretched out my neck for you\so that you could not miss, and this is all you have?\On the other hand, this is about right for someone at 42,000.\Oh my, that was impolite of me.\I will return it to you. response:	You should not be straining yourself so, should you?
context: That might make it more enjoyable.\Enough!\No, this will not do. Here I stretched out my neck for you\so that you could not miss, and this is all you have?\On the other hand, this is about right for someone at 42,000.\Oh my, that was impolite of me.\I will return it to you.\You should not be straining yourself so, should you? response:	I think it would be best for you if you spoke, before you get killed.
context: Enough!\No, this will not do. Here I stretched out my neck for you\so that you could not miss, and this is all you have?\On the other hand, this is about right for someone at 42,000.\Oh my, that was impolite of me.\I will return it to you.\You should not be straining yourself so, should you?\I think it would be best for you if you spoke, before you get killed. response:	This is a surprise!
context: No, this will not do. Here I stretched out my neck for you\so that you could not miss, and this is all you have?\On the other hand, this is about right for someone at 42,000.\Oh my, that was impolite of me.\I will return it to you.\You should not be straining yourself so, should you?\I think it would be best for you if you spoke, before you get killed.\This is a surprise! response:	You can regenerate?
context: so that you could not miss, and this is all you have?\On the other hand, this is about right for someone at 42,000.\Oh my, that was impolite of me.\I will return it to you.\You should not be straining yourself so, should you?\I think it would be best for you if you spoke, before you get killed.\This is a surprise!\You can regenerate? response:	Although, while you may be back in one piece, your situation has not changed.
context: On the other hand, this is about right for someone at 42,000.\Oh my, that was impolite of me.\I will return it to you.\You should not be straining yourself so, should you?\I think it would be best for you if you spoke, before you get killed.\This is a surprise!\You can regenerate?\Although, while you may be back in one piece, your situation has not changed. response:	It appears that you cannot regenerate your energy, as well.
context: Oh my, that was impolite of me.\I will return it to you.\You should not be straining yourself so, should you?\I think it would be best for you if you spoke, before you get killed.\This is a surprise!\You can regenerate?\Although, while you may be back in one piece, your situation has not changed.\It appears that you cannot regenerate your energy, as well. response:	Your battle power has dropped.
context: I will return it to you.\You should not be straining yourself so, should you?\I think it would be best for you if you spoke, before you get killed.\This is a surprise!\You can regenerate?\Although, while you may be back in one piece, your situation has not changed.\It appears that you cannot regenerate your energy, as well.\Your battle power has dropped. response:	My, my. After having been shown how mismatched you are,
context: You should not be straining yourself so, should you?\I think it would be best for you if you spoke, before you get killed.\This is a surprise!\You can regenerate?\Although, while you may be back in one piece, your situation has not changed.\It appears that you cannot regenerate your energy, as well.\Your battle power has dropped.\My, my. After having been shown how mismatched you are, response:	you still wish to continue?
context: I think it would be best for you if you spoke, before you get killed.\This is a surprise!\You can regenerate?\Although, while you may be back in one piece, your situation has not changed.\It appears that you cannot regenerate your energy, as well.\Your battle power has dropped.\My, my. After having been shown how mismatched you are,\you still wish to continue? response:	I have no idea what the people of this planet must be thinking.
context: This is a surprise!\You can regenerate?\Although, while you may be back in one piece, your situation has not changed.\It appears that you cannot regenerate your energy, as well.\Your battle power has dropped.\My, my. After having been shown how mismatched you are,\you still wish to continue?\I have no idea what the people of this planet must be thinking. response:	I will not allow you...
context: You can regenerate?\Although, while you may be back in one piece, your situation has not changed.\It appears that you cannot regenerate your energy, as well.\Your battle power has dropped.\My, my. After having been shown how mismatched you are,\you still wish to continue?\I have no idea what the people of this planet must be thinking.\I will not allow you... response:	I will not allow you to...
context: Although, while you may be back in one piece, your situation has not changed.\It appears that you cannot regenerate your energy, as well.\Your battle power has dropped.\My, my. After having been shown how mismatched you are,\you still wish to continue?\I have no idea what the people of this planet must be thinking.\I will not allow you...\I will not allow you to... response:	W- what is this? What is going on here, exactly?
context: It appears that you cannot regenerate your energy, as well.\Your battle power has dropped.\My, my. After having been shown how mismatched you are,\you still wish to continue?\I have no idea what the people of this planet must be thinking.\I will not allow you...\I will not allow you to...\W- what is this? What is going on here, exactly? response:	Does this planet have something personal against me, or something?
context: Your battle power has dropped.\My, my. After having been shown how mismatched you are,\you still wish to continue?\I have no idea what the people of this planet must be thinking.\I will not allow you...\I will not allow you to...\W- what is this? What is going on here, exactly?\Does this planet have something personal against me, or something? response:	This time, l've had it for sure!
context: My, my. After having been shown how mismatched you are,\you still wish to continue?\I have no idea what the people of this planet must be thinking.\I will not allow you...\I will not allow you to...\W- what is this? What is going on here, exactly?\Does this planet have something personal against me, or something?\This time, l've had it for sure! response:	Lucky! lf I can just make it into that cave...
context: you still wish to continue?\I have no idea what the people of this planet must be thinking.\I will not allow you...\I will not allow you to...\W- what is this? What is going on here, exactly?\Does this planet have something personal against me, or something?\This time, l've had it for sure!\Lucky! lf I can just make it into that cave... response:	Just a little farther...
context: I have no idea what the people of this planet must be thinking.\I will not allow you...\I will not allow you to...\W- what is this? What is going on here, exactly?\Does this planet have something personal against me, or something?\This time, l've had it for sure!\Lucky! lf I can just make it into that cave...\Just a little farther... response:	I- I made it! I'm saved!
context: I will not allow you...\I will not allow you to...\W- what is this? What is going on here, exactly?\Does this planet have something personal against me, or something?\This time, l've had it for sure!\Lucky! lf I can just make it into that cave...\Just a little farther...\I- I made it! I'm saved! response:	Huh? Have I been saved?
context: I will not allow you to...\W- what is this? What is going on here, exactly?\Does this planet have something personal against me, or something?\This time, l've had it for sure!\Lucky! lf I can just make it into that cave...\Just a little farther...\I- I made it! I'm saved!\Huh? Have I been saved? response:	This is so mean of you!
context: W- what is this? What is going on here, exactly?\Does this planet have something personal against me, or something?\This time, l've had it for sure!\Lucky! lf I can just make it into that cave...\Just a little farther...\I- I made it! I'm saved!\Huh? Have I been saved?\This is so mean of you! response:	This is it! This time for sure!
context: Does this planet have something personal against me, or something?\This time, l've had it for sure!\Lucky! lf I can just make it into that cave...\Just a little farther...\I- I made it! I'm saved!\Huh? Have I been saved?\This is so mean of you!\This is it! This time for sure! response:	Farewell, everyone!
context: This time, l've had it for sure!\Lucky! lf I can just make it into that cave...\Just a little farther...\I- I made it! I'm saved!\Huh? Have I been saved?\This is so mean of you!\This is it! This time for sure!\Farewell, everyone! response:	Yow!
context: Lucky! lf I can just make it into that cave...\Just a little farther...\I- I made it! I'm saved!\Huh? Have I been saved?\This is so mean of you!\This is it! This time for sure!\Farewell, everyone!\Yow! response:	What? What happened?
context: Just a little farther...\I- I made it! I'm saved!\Huh? Have I been saved?\This is so mean of you!\This is it! This time for sure!\Farewell, everyone!\Yow!\What? What happened? response:	Here.
context: I- I made it! I'm saved!\Huh? Have I been saved?\This is so mean of you!\This is it! This time for sure!\Farewell, everyone!\Yow!\What? What happened?\Here. response:	Stay back! You pervert, grabber, idiot, monster, whatever you are!
context: Huh? Have I been saved?\This is so mean of you!\This is it! This time for sure!\Farewell, everyone!\Yow!\What? What happened?\Here.\Stay back! You pervert, grabber, idiot, monster, whatever you are! response:	Bulma- san!
context: This is so mean of you!\This is it! This time for sure!\Farewell, everyone!\Yow!\What? What happened?\Here.\Stay back! You pervert, grabber, idiot, monster, whatever you are!\Bulma- san! response:	G- Gohan- kun! T- then...
context: This is it! This time for sure!\Farewell, everyone!\Yow!\What? What happened?\Here.\Stay back! You pervert, grabber, idiot, monster, whatever you are!\Bulma- san!\G- Gohan- kun! T- then... response:	How could you, Bulma- san?
context: Farewell, everyone!\Yow!\What? What happened?\Here.\Stay back! You pervert, grabber, idiot, monster, whatever you are!\Bulma- san!\G- Gohan- kun! T- then...\How could you, Bulma- san? response:	How terrible. There wasn't even any warning-
context: Yow!\What? What happened?\Here.\Stay back! You pervert, grabber, idiot, monster, whatever you are!\Bulma- san!\G- Gohan- kun! T- then...\How could you, Bulma- san?\How terrible. There wasn't even any warning- response:	What have the two of you been up to?!
context: What? What happened?\Here.\Stay back! You pervert, grabber, idiot, monster, whatever you are!\Bulma- san!\G- Gohan- kun! T- then...\How could you, Bulma- san?\How terrible. There wasn't even any warning-\What have the two of you been up to?! response:	No sooner do you show up suddenly with Vegeta and take the Dragon Ball away,
context: Here.\Stay back! You pervert, grabber, idiot, monster, whatever you are!\Bulma- san!\G- Gohan- kun! T- then...\How could you, Bulma- san?\How terrible. There wasn't even any warning-\What have the two of you been up to?!\No sooner do you show up suddenly with Vegeta and take the Dragon Ball away, response:	then you take off with him to someplace else!
context: Stay back! You pervert, grabber, idiot, monster, whatever you are!\Bulma- san!\G- Gohan- kun! T- then...\How could you, Bulma- san?\How terrible. There wasn't even any warning-\What have the two of you been up to?!\No sooner do you show up suddenly with Vegeta and take the Dragon Ball away,\then you take off with him to someplace else! response:	Now, I want to know just what's going on!
context: Bulma- san!\G- Gohan- kun! T- then...\How could you, Bulma- san?\How terrible. There wasn't even any warning-\What have the two of you been up to?!\No sooner do you show up suddenly with Vegeta and take the Dragon Ball away,\then you take off with him to someplace else!\Now, I want to know just what's going on! response:	Do you think you can just leave a delicate lady unattended out here
context: G- Gohan- kun! T- then...\How could you, Bulma- san?\How terrible. There wasn't even any warning-\What have the two of you been up to?!\No sooner do you show up suddenly with Vegeta and take the Dragon Ball away,\then you take off with him to someplace else!\Now, I want to know just what's going on!\Do you think you can just leave a delicate lady unattended out here response:	in such a dangerous place, and get away with it?!
context: How could you, Bulma- san?\How terrible. There wasn't even any warning-\What have the two of you been up to?!\No sooner do you show up suddenly with Vegeta and take the Dragon Ball away,\then you take off with him to someplace else!\Now, I want to know just what's going on!\Do you think you can just leave a delicate lady unattended out here\in such a dangerous place, and get away with it?! response:	B- b- but didn't we just rescue you from that dinosaur?
context: How terrible. There wasn't even any warning-\What have the two of you been up to?!\No sooner do you show up suddenly with Vegeta and take the Dragon Ball away,\then you take off with him to someplace else!\Now, I want to know just what's going on!\Do you think you can just leave a delicate lady unattended out here\in such a dangerous place, and get away with it?!\B- b- but didn't we just rescue you from that dinosaur? response:	B- Bulma- san, at any rate, we need the Dragon Radar!
context: What have the two of you been up to?!\No sooner do you show up suddenly with Vegeta and take the Dragon Ball away,\then you take off with him to someplace else!\Now, I want to know just what's going on!\Do you think you can just leave a delicate lady unattended out here\in such a dangerous place, and get away with it?!\B- b- but didn't we just rescue you from that dinosaur?\B- Bulma- san, at any rate, we need the Dragon Radar! response:	If everything works out, we may still be able to get our wish granted!
context: No sooner do you show up suddenly with Vegeta and take the Dragon Ball away,\then you take off with him to someplace else!\Now, I want to know just what's going on!\Do you think you can just leave a delicate lady unattended out here\in such a dangerous place, and get away with it?!\B- b- but didn't we just rescue you from that dinosaur?\B- Bulma- san, at any rate, we need the Dragon Radar!\If everything works out, we may still be able to get our wish granted! response:	What's this? You still haven't gotten our wish granted?
context: then you take off with him to someplace else!\Now, I want to know just what's going on!\Do you think you can just leave a delicate lady unattended out here\in such a dangerous place, and get away with it?!\B- b- but didn't we just rescue you from that dinosaur?\B- Bulma- san, at any rate, we need the Dragon Radar!\If everything works out, we may still be able to get our wish granted!\What's this? You still haven't gotten our wish granted? response:	I saw from the Radar all seven Dragon Balls had been gathered in one place.
context: Now, I want to know just what's going on!\Do you think you can just leave a delicate lady unattended out here\in such a dangerous place, and get away with it?!\B- b- but didn't we just rescue you from that dinosaur?\B- Bulma- san, at any rate, we need the Dragon Radar!\If everything works out, we may still be able to get our wish granted!\What's this? You still haven't gotten our wish granted?\I saw from the Radar all seven Dragon Balls had been gathered in one place. response:	I was sure you were the ones who had gotten them together,
context: Do you think you can just leave a delicate lady unattended out here\in such a dangerous place, and get away with it?!\B- b- but didn't we just rescue you from that dinosaur?\B- Bulma- san, at any rate, we need the Dragon Radar!\If everything works out, we may still be able to get our wish granted!\What's this? You still haven't gotten our wish granted?\I saw from the Radar all seven Dragon Balls had been gathered in one place.\I was sure you were the ones who had gotten them together, response:	and I was on my way to meet you.
context: in such a dangerous place, and get away with it?!\B- b- but didn't we just rescue you from that dinosaur?\B- Bulma- san, at any rate, we need the Dragon Radar!\If everything works out, we may still be able to get our wish granted!\What's this? You still haven't gotten our wish granted?\I saw from the Radar all seven Dragon Balls had been gathered in one place.\I was sure you were the ones who had gotten them together,\and I was on my way to meet you. response:	And now what do I hear?
