context: Does it hurt? response:	I hate how it's come down to this.
context: I will carry half of your ambition.\And the other half...\Betrayed this world\And it simmers within\Rupturing my innards\Swelling a reddish black\Until the sun burnt skin ruptures\There is a light in the depths of the seething darkness response:	Confirming each other's voices in the distance
context: And the other half...\Betrayed this world\And it simmers within\Rupturing my innards\Swelling a reddish black\Until the sun burnt skin ruptures\There is a light in the depths of the seething darkness\Confirming each other's voices in the distance response:	As if to stroke with wet fingertips
context: Betrayed this world\And it simmers within\Rupturing my innards\Swelling a reddish black\Until the sun burnt skin ruptures\There is a light in the depths of the seething darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips response:	I'd like to touch you one day
context: And it simmers within\Rupturing my innards\Swelling a reddish black\Until the sun burnt skin ruptures\There is a light in the depths of the seething darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day response:	There is a light in the depths of the darkness
context: Rupturing my innards\Swelling a reddish black\Until the sun burnt skin ruptures\There is a light in the depths of the seething darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\There is a light in the depths of the darkness response:	Confirming each other's voices in the distance
context: Swelling a reddish black\Until the sun burnt skin ruptures\There is a light in the depths of the seething darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\There is a light in the depths of the darkness\Confirming each other's voices in the distance response:	As if to stroke with wet fingertips
context: Until the sun burnt skin ruptures\There is a light in the depths of the seething darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\There is a light in the depths of the darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips response:	I'd like to touch you one day
context: There is a light in the depths of the seething darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\There is a light in the depths of the darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day response:	14 The story of Sabame
context: Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\There is a light in the depths of the darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\14 The story of Sabame response:	I see.
context: As if to stroke with wet fingertips\I'd like to touch you one day\There is a light in the depths of the darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\14 The story of Sabame\I see. response:	So the map appears whenever your body is warmed up.
context: I'd like to touch you one day\There is a light in the depths of the darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\14 The story of Sabame\I see.\So the map appears whenever your body is warmed up. response:	I'd never taken a warm bath before.
context: There is a light in the depths of the darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\14 The story of Sabame\I see.\So the map appears whenever your body is warmed up.\I'd never taken a warm bath before. response:	I had no idea I had that on my back.
context: Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\14 The story of Sabame\I see.\So the map appears whenever your body is warmed up.\I'd never taken a warm bath before.\I had no idea I had that on my back. response:	I see, I see.
context: As if to stroke with wet fingertips\I'd like to touch you one day\14 The story of Sabame\I see.\So the map appears whenever your body is warmed up.\I'd never taken a warm bath before.\I had no idea I had that on my back.\I see, I see. response:	Your parents have made you bear quite a heavy burden.
context: I'd like to touch you one day\14 The story of Sabame\I see.\So the map appears whenever your body is warmed up.\I'd never taken a warm bath before.\I had no idea I had that on my back.\I see, I see.\Your parents have made you bear quite a heavy burden. response:	A little bit before my mama died...
context: 14 The story of Sabame\I see.\So the map appears whenever your body is warmed up.\I'd never taken a warm bath before.\I had no idea I had that on my back.\I see, I see.\Your parents have made you bear quite a heavy burden.\A little bit before my mama died... response:	Listen now, Dororo.
context: I see.\So the map appears whenever your body is warmed up.\I'd never taken a warm bath before.\I had no idea I had that on my back.\I see, I see.\Your parents have made you bear quite a heavy burden.\A little bit before my mama died...\Listen now, Dororo. response:	Remember this well.
context: So the map appears whenever your body is warmed up.\I'd never taken a warm bath before.\I had no idea I had that on my back.\I see, I see.\Your parents have made you bear quite a heavy burden.\A little bit before my mama died...\Listen now, Dororo.\Remember this well. response:	This is your papa's lifelong ambition.
context: I'd never taken a warm bath before.\I had no idea I had that on my back.\I see, I see.\Your parents have made you bear quite a heavy burden.\A little bit before my mama died...\Listen now, Dororo.\Remember this well.\This is your papa's lifelong ambition. response:	Carry it on with you.
context: I had no idea I had that on my back.\I see, I see.\Your parents have made you bear quite a heavy burden.\A little bit before my mama died...\Listen now, Dororo.\Remember this well.\This is your papa's lifelong ambition.\Carry it on with you. response:	And protect it.
context: I see, I see.\Your parents have made you bear quite a heavy burden.\A little bit before my mama died...\Listen now, Dororo.\Remember this well.\This is your papa's lifelong ambition.\Carry it on with you.\And protect it. response:	She said the other half would always be close to me.
context: Your parents have made you bear quite a heavy burden.\A little bit before my mama died...\Listen now, Dororo.\Remember this well.\This is your papa's lifelong ambition.\Carry it on with you.\And protect it.\She said the other half would always be close to me. response:	And I'd figure it out when I met someone I could truly trust.
context: A little bit before my mama died...\Listen now, Dororo.\Remember this well.\This is your papa's lifelong ambition.\Carry it on with you.\And protect it.\She said the other half would always be close to me.\And I'd figure it out when I met someone I could truly trust. response:	I see.
context: Listen now, Dororo.\Remember this well.\This is your papa's lifelong ambition.\Carry it on with you.\And protect it.\She said the other half would always be close to me.\And I'd figure it out when I met someone I could truly trust.\I see. response:	I didn't get what she meant, though.
context: Remember this well.\This is your papa's lifelong ambition.\Carry it on with you.\And protect it.\She said the other half would always be close to me.\And I'd figure it out when I met someone I could truly trust.\I see.\I didn't get what she meant, though. response:	I'd more or less forgotten about it.
context: This is your papa's lifelong ambition.\Carry it on with you.\And protect it.\She said the other half would always be close to me.\And I'd figure it out when I met someone I could truly trust.\I see.\I didn't get what she meant, though.\I'd more or less forgotten about it. response:	But good for you.
context: Carry it on with you.\And protect it.\She said the other half would always be close to me.\And I'd figure it out when I met someone I could truly trust.\I see.\I didn't get what she meant, though.\I'd more or less forgotten about it.\But good for you. response:	You have a wider range of choices now.
context: And protect it.\She said the other half would always be close to me.\And I'd figure it out when I met someone I could truly trust.\I see.\I didn't get what she meant, though.\I'd more or less forgotten about it.\But good for you.\You have a wider range of choices now. response:	Let's say you defeat all the demons and get his body back.
context: She said the other half would always be close to me.\And I'd figure it out when I met someone I could truly trust.\I see.\I didn't get what she meant, though.\I'd more or less forgotten about it.\But good for you.\You have a wider range of choices now.\Let's say you defeat all the demons and get his body back. response:	What's next?
context: And I'd figure it out when I met someone I could truly trust.\I see.\I didn't get what she meant, though.\I'd more or less forgotten about it.\But good for you.\You have a wider range of choices now.\Let's say you defeat all the demons and get his body back.\What's next? response:	Money's a grand thing.
context: I see.\I didn't get what she meant, though.\I'd more or less forgotten about it.\But good for you.\You have a wider range of choices now.\Let's say you defeat all the demons and get his body back.\What's next?\Money's a grand thing. response:	If you have a full belly, your heart will be calm and gentle.
context: I didn't get what she meant, though.\I'd more or less forgotten about it.\But good for you.\You have a wider range of choices now.\Let's say you defeat all the demons and get his body back.\What's next?\Money's a grand thing.\If you have a full belly, your heart will be calm and gentle. response:	You'll be able to see your surroundings.
context: I'd more or less forgotten about it.\But good for you.\You have a wider range of choices now.\Let's say you defeat all the demons and get his body back.\What's next?\Money's a grand thing.\If you have a full belly, your heart will be calm and gentle.\You'll be able to see your surroundings. response:	And start to think about tomorrow.
context: But good for you.\You have a wider range of choices now.\Let's say you defeat all the demons and get his body back.\What's next?\Money's a grand thing.\If you have a full belly, your heart will be calm and gentle.\You'll be able to see your surroundings.\And start to think about tomorrow. response:	Keeping true to your ambition when it could mean life or death...
context: You have a wider range of choices now.\Let's say you defeat all the demons and get his body back.\What's next?\Money's a grand thing.\If you have a full belly, your heart will be calm and gentle.\You'll be able to see your surroundings.\And start to think about tomorrow.\Keeping true to your ambition when it could mean life or death... response:	that isn't something just anyone can do.
context: Let's say you defeat all the demons and get his body back.\What's next?\Money's a grand thing.\If you have a full belly, your heart will be calm and gentle.\You'll be able to see your surroundings.\And start to think about tomorrow.\Keeping true to your ambition when it could mean life or death...\that isn't something just anyone can do. response:	Even if you defeat a few demons here and there,
context: What's next?\Money's a grand thing.\If you have a full belly, your heart will be calm and gentle.\You'll be able to see your surroundings.\And start to think about tomorrow.\Keeping true to your ambition when it could mean life or death...\that isn't something just anyone can do.\Even if you defeat a few demons here and there, response:	it won't change the world at all.
context: Money's a grand thing.\If you have a full belly, your heart will be calm and gentle.\You'll be able to see your surroundings.\And start to think about tomorrow.\Keeping true to your ambition when it could mean life or death...\that isn't something just anyone can do.\Even if you defeat a few demons here and there,\it won't change the world at all. response:	But...
context: If you have a full belly, your heart will be calm and gentle.\You'll be able to see your surroundings.\And start to think about tomorrow.\Keeping true to your ambition when it could mean life or death...\that isn't something just anyone can do.\Even if you defeat a few demons here and there,\it won't change the world at all.\But... response:	what you have on your back can move people and change the world.
context: You'll be able to see your surroundings.\And start to think about tomorrow.\Keeping true to your ambition when it could mean life or death...\that isn't something just anyone can do.\Even if you defeat a few demons here and there,\it won't change the world at all.\But...\what you have on your back can move people and change the world. response:	It's a source of great power.
context: And start to think about tomorrow.\Keeping true to your ambition when it could mean life or death...\that isn't something just anyone can do.\Even if you defeat a few demons here and there,\it won't change the world at all.\But...\what you have on your back can move people and change the world.\It's a source of great power. response:	In other words, you have a lot more choices now.
context: Keeping true to your ambition when it could mean life or death...\that isn't something just anyone can do.\Even if you defeat a few demons here and there,\it won't change the world at all.\But...\what you have on your back can move people and change the world.\It's a source of great power.\In other words, you have a lot more choices now. response:	You could find the money and live well on it.
context: that isn't something just anyone can do.\Even if you defeat a few demons here and there,\it won't change the world at all.\But...\what you have on your back can move people and change the world.\It's a source of great power.\In other words, you have a lot more choices now.\You could find the money and live well on it. response:	Or use it to build your own domain.
context: Even if you defeat a few demons here and there,\it won't change the world at all.\But...\what you have on your back can move people and change the world.\It's a source of great power.\In other words, you have a lot more choices now.\You could find the money and live well on it.\Or use it to build your own domain. response:	You could even go traveling to some undiscovered land.
context: it won't change the world at all.\But...\what you have on your back can move people and change the world.\It's a source of great power.\In other words, you have a lot more choices now.\You could find the money and live well on it.\Or use it to build your own domain.\You could even go traveling to some undiscovered land. response:	Hey, hold on.
context: But...\what you have on your back can move people and change the world.\It's a source of great power.\In other words, you have a lot more choices now.\You could find the money and live well on it.\Or use it to build your own domain.\You could even go traveling to some undiscovered land.\Hey, hold on. response:	Take some time to think about it.
context: what you have on your back can move people and change the world.\It's a source of great power.\In other words, you have a lot more choices now.\You could find the money and live well on it.\Or use it to build your own domain.\You could even go traveling to some undiscovered land.\Hey, hold on.\Take some time to think about it. response:	That is, unless...
context: It's a source of great power.\In other words, you have a lot more choices now.\You could find the money and live well on it.\Or use it to build your own domain.\You could even go traveling to some undiscovered land.\Hey, hold on.\Take some time to think about it.\That is, unless... response:	you want to destroy Daigo's land in exchange for your body.
context: In other words, you have a lot more choices now.\You could find the money and live well on it.\Or use it to build your own domain.\You could even go traveling to some undiscovered land.\Hey, hold on.\Take some time to think about it.\That is, unless...\you want to destroy Daigo's land in exchange for your body. response:	Just saying.
context: You could find the money and live well on it.\Or use it to build your own domain.\You could even go traveling to some undiscovered land.\Hey, hold on.\Take some time to think about it.\That is, unless...\you want to destroy Daigo's land in exchange for your body.\Just saying. response:	Hey, bro isn't like that.
context: Or use it to build your own domain.\You could even go traveling to some undiscovered land.\Hey, hold on.\Take some time to think about it.\That is, unless...\you want to destroy Daigo's land in exchange for your body.\Just saying.\Hey, bro isn't like that. response:	Hey, bro?
context: You could even go traveling to some undiscovered land.\Hey, hold on.\Take some time to think about it.\That is, unless...\you want to destroy Daigo's land in exchange for your body.\Just saying.\Hey, bro isn't like that.\Hey, bro? response:	What are you going to do from here on out?
context: Hey, hold on.\Take some time to think about it.\That is, unless...\you want to destroy Daigo's land in exchange for your body.\Just saying.\Hey, bro isn't like that.\Hey, bro?\What are you going to do from here on out? response:	Kill demons.
context: Take some time to think about it.\That is, unless...\you want to destroy Daigo's land in exchange for your body.\Just saying.\Hey, bro isn't like that.\Hey, bro?\What are you going to do from here on out?\Kill demons. response:	I mean, about what the priest said.
context: That is, unless...\you want to destroy Daigo's land in exchange for your body.\Just saying.\Hey, bro isn't like that.\Hey, bro?\What are you going to do from here on out?\Kill demons.\I mean, about what the priest said. response:	After you defeat all the demons and get your body back.
context: you want to destroy Daigo's land in exchange for your body.\Just saying.\Hey, bro isn't like that.\Hey, bro?\What are you going to do from here on out?\Kill demons.\I mean, about what the priest said.\After you defeat all the demons and get your body back. response:	After all that.
context: Just saying.\Hey, bro isn't like that.\Hey, bro?\What are you going to do from here on out?\Kill demons.\I mean, about what the priest said.\After you defeat all the demons and get your body back.\After all that. response:	What do you think I should do...?
context: Hey, bro isn't like that.\Hey, bro?\What are you going to do from here on out?\Kill demons.\I mean, about what the priest said.\After you defeat all the demons and get your body back.\After all that.\What do you think I should do...? response:	I just don't know.
context: Hey, bro?\What are you going to do from here on out?\Kill demons.\I mean, about what the priest said.\After you defeat all the demons and get your body back.\After all that.\What do you think I should do...?\I just don't know. response:	Hey, bro?
context: What are you going to do from here on out?\Kill demons.\I mean, about what the priest said.\After you defeat all the demons and get your body back.\After all that.\What do you think I should do...?\I just don't know.\Hey, bro? response:	Hey, it wouldn't hurt to listen to me once in a while!
context: Kill demons.\I mean, about what the priest said.\After you defeat all the demons and get your body back.\After all that.\What do you think I should do...?\I just don't know.\Hey, bro?\Hey, it wouldn't hurt to listen to me once in a while! response:	Please, buy one...
context: I mean, about what the priest said.\After you defeat all the demons and get your body back.\After all that.\What do you think I should do...?\I just don't know.\Hey, bro?\Hey, it wouldn't hurt to listen to me once in a while!\Please, buy one... response:	Hey, don't leave me behind like that!
context: After you defeat all the demons and get your body back.\After all that.\What do you think I should do...?\I just don't know.\Hey, bro?\Hey, it wouldn't hurt to listen to me once in a while!\Please, buy one...\Hey, don't leave me behind like that! response:	Please, buy one...
context: After all that.\What do you think I should do...?\I just don't know.\Hey, bro?\Hey, it wouldn't hurt to listen to me once in a while!\Please, buy one...\Hey, don't leave me behind like that!\Please, buy one... response:	I beg you...
context: What do you think I should do...?\I just don't know.\Hey, bro?\Hey, it wouldn't hurt to listen to me once in a while!\Please, buy one...\Hey, don't leave me behind like that!\Please, buy one...\I beg you... response:	She's gone. What now?
context: I just don't know.\Hey, bro?\Hey, it wouldn't hurt to listen to me once in a while!\Please, buy one...\Hey, don't leave me behind like that!\Please, buy one...\I beg you...\She's gone. What now? response:	Bro, what are they?
context: Hey, bro?\Hey, it wouldn't hurt to listen to me once in a while!\Please, buy one...\Hey, don't leave me behind like that!\Please, buy one...\I beg you...\She's gone. What now?\Bro, what are they? response:	Not demons.
context: Hey, it wouldn't hurt to listen to me once in a while!\Please, buy one...\Hey, don't leave me behind like that!\Please, buy one...\I beg you...\She's gone. What now?\Bro, what are they?\Not demons. response:	Num-num. Num-num!
context: Please, buy one...\Hey, don't leave me behind like that!\Please, buy one...\I beg you...\She's gone. What now?\Bro, what are they?\Not demons.\Num-num. Num-num! response:	Carry me.
context: Hey, don't leave me behind like that!\Please, buy one...\I beg you...\She's gone. What now?\Bro, what are they?\Not demons.\Num-num. Num-num!\Carry me. response:	Carry me!
context: Please, buy one...\I beg you...\She's gone. What now?\Bro, what are they?\Not demons.\Num-num. Num-num!\Carry me.\Carry me! response:	Ugh, you're crushing me!
context: I beg you...\She's gone. What now?\Bro, what are they?\Not demons.\Num-num. Num-num!\Carry me.\Carry me!\Ugh, you're crushing me! response:	Carry me.
context: She's gone. What now?\Bro, what are they?\Not demons.\Num-num. Num-num!\Carry me.\Carry me!\Ugh, you're crushing me!\Carry me. response:	-Help me out, bro! -Carry me.
context: Bro, what are they?\Not demons.\Num-num. Num-num!\Carry me.\Carry me!\Ugh, you're crushing me!\Carry me.\-Help me out, bro! -Carry me. response:	Not a demon.
context: Not demons.\Num-num. Num-num!\Carry me.\Carry me!\Ugh, you're crushing me!\Carry me.\-Help me out, bro! -Carry me.\Not a demon. response:	But it's a monster. Help me!
context: Num-num. Num-num!\Carry me.\Carry me!\Ugh, you're crushing me!\Carry me.\-Help me out, bro! -Carry me.\Not a demon.\But it's a monster. Help me! response:	Hey, bro!
context: Carry me.\Carry me!\Ugh, you're crushing me!\Carry me.\-Help me out, bro! -Carry me.\Not a demon.\But it's a monster. Help me!\Hey, bro! response:	Carry, carry!
context: Carry me!\Ugh, you're crushing me!\Carry me.\-Help me out, bro! -Carry me.\Not a demon.\But it's a monster. Help me!\Hey, bro!\Carry, carry! response:	Now you're the one carrying me, jeez!
context: Ugh, you're crushing me!\Carry me.\-Help me out, bro! -Carry me.\Not a demon.\But it's a monster. Help me!\Hey, bro!\Carry, carry!\Now you're the one carrying me, jeez! response:	Give me a hand, bro.
context: Carry me.\-Help me out, bro! -Carry me.\Not a demon.\But it's a monster. Help me!\Hey, bro!\Carry, carry!\Now you're the one carrying me, jeez!\Give me a hand, bro. response:	Num-num. Num-num!
context: -Help me out, bro! -Carry me.\Not a demon.\But it's a monster. Help me!\Hey, bro!\Carry, carry!\Now you're the one carrying me, jeez!\Give me a hand, bro.\Num-num. Num-num! response:	Give me a break, I'm the one that wants some num-num.
context: Not a demon.\But it's a monster. Help me!\Hey, bro!\Carry, carry!\Now you're the one carrying me, jeez!\Give me a hand, bro.\Num-num. Num-num!\Give me a break, I'm the one that wants some num-num. response:	Hey, it's a temple.
context: But it's a monster. Help me!\Hey, bro!\Carry, carry!\Now you're the one carrying me, jeez!\Give me a hand, bro.\Num-num. Num-num!\Give me a break, I'm the one that wants some num-num.\Hey, it's a temple. response:	It's all burnt inside.
context: Hey, bro!\Carry, carry!\Now you're the one carrying me, jeez!\Give me a hand, bro.\Num-num. Num-num!\Give me a break, I'm the one that wants some num-num.\Hey, it's a temple.\It's all burnt inside. response:	But at least we'll be able to stay dry during the night.
context: Carry, carry!\Now you're the one carrying me, jeez!\Give me a hand, bro.\Num-num. Num-num!\Give me a break, I'm the one that wants some num-num.\Hey, it's a temple.\It's all burnt inside.\But at least we'll be able to stay dry during the night. response:	What's wrong?
context: Now you're the one carrying me, jeez!\Give me a hand, bro.\Num-num. Num-num!\Give me a break, I'm the one that wants some num-num.\Hey, it's a temple.\It's all burnt inside.\But at least we'll be able to stay dry during the night.\What's wrong? response:	Pee-pee.
context: Give me a hand, bro.\Num-num. Num-num!\Give me a break, I'm the one that wants some num-num.\Hey, it's a temple.\It's all burnt inside.\But at least we'll be able to stay dry during the night.\What's wrong?\Pee-pee. response:	Give me a break, I can't take care of you!
context: Num-num. Num-num!\Give me a break, I'm the one that wants some num-num.\Hey, it's a temple.\It's all burnt inside.\But at least we'll be able to stay dry during the night.\What's wrong?\Pee-pee.\Give me a break, I can't take care of you! response:	Pee-pee!
context: Give me a break, I'm the one that wants some num-num.\Hey, it's a temple.\It's all burnt inside.\But at least we'll be able to stay dry during the night.\What's wrong?\Pee-pee.\Give me a break, I can't take care of you!\Pee-pee! response:	No, leave me out of this.
context: Hey, it's a temple.\It's all burnt inside.\But at least we'll be able to stay dry during the night.\What's wrong?\Pee-pee.\Give me a break, I can't take care of you!\Pee-pee!\No, leave me out of this. response:	Pee-pee!
context: It's all burnt inside.\But at least we'll be able to stay dry during the night.\What's wrong?\Pee-pee.\Give me a break, I can't take care of you!\Pee-pee!\No, leave me out of this.\Pee-pee! response:	Go pee-pee by yourself!
context: But at least we'll be able to stay dry during the night.\What's wrong?\Pee-pee.\Give me a break, I can't take care of you!\Pee-pee!\No, leave me out of this.\Pee-pee!\Go pee-pee by yourself! response:	Pee-pee!
context: What's wrong?\Pee-pee.\Give me a break, I can't take care of you!\Pee-pee!\No, leave me out of this.\Pee-pee!\Go pee-pee by yourself!\Pee-pee! response:	Stop it! Get off me!
context: Pee-pee.\Give me a break, I can't take care of you!\Pee-pee!\No, leave me out of this.\Pee-pee!\Go pee-pee by yourself!\Pee-pee!\Stop it! Get off me! response:	What's that, bro?
context: Give me a break, I can't take care of you!\Pee-pee!\No, leave me out of this.\Pee-pee!\Go pee-pee by yourself!\Pee-pee!\Stop it! Get off me!\What's that, bro? response:	I made it go pee outside in the bushes.
context: Pee-pee!\No, leave me out of this.\Pee-pee!\Go pee-pee by yourself!\Pee-pee!\Stop it! Get off me!\What's that, bro?\I made it go pee outside in the bushes. response:	What?
context: No, leave me out of this.\Pee-pee!\Go pee-pee by yourself!\Pee-pee!\Stop it! Get off me!\What's that, bro?\I made it go pee outside in the bushes.\What? response:	Oil?
context: Pee-pee!\Go pee-pee by yourself!\Pee-pee!\Stop it! Get off me!\What's that, bro?\I made it go pee outside in the bushes.\What?\Oil? response:	Why is there oil here?
context: Go pee-pee by yourself!\Pee-pee!\Stop it! Get off me!\What's that, bro?\I made it go pee outside in the bushes.\What?\Oil?\Why is there oil here? response:	You mean, somebody burnt this place down?
context: Pee-pee!\Stop it! Get off me!\What's that, bro?\I made it go pee outside in the bushes.\What?\Oil?\Why is there oil here?\You mean, somebody burnt this place down? response:	Num-num!
context: Stop it! Get off me!\What's that, bro?\I made it go pee outside in the bushes.\What?\Oil?\Why is there oil here?\You mean, somebody burnt this place down?\Num-num! response:	-Num-num. -You scared me to death, dang it!
context: What's that, bro?\I made it go pee outside in the bushes.\What?\Oil?\Why is there oil here?\You mean, somebody burnt this place down?\Num-num!\-Num-num. -You scared me to death, dang it! response:	Now is not the time for this.
context: I made it go pee outside in the bushes.\What?\Oil?\Why is there oil here?\You mean, somebody burnt this place down?\Num-num!\-Num-num. -You scared me to death, dang it!\Now is not the time for this. response:	Num-num.
context: What?\Oil?\Why is there oil here?\You mean, somebody burnt this place down?\Num-num!\-Num-num. -You scared me to death, dang it!\Now is not the time for this.\Num-num. response:	I don't even know what you eat.
context: Oil?\Why is there oil here?\You mean, somebody burnt this place down?\Num-num!\-Num-num. -You scared me to death, dang it!\Now is not the time for this.\Num-num.\I don't even know what you eat. response:	We're hungry, too. We don't have any food for monsters...
context: Why is there oil here?\You mean, somebody burnt this place down?\Num-num!\-Num-num. -You scared me to death, dang it!\Now is not the time for this.\Num-num.\I don't even know what you eat.\We're hungry, too. We don't have any food for monsters... response:	You don't mean...
context: You mean, somebody burnt this place down?\Num-num!\-Num-num. -You scared me to death, dang it!\Now is not the time for this.\Num-num.\I don't even know what you eat.\We're hungry, too. We don't have any food for monsters...\You don't mean... response:	Num-num...
context: Num-num!\-Num-num. -You scared me to death, dang it!\Now is not the time for this.\Num-num.\I don't even know what you eat.\We're hungry, too. We don't have any food for monsters...\You don't mean...\Num-num... response:	No, don't eat me! I don't taste good!
context: -Num-num. -You scared me to death, dang it!\Now is not the time for this.\Num-num.\I don't even know what you eat.\We're hungry, too. We don't have any food for monsters...\You don't mean...\Num-num...\No, don't eat me! I don't taste good! response:	Num-num...
context: Now is not the time for this.\Num-num.\I don't even know what you eat.\We're hungry, too. We don't have any food for monsters...\You don't mean...\Num-num...\No, don't eat me! I don't taste good!\Num-num... response:	Help me, bro!
context: Num-num.\I don't even know what you eat.\We're hungry, too. We don't have any food for monsters...\You don't mean...\Num-num...\No, don't eat me! I don't taste good!\Num-num...\Help me, bro! response:	Huh? Ouch...
context: I don't even know what you eat.\We're hungry, too. We don't have any food for monsters...\You don't mean...\Num-num...\No, don't eat me! I don't taste good!\Num-num...\Help me, bro!\Huh? Ouch... response:	To think I'd meet travelers here.
