context: What are you looking at? response:	What can you see?
context: Found you.\This isn't good...\Dazai's gone missing?\He's not answering his phone,\and he hasn't returned to the dorm, either.\He's just floating in some river again.\Or he could be in prison this time.\My guess would be that he went off somewhere with a woman. response:	But it's true that he's targeted by the Port Mafia.
context: This isn't good...\Dazai's gone missing?\He's not answering his phone,\and he hasn't returned to the dorm, either.\He's just floating in some river again.\Or he could be in prison this time.\My guess would be that he went off somewhere with a woman.\But it's true that he's targeted by the Port Mafia. response:	It could be that...
context: Dazai's gone missing?\He's not answering his phone,\and he hasn't returned to the dorm, either.\He's just floating in some river again.\Or he could be in prison this time.\My guess would be that he went off somewhere with a woman.\But it's true that he's targeted by the Port Mafia.\It could be that... response:	That man's ability to sense danger and stay alive approaches nightmarish proficiency.
context: He's not answering his phone,\and he hasn't returned to the dorm, either.\He's just floating in some river again.\Or he could be in prison this time.\My guess would be that he went off somewhere with a woman.\But it's true that he's targeted by the Port Mafia.\It could be that...\That man's ability to sense danger and stay alive approaches nightmarish proficiency. response:	Just think about how he's as healthy as can be
context: and he hasn't returned to the dorm, either.\He's just floating in some river again.\Or he could be in prison this time.\My guess would be that he went off somewhere with a woman.\But it's true that he's targeted by the Port Mafia.\It could be that...\That man's ability to sense danger and stay alive approaches nightmarish proficiency.\Just think about how he's as healthy as can be response:	despite so many suicide attempts.
context: He's just floating in some river again.\Or he could be in prison this time.\My guess would be that he went off somewhere with a woman.\But it's true that he's targeted by the Port Mafia.\It could be that...\That man's ability to sense danger and stay alive approaches nightmarish proficiency.\Just think about how he's as healthy as can be\despite so many suicide attempts. response:	I doubt the Mafia alone will be enough to get the better of him.
context: Or he could be in prison this time.\My guess would be that he went off somewhere with a woman.\But it's true that he's targeted by the Port Mafia.\It could be that...\That man's ability to sense danger and stay alive approaches nightmarish proficiency.\Just think about how he's as healthy as can be\despite so many suicide attempts.\I doubt the Mafia alone will be enough to get the better of him. response:	But...
context: My guess would be that he went off somewhere with a woman.\But it's true that he's targeted by the Port Mafia.\It could be that...\That man's ability to sense danger and stay alive approaches nightmarish proficiency.\Just think about how he's as healthy as can be\despite so many suicide attempts.\I doubt the Mafia alone will be enough to get the better of him.\But... response:	I'll go look into it.
context: But it's true that he's targeted by the Port Mafia.\It could be that...\That man's ability to sense danger and stay alive approaches nightmarish proficiency.\Just think about how he's as healthy as can be\despite so many suicide attempts.\I doubt the Mafia alone will be enough to get the better of him.\But...\I'll go look into it. response:	Are you all better now, Tanizaki-san?
context: It could be that...\That man's ability to sense danger and stay alive approaches nightmarish proficiency.\Just think about how he's as healthy as can be\despite so many suicide attempts.\I doubt the Mafia alone will be enough to get the better of him.\But...\I'll go look into it.\Are you all better now, Tanizaki-san? response:	Yes, thankfully.
context: That man's ability to sense danger and stay alive approaches nightmarish proficiency.\Just think about how he's as healthy as can be\despite so many suicide attempts.\I doubt the Mafia alone will be enough to get the better of him.\But...\I'll go look into it.\Are you all better now, Tanizaki-san?\Yes, thankfully. response:	I was really worried when it all happened.
context: Just think about how he's as healthy as can be\despite so many suicide attempts.\I doubt the Mafia alone will be enough to get the better of him.\But...\I'll go look into it.\Are you all better now, Tanizaki-san?\Yes, thankfully.\I was really worried when it all happened. response:	I'm relieved you're okay.
context: despite so many suicide attempts.\I doubt the Mafia alone will be enough to get the better of him.\But...\I'll go look into it.\Are you all better now, Tanizaki-san?\Yes, thankfully.\I was really worried when it all happened.\I'm relieved you're okay. response:	I'm sorry I worried you.
context: I doubt the Mafia alone will be enough to get the better of him.\But...\I'll go look into it.\Are you all better now, Tanizaki-san?\Yes, thankfully.\I was really worried when it all happened.\I'm relieved you're okay.\I'm sorry I worried you. response:	So you're finally recovered.
context: But...\I'll go look into it.\Are you all better now, Tanizaki-san?\Yes, thankfully.\I was really worried when it all happened.\I'm relieved you're okay.\I'm sorry I worried you.\So you're finally recovered. response:	It's all thanks to Dr. Yosano's treatment.
context: I'll go look into it.\Are you all better now, Tanizaki-san?\Yes, thankfully.\I was really worried when it all happened.\I'm relieved you're okay.\I'm sorry I worried you.\So you're finally recovered.\It's all thanks to Dr. Yosano's treatment. response:	So, how many times did she get you?
context: Are you all better now, Tanizaki-san?\Yes, thankfully.\I was really worried when it all happened.\I'm relieved you're okay.\I'm sorry I worried you.\So you're finally recovered.\It's all thanks to Dr. Yosano's treatment.\So, how many times did she get you? response:	F-F-Four times...
context: Yes, thankfully.\I was really worried when it all happened.\I'm relieved you're okay.\I'm sorry I worried you.\So you're finally recovered.\It's all thanks to Dr. Yosano's treatment.\So, how many times did she get you?\F-F-Four times... response:	That many...
context: I was really worried when it all happened.\I'm relieved you're okay.\I'm sorry I worried you.\So you're finally recovered.\It's all thanks to Dr. Yosano's treatment.\So, how many times did she get you?\F-F-Four times...\That many... response:	Atsushi-kun...
context: I'm relieved you're okay.\I'm sorry I worried you.\So you're finally recovered.\It's all thanks to Dr. Yosano's treatment.\So, how many times did she get you?\F-F-Four times...\That many...\Atsushi-kun... response:	As long as you remain at the Agency,
context: I'm sorry I worried you.\So you're finally recovered.\It's all thanks to Dr. Yosano's treatment.\So, how many times did she get you?\F-F-Four times...\That many...\Atsushi-kun...\As long as you remain at the Agency, response:	remember to never get injured.
context: So you're finally recovered.\It's all thanks to Dr. Yosano's treatment.\So, how many times did she get you?\F-F-Four times...\That many...\Atsushi-kun...\As long as you remain at the Agency,\remember to never get injured. response:	Okay...
context: It's all thanks to Dr. Yosano's treatment.\So, how many times did she get you?\F-F-Four times...\That many...\Atsushi-kun...\As long as you remain at the Agency,\remember to never get injured.\Okay... response:	If you think you're at any risk, run.
context: So, how many times did she get you?\F-F-Four times...\That many...\Atsushi-kun...\As long as you remain at the Agency,\remember to never get injured.\Okay...\If you think you're at any risk, run. response:	You should cultivate your ability to sense danger on a daily basis.
context: F-F-Four times...\That many...\Atsushi-kun...\As long as you remain at the Agency,\remember to never get injured.\Okay...\If you think you're at any risk, run.\You should cultivate your ability to sense danger on a daily basis. response:	For example, ten seconds from now...
context: That many...\Atsushi-kun...\As long as you remain at the Agency,\remember to never get injured.\Okay...\If you think you're at any risk, run.\You should cultivate your ability to sense danger on a daily basis.\For example, ten seconds from now... response:	Oh, Dr. Yosano.
context: Atsushi-kun...\As long as you remain at the Agency,\remember to never get injured.\Okay...\If you think you're at any risk, run.\You should cultivate your ability to sense danger on a daily basis.\For example, ten seconds from now...\Oh, Dr. Yosano. response:	Good morning.
context: As long as you remain at the Agency,\remember to never get injured.\Okay...\If you think you're at any risk, run.\You should cultivate your ability to sense danger on a daily basis.\For example, ten seconds from now...\Oh, Dr. Yosano.\Good morning. response:	Oh, Atsushi.
context: remember to never get injured.\Okay...\If you think you're at any risk, run.\You should cultivate your ability to sense danger on a daily basis.\For example, ten seconds from now...\Oh, Dr. Yosano.\Good morning.\Oh, Atsushi. response:	Are you hurt anywhere?
context: Okay...\If you think you're at any risk, run.\You should cultivate your ability to sense danger on a daily basis.\For example, ten seconds from now...\Oh, Dr. Yosano.\Good morning.\Oh, Atsushi.\Are you hurt anywhere? response:	Oh, I'm fine.
context: If you think you're at any risk, run.\You should cultivate your ability to sense danger on a daily basis.\For example, ten seconds from now...\Oh, Dr. Yosano.\Good morning.\Oh, Atsushi.\Are you hurt anywhere?\Oh, I'm fine. response:	Darn.
context: You should cultivate your ability to sense danger on a daily basis.\For example, ten seconds from now...\Oh, Dr. Yosano.\Good morning.\Oh, Atsushi.\Are you hurt anywhere?\Oh, I'm fine.\Darn. response:	Darn?
context: For example, ten seconds from now...\Oh, Dr. Yosano.\Good morning.\Oh, Atsushi.\Are you hurt anywhere?\Oh, I'm fine.\Darn.\Darn? response:	I was hoping to have someone come with me on a shopping trip,
context: Oh, Dr. Yosano.\Good morning.\Oh, Atsushi.\Are you hurt anywhere?\Oh, I'm fine.\Darn.\Darn?\I was hoping to have someone come with me on a shopping trip, response:	but I guess you're the only one around.
context: Good morning.\Oh, Atsushi.\Are you hurt anywhere?\Oh, I'm fine.\Darn.\Darn?\I was hoping to have someone come with me on a shopping trip,\but I guess you're the only one around. response:	What?
context: Oh, Atsushi.\Are you hurt anywhere?\Oh, I'm fine.\Darn.\Darn?\I was hoping to have someone come with me on a shopping trip,\but I guess you're the only one around.\What? response:	Is this what he meant by the ability to sense danger?
context: Are you hurt anywhere?\Oh, I'm fine.\Darn.\Darn?\I was hoping to have someone come with me on a shopping trip,\but I guess you're the only one around.\What?\Is this what he meant by the ability to sense danger? response:	D-Dr. Yosano, you're still not done?
context: Oh, I'm fine.\Darn.\Darn?\I was hoping to have someone come with me on a shopping trip,\but I guess you're the only one around.\What?\Is this what he meant by the ability to sense danger?\D-Dr. Yosano, you're still not done? response:	Don't you dare drop anything.
context: Darn.\Darn?\I was hoping to have someone come with me on a shopping trip,\but I guess you're the only one around.\What?\Is this what he meant by the ability to sense danger?\D-Dr. Yosano, you're still not done?\Don't you dare drop anything. response:	What the hell do you think you're doing?
context: Darn?\I was hoping to have someone come with me on a shopping trip,\but I guess you're the only one around.\What?\Is this what he meant by the ability to sense danger?\D-Dr. Yosano, you're still not done?\Don't you dare drop anything.\What the hell do you think you're doing? response:	You good-for-nothing!
context: I was hoping to have someone come with me on a shopping trip,\but I guess you're the only one around.\What?\Is this what he meant by the ability to sense danger?\D-Dr. Yosano, you're still not done?\Don't you dare drop anything.\What the hell do you think you're doing?\You good-for-nothing! response:	Hurry up and send my car over!
context: but I guess you're the only one around.\What?\Is this what he meant by the ability to sense danger?\D-Dr. Yosano, you're still not done?\Don't you dare drop anything.\What the hell do you think you're doing?\You good-for-nothing!\Hurry up and send my car over! response:	Ow...
context: What?\Is this what he meant by the ability to sense danger?\D-Dr. Yosano, you're still not done?\Don't you dare drop anything.\What the hell do you think you're doing?\You good-for-nothing!\Hurry up and send my car over!\Ow... response:	U-Um, are you okay?
context: Is this what he meant by the ability to sense danger?\D-Dr. Yosano, you're still not done?\Don't you dare drop anything.\What the hell do you think you're doing?\You good-for-nothing!\Hurry up and send my car over!\Ow...\U-Um, are you okay? response:	What's the meaning of this, you little twit?
context: D-Dr. Yosano, you're still not done?\Don't you dare drop anything.\What the hell do you think you're doing?\You good-for-nothing!\Hurry up and send my car over!\Ow...\U-Um, are you okay?\What's the meaning of this, you little twit? response:	This is a custom-made suit from a European brand.
context: Don't you dare drop anything.\What the hell do you think you're doing?\You good-for-nothing!\Hurry up and send my car over!\Ow...\U-Um, are you okay?\What's the meaning of this, you little twit?\This is a custom-made suit from a European brand. response:	S-Sorry.
context: What the hell do you think you're doing?\You good-for-nothing!\Hurry up and send my car over!\Ow...\U-Um, are you okay?\What's the meaning of this, you little twit?\This is a custom-made suit from a European brand.\S-Sorry. response:	I'm very sorry.
context: You good-for-nothing!\Hurry up and send my car over!\Ow...\U-Um, are you okay?\What's the meaning of this, you little twit?\This is a custom-made suit from a European brand.\S-Sorry.\I'm very sorry. response:	Were you hurt?
context: Hurry up and send my car over!\Ow...\U-Um, are you okay?\What's the meaning of this, you little twit?\This is a custom-made suit from a European brand.\S-Sorry.\I'm very sorry.\Were you hurt? response:	Don't touch me.
context: Ow...\U-Um, are you okay?\What's the meaning of this, you little twit?\This is a custom-made suit from a European brand.\S-Sorry.\I'm very sorry.\Were you hurt?\Don't touch me. response:	I'll be lodging a complaint with your employer!
context: U-Um, are you okay?\What's the meaning of this, you little twit?\This is a custom-made suit from a European brand.\S-Sorry.\I'm very sorry.\Were you hurt?\Don't touch me.\I'll be lodging a complaint with your employer! response:	Hey, what's your job?
context: What's the meaning of this, you little twit?\This is a custom-made suit from a European brand.\S-Sorry.\I'm very sorry.\Were you hurt?\Don't touch me.\I'll be lodging a complaint with your employer!\Hey, what's your job? response:	Are you a tea server?
context: This is a custom-made suit from a European brand.\S-Sorry.\I'm very sorry.\Were you hurt?\Don't touch me.\I'll be lodging a complaint with your employer!\Hey, what's your job?\Are you a tea server? response:	A receptionist?
context: S-Sorry.\I'm very sorry.\Were you hurt?\Don't touch me.\I'll be lodging a complaint with your employer!\Hey, what's your job?\Are you a tea server?\A receptionist? response:	Or perhaps you're something a little more specialized?
context: I'm very sorry.\Were you hurt?\Don't touch me.\I'll be lodging a complaint with your employer!\Hey, what's your job?\Are you a tea server?\A receptionist?\Or perhaps you're something a little more specialized? response:	Hmm...
context: Were you hurt?\Don't touch me.\I'll be lodging a complaint with your employer!\Hey, what's your job?\Are you a tea server?\A receptionist?\Or perhaps you're something a little more specialized?\Hmm... response:	Ow!
context: Don't touch me.\I'll be lodging a complaint with your employer!\Hey, what's your job?\Are you a tea server?\A receptionist?\Or perhaps you're something a little more specialized?\Hmm...\Ow! response:	I'm a doctor, you pervert.
context: I'll be lodging a complaint with your employer!\Hey, what's your job?\Are you a tea server?\A receptionist?\Or perhaps you're something a little more specialized?\Hmm...\Ow!\I'm a doctor, you pervert. response:	Oh?
context: Hey, what's your job?\Are you a tea server?\A receptionist?\Or perhaps you're something a little more specialized?\Hmm...\Ow!\I'm a doctor, you pervert.\Oh? response:	You have two arms... That's way too many.
context: Are you a tea server?\A receptionist?\Or perhaps you're something a little more specialized?\Hmm...\Ow!\I'm a doctor, you pervert.\Oh?\You have two arms... That's way too many. response:	Would you like me to take one off?
context: A receptionist?\Or perhaps you're something a little more specialized?\Hmm...\Ow!\I'm a doctor, you pervert.\Oh?\You have two arms... That's way too many.\Would you like me to take one off? response:	Episode 8 Teaching Them To Kill; Then To Die
context: Or perhaps you're something a little more specialized?\Hmm...\Ow!\I'm a doctor, you pervert.\Oh?\You have two arms... That's way too many.\Would you like me to take one off?\Episode 8 Teaching Them To Kill; Then To Die response:	I'm sorry about... um... earlier.
context: Hmm...\Ow!\I'm a doctor, you pervert.\Oh?\You have two arms... That's way too many.\Would you like me to take one off?\Episode 8 Teaching Them To Kill; Then To Die\I'm sorry about... um... earlier. response:	The packages are in a sorry state, too.
context: Ow!\I'm a doctor, you pervert.\Oh?\You have two arms... That's way too many.\Would you like me to take one off?\Episode 8 Teaching Them To Kill; Then To Die\I'm sorry about... um... earlier.\The packages are in a sorry state, too. response:	Nothing to be sorry about.
context: I'm a doctor, you pervert.\Oh?\You have two arms... That's way too many.\Would you like me to take one off?\Episode 8 Teaching Them To Kill; Then To Die\I'm sorry about... um... earlier.\The packages are in a sorry state, too.\Nothing to be sorry about. response:	By the way...
context: Oh?\You have two arms... That's way too many.\Would you like me to take one off?\Episode 8 Teaching Them To Kill; Then To Die\I'm sorry about... um... earlier.\The packages are in a sorry state, too.\Nothing to be sorry about.\By the way... response:	What?
context: You have two arms... That's way too many.\Would you like me to take one off?\Episode 8 Teaching Them To Kill; Then To Die\I'm sorry about... um... earlier.\The packages are in a sorry state, too.\Nothing to be sorry about.\By the way...\What? response:	Is this punishment?
context: Would you like me to take one off?\Episode 8 Teaching Them To Kill; Then To Die\I'm sorry about... um... earlier.\The packages are in a sorry state, too.\Nothing to be sorry about.\By the way...\What?\Is this punishment? response:	Hmm, nice leg.
context: Episode 8 Teaching Them To Kill; Then To Die\I'm sorry about... um... earlier.\The packages are in a sorry state, too.\Nothing to be sorry about.\By the way...\What?\Is this punishment?\Hmm, nice leg. response:	I heard your leg was bitten off
context: I'm sorry about... um... earlier.\The packages are in a sorry state, too.\Nothing to be sorry about.\By the way...\What?\Is this punishment?\Hmm, nice leg.\I heard your leg was bitten off response:	by the Port Mafia when Tanizaki got injured.
context: The packages are in a sorry state, too.\Nothing to be sorry about.\By the way...\What?\Is this punishment?\Hmm, nice leg.\I heard your leg was bitten off\by the Port Mafia when Tanizaki got injured. response:	Not signs of scaring or fusion...
context: Nothing to be sorry about.\By the way...\What?\Is this punishment?\Hmm, nice leg.\I heard your leg was bitten off\by the Port Mafia when Tanizaki got injured.\Not signs of scaring or fusion... response:	It's more of a restoration than a regeneration.
context: By the way...\What?\Is this punishment?\Hmm, nice leg.\I heard your leg was bitten off\by the Port Mafia when Tanizaki got injured.\Not signs of scaring or fusion...\It's more of a restoration than a regeneration. response:	The tiger did this instantly?
context: What?\Is this punishment?\Hmm, nice leg.\I heard your leg was bitten off\by the Port Mafia when Tanizaki got injured.\Not signs of scaring or fusion...\It's more of a restoration than a regeneration.\The tiger did this instantly? response:	Um...
context: Is this punishment?\Hmm, nice leg.\I heard your leg was bitten off\by the Port Mafia when Tanizaki got injured.\Not signs of scaring or fusion...\It's more of a restoration than a regeneration.\The tiger did this instantly?\Um... response:	Is there a problem?
context: Hmm, nice leg.\I heard your leg was bitten off\by the Port Mafia when Tanizaki got injured.\Not signs of scaring or fusion...\It's more of a restoration than a regeneration.\The tiger did this instantly?\Um...\Is there a problem? response:	Oh, I'm just sad I couldn't treat you.
context: I heard your leg was bitten off\by the Port Mafia when Tanizaki got injured.\Not signs of scaring or fusion...\It's more of a restoration than a regeneration.\The tiger did this instantly?\Um...\Is there a problem?\Oh, I'm just sad I couldn't treat you. response:	But there's no reprieve next time for you.
context: by the Port Mafia when Tanizaki got injured.\Not signs of scaring or fusion...\It's more of a restoration than a regeneration.\The tiger did this instantly?\Um...\Is there a problem?\Oh, I'm just sad I couldn't treat you.\But there's no reprieve next time for you. response:	What?
context: Not signs of scaring or fusion...\It's more of a restoration than a regeneration.\The tiger did this instantly?\Um...\Is there a problem?\Oh, I'm just sad I couldn't treat you.\But there's no reprieve next time for you.\What? response:	The Mafia are known for surprise attacks.
context: It's more of a restoration than a regeneration.\The tiger did this instantly?\Um...\Is there a problem?\Oh, I'm just sad I couldn't treat you.\But there's no reprieve next time for you.\What?\The Mafia are known for surprise attacks. response:	You should watch yourself at night.
context: The tiger did this instantly?\Um...\Is there a problem?\Oh, I'm just sad I couldn't treat you.\But there's no reprieve next time for you.\What?\The Mafia are known for surprise attacks.\You should watch yourself at night. response:	You never know when they might strike next.
context: Um...\Is there a problem?\Oh, I'm just sad I couldn't treat you.\But there's no reprieve next time for you.\What?\The Mafia are known for surprise attacks.\You should watch yourself at night.\You never know when they might strike next. response:	That's right.
context: Is there a problem?\Oh, I'm just sad I couldn't treat you.\But there's no reprieve next time for you.\What?\The Mafia are known for surprise attacks.\You should watch yourself at night.\You never know when they might strike next.\That's right. response:	I'm their prime target.
context: Oh, I'm just sad I couldn't treat you.\But there's no reprieve next time for you.\What?\The Mafia are known for surprise attacks.\You should watch yourself at night.\You never know when they might strike next.\That's right.\I'm their prime target. response:	I should know how to protect myself on my own.
context: But there's no reprieve next time for you.\What?\The Mafia are known for surprise attacks.\You should watch yourself at night.\You never know when they might strike next.\That's right.\I'm their prime target.\I should know how to protect myself on my own. response:	Testing, testing. This is your train conductor.
context: What?\The Mafia are known for surprise attacks.\You should watch yourself at night.\You never know when they might strike next.\That's right.\I'm their prime target.\I should know how to protect myself on my own.\Testing, testing. This is your train conductor. response:	We apologize for the inconvenience, but we will now conduct a minor physics experiment!
context: The Mafia are known for surprise attacks.\You should watch yourself at night.\You never know when they might strike next.\That's right.\I'm their prime target.\I should know how to protect myself on my own.\Testing, testing. This is your train conductor.\We apologize for the inconvenience, but we will now conduct a minor physics experiment! response:	The topic: Evaluation of Explosive Reaction and Sensory Response
context: You should watch yourself at night.\You never know when they might strike next.\That's right.\I'm their prime target.\I should know how to protect myself on my own.\Testing, testing. This is your train conductor.\We apologize for the inconvenience, but we will now conduct a minor physics experiment!\The topic: Evaluation of Explosive Reaction and Sensory Response response:	in a Non-Inertial Reference Frame.
context: You never know when they might strike next.\That's right.\I'm their prime target.\I should know how to protect myself on my own.\Testing, testing. This is your train conductor.\We apologize for the inconvenience, but we will now conduct a minor physics experiment!\The topic: Evaluation of Explosive Reaction and Sensory Response\in a Non-Inertial Reference Frame. response:	The test subjects will be our current passengers!
context: That's right.\I'm their prime target.\I should know how to protect myself on my own.\Testing, testing. This is your train conductor.\We apologize for the inconvenience, but we will now conduct a minor physics experiment!\The topic: Evaluation of Explosive Reaction and Sensory Response\in a Non-Inertial Reference Frame.\The test subjects will be our current passengers! response:	We greatly appreciate your cooperation!
context: I'm their prime target.\I should know how to protect myself on my own.\Testing, testing. This is your train conductor.\We apologize for the inconvenience, but we will now conduct a minor physics experiment!\The topic: Evaluation of Explosive Reaction and Sensory Response\in a Non-Inertial Reference Frame.\The test subjects will be our current passengers!\We greatly appreciate your cooperation! response:	So, without further ado,
context: I should know how to protect myself on my own.\Testing, testing. This is your train conductor.\We apologize for the inconvenience, but we will now conduct a minor physics experiment!\The topic: Evaluation of Explosive Reaction and Sensory Response\in a Non-Inertial Reference Frame.\The test subjects will be our current passengers!\We greatly appreciate your cooperation!\So, without further ado, response:	please listen to this!
context: Testing, testing. This is your train conductor.\We apologize for the inconvenience, but we will now conduct a minor physics experiment!\The topic: Evaluation of Explosive Reaction and Sensory Response\in a Non-Inertial Reference Frame.\The test subjects will be our current passengers!\We greatly appreciate your cooperation!\So, without further ado,\please listen to this! response:	Maybe two or three of you already died from that one?
context: We apologize for the inconvenience, but we will now conduct a minor physics experiment!\The topic: Evaluation of Explosive Reaction and Sensory Response\in a Non-Inertial Reference Frame.\The test subjects will be our current passengers!\We greatly appreciate your cooperation!\So, without further ado,\please listen to this!\Maybe two or three of you already died from that one? response:	But that will pale in comparison to the next one!
context: The topic: Evaluation of Explosive Reaction and Sensory Response\in a Non-Inertial Reference Frame.\The test subjects will be our current passengers!\We greatly appreciate your cooperation!\So, without further ado,\please listen to this!\Maybe two or three of you already died from that one?\But that will pale in comparison to the next one! response:	We've rigged enough explosives in the front and back cars
context: in a Non-Inertial Reference Frame.\The test subjects will be our current passengers!\We greatly appreciate your cooperation!\So, without further ado,\please listen to this!\Maybe two or three of you already died from that one?\But that will pale in comparison to the next one!\We've rigged enough explosives in the front and back cars response:	to blow everyone clear to the moon!
context: The test subjects will be our current passengers!\We greatly appreciate your cooperation!\So, without further ado,\please listen to this!\Maybe two or three of you already died from that one?\But that will pale in comparison to the next one!\We've rigged enough explosives in the front and back cars\to blow everyone clear to the moon! response:	Now, test subject Atsushi-kun.
context: We greatly appreciate your cooperation!\So, without further ado,\please listen to this!\Maybe two or three of you already died from that one?\But that will pale in comparison to the next one!\We've rigged enough explosives in the front and back cars\to blow everyone clear to the moon!\Now, test subject Atsushi-kun. response:	Unless you surrender yourself,
context: So, without further ado,\please listen to this!\Maybe two or three of you already died from that one?\But that will pale in comparison to the next one!\We've rigged enough explosives in the front and back cars\to blow everyone clear to the moon!\Now, test subject Atsushi-kun.\Unless you surrender yourself, response:	all passengers will go straight to heaven, much less the moon!
context: please listen to this!\Maybe two or three of you already died from that one?\But that will pale in comparison to the next one!\We've rigged enough explosives in the front and back cars\to blow everyone clear to the moon!\Now, test subject Atsushi-kun.\Unless you surrender yourself,\all passengers will go straight to heaven, much less the moon! response:	But...
context: Maybe two or three of you already died from that one?\But that will pale in comparison to the next one!\We've rigged enough explosives in the front and back cars\to blow everyone clear to the moon!\Now, test subject Atsushi-kun.\Unless you surrender yourself,\all passengers will go straight to heaven, much less the moon!\But... response:	Speak of the devil...
context: But that will pale in comparison to the next one!\We've rigged enough explosives in the front and back cars\to blow everyone clear to the moon!\Now, test subject Atsushi-kun.\Unless you surrender yourself,\all passengers will go straight to heaven, much less the moon!\But...\Speak of the devil... response:	Wh-What should we do?
context: We've rigged enough explosives in the front and back cars\to blow everyone clear to the moon!\Now, test subject Atsushi-kun.\Unless you surrender yourself,\all passengers will go straight to heaven, much less the moon!\But...\Speak of the devil...\Wh-What should we do? response:	Option one, turn yourself in.
context: to blow everyone clear to the moon!\Now, test subject Atsushi-kun.\Unless you surrender yourself,\all passengers will go straight to heaven, much less the moon!\But...\Speak of the devil...\Wh-What should we do?\Option one, turn yourself in. response:	Option two, jump off this running train with several dozen passengers to escape.
context: Now, test subject Atsushi-kun.\Unless you surrender yourself,\all passengers will go straight to heaven, much less the moon!\But...\Speak of the devil...\Wh-What should we do?\Option one, turn yourself in.\Option two, jump off this running train with several dozen passengers to escape. response:	Option three...
context: Unless you surrender yourself,\all passengers will go straight to heaven, much less the moon!\But...\Speak of the devil...\Wh-What should we do?\Option one, turn yourself in.\Option two, jump off this running train with several dozen passengers to escape.\Option three... response:	Beat them up.
context: all passengers will go straight to heaven, much less the moon!\But...\Speak of the devil...\Wh-What should we do?\Option one, turn yourself in.\Option two, jump off this running train with several dozen passengers to escape.\Option three...\Beat them up. response:	Excellent.
context: But...\Speak of the devil...\Wh-What should we do?\Option one, turn yourself in.\Option two, jump off this running train with several dozen passengers to escape.\Option three...\Beat them up.\Excellent. response:	After all, we are the Armed Detective Agency.
context: Speak of the devil...\Wh-What should we do?\Option one, turn yourself in.\Option two, jump off this running train with several dozen passengers to escape.\Option three...\Beat them up.\Excellent.\After all, we are the Armed Detective Agency. response:	Okay, Atsushi.
context: Wh-What should we do?\Option one, turn yourself in.\Option two, jump off this running train with several dozen passengers to escape.\Option three...\Beat them up.\Excellent.\After all, we are the Armed Detective Agency.\Okay, Atsushi. response:	Let's split up and look for the bombs.
context: Option one, turn yourself in.\Option two, jump off this running train with several dozen passengers to escape.\Option three...\Beat them up.\Excellent.\After all, we are the Armed Detective Agency.\Okay, Atsushi.\Let's split up and look for the bombs. response:	I'll take the front.
