context: The Third Plate response:	Two
context: right on the next page after the Chinese Cuisine RS!\He's setting up right in front of the Chinese Cuisine RS?!\And he's going to serve Chinese food?!\And he had to get his booth listed right next to their page, too.\It doesn't surprise me one bit.\I figured he'd start something up to stir the pot,\but I didn't expect him to take them on head-on like this.\Yukihira, damn you! response:	You always fire me up!
context: He's setting up right in front of the Chinese Cuisine RS?!\And he's going to serve Chinese food?!\And he had to get his booth listed right next to their page, too.\It doesn't surprise me one bit.\I figured he'd start something up to stir the pot,\but I didn't expect him to take them on head-on like this.\Yukihira, damn you!\You always fire me up! response:	Bro, you're crushing the guidebook!
context: And he's going to serve Chinese food?!\And he had to get his booth listed right next to their page, too.\It doesn't surprise me one bit.\I figured he'd start something up to stir the pot,\but I didn't expect him to take them on head-on like this.\Yukihira, damn you!\You always fire me up!\Bro, you're crushing the guidebook! response:	Oh, sorry.
context: And he had to get his booth listed right next to their page, too.\It doesn't surprise me one bit.\I figured he'd start something up to stir the pot,\but I didn't expect him to take them on head-on like this.\Yukihira, damn you!\You always fire me up!\Bro, you're crushing the guidebook!\Oh, sorry. response:	This isn't fair!
context: It doesn't surprise me one bit.\I figured he'd start something up to stir the pot,\but I didn't expect him to take them on head-on like this.\Yukihira, damn you!\You always fire me up!\Bro, you're crushing the guidebook!\Oh, sorry.\This isn't fair! response:	Why does Yukihira-kun get all the attention?!
context: I figured he'd start something up to stir the pot,\but I didn't expect him to take them on head-on like this.\Yukihira, damn you!\You always fire me up!\Bro, you're crushing the guidebook!\Oh, sorry.\This isn't fair!\Why does Yukihira-kun get all the attention?! response:	Wow, Yukihira-chin!
context: but I didn't expect him to take them on head-on like this.\Yukihira, damn you!\You always fire me up!\Bro, you're crushing the guidebook!\Oh, sorry.\This isn't fair!\Why does Yukihira-kun get all the attention?!\Wow, Yukihira-chin! response:	You look so chill, but you're so extreme.
context: Yukihira, damn you!\You always fire me up!\Bro, you're crushing the guidebook!\Oh, sorry.\This isn't fair!\Why does Yukihira-kun get all the attention?!\Wow, Yukihira-chin!\You look so chill, but you're so extreme. response:	I hope you won't come to regret it.
context: You always fire me up!\Bro, you're crushing the guidebook!\Oh, sorry.\This isn't fair!\Why does Yukihira-kun get all the attention?!\Wow, Yukihira-chin!\You look so chill, but you're so extreme.\I hope you won't come to regret it. response:	Food Wars
context: Bro, you're crushing the guidebook!\Oh, sorry.\This isn't fair!\Why does Yukihira-kun get all the attention?!\Wow, Yukihira-chin!\You look so chill, but you're so extreme.\I hope you won't come to regret it.\Food Wars response:	The Third Plate
context: Oh, sorry.\This isn't fair!\Why does Yukihira-kun get all the attention?!\Wow, Yukihira-chin!\You look so chill, but you're so extreme.\I hope you won't come to regret it.\Food Wars\The Third Plate response:	You know you'll get expelled if your booth loses money, right?
context: This isn't fair!\Why does Yukihira-kun get all the attention?!\Wow, Yukihira-chin!\You look so chill, but you're so extreme.\I hope you won't come to regret it.\Food Wars\The Third Plate\You know you'll get expelled if your booth loses money, right? response:	When Nakiri said that, I did get kind of spooked,
context: Why does Yukihira-kun get all the attention?!\Wow, Yukihira-chin!\You look so chill, but you're so extreme.\I hope you won't come to regret it.\Food Wars\The Third Plate\You know you'll get expelled if your booth loses money, right?\When Nakiri said that, I did get kind of spooked, response:	but thinking about it, how can I end up with zero profit?
context: Wow, Yukihira-chin!\You look so chill, but you're so extreme.\I hope you won't come to regret it.\Food Wars\The Third Plate\You know you'll get expelled if your booth loses money, right?\When Nakiri said that, I did get kind of spooked,\but thinking about it, how can I end up with zero profit? response:	Ma and La
context: You look so chill, but you're so extreme.\I hope you won't come to regret it.\Food Wars\The Third Plate\You know you'll get expelled if your booth loses money, right?\When Nakiri said that, I did get kind of spooked,\but thinking about it, how can I end up with zero profit?\Ma and La response:	I mean, it's a huge five-day festival that'll have 500,000 people coming.
context: I hope you won't come to regret it.\Food Wars\The Third Plate\You know you'll get expelled if your booth loses money, right?\When Nakiri said that, I did get kind of spooked,\but thinking about it, how can I end up with zero profit?\Ma and La\I mean, it's a huge five-day festival that'll have 500,000 people coming. response:	Well, sure.
context: Food Wars\The Third Plate\You know you'll get expelled if your booth loses money, right?\When Nakiri said that, I did get kind of spooked,\but thinking about it, how can I end up with zero profit?\Ma and La\I mean, it's a huge five-day festival that'll have 500,000 people coming.\Well, sure. response:	Unless you decide to set up shop right in front of a powerful competitor!
context: The Third Plate\You know you'll get expelled if your booth loses money, right?\When Nakiri said that, I did get kind of spooked,\but thinking about it, how can I end up with zero profit?\Ma and La\I mean, it's a huge five-day festival that'll have 500,000 people coming.\Well, sure.\Unless you decide to set up shop right in front of a powerful competitor! response:	Well, I'm sure it'll all work out.
context: You know you'll get expelled if your booth loses money, right?\When Nakiri said that, I did get kind of spooked,\but thinking about it, how can I end up with zero profit?\Ma and La\I mean, it's a huge five-day festival that'll have 500,000 people coming.\Well, sure.\Unless you decide to set up shop right in front of a powerful competitor!\Well, I'm sure it'll all work out. response:	That doesn't sound convincing at all!
context: When Nakiri said that, I did get kind of spooked,\but thinking about it, how can I end up with zero profit?\Ma and La\I mean, it's a huge five-day festival that'll have 500,000 people coming.\Well, sure.\Unless you decide to set up shop right in front of a powerful competitor!\Well, I'm sure it'll all work out.\That doesn't sound convincing at all! response:	I know how disorganized you are!
context: but thinking about it, how can I end up with zero profit?\Ma and La\I mean, it's a huge five-day festival that'll have 500,000 people coming.\Well, sure.\Unless you decide to set up shop right in front of a powerful competitor!\Well, I'm sure it'll all work out.\That doesn't sound convincing at all!\I know how disorganized you are! response:	Excuse me...
context: Ma and La\I mean, it's a huge five-day festival that'll have 500,000 people coming.\Well, sure.\Unless you decide to set up shop right in front of a powerful competitor!\Well, I'm sure it'll all work out.\That doesn't sound convincing at all!\I know how disorganized you are!\Excuse me... response:	Huh?
context: I mean, it's a huge five-day festival that'll have 500,000 people coming.\Well, sure.\Unless you decide to set up shop right in front of a powerful competitor!\Well, I'm sure it'll all work out.\That doesn't sound convincing at all!\I know how disorganized you are!\Excuse me...\Huh? response:	Miss Ikumi.
context: Well, sure.\Unless you decide to set up shop right in front of a powerful competitor!\Well, I'm sure it'll all work out.\That doesn't sound convincing at all!\I know how disorganized you are!\Excuse me...\Huh?\Miss Ikumi. response:	Can you check the paperwork, please?
context: Unless you decide to set up shop right in front of a powerful competitor!\Well, I'm sure it'll all work out.\That doesn't sound convincing at all!\I know how disorganized you are!\Excuse me...\Huh?\Miss Ikumi.\Can you check the paperwork, please? response:	Sure, hang on.
context: Well, I'm sure it'll all work out.\That doesn't sound convincing at all!\I know how disorganized you are!\Excuse me...\Huh?\Miss Ikumi.\Can you check the paperwork, please?\Sure, hang on. response:	Ikumi-senpai's so cool!
context: That doesn't sound convincing at all!\I know how disorganized you are!\Excuse me...\Huh?\Miss Ikumi.\Can you check the paperwork, please?\Sure, hang on.\Ikumi-senpai's so cool! response:	Wow, Don RS sure is booming these days.
context: I know how disorganized you are!\Excuse me...\Huh?\Miss Ikumi.\Can you check the paperwork, please?\Sure, hang on.\Ikumi-senpai's so cool!\Wow, Don RS sure is booming these days. response:	Yeah, we're getting a ton of applicants from the junior high division.
context: Excuse me...\Huh?\Miss Ikumi.\Can you check the paperwork, please?\Sure, hang on.\Ikumi-senpai's so cool!\Wow, Don RS sure is booming these days.\Yeah, we're getting a ton of applicants from the junior high division. response:	Nikumi's gotten way more charismatic lately.
context: Huh?\Miss Ikumi.\Can you check the paperwork, please?\Sure, hang on.\Ikumi-senpai's so cool!\Wow, Don RS sure is booming these days.\Yeah, we're getting a ton of applicants from the junior high division.\Nikumi's gotten way more charismatic lately. response:	She won the Shokugeki against Sadatsuka Nao without any trouble, too.
context: Miss Ikumi.\Can you check the paperwork, please?\Sure, hang on.\Ikumi-senpai's so cool!\Wow, Don RS sure is booming these days.\Yeah, we're getting a ton of applicants from the junior high division.\Nikumi's gotten way more charismatic lately.\She won the Shokugeki against Sadatsuka Nao without any trouble, too. response:	By the way, Yukihira.
context: Can you check the paperwork, please?\Sure, hang on.\Ikumi-senpai's so cool!\Wow, Don RS sure is booming these days.\Yeah, we're getting a ton of applicants from the junior high division.\Nikumi's gotten way more charismatic lately.\She won the Shokugeki against Sadatsuka Nao without any trouble, too.\By the way, Yukihira. response:	Huh?
context: Sure, hang on.\Ikumi-senpai's so cool!\Wow, Don RS sure is booming these days.\Yeah, we're getting a ton of applicants from the junior high division.\Nikumi's gotten way more charismatic lately.\She won the Shokugeki against Sadatsuka Nao without any trouble, too.\By the way, Yukihira.\Huh? response:	I'd like to help out at your booth,
context: Ikumi-senpai's so cool!\Wow, Don RS sure is booming these days.\Yeah, we're getting a ton of applicants from the junior high division.\Nikumi's gotten way more charismatic lately.\She won the Shokugeki against Sadatsuka Nao without any trouble, too.\By the way, Yukihira.\Huh?\I'd like to help out at your booth, response:	but I have to take care of them.
context: Wow, Don RS sure is booming these days.\Yeah, we're getting a ton of applicants from the junior high division.\Nikumi's gotten way more charismatic lately.\She won the Shokugeki against Sadatsuka Nao without any trouble, too.\By the way, Yukihira.\Huh?\I'd like to help out at your booth,\but I have to take care of them. response:	So...
context: Yeah, we're getting a ton of applicants from the junior high division.\Nikumi's gotten way more charismatic lately.\She won the Shokugeki against Sadatsuka Nao without any trouble, too.\By the way, Yukihira.\Huh?\I'd like to help out at your booth,\but I have to take care of them.\So... response:	Oh, there's no need, Nikumi.
context: Nikumi's gotten way more charismatic lately.\She won the Shokugeki against Sadatsuka Nao without any trouble, too.\By the way, Yukihira.\Huh?\I'd like to help out at your booth,\but I have to take care of them.\So...\Oh, there's no need, Nikumi. response:	I'm the one who told you to give Don RS your best shot.
context: She won the Shokugeki against Sadatsuka Nao without any trouble, too.\By the way, Yukihira.\Huh?\I'd like to help out at your booth,\but I have to take care of them.\So...\Oh, there's no need, Nikumi.\I'm the one who told you to give Don RS your best shot. response:	Right!
context: By the way, Yukihira.\Huh?\I'd like to help out at your booth,\but I have to take care of them.\So...\Oh, there's no need, Nikumi.\I'm the one who told you to give Don RS your best shot.\Right! response:	But if you run into any trouble, ask for help!
context: Huh?\I'd like to help out at your booth,\but I have to take care of them.\So...\Oh, there's no need, Nikumi.\I'm the one who told you to give Don RS your best shot.\Right!\But if you run into any trouble, ask for help! response:	Okay!
context: I'd like to help out at your booth,\but I have to take care of them.\So...\Oh, there's no need, Nikumi.\I'm the one who told you to give Don RS your best shot.\Right!\But if you run into any trouble, ask for help!\Okay! response:	Yeah, what Nikumi said!
context: but I have to take care of them.\So...\Oh, there's no need, Nikumi.\I'm the one who told you to give Don RS your best shot.\Right!\But if you run into any trouble, ask for help!\Okay!\Yeah, what Nikumi said! response:	After all, you and Tadokoro are honorary members!
context: So...\Oh, there's no need, Nikumi.\I'm the one who told you to give Don RS your best shot.\Right!\But if you run into any trouble, ask for help!\Okay!\Yeah, what Nikumi said!\After all, you and Tadokoro are honorary members! response:	We are?
context: Oh, there's no need, Nikumi.\I'm the one who told you to give Don RS your best shot.\Right!\But if you run into any trouble, ask for help!\Okay!\Yeah, what Nikumi said!\After all, you and Tadokoro are honorary members!\We are? response:	Anyway, I gotta do what I gotta do.
context: I'm the one who told you to give Don RS your best shot.\Right!\But if you run into any trouble, ask for help!\Okay!\Yeah, what Nikumi said!\After all, you and Tadokoro are honorary members!\We are?\Anyway, I gotta do what I gotta do. response:	That's ridiculous, Alice!
context: Right!\But if you run into any trouble, ask for help!\Okay!\Yeah, what Nikumi said!\After all, you and Tadokoro are honorary members!\We are?\Anyway, I gotta do what I gotta do.\That's ridiculous, Alice! response:	Huh?
context: But if you run into any trouble, ask for help!\Okay!\Yeah, what Nikumi said!\After all, you and Tadokoro are honorary members!\We are?\Anyway, I gotta do what I gotta do.\That's ridiculous, Alice!\Huh? response:	You don't have to get so mad at me!
context: Okay!\Yeah, what Nikumi said!\After all, you and Tadokoro are honorary members!\We are?\Anyway, I gotta do what I gotta do.\That's ridiculous, Alice!\Huh?\You don't have to get so mad at me! response:	The booth application deadline was a long time ago.
context: Yeah, what Nikumi said!\After all, you and Tadokoro are honorary members!\We are?\Anyway, I gotta do what I gotta do.\That's ridiculous, Alice!\Huh?\You don't have to get so mad at me!\The booth application deadline was a long time ago. response:	You decide now that you want to join the Moon Festival?
context: After all, you and Tadokoro are honorary members!\We are?\Anyway, I gotta do what I gotta do.\That's ridiculous, Alice!\Huh?\You don't have to get so mad at me!\The booth application deadline was a long time ago.\You decide now that you want to join the Moon Festival? response:	I may be one of the Elite Ten, but even I can't help you.
context: We are?\Anyway, I gotta do what I gotta do.\That's ridiculous, Alice!\Huh?\You don't have to get so mad at me!\The booth application deadline was a long time ago.\You decide now that you want to join the Moon Festival?\I may be one of the Elite Ten, but even I can't help you. response:	Hmph.
context: Anyway, I gotta do what I gotta do.\That's ridiculous, Alice!\Huh?\You don't have to get so mad at me!\The booth application deadline was a long time ago.\You decide now that you want to join the Moon Festival?\I may be one of the Elite Ten, but even I can't help you.\Hmph. response:	I can grab someone else's booth location using a Shokugeki.
context: That's ridiculous, Alice!\Huh?\You don't have to get so mad at me!\The booth application deadline was a long time ago.\You decide now that you want to join the Moon Festival?\I may be one of the Elite Ten, but even I can't help you.\Hmph.\I can grab someone else's booth location using a Shokugeki. response:	There are other ways, I'm sure.
context: Huh?\You don't have to get so mad at me!\The booth application deadline was a long time ago.\You decide now that you want to join the Moon Festival?\I may be one of the Elite Ten, but even I can't help you.\Hmph.\I can grab someone else's booth location using a Shokugeki.\There are other ways, I'm sure. response:	You said it was too much trouble to even bother last year!
context: You don't have to get so mad at me!\The booth application deadline was a long time ago.\You decide now that you want to join the Moon Festival?\I may be one of the Elite Ten, but even I can't help you.\Hmph.\I can grab someone else's booth location using a Shokugeki.\There are other ways, I'm sure.\You said it was too much trouble to even bother last year! response:	Hey, what are you Nakiris fighting about?
context: The booth application deadline was a long time ago.\You decide now that you want to join the Moon Festival?\I may be one of the Elite Ten, but even I can't help you.\Hmph.\I can grab someone else's booth location using a Shokugeki.\There are other ways, I'm sure.\You said it was too much trouble to even bother last year!\Hey, what are you Nakiris fighting about? response:	Oh, Yukihira-kun.
context: You decide now that you want to join the Moon Festival?\I may be one of the Elite Ten, but even I can't help you.\Hmph.\I can grab someone else's booth location using a Shokugeki.\There are other ways, I'm sure.\You said it was too much trouble to even bother last year!\Hey, what are you Nakiris fighting about?\Oh, Yukihira-kun. response:	Don't call us that!
context: I may be one of the Elite Ten, but even I can't help you.\Hmph.\I can grab someone else's booth location using a Shokugeki.\There are other ways, I'm sure.\You said it was too much trouble to even bother last year!\Hey, what are you Nakiris fighting about?\Oh, Yukihira-kun.\Don't call us that! response:	Erina-sama!
context: Hmph.\I can grab someone else's booth location using a Shokugeki.\There are other ways, I'm sure.\You said it was too much trouble to even bother last year!\Hey, what are you Nakiris fighting about?\Oh, Yukihira-kun.\Don't call us that!\Erina-sama! response:	Due to traffic,
context: I can grab someone else's booth location using a Shokugeki.\There are other ways, I'm sure.\You said it was too much trouble to even bother last year!\Hey, what are you Nakiris fighting about?\Oh, Yukihira-kun.\Don't call us that!\Erina-sama!\Due to traffic, response:	the contractors handling interior construction will be an hour late.
context: There are other ways, I'm sure.\You said it was too much trouble to even bother last year!\Hey, what are you Nakiris fighting about?\Oh, Yukihira-kun.\Don't call us that!\Erina-sama!\Due to traffic,\the contractors handling interior construction will be an hour late. response:	I see. I suppose we can't do much about that.
context: You said it was too much trouble to even bother last year!\Hey, what are you Nakiris fighting about?\Oh, Yukihira-kun.\Don't call us that!\Erina-sama!\Due to traffic,\the contractors handling interior construction will be an hour late.\I see. I suppose we can't do much about that. response:	Oh!
context: Hey, what are you Nakiris fighting about?\Oh, Yukihira-kun.\Don't call us that!\Erina-sama!\Due to traffic,\the contractors handling interior construction will be an hour late.\I see. I suppose we can't do much about that.\Oh! response:	I guess you guys time to spare, then.
context: Oh, Yukihira-kun.\Don't call us that!\Erina-sama!\Due to traffic,\the contractors handling interior construction will be an hour late.\I see. I suppose we can't do much about that.\Oh!\I guess you guys time to spare, then. response:	Huh?
context: Don't call us that!\Erina-sama!\Due to traffic,\the contractors handling interior construction will be an hour late.\I see. I suppose we can't do much about that.\Oh!\I guess you guys time to spare, then.\Huh? response:	I've been thinking that I'm gonna make some dishes I used to serve back home.
context: Erina-sama!\Due to traffic,\the contractors handling interior construction will be an hour late.\I see. I suppose we can't do much about that.\Oh!\I guess you guys time to spare, then.\Huh?\I've been thinking that I'm gonna make some dishes I used to serve back home. response:	Can you be taste testers?
context: Due to traffic,\the contractors handling interior construction will be an hour late.\I see. I suppose we can't do much about that.\Oh!\I guess you guys time to spare, then.\Huh?\I've been thinking that I'm gonna make some dishes I used to serve back home.\Can you be taste testers? response:	What?!
context: the contractors handling interior construction will be an hour late.\I see. I suppose we can't do much about that.\Oh!\I guess you guys time to spare, then.\Huh?\I've been thinking that I'm gonna make some dishes I used to serve back home.\Can you be taste testers?\What?! response:	Why would I do something like that?!
context: I see. I suppose we can't do much about that.\Oh!\I guess you guys time to spare, then.\Huh?\I've been thinking that I'm gonna make some dishes I used to serve back home.\Can you be taste testers?\What?!\Why would I do something like that?! response:	Just for an hour, Yukihira!
context: Oh!\I guess you guys time to spare, then.\Huh?\I've been thinking that I'm gonna make some dishes I used to serve back home.\Can you be taste testers?\What?!\Why would I do something like that?!\Just for an hour, Yukihira! response:	Erina-sama is very busy.
context: I guess you guys time to spare, then.\Huh?\I've been thinking that I'm gonna make some dishes I used to serve back home.\Can you be taste testers?\What?!\Why would I do something like that?!\Just for an hour, Yukihira!\Erina-sama is very busy. response:	Hisako isn't vetoing it?!
context: Huh?\I've been thinking that I'm gonna make some dishes I used to serve back home.\Can you be taste testers?\What?!\Why would I do something like that?!\Just for an hour, Yukihira!\Erina-sama is very busy.\Hisako isn't vetoing it?! response:	I can chip in, too.
context: I've been thinking that I'm gonna make some dishes I used to serve back home.\Can you be taste testers?\What?!\Why would I do something like that?!\Just for an hour, Yukihira!\Erina-sama is very busy.\Hisako isn't vetoing it?!\I can chip in, too. response:	Thanks!
context: Can you be taste testers?\What?!\Why would I do something like that?!\Just for an hour, Yukihira!\Erina-sama is very busy.\Hisako isn't vetoing it?!\I can chip in, too.\Thanks! response:	I've sliced the green onions.
context: What?!\Why would I do something like that?!\Just for an hour, Yukihira!\Erina-sama is very busy.\Hisako isn't vetoing it?!\I can chip in, too.\Thanks!\I've sliced the green onions. response:	That's as far as I'll go in terms of help.
context: Why would I do something like that?!\Just for an hour, Yukihira!\Erina-sama is very busy.\Hisako isn't vetoing it?!\I can chip in, too.\Thanks!\I've sliced the green onions.\That's as far as I'll go in terms of help. response:	Sure, thanks!
context: Just for an hour, Yukihira!\Erina-sama is very busy.\Hisako isn't vetoing it?!\I can chip in, too.\Thanks!\I've sliced the green onions.\That's as far as I'll go in terms of help.\Sure, thanks! response:	Hisako...
context: Erina-sama is very busy.\Hisako isn't vetoing it?!\I can chip in, too.\Thanks!\I've sliced the green onions.\That's as far as I'll go in terms of help.\Sure, thanks!\Hisako... response:	I'm not wrong. I think she's friendlier with Yukihira-kun lately.
context: Hisako isn't vetoing it?!\I can chip in, too.\Thanks!\I've sliced the green onions.\That's as far as I'll go in terms of help.\Sure, thanks!\Hisako...\I'm not wrong. I think she's friendlier with Yukihira-kun lately. response:	Hisako...
context: I can chip in, too.\Thanks!\I've sliced the green onions.\That's as far as I'll go in terms of help.\Sure, thanks!\Hisako...\I'm not wrong. I think she's friendlier with Yukihira-kun lately.\Hisako... response:	Yes?
context: Thanks!\I've sliced the green onions.\That's as far as I'll go in terms of help.\Sure, thanks!\Hisako...\I'm not wrong. I think she's friendlier with Yukihira-kun lately.\Hisako...\Yes? response:	N-Nothing. Never mind.
context: I've sliced the green onions.\That's as far as I'll go in terms of help.\Sure, thanks!\Hisako...\I'm not wrong. I think she's friendlier with Yukihira-kun lately.\Hisako...\Yes?\N-Nothing. Never mind. response:	Here's the Yukihira-Style Mapo Tofu Set!
context: That's as far as I'll go in terms of help.\Sure, thanks!\Hisako...\I'm not wrong. I think she's friendlier with Yukihira-kun lately.\Hisako...\Yes?\N-Nothing. Never mind.\Here's the Yukihira-Style Mapo Tofu Set! response:	Dig in!
context: Sure, thanks!\Hisako...\I'm not wrong. I think she's friendlier with Yukihira-kun lately.\Hisako...\Yes?\N-Nothing. Never mind.\Here's the Yukihira-Style Mapo Tofu Set!\Dig in! response:	From what I've seen,
context: Hisako...\I'm not wrong. I think she's friendlier with Yukihira-kun lately.\Hisako...\Yes?\N-Nothing. Never mind.\Here's the Yukihira-Style Mapo Tofu Set!\Dig in!\From what I've seen, response:	this appears to be a typical dish served at restaurants for the general public,
context: I'm not wrong. I think she's friendlier with Yukihira-kun lately.\Hisako...\Yes?\N-Nothing. Never mind.\Here's the Yukihira-Style Mapo Tofu Set!\Dig in!\From what I've seen,\this appears to be a typical dish served at restaurants for the general public, response:	Erina-sama.
context: Hisako...\Yes?\N-Nothing. Never mind.\Here's the Yukihira-Style Mapo Tofu Set!\Dig in!\From what I've seen,\this appears to be a typical dish served at restaurants for the general public,\Erina-sama. response:	Hm, I see.
context: Yes?\N-Nothing. Never mind.\Here's the Yukihira-Style Mapo Tofu Set!\Dig in!\From what I've seen,\this appears to be a typical dish served at restaurants for the general public,\Erina-sama.\Hm, I see. response:	So spicy!
context: N-Nothing. Never mind.\Here's the Yukihira-Style Mapo Tofu Set!\Dig in!\From what I've seen,\this appears to be a typical dish served at restaurants for the general public,\Erina-sama.\Hm, I see.\So spicy! response:	But this won't let you beat Kuga-senpai.
context: Here's the Yukihira-Style Mapo Tofu Set!\Dig in!\From what I've seen,\this appears to be a typical dish served at restaurants for the general public,\Erina-sama.\Hm, I see.\So spicy!\But this won't let you beat Kuga-senpai. response:	That's because your dish lacks both ma and la by a significant margin.
context: Dig in!\From what I've seen,\this appears to be a typical dish served at restaurants for the general public,\Erina-sama.\Hm, I see.\So spicy!\But this won't let you beat Kuga-senpai.\That's because your dish lacks both ma and la by a significant margin. response:	Ma and la? What are you talking about, Nakiri?
context: From what I've seen,\this appears to be a typical dish served at restaurants for the general public,\Erina-sama.\Hm, I see.\So spicy!\But this won't let you beat Kuga-senpai.\That's because your dish lacks both ma and la by a significant margin.\Ma and la? What are you talking about, Nakiri? response:	You should be ashamed of your ignorance!
context: this appears to be a typical dish served at restaurants for the general public,\Erina-sama.\Hm, I see.\So spicy!\But this won't let you beat Kuga-senpai.\That's because your dish lacks both ma and la by a significant margin.\Ma and la? What are you talking about, Nakiri?\You should be ashamed of your ignorance! response:	Listen, spiciness in Chinese cuisine rests upon two pillars.
context: Erina-sama.\Hm, I see.\So spicy!\But this won't let you beat Kuga-senpai.\That's because your dish lacks both ma and la by a significant margin.\Ma and la? What are you talking about, Nakiri?\You should be ashamed of your ignorance!\Listen, spiciness in Chinese cuisine rests upon two pillars. response:	The fiery spiciness associated with red chili peppers, la-wei,
context: Hm, I see.\So spicy!\But this won't let you beat Kuga-senpai.\That's because your dish lacks both ma and la by a significant margin.\Ma and la? What are you talking about, Nakiri?\You should be ashamed of your ignorance!\Listen, spiciness in Chinese cuisine rests upon two pillars.\The fiery spiciness associated with red chili peppers, la-wei, response:	La-wei
context: So spicy!\But this won't let you beat Kuga-senpai.\That's because your dish lacks both ma and la by a significant margin.\Ma and la? What are you talking about, Nakiri?\You should be ashamed of your ignorance!\Listen, spiciness in Chinese cuisine rests upon two pillars.\The fiery spiciness associated with red chili peppers, la-wei,\La-wei response:	and the numbing spiciness associated with Sichuan peppers, ma-wei.
context: But this won't let you beat Kuga-senpai.\That's because your dish lacks both ma and la by a significant margin.\Ma and la? What are you talking about, Nakiri?\You should be ashamed of your ignorance!\Listen, spiciness in Chinese cuisine rests upon two pillars.\The fiery spiciness associated with red chili peppers, la-wei,\La-wei\and the numbing spiciness associated with Sichuan peppers, ma-wei. response:	Ma-wei
