context: Scrambled Eggs response:	Let's do this, then.
context: It's a mixed bath. There's no issue here.\I'm right here!\What are you talking about?\We're friends. This is perfectly normal.\Maybe not.\I'm sorry. I'd appreciate if you'd forget that.\There's something I'm counting on you to do.\Take care of it. response:	Father.
context: I'm right here!\What are you talking about?\We're friends. This is perfectly normal.\Maybe not.\I'm sorry. I'd appreciate if you'd forget that.\There's something I'm counting on you to do.\Take care of it.\Father. response:	May I talk to you for a bit?
context: What are you talking about?\We're friends. This is perfectly normal.\Maybe not.\I'm sorry. I'd appreciate if you'd forget that.\There's something I'm counting on you to do.\Take care of it.\Father.\May I talk to you for a bit? response:	What is it?
context: We're friends. This is perfectly normal.\Maybe not.\I'm sorry. I'd appreciate if you'd forget that.\There's something I'm counting on you to do.\Take care of it.\Father.\May I talk to you for a bit?\What is it? response:	Well...
context: Maybe not.\I'm sorry. I'd appreciate if you'd forget that.\There's something I'm counting on you to do.\Take care of it.\Father.\May I talk to you for a bit?\What is it?\Well... response:	Okay.
context: I'm sorry. I'd appreciate if you'd forget that.\There's something I'm counting on you to do.\Take care of it.\Father.\May I talk to you for a bit?\What is it?\Well...\Okay. response:	Once I'm past here, the rest is easy.
context: There's something I'm counting on you to do.\Take care of it.\Father.\May I talk to you for a bit?\What is it?\Well...\Okay.\Once I'm past here, the rest is easy. response:	I just need to talk to the rest of them, one at a time.
context: Take care of it.\Father.\May I talk to you for a bit?\What is it?\Well...\Okay.\Once I'm past here, the rest is easy.\I just need to talk to the rest of them, one at a time. response:	That could very well help me figure out who the fake Itsuki is.
context: Father.\May I talk to you for a bit?\What is it?\Well...\Okay.\Once I'm past here, the rest is easy.\I just need to talk to the rest of them, one at a time.\That could very well help me figure out who the fake Itsuki is. response:	I doubt they have anything serious on their minds, anyway.
context: May I talk to you for a bit?\What is it?\Well...\Okay.\Once I'm past here, the rest is easy.\I just need to talk to the rest of them, one at a time.\That could very well help me figure out who the fake Itsuki is.\I doubt they have anything serious on their minds, anyway. response:	Ichika, Nino, Miku, Yotsuba...
context: What is it?\Well...\Okay.\Once I'm past here, the rest is easy.\I just need to talk to the rest of them, one at a time.\That could very well help me figure out who the fake Itsuki is.\I doubt they have anything serious on their minds, anyway.\Ichika, Nino, Miku, Yotsuba... response:	Just you wait...
context: Well...\Okay.\Once I'm past here, the rest is easy.\I just need to talk to the rest of them, one at a time.\That could very well help me figure out who the fake Itsuki is.\I doubt they have anything serious on their minds, anyway.\Ichika, Nino, Miku, Yotsuba...\Just you wait... response:	I'm coming for you!
context: Okay.\Once I'm past here, the rest is easy.\I just need to talk to the rest of them, one at a time.\That could very well help me figure out who the fake Itsuki is.\I doubt they have anything serious on their minds, anyway.\Ichika, Nino, Miku, Yotsuba...\Just you wait...\I'm coming for you! response:	A forest of Itsukis!
context: Once I'm past here, the rest is easy.\I just need to talk to the rest of them, one at a time.\That could very well help me figure out who the fake Itsuki is.\I doubt they have anything serious on their minds, anyway.\Ichika, Nino, Miku, Yotsuba...\Just you wait...\I'm coming for you!\A forest of Itsukis! response:	Why are you all Itsuki?
context: I just need to talk to the rest of them, one at a time.\That could very well help me figure out who the fake Itsuki is.\I doubt they have anything serious on their minds, anyway.\Ichika, Nino, Miku, Yotsuba...\Just you wait...\I'm coming for you!\A forest of Itsukis!\Why are you all Itsuki? response:	Come on, Futaro-kun, learn to knock first.
context: That could very well help me figure out who the fake Itsuki is.\I doubt they have anything serious on their minds, anyway.\Ichika, Nino, Miku, Yotsuba...\Just you wait...\I'm coming for you!\A forest of Itsukis!\Why are you all Itsuki?\Come on, Futaro-kun, learn to knock first. response:	We scared him.
context: I doubt they have anything serious on their minds, anyway.\Ichika, Nino, Miku, Yotsuba...\Just you wait...\I'm coming for you!\A forest of Itsukis!\Why are you all Itsuki?\Come on, Futaro-kun, learn to knock first.\We scared him. response:	What we're doing...
context: Ichika, Nino, Miku, Yotsuba...\Just you wait...\I'm coming for you!\A forest of Itsukis!\Why are you all Itsuki?\Come on, Futaro-kun, learn to knock first.\We scared him.\What we're doing... response:	This is a good opportunity.
context: Just you wait...\I'm coming for you!\A forest of Itsukis!\Why are you all Itsuki?\Come on, Futaro-kun, learn to knock first.\We scared him.\What we're doing...\This is a good opportunity. response:	I wanted to try this on you again anyway.
context: I'm coming for you!\A forest of Itsukis!\Why are you all Itsuki?\Come on, Futaro-kun, learn to knock first.\We scared him.\What we're doing...\This is a good opportunity.\I wanted to try this on you again anyway. response:	Do you remember the quintuplets game?
context: A forest of Itsukis!\Why are you all Itsuki?\Come on, Futaro-kun, learn to knock first.\We scared him.\What we're doing...\This is a good opportunity.\I wanted to try this on you again anyway.\Do you remember the quintuplets game? response:	Why don't you try guessing who's who?
context: Why are you all Itsuki?\Come on, Futaro-kun, learn to knock first.\We scared him.\What we're doing...\This is a good opportunity.\I wanted to try this on you again anyway.\Do you remember the quintuplets game?\Why don't you try guessing who's who? response:	The First One
context: Come on, Futaro-kun, learn to knock first.\We scared him.\What we're doing...\This is a good opportunity.\I wanted to try this on you again anyway.\Do you remember the quintuplets game?\Why don't you try guessing who's who?\The First One response:	Introduce myself? Okay.
context: We scared him.\What we're doing...\This is a good opportunity.\I wanted to try this on you again anyway.\Do you remember the quintuplets game?\Why don't you try guessing who's who?\The First One\Introduce myself? Okay. response:	I'm Nakano Itsuki.
context: What we're doing...\This is a good opportunity.\I wanted to try this on you again anyway.\Do you remember the quintuplets game?\Why don't you try guessing who's who?\The First One\Introduce myself? Okay.\I'm Nakano Itsuki. response:	Born May 5th.
context: This is a good opportunity.\I wanted to try this on you again anyway.\Do you remember the quintuplets game?\Why don't you try guessing who's who?\The First One\Introduce myself? Okay.\I'm Nakano Itsuki.\Born May 5th. response:	17 years old, blood type A.
context: I wanted to try this on you again anyway.\Do you remember the quintuplets game?\Why don't you try guessing who's who?\The First One\Introduce myself? Okay.\I'm Nakano Itsuki.\Born May 5th.\17 years old, blood type A. response:	The Second One
context: Do you remember the quintuplets game?\Why don't you try guessing who's who?\The First One\Introduce myself? Okay.\I'm Nakano Itsuki.\Born May 5th.\17 years old, blood type A.\The Second One response:	What I like?
context: Why don't you try guessing who's who?\The First One\Introduce myself? Okay.\I'm Nakano Itsuki.\Born May 5th.\17 years old, blood type A.\The Second One\What I like? response:	I definitely feel happy when I'm having good food.
context: The First One\Introduce myself? Okay.\I'm Nakano Itsuki.\Born May 5th.\17 years old, blood type A.\The Second One\What I like?\I definitely feel happy when I'm having good food. response:	The Third One
context: Introduce myself? Okay.\I'm Nakano Itsuki.\Born May 5th.\17 years old, blood type A.\The Second One\What I like?\I definitely feel happy when I'm having good food.\The Third One response:	Uesugi-kun, you mustn't ask such questions of a girl!
context: I'm Nakano Itsuki.\Born May 5th.\17 years old, blood type A.\The Second One\What I like?\I definitely feel happy when I'm having good food.\The Third One\Uesugi-kun, you mustn't ask such questions of a girl! response:	The Fourth One
context: Born May 5th.\17 years old, blood type A.\The Second One\What I like?\I definitely feel happy when I'm having good food.\The Third One\Uesugi-kun, you mustn't ask such questions of a girl!\The Fourth One response:	Damn it, I can't tell them apart at all.
context: 17 years old, blood type A.\The Second One\What I like?\I definitely feel happy when I'm having good food.\The Third One\Uesugi-kun, you mustn't ask such questions of a girl!\The Fourth One\Damn it, I can't tell them apart at all. response:	Um... If you don't have any more questions...
context: The Second One\What I like?\I definitely feel happy when I'm having good food.\The Third One\Uesugi-kun, you mustn't ask such questions of a girl!\The Fourth One\Damn it, I can't tell them apart at all.\Um... If you don't have any more questions... response:	Why are you all impersonating Itsuki?
context: What I like?\I definitely feel happy when I'm having good food.\The Third One\Uesugi-kun, you mustn't ask such questions of a girl!\The Fourth One\Damn it, I can't tell them apart at all.\Um... If you don't have any more questions...\Why are you all impersonating Itsuki? response:	Well...
context: I definitely feel happy when I'm having good food.\The Third One\Uesugi-kun, you mustn't ask such questions of a girl!\The Fourth One\Damn it, I can't tell them apart at all.\Um... If you don't have any more questions...\Why are you all impersonating Itsuki?\Well... response:	It's a long story, but...
context: The Third One\Uesugi-kun, you mustn't ask such questions of a girl!\The Fourth One\Damn it, I can't tell them apart at all.\Um... If you don't have any more questions...\Why are you all impersonating Itsuki?\Well...\It's a long story, but... response:	Um...
context: Uesugi-kun, you mustn't ask such questions of a girl!\The Fourth One\Damn it, I can't tell them apart at all.\Um... If you don't have any more questions...\Why are you all impersonating Itsuki?\Well...\It's a long story, but...\Um... response:	This Itsuki might be...
context: The Fourth One\Damn it, I can't tell them apart at all.\Um... If you don't have any more questions...\Why are you all impersonating Itsuki?\Well...\It's a long story, but...\Um...\This Itsuki might be... response:	The five of us quintuplets have always looked identical,
context: Damn it, I can't tell them apart at all.\Um... If you don't have any more questions...\Why are you all impersonating Itsuki?\Well...\It's a long story, but...\Um...\This Itsuki might be...\The five of us quintuplets have always looked identical, response:	and everyone could see that we were tight-knit.
context: Um... If you don't have any more questions...\Why are you all impersonating Itsuki?\Well...\It's a long story, but...\Um...\This Itsuki might be...\The five of us quintuplets have always looked identical,\and everyone could see that we were tight-knit. response:	Grandpa was happy to see it, too.
context: Why are you all impersonating Itsuki?\Well...\It's a long story, but...\Um...\This Itsuki might be...\The five of us quintuplets have always looked identical,\and everyone could see that we were tight-knit.\Grandpa was happy to see it, too. response:	But one day, I tried dressing up differently from everyone else.
context: Well...\It's a long story, but...\Um...\This Itsuki might be...\The five of us quintuplets have always looked identical,\and everyone could see that we were tight-knit.\Grandpa was happy to see it, too.\But one day, I tried dressing up differently from everyone else. response:	Oh?
context: It's a long story, but...\Um...\This Itsuki might be...\The five of us quintuplets have always looked identical,\and everyone could see that we were tight-knit.\Grandpa was happy to see it, too.\But one day, I tried dressing up differently from everyone else.\Oh? response:	How did you dress up?
context: Um...\This Itsuki might be...\The five of us quintuplets have always looked identical,\and everyone could see that we were tight-knit.\Grandpa was happy to see it, too.\But one day, I tried dressing up differently from everyone else.\Oh?\How did you dress up? response:	The same-bunny ear ribbon that I wear...
context: This Itsuki might be...\The five of us quintuplets have always looked identical,\and everyone could see that we were tight-knit.\Grandpa was happy to see it, too.\But one day, I tried dressing up differently from everyone else.\Oh?\How did you dress up?\The same-bunny ear ribbon that I wear... response:	You're Yotsuba!
context: The five of us quintuplets have always looked identical,\and everyone could see that we were tight-knit.\Grandpa was happy to see it, too.\But one day, I tried dressing up differently from everyone else.\Oh?\How did you dress up?\The same-bunny ear ribbon that I wear...\You're Yotsuba! response:	I-I have no idea what you're talking about!
context: and everyone could see that we were tight-knit.\Grandpa was happy to see it, too.\But one day, I tried dressing up differently from everyone else.\Oh?\How did you dress up?\The same-bunny ear ribbon that I wear...\You're Yotsuba!\I-I have no idea what you're talking about! response:	Given how she's the worst liar, I figured she'd be easy to find, but not that easy.
context: Grandpa was happy to see it, too.\But one day, I tried dressing up differently from everyone else.\Oh?\How did you dress up?\The same-bunny ear ribbon that I wear...\You're Yotsuba!\I-I have no idea what you're talking about!\Given how she's the worst liar, I figured she'd be easy to find, but not that easy. response:	L-Let Itsuki take over from here.
context: But one day, I tried dressing up differently from everyone else.\Oh?\How did you dress up?\The same-bunny ear ribbon that I wear...\You're Yotsuba!\I-I have no idea what you're talking about!\Given how she's the worst liar, I figured she'd be easy to find, but not that easy.\L-Let Itsuki take over from here. response:	Fine.
context: Oh?\How did you dress up?\The same-bunny ear ribbon that I wear...\You're Yotsuba!\I-I have no idea what you're talking about!\Given how she's the worst liar, I figured she'd be easy to find, but not that easy.\L-Let Itsuki take over from here.\Fine. response:	Finish your story.
context: How did you dress up?\The same-bunny ear ribbon that I wear...\You're Yotsuba!\I-I have no idea what you're talking about!\Given how she's the worst liar, I figured she'd be easy to find, but not that easy.\L-Let Itsuki take over from here.\Fine.\Finish your story. response:	Grandpa became worried when he saw that the five of us weren't the same anymore.
context: The same-bunny ear ribbon that I wear...\You're Yotsuba!\I-I have no idea what you're talking about!\Given how she's the worst liar, I figured she'd be easy to find, but not that easy.\L-Let Itsuki take over from here.\Fine.\Finish your story.\Grandpa became worried when he saw that the five of us weren't the same anymore. response:	He thought we might have had a falling out.
context: You're Yotsuba!\I-I have no idea what you're talking about!\Given how she's the worst liar, I figured she'd be easy to find, but not that easy.\L-Let Itsuki take over from here.\Fine.\Finish your story.\Grandpa became worried when he saw that the five of us weren't the same anymore.\He thought we might have had a falling out. response:	One day, he collapsed.
context: I-I have no idea what you're talking about!\Given how she's the worst liar, I figured she'd be easy to find, but not that easy.\L-Let Itsuki take over from here.\Fine.\Finish your story.\Grandpa became worried when he saw that the five of us weren't the same anymore.\He thought we might have had a falling out.\One day, he collapsed. response:	And since then, we've decided to look the same when we're around him.
context: Given how she's the worst liar, I figured she'd be easy to find, but not that easy.\L-Let Itsuki take over from here.\Fine.\Finish your story.\Grandpa became worried when he saw that the five of us weren't the same anymore.\He thought we might have had a falling out.\One day, he collapsed.\And since then, we've decided to look the same when we're around him. response:	And after some discussion, we decided we'd be Itsuki.
context: L-Let Itsuki take over from here.\Fine.\Finish your story.\Grandpa became worried when he saw that the five of us weren't the same anymore.\He thought we might have had a falling out.\One day, he collapsed.\And since then, we've decided to look the same when we're around him.\And after some discussion, we decided we'd be Itsuki. response:	So once spring break started and we decided we'd be coming here,
context: Fine.\Finish your story.\Grandpa became worried when he saw that the five of us weren't the same anymore.\He thought we might have had a falling out.\One day, he collapsed.\And since then, we've decided to look the same when we're around him.\And after some discussion, we decided we'd be Itsuki.\So once spring break started and we decided we'd be coming here, response:	I've been worried that I might not be able to pull off the look.
context: Finish your story.\Grandpa became worried when he saw that the five of us weren't the same anymore.\He thought we might have had a falling out.\One day, he collapsed.\And since then, we've decided to look the same when we're around him.\And after some discussion, we decided we'd be Itsuki.\So once spring break started and we decided we'd be coming here,\I've been worried that I might not be able to pull off the look. response:	Is that what's been bugging you this whole time?
context: Grandpa became worried when he saw that the five of us weren't the same anymore.\He thought we might have had a falling out.\One day, he collapsed.\And since then, we've decided to look the same when we're around him.\And after some discussion, we decided we'd be Itsuki.\So once spring break started and we decided we'd be coming here,\I've been worried that I might not be able to pull off the look.\Is that what's been bugging you this whole time? response:	Everyone seemed to be having fun, so I didn't want to bring it up.
context: He thought we might have had a falling out.\One day, he collapsed.\And since then, we've decided to look the same when we're around him.\And after some discussion, we decided we'd be Itsuki.\So once spring break started and we decided we'd be coming here,\I've been worried that I might not be able to pull off the look.\Is that what's been bugging you this whole time?\Everyone seemed to be having fun, so I didn't want to bring it up. response:	You do all that for that scary old man?
context: One day, he collapsed.\And since then, we've decided to look the same when we're around him.\And after some discussion, we decided we'd be Itsuki.\So once spring break started and we decided we'd be coming here,\I've been worried that I might not be able to pull off the look.\Is that what's been bugging you this whole time?\Everyone seemed to be having fun, so I didn't want to bring it up.\You do all that for that scary old man? response:	You're good people.
context: And since then, we've decided to look the same when we're around him.\And after some discussion, we decided we'd be Itsuki.\So once spring break started and we decided we'd be coming here,\I've been worried that I might not be able to pull off the look.\Is that what's been bugging you this whole time?\Everyone seemed to be having fun, so I didn't want to bring it up.\You do all that for that scary old man?\You're good people. response:	No.
context: And after some discussion, we decided we'd be Itsuki.\So once spring break started and we decided we'd be coming here,\I've been worried that I might not be able to pull off the look.\Is that what's been bugging you this whole time?\Everyone seemed to be having fun, so I didn't want to bring it up.\You do all that for that scary old man?\You're good people.\No. response:	He's a very kind man.
context: So once spring break started and we decided we'd be coming here,\I've been worried that I might not be able to pull off the look.\Is that what's been bugging you this whole time?\Everyone seemed to be having fun, so I didn't want to bring it up.\You do all that for that scary old man?\You're good people.\No.\He's a very kind man. response:	I love him.
context: I've been worried that I might not be able to pull off the look.\Is that what's been bugging you this whole time?\Everyone seemed to be having fun, so I didn't want to bring it up.\You do all that for that scary old man?\You're good people.\No.\He's a very kind man.\I love him. response:	It might be a stupid worry to me, but it's serious for them.
context: Is that what's been bugging you this whole time?\Everyone seemed to be having fun, so I didn't want to bring it up.\You do all that for that scary old man?\You're good people.\No.\He's a very kind man.\I love him.\It might be a stupid worry to me, but it's serious for them. response:	Well, can you tell us apart, now that you've talked to us?
context: Everyone seemed to be having fun, so I didn't want to bring it up.\You do all that for that scary old man?\You're good people.\No.\He's a very kind man.\I love him.\It might be a stupid worry to me, but it's serious for them.\Well, can you tell us apart, now that you've talked to us? response:	Yeah.
context: You do all that for that scary old man?\You're good people.\No.\He's a very kind man.\I love him.\It might be a stupid worry to me, but it's serious for them.\Well, can you tell us apart, now that you've talked to us?\Yeah. response:	Huh?
context: You're good people.\No.\He's a very kind man.\I love him.\It might be a stupid worry to me, but it's serious for them.\Well, can you tell us apart, now that you've talked to us?\Yeah.\Huh? response:	Which one's the fourth Itsuki?
context: No.\He's a very kind man.\I love him.\It might be a stupid worry to me, but it's serious for them.\Well, can you tell us apart, now that you've talked to us?\Yeah.\Huh?\Which one's the fourth Itsuki? response:	I had it a second ago!
context: He's a very kind man.\I love him.\It might be a stupid worry to me, but it's serious for them.\Well, can you tell us apart, now that you've talked to us?\Yeah.\Huh?\Which one's the fourth Itsuki?\I had it a second ago! response:	I'm disappointed.
context: I love him.\It might be a stupid worry to me, but it's serious for them.\Well, can you tell us apart, now that you've talked to us?\Yeah.\Huh?\Which one's the fourth Itsuki?\I had it a second ago!\I'm disappointed. response:	You really can't, huh?
context: It might be a stupid worry to me, but it's serious for them.\Well, can you tell us apart, now that you've talked to us?\Yeah.\Huh?\Which one's the fourth Itsuki?\I had it a second ago!\I'm disappointed.\You really can't, huh? response:	Wait! One more try!
context: Well, can you tell us apart, now that you've talked to us?\Yeah.\Huh?\Which one's the fourth Itsuki?\I had it a second ago!\I'm disappointed.\You really can't, huh?\Wait! One more try! response:	Grandpa.
context: Yeah.\Huh?\Which one's the fourth Itsuki?\I had it a second ago!\I'm disappointed.\You really can't, huh?\Wait! One more try!\Grandpa. response:	Morning.
context: Huh?\Which one's the fourth Itsuki?\I had it a second ago!\I'm disappointed.\You really can't, huh?\Wait! One more try!\Grandpa.\Morning. response:	Huh?
context: Which one's the fourth Itsuki?\I had it a second ago!\I'm disappointed.\You really can't, huh?\Wait! One more try!\Grandpa.\Morning.\Huh? response:	He seems worried about something.
context: I had it a second ago!\I'm disappointed.\You really can't, huh?\Wait! One more try!\Grandpa.\Morning.\Huh?\He seems worried about something. response:	Don't worry.
context: I'm disappointed.\You really can't, huh?\Wait! One more try!\Grandpa.\Morning.\Huh?\He seems worried about something.\Don't worry. response:	We're all still the same, best buddies.
context: You really can't, huh?\Wait! One more try!\Grandpa.\Morning.\Huh?\He seems worried about something.\Don't worry.\We're all still the same, best buddies. response:	That was close.
context: Wait! One more try!\Grandpa.\Morning.\Huh?\He seems worried about something.\Don't worry.\We're all still the same, best buddies.\That was close. response:	I was afraid it was their dad, but this is fine.
context: Grandpa.\Morning.\Huh?\He seems worried about something.\Don't worry.\We're all still the same, best buddies.\That was close.\I was afraid it was their dad, but this is fine. response:	If Fake Itsuki is here, one of them might have a bruise from last night.
context: Morning.\Huh?\He seems worried about something.\Don't worry.\We're all still the same, best buddies.\That was close.\I was afraid it was their dad, but this is fine.\If Fake Itsuki is here, one of them might have a bruise from last night. response:	H-Hey...
context: Huh?\He seems worried about something.\Don't worry.\We're all still the same, best buddies.\That was close.\I was afraid it was their dad, but this is fine.\If Fake Itsuki is here, one of them might have a bruise from last night.\H-Hey... response:	N-No.
context: He seems worried about something.\Don't worry.\We're all still the same, best buddies.\That was close.\I was afraid it was their dad, but this is fine.\If Fake Itsuki is here, one of them might have a bruise from last night.\H-Hey...\N-No. response:	What do you think you're doing?!
context: Don't worry.\We're all still the same, best buddies.\That was close.\I was afraid it was their dad, but this is fine.\If Fake Itsuki is here, one of them might have a bruise from last night.\H-Hey...\N-No.\What do you think you're doing?! response:	Found it!
context: We're all still the same, best buddies.\That was close.\I was afraid it was their dad, but this is fine.\If Fake Itsuki is here, one of them might have a bruise from last night.\H-Hey...\N-No.\What do you think you're doing?!\Found it! response:	This is the fake Itsuki!
context: That was close.\I was afraid it was their dad, but this is fine.\If Fake Itsuki is here, one of them might have a bruise from last night.\H-Hey...\N-No.\What do you think you're doing?!\Found it!\This is the fake Itsuki! response:	Want to go to the main hall?
context: I was afraid it was their dad, but this is fine.\If Fake Itsuki is here, one of them might have a bruise from last night.\H-Hey...\N-No.\What do you think you're doing?!\Found it!\This is the fake Itsuki!\Want to go to the main hall? response:	Hey, Ichika.
context: If Fake Itsuki is here, one of them might have a bruise from last night.\H-Hey...\N-No.\What do you think you're doing?!\Found it!\This is the fake Itsuki!\Want to go to the main hall?\Hey, Ichika. response:	Want to go take a morning bath?
context: H-Hey...\N-No.\What do you think you're doing?!\Found it!\This is the fake Itsuki!\Want to go to the main hall?\Hey, Ichika.\Want to go take a morning bath? response:	Sure.
context: N-No.\What do you think you're doing?!\Found it!\This is the fake Itsuki!\Want to go to the main hall?\Hey, Ichika.\Want to go take a morning bath?\Sure. response:	That wasn't entirely fruitless.
context: What do you think you're doing?!\Found it!\This is the fake Itsuki!\Want to go to the main hall?\Hey, Ichika.\Want to go take a morning bath?\Sure.\That wasn't entirely fruitless. response:	But why?
context: Found it!\This is the fake Itsuki!\Want to go to the main hall?\Hey, Ichika.\Want to go take a morning bath?\Sure.\That wasn't entirely fruitless.\But why? response:	They passed the term finals.
context: This is the fake Itsuki!\Want to go to the main hall?\Hey, Ichika.\Want to go take a morning bath?\Sure.\That wasn't entirely fruitless.\But why?\They passed the term finals. response:	Things were going well.
context: Want to go to the main hall?\Hey, Ichika.\Want to go take a morning bath?\Sure.\That wasn't entirely fruitless.\But why?\They passed the term finals.\Things were going well. response:	May I have a word with you?
context: Hey, Ichika.\Want to go take a morning bath?\Sure.\That wasn't entirely fruitless.\But why?\They passed the term finals.\Things were going well.\May I have a word with you? response:	Um...
context: Want to go take a morning bath?\Sure.\That wasn't entirely fruitless.\But why?\They passed the term finals.\Things were going well.\May I have a word with you?\Um... response:	Yotsuba?
context: Sure.\That wasn't entirely fruitless.\But why?\They passed the term finals.\Things were going well.\May I have a word with you?\Um...\Yotsuba? response:	Bzzt.
context: That wasn't entirely fruitless.\But why?\They passed the term finals.\Things were going well.\May I have a word with you?\Um...\Yotsuba?\Bzzt. response:	Here's a hint.
context: But why?\They passed the term finals.\Things were going well.\May I have a word with you?\Um...\Yotsuba?\Bzzt.\Here's a hint. response:	Nino?
context: They passed the term finals.\Things were going well.\May I have a word with you?\Um...\Yotsuba?\Bzzt.\Here's a hint.\Nino? response:	Hint number two.
context: Things were going well.\May I have a word with you?\Um...\Yotsuba?\Bzzt.\Here's a hint.\Nino?\Hint number two. response:	Oh, Ichika!
context: May I have a word with you?\Um...\Yotsuba?\Bzzt.\Here's a hint.\Nino?\Hint number two.\Oh, Ichika! response:	Got it!
context: Um...\Yotsuba?\Bzzt.\Here's a hint.\Nino?\Hint number two.\Oh, Ichika!\Got it! response:	It's Itsuki herself!
context: Yotsuba?\Bzzt.\Here's a hint.\Nino?\Hint number two.\Oh, Ichika!\Got it!\It's Itsuki herself! response:	You're doing this on purpose.
context: Bzzt.\Here's a hint.\Nino?\Hint number two.\Oh, Ichika!\Got it!\It's Itsuki herself!\You're doing this on purpose. response:	I legit can't figure it out.
context: Here's a hint.\Nino?\Hint number two.\Oh, Ichika!\Got it!\It's Itsuki herself!\You're doing this on purpose.\I legit can't figure it out. response:	Are you itchy anywhere?
context: Nino?\Hint number two.\Oh, Ichika!\Got it!\It's Itsuki herself!\You're doing this on purpose.\I legit can't figure it out.\Are you itchy anywhere? response:	Sheesh.
context: Hint number two.\Oh, Ichika!\Got it!\It's Itsuki herself!\You're doing this on purpose.\I legit can't figure it out.\Are you itchy anywhere?\Sheesh. response:	You don't have to do that.
context: Oh, Ichika!\Got it!\It's Itsuki herself!\You're doing this on purpose.\I legit can't figure it out.\Are you itchy anywhere?\Sheesh.\You don't have to do that. response:	So why is it me this time?
context: Got it!\It's Itsuki herself!\You're doing this on purpose.\I legit can't figure it out.\Are you itchy anywhere?\Sheesh.\You don't have to do that.\So why is it me this time? response:	Y'know, you get it a lot, don't you?
context: It's Itsuki herself!\You're doing this on purpose.\I legit can't figure it out.\Are you itchy anywhere?\Sheesh.\You don't have to do that.\So why is it me this time?\Y'know, you get it a lot, don't you? response:	Getting asked out and stuff.
context: You're doing this on purpose.\I legit can't figure it out.\Are you itchy anywhere?\Sheesh.\You don't have to do that.\So why is it me this time?\Y'know, you get it a lot, don't you?\Getting asked out and stuff. response:	I can't talk to the other girls about it.
context: I legit can't figure it out.\Are you itchy anywhere?\Sheesh.\You don't have to do that.\So why is it me this time?\Y'know, you get it a lot, don't you?\Getting asked out and stuff.\I can't talk to the other girls about it. response:	There's someone I like.
context: Are you itchy anywhere?\Sheesh.\You don't have to do that.\So why is it me this time?\Y'know, you get it a lot, don't you?\Getting asked out and stuff.\I can't talk to the other girls about it.\There's someone I like. response:	Where is everyone?
context: Sheesh.\You don't have to do that.\So why is it me this time?\Y'know, you get it a lot, don't you?\Getting asked out and stuff.\I can't talk to the other girls about it.\There's someone I like.\Where is everyone? response:	I need grub.
context: You don't have to do that.\So why is it me this time?\Y'know, you get it a lot, don't you?\Getting asked out and stuff.\I can't talk to the other girls about it.\There's someone I like.\Where is everyone?\I need grub. response:	I need food!
context: So why is it me this time?\Y'know, you get it a lot, don't you?\Getting asked out and stuff.\I can't talk to the other girls about it.\There's someone I like.\Where is everyone?\I need grub.\I need food! response:	That's not quite right.
context: Y'know, you get it a lot, don't you?\Getting asked out and stuff.\I can't talk to the other girls about it.\There's someone I like.\Where is everyone?\I need grub.\I need food!\That's not quite right. response:	I'm in dire need of food!
context: Getting asked out and stuff.\I can't talk to the other girls about it.\There's someone I like.\Where is everyone?\I need grub.\I need food!\That's not quite right.\I'm in dire need of food! response:	Yup, that's how Itsuki would say it.
