context: Looks like the first piece will be moving soon. response:	Question: Do you desire the destruction of the Imanity?
context: Take them back to your grandpa's room.\That room is yours now.\That's been the king's room for generations. You can't just move out!\The bed's tilted, though. It's hard to sleep in.\Futons are the best.\Why are you going back to sleep?\It's embarrassing to think that you're the king who controls the\destinies of three million Imanity! response:	Embarrassing?
context: That room is yours now.\That's been the king's room for generations. You can't just move out!\The bed's tilted, though. It's hard to sleep in.\Futons are the best.\Why are you going back to sleep?\It's embarrassing to think that you're the king who controls the\destinies of three million Imanity!\Embarrassing? response:	If you want to think that, that's fine.
context: That's been the king's room for generations. You can't just move out!\The bed's tilted, though. It's hard to sleep in.\Futons are the best.\Why are you going back to sleep?\It's embarrassing to think that you're the king who controls the\destinies of three million Imanity!\Embarrassing?\If you want to think that, that's fine. response:	That's just how you see things.
context: The bed's tilted, though. It's hard to sleep in.\Futons are the best.\Why are you going back to sleep?\It's embarrassing to think that you're the king who controls the\destinies of three million Imanity!\Embarrassing?\If you want to think that, that's fine.\That's just how you see things. response:	But neither in our old world, nor in any other, will Blank ever do any work!
context: Futons are the best.\Why are you going back to sleep?\It's embarrassing to think that you're the king who controls the\destinies of three million Imanity!\Embarrassing?\If you want to think that, that's fine.\That's just how you see things.\But neither in our old world, nor in any other, will Blank ever do any work! response:	Don't underestimate humanity!
context: Why are you going back to sleep?\It's embarrassing to think that you're the king who controls the\destinies of three million Imanity!\Embarrassing?\If you want to think that, that's fine.\That's just how you see things.\But neither in our old world, nor in any other, will Blank ever do any work!\Don't underestimate humanity! response:	Humanity
context: It's embarrassing to think that you're the king who controls the\destinies of three million Imanity!\Embarrassing?\If you want to think that, that's fine.\That's just how you see things.\But neither in our old world, nor in any other, will Blank ever do any work!\Don't underestimate humanity!\Humanity response:	If that's humanity, then it's better off dying out!
context: destinies of three million Imanity!\Embarrassing?\If you want to think that, that's fine.\That's just how you see things.\But neither in our old world, nor in any other, will Blank ever do any work!\Don't underestimate humanity!\Humanity\If that's humanity, then it's better off dying out! response:	My patience has finally run out!
context: Embarrassing?\If you want to think that, that's fine.\That's just how you see things.\But neither in our old world, nor in any other, will Blank ever do any work!\Don't underestimate humanity!\Humanity\If that's humanity, then it's better off dying out!\My patience has finally run out! response:	Sora!
context: If you want to think that, that's fine.\That's just how you see things.\But neither in our old world, nor in any other, will Blank ever do any work!\Don't underestimate humanity!\Humanity\If that's humanity, then it's better off dying out!\My patience has finally run out!\Sora! response:	I challenge you!
context: That's just how you see things.\But neither in our old world, nor in any other, will Blank ever do any work!\Don't underestimate humanity!\Humanity\If that's humanity, then it's better off dying out!\My patience has finally run out!\Sora!\I challenge you! response:	You want to play a game with me?
context: But neither in our old world, nor in any other, will Blank ever do any work!\Don't underestimate humanity!\Humanity\If that's humanity, then it's better off dying out!\My patience has finally run out!\Sora!\I challenge you!\You want to play a game with me? response:	Th-That's right.
context: Don't underestimate humanity!\Humanity\If that's humanity, then it's better off dying out!\My patience has finally run out!\Sora!\I challenge you!\You want to play a game with me?\Th-That's right. response:	Five: The challenged party has the right to decide the rules of the game.
context: Humanity\If that's humanity, then it's better off dying out!\My patience has finally run out!\Sora!\I challenge you!\You want to play a game with me?\Th-That's right.\Five: The challenged party has the right to decide the rules of the game. response:	Pledge five: The challenged party has the right to decide the rules of the game.
context: If that's humanity, then it's better off dying out!\My patience has finally run out!\Sora!\I challenge you!\You want to play a game with me?\Th-That's right.\Five: The challenged party has the right to decide the rules of the game.\Pledge five: The challenged party has the right to decide the rules of the game. response:	Are you serious?
context: My patience has finally run out!\Sora!\I challenge you!\You want to play a game with me?\Th-That's right.\Five: The challenged party has the right to decide the rules of the game.\Pledge five: The challenged party has the right to decide the rules of the game.\Are you serious? response:	Yes...
context: Sora!\I challenge you!\You want to play a game with me?\Th-That's right.\Five: The challenged party has the right to decide the rules of the game.\Pledge five: The challenged party has the right to decide the rules of the game.\Are you serious?\Yes... response:	B-But there's no way
context: I challenge you!\You want to play a game with me?\Th-That's right.\Five: The challenged party has the right to decide the rules of the game.\Pledge five: The challenged party has the right to decide the rules of the game.\Are you serious?\Yes...\B-But there's no way response:	the best gamer in human history would choose a game where
context: You want to play a game with me?\Th-That's right.\Five: The challenged party has the right to decide the rules of the game.\Pledge five: The challenged party has the right to decide the rules of the game.\Are you serious?\Yes...\B-But there's no way\the best gamer in human history would choose a game where response:	he has an advantage against someone like me, right?
context: Th-That's right.\Five: The challenged party has the right to decide the rules of the game.\Pledge five: The challenged party has the right to decide the rules of the game.\Are you serious?\Yes...\B-But there's no way\the best gamer in human history would choose a game where\he has an advantage against someone like me, right? response:	Fine.
context: Five: The challenged party has the right to decide the rules of the game.\Pledge five: The challenged party has the right to decide the rules of the game.\Are you serious?\Yes...\B-But there's no way\the best gamer in human history would choose a game where\he has an advantage against someone like me, right?\Fine. response:	I'll let you pick whatever game you like.
context: Pledge five: The challenged party has the right to decide the rules of the game.\Are you serious?\Yes...\B-But there's no way\the best gamer in human history would choose a game where\he has an advantage against someone like me, right?\Fine.\I'll let you pick whatever game you like. response:	So what are we betting?
context: Are you serious?\Yes...\B-But there's no way\the best gamer in human history would choose a game where\he has an advantage against someone like me, right?\Fine.\I'll let you pick whatever game you like.\So what are we betting? response:	If I win, you will become a decent person!
context: Yes...\B-But there's no way\the best gamer in human history would choose a game where\he has an advantage against someone like me, right?\Fine.\I'll let you pick whatever game you like.\So what are we betting?\If I win, you will become a decent person! response:	Decent Person
context: B-But there's no way\the best gamer in human history would choose a game where\he has an advantage against someone like me, right?\Fine.\I'll let you pick whatever game you like.\So what are we betting?\If I win, you will become a decent person!\Decent Person response:	U-Um...
context: the best gamer in human history would choose a game where\he has an advantage against someone like me, right?\Fine.\I'll let you pick whatever game you like.\So what are we betting?\If I win, you will become a decent person!\Decent Person\U-Um... response:	I see...
context: he has an advantage against someone like me, right?\Fine.\I'll let you pick whatever game you like.\So what are we betting?\If I win, you will become a decent person!\Decent Person\U-Um...\I see... response:	If the ten pledges are absolute, then they can grant wishes like that!
context: Fine.\I'll let you pick whatever game you like.\So what are we betting?\If I win, you will become a decent person!\Decent Person\U-Um...\I see...\If the ten pledges are absolute, then they can grant wishes like that! response:	Then...
context: I'll let you pick whatever game you like.\So what are we betting?\If I win, you will become a decent person!\Decent Person\U-Um...\I see...\If the ten pledges are absolute, then they can grant wishes like that!\Then... response:	Please, Steph! Instead of making me a decent human, make me a fulfilled one!
context: So what are we betting?\If I win, you will become a decent person!\Decent Person\U-Um...\I see...\If the ten pledges are absolute, then they can grant wishes like that!\Then...\Please, Steph! Instead of making me a decent human, make me a fulfilled one! response:	Fulfilled?
context: If I win, you will become a decent person!\Decent Person\U-Um...\I see...\If the ten pledges are absolute, then they can grant wishes like that!\Then...\Please, Steph! Instead of making me a decent human, make me a fulfilled one!\Fulfilled? response:	Being fulfilled is far better than being decent.
context: Decent Person\U-Um...\I see...\If the ten pledges are absolute, then they can grant wishes like that!\Then...\Please, Steph! Instead of making me a decent human, make me a fulfilled one!\Fulfilled?\Being fulfilled is far better than being decent. response:	Let's do it right now!
context: U-Um...\I see...\If the ten pledges are absolute, then they can grant wishes like that!\Then...\Please, Steph! Instead of making me a decent human, make me a fulfilled one!\Fulfilled?\Being fulfilled is far better than being decent.\Let's do it right now! response:	I'll do everything I can to lose!
context: I see...\If the ten pledges are absolute, then they can grant wishes like that!\Then...\Please, Steph! Instead of making me a decent human, make me a fulfilled one!\Fulfilled?\Being fulfilled is far better than being decent.\Let's do it right now!\I'll do everything I can to lose! response:	Brother, you're not allowed to lose to anybody but Shiro!
context: If the ten pledges are absolute, then they can grant wishes like that!\Then...\Please, Steph! Instead of making me a decent human, make me a fulfilled one!\Fulfilled?\Being fulfilled is far better than being decent.\Let's do it right now!\I'll do everything I can to lose!\Brother, you're not allowed to lose to anybody but Shiro! response:	Sister, would you stand between your brother and fulfillment?!
context: Then...\Please, Steph! Instead of making me a decent human, make me a fulfilled one!\Fulfilled?\Being fulfilled is far better than being decent.\Let's do it right now!\I'll do everything I can to lose!\Brother, you're not allowed to lose to anybody but Shiro!\Sister, would you stand between your brother and fulfillment?! response:	Blank is not allowed to lose.
context: Please, Steph! Instead of making me a decent human, make me a fulfilled one!\Fulfilled?\Being fulfilled is far better than being decent.\Let's do it right now!\I'll do everything I can to lose!\Brother, you're not allowed to lose to anybody but Shiro!\Sister, would you stand between your brother and fulfillment?!\Blank is not allowed to lose. response:	No!
context: Fulfilled?\Being fulfilled is far better than being decent.\Let's do it right now!\I'll do everything I can to lose!\Brother, you're not allowed to lose to anybody but Shiro!\Sister, would you stand between your brother and fulfillment?!\Blank is not allowed to lose.\No! response:	It's impossible for me to lose to Steph in an honest game.
context: Being fulfilled is far better than being decent.\Let's do it right now!\I'll do everything I can to lose!\Brother, you're not allowed to lose to anybody but Shiro!\Sister, would you stand between your brother and fulfillment?!\Blank is not allowed to lose.\No!\It's impossible for me to lose to Steph in an honest game. response:	Hey!
context: Let's do it right now!\I'll do everything I can to lose!\Brother, you're not allowed to lose to anybody but Shiro!\Sister, would you stand between your brother and fulfillment?!\Blank is not allowed to lose.\No!\It's impossible for me to lose to Steph in an honest game.\Hey! response:	Steph!
context: I'll do everything I can to lose!\Brother, you're not allowed to lose to anybody but Shiro!\Sister, would you stand between your brother and fulfillment?!\Blank is not allowed to lose.\No!\It's impossible for me to lose to Steph in an honest game.\Hey!\Steph! response:	Y-Yes?!
context: Brother, you're not allowed to lose to anybody but Shiro!\Sister, would you stand between your brother and fulfillment?!\Blank is not allowed to lose.\No!\It's impossible for me to lose to Steph in an honest game.\Hey!\Steph!\Y-Yes?! response:	I'll bet on the one-in-a-million chance, no, the chance that can only
context: Sister, would you stand between your brother and fulfillment?!\Blank is not allowed to lose.\No!\It's impossible for me to lose to Steph in an honest game.\Hey!\Steph!\Y-Yes?!\I'll bet on the one-in-a-million chance, no, the chance that can only response:	be described with imaginary numbers, that you'll win!
context: Blank is not allowed to lose.\No!\It's impossible for me to lose to Steph in an honest game.\Hey!\Steph!\Y-Yes?!\I'll bet on the one-in-a-million chance, no, the chance that can only\be described with imaginary numbers, that you'll win! response:	Now you've gone and said it.
context: No!\It's impossible for me to lose to Steph in an honest game.\Hey!\Steph!\Y-Yes?!\I'll bet on the one-in-a-million chance, no, the chance that can only\be described with imaginary numbers, that you'll win!\Now you've gone and said it. response:	The game we'll play is...
context: It's impossible for me to lose to Steph in an honest game.\Hey!\Steph!\Y-Yes?!\I'll bet on the one-in-a-million chance, no, the chance that can only\be described with imaginary numbers, that you'll win!\Now you've gone and said it.\The game we'll play is... response:	Blackjack.
context: Hey!\Steph!\Y-Yes?!\I'll bet on the one-in-a-million chance, no, the chance that can only\be described with imaginary numbers, that you'll win!\Now you've gone and said it.\The game we'll play is...\Blackjack. response:	I'll be the dealer, and you can be the player, I suppose.
context: Steph!\Y-Yes?!\I'll bet on the one-in-a-million chance, no, the chance that can only\be described with imaginary numbers, that you'll win!\Now you've gone and said it.\The game we'll play is...\Blackjack.\I'll be the dealer, and you can be the player, I suppose. response:	A sigh filled with despair!
context: Y-Yes?!\I'll bet on the one-in-a-million chance, no, the chance that can only\be described with imaginary numbers, that you'll win!\Now you've gone and said it.\The game we'll play is...\Blackjack.\I'll be the dealer, and you can be the player, I suppose.\A sigh filled with despair! response:	And she's not even interested anymore!
context: I'll bet on the one-in-a-million chance, no, the chance that can only\be described with imaginary numbers, that you'll win!\Now you've gone and said it.\The game we'll play is...\Blackjack.\I'll be the dealer, and you can be the player, I suppose.\A sigh filled with despair!\And she's not even interested anymore! response:	Look, blackjack is 100 a game of chance!
context: be described with imaginary numbers, that you'll win!\Now you've gone and said it.\The game we'll play is...\Blackjack.\I'll be the dealer, and you can be the player, I suppose.\A sigh filled with despair!\And she's not even interested anymore!\Look, blackjack is 100 a game of chance! response:	Your cheating and little tricks won't help you!
context: Now you've gone and said it.\The game we'll play is...\Blackjack.\I'll be the dealer, and you can be the player, I suppose.\A sigh filled with despair!\And she's not even interested anymore!\Look, blackjack is 100 a game of chance!\Your cheating and little tricks won't help you! response:	Now get ready! Aschente!
context: The game we'll play is...\Blackjack.\I'll be the dealer, and you can be the player, I suppose.\A sigh filled with despair!\And she's not even interested anymore!\Look, blackjack is 100 a game of chance!\Your cheating and little tricks won't help you!\Now get ready! Aschente! response:	Aschente!
context: Blackjack.\I'll be the dealer, and you can be the player, I suppose.\A sigh filled with despair!\And she's not even interested anymore!\Look, blackjack is 100 a game of chance!\Your cheating and little tricks won't help you!\Now get ready! Aschente!\Aschente! response:	You fell for it.
context: I'll be the dealer, and you can be the player, I suppose.\A sigh filled with despair!\And she's not even interested anymore!\Look, blackjack is 100 a game of chance!\Your cheating and little tricks won't help you!\Now get ready! Aschente!\Aschente!\You fell for it. response:	A game of chance?
context: A sigh filled with despair!\And she's not even interested anymore!\Look, blackjack is 100 a game of chance!\Your cheating and little tricks won't help you!\Now get ready! Aschente!\Aschente!\You fell for it.\A game of chance? response:	That's not how I'm going to play!
context: And she's not even interested anymore!\Look, blackjack is 100 a game of chance!\Your cheating and little tricks won't help you!\Now get ready! Aschente!\Aschente!\You fell for it.\A game of chance?\That's not how I'm going to play! response:	That's right. You can cheat as long as your opponent doesn't find out.
context: Look, blackjack is 100 a game of chance!\Your cheating and little tricks won't help you!\Now get ready! Aschente!\Aschente!\You fell for it.\A game of chance?\That's not how I'm going to play!\That's right. You can cheat as long as your opponent doesn't find out. response:	I've been practicing this trick in secret, and I'll use it to knock you down a peg!
context: Your cheating and little tricks won't help you!\Now get ready! Aschente!\Aschente!\You fell for it.\A game of chance?\That's not how I'm going to play!\That's right. You can cheat as long as your opponent doesn't find out.\I've been practicing this trick in secret, and I'll use it to knock you down a peg! response:	My granddaughter, the weak must use their wisdom to defeat the strong.
context: Now get ready! Aschente!\Aschente!\You fell for it.\A game of chance?\That's not how I'm going to play!\That's right. You can cheat as long as your opponent doesn't find out.\I've been practicing this trick in secret, and I'll use it to knock you down a peg!\My granddaughter, the weak must use their wisdom to defeat the strong. response:	That is the hope of humanity.
context: Aschente!\You fell for it.\A game of chance?\That's not how I'm going to play!\That's right. You can cheat as long as your opponent doesn't find out.\I've been practicing this trick in secret, and I'll use it to knock you down a peg!\My granddaughter, the weak must use their wisdom to defeat the strong.\That is the hope of humanity. response:	Humanity... humanity...
context: You fell for it.\A game of chance?\That's not how I'm going to play!\That's right. You can cheat as long as your opponent doesn't find out.\I've been practicing this trick in secret, and I'll use it to knock you down a peg!\My granddaughter, the weak must use their wisdom to defeat the strong.\That is the hope of humanity.\Humanity... humanity... response:	This is the potential of humanity, which my grandfather believed in and Sora showed me!
context: A game of chance?\That's not how I'm going to play!\That's right. You can cheat as long as your opponent doesn't find out.\I've been practicing this trick in secret, and I'll use it to knock you down a peg!\My granddaughter, the weak must use their wisdom to defeat the strong.\That is the hope of humanity.\Humanity... humanity...\This is the potential of humanity, which my grandfather believed in and Sora showed me! response:	Hit.
context: That's not how I'm going to play!\That's right. You can cheat as long as your opponent doesn't find out.\I've been practicing this trick in secret, and I'll use it to knock you down a peg!\My granddaughter, the weak must use their wisdom to defeat the strong.\That is the hope of humanity.\Humanity... humanity...\This is the potential of humanity, which my grandfather believed in and Sora showed me!\Hit. response:	Stand.
context: That's right. You can cheat as long as your opponent doesn't find out.\I've been practicing this trick in secret, and I'll use it to knock you down a peg!\My granddaughter, the weak must use their wisdom to defeat the strong.\That is the hope of humanity.\Humanity... humanity...\This is the potential of humanity, which my grandfather believed in and Sora showed me!\Hit.\Stand. response:	21.
context: I've been practicing this trick in secret, and I'll use it to knock you down a peg!\My granddaughter, the weak must use their wisdom to defeat the strong.\That is the hope of humanity.\Humanity... humanity...\This is the potential of humanity, which my grandfather believed in and Sora showed me!\Hit.\Stand.\21. response:	19.
context: My granddaughter, the weak must use their wisdom to defeat the strong.\That is the hope of humanity.\Humanity... humanity...\This is the potential of humanity, which my grandfather believed in and Sora showed me!\Hit.\Stand.\21.\19. response:	I'm just getting started.
context: That is the hope of humanity.\Humanity... humanity...\This is the potential of humanity, which my grandfather believed in and Sora showed me!\Hit.\Stand.\21.\19.\I'm just getting started. response:	Okay, it's time for the last round.
context: Humanity... humanity...\This is the potential of humanity, which my grandfather believed in and Sora showed me!\Hit.\Stand.\21.\19.\I'm just getting started.\Okay, it's time for the last round. response:	I think we know who's going to win, though.
context: This is the potential of humanity, which my grandfather believed in and Sora showed me!\Hit.\Stand.\21.\19.\I'm just getting started.\Okay, it's time for the last round.\I think we know who's going to win, though. response:	Blackjack is one of the rare games where the player has an advantage.
context: Hit.\Stand.\21.\19.\I'm just getting started.\Okay, it's time for the last round.\I think we know who's going to win, though.\Blackjack is one of the rare games where the player has an advantage. response:	What of it?
context: Stand.\21.\19.\I'm just getting started.\Okay, it's time for the last round.\I think we know who's going to win, though.\Blackjack is one of the rare games where the player has an advantage.\What of it? response:	Dealer Player
context: 21.\19.\I'm just getting started.\Okay, it's time for the last round.\I think we know who's going to win, though.\Blackjack is one of the rare games where the player has an advantage.\What of it?\Dealer Player response:	The dealer has to draw another card whenever he's below 17,
context: 19.\I'm just getting started.\Okay, it's time for the last round.\I think we know who's going to win, though.\Blackjack is one of the rare games where the player has an advantage.\What of it?\Dealer Player\The dealer has to draw another card whenever he's below 17, response:	so he has a high chance of going bust.
context: I'm just getting started.\Okay, it's time for the last round.\I think we know who's going to win, though.\Blackjack is one of the rare games where the player has an advantage.\What of it?\Dealer Player\The dealer has to draw another card whenever he's below 17,\so he has a high chance of going bust. response:	But you haven't had that happen even once.
context: Okay, it's time for the last round.\I think we know who's going to win, though.\Blackjack is one of the rare games where the player has an advantage.\What of it?\Dealer Player\The dealer has to draw another card whenever he's below 17,\so he has a high chance of going bust.\But you haven't had that happen even once. response:	Pretty impressive luck.
context: I think we know who's going to win, though.\Blackjack is one of the rare games where the player has an advantage.\What of it?\Dealer Player\The dealer has to draw another card whenever he's below 17,\so he has a high chance of going bust.\But you haven't had that happen even once.\Pretty impressive luck. response:	Stand.
context: Blackjack is one of the rare games where the player has an advantage.\What of it?\Dealer Player\The dealer has to draw another card whenever he's below 17,\so he has a high chance of going bust.\But you haven't had that happen even once.\Pretty impressive luck.\Stand. response:	Has he just given up?
context: What of it?\Dealer Player\The dealer has to draw another card whenever he's below 17,\so he has a high chance of going bust.\But you haven't had that happen even once.\Pretty impressive luck.\Stand.\Has he just given up? response:	He didn't even look at the cards.
