context: The Grand Magic Games elimination round! Sky Labyrinth... response:	Begin!
context: Even with Wendy gone, you got a Man right here.\Member change!\What superhuman strength!\Elf-nii-chan!\Guess we got no choice. I don't think we have time to wait for Wendy!\We're in your hands, Elfman!\Leave it to me!\Lisanna! Happy! response:	What is it, Erza?!
context: Member change!\What superhuman strength!\Elf-nii-chan!\Guess we got no choice. I don't think we have time to wait for Wendy!\We're in your hands, Elfman!\Leave it to me!\Lisanna! Happy!\What is it, Erza?! response:	Search for Wendy and Carla!
context: What superhuman strength!\Elf-nii-chan!\Guess we got no choice. I don't think we have time to wait for Wendy!\We're in your hands, Elfman!\Leave it to me!\Lisanna! Happy!\What is it, Erza?!\Search for Wendy and Carla! response:	I just hope they haven't got into any trouble...
context: Elf-nii-chan!\Guess we got no choice. I don't think we have time to wait for Wendy!\We're in your hands, Elfman!\Leave it to me!\Lisanna! Happy!\What is it, Erza?!\Search for Wendy and Carla!\I just hope they haven't got into any trouble... response:	Okay! I'll talk to our people!
context: Guess we got no choice. I don't think we have time to wait for Wendy!\We're in your hands, Elfman!\Leave it to me!\Lisanna! Happy!\What is it, Erza?!\Search for Wendy and Carla!\I just hope they haven't got into any trouble...\Okay! I'll talk to our people! response:	Good luck, everyone!
context: We're in your hands, Elfman!\Leave it to me!\Lisanna! Happy!\What is it, Erza?!\Search for Wendy and Carla!\I just hope they haven't got into any trouble...\Okay! I'll talk to our people!\Good luck, everyone! response:	Man!
context: Leave it to me!\Lisanna! Happy!\What is it, Erza?!\Search for Wendy and Carla!\I just hope they haven't got into any trouble...\Okay! I'll talk to our people!\Good luck, everyone!\Man! response:	There's the entrance to the labyrinth!
context: Lisanna! Happy!\What is it, Erza?!\Search for Wendy and Carla!\I just hope they haven't got into any trouble...\Okay! I'll talk to our people!\Good luck, everyone!\Man!\There's the entrance to the labyrinth! response:	Nope! There's the entrance to being number one in Fiore!
context: What is it, Erza?!\Search for Wendy and Carla!\I just hope they haven't got into any trouble...\Okay! I'll talk to our people!\Good luck, everyone!\Man!\There's the entrance to the labyrinth!\Nope! There's the entrance to being number one in Fiore! response:	Let's go, Team Fairy Tail!
context: Search for Wendy and Carla!\I just hope they haven't got into any trouble...\Okay! I'll talk to our people!\Good luck, everyone!\Man!\There's the entrance to the labyrinth!\Nope! There's the entrance to being number one in Fiore!\Let's go, Team Fairy Tail! response:	Yeah!
context: I just hope they haven't got into any trouble...\Okay! I'll talk to our people!\Good luck, everyone!\Man!\There's the entrance to the labyrinth!\Nope! There's the entrance to being number one in Fiore!\Let's go, Team Fairy Tail!\Yeah! response:	Sky Labyrinth!
context: Okay! I'll talk to our people!\Good luck, everyone!\Man!\There's the entrance to the labyrinth!\Nope! There's the entrance to being number one in Fiore!\Let's go, Team Fairy Tail!\Yeah!\Sky Labyrinth! response:	Let's begin with an explanation of the elimination round's rules.
context: Good luck, everyone!\Man!\There's the entrance to the labyrinth!\Nope! There's the entrance to being number one in Fiore!\Let's go, Team Fairy Tail!\Yeah!\Sky Labyrinth!\Let's begin with an explanation of the elimination round's rules. response:	This time around, there are 113 teams strong participating in the Grand Magic Games.
context: Man!\There's the entrance to the labyrinth!\Nope! There's the entrance to being number one in Fiore!\Let's go, Team Fairy Tail!\Yeah!\Sky Labyrinth!\Let's begin with an explanation of the elimination round's rules.\This time around, there are 113 teams strong participating in the Grand Magic Games. response:	The purpose of this elimination round is to cut down
context: There's the entrance to the labyrinth!\Nope! There's the entrance to being number one in Fiore!\Let's go, Team Fairy Tail!\Yeah!\Sky Labyrinth!\Let's begin with an explanation of the elimination round's rules.\This time around, there are 113 teams strong participating in the Grand Magic Games.\The purpose of this elimination round is to cut down response:	that number all at once to eight teams who will compete in the Games proper.
context: Nope! There's the entrance to being number one in Fiore!\Let's go, Team Fairy Tail!\Yeah!\Sky Labyrinth!\Let's begin with an explanation of the elimination round's rules.\This time around, there are 113 teams strong participating in the Grand Magic Games.\The purpose of this elimination round is to cut down\that number all at once to eight teams who will compete in the Games proper. response:	The rules are simple.
context: Let's go, Team Fairy Tail!\Yeah!\Sky Labyrinth!\Let's begin with an explanation of the elimination round's rules.\This time around, there are 113 teams strong participating in the Grand Magic Games.\The purpose of this elimination round is to cut down\that number all at once to eight teams who will compete in the Games proper.\The rules are simple. response:	All of the teams must go from their inn to Sky Labyrinth
context: Yeah!\Sky Labyrinth!\Let's begin with an explanation of the elimination round's rules.\This time around, there are 113 teams strong participating in the Grand Magic Games.\The purpose of this elimination round is to cut down\that number all at once to eight teams who will compete in the Games proper.\The rules are simple.\All of the teams must go from their inn to Sky Labyrinth response:	and make it from there to Domus Flau, the Games arena.
context: Sky Labyrinth!\Let's begin with an explanation of the elimination round's rules.\This time around, there are 113 teams strong participating in the Grand Magic Games.\The purpose of this elimination round is to cut down\that number all at once to eight teams who will compete in the Games proper.\The rules are simple.\All of the teams must go from their inn to Sky Labyrinth\and make it from there to Domus Flau, the Games arena. response:	The eight teams that arrive first survive the elimination round
context: Let's begin with an explanation of the elimination round's rules.\This time around, there are 113 teams strong participating in the Grand Magic Games.\The purpose of this elimination round is to cut down\that number all at once to eight teams who will compete in the Games proper.\The rules are simple.\All of the teams must go from their inn to Sky Labyrinth\and make it from there to Domus Flau, the Games arena.\The eight teams that arrive first survive the elimination round response:	and will compete in the Games.
context: This time around, there are 113 teams strong participating in the Grand Magic Games.\The purpose of this elimination round is to cut down\that number all at once to eight teams who will compete in the Games proper.\The rules are simple.\All of the teams must go from their inn to Sky Labyrinth\and make it from there to Domus Flau, the Games arena.\The eight teams that arrive first survive the elimination round\and will compete in the Games. response:	Furthermore, contestants are free to use magic to get through the maze,
context: The purpose of this elimination round is to cut down\that number all at once to eight teams who will compete in the Games proper.\The rules are simple.\All of the teams must go from their inn to Sky Labyrinth\and make it from there to Domus Flau, the Games arena.\The eight teams that arrive first survive the elimination round\and will compete in the Games.\Furthermore, contestants are free to use magic to get through the maze, response:	and there are no restrictions.
context: that number all at once to eight teams who will compete in the Games proper.\The rules are simple.\All of the teams must go from their inn to Sky Labyrinth\and make it from there to Domus Flau, the Games arena.\The eight teams that arrive first survive the elimination round\and will compete in the Games.\Furthermore, contestants are free to use magic to get through the maze,\and there are no restrictions. response:	However...
context: The rules are simple.\All of the teams must go from their inn to Sky Labyrinth\and make it from there to Domus Flau, the Games arena.\The eight teams that arrive first survive the elimination round\and will compete in the Games.\Furthermore, contestants are free to use magic to get through the maze,\and there are no restrictions.\However... response:	The Grand Magic Games executive committee assumes no responsibility!
context: All of the teams must go from their inn to Sky Labyrinth\and make it from there to Domus Flau, the Games arena.\The eight teams that arrive first survive the elimination round\and will compete in the Games.\Furthermore, contestants are free to use magic to get through the maze,\and there are no restrictions.\However...\The Grand Magic Games executive committee assumes no responsibility! response:	So it's a three-dimensional maze in here...
context: and make it from there to Domus Flau, the Games arena.\The eight teams that arrive first survive the elimination round\and will compete in the Games.\Furthermore, contestants are free to use magic to get through the maze,\and there are no restrictions.\However...\The Grand Magic Games executive committee assumes no responsibility!\So it's a three-dimensional maze in here... response:	I'm not good with stuff like this!
context: The eight teams that arrive first survive the elimination round\and will compete in the Games.\Furthermore, contestants are free to use magic to get through the maze,\and there are no restrictions.\However...\The Grand Magic Games executive committee assumes no responsibility!\So it's a three-dimensional maze in here...\I'm not good with stuff like this! response:	Get it together!
context: and will compete in the Games.\Furthermore, contestants are free to use magic to get through the maze,\and there are no restrictions.\However...\The Grand Magic Games executive committee assumes no responsibility!\So it's a three-dimensional maze in here...\I'm not good with stuff like this!\Get it together! response:	If we're not one of the first eight teams to arrive,
context: Furthermore, contestants are free to use magic to get through the maze,\and there are no restrictions.\However...\The Grand Magic Games executive committee assumes no responsibility!\So it's a three-dimensional maze in here...\I'm not good with stuff like this!\Get it together!\If we're not one of the first eight teams to arrive, response:	forget about number one in Fiore, because we'll be cut!
context: and there are no restrictions.\However...\The Grand Magic Games executive committee assumes no responsibility!\So it's a three-dimensional maze in here...\I'm not good with stuff like this!\Get it together!\If we're not one of the first eight teams to arrive,\forget about number one in Fiore, because we'll be cut! response:	Yeah, right?!
context: However...\The Grand Magic Games executive committee assumes no responsibility!\So it's a three-dimensional maze in here...\I'm not good with stuff like this!\Get it together!\If we're not one of the first eight teams to arrive,\forget about number one in Fiore, because we'll be cut!\Yeah, right?! response:	We gotta get through here an' beat those Sabertooth bastards to a pulp!
context: The Grand Magic Games executive committee assumes no responsibility!\So it's a three-dimensional maze in here...\I'm not good with stuff like this!\Get it together!\If we're not one of the first eight teams to arrive,\forget about number one in Fiore, because we'll be cut!\Yeah, right?!\We gotta get through here an' beat those Sabertooth bastards to a pulp! response:	Let's get to the goal before they do!
context: So it's a three-dimensional maze in here...\I'm not good with stuff like this!\Get it together!\If we're not one of the first eight teams to arrive,\forget about number one in Fiore, because we'll be cut!\Yeah, right?!\We gotta get through here an' beat those Sabertooth bastards to a pulp!\Let's get to the goal before they do! response:	A Man finishes the elimination round in first place!
context: I'm not good with stuff like this!\Get it together!\If we're not one of the first eight teams to arrive,\forget about number one in Fiore, because we'll be cut!\Yeah, right?!\We gotta get through here an' beat those Sabertooth bastards to a pulp!\Let's get to the goal before they do!\A Man finishes the elimination round in first place! response:	Basically, we should head east.
context: Get it together!\If we're not one of the first eight teams to arrive,\forget about number one in Fiore, because we'll be cut!\Yeah, right?!\We gotta get through here an' beat those Sabertooth bastards to a pulp!\Let's get to the goal before they do!\A Man finishes the elimination round in first place!\Basically, we should head east. response:	The arena is in that direction.
context: If we're not one of the first eight teams to arrive,\forget about number one in Fiore, because we'll be cut!\Yeah, right?!\We gotta get through here an' beat those Sabertooth bastards to a pulp!\Let's get to the goal before they do!\A Man finishes the elimination round in first place!\Basically, we should head east.\The arena is in that direction. response:	In that case, count on me!
context: forget about number one in Fiore, because we'll be cut!\Yeah, right?!\We gotta get through here an' beat those Sabertooth bastards to a pulp!\Let's get to the goal before they do!\A Man finishes the elimination round in first place!\Basically, we should head east.\The arena is in that direction.\In that case, count on me! response:	Open! Gate of the Compass!
context: Yeah, right?!\We gotta get through here an' beat those Sabertooth bastards to a pulp!\Let's get to the goal before they do!\A Man finishes the elimination round in first place!\Basically, we should head east.\The arena is in that direction.\In that case, count on me!\Open! Gate of the Compass! response:	Pyxis!
context: We gotta get through here an' beat those Sabertooth bastards to a pulp!\Let's get to the goal before they do!\A Man finishes the elimination round in first place!\Basically, we should head east.\The arena is in that direction.\In that case, count on me!\Open! Gate of the Compass!\Pyxis! response:	Please, Pyxis! Tell us which way is east!
context: Let's get to the goal before they do!\A Man finishes the elimination round in first place!\Basically, we should head east.\The arena is in that direction.\In that case, count on me!\Open! Gate of the Compass!\Pyxis!\Please, Pyxis! Tell us which way is east! response:	That way is east!
context: A Man finishes the elimination round in first place!\Basically, we should head east.\The arena is in that direction.\In that case, count on me!\Open! Gate of the Compass!\Pyxis!\Please, Pyxis! Tell us which way is east!\That way is east! response:	Sorry, Lucy.
context: Basically, we should head east.\The arena is in that direction.\In that case, count on me!\Open! Gate of the Compass!\Pyxis!\Please, Pyxis! Tell us which way is east!\That way is east!\Sorry, Lucy. response:	I brought along a compass.
context: The arena is in that direction.\In that case, count on me!\Open! Gate of the Compass!\Pyxis!\Please, Pyxis! Tell us which way is east!\That way is east!\Sorry, Lucy.\I brought along a compass. response:	Pyxis... Good job.
context: In that case, count on me!\Open! Gate of the Compass!\Pyxis!\Please, Pyxis! Tell us which way is east!\That way is east!\Sorry, Lucy.\I brought along a compass.\Pyxis... Good job. response:	Let's head east!
context: Open! Gate of the Compass!\Pyxis!\Please, Pyxis! Tell us which way is east!\That way is east!\Sorry, Lucy.\I brought along a compass.\Pyxis... Good job.\Let's head east! response:	A Man charges straight through!
context: Pyxis!\Please, Pyxis! Tell us which way is east!\That way is east!\Sorry, Lucy.\I brought along a compass.\Pyxis... Good job.\Let's head east!\A Man charges straight through! response:	Be that as it may, we can't just go straight east, can we?
context: Please, Pyxis! Tell us which way is east!\That way is east!\Sorry, Lucy.\I brought along a compass.\Pyxis... Good job.\Let's head east!\A Man charges straight through!\Be that as it may, we can't just go straight east, can we? response:	Not the way this is constructed...
context: That way is east!\Sorry, Lucy.\I brought along a compass.\Pyxis... Good job.\Let's head east!\A Man charges straight through!\Be that as it may, we can't just go straight east, can we?\Not the way this is constructed... response:	Is the roof folded back over?!
context: Sorry, Lucy.\I brought along a compass.\Pyxis... Good job.\Let's head east!\A Man charges straight through!\Be that as it may, we can't just go straight east, can we?\Not the way this is constructed...\Is the roof folded back over?! response:	You're doing okay?
context: I brought along a compass.\Pyxis... Good job.\Let's head east!\A Man charges straight through!\Be that as it may, we can't just go straight east, can we?\Not the way this is constructed...\Is the roof folded back over?!\You're doing okay? response:	Yeah. I don't know why, but I'm not feelin' sick at all.
context: Pyxis... Good job.\Let's head east!\A Man charges straight through!\Be that as it may, we can't just go straight east, can we?\Not the way this is constructed...\Is the roof folded back over?!\You're doing okay?\Yeah. I don't know why, but I'm not feelin' sick at all. response:	I'll explain!
context: Let's head east!\A Man charges straight through!\Be that as it may, we can't just go straight east, can we?\Not the way this is constructed...\Is the roof folded back over?!\You're doing okay?\Yeah. I don't know why, but I'm not feelin' sick at all.\I'll explain! response:	For the elimination round, this entire Sky Labyrinth has been treated with magic
context: A Man charges straight through!\Be that as it may, we can't just go straight east, can we?\Not the way this is constructed...\Is the roof folded back over?!\You're doing okay?\Yeah. I don't know why, but I'm not feelin' sick at all.\I'll explain!\For the elimination round, this entire Sky Labyrinth has been treated with magic response:	so even those with motion sickness or fear of heights can compete fairly!
context: Be that as it may, we can't just go straight east, can we?\Not the way this is constructed...\Is the roof folded back over?!\You're doing okay?\Yeah. I don't know why, but I'm not feelin' sick at all.\I'll explain!\For the elimination round, this entire Sky Labyrinth has been treated with magic\so even those with motion sickness or fear of heights can compete fairly! response:	So it's like a Troia.
context: Not the way this is constructed...\Is the roof folded back over?!\You're doing okay?\Yeah. I don't know why, but I'm not feelin' sick at all.\I'll explain!\For the elimination round, this entire Sky Labyrinth has been treated with magic\so even those with motion sickness or fear of heights can compete fairly!\So it's like a Troia. response:	Maybe that means Natsu isn't the only wizard with motion sickness!
context: Is the roof folded back over?!\You're doing okay?\Yeah. I don't know why, but I'm not feelin' sick at all.\I'll explain!\For the elimination round, this entire Sky Labyrinth has been treated with magic\so even those with motion sickness or fear of heights can compete fairly!\So it's like a Troia.\Maybe that means Natsu isn't the only wizard with motion sickness! response:	That's just pathetic.
context: You're doing okay?\Yeah. I don't know why, but I'm not feelin' sick at all.\I'll explain!\For the elimination round, this entire Sky Labyrinth has been treated with magic\so even those with motion sickness or fear of heights can compete fairly!\So it's like a Troia.\Maybe that means Natsu isn't the only wizard with motion sickness!\That's just pathetic. response:	I can hear you two!
context: Yeah. I don't know why, but I'm not feelin' sick at all.\I'll explain!\For the elimination round, this entire Sky Labyrinth has been treated with magic\so even those with motion sickness or fear of heights can compete fairly!\So it's like a Troia.\Maybe that means Natsu isn't the only wizard with motion sickness!\That's just pathetic.\I can hear you two! response:	Anyway, let's keep going east!
context: I'll explain!\For the elimination round, this entire Sky Labyrinth has been treated with magic\so even those with motion sickness or fear of heights can compete fairly!\So it's like a Troia.\Maybe that means Natsu isn't the only wizard with motion sickness!\That's just pathetic.\I can hear you two!\Anyway, let's keep going east! response:	Right!
context: For the elimination round, this entire Sky Labyrinth has been treated with magic\so even those with motion sickness or fear of heights can compete fairly!\So it's like a Troia.\Maybe that means Natsu isn't the only wizard with motion sickness!\That's just pathetic.\I can hear you two!\Anyway, let's keep going east!\Right! response:	What the hell is this?!
context: so even those with motion sickness or fear of heights can compete fairly!\So it's like a Troia.\Maybe that means Natsu isn't the only wizard with motion sickness!\That's just pathetic.\I can hear you two!\Anyway, let's keep going east!\Right!\What the hell is this?! response:	Just lookin' at it is making me dizzy!
context: So it's like a Troia.\Maybe that means Natsu isn't the only wizard with motion sickness!\That's just pathetic.\I can hear you two!\Anyway, let's keep going east!\Right!\What the hell is this?!\Just lookin' at it is making me dizzy! response:	I can't tell if that end is above or below!
context: Maybe that means Natsu isn't the only wizard with motion sickness!\That's just pathetic.\I can hear you two!\Anyway, let's keep going east!\Right!\What the hell is this?!\Just lookin' at it is making me dizzy!\I can't tell if that end is above or below! response:	Whichever! Let's go!
context: That's just pathetic.\I can hear you two!\Anyway, let's keep going east!\Right!\What the hell is this?!\Just lookin' at it is making me dizzy!\I can't tell if that end is above or below!\Whichever! Let's go! response:	A Man doesn't hesitate, but charges ahead!
context: I can hear you two!\Anyway, let's keep going east!\Right!\What the hell is this?!\Just lookin' at it is making me dizzy!\I can't tell if that end is above or below!\Whichever! Let's go!\A Man doesn't hesitate, but charges ahead! response:	Still, how far does this thing go?
context: Anyway, let's keep going east!\Right!\What the hell is this?!\Just lookin' at it is making me dizzy!\I can't tell if that end is above or below!\Whichever! Let's go!\A Man doesn't hesitate, but charges ahead!\Still, how far does this thing go? response:	Don't worry about it!
context: Right!\What the hell is this?!\Just lookin' at it is making me dizzy!\I can't tell if that end is above or below!\Whichever! Let's go!\A Man doesn't hesitate, but charges ahead!\Still, how far does this thing go?\Don't worry about it! response:	At the end of it'll be the goal! Hey!
context: What the hell is this?!\Just lookin' at it is making me dizzy!\I can't tell if that end is above or below!\Whichever! Let's go!\A Man doesn't hesitate, but charges ahead!\Still, how far does this thing go?\Don't worry about it!\At the end of it'll be the goal! Hey! response:	Get a hold of yourself!
context: Just lookin' at it is making me dizzy!\I can't tell if that end is above or below!\Whichever! Let's go!\A Man doesn't hesitate, but charges ahead!\Still, how far does this thing go?\Don't worry about it!\At the end of it'll be the goal! Hey!\Get a hold of yourself! response:	What the hell's goin' on here?!
context: I can't tell if that end is above or below!\Whichever! Let's go!\A Man doesn't hesitate, but charges ahead!\Still, how far does this thing go?\Don't worry about it!\At the end of it'll be the goal! Hey!\Get a hold of yourself!\What the hell's goin' on here?! response:	Like the name says, it's a labyrinth.
context: Whichever! Let's go!\A Man doesn't hesitate, but charges ahead!\Still, how far does this thing go?\Don't worry about it!\At the end of it'll be the goal! Hey!\Get a hold of yourself!\What the hell's goin' on here?!\Like the name says, it's a labyrinth. response:	That reminds me of what he said about not taking responsibility even if people die...
context: A Man doesn't hesitate, but charges ahead!\Still, how far does this thing go?\Don't worry about it!\At the end of it'll be the goal! Hey!\Get a hold of yourself!\What the hell's goin' on here?!\Like the name says, it's a labyrinth.\That reminds me of what he said about not taking responsibility even if people die... response:	Falling from here, we'd end up on the street in Crocus, headfirst.
context: Still, how far does this thing go?\Don't worry about it!\At the end of it'll be the goal! Hey!\Get a hold of yourself!\What the hell's goin' on here?!\Like the name says, it's a labyrinth.\That reminds me of what he said about not taking responsibility even if people die...\Falling from here, we'd end up on the street in Crocus, headfirst. response:	Then we're supposed to choose our path carefully, huh?
context: Don't worry about it!\At the end of it'll be the goal! Hey!\Get a hold of yourself!\What the hell's goin' on here?!\Like the name says, it's a labyrinth.\That reminds me of what he said about not taking responsibility even if people die...\Falling from here, we'd end up on the street in Crocus, headfirst.\Then we're supposed to choose our path carefully, huh? response:	We ain't gonna get to the goal by inspecting this whole place!
context: At the end of it'll be the goal! Hey!\Get a hold of yourself!\What the hell's goin' on here?!\Like the name says, it's a labyrinth.\That reminds me of what he said about not taking responsibility even if people die...\Falling from here, we'd end up on the street in Crocus, headfirst.\Then we're supposed to choose our path carefully, huh?\We ain't gonna get to the goal by inspecting this whole place! response:	Let's just look around to the east!
context: Get a hold of yourself!\What the hell's goin' on here?!\Like the name says, it's a labyrinth.\That reminds me of what he said about not taking responsibility even if people die...\Falling from here, we'd end up on the street in Crocus, headfirst.\Then we're supposed to choose our path carefully, huh?\We ain't gonna get to the goal by inspecting this whole place!\Let's just look around to the east! response:	I think it'd be a good idea to take notes as we go.
context: What the hell's goin' on here?!\Like the name says, it's a labyrinth.\That reminds me of what he said about not taking responsibility even if people die...\Falling from here, we'd end up on the street in Crocus, headfirst.\Then we're supposed to choose our path carefully, huh?\We ain't gonna get to the goal by inspecting this whole place!\Let's just look around to the east!\I think it'd be a good idea to take notes as we go. response:	Notes?
context: Like the name says, it's a labyrinth.\That reminds me of what he said about not taking responsibility even if people die...\Falling from here, we'd end up on the street in Crocus, headfirst.\Then we're supposed to choose our path carefully, huh?\We ain't gonna get to the goal by inspecting this whole place!\Let's just look around to the east!\I think it'd be a good idea to take notes as we go.\Notes? response:	Like how we've gotten here from the starting point...
context: That reminds me of what he said about not taking responsibility even if people die...\Falling from here, we'd end up on the street in Crocus, headfirst.\Then we're supposed to choose our path carefully, huh?\We ain't gonna get to the goal by inspecting this whole place!\Let's just look around to the east!\I think it'd be a good idea to take notes as we go.\Notes?\Like how we've gotten here from the starting point... response:	What kind of places we've passed...
context: Falling from here, we'd end up on the street in Crocus, headfirst.\Then we're supposed to choose our path carefully, huh?\We ain't gonna get to the goal by inspecting this whole place!\Let's just look around to the east!\I think it'd be a good idea to take notes as we go.\Notes?\Like how we've gotten here from the starting point...\What kind of places we've passed... response:	If we can't get a grip on where we are right now, we won't be able to make progress easily.
context: Then we're supposed to choose our path carefully, huh?\We ain't gonna get to the goal by inspecting this whole place!\Let's just look around to the east!\I think it'd be a good idea to take notes as we go.\Notes?\Like how we've gotten here from the starting point...\What kind of places we've passed...\If we can't get a grip on where we are right now, we won't be able to make progress easily. response:	Yeah, we can't just complain about it.
context: We ain't gonna get to the goal by inspecting this whole place!\Let's just look around to the east!\I think it'd be a good idea to take notes as we go.\Notes?\Like how we've gotten here from the starting point...\What kind of places we've passed...\If we can't get a grip on where we are right now, we won't be able to make progress easily.\Yeah, we can't just complain about it. response:	I see. She's talking about mapping the place.
context: Let's just look around to the east!\I think it'd be a good idea to take notes as we go.\Notes?\Like how we've gotten here from the starting point...\What kind of places we've passed...\If we can't get a grip on where we are right now, we won't be able to make progress easily.\Yeah, we can't just complain about it.\I see. She's talking about mapping the place. response:	Taking notes?!
context: I think it'd be a good idea to take notes as we go.\Notes?\Like how we've gotten here from the starting point...\What kind of places we've passed...\If we can't get a grip on where we are right now, we won't be able to make progress easily.\Yeah, we can't just complain about it.\I see. She's talking about mapping the place.\Taking notes?! response:	I don't know one place from another!
context: Notes?\Like how we've gotten here from the starting point...\What kind of places we've passed...\If we can't get a grip on where we are right now, we won't be able to make progress easily.\Yeah, we can't just complain about it.\I see. She's talking about mapping the place.\Taking notes?!\I don't know one place from another! response:	Can't you get a whiff of the goal or something, Natsu?
context: Like how we've gotten here from the starting point...\What kind of places we've passed...\If we can't get a grip on where we are right now, we won't be able to make progress easily.\Yeah, we can't just complain about it.\I see. She's talking about mapping the place.\Taking notes?!\I don't know one place from another!\Can't you get a whiff of the goal or something, Natsu? response:	My nose isn't working.
context: What kind of places we've passed...\If we can't get a grip on where we are right now, we won't be able to make progress easily.\Yeah, we can't just complain about it.\I see. She's talking about mapping the place.\Taking notes?!\I don't know one place from another!\Can't you get a whiff of the goal or something, Natsu?\My nose isn't working. response:	Maybe that's due to the magic cast in this labyrinth...
context: If we can't get a grip on where we are right now, we won't be able to make progress easily.\Yeah, we can't just complain about it.\I see. She's talking about mapping the place.\Taking notes?!\I don't know one place from another!\Can't you get a whiff of the goal or something, Natsu?\My nose isn't working.\Maybe that's due to the magic cast in this labyrinth... response:	Every team has the same conditions.
context: Yeah, we can't just complain about it.\I see. She's talking about mapping the place.\Taking notes?!\I don't know one place from another!\Can't you get a whiff of the goal or something, Natsu?\My nose isn't working.\Maybe that's due to the magic cast in this labyrinth...\Every team has the same conditions. response:	Anyway, let's keep going!
context: I see. She's talking about mapping the place.\Taking notes?!\I don't know one place from another!\Can't you get a whiff of the goal or something, Natsu?\My nose isn't working.\Maybe that's due to the magic cast in this labyrinth...\Every team has the same conditions.\Anyway, let's keep going! response:	Wendy-nee isn't with them?!
context: Taking notes?!\I don't know one place from another!\Can't you get a whiff of the goal or something, Natsu?\My nose isn't working.\Maybe that's due to the magic cast in this labyrinth...\Every team has the same conditions.\Anyway, let's keep going!\Wendy-nee isn't with them?! response:	Isn't with them... You mean she's missing?
context: I don't know one place from another!\Can't you get a whiff of the goal or something, Natsu?\My nose isn't working.\Maybe that's due to the magic cast in this labyrinth...\Every team has the same conditions.\Anyway, let's keep going!\Wendy-nee isn't with them?!\Isn't with them... You mean she's missing? response:	Carla isn't there either!
context: Can't you get a whiff of the goal or something, Natsu?\My nose isn't working.\Maybe that's due to the magic cast in this labyrinth...\Every team has the same conditions.\Anyway, let's keep going!\Wendy-nee isn't with them?!\Isn't with them... You mean she's missing?\Carla isn't there either! response:	But the rule is there has to be five people!
