context: If I were to borrow Tendo's words... response:	I'm starting to get into it.
context: We'll do that again next time.\Shiratorizawa!\Hinata.\Shiratorizawa!\Always keep the block timing in your head.\Since you lack height, that'll be much more important for you.\Shiratorizawa!\Yeah. response:	Shiratorizawa!
context: Shiratorizawa!\Hinata.\Shiratorizawa!\Always keep the block timing in your head.\Since you lack height, that'll be much more important for you.\Shiratorizawa!\Yeah.\Shiratorizawa! response:	If you feel like it's going to be even a little late,
context: Hinata.\Shiratorizawa!\Always keep the block timing in your head.\Since you lack height, that'll be much more important for you.\Shiratorizawa!\Yeah.\Shiratorizawa!\If you feel like it's going to be even a little late, response:	switch over to a soft block.
context: Shiratorizawa!\Always keep the block timing in your head.\Since you lack height, that'll be much more important for you.\Shiratorizawa!\Yeah.\Shiratorizawa!\If you feel like it's going to be even a little late,\switch over to a soft block. response:	Shiratorizawa!
context: Always keep the block timing in your head.\Since you lack height, that'll be much more important for you.\Shiratorizawa!\Yeah.\Shiratorizawa!\If you feel like it's going to be even a little late,\switch over to a soft block.\Shiratorizawa! response:	The plate, right?
context: Since you lack height, that'll be much more important for you.\Shiratorizawa!\Yeah.\Shiratorizawa!\If you feel like it's going to be even a little late,\switch over to a soft block.\Shiratorizawa!\The plate, right? response:	Push through!
context: Shiratorizawa!\Yeah.\Shiratorizawa!\If you feel like it's going to be even a little late,\switch over to a soft block.\Shiratorizawa!\The plate, right?\Push through! response:	Go!
context: Yeah.\Shiratorizawa!\If you feel like it's going to be even a little late,\switch over to a soft block.\Shiratorizawa!\The plate, right?\Push through!\Go! response:	All right!
context: Shiratorizawa!\If you feel like it's going to be even a little late,\switch over to a soft block.\Shiratorizawa!\The plate, right?\Push through!\Go!\All right! response:	Sorry.
context: If you feel like it's going to be even a little late,\switch over to a soft block.\Shiratorizawa!\The plate, right?\Push through!\Go!\All right!\Sorry. response:	Don't mind!
context: switch over to a soft block.\Shiratorizawa!\The plate, right?\Push through!\Go!\All right!\Sorry.\Don't mind! response:	Shiratorizawa Karasuno
context: Shiratorizawa!\The plate, right?\Push through!\Go!\All right!\Sorry.\Don't mind!\Shiratorizawa Karasuno response:	It finally stopped.
context: The plate, right?\Push through!\Go!\All right!\Sorry.\Don't mind!\Shiratorizawa Karasuno\It finally stopped. response:	How many points in a row did they get with Ushiwaka serving there? Five?
context: Push through!\Go!\All right!\Sorry.\Don't mind!\Shiratorizawa Karasuno\It finally stopped.\How many points in a row did they get with Ushiwaka serving there? Five? response:	Six.
context: Go!\All right!\Sorry.\Don't mind!\Shiratorizawa Karasuno\It finally stopped.\How many points in a row did they get with Ushiwaka serving there? Five?\Six. response:	More than a third what they need to win.
context: All right!\Sorry.\Don't mind!\Shiratorizawa Karasuno\It finally stopped.\How many points in a row did they get with Ushiwaka serving there? Five?\Six.\More than a third what they need to win. response:	But Hinata's coming back out now.
context: Sorry.\Don't mind!\Shiratorizawa Karasuno\It finally stopped.\How many points in a row did they get with Ushiwaka serving there? Five?\Six.\More than a third what they need to win.\But Hinata's coming back out now. response:	Pull something off again!
context: Don't mind!\Shiratorizawa Karasuno\It finally stopped.\How many points in a row did they get with Ushiwaka serving there? Five?\Six.\More than a third what they need to win.\But Hinata's coming back out now.\Pull something off again! response:	Yeah!
context: Shiratorizawa Karasuno\It finally stopped.\How many points in a row did they get with Ushiwaka serving there? Five?\Six.\More than a third what they need to win.\But Hinata's coming back out now.\Pull something off again!\Yeah! response:	Narita-san! One more, nice serve!
context: It finally stopped.\How many points in a row did they get with Ushiwaka serving there? Five?\Six.\More than a third what they need to win.\But Hinata's coming back out now.\Pull something off again!\Yeah!\Narita-san! One more, nice serve! response:	Fly
context: How many points in a row did they get with Ushiwaka serving there? Five?\Six.\More than a third what they need to win.\But Hinata's coming back out now.\Pull something off again!\Yeah!\Narita-san! One more, nice serve!\Fly response:	Nice serve!
context: Six.\More than a third what they need to win.\But Hinata's coming back out now.\Pull something off again!\Yeah!\Narita-san! One more, nice serve!\Fly\Nice serve! response:	Here I go!
context: More than a third what they need to win.\But Hinata's coming back out now.\Pull something off again!\Yeah!\Narita-san! One more, nice serve!\Fly\Nice serve!\Here I go! response:	Sorry!
context: But Hinata's coming back out now.\Pull something off again!\Yeah!\Narita-san! One more, nice serve!\Fly\Nice serve!\Here I go!\Sorry! response:	Tendo!
context: Pull something off again!\Yeah!\Narita-san! One more, nice serve!\Fly\Nice serve!\Here I go!\Sorry!\Tendo! response:	Asahi-san!
context: Yeah!\Narita-san! One more, nice serve!\Fly\Nice serve!\Here I go!\Sorry!\Tendo!\Asahi-san! response:	It's not Kageyama. Don't jump too early!
context: Narita-san! One more, nice serve!\Fly\Nice serve!\Here I go!\Sorry!\Tendo!\Asahi-san!\It's not Kageyama. Don't jump too early! response:	It's first tempo with anyone.
context: Fly\Nice serve!\Here I go!\Sorry!\Tendo!\Asahi-san!\It's not Kageyama. Don't jump too early!\It's first tempo with anyone. response:	One blocker!
context: Nice serve!\Here I go!\Sorry!\Tendo!\Asahi-san!\It's not Kageyama. Don't jump too early!\It's first tempo with anyone.\One blocker! response:	All right!
context: Here I go!\Sorry!\Tendo!\Asahi-san!\It's not Kageyama. Don't jump too early!\It's first tempo with anyone.\One blocker!\All right! response:	Go, go, Karasuno! Push it, push it, Karasuno!
context: Sorry!\Tendo!\Asahi-san!\It's not Kageyama. Don't jump too early!\It's first tempo with anyone.\One blocker!\All right!\Go, go, Karasuno! Push it, push it, Karasuno! response:	Shiratorizawa Karasuno
context: Tendo!\Asahi-san!\It's not Kageyama. Don't jump too early!\It's first tempo with anyone.\One blocker!\All right!\Go, go, Karasuno! Push it, push it, Karasuno!\Shiratorizawa Karasuno response:	We're just two points behind!
context: Asahi-san!\It's not Kageyama. Don't jump too early!\It's first tempo with anyone.\One blocker!\All right!\Go, go, Karasuno! Push it, push it, Karasuno!\Shiratorizawa Karasuno\We're just two points behind! response:	Hinata, is your eye okay?
context: It's not Kageyama. Don't jump too early!\It's first tempo with anyone.\One blocker!\All right!\Go, go, Karasuno! Push it, push it, Karasuno!\Shiratorizawa Karasuno\We're just two points behind!\Hinata, is your eye okay? response:	Yup!
context: It's first tempo with anyone.\One blocker!\All right!\Go, go, Karasuno! Push it, push it, Karasuno!\Shiratorizawa Karasuno\We're just two points behind!\Hinata, is your eye okay?\Yup! response:	You sure got hit in a strange place.
context: One blocker!\All right!\Go, go, Karasuno! Push it, push it, Karasuno!\Shiratorizawa Karasuno\We're just two points behind!\Hinata, is your eye okay?\Yup!\You sure got hit in a strange place. response:	My hands couldn't go up in time, so I thought about receiving it with my face,
context: All right!\Go, go, Karasuno! Push it, push it, Karasuno!\Shiratorizawa Karasuno\We're just two points behind!\Hinata, is your eye okay?\Yup!\You sure got hit in a strange place.\My hands couldn't go up in time, so I thought about receiving it with my face, response:	but I didn't want it to hit my nose, so...
context: Go, go, Karasuno! Push it, push it, Karasuno!\Shiratorizawa Karasuno\We're just two points behind!\Hinata, is your eye okay?\Yup!\You sure got hit in a strange place.\My hands couldn't go up in time, so I thought about receiving it with my face,\but I didn't want it to hit my nose, so... response:	What?! So you moved your face because you could actually see it?
context: Shiratorizawa Karasuno\We're just two points behind!\Hinata, is your eye okay?\Yup!\You sure got hit in a strange place.\My hands couldn't go up in time, so I thought about receiving it with my face,\but I didn't want it to hit my nose, so...\What?! So you moved your face because you could actually see it? response:	Well, if I got a nosebleed, I'd have to go back onto the bench.
context: We're just two points behind!\Hinata, is your eye okay?\Yup!\You sure got hit in a strange place.\My hands couldn't go up in time, so I thought about receiving it with my face,\but I didn't want it to hit my nose, so...\What?! So you moved your face because you could actually see it?\Well, if I got a nosebleed, I'd have to go back onto the bench. response:	When I heard about Karasuno's first-year duo,
context: Hinata, is your eye okay?\Yup!\You sure got hit in a strange place.\My hands couldn't go up in time, so I thought about receiving it with my face,\but I didn't want it to hit my nose, so...\What?! So you moved your face because you could actually see it?\Well, if I got a nosebleed, I'd have to go back onto the bench.\When I heard about Karasuno's first-year duo, response:	and when he stole my ball at the school,
context: Yup!\You sure got hit in a strange place.\My hands couldn't go up in time, so I thought about receiving it with my face,\but I didn't want it to hit my nose, so...\What?! So you moved your face because you could actually see it?\Well, if I got a nosebleed, I'd have to go back onto the bench.\When I heard about Karasuno's first-year duo,\and when he stole my ball at the school, response:	I was anticipating...
context: You sure got hit in a strange place.\My hands couldn't go up in time, so I thought about receiving it with my face,\but I didn't want it to hit my nose, so...\What?! So you moved your face because you could actually see it?\Well, if I got a nosebleed, I'd have to go back onto the bench.\When I heard about Karasuno's first-year duo,\and when he stole my ball at the school,\I was anticipating... response:	That he was like the other small yet talented players I have met.
context: My hands couldn't go up in time, so I thought about receiving it with my face,\but I didn't want it to hit my nose, so...\What?! So you moved your face because you could actually see it?\Well, if I got a nosebleed, I'd have to go back onto the bench.\When I heard about Karasuno's first-year duo,\and when he stole my ball at the school,\I was anticipating...\That he was like the other small yet talented players I have met. response:	But I was wrong.
context: but I didn't want it to hit my nose, so...\What?! So you moved your face because you could actually see it?\Well, if I got a nosebleed, I'd have to go back onto the bench.\When I heard about Karasuno's first-year duo,\and when he stole my ball at the school,\I was anticipating...\That he was like the other small yet talented players I have met.\But I was wrong. response:	I couldn't feel the same talented techniques or intelligence in him.
context: What?! So you moved your face because you could actually see it?\Well, if I got a nosebleed, I'd have to go back onto the bench.\When I heard about Karasuno's first-year duo,\and when he stole my ball at the school,\I was anticipating...\That he was like the other small yet talented players I have met.\But I was wrong.\I couldn't feel the same talented techniques or intelligence in him. response:	But...
context: Well, if I got a nosebleed, I'd have to go back onto the bench.\When I heard about Karasuno's first-year duo,\and when he stole my ball at the school,\I was anticipating...\That he was like the other small yet talented players I have met.\But I was wrong.\I couldn't feel the same talented techniques or intelligence in him.\But... response:	I see.
context: When I heard about Karasuno's first-year duo,\and when he stole my ball at the school,\I was anticipating...\That he was like the other small yet talented players I have met.\But I was wrong.\I couldn't feel the same talented techniques or intelligence in him.\But...\I see. response:	Something about him annoys me.
context: and when he stole my ball at the school,\I was anticipating...\That he was like the other small yet talented players I have met.\But I was wrong.\I couldn't feel the same talented techniques or intelligence in him.\But...\I see.\Something about him annoys me. response:	Shiratorizawa
context: I was anticipating...\That he was like the other small yet talented players I have met.\But I was wrong.\I couldn't feel the same talented techniques or intelligence in him.\But...\I see.\Something about him annoys me.\Shiratorizawa response:	I haven't doubted once that we would win.
context: That he was like the other small yet talented players I have met.\But I was wrong.\I couldn't feel the same talented techniques or intelligence in him.\But...\I see.\Something about him annoys me.\Shiratorizawa\I haven't doubted once that we would win. response:	But right now,
context: But I was wrong.\I couldn't feel the same talented techniques or intelligence in him.\But...\I see.\Something about him annoys me.\Shiratorizawa\I haven't doubted once that we would win.\But right now, response:	I am completely sure
context: I couldn't feel the same talented techniques or intelligence in him.\But...\I see.\Something about him annoys me.\Shiratorizawa\I haven't doubted once that we would win.\But right now,\I am completely sure response:	that I want to crush you.
context: But...\I see.\Something about him annoys me.\Shiratorizawa\I haven't doubted once that we would win.\But right now,\I am completely sure\that I want to crush you. response:	Kazuhito, nice serve!
context: I see.\Something about him annoys me.\Shiratorizawa\I haven't doubted once that we would win.\But right now,\I am completely sure\that I want to crush you.\Kazuhito, nice serve! response:	All right, keep it up. Don't give up!
context: Something about him annoys me.\Shiratorizawa\I haven't doubted once that we would win.\But right now,\I am completely sure\that I want to crush you.\Kazuhito, nice serve!\All right, keep it up. Don't give up! response:	Oh, hey, look!
context: Shiratorizawa\I haven't doubted once that we would win.\But right now,\I am completely sure\that I want to crush you.\Kazuhito, nice serve!\All right, keep it up. Don't give up!\Oh, hey, look! response:	Kageyama's warming up!
context: I haven't doubted once that we would win.\But right now,\I am completely sure\that I want to crush you.\Kazuhito, nice serve!\All right, keep it up. Don't give up!\Oh, hey, look!\Kageyama's warming up! response:	He's going back in!
context: But right now,\I am completely sure\that I want to crush you.\Kazuhito, nice serve!\All right, keep it up. Don't give up!\Oh, hey, look!\Kageyama's warming up!\He's going back in! response:	Ohira-san!
context: I am completely sure\that I want to crush you.\Kazuhito, nice serve!\All right, keep it up. Don't give up!\Oh, hey, look!\Kageyama's warming up!\He's going back in!\Ohira-san! response:	All right!
context: that I want to crush you.\Kazuhito, nice serve!\All right, keep it up. Don't give up!\Oh, hey, look!\Kageyama's warming up!\He's going back in!\Ohira-san!\All right! response:	Shiratorizawa Karasuno
context: Kazuhito, nice serve!\All right, keep it up. Don't give up!\Oh, hey, look!\Kageyama's warming up!\He's going back in!\Ohira-san!\All right!\Shiratorizawa Karasuno response:	The taste of blood in my mouth...
context: All right, keep it up. Don't give up!\Oh, hey, look!\Kageyama's warming up!\He's going back in!\Ohira-san!\All right!\Shiratorizawa Karasuno\The taste of blood in my mouth... response:	I wonder if Shoyo's in pain after all.
context: Oh, hey, look!\Kageyama's warming up!\He's going back in!\Ohira-san!\All right!\Shiratorizawa Karasuno\The taste of blood in my mouth...\I wonder if Shoyo's in pain after all. response:	But having someone to follow up and block is reassuring.
context: Kageyama's warming up!\He's going back in!\Ohira-san!\All right!\Shiratorizawa Karasuno\The taste of blood in my mouth...\I wonder if Shoyo's in pain after all.\But having someone to follow up and block is reassuring. response:	Earlier, he followed up like that because there was
context: He's going back in!\Ohira-san!\All right!\Shiratorizawa Karasuno\The taste of blood in my mouth...\I wonder if Shoyo's in pain after all.\But having someone to follow up and block is reassuring.\Earlier, he followed up like that because there was response:	no getting around Asahi hitting it, but...
context: Ohira-san!\All right!\Shiratorizawa Karasuno\The taste of blood in my mouth...\I wonder if Shoyo's in pain after all.\But having someone to follow up and block is reassuring.\Earlier, he followed up like that because there was\no getting around Asahi hitting it, but... response:	Usually, their style is anyone who can attack, will attack.
context: All right!\Shiratorizawa Karasuno\The taste of blood in my mouth...\I wonder if Shoyo's in pain after all.\But having someone to follow up and block is reassuring.\Earlier, he followed up like that because there was\no getting around Asahi hitting it, but...\Usually, their style is anyone who can attack, will attack. response:	They don't think their attack being stopped. They trust that it won't.
context: Shiratorizawa Karasuno\The taste of blood in my mouth...\I wonder if Shoyo's in pain after all.\But having someone to follow up and block is reassuring.\Earlier, he followed up like that because there was\no getting around Asahi hitting it, but...\Usually, their style is anyone who can attack, will attack.\They don't think their attack being stopped. They trust that it won't. response:	So as soon as their attack is stopped, they're pretty much out.
context: The taste of blood in my mouth...\I wonder if Shoyo's in pain after all.\But having someone to follow up and block is reassuring.\Earlier, he followed up like that because there was\no getting around Asahi hitting it, but...\Usually, their style is anyone who can attack, will attack.\They don't think their attack being stopped. They trust that it won't.\So as soon as their attack is stopped, they're pretty much out. response:	Though we did get yelled at about following up with a block quite a bit.
context: I wonder if Shoyo's in pain after all.\But having someone to follow up and block is reassuring.\Earlier, he followed up like that because there was\no getting around Asahi hitting it, but...\Usually, their style is anyone who can attack, will attack.\They don't think their attack being stopped. They trust that it won't.\So as soon as their attack is stopped, they're pretty much out.\Though we did get yelled at about following up with a block quite a bit. response:	If I were the coach, I'd do the same thing.
context: But having someone to follow up and block is reassuring.\Earlier, he followed up like that because there was\no getting around Asahi hitting it, but...\Usually, their style is anyone who can attack, will attack.\They don't think their attack being stopped. They trust that it won't.\So as soon as their attack is stopped, they're pretty much out.\Though we did get yelled at about following up with a block quite a bit.\If I were the coach, I'd do the same thing. response:	Actually, even as a player,
context: Earlier, he followed up like that because there was\no getting around Asahi hitting it, but...\Usually, their style is anyone who can attack, will attack.\They don't think their attack being stopped. They trust that it won't.\So as soon as their attack is stopped, they're pretty much out.\Though we did get yelled at about following up with a block quite a bit.\If I were the coach, I'd do the same thing.\Actually, even as a player, response:	I can't help but hope that someone follows up.
context: no getting around Asahi hitting it, but...\Usually, their style is anyone who can attack, will attack.\They don't think their attack being stopped. They trust that it won't.\So as soon as their attack is stopped, they're pretty much out.\Though we did get yelled at about following up with a block quite a bit.\If I were the coach, I'd do the same thing.\Actually, even as a player,\I can't help but hope that someone follows up. response:	Because it's scary.
context: Usually, their style is anyone who can attack, will attack.\They don't think their attack being stopped. They trust that it won't.\So as soon as their attack is stopped, they're pretty much out.\Though we did get yelled at about following up with a block quite a bit.\If I were the coach, I'd do the same thing.\Actually, even as a player,\I can't help but hope that someone follows up.\Because it's scary. response:	Good! Nice, Wakatoshi!
context: They don't think their attack being stopped. They trust that it won't.\So as soon as their attack is stopped, they're pretty much out.\Though we did get yelled at about following up with a block quite a bit.\If I were the coach, I'd do the same thing.\Actually, even as a player,\I can't help but hope that someone follows up.\Because it's scary.\Good! Nice, Wakatoshi! response:	Goshiki!
context: So as soon as their attack is stopped, they're pretty much out.\Though we did get yelled at about following up with a block quite a bit.\If I were the coach, I'd do the same thing.\Actually, even as a player,\I can't help but hope that someone follows up.\Because it's scary.\Good! Nice, Wakatoshi!\Goshiki! response:	Narrowing the paths for angle shots...
context: Though we did get yelled at about following up with a block quite a bit.\If I were the coach, I'd do the same thing.\Actually, even as a player,\I can't help but hope that someone follows up.\Because it's scary.\Good! Nice, Wakatoshi!\Goshiki!\Narrowing the paths for angle shots... response:	And Daichi's in the path for a straight.
context: If I were the coach, I'd do the same thing.\Actually, even as a player,\I can't help but hope that someone follows up.\Because it's scary.\Good! Nice, Wakatoshi!\Goshiki!\Narrowing the paths for angle shots...\And Daichi's in the path for a straight. response:	Bring it! I'm going to take my chance with that straight!
context: Actually, even as a player,\I can't help but hope that someone follows up.\Because it's scary.\Good! Nice, Wakatoshi!\Goshiki!\Narrowing the paths for angle shots...\And Daichi's in the path for a straight.\Bring it! I'm going to take my chance with that straight! response:	Sorry! It's long!
context: I can't help but hope that someone follows up.\Because it's scary.\Good! Nice, Wakatoshi!\Goshiki!\Narrowing the paths for angle shots...\And Daichi's in the path for a straight.\Bring it! I'm going to take my chance with that straight!\Sorry! It's long! response:	Suga!
context: Because it's scary.\Good! Nice, Wakatoshi!\Goshiki!\Narrowing the paths for angle shots...\And Daichi's in the path for a straight.\Bring it! I'm going to take my chance with that straight!\Sorry! It's long!\Suga! response:	If we go for what's somewhat safe here,
context: Good! Nice, Wakatoshi!\Goshiki!\Narrowing the paths for angle shots...\And Daichi's in the path for a straight.\Bring it! I'm going to take my chance with that straight!\Sorry! It's long!\Suga!\If we go for what's somewhat safe here, response:	it'll mean we never changed!
context: Goshiki!\Narrowing the paths for angle shots...\And Daichi's in the path for a straight.\Bring it! I'm going to take my chance with that straight!\Sorry! It's long!\Suga!\If we go for what's somewhat safe here,\it'll mean we never changed! response:	They're going to do it again!
context: Narrowing the paths for angle shots...\And Daichi's in the path for a straight.\Bring it! I'm going to take my chance with that straight!\Sorry! It's long!\Suga!\If we go for what's somewhat safe here,\it'll mean we never changed!\They're going to do it again! response:	Aren't they scared?
context: And Daichi's in the path for a straight.\Bring it! I'm going to take my chance with that straight!\Sorry! It's long!\Suga!\If we go for what's somewhat safe here,\it'll mean we never changed!\They're going to do it again!\Aren't they scared? response:	Synchronized attack: all!
context: Bring it! I'm going to take my chance with that straight!\Sorry! It's long!\Suga!\If we go for what's somewhat safe here,\it'll mean we never changed!\They're going to do it again!\Aren't they scared?\Synchronized attack: all! response:	Judging by his form, it won't be a back toss.
context: Sorry! It's long!\Suga!\If we go for what's somewhat safe here,\it'll mean we never changed!\They're going to do it again!\Aren't they scared?\Synchronized attack: all!\Judging by his form, it won't be a back toss. response:	I haven't seen him do any combos with their 10.
context: Suga!\If we go for what's somewhat safe here,\it'll mean we never changed!\They're going to do it again!\Aren't they scared?\Synchronized attack: all!\Judging by his form, it won't be a back toss.\I haven't seen him do any combos with their 10. response:	So it'll probably got to the guy with the facial hair in the back...
context: If we go for what's somewhat safe here,\it'll mean we never changed!\They're going to do it again!\Aren't they scared?\Synchronized attack: all!\Judging by his form, it won't be a back toss.\I haven't seen him do any combos with their 10.\So it'll probably got to the guy with the facial hair in the back... response:	No.
context: it'll mean we never changed!\They're going to do it again!\Aren't they scared?\Synchronized attack: all!\Judging by his form, it won't be a back toss.\I haven't seen him do any combos with their 10.\So it'll probably got to the guy with the facial hair in the back...\No. response:	We'll do that again next time.
context: They're going to do it again!\Aren't they scared?\Synchronized attack: all!\Judging by his form, it won't be a back toss.\I haven't seen him do any combos with their 10.\So it'll probably got to the guy with the facial hair in the back...\No.\We'll do that again next time. response:	I know...
context: Aren't they scared?\Synchronized attack: all!\Judging by his form, it won't be a back toss.\I haven't seen him do any combos with their 10.\So it'll probably got to the guy with the facial hair in the back...\No.\We'll do that again next time.\I know... response:	When I'm in this kind of thought process, I've already lost.
context: Synchronized attack: all!\Judging by his form, it won't be a back toss.\I haven't seen him do any combos with their 10.\So it'll probably got to the guy with the facial hair in the back...\No.\We'll do that again next time.\I know...\When I'm in this kind of thought process, I've already lost. response:	Is there a toss going up for me?
context: Judging by his form, it won't be a back toss.\I haven't seen him do any combos with their 10.\So it'll probably got to the guy with the facial hair in the back...\No.\We'll do that again next time.\I know...\When I'm in this kind of thought process, I've already lost.\Is there a toss going up for me? response:	All right!
context: I haven't seen him do any combos with their 10.\So it'll probably got to the guy with the facial hair in the back...\No.\We'll do that again next time.\I know...\When I'm in this kind of thought process, I've already lost.\Is there a toss going up for me?\All right! response:	I'm not going to think about that.
context: So it'll probably got to the guy with the facial hair in the back...\No.\We'll do that again next time.\I know...\When I'm in this kind of thought process, I've already lost.\Is there a toss going up for me?\All right!\I'm not going to think about that. response:	I'm going to hit it.
context: No.\We'll do that again next time.\I know...\When I'm in this kind of thought process, I've already lost.\Is there a toss going up for me?\All right!\I'm not going to think about that.\I'm going to hit it. response:	Soy, soy, soy!
context: We'll do that again next time.\I know...\When I'm in this kind of thought process, I've already lost.\Is there a toss going up for me?\All right!\I'm not going to think about that.\I'm going to hit it.\Soy, soy, soy! response:	By attacking with that in mind, our opponents' blocks become confused.
context: I know...\When I'm in this kind of thought process, I've already lost.\Is there a toss going up for me?\All right!\I'm not going to think about that.\I'm going to hit it.\Soy, soy, soy!\By attacking with that in mind, our opponents' blocks become confused. response:	Soy!
context: When I'm in this kind of thought process, I've already lost.\Is there a toss going up for me?\All right!\I'm not going to think about that.\I'm going to hit it.\Soy, soy, soy!\By attacking with that in mind, our opponents' blocks become confused.\Soy! response:	It's obvious when you see their faces.
context: Is there a toss going up for me?\All right!\I'm not going to think about that.\I'm going to hit it.\Soy, soy, soy!\By attacking with that in mind, our opponents' blocks become confused.\Soy!\It's obvious when you see their faces. response:	I can't believe Sugawara was able
context: All right!\I'm not going to think about that.\I'm going to hit it.\Soy, soy, soy!\By attacking with that in mind, our opponents' blocks become confused.\Soy!\It's obvious when you see their faces.\I can't believe Sugawara was able response:	to fearlessly charge like that again, right after he was shut down!
context: I'm not going to think about that.\I'm going to hit it.\Soy, soy, soy!\By attacking with that in mind, our opponents' blocks become confused.\Soy!\It's obvious when you see their faces.\I can't believe Sugawara was able\to fearlessly charge like that again, right after he was shut down! response:	I'm sure he's scared,
