context: Don't. response:	That is far enough. Do not touch Her Highness,
context: Its blue seas. Its blue skies.\That world has the privilege of water and air and sunlight,\and is blessed with an abundance of life and natural resources.\I once lost my life on that world of Earth.\And then, my eyes were opened to the truth.\How outrageous it was for the Terrans\to live among that bounty without appreciating it.\A foolish race that covets resources, destroys nature, response:	and is devoted to the pursuit of pleasure.
context: That world has the privilege of water and air and sunlight,\and is blessed with an abundance of life and natural resources.\I once lost my life on that world of Earth.\And then, my eyes were opened to the truth.\How outrageous it was for the Terrans\to live among that bounty without appreciating it.\A foolish race that covets resources, destroys nature,\and is devoted to the pursuit of pleasure. response:	We mustn't allow them to have their way with this precious world of Earth.
context: and is blessed with an abundance of life and natural resources.\I once lost my life on that world of Earth.\And then, my eyes were opened to the truth.\How outrageous it was for the Terrans\to live among that bounty without appreciating it.\A foolish race that covets resources, destroys nature,\and is devoted to the pursuit of pleasure.\We mustn't allow them to have their way with this precious world of Earth. response:	I, Asseylum Vers Allusia, Princess Royal of the Vers Empire,
context: I once lost my life on that world of Earth.\And then, my eyes were opened to the truth.\How outrageous it was for the Terrans\to live among that bounty without appreciating it.\A foolish race that covets resources, destroys nature,\and is devoted to the pursuit of pleasure.\We mustn't allow them to have their way with this precious world of Earth.\I, Asseylum Vers Allusia, Princess Royal of the Vers Empire, response:	praise and commend all those Orbital Knights who have died
context: And then, my eyes were opened to the truth.\How outrageous it was for the Terrans\to live among that bounty without appreciating it.\A foolish race that covets resources, destroys nature,\and is devoted to the pursuit of pleasure.\We mustn't allow them to have their way with this precious world of Earth.\I, Asseylum Vers Allusia, Princess Royal of the Vers Empire,\praise and commend all those Orbital Knights who have died response:	in the name of that noble cause.
context: How outrageous it was for the Terrans\to live among that bounty without appreciating it.\A foolish race that covets resources, destroys nature,\and is devoted to the pursuit of pleasure.\We mustn't allow them to have their way with this precious world of Earth.\I, Asseylum Vers Allusia, Princess Royal of the Vers Empire,\praise and commend all those Orbital Knights who have died\in the name of that noble cause. response:	What's the point of watching that pirate broadcast of theirs?
context: to live among that bounty without appreciating it.\A foolish race that covets resources, destroys nature,\and is devoted to the pursuit of pleasure.\We mustn't allow them to have their way with this precious world of Earth.\I, Asseylum Vers Allusia, Princess Royal of the Vers Empire,\praise and commend all those Orbital Knights who have died\in the name of that noble cause.\What's the point of watching that pirate broadcast of theirs? response:	I'm curious, that's all... I wonder what happened to the princess?
context: A foolish race that covets resources, destroys nature,\and is devoted to the pursuit of pleasure.\We mustn't allow them to have their way with this precious world of Earth.\I, Asseylum Vers Allusia, Princess Royal of the Vers Empire,\praise and commend all those Orbital Knights who have died\in the name of that noble cause.\What's the point of watching that pirate broadcast of theirs?\I'm curious, that's all... I wonder what happened to the princess? response:	Who knows?
context: and is devoted to the pursuit of pleasure.\We mustn't allow them to have their way with this precious world of Earth.\I, Asseylum Vers Allusia, Princess Royal of the Vers Empire,\praise and commend all those Orbital Knights who have died\in the name of that noble cause.\What's the point of watching that pirate broadcast of theirs?\I'm curious, that's all... I wonder what happened to the princess?\Who knows? response:	I thought she was on Earth's side.
context: We mustn't allow them to have their way with this precious world of Earth.\I, Asseylum Vers Allusia, Princess Royal of the Vers Empire,\praise and commend all those Orbital Knights who have died\in the name of that noble cause.\What's the point of watching that pirate broadcast of theirs?\I'm curious, that's all... I wonder what happened to the princess?\Who knows?\I thought she was on Earth's side. response:	Who knows?
context: I, Asseylum Vers Allusia, Princess Royal of the Vers Empire,\praise and commend all those Orbital Knights who have died\in the name of that noble cause.\What's the point of watching that pirate broadcast of theirs?\I'm curious, that's all... I wonder what happened to the princess?\Who knows?\I thought she was on Earth's side.\Who knows? response:	Maybe she lost hope in there ever being a peaceful resolution.
context: praise and commend all those Orbital Knights who have died\in the name of that noble cause.\What's the point of watching that pirate broadcast of theirs?\I'm curious, that's all... I wonder what happened to the princess?\Who knows?\I thought she was on Earth's side.\Who knows?\Maybe she lost hope in there ever being a peaceful resolution. response:	If there's fighting, it's only natural that she would side with Mars.
context: in the name of that noble cause.\What's the point of watching that pirate broadcast of theirs?\I'm curious, that's all... I wonder what happened to the princess?\Who knows?\I thought she was on Earth's side.\Who knows?\Maybe she lost hope in there ever being a peaceful resolution.\If there's fighting, it's only natural that she would side with Mars. response:	She's a Martian, after all.
context: What's the point of watching that pirate broadcast of theirs?\I'm curious, that's all... I wonder what happened to the princess?\Who knows?\I thought she was on Earth's side.\Who knows?\Maybe she lost hope in there ever being a peaceful resolution.\If there's fighting, it's only natural that she would side with Mars.\She's a Martian, after all. response:	Say, Inko...
context: I'm curious, that's all... I wonder what happened to the princess?\Who knows?\I thought she was on Earth's side.\Who knows?\Maybe she lost hope in there ever being a peaceful resolution.\If there's fighting, it's only natural that she would side with Mars.\She's a Martian, after all.\Say, Inko... response:	What is it, Inko?
context: Who knows?\I thought she was on Earth's side.\Who knows?\Maybe she lost hope in there ever being a peaceful resolution.\If there's fighting, it's only natural that she would side with Mars.\She's a Martian, after all.\Say, Inko...\What is it, Inko? response:	Oh, it's nothing. I was just thinking that this might be our last chance to relax.
context: I thought she was on Earth's side.\Who knows?\Maybe she lost hope in there ever being a peaceful resolution.\If there's fighting, it's only natural that she would side with Mars.\She's a Martian, after all.\Say, Inko...\What is it, Inko?\Oh, it's nothing. I was just thinking that this might be our last chance to relax. response:	Yeah, we board the ship tomorrow and lift off the day after that.
context: Who knows?\Maybe she lost hope in there ever being a peaceful resolution.\If there's fighting, it's only natural that she would side with Mars.\She's a Martian, after all.\Say, Inko...\What is it, Inko?\Oh, it's nothing. I was just thinking that this might be our last chance to relax.\Yeah, we board the ship tomorrow and lift off the day after that. response:	You sure it's not him you're thinking about?
context: Maybe she lost hope in there ever being a peaceful resolution.\If there's fighting, it's only natural that she would side with Mars.\She's a Martian, after all.\Say, Inko...\What is it, Inko?\Oh, it's nothing. I was just thinking that this might be our last chance to relax.\Yeah, we board the ship tomorrow and lift off the day after that.\You sure it's not him you're thinking about? response:	I-It's not! It's not like that!
context: If there's fighting, it's only natural that she would side with Mars.\She's a Martian, after all.\Say, Inko...\What is it, Inko?\Oh, it's nothing. I was just thinking that this might be our last chance to relax.\Yeah, we board the ship tomorrow and lift off the day after that.\You sure it's not him you're thinking about?\I-It's not! It's not like that! response:	Don't just stand there, people! Are you training or aren't you?!
context: She's a Martian, after all.\Say, Inko...\What is it, Inko?\Oh, it's nothing. I was just thinking that this might be our last chance to relax.\Yeah, we board the ship tomorrow and lift off the day after that.\You sure it's not him you're thinking about?\I-It's not! It's not like that!\Don't just stand there, people! Are you training or aren't you?! response:	Y-Yes, sir!
context: Say, Inko...\What is it, Inko?\Oh, it's nothing. I was just thinking that this might be our last chance to relax.\Yeah, we board the ship tomorrow and lift off the day after that.\You sure it's not him you're thinking about?\I-It's not! It's not like that!\Don't just stand there, people! Are you training or aren't you?!\Y-Yes, sir! response:	We plan to be able to lift off the day after tomorrow.
context: What is it, Inko?\Oh, it's nothing. I was just thinking that this might be our last chance to relax.\Yeah, we board the ship tomorrow and lift off the day after that.\You sure it's not him you're thinking about?\I-It's not! It's not like that!\Don't just stand there, people! Are you training or aren't you?!\Y-Yes, sir!\We plan to be able to lift off the day after tomorrow. response:	Troops whose arrival was delayed should be here by tomorrow.
context: Oh, it's nothing. I was just thinking that this might be our last chance to relax.\Yeah, we board the ship tomorrow and lift off the day after that.\You sure it's not him you're thinking about?\I-It's not! It's not like that!\Don't just stand there, people! Are you training or aren't you?!\Y-Yes, sir!\We plan to be able to lift off the day after tomorrow.\Troops whose arrival was delayed should be here by tomorrow. response:	Are you referring to him?
context: Yeah, we board the ship tomorrow and lift off the day after that.\You sure it's not him you're thinking about?\I-It's not! It's not like that!\Don't just stand there, people! Are you training or aren't you?!\Y-Yes, sir!\We plan to be able to lift off the day after tomorrow.\Troops whose arrival was delayed should be here by tomorrow.\Are you referring to him? response:	I wonder what the top brass are thinking?
context: You sure it's not him you're thinking about?\I-It's not! It's not like that!\Don't just stand there, people! Are you training or aren't you?!\Y-Yes, sir!\We plan to be able to lift off the day after tomorrow.\Troops whose arrival was delayed should be here by tomorrow.\Are you referring to him?\I wonder what the top brass are thinking? response:	We'll essentially be going into battle with our vitals exposed.
context: I-It's not! It's not like that!\Don't just stand there, people! Are you training or aren't you?!\Y-Yes, sir!\We plan to be able to lift off the day after tomorrow.\Troops whose arrival was delayed should be here by tomorrow.\Are you referring to him?\I wonder what the top brass are thinking?\We'll essentially be going into battle with our vitals exposed. response:	If those vitals are competent enough, it changes things.
context: Don't just stand there, people! Are you training or aren't you?!\Y-Yes, sir!\We plan to be able to lift off the day after tomorrow.\Troops whose arrival was delayed should be here by tomorrow.\Are you referring to him?\I wonder what the top brass are thinking?\We'll essentially be going into battle with our vitals exposed.\If those vitals are competent enough, it changes things. response:	They're telling us to put it to effective use.
context: Y-Yes, sir!\We plan to be able to lift off the day after tomorrow.\Troops whose arrival was delayed should be here by tomorrow.\Are you referring to him?\I wonder what the top brass are thinking?\We'll essentially be going into battle with our vitals exposed.\If those vitals are competent enough, it changes things.\They're telling us to put it to effective use. response:	Hard to believe we'll be fighting side by side again...
context: We plan to be able to lift off the day after tomorrow.\Troops whose arrival was delayed should be here by tomorrow.\Are you referring to him?\I wonder what the top brass are thinking?\We'll essentially be going into battle with our vitals exposed.\If those vitals are competent enough, it changes things.\They're telling us to put it to effective use.\Hard to believe we'll be fighting side by side again... response:	You can say that again, ma'am.
context: Troops whose arrival was delayed should be here by tomorrow.\Are you referring to him?\I wonder what the top brass are thinking?\We'll essentially be going into battle with our vitals exposed.\If those vitals are competent enough, it changes things.\They're telling us to put it to effective use.\Hard to believe we'll be fighting side by side again...\You can say that again, ma'am. response:	It's a miracle he made it back alive.
context: Are you referring to him?\I wonder what the top brass are thinking?\We'll essentially be going into battle with our vitals exposed.\If those vitals are competent enough, it changes things.\They're telling us to put it to effective use.\Hard to believe we'll be fighting side by side again...\You can say that again, ma'am.\It's a miracle he made it back alive. response:	That landing was so skillful, one would never guess we are in an uneven gravity field.
context: I wonder what the top brass are thinking?\We'll essentially be going into battle with our vitals exposed.\If those vitals are competent enough, it changes things.\They're telling us to put it to effective use.\Hard to believe we'll be fighting side by side again...\You can say that again, ma'am.\It's a miracle he made it back alive.\That landing was so skillful, one would never guess we are in an uneven gravity field. response:	Your skills have improved even more, Slaine.
context: We'll essentially be going into battle with our vitals exposed.\If those vitals are competent enough, it changes things.\They're telling us to put it to effective use.\Hard to believe we'll be fighting side by side again...\You can say that again, ma'am.\It's a miracle he made it back alive.\That landing was so skillful, one would never guess we are in an uneven gravity field.\Your skills have improved even more, Slaine. response:	Your compliment honors me, Count Saazbaum.
context: If those vitals are competent enough, it changes things.\They're telling us to put it to effective use.\Hard to believe we'll be fighting side by side again...\You can say that again, ma'am.\It's a miracle he made it back alive.\That landing was so skillful, one would never guess we are in an uneven gravity field.\Your skills have improved even more, Slaine.\Your compliment honors me, Count Saazbaum. response:	Granting you the title of knight was a wise decision.
context: They're telling us to put it to effective use.\Hard to believe we'll be fighting side by side again...\You can say that again, ma'am.\It's a miracle he made it back alive.\That landing was so skillful, one would never guess we are in an uneven gravity field.\Your skills have improved even more, Slaine.\Your compliment honors me, Count Saazbaum.\Granting you the title of knight was a wise decision. response:	How did the battle go?
context: Hard to believe we'll be fighting side by side again...\You can say that again, ma'am.\It's a miracle he made it back alive.\That landing was so skillful, one would never guess we are in an uneven gravity field.\Your skills have improved even more, Slaine.\Your compliment honors me, Count Saazbaum.\Granting you the title of knight was a wise decision.\How did the battle go? response:	I destroyed some four enemy units.
context: You can say that again, ma'am.\It's a miracle he made it back alive.\That landing was so skillful, one would never guess we are in an uneven gravity field.\Your skills have improved even more, Slaine.\Your compliment honors me, Count Saazbaum.\Granting you the title of knight was a wise decision.\How did the battle go?\I destroyed some four enemy units. response:	Quite a coup, Milord Slaine.
context: It's a miracle he made it back alive.\That landing was so skillful, one would never guess we are in an uneven gravity field.\Your skills have improved even more, Slaine.\Your compliment honors me, Count Saazbaum.\Granting you the title of knight was a wise decision.\How did the battle go?\I destroyed some four enemy units.\Quite a coup, Milord Slaine. response:	Stop that, Mr. Harklight.
context: That landing was so skillful, one would never guess we are in an uneven gravity field.\Your skills have improved even more, Slaine.\Your compliment honors me, Count Saazbaum.\Granting you the title of knight was a wise decision.\How did the battle go?\I destroyed some four enemy units.\Quite a coup, Milord Slaine.\Stop that, Mr. Harklight. response:	There's no need for milord with me.
context: Your skills have improved even more, Slaine.\Your compliment honors me, Count Saazbaum.\Granting you the title of knight was a wise decision.\How did the battle go?\I destroyed some four enemy units.\Quite a coup, Milord Slaine.\Stop that, Mr. Harklight.\There's no need for milord with me. response:	That won't do, Milord. I am your manservant.
context: Your compliment honors me, Count Saazbaum.\Granting you the title of knight was a wise decision.\How did the battle go?\I destroyed some four enemy units.\Quite a coup, Milord Slaine.\Stop that, Mr. Harklight.\There's no need for milord with me.\That won't do, Milord. I am your manservant. response:	But you're older than I am, and...
context: Granting you the title of knight was a wise decision.\How did the battle go?\I destroyed some four enemy units.\Quite a coup, Milord Slaine.\Stop that, Mr. Harklight.\There's no need for milord with me.\That won't do, Milord. I am your manservant.\But you're older than I am, and... response:	I'm a Terran.
context: How did the battle go?\I destroyed some four enemy units.\Quite a coup, Milord Slaine.\Stop that, Mr. Harklight.\There's no need for milord with me.\That won't do, Milord. I am your manservant.\But you're older than I am, and...\I'm a Terran. response:	That does not change the fact that you are a knight, Milord.
context: I destroyed some four enemy units.\Quite a coup, Milord Slaine.\Stop that, Mr. Harklight.\There's no need for milord with me.\That won't do, Milord. I am your manservant.\But you're older than I am, and...\I'm a Terran.\That does not change the fact that you are a knight, Milord. response:	And I ask that you refrain from using mister with me, Milord Slaine.
context: Quite a coup, Milord Slaine.\Stop that, Mr. Harklight.\There's no need for milord with me.\That won't do, Milord. I am your manservant.\But you're older than I am, and...\I'm a Terran.\That does not change the fact that you are a knight, Milord.\And I ask that you refrain from using mister with me, Milord Slaine. response:	Enter.
context: Stop that, Mr. Harklight.\There's no need for milord with me.\That won't do, Milord. I am your manservant.\But you're older than I am, and...\I'm a Terran.\That does not change the fact that you are a knight, Milord.\And I ask that you refrain from using mister with me, Milord Slaine.\Enter. response:	Pardon the interruption.
context: There's no need for milord with me.\That won't do, Milord. I am your manservant.\But you're older than I am, and...\I'm a Terran.\That does not change the fact that you are a knight, Milord.\And I ask that you refrain from using mister with me, Milord Slaine.\Enter.\Pardon the interruption. response:	You seem to be in good spirits,
context: That won't do, Milord. I am your manservant.\But you're older than I am, and...\I'm a Terran.\That does not change the fact that you are a knight, Milord.\And I ask that you refrain from using mister with me, Milord Slaine.\Enter.\Pardon the interruption.\You seem to be in good spirits, response:	Princess Lemrina.
context: But you're older than I am, and...\I'm a Terran.\That does not change the fact that you are a knight, Milord.\And I ask that you refrain from using mister with me, Milord Slaine.\Enter.\Pardon the interruption.\You seem to be in good spirits,\Princess Lemrina. response:	I am weary, Count Saazbaum.
context: I'm a Terran.\That does not change the fact that you are a knight, Milord.\And I ask that you refrain from using mister with me, Milord Slaine.\Enter.\Pardon the interruption.\You seem to be in good spirits,\Princess Lemrina.\I am weary, Count Saazbaum. response:	How fares the world?
context: That does not change the fact that you are a knight, Milord.\And I ask that you refrain from using mister with me, Milord Slaine.\Enter.\Pardon the interruption.\You seem to be in good spirits,\Princess Lemrina.\I am weary, Count Saazbaum.\How fares the world? response:	The invasions of North and South America are complete,
context: And I ask that you refrain from using mister with me, Milord Slaine.\Enter.\Pardon the interruption.\You seem to be in good spirits,\Princess Lemrina.\I am weary, Count Saazbaum.\How fares the world?\The invasions of North and South America are complete, response:	and their takeover is underway.
context: Enter.\Pardon the interruption.\You seem to be in good spirits,\Princess Lemrina.\I am weary, Count Saazbaum.\How fares the world?\The invasions of North and South America are complete,\and their takeover is underway. response:	As for Eurasia and the Far East, UEF counterattacks continue
context: Pardon the interruption.\You seem to be in good spirits,\Princess Lemrina.\I am weary, Count Saazbaum.\How fares the world?\The invasions of North and South America are complete,\and their takeover is underway.\As for Eurasia and the Far East, UEF counterattacks continue response:	due to the surrender of the Landing Castles there.
context: You seem to be in good spirits,\Princess Lemrina.\I am weary, Count Saazbaum.\How fares the world?\The invasions of North and South America are complete,\and their takeover is underway.\As for Eurasia and the Far East, UEF counterattacks continue\due to the surrender of the Landing Castles there. response:	Will I be able to go down to Earth?
context: Princess Lemrina.\I am weary, Count Saazbaum.\How fares the world?\The invasions of North and South America are complete,\and their takeover is underway.\As for Eurasia and the Far East, UEF counterattacks continue\due to the surrender of the Landing Castles there.\Will I be able to go down to Earth? response:	We expect the UE to be exhausted soon.
context: I am weary, Count Saazbaum.\How fares the world?\The invasions of North and South America are complete,\and their takeover is underway.\As for Eurasia and the Far East, UEF counterattacks continue\due to the surrender of the Landing Castles there.\Will I be able to go down to Earth?\We expect the UE to be exhausted soon. response:	When that happens, you, who inherit the bloodline
context: How fares the world?\The invasions of North and South America are complete,\and their takeover is underway.\As for Eurasia and the Far East, UEF counterattacks continue\due to the surrender of the Landing Castles there.\Will I be able to go down to Earth?\We expect the UE to be exhausted soon.\When that happens, you, who inherit the bloodline response:	of the Emperor of Vers, will be installed as
context: The invasions of North and South America are complete,\and their takeover is underway.\As for Eurasia and the Far East, UEF counterattacks continue\due to the surrender of the Landing Castles there.\Will I be able to go down to Earth?\We expect the UE to be exhausted soon.\When that happens, you, who inherit the bloodline\of the Emperor of Vers, will be installed as response:	Do not say that!
context: and their takeover is underway.\As for Eurasia and the Far East, UEF counterattacks continue\due to the surrender of the Landing Castles there.\Will I be able to go down to Earth?\We expect the UE to be exhausted soon.\When that happens, you, who inherit the bloodline\of the Emperor of Vers, will be installed as\Do not say that! response:	Highness.
context: As for Eurasia and the Far East, UEF counterattacks continue\due to the surrender of the Landing Castles there.\Will I be able to go down to Earth?\We expect the UE to be exhausted soon.\When that happens, you, who inherit the bloodline\of the Emperor of Vers, will be installed as\Do not say that!\Highness. response:	Princess Lemrina.
context: due to the surrender of the Landing Castles there.\Will I be able to go down to Earth?\We expect the UE to be exhausted soon.\When that happens, you, who inherit the bloodline\of the Emperor of Vers, will be installed as\Do not say that!\Highness.\Princess Lemrina. response:	I have never been pleased with the blood flowing in my veins.
