context: Fairy Tail has been completely absorbed by the hyperspace magic Anima, response:	which was used by an alternate world Edolas
context: where they meet the members of the Edolas Fairy Tail.\Plus, Edolas's Erza is a captain in the Royal Army,\but is also known by the title Fairy Hunter Erza.\This is Edolas's Fairy Tail.\So, what again?\You came from another world called Earthland, then...\And you came to Edolas in order to rescue your friends?\Right. response:	And there's a Fairy Tail in that world, too?
context: Plus, Edolas's Erza is a captain in the Royal Army,\but is also known by the title Fairy Hunter Erza.\This is Edolas's Fairy Tail.\So, what again?\You came from another world called Earthland, then...\And you came to Edolas in order to rescue your friends?\Right.\And there's a Fairy Tail in that world, too? response:	And Erza is on your side over there?
context: but is also known by the title Fairy Hunter Erza.\This is Edolas's Fairy Tail.\So, what again?\You came from another world called Earthland, then...\And you came to Edolas in order to rescue your friends?\Right.\And there's a Fairy Tail in that world, too?\And Erza is on your side over there? response:	Basically, yes.
context: This is Edolas's Fairy Tail.\So, what again?\You came from another world called Earthland, then...\And you came to Edolas in order to rescue your friends?\Right.\And there's a Fairy Tail in that world, too?\And Erza is on your side over there?\Basically, yes. response:	Aye.
context: So, what again?\You came from another world called Earthland, then...\And you came to Edolas in order to rescue your friends?\Right.\And there's a Fairy Tail in that world, too?\And Erza is on your side over there?\Basically, yes.\Aye. response:	That's not so easy to swallow.
context: You came from another world called Earthland, then...\And you came to Edolas in order to rescue your friends?\Right.\And there's a Fairy Tail in that world, too?\And Erza is on your side over there?\Basically, yes.\Aye.\That's not so easy to swallow. response:	But it's true that this Natsu isn't the Natsu we know.
context: And you came to Edolas in order to rescue your friends?\Right.\And there's a Fairy Tail in that world, too?\And Erza is on your side over there?\Basically, yes.\Aye.\That's not so easy to swallow.\But it's true that this Natsu isn't the Natsu we know. response:	The only thing they have in common is the way they look.
context: Right.\And there's a Fairy Tail in that world, too?\And Erza is on your side over there?\Basically, yes.\Aye.\That's not so easy to swallow.\But it's true that this Natsu isn't the Natsu we know.\The only thing they have in common is the way they look. response:	You can say that again.
context: And there's a Fairy Tail in that world, too?\And Erza is on your side over there?\Basically, yes.\Aye.\That's not so easy to swallow.\But it's true that this Natsu isn't the Natsu we know.\The only thing they have in common is the way they look.\You can say that again. response:	Key of Hope.
context: And Erza is on your side over there?\Basically, yes.\Aye.\That's not so easy to swallow.\But it's true that this Natsu isn't the Natsu we know.\The only thing they have in common is the way they look.\You can say that again.\Key of Hope. response:	This girl is who I am in that other world?
context: Basically, yes.\Aye.\That's not so easy to swallow.\But it's true that this Natsu isn't the Natsu we know.\The only thing they have in common is the way they look.\You can say that again.\Key of Hope.\This girl is who I am in that other world? response:	Hello...
context: Aye.\That's not so easy to swallow.\But it's true that this Natsu isn't the Natsu we know.\The only thing they have in common is the way they look.\You can say that again.\Key of Hope.\This girl is who I am in that other world?\Hello... response:	You're all tiny, Wendy!
context: That's not so easy to swallow.\But it's true that this Natsu isn't the Natsu we know.\The only thing they have in common is the way they look.\You can say that again.\Key of Hope.\This girl is who I am in that other world?\Hello...\You're all tiny, Wendy! response:	Anyway, we'd like you to tell us how to get to the Royal City.
context: But it's true that this Natsu isn't the Natsu we know.\The only thing they have in common is the way they look.\You can say that again.\Key of Hope.\This girl is who I am in that other world?\Hello...\You're all tiny, Wendy!\Anyway, we'd like you to tell us how to get to the Royal City. response:	Our friends have been sucked up by this world's king!
context: The only thing they have in common is the way they look.\You can say that again.\Key of Hope.\This girl is who I am in that other world?\Hello...\You're all tiny, Wendy!\Anyway, we'd like you to tell us how to get to the Royal City.\Our friends have been sucked up by this world's king! response:	If we don't rescue them soon, everyone will be converted into magic power...
context: You can say that again.\Key of Hope.\This girl is who I am in that other world?\Hello...\You're all tiny, Wendy!\Anyway, we'd like you to tell us how to get to the Royal City.\Our friends have been sucked up by this world's king!\If we don't rescue them soon, everyone will be converted into magic power... response:	They'll be gone forever!
context: Key of Hope.\This girl is who I am in that other world?\Hello...\You're all tiny, Wendy!\Anyway, we'd like you to tell us how to get to the Royal City.\Our friends have been sucked up by this world's king!\If we don't rescue them soon, everyone will be converted into magic power...\They'll be gone forever! response:	Sorry to tell you, li'l me, but you'd be better off stopping now.
context: This girl is who I am in that other world?\Hello...\You're all tiny, Wendy!\Anyway, we'd like you to tell us how to get to the Royal City.\Our friends have been sucked up by this world's king!\If we don't rescue them soon, everyone will be converted into magic power...\They'll be gone forever!\Sorry to tell you, li'l me, but you'd be better off stopping now. response:	Go against Edolas's king, and you forfeit your lives.
context: Hello...\You're all tiny, Wendy!\Anyway, we'd like you to tell us how to get to the Royal City.\Our friends have been sucked up by this world's king!\If we don't rescue them soon, everyone will be converted into magic power...\They'll be gone forever!\Sorry to tell you, li'l me, but you'd be better off stopping now.\Go against Edolas's king, and you forfeit your lives. response:	That's just how powerful the kingdom is.
context: You're all tiny, Wendy!\Anyway, we'd like you to tell us how to get to the Royal City.\Our friends have been sucked up by this world's king!\If we don't rescue them soon, everyone will be converted into magic power...\They'll be gone forever!\Sorry to tell you, li'l me, but you'd be better off stopping now.\Go against Edolas's king, and you forfeit your lives.\That's just how powerful the kingdom is. response:	Magic power is limited in this world. It's not infinite.
context: Anyway, we'd like you to tell us how to get to the Royal City.\Our friends have been sucked up by this world's king!\If we don't rescue them soon, everyone will be converted into magic power...\They'll be gone forever!\Sorry to tell you, li'l me, but you'd be better off stopping now.\Go against Edolas's king, and you forfeit your lives.\That's just how powerful the kingdom is.\Magic power is limited in this world. It's not infinite. response:	To put it another way, it'll be used up eventually.
context: Our friends have been sucked up by this world's king!\If we don't rescue them soon, everyone will be converted into magic power...\They'll be gone forever!\Sorry to tell you, li'l me, but you'd be better off stopping now.\Go against Edolas's king, and you forfeit your lives.\That's just how powerful the kingdom is.\Magic power is limited in this world. It's not infinite.\To put it another way, it'll be used up eventually. response:	Fearing that, the King of Edolas tried to monopolize all magic.
context: If we don't rescue them soon, everyone will be converted into magic power...\They'll be gone forever!\Sorry to tell you, li'l me, but you'd be better off stopping now.\Go against Edolas's king, and you forfeit your lives.\That's just how powerful the kingdom is.\Magic power is limited in this world. It's not infinite.\To put it another way, it'll be used up eventually.\Fearing that, the King of Edolas tried to monopolize all magic. response:	Isn't that right, Juvia-chan?
context: They'll be gone forever!\Sorry to tell you, li'l me, but you'd be better off stopping now.\Go against Edolas's king, and you forfeit your lives.\That's just how powerful the kingdom is.\Magic power is limited in this world. It's not infinite.\To put it another way, it'll be used up eventually.\Fearing that, the King of Edolas tried to monopolize all magic.\Isn't that right, Juvia-chan? response:	Due to that, all Wizard Guilds were ordered to disband.
context: Sorry to tell you, li'l me, but you'd be better off stopping now.\Go against Edolas's king, and you forfeit your lives.\That's just how powerful the kingdom is.\Magic power is limited in this world. It's not infinite.\To put it another way, it'll be used up eventually.\Fearing that, the King of Edolas tried to monopolize all magic.\Isn't that right, Juvia-chan?\Due to that, all Wizard Guilds were ordered to disband. response:	Everyone resisted at first.
context: Go against Edolas's king, and you forfeit your lives.\That's just how powerful the kingdom is.\Magic power is limited in this world. It's not infinite.\To put it another way, it'll be used up eventually.\Fearing that, the King of Edolas tried to monopolize all magic.\Isn't that right, Juvia-chan?\Due to that, all Wizard Guilds were ordered to disband.\Everyone resisted at first. response:	But one after another were crushed before the might of the Royal Army's magic regiments.
context: That's just how powerful the kingdom is.\Magic power is limited in this world. It's not infinite.\To put it another way, it'll be used up eventually.\Fearing that, the King of Edolas tried to monopolize all magic.\Isn't that right, Juvia-chan?\Due to that, all Wizard Guilds were ordered to disband.\Everyone resisted at first.\But one after another were crushed before the might of the Royal Army's magic regiments. response:	This is the only guild that is left.
context: Magic power is limited in this world. It's not infinite.\To put it another way, it'll be used up eventually.\Fearing that, the King of Edolas tried to monopolize all magic.\Isn't that right, Juvia-chan?\Due to that, all Wizard Guilds were ordered to disband.\Everyone resisted at first.\But one after another were crushed before the might of the Royal Army's magic regiments.\This is the only guild that is left. response:	And of course, we haven't been spared casualties.
context: To put it another way, it'll be used up eventually.\Fearing that, the King of Edolas tried to monopolize all magic.\Isn't that right, Juvia-chan?\Due to that, all Wizard Guilds were ordered to disband.\Everyone resisted at first.\But one after another were crushed before the might of the Royal Army's magic regiments.\This is the only guild that is left.\And of course, we haven't been spared casualties. response:	We've lost almost half our members.
context: Fearing that, the King of Edolas tried to monopolize all magic.\Isn't that right, Juvia-chan?\Due to that, all Wizard Guilds were ordered to disband.\Everyone resisted at first.\But one after another were crushed before the might of the Royal Army's magic regiments.\This is the only guild that is left.\And of course, we haven't been spared casualties.\We've lost almost half our members. response:	The master, as well...
context: Isn't that right, Juvia-chan?\Due to that, all Wizard Guilds were ordered to disband.\Everyone resisted at first.\But one after another were crushed before the might of the Royal Army's magic regiments.\This is the only guild that is left.\And of course, we haven't been spared casualties.\We've lost almost half our members.\The master, as well... response:	Damn it all...
context: Due to that, all Wizard Guilds were ordered to disband.\Everyone resisted at first.\But one after another were crushed before the might of the Royal Army's magic regiments.\This is the only guild that is left.\And of course, we haven't been spared casualties.\We've lost almost half our members.\The master, as well...\Damn it all... response:	It takes all we got just to keep one step ahead of them!
context: Everyone resisted at first.\But one after another were crushed before the might of the Royal Army's magic regiments.\This is the only guild that is left.\And of course, we haven't been spared casualties.\We've lost almost half our members.\The master, as well...\Damn it all...\It takes all we got just to keep one step ahead of them! response:	So you should stay away.
context: But one after another were crushed before the might of the Royal Army's magic regiments.\This is the only guild that is left.\And of course, we haven't been spared casualties.\We've lost almost half our members.\The master, as well...\Damn it all...\It takes all we got just to keep one step ahead of them!\So you should stay away. response:	Go back to your world.
context: This is the only guild that is left.\And of course, we haven't been spared casualties.\We've lost almost half our members.\The master, as well...\Damn it all...\It takes all we got just to keep one step ahead of them!\So you should stay away.\Go back to your world. response:	Please. Tell us the way.
context: And of course, we haven't been spared casualties.\We've lost almost half our members.\The master, as well...\Damn it all...\It takes all we got just to keep one step ahead of them!\So you should stay away.\Go back to your world.\Please. Tell us the way. response:	I will save my friends.
context: We've lost almost half our members.\The master, as well...\Damn it all...\It takes all we got just to keep one step ahead of them!\So you should stay away.\Go back to your world.\Please. Tell us the way.\I will save my friends. response:	No matter what.
context: The master, as well...\Damn it all...\It takes all we got just to keep one step ahead of them!\So you should stay away.\Go back to your world.\Please. Tell us the way.\I will save my friends.\No matter what. response:	This is the Royal City of Edolas.
context: Damn it all...\It takes all we got just to keep one step ahead of them!\So you should stay away.\Go back to your world.\Please. Tell us the way.\I will save my friends.\No matter what.\This is the Royal City of Edolas. response:	The United Chiefs of Staff.
context: It takes all we got just to keep one step ahead of them!\So you should stay away.\Go back to your world.\Please. Tell us the way.\I will save my friends.\No matter what.\This is the Royal City of Edolas.\The United Chiefs of Staff. response:	Whoa!
context: So you should stay away.\Go back to your world.\Please. Tell us the way.\I will save my friends.\No matter what.\This is the Royal City of Edolas.\The United Chiefs of Staff.\Whoa! response:	Whoa!
context: Go back to your world.\Please. Tell us the way.\I will save my friends.\No matter what.\This is the Royal City of Edolas.\The United Chiefs of Staff.\Whoa!\Whoa! response:	Check out that giant lacrima!
context: Please. Tell us the way.\I will save my friends.\No matter what.\This is the Royal City of Edolas.\The United Chiefs of Staff.\Whoa!\Whoa!\Check out that giant lacrima! response:	I saw when it got here, Hughes.
context: I will save my friends.\No matter what.\This is the Royal City of Edolas.\The United Chiefs of Staff.\Whoa!\Whoa!\Check out that giant lacrima!\I saw when it got here, Hughes. response:	It's quite pretty, yes.
context: No matter what.\This is the Royal City of Edolas.\The United Chiefs of Staff.\Whoa!\Whoa!\Check out that giant lacrima!\I saw when it got here, Hughes.\It's quite pretty, yes. response:	That's like tens of thousands of Earthland people's magic!
context: This is the Royal City of Edolas.\The United Chiefs of Staff.\Whoa!\Whoa!\Check out that giant lacrima!\I saw when it got here, Hughes.\It's quite pretty, yes.\That's like tens of thousands of Earthland people's magic! response:	More precisely, one should say, it's the magical power of about 100 wizards,
context: The United Chiefs of Staff.\Whoa!\Whoa!\Check out that giant lacrima!\I saw when it got here, Hughes.\It's quite pretty, yes.\That's like tens of thousands of Earthland people's magic!\More precisely, one should say, it's the magical power of about 100 wizards, response:	plus a great deal of other living things.
context: Whoa!\Whoa!\Check out that giant lacrima!\I saw when it got here, Hughes.\It's quite pretty, yes.\That's like tens of thousands of Earthland people's magic!\More precisely, one should say, it's the magical power of about 100 wizards,\plus a great deal of other living things. response:	Don't sweat the details, Sugar Boy!
context: Whoa!\Check out that giant lacrima!\I saw when it got here, Hughes.\It's quite pretty, yes.\That's like tens of thousands of Earthland people's magic!\More precisely, one should say, it's the magical power of about 100 wizards,\plus a great deal of other living things.\Don't sweat the details, Sugar Boy! response:	What I was tryin' to say, was how it was like, whoa!
context: Check out that giant lacrima!\I saw when it got here, Hughes.\It's quite pretty, yes.\That's like tens of thousands of Earthland people's magic!\More precisely, one should say, it's the magical power of about 100 wizards,\plus a great deal of other living things.\Don't sweat the details, Sugar Boy!\What I was tryin' to say, was how it was like, whoa! response:	This man is Captain of the Third Magic Regiment of the Royal Army, Hughes.
context: I saw when it got here, Hughes.\It's quite pretty, yes.\That's like tens of thousands of Earthland people's magic!\More precisely, one should say, it's the magical power of about 100 wizards,\plus a great deal of other living things.\Don't sweat the details, Sugar Boy!\What I was tryin' to say, was how it was like, whoa!\This man is Captain of the Third Magic Regiment of the Royal Army, Hughes. response:	And similarly, he is Captain of the Fourth Magic Regiment of the Royal Army, Sugar Boy.
context: It's quite pretty, yes.\That's like tens of thousands of Earthland people's magic!\More precisely, one should say, it's the magical power of about 100 wizards,\plus a great deal of other living things.\Don't sweat the details, Sugar Boy!\What I was tryin' to say, was how it was like, whoa!\This man is Captain of the Third Magic Regiment of the Royal Army, Hughes.\And similarly, he is Captain of the Fourth Magic Regiment of the Royal Army, Sugar Boy. response:	Finally, the Captain of the Second Magic Regiment of the Royal Army, Erza Knightwalker.
context: That's like tens of thousands of Earthland people's magic!\More precisely, one should say, it's the magical power of about 100 wizards,\plus a great deal of other living things.\Don't sweat the details, Sugar Boy!\What I was tryin' to say, was how it was like, whoa!\This man is Captain of the Third Magic Regiment of the Royal Army, Hughes.\And similarly, he is Captain of the Fourth Magic Regiment of the Royal Army, Sugar Boy.\Finally, the Captain of the Second Magic Regiment of the Royal Army, Erza Knightwalker. response:	Also known as Fairy Hunter Erza.
context: More precisely, one should say, it's the magical power of about 100 wizards,\plus a great deal of other living things.\Don't sweat the details, Sugar Boy!\What I was tryin' to say, was how it was like, whoa!\This man is Captain of the Third Magic Regiment of the Royal Army, Hughes.\And similarly, he is Captain of the Fourth Magic Regiment of the Royal Army, Sugar Boy.\Finally, the Captain of the Second Magic Regiment of the Royal Army, Erza Knightwalker.\Also known as Fairy Hunter Erza. response:	Listen, dudes...
context: plus a great deal of other living things.\Don't sweat the details, Sugar Boy!\What I was tryin' to say, was how it was like, whoa!\This man is Captain of the Third Magic Regiment of the Royal Army, Hughes.\And similarly, he is Captain of the Fourth Magic Regiment of the Royal Army, Sugar Boy.\Finally, the Captain of the Second Magic Regiment of the Royal Army, Erza Knightwalker.\Also known as Fairy Hunter Erza.\Listen, dudes... response:	When I say whoa, it ain't like, kinda whoa.
context: Don't sweat the details, Sugar Boy!\What I was tryin' to say, was how it was like, whoa!\This man is Captain of the Third Magic Regiment of the Royal Army, Hughes.\And similarly, he is Captain of the Fourth Magic Regiment of the Royal Army, Sugar Boy.\Finally, the Captain of the Second Magic Regiment of the Royal Army, Erza Knightwalker.\Also known as Fairy Hunter Erza.\Listen, dudes...\When I say whoa, it ain't like, kinda whoa. response:	It's like, whoa whoa.
context: What I was tryin' to say, was how it was like, whoa!\This man is Captain of the Third Magic Regiment of the Royal Army, Hughes.\And similarly, he is Captain of the Fourth Magic Regiment of the Royal Army, Sugar Boy.\Finally, the Captain of the Second Magic Regiment of the Royal Army, Erza Knightwalker.\Also known as Fairy Hunter Erza.\Listen, dudes...\When I say whoa, it ain't like, kinda whoa.\It's like, whoa whoa. response:	Whoa, indeed.
context: This man is Captain of the Third Magic Regiment of the Royal Army, Hughes.\And similarly, he is Captain of the Fourth Magic Regiment of the Royal Army, Sugar Boy.\Finally, the Captain of the Second Magic Regiment of the Royal Army, Erza Knightwalker.\Also known as Fairy Hunter Erza.\Listen, dudes...\When I say whoa, it ain't like, kinda whoa.\It's like, whoa whoa.\Whoa, indeed. response:	Mizz Erza, have you not yet done in Fairy Tail?
context: And similarly, he is Captain of the Fourth Magic Regiment of the Royal Army, Sugar Boy.\Finally, the Captain of the Second Magic Regiment of the Royal Army, Erza Knightwalker.\Also known as Fairy Hunter Erza.\Listen, dudes...\When I say whoa, it ain't like, kinda whoa.\It's like, whoa whoa.\Whoa, indeed.\Mizz Erza, have you not yet done in Fairy Tail? response:	Byro!
context: Finally, the Captain of the Second Magic Regiment of the Royal Army, Erza Knightwalker.\Also known as Fairy Hunter Erza.\Listen, dudes...\When I say whoa, it ain't like, kinda whoa.\It's like, whoa whoa.\Whoa, indeed.\Mizz Erza, have you not yet done in Fairy Tail?\Byro! response:	You're starting to give the designation Fairy Hunter a bad name...
context: Also known as Fairy Hunter Erza.\Listen, dudes...\When I say whoa, it ain't like, kinda whoa.\It's like, whoa whoa.\Whoa, indeed.\Mizz Erza, have you not yet done in Fairy Tail?\Byro!\You're starting to give the designation Fairy Hunter a bad name... response:	This man is the Chief of Staff of the Royal Army, Byro.
context: Listen, dudes...\When I say whoa, it ain't like, kinda whoa.\It's like, whoa whoa.\Whoa, indeed.\Mizz Erza, have you not yet done in Fairy Tail?\Byro!\You're starting to give the designation Fairy Hunter a bad name...\This man is the Chief of Staff of the Royal Army, Byro. response:	The only guild left iz now Fairy Tail.
context: When I say whoa, it ain't like, kinda whoa.\It's like, whoa whoa.\Whoa, indeed.\Mizz Erza, have you not yet done in Fairy Tail?\Byro!\You're starting to give the designation Fairy Hunter a bad name...\This man is the Chief of Staff of the Royal Army, Byro.\The only guild left iz now Fairy Tail. response:	Well, they are the guild that runz the fastest.
context: It's like, whoa whoa.\Whoa, indeed.\Mizz Erza, have you not yet done in Fairy Tail?\Byro!\You're starting to give the designation Fairy Hunter a bad name...\This man is the Chief of Staff of the Royal Army, Byro.\The only guild left iz now Fairy Tail.\Well, they are the guild that runz the fastest. response:	But our highnezz will be expecting results soon.
context: Whoa, indeed.\Mizz Erza, have you not yet done in Fairy Tail?\Byro!\You're starting to give the designation Fairy Hunter a bad name...\This man is the Chief of Staff of the Royal Army, Byro.\The only guild left iz now Fairy Tail.\Well, they are the guild that runz the fastest.\But our highnezz will be expecting results soon. response:	Don't be hasty. The day our goddess catches her Fairy prey will come soon.
context: Mizz Erza, have you not yet done in Fairy Tail?\Byro!\You're starting to give the designation Fairy Hunter a bad name...\This man is the Chief of Staff of the Royal Army, Byro.\The only guild left iz now Fairy Tail.\Well, they are the guild that runz the fastest.\But our highnezz will be expecting results soon.\Don't be hasty. The day our goddess catches her Fairy prey will come soon. response:	That's right!
context: Byro!\You're starting to give the designation Fairy Hunter a bad name...\This man is the Chief of Staff of the Royal Army, Byro.\The only guild left iz now Fairy Tail.\Well, they are the guild that runz the fastest.\But our highnezz will be expecting results soon.\Don't be hasty. The day our goddess catches her Fairy prey will come soon.\That's right! response:	Erza's sword is like, whoa, man! Whoa!
context: You're starting to give the designation Fairy Hunter a bad name...\This man is the Chief of Staff of the Royal Army, Byro.\The only guild left iz now Fairy Tail.\Well, they are the guild that runz the fastest.\But our highnezz will be expecting results soon.\Don't be hasty. The day our goddess catches her Fairy prey will come soon.\That's right!\Erza's sword is like, whoa, man! Whoa! response:	Stop laughing in that freaky manner, Byro.
context: This man is the Chief of Staff of the Royal Army, Byro.\The only guild left iz now Fairy Tail.\Well, they are the guild that runz the fastest.\But our highnezz will be expecting results soon.\Don't be hasty. The day our goddess catches her Fairy prey will come soon.\That's right!\Erza's sword is like, whoa, man! Whoa!\Stop laughing in that freaky manner, Byro. response:	Panther Lily.
context: The only guild left iz now Fairy Tail.\Well, they are the guild that runz the fastest.\But our highnezz will be expecting results soon.\Don't be hasty. The day our goddess catches her Fairy prey will come soon.\That's right!\Erza's sword is like, whoa, man! Whoa!\Stop laughing in that freaky manner, Byro.\Panther Lily. response:	I do not like those with loud mouths.
context: Well, they are the guild that runz the fastest.\But our highnezz will be expecting results soon.\Don't be hasty. The day our goddess catches her Fairy prey will come soon.\That's right!\Erza's sword is like, whoa, man! Whoa!\Stop laughing in that freaky manner, Byro.\Panther Lily.\I do not like those with loud mouths. response:	That includes you, Hughes.
context: But our highnezz will be expecting results soon.\Don't be hasty. The day our goddess catches her Fairy prey will come soon.\That's right!\Erza's sword is like, whoa, man! Whoa!\Stop laughing in that freaky manner, Byro.\Panther Lily.\I do not like those with loud mouths.\That includes you, Hughes. response:	This man is Captain of the First Magic Regiment of the Royal Army, Panther Lily.
context: Don't be hasty. The day our goddess catches her Fairy prey will come soon.\That's right!\Erza's sword is like, whoa, man! Whoa!\Stop laughing in that freaky manner, Byro.\Panther Lily.\I do not like those with loud mouths.\That includes you, Hughes.\This man is Captain of the First Magic Regiment of the Royal Army, Panther Lily. response:	What, me too?
context: That's right!\Erza's sword is like, whoa, man! Whoa!\Stop laughing in that freaky manner, Byro.\Panther Lily.\I do not like those with loud mouths.\That includes you, Hughes.\This man is Captain of the First Magic Regiment of the Royal Army, Panther Lily.\What, me too? response:	I bet you think this is more like, whoa, than any of us!
context: Erza's sword is like, whoa, man! Whoa!\Stop laughing in that freaky manner, Byro.\Panther Lily.\I do not like those with loud mouths.\That includes you, Hughes.\This man is Captain of the First Magic Regiment of the Royal Army, Panther Lily.\What, me too?\I bet you think this is more like, whoa, than any of us! response:	Shut your mouth for a bit.
context: Stop laughing in that freaky manner, Byro.\Panther Lily.\I do not like those with loud mouths.\That includes you, Hughes.\This man is Captain of the First Magic Regiment of the Royal Army, Panther Lily.\What, me too?\I bet you think this is more like, whoa, than any of us!\Shut your mouth for a bit. response:	Not in a good mood, Lily?
context: Panther Lily.\I do not like those with loud mouths.\That includes you, Hughes.\This man is Captain of the First Magic Regiment of the Royal Army, Panther Lily.\What, me too?\I bet you think this is more like, whoa, than any of us!\Shut your mouth for a bit.\Not in a good mood, Lily? response:	He doesn't seem pleased with the recent military buildup.
context: I do not like those with loud mouths.\That includes you, Hughes.\This man is Captain of the First Magic Regiment of the Royal Army, Panther Lily.\What, me too?\I bet you think this is more like, whoa, than any of us!\Shut your mouth for a bit.\Not in a good mood, Lily?\He doesn't seem pleased with the recent military buildup. response:	However, our kingdom basically encompasses the entire world.
context: That includes you, Hughes.\This man is Captain of the First Magic Regiment of the Royal Army, Panther Lily.\What, me too?\I bet you think this is more like, whoa, than any of us!\Shut your mouth for a bit.\Not in a good mood, Lily?\He doesn't seem pleased with the recent military buildup.\However, our kingdom basically encompasses the entire world. response:	It is true that there is no obvious reason for a further strengthening of the army.
context: This man is Captain of the First Magic Regiment of the Royal Army, Panther Lily.\What, me too?\I bet you think this is more like, whoa, than any of us!\Shut your mouth for a bit.\Not in a good mood, Lily?\He doesn't seem pleased with the recent military buildup.\However, our kingdom basically encompasses the entire world.\It is true that there is no obvious reason for a further strengthening of the army. response:	Isn't it because there are still a few pockets of resistance?
context: What, me too?\I bet you think this is more like, whoa, than any of us!\Shut your mouth for a bit.\Not in a good mood, Lily?\He doesn't seem pleased with the recent military buildup.\However, our kingdom basically encompasses the entire world.\It is true that there is no obvious reason for a further strengthening of the army.\Isn't it because there are still a few pockets of resistance? response:	If that were it, we alone would easily suffice.
context: I bet you think this is more like, whoa, than any of us!\Shut your mouth for a bit.\Not in a good mood, Lily?\He doesn't seem pleased with the recent military buildup.\However, our kingdom basically encompasses the entire world.\It is true that there is no obvious reason for a further strengthening of the army.\Isn't it because there are still a few pockets of resistance?\If that were it, we alone would easily suffice. response:	I don't get it!
context: Shut your mouth for a bit.\Not in a good mood, Lily?\He doesn't seem pleased with the recent military buildup.\However, our kingdom basically encompasses the entire world.\It is true that there is no obvious reason for a further strengthening of the army.\Isn't it because there are still a few pockets of resistance?\If that were it, we alone would easily suffice.\I don't get it! response:	Whoa man, this is all so like, complicated...
context: Not in a good mood, Lily?\He doesn't seem pleased with the recent military buildup.\However, our kingdom basically encompasses the entire world.\It is true that there is no obvious reason for a further strengthening of the army.\Isn't it because there are still a few pockets of resistance?\If that were it, we alone would easily suffice.\I don't get it!\Whoa man, this is all so like, complicated... response:	I don't get it!
context: He doesn't seem pleased with the recent military buildup.\However, our kingdom basically encompasses the entire world.\It is true that there is no obvious reason for a further strengthening of the army.\Isn't it because there are still a few pockets of resistance?\If that were it, we alone would easily suffice.\I don't get it!\Whoa man, this is all so like, complicated...\I don't get it! response:	Your highness!
