context: Madam Manager! Madam Manager! response:	I'll call the young master!
context: The train stationed at\platform 9 headed for Morita will be\leaving soon at 14:15.\Sorry for interrupting while you're all having a great time,\but I'd like for you all\to check out a performance by the\newlywed wife's friends!\Here we go! response:	Huh?
context: platform 9 headed for Morita will be\leaving soon at 14:15.\Sorry for interrupting while you're all having a great time,\but I'd like for you all\to check out a performance by the\newlywed wife's friends!\Here we go!\Huh? response:	I don't see him.
context: leaving soon at 14:15.\Sorry for interrupting while you're all having a great time,\but I'd like for you all\to check out a performance by the\newlywed wife's friends!\Here we go!\Huh?\I don't see him. response:	Sorry about that!
context: Sorry for interrupting while you're all having a great time,\but I'd like for you all\to check out a performance by the\newlywed wife's friends!\Here we go!\Huh?\I don't see him.\Sorry about that! response:	Tohru?
context: but I'd like for you all\to check out a performance by the\newlywed wife's friends!\Here we go!\Huh?\I don't see him.\Sorry about that!\Tohru? response:	Umm...
context: to check out a performance by the\newlywed wife's friends!\Here we go!\Huh?\I don't see him.\Sorry about that!\Tohru?\Umm... response:	He's about this tall,
context: newlywed wife's friends!\Here we go!\Huh?\I don't see him.\Sorry about that!\Tohru?\Umm...\He's about this tall, response:	and his hair is kind of messy!
context: Here we go!\Huh?\I don't see him.\Sorry about that!\Tohru?\Umm...\He's about this tall,\and his hair is kind of messy! response:	Well, maybe it isn't today!
context: Huh?\I don't see him.\Sorry about that!\Tohru?\Umm...\He's about this tall,\and his hair is kind of messy!\Well, maybe it isn't today! response:	Umm, please let me look at the attendance list?
context: I don't see him.\Sorry about that!\Tohru?\Umm...\He's about this tall,\and his hair is kind of messy!\Well, maybe it isn't today!\Umm, please let me look at the attendance list? response:	We can't really...
context: Sorry about that!\Tohru?\Umm...\He's about this tall,\and his hair is kind of messy!\Well, maybe it isn't today!\Umm, please let me look at the attendance list?\We can't really... response:	Sorry to bother you.
context: Tohru?\Umm...\He's about this tall,\and his hair is kind of messy!\Well, maybe it isn't today!\Umm, please let me look at the attendance list?\We can't really...\Sorry to bother you. response:	Oww...
context: Umm...\He's about this tall,\and his hair is kind of messy!\Well, maybe it isn't today!\Umm, please let me look at the attendance list?\We can't really...\Sorry to bother you.\Oww... response:	Nako.
context: He's about this tall,\and his hair is kind of messy!\Well, maybe it isn't today!\Umm, please let me look at the attendance list?\We can't really...\Sorry to bother you.\Oww...\Nako. response:	Did you bring tea snacks for
context: and his hair is kind of messy!\Well, maybe it isn't today!\Umm, please let me look at the attendance list?\We can't really...\Sorry to bother you.\Oww...\Nako.\Did you bring tea snacks for response:	the customers in the Camellia Room?
context: Well, maybe it isn't today!\Umm, please let me look at the attendance list?\We can't really...\Sorry to bother you.\Oww...\Nako.\Did you bring tea snacks for\the customers in the Camellia Room? response:	No, not yet.
context: Umm, please let me look at the attendance list?\We can't really...\Sorry to bother you.\Oww...\Nako.\Did you bring tea snacks for\the customers in the Camellia Room?\No, not yet. response:	Sorry.
context: We can't really...\Sorry to bother you.\Oww...\Nako.\Did you bring tea snacks for\the customers in the Camellia Room?\No, not yet.\Sorry. response:	Excuse me...
context: Sorry to bother you.\Oww...\Nako.\Did you bring tea snacks for\the customers in the Camellia Room?\No, not yet.\Sorry.\Excuse me... response:	Yes?
context: Oww...\Nako.\Did you bring tea snacks for\the customers in the Camellia Room?\No, not yet.\Sorry.\Excuse me...\Yes? response:	I believe I asked earlier for a yukata with a larger size.
context: Nako.\Did you bring tea snacks for\the customers in the Camellia Room?\No, not yet.\Sorry.\Excuse me...\Yes?\I believe I asked earlier for a yukata with a larger size. response:	I'm so sorry!
context: Did you bring tea snacks for\the customers in the Camellia Room?\No, not yet.\Sorry.\Excuse me...\Yes?\I believe I asked earlier for a yukata with a larger size.\I'm so sorry! response:	I'll be with you right away!
context: the customers in the Camellia Room?\No, not yet.\Sorry.\Excuse me...\Yes?\I believe I asked earlier for a yukata with a larger size.\I'm so sorry!\I'll be with you right away! response:	Thanks.
context: No, not yet.\Sorry.\Excuse me...\Yes?\I believe I asked earlier for a yukata with a larger size.\I'm so sorry!\I'll be with you right away!\Thanks. response:	Yes, of course!
context: Sorry.\Excuse me...\Yes?\I believe I asked earlier for a yukata with a larger size.\I'm so sorry!\I'll be with you right away!\Thanks.\Yes, of course! response:	Please get the tea snacks now.
context: Excuse me...\Yes?\I believe I asked earlier for a yukata with a larger size.\I'm so sorry!\I'll be with you right away!\Thanks.\Yes, of course!\Please get the tea snacks now. response:	O-Okay!
context: Yes?\I believe I asked earlier for a yukata with a larger size.\I'm so sorry!\I'll be with you right away!\Thanks.\Yes, of course!\Please get the tea snacks now.\O-Okay! response:	Hello?
context: I believe I asked earlier for a yukata with a larger size.\I'm so sorry!\I'll be with you right away!\Thanks.\Yes, of course!\Please get the tea snacks now.\O-Okay!\Hello? response:	Ohana?
context: I'm so sorry!\I'll be with you right away!\Thanks.\Yes, of course!\Please get the tea snacks now.\O-Okay!\Hello?\Ohana? response:	About Tohru?
context: I'll be with you right away!\Thanks.\Yes, of course!\Please get the tea snacks now.\O-Okay!\Hello?\Ohana?\About Tohru? response:	Yes, she asked if someone had any information,
context: Thanks.\Yes, of course!\Please get the tea snacks now.\O-Okay!\Hello?\Ohana?\About Tohru?\Yes, she asked if someone had any information, response:	like which room the ceremony is in.
context: Yes, of course!\Please get the tea snacks now.\O-Okay!\Hello?\Ohana?\About Tohru?\Yes, she asked if someone had any information,\like which room the ceremony is in. response:	I have no idea...
context: Please get the tea snacks now.\O-Okay!\Hello?\Ohana?\About Tohru?\Yes, she asked if someone had any information,\like which room the ceremony is in.\I have no idea... response:	I remember him saying it was his old classmate's wedding.
context: O-Okay!\Hello?\Ohana?\About Tohru?\Yes, she asked if someone had any information,\like which room the ceremony is in.\I have no idea...\I remember him saying it was his old classmate's wedding. response:	That's it.
context: Hello?\Ohana?\About Tohru?\Yes, she asked if someone had any information,\like which room the ceremony is in.\I have no idea...\I remember him saying it was his old classmate's wedding.\That's it. response:	Figured as much.
context: Ohana?\About Tohru?\Yes, she asked if someone had any information,\like which room the ceremony is in.\I have no idea...\I remember him saying it was his old classmate's wedding.\That's it.\Figured as much. response:	Sorry, and thanks, Minchi.
context: About Tohru?\Yes, she asked if someone had any information,\like which room the ceremony is in.\I have no idea...\I remember him saying it was his old classmate's wedding.\That's it.\Figured as much.\Sorry, and thanks, Minchi. response:	Mr. Ren, I've finished cutting up the vegetables!
context: Yes, she asked if someone had any information,\like which room the ceremony is in.\I have no idea...\I remember him saying it was his old classmate's wedding.\That's it.\Figured as much.\Sorry, and thanks, Minchi.\Mr. Ren, I've finished cutting up the vegetables! response:	R-Right!
context: like which room the ceremony is in.\I have no idea...\I remember him saying it was his old classmate's wedding.\That's it.\Figured as much.\Sorry, and thanks, Minchi.\Mr. Ren, I've finished cutting up the vegetables!\R-Right! response:	Hello? Ohana?
context: I have no idea...\I remember him saying it was his old classmate's wedding.\That's it.\Figured as much.\Sorry, and thanks, Minchi.\Mr. Ren, I've finished cutting up the vegetables!\R-Right!\Hello? Ohana? response:	Sorry, we only know that the wedding is his old classmate's.
context: I remember him saying it was his old classmate's wedding.\That's it.\Figured as much.\Sorry, and thanks, Minchi.\Mr. Ren, I've finished cutting up the vegetables!\R-Right!\Hello? Ohana?\Sorry, we only know that the wedding is his old classmate's. response:	What do I do...
context: That's it.\Figured as much.\Sorry, and thanks, Minchi.\Mr. Ren, I've finished cutting up the vegetables!\R-Right!\Hello? Ohana?\Sorry, we only know that the wedding is his old classmate's.\What do I do... response:	There's no way I'll find him at this rate...
context: Figured as much.\Sorry, and thanks, Minchi.\Mr. Ren, I've finished cutting up the vegetables!\R-Right!\Hello? Ohana?\Sorry, we only know that the wedding is his old classmate's.\What do I do...\There's no way I'll find him at this rate... response:	K-K-Ko-
context: Sorry, and thanks, Minchi.\Mr. Ren, I've finished cutting up the vegetables!\R-Right!\Hello? Ohana?\Sorry, we only know that the wedding is his old classmate's.\What do I do...\There's no way I'll find him at this rate...\K-K-Ko- response:	Ohana?
context: Mr. Ren, I've finished cutting up the vegetables!\R-Right!\Hello? Ohana?\Sorry, we only know that the wedding is his old classmate's.\What do I do...\There's no way I'll find him at this rate...\K-K-Ko-\Ohana? response:	Y-Yeah.
context: R-Right!\Hello? Ohana?\Sorry, we only know that the wedding is his old classmate's.\What do I do...\There's no way I'll find him at this rate...\K-K-Ko-\Ohana?\Y-Yeah. response:	Umm, sorry I wasn't able to answer your calls.
context: Hello? Ohana?\Sorry, we only know that the wedding is his old classmate's.\What do I do...\There's no way I'll find him at this rate...\K-K-Ko-\Ohana?\Y-Yeah.\Umm, sorry I wasn't able to answer your calls. response:	Don't worry about it.
context: Sorry, we only know that the wedding is his old classmate's.\What do I do...\There's no way I'll find him at this rate...\K-K-Ko-\Ohana?\Y-Yeah.\Umm, sorry I wasn't able to answer your calls.\Don't worry about it. response:	You seemed to be busy.
context: What do I do...\There's no way I'll find him at this rate...\K-K-Ko-\Ohana?\Y-Yeah.\Umm, sorry I wasn't able to answer your calls.\Don't worry about it.\You seemed to be busy. response:	Is everything all right?
context: There's no way I'll find him at this rate...\K-K-Ko-\Ohana?\Y-Yeah.\Umm, sorry I wasn't able to answer your calls.\Don't worry about it.\You seemed to be busy.\Is everything all right? response:	Y-Yeah, I'm ok...
context: K-K-Ko-\Ohana?\Y-Yeah.\Umm, sorry I wasn't able to answer your calls.\Don't worry about it.\You seemed to be busy.\Is everything all right?\Y-Yeah, I'm ok... response:	I mean, not really.
context: Ohana?\Y-Yeah.\Umm, sorry I wasn't able to answer your calls.\Don't worry about it.\You seemed to be busy.\Is everything all right?\Y-Yeah, I'm ok...\I mean, not really. response:	Huh?
context: Y-Yeah.\Umm, sorry I wasn't able to answer your calls.\Don't worry about it.\You seemed to be busy.\Is everything all right?\Y-Yeah, I'm ok...\I mean, not really.\Huh? response:	So I left the inn, saying I'd find Tohru.
context: Umm, sorry I wasn't able to answer your calls.\Don't worry about it.\You seemed to be busy.\Is everything all right?\Y-Yeah, I'm ok...\I mean, not really.\Huh?\So I left the inn, saying I'd find Tohru. response:	I'm such an idiot.
context: Don't worry about it.\You seemed to be busy.\Is everything all right?\Y-Yeah, I'm ok...\I mean, not really.\Huh?\So I left the inn, saying I'd find Tohru.\I'm such an idiot. response:	I didn't even have a plan.
context: You seemed to be busy.\Is everything all right?\Y-Yeah, I'm ok...\I mean, not really.\Huh?\So I left the inn, saying I'd find Tohru.\I'm such an idiot.\I didn't even have a plan. response:	And even if I were to bring him back,
context: Is everything all right?\Y-Yeah, I'm ok...\I mean, not really.\Huh?\So I left the inn, saying I'd find Tohru.\I'm such an idiot.\I didn't even have a plan.\And even if I were to bring him back, response:	there's no guarantee things will go well.
context: Y-Yeah, I'm ok...\I mean, not really.\Huh?\So I left the inn, saying I'd find Tohru.\I'm such an idiot.\I didn't even have a plan.\And even if I were to bring him back,\there's no guarantee things will go well. response:	I'm sure they will.
context: I mean, not really.\Huh?\So I left the inn, saying I'd find Tohru.\I'm such an idiot.\I didn't even have a plan.\And even if I were to bring him back,\there's no guarantee things will go well.\I'm sure they will. response:	Think about it.
context: Huh?\So I left the inn, saying I'd find Tohru.\I'm such an idiot.\I didn't even have a plan.\And even if I were to bring him back,\there's no guarantee things will go well.\I'm sure they will.\Think about it. response:	Have you ever thought things out before doing them?
context: So I left the inn, saying I'd find Tohru.\I'm such an idiot.\I didn't even have a plan.\And even if I were to bring him back,\there's no guarantee things will go well.\I'm sure they will.\Think about it.\Have you ever thought things out before doing them? response:	But things have worked out till now.
context: I'm such an idiot.\I didn't even have a plan.\And even if I were to bring him back,\there's no guarantee things will go well.\I'm sure they will.\Think about it.\Have you ever thought things out before doing them?\But things have worked out till now. response:	Ohana...
context: I didn't even have a plan.\And even if I were to bring him back,\there's no guarantee things will go well.\I'm sure they will.\Think about it.\Have you ever thought things out before doing them?\But things have worked out till now.\Ohana... response:	Ohana, if you did it, believing that was the best idea,
context: And even if I were to bring him back,\there's no guarantee things will go well.\I'm sure they will.\Think about it.\Have you ever thought things out before doing them?\But things have worked out till now.\Ohana...\Ohana, if you did it, believing that was the best idea, response:	it'll definitely work out!
context: there's no guarantee things will go well.\I'm sure they will.\Think about it.\Have you ever thought things out before doing them?\But things have worked out till now.\Ohana...\Ohana, if you did it, believing that was the best idea,\it'll definitely work out! response:	That goes for anything else in the future!
context: I'm sure they will.\Think about it.\Have you ever thought things out before doing them?\But things have worked out till now.\Ohana...\Ohana, if you did it, believing that was the best idea,\it'll definitely work out!\That goes for anything else in the future! response:	Ko...
context: Think about it.\Have you ever thought things out before doing them?\But things have worked out till now.\Ohana...\Ohana, if you did it, believing that was the best idea,\it'll definitely work out!\That goes for anything else in the future!\Ko... response:	Yeah!
context: Have you ever thought things out before doing them?\But things have worked out till now.\Ohana...\Ohana, if you did it, believing that was the best idea,\it'll definitely work out!\That goes for anything else in the future!\Ko...\Yeah! response:	You're right, things will work out somehow!
context: But things have worked out till now.\Ohana...\Ohana, if you did it, believing that was the best idea,\it'll definitely work out!\That goes for anything else in the future!\Ko...\Yeah!\You're right, things will work out somehow! response:	Thanks, Ko!
context: Ohana...\Ohana, if you did it, believing that was the best idea,\it'll definitely work out!\That goes for anything else in the future!\Ko...\Yeah!\You're right, things will work out somehow!\Thanks, Ko! response:	Okay... I'm glad I was able to be of some use.
context: Ohana, if you did it, believing that was the best idea,\it'll definitely work out!\That goes for anything else in the future!\Ko...\Yeah!\You're right, things will work out somehow!\Thanks, Ko!\Okay... I'm glad I was able to be of some use. response:	You're awesome!
context: it'll definitely work out!\That goes for anything else in the future!\Ko...\Yeah!\You're right, things will work out somehow!\Thanks, Ko!\Okay... I'm glad I was able to be of some use.\You're awesome! response:	You're awesome, Ko!
context: That goes for anything else in the future!\Ko...\Yeah!\You're right, things will work out somehow!\Thanks, Ko!\Okay... I'm glad I was able to be of some use.\You're awesome!\You're awesome, Ko! response:	You called me right as I was feeling down!
context: Ko...\Yeah!\You're right, things will work out somehow!\Thanks, Ko!\Okay... I'm glad I was able to be of some use.\You're awesome!\You're awesome, Ko!\You called me right as I was feeling down! response:	Oh, sorry, did you need something?
context: Yeah!\You're right, things will work out somehow!\Thanks, Ko!\Okay... I'm glad I was able to be of some use.\You're awesome!\You're awesome, Ko!\You called me right as I was feeling down!\Oh, sorry, did you need something? response:	Well.. Not really, but...
context: You're right, things will work out somehow!\Thanks, Ko!\Okay... I'm glad I was able to be of some use.\You're awesome!\You're awesome, Ko!\You called me right as I was feeling down!\Oh, sorry, did you need something?\Well.. Not really, but... response:	Where are you now, Ohana?
context: Thanks, Ko!\Okay... I'm glad I was able to be of some use.\You're awesome!\You're awesome, Ko!\You called me right as I was feeling down!\Oh, sorry, did you need something?\Well.. Not really, but...\Where are you now, Ohana? response:	At the ceremony hall.
context: Okay... I'm glad I was able to be of some use.\You're awesome!\You're awesome, Ko!\You called me right as I was feeling down!\Oh, sorry, did you need something?\Well.. Not really, but...\Where are you now, Ohana?\At the ceremony hall. response:	Oh... right.
context: You're awesome!\You're awesome, Ko!\You called me right as I was feeling down!\Oh, sorry, did you need something?\Well.. Not really, but...\Where are you now, Ohana?\At the ceremony hall.\Oh... right. response:	And where is this ceremony hall?
context: You're awesome, Ko!\You called me right as I was feeling down!\Oh, sorry, did you need something?\Well.. Not really, but...\Where are you now, Ohana?\At the ceremony hall.\Oh... right.\And where is this ceremony hall? response:	It's out in the city.
context: You called me right as I was feeling down!\Oh, sorry, did you need something?\Well.. Not really, but...\Where are you now, Ohana?\At the ceremony hall.\Oh... right.\And where is this ceremony hall?\It's out in the city. response:	The hotels in this area are gorgeous!
context: Oh, sorry, did you need something?\Well.. Not really, but...\Where are you now, Ohana?\At the ceremony hall.\Oh... right.\And where is this ceremony hall?\It's out in the city.\The hotels in this area are gorgeous! response:	Huh?
context: Well.. Not really, but...\Where are you now, Ohana?\At the ceremony hall.\Oh... right.\And where is this ceremony hall?\It's out in the city.\The hotels in this area are gorgeous!\Huh? response:	The city?!
context: Where are you now, Ohana?\At the ceremony hall.\Oh... right.\And where is this ceremony hall?\It's out in the city.\The hotels in this area are gorgeous!\Huh?\The city?! response:	Yeah.
context: At the ceremony hall.\Oh... right.\And where is this ceremony hall?\It's out in the city.\The hotels in this area are gorgeous!\Huh?\The city?!\Yeah. response:	Wait, where are you, Ko?
context: Oh... right.\And where is this ceremony hall?\It's out in the city.\The hotels in this area are gorgeous!\Huh?\The city?!\Yeah.\Wait, where are you, Ko? response:	I hear something in the background.
context: And where is this ceremony hall?\It's out in the city.\The hotels in this area are gorgeous!\Huh?\The city?!\Yeah.\Wait, where are you, Ko?\I hear something in the background. response:	I-It's nothing...
context: It's out in the city.\The hotels in this area are gorgeous!\Huh?\The city?!\Yeah.\Wait, where are you, Ko?\I hear something in the background.\I-It's nothing... response:	It's nothing...
context: The hotels in this area are gorgeous!\Huh?\The city?!\Yeah.\Wait, where are you, Ko?\I hear something in the background.\I-It's nothing...\It's nothing... response:	Thank you so much, Ko.
context: Huh?\The city?!\Yeah.\Wait, where are you, Ko?\I hear something in the background.\I-It's nothing...\It's nothing...\Thank you so much, Ko. response:	You're always so kind to me.
context: The city?!\Yeah.\Wait, where are you, Ko?\I hear something in the background.\I-It's nothing...\It's nothing...\Thank you so much, Ko.\You're always so kind to me. response:	You always cheer me up.
context: Yeah.\Wait, where are you, Ko?\I hear something in the background.\I-It's nothing...\It's nothing...\Thank you so much, Ko.\You're always so kind to me.\You always cheer me up. response:	Even though we're so far away.
context: Wait, where are you, Ko?\I hear something in the background.\I-It's nothing...\It's nothing...\Thank you so much, Ko.\You're always so kind to me.\You always cheer me up.\Even though we're so far away. response:	Listen, I'm actually-
context: I hear something in the background.\I-It's nothing...\It's nothing...\Thank you so much, Ko.\You're always so kind to me.\You always cheer me up.\Even though we're so far away.\Listen, I'm actually- response:	I'll try my best!
context: I-It's nothing...\It's nothing...\Thank you so much, Ko.\You're always so kind to me.\You always cheer me up.\Even though we're so far away.\Listen, I'm actually-\I'll try my best! response:	I can't be acting depressed
context: It's nothing...\Thank you so much, Ko.\You're always so kind to me.\You always cheer me up.\Even though we're so far away.\Listen, I'm actually-\I'll try my best!\I can't be acting depressed response:	when you're cheering for me!
context: Thank you so much, Ko.\You're always so kind to me.\You always cheer me up.\Even though we're so far away.\Listen, I'm actually-\I'll try my best!\I can't be acting depressed\when you're cheering for me! response:	Right!
context: You're always so kind to me.\You always cheer me up.\Even though we're so far away.\Listen, I'm actually-\I'll try my best!\I can't be acting depressed\when you're cheering for me!\Right! response:	Yeah!
context: You always cheer me up.\Even though we're so far away.\Listen, I'm actually-\I'll try my best!\I can't be acting depressed\when you're cheering for me!\Right!\Yeah! response:	I'll find Tohru for sure!
context: Even though we're so far away.\Listen, I'm actually-\I'll try my best!\I can't be acting depressed\when you're cheering for me!\Right!\Yeah!\I'll find Tohru for sure! response:	I'll turn this game around!
context: Listen, I'm actually-\I'll try my best!\I can't be acting depressed\when you're cheering for me!\Right!\Yeah!\I'll find Tohru for sure!\I'll turn this game around! response:	Good luck.
context: I'll try my best!\I can't be acting depressed\when you're cheering for me!\Right!\Yeah!\I'll find Tohru for sure!\I'll turn this game around!\Good luck. response:	Win the game, for my sake, too.
context: I can't be acting depressed\when you're cheering for me!\Right!\Yeah!\I'll find Tohru for sure!\I'll turn this game around!\Good luck.\Win the game, for my sake, too. response:	What are you talking about?
context: when you're cheering for me!\Right!\Yeah!\I'll find Tohru for sure!\I'll turn this game around!\Good luck.\Win the game, for my sake, too.\What are you talking about? response:	You need to win, too, if you're in a pinch!
context: Right!\Yeah!\I'll find Tohru for sure!\I'll turn this game around!\Good luck.\Win the game, for my sake, too.\What are you talking about?\You need to win, too, if you're in a pinch! response:	Yeah, you're right.
context: Yeah!\I'll find Tohru for sure!\I'll turn this game around!\Good luck.\Win the game, for my sake, too.\What are you talking about?\You need to win, too, if you're in a pinch!\Yeah, you're right. response:	Later.
context: I'll find Tohru for sure!\I'll turn this game around!\Good luck.\Win the game, for my sake, too.\What are you talking about?\You need to win, too, if you're in a pinch!\Yeah, you're right.\Later. response:	What am I doing?
context: I'll turn this game around!\Good luck.\Win the game, for my sake, too.\What are you talking about?\You need to win, too, if you're in a pinch!\Yeah, you're right.\Later.\What am I doing? response:	Huh?
context: Good luck.\Win the game, for my sake, too.\What are you talking about?\You need to win, too, if you're in a pinch!\Yeah, you're right.\Later.\What am I doing?\Huh? response:	I get the feeling that Mr. Onodera,
context: Win the game, for my sake, too.\What are you talking about?\You need to win, too, if you're in a pinch!\Yeah, you're right.\Later.\What am I doing?\Huh?\I get the feeling that Mr. Onodera, response:	the person in the Paulownia Room you're in charge of,
context: What are you talking about?\You need to win, too, if you're in a pinch!\Yeah, you're right.\Later.\What am I doing?\Huh?\I get the feeling that Mr. Onodera,\the person in the Paulownia Room you're in charge of, response:	has been here before.
context: You need to win, too, if you're in a pinch!\Yeah, you're right.\Later.\What am I doing?\Huh?\I get the feeling that Mr. Onodera,\the person in the Paulownia Room you're in charge of,\has been here before. response:	When would that be?
context: Yeah, you're right.\Later.\What am I doing?\Huh?\I get the feeling that Mr. Onodera,\the person in the Paulownia Room you're in charge of,\has been here before.\When would that be? response:	I think two years ago.
context: Later.\What am I doing?\Huh?\I get the feeling that Mr. Onodera,\the person in the Paulownia Room you're in charge of,\has been here before.\When would that be?\I think two years ago. response:	That's before I started working here.
context: What am I doing?\Huh?\I get the feeling that Mr. Onodera,\the person in the Paulownia Room you're in charge of,\has been here before.\When would that be?\I think two years ago.\That's before I started working here. response:	What's that?
context: Huh?\I get the feeling that Mr. Onodera,\the person in the Paulownia Room you're in charge of,\has been here before.\When would that be?\I think two years ago.\That's before I started working here.\What's that? response:	Found him! Mr. Onodera!
context: I get the feeling that Mr. Onodera,\the person in the Paulownia Room you're in charge of,\has been here before.\When would that be?\I think two years ago.\That's before I started working here.\What's that?\Found him! Mr. Onodera! response:	Look!
context: the person in the Paulownia Room you're in charge of,\has been here before.\When would that be?\I think two years ago.\That's before I started working here.\What's that?\Found him! Mr. Onodera!\Look! response:	Wow, you're right!
context: has been here before.\When would that be?\I think two years ago.\That's before I started working here.\What's that?\Found him! Mr. Onodera!\Look!\Wow, you're right! response:	So, what is this notebook?
context: When would that be?\I think two years ago.\That's before I started working here.\What's that?\Found him! Mr. Onodera!\Look!\Wow, you're right!\So, what is this notebook? response:	Oh, no!
context: I think two years ago.\That's before I started working here.\What's that?\Found him! Mr. Onodera!\Look!\Wow, you're right!\So, what is this notebook?\Oh, no! response:	It's written here that their daughter doesn't like fish!
context: That's before I started working here.\What's that?\Found him! Mr. Onodera!\Look!\Wow, you're right!\So, what is this notebook?\Oh, no!\It's written here that their daughter doesn't like fish! response:	I'd better let the kitchen know!
context: What's that?\Found him! Mr. Onodera!\Look!\Wow, you're right!\So, what is this notebook?\Oh, no!\It's written here that their daughter doesn't like fish!\I'd better let the kitchen know! response:	But the notebook...
context: Found him! Mr. Onodera!\Look!\Wow, you're right!\So, what is this notebook?\Oh, no!\It's written here that their daughter doesn't like fish!\I'd better let the kitchen know!\But the notebook... response:	Do you mind telling me the age of the newlyweds?!
