context: Chance ball! response:	Left!
context: We can't get the shot that will end this.\This rally is going on forever.\Overall, Seijoh's better at everything, but...\A feint!\All right!\Asahi-san!\The setter received that?!\Now he can't toss! response:	He'll have to attack now.
context: This rally is going on forever.\Overall, Seijoh's better at everything, but...\A feint!\All right!\Asahi-san!\The setter received that?!\Now he can't toss!\He'll have to attack now. response:	Probably to the left.
context: Overall, Seijoh's better at everything, but...\A feint!\All right!\Asahi-san!\The setter received that?!\Now he can't toss!\He'll have to attack now.\Probably to the left. response:	Watacchi!
context: A feint!\All right!\Asahi-san!\The setter received that?!\Now he can't toss!\He'll have to attack now.\Probably to the left.\Watacchi! response:	Right!
context: All right!\Asahi-san!\The setter received that?!\Now he can't toss!\He'll have to attack now.\Probably to the left.\Watacchi!\Right! response:	Karasuno Aoba Johsai
context: Asahi-san!\The setter received that?!\Now he can't toss!\He'll have to attack now.\Probably to the left.\Watacchi!\Right!\Karasuno Aoba Johsai response:	All right!
context: The setter received that?!\Now he can't toss!\He'll have to attack now.\Probably to the left.\Watacchi!\Right!\Karasuno Aoba Johsai\All right! response:	I've been wondering this, but...
context: Now he can't toss!\He'll have to attack now.\Probably to the left.\Watacchi!\Right!\Karasuno Aoba Johsai\All right!\I've been wondering this, but... response:	Hm?
context: He'll have to attack now.\Probably to the left.\Watacchi!\Right!\Karasuno Aoba Johsai\All right!\I've been wondering this, but...\Hm? response:	I think Seijoh's libero
context: Probably to the left.\Watacchi!\Right!\Karasuno Aoba Johsai\All right!\I've been wondering this, but...\Hm?\I think Seijoh's libero response:	was formerly a setter.
context: Watacchi!\Right!\Karasuno Aoba Johsai\All right!\I've been wondering this, but...\Hm?\I think Seijoh's libero\was formerly a setter. response:	What do you mean?
context: Right!\Karasuno Aoba Johsai\All right!\I've been wondering this, but...\Hm?\I think Seijoh's libero\was formerly a setter.\What do you mean? response:	Thanks!
context: Karasuno Aoba Johsai\All right!\I've been wondering this, but...\Hm?\I think Seijoh's libero\was formerly a setter.\What do you mean?\Thanks! response:	If the libero lifts the ball from in front of the attack line,
context: All right!\I've been wondering this, but...\Hm?\I think Seijoh's libero\was formerly a setter.\What do you mean?\Thanks!\If the libero lifts the ball from in front of the attack line, response:	it's illegal to do an overhand spike from behind the line.
context: I've been wondering this, but...\Hm?\I think Seijoh's libero\was formerly a setter.\What do you mean?\Thanks!\If the libero lifts the ball from in front of the attack line,\it's illegal to do an overhand spike from behind the line. response:	Just now, that libero jumped up at the very edge of the line
context: Hm?\I think Seijoh's libero\was formerly a setter.\What do you mean?\Thanks!\If the libero lifts the ball from in front of the attack line,\it's illegal to do an overhand spike from behind the line.\Just now, that libero jumped up at the very edge of the line response:	and set while in midair.
context: I think Seijoh's libero\was formerly a setter.\What do you mean?\Thanks!\If the libero lifts the ball from in front of the attack line,\it's illegal to do an overhand spike from behind the line.\Just now, that libero jumped up at the very edge of the line\and set while in midair. response:	Which means, a spike was totally fine.
context: was formerly a setter.\What do you mean?\Thanks!\If the libero lifts the ball from in front of the attack line,\it's illegal to do an overhand spike from behind the line.\Just now, that libero jumped up at the very edge of the line\and set while in midair.\Which means, a spike was totally fine. response:	They can use high-level attacks.
context: What do you mean?\Thanks!\If the libero lifts the ball from in front of the attack line,\it's illegal to do an overhand spike from behind the line.\Just now, that libero jumped up at the very edge of the line\and set while in midair.\Which means, a spike was totally fine.\They can use high-level attacks. response:	This is why they call Aoba Johsai a powerhouse.
context: Thanks!\If the libero lifts the ball from in front of the attack line,\it's illegal to do an overhand spike from behind the line.\Just now, that libero jumped up at the very edge of the line\and set while in midair.\Which means, a spike was totally fine.\They can use high-level attacks.\This is why they call Aoba Johsai a powerhouse. response:	All right!
context: If the libero lifts the ball from in front of the attack line,\it's illegal to do an overhand spike from behind the line.\Just now, that libero jumped up at the very edge of the line\and set while in midair.\Which means, a spike was totally fine.\They can use high-level attacks.\This is why they call Aoba Johsai a powerhouse.\All right! response:	Daichi-san, nice receive!
context: it's illegal to do an overhand spike from behind the line.\Just now, that libero jumped up at the very edge of the line\and set while in midair.\Which means, a spike was totally fine.\They can use high-level attacks.\This is why they call Aoba Johsai a powerhouse.\All right!\Daichi-san, nice receive! response:	Asahi-san!
context: Just now, that libero jumped up at the very edge of the line\and set while in midair.\Which means, a spike was totally fine.\They can use high-level attacks.\This is why they call Aoba Johsai a powerhouse.\All right!\Daichi-san, nice receive!\Asahi-san! response:	The ball's going back!
context: and set while in midair.\Which means, a spike was totally fine.\They can use high-level attacks.\This is why they call Aoba Johsai a powerhouse.\All right!\Daichi-san, nice receive!\Asahi-san!\The ball's going back! response:	I'll push it over!
context: Which means, a spike was totally fine.\They can use high-level attacks.\This is why they call Aoba Johsai a powerhouse.\All right!\Daichi-san, nice receive!\Asahi-san!\The ball's going back!\I'll push it over! response:	All right!
context: They can use high-level attacks.\This is why they call Aoba Johsai a powerhouse.\All right!\Daichi-san, nice receive!\Asahi-san!\The ball's going back!\I'll push it over!\All right! response:	He did a toss that close to the edge...
context: This is why they call Aoba Johsai a powerhouse.\All right!\Daichi-san, nice receive!\Asahi-san!\The ball's going back!\I'll push it over!\All right!\He did a toss that close to the edge... response:	Awesome.
context: All right!\Daichi-san, nice receive!\Asahi-san!\The ball's going back!\I'll push it over!\All right!\He did a toss that close to the edge...\Awesome. response:	All right! You're all fighting well!
context: Daichi-san, nice receive!\Asahi-san!\The ball's going back!\I'll push it over!\All right!\He did a toss that close to the edge...\Awesome.\All right! You're all fighting well! response:	Keep cool!
context: Asahi-san!\The ball's going back!\I'll push it over!\All right!\He did a toss that close to the edge...\Awesome.\All right! You're all fighting well!\Keep cool! response:	Right!
context: The ball's going back!\I'll push it over!\All right!\He did a toss that close to the edge...\Awesome.\All right! You're all fighting well!\Keep cool!\Right! response:	It looks like they're getting used to attacks that cut into the middle,
context: I'll push it over!\All right!\He did a toss that close to the edge...\Awesome.\All right! You're all fighting well!\Keep cool!\Right!\It looks like they're getting used to attacks that cut into the middle, response:	so use the sides of the court as much as you can!
context: All right!\He did a toss that close to the edge...\Awesome.\All right! You're all fighting well!\Keep cool!\Right!\It looks like they're getting used to attacks that cut into the middle,\so use the sides of the court as much as you can! response:	Right!
context: He did a toss that close to the edge...\Awesome.\All right! You're all fighting well!\Keep cool!\Right!\It looks like they're getting used to attacks that cut into the middle,\so use the sides of the court as much as you can!\Right! response:	What's with the lack of holes in Seijoh's attacks?
context: Awesome.\All right! You're all fighting well!\Keep cool!\Right!\It looks like they're getting used to attacks that cut into the middle,\so use the sides of the court as much as you can!\Right!\What's with the lack of holes in Seijoh's attacks? response:	No matter what situation they're put in,
context: All right! You're all fighting well!\Keep cool!\Right!\It looks like they're getting used to attacks that cut into the middle,\so use the sides of the court as much as you can!\Right!\What's with the lack of holes in Seijoh's attacks?\No matter what situation they're put in, response:	they're able to counter with powerful attacks, like it's nothing.
context: Keep cool!\Right!\It looks like they're getting used to attacks that cut into the middle,\so use the sides of the court as much as you can!\Right!\What's with the lack of holes in Seijoh's attacks?\No matter what situation they're put in,\they're able to counter with powerful attacks, like it's nothing. response:	Let's go!
context: Right!\It looks like they're getting used to attacks that cut into the middle,\so use the sides of the court as much as you can!\Right!\What's with the lack of holes in Seijoh's attacks?\No matter what situation they're put in,\they're able to counter with powerful attacks, like it's nothing.\Let's go! response:	Right!
context: It looks like they're getting used to attacks that cut into the middle,\so use the sides of the court as much as you can!\Right!\What's with the lack of holes in Seijoh's attacks?\No matter what situation they're put in,\they're able to counter with powerful attacks, like it's nothing.\Let's go!\Right! response:	Because Sugawara went in once,
context: so use the sides of the court as much as you can!\Right!\What's with the lack of holes in Seijoh's attacks?\No matter what situation they're put in,\they're able to counter with powerful attacks, like it's nothing.\Let's go!\Right!\Because Sugawara went in once, response:	Karasuno was definitely able to pick itself back up.
context: Right!\What's with the lack of holes in Seijoh's attacks?\No matter what situation they're put in,\they're able to counter with powerful attacks, like it's nothing.\Let's go!\Right!\Because Sugawara went in once,\Karasuno was definitely able to pick itself back up. response:	Now they're not nervous or overly aggressive.
context: What's with the lack of holes in Seijoh's attacks?\No matter what situation they're put in,\they're able to counter with powerful attacks, like it's nothing.\Let's go!\Right!\Because Sugawara went in once,\Karasuno was definitely able to pick itself back up.\Now they're not nervous or overly aggressive. response:	Right now, everyone's probably using their current strength to the fullest.
context: No matter what situation they're put in,\they're able to counter with powerful attacks, like it's nothing.\Let's go!\Right!\Because Sugawara went in once,\Karasuno was definitely able to pick itself back up.\Now they're not nervous or overly aggressive.\Right now, everyone's probably using their current strength to the fullest. response:	That might be exactly why
context: they're able to counter with powerful attacks, like it's nothing.\Let's go!\Right!\Because Sugawara went in once,\Karasuno was definitely able to pick itself back up.\Now they're not nervous or overly aggressive.\Right now, everyone's probably using their current strength to the fullest.\That might be exactly why response:	we're seeing the difference in their strength as a team.
context: Let's go!\Right!\Because Sugawara went in once,\Karasuno was definitely able to pick itself back up.\Now they're not nervous or overly aggressive.\Right now, everyone's probably using their current strength to the fullest.\That might be exactly why\we're seeing the difference in their strength as a team. response:	Aoba Johsai Karasuno
context: Right!\Because Sugawara went in once,\Karasuno was definitely able to pick itself back up.\Now they're not nervous or overly aggressive.\Right now, everyone's probably using their current strength to the fullest.\That might be exactly why\we're seeing the difference in their strength as a team.\Aoba Johsai Karasuno response:	Damn it...
context: Because Sugawara went in once,\Karasuno was definitely able to pick itself back up.\Now they're not nervous or overly aggressive.\Right now, everyone's probably using their current strength to the fullest.\That might be exactly why\we're seeing the difference in their strength as a team.\Aoba Johsai Karasuno\Damn it... response:	Nice, Tsukishima!
context: Karasuno was definitely able to pick itself back up.\Now they're not nervous or overly aggressive.\Right now, everyone's probably using their current strength to the fullest.\That might be exactly why\we're seeing the difference in their strength as a team.\Aoba Johsai Karasuno\Damn it...\Nice, Tsukishima! response:	You keep showing up with that annoying feint when everyone's forgotten about it.
context: Now they're not nervous or overly aggressive.\Right now, everyone's probably using their current strength to the fullest.\That might be exactly why\we're seeing the difference in their strength as a team.\Aoba Johsai Karasuno\Damn it...\Nice, Tsukishima!\You keep showing up with that annoying feint when everyone's forgotten about it. response:	Phrasing...
context: Right now, everyone's probably using their current strength to the fullest.\That might be exactly why\we're seeing the difference in their strength as a team.\Aoba Johsai Karasuno\Damn it...\Nice, Tsukishima!\You keep showing up with that annoying feint when everyone's forgotten about it.\Phrasing... response:	With every player performing at 100 of their ability,
context: That might be exactly why\we're seeing the difference in their strength as a team.\Aoba Johsai Karasuno\Damn it...\Nice, Tsukishima!\You keep showing up with that annoying feint when everyone's forgotten about it.\Phrasing...\With every player performing at 100 of their ability, response:	Come on! Talk more!
context: we're seeing the difference in their strength as a team.\Aoba Johsai Karasuno\Damn it...\Nice, Tsukishima!\You keep showing up with that annoying feint when everyone's forgotten about it.\Phrasing...\With every player performing at 100 of their ability,\Come on! Talk more! response:	Keep it up!
context: Aoba Johsai Karasuno\Damn it...\Nice, Tsukishima!\You keep showing up with that annoying feint when everyone's forgotten about it.\Phrasing...\With every player performing at 100 of their ability,\Come on! Talk more!\Keep it up! response:	Seijoh is probably the stronger team.
context: Damn it...\Nice, Tsukishima!\You keep showing up with that annoying feint when everyone's forgotten about it.\Phrasing...\With every player performing at 100 of their ability,\Come on! Talk more!\Keep it up!\Seijoh is probably the stronger team. response:	But sometimes they'll only use 70 and then bounce up to 120 of their ability.
context: Nice, Tsukishima!\You keep showing up with that annoying feint when everyone's forgotten about it.\Phrasing...\With every player performing at 100 of their ability,\Come on! Talk more!\Keep it up!\Seijoh is probably the stronger team.\But sometimes they'll only use 70 and then bounce up to 120 of their ability. response:	That's how things can play out during a match, right?
context: You keep showing up with that annoying feint when everyone's forgotten about it.\Phrasing...\With every player performing at 100 of their ability,\Come on! Talk more!\Keep it up!\Seijoh is probably the stronger team.\But sometimes they'll only use 70 and then bounce up to 120 of their ability.\That's how things can play out during a match, right? response:	And Karasuno has the ultimate decoy who can let everyone attack at 120 of their ability.
context: Phrasing...\With every player performing at 100 of their ability,\Come on! Talk more!\Keep it up!\Seijoh is probably the stronger team.\But sometimes they'll only use 70 and then bounce up to 120 of their ability.\That's how things can play out during a match, right?\And Karasuno has the ultimate decoy who can let everyone attack at 120 of their ability. response:	Awesome. Awesome. Seijoh's awesome!
context: With every player performing at 100 of their ability,\Come on! Talk more!\Keep it up!\Seijoh is probably the stronger team.\But sometimes they'll only use 70 and then bounce up to 120 of their ability.\That's how things can play out during a match, right?\And Karasuno has the ultimate decoy who can let everyone attack at 120 of their ability.\Awesome. Awesome. Seijoh's awesome! response:	Out. Out! I want to hurry and get out.
context: Come on! Talk more!\Keep it up!\Seijoh is probably the stronger team.\But sometimes they'll only use 70 and then bounce up to 120 of their ability.\That's how things can play out during a match, right?\And Karasuno has the ultimate decoy who can let everyone attack at 120 of their ability.\Awesome. Awesome. Seijoh's awesome!\Out. Out! I want to hurry and get out. response:	I want to hurry and go out. Out! Out!
context: Keep it up!\Seijoh is probably the stronger team.\But sometimes they'll only use 70 and then bounce up to 120 of their ability.\That's how things can play out during a match, right?\And Karasuno has the ultimate decoy who can let everyone attack at 120 of their ability.\Awesome. Awesome. Seijoh's awesome!\Out. Out! I want to hurry and get out.\I want to hurry and go out. Out! Out! response:	Hinata.
context: Seijoh is probably the stronger team.\But sometimes they'll only use 70 and then bounce up to 120 of their ability.\That's how things can play out during a match, right?\And Karasuno has the ultimate decoy who can let everyone attack at 120 of their ability.\Awesome. Awesome. Seijoh's awesome!\Out. Out! I want to hurry and get out.\I want to hurry and go out. Out! Out!\Hinata. response:	Yes?
context: But sometimes they'll only use 70 and then bounce up to 120 of their ability.\That's how things can play out during a match, right?\And Karasuno has the ultimate decoy who can let everyone attack at 120 of their ability.\Awesome. Awesome. Seijoh's awesome!\Out. Out! I want to hurry and get out.\I want to hurry and go out. Out! Out!\Hinata.\Yes? response:	Do you remember what Ukai-san said?
context: That's how things can play out during a match, right?\And Karasuno has the ultimate decoy who can let everyone attack at 120 of their ability.\Awesome. Awesome. Seijoh's awesome!\Out. Out! I want to hurry and get out.\I want to hurry and go out. Out! Out!\Hinata.\Yes?\Do you remember what Ukai-san said? response:	About attacking both sides of the court as much as possible?
context: And Karasuno has the ultimate decoy who can let everyone attack at 120 of their ability.\Awesome. Awesome. Seijoh's awesome!\Out. Out! I want to hurry and get out.\I want to hurry and go out. Out! Out!\Hinata.\Yes?\Do you remember what Ukai-san said?\About attacking both sides of the court as much as possible? response:	Right. That's the best attack.
context: Awesome. Awesome. Seijoh's awesome!\Out. Out! I want to hurry and get out.\I want to hurry and go out. Out! Out!\Hinata.\Yes?\Do you remember what Ukai-san said?\About attacking both sides of the court as much as possible?\Right. That's the best attack. response:	We haven't used that much this time around.
context: Out. Out! I want to hurry and get out.\I want to hurry and go out. Out! Out!\Hinata.\Yes?\Do you remember what Ukai-san said?\About attacking both sides of the court as much as possible?\Right. That's the best attack.\We haven't used that much this time around. response:	Yes!
context: I want to hurry and go out. Out! Out!\Hinata.\Yes?\Do you remember what Ukai-san said?\About attacking both sides of the court as much as possible?\Right. That's the best attack.\We haven't used that much this time around.\Yes! response:	This sucks.
context: Hinata.\Yes?\Do you remember what Ukai-san said?\About attacking both sides of the court as much as possible?\Right. That's the best attack.\We haven't used that much this time around.\Yes!\This sucks. response:	Aoba Johsai Karasuno
context: Yes?\Do you remember what Ukai-san said?\About attacking both sides of the court as much as possible?\Right. That's the best attack.\We haven't used that much this time around.\Yes!\This sucks.\Aoba Johsai Karasuno response:	Our team is settling into a rhythm, and yet
context: Do you remember what Ukai-san said?\About attacking both sides of the court as much as possible?\Right. That's the best attack.\We haven't used that much this time around.\Yes!\This sucks.\Aoba Johsai Karasuno\Our team is settling into a rhythm, and yet response:	if that little sucky guy enters the court...
context: About attacking both sides of the court as much as possible?\Right. That's the best attack.\We haven't used that much this time around.\Yes!\This sucks.\Aoba Johsai Karasuno\Our team is settling into a rhythm, and yet\if that little sucky guy enters the court... response:	I can't help but be uneasy about that.
context: Right. That's the best attack.\We haven't used that much this time around.\Yes!\This sucks.\Aoba Johsai Karasuno\Our team is settling into a rhythm, and yet\if that little sucky guy enters the court...\I can't help but be uneasy about that. response:	A small beast that's gathered its frustrations while in the warm up zone.
context: We haven't used that much this time around.\Yes!\This sucks.\Aoba Johsai Karasuno\Our team is settling into a rhythm, and yet\if that little sucky guy enters the court...\I can't help but be uneasy about that.\A small beast that's gathered its frustrations while in the warm up zone. response:	Karasuno is fighting back in the final set,
context: Yes!\This sucks.\Aoba Johsai Karasuno\Our team is settling into a rhythm, and yet\if that little sucky guy enters the court...\I can't help but be uneasy about that.\A small beast that's gathered its frustrations while in the warm up zone.\Karasuno is fighting back in the final set, response:	One more!
context: This sucks.\Aoba Johsai Karasuno\Our team is settling into a rhythm, and yet\if that little sucky guy enters the court...\I can't help but be uneasy about that.\A small beast that's gathered its frustrations while in the warm up zone.\Karasuno is fighting back in the final set,\One more! response:	Go! One more!
context: Aoba Johsai Karasuno\Our team is settling into a rhythm, and yet\if that little sucky guy enters the court...\I can't help but be uneasy about that.\A small beast that's gathered its frustrations while in the warm up zone.\Karasuno is fighting back in the final set,\One more!\Go! One more! response:	Go, Shoyo!
context: Our team is settling into a rhythm, and yet\if that little sucky guy enters the court...\I can't help but be uneasy about that.\A small beast that's gathered its frustrations while in the warm up zone.\Karasuno is fighting back in the final set,\One more!\Go! One more!\Go, Shoyo! response:	yet we don't stand a chance against Seijoh.
context: if that little sucky guy enters the court...\I can't help but be uneasy about that.\A small beast that's gathered its frustrations while in the warm up zone.\Karasuno is fighting back in the final set,\One more!\Go! One more!\Go, Shoyo!\yet we don't stand a chance against Seijoh. response:	If we're going to get even one step ahead of them,
context: I can't help but be uneasy about that.\A small beast that's gathered its frustrations while in the warm up zone.\Karasuno is fighting back in the final set,\One more!\Go! One more!\Go, Shoyo!\yet we don't stand a chance against Seijoh.\If we're going to get even one step ahead of them, response:	it'll be up to them.
context: A small beast that's gathered its frustrations while in the warm up zone.\Karasuno is fighting back in the final set,\One more!\Go! One more!\Go, Shoyo!\yet we don't stand a chance against Seijoh.\If we're going to get even one step ahead of them,\it'll be up to them. response:	Give Karasuno that one step!
context: Karasuno is fighting back in the final set,\One more!\Go! One more!\Go, Shoyo!\yet we don't stand a chance against Seijoh.\If we're going to get even one step ahead of them,\it'll be up to them.\Give Karasuno that one step! response:	Nice receive!
context: One more!\Go! One more!\Go, Shoyo!\yet we don't stand a chance against Seijoh.\If we're going to get even one step ahead of them,\it'll be up to them.\Give Karasuno that one step!\Nice receive! response:	Left! Left!
context: Go! One more!\Go, Shoyo!\yet we don't stand a chance against Seijoh.\If we're going to get even one step ahead of them,\it'll be up to them.\Give Karasuno that one step!\Nice receive!\Left! Left! response:	Two blocks!
context: Go, Shoyo!\yet we don't stand a chance against Seijoh.\If we're going to get even one step ahead of them,\it'll be up to them.\Give Karasuno that one step!\Nice receive!\Left! Left!\Two blocks! response:	Kageyama, nice one-touch!
context: yet we don't stand a chance against Seijoh.\If we're going to get even one step ahead of them,\it'll be up to them.\Give Karasuno that one step!\Nice receive!\Left! Left!\Two blocks!\Kageyama, nice one-touch! response:	Chance ball!
context: If we're going to get even one step ahead of them,\it'll be up to them.\Give Karasuno that one step!\Nice receive!\Left! Left!\Two blocks!\Kageyama, nice one-touch!\Chance ball! response:	The sides of the court
context: it'll be up to them.\Give Karasuno that one step!\Nice receive!\Left! Left!\Two blocks!\Kageyama, nice one-touch!\Chance ball!\The sides of the court response:	as much as possible.
context: Give Karasuno that one step!\Nice receive!\Left! Left!\Two blocks!\Kageyama, nice one-touch!\Chance ball!\The sides of the court\as much as possible. response:	Here it is!
context: Nice receive!\Left! Left!\Two blocks!\Kageyama, nice one-touch!\Chance ball!\The sides of the court\as much as possible.\Here it is! response:	that broad cross!
context: Left! Left!\Two blocks!\Kageyama, nice one-touch!\Chance ball!\The sides of the court\as much as possible.\Here it is!\that broad cross! response:	Rule the Court
context: Two blocks!\Kageyama, nice one-touch!\Chance ball!\The sides of the court\as much as possible.\Here it is!\that broad cross!\Rule the Court response:	Nice shot, Hinata!
context: Kageyama, nice one-touch!\Chance ball!\The sides of the court\as much as possible.\Here it is!\that broad cross!\Rule the Court\Nice shot, Hinata! response:	Crap.
context: Chance ball!\The sides of the court\as much as possible.\Here it is!\that broad cross!\Rule the Court\Nice shot, Hinata!\Crap. response:	We can't let those two stay on the court too long
context: The sides of the court\as much as possible.\Here it is!\that broad cross!\Rule the Court\Nice shot, Hinata!\Crap.\We can't let those two stay on the court too long response:	after they've gotten fired up.
context: as much as possible.\Here it is!\that broad cross!\Rule the Court\Nice shot, Hinata!\Crap.\We can't let those two stay on the court too long\after they've gotten fired up. response:	Makki, nice!
context: Here it is!\that broad cross!\Rule the Court\Nice shot, Hinata!\Crap.\We can't let those two stay on the court too long\after they've gotten fired up.\Makki, nice! response:	All right!
context: that broad cross!\Rule the Court\Nice shot, Hinata!\Crap.\We can't let those two stay on the court too long\after they've gotten fired up.\Makki, nice!\All right! response:	Bring it around, bring it around!
context: Rule the Court\Nice shot, Hinata!\Crap.\We can't let those two stay on the court too long\after they've gotten fired up.\Makki, nice!\All right!\Bring it around, bring it around! response:	Hurry and bring the rotation around.
context: Nice shot, Hinata!\Crap.\We can't let those two stay on the court too long\after they've gotten fired up.\Makki, nice!\All right!\Bring it around, bring it around!\Hurry and bring the rotation around. response:	Bring the shrimp
context: Crap.\We can't let those two stay on the court too long\after they've gotten fired up.\Makki, nice!\All right!\Bring it around, bring it around!\Hurry and bring the rotation around.\Bring the shrimp response:	one step closer to the back line!
context: We can't let those two stay on the court too long\after they've gotten fired up.\Makki, nice!\All right!\Bring it around, bring it around!\Hurry and bring the rotation around.\Bring the shrimp\one step closer to the back line! response:	Got it!
context: after they've gotten fired up.\Makki, nice!\All right!\Bring it around, bring it around!\Hurry and bring the rotation around.\Bring the shrimp\one step closer to the back line!\Got it! response:	The ball's not coming down. So amazing.
context: Makki, nice!\All right!\Bring it around, bring it around!\Hurry and bring the rotation around.\Bring the shrimp\one step closer to the back line!\Got it!\The ball's not coming down. So amazing. response:	Nice cover, Makki!
