context: As we continued ourjourney in pursuit of Naraku, response:	in a strange turn of events,
context: I added my own spiritual power to the exorcist's purification salt.\It seems to have some effect.\But this is bad...\This demon is quite powerful.\And my body won't move due to the demonic aura.\Monk, there's no help forthcoming.\Besides, that half-demon is probably fighting\the lord back at the castle. response:	I used my magic to manipulate that puppet lord.
context: It seems to have some effect.\But this is bad...\This demon is quite powerful.\And my body won't move due to the demonic aura.\Monk, there's no help forthcoming.\Besides, that half-demon is probably fighting\the lord back at the castle.\I used my magic to manipulate that puppet lord. response:	W- What?!
context: But this is bad...\This demon is quite powerful.\And my body won't move due to the demonic aura.\Monk, there's no help forthcoming.\Besides, that half-demon is probably fighting\the lord back at the castle.\I used my magic to manipulate that puppet lord.\W- What?! response:	Inuyasha!
context: This demon is quite powerful.\And my body won't move due to the demonic aura.\Monk, there's no help forthcoming.\Besides, that half-demon is probably fighting\the lord back at the castle.\I used my magic to manipulate that puppet lord.\W- What?!\Inuyasha! response:	M-My lord!
context: And my body won't move due to the demonic aura.\Monk, there's no help forthcoming.\Besides, that half-demon is probably fighting\the lord back at the castle.\I used my magic to manipulate that puppet lord.\W- What?!\Inuyasha!\M-My lord! response:	You've gotguts showing yourtrue self.
context: Monk, there's no help forthcoming.\Besides, that half-demon is probably fighting\the lord back at the castle.\I used my magic to manipulate that puppet lord.\W- What?!\Inuyasha!\M-My lord!\You've gotguts showing yourtrue self. response:	Huh, Demon?!
context: Besides, that half-demon is probably fighting\the lord back at the castle.\I used my magic to manipulate that puppet lord.\W- What?!\Inuyasha!\M-My lord!\You've gotguts showing yourtrue self.\Huh, Demon?! response:	Prepare to die!
context: the lord back at the castle.\I used my magic to manipulate that puppet lord.\W- What?!\Inuyasha!\M-My lord!\You've gotguts showing yourtrue self.\Huh, Demon?!\Prepare to die! response:	He's using the woman as a shield!
context: I used my magic to manipulate that puppet lord.\W- What?!\Inuyasha!\M-My lord!\You've gotguts showing yourtrue self.\Huh, Demon?!\Prepare to die!\He's using the woman as a shield! response:	Inuyasha, don't use Tetsusaiga!
context: W- What?!\Inuyasha!\M-My lord!\You've gotguts showing yourtrue self.\Huh, Demon?!\Prepare to die!\He's using the woman as a shield!\Inuyasha, don't use Tetsusaiga! response:	D-Damn!
context: Inuyasha!\M-My lord!\You've gotguts showing yourtrue self.\Huh, Demon?!\Prepare to die!\He's using the woman as a shield!\Inuyasha, don't use Tetsusaiga!\D-Damn! response:	Shaddup!
context: M-My lord!\You've gotguts showing yourtrue self.\Huh, Demon?!\Prepare to die!\He's using the woman as a shield!\Inuyasha, don't use Tetsusaiga!\D-Damn!\Shaddup! response:	Iron-Reaver, Soul-Stealer!
context: You've gotguts showing yourtrue self.\Huh, Demon?!\Prepare to die!\He's using the woman as a shield!\Inuyasha, don't use Tetsusaiga!\D-Damn!\Shaddup!\Iron-Reaver, Soul-Stealer! response:	Nothing much, are ya!
context: Huh, Demon?!\Prepare to die!\He's using the woman as a shield!\Inuyasha, don't use Tetsusaiga!\D-Damn!\Shaddup!\Iron-Reaver, Soul-Stealer!\Nothing much, are ya! response:	Hold it!
context: Prepare to die!\He's using the woman as a shield!\Inuyasha, don't use Tetsusaiga!\D-Damn!\Shaddup!\Iron-Reaver, Soul-Stealer!\Nothing much, are ya!\Hold it! response:	l-It's gone!
context: He's using the woman as a shield!\Inuyasha, don't use Tetsusaiga!\D-Damn!\Shaddup!\Iron-Reaver, Soul-Stealer!\Nothing much, are ya!\Hold it!\l-It's gone! response:	Fool!
context: Inuyasha, don't use Tetsusaiga!\D-Damn!\Shaddup!\Iron-Reaver, Soul-Stealer!\Nothing much, are ya!\Hold it!\l-It's gone!\Fool! response:	It's too early to breathe easy!
context: D-Damn!\Shaddup!\Iron-Reaver, Soul-Stealer!\Nothing much, are ya!\Hold it!\l-It's gone!\Fool!\It's too early to breathe easy! response:	You women, protect the princess!
context: Shaddup!\Iron-Reaver, Soul-Stealer!\Nothing much, are ya!\Hold it!\l-It's gone!\Fool!\It's too early to breathe easy!\You women, protect the princess! response:	B-But...
context: Iron-Reaver, Soul-Stealer!\Nothing much, are ya!\Hold it!\l-It's gone!\Fool!\It's too early to breathe easy!\You women, protect the princess!\B-But... response:	Is anything the matter?
context: Nothing much, are ya!\Hold it!\l-It's gone!\Fool!\It's too early to breathe easy!\You women, protect the princess!\B-But...\Is anything the matter? response:	Actually...
context: Hold it!\l-It's gone!\Fool!\It's too early to breathe easy!\You women, protect the princess!\B-But...\Is anything the matter?\Actually... response:	The underground burial site of the demon head?
context: l-It's gone!\Fool!\It's too early to breathe easy!\You women, protect the princess!\B-But...\Is anything the matter?\Actually...\The underground burial site of the demon head? response:	Y-Yes...
context: Fool!\It's too early to breathe easy!\You women, protect the princess!\B-But...\Is anything the matter?\Actually...\The underground burial site of the demon head?\Y-Yes... response:	She wanted to show it to the monk.
context: It's too early to breathe easy!\You women, protect the princess!\B-But...\Is anything the matter?\Actually...\The underground burial site of the demon head?\Y-Yes...\She wanted to show it to the monk. response:	Sango!
context: You women, protect the princess!\B-But...\Is anything the matter?\Actually...\The underground burial site of the demon head?\Y-Yes...\She wanted to show it to the monk.\Sango! response:	I'm going to get Miroku!
context: B-But...\Is anything the matter?\Actually...\The underground burial site of the demon head?\Y-Yes...\She wanted to show it to the monk.\Sango!\I'm going to get Miroku! response:	I'm coming with you! It's saferthan staying here.
context: Is anything the matter?\Actually...\The underground burial site of the demon head?\Y-Yes...\She wanted to show it to the monk.\Sango!\I'm going to get Miroku!\I'm coming with you! It's saferthan staying here. response:	Madam Exorcist!
context: Actually...\The underground burial site of the demon head?\Y-Yes...\She wanted to show it to the monk.\Sango!\I'm going to get Miroku!\I'm coming with you! It's saferthan staying here.\Madam Exorcist! response:	But didn't it turn out well?
context: The underground burial site of the demon head?\Y-Yes...\She wanted to show it to the monk.\Sango!\I'm going to get Miroku!\I'm coming with you! It's saferthan staying here.\Madam Exorcist!\But didn't it turn out well? response:	Weren't you worried?
context: Y-Yes...\She wanted to show it to the monk.\Sango!\I'm going to get Miroku!\I'm coming with you! It's saferthan staying here.\Madam Exorcist!\But didn't it turn out well?\Weren't you worried? response:	That the monk and the princess were in each others' arms?
context: She wanted to show it to the monk.\Sango!\I'm going to get Miroku!\I'm coming with you! It's saferthan staying here.\Madam Exorcist!\But didn't it turn out well?\Weren't you worried?\That the monk and the princess were in each others' arms? response:	But at an underground burial site?
context: Sango!\I'm going to get Miroku!\I'm coming with you! It's saferthan staying here.\Madam Exorcist!\But didn't it turn out well?\Weren't you worried?\That the monk and the princess were in each others' arms?\But at an underground burial site? response:	Nothing romantic could go on there!
context: I'm going to get Miroku!\I'm coming with you! It's saferthan staying here.\Madam Exorcist!\But didn't it turn out well?\Weren't you worried?\That the monk and the princess were in each others' arms?\But at an underground burial site?\Nothing romantic could go on there! response:	What're you saying at a time like this?!
context: I'm coming with you! It's saferthan staying here.\Madam Exorcist!\But didn't it turn out well?\Weren't you worried?\That the monk and the princess were in each others' arms?\But at an underground burial site?\Nothing romantic could go on there!\What're you saying at a time like this?! response:	You like him, don't you? The monk, Miroku.
context: Madam Exorcist!\But didn't it turn out well?\Weren't you worried?\That the monk and the princess were in each others' arms?\But at an underground burial site?\Nothing romantic could go on there!\What're you saying at a time like this?!\You like him, don't you? The monk, Miroku. response:	It's written all over yourface.
context: But didn't it turn out well?\Weren't you worried?\That the monk and the princess were in each others' arms?\But at an underground burial site?\Nothing romantic could go on there!\What're you saying at a time like this?!\You like him, don't you? The monk, Miroku.\It's written all over yourface. response:	I said it's not like that!
context: Weren't you worried?\That the monk and the princess were in each others' arms?\But at an underground burial site?\Nothing romantic could go on there!\What're you saying at a time like this?!\You like him, don't you? The monk, Miroku.\It's written all over yourface.\I said it's not like that! response:	Huh?
context: That the monk and the princess were in each others' arms?\But at an underground burial site?\Nothing romantic could go on there!\What're you saying at a time like this?!\You like him, don't you? The monk, Miroku.\It's written all over yourface.\I said it's not like that!\Huh? response:	What're you doing? I'll leave you behind.
context: But at an underground burial site?\Nothing romantic could go on there!\What're you saying at a time like this?!\You like him, don't you? The monk, Miroku.\It's written all over yourface.\I said it's not like that!\Huh?\What're you doing? I'll leave you behind. response:	You cannot move, huh?
context: Nothing romantic could go on there!\What're you saying at a time like this?!\You like him, don't you? The monk, Miroku.\It's written all over yourface.\I said it's not like that!\Huh?\What're you doing? I'll leave you behind.\You cannot move, huh? response:	No one can overcome the grip of my demonic aura.
context: What're you saying at a time like this?!\You like him, don't you? The monk, Miroku.\It's written all over yourface.\I said it's not like that!\Huh?\What're you doing? I'll leave you behind.\You cannot move, huh?\No one can overcome the grip of my demonic aura. response:	You intend to eat me?
context: You like him, don't you? The monk, Miroku.\It's written all over yourface.\I said it's not like that!\Huh?\What're you doing? I'll leave you behind.\You cannot move, huh?\No one can overcome the grip of my demonic aura.\You intend to eat me? response:	All the monks and priestesses who came to slay the demon
context: It's written all over yourface.\I said it's not like that!\Huh?\What're you doing? I'll leave you behind.\You cannot move, huh?\No one can overcome the grip of my demonic aura.\You intend to eat me?\All the monks and priestesses who came to slay the demon response:	were all devoured by me.
context: I said it's not like that!\Huh?\What're you doing? I'll leave you behind.\You cannot move, huh?\No one can overcome the grip of my demonic aura.\You intend to eat me?\All the monks and priestesses who came to slay the demon\were all devoured by me. response:	Monk...
context: Huh?\What're you doing? I'll leave you behind.\You cannot move, huh?\No one can overcome the grip of my demonic aura.\You intend to eat me?\All the monks and priestesses who came to slay the demon\were all devoured by me.\Monk... response:	You are exactly the 100th one.
context: What're you doing? I'll leave you behind.\You cannot move, huh?\No one can overcome the grip of my demonic aura.\You intend to eat me?\All the monks and priestesses who came to slay the demon\were all devoured by me.\Monk...\You are exactly the 100th one. response:	I shall devour you and your spiritual powers...
context: You cannot move, huh?\No one can overcome the grip of my demonic aura.\You intend to eat me?\All the monks and priestesses who came to slay the demon\were all devoured by me.\Monk...\You are exactly the 100th one.\I shall devour you and your spiritual powers... response:	and I will be completely reborn.
context: No one can overcome the grip of my demonic aura.\You intend to eat me?\All the monks and priestesses who came to slay the demon\were all devoured by me.\Monk...\You are exactly the 100th one.\I shall devour you and your spiritual powers...\and I will be completely reborn. response:	I shall soon bid farewell to this borrowed body.
context: You intend to eat me?\All the monks and priestesses who came to slay the demon\were all devoured by me.\Monk...\You are exactly the 100th one.\I shall devour you and your spiritual powers...\and I will be completely reborn.\I shall soon bid farewell to this borrowed body. response:	Such a pretty face, monk!
context: All the monks and priestesses who came to slay the demon\were all devoured by me.\Monk...\You are exactly the 100th one.\I shall devour you and your spiritual powers...\and I will be completely reborn.\I shall soon bid farewell to this borrowed body.\Such a pretty face, monk! response:	Don't worry. You're not fatally wounded.
context: were all devoured by me.\Monk...\You are exactly the 100th one.\I shall devour you and your spiritual powers...\and I will be completely reborn.\I shall soon bid farewell to this borrowed body.\Such a pretty face, monk!\Don't worry. You're not fatally wounded. response:	I have to stop the bleeding.
context: Monk...\You are exactly the 100th one.\I shall devour you and your spiritual powers...\and I will be completely reborn.\I shall soon bid farewell to this borrowed body.\Such a pretty face, monk!\Don't worry. You're not fatally wounded.\I have to stop the bleeding. response:	T-Thank you...
context: You are exactly the 100th one.\I shall devour you and your spiritual powers...\and I will be completely reborn.\I shall soon bid farewell to this borrowed body.\Such a pretty face, monk!\Don't worry. You're not fatally wounded.\I have to stop the bleeding.\T-Thank you... response:	Don't try to talk.
context: I shall devour you and your spiritual powers...\and I will be completely reborn.\I shall soon bid farewell to this borrowed body.\Such a pretty face, monk!\Don't worry. You're not fatally wounded.\I have to stop the bleeding.\T-Thank you...\Don't try to talk. response:	It'll sting a bit, so please endure it.
context: and I will be completely reborn.\I shall soon bid farewell to this borrowed body.\Such a pretty face, monk!\Don't worry. You're not fatally wounded.\I have to stop the bleeding.\T-Thank you...\Don't try to talk.\It'll sting a bit, so please endure it. response:	They've all been killed by the demon!
context: I shall soon bid farewell to this borrowed body.\Such a pretty face, monk!\Don't worry. You're not fatally wounded.\I have to stop the bleeding.\T-Thank you...\Don't try to talk.\It'll sting a bit, so please endure it.\They've all been killed by the demon! response:	Let's go.
context: Such a pretty face, monk!\Don't worry. You're not fatally wounded.\I have to stop the bleeding.\T-Thank you...\Don't try to talk.\It'll sting a bit, so please endure it.\They've all been killed by the demon!\Let's go. response:	We may find someone who's still alive.
context: Don't worry. You're not fatally wounded.\I have to stop the bleeding.\T-Thank you...\Don't try to talk.\It'll sting a bit, so please endure it.\They've all been killed by the demon!\Let's go.\We may find someone who's still alive. response:	Is anyone here?
context: I have to stop the bleeding.\T-Thank you...\Don't try to talk.\It'll sting a bit, so please endure it.\They've all been killed by the demon!\Let's go.\We may find someone who's still alive.\Is anyone here? response:	Here... This is the room the lord refused to leave.
context: T-Thank you...\Don't try to talk.\It'll sting a bit, so please endure it.\They've all been killed by the demon!\Let's go.\We may find someone who's still alive.\Is anyone here?\Here... This is the room the lord refused to leave. response:	Kagome! Look at that!
context: Don't try to talk.\It'll sting a bit, so please endure it.\They've all been killed by the demon!\Let's go.\We may find someone who's still alive.\Is anyone here?\Here... This is the room the lord refused to leave.\Kagome! Look at that! response:	Someone's asleep.
context: It'll sting a bit, so please endure it.\They've all been killed by the demon!\Let's go.\We may find someone who's still alive.\Is anyone here?\Here... This is the room the lord refused to leave.\Kagome! Look at that!\Someone's asleep. response:	Excuse me...
context: They've all been killed by the demon!\Let's go.\We may find someone who's still alive.\Is anyone here?\Here... This is the room the lord refused to leave.\Kagome! Look at that!\Someone's asleep.\Excuse me... response:	The princess?
context: Let's go.\We may find someone who's still alive.\Is anyone here?\Here... This is the room the lord refused to leave.\Kagome! Look at that!\Someone's asleep.\Excuse me...\The princess? response:	What's going on?
context: We may find someone who's still alive.\Is anyone here?\Here... This is the room the lord refused to leave.\Kagome! Look at that!\Someone's asleep.\Excuse me...\The princess?\What's going on? response:	The princess is supposed to be underground... at the burial site.
context: Is anyone here?\Here... This is the room the lord refused to leave.\Kagome! Look at that!\Someone's asleep.\Excuse me...\The princess?\What's going on?\The princess is supposed to be underground... at the burial site. response:	S-She's...
context: Here... This is the room the lord refused to leave.\Kagome! Look at that!\Someone's asleep.\Excuse me...\The princess?\What's going on?\The princess is supposed to be underground... at the burial site.\S-She's... response:	Take that!
context: Kagome! Look at that!\Someone's asleep.\Excuse me...\The princess?\What's going on?\The princess is supposed to be underground... at the burial site.\S-She's...\Take that! response:	Damn you! Quit this already!
context: Someone's asleep.\Excuse me...\The princess?\What's going on?\The princess is supposed to be underground... at the burial site.\S-She's...\Take that!\Damn you! Quit this already! response:	Damn! He backed off.
context: Excuse me...\The princess?\What's going on?\The princess is supposed to be underground... at the burial site.\S-She's...\Take that!\Damn you! Quit this already!\Damn! He backed off. response:	W- What was that?!
context: The princess?\What's going on?\The princess is supposed to be underground... at the burial site.\S-She's...\Take that!\Damn you! Quit this already!\Damn! He backed off.\W- What was that?! response:	Fora second, the demon seemed transparent.
context: What's going on?\The princess is supposed to be underground... at the burial site.\S-She's...\Take that!\Damn you! Quit this already!\Damn! He backed off.\W- What was that?!\Fora second, the demon seemed transparent. response:	Something's strange...
context: The princess is supposed to be underground... at the burial site.\S-She's...\Take that!\Damn you! Quit this already!\Damn! He backed off.\W- What was that?!\Fora second, the demon seemed transparent.\Something's strange... response:	This demon keeps backing away and neverattacks.
context: S-She's...\Take that!\Damn you! Quit this already!\Damn! He backed off.\W- What was that?!\Fora second, the demon seemed transparent.\Something's strange...\This demon keeps backing away and neverattacks. response:	Almost...
context: Take that!\Damn you! Quit this already!\Damn! He backed off.\W- What was that?!\Fora second, the demon seemed transparent.\Something's strange...\This demon keeps backing away and neverattacks.\Almost... response:	as though he's buying time!
context: Damn you! Quit this already!\Damn! He backed off.\W- What was that?!\Fora second, the demon seemed transparent.\Something's strange...\This demon keeps backing away and neverattacks.\Almost...\as though he's buying time! response:	Someone has touched the host body.
context: Damn! He backed off.\W- What was that?!\Fora second, the demon seemed transparent.\Something's strange...\This demon keeps backing away and neverattacks.\Almost...\as though he's buying time!\Someone has touched the host body. response:	Miroku!
context: W- What was that?!\Fora second, the demon seemed transparent.\Something's strange...\This demon keeps backing away and neverattacks.\Almost...\as though he's buying time!\Someone has touched the host body.\Miroku! response:	You're!
context: Fora second, the demon seemed transparent.\Something's strange...\This demon keeps backing away and neverattacks.\Almost...\as though he's buying time!\Someone has touched the host body.\Miroku!\You're! response:	I... can't move!
context: Something's strange...\This demon keeps backing away and neverattacks.\Almost...\as though he's buying time!\Someone has touched the host body.\Miroku!\You're!\I... can't move! response:	Kirara... you too?!
context: This demon keeps backing away and neverattacks.\Almost...\as though he's buying time!\Someone has touched the host body.\Miroku!\You're!\I... can't move!\Kirara... you too?! response:	Woman, watch carefully.
context: Almost...\as though he's buying time!\Someone has touched the host body.\Miroku!\You're!\I... can't move!\Kirara... you too?!\Woman, watch carefully. response:	While I devourthe monk.
context: as though he's buying time!\Someone has touched the host body.\Miroku!\You're!\I... can't move!\Kirara... you too?!\Woman, watch carefully.\While I devourthe monk. response:	D-Damn!
context: Someone has touched the host body.\Miroku!\You're!\I... can't move!\Kirara... you too?!\Woman, watch carefully.\While I devourthe monk.\D-Damn! response:	That's!
context: Miroku!\You're!\I... can't move!\Kirara... you too?!\Woman, watch carefully.\While I devourthe monk.\D-Damn!\That's! response:	Evil demon begone!
context: You're!\I... can't move!\Kirara... you too?!\Woman, watch carefully.\While I devourthe monk.\D-Damn!\That's!\Evil demon begone! response:	Take this!
context: I... can't move!\Kirara... you too?!\Woman, watch carefully.\While I devourthe monk.\D-Damn!\That's!\Evil demon begone!\Take this! response:	Purification salt!
context: Kirara... you too?!\Woman, watch carefully.\While I devourthe monk.\D-Damn!\That's!\Evil demon begone!\Take this!\Purification salt! response:	Huh?!
context: Woman, watch carefully.\While I devourthe monk.\D-Damn!\That's!\Evil demon begone!\Take this!\Purification salt!\Huh?! response:	This old woman...
context: While I devourthe monk.\D-Damn!\That's!\Evil demon begone!\Take this!\Purification salt!\Huh?!\This old woman... response:	My demonic grip doesn't work on her?
context: D-Damn!\That's!\Evil demon begone!\Take this!\Purification salt!\Huh?!\This old woman...\My demonic grip doesn't work on her? response:	Madam Exorcist...
context: That's!\Evil demon begone!\Take this!\Purification salt!\Huh?!\This old woman...\My demonic grip doesn't work on her?\Madam Exorcist... response:	Throw all the purification salt on her!
context: Evil demon begone!\Take this!\Purification salt!\Huh?!\This old woman...\My demonic grip doesn't work on her?\Madam Exorcist...\Throw all the purification salt on her! response:	Huh?!
context: Take this!\Purification salt!\Huh?!\This old woman...\My demonic grip doesn't work on her?\Madam Exorcist...\Throw all the purification salt on her!\Huh?! response:	Take that!
context: Purification salt!\Huh?!\This old woman...\My demonic grip doesn't work on her?\Madam Exorcist...\Throw all the purification salt on her!\Huh?!\Take that! response:	Why you...!
context: Huh?!\This old woman...\My demonic grip doesn't work on her?\Madam Exorcist...\Throw all the purification salt on her!\Huh?!\Take that!\Why you...! response:	You put your spiritual power into the purification salt!
context: This old woman...\My demonic grip doesn't work on her?\Madam Exorcist...\Throw all the purification salt on her!\Huh?!\Take that!\Why you...!\You put your spiritual power into the purification salt! response:	M-Miroku!
context: My demonic grip doesn't work on her?\Madam Exorcist...\Throw all the purification salt on her!\Huh?!\Take that!\Why you...!\You put your spiritual power into the purification salt!\M-Miroku! response:	Are you all right?
context: Madam Exorcist...\Throw all the purification salt on her!\Huh?!\Take that!\Why you...!\You put your spiritual power into the purification salt!\M-Miroku!\Are you all right? response:	I thought I was going to die.
context: Throw all the purification salt on her!\Huh?!\Take that!\Why you...!\You put your spiritual power into the purification salt!\M-Miroku!\Are you all right?\I thought I was going to die. response:	But Madam Exorcist...
context: Huh?!\Take that!\Why you...!\You put your spiritual power into the purification salt!\M-Miroku!\Are you all right?\I thought I was going to die.\But Madam Exorcist... response:	Huh? What is it?
context: Take that!\Why you...!\You put your spiritual power into the purification salt!\M-Miroku!\Are you all right?\I thought I was going to die.\But Madam Exorcist...\Huh? What is it? response:	How did you overcome the grip of the demonic aura?
context: Why you...!\You put your spiritual power into the purification salt!\M-Miroku!\Are you all right?\I thought I was going to die.\But Madam Exorcist...\Huh? What is it?\How did you overcome the grip of the demonic aura? response:	Demonic aura?
context: You put your spiritual power into the purification salt!\M-Miroku!\Are you all right?\I thought I was going to die.\But Madam Exorcist...\Huh? What is it?\How did you overcome the grip of the demonic aura?\Demonic aura? response:	Was there such a thing here?
context: M-Miroku!\Are you all right?\I thought I was going to die.\But Madam Exorcist...\Huh? What is it?\How did you overcome the grip of the demonic aura?\Demonic aura?\Was there such a thing here? response:	You really don't sense it?
context: Are you all right?\I thought I was going to die.\But Madam Exorcist...\Huh? What is it?\How did you overcome the grip of the demonic aura?\Demonic aura?\Was there such a thing here?\You really don't sense it? response:	I guess it means she's very extraordinary.
context: I thought I was going to die.\But Madam Exorcist...\Huh? What is it?\How did you overcome the grip of the demonic aura?\Demonic aura?\Was there such a thing here?\You really don't sense it?\I guess it means she's very extraordinary. response:	Anyway, we can't be wasting time here!
context: But Madam Exorcist...\Huh? What is it?\How did you overcome the grip of the demonic aura?\Demonic aura?\Was there such a thing here?\You really don't sense it?\I guess it means she's very extraordinary.\Anyway, we can't be wasting time here! response:	The demon head flew off!
