context: How to contact Luna Nova? response:	What's this now? Have the seeds of love finally sprouted in your withered heart?
context: Those countries have always had bad blood between them.\This is just an outlet for their unbridled discontent.\It looks like there are those participating for the entertainment.\Sure looks that way, yeah. They're using the opportunity to wreak havoc.\I think so too. They want to ride the wave and go wild.\Look, it's the no goal wave.\It's a site where people go to\This is a site where people come to let their hatred loose. response:	The userbase has been exploding recently.
context: This is just an outlet for their unbridled discontent.\It looks like there are those participating for the entertainment.\Sure looks that way, yeah. They're using the opportunity to wreak havoc.\I think so too. They want to ride the wave and go wild.\Look, it's the no goal wave.\It's a site where people go to\This is a site where people come to let their hatred loose.\The userbase has been exploding recently. response:	Guess I'll log in to ER.
context: It looks like there are those participating for the entertainment.\Sure looks that way, yeah. They're using the opportunity to wreak havoc.\I think so too. They want to ride the wave and go wild.\Look, it's the no goal wave.\It's a site where people go to\This is a site where people come to let their hatred loose.\The userbase has been exploding recently.\Guess I'll log in to ER. response:	It feels like everyone's been using it because of the tense atmosphere in town.
context: Sure looks that way, yeah. They're using the opportunity to wreak havoc.\I think so too. They want to ride the wave and go wild.\Look, it's the no goal wave.\It's a site where people go to\This is a site where people come to let their hatred loose.\The userbase has been exploding recently.\Guess I'll log in to ER.\It feels like everyone's been using it because of the tense atmosphere in town. response:	I can't believe you not only brought Diana back, but unlocked the fifth Word along the way.
context: I think so too. They want to ride the wave and go wild.\Look, it's the no goal wave.\It's a site where people go to\This is a site where people come to let their hatred loose.\The userbase has been exploding recently.\Guess I'll log in to ER.\It feels like everyone's been using it because of the tense atmosphere in town.\I can't believe you not only brought Diana back, but unlocked the fifth Word along the way. response:	Now there are only two more Words left.
context: Look, it's the no goal wave.\It's a site where people go to\This is a site where people come to let their hatred loose.\The userbase has been exploding recently.\Guess I'll log in to ER.\It feels like everyone's been using it because of the tense atmosphere in town.\I can't believe you not only brought Diana back, but unlocked the fifth Word along the way.\Now there are only two more Words left. response:	Ryuong.
context: It's a site where people go to\This is a site where people come to let their hatred loose.\The userbase has been exploding recently.\Guess I'll log in to ER.\It feels like everyone's been using it because of the tense atmosphere in town.\I can't believe you not only brought Diana back, but unlocked the fifth Word along the way.\Now there are only two more Words left.\Ryuong. response:	Ryuong is one of the most precious words there is.
context: This is a site where people come to let their hatred loose.\The userbase has been exploding recently.\Guess I'll log in to ER.\It feels like everyone's been using it because of the tense atmosphere in town.\I can't believe you not only brought Diana back, but unlocked the fifth Word along the way.\Now there are only two more Words left.\Ryuong.\Ryuong is one of the most precious words there is. response:	Only those who understand the true meaning of it can see the light at the end of their paths.
context: The userbase has been exploding recently.\Guess I'll log in to ER.\It feels like everyone's been using it because of the tense atmosphere in town.\I can't believe you not only brought Diana back, but unlocked the fifth Word along the way.\Now there are only two more Words left.\Ryuong.\Ryuong is one of the most precious words there is.\Only those who understand the true meaning of it can see the light at the end of their paths. response:	Professor Ursula, do you know what it means?
context: Guess I'll log in to ER.\It feels like everyone's been using it because of the tense atmosphere in town.\I can't believe you not only brought Diana back, but unlocked the fifth Word along the way.\Now there are only two more Words left.\Ryuong.\Ryuong is one of the most precious words there is.\Only those who understand the true meaning of it can see the light at the end of their paths.\Professor Ursula, do you know what it means? response:	Aren't I always saying that only when you realize each Word's value in your heart will its magic be released?
context: It feels like everyone's been using it because of the tense atmosphere in town.\I can't believe you not only brought Diana back, but unlocked the fifth Word along the way.\Now there are only two more Words left.\Ryuong.\Ryuong is one of the most precious words there is.\Only those who understand the true meaning of it can see the light at the end of their paths.\Professor Ursula, do you know what it means?\Aren't I always saying that only when you realize each Word's value in your heart will its magic be released? response:	It feels like I'm this close to Chariot, and I can't wait any more!
context: I can't believe you not only brought Diana back, but unlocked the fifth Word along the way.\Now there are only two more Words left.\Ryuong.\Ryuong is one of the most precious words there is.\Only those who understand the true meaning of it can see the light at the end of their paths.\Professor Ursula, do you know what it means?\Aren't I always saying that only when you realize each Word's value in your heart will its magic be released?\It feels like I'm this close to Chariot, and I can't wait any more! response:	Didn't Chariot also make it up to the next Word?
context: Now there are only two more Words left.\Ryuong.\Ryuong is one of the most precious words there is.\Only those who understand the true meaning of it can see the light at the end of their paths.\Professor Ursula, do you know what it means?\Aren't I always saying that only when you realize each Word's value in your heart will its magic be released?\It feels like I'm this close to Chariot, and I can't wait any more!\Didn't Chariot also make it up to the next Word? response:	Ryuong...
context: Ryuong.\Ryuong is one of the most precious words there is.\Only those who understand the true meaning of it can see the light at the end of their paths.\Professor Ursula, do you know what it means?\Aren't I always saying that only when you realize each Word's value in your heart will its magic be released?\It feels like I'm this close to Chariot, and I can't wait any more!\Didn't Chariot also make it up to the next Word?\Ryuong... response:	I can't find it anywhere, that Ryuong!
context: Ryuong is one of the most precious words there is.\Only those who understand the true meaning of it can see the light at the end of their paths.\Professor Ursula, do you know what it means?\Aren't I always saying that only when you realize each Word's value in your heart will its magic be released?\It feels like I'm this close to Chariot, and I can't wait any more!\Didn't Chariot also make it up to the next Word?\Ryuong...\I can't find it anywhere, that Ryuong! response:	I can't find it if I look, but if I don't I can?
context: Only those who understand the true meaning of it can see the light at the end of their paths.\Professor Ursula, do you know what it means?\Aren't I always saying that only when you realize each Word's value in your heart will its magic be released?\It feels like I'm this close to Chariot, and I can't wait any more!\Didn't Chariot also make it up to the next Word?\Ryuong...\I can't find it anywhere, that Ryuong!\I can't find it if I look, but if I don't I can? response:	Thanks? I just went and did it on my own.
context: Professor Ursula, do you know what it means?\Aren't I always saying that only when you realize each Word's value in your heart will its magic be released?\It feels like I'm this close to Chariot, and I can't wait any more!\Didn't Chariot also make it up to the next Word?\Ryuong...\I can't find it anywhere, that Ryuong!\I can't find it if I look, but if I don't I can?\Thanks? I just went and did it on my own. response:	That's right, but I can't figure out anything new. Professor Croix,
context: Aren't I always saying that only when you realize each Word's value in your heart will its magic be released?\It feels like I'm this close to Chariot, and I can't wait any more!\Didn't Chariot also make it up to the next Word?\Ryuong...\I can't find it anywhere, that Ryuong!\I can't find it if I look, but if I don't I can?\Thanks? I just went and did it on my own.\That's right, but I can't figure out anything new. Professor Croix, response:	have you heard of Ryuong?
context: It feels like I'm this close to Chariot, and I can't wait any more!\Didn't Chariot also make it up to the next Word?\Ryuong...\I can't find it anywhere, that Ryuong!\I can't find it if I look, but if I don't I can?\Thanks? I just went and did it on my own.\That's right, but I can't figure out anything new. Professor Croix,\have you heard of Ryuong? response:	Ryuong...
context: Didn't Chariot also make it up to the next Word?\Ryuong...\I can't find it anywhere, that Ryuong!\I can't find it if I look, but if I don't I can?\Thanks? I just went and did it on my own.\That's right, but I can't figure out anything new. Professor Croix,\have you heard of Ryuong?\Ryuong... response:	That's the sixth Word Chariot found, right?
context: Ryuong...\I can't find it anywhere, that Ryuong!\I can't find it if I look, but if I don't I can?\Thanks? I just went and did it on my own.\That's right, but I can't figure out anything new. Professor Croix,\have you heard of Ryuong?\Ryuong...\That's the sixth Word Chariot found, right? response:	That's it!
context: I can't find it anywhere, that Ryuong!\I can't find it if I look, but if I don't I can?\Thanks? I just went and did it on my own.\That's right, but I can't figure out anything new. Professor Croix,\have you heard of Ryuong?\Ryuong...\That's the sixth Word Chariot found, right?\That's it! response:	Chariot...
context: I can't find it if I look, but if I don't I can?\Thanks? I just went and did it on my own.\That's right, but I can't figure out anything new. Professor Croix,\have you heard of Ryuong?\Ryuong...\That's the sixth Word Chariot found, right?\That's it!\Chariot... response:	It's not a good time. Wagandea will soon open its buds and let loose its pollen.
context: Thanks? I just went and did it on my own.\That's right, but I can't figure out anything new. Professor Croix,\have you heard of Ryuong?\Ryuong...\That's the sixth Word Chariot found, right?\That's it!\Chariot...\It's not a good time. Wagandea will soon open its buds and let loose its pollen. response:	The pollen contains a severe toxin. If a witch comes into contact with it, she will lose something forever.
context: That's right, but I can't figure out anything new. Professor Croix,\have you heard of Ryuong?\Ryuong...\That's the sixth Word Chariot found, right?\That's it!\Chariot...\It's not a good time. Wagandea will soon open its buds and let loose its pollen.\The pollen contains a severe toxin. If a witch comes into contact with it, she will lose something forever. response:	I knew you would want to go right away if I told you, so I kept it a secret.
context: have you heard of Ryuong?\Ryuong...\That's the sixth Word Chariot found, right?\That's it!\Chariot...\It's not a good time. Wagandea will soon open its buds and let loose its pollen.\The pollen contains a severe toxin. If a witch comes into contact with it, she will lose something forever.\I knew you would want to go right away if I told you, so I kept it a secret. response:	If it's quick, only a few weeks. If it's long, a few months.
context: Ryuong...\That's the sixth Word Chariot found, right?\That's it!\Chariot...\It's not a good time. Wagandea will soon open its buds and let loose its pollen.\The pollen contains a severe toxin. If a witch comes into contact with it, she will lose something forever.\I knew you would want to go right away if I told you, so I kept it a secret.\If it's quick, only a few weeks. If it's long, a few months. response:	In some very rare cases, they could potentially be around for several years.
context: That's the sixth Word Chariot found, right?\That's it!\Chariot...\It's not a good time. Wagandea will soon open its buds and let loose its pollen.\The pollen contains a severe toxin. If a witch comes into contact with it, she will lose something forever.\I knew you would want to go right away if I told you, so I kept it a secret.\If it's quick, only a few weeks. If it's long, a few months.\In some very rare cases, they could potentially be around for several years. response:	Very, very rarely, it could potentially last for several years.
context: That's it!\Chariot...\It's not a good time. Wagandea will soon open its buds and let loose its pollen.\The pollen contains a severe toxin. If a witch comes into contact with it, she will lose something forever.\I knew you would want to go right away if I told you, so I kept it a secret.\If it's quick, only a few weeks. If it's long, a few months.\In some very rare cases, they could potentially be around for several years.\Very, very rarely, it could potentially last for several years. response:	But these cases are nearly unheard of, and about a month would be average.
context: Chariot...\It's not a good time. Wagandea will soon open its buds and let loose its pollen.\The pollen contains a severe toxin. If a witch comes into contact with it, she will lose something forever.\I knew you would want to go right away if I told you, so I kept it a secret.\If it's quick, only a few weeks. If it's long, a few months.\In some very rare cases, they could potentially be around for several years.\Very, very rarely, it could potentially last for several years.\But these cases are nearly unheard of, and about a month would be average. response:	But occasions like that are nearly unheard of, and about a month would be average.
context: It's not a good time. Wagandea will soon open its buds and let loose its pollen.\The pollen contains a severe toxin. If a witch comes into contact with it, she will lose something forever.\I knew you would want to go right away if I told you, so I kept it a secret.\If it's quick, only a few weeks. If it's long, a few months.\In some very rare cases, they could potentially be around for several years.\Very, very rarely, it could potentially last for several years.\But these cases are nearly unheard of, and about a month would be average.\But occasions like that are nearly unheard of, and about a month would be average. response:	But worse case scenario, I'll have to wait years to go! That's way too long!
context: The pollen contains a severe toxin. If a witch comes into contact with it, she will lose something forever.\I knew you would want to go right away if I told you, so I kept it a secret.\If it's quick, only a few weeks. If it's long, a few months.\In some very rare cases, they could potentially be around for several years.\Very, very rarely, it could potentially last for several years.\But these cases are nearly unheard of, and about a month would be average.\But occasions like that are nearly unheard of, and about a month would be average.\But worse case scenario, I'll have to wait years to go! That's way too long! response:	Don't you know how my luck always is?
context: I knew you would want to go right away if I told you, so I kept it a secret.\If it's quick, only a few weeks. If it's long, a few months.\In some very rare cases, they could potentially be around for several years.\Very, very rarely, it could potentially last for several years.\But these cases are nearly unheard of, and about a month would be average.\But occasions like that are nearly unheard of, and about a month would be average.\But worse case scenario, I'll have to wait years to go! That's way too long!\Don't you know how my luck always is? response:	I'm guaranteed to always pick the short straw.
context: If it's quick, only a few weeks. If it's long, a few months.\In some very rare cases, they could potentially be around for several years.\Very, very rarely, it could potentially last for several years.\But these cases are nearly unheard of, and about a month would be average.\But occasions like that are nearly unheard of, and about a month would be average.\But worse case scenario, I'll have to wait years to go! That's way too long!\Don't you know how my luck always is?\I'm guaranteed to always pick the short straw. response:	Sometimes you need to be brave and step up!
context: In some very rare cases, they could potentially be around for several years.\Very, very rarely, it could potentially last for several years.\But these cases are nearly unheard of, and about a month would be average.\But occasions like that are nearly unheard of, and about a month would be average.\But worse case scenario, I'll have to wait years to go! That's way too long!\Don't you know how my luck always is?\I'm guaranteed to always pick the short straw.\Sometimes you need to be brave and step up! response:	Witches who are engulfed by Wagandea's pollen lose their ability to use magic,
context: Very, very rarely, it could potentially last for several years.\But these cases are nearly unheard of, and about a month would be average.\But occasions like that are nearly unheard of, and about a month would be average.\But worse case scenario, I'll have to wait years to go! That's way too long!\Don't you know how my luck always is?\I'm guaranteed to always pick the short straw.\Sometimes you need to be brave and step up!\Witches who are engulfed by Wagandea's pollen lose their ability to use magic, response:	Although I find it mysterious how you're still unable to fly,
context: But these cases are nearly unheard of, and about a month would be average.\But occasions like that are nearly unheard of, and about a month would be average.\But worse case scenario, I'll have to wait years to go! That's way too long!\Don't you know how my luck always is?\I'm guaranteed to always pick the short straw.\Sometimes you need to be brave and step up!\Witches who are engulfed by Wagandea's pollen lose their ability to use magic,\Although I find it mysterious how you're still unable to fly, response:	if you continue practicing, you may still learn how to do it on day.
context: But occasions like that are nearly unheard of, and about a month would be average.\But worse case scenario, I'll have to wait years to go! That's way too long!\Don't you know how my luck always is?\I'm guaranteed to always pick the short straw.\Sometimes you need to be brave and step up!\Witches who are engulfed by Wagandea's pollen lose their ability to use magic,\Although I find it mysterious how you're still unable to fly,\if you continue practicing, you may still learn how to do it on day. response:	if you continue practicing, you may one day learn how.
context: But worse case scenario, I'll have to wait years to go! That's way too long!\Don't you know how my luck always is?\I'm guaranteed to always pick the short straw.\Sometimes you need to be brave and step up!\Witches who are engulfed by Wagandea's pollen lose their ability to use magic,\Although I find it mysterious how you're still unable to fly,\if you continue practicing, you may still learn how to do it on day.\if you continue practicing, you may one day learn how. response:	Her words were as harsh as ever, but I really get the feeling that she was concerned for you.
context: Don't you know how my luck always is?\I'm guaranteed to always pick the short straw.\Sometimes you need to be brave and step up!\Witches who are engulfed by Wagandea's pollen lose their ability to use magic,\Although I find it mysterious how you're still unable to fly,\if you continue practicing, you may still learn how to do it on day.\if you continue practicing, you may one day learn how.\Her words were as harsh as ever, but I really get the feeling that she was concerned for you. response:	But something's fishy. The pollen release should still be a ways off.
context: I'm guaranteed to always pick the short straw.\Sometimes you need to be brave and step up!\Witches who are engulfed by Wagandea's pollen lose their ability to use magic,\Although I find it mysterious how you're still unable to fly,\if you continue practicing, you may still learn how to do it on day.\if you continue practicing, you may one day learn how.\Her words were as harsh as ever, but I really get the feeling that she was concerned for you.\But something's fishy. The pollen release should still be a ways off. response:	Professor Ursula can be a bit hasty sometimes, so perhaps she's misunderstood something.
context: Sometimes you need to be brave and step up!\Witches who are engulfed by Wagandea's pollen lose their ability to use magic,\Although I find it mysterious how you're still unable to fly,\if you continue practicing, you may still learn how to do it on day.\if you continue practicing, you may one day learn how.\Her words were as harsh as ever, but I really get the feeling that she was concerned for you.\But something's fishy. The pollen release should still be a ways off.\Professor Ursula can be a bit hasty sometimes, so perhaps she's misunderstood something. response:	The Grand Triskelion will be released when they are all gathered.
context: Witches who are engulfed by Wagandea's pollen lose their ability to use magic,\Although I find it mysterious how you're still unable to fly,\if you continue practicing, you may still learn how to do it on day.\if you continue practicing, you may one day learn how.\Her words were as harsh as ever, but I really get the feeling that she was concerned for you.\But something's fishy. The pollen release should still be a ways off.\Professor Ursula can be a bit hasty sometimes, so perhaps she's misunderstood something.\The Grand Triskelion will be released when they are all gathered. response:	U-Um, I'm honestly not that good at thinking about complex things.
context: Although I find it mysterious how you're still unable to fly,\if you continue practicing, you may still learn how to do it on day.\if you continue practicing, you may one day learn how.\Her words were as harsh as ever, but I really get the feeling that she was concerned for you.\But something's fishy. The pollen release should still be a ways off.\Professor Ursula can be a bit hasty sometimes, so perhaps she's misunderstood something.\The Grand Triskelion will be released when they are all gathered.\U-Um, I'm honestly not that good at thinking about complex things. response:	And?
context: if you continue practicing, you may still learn how to do it on day.\if you continue practicing, you may one day learn how.\Her words were as harsh as ever, but I really get the feeling that she was concerned for you.\But something's fishy. The pollen release should still be a ways off.\Professor Ursula can be a bit hasty sometimes, so perhaps she's misunderstood something.\The Grand Triskelion will be released when they are all gathered.\U-Um, I'm honestly not that good at thinking about complex things.\And? response:	I feel like as long as I keep finding the Words, I'll eventually meet Chariot.
context: if you continue practicing, you may one day learn how.\Her words were as harsh as ever, but I really get the feeling that she was concerned for you.\But something's fishy. The pollen release should still be a ways off.\Professor Ursula can be a bit hasty sometimes, so perhaps she's misunderstood something.\The Grand Triskelion will be released when they are all gathered.\U-Um, I'm honestly not that good at thinking about complex things.\And?\I feel like as long as I keep finding the Words, I'll eventually meet Chariot. response:	Yes! There's so much I want to ask her and tell her once I meet Chariot!
context: Her words were as harsh as ever, but I really get the feeling that she was concerned for you.\But something's fishy. The pollen release should still be a ways off.\Professor Ursula can be a bit hasty sometimes, so perhaps she's misunderstood something.\The Grand Triskelion will be released when they are all gathered.\U-Um, I'm honestly not that good at thinking about complex things.\And?\I feel like as long as I keep finding the Words, I'll eventually meet Chariot.\Yes! There's so much I want to ask her and tell her once I meet Chariot! response:	And the very first thing I'll do is thank her.
context: But something's fishy. The pollen release should still be a ways off.\Professor Ursula can be a bit hasty sometimes, so perhaps she's misunderstood something.\The Grand Triskelion will be released when they are all gathered.\U-Um, I'm honestly not that good at thinking about complex things.\And?\I feel like as long as I keep finding the Words, I'll eventually meet Chariot.\Yes! There's so much I want to ask her and tell her once I meet Chariot!\And the very first thing I'll do is thank her. response:	For sure...
context: Professor Ursula can be a bit hasty sometimes, so perhaps she's misunderstood something.\The Grand Triskelion will be released when they are all gathered.\U-Um, I'm honestly not that good at thinking about complex things.\And?\I feel like as long as I keep finding the Words, I'll eventually meet Chariot.\Yes! There's so much I want to ask her and tell her once I meet Chariot!\And the very first thing I'll do is thank her.\For sure... response:	Why would Professor Ursula try to stop you without having checked first herself?
context: The Grand Triskelion will be released when they are all gathered.\U-Um, I'm honestly not that good at thinking about complex things.\And?\I feel like as long as I keep finding the Words, I'll eventually meet Chariot.\Yes! There's so much I want to ask her and tell her once I meet Chariot!\And the very first thing I'll do is thank her.\For sure...\Why would Professor Ursula try to stop you without having checked first herself? response:	Perhaps there was some kind of reason she wanted to prevent you from climbing it.
context: U-Um, I'm honestly not that good at thinking about complex things.\And?\I feel like as long as I keep finding the Words, I'll eventually meet Chariot.\Yes! There's so much I want to ask her and tell her once I meet Chariot!\And the very first thing I'll do is thank her.\For sure...\Why would Professor Ursula try to stop you without having checked first herself?\Perhaps there was some kind of reason she wanted to prevent you from climbing it. response:	There are some things about her I'm suspicious of.
context: And?\I feel like as long as I keep finding the Words, I'll eventually meet Chariot.\Yes! There's so much I want to ask her and tell her once I meet Chariot!\And the very first thing I'll do is thank her.\For sure...\Why would Professor Ursula try to stop you without having checked first herself?\Perhaps there was some kind of reason she wanted to prevent you from climbing it.\There are some things about her I'm suspicious of. response:	but I have no memory of a student named Ursula.
context: I feel like as long as I keep finding the Words, I'll eventually meet Chariot.\Yes! There's so much I want to ask her and tell her once I meet Chariot!\And the very first thing I'll do is thank her.\For sure...\Why would Professor Ursula try to stop you without having checked first herself?\Perhaps there was some kind of reason she wanted to prevent you from climbing it.\There are some things about her I'm suspicious of.\but I have no memory of a student named Ursula. response:	It must be because she didn't leave much of an impression! Not everyone can stand out like Chariot.
context: Yes! There's so much I want to ask her and tell her once I meet Chariot!\And the very first thing I'll do is thank her.\For sure...\Why would Professor Ursula try to stop you without having checked first herself?\Perhaps there was some kind of reason she wanted to prevent you from climbing it.\There are some things about her I'm suspicious of.\but I have no memory of a student named Ursula.\It must be because she didn't leave much of an impression! Not everyone can stand out like Chariot. response:	That may be the reason.
context: And the very first thing I'll do is thank her.\For sure...\Why would Professor Ursula try to stop you without having checked first herself?\Perhaps there was some kind of reason she wanted to prevent you from climbing it.\There are some things about her I'm suspicious of.\but I have no memory of a student named Ursula.\It must be because she didn't leave much of an impression! Not everyone can stand out like Chariot.\That may be the reason. response:	Something very important.
context: For sure...\Why would Professor Ursula try to stop you without having checked first herself?\Perhaps there was some kind of reason she wanted to prevent you from climbing it.\There are some things about her I'm suspicious of.\but I have no memory of a student named Ursula.\It must be because she didn't leave much of an impression! Not everyone can stand out like Chariot.\That may be the reason.\Something very important. response:	She was just worried because of how dangerous it is here.
context: Why would Professor Ursula try to stop you without having checked first herself?\Perhaps there was some kind of reason she wanted to prevent you from climbing it.\There are some things about her I'm suspicious of.\but I have no memory of a student named Ursula.\It must be because she didn't leave much of an impression! Not everyone can stand out like Chariot.\That may be the reason.\Something very important.\She was just worried because of how dangerous it is here. response:	You'll need to climb by your own power without using any tools or magic if you want to learn the Word.
context: Perhaps there was some kind of reason she wanted to prevent you from climbing it.\There are some things about her I'm suspicious of.\but I have no memory of a student named Ursula.\It must be because she didn't leave much of an impression! Not everyone can stand out like Chariot.\That may be the reason.\Something very important.\She was just worried because of how dangerous it is here.\You'll need to climb by your own power without using any tools or magic if you want to learn the Word. response:	For the first time in ages, the staff of seven stars has chosen a master once more.
context: There are some things about her I'm suspicious of.\but I have no memory of a student named Ursula.\It must be because she didn't leave much of an impression! Not everyone can stand out like Chariot.\That may be the reason.\Something very important.\She was just worried because of how dangerous it is here.\You'll need to climb by your own power without using any tools or magic if you want to learn the Word.\For the first time in ages, the staff of seven stars has chosen a master once more. response:	The staff of seven stars has chosen a master once more.
context: but I have no memory of a student named Ursula.\It must be because she didn't leave much of an impression! Not everyone can stand out like Chariot.\That may be the reason.\Something very important.\She was just worried because of how dangerous it is here.\You'll need to climb by your own power without using any tools or magic if you want to learn the Word.\For the first time in ages, the staff of seven stars has chosen a master once more.\The staff of seven stars has chosen a master once more. response:	Even if you hamper Akko, you can't get the Grand Triskelion.
context: It must be because she didn't leave much of an impression! Not everyone can stand out like Chariot.\That may be the reason.\Something very important.\She was just worried because of how dangerous it is here.\You'll need to climb by your own power without using any tools or magic if you want to learn the Word.\For the first time in ages, the staff of seven stars has chosen a master once more.\The staff of seven stars has chosen a master once more.\Even if you hamper Akko, you can't get the Grand Triskelion. response:	The staff chose its owner incorrectly, just as it did before.
context: That may be the reason.\Something very important.\She was just worried because of how dangerous it is here.\You'll need to climb by your own power without using any tools or magic if you want to learn the Word.\For the first time in ages, the staff of seven stars has chosen a master once more.\The staff of seven stars has chosen a master once more.\Even if you hamper Akko, you can't get the Grand Triskelion.\The staff chose its owner incorrectly, just as it did before. response:	I have no more need for that thing.
context: Something very important.\She was just worried because of how dangerous it is here.\You'll need to climb by your own power without using any tools or magic if you want to learn the Word.\For the first time in ages, the staff of seven stars has chosen a master once more.\The staff of seven stars has chosen a master once more.\Even if you hamper Akko, you can't get the Grand Triskelion.\The staff chose its owner incorrectly, just as it did before.\I have no more need for that thing. response:	It's because she is your final dream.
context: She was just worried because of how dangerous it is here.\You'll need to climb by your own power without using any tools or magic if you want to learn the Word.\For the first time in ages, the staff of seven stars has chosen a master once more.\The staff of seven stars has chosen a master once more.\Even if you hamper Akko, you can't get the Grand Triskelion.\The staff chose its owner incorrectly, just as it did before.\I have no more need for that thing.\It's because she is your final dream. response:	It's because she is your final dream.
context: You'll need to climb by your own power without using any tools or magic if you want to learn the Word.\For the first time in ages, the staff of seven stars has chosen a master once more.\The staff of seven stars has chosen a master once more.\Even if you hamper Akko, you can't get the Grand Triskelion.\The staff chose its owner incorrectly, just as it did before.\I have no more need for that thing.\It's because she is your final dream.\It's because she is your final dream. response:	The flowers above us are already opening! You can't go!
context: For the first time in ages, the staff of seven stars has chosen a master once more.\The staff of seven stars has chosen a master once more.\Even if you hamper Akko, you can't get the Grand Triskelion.\The staff chose its owner incorrectly, just as it did before.\I have no more need for that thing.\It's because she is your final dream.\It's because she is your final dream.\The flowers above us are already opening! You can't go! response:	I don't think so.
context: The staff of seven stars has chosen a master once more.\Even if you hamper Akko, you can't get the Grand Triskelion.\The staff chose its owner incorrectly, just as it did before.\I have no more need for that thing.\It's because she is your final dream.\It's because she is your final dream.\The flowers above us are already opening! You can't go!\I don't think so. response:	You're not getting past me.
context: Even if you hamper Akko, you can't get the Grand Triskelion.\The staff chose its owner incorrectly, just as it did before.\I have no more need for that thing.\It's because she is your final dream.\It's because she is your final dream.\The flowers above us are already opening! You can't go!\I don't think so.\You're not getting past me. response:	I won't let you.
context: The staff chose its owner incorrectly, just as it did before.\I have no more need for that thing.\It's because she is your final dream.\It's because she is your final dream.\The flowers above us are already opening! You can't go!\I don't think so.\You're not getting past me.\I won't let you. response:	I might've just been pushing my dream onto you.
context: I have no more need for that thing.\It's because she is your final dream.\It's because she is your final dream.\The flowers above us are already opening! You can't go!\I don't think so.\You're not getting past me.\I won't let you.\I might've just been pushing my dream onto you. response:	Ryuong.
context: It's because she is your final dream.\It's because she is your final dream.\The flowers above us are already opening! You can't go!\I don't think so.\You're not getting past me.\I won't let you.\I might've just been pushing my dream onto you.\Ryuong. response:	That's it... that's what Ryong means.
