context: Karasuno Aoba Johsai response:	Up front!
context: Shut up.\Hey, that was awesome!\That was right below!\Did you aim for that?!\Hinata was close to the net, so I made the set close, too.\I'm glad it worked out.\Tobio's genius-like qualities\don't lie in his techniques, but rather how stupid he is. response:	Where others would probably hold back, he goes straight for it.
context: Hey, that was awesome!\That was right below!\Did you aim for that?!\Hinata was close to the net, so I made the set close, too.\I'm glad it worked out.\Tobio's genius-like qualities\don't lie in his techniques, but rather how stupid he is.\Where others would probably hold back, he goes straight for it. response:	All right! Let's get one more!
context: That was right below!\Did you aim for that?!\Hinata was close to the net, so I made the set close, too.\I'm glad it worked out.\Tobio's genius-like qualities\don't lie in his techniques, but rather how stupid he is.\Where others would probably hold back, he goes straight for it.\All right! Let's get one more! response:	Right!
context: Did you aim for that?!\Hinata was close to the net, so I made the set close, too.\I'm glad it worked out.\Tobio's genius-like qualities\don't lie in his techniques, but rather how stupid he is.\Where others would probably hold back, he goes straight for it.\All right! Let's get one more!\Right! response:	In both a good and bad way.
context: Hinata was close to the net, so I made the set close, too.\I'm glad it worked out.\Tobio's genius-like qualities\don't lie in his techniques, but rather how stupid he is.\Where others would probably hold back, he goes straight for it.\All right! Let's get one more!\Right!\In both a good and bad way. response:	When he's concentrating, he can't see around himself
context: I'm glad it worked out.\Tobio's genius-like qualities\don't lie in his techniques, but rather how stupid he is.\Where others would probably hold back, he goes straight for it.\All right! Let's get one more!\Right!\In both a good and bad way.\When he's concentrating, he can't see around himself response:	and doesn't even realize that no one's keeping up with him.
context: Tobio's genius-like qualities\don't lie in his techniques, but rather how stupid he is.\Where others would probably hold back, he goes straight for it.\All right! Let's get one more!\Right!\In both a good and bad way.\When he's concentrating, he can't see around himself\and doesn't even realize that no one's keeping up with him. response:	But...
context: don't lie in his techniques, but rather how stupid he is.\Where others would probably hold back, he goes straight for it.\All right! Let's get one more!\Right!\In both a good and bad way.\When he's concentrating, he can't see around himself\and doesn't even realize that no one's keeping up with him.\But... response:	Tsukishima, one more! Nice serve!
context: Where others would probably hold back, he goes straight for it.\All right! Let's get one more!\Right!\In both a good and bad way.\When he's concentrating, he can't see around himself\and doesn't even realize that no one's keeping up with him.\But...\Tsukishima, one more! Nice serve! response:	Now an idiot that'll walk in front of Tobio has appeared.
context: All right! Let's get one more!\Right!\In both a good and bad way.\When he's concentrating, he can't see around himself\and doesn't even realize that no one's keeping up with him.\But...\Tsukishima, one more! Nice serve!\Now an idiot that'll walk in front of Tobio has appeared. response:	You put a lot of strength into that!
context: Right!\In both a good and bad way.\When he's concentrating, he can't see around himself\and doesn't even realize that no one's keeping up with him.\But...\Tsukishima, one more! Nice serve!\Now an idiot that'll walk in front of Tobio has appeared.\You put a lot of strength into that! response:	I just went somewhere there wasn't a blocker.
context: In both a good and bad way.\When he's concentrating, he can't see around himself\and doesn't even realize that no one's keeping up with him.\But...\Tsukishima, one more! Nice serve!\Now an idiot that'll walk in front of Tobio has appeared.\You put a lot of strength into that!\I just went somewhere there wasn't a blocker. response:	Their 10 finally made a move.
context: When he's concentrating, he can't see around himself\and doesn't even realize that no one's keeping up with him.\But...\Tsukishima, one more! Nice serve!\Now an idiot that'll walk in front of Tobio has appeared.\You put a lot of strength into that!\I just went somewhere there wasn't a blocker.\Their 10 finally made a move. response:	Yeah... Those two never cease to surprise me.
context: and doesn't even realize that no one's keeping up with him.\But...\Tsukishima, one more! Nice serve!\Now an idiot that'll walk in front of Tobio has appeared.\You put a lot of strength into that!\I just went somewhere there wasn't a blocker.\Their 10 finally made a move.\Yeah... Those two never cease to surprise me. response:	But...
context: But...\Tsukishima, one more! Nice serve!\Now an idiot that'll walk in front of Tobio has appeared.\You put a lot of strength into that!\I just went somewhere there wasn't a blocker.\Their 10 finally made a move.\Yeah... Those two never cease to surprise me.\But... response:	A volleyball team with six strong players is stronger.
context: Tsukishima, one more! Nice serve!\Now an idiot that'll walk in front of Tobio has appeared.\You put a lot of strength into that!\I just went somewhere there wasn't a blocker.\Their 10 finally made a move.\Yeah... Those two never cease to surprise me.\But...\A volleyball team with six strong players is stronger. response:	Come on, bring it!
context: Now an idiot that'll walk in front of Tobio has appeared.\You put a lot of strength into that!\I just went somewhere there wasn't a blocker.\Their 10 finally made a move.\Yeah... Those two never cease to surprise me.\But...\A volleyball team with six strong players is stronger.\Come on, bring it! response:	Let's get this one!
context: You put a lot of strength into that!\I just went somewhere there wasn't a blocker.\Their 10 finally made a move.\Yeah... Those two never cease to surprise me.\But...\A volleyball team with six strong players is stronger.\Come on, bring it!\Let's get this one! response:	Yeah!
context: I just went somewhere there wasn't a blocker.\Their 10 finally made a move.\Yeah... Those two never cease to surprise me.\But...\A volleyball team with six strong players is stronger.\Come on, bring it!\Let's get this one!\Yeah! response:	If you understand that, then good.
context: Their 10 finally made a move.\Yeah... Those two never cease to surprise me.\But...\A volleyball team with six strong players is stronger.\Come on, bring it!\Let's get this one!\Yeah!\If you understand that, then good. response:	Fly
context: Yeah... Those two never cease to surprise me.\But...\A volleyball team with six strong players is stronger.\Come on, bring it!\Let's get this one!\Yeah!\If you understand that, then good.\Fly response:	Rule the Court
context: But...\A volleyball team with six strong players is stronger.\Come on, bring it!\Let's get this one!\Yeah!\If you understand that, then good.\Fly\Rule the Court response:	We're going to win!
context: A volleyball team with six strong players is stronger.\Come on, bring it!\Let's get this one!\Yeah!\If you understand that, then good.\Fly\Rule the Court\We're going to win! response:	Haikyu!!
context: Come on, bring it!\Let's get this one!\Yeah!\If you understand that, then good.\Fly\Rule the Court\We're going to win!\Haikyu!! response:	Episode 24: The Absolute Limit Switch
context: Let's get this one!\Yeah!\If you understand that, then good.\Fly\Rule the Court\We're going to win!\Haikyu!!\Episode 24: The Absolute Limit Switch response:	Tsukishima, nice serve!
context: Yeah!\If you understand that, then good.\Fly\Rule the Court\We're going to win!\Haikyu!!\Episode 24: The Absolute Limit Switch\Tsukishima, nice serve! response:	Got it!
context: If you understand that, then good.\Fly\Rule the Court\We're going to win!\Haikyu!!\Episode 24: The Absolute Limit Switch\Tsukishima, nice serve!\Got it! response:	Nice receive!
context: Fly\Rule the Court\We're going to win!\Haikyu!!\Episode 24: The Absolute Limit Switch\Tsukishima, nice serve!\Got it!\Nice receive! response:	That attack...
context: Rule the Court\We're going to win!\Haikyu!!\Episode 24: The Absolute Limit Switch\Tsukishima, nice serve!\Got it!\Nice receive!\That attack... response:	Left!
context: We're going to win!\Haikyu!!\Episode 24: The Absolute Limit Switch\Tsukishima, nice serve!\Got it!\Nice receive!\That attack...\Left! response:	It was just luck.
context: Haikyu!!\Episode 24: The Absolute Limit Switch\Tsukishima, nice serve!\Got it!\Nice receive!\That attack...\Left!\It was just luck. response:	I'm going to crush it before...
context: Episode 24: The Absolute Limit Switch\Tsukishima, nice serve!\Got it!\Nice receive!\That attack...\Left!\It was just luck.\I'm going to crush it before... response:	All right!
context: Tsukishima, nice serve!\Got it!\Nice receive!\That attack...\Left!\It was just luck.\I'm going to crush it before...\All right! response:	All right! We're tied!
context: Got it!\Nice receive!\That attack...\Left!\It was just luck.\I'm going to crush it before...\All right!\All right! We're tied! response:	Go for it!
context: Nice receive!\That attack...\Left!\It was just luck.\I'm going to crush it before...\All right!\All right! We're tied!\Go for it! response:	All right!
context: That attack...\Left!\It was just luck.\I'm going to crush it before...\All right!\All right! We're tied!\Go for it!\All right! response:	Tanaka-san, nice kill!
context: Left!\It was just luck.\I'm going to crush it before...\All right!\All right! We're tied!\Go for it!\All right!\Tanaka-san, nice kill! response:	Ryu!
context: It was just luck.\I'm going to crush it before...\All right!\All right! We're tied!\Go for it!\All right!\Tanaka-san, nice kill!\Ryu! response:	Yeah!
context: I'm going to crush it before...\All right!\All right! We're tied!\Go for it!\All right!\Tanaka-san, nice kill!\Ryu!\Yeah! response:	All right!
context: All right!\All right! We're tied!\Go for it!\All right!\Tanaka-san, nice kill!\Ryu!\Yeah!\All right! response:	Matsukawa-senpai, fight!
context: All right! We're tied!\Go for it!\All right!\Tanaka-san, nice kill!\Ryu!\Yeah!\All right!\Matsukawa-senpai, fight! response:	We're counting on you!
context: Go for it!\All right!\Tanaka-san, nice kill!\Ryu!\Yeah!\All right!\Matsukawa-senpai, fight!\We're counting on you! response:	Yeah!
context: All right!\Tanaka-san, nice kill!\Ryu!\Yeah!\All right!\Matsukawa-senpai, fight!\We're counting on you!\Yeah! response:	A pinch server, huh?
context: Tanaka-san, nice kill!\Ryu!\Yeah!\All right!\Matsukawa-senpai, fight!\We're counting on you!\Yeah!\A pinch server, huh? response:	Yahaba, get one for us.
context: Ryu!\Yeah!\All right!\Matsukawa-senpai, fight!\We're counting on you!\Yeah!\A pinch server, huh?\Yahaba, get one for us. response:	They're probably strengthening their defense, too.
context: Yeah!\All right!\Matsukawa-senpai, fight!\We're counting on you!\Yeah!\A pinch server, huh?\Yahaba, get one for us.\They're probably strengthening their defense, too. response:	Right!
context: All right!\Matsukawa-senpai, fight!\We're counting on you!\Yeah!\A pinch server, huh?\Yahaba, get one for us.\They're probably strengthening their defense, too.\Right! response:	Yahaba, nice serve!
context: Matsukawa-senpai, fight!\We're counting on you!\Yeah!\A pinch server, huh?\Yahaba, get one for us.\They're probably strengthening their defense, too.\Right!\Yahaba, nice serve! response:	With everything I have...
context: We're counting on you!\Yeah!\A pinch server, huh?\Yahaba, get one for us.\They're probably strengthening their defense, too.\Right!\Yahaba, nice serve!\With everything I have... response:	Asahi!
context: Yeah!\A pinch server, huh?\Yahaba, get one for us.\They're probably strengthening their defense, too.\Right!\Yahaba, nice serve!\With everything I have...\Asahi! response:	Sorry!
context: A pinch server, huh?\Yahaba, get one for us.\They're probably strengthening their defense, too.\Right!\Yahaba, nice serve!\With everything I have...\Asahi!\Sorry! response:	Cover! Cover!
context: Yahaba, get one for us.\They're probably strengthening their defense, too.\Right!\Yahaba, nice serve!\With everything I have...\Asahi!\Sorry!\Cover! Cover! response:	Tanaka-san!
context: They're probably strengthening their defense, too.\Right!\Yahaba, nice serve!\With everything I have...\Asahi!\Sorry!\Cover! Cover!\Tanaka-san! response:	Two blockers!
context: Right!\Yahaba, nice serve!\With everything I have...\Asahi!\Sorry!\Cover! Cover!\Tanaka-san!\Two blockers! response:	Yahaba!
context: Yahaba, nice serve!\With everything I have...\Asahi!\Sorry!\Cover! Cover!\Tanaka-san!\Two blockers!\Yahaba! response:	Right!
context: With everything I have...\Asahi!\Sorry!\Cover! Cover!\Tanaka-san!\Two blockers!\Yahaba!\Right! response:	Kyotani!
context: Asahi!\Sorry!\Cover! Cover!\Tanaka-san!\Two blockers!\Yahaba!\Right!\Kyotani! response:	Crap! It's short!
context: Sorry!\Cover! Cover!\Tanaka-san!\Two blockers!\Yahaba!\Right!\Kyotani!\Crap! It's short! response:	All right!
context: Cover! Cover!\Tanaka-san!\Two blockers!\Yahaba!\Right!\Kyotani!\Crap! It's short!\All right! response:	Did he just hit with his left hand?!
context: Tanaka-san!\Two blockers!\Yahaba!\Right!\Kyotani!\Crap! It's short!\All right!\Did he just hit with his left hand?! response:	He's right-handed, right?
context: Two blockers!\Yahaba!\Right!\Kyotani!\Crap! It's short!\All right!\Did he just hit with his left hand?!\He's right-handed, right? response:	Did he just manage to do that on the spot?
context: Yahaba!\Right!\Kyotani!\Crap! It's short!\All right!\Did he just hit with his left hand?!\He's right-handed, right?\Did he just manage to do that on the spot? response:	The ability to fully control his body, huh...
context: Right!\Kyotani!\Crap! It's short!\All right!\Did he just hit with his left hand?!\He's right-handed, right?\Did he just manage to do that on the spot?\The ability to fully control his body, huh... response:	Karasuno Aoba Johsai
context: Kyotani!\Crap! It's short!\All right!\Did he just hit with his left hand?!\He's right-handed, right?\Did he just manage to do that on the spot?\The ability to fully control his body, huh...\Karasuno Aoba Johsai response:	A break...
context: Crap! It's short!\All right!\Did he just hit with his left hand?!\He's right-handed, right?\Did he just manage to do that on the spot?\The ability to fully control his body, huh...\Karasuno Aoba Johsai\A break... response:	If they get into the 20s first, it's going to be rough.
context: All right!\Did he just hit with his left hand?!\He's right-handed, right?\Did he just manage to do that on the spot?\The ability to fully control his body, huh...\Karasuno Aoba Johsai\A break...\If they get into the 20s first, it's going to be rough. response:	Don't let them get a bigger lead!
context: Did he just hit with his left hand?!\He's right-handed, right?\Did he just manage to do that on the spot?\The ability to fully control his body, huh...\Karasuno Aoba Johsai\A break...\If they get into the 20s first, it's going to be rough.\Don't let them get a bigger lead! response:	Yeah!
context: He's right-handed, right?\Did he just manage to do that on the spot?\The ability to fully control his body, huh...\Karasuno Aoba Johsai\A break...\If they get into the 20s first, it's going to be rough.\Don't let them get a bigger lead!\Yeah! response:	Nice receive!
context: Did he just manage to do that on the spot?\The ability to fully control his body, huh...\Karasuno Aoba Johsai\A break...\If they get into the 20s first, it's going to be rough.\Don't let them get a bigger lead!\Yeah!\Nice receive! response:	All right!
context: The ability to fully control his body, huh...\Karasuno Aoba Johsai\A break...\If they get into the 20s first, it's going to be rough.\Don't let them get a bigger lead!\Yeah!\Nice receive!\All right! response:	You little brat...
context: Karasuno Aoba Johsai\A break...\If they get into the 20s first, it's going to be rough.\Don't let them get a bigger lead!\Yeah!\Nice receive!\All right!\You little brat... response:	Kyotani...
context: A break...\If they get into the 20s first, it's going to be rough.\Don't let them get a bigger lead!\Yeah!\Nice receive!\All right!\You little brat...\Kyotani... response:	We're counting on you!
context: If they get into the 20s first, it's going to be rough.\Don't let them get a bigger lead!\Yeah!\Nice receive!\All right!\You little brat...\Kyotani...\We're counting on you! response:	Yeah!
context: Don't let them get a bigger lead!\Yeah!\Nice receive!\All right!\You little brat...\Kyotani...\We're counting on you!\Yeah! response:	Good, good. We've caught up.
context: Yeah!\Nice receive!\All right!\You little brat...\Kyotani...\We're counting on you!\Yeah!\Good, good. We've caught up. response:	Yeah, that's some concentration...
context: Nice receive!\All right!\You little brat...\Kyotani...\We're counting on you!\Yeah!\Good, good. We've caught up.\Yeah, that's some concentration... response:	Tanaka, nice serve!
context: All right!\You little brat...\Kyotani...\We're counting on you!\Yeah!\Good, good. We've caught up.\Yeah, that's some concentration...\Tanaka, nice serve! response:	These guys never cease to surprise me.
context: You little brat...\Kyotani...\We're counting on you!\Yeah!\Good, good. We've caught up.\Yeah, that's some concentration...\Tanaka, nice serve!\These guys never cease to surprise me. response:	Got it!
context: Kyotani...\We're counting on you!\Yeah!\Good, good. We've caught up.\Yeah, that's some concentration...\Tanaka, nice serve!\These guys never cease to surprise me.\Got it! response:	They're coming on the right! Right!
context: We're counting on you!\Yeah!\Good, good. We've caught up.\Yeah, that's some concentration...\Tanaka, nice serve!\These guys never cease to surprise me.\Got it!\They're coming on the right! Right! response:	16! 16!
context: Yeah!\Good, good. We've caught up.\Yeah, that's some concentration...\Tanaka, nice serve!\These guys never cease to surprise me.\Got it!\They're coming on the right! Right!\16! 16! response:	Stop them!
context: Good, good. We've caught up.\Yeah, that's some concentration...\Tanaka, nice serve!\These guys never cease to surprise me.\Got it!\They're coming on the right! Right!\16! 16!\Stop them! response:	All right!
context: Yeah, that's some concentration...\Tanaka, nice serve!\These guys never cease to surprise me.\Got it!\They're coming on the right! Right!\16! 16!\Stop them!\All right! response:	Nice one-touch!
context: Tanaka, nice serve!\These guys never cease to surprise me.\Got it!\They're coming on the right! Right!\16! 16!\Stop them!\All right!\Nice one-touch! response:	Yes!
context: These guys never cease to surprise me.\Got it!\They're coming on the right! Right!\16! 16!\Stop them!\All right!\Nice one-touch!\Yes! response:	Connect! Connect!
context: Got it!\They're coming on the right! Right!\16! 16!\Stop them!\All right!\Nice one-touch!\Yes!\Connect! Connect! response:	It's off! Look out on the left!
context: They're coming on the right! Right!\16! 16!\Stop them!\All right!\Nice one-touch!\Yes!\Connect! Connect!\It's off! Look out on the left! response:	Get back!
context: 16! 16!\Stop them!\All right!\Nice one-touch!\Yes!\Connect! Connect!\It's off! Look out on the left!\Get back! response:	Nice receive!
context: Stop them!\All right!\Nice one-touch!\Yes!\Connect! Connect!\It's off! Look out on the left!\Get back!\Nice receive! response:	Wow...
context: All right!\Nice one-touch!\Yes!\Connect! Connect!\It's off! Look out on the left!\Get back!\Nice receive!\Wow... response:	One more! One more!
context: Nice one-touch!\Yes!\Connect! Connect!\It's off! Look out on the left!\Get back!\Nice receive!\Wow...\One more! One more! response:	Cover!
context: Yes!\Connect! Connect!\It's off! Look out on the left!\Get back!\Nice receive!\Wow...\One more! One more!\Cover! response:	Left!
context: Connect! Connect!\It's off! Look out on the left!\Get back!\Nice receive!\Wow...\One more! One more!\Cover!\Left! response:	Damn it!
context: It's off! Look out on the left!\Get back!\Nice receive!\Wow...\One more! One more!\Cover!\Left!\Damn it! response:	All right!
context: Get back!\Nice receive!\Wow...\One more! One more!\Cover!\Left!\Damn it!\All right! response:	All right!
context: Nice receive!\Wow...\One more! One more!\Cover!\Left!\Damn it!\All right!\All right! response:	Now we're in the 20s!
context: Wow...\One more! One more!\Cover!\Left!\Damn it!\All right!\All right!\Now we're in the 20s! response:	Karasuno Aoba Johsai
context: One more! One more!\Cover!\Left!\Damn it!\All right!\All right!\Now we're in the 20s!\Karasuno Aoba Johsai response:	They got there first.
context: Cover!\Left!\Damn it!\All right!\All right!\Now we're in the 20s!\Karasuno Aoba Johsai\They got there first. response:	We don't have to panic.
context: Left!\Damn it!\All right!\All right!\Now we're in the 20s!\Karasuno Aoba Johsai\They got there first.\We don't have to panic. response:	It's still just one point.
context: Damn it!\All right!\All right!\Now we're in the 20s!\Karasuno Aoba Johsai\They got there first.\We don't have to panic.\It's still just one point. response:	All right!
context: All right!\All right!\Now we're in the 20s!\Karasuno Aoba Johsai\They got there first.\We don't have to panic.\It's still just one point.\All right! response:	We're counting on you!
context: All right!\Now we're in the 20s!\Karasuno Aoba Johsai\They got there first.\We don't have to panic.\It's still just one point.\All right!\We're counting on you! response:	There he is!
context: Now we're in the 20s!\Karasuno Aoba Johsai\They got there first.\We don't have to panic.\It's still just one point.\All right!\We're counting on you!\There he is! response:	The pinch server who got five points in a row in the second set.
context: Karasuno Aoba Johsai\They got there first.\We don't have to panic.\It's still just one point.\All right!\We're counting on you!\There he is!\The pinch server who got five points in a row in the second set. response:	We're counting on you, Yamaguchi!
context: They got there first.\We don't have to panic.\It's still just one point.\All right!\We're counting on you!\There he is!\The pinch server who got five points in a row in the second set.\We're counting on you, Yamaguchi! response:	Stay calm!
context: We don't have to panic.\It's still just one point.\All right!\We're counting on you!\There he is!\The pinch server who got five points in a row in the second set.\We're counting on you, Yamaguchi!\Stay calm! response:	Give it your all!
context: It's still just one point.\All right!\We're counting on you!\There he is!\The pinch server who got five points in a row in the second set.\We're counting on you, Yamaguchi!\Stay calm!\Give it your all! response:	Right!
context: All right!\We're counting on you!\There he is!\The pinch server who got five points in a row in the second set.\We're counting on you, Yamaguchi!\Stay calm!\Give it your all!\Right! response:	Go!
context: We're counting on you!\There he is!\The pinch server who got five points in a row in the second set.\We're counting on you, Yamaguchi!\Stay calm!\Give it your all!\Right!\Go! response:	Tadashi!
context: There he is!\The pinch server who got five points in a row in the second set.\We're counting on you, Yamaguchi!\Stay calm!\Give it your all!\Right!\Go!\Tadashi! response:	Nice serve!
context: The pinch server who got five points in a row in the second set.\We're counting on you, Yamaguchi!\Stay calm!\Give it your all!\Right!\Go!\Tadashi!\Nice serve! response:	Yamaguchi-kun! Do that thing again!
context: We're counting on you, Yamaguchi!\Stay calm!\Give it your all!\Right!\Go!\Tadashi!\Nice serve!\Yamaguchi-kun! Do that thing again! response:	Yamaguchi.
context: Stay calm!\Give it your all!\Right!\Go!\Tadashi!\Nice serve!\Yamaguchi-kun! Do that thing again!\Yamaguchi. response:	Get a nice serve in.
context: Give it your all!\Right!\Go!\Tadashi!\Nice serve!\Yamaguchi-kun! Do that thing again!\Yamaguchi.\Get a nice serve in. response:	Yeah.
context: Right!\Go!\Tadashi!\Nice serve!\Yamaguchi-kun! Do that thing again!\Yamaguchi.\Get a nice serve in.\Yeah. response:	Karasuno Aoba Johsai
context: Go!\Tadashi!\Nice serve!\Yamaguchi-kun! Do that thing again!\Yamaguchi.\Get a nice serve in.\Yeah.\Karasuno Aoba Johsai response:	Nice serve!
context: Tadashi!\Nice serve!\Yamaguchi-kun! Do that thing again!\Yamaguchi.\Get a nice serve in.\Yeah.\Karasuno Aoba Johsai\Nice serve! response:	Out.
context: Nice serve!\Yamaguchi-kun! Do that thing again!\Yamaguchi.\Get a nice serve in.\Yeah.\Karasuno Aoba Johsai\Nice serve!\Out. response:	No...
context: Yamaguchi-kun! Do that thing again!\Yamaguchi.\Get a nice serve in.\Yeah.\Karasuno Aoba Johsai\Nice serve!\Out.\No... response:	This time it went long?!
context: Yamaguchi.\Get a nice serve in.\Yeah.\Karasuno Aoba Johsai\Nice serve!\Out.\No...\This time it went long?! response:	Yay!
context: Get a nice serve in.\Yeah.\Karasuno Aoba Johsai\Nice serve!\Out.\No...\This time it went long?!\Yay! response:	Yeah!
context: Yeah.\Karasuno Aoba Johsai\Nice serve!\Out.\No...\This time it went long?!\Yay!\Yeah! response:	What?!
context: Karasuno Aoba Johsai\Nice serve!\Out.\No...\This time it went long?!\Yay!\Yeah!\What?! response:	He actually connected with it!
context: Nice serve!\Out.\No...\This time it went long?!\Yay!\Yeah!\What?!\He actually connected with it! response:	Watari, get the last!
context: Out.\No...\This time it went long?!\Yay!\Yeah!\What?!\He actually connected with it!\Watari, get the last! response:	Right.
context: No...\This time it went long?!\Yay!\Yeah!\What?!\He actually connected with it!\Watari, get the last!\Right. response:	Chance ball!
context: This time it went long?!\Yay!\Yeah!\What?!\He actually connected with it!\Watari, get the last!\Right.\Chance ball! response:	A synchronized attack!
context: Yay!\Yeah!\What?!\He actually connected with it!\Watari, get the last!\Right.\Chance ball!\A synchronized attack! response:	Yeah!
context: Yeah!\What?!\He actually connected with it!\Watari, get the last!\Right.\Chance ball!\A synchronized attack!\Yeah! response:	Damn, his switch is totally turned on.
context: What?!\He actually connected with it!\Watari, get the last!\Right.\Chance ball!\A synchronized attack!\Yeah!\Damn, his switch is totally turned on. response:	Nice receive, Iwa-chan.
context: He actually connected with it!\Watari, get the last!\Right.\Chance ball!\A synchronized attack!\Yeah!\Damn, his switch is totally turned on.\Nice receive, Iwa-chan. response:	Iwaizumi-san, nice!
context: Watari, get the last!\Right.\Chance ball!\A synchronized attack!\Yeah!\Damn, his switch is totally turned on.\Nice receive, Iwa-chan.\Iwaizumi-san, nice! response:	Wow...
context: Right.\Chance ball!\A synchronized attack!\Yeah!\Damn, his switch is totally turned on.\Nice receive, Iwa-chan.\Iwaizumi-san, nice!\Wow... response:	Makki!
context: Chance ball!\A synchronized attack!\Yeah!\Damn, his switch is totally turned on.\Nice receive, Iwa-chan.\Iwaizumi-san, nice!\Wow...\Makki! response:	A feint!
context: A synchronized attack!\Yeah!\Damn, his switch is totally turned on.\Nice receive, Iwa-chan.\Iwaizumi-san, nice!\Wow...\Makki!\A feint! response:	Damn it all!
context: Yeah!\Damn, his switch is totally turned on.\Nice receive, Iwa-chan.\Iwaizumi-san, nice!\Wow...\Makki!\A feint!\Damn it all! response:	Yes! We managed to limit 12 to one serve.
context: Damn, his switch is totally turned on.\Nice receive, Iwa-chan.\Iwaizumi-san, nice!\Wow...\Makki!\A feint!\Damn it all!\Yes! We managed to limit 12 to one serve. response:	All right!
context: Nice receive, Iwa-chan.\Iwaizumi-san, nice!\Wow...\Makki!\A feint!\Damn it all!\Yes! We managed to limit 12 to one serve.\All right! response:	Nice kill!
context: Iwaizumi-san, nice!\Wow...\Makki!\A feint!\Damn it all!\Yes! We managed to limit 12 to one serve.\All right!\Nice kill! response:	Yeah!
context: Wow...\Makki!\A feint!\Damn it all!\Yes! We managed to limit 12 to one serve.\All right!\Nice kill!\Yeah! response:	When I was a kid, I only did spikes because they were fun,
