context: Now, go. response:	You have your power now.
context: Chise.\Chise, there is a lot that I still don't know.\I need you with me.\Do you really?\Yes, I do.\Without you, it's so cold and lonely.\I hate the cold, too.\So I'll go home. response:	It still feels like there's a fog over my brain.
context: Chise, there is a lot that I still don't know.\I need you with me.\Do you really?\Yes, I do.\Without you, it's so cold and lonely.\I hate the cold, too.\So I'll go home.\It still feels like there's a fog over my brain. response:	It's a kind of curse.
context: I need you with me.\Do you really?\Yes, I do.\Without you, it's so cold and lonely.\I hate the cold, too.\So I'll go home.\It still feels like there's a fog over my brain.\It's a kind of curse. response:	A curse?
context: Do you really?\Yes, I do.\Without you, it's so cold and lonely.\I hate the cold, too.\So I'll go home.\It still feels like there's a fog over my brain.\It's a kind of curse.\A curse? response:	This hide turns the wearer into a werebeast.
context: Yes, I do.\Without you, it's so cold and lonely.\I hate the cold, too.\So I'll go home.\It still feels like there's a fog over my brain.\It's a kind of curse.\A curse?\This hide turns the wearer into a werebeast. response:	Though this hide is that of a fox.
context: Without you, it's so cold and lonely.\I hate the cold, too.\So I'll go home.\It still feels like there's a fog over my brain.\It's a kind of curse.\A curse?\This hide turns the wearer into a werebeast.\Though this hide is that of a fox. response:	The hide of a werebeast answers to one's wishes.
context: I hate the cold, too.\So I'll go home.\It still feels like there's a fog over my brain.\It's a kind of curse.\A curse?\This hide turns the wearer into a werebeast.\Though this hide is that of a fox.\The hide of a werebeast answers to one's wishes. response:	What an awful thing he left me with.
context: So I'll go home.\It still feels like there's a fog over my brain.\It's a kind of curse.\A curse?\This hide turns the wearer into a werebeast.\Though this hide is that of a fox.\The hide of a werebeast answers to one's wishes.\What an awful thing he left me with. response:	Ask me when you want to use it.
context: It still feels like there's a fog over my brain.\It's a kind of curse.\A curse?\This hide turns the wearer into a werebeast.\Though this hide is that of a fox.\The hide of a werebeast answers to one's wishes.\What an awful thing he left me with.\Ask me when you want to use it. response:	This certainly was mischievous of him.
context: It's a kind of curse.\A curse?\This hide turns the wearer into a werebeast.\Though this hide is that of a fox.\The hide of a werebeast answers to one's wishes.\What an awful thing he left me with.\Ask me when you want to use it.\This certainly was mischievous of him. response:	And he's gone.
context: A curse?\This hide turns the wearer into a werebeast.\Though this hide is that of a fox.\The hide of a werebeast answers to one's wishes.\What an awful thing he left me with.\Ask me when you want to use it.\This certainly was mischievous of him.\And he's gone. response:	I don't want to use it.
context: This hide turns the wearer into a werebeast.\Though this hide is that of a fox.\The hide of a werebeast answers to one's wishes.\What an awful thing he left me with.\Ask me when you want to use it.\This certainly was mischievous of him.\And he's gone.\I don't want to use it. response:	What if I'd gone to the other side?
context: Though this hide is that of a fox.\The hide of a werebeast answers to one's wishes.\What an awful thing he left me with.\Ask me when you want to use it.\This certainly was mischievous of him.\And he's gone.\I don't want to use it.\What if I'd gone to the other side? response:	I'll stop you if that's not what you want.
context: The hide of a werebeast answers to one's wishes.\What an awful thing he left me with.\Ask me when you want to use it.\This certainly was mischievous of him.\And he's gone.\I don't want to use it.\What if I'd gone to the other side?\I'll stop you if that's not what you want. response:	Stop me even if I do want it.
context: What an awful thing he left me with.\Ask me when you want to use it.\This certainly was mischievous of him.\And he's gone.\I don't want to use it.\What if I'd gone to the other side?\I'll stop you if that's not what you want.\Stop me even if I do want it. response:	Good night.
context: Ask me when you want to use it.\This certainly was mischievous of him.\And he's gone.\I don't want to use it.\What if I'd gone to the other side?\I'll stop you if that's not what you want.\Stop me even if I do want it.\Good night. response:	Good night.
context: This certainly was mischievous of him.\And he's gone.\I don't want to use it.\What if I'd gone to the other side?\I'll stop you if that's not what you want.\Stop me even if I do want it.\Good night.\Good night. response:	Chise!
context: And he's gone.\I don't want to use it.\What if I'd gone to the other side?\I'll stop you if that's not what you want.\Stop me even if I do want it.\Good night.\Good night.\Chise! response:	Save Joel!
context: I don't want to use it.\What if I'd gone to the other side?\I'll stop you if that's not what you want.\Stop me even if I do want it.\Good night.\Good night.\Chise!\Save Joel! response:	Chise.
context: What if I'd gone to the other side?\I'll stop you if that's not what you want.\Stop me even if I do want it.\Good night.\Good night.\Chise!\Save Joel!\Chise. response:	He hasn't woken up all day.
context: I'll stop you if that's not what you want.\Stop me even if I do want it.\Good night.\Good night.\Chise!\Save Joel!\Chise.\He hasn't woken up all day. response:	I can't do anything for him.
context: Stop me even if I do want it.\Good night.\Good night.\Chise!\Save Joel!\Chise.\He hasn't woken up all day.\I can't do anything for him. response:	Chise, get on!
context: Good night.\Good night.\Chise!\Save Joel!\Chise.\He hasn't woken up all day.\I can't do anything for him.\Chise, get on! response:	But...
context: Good night.\Chise!\Save Joel!\Chise.\He hasn't woken up all day.\I can't do anything for him.\Chise, get on!\But... response:	It'll be fine!
context: Chise!\Save Joel!\Chise.\He hasn't woken up all day.\I can't do anything for him.\Chise, get on!\But...\It'll be fine! response:	You are a good lock, an old lock.
context: Save Joel!\Chise.\He hasn't woken up all day.\I can't do anything for him.\Chise, get on!\But...\It'll be fine!\You are a good lock, an old lock. response:	I am your good oil.
context: Chise.\He hasn't woken up all day.\I can't do anything for him.\Chise, get on!\But...\It'll be fine!\You are a good lock, an old lock.\I am your good oil. response:	I am your golden key.
context: He hasn't woken up all day.\I can't do anything for him.\Chise, get on!\But...\It'll be fine!\You are a good lock, an old lock.\I am your good oil.\I am your golden key. response:	Mr. Joel!
context: I can't do anything for him.\Chise, get on!\But...\It'll be fine!\You are a good lock, an old lock.\I am your good oil.\I am your golden key.\Mr. Joel! response:	Mr. Joel?
context: Chise, get on!\But...\It'll be fine!\You are a good lock, an old lock.\I am your good oil.\I am your golden key.\Mr. Joel!\Mr. Joel? response:	Mr. Joel!
context: But...\It'll be fine!\You are a good lock, an old lock.\I am your good oil.\I am your golden key.\Mr. Joel!\Mr. Joel?\Mr. Joel! response:	Chise...
context: It'll be fine!\You are a good lock, an old lock.\I am your good oil.\I am your golden key.\Mr. Joel!\Mr. Joel?\Mr. Joel!\Chise... response:	So this is why you bolted out.
context: You are a good lock, an old lock.\I am your good oil.\I am your golden key.\Mr. Joel!\Mr. Joel?\Mr. Joel!\Chise...\So this is why you bolted out. response:	Elias.
context: I am your good oil.\I am your golden key.\Mr. Joel!\Mr. Joel?\Mr. Joel!\Chise...\So this is why you bolted out.\Elias. response:	What's the matter with that man?
context: I am your golden key.\Mr. Joel!\Mr. Joel?\Mr. Joel!\Chise...\So this is why you bolted out.\Elias.\What's the matter with that man? response:	He's almost dead.
context: Mr. Joel!\Mr. Joel?\Mr. Joel!\Chise...\So this is why you bolted out.\Elias.\What's the matter with that man?\He's almost dead. response:	A Leannan SIdhe.
context: Mr. Joel?\Mr. Joel!\Chise...\So this is why you bolted out.\Elias.\What's the matter with that man?\He's almost dead.\A Leannan SIdhe. response:	What's the matter? Aren't you going to eat him?
context: Mr. Joel!\Chise...\So this is why you bolted out.\Elias.\What's the matter with that man?\He's almost dead.\A Leannan SIdhe.\What's the matter? Aren't you going to eat him? response:	He's your prey, isn't he?
context: Chise...\So this is why you bolted out.\Elias.\What's the matter with that man?\He's almost dead.\A Leannan SIdhe.\What's the matter? Aren't you going to eat him?\He's your prey, isn't he? response:	N-No.
context: So this is why you bolted out.\Elias.\What's the matter with that man?\He's almost dead.\A Leannan SIdhe.\What's the matter? Aren't you going to eat him?\He's your prey, isn't he?\N-No. response:	I wouldn't eat him!
context: Elias.\What's the matter with that man?\He's almost dead.\A Leannan SIdhe.\What's the matter? Aren't you going to eat him?\He's your prey, isn't he?\N-No.\I wouldn't eat him! response:	Not even a single drop of blood!
context: What's the matter with that man?\He's almost dead.\A Leannan SIdhe.\What's the matter? Aren't you going to eat him?\He's your prey, isn't he?\N-No.\I wouldn't eat him!\Not even a single drop of blood! response:	Not even a speck of his life!
context: He's almost dead.\A Leannan SIdhe.\What's the matter? Aren't you going to eat him?\He's your prey, isn't he?\N-No.\I wouldn't eat him!\Not even a single drop of blood!\Not even a speck of his life! response:	A human's fate is sealed...
context: A Leannan SIdhe.\What's the matter? Aren't you going to eat him?\He's your prey, isn't he?\N-No.\I wouldn't eat him!\Not even a single drop of blood!\Not even a speck of his life!\A human's fate is sealed... response:	once they're haunted by a vampire, is it not?
context: What's the matter? Aren't you going to eat him?\He's your prey, isn't he?\N-No.\I wouldn't eat him!\Not even a single drop of blood!\Not even a speck of his life!\A human's fate is sealed...\once they're haunted by a vampire, is it not? response:	No...
context: He's your prey, isn't he?\N-No.\I wouldn't eat him!\Not even a single drop of blood!\Not even a speck of his life!\A human's fate is sealed...\once they're haunted by a vampire, is it not?\No... response:	No!
context: N-No.\I wouldn't eat him!\Not even a single drop of blood!\Not even a speck of his life!\A human's fate is sealed...\once they're haunted by a vampire, is it not?\No...\No! response:	I'm not haunting him.
context: I wouldn't eat him!\Not even a single drop of blood!\Not even a speck of his life!\A human's fate is sealed...\once they're haunted by a vampire, is it not?\No...\No!\I'm not haunting him. response:	I have to get away.
context: Not even a single drop of blood!\Not even a speck of his life!\A human's fate is sealed...\once they're haunted by a vampire, is it not?\No...\No!\I'm not haunting him.\I have to get away. response:	If I go away, he might...
context: Not even a speck of his life!\A human's fate is sealed...\once they're haunted by a vampire, is it not?\No...\No!\I'm not haunting him.\I have to get away.\If I go away, he might... response:	It's too late.
context: A human's fate is sealed...\once they're haunted by a vampire, is it not?\No...\No!\I'm not haunting him.\I have to get away.\If I go away, he might...\It's too late. response:	You've already put your hand on him.
context: once they're haunted by a vampire, is it not?\No...\No!\I'm not haunting him.\I have to get away.\If I go away, he might...\It's too late.\You've already put your hand on him. response:	Elias...
context: No...\No!\I'm not haunting him.\I have to get away.\If I go away, he might...\It's too late.\You've already put your hand on him.\Elias... response:	No matter far you go, it's...
context: No!\I'm not haunting him.\I have to get away.\If I go away, he might...\It's too late.\You've already put your hand on him.\Elias...\No matter far you go, it's... response:	Elias!
context: I'm not haunting him.\I have to get away.\If I go away, he might...\It's too late.\You've already put your hand on him.\Elias...\No matter far you go, it's...\Elias! response:	I'm sorry.
context: I have to get away.\If I go away, he might...\It's too late.\You've already put your hand on him.\Elias...\No matter far you go, it's...\Elias!\I'm sorry. response:	Can you keep an eye on Mr. Joel?
context: If I go away, he might...\It's too late.\You've already put your hand on him.\Elias...\No matter far you go, it's...\Elias!\I'm sorry.\Can you keep an eye on Mr. Joel? response:	Sure.
context: It's too late.\You've already put your hand on him.\Elias...\No matter far you go, it's...\Elias!\I'm sorry.\Can you keep an eye on Mr. Joel?\Sure. response:	I don't love him.
context: You've already put your hand on him.\Elias...\No matter far you go, it's...\Elias!\I'm sorry.\Can you keep an eye on Mr. Joel?\Sure.\I don't love him. response:	No.
context: Elias...\No matter far you go, it's...\Elias!\I'm sorry.\Can you keep an eye on Mr. Joel?\Sure.\I don't love him.\No. response:	I don't love that man.
context: No matter far you go, it's...\Elias!\I'm sorry.\Can you keep an eye on Mr. Joel?\Sure.\I don't love him.\No.\I don't love that man. response:	No.
context: Elias!\I'm sorry.\Can you keep an eye on Mr. Joel?\Sure.\I don't love him.\No.\I don't love that man.\No. response:	No.
context: I'm sorry.\Can you keep an eye on Mr. Joel?\Sure.\I don't love him.\No.\I don't love that man.\No.\No. response:	No.
context: Can you keep an eye on Mr. Joel?\Sure.\I don't love him.\No.\I don't love that man.\No.\No.\No. response:	I don't!
context: Sure.\I don't love him.\No.\I don't love that man.\No.\No.\No.\I don't! response:	If I loved him, we would have to follow through with that love.
context: I don't love him.\No.\I don't love that man.\No.\No.\No.\I don't!\If I loved him, we would have to follow through with that love. response:	Night time...
context: No.\I don't love that man.\No.\No.\No.\I don't!\If I loved him, we would have to follow through with that love.\Night time... response:	How do you feel, sir?
context: I don't love that man.\No.\No.\No.\I don't!\If I loved him, we would have to follow through with that love.\Night time...\How do you feel, sir? response:	Are you the grim reaper or something?
context: No.\No.\No.\I don't!\If I loved him, we would have to follow through with that love.\Night time...\How do you feel, sir?\Are you the grim reaper or something? response:	Something like that.
context: No.\No.\I don't!\If I loved him, we would have to follow through with that love.\Night time...\How do you feel, sir?\Are you the grim reaper or something?\Something like that. response:	My girl has been in your care.
context: No.\I don't!\If I loved him, we would have to follow through with that love.\Night time...\How do you feel, sir?\Are you the grim reaper or something?\Something like that.\My girl has been in your care. response:	Her name is Chise.
context: I don't!\If I loved him, we would have to follow through with that love.\Night time...\How do you feel, sir?\Are you the grim reaper or something?\Something like that.\My girl has been in your care.\Her name is Chise. response:	She sure was a good girl.
context: If I loved him, we would have to follow through with that love.\Night time...\How do you feel, sir?\Are you the grim reaper or something?\Something like that.\My girl has been in your care.\Her name is Chise.\She sure was a good girl. response:	You don't have much time.
context: Night time...\How do you feel, sir?\Are you the grim reaper or something?\Something like that.\My girl has been in your care.\Her name is Chise.\She sure was a good girl.\You don't have much time. response:	It's not something you can have treated at the hospital.
context: How do you feel, sir?\Are you the grim reaper or something?\Something like that.\My girl has been in your care.\Her name is Chise.\She sure was a good girl.\You don't have much time.\It's not something you can have treated at the hospital. response:	Kind grim reaper, may I ask how much time I have?
context: Are you the grim reaper or something?\Something like that.\My girl has been in your care.\Her name is Chise.\She sure was a good girl.\You don't have much time.\It's not something you can have treated at the hospital.\Kind grim reaper, may I ask how much time I have? response:	A week at most.
context: Something like that.\My girl has been in your care.\Her name is Chise.\She sure was a good girl.\You don't have much time.\It's not something you can have treated at the hospital.\Kind grim reaper, may I ask how much time I have?\A week at most. response:	Will I suffer?
context: My girl has been in your care.\Her name is Chise.\She sure was a good girl.\You don't have much time.\It's not something you can have treated at the hospital.\Kind grim reaper, may I ask how much time I have?\A week at most.\Will I suffer? response:	Likely not.
context: Her name is Chise.\She sure was a good girl.\You don't have much time.\It's not something you can have treated at the hospital.\Kind grim reaper, may I ask how much time I have?\A week at most.\Will I suffer?\Likely not. response:	That's pretty good, then.
context: She sure was a good girl.\You don't have much time.\It's not something you can have treated at the hospital.\Kind grim reaper, may I ask how much time I have?\A week at most.\Will I suffer?\Likely not.\That's pretty good, then. response:	It's been a pretty good life.
context: You don't have much time.\It's not something you can have treated at the hospital.\Kind grim reaper, may I ask how much time I have?\A week at most.\Will I suffer?\Likely not.\That's pretty good, then.\It's been a pretty good life. response:	Are you not afraid?
context: It's not something you can have treated at the hospital.\Kind grim reaper, may I ask how much time I have?\A week at most.\Will I suffer?\Likely not.\That's pretty good, then.\It's been a pretty good life.\Are you not afraid? response:	Of course I am.
context: Kind grim reaper, may I ask how much time I have?\A week at most.\Will I suffer?\Likely not.\That's pretty good, then.\It's been a pretty good life.\Are you not afraid?\Of course I am. response:	Everyone fears death.
context: A week at most.\Will I suffer?\Likely not.\That's pretty good, then.\It's been a pretty good life.\Are you not afraid?\Of course I am.\Everyone fears death. response:	It's not something I can avoid, though.
context: Will I suffer?\Likely not.\That's pretty good, then.\It's been a pretty good life.\Are you not afraid?\Of course I am.\Everyone fears death.\It's not something I can avoid, though. response:	My wife passed away young.
context: Likely not.\That's pretty good, then.\It's been a pretty good life.\Are you not afraid?\Of course I am.\Everyone fears death.\It's not something I can avoid, though.\My wife passed away young. response:	We were introduced to each other through our parents.
context: That's pretty good, then.\It's been a pretty good life.\Are you not afraid?\Of course I am.\Everyone fears death.\It's not something I can avoid, though.\My wife passed away young.\We were introduced to each other through our parents. response:	We hadn't married for love, but still, I was devastated.
context: It's been a pretty good life.\Are you not afraid?\Of course I am.\Everyone fears death.\It's not something I can avoid, though.\My wife passed away young.\We were introduced to each other through our parents.\We hadn't married for love, but still, I was devastated. response:	But the rose garden that my wife had left me saved me from my despair.
context: Are you not afraid?\Of course I am.\Everyone fears death.\It's not something I can avoid, though.\My wife passed away young.\We were introduced to each other through our parents.\We hadn't married for love, but still, I was devastated.\But the rose garden that my wife had left me saved me from my despair. response:	It must have been no more than a midsummer illusion,
context: Of course I am.\Everyone fears death.\It's not something I can avoid, though.\My wife passed away young.\We were introduced to each other through our parents.\We hadn't married for love, but still, I was devastated.\But the rose garden that my wife had left me saved me from my despair.\It must have been no more than a midsummer illusion, response:	but I met a beautiful woman there, too.
context: Everyone fears death.\It's not something I can avoid, though.\My wife passed away young.\We were introduced to each other through our parents.\We hadn't married for love, but still, I was devastated.\But the rose garden that my wife had left me saved me from my despair.\It must have been no more than a midsummer illusion,\but I met a beautiful woman there, too. response:	I'm content.
context: It's not something I can avoid, though.\My wife passed away young.\We were introduced to each other through our parents.\We hadn't married for love, but still, I was devastated.\But the rose garden that my wife had left me saved me from my despair.\It must have been no more than a midsummer illusion,\but I met a beautiful woman there, too.\I'm content. response:	That said, if I could just meet that woman with eyes like red currants once more...
context: My wife passed away young.\We were introduced to each other through our parents.\We hadn't married for love, but still, I was devastated.\But the rose garden that my wife had left me saved me from my despair.\It must have been no more than a midsummer illusion,\but I met a beautiful woman there, too.\I'm content.\That said, if I could just meet that woman with eyes like red currants once more... response:	I ask for too much.
context: We were introduced to each other through our parents.\We hadn't married for love, but still, I was devastated.\But the rose garden that my wife had left me saved me from my despair.\It must have been no more than a midsummer illusion,\but I met a beautiful woman there, too.\I'm content.\That said, if I could just meet that woman with eyes like red currants once more...\I ask for too much. response:	A fairy ointment?
context: We hadn't married for love, but still, I was devastated.\But the rose garden that my wife had left me saved me from my despair.\It must have been no more than a midsummer illusion,\but I met a beautiful woman there, too.\I'm content.\That said, if I could just meet that woman with eyes like red currants once more...\I ask for too much.\A fairy ointment? response:	May I make some?
context: But the rose garden that my wife had left me saved me from my despair.\It must have been no more than a midsummer illusion,\but I met a beautiful woman there, too.\I'm content.\That said, if I could just meet that woman with eyes like red currants once more...\I ask for too much.\A fairy ointment?\May I make some? response:	Why?
context: It must have been no more than a midsummer illusion,\but I met a beautiful woman there, too.\I'm content.\That said, if I could just meet that woman with eyes like red currants once more...\I ask for too much.\A fairy ointment?\May I make some?\Why? response:	We can rub it on his eyelids.
context: but I met a beautiful woman there, too.\I'm content.\That said, if I could just meet that woman with eyes like red currants once more...\I ask for too much.\A fairy ointment?\May I make some?\Why?\We can rub it on his eyelids. response:	It'll let even an ordinary person like Mr. Joel see her.
context: I'm content.\That said, if I could just meet that woman with eyes like red currants once more...\I ask for too much.\A fairy ointment?\May I make some?\Why?\We can rub it on his eyelids.\It'll let even an ordinary person like Mr. Joel see her. response:	That ointment isn't meant to be used on humans.
context: That said, if I could just meet that woman with eyes like red currants once more...\I ask for too much.\A fairy ointment?\May I make some?\Why?\We can rub it on his eyelids.\It'll let even an ordinary person like Mr. Joel see her.\That ointment isn't meant to be used on humans. response:	The neighbors would be furious if they found out.
context: I ask for too much.\A fairy ointment?\May I make some?\Why?\We can rub it on his eyelids.\It'll let even an ordinary person like Mr. Joel see her.\That ointment isn't meant to be used on humans.\The neighbors would be furious if they found out. response:	But I want him to have just one glimpse.
context: A fairy ointment?\May I make some?\Why?\We can rub it on his eyelids.\It'll let even an ordinary person like Mr. Joel see her.\That ointment isn't meant to be used on humans.\The neighbors would be furious if they found out.\But I want him to have just one glimpse. response:	To share just one word.
context: May I make some?\Why?\We can rub it on his eyelids.\It'll let even an ordinary person like Mr. Joel see her.\That ointment isn't meant to be used on humans.\The neighbors would be furious if they found out.\But I want him to have just one glimpse.\To share just one word. response:	No.
context: Why?\We can rub it on his eyelids.\It'll let even an ordinary person like Mr. Joel see her.\That ointment isn't meant to be used on humans.\The neighbors would be furious if they found out.\But I want him to have just one glimpse.\To share just one word.\No. response:	I've never heard you make demands before.
context: We can rub it on his eyelids.\It'll let even an ordinary person like Mr. Joel see her.\That ointment isn't meant to be used on humans.\The neighbors would be furious if they found out.\But I want him to have just one glimpse.\To share just one word.\No.\I've never heard you make demands before. response:	However, you'll not be pushing yourself.
context: It'll let even an ordinary person like Mr. Joel see her.\That ointment isn't meant to be used on humans.\The neighbors would be furious if they found out.\But I want him to have just one glimpse.\To share just one word.\No.\I've never heard you make demands before.\However, you'll not be pushing yourself. response:	Got it?
context: That ointment isn't meant to be used on humans.\The neighbors would be furious if they found out.\But I want him to have just one glimpse.\To share just one word.\No.\I've never heard you make demands before.\However, you'll not be pushing yourself.\Got it? response:	Yes.
context: The neighbors would be furious if they found out.\But I want him to have just one glimpse.\To share just one word.\No.\I've never heard you make demands before.\However, you'll not be pushing yourself.\Got it?\Yes. response:	How did you let that happen?
context: But I want him to have just one glimpse.\To share just one word.\No.\I've never heard you make demands before.\However, you'll not be pushing yourself.\Got it?\Yes.\How did you let that happen? response:	I wonder.
context: To share just one word.\No.\I've never heard you make demands before.\However, you'll not be pushing yourself.\Got it?\Yes.\How did you let that happen?\I wonder. response:	You need to keep it in that state.
context: No.\I've never heard you make demands before.\However, you'll not be pushing yourself.\Got it?\Yes.\How did you let that happen?\I wonder.\You need to keep it in that state. response:	I can't help you this time.
context: I've never heard you make demands before.\However, you'll not be pushing yourself.\Got it?\Yes.\How did you let that happen?\I wonder.\You need to keep it in that state.\I can't help you this time. response:	Sorry, I can't help, either.
context: However, you'll not be pushing yourself.\Got it?\Yes.\How did you let that happen?\I wonder.\You need to keep it in that state.\I can't help you this time.\Sorry, I can't help, either. response:	It's all right.
context: Got it?\Yes.\How did you let that happen?\I wonder.\You need to keep it in that state.\I can't help you this time.\Sorry, I can't help, either.\It's all right. response:	Fairies hate being seen. Even familiars.
