context: Hear me, humans! response:	I'll leave Ente Isla in your hands for now.
context: It doesn't matter which world he runs to.\He can't hide.\I will find him.\I'll find him\and kill him with my own hands!\The Hero\The Hero\Puts Work First response:	Puts Work First
context: He can't hide.\I will find him.\I'll find him\and kill him with my own hands!\The Hero\The Hero\Puts Work First\Puts Work First response:	and Stays Over at the
context: I will find him.\I'll find him\and kill him with my own hands!\The Hero\The Hero\Puts Work First\Puts Work First\and Stays Over at the response:	and Stays Over at the
context: I'll find him\and kill him with my own hands!\The Hero\The Hero\Puts Work First\Puts Work First\and Stays Over at the\and Stays Over at the response:	Overlord Satan.
context: and kill him with my own hands!\The Hero\The Hero\Puts Work First\Puts Work First\and Stays Over at the\and Stays Over at the\Overlord Satan. response:	Castle Overlord
context: The Hero\The Hero\Puts Work First\Puts Work First\and Stays Over at the\and Stays Over at the\Overlord Satan.\Castle Overlord response:	Castle Overlord
context: The Hero\Puts Work First\Puts Work First\and Stays Over at the\and Stays Over at the\Overlord Satan.\Castle Overlord\Castle Overlord response:	Why are you working part-time at the MgRonald's in Hatagaya?
context: Puts Work First\Puts Work First\and Stays Over at the\and Stays Over at the\Overlord Satan.\Castle Overlord\Castle Overlord\Why are you working part-time at the MgRonald's in Hatagaya? response:	Hero Emilia,
context: Puts Work First\and Stays Over at the\and Stays Over at the\Overlord Satan.\Castle Overlord\Castle Overlord\Why are you working part-time at the MgRonald's in Hatagaya?\Hero Emilia, response:	why are you here?!
context: and Stays Over at the\and Stays Over at the\Overlord Satan.\Castle Overlord\Castle Overlord\Why are you working part-time at the MgRonald's in Hatagaya?\Hero Emilia,\why are you here?! response:	I followed you two through the gate
context: and Stays Over at the\Overlord Satan.\Castle Overlord\Castle Overlord\Why are you working part-time at the MgRonald's in Hatagaya?\Hero Emilia,\why are you here?!\I followed you two through the gate response:	in order to kill you.
context: Overlord Satan.\Castle Overlord\Castle Overlord\Why are you working part-time at the MgRonald's in Hatagaya?\Hero Emilia,\why are you here?!\I followed you two through the gate\in order to kill you. response:	Wait, Emilia!
context: Castle Overlord\Castle Overlord\Why are you working part-time at the MgRonald's in Hatagaya?\Hero Emilia,\why are you here?!\I followed you two through the gate\in order to kill you.\Wait, Emilia! response:	Let's talk this over!
context: Castle Overlord\Why are you working part-time at the MgRonald's in Hatagaya?\Hero Emilia,\why are you here?!\I followed you two through the gate\in order to kill you.\Wait, Emilia!\Let's talk this over! response:	There's nothing to talk about.
context: Why are you working part-time at the MgRonald's in Hatagaya?\Hero Emilia,\why are you here?!\I followed you two through the gate\in order to kill you.\Wait, Emilia!\Let's talk this over!\There's nothing to talk about. response:	Prepare yourself, Overlord!
context: Hero Emilia,\why are you here?!\I followed you two through the gate\in order to kill you.\Wait, Emilia!\Let's talk this over!\There's nothing to talk about.\Prepare yourself, Overlord! response:	Hey, Emilia...
context: why are you here?!\I followed you two through the gate\in order to kill you.\Wait, Emilia!\Let's talk this over!\There's nothing to talk about.\Prepare yourself, Overlord!\Hey, Emilia... response:	Silence.
context: I followed you two through the gate\in order to kill you.\Wait, Emilia!\Let's talk this over!\There's nothing to talk about.\Prepare yourself, Overlord!\Hey, Emilia...\Silence. response:	I have nothing to say to you.
context: in order to kill you.\Wait, Emilia!\Let's talk this over!\There's nothing to talk about.\Prepare yourself, Overlord!\Hey, Emilia...\Silence.\I have nothing to say to you. response:	No, is that knife of yours
context: Wait, Emilia!\Let's talk this over!\There's nothing to talk about.\Prepare yourself, Overlord!\Hey, Emilia...\Silence.\I have nothing to say to you.\No, is that knife of yours response:	the one they sell at the 100-yen shop in Sasazuka?
context: Let's talk this over!\There's nothing to talk about.\Prepare yourself, Overlord!\Hey, Emilia...\Silence.\I have nothing to say to you.\No, is that knife of yours\the one they sell at the 100-yen shop in Sasazuka? response:	A-And if it is?
context: There's nothing to talk about.\Prepare yourself, Overlord!\Hey, Emilia...\Silence.\I have nothing to say to you.\No, is that knife of yours\the one they sell at the 100-yen shop in Sasazuka?\A-And if it is? response:	What happened to your Sacred Sword?
context: Prepare yourself, Overlord!\Hey, Emilia...\Silence.\I have nothing to say to you.\No, is that knife of yours\the one they sell at the 100-yen shop in Sasazuka?\A-And if it is?\What happened to your Sacred Sword? response:	Th-That's none of your business.
context: Hey, Emilia...\Silence.\I have nothing to say to you.\No, is that knife of yours\the one they sell at the 100-yen shop in Sasazuka?\A-And if it is?\What happened to your Sacred Sword?\Th-That's none of your business. response:	Did you lose your powers?
context: Silence.\I have nothing to say to you.\No, is that knife of yours\the one they sell at the 100-yen shop in Sasazuka?\A-And if it is?\What happened to your Sacred Sword?\Th-That's none of your business.\Did you lose your powers? response:	Or can you just not use them freely?
context: I have nothing to say to you.\No, is that knife of yours\the one they sell at the 100-yen shop in Sasazuka?\A-And if it is?\What happened to your Sacred Sword?\Th-That's none of your business.\Did you lose your powers?\Or can you just not use them freely? response:	Look who's talking!
context: No, is that knife of yours\the one they sell at the 100-yen shop in Sasazuka?\A-And if it is?\What happened to your Sacred Sword?\Th-That's none of your business.\Did you lose your powers?\Or can you just not use them freely?\Look who's talking! response:	I can only sense some very weak magic from you.
context: the one they sell at the 100-yen shop in Sasazuka?\A-And if it is?\What happened to your Sacred Sword?\Th-That's none of your business.\Did you lose your powers?\Or can you just not use them freely?\Look who's talking!\I can only sense some very weak magic from you. response:	You're a weakling compared to what you were like in Ente Isla!
context: A-And if it is?\What happened to your Sacred Sword?\Th-That's none of your business.\Did you lose your powers?\Or can you just not use them freely?\Look who's talking!\I can only sense some very weak magic from you.\You're a weakling compared to what you were like in Ente Isla! response:	Well, yeah...
context: What happened to your Sacred Sword?\Th-That's none of your business.\Did you lose your powers?\Or can you just not use them freely?\Look who's talking!\I can only sense some very weak magic from you.\You're a weakling compared to what you were like in Ente Isla!\Well, yeah... response:	I don't even need my Sacred Sword.
context: Th-That's none of your business.\Did you lose your powers?\Or can you just not use them freely?\Look who's talking!\I can only sense some very weak magic from you.\You're a weakling compared to what you were like in Ente Isla!\Well, yeah...\I don't even need my Sacred Sword. response:	A powerless Overlord working part-time is no Overlord at all!
context: Did you lose your powers?\Or can you just not use them freely?\Look who's talking!\I can only sense some very weak magic from you.\You're a weakling compared to what you were like in Ente Isla!\Well, yeah...\I don't even need my Sacred Sword.\A powerless Overlord working part-time is no Overlord at all! response:	Your head is mine!
context: Or can you just not use them freely?\Look who's talking!\I can only sense some very weak magic from you.\You're a weakling compared to what you were like in Ente Isla!\Well, yeah...\I don't even need my Sacred Sword.\A powerless Overlord working part-time is no Overlord at all!\Your head is mine! response:	Whoops. I can't waste these valuable ingredients.
context: Look who's talking!\I can only sense some very weak magic from you.\You're a weakling compared to what you were like in Ente Isla!\Well, yeah...\I don't even need my Sacred Sword.\A powerless Overlord working part-time is no Overlord at all!\Your head is mine!\Whoops. I can't waste these valuable ingredients. response:	Milord sure is late...
context: I can only sense some very weak magic from you.\You're a weakling compared to what you were like in Ente Isla!\Well, yeah...\I don't even need my Sacred Sword.\A powerless Overlord working part-time is no Overlord at all!\Your head is mine!\Whoops. I can't waste these valuable ingredients.\Milord sure is late... response:	All right, why were you two fighting?
context: You're a weakling compared to what you were like in Ente Isla!\Well, yeah...\I don't even need my Sacred Sword.\A powerless Overlord working part-time is no Overlord at all!\Your head is mine!\Whoops. I can't waste these valuable ingredients.\Milord sure is late...\All right, why were you two fighting? response:	I was trying to kill him.
context: Well, yeah...\I don't even need my Sacred Sword.\A powerless Overlord working part-time is no Overlord at all!\Your head is mine!\Whoops. I can't waste these valuable ingredients.\Milord sure is late...\All right, why were you two fighting?\I was trying to kill him. response:	Kill?
context: I don't even need my Sacred Sword.\A powerless Overlord working part-time is no Overlord at all!\Your head is mine!\Whoops. I can't waste these valuable ingredients.\Milord sure is late...\All right, why were you two fighting?\I was trying to kill him.\Kill? response:	Look,
context: A powerless Overlord working part-time is no Overlord at all!\Your head is mine!\Whoops. I can't waste these valuable ingredients.\Milord sure is late...\All right, why were you two fighting?\I was trying to kill him.\Kill?\Look, response:	I don't know what your boyfriend did,
context: Your head is mine!\Whoops. I can't waste these valuable ingredients.\Milord sure is late...\All right, why were you two fighting?\I was trying to kill him.\Kill?\Look,\I don't know what your boyfriend did, response:	but you can't just whip out a blade at him.
context: Whoops. I can't waste these valuable ingredients.\Milord sure is late...\All right, why were you two fighting?\I was trying to kill him.\Kill?\Look,\I don't know what your boyfriend did,\but you can't just whip out a blade at him. response:	B-Boyfriend?
context: Milord sure is late...\All right, why were you two fighting?\I was trying to kill him.\Kill?\Look,\I don't know what your boyfriend did,\but you can't just whip out a blade at him.\B-Boyfriend? response:	He probably thinks we had a lovers' quarrel or something.
context: All right, why were you two fighting?\I was trying to kill him.\Kill?\Look,\I don't know what your boyfriend did,\but you can't just whip out a blade at him.\B-Boyfriend?\He probably thinks we had a lovers' quarrel or something. response:	Lo
context: I was trying to kill him.\Kill?\Look,\I don't know what your boyfriend did,\but you can't just whip out a blade at him.\B-Boyfriend?\He probably thinks we had a lovers' quarrel or something.\Lo response:	We do not have that kind of relationship!
context: Kill?\Look,\I don't know what your boyfriend did,\but you can't just whip out a blade at him.\B-Boyfriend?\He probably thinks we had a lovers' quarrel or something.\Lo\We do not have that kind of relationship! response:	Yeah, well, if the two of you want to break up,
context: Look,\I don't know what your boyfriend did,\but you can't just whip out a blade at him.\B-Boyfriend?\He probably thinks we had a lovers' quarrel or something.\Lo\We do not have that kind of relationship!\Yeah, well, if the two of you want to break up, response:	talk it over with each other and handle it more peacefully, okay?
context: I don't know what your boyfriend did,\but you can't just whip out a blade at him.\B-Boyfriend?\He probably thinks we had a lovers' quarrel or something.\Lo\We do not have that kind of relationship!\Yeah, well, if the two of you want to break up,\talk it over with each other and handle it more peacefully, okay? response:	I'll spare you for tonight.
context: but you can't just whip out a blade at him.\B-Boyfriend?\He probably thinks we had a lovers' quarrel or something.\Lo\We do not have that kind of relationship!\Yeah, well, if the two of you want to break up,\talk it over with each other and handle it more peacefully, okay?\I'll spare you for tonight. response:	Huh?
context: B-Boyfriend?\He probably thinks we had a lovers' quarrel or something.\Lo\We do not have that kind of relationship!\Yeah, well, if the two of you want to break up,\talk it over with each other and handle it more peacefully, okay?\I'll spare you for tonight.\Huh? response:	Don't expect this to happen again.
context: He probably thinks we had a lovers' quarrel or something.\Lo\We do not have that kind of relationship!\Yeah, well, if the two of you want to break up,\talk it over with each other and handle it more peacefully, okay?\I'll spare you for tonight.\Huh?\Don't expect this to happen again. response:	I know where you live.
context: Lo\We do not have that kind of relationship!\Yeah, well, if the two of you want to break up,\talk it over with each other and handle it more peacefully, okay?\I'll spare you for tonight.\Huh?\Don't expect this to happen again.\I know where you live. response:	Don't expect to lead a peaceful life from tomorrow on.
context: We do not have that kind of relationship!\Yeah, well, if the two of you want to break up,\talk it over with each other and handle it more peacefully, okay?\I'll spare you for tonight.\Huh?\Don't expect this to happen again.\I know where you live.\Don't expect to lead a peaceful life from tomorrow on. response:	That...
context: Yeah, well, if the two of you want to break up,\talk it over with each other and handle it more peacefully, okay?\I'll spare you for tonight.\Huh?\Don't expect this to happen again.\I know where you live.\Don't expect to lead a peaceful life from tomorrow on.\That... response:	That doesn't sound very heroic at all.
context: talk it over with each other and handle it more peacefully, okay?\I'll spare you for tonight.\Huh?\Don't expect this to happen again.\I know where you live.\Don't expect to lead a peaceful life from tomorrow on.\That...\That doesn't sound very heroic at all. response:	I don't want to hear that from an overlord that flips burgers for a living!
context: I'll spare you for tonight.\Huh?\Don't expect this to happen again.\I know where you live.\Don't expect to lead a peaceful life from tomorrow on.\That...\That doesn't sound very heroic at all.\I don't want to hear that from an overlord that flips burgers for a living! response:	Quiet, 100-yen Hero.
context: Huh?\Don't expect this to happen again.\I know where you live.\Don't expect to lead a peaceful life from tomorrow on.\That...\That doesn't sound very heroic at all.\I don't want to hear that from an overlord that flips burgers for a living!\Quiet, 100-yen Hero. response:	I want my umbrella back.
context: Don't expect this to happen again.\I know where you live.\Don't expect to lead a peaceful life from tomorrow on.\That...\That doesn't sound very heroic at all.\I don't want to hear that from an overlord that flips burgers for a living!\Quiet, 100-yen Hero.\I want my umbrella back. response:	Didn't you tell me to toss it out?
context: I know where you live.\Don't expect to lead a peaceful life from tomorrow on.\That...\That doesn't sound very heroic at all.\I don't want to hear that from an overlord that flips burgers for a living!\Quiet, 100-yen Hero.\I want my umbrella back.\Didn't you tell me to toss it out? response:	I destroyed it and stuffed it in the trash.
context: Don't expect to lead a peaceful life from tomorrow on.\That...\That doesn't sound very heroic at all.\I don't want to hear that from an overlord that flips burgers for a living!\Quiet, 100-yen Hero.\I want my umbrella back.\Didn't you tell me to toss it out?\I destroyed it and stuffed it in the trash. response:	What the hell?!
context: That...\That doesn't sound very heroic at all.\I don't want to hear that from an overlord that flips burgers for a living!\Quiet, 100-yen Hero.\I want my umbrella back.\Didn't you tell me to toss it out?\I destroyed it and stuffed it in the trash.\What the hell?! response:	What kind of hero would I be if I kept the Overlord's umbrella?
context: That doesn't sound very heroic at all.\I don't want to hear that from an overlord that flips burgers for a living!\Quiet, 100-yen Hero.\I want my umbrella back.\Didn't you tell me to toss it out?\I destroyed it and stuffed it in the trash.\What the hell?!\What kind of hero would I be if I kept the Overlord's umbrella? response:	Man, she's a pain in the ass...
context: I don't want to hear that from an overlord that flips burgers for a living!\Quiet, 100-yen Hero.\I want my umbrella back.\Didn't you tell me to toss it out?\I destroyed it and stuffed it in the trash.\What the hell?!\What kind of hero would I be if I kept the Overlord's umbrella?\Man, she's a pain in the ass... response:	Anyway, you'd better watch your back starting tomorrow.
context: Quiet, 100-yen Hero.\I want my umbrella back.\Didn't you tell me to toss it out?\I destroyed it and stuffed it in the trash.\What the hell?!\What kind of hero would I be if I kept the Overlord's umbrella?\Man, she's a pain in the ass...\Anyway, you'd better watch your back starting tomorrow. response:	She's not heroic at all.
context: I want my umbrella back.\Didn't you tell me to toss it out?\I destroyed it and stuffed it in the trash.\What the hell?!\What kind of hero would I be if I kept the Overlord's umbrella?\Man, she's a pain in the ass...\Anyway, you'd better watch your back starting tomorrow.\She's not heroic at all. response:	Certainly, but first
context: Didn't you tell me to toss it out?\I destroyed it and stuffed it in the trash.\What the hell?!\What kind of hero would I be if I kept the Overlord's umbrella?\Man, she's a pain in the ass...\Anyway, you'd better watch your back starting tomorrow.\She's not heroic at all.\Certainly, but first response:	I apologize.
context: I destroyed it and stuffed it in the trash.\What the hell?!\What kind of hero would I be if I kept the Overlord's umbrella?\Man, she's a pain in the ass...\Anyway, you'd better watch your back starting tomorrow.\She's not heroic at all.\Certainly, but first\I apologize. response:	You can pick from a number of options
context: What the hell?!\What kind of hero would I be if I kept the Overlord's umbrella?\Man, she's a pain in the ass...\Anyway, you'd better watch your back starting tomorrow.\She's not heroic at all.\Certainly, but first\I apologize.\You can pick from a number of options response:	Certainly. Thank you very much.
context: What kind of hero would I be if I kept the Overlord's umbrella?\Man, she's a pain in the ass...\Anyway, you'd better watch your back starting tomorrow.\She's not heroic at all.\Certainly, but first\I apologize.\You can pick from a number of options\Certainly. Thank you very much. response:	You just spoke to Yusa.
context: Man, she's a pain in the ass...\Anyway, you'd better watch your back starting tomorrow.\She's not heroic at all.\Certainly, but first\I apologize.\You can pick from a number of options\Certainly. Thank you very much.\You just spoke to Yusa. response:	Aw, jeez.
context: Anyway, you'd better watch your back starting tomorrow.\She's not heroic at all.\Certainly, but first\I apologize.\You can pick from a number of options\Certainly. Thank you very much.\You just spoke to Yusa.\Aw, jeez. response:	There are too many complaints flowing in today.
context: She's not heroic at all.\Certainly, but first\I apologize.\You can pick from a number of options\Certainly. Thank you very much.\You just spoke to Yusa.\Aw, jeez.\There are too many complaints flowing in today. response:	They need to learn to RTFM!
context: Certainly, but first\I apologize.\You can pick from a number of options\Certainly. Thank you very much.\You just spoke to Yusa.\Aw, jeez.\There are too many complaints flowing in today.\They need to learn to RTFM! response:	Oh hey, wanna hit up that new curry place for lunch? It opened last week.
context: I apologize.\You can pick from a number of options\Certainly. Thank you very much.\You just spoke to Yusa.\Aw, jeez.\There are too many complaints flowing in today.\They need to learn to RTFM!\Oh hey, wanna hit up that new curry place for lunch? It opened last week. response:	Hmm...
context: You can pick from a number of options\Certainly. Thank you very much.\You just spoke to Yusa.\Aw, jeez.\There are too many complaints flowing in today.\They need to learn to RTFM!\Oh hey, wanna hit up that new curry place for lunch? It opened last week.\Hmm... response:	It's probably gonna be packed.
context: Certainly. Thank you very much.\You just spoke to Yusa.\Aw, jeez.\There are too many complaints flowing in today.\They need to learn to RTFM!\Oh hey, wanna hit up that new curry place for lunch? It opened last week.\Hmm...\It's probably gonna be packed. response:	So d'you wanna give up on that and go to MgRonald's instead?
context: You just spoke to Yusa.\Aw, jeez.\There are too many complaints flowing in today.\They need to learn to RTFM!\Oh hey, wanna hit up that new curry place for lunch? It opened last week.\Hmm...\It's probably gonna be packed.\So d'you wanna give up on that and go to MgRonald's instead? response:	That's the last place I want to go to.
context: Aw, jeez.\There are too many complaints flowing in today.\They need to learn to RTFM!\Oh hey, wanna hit up that new curry place for lunch? It opened last week.\Hmm...\It's probably gonna be packed.\So d'you wanna give up on that and go to MgRonald's instead?\That's the last place I want to go to. response:	Sorry.
context: There are too many complaints flowing in today.\They need to learn to RTFM!\Oh hey, wanna hit up that new curry place for lunch? It opened last week.\Hmm...\It's probably gonna be packed.\So d'you wanna give up on that and go to MgRonald's instead?\That's the last place I want to go to.\Sorry. response:	Crap, here's another.
context: They need to learn to RTFM!\Oh hey, wanna hit up that new curry place for lunch? It opened last week.\Hmm...\It's probably gonna be packed.\So d'you wanna give up on that and go to MgRonald's instead?\That's the last place I want to go to.\Sorry.\Crap, here's another. response:	Ah well, back to work.
context: Oh hey, wanna hit up that new curry place for lunch? It opened last week.\Hmm...\It's probably gonna be packed.\So d'you wanna give up on that and go to MgRonald's instead?\That's the last place I want to go to.\Sorry.\Crap, here's another.\Ah well, back to work. response:	Thank you for calling.
context: Hmm...\It's probably gonna be packed.\So d'you wanna give up on that and go to MgRonald's instead?\That's the last place I want to go to.\Sorry.\Crap, here's another.\Ah well, back to work.\Thank you for calling. response:	This is the Docodemo Customer Care Center.
context: It's probably gonna be packed.\So d'you wanna give up on that and go to MgRonald's instead?\That's the last place I want to go to.\Sorry.\Crap, here's another.\Ah well, back to work.\Thank you for calling.\This is the Docodemo Customer Care Center. response:	Meat
context: So d'you wanna give up on that and go to MgRonald's instead?\That's the last place I want to go to.\Sorry.\Crap, here's another.\Ah well, back to work.\Thank you for calling.\This is the Docodemo Customer Care Center.\Meat response:	Meat
context: That's the last place I want to go to.\Sorry.\Crap, here's another.\Ah well, back to work.\Thank you for calling.\This is the Docodemo Customer Care Center.\Meat\Meat response:	Meat
context: Sorry.\Crap, here's another.\Ah well, back to work.\Thank you for calling.\This is the Docodemo Customer Care Center.\Meat\Meat\Meat response:	Meat
context: Crap, here's another.\Ah well, back to work.\Thank you for calling.\This is the Docodemo Customer Care Center.\Meat\Meat\Meat\Meat response:	Meat
context: Ah well, back to work.\Thank you for calling.\This is the Docodemo Customer Care Center.\Meat\Meat\Meat\Meat\Meat response:	Meat
context: Thank you for calling.\This is the Docodemo Customer Care Center.\Meat\Meat\Meat\Meat\Meat\Meat response:	Meat
context: This is the Docodemo Customer Care Center.\Meat\Meat\Meat\Meat\Meat\Meat\Meat response:	Meat
context: Meat\Meat\Meat\Meat\Meat\Meat\Meat\Meat response:	Meat
context: Meat\Meat\Meat\Meat\Meat\Meat\Meat\Meat response:	Meat
context: Meat\Meat\Meat\Meat\Meat\Meat\Meat\Meat response:	Meat
context: Meat\Meat\Meat\Meat\Meat\Meat\Meat\Meat response:	and Side-dishes
context: Meat\Meat\Meat\Meat\Meat\Meat\Meat\and Side-dishes response:	Hot! Hot!
context: Meat\Meat\Meat\Meat\Meat\Meat\and Side-dishes\Hot! Hot! response:	Our Chef's
context: Meat\Meat\Meat\Meat\Meat\and Side-dishes\Hot! Hot!\Our Chef's response:	Specials
context: Meat\Meat\Meat\Meat\and Side-dishes\Hot! Hot!\Our Chef's\Specials response:	Corn Croquette
context: Meat\Meat\Meat\and Side-dishes\Hot! Hot!\Our Chef's\Specials\Corn Croquette response:	Crab Croquette
context: Meat\Meat\and Side-dishes\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette response:	Potato Croquette
context: Meat\and Side-dishes\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette response:	Hot! Hot!
context: and Side-dishes\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot! response:	Our Chef's
context: Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's response:	Specials
context: Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials response:	Corn Croquette
context: Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette response:	Crab Croquette
context: Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette response:	Potato Croquette
context: Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette response:	Hot! Hot!
context: Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot! response:	Our Chef's
context: Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's response:	Specials
context: Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials response:	Corn Croquette
context: Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette response:	Crab Croquette
context: Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette response:	Potato Croquette
context: Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette response:	Hot! Hot!
context: Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot! response:	Our Chef's
context: Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's response:	Specials
context: Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials response:	Corn Croquette
context: Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette response:	Crab Croquette
context: Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette response:	Potato Croquette
context: Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette response:	Hot! Hot!
context: Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot! response:	Our Chef's
context: Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's response:	Specials
context: Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials response:	Corn Croquette
context: Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette response:	Crab Croquette
context: Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette response:	Potato Croquette
context: Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette response:	Hot! Hot!
context: Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot! response:	Our Chef's
context: Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's response:	Specials
context: Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials response:	Corn Croquette
context: Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette response:	Crab Croquette
context: Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette response:	Potato Croquette
context: Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette response:	Hot! Hot!
context: Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot! response:	Our Chef's
context: Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's response:	Specials
context: Our Chef's\Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials response:	Corn Croquette
context: Specials\Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette response:	Crab Croquette
context: Corn Croquette\Crab Croquette\Potato Croquette\Hot! Hot!\Our Chef's\Specials\Corn Croquette\Crab Croquette response:	Potato Croquette
