context: I'm Kagome Higurashi. response:	Born into an old and respected family of shrine keepers,
context: But there's a greedy one trying to get the Shikon Jewel for himself... Naraku.\Scheming to absorb the demon powers of Sesshomaru, Inuyasha's olderbrother,\Naraku lures Sesshomaru to his castle.\And just as Naraku was about to completely consume Sesshomaru's body,\Inuyasha broke through Naraku's barrier and rushed into the castle.\Take this! Wind Scar!\My barrier!\Die! response:	W- What?!
context: Scheming to absorb the demon powers of Sesshomaru, Inuyasha's olderbrother,\Naraku lures Sesshomaru to his castle.\And just as Naraku was about to completely consume Sesshomaru's body,\Inuyasha broke through Naraku's barrier and rushed into the castle.\Take this! Wind Scar!\My barrier!\Die!\W- What?! response:	Inuyasha was ready to deliver the finishing blow.
context: Naraku lures Sesshomaru to his castle.\And just as Naraku was about to completely consume Sesshomaru's body,\Inuyasha broke through Naraku's barrier and rushed into the castle.\Take this! Wind Scar!\My barrier!\Die!\W- What?!\Inuyasha was ready to deliver the finishing blow. response:	Fool!
context: And just as Naraku was about to completely consume Sesshomaru's body,\Inuyasha broke through Naraku's barrier and rushed into the castle.\Take this! Wind Scar!\My barrier!\Die!\W- What?!\Inuyasha was ready to deliver the finishing blow.\Fool! response:	Don't think you can escape from me!
context: Inuyasha broke through Naraku's barrier and rushed into the castle.\Take this! Wind Scar!\My barrier!\Die!\W- What?!\Inuyasha was ready to deliver the finishing blow.\Fool!\Don't think you can escape from me! response:	Naraku used Sango's youngerbrother, Kohaku, in a dastardly trick
context: Take this! Wind Scar!\My barrier!\Die!\W- What?!\Inuyasha was ready to deliver the finishing blow.\Fool!\Don't think you can escape from me!\Naraku used Sango's youngerbrother, Kohaku, in a dastardly trick response:	to make his escape.
context: My barrier!\Die!\W- What?!\Inuyasha was ready to deliver the finishing blow.\Fool!\Don't think you can escape from me!\Naraku used Sango's youngerbrother, Kohaku, in a dastardly trick\to make his escape. response:	Damn that Naraku!
context: Die!\W- What?!\Inuyasha was ready to deliver the finishing blow.\Fool!\Don't think you can escape from me!\Naraku used Sango's youngerbrother, Kohaku, in a dastardly trick\to make his escape.\Damn that Naraku! response:	He doesn't plan to return to this castle.
context: W- What?!\Inuyasha was ready to deliver the finishing blow.\Fool!\Don't think you can escape from me!\Naraku used Sango's youngerbrother, Kohaku, in a dastardly trick\to make his escape.\Damn that Naraku!\He doesn't plan to return to this castle. response:	You're probably right.
context: Inuyasha was ready to deliver the finishing blow.\Fool!\Don't think you can escape from me!\Naraku used Sango's youngerbrother, Kohaku, in a dastardly trick\to make his escape.\Damn that Naraku!\He doesn't plan to return to this castle.\You're probably right. response:	Afteryou broke through his barrier, he had no choice but to leave.
context: Fool!\Don't think you can escape from me!\Naraku used Sango's youngerbrother, Kohaku, in a dastardly trick\to make his escape.\Damn that Naraku!\He doesn't plan to return to this castle.\You're probably right.\Afteryou broke through his barrier, he had no choice but to leave. response:	Damn!
context: Don't think you can escape from me!\Naraku used Sango's youngerbrother, Kohaku, in a dastardly trick\to make his escape.\Damn that Naraku!\He doesn't plan to return to this castle.\You're probably right.\Afteryou broke through his barrier, he had no choice but to leave.\Damn! response:	Naraku is probably vulnerable enough to be killed right now.
context: Naraku used Sango's youngerbrother, Kohaku, in a dastardly trick\to make his escape.\Damn that Naraku!\He doesn't plan to return to this castle.\You're probably right.\Afteryou broke through his barrier, he had no choice but to leave.\Damn!\Naraku is probably vulnerable enough to be killed right now. response:	I was almost there!
context: to make his escape.\Damn that Naraku!\He doesn't plan to return to this castle.\You're probably right.\Afteryou broke through his barrier, he had no choice but to leave.\Damn!\Naraku is probably vulnerable enough to be killed right now.\I was almost there! response:	Damn!
context: Damn that Naraku!\He doesn't plan to return to this castle.\You're probably right.\Afteryou broke through his barrier, he had no choice but to leave.\Damn!\Naraku is probably vulnerable enough to be killed right now.\I was almost there!\Damn! response:	I wonder if coming home was the right thing to do?
context: He doesn't plan to return to this castle.\You're probably right.\Afteryou broke through his barrier, he had no choice but to leave.\Damn!\Naraku is probably vulnerable enough to be killed right now.\I was almost there!\Damn!\I wonder if coming home was the right thing to do? response:	I'm spending my time studying in this safe world.
context: You're probably right.\Afteryou broke through his barrier, he had no choice but to leave.\Damn!\Naraku is probably vulnerable enough to be killed right now.\I was almost there!\Damn!\I wonder if coming home was the right thing to do?\I'm spending my time studying in this safe world. response:	I feel bad about leaving Inuyasha and the others.
context: Afteryou broke through his barrier, he had no choice but to leave.\Damn!\Naraku is probably vulnerable enough to be killed right now.\I was almost there!\Damn!\I wonder if coming home was the right thing to do?\I'm spending my time studying in this safe world.\I feel bad about leaving Inuyasha and the others. response:	I wonderwhat they're doing?
context: Damn!\Naraku is probably vulnerable enough to be killed right now.\I was almost there!\Damn!\I wonder if coming home was the right thing to do?\I'm spending my time studying in this safe world.\I feel bad about leaving Inuyasha and the others.\I wonderwhat they're doing? response:	This formula will appear in the test two days from now.
context: Naraku is probably vulnerable enough to be killed right now.\I was almost there!\Damn!\I wonder if coming home was the right thing to do?\I'm spending my time studying in this safe world.\I feel bad about leaving Inuyasha and the others.\I wonderwhat they're doing?\This formula will appear in the test two days from now. response:	Rememberit.
context: I was almost there!\Damn!\I wonder if coming home was the right thing to do?\I'm spending my time studying in this safe world.\I feel bad about leaving Inuyasha and the others.\I wonderwhat they're doing?\This formula will appear in the test two days from now.\Rememberit. response:	Huh? Test?!
context: Damn!\I wonder if coming home was the right thing to do?\I'm spending my time studying in this safe world.\I feel bad about leaving Inuyasha and the others.\I wonderwhat they're doing?\This formula will appear in the test two days from now.\Rememberit.\Huh? Test?! response:	I can't be worrying about others.
context: I wonder if coming home was the right thing to do?\I'm spending my time studying in this safe world.\I feel bad about leaving Inuyasha and the others.\I wonderwhat they're doing?\This formula will appear in the test two days from now.\Rememberit.\Huh? Test?!\I can't be worrying about others. response:	I have to catch up in two days.
context: I'm spending my time studying in this safe world.\I feel bad about leaving Inuyasha and the others.\I wonderwhat they're doing?\This formula will appear in the test two days from now.\Rememberit.\Huh? Test?!\I can't be worrying about others.\I have to catch up in two days. response:	Otherwise, I'll end up flunking!
context: I feel bad about leaving Inuyasha and the others.\I wonderwhat they're doing?\This formula will appear in the test two days from now.\Rememberit.\Huh? Test?!\I can't be worrying about others.\I have to catch up in two days.\Otherwise, I'll end up flunking! response:	Kagome, are you ready to leave?
context: I wonderwhat they're doing?\This formula will appear in the test two days from now.\Rememberit.\Huh? Test?!\I can't be worrying about others.\I have to catch up in two days.\Otherwise, I'll end up flunking!\Kagome, are you ready to leave? response:	Of course!
context: This formula will appear in the test two days from now.\Rememberit.\Huh? Test?!\I can't be worrying about others.\I have to catch up in two days.\Otherwise, I'll end up flunking!\Kagome, are you ready to leave?\Of course! response:	I'm begging you!
context: Rememberit.\Huh? Test?!\I can't be worrying about others.\I have to catch up in two days.\Otherwise, I'll end up flunking!\Kagome, are you ready to leave?\Of course!\I'm begging you! response:	Please let me borrow yournotes.
context: Huh? Test?!\I can't be worrying about others.\I have to catch up in two days.\Otherwise, I'll end up flunking!\Kagome, are you ready to leave?\Of course!\I'm begging you!\Please let me borrow yournotes. response:	But...
context: I can't be worrying about others.\I have to catch up in two days.\Otherwise, I'll end up flunking!\Kagome, are you ready to leave?\Of course!\I'm begging you!\Please let me borrow yournotes.\But... response:	Right?
context: I have to catch up in two days.\Otherwise, I'll end up flunking!\Kagome, are you ready to leave?\Of course!\I'm begging you!\Please let me borrow yournotes.\But...\Right? response:	We have to study for the test, too.
context: Otherwise, I'll end up flunking!\Kagome, are you ready to leave?\Of course!\I'm begging you!\Please let me borrow yournotes.\But...\Right?\We have to study for the test, too. response:	So please...
context: Kagome, are you ready to leave?\Of course!\I'm begging you!\Please let me borrow yournotes.\But...\Right?\We have to study for the test, too.\So please... response:	ljust want to borrow it for a short while.
context: Of course!\I'm begging you!\Please let me borrow yournotes.\But...\Right?\We have to study for the test, too.\So please...\ljust want to borrow it for a short while. response:	Well... Kagome, we know you're sickly and it's hard on you.
context: I'm begging you!\Please let me borrow yournotes.\But...\Right?\We have to study for the test, too.\So please...\ljust want to borrow it for a short while.\Well... Kagome, we know you're sickly and it's hard on you. response:	Yes! So please help me out. ljust want to make a copy.
context: Please let me borrow yournotes.\But...\Right?\We have to study for the test, too.\So please...\ljust want to borrow it for a short while.\Well... Kagome, we know you're sickly and it's hard on you.\Yes! So please help me out. ljust want to make a copy. response:	All right. I guess it can't be helped.
context: But...\Right?\We have to study for the test, too.\So please...\ljust want to borrow it for a short while.\Well... Kagome, we know you're sickly and it's hard on you.\Yes! So please help me out. ljust want to make a copy.\All right. I guess it can't be helped. response:	Then!
context: Right?\We have to study for the test, too.\So please...\ljust want to borrow it for a short while.\Well... Kagome, we know you're sickly and it's hard on you.\Yes! So please help me out. ljust want to make a copy.\All right. I guess it can't be helped.\Then! response:	I'll lend you my notes.
context: We have to study for the test, too.\So please...\ljust want to borrow it for a short while.\Well... Kagome, we know you're sickly and it's hard on you.\Yes! So please help me out. ljust want to make a copy.\All right. I guess it can't be helped.\Then!\I'll lend you my notes. response:	Ohh! Thank you!
context: So please...\ljust want to borrow it for a short while.\Well... Kagome, we know you're sickly and it's hard on you.\Yes! So please help me out. ljust want to make a copy.\All right. I guess it can't be helped.\Then!\I'll lend you my notes.\Ohh! Thank you! response:	But in return...
context: ljust want to borrow it for a short while.\Well... Kagome, we know you're sickly and it's hard on you.\Yes! So please help me out. ljust want to make a copy.\All right. I guess it can't be helped.\Then!\I'll lend you my notes.\Ohh! Thank you!\But in return... response:	Huh?
context: Well... Kagome, we know you're sickly and it's hard on you.\Yes! So please help me out. ljust want to make a copy.\All right. I guess it can't be helped.\Then!\I'll lend you my notes.\Ohh! Thank you!\But in return...\Huh? response:	Thanks so much!
context: Yes! So please help me out. ljust want to make a copy.\All right. I guess it can't be helped.\Then!\I'll lend you my notes.\Ohh! Thank you!\But in return...\Huh?\Thanks so much! response:	Kagome?
context: All right. I guess it can't be helped.\Then!\I'll lend you my notes.\Ohh! Thank you!\But in return...\Huh?\Thanks so much!\Kagome? response:	Huh?
context: Then!\I'll lend you my notes.\Ohh! Thank you!\But in return...\Huh?\Thanks so much!\Kagome?\Huh? response:	You're thinking again.
context: I'll lend you my notes.\Ohh! Thank you!\But in return...\Huh?\Thanks so much!\Kagome?\Huh?\You're thinking again. response:	- About what? - Whatelse?
context: Ohh! Thank you!\But in return...\Huh?\Thanks so much!\Kagome?\Huh?\You're thinking again.\- About what? - Whatelse? response:	Yourjealous, delinquent boyfriend.
context: But in return...\Huh?\Thanks so much!\Kagome?\Huh?\You're thinking again.\- About what? - Whatelse?\Yourjealous, delinquent boyfriend. response:	I'm not! I really...
context: Huh?\Thanks so much!\Kagome?\Huh?\You're thinking again.\- About what? - Whatelse?\Yourjealous, delinquent boyfriend.\I'm not! I really... response:	It's okay.
context: Thanks so much!\Kagome?\Huh?\You're thinking again.\- About what? - Whatelse?\Yourjealous, delinquent boyfriend.\I'm not! I really...\It's okay. response:	So how's itgoing?
context: Kagome?\Huh?\You're thinking again.\- About what? - Whatelse?\Yourjealous, delinquent boyfriend.\I'm not! I really...\It's okay.\So how's itgoing? response:	Well...
context: Huh?\You're thinking again.\- About what? - Whatelse?\Yourjealous, delinquent boyfriend.\I'm not! I really...\It's okay.\So how's itgoing?\Well... response:	What's the latest?
context: You're thinking again.\- About what? - Whatelse?\Yourjealous, delinquent boyfriend.\I'm not! I really...\It's okay.\So how's itgoing?\Well...\What's the latest? response:	I recently met his olderbrother.
context: - About what? - Whatelse?\Yourjealous, delinquent boyfriend.\I'm not! I really...\It's okay.\So how's itgoing?\Well...\What's the latest?\I recently met his olderbrother. response:	He has a brother?
context: Yourjealous, delinquent boyfriend.\I'm not! I really...\It's okay.\So how's itgoing?\Well...\What's the latest?\I recently met his olderbrother.\He has a brother? response:	Is he also a delinquent?
context: I'm not! I really...\It's okay.\So how's itgoing?\Well...\What's the latest?\I recently met his olderbrother.\He has a brother?\Is he also a delinquent? response:	Is he strong, too?
context: It's okay.\So how's itgoing?\Well...\What's the latest?\I recently met his olderbrother.\He has a brother?\Is he also a delinquent?\Is he strong, too? response:	Yes, he may be stronger.
context: So how's itgoing?\Well...\What's the latest?\I recently met his olderbrother.\He has a brother?\Is he also a delinquent?\Is he strong, too?\Yes, he may be stronger. response:	The two of them only argue when they see each other.
context: Well...\What's the latest?\I recently met his olderbrother.\He has a brother?\Is he also a delinquent?\Is he strong, too?\Yes, he may be stronger.\The two of them only argue when they see each other. response:	He's very dangerous. Really, really dangerous.
context: What's the latest?\I recently met his olderbrother.\He has a brother?\Is he also a delinquent?\Is he strong, too?\Yes, he may be stronger.\The two of them only argue when they see each other.\He's very dangerous. Really, really dangerous. response:	Should we keep quiet?
context: I recently met his olderbrother.\He has a brother?\Is he also a delinquent?\Is he strong, too?\Yes, he may be stronger.\The two of them only argue when they see each other.\He's very dangerous. Really, really dangerous.\Should we keep quiet? response:	I can just see it... herunhappy future!
context: He has a brother?\Is he also a delinquent?\Is he strong, too?\Yes, he may be stronger.\The two of them only argue when they see each other.\He's very dangerous. Really, really dangerous.\Should we keep quiet?\I can just see it... herunhappy future! response:	Where there's love, there's hope!
context: Is he also a delinquent?\Is he strong, too?\Yes, he may be stronger.\The two of them only argue when they see each other.\He's very dangerous. Really, really dangerous.\Should we keep quiet?\I can just see it... herunhappy future!\Where there's love, there's hope! response:	Hang in there, Kagome!
context: Is he strong, too?\Yes, he may be stronger.\The two of them only argue when they see each other.\He's very dangerous. Really, really dangerous.\Should we keep quiet?\I can just see it... herunhappy future!\Where there's love, there's hope!\Hang in there, Kagome! response:	- What's the matter? - N-Nothing!
context: Yes, he may be stronger.\The two of them only argue when they see each other.\He's very dangerous. Really, really dangerous.\Should we keep quiet?\I can just see it... herunhappy future!\Where there's love, there's hope!\Hang in there, Kagome!\- What's the matter? - N-Nothing! response:	Can I borrow yournotes?
context: The two of them only argue when they see each other.\He's very dangerous. Really, really dangerous.\Should we keep quiet?\I can just see it... herunhappy future!\Where there's love, there's hope!\Hang in there, Kagome!\- What's the matter? - N-Nothing!\Can I borrow yournotes? response:	Huh?
context: He's very dangerous. Really, really dangerous.\Should we keep quiet?\I can just see it... herunhappy future!\Where there's love, there's hope!\Hang in there, Kagome!\- What's the matter? - N-Nothing!\Can I borrow yournotes?\Huh? response:	Why?
context: Should we keep quiet?\I can just see it... herunhappy future!\Where there's love, there's hope!\Hang in there, Kagome!\- What's the matter? - N-Nothing!\Can I borrow yournotes?\Huh?\Why? response:	It's exam week in college.
context: I can just see it... herunhappy future!\Where there's love, there's hope!\Hang in there, Kagome!\- What's the matter? - N-Nothing!\Can I borrow yournotes?\Huh?\Why?\It's exam week in college. response:	They all have the same plan as you, Kagome.
context: Where there's love, there's hope!\Hang in there, Kagome!\- What's the matter? - N-Nothing!\Can I borrow yournotes?\Huh?\Why?\It's exam week in college.\They all have the same plan as you, Kagome. response:	What'll we do? Stand in line?
context: Hang in there, Kagome!\- What's the matter? - N-Nothing!\Can I borrow yournotes?\Huh?\Why?\It's exam week in college.\They all have the same plan as you, Kagome.\What'll we do? Stand in line? response:	We can make copies somewhere else.
context: - What's the matter? - N-Nothing!\Can I borrow yournotes?\Huh?\Why?\It's exam week in college.\They all have the same plan as you, Kagome.\What'll we do? Stand in line?\We can make copies somewhere else. response:	Fast and easy copies.
context: Can I borrow yournotes?\Huh?\Why?\It's exam week in college.\They all have the same plan as you, Kagome.\What'll we do? Stand in line?\We can make copies somewhere else.\Fast and easy copies. response:	OUT OF ORDER
context: Huh?\Why?\It's exam week in college.\They all have the same plan as you, Kagome.\What'll we do? Stand in line?\We can make copies somewhere else.\Fast and easy copies.\OUT OF ORDER response:	Somewhere else...
context: Why?\It's exam week in college.\They all have the same plan as you, Kagome.\What'll we do? Stand in line?\We can make copies somewhere else.\Fast and easy copies.\OUT OF ORDER\Somewhere else... response:	CLOSED FORTHE DAY
context: It's exam week in college.\They all have the same plan as you, Kagome.\What'll we do? Stand in line?\We can make copies somewhere else.\Fast and easy copies.\OUT OF ORDER\Somewhere else...\CLOSED FORTHE DAY response:	CLOSED FORTHE DAY Somewhere else...
context: They all have the same plan as you, Kagome.\What'll we do? Stand in line?\We can make copies somewhere else.\Fast and easy copies.\OUT OF ORDER\Somewhere else...\CLOSED FORTHE DAY\CLOSED FORTHE DAY Somewhere else... response:	No way!
context: What'll we do? Stand in line?\We can make copies somewhere else.\Fast and easy copies.\OUT OF ORDER\Somewhere else...\CLOSED FORTHE DAY\CLOSED FORTHE DAY Somewhere else...\No way! response:	What's going on?!
context: We can make copies somewhere else.\Fast and easy copies.\OUT OF ORDER\Somewhere else...\CLOSED FORTHE DAY\CLOSED FORTHE DAY Somewhere else...\No way!\What's going on?! response:	W-Well, Kagome. We have to go.
context: Fast and easy copies.\OUT OF ORDER\Somewhere else...\CLOSED FORTHE DAY\CLOSED FORTHE DAY Somewhere else...\No way!\What's going on?!\W-Well, Kagome. We have to go. response:	Hang in there.
context: OUT OF ORDER\Somewhere else...\CLOSED FORTHE DAY\CLOSED FORTHE DAY Somewhere else...\No way!\What's going on?!\W-Well, Kagome. We have to go.\Hang in there. response:	W-Wait!
context: Somewhere else...\CLOSED FORTHE DAY\CLOSED FORTHE DAY Somewhere else...\No way!\What's going on?!\W-Well, Kagome. We have to go.\Hang in there.\W-Wait! response:	You can't leave!
context: CLOSED FORTHE DAY\CLOSED FORTHE DAY Somewhere else...\No way!\What's going on?!\W-Well, Kagome. We have to go.\Hang in there.\W-Wait!\You can't leave! response:	You traitors!
context: CLOSED FORTHE DAY Somewhere else...\No way!\What's going on?!\W-Well, Kagome. We have to go.\Hang in there.\W-Wait!\You can't leave!\You traitors! response:	She's late! Kagome's late!
context: No way!\What's going on?!\W-Well, Kagome. We have to go.\Hang in there.\W-Wait!\You can't leave!\You traitors!\She's late! Kagome's late! response:	I thought she was returning right away?
context: What's going on?!\W-Well, Kagome. We have to go.\Hang in there.\W-Wait!\You can't leave!\You traitors!\She's late! Kagome's late!\I thought she was returning right away? response:	She said she'd stay over two or three days.
context: W-Well, Kagome. We have to go.\Hang in there.\W-Wait!\You can't leave!\You traitors!\She's late! Kagome's late!\I thought she was returning right away?\She said she'd stay over two or three days. response:	Don't be impatient, Inuyasha.
context: Hang in there.\W-Wait!\You can't leave!\You traitors!\She's late! Kagome's late!\I thought she was returning right away?\She said she'd stay over two or three days.\Don't be impatient, Inuyasha. response:	How can you stay so calm?!
context: W-Wait!\You can't leave!\You traitors!\She's late! Kagome's late!\I thought she was returning right away?\She said she'd stay over two or three days.\Don't be impatient, Inuyasha.\How can you stay so calm?! response:	It's not like we only started hunting down Naraku.
context: You can't leave!\You traitors!\She's late! Kagome's late!\I thought she was returning right away?\She said she'd stay over two or three days.\Don't be impatient, Inuyasha.\How can you stay so calm?!\It's not like we only started hunting down Naraku. response:	Besides, Inuyasha...
context: You traitors!\She's late! Kagome's late!\I thought she was returning right away?\She said she'd stay over two or three days.\Don't be impatient, Inuyasha.\How can you stay so calm?!\It's not like we only started hunting down Naraku.\Besides, Inuyasha... response:	You'd betterrest yourbody, too.
context: She's late! Kagome's late!\I thought she was returning right away?\She said she'd stay over two or three days.\Don't be impatient, Inuyasha.\How can you stay so calm?!\It's not like we only started hunting down Naraku.\Besides, Inuyasha...\You'd betterrest yourbody, too. response:	Huh?
context: I thought she was returning right away?\She said she'd stay over two or three days.\Don't be impatient, Inuyasha.\How can you stay so calm?!\It's not like we only started hunting down Naraku.\Besides, Inuyasha...\You'd betterrest yourbody, too.\Huh? response:	What're you saying, Sango?!
context: She said she'd stay over two or three days.\Don't be impatient, Inuyasha.\How can you stay so calm?!\It's not like we only started hunting down Naraku.\Besides, Inuyasha...\You'd betterrest yourbody, too.\Huh?\What're you saying, Sango?! response:	I'm not like you humans. I'm not a bit tired!
context: Don't be impatient, Inuyasha.\How can you stay so calm?!\It's not like we only started hunting down Naraku.\Besides, Inuyasha...\You'd betterrest yourbody, too.\Huh?\What're you saying, Sango?!\I'm not like you humans. I'm not a bit tired! response:	That's just it!
context: How can you stay so calm?!\It's not like we only started hunting down Naraku.\Besides, Inuyasha...\You'd betterrest yourbody, too.\Huh?\What're you saying, Sango?!\I'm not like you humans. I'm not a bit tired!\That's just it! response:	We can't keep up with yourenergy.
context: It's not like we only started hunting down Naraku.\Besides, Inuyasha...\You'd betterrest yourbody, too.\Huh?\What're you saying, Sango?!\I'm not like you humans. I'm not a bit tired!\That's just it!\We can't keep up with yourenergy. response:	You're the one who's tired. You!
context: Besides, Inuyasha...\You'd betterrest yourbody, too.\Huh?\What're you saying, Sango?!\I'm not like you humans. I'm not a bit tired!\That's just it!\We can't keep up with yourenergy.\You're the one who's tired. You! response:	So...
context: You'd betterrest yourbody, too.\Huh?\What're you saying, Sango?!\I'm not like you humans. I'm not a bit tired!\That's just it!\We can't keep up with yourenergy.\You're the one who's tired. You!\So... response:	I see.
context: Huh?\What're you saying, Sango?!\I'm not like you humans. I'm not a bit tired!\That's just it!\We can't keep up with yourenergy.\You're the one who's tired. You!\So...\I see. response:	Naraku's demonic aura remains hidden.
context: What're you saying, Sango?!\I'm not like you humans. I'm not a bit tired!\That's just it!\We can't keep up with yourenergy.\You're the one who's tired. You!\So...\I see.\Naraku's demonic aura remains hidden. response:	I've had my Soul Collectors look fortraces of him...
context: I'm not like you humans. I'm not a bit tired!\That's just it!\We can't keep up with yourenergy.\You're the one who's tired. You!\So...\I see.\Naraku's demonic aura remains hidden.\I've had my Soul Collectors look fortraces of him... response:	But there's not even a hint of his barrier.
context: That's just it!\We can't keep up with yourenergy.\You're the one who's tired. You!\So...\I see.\Naraku's demonic aura remains hidden.\I've had my Soul Collectors look fortraces of him...\But there's not even a hint of his barrier. response:	How has he hidden such a strong demonic aura?
context: We can't keep up with yourenergy.\You're the one who's tired. You!\So...\I see.\Naraku's demonic aura remains hidden.\I've had my Soul Collectors look fortraces of him...\But there's not even a hint of his barrier.\How has he hidden such a strong demonic aura? response:	Geez!
context: You're the one who's tired. You!\So...\I see.\Naraku's demonic aura remains hidden.\I've had my Soul Collectors look fortraces of him...\But there's not even a hint of his barrier.\How has he hidden such a strong demonic aura?\Geez! response:	Get the Sacred Jewel shard from Kohaku's corpse.
