context: Please, no! response:	Please don't eat me!
context: Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire response:	Light it up, baby. I'm gonna burn it up, yeah
context: But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah response:	10 The story of Tahomaru
context: Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\10 The story of Tahomaru response:	There hasn't been any rain for 2 months now.
context: Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\10 The story of Tahomaru\There hasn't been any rain for 2 months now. response:	If this drought continues, it will affect the harvest.
context: Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\10 The story of Tahomaru\There hasn't been any rain for 2 months now.\If this drought continues, it will affect the harvest. response:	The neighboring Asakura clan is getting restless.
context: Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\10 The story of Tahomaru\There hasn't been any rain for 2 months now.\If this drought continues, it will affect the harvest.\The neighboring Asakura clan is getting restless. response:	We've gotten news that they've been quietly gathering an army at the border.
context: Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\10 The story of Tahomaru\There hasn't been any rain for 2 months now.\If this drought continues, it will affect the harvest.\The neighboring Asakura clan is getting restless.\We've gotten news that they've been quietly gathering an army at the border. response:	We should take action before they start a war.
context: Give me fire\Light it up, baby. I'm gonna burn it up, yeah\10 The story of Tahomaru\There hasn't been any rain for 2 months now.\If this drought continues, it will affect the harvest.\The neighboring Asakura clan is getting restless.\We've gotten news that they've been quietly gathering an army at the border.\We should take action before they start a war. response:	That grave face...
context: Light it up, baby. I'm gonna burn it up, yeah\10 The story of Tahomaru\There hasn't been any rain for 2 months now.\If this drought continues, it will affect the harvest.\The neighboring Asakura clan is getting restless.\We've gotten news that they've been quietly gathering an army at the border.\We should take action before they start a war.\That grave face... response:	It must be related to the secret Father is keeping from me.
context: 10 The story of Tahomaru\There hasn't been any rain for 2 months now.\If this drought continues, it will affect the harvest.\The neighboring Asakura clan is getting restless.\We've gotten news that they've been quietly gathering an army at the border.\We should take action before they start a war.\That grave face...\It must be related to the secret Father is keeping from me. response:	Mutsu, Hyogo.
context: There hasn't been any rain for 2 months now.\If this drought continues, it will affect the harvest.\The neighboring Asakura clan is getting restless.\We've gotten news that they've been quietly gathering an army at the border.\We should take action before they start a war.\That grave face...\It must be related to the secret Father is keeping from me.\Mutsu, Hyogo. response:	I need you to do something.
context: If this drought continues, it will affect the harvest.\The neighboring Asakura clan is getting restless.\We've gotten news that they've been quietly gathering an army at the border.\We should take action before they start a war.\That grave face...\It must be related to the secret Father is keeping from me.\Mutsu, Hyogo.\I need you to do something. response:	Don't let anyone from my family know.
context: The neighboring Asakura clan is getting restless.\We've gotten news that they've been quietly gathering an army at the border.\We should take action before they start a war.\That grave face...\It must be related to the secret Father is keeping from me.\Mutsu, Hyogo.\I need you to do something.\Don't let anyone from my family know. response:	HALL OF HELL
context: We've gotten news that they've been quietly gathering an army at the border.\We should take action before they start a war.\That grave face...\It must be related to the secret Father is keeping from me.\Mutsu, Hyogo.\I need you to do something.\Don't let anyone from my family know.\HALL OF HELL response:	It must be that baby.
context: We should take action before they start a war.\That grave face...\It must be related to the secret Father is keeping from me.\Mutsu, Hyogo.\I need you to do something.\Don't let anyone from my family know.\HALL OF HELL\It must be that baby. response:	He's still alive and is trying to take his body back from you.
context: That grave face...\It must be related to the secret Father is keeping from me.\Mutsu, Hyogo.\I need you to do something.\Don't let anyone from my family know.\HALL OF HELL\It must be that baby.\He's still alive and is trying to take his body back from you. response:	Answer me!
context: It must be related to the secret Father is keeping from me.\Mutsu, Hyogo.\I need you to do something.\Don't let anyone from my family know.\HALL OF HELL\It must be that baby.\He's still alive and is trying to take his body back from you.\Answer me! response:	Just as I thought...
context: Mutsu, Hyogo.\I need you to do something.\Don't let anyone from my family know.\HALL OF HELL\It must be that baby.\He's still alive and is trying to take his body back from you.\Answer me!\Just as I thought... response:	You done?
context: I need you to do something.\Don't let anyone from my family know.\HALL OF HELL\It must be that baby.\He's still alive and is trying to take his body back from you.\Answer me!\Just as I thought...\You done? response:	You okay?
context: Don't let anyone from my family know.\HALL OF HELL\It must be that baby.\He's still alive and is trying to take his body back from you.\Answer me!\Just as I thought...\You done?\You okay? response:	Oh, jeez.
context: HALL OF HELL\It must be that baby.\He's still alive and is trying to take his body back from you.\Answer me!\Just as I thought...\You done?\You okay?\Oh, jeez. response:	Anyways, that merchant says that the land is really rich there.
context: It must be that baby.\He's still alive and is trying to take his body back from you.\Answer me!\Just as I thought...\You done?\You okay?\Oh, jeez.\Anyways, that merchant says that the land is really rich there. response:	The people eat all the white rice they want even in these times.
context: He's still alive and is trying to take his body back from you.\Answer me!\Just as I thought...\You done?\You okay?\Oh, jeez.\Anyways, that merchant says that the land is really rich there.\The people eat all the white rice they want even in these times. response:	Amazing, huh?
context: Answer me!\Just as I thought...\You done?\You okay?\Oh, jeez.\Anyways, that merchant says that the land is really rich there.\The people eat all the white rice they want even in these times.\Amazing, huh? response:	Let's go there next. We'll make loads of money and stuff ourselves silly.
context: Just as I thought...\You done?\You okay?\Oh, jeez.\Anyways, that merchant says that the land is really rich there.\The people eat all the white rice they want even in these times.\Amazing, huh?\Let's go there next. We'll make loads of money and stuff ourselves silly. response:	Whole sea breams, dried abalones, manju steamed buns...
context: You done?\You okay?\Oh, jeez.\Anyways, that merchant says that the land is really rich there.\The people eat all the white rice they want even in these times.\Amazing, huh?\Let's go there next. We'll make loads of money and stuff ourselves silly.\Whole sea breams, dried abalones, manju steamed buns... response:	Manju?
context: You okay?\Oh, jeez.\Anyways, that merchant says that the land is really rich there.\The people eat all the white rice they want even in these times.\Amazing, huh?\Let's go there next. We'll make loads of money and stuff ourselves silly.\Whole sea breams, dried abalones, manju steamed buns...\Manju? response:	They're soft, sweet, and so delicious.
context: Oh, jeez.\Anyways, that merchant says that the land is really rich there.\The people eat all the white rice they want even in these times.\Amazing, huh?\Let's go there next. We'll make loads of money and stuff ourselves silly.\Whole sea breams, dried abalones, manju steamed buns...\Manju?\They're soft, sweet, and so delicious. response:	You'll love them, just you wait.
context: Anyways, that merchant says that the land is really rich there.\The people eat all the white rice they want even in these times.\Amazing, huh?\Let's go there next. We'll make loads of money and stuff ourselves silly.\Whole sea breams, dried abalones, manju steamed buns...\Manju?\They're soft, sweet, and so delicious.\You'll love them, just you wait. response:	I'd been wanting to ask you.
context: The people eat all the white rice they want even in these times.\Amazing, huh?\Let's go there next. We'll make loads of money and stuff ourselves silly.\Whole sea breams, dried abalones, manju steamed buns...\Manju?\They're soft, sweet, and so delicious.\You'll love them, just you wait.\I'd been wanting to ask you. response:	It's a family seal on that amulet, right? Is it your family's?
context: Amazing, huh?\Let's go there next. We'll make loads of money and stuff ourselves silly.\Whole sea breams, dried abalones, manju steamed buns...\Manju?\They're soft, sweet, and so delicious.\You'll love them, just you wait.\I'd been wanting to ask you.\It's a family seal on that amulet, right? Is it your family's? response:	I've drugged him.
context: Let's go there next. We'll make loads of money and stuff ourselves silly.\Whole sea breams, dried abalones, manju steamed buns...\Manju?\They're soft, sweet, and so delicious.\You'll love them, just you wait.\I'd been wanting to ask you.\It's a family seal on that amulet, right? Is it your family's?\I've drugged him. response:	He'll answer anything you ask him.
context: Whole sea breams, dried abalones, manju steamed buns...\Manju?\They're soft, sweet, and so delicious.\You'll love them, just you wait.\I'd been wanting to ask you.\It's a family seal on that amulet, right? Is it your family's?\I've drugged him.\He'll answer anything you ask him. response:	My father has given you special orders, hasn't he?
context: Manju?\They're soft, sweet, and so delicious.\You'll love them, just you wait.\I'd been wanting to ask you.\It's a family seal on that amulet, right? Is it your family's?\I've drugged him.\He'll answer anything you ask him.\My father has given you special orders, hasn't he? response:	What were those orders?
context: They're soft, sweet, and so delicious.\You'll love them, just you wait.\I'd been wanting to ask you.\It's a family seal on that amulet, right? Is it your family's?\I've drugged him.\He'll answer anything you ask him.\My father has given you special orders, hasn't he?\What were those orders? response:	To find a baby that disappeared 16 years ago...
context: You'll love them, just you wait.\I'd been wanting to ask you.\It's a family seal on that amulet, right? Is it your family's?\I've drugged him.\He'll answer anything you ask him.\My father has given you special orders, hasn't he?\What were those orders?\To find a baby that disappeared 16 years ago... response:	and the midwife.
context: I'd been wanting to ask you.\It's a family seal on that amulet, right? Is it your family's?\I've drugged him.\He'll answer anything you ask him.\My father has given you special orders, hasn't he?\What were those orders?\To find a baby that disappeared 16 years ago...\and the midwife. response:	Why is my father looking for a baby?
context: It's a family seal on that amulet, right? Is it your family's?\I've drugged him.\He'll answer anything you ask him.\My father has given you special orders, hasn't he?\What were those orders?\To find a baby that disappeared 16 years ago...\and the midwife.\Why is my father looking for a baby? response:	Because...
context: I've drugged him.\He'll answer anything you ask him.\My father has given you special orders, hasn't he?\What were those orders?\To find a baby that disappeared 16 years ago...\and the midwife.\Why is my father looking for a baby?\Because... response:	Answer me.
context: He'll answer anything you ask him.\My father has given you special orders, hasn't he?\What were those orders?\To find a baby that disappeared 16 years ago...\and the midwife.\Why is my father looking for a baby?\Because...\Answer me. response:	He tried to bite his tongue off.
context: My father has given you special orders, hasn't he?\What were those orders?\To find a baby that disappeared 16 years ago...\and the midwife.\Why is my father looking for a baby?\Because...\Answer me.\He tried to bite his tongue off. response:	Will he die?
context: What were those orders?\To find a baby that disappeared 16 years ago...\and the midwife.\Why is my father looking for a baby?\Because...\Answer me.\He tried to bite his tongue off.\Will he die? response:	No, the cut is not deep.
context: To find a baby that disappeared 16 years ago...\and the midwife.\Why is my father looking for a baby?\Because...\Answer me.\He tried to bite his tongue off.\Will he die?\No, the cut is not deep. response:	The drug must've weakened him.
context: and the midwife.\Why is my father looking for a baby?\Because...\Answer me.\He tried to bite his tongue off.\Will he die?\No, the cut is not deep.\The drug must've weakened him. response:	Father, what is on your mind?
context: Why is my father looking for a baby?\Because...\Answer me.\He tried to bite his tongue off.\Will he die?\No, the cut is not deep.\The drug must've weakened him.\Father, what is on your mind? response:	The Asakura clan is getting restless.
context: Because...\Answer me.\He tried to bite his tongue off.\Will he die?\No, the cut is not deep.\The drug must've weakened him.\Father, what is on your mind?\The Asakura clan is getting restless. response:	Is that all?
context: Answer me.\He tried to bite his tongue off.\Will he die?\No, the cut is not deep.\The drug must've weakened him.\Father, what is on your mind?\The Asakura clan is getting restless.\Is that all? response:	Father, why are you searching for a baby?
context: He tried to bite his tongue off.\Will he die?\No, the cut is not deep.\The drug must've weakened him.\Father, what is on your mind?\The Asakura clan is getting restless.\Is that all?\Father, why are you searching for a baby? response:	A baby from over a decade ago.
context: Will he die?\No, the cut is not deep.\The drug must've weakened him.\Father, what is on your mind?\The Asakura clan is getting restless.\Is that all?\Father, why are you searching for a baby?\A baby from over a decade ago. response:	That headless Goddess of Mercy that Mother worships,
context: No, the cut is not deep.\The drug must've weakened him.\Father, what is on your mind?\The Asakura clan is getting restless.\Is that all?\Father, why are you searching for a baby?\A baby from over a decade ago.\That headless Goddess of Mercy that Mother worships, response:	does it have anything to do with it?
context: The drug must've weakened him.\Father, what is on your mind?\The Asakura clan is getting restless.\Is that all?\Father, why are you searching for a baby?\A baby from over a decade ago.\That headless Goddess of Mercy that Mother worships,\does it have anything to do with it? response:	Please answer me, Father!
context: Father, what is on your mind?\The Asakura clan is getting restless.\Is that all?\Father, why are you searching for a baby?\A baby from over a decade ago.\That headless Goddess of Mercy that Mother worships,\does it have anything to do with it?\Please answer me, Father! response:	It is none of your concern.
context: The Asakura clan is getting restless.\Is that all?\Father, why are you searching for a baby?\A baby from over a decade ago.\That headless Goddess of Mercy that Mother worships,\does it have anything to do with it?\Please answer me, Father!\It is none of your concern. response:	-Yet... -End of story.
context: Is that all?\Father, why are you searching for a baby?\A baby from over a decade ago.\That headless Goddess of Mercy that Mother worships,\does it have anything to do with it?\Please answer me, Father!\It is none of your concern.\-Yet... -End of story. response:	How can you still be alive?
context: Father, why are you searching for a baby?\A baby from over a decade ago.\That headless Goddess of Mercy that Mother worships,\does it have anything to do with it?\Please answer me, Father!\It is none of your concern.\-Yet... -End of story.\How can you still be alive? response:	I'm surprised you found me here.
context: A baby from over a decade ago.\That headless Goddess of Mercy that Mother worships,\does it have anything to do with it?\Please answer me, Father!\It is none of your concern.\-Yet... -End of story.\How can you still be alive?\I'm surprised you found me here. response:	You always came here as a child whenever anything happened.
context: That headless Goddess of Mercy that Mother worships,\does it have anything to do with it?\Please answer me, Father!\It is none of your concern.\-Yet... -End of story.\How can you still be alive?\I'm surprised you found me here.\You always came here as a child whenever anything happened. response:	And we came for you each time.
context: does it have anything to do with it?\Please answer me, Father!\It is none of your concern.\-Yet... -End of story.\How can you still be alive?\I'm surprised you found me here.\You always came here as a child whenever anything happened.\And we came for you each time. response:	Every time.
context: Please answer me, Father!\It is none of your concern.\-Yet... -End of story.\How can you still be alive?\I'm surprised you found me here.\You always came here as a child whenever anything happened.\And we came for you each time.\Every time. response:	Young Master.
context: It is none of your concern.\-Yet... -End of story.\How can you still be alive?\I'm surprised you found me here.\You always came here as a child whenever anything happened.\And we came for you each time.\Every time.\Young Master. response:	Let's go home.
context: -Yet... -End of story.\How can you still be alive?\I'm surprised you found me here.\You always came here as a child whenever anything happened.\And we came for you each time.\Every time.\Young Master.\Let's go home. response:	When I was a child, huh.
context: How can you still be alive?\I'm surprised you found me here.\You always came here as a child whenever anything happened.\And we came for you each time.\Every time.\Young Master.\Let's go home.\When I was a child, huh. response:	I must still seem like a child to my father.
context: I'm surprised you found me here.\You always came here as a child whenever anything happened.\And we came for you each time.\Every time.\Young Master.\Let's go home.\When I was a child, huh.\I must still seem like a child to my father. response:	That's why he won't take me to war and keeps secrets.
context: You always came here as a child whenever anything happened.\And we came for you each time.\Every time.\Young Master.\Let's go home.\When I was a child, huh.\I must still seem like a child to my father.\That's why he won't take me to war and keeps secrets. response:	I've never seen my father looking like that.
context: And we came for you each time.\Every time.\Young Master.\Let's go home.\When I was a child, huh.\I must still seem like a child to my father.\That's why he won't take me to war and keeps secrets.\I've never seen my father looking like that. response:	The matter with the baby must mean that much to him.
context: Every time.\Young Master.\Let's go home.\When I was a child, huh.\I must still seem like a child to my father.\That's why he won't take me to war and keeps secrets.\I've never seen my father looking like that.\The matter with the baby must mean that much to him. response:	What's going on?
context: Young Master.\Let's go home.\When I was a child, huh.\I must still seem like a child to my father.\That's why he won't take me to war and keeps secrets.\I've never seen my father looking like that.\The matter with the baby must mean that much to him.\What's going on? response:	Please, have mercy on us.
context: Let's go home.\When I was a child, huh.\I must still seem like a child to my father.\That's why he won't take me to war and keeps secrets.\I've never seen my father looking like that.\The matter with the baby must mean that much to him.\What's going on?\Please, have mercy on us. response:	Don't just leave us here to die!
context: When I was a child, huh.\I must still seem like a child to my father.\That's why he won't take me to war and keeps secrets.\I've never seen my father looking like that.\The matter with the baby must mean that much to him.\What's going on?\Please, have mercy on us.\Don't just leave us here to die! response:	Let go of me! Let go, or I'll...
context: I must still seem like a child to my father.\That's why he won't take me to war and keeps secrets.\I've never seen my father looking like that.\The matter with the baby must mean that much to him.\What's going on?\Please, have mercy on us.\Don't just leave us here to die!\Let go of me! Let go, or I'll... response:	What's going on?
context: That's why he won't take me to war and keeps secrets.\I've never seen my father looking like that.\The matter with the baby must mean that much to him.\What's going on?\Please, have mercy on us.\Don't just leave us here to die!\Let go of me! Let go, or I'll...\What's going on? response:	Sir Tahomaru.
context: I've never seen my father looking like that.\The matter with the baby must mean that much to him.\What's going on?\Please, have mercy on us.\Don't just leave us here to die!\Let go of me! Let go, or I'll...\What's going on?\Sir Tahomaru. response:	We were passing through this village on our way back.
context: The matter with the baby must mean that much to him.\What's going on?\Please, have mercy on us.\Don't just leave us here to die!\Let go of me! Let go, or I'll...\What's going on?\Sir Tahomaru.\We were passing through this village on our way back. response:	They suddenly stopped us.
context: What's going on?\Please, have mercy on us.\Don't just leave us here to die!\Let go of me! Let go, or I'll...\What's going on?\Sir Tahomaru.\We were passing through this village on our way back.\They suddenly stopped us. response:	Please, save us!
context: Please, have mercy on us.\Don't just leave us here to die!\Let go of me! Let go, or I'll...\What's going on?\Sir Tahomaru.\We were passing through this village on our way back.\They suddenly stopped us.\Please, save us! response:	The whole village is going to be eaten up by the monster.
context: Don't just leave us here to die!\Let go of me! Let go, or I'll...\What's going on?\Sir Tahomaru.\We were passing through this village on our way back.\They suddenly stopped us.\Please, save us!\The whole village is going to be eaten up by the monster. response:	Monster, you say?
context: Let go of me! Let go, or I'll...\What's going on?\Sir Tahomaru.\We were passing through this village on our way back.\They suddenly stopped us.\Please, save us!\The whole village is going to be eaten up by the monster.\Monster, you say? response:	A whirling current?
context: What's going on?\Sir Tahomaru.\We were passing through this village on our way back.\They suddenly stopped us.\Please, save us!\The whole village is going to be eaten up by the monster.\Monster, you say?\A whirling current? response:	Ripples in the water suddenly turn into a whirling current.
context: Sir Tahomaru.\We were passing through this village on our way back.\They suddenly stopped us.\Please, save us!\The whole village is going to be eaten up by the monster.\Monster, you say?\A whirling current?\Ripples in the water suddenly turn into a whirling current. response:	The current pulls you in, and there's a huge mouth waiting here.
context: We were passing through this village on our way back.\They suddenly stopped us.\Please, save us!\The whole village is going to be eaten up by the monster.\Monster, you say?\A whirling current?\Ripples in the water suddenly turn into a whirling current.\The current pulls you in, and there's a huge mouth waiting here. response:	And it eats up our people, boat and all.
context: They suddenly stopped us.\Please, save us!\The whole village is going to be eaten up by the monster.\Monster, you say?\A whirling current?\Ripples in the water suddenly turn into a whirling current.\The current pulls you in, and there's a huge mouth waiting here.\And it eats up our people, boat and all. response:	Many of our villagers have fallen victim to it.
context: Please, save us!\The whole village is going to be eaten up by the monster.\Monster, you say?\A whirling current?\Ripples in the water suddenly turn into a whirling current.\The current pulls you in, and there's a huge mouth waiting here.\And it eats up our people, boat and all.\Many of our villagers have fallen victim to it. response:	A whirling current with a mouth...
context: The whole village is going to be eaten up by the monster.\Monster, you say?\A whirling current?\Ripples in the water suddenly turn into a whirling current.\The current pulls you in, and there's a huge mouth waiting here.\And it eats up our people, boat and all.\Many of our villagers have fallen victim to it.\A whirling current with a mouth... response:	It does sound like the supernatural.
context: Monster, you say?\A whirling current?\Ripples in the water suddenly turn into a whirling current.\The current pulls you in, and there's a huge mouth waiting here.\And it eats up our people, boat and all.\Many of our villagers have fallen victim to it.\A whirling current with a mouth...\It does sound like the supernatural. response:	Fine, I will defeat it for you.
context: A whirling current?\Ripples in the water suddenly turn into a whirling current.\The current pulls you in, and there's a huge mouth waiting here.\And it eats up our people, boat and all.\Many of our villagers have fallen victim to it.\A whirling current with a mouth...\It does sound like the supernatural.\Fine, I will defeat it for you. response:	Sir Tahomaru.
context: Ripples in the water suddenly turn into a whirling current.\The current pulls you in, and there's a huge mouth waiting here.\And it eats up our people, boat and all.\Many of our villagers have fallen victim to it.\A whirling current with a mouth...\It does sound like the supernatural.\Fine, I will defeat it for you.\Sir Tahomaru. response:	You don't believe these people, do you?
context: The current pulls you in, and there's a huge mouth waiting here.\And it eats up our people, boat and all.\Many of our villagers have fallen victim to it.\A whirling current with a mouth...\It does sound like the supernatural.\Fine, I will defeat it for you.\Sir Tahomaru.\You don't believe these people, do you? response:	Even if it were true, you shouldn't be fighting monsters...
context: And it eats up our people, boat and all.\Many of our villagers have fallen victim to it.\A whirling current with a mouth...\It does sound like the supernatural.\Fine, I will defeat it for you.\Sir Tahomaru.\You don't believe these people, do you?\Even if it were true, you shouldn't be fighting monsters... response:	These people are not lying.
context: Many of our villagers have fallen victim to it.\A whirling current with a mouth...\It does sound like the supernatural.\Fine, I will defeat it for you.\Sir Tahomaru.\You don't believe these people, do you?\Even if it were true, you shouldn't be fighting monsters...\These people are not lying. response:	My people are suffering. You tell me to leave them?
context: A whirling current with a mouth...\It does sound like the supernatural.\Fine, I will defeat it for you.\Sir Tahomaru.\You don't believe these people, do you?\Even if it were true, you shouldn't be fighting monsters...\These people are not lying.\My people are suffering. You tell me to leave them? response:	No, that is not what I meant...
context: It does sound like the supernatural.\Fine, I will defeat it for you.\Sir Tahomaru.\You don't believe these people, do you?\Even if it were true, you shouldn't be fighting monsters...\These people are not lying.\My people are suffering. You tell me to leave them?\No, that is not what I meant... response:	If the monster scares you, go ahead and leave.
context: Fine, I will defeat it for you.\Sir Tahomaru.\You don't believe these people, do you?\Even if it were true, you shouldn't be fighting monsters...\These people are not lying.\My people are suffering. You tell me to leave them?\No, that is not what I meant...\If the monster scares you, go ahead and leave. response:	Sir Tahomaru!
context: Sir Tahomaru.\You don't believe these people, do you?\Even if it were true, you shouldn't be fighting monsters...\These people are not lying.\My people are suffering. You tell me to leave them?\No, that is not what I meant...\If the monster scares you, go ahead and leave.\Sir Tahomaru! response:	You don't have to come, either.
context: You don't believe these people, do you?\Even if it were true, you shouldn't be fighting monsters...\These people are not lying.\My people are suffering. You tell me to leave them?\No, that is not what I meant...\If the monster scares you, go ahead and leave.\Sir Tahomaru!\You don't have to come, either. response:	You must be joking, sir.
context: Even if it were true, you shouldn't be fighting monsters...\These people are not lying.\My people are suffering. You tell me to leave them?\No, that is not what I meant...\If the monster scares you, go ahead and leave.\Sir Tahomaru!\You don't have to come, either.\You must be joking, sir. response:	We would follow you even into the depths of hell.
context: These people are not lying.\My people are suffering. You tell me to leave them?\No, that is not what I meant...\If the monster scares you, go ahead and leave.\Sir Tahomaru!\You don't have to come, either.\You must be joking, sir.\We would follow you even into the depths of hell. response:	What is it?
context: My people are suffering. You tell me to leave them?\No, that is not what I meant...\If the monster scares you, go ahead and leave.\Sir Tahomaru!\You don't have to come, either.\You must be joking, sir.\We would follow you even into the depths of hell.\What is it? response:	The oar seems to be stuck...
context: No, that is not what I meant...\If the monster scares you, go ahead and leave.\Sir Tahomaru!\You don't have to come, either.\You must be joking, sir.\We would follow you even into the depths of hell.\What is it?\The oar seems to be stuck... response:	It's coming.
context: If the monster scares you, go ahead and leave.\Sir Tahomaru!\You don't have to come, either.\You must be joking, sir.\We would follow you even into the depths of hell.\What is it?\The oar seems to be stuck...\It's coming. response:	There it is! The monster!
context: Sir Tahomaru!\You don't have to come, either.\You must be joking, sir.\We would follow you even into the depths of hell.\What is it?\The oar seems to be stuck...\It's coming.\There it is! The monster! response:	It's going to eat us...
context: You don't have to come, either.\You must be joking, sir.\We would follow you even into the depths of hell.\What is it?\The oar seems to be stuck...\It's coming.\There it is! The monster!\It's going to eat us... response:	Stay calm, pull the ropes!
context: You must be joking, sir.\We would follow you even into the depths of hell.\What is it?\The oar seems to be stuck...\It's coming.\There it is! The monster!\It's going to eat us...\Stay calm, pull the ropes! response:	What's wrong? You can't eat us just by waiting there.
context: We would follow you even into the depths of hell.\What is it?\The oar seems to be stuck...\It's coming.\There it is! The monster!\It's going to eat us...\Stay calm, pull the ropes!\What's wrong? You can't eat us just by waiting there. response:	It's a crab! A monster crab!
context: What is it?\The oar seems to be stuck...\It's coming.\There it is! The monster!\It's going to eat us...\Stay calm, pull the ropes!\What's wrong? You can't eat us just by waiting there.\It's a crab! A monster crab! response:	What a hideous sight.
context: The oar seems to be stuck...\It's coming.\There it is! The monster!\It's going to eat us...\Stay calm, pull the ropes!\What's wrong? You can't eat us just by waiting there.\It's a crab! A monster crab!\What a hideous sight. response:	I will slay you.
context: It's coming.\There it is! The monster!\It's going to eat us...\Stay calm, pull the ropes!\What's wrong? You can't eat us just by waiting there.\It's a crab! A monster crab!\What a hideous sight.\I will slay you. response:	Young Master!
context: There it is! The monster!\It's going to eat us...\Stay calm, pull the ropes!\What's wrong? You can't eat us just by waiting there.\It's a crab! A monster crab!\What a hideous sight.\I will slay you.\Young Master! response:	It got away.
