context: (gulps) response:	What's this?
context: School? What are you talking about?\Tomorrow's Saturday. We don't have school, remember?\No, we do. Have you forgotten, Mistress?\Tomorrow is...\Our school field trip!\I-I forgot all about it!\Episode 9: Hot Springs\Episode 9: Hot Springs response:	Episode 9: Hot Springs
context: Tomorrow's Saturday. We don't have school, remember?\No, we do. Have you forgotten, Mistress?\Tomorrow is...\Our school field trip!\I-I forgot all about it!\Episode 9: Hot Springs\Episode 9: Hot Springs\Episode 9: Hot Springs response:	I-I forgot all about it!
context: No, we do. Have you forgotten, Mistress?\Tomorrow is...\Our school field trip!\I-I forgot all about it!\Episode 9: Hot Springs\Episode 9: Hot Springs\Episode 9: Hot Springs\I-I forgot all about it! response:	I'm really curious about that promise,
context: Tomorrow is...\Our school field trip!\I-I forgot all about it!\Episode 9: Hot Springs\Episode 9: Hot Springs\Episode 9: Hot Springs\I-I forgot all about it!\I'm really curious about that promise, response:	but there's no way I'm missing out on such a fun school activity!
context: Our school field trip!\I-I forgot all about it!\Episode 9: Hot Springs\Episode 9: Hot Springs\Episode 9: Hot Springs\I-I forgot all about it!\I'm really curious about that promise,\but there's no way I'm missing out on such a fun school activity! response:	All right, everybody. Split up into your groups!
context: I-I forgot all about it!\Episode 9: Hot Springs\Episode 9: Hot Springs\Episode 9: Hot Springs\I-I forgot all about it!\I'm really curious about that promise,\but there's no way I'm missing out on such a fun school activity!\All right, everybody. Split up into your groups! response:	We're getting on the buses.
context: Episode 9: Hot Springs\Episode 9: Hot Springs\Episode 9: Hot Springs\I-I forgot all about it!\I'm really curious about that promise,\but there's no way I'm missing out on such a fun school activity!\All right, everybody. Split up into your groups!\We're getting on the buses. response:	Okay!
context: Episode 9: Hot Springs\Episode 9: Hot Springs\I-I forgot all about it!\I'm really curious about that promise,\but there's no way I'm missing out on such a fun school activity!\All right, everybody. Split up into your groups!\We're getting on the buses.\Okay! response:	Come on, get on!
context: Episode 9: Hot Springs\I-I forgot all about it!\I'm really curious about that promise,\but there's no way I'm missing out on such a fun school activity!\All right, everybody. Split up into your groups!\We're getting on the buses.\Okay!\Come on, get on! response:	Why's she looking so uncomfortable?
context: I-I forgot all about it!\I'm really curious about that promise,\but there's no way I'm missing out on such a fun school activity!\All right, everybody. Split up into your groups!\We're getting on the buses.\Okay!\Come on, get on!\Why's she looking so uncomfortable? response:	Hey, tell me, Bean Sprout, what does she mean by groups?
context: I'm really curious about that promise,\but there's no way I'm missing out on such a fun school activity!\All right, everybody. Split up into your groups!\We're getting on the buses.\Okay!\Come on, get on!\Why's she looking so uncomfortable?\Hey, tell me, Bean Sprout, what does she mean by groups? response:	Huh?
context: but there's no way I'm missing out on such a fun school activity!\All right, everybody. Split up into your groups!\We're getting on the buses.\Okay!\Come on, get on!\Why's she looking so uncomfortable?\Hey, tell me, Bean Sprout, what does she mean by groups?\Huh? response:	Oh, right. You were sleeping when we picked groups.
context: All right, everybody. Split up into your groups!\We're getting on the buses.\Okay!\Come on, get on!\Why's she looking so uncomfortable?\Hey, tell me, Bean Sprout, what does she mean by groups?\Huh?\Oh, right. You were sleeping when we picked groups. response:	Each group's six students, and ours...
context: We're getting on the buses.\Okay!\Come on, get on!\Why's she looking so uncomfortable?\Hey, tell me, Bean Sprout, what does she mean by groups?\Huh?\Oh, right. You were sleeping when we picked groups.\Each group's six students, and ours... response:	Hey, Ichijou Raku,
context: Okay!\Come on, get on!\Why's she looking so uncomfortable?\Hey, tell me, Bean Sprout, what does she mean by groups?\Huh?\Oh, right. You were sleeping when we picked groups.\Each group's six students, and ours...\Hey, Ichijou Raku, response:	1st Person
context: Come on, get on!\Why's she looking so uncomfortable?\Hey, tell me, Bean Sprout, what does she mean by groups?\Huh?\Oh, right. You were sleeping when we picked groups.\Each group's six students, and ours...\Hey, Ichijou Raku,\1st Person response:	1st Person
context: Why's she looking so uncomfortable?\Hey, tell me, Bean Sprout, what does she mean by groups?\Huh?\Oh, right. You were sleeping when we picked groups.\Each group's six students, and ours...\Hey, Ichijou Raku,\1st Person\1st Person response:	1st Person
context: Hey, tell me, Bean Sprout, what does she mean by groups?\Huh?\Oh, right. You were sleeping when we picked groups.\Each group's six students, and ours...\Hey, Ichijou Raku,\1st Person\1st Person\1st Person response:	don't you think you're clinging to Mistress a little too much?
context: Huh?\Oh, right. You were sleeping when we picked groups.\Each group's six students, and ours...\Hey, Ichijou Raku,\1st Person\1st Person\1st Person\don't you think you're clinging to Mistress a little too much? response:	Sh-She's right, darling. Although, I do appreciate how you feel about me!
context: Oh, right. You were sleeping when we picked groups.\Each group's six students, and ours...\Hey, Ichijou Raku,\1st Person\1st Person\1st Person\don't you think you're clinging to Mistress a little too much?\Sh-She's right, darling. Although, I do appreciate how you feel about me! response:	2nd Person
context: Each group's six students, and ours...\Hey, Ichijou Raku,\1st Person\1st Person\1st Person\don't you think you're clinging to Mistress a little too much?\Sh-She's right, darling. Although, I do appreciate how you feel about me!\2nd Person response:	2nd Person
context: Hey, Ichijou Raku,\1st Person\1st Person\1st Person\don't you think you're clinging to Mistress a little too much?\Sh-She's right, darling. Although, I do appreciate how you feel about me!\2nd Person\2nd Person response:	2nd Person
context: 1st Person\1st Person\1st Person\don't you think you're clinging to Mistress a little too much?\Sh-She's right, darling. Although, I do appreciate how you feel about me!\2nd Person\2nd Person\2nd Person response:	3rd Person
context: 1st Person\1st Person\don't you think you're clinging to Mistress a little too much?\Sh-She's right, darling. Although, I do appreciate how you feel about me!\2nd Person\2nd Person\2nd Person\3rd Person response:	3rd Person
context: 1st Person\don't you think you're clinging to Mistress a little too much?\Sh-She's right, darling. Although, I do appreciate how you feel about me!\2nd Person\2nd Person\2nd Person\3rd Person\3rd Person response:	3rd Person
context: don't you think you're clinging to Mistress a little too much?\Sh-She's right, darling. Although, I do appreciate how you feel about me!\2nd Person\2nd Person\2nd Person\3rd Person\3rd Person\3rd Person response:	Hey, don't push me, Ruri-chan!
context: Sh-She's right, darling. Although, I do appreciate how you feel about me!\2nd Person\2nd Person\2nd Person\3rd Person\3rd Person\3rd Person\Hey, don't push me, Ruri-chan! response:	4th Person
context: 2nd Person\2nd Person\2nd Person\3rd Person\3rd Person\3rd Person\Hey, don't push me, Ruri-chan!\4th Person response:	4th Person
context: 2nd Person\2nd Person\3rd Person\3rd Person\3rd Person\Hey, don't push me, Ruri-chan!\4th Person\4th Person response:	4th Person
context: 2nd Person\3rd Person\3rd Person\3rd Person\Hey, don't push me, Ruri-chan!\4th Person\4th Person\4th Person response:	5th Person
context: 3rd Person\3rd Person\3rd Person\Hey, don't push me, Ruri-chan!\4th Person\4th Person\4th Person\5th Person response:	5th Person
context: 3rd Person\3rd Person\Hey, don't push me, Ruri-chan!\4th Person\4th Person\4th Person\5th Person\5th Person response:	5th Person
context: 3rd Person\Hey, don't push me, Ruri-chan!\4th Person\4th Person\4th Person\5th Person\5th Person\5th Person response:	I can't believe this is happening!
context: Hey, don't push me, Ruri-chan!\4th Person\4th Person\4th Person\5th Person\5th Person\5th Person\I can't believe this is happening! response:	6th Person
context: 4th Person\4th Person\4th Person\5th Person\5th Person\5th Person\I can't believe this is happening!\6th Person response:	Why, you... You set me up, didn't you?!
context: 4th Person\4th Person\5th Person\5th Person\5th Person\I can't believe this is happening!\6th Person\Why, you... You set me up, didn't you?! response:	If looks could kill, I'd be dead right now!
context: 4th Person\5th Person\5th Person\5th Person\I can't believe this is happening!\6th Person\Why, you... You set me up, didn't you?!\If looks could kill, I'd be dead right now! response:	N-No, I have bigger problems!
context: 5th Person\5th Person\5th Person\I can't believe this is happening!\6th Person\Why, you... You set me up, didn't you?!\If looks could kill, I'd be dead right now!\N-No, I have bigger problems! response:	Onodera's shoulder is up against me. What do I do?!
context: 5th Person\5th Person\I can't believe this is happening!\6th Person\Why, you... You set me up, didn't you?!\If looks could kill, I'd be dead right now!\N-No, I have bigger problems!\Onodera's shoulder is up against me. What do I do?! response:	My heart won't stop pounding!
context: 5th Person\I can't believe this is happening!\6th Person\Why, you... You set me up, didn't you?!\If looks could kill, I'd be dead right now!\N-No, I have bigger problems!\Onodera's shoulder is up against me. What do I do?!\My heart won't stop pounding! response:	I'll bet you she can hear it too!
context: I can't believe this is happening!\6th Person\Why, you... You set me up, didn't you?!\If looks could kill, I'd be dead right now!\N-No, I have bigger problems!\Onodera's shoulder is up against me. What do I do?!\My heart won't stop pounding!\I'll bet you she can hear it too! response:	Oh... What am I going to do?
context: 6th Person\Why, you... You set me up, didn't you?!\If looks could kill, I'd be dead right now!\N-No, I have bigger problems!\Onodera's shoulder is up against me. What do I do?!\My heart won't stop pounding!\I'll bet you she can hear it too!\Oh... What am I going to do? response:	I wonder if Ichijou-kun can hear my heart throbbing?
context: Why, you... You set me up, didn't you?!\If looks could kill, I'd be dead right now!\N-No, I have bigger problems!\Onodera's shoulder is up against me. What do I do?!\My heart won't stop pounding!\I'll bet you she can hear it too!\Oh... What am I going to do?\I wonder if Ichijou-kun can hear my heart throbbing? response:	Whoa! Centrifugal force! Not my fault!
context: If looks could kill, I'd be dead right now!\N-No, I have bigger problems!\Onodera's shoulder is up against me. What do I do?!\My heart won't stop pounding!\I'll bet you she can hear it too!\Oh... What am I going to do?\I wonder if Ichijou-kun can hear my heart throbbing?\Whoa! Centrifugal force! Not my fault! response:	Curve!
context: N-No, I have bigger problems!\Onodera's shoulder is up against me. What do I do?!\My heart won't stop pounding!\I'll bet you she can hear it too!\Oh... What am I going to do?\I wonder if Ichijou-kun can hear my heart throbbing?\Whoa! Centrifugal force! Not my fault!\Curve! response:	S-Sorry, Ichijou-kun!
context: Onodera's shoulder is up against me. What do I do?!\My heart won't stop pounding!\I'll bet you she can hear it too!\Oh... What am I going to do?\I wonder if Ichijou-kun can hear my heart throbbing?\Whoa! Centrifugal force! Not my fault!\Curve!\S-Sorry, Ichijou-kun! response:	No... No, no, no, no, you're fine!
context: My heart won't stop pounding!\I'll bet you she can hear it too!\Oh... What am I going to do?\I wonder if Ichijou-kun can hear my heart throbbing?\Whoa! Centrifugal force! Not my fault!\Curve!\S-Sorry, Ichijou-kun!\No... No, no, no, no, you're fine! response:	Hey! Hey, darling, get off me, will you?
context: I'll bet you she can hear it too!\Oh... What am I going to do?\I wonder if Ichijou-kun can hear my heart throbbing?\Whoa! Centrifugal force! Not my fault!\Curve!\S-Sorry, Ichijou-kun!\No... No, no, no, no, you're fine!\Hey! Hey, darling, get off me, will you? response:	Ruri-chan! Come on! That was so unnecessary!
context: Oh... What am I going to do?\I wonder if Ichijou-kun can hear my heart throbbing?\Whoa! Centrifugal force! Not my fault!\Curve!\S-Sorry, Ichijou-kun!\No... No, no, no, no, you're fine!\Hey! Hey, darling, get off me, will you?\Ruri-chan! Come on! That was so unnecessary! response:	Hey, Ichijou Raku, don't you think you're getting a little too carried away?
context: I wonder if Ichijou-kun can hear my heart throbbing?\Whoa! Centrifugal force! Not my fault!\Curve!\S-Sorry, Ichijou-kun!\No... No, no, no, no, you're fine!\Hey! Hey, darling, get off me, will you?\Ruri-chan! Come on! That was so unnecessary!\Hey, Ichijou Raku, don't you think you're getting a little too carried away? response:	It's... It's not my fault!
context: Whoa! Centrifugal force! Not my fault!\Curve!\S-Sorry, Ichijou-kun!\No... No, no, no, no, you're fine!\Hey! Hey, darling, get off me, will you?\Ruri-chan! Come on! That was so unnecessary!\Hey, Ichijou Raku, don't you think you're getting a little too carried away?\It's... It's not my fault! response:	Curve!
context: Curve!\S-Sorry, Ichijou-kun!\No... No, no, no, no, you're fine!\Hey! Hey, darling, get off me, will you?\Ruri-chan! Come on! That was so unnecessary!\Hey, Ichijou Raku, don't you think you're getting a little too carried away?\It's... It's not my fault!\Curve! response:	Looks like you want to go to hell before we even reach our destination, huh?
context: S-Sorry, Ichijou-kun!\No... No, no, no, no, you're fine!\Hey! Hey, darling, get off me, will you?\Ruri-chan! Come on! That was so unnecessary!\Hey, Ichijou Raku, don't you think you're getting a little too carried away?\It's... It's not my fault!\Curve!\Looks like you want to go to hell before we even reach our destination, huh? response:	It's not my fault!
context: No... No, no, no, no, you're fine!\Hey! Hey, darling, get off me, will you?\Ruri-chan! Come on! That was so unnecessary!\Hey, Ichijou Raku, don't you think you're getting a little too carried away?\It's... It's not my fault!\Curve!\Looks like you want to go to hell before we even reach our destination, huh?\It's not my fault! response:	Here it comes! Curve!
context: Hey! Hey, darling, get off me, will you?\Ruri-chan! Come on! That was so unnecessary!\Hey, Ichijou Raku, don't you think you're getting a little too carried away?\It's... It's not my fault!\Curve!\Looks like you want to go to hell before we even reach our destination, huh?\It's not my fault!\Here it comes! Curve! response:	After repeating this kind of exchange forty times or so,
context: Ruri-chan! Come on! That was so unnecessary!\Hey, Ichijou Raku, don't you think you're getting a little too carried away?\It's... It's not my fault!\Curve!\Looks like you want to go to hell before we even reach our destination, huh?\It's not my fault!\Here it comes! Curve!\After repeating this kind of exchange forty times or so, response:	we finally reached our destination.
context: Hey, Ichijou Raku, don't you think you're getting a little too carried away?\It's... It's not my fault!\Curve!\Looks like you want to go to hell before we even reach our destination, huh?\It's not my fault!\Here it comes! Curve!\After repeating this kind of exchange forty times or so,\we finally reached our destination. response:	Well, it did have its perks, but...
context: It's... It's not my fault!\Curve!\Looks like you want to go to hell before we even reach our destination, huh?\It's not my fault!\Here it comes! Curve!\After repeating this kind of exchange forty times or so,\we finally reached our destination.\Well, it did have its perks, but... response:	How was it?
context: Curve!\Looks like you want to go to hell before we even reach our destination, huh?\It's not my fault!\Here it comes! Curve!\After repeating this kind of exchange forty times or so,\we finally reached our destination.\Well, it did have its perks, but...\How was it? response:	I set up that road trip for you!
context: Looks like you want to go to hell before we even reach our destination, huh?\It's not my fault!\Here it comes! Curve!\After repeating this kind of exchange forty times or so,\we finally reached our destination.\Well, it did have its perks, but...\How was it?\I set up that road trip for you! response:	In terms of positive or negative, I'd rate it positive,
context: It's not my fault!\Here it comes! Curve!\After repeating this kind of exchange forty times or so,\we finally reached our destination.\Well, it did have its perks, but...\How was it?\I set up that road trip for you!\In terms of positive or negative, I'd rate it positive, response:	but I want to pound your face in!
context: Here it comes! Curve!\After repeating this kind of exchange forty times or so,\we finally reached our destination.\Well, it did have its perks, but...\How was it?\I set up that road trip for you!\In terms of positive or negative, I'd rate it positive,\but I want to pound your face in! response:	I hope Ichijou-kun didn't think I was a nuisance.
context: After repeating this kind of exchange forty times or so,\we finally reached our destination.\Well, it did have its perks, but...\How was it?\I set up that road trip for you!\In terms of positive or negative, I'd rate it positive,\but I want to pound your face in!\I hope Ichijou-kun didn't think I was a nuisance. response:	Nice job, Kosaki.
context: we finally reached our destination.\Well, it did have its perks, but...\How was it?\I set up that road trip for you!\In terms of positive or negative, I'd rate it positive,\but I want to pound your face in!\I hope Ichijou-kun didn't think I was a nuisance.\Nice job, Kosaki. response:	Ouch! Ouch! What are you doing?
context: Well, it did have its perks, but...\How was it?\I set up that road trip for you!\In terms of positive or negative, I'd rate it positive,\but I want to pound your face in!\I hope Ichijou-kun didn't think I was a nuisance.\Nice job, Kosaki.\Ouch! Ouch! What are you doing? response:	All right, everybody. Listen up!
context: How was it?\I set up that road trip for you!\In terms of positive or negative, I'd rate it positive,\but I want to pound your face in!\I hope Ichijou-kun didn't think I was a nuisance.\Nice job, Kosaki.\Ouch! Ouch! What are you doing?\All right, everybody. Listen up! response:	You guys are going to get started on the rice and curry.
context: I set up that road trip for you!\In terms of positive or negative, I'd rate it positive,\but I want to pound your face in!\I hope Ichijou-kun didn't think I was a nuisance.\Nice job, Kosaki.\Ouch! Ouch! What are you doing?\All right, everybody. Listen up!\You guys are going to get started on the rice and curry. response:	Have fun with it!
context: In terms of positive or negative, I'd rate it positive,\but I want to pound your face in!\I hope Ichijou-kun didn't think I was a nuisance.\Nice job, Kosaki.\Ouch! Ouch! What are you doing?\All right, everybody. Listen up!\You guys are going to get started on the rice and curry.\Have fun with it! response:	Okay!
context: but I want to pound your face in!\I hope Ichijou-kun didn't think I was a nuisance.\Nice job, Kosaki.\Ouch! Ouch! What are you doing?\All right, everybody. Listen up!\You guys are going to get started on the rice and curry.\Have fun with it!\Okay! response:	Onodera and Miyamoto, could you go get some firewood for us?
context: I hope Ichijou-kun didn't think I was a nuisance.\Nice job, Kosaki.\Ouch! Ouch! What are you doing?\All right, everybody. Listen up!\You guys are going to get started on the rice and curry.\Have fun with it!\Okay!\Onodera and Miyamoto, could you go get some firewood for us? response:	Okay!
context: Nice job, Kosaki.\Ouch! Ouch! What are you doing?\All right, everybody. Listen up!\You guys are going to get started on the rice and curry.\Have fun with it!\Okay!\Onodera and Miyamoto, could you go get some firewood for us?\Okay! response:	My first field trip and sleepover with everyone!
context: Ouch! Ouch! What are you doing?\All right, everybody. Listen up!\You guys are going to get started on the rice and curry.\Have fun with it!\Okay!\Onodera and Miyamoto, could you go get some firewood for us?\Okay!\My first field trip and sleepover with everyone! response:	I do want to find out more about my first love,
context: All right, everybody. Listen up!\You guys are going to get started on the rice and curry.\Have fun with it!\Okay!\Onodera and Miyamoto, could you go get some firewood for us?\Okay!\My first field trip and sleepover with everyone!\I do want to find out more about my first love, response:	but for now, I think I'll just enjoy myself!
context: You guys are going to get started on the rice and curry.\Have fun with it!\Okay!\Onodera and Miyamoto, could you go get some firewood for us?\Okay!\My first field trip and sleepover with everyone!\I do want to find out more about my first love,\but for now, I think I'll just enjoy myself! response:	Thanks for waiting!
context: Have fun with it!\Okay!\Onodera and Miyamoto, could you go get some firewood for us?\Okay!\My first field trip and sleepover with everyone!\I do want to find out more about my first love,\but for now, I think I'll just enjoy myself!\Thanks for waiting! response:	What took you so long, Kirisaki-san?
context: Okay!\Onodera and Miyamoto, could you go get some firewood for us?\Okay!\My first field trip and sleepover with everyone!\I do want to find out more about my first love,\but for now, I think I'll just enjoy myself!\Thanks for waiting!\What took you so long, Kirisaki-san? response:	Kirisaki sure looks like she's having a ball.
context: Onodera and Miyamoto, could you go get some firewood for us?\Okay!\My first field trip and sleepover with everyone!\I do want to find out more about my first love,\but for now, I think I'll just enjoy myself!\Thanks for waiting!\What took you so long, Kirisaki-san?\Kirisaki sure looks like she's having a ball. response:	Well, she's always been the type to get all excited
context: Okay!\My first field trip and sleepover with everyone!\I do want to find out more about my first love,\but for now, I think I'll just enjoy myself!\Thanks for waiting!\What took you so long, Kirisaki-san?\Kirisaki sure looks like she's having a ball.\Well, she's always been the type to get all excited response:	over doing something with friends.
context: My first field trip and sleepover with everyone!\I do want to find out more about my first love,\but for now, I think I'll just enjoy myself!\Thanks for waiting!\What took you so long, Kirisaki-san?\Kirisaki sure looks like she's having a ball.\Well, she's always been the type to get all excited\over doing something with friends. response:	I'll bet she's happy beyond belief right now!
context: I do want to find out more about my first love,\but for now, I think I'll just enjoy myself!\Thanks for waiting!\What took you so long, Kirisaki-san?\Kirisaki sure looks like she's having a ball.\Well, she's always been the type to get all excited\over doing something with friends.\I'll bet she's happy beyond belief right now! response:	The boy I made a promise with ten years ago, huh?
context: but for now, I think I'll just enjoy myself!\Thanks for waiting!\What took you so long, Kirisaki-san?\Kirisaki sure looks like she's having a ball.\Well, she's always been the type to get all excited\over doing something with friends.\I'll bet she's happy beyond belief right now!\The boy I made a promise with ten years ago, huh? response:	Even if I did run into him again, I wouldn't recognize him, would I?
context: Thanks for waiting!\What took you so long, Kirisaki-san?\Kirisaki sure looks like she's having a ball.\Well, she's always been the type to get all excited\over doing something with friends.\I'll bet she's happy beyond belief right now!\The boy I made a promise with ten years ago, huh?\Even if I did run into him again, I wouldn't recognize him, would I? response:	Okay, here you go.
context: What took you so long, Kirisaki-san?\Kirisaki sure looks like she's having a ball.\Well, she's always been the type to get all excited\over doing something with friends.\I'll bet she's happy beyond belief right now!\The boy I made a promise with ten years ago, huh?\Even if I did run into him again, I wouldn't recognize him, would I?\Okay, here you go. response:	Hey, just leave it to me!
context: Kirisaki sure looks like she's having a ball.\Well, she's always been the type to get all excited\over doing something with friends.\I'll bet she's happy beyond belief right now!\The boy I made a promise with ten years ago, huh?\Even if I did run into him again, I wouldn't recognize him, would I?\Okay, here you go.\Hey, just leave it to me! response:	Oh, but he might still have that scar on his forehead from that day.
context: Well, she's always been the type to get all excited\over doing something with friends.\I'll bet she's happy beyond belief right now!\The boy I made a promise with ten years ago, huh?\Even if I did run into him again, I wouldn't recognize him, would I?\Okay, here you go.\Hey, just leave it to me!\Oh, but he might still have that scar on his forehead from that day. response:	That's the only thing I have to go on, huh?
context: over doing something with friends.\I'll bet she's happy beyond belief right now!\The boy I made a promise with ten years ago, huh?\Even if I did run into him again, I wouldn't recognize him, would I?\Okay, here you go.\Hey, just leave it to me!\Oh, but he might still have that scar on his forehead from that day.\That's the only thing I have to go on, huh? response:	Promise girl, huh?
context: I'll bet she's happy beyond belief right now!\The boy I made a promise with ten years ago, huh?\Even if I did run into him again, I wouldn't recognize him, would I?\Okay, here you go.\Hey, just leave it to me!\Oh, but he might still have that scar on his forehead from that day.\That's the only thing I have to go on, huh?\Promise girl, huh? response:	The whole thing's a huge mystery to me.
context: The boy I made a promise with ten years ago, huh?\Even if I did run into him again, I wouldn't recognize him, would I?\Okay, here you go.\Hey, just leave it to me!\Oh, but he might still have that scar on his forehead from that day.\That's the only thing I have to go on, huh?\Promise girl, huh?\The whole thing's a huge mystery to me. response:	I never did figure out what Onodera's key was really for.
context: Even if I did run into him again, I wouldn't recognize him, would I?\Okay, here you go.\Hey, just leave it to me!\Oh, but he might still have that scar on his forehead from that day.\That's the only thing I have to go on, huh?\Promise girl, huh?\The whole thing's a huge mystery to me.\I never did figure out what Onodera's key was really for. response:	Just who was the boy that she made a promise with ten years ago?
context: Okay, here you go.\Hey, just leave it to me!\Oh, but he might still have that scar on his forehead from that day.\That's the only thing I have to go on, huh?\Promise girl, huh?\The whole thing's a huge mystery to me.\I never did figure out what Onodera's key was really for.\Just who was the boy that she made a promise with ten years ago? response:	Hey, Bean Sprout, I need more hot water for this pot
context: Hey, just leave it to me!\Oh, but he might still have that scar on his forehead from that day.\That's the only thing I have to go on, huh?\Promise girl, huh?\The whole thing's a huge mystery to me.\I never did figure out what Onodera's key was really for.\Just who was the boy that she made a promise with ten years ago?\Hey, Bean Sprout, I need more hot water for this pot response:	I'm so sorry! Are you okay?
context: Oh, but he might still have that scar on his forehead from that day.\That's the only thing I have to go on, huh?\Promise girl, huh?\The whole thing's a huge mystery to me.\I never did figure out what Onodera's key was really for.\Just who was the boy that she made a promise with ten years ago?\Hey, Bean Sprout, I need more hot water for this pot\I'm so sorry! Are you okay? response:	Jeez, will you watch your step?
context: That's the only thing I have to go on, huh?\Promise girl, huh?\The whole thing's a huge mystery to me.\I never did figure out what Onodera's key was really for.\Just who was the boy that she made a promise with ten years ago?\Hey, Bean Sprout, I need more hot water for this pot\I'm so sorry! Are you okay?\Jeez, will you watch your step? response:	I'm sorhuh?
context: Promise girl, huh?\The whole thing's a huge mystery to me.\I never did figure out what Onodera's key was really for.\Just who was the boy that she made a promise with ten years ago?\Hey, Bean Sprout, I need more hot water for this pot\I'm so sorry! Are you okay?\Jeez, will you watch your step?\I'm sorhuh? response:	Huh?
