context: Ten years ago, somewhere in Tokyo. response:	Now, let's begin.
context: Good morning, Lappa.\Good morning, Setsuna.\Good morning, Mao-san.\The hibiscus is blooming beautifully.\It's so brilliantly colored.\I'm happy.\Through the Window of Setsuna\Huh? Where's the Vice Commander? response:	Said she had something to do.
context: Good morning, Setsuna.\Good morning, Mao-san.\The hibiscus is blooming beautifully.\It's so brilliantly colored.\I'm happy.\Through the Window of Setsuna\Huh? Where's the Vice Commander?\Said she had something to do. response:	Daichi...
context: Good morning, Mao-san.\The hibiscus is blooming beautifully.\It's so brilliantly colored.\I'm happy.\Through the Window of Setsuna\Huh? Where's the Vice Commander?\Said she had something to do.\Daichi... response:	You're the captain, so you can't rely on Rita-san forever.
context: The hibiscus is blooming beautifully.\It's so brilliantly colored.\I'm happy.\Through the Window of Setsuna\Huh? Where's the Vice Commander?\Said she had something to do.\Daichi...\You're the captain, so you can't rely on Rita-san forever. response:	You're right.
context: It's so brilliantly colored.\I'm happy.\Through the Window of Setsuna\Huh? Where's the Vice Commander?\Said she had something to do.\Daichi...\You're the captain, so you can't rely on Rita-san forever.\You're right. response:	Last time, it was my fault the enemy escaped.
context: I'm happy.\Through the Window of Setsuna\Huh? Where's the Vice Commander?\Said she had something to do.\Daichi...\You're the captain, so you can't rely on Rita-san forever.\You're right.\Last time, it was my fault the enemy escaped. response:	I'm really sorry.
context: Through the Window of Setsuna\Huh? Where's the Vice Commander?\Said she had something to do.\Daichi...\You're the captain, so you can't rely on Rita-san forever.\You're right.\Last time, it was my fault the enemy escaped.\I'm really sorry. response:	You saved us last time.
context: Huh? Where's the Vice Commander?\Said she had something to do.\Daichi...\You're the captain, so you can't rely on Rita-san forever.\You're right.\Last time, it was my fault the enemy escaped.\I'm really sorry.\You saved us last time. response:	I heard the Nebula Engine's testing wasn't done yet.
context: Said she had something to do.\Daichi...\You're the captain, so you can't rely on Rita-san forever.\You're right.\Last time, it was my fault the enemy escaped.\I'm really sorry.\You saved us last time.\I heard the Nebula Engine's testing wasn't done yet. response:	You surprised me.
context: Daichi...\You're the captain, so you can't rely on Rita-san forever.\You're right.\Last time, it was my fault the enemy escaped.\I'm really sorry.\You saved us last time.\I heard the Nebula Engine's testing wasn't done yet.\You surprised me. response:	It was like what happened with the Earth Engine.
context: You're the captain, so you can't rely on Rita-san forever.\You're right.\Last time, it was my fault the enemy escaped.\I'm really sorry.\You saved us last time.\I heard the Nebula Engine's testing wasn't done yet.\You surprised me.\It was like what happened with the Earth Engine. response:	But if this'll make you feel better, I'll take it, Captain.
context: You're right.\Last time, it was my fault the enemy escaped.\I'm really sorry.\You saved us last time.\I heard the Nebula Engine's testing wasn't done yet.\You surprised me.\It was like what happened with the Earth Engine.\But if this'll make you feel better, I'll take it, Captain. response:	Two more to go...
context: Last time, it was my fault the enemy escaped.\I'm really sorry.\You saved us last time.\I heard the Nebula Engine's testing wasn't done yet.\You surprised me.\It was like what happened with the Earth Engine.\But if this'll make you feel better, I'll take it, Captain.\Two more to go... response:	Let's do this!
context: I'm really sorry.\You saved us last time.\I heard the Nebula Engine's testing wasn't done yet.\You surprised me.\It was like what happened with the Earth Engine.\But if this'll make you feel better, I'll take it, Captain.\Two more to go...\Let's do this! response:	One of them is Siren-sama?
context: You saved us last time.\I heard the Nebula Engine's testing wasn't done yet.\You surprised me.\It was like what happened with the Earth Engine.\But if this'll make you feel better, I'll take it, Captain.\Two more to go...\Let's do this!\One of them is Siren-sama? response:	Sama?
context: I heard the Nebula Engine's testing wasn't done yet.\You surprised me.\It was like what happened with the Earth Engine.\But if this'll make you feel better, I'll take it, Captain.\Two more to go...\Let's do this!\One of them is Siren-sama?\Sama? response:	But I don't know their avatar name.
context: You surprised me.\It was like what happened with the Earth Engine.\But if this'll make you feel better, I'll take it, Captain.\Two more to go...\Let's do this!\One of them is Siren-sama?\Sama?\But I don't know their avatar name. response:	What does Pitz say?
context: It was like what happened with the Earth Engine.\But if this'll make you feel better, I'll take it, Captain.\Two more to go...\Let's do this!\One of them is Siren-sama?\Sama?\But I don't know their avatar name.\What does Pitz say? response:	The image isn't as clear as last time...
context: But if this'll make you feel better, I'll take it, Captain.\Two more to go...\Let's do this!\One of them is Siren-sama?\Sama?\But I don't know their avatar name.\What does Pitz say?\The image isn't as clear as last time... response:	But he says he can sense Orgone energy moving.
context: Two more to go...\Let's do this!\One of them is Siren-sama?\Sama?\But I don't know their avatar name.\What does Pitz say?\The image isn't as clear as last time...\But he says he can sense Orgone energy moving. response:	What's Rita-san doing?
context: Let's do this!\One of them is Siren-sama?\Sama?\But I don't know their avatar name.\What does Pitz say?\The image isn't as clear as last time...\But he says he can sense Orgone energy moving.\What's Rita-san doing? response:	Maybe she went to get some good food...
context: One of them is Siren-sama?\Sama?\But I don't know their avatar name.\What does Pitz say?\The image isn't as clear as last time...\But he says he can sense Orgone energy moving.\What's Rita-san doing?\Maybe she went to get some good food... response:	What?!
context: Sama?\But I don't know their avatar name.\What does Pitz say?\The image isn't as clear as last time...\But he says he can sense Orgone energy moving.\What's Rita-san doing?\Maybe she went to get some good food...\What?! response:	That is possible...
context: But I don't know their avatar name.\What does Pitz say?\The image isn't as clear as last time...\But he says he can sense Orgone energy moving.\What's Rita-san doing?\Maybe she went to get some good food...\What?!\That is possible... response:	No, I don't think so...
context: What does Pitz say?\The image isn't as clear as last time...\But he says he can sense Orgone energy moving.\What's Rita-san doing?\Maybe she went to get some good food...\What?!\That is possible...\No, I don't think so... response:	You were the one on the phone?
context: The image isn't as clear as last time...\But he says he can sense Orgone energy moving.\What's Rita-san doing?\Maybe she went to get some good food...\What?!\That is possible...\No, I don't think so...\You were the one on the phone? response:	Yes.
context: But he says he can sense Orgone energy moving.\What's Rita-san doing?\Maybe she went to get some good food...\What?!\That is possible...\No, I don't think so...\You were the one on the phone?\Yes. response:	Thank you.
context: What's Rita-san doing?\Maybe she went to get some good food...\What?!\That is possible...\No, I don't think so...\You were the one on the phone?\Yes.\Thank you. response:	From your voice, I guessed you were pretty,
context: Maybe she went to get some good food...\What?!\That is possible...\No, I don't think so...\You were the one on the phone?\Yes.\Thank you.\From your voice, I guessed you were pretty, response:	but you're prettier than I imagined.
context: What?!\That is possible...\No, I don't think so...\You were the one on the phone?\Yes.\Thank you.\From your voice, I guessed you were pretty,\but you're prettier than I imagined. response:	It's still early, but do you want something to drink?
context: That is possible...\No, I don't think so...\You were the one on the phone?\Yes.\Thank you.\From your voice, I guessed you were pretty,\but you're prettier than I imagined.\It's still early, but do you want something to drink? response:	A bourbon on the rocks, then.
context: No, I don't think so...\You were the one on the phone?\Yes.\Thank you.\From your voice, I guessed you were pretty,\but you're prettier than I imagined.\It's still early, but do you want something to drink?\A bourbon on the rocks, then. response:	So what do you want to know?
context: You were the one on the phone?\Yes.\Thank you.\From your voice, I guessed you were pretty,\but you're prettier than I imagined.\It's still early, but do you want something to drink?\A bourbon on the rocks, then.\So what do you want to know? response:	You used to be a detective with the police.
context: Yes.\Thank you.\From your voice, I guessed you were pretty,\but you're prettier than I imagined.\It's still early, but do you want something to drink?\A bourbon on the rocks, then.\So what do you want to know?\You used to be a detective with the police. response:	But you quit ten years ago.
context: Thank you.\From your voice, I guessed you were pretty,\but you're prettier than I imagined.\It's still early, but do you want something to drink?\A bourbon on the rocks, then.\So what do you want to know?\You used to be a detective with the police.\But you quit ten years ago. response:	Can you tell me why?
context: From your voice, I guessed you were pretty,\but you're prettier than I imagined.\It's still early, but do you want something to drink?\A bourbon on the rocks, then.\So what do you want to know?\You used to be a detective with the police.\But you quit ten years ago.\Can you tell me why? response:	Women like you scare me.
context: but you're prettier than I imagined.\It's still early, but do you want something to drink?\A bourbon on the rocks, then.\So what do you want to know?\You used to be a detective with the police.\But you quit ten years ago.\Can you tell me why?\Women like you scare me. response:	If they think they have a reason, they'll tell any lie straight-faced.
context: It's still early, but do you want something to drink?\A bourbon on the rocks, then.\So what do you want to know?\You used to be a detective with the police.\But you quit ten years ago.\Can you tell me why?\Women like you scare me.\If they think they have a reason, they'll tell any lie straight-faced. response:	Between being a detective and a bartender,
context: A bourbon on the rocks, then.\So what do you want to know?\You used to be a detective with the police.\But you quit ten years ago.\Can you tell me why?\Women like you scare me.\If they think they have a reason, they'll tell any lie straight-faced.\Between being a detective and a bartender, response:	I've gotten pretty good at guessing what someone does for a living.
context: So what do you want to know?\You used to be a detective with the police.\But you quit ten years ago.\Can you tell me why?\Women like you scare me.\If they think they have a reason, they'll tell any lie straight-faced.\Between being a detective and a bartender,\I've gotten pretty good at guessing what someone does for a living. response:	A journalist, huh?
context: You used to be a detective with the police.\But you quit ten years ago.\Can you tell me why?\Women like you scare me.\If they think they have a reason, they'll tell any lie straight-faced.\Between being a detective and a bartender,\I've gotten pretty good at guessing what someone does for a living.\A journalist, huh? response:	Well, it doesn't matter.
context: But you quit ten years ago.\Can you tell me why?\Women like you scare me.\If they think they have a reason, they'll tell any lie straight-faced.\Between being a detective and a bartender,\I've gotten pretty good at guessing what someone does for a living.\A journalist, huh?\Well, it doesn't matter. response:	Basically, you're interested in the Kanda incident, right?
context: Can you tell me why?\Women like you scare me.\If they think they have a reason, they'll tell any lie straight-faced.\Between being a detective and a bartender,\I've gotten pretty good at guessing what someone does for a living.\A journalist, huh?\Well, it doesn't matter.\Basically, you're interested in the Kanda incident, right? response:	That's right.
context: Women like you scare me.\If they think they have a reason, they'll tell any lie straight-faced.\Between being a detective and a bartender,\I've gotten pretty good at guessing what someone does for a living.\A journalist, huh?\Well, it doesn't matter.\Basically, you're interested in the Kanda incident, right?\That's right. response:	Yes, I was on the task force for it.
context: If they think they have a reason, they'll tell any lie straight-faced.\Between being a detective and a bartender,\I've gotten pretty good at guessing what someone does for a living.\A journalist, huh?\Well, it doesn't matter.\Basically, you're interested in the Kanda incident, right?\That's right.\Yes, I was on the task force for it. response:	But the official story is that the case was solved.
context: Between being a detective and a bartender,\I've gotten pretty good at guessing what someone does for a living.\A journalist, huh?\Well, it doesn't matter.\Basically, you're interested in the Kanda incident, right?\That's right.\Yes, I was on the task force for it.\But the official story is that the case was solved. response:	What do you want to know?
context: I've gotten pretty good at guessing what someone does for a living.\A journalist, huh?\Well, it doesn't matter.\Basically, you're interested in the Kanda incident, right?\That's right.\Yes, I was on the task force for it.\But the official story is that the case was solved.\What do you want to know? response:	Everything you know.
context: A journalist, huh?\Well, it doesn't matter.\Basically, you're interested in the Kanda incident, right?\That's right.\Yes, I was on the task force for it.\But the official story is that the case was solved.\What do you want to know?\Everything you know. response:	Everything you remember.
context: Well, it doesn't matter.\Basically, you're interested in the Kanda incident, right?\That's right.\Yes, I was on the task force for it.\But the official story is that the case was solved.\What do you want to know?\Everything you know.\Everything you remember. response:	I don't know anything beyond what was in the media.
context: Basically, you're interested in the Kanda incident, right?\That's right.\Yes, I was on the task force for it.\But the official story is that the case was solved.\What do you want to know?\Everything you know.\Everything you remember.\I don't know anything beyond what was in the media. response:	Then, your thoughts regarding the incident.
context: That's right.\Yes, I was on the task force for it.\But the official story is that the case was solved.\What do you want to know?\Everything you know.\Everything you remember.\I don't know anything beyond what was in the media.\Then, your thoughts regarding the incident. response:	That's a very abstract way of putting it.
context: Yes, I was on the task force for it.\But the official story is that the case was solved.\What do you want to know?\Everything you know.\Everything you remember.\I don't know anything beyond what was in the media.\Then, your thoughts regarding the incident.\That's a very abstract way of putting it. response:	At the time, Macbeth Enterprises was developing
context: But the official story is that the case was solved.\What do you want to know?\Everything you know.\Everything you remember.\I don't know anything beyond what was in the media.\Then, your thoughts regarding the incident.\That's a very abstract way of putting it.\At the time, Macbeth Enterprises was developing response:	a man-machine interface for new mobile weapons.
context: What do you want to know?\Everything you know.\Everything you remember.\I don't know anything beyond what was in the media.\Then, your thoughts regarding the incident.\That's a very abstract way of putting it.\At the time, Macbeth Enterprises was developing\a man-machine interface for new mobile weapons. response:	To aid in their research,
context: Everything you know.\Everything you remember.\I don't know anything beyond what was in the media.\Then, your thoughts regarding the incident.\That's a very abstract way of putting it.\At the time, Macbeth Enterprises was developing\a man-machine interface for new mobile weapons.\To aid in their research, response:	they had six children, believed to have been created by illegal genetic manipulation.
context: Everything you remember.\I don't know anything beyond what was in the media.\Then, your thoughts regarding the incident.\That's a very abstract way of putting it.\At the time, Macbeth Enterprises was developing\a man-machine interface for new mobile weapons.\To aid in their research,\they had six children, believed to have been created by illegal genetic manipulation. response:	An anonymous whistleblower reported them to the police,
context: I don't know anything beyond what was in the media.\Then, your thoughts regarding the incident.\That's a very abstract way of putting it.\At the time, Macbeth Enterprises was developing\a man-machine interface for new mobile weapons.\To aid in their research,\they had six children, believed to have been created by illegal genetic manipulation.\An anonymous whistleblower reported them to the police, response:	and Macbeth was investigated.
context: Then, your thoughts regarding the incident.\That's a very abstract way of putting it.\At the time, Macbeth Enterprises was developing\a man-machine interface for new mobile weapons.\To aid in their research,\they had six children, believed to have been created by illegal genetic manipulation.\An anonymous whistleblower reported them to the police,\and Macbeth was investigated. response:	The six children were found and taken by the police.
context: That's a very abstract way of putting it.\At the time, Macbeth Enterprises was developing\a man-machine interface for new mobile weapons.\To aid in their research,\they had six children, believed to have been created by illegal genetic manipulation.\An anonymous whistleblower reported them to the police,\and Macbeth was investigated.\The six children were found and taken by the police. response:	Children born in Japan,
context: At the time, Macbeth Enterprises was developing\a man-machine interface for new mobile weapons.\To aid in their research,\they had six children, believed to have been created by illegal genetic manipulation.\An anonymous whistleblower reported them to the police,\and Macbeth was investigated.\The six children were found and taken by the police.\Children born in Japan, response:	but who didn't appear in any government records...
context: a man-machine interface for new mobile weapons.\To aid in their research,\they had six children, believed to have been created by illegal genetic manipulation.\An anonymous whistleblower reported them to the police,\and Macbeth was investigated.\The six children were found and taken by the police.\Children born in Japan,\but who didn't appear in any government records... response:	Macbeth was using those children to develop weapons.
context: To aid in their research,\they had six children, believed to have been created by illegal genetic manipulation.\An anonymous whistleblower reported them to the police,\and Macbeth was investigated.\The six children were found and taken by the police.\Children born in Japan,\but who didn't appear in any government records...\Macbeth was using those children to develop weapons. response:	Of course, this was a major human rights violation,
context: they had six children, believed to have been created by illegal genetic manipulation.\An anonymous whistleblower reported them to the police,\and Macbeth was investigated.\The six children were found and taken by the police.\Children born in Japan,\but who didn't appear in any government records...\Macbeth was using those children to develop weapons.\Of course, this was a major human rights violation, response:	and the responsible parties were arrested.
context: An anonymous whistleblower reported them to the police,\and Macbeth was investigated.\The six children were found and taken by the police.\Children born in Japan,\but who didn't appear in any government records...\Macbeth was using those children to develop weapons.\Of course, this was a major human rights violation,\and the responsible parties were arrested. response:	At the time, there were cases occurring in the Tokyo suburbs
context: and Macbeth was investigated.\The six children were found and taken by the police.\Children born in Japan,\but who didn't appear in any government records...\Macbeth was using those children to develop weapons.\Of course, this was a major human rights violation,\and the responsible parties were arrested.\At the time, there were cases occurring in the Tokyo suburbs response:	where people would fall into a comatose state at night,
context: The six children were found and taken by the police.\Children born in Japan,\but who didn't appear in any government records...\Macbeth was using those children to develop weapons.\Of course, this was a major human rights violation,\and the responsible parties were arrested.\At the time, there were cases occurring in the Tokyo suburbs\where people would fall into a comatose state at night, response:	and not wake up for several days.
context: Children born in Japan,\but who didn't appear in any government records...\Macbeth was using those children to develop weapons.\Of course, this was a major human rights violation,\and the responsible parties were arrested.\At the time, there were cases occurring in the Tokyo suburbs\where people would fall into a comatose state at night,\and not wake up for several days. response:	It was said that a Macbeth experiment caused that, too.
context: but who didn't appear in any government records...\Macbeth was using those children to develop weapons.\Of course, this was a major human rights violation,\and the responsible parties were arrested.\At the time, there were cases occurring in the Tokyo suburbs\where people would fall into a comatose state at night,\and not wake up for several days.\It was said that a Macbeth experiment caused that, too. response:	After that, there was a purging at Macbeth's executive level,
context: Macbeth was using those children to develop weapons.\Of course, this was a major human rights violation,\and the responsible parties were arrested.\At the time, there were cases occurring in the Tokyo suburbs\where people would fall into a comatose state at night,\and not wake up for several days.\It was said that a Macbeth experiment caused that, too.\After that, there was a purging at Macbeth's executive level, response:	and supposedly, the majority of their operations were reformed.
context: Of course, this was a major human rights violation,\and the responsible parties were arrested.\At the time, there were cases occurring in the Tokyo suburbs\where people would fall into a comatose state at night,\and not wake up for several days.\It was said that a Macbeth experiment caused that, too.\After that, there was a purging at Macbeth's executive level,\and supposedly, the majority of their operations were reformed. response:	Naturally,
context: and the responsible parties were arrested.\At the time, there were cases occurring in the Tokyo suburbs\where people would fall into a comatose state at night,\and not wake up for several days.\It was said that a Macbeth experiment caused that, too.\After that, there was a purging at Macbeth's executive level,\and supposedly, the majority of their operations were reformed.\Naturally, response:	members of the Kube family, the original founders, were the next executives.
context: At the time, there were cases occurring in the Tokyo suburbs\where people would fall into a comatose state at night,\and not wake up for several days.\It was said that a Macbeth experiment caused that, too.\After that, there was a purging at Macbeth's executive level,\and supposedly, the majority of their operations were reformed.\Naturally,\members of the Kube family, the original founders, were the next executives. response:	Kube took advantage of the incident to return to power.
context: where people would fall into a comatose state at night,\and not wake up for several days.\It was said that a Macbeth experiment caused that, too.\After that, there was a purging at Macbeth's executive level,\and supposedly, the majority of their operations were reformed.\Naturally,\members of the Kube family, the original founders, were the next executives.\Kube took advantage of the incident to return to power. response:	In the end, the incident was blamed on Takashi Kanda,
context: and not wake up for several days.\It was said that a Macbeth experiment caused that, too.\After that, there was a purging at Macbeth's executive level,\and supposedly, the majority of their operations were reformed.\Naturally,\members of the Kube family, the original founders, were the next executives.\Kube took advantage of the incident to return to power.\In the end, the incident was blamed on Takashi Kanda, response:	the former CEO who had taken over Macbeth previously.
context: It was said that a Macbeth experiment caused that, too.\After that, there was a purging at Macbeth's executive level,\and supposedly, the majority of their operations were reformed.\Naturally,\members of the Kube family, the original founders, were the next executives.\Kube took advantage of the incident to return to power.\In the end, the incident was blamed on Takashi Kanda,\the former CEO who had taken over Macbeth previously. response:	And then...
context: After that, there was a purging at Macbeth's executive level,\and supposedly, the majority of their operations were reformed.\Naturally,\members of the Kube family, the original founders, were the next executives.\Kube took advantage of the incident to return to power.\In the end, the incident was blamed on Takashi Kanda,\the former CEO who had taken over Macbeth previously.\And then... response:	Kanda committed suicide.
context: and supposedly, the majority of their operations were reformed.\Naturally,\members of the Kube family, the original founders, were the next executives.\Kube took advantage of the incident to return to power.\In the end, the incident was blamed on Takashi Kanda,\the former CEO who had taken over Macbeth previously.\And then...\Kanda committed suicide. response:	Why did you quit the force?
context: Naturally,\members of the Kube family, the original founders, were the next executives.\Kube took advantage of the incident to return to power.\In the end, the incident was blamed on Takashi Kanda,\the former CEO who had taken over Macbeth previously.\And then...\Kanda committed suicide.\Why did you quit the force? response:	What happened to those six children?
context: members of the Kube family, the original founders, were the next executives.\Kube took advantage of the incident to return to power.\In the end, the incident was blamed on Takashi Kanda,\the former CEO who had taken over Macbeth previously.\And then...\Kanda committed suicide.\Why did you quit the force?\What happened to those six children? response:	I see...
context: Kube took advantage of the incident to return to power.\In the end, the incident was blamed on Takashi Kanda,\the former CEO who had taken over Macbeth previously.\And then...\Kanda committed suicide.\Why did you quit the force?\What happened to those six children?\I see... response:	So that's what you wanted to know.
context: In the end, the incident was blamed on Takashi Kanda,\the former CEO who had taken over Macbeth previously.\And then...\Kanda committed suicide.\Why did you quit the force?\What happened to those six children?\I see...\So that's what you wanted to know. response:	Hey, Akari... Is it okay for us to have fun?
context: the former CEO who had taken over Macbeth previously.\And then...\Kanda committed suicide.\Why did you quit the force?\What happened to those six children?\I see...\So that's what you wanted to know.\Hey, Akari... Is it okay for us to have fun? response:	The motto of the Midsummer's Knights
context: And then...\Kanda committed suicide.\Why did you quit the force?\What happened to those six children?\I see...\So that's what you wanted to know.\Hey, Akari... Is it okay for us to have fun?\The motto of the Midsummer's Knights response:	is to do what you have to, when you have to.
context: Kanda committed suicide.\Why did you quit the force?\What happened to those six children?\I see...\So that's what you wanted to know.\Hey, Akari... Is it okay for us to have fun?\The motto of the Midsummer's Knights\is to do what you have to, when you have to. response:	The rest of the time, we're free.
context: Why did you quit the force?\What happened to those six children?\I see...\So that's what you wanted to know.\Hey, Akari... Is it okay for us to have fun?\The motto of the Midsummer's Knights\is to do what you have to, when you have to.\The rest of the time, we're free. response:	Did Daichi decide that?
context: What happened to those six children?\I see...\So that's what you wanted to know.\Hey, Akari... Is it okay for us to have fun?\The motto of the Midsummer's Knights\is to do what you have to, when you have to.\The rest of the time, we're free.\Did Daichi decide that? response:	No, I did.
context: I see...\So that's what you wanted to know.\Hey, Akari... Is it okay for us to have fun?\The motto of the Midsummer's Knights\is to do what you have to, when you have to.\The rest of the time, we're free.\Did Daichi decide that?\No, I did. response:	You came all the way here. Aren't you going to swim?
context: So that's what you wanted to know.\Hey, Akari... Is it okay for us to have fun?\The motto of the Midsummer's Knights\is to do what you have to, when you have to.\The rest of the time, we're free.\Did Daichi decide that?\No, I did.\You came all the way here. Aren't you going to swim? response:	Only children come to the pool to swim.
context: Hey, Akari... Is it okay for us to have fun?\The motto of the Midsummer's Knights\is to do what you have to, when you have to.\The rest of the time, we're free.\Did Daichi decide that?\No, I did.\You came all the way here. Aren't you going to swim?\Only children come to the pool to swim. response:	Then what did you come here to do?
context: The motto of the Midsummer's Knights\is to do what you have to, when you have to.\The rest of the time, we're free.\Did Daichi decide that?\No, I did.\You came all the way here. Aren't you going to swim?\Only children come to the pool to swim.\Then what did you come here to do? response:	Relax and enjoy all the guys looking at you.
context: is to do what you have to, when you have to.\The rest of the time, we're free.\Did Daichi decide that?\No, I did.\You came all the way here. Aren't you going to swim?\Only children come to the pool to swim.\Then what did you come here to do?\Relax and enjoy all the guys looking at you. response:	Wow.
context: The rest of the time, we're free.\Did Daichi decide that?\No, I did.\You came all the way here. Aren't you going to swim?\Only children come to the pool to swim.\Then what did you come here to do?\Relax and enjoy all the guys looking at you.\Wow. response:	I'm jealous of the squirrel.
context: Did Daichi decide that?\No, I did.\You came all the way here. Aren't you going to swim?\Only children come to the pool to swim.\Then what did you come here to do?\Relax and enjoy all the guys looking at you.\Wow.\I'm jealous of the squirrel. response:	Maybe it was a bad idea to bring Hana.
context: No, I did.\You came all the way here. Aren't you going to swim?\Only children come to the pool to swim.\Then what did you come here to do?\Relax and enjoy all the guys looking at you.\Wow.\I'm jealous of the squirrel.\Maybe it was a bad idea to bring Hana. response:	Hey, Akari...
context: You came all the way here. Aren't you going to swim?\Only children come to the pool to swim.\Then what did you come here to do?\Relax and enjoy all the guys looking at you.\Wow.\I'm jealous of the squirrel.\Maybe it was a bad idea to bring Hana.\Hey, Akari... response:	She's been swimming this whole time.
context: Only children come to the pool to swim.\Then what did you come here to do?\Relax and enjoy all the guys looking at you.\Wow.\I'm jealous of the squirrel.\Maybe it was a bad idea to bring Hana.\Hey, Akari...\She's been swimming this whole time. response:	I wonder what really happened to them.
context: Then what did you come here to do?\Relax and enjoy all the guys looking at you.\Wow.\I'm jealous of the squirrel.\Maybe it was a bad idea to bring Hana.\Hey, Akari...\She's been swimming this whole time.\I wonder what really happened to them. response:	Were there any photos?
context: Relax and enjoy all the guys looking at you.\Wow.\I'm jealous of the squirrel.\Maybe it was a bad idea to bring Hana.\Hey, Akari...\She's been swimming this whole time.\I wonder what really happened to them.\Were there any photos? response:	No, I heard all our materials on them were destroyed.
context: Wow.\I'm jealous of the squirrel.\Maybe it was a bad idea to bring Hana.\Hey, Akari...\She's been swimming this whole time.\I wonder what really happened to them.\Were there any photos?\No, I heard all our materials on them were destroyed. response:	I was on the task force,
context: I'm jealous of the squirrel.\Maybe it was a bad idea to bring Hana.\Hey, Akari...\She's been swimming this whole time.\I wonder what really happened to them.\Were there any photos?\No, I heard all our materials on them were destroyed.\I was on the task force, response:	and even I don't know where they went afterward.
