context: You are to light the lanterns hidden in the forest around us. response:	They're within 500 meter radius around the camp.
context: However, there are only three lanterns.\Which means that there are only three permissions.\We're in a dark forest. You'll be found out right away.\Huh?\I'm telling you not to use your flames.\This training is designed to turn us against each other.\But if we do that...\It'd be suicide. response:	Ready...
context: Which means that there are only three permissions.\We're in a dark forest. You'll be found out right away.\Huh?\I'm telling you not to use your flames.\This training is designed to turn us against each other.\But if we do that...\It'd be suicide.\Ready... response:	Huh, what? There's so many of them!
context: We're in a dark forest. You'll be found out right away.\Huh?\I'm telling you not to use your flames.\This training is designed to turn us against each other.\But if we do that...\It'd be suicide.\Ready...\Huh, what? There's so many of them! response:	Are they blood-suckers? Demon bugs?
context: Huh?\I'm telling you not to use your flames.\This training is designed to turn us against each other.\But if we do that...\It'd be suicide.\Ready...\Huh, what? There's so many of them!\Are they blood-suckers? Demon bugs? response:	I humbly call upon the Gods of Harvest!
context: I'm telling you not to use your flames.\This training is designed to turn us against each other.\But if we do that...\It'd be suicide.\Ready...\Huh, what? There's so many of them!\Are they blood-suckers? Demon bugs?\I humbly call upon the Gods of Harvest! response:	Follow my wishes, leave none unfulfilled!
context: This training is designed to turn us against each other.\But if we do that...\It'd be suicide.\Ready...\Huh, what? There's so many of them!\Are they blood-suckers? Demon bugs?\I humbly call upon the Gods of Harvest!\Follow my wishes, leave none unfulfilled! response:	Ni, give me something for bug repellent!
context: But if we do that...\It'd be suicide.\Ready...\Huh, what? There's so many of them!\Are they blood-suckers? Demon bugs?\I humbly call upon the Gods of Harvest!\Follow my wishes, leave none unfulfilled!\Ni, give me something for bug repellent! response:	Ni!
context: It'd be suicide.\Ready...\Huh, what? There's so many of them!\Are they blood-suckers? Demon bugs?\I humbly call upon the Gods of Harvest!\Follow my wishes, leave none unfulfilled!\Ni, give me something for bug repellent!\Ni! response:	Shiemi?
context: Ready...\Huh, what? There's so many of them!\Are they blood-suckers? Demon bugs?\I humbly call upon the Gods of Harvest!\Follow my wishes, leave none unfulfilled!\Ni, give me something for bug repellent!\Ni!\Shiemi? response:	Shiemi! What's wrong?
context: Huh, what? There's so many of them!\Are they blood-suckers? Demon bugs?\I humbly call upon the Gods of Harvest!\Follow my wishes, leave none unfulfilled!\Ni, give me something for bug repellent!\Ni!\Shiemi?\Shiemi! What's wrong? response:	Shiemi! Shiemi!
context: Are they blood-suckers? Demon bugs?\I humbly call upon the Gods of Harvest!\Follow my wishes, leave none unfulfilled!\Ni, give me something for bug repellent!\Ni!\Shiemi?\Shiemi! What's wrong?\Shiemi! Shiemi! response:	Get lost!
context: I humbly call upon the Gods of Harvest!\Follow my wishes, leave none unfulfilled!\Ni, give me something for bug repellent!\Ni!\Shiemi?\Shiemi! What's wrong?\Shiemi! Shiemi!\Get lost! response:	Huh?
context: Follow my wishes, leave none unfulfilled!\Ni, give me something for bug repellent!\Ni!\Shiemi?\Shiemi! What's wrong?\Shiemi! Shiemi!\Get lost!\Huh? response:	Me too.
context: Ni, give me something for bug repellent!\Ni!\Shiemi?\Shiemi! What's wrong?\Shiemi! Shiemi!\Get lost!\Huh?\Me too. response:	It's Konekomaru.
context: Ni!\Shiemi?\Shiemi! What's wrong?\Shiemi! Shiemi!\Get lost!\Huh?\Me too.\It's Konekomaru. response:	He says he found a lantern.
context: Shiemi?\Shiemi! What's wrong?\Shiemi! Shiemi!\Get lost!\Huh?\Me too.\It's Konekomaru.\He says he found a lantern. response:	He says it's impossible alone, we've gotta work together.
context: Shiemi! What's wrong?\Shiemi! Shiemi!\Get lost!\Huh?\Me too.\It's Konekomaru.\He says he found a lantern.\He says it's impossible alone, we've gotta work together. response:	You were right, this is impossible alone.
context: Shiemi! Shiemi!\Get lost!\Huh?\Me too.\It's Konekomaru.\He says he found a lantern.\He says it's impossible alone, we've gotta work together.\You were right, this is impossible alone. response:	When I saw it, I thought maybe we had misinterpreted the mission...
context: Get lost!\Huh?\Me too.\It's Konekomaru.\He says he found a lantern.\He says it's impossible alone, we've gotta work together.\You were right, this is impossible alone.\When I saw it, I thought maybe we had misinterpreted the mission... response:	Yeah. This training requires cooperation.
context: Huh?\Me too.\It's Konekomaru.\He says he found a lantern.\He says it's impossible alone, we've gotta work together.\You were right, this is impossible alone.\When I saw it, I thought maybe we had misinterpreted the mission...\Yeah. This training requires cooperation. response:	Rin, you're amazing!
context: Me too.\It's Konekomaru.\He says he found a lantern.\He says it's impossible alone, we've gotta work together.\You were right, this is impossible alone.\When I saw it, I thought maybe we had misinterpreted the mission...\Yeah. This training requires cooperation.\Rin, you're amazing! response:	Which planet are you from, Okumura?
context: It's Konekomaru.\He says he found a lantern.\He says it's impossible alone, we've gotta work together.\You were right, this is impossible alone.\When I saw it, I thought maybe we had misinterpreted the mission...\Yeah. This training requires cooperation.\Rin, you're amazing!\Which planet are you from, Okumura? response:	Hold on tight.
context: He says he found a lantern.\He says it's impossible alone, we've gotta work together.\You were right, this is impossible alone.\When I saw it, I thought maybe we had misinterpreted the mission...\Yeah. This training requires cooperation.\Rin, you're amazing!\Which planet are you from, Okumura?\Hold on tight. response:	Get going!
context: He says it's impossible alone, we've gotta work together.\You were right, this is impossible alone.\When I saw it, I thought maybe we had misinterpreted the mission...\Yeah. This training requires cooperation.\Rin, you're amazing!\Which planet are you from, Okumura?\Hold on tight.\Get going! response:	It saw you!
context: You were right, this is impossible alone.\When I saw it, I thought maybe we had misinterpreted the mission...\Yeah. This training requires cooperation.\Rin, you're amazing!\Which planet are you from, Okumura?\Hold on tight.\Get going!\It saw you! response:	This way!
context: When I saw it, I thought maybe we had misinterpreted the mission...\Yeah. This training requires cooperation.\Rin, you're amazing!\Which planet are you from, Okumura?\Hold on tight.\Get going!\It saw you!\This way! response:	Don't go calling it!
context: Yeah. This training requires cooperation.\Rin, you're amazing!\Which planet are you from, Okumura?\Hold on tight.\Get going!\It saw you!\This way!\Don't go calling it! response:	Seal!
context: Rin, you're amazing!\Which planet are you from, Okumura?\Hold on tight.\Get going!\It saw you!\This way!\Don't go calling it!\Seal! response:	Bow to the floor to the Holy Unmovable, the Raging Destroyer King...
context: Which planet are you from, Okumura?\Hold on tight.\Get going!\It saw you!\This way!\Don't go calling it!\Seal!\Bow to the floor to the Holy Unmovable, the Raging Destroyer King... response:	He did it!
context: Hold on tight.\Get going!\It saw you!\This way!\Don't go calling it!\Seal!\Bow to the floor to the Holy Unmovable, the Raging Destroyer King...\He did it! response:	Now this is one less thing to worry about.
context: Get going!\It saw you!\This way!\Don't go calling it!\Seal!\Bow to the floor to the Holy Unmovable, the Raging Destroyer King...\He did it!\Now this is one less thing to worry about. response:	Okumura!
context: It saw you!\This way!\Don't go calling it!\Seal!\Bow to the floor to the Holy Unmovable, the Raging Destroyer King...\He did it!\Now this is one less thing to worry about.\Okumura! response:	Damn, I can't move.
context: This way!\Don't go calling it!\Seal!\Bow to the floor to the Holy Unmovable, the Raging Destroyer King...\He did it!\Now this is one less thing to worry about.\Okumura!\Damn, I can't move. response:	Rin!
context: Don't go calling it!\Seal!\Bow to the floor to the Holy Unmovable, the Raging Destroyer King...\He did it!\Now this is one less thing to worry about.\Okumura!\Damn, I can't move.\Rin! response:	I'm fine! I'll deal with this and catch up with you!
context: Seal!\Bow to the floor to the Holy Unmovable, the Raging Destroyer King...\He did it!\Now this is one less thing to worry about.\Okumura!\Damn, I can't move.\Rin!\I'm fine! I'll deal with this and catch up with you! response:	Go on ahead!
context: Bow to the floor to the Holy Unmovable, the Raging Destroyer King...\He did it!\Now this is one less thing to worry about.\Okumura!\Damn, I can't move.\Rin!\I'm fine! I'll deal with this and catch up with you!\Go on ahead! response:	You're doing this again?
context: He did it!\Now this is one less thing to worry about.\Okumura!\Damn, I can't move.\Rin!\I'm fine! I'll deal with this and catch up with you!\Go on ahead!\You're doing this again? response:	Sorry.
context: Now this is one less thing to worry about.\Okumura!\Damn, I can't move.\Rin!\I'm fine! I'll deal with this and catch up with you!\Go on ahead!\You're doing this again?\Sorry. response:	Idiot! Of course we'll help you!
context: Okumura!\Damn, I can't move.\Rin!\I'm fine! I'll deal with this and catch up with you!\Go on ahead!\You're doing this again?\Sorry.\Idiot! Of course we'll help you! response:	Shima, your staff!
context: Damn, I can't move.\Rin!\I'm fine! I'll deal with this and catch up with you!\Go on ahead!\You're doing this again?\Sorry.\Idiot! Of course we'll help you!\Shima, your staff! response:	Don't you break it!
context: Rin!\I'm fine! I'll deal with this and catch up with you!\Go on ahead!\You're doing this again?\Sorry.\Idiot! Of course we'll help you!\Shima, your staff!\Don't you break it! response:	Get ready to run!
context: I'm fine! I'll deal with this and catch up with you!\Go on ahead!\You're doing this again?\Sorry.\Idiot! Of course we'll help you!\Shima, your staff!\Don't you break it!\Get ready to run! response:	Oh great and mighty Unmovable Wise, crush all hesitation.
context: Go on ahead!\You're doing this again?\Sorry.\Idiot! Of course we'll help you!\Shima, your staff!\Don't you break it!\Get ready to run!\Oh great and mighty Unmovable Wise, crush all hesitation. response:	Swipe aside all obstacles. Hear our prayer. Have mercy.
context: You're doing this again?\Sorry.\Idiot! Of course we'll help you!\Shima, your staff!\Don't you break it!\Get ready to run!\Oh great and mighty Unmovable Wise, crush all hesitation.\Swipe aside all obstacles. Hear our prayer. Have mercy. response:	Return!
context: Sorry.\Idiot! Of course we'll help you!\Shima, your staff!\Don't you break it!\Get ready to run!\Oh great and mighty Unmovable Wise, crush all hesitation.\Swipe aside all obstacles. Hear our prayer. Have mercy.\Return! response:	Whoa, amazing!
context: Idiot! Of course we'll help you!\Shima, your staff!\Don't you break it!\Get ready to run!\Oh great and mighty Unmovable Wise, crush all hesitation.\Swipe aside all obstacles. Hear our prayer. Have mercy.\Return!\Whoa, amazing! response:	Come on!
context: Shima, your staff!\Don't you break it!\Get ready to run!\Oh great and mighty Unmovable Wise, crush all hesitation.\Swipe aside all obstacles. Hear our prayer. Have mercy.\Return!\Whoa, amazing!\Come on! response:	This is all I can do!
context: Don't you break it!\Get ready to run!\Oh great and mighty Unmovable Wise, crush all hesitation.\Swipe aside all obstacles. Hear our prayer. Have mercy.\Return!\Whoa, amazing!\Come on!\This is all I can do! response:	Run!
context: Get ready to run!\Oh great and mighty Unmovable Wise, crush all hesitation.\Swipe aside all obstacles. Hear our prayer. Have mercy.\Return!\Whoa, amazing!\Come on!\This is all I can do!\Run! response:	Didn't you defeat iiit?
context: Oh great and mighty Unmovable Wise, crush all hesitation.\Swipe aside all obstacles. Hear our prayer. Have mercy.\Return!\Whoa, amazing!\Come on!\This is all I can do!\Run!\Didn't you defeat iiit? response:	It's not chasing us anymore.
context: Swipe aside all obstacles. Hear our prayer. Have mercy.\Return!\Whoa, amazing!\Come on!\This is all I can do!\Run!\Didn't you defeat iiit?\It's not chasing us anymore. response:	We're saved.
context: Return!\Whoa, amazing!\Come on!\This is all I can do!\Run!\Didn't you defeat iiit?\It's not chasing us anymore.\We're saved. response:	Thanks, Suguro.
context: Whoa, amazing!\Come on!\This is all I can do!\Run!\Didn't you defeat iiit?\It's not chasing us anymore.\We're saved.\Thanks, Suguro. response:	I was just returning the favor.
context: Come on!\This is all I can do!\Run!\Didn't you defeat iiit?\It's not chasing us anymore.\We're saved.\Thanks, Suguro.\I was just returning the favor. response:	Favor?
context: This is all I can do!\Run!\Didn't you defeat iiit?\It's not chasing us anymore.\We're saved.\Thanks, Suguro.\I was just returning the favor.\Favor? response:	You saved me.
context: Run!\Didn't you defeat iiit?\It's not chasing us anymore.\We're saved.\Thanks, Suguro.\I was just returning the favor.\Favor?\You saved me. response:	You said you wanted to defeat Satan just like me,
context: Didn't you defeat iiit?\It's not chasing us anymore.\We're saved.\Thanks, Suguro.\I was just returning the favor.\Favor?\You saved me.\You said you wanted to defeat Satan just like me, response:	without being embarrassed.
context: It's not chasing us anymore.\We're saved.\Thanks, Suguro.\I was just returning the favor.\Favor?\You saved me.\You said you wanted to defeat Satan just like me,\without being embarrassed. response:	Well I'm stupid so I don't really think about that kinda stuff.
context: We're saved.\Thanks, Suguro.\I was just returning the favor.\Favor?\You saved me.\You said you wanted to defeat Satan just like me,\without being embarrassed.\Well I'm stupid so I don't really think about that kinda stuff. response:	I don't think so.
context: Thanks, Suguro.\I was just returning the favor.\Favor?\You saved me.\You said you wanted to defeat Satan just like me,\without being embarrassed.\Well I'm stupid so I don't really think about that kinda stuff.\I don't think so. response:	But stop trying to solve everything by yourself!
context: I was just returning the favor.\Favor?\You saved me.\You said you wanted to defeat Satan just like me,\without being embarrassed.\Well I'm stupid so I don't really think about that kinda stuff.\I don't think so.\But stop trying to solve everything by yourself! response:	Don't forget that you're not alone!
context: Favor?\You saved me.\You said you wanted to defeat Satan just like me,\without being embarrassed.\Well I'm stupid so I don't really think about that kinda stuff.\I don't think so.\But stop trying to solve everything by yourself!\Don't forget that you're not alone! response:	Bon's totally right.
context: You saved me.\You said you wanted to defeat Satan just like me,\without being embarrassed.\Well I'm stupid so I don't really think about that kinda stuff.\I don't think so.\But stop trying to solve everything by yourself!\Don't forget that you're not alone!\Bon's totally right. response:	You can't defeat Satan alone.
context: You said you wanted to defeat Satan just like me,\without being embarrassed.\Well I'm stupid so I don't really think about that kinda stuff.\I don't think so.\But stop trying to solve everything by yourself!\Don't forget that you're not alone!\Bon's totally right.\You can't defeat Satan alone. response:	I'll help you, even though I can't do much.
context: without being embarrassed.\Well I'm stupid so I don't really think about that kinda stuff.\I don't think so.\But stop trying to solve everything by yourself!\Don't forget that you're not alone!\Bon's totally right.\You can't defeat Satan alone.\I'll help you, even though I can't do much. response:	As long as it doesn't involve more bugs.
context: Well I'm stupid so I don't really think about that kinda stuff.\I don't think so.\But stop trying to solve everything by yourself!\Don't forget that you're not alone!\Bon's totally right.\You can't defeat Satan alone.\I'll help you, even though I can't do much.\As long as it doesn't involve more bugs. response:	Guys...
context: I don't think so.\But stop trying to solve everything by yourself!\Don't forget that you're not alone!\Bon's totally right.\You can't defeat Satan alone.\I'll help you, even though I can't do much.\As long as it doesn't involve more bugs.\Guys... response:	Rin, we're here for you.
context: But stop trying to solve everything by yourself!\Don't forget that you're not alone!\Bon's totally right.\You can't defeat Satan alone.\I'll help you, even though I can't do much.\As long as it doesn't involve more bugs.\Guys...\Rin, we're here for you. response:	Thanks.
context: Don't forget that you're not alone!\Bon's totally right.\You can't defeat Satan alone.\I'll help you, even though I can't do much.\As long as it doesn't involve more bugs.\Guys...\Rin, we're here for you.\Thanks. response:	But Shima was totally useless this time.
context: Bon's totally right.\You can't defeat Satan alone.\I'll help you, even though I can't do much.\As long as it doesn't involve more bugs.\Guys...\Rin, we're here for you.\Thanks.\But Shima was totally useless this time. response:	That's not fair, Bon! I did what I could!
context: You can't defeat Satan alone.\I'll help you, even though I can't do much.\As long as it doesn't involve more bugs.\Guys...\Rin, we're here for you.\Thanks.\But Shima was totally useless this time.\That's not fair, Bon! I did what I could! response:	What if they knew that I'm the son of Satan?
context: I'll help you, even though I can't do much.\As long as it doesn't involve more bugs.\Guys...\Rin, we're here for you.\Thanks.\But Shima was totally useless this time.\That's not fair, Bon! I did what I could!\What if they knew that I'm the son of Satan? response:	Hurray, we're all back alive!
context: As long as it doesn't involve more bugs.\Guys...\Rin, we're here for you.\Thanks.\But Shima was totally useless this time.\That's not fair, Bon! I did what I could!\What if they knew that I'm the son of Satan?\Hurray, we're all back alive! response:	Nice. You're still in one piece.
context: Guys...\Rin, we're here for you.\Thanks.\But Shima was totally useless this time.\That's not fair, Bon! I did what I could!\What if they knew that I'm the son of Satan?\Hurray, we're all back alive!\Nice. You're still in one piece. response:	What the hell? You're here already?
context: Rin, we're here for you.\Thanks.\But Shima was totally useless this time.\That's not fair, Bon! I did what I could!\What if they knew that I'm the son of Satan?\Hurray, we're all back alive!\Nice. You're still in one piece.\What the hell? You're here already? response:	I made my familiars do it. Takara was even quicker though.
context: Thanks.\But Shima was totally useless this time.\That's not fair, Bon! I did what I could!\What if they knew that I'm the son of Satan?\Hurray, we're all back alive!\Nice. You're still in one piece.\What the hell? You're here already?\I made my familiars do it. Takara was even quicker though. response:	You took so long with so many people? Lame losers.
context: But Shima was totally useless this time.\That's not fair, Bon! I did what I could!\What if they knew that I'm the son of Satan?\Hurray, we're all back alive!\Nice. You're still in one piece.\What the hell? You're here already?\I made my familiars do it. Takara was even quicker though.\You took so long with so many people? Lame losers. response:	Just what is he made of?
context: That's not fair, Bon! I did what I could!\What if they knew that I'm the son of Satan?\Hurray, we're all back alive!\Nice. You're still in one piece.\What the hell? You're here already?\I made my familiars do it. Takara was even quicker though.\You took so long with so many people? Lame losers.\Just what is he made of? response:	What's wrong?
context: What if they knew that I'm the son of Satan?\Hurray, we're all back alive!\Nice. You're still in one piece.\What the hell? You're here already?\I made my familiars do it. Takara was even quicker though.\You took so long with so many people? Lame losers.\Just what is he made of?\What's wrong? response:	It hurts.
context: Hurray, we're all back alive!\Nice. You're still in one piece.\What the hell? You're here already?\I made my familiars do it. Takara was even quicker though.\You took so long with so many people? Lame losers.\Just what is he made of?\What's wrong?\It hurts. response:	Huh? You're all here? No one gave up?
context: Nice. You're still in one piece.\What the hell? You're here already?\I made my familiars do it. Takara was even quicker though.\You took so long with so many people? Lame losers.\Just what is he made of?\What's wrong?\It hurts.\Huh? You're all here? No one gave up? response:	Then who shot up the fireworks earlier?
context: What the hell? You're here already?\I made my familiars do it. Takara was even quicker though.\You took so long with so many people? Lame losers.\Just what is he made of?\What's wrong?\It hurts.\Huh? You're all here? No one gave up?\Then who shot up the fireworks earlier? response:	It hurts...
context: I made my familiars do it. Takara was even quicker though.\You took so long with so many people? Lame losers.\Just what is he made of?\What's wrong?\It hurts.\Huh? You're all here? No one gave up?\Then who shot up the fireworks earlier?\It hurts... response:	Shiemi?
context: You took so long with so many people? Lame losers.\Just what is he made of?\What's wrong?\It hurts.\Huh? You're all here? No one gave up?\Then who shot up the fireworks earlier?\It hurts...\Shiemi? response:	Him? From back then?
context: Just what is he made of?\What's wrong?\It hurts.\Huh? You're all here? No one gave up?\Then who shot up the fireworks earlier?\It hurts...\Shiemi?\Him? From back then? response:	Don't just stand there with your jaws on the floor!
context: What's wrong?\It hurts.\Huh? You're all here? No one gave up?\Then who shot up the fireworks earlier?\It hurts...\Shiemi?\Him? From back then?\Don't just stand there with your jaws on the floor! response:	Shura!
context: It hurts.\Huh? You're all here? No one gave up?\Then who shot up the fireworks earlier?\It hurts...\Shiemi?\Him? From back then?\Don't just stand there with your jaws on the floor!\Shura! response:	Go, Behemoth!
context: Huh? You're all here? No one gave up?\Then who shot up the fireworks earlier?\It hurts...\Shiemi?\Him? From back then?\Don't just stand there with your jaws on the floor!\Shura!\Go, Behemoth! response:	I was waiting for ya.
context: Then who shot up the fireworks earlier?\It hurts...\Shiemi?\Him? From back then?\Don't just stand there with your jaws on the floor!\Shura!\Go, Behemoth!\I was waiting for ya. response:	A snake?
context: It hurts...\Shiemi?\Him? From back then?\Don't just stand there with your jaws on the floor!\Shura!\Go, Behemoth!\I was waiting for ya.\A snake? response:	I thought I'd have a nice cup of tea while I watch the show,
context: Shiemi?\Him? From back then?\Don't just stand there with your jaws on the floor!\Shura!\Go, Behemoth!\I was waiting for ya.\A snake?\I thought I'd have a nice cup of tea while I watch the show, response:	but this is even better than I expected.
context: Him? From back then?\Don't just stand there with your jaws on the floor!\Shura!\Go, Behemoth!\I was waiting for ya.\A snake?\I thought I'd have a nice cup of tea while I watch the show,\but this is even better than I expected. response:	This won't be so easy, Amaimon.
context: Don't just stand there with your jaws on the floor!\Shura!\Go, Behemoth!\I was waiting for ya.\A snake?\I thought I'd have a nice cup of tea while I watch the show,\but this is even better than I expected.\This won't be so easy, Amaimon. response:	I wanna kill her.
context: Shura!\Go, Behemoth!\I was waiting for ya.\A snake?\I thought I'd have a nice cup of tea while I watch the show,\but this is even better than I expected.\This won't be so easy, Amaimon.\I wanna kill her. response:	That you won't.
context: Go, Behemoth!\I was waiting for ya.\A snake?\I thought I'd have a nice cup of tea while I watch the show,\but this is even better than I expected.\This won't be so easy, Amaimon.\I wanna kill her.\That you won't. response:	If you try to kill any of them, I'll kill you.
context: I was waiting for ya.\A snake?\I thought I'd have a nice cup of tea while I watch the show,\but this is even better than I expected.\This won't be so easy, Amaimon.\I wanna kill her.\That you won't.\If you try to kill any of them, I'll kill you. response:	Yes. I apologize. I'll control myself.
context: A snake?\I thought I'd have a nice cup of tea while I watch the show,\but this is even better than I expected.\This won't be so easy, Amaimon.\I wanna kill her.\That you won't.\If you try to kill any of them, I'll kill you.\Yes. I apologize. I'll control myself. response:	A total barrier?
context: I thought I'd have a nice cup of tea while I watch the show,\but this is even better than I expected.\This won't be so easy, Amaimon.\I wanna kill her.\That you won't.\If you try to kill any of them, I'll kill you.\Yes. I apologize. I'll control myself.\A total barrier? response:	Yeah. It protects everyone inside the circle and attacks everything outside.
context: but this is even better than I expected.\This won't be so easy, Amaimon.\I wanna kill her.\That you won't.\If you try to kill any of them, I'll kill you.\Yes. I apologize. I'll control myself.\A total barrier?\Yeah. It protects everyone inside the circle and attacks everything outside. response:	For the time being we're safe inside it.
context: This won't be so easy, Amaimon.\I wanna kill her.\That you won't.\If you try to kill any of them, I'll kill you.\Yes. I apologize. I'll control myself.\A total barrier?\Yeah. It protects everyone inside the circle and attacks everything outside.\For the time being we're safe inside it. response:	But who was that guy?
context: I wanna kill her.\That you won't.\If you try to kill any of them, I'll kill you.\Yes. I apologize. I'll control myself.\A total barrier?\Yeah. It protects everyone inside the circle and attacks everything outside.\For the time being we're safe inside it.\But who was that guy? response:	Professor, is this training as well?
context: That you won't.\If you try to kill any of them, I'll kill you.\Yes. I apologize. I'll control myself.\A total barrier?\Yeah. It protects everyone inside the circle and attacks everything outside.\For the time being we're safe inside it.\But who was that guy?\Professor, is this training as well? response:	Ain't this a bit too tough for that!
context: If you try to kill any of them, I'll kill you.\Yes. I apologize. I'll control myself.\A total barrier?\Yeah. It protects everyone inside the circle and attacks everything outside.\For the time being we're safe inside it.\But who was that guy?\Professor, is this training as well?\Ain't this a bit too tough for that! response:	The training's over.
context: Yes. I apologize. I'll control myself.\A total barrier?\Yeah. It protects everyone inside the circle and attacks everything outside.\For the time being we're safe inside it.\But who was that guy?\Professor, is this training as well?\Ain't this a bit too tough for that!\The training's over. response:	Now we're gonna prepare for Amaimon's attacks.
context: A total barrier?\Yeah. It protects everyone inside the circle and attacks everything outside.\For the time being we're safe inside it.\But who was that guy?\Professor, is this training as well?\Ain't this a bit too tough for that!\The training's over.\Now we're gonna prepare for Amaimon's attacks. response:	Amaimon?
context: Yeah. It protects everyone inside the circle and attacks everything outside.\For the time being we're safe inside it.\But who was that guy?\Professor, is this training as well?\Ain't this a bit too tough for that!\The training's over.\Now we're gonna prepare for Amaimon's attacks.\Amaimon? response:	Amaimon... One of the Eight Princes of Hell, the Earth King?
context: For the time being we're safe inside it.\But who was that guy?\Professor, is this training as well?\Ain't this a bit too tough for that!\The training's over.\Now we're gonna prepare for Amaimon's attacks.\Amaimon?\Amaimon... One of the Eight Princes of Hell, the Earth King? response:	Yeah.
context: But who was that guy?\Professor, is this training as well?\Ain't this a bit too tough for that!\The training's over.\Now we're gonna prepare for Amaimon's attacks.\Amaimon?\Amaimon... One of the Eight Princes of Hell, the Earth King?\Yeah. response:	He's a big fish, so big you Esquires won't be able to land even a scratch on him.
context: Professor, is this training as well?\Ain't this a bit too tough for that!\The training's over.\Now we're gonna prepare for Amaimon's attacks.\Amaimon?\Amaimon... One of the Eight Princes of Hell, the Earth King?\Yeah.\He's a big fish, so big you Esquires won't be able to land even a scratch on him. response:	I'll soak you in triple-C holy water for extra protection. Come here.
context: Ain't this a bit too tough for that!\The training's over.\Now we're gonna prepare for Amaimon's attacks.\Amaimon?\Amaimon... One of the Eight Princes of Hell, the Earth King?\Yeah.\He's a big fish, so big you Esquires won't be able to land even a scratch on him.\I'll soak you in triple-C holy water for extra protection. Come here. response:	Why is -
context: The training's over.\Now we're gonna prepare for Amaimon's attacks.\Amaimon?\Amaimon... One of the Eight Princes of Hell, the Earth King?\Yeah.\He's a big fish, so big you Esquires won't be able to land even a scratch on him.\I'll soak you in triple-C holy water for extra protection. Come here.\Why is - response:	such a big fish...
context: Now we're gonna prepare for Amaimon's attacks.\Amaimon?\Amaimon... One of the Eight Princes of Hell, the Earth King?\Yeah.\He's a big fish, so big you Esquires won't be able to land even a scratch on him.\I'll soak you in triple-C holy water for extra protection. Come here.\Why is -\such a big fish... response:	Is this some kind of -
context: Amaimon?\Amaimon... One of the Eight Princes of Hell, the Earth King?\Yeah.\He's a big fish, so big you Esquires won't be able to land even a scratch on him.\I'll soak you in triple-C holy water for extra protection. Come here.\Why is -\such a big fish...\Is this some kind of - response:	a joke?
context: Amaimon... One of the Eight Princes of Hell, the Earth King?\Yeah.\He's a big fish, so big you Esquires won't be able to land even a scratch on him.\I'll soak you in triple-C holy water for extra protection. Come here.\Why is -\such a big fish...\Is this some kind of -\a joke? response:	Whoopsie, that was close. It wouldn't be a pretty sight if I soaked you.
context: Yeah.\He's a big fish, so big you Esquires won't be able to land even a scratch on him.\I'll soak you in triple-C holy water for extra protection. Come here.\Why is -\such a big fish...\Is this some kind of -\a joke?\Whoopsie, that was close. It wouldn't be a pretty sight if I soaked you. response:	In the beginning God created the heaven and the earth.
