context: Freeze! response:	Put your hands up and slowly turn this way!
context: At this moment in time, French authorities are denying any involvement.\Cause of death?\Unknown. There were no traces of asphyxiation or reactions to chemicals.\Do you think it's the act of a contractor?\According to reports from the Division of Astronomy,\the stellar number of the prime suspect who was most active during that time was...\BK201, an unidentified number.\Unidentified? response:	Yes, every case he's been involved in has been left unsolved.
context: Cause of death?\Unknown. There were no traces of asphyxiation or reactions to chemicals.\Do you think it's the act of a contractor?\According to reports from the Division of Astronomy,\the stellar number of the prime suspect who was most active during that time was...\BK201, an unidentified number.\Unidentified?\Yes, every case he's been involved in has been left unsolved. response:	The victim's cause of death and details of his abilities... We don't know anything.
context: Unknown. There were no traces of asphyxiation or reactions to chemicals.\Do you think it's the act of a contractor?\According to reports from the Division of Astronomy,\the stellar number of the prime suspect who was most active during that time was...\BK201, an unidentified number.\Unidentified?\Yes, every case he's been involved in has been left unsolved.\The victim's cause of death and details of his abilities... We don't know anything. response:	Don't tell me it's that rumored cursed contractor.
context: Do you think it's the act of a contractor?\According to reports from the Division of Astronomy,\the stellar number of the prime suspect who was most active during that time was...\BK201, an unidentified number.\Unidentified?\Yes, every case he's been involved in has been left unsolved.\The victim's cause of death and details of his abilities... We don't know anything.\Don't tell me it's that rumored cursed contractor. response:	Rumors are merely rumors.
context: According to reports from the Division of Astronomy,\the stellar number of the prime suspect who was most active during that time was...\BK201, an unidentified number.\Unidentified?\Yes, every case he's been involved in has been left unsolved.\The victim's cause of death and details of his abilities... We don't know anything.\Don't tell me it's that rumored cursed contractor.\Rumors are merely rumors. response:	Why are you guys, of all people, getting caught up in them?
context: the stellar number of the prime suspect who was most active during that time was...\BK201, an unidentified number.\Unidentified?\Yes, every case he's been involved in has been left unsolved.\The victim's cause of death and details of his abilities... We don't know anything.\Don't tell me it's that rumored cursed contractor.\Rumors are merely rumors.\Why are you guys, of all people, getting caught up in them? response:	Right...
context: BK201, an unidentified number.\Unidentified?\Yes, every case he's been involved in has been left unsolved.\The victim's cause of death and details of his abilities... We don't know anything.\Don't tell me it's that rumored cursed contractor.\Rumors are merely rumors.\Why are you guys, of all people, getting caught up in them?\Right... response:	What were the goods?
context: Unidentified?\Yes, every case he's been involved in has been left unsolved.\The victim's cause of death and details of his abilities... We don't know anything.\Don't tell me it's that rumored cursed contractor.\Rumors are merely rumors.\Why are you guys, of all people, getting caught up in them?\Right...\What were the goods? response:	Confidential information obtained via illegal access to the central system of Pandora from the National Research Institute.
context: Yes, every case he's been involved in has been left unsolved.\The victim's cause of death and details of his abilities... We don't know anything.\Don't tell me it's that rumored cursed contractor.\Rumors are merely rumors.\Why are you guys, of all people, getting caught up in them?\Right...\What were the goods?\Confidential information obtained via illegal access to the central system of Pandora from the National Research Institute. response:	As for the contents, we aren't authorized to know the details.
context: The victim's cause of death and details of his abilities... We don't know anything.\Don't tell me it's that rumored cursed contractor.\Rumors are merely rumors.\Why are you guys, of all people, getting caught up in them?\Right...\What were the goods?\Confidential information obtained via illegal access to the central system of Pandora from the National Research Institute.\As for the contents, we aren't authorized to know the details. response:	What about the woman?
context: Don't tell me it's that rumored cursed contractor.\Rumors are merely rumors.\Why are you guys, of all people, getting caught up in them?\Right...\What were the goods?\Confidential information obtained via illegal access to the central system of Pandora from the National Research Institute.\As for the contents, we aren't authorized to know the details.\What about the woman? response:	Shinoda Chiaki, twenty-six years old.
context: Rumors are merely rumors.\Why are you guys, of all people, getting caught up in them?\Right...\What were the goods?\Confidential information obtained via illegal access to the central system of Pandora from the National Research Institute.\As for the contents, we aren't authorized to know the details.\What about the woman?\Shinoda Chiaki, twenty-six years old. response:	She received her master's degree by writing a dissertation about the physical properties within the gate.
context: Why are you guys, of all people, getting caught up in them?\Right...\What were the goods?\Confidential information obtained via illegal access to the central system of Pandora from the National Research Institute.\As for the contents, we aren't authorized to know the details.\What about the woman?\Shinoda Chiaki, twenty-six years old.\She received her master's degree by writing a dissertation about the physical properties within the gate. response:	After graduating, she was employed by the National Research Institute.
context: Right...\What were the goods?\Confidential information obtained via illegal access to the central system of Pandora from the National Research Institute.\As for the contents, we aren't authorized to know the details.\What about the woman?\Shinoda Chiaki, twenty-six years old.\She received her master's degree by writing a dissertation about the physical properties within the gate.\After graduating, she was employed by the National Research Institute. response:	She has been AWOL from work for the past two weeks. Her present status is unknown.
context: What were the goods?\Confidential information obtained via illegal access to the central system of Pandora from the National Research Institute.\As for the contents, we aren't authorized to know the details.\What about the woman?\Shinoda Chiaki, twenty-six years old.\She received her master's degree by writing a dissertation about the physical properties within the gate.\After graduating, she was employed by the National Research Institute.\She has been AWOL from work for the past two weeks. Her present status is unknown. response:	There are reports of her involvement with contractor-associated cases...
context: Confidential information obtained via illegal access to the central system of Pandora from the National Research Institute.\As for the contents, we aren't authorized to know the details.\What about the woman?\Shinoda Chiaki, twenty-six years old.\She received her master's degree by writing a dissertation about the physical properties within the gate.\After graduating, she was employed by the National Research Institute.\She has been AWOL from work for the past two weeks. Her present status is unknown.\There are reports of her involvement with contractor-associated cases... response:	Has her memory ever been erased by the M.E.?
context: As for the contents, we aren't authorized to know the details.\What about the woman?\Shinoda Chiaki, twenty-six years old.\She received her master's degree by writing a dissertation about the physical properties within the gate.\After graduating, she was employed by the National Research Institute.\She has been AWOL from work for the past two weeks. Her present status is unknown.\There are reports of her involvement with contractor-associated cases...\Has her memory ever been erased by the M.E.? response:	Regarding her parents?
context: What about the woman?\Shinoda Chiaki, twenty-six years old.\She received her master's degree by writing a dissertation about the physical properties within the gate.\After graduating, she was employed by the National Research Institute.\She has been AWOL from work for the past two weeks. Her present status is unknown.\There are reports of her involvement with contractor-associated cases...\Has her memory ever been erased by the M.E.?\Regarding her parents? response:	At the time, it was concluded that she wasn't in contact with them.
context: Shinoda Chiaki, twenty-six years old.\She received her master's degree by writing a dissertation about the physical properties within the gate.\After graduating, she was employed by the National Research Institute.\She has been AWOL from work for the past two weeks. Her present status is unknown.\There are reports of her involvement with contractor-associated cases...\Has her memory ever been erased by the M.E.?\Regarding her parents?\At the time, it was concluded that she wasn't in contact with them. response:	A leak of gate-related information is a direct threat to national security.
context: She received her master's degree by writing a dissertation about the physical properties within the gate.\After graduating, she was employed by the National Research Institute.\She has been AWOL from work for the past two weeks. Her present status is unknown.\There are reports of her involvement with contractor-associated cases...\Has her memory ever been erased by the M.E.?\Regarding her parents?\At the time, it was concluded that she wasn't in contact with them.\A leak of gate-related information is a direct threat to national security. response:	We must prevent the witness from falling into the hands of the enemy.
context: After graduating, she was employed by the National Research Institute.\She has been AWOL from work for the past two weeks. Her present status is unknown.\There are reports of her involvement with contractor-associated cases...\Has her memory ever been erased by the M.E.?\Regarding her parents?\At the time, it was concluded that she wasn't in contact with them.\A leak of gate-related information is a direct threat to national security.\We must prevent the witness from falling into the hands of the enemy. response:	Do you understand, Kirihara?
context: She has been AWOL from work for the past two weeks. Her present status is unknown.\There are reports of her involvement with contractor-associated cases...\Has her memory ever been erased by the M.E.?\Regarding her parents?\At the time, it was concluded that she wasn't in contact with them.\A leak of gate-related information is a direct threat to national security.\We must prevent the witness from falling into the hands of the enemy.\Do you understand, Kirihara? response:	Yes.
context: There are reports of her involvement with contractor-associated cases...\Has her memory ever been erased by the M.E.?\Regarding her parents?\At the time, it was concluded that she wasn't in contact with them.\A leak of gate-related information is a direct threat to national security.\We must prevent the witness from falling into the hands of the enemy.\Do you understand, Kirihara?\Yes. response:	Ordinary people who come into contact with contractors have their memories erased.
context: Has her memory ever been erased by the M.E.?\Regarding her parents?\At the time, it was concluded that she wasn't in contact with them.\A leak of gate-related information is a direct threat to national security.\We must prevent the witness from falling into the hands of the enemy.\Do you understand, Kirihara?\Yes.\Ordinary people who come into contact with contractors have their memories erased. response:	All information regarding contractors is to remain top secret.
context: Regarding her parents?\At the time, it was concluded that she wasn't in contact with them.\A leak of gate-related information is a direct threat to national security.\We must prevent the witness from falling into the hands of the enemy.\Do you understand, Kirihara?\Yes.\Ordinary people who come into contact with contractors have their memories erased.\All information regarding contractors is to remain top secret. response:	Even so, the rumors never stop.
context: At the time, it was concluded that she wasn't in contact with them.\A leak of gate-related information is a direct threat to national security.\We must prevent the witness from falling into the hands of the enemy.\Do you understand, Kirihara?\Yes.\Ordinary people who come into contact with contractors have their memories erased.\All information regarding contractors is to remain top secret.\Even so, the rumors never stop. response:	Monsters... Killing machines...
context: A leak of gate-related information is a direct threat to national security.\We must prevent the witness from falling into the hands of the enemy.\Do you understand, Kirihara?\Yes.\Ordinary people who come into contact with contractors have their memories erased.\All information regarding contractors is to remain top secret.\Even so, the rumors never stop.\Monsters... Killing machines... response:	Public sentiment towards them is that of fright and suspicion.
context: We must prevent the witness from falling into the hands of the enemy.\Do you understand, Kirihara?\Yes.\Ordinary people who come into contact with contractors have their memories erased.\All information regarding contractors is to remain top secret.\Even so, the rumors never stop.\Monsters... Killing machines...\Public sentiment towards them is that of fright and suspicion. response:	My name is Kirihara Misaki.
context: Do you understand, Kirihara?\Yes.\Ordinary people who come into contact with contractors have their memories erased.\All information regarding contractors is to remain top secret.\Even so, the rumors never stop.\Monsters... Killing machines...\Public sentiment towards them is that of fright and suspicion.\My name is Kirihara Misaki. response:	This case marks the first time the contractor, known as BK201,
context: Yes.\Ordinary people who come into contact with contractors have their memories erased.\All information regarding contractors is to remain top secret.\Even so, the rumors never stop.\Monsters... Killing machines...\Public sentiment towards them is that of fright and suspicion.\My name is Kirihara Misaki.\This case marks the first time the contractor, known as BK201, response:	and my Department of Intelligence's Fourth Division of External Affairs cross paths.
context: Ordinary people who come into contact with contractors have their memories erased.\All information regarding contractors is to remain top secret.\Even so, the rumors never stop.\Monsters... Killing machines...\Public sentiment towards them is that of fright and suspicion.\My name is Kirihara Misaki.\This case marks the first time the contractor, known as BK201,\and my Department of Intelligence's Fourth Division of External Affairs cross paths. response:	Yeah?
context: All information regarding contractors is to remain top secret.\Even so, the rumors never stop.\Monsters... Killing machines...\Public sentiment towards them is that of fright and suspicion.\My name is Kirihara Misaki.\This case marks the first time the contractor, known as BK201,\and my Department of Intelligence's Fourth Division of External Affairs cross paths.\Yeah? response:	What? Deliveries?
context: Even so, the rumors never stop.\Monsters... Killing machines...\Public sentiment towards them is that of fright and suspicion.\My name is Kirihara Misaki.\This case marks the first time the contractor, known as BK201,\and my Department of Intelligence's Fourth Division of External Affairs cross paths.\Yeah?\What? Deliveries? response:	N-No.
context: Monsters... Killing machines...\Public sentiment towards them is that of fright and suspicion.\My name is Kirihara Misaki.\This case marks the first time the contractor, known as BK201,\and my Department of Intelligence's Fourth Division of External Affairs cross paths.\Yeah?\What? Deliveries?\N-No. response:	Cult solicitation? Not interested.
context: Public sentiment towards them is that of fright and suspicion.\My name is Kirihara Misaki.\This case marks the first time the contractor, known as BK201,\and my Department of Intelligence's Fourth Division of External Affairs cross paths.\Yeah?\What? Deliveries?\N-No.\Cult solicitation? Not interested. response:	No... um...
context: My name is Kirihara Misaki.\This case marks the first time the contractor, known as BK201,\and my Department of Intelligence's Fourth Division of External Affairs cross paths.\Yeah?\What? Deliveries?\N-No.\Cult solicitation? Not interested.\No... um... response:	Oh, you're the gravestone salesman who keeps calling all the time.
context: This case marks the first time the contractor, known as BK201,\and my Department of Intelligence's Fourth Division of External Affairs cross paths.\Yeah?\What? Deliveries?\N-No.\Cult solicitation? Not interested.\No... um...\Oh, you're the gravestone salesman who keeps calling all the time. response:	Stop bugging me! I told you I didn't need one yet!
context: and my Department of Intelligence's Fourth Division of External Affairs cross paths.\Yeah?\What? Deliveries?\N-No.\Cult solicitation? Not interested.\No... um...\Oh, you're the gravestone salesman who keeps calling all the time.\Stop bugging me! I told you I didn't need one yet! response:	It's not that... The real estate agency in front of the station...
context: Yeah?\What? Deliveries?\N-No.\Cult solicitation? Not interested.\No... um...\Oh, you're the gravestone salesman who keeps calling all the time.\Stop bugging me! I told you I didn't need one yet!\It's not that... The real estate agency in front of the station... response:	Oh, the electronics shop next to the realty agency!
context: What? Deliveries?\N-No.\Cult solicitation? Not interested.\No... um...\Oh, you're the gravestone salesman who keeps calling all the time.\Stop bugging me! I told you I didn't need one yet!\It's not that... The real estate agency in front of the station...\Oh, the electronics shop next to the realty agency! response:	I've been waiting for you! Hurry in!
context: N-No.\Cult solicitation? Not interested.\No... um...\Oh, you're the gravestone salesman who keeps calling all the time.\Stop bugging me! I told you I didn't need one yet!\It's not that... The real estate agency in front of the station...\Oh, the electronics shop next to the realty agency!\I've been waiting for you! Hurry in! response:	It's been acting like this for a while.
context: Cult solicitation? Not interested.\No... um...\Oh, you're the gravestone salesman who keeps calling all the time.\Stop bugging me! I told you I didn't need one yet!\It's not that... The real estate agency in front of the station...\Oh, the electronics shop next to the realty agency!\I've been waiting for you! Hurry in!\It's been acting like this for a while. response:	Right...
context: No... um...\Oh, you're the gravestone salesman who keeps calling all the time.\Stop bugging me! I told you I didn't need one yet!\It's not that... The real estate agency in front of the station...\Oh, the electronics shop next to the realty agency!\I've been waiting for you! Hurry in!\It's been acting like this for a while.\Right... response:	Um...
context: Oh, you're the gravestone salesman who keeps calling all the time.\Stop bugging me! I told you I didn't need one yet!\It's not that... The real estate agency in front of the station...\Oh, the electronics shop next to the realty agency!\I've been waiting for you! Hurry in!\It's been acting like this for a while.\Right...\Um... response:	Hey, old man!
