context: All right, the contract is signed, Kosaki. response:	Starting today, you will become the Magical Patissiere Kosaki,
context: During the few seconds that you're transforming into the Magical Patissiere, you'll be stark naked,\but you don't mind, do you?\Huh? What? What did you just say? Stark naked?\Now, then...\Come on! We're going to go save people in trouble!\What are you doing?\Well... I was just thinking, this is going to be an ordeal...\Huh? response:	Magical Patissiere Kosaki!!
context: but you don't mind, do you?\Huh? What? What did you just say? Stark naked?\Now, then...\Come on! We're going to go save people in trouble!\What are you doing?\Well... I was just thinking, this is going to be an ordeal...\Huh?\Magical Patissiere Kosaki!! response:	Look, you, isn't it about time you stopped running into the bathroom every time you transform?
context: Huh? What? What did you just say? Stark naked?\Now, then...\Come on! We're going to go save people in trouble!\What are you doing?\Well... I was just thinking, this is going to be an ordeal...\Huh?\Magical Patissiere Kosaki!!\Look, you, isn't it about time you stopped running into the bathroom every time you transform? response:	It's a waste of time.
context: Now, then...\Come on! We're going to go save people in trouble!\What are you doing?\Well... I was just thinking, this is going to be an ordeal...\Huh?\Magical Patissiere Kosaki!!\Look, you, isn't it about time you stopped running into the bathroom every time you transform?\It's a waste of time. response:	But I can't just go naked in public!
context: Come on! We're going to go save people in trouble!\What are you doing?\Well... I was just thinking, this is going to be an ordeal...\Huh?\Magical Patissiere Kosaki!!\Look, you, isn't it about time you stopped running into the bathroom every time you transform?\It's a waste of time.\But I can't just go naked in public! response:	Who cares, really? Not like it's detrimental.
context: What are you doing?\Well... I was just thinking, this is going to be an ordeal...\Huh?\Magical Patissiere Kosaki!!\Look, you, isn't it about time you stopped running into the bathroom every time you transform?\It's a waste of time.\But I can't just go naked in public!\Who cares, really? Not like it's detrimental. response:	Oh, yes it is! Very! To my mental health!
context: Well... I was just thinking, this is going to be an ordeal...\Huh?\Magical Patissiere Kosaki!!\Look, you, isn't it about time you stopped running into the bathroom every time you transform?\It's a waste of time.\But I can't just go naked in public!\Who cares, really? Not like it's detrimental.\Oh, yes it is! Very! To my mental health! response:	Then why don't you use this?
context: Huh?\Magical Patissiere Kosaki!!\Look, you, isn't it about time you stopped running into the bathroom every time you transform?\It's a waste of time.\But I can't just go naked in public!\Who cares, really? Not like it's detrimental.\Oh, yes it is! Very! To my mental health!\Then why don't you use this? response:	You can transform any time, anywhere with this, right?
context: Magical Patissiere Kosaki!!\Look, you, isn't it about time you stopped running into the bathroom every time you transform?\It's a waste of time.\But I can't just go naked in public!\Who cares, really? Not like it's detrimental.\Oh, yes it is! Very! To my mental health!\Then why don't you use this?\You can transform any time, anywhere with this, right? response:	I see!
context: Look, you, isn't it about time you stopped running into the bathroom every time you transform?\It's a waste of time.\But I can't just go naked in public!\Who cares, really? Not like it's detrimental.\Oh, yes it is! Very! To my mental health!\Then why don't you use this?\You can transform any time, anywhere with this, right?\I see! response:	Okay, now get yourself transformed! Kosaki!
context: It's a waste of time.\But I can't just go naked in public!\Who cares, really? Not like it's detrimental.\Oh, yes it is! Very! To my mental health!\Then why don't you use this?\You can transform any time, anywhere with this, right?\I see!\Okay, now get yourself transformed! Kosaki! response:	Right!
context: But I can't just go naked in public!\Who cares, really? Not like it's detrimental.\Oh, yes it is! Very! To my mental health!\Then why don't you use this?\You can transform any time, anywhere with this, right?\I see!\Okay, now get yourself transformed! Kosaki!\Right! response:	It's still no good, Rurin! You can still see me!
context: Who cares, really? Not like it's detrimental.\Oh, yes it is! Very! To my mental health!\Then why don't you use this?\You can transform any time, anywhere with this, right?\I see!\Okay, now get yourself transformed! Kosaki!\Right!\It's still no good, Rurin! You can still see me! response:	How pathetic, Magical Patissiere!
context: Oh, yes it is! Very! To my mental health!\Then why don't you use this?\You can transform any time, anywhere with this, right?\I see!\Okay, now get yourself transformed! Kosaki!\Right!\It's still no good, Rurin! You can still see me!\How pathetic, Magical Patissiere! response:	Stop whining!
context: Then why don't you use this?\You can transform any time, anywhere with this, right?\I see!\Okay, now get yourself transformed! Kosaki!\Right!\It's still no good, Rurin! You can still see me!\How pathetic, Magical Patissiere!\Stop whining! response:	Do you really think you're fit to serve as a Magical Girl?
context: You can transform any time, anywhere with this, right?\I see!\Okay, now get yourself transformed! Kosaki!\Right!\It's still no good, Rurin! You can still see me!\How pathetic, Magical Patissiere!\Stop whining!\Do you really think you're fit to serve as a Magical Girl? response:	Who's that?
context: I see!\Okay, now get yourself transformed! Kosaki!\Right!\It's still no good, Rurin! You can still see me!\How pathetic, Magical Patissiere!\Stop whining!\Do you really think you're fit to serve as a Magical Girl?\Who's that? response:	To Be Continued
context: Okay, now get yourself transformed! Kosaki!\Right!\It's still no good, Rurin! You can still see me!\How pathetic, Magical Patissiere!\Stop whining!\Do you really think you're fit to serve as a Magical Girl?\Who's that?\To Be Continued response:	Are you this city's resident Magical Girl?
context: Right!\It's still no good, Rurin! You can still see me!\How pathetic, Magical Patissiere!\Stop whining!\Do you really think you're fit to serve as a Magical Girl?\Who's that?\To Be Continued\Are you this city's resident Magical Girl? response:	Do you really think you're capable of safeguarding all the love and peace in this world?
context: It's still no good, Rurin! You can still see me!\How pathetic, Magical Patissiere!\Stop whining!\Do you really think you're fit to serve as a Magical Girl?\Who's that?\To Be Continued\Are you this city's resident Magical Girl?\Do you really think you're capable of safeguarding all the love and peace in this world? response:	Wh-Who are you?
context: How pathetic, Magical Patissiere!\Stop whining!\Do you really think you're fit to serve as a Magical Girl?\Who's that?\To Be Continued\Are you this city's resident Magical Girl?\Do you really think you're capable of safeguarding all the love and peace in this world?\Wh-Who are you? response:	I am the Magical Girl of Love, guardian of the peace of the next town over.
context: Stop whining!\Do you really think you're fit to serve as a Magical Girl?\Who's that?\To Be Continued\Are you this city's resident Magical Girl?\Do you really think you're capable of safeguarding all the love and peace in this world?\Wh-Who are you?\I am the Magical Girl of Love, guardian of the peace of the next town over. response:	My name is Marika Tachibana.
context: Do you really think you're fit to serve as a Magical Girl?\Who's that?\To Be Continued\Are you this city's resident Magical Girl?\Do you really think you're capable of safeguarding all the love and peace in this world?\Wh-Who are you?\I am the Magical Girl of Love, guardian of the peace of the next town over.\My name is Marika Tachibana. response:	What? You mean there are other magical girls besides me?
context: Who's that?\To Be Continued\Are you this city's resident Magical Girl?\Do you really think you're capable of safeguarding all the love and peace in this world?\Wh-Who are you?\I am the Magical Girl of Love, guardian of the peace of the next town over.\My name is Marika Tachibana.\What? You mean there are other magical girls besides me? response:	Why wouldn't there be?
context: To Be Continued\Are you this city's resident Magical Girl?\Do you really think you're capable of safeguarding all the love and peace in this world?\Wh-Who are you?\I am the Magical Girl of Love, guardian of the peace of the next town over.\My name is Marika Tachibana.\What? You mean there are other magical girls besides me?\Why wouldn't there be? response:	Oh, please... you don't have to say it so matter-of-factly...
context: Are you this city's resident Magical Girl?\Do you really think you're capable of safeguarding all the love and peace in this world?\Wh-Who are you?\I am the Magical Girl of Love, guardian of the peace of the next town over.\My name is Marika Tachibana.\What? You mean there are other magical girls besides me?\Why wouldn't there be?\Oh, please... you don't have to say it so matter-of-factly... response:	Acting so mortified every time you transform... you can't call yourself a full-fledged magical girl!
context: Do you really think you're capable of safeguarding all the love and peace in this world?\Wh-Who are you?\I am the Magical Girl of Love, guardian of the peace of the next town over.\My name is Marika Tachibana.\What? You mean there are other magical girls besides me?\Why wouldn't there be?\Oh, please... you don't have to say it so matter-of-factly...\Acting so mortified every time you transform... you can't call yourself a full-fledged magical girl! response:	I shall show you how a real magical girl transforms!
context: Wh-Who are you?\I am the Magical Girl of Love, guardian of the peace of the next town over.\My name is Marika Tachibana.\What? You mean there are other magical girls besides me?\Why wouldn't there be?\Oh, please... you don't have to say it so matter-of-factly...\Acting so mortified every time you transform... you can't call yourself a full-fledged magical girl!\I shall show you how a real magical girl transforms! response:	Let's go, Honda!
context: I am the Magical Girl of Love, guardian of the peace of the next town over.\My name is Marika Tachibana.\What? You mean there are other magical girls besides me?\Why wouldn't there be?\Oh, please... you don't have to say it so matter-of-factly...\Acting so mortified every time you transform... you can't call yourself a full-fledged magical girl!\I shall show you how a real magical girl transforms!\Let's go, Honda! response:	Understood!
context: My name is Marika Tachibana.\What? You mean there are other magical girls besides me?\Why wouldn't there be?\Oh, please... you don't have to say it so matter-of-factly...\Acting so mortified every time you transform... you can't call yourself a full-fledged magical girl!\I shall show you how a real magical girl transforms!\Let's go, Honda!\Understood! response:	Transform!
context: What? You mean there are other magical girls besides me?\Why wouldn't there be?\Oh, please... you don't have to say it so matter-of-factly...\Acting so mortified every time you transform... you can't call yourself a full-fledged magical girl!\I shall show you how a real magical girl transforms!\Let's go, Honda!\Understood!\Transform! response:	Magical Police Marika is here!
context: Why wouldn't there be?\Oh, please... you don't have to say it so matter-of-factly...\Acting so mortified every time you transform... you can't call yourself a full-fledged magical girl!\I shall show you how a real magical girl transforms!\Let's go, Honda!\Understood!\Transform!\Magical Police Marika is here! response:	Magical Police Marika - is here!
context: Oh, please... you don't have to say it so matter-of-factly...\Acting so mortified every time you transform... you can't call yourself a full-fledged magical girl!\I shall show you how a real magical girl transforms!\Let's go, Honda!\Understood!\Transform!\Magical Police Marika is here!\Magical Police Marika - is here! response:	What should I do? This girl doesn't have a shred of shame!
context: Acting so mortified every time you transform... you can't call yourself a full-fledged magical girl!\I shall show you how a real magical girl transforms!\Let's go, Honda!\Understood!\Transform!\Magical Police Marika is here!\Magical Police Marika - is here!\What should I do? This girl doesn't have a shred of shame! response:	You need to take a page out her book, too.
context: I shall show you how a real magical girl transforms!\Let's go, Honda!\Understood!\Transform!\Magical Police Marika is here!\Magical Police Marika - is here!\What should I do? This girl doesn't have a shred of shame!\You need to take a page out her book, too. response:	To Be Continued
context: Let's go, Honda!\Understood!\Transform!\Magical Police Marika is here!\Magical Police Marika - is here!\What should I do? This girl doesn't have a shred of shame!\You need to take a page out her book, too.\To Be Continued response:	Your fellow magical girls should all be here in this town.
context: Understood!\Transform!\Magical Police Marika is here!\Magical Police Marika - is here!\What should I do? This girl doesn't have a shred of shame!\You need to take a page out her book, too.\To Be Continued\Your fellow magical girls should all be here in this town. response:	Oh?
context: Transform!\Magical Police Marika is here!\Magical Police Marika - is here!\What should I do? This girl doesn't have a shred of shame!\You need to take a page out her book, too.\To Be Continued\Your fellow magical girls should all be here in this town.\Oh? response:	You don't look very happy.
context: Magical Police Marika is here!\Magical Police Marika - is here!\What should I do? This girl doesn't have a shred of shame!\You need to take a page out her book, too.\To Be Continued\Your fellow magical girls should all be here in this town.\Oh?\You don't look very happy. response:	But you were so gung-ho when you signed the contract!
context: Magical Police Marika - is here!\What should I do? This girl doesn't have a shred of shame!\You need to take a page out her book, too.\To Be Continued\Your fellow magical girls should all be here in this town.\Oh?\You don't look very happy.\But you were so gung-ho when you signed the contract! response:	Well, of course I was!
context: What should I do? This girl doesn't have a shred of shame!\You need to take a page out her book, too.\To Be Continued\Your fellow magical girls should all be here in this town.\Oh?\You don't look very happy.\But you were so gung-ho when you signed the contract!\Well, of course I was! response:	But what was that?
context: You need to take a page out her book, too.\To Be Continued\Your fellow magical girls should all be here in this town.\Oh?\You don't look very happy.\But you were so gung-ho when you signed the contract!\Well, of course I was!\But what was that? response:	Magical Gorilla Chitoge?
context: To Be Continued\Your fellow magical girls should all be here in this town.\Oh?\You don't look very happy.\But you were so gung-ho when you signed the contract!\Well, of course I was!\But what was that?\Magical Gorilla Chitoge? response:	What the heck is a Magical Gorilla!? It's not the least bit cute!
context: Your fellow magical girls should all be here in this town.\Oh?\You don't look very happy.\But you were so gung-ho when you signed the contract!\Well, of course I was!\But what was that?\Magical Gorilla Chitoge?\What the heck is a Magical Gorilla!? It's not the least bit cute! response:	And here I was, hoping for more magical girl-y, all frills and ribbons and adorable!
context: Oh?\You don't look very happy.\But you were so gung-ho when you signed the contract!\Well, of course I was!\But what was that?\Magical Gorilla Chitoge?\What the heck is a Magical Gorilla!? It's not the least bit cute!\And here I was, hoping for more magical girl-y, all frills and ribbons and adorable! response:	Really? I think you look adorable.
context: You don't look very happy.\But you were so gung-ho when you signed the contract!\Well, of course I was!\But what was that?\Magical Gorilla Chitoge?\What the heck is a Magical Gorilla!? It's not the least bit cute!\And here I was, hoping for more magical girl-y, all frills and ribbons and adorable!\Really? I think you look adorable. response:	Liar.
context: But you were so gung-ho when you signed the contract!\Well, of course I was!\But what was that?\Magical Gorilla Chitoge?\What the heck is a Magical Gorilla!? It's not the least bit cute!\And here I was, hoping for more magical girl-y, all frills and ribbons and adorable!\Really? I think you look adorable.\Liar. response:	Since a magical girl's costume takes the form of that girl's secret talents,
context: Well, of course I was!\But what was that?\Magical Gorilla Chitoge?\What the heck is a Magical Gorilla!? It's not the least bit cute!\And here I was, hoping for more magical girl-y, all frills and ribbons and adorable!\Really? I think you look adorable.\Liar.\Since a magical girl's costume takes the form of that girl's secret talents, response:	there's nothing I can do...
context: But what was that?\Magical Gorilla Chitoge?\What the heck is a Magical Gorilla!? It's not the least bit cute!\And here I was, hoping for more magical girl-y, all frills and ribbons and adorable!\Really? I think you look adorable.\Liar.\Since a magical girl's costume takes the form of that girl's secret talents,\there's nothing I can do... response:	Well, being able to pulverize concrete with a flick of my forehead was a surprise...
context: Magical Gorilla Chitoge?\What the heck is a Magical Gorilla!? It's not the least bit cute!\And here I was, hoping for more magical girl-y, all frills and ribbons and adorable!\Really? I think you look adorable.\Liar.\Since a magical girl's costume takes the form of that girl's secret talents,\there's nothing I can do...\Well, being able to pulverize concrete with a flick of my forehead was a surprise... response:	At any rate, we've got to find the other magical girls.
context: What the heck is a Magical Gorilla!? It's not the least bit cute!\And here I was, hoping for more magical girl-y, all frills and ribbons and adorable!\Really? I think you look adorable.\Liar.\Since a magical girl's costume takes the form of that girl's secret talents,\there's nothing I can do...\Well, being able to pulverize concrete with a flick of my forehead was a surprise...\At any rate, we've got to find the other magical girls. response:	Yeah, sure, we need to find them, but a cat talking in the city?
context: And here I was, hoping for more magical girl-y, all frills and ribbons and adorable!\Really? I think you look adorable.\Liar.\Since a magical girl's costume takes the form of that girl's secret talents,\there's nothing I can do...\Well, being able to pulverize concrete with a flick of my forehead was a surprise...\At any rate, we've got to find the other magical girls.\Yeah, sure, we need to find them, but a cat talking in the city? response:	Don't you think that's too conspicuous?
context: Really? I think you look adorable.\Liar.\Since a magical girl's costume takes the form of that girl's secret talents,\there's nothing I can do...\Well, being able to pulverize concrete with a flick of my forehead was a surprise...\At any rate, we've got to find the other magical girls.\Yeah, sure, we need to find them, but a cat talking in the city?\Don't you think that's too conspicuous? response:	Then should I assume my human form?
context: Liar.\Since a magical girl's costume takes the form of that girl's secret talents,\there's nothing I can do...\Well, being able to pulverize concrete with a flick of my forehead was a surprise...\At any rate, we've got to find the other magical girls.\Yeah, sure, we need to find them, but a cat talking in the city?\Don't you think that's too conspicuous?\Then should I assume my human form? response:	What? You mean you can do that?
context: Since a magical girl's costume takes the form of that girl's secret talents,\there's nothing I can do...\Well, being able to pulverize concrete with a flick of my forehead was a surprise...\At any rate, we've got to find the other magical girls.\Yeah, sure, we need to find them, but a cat talking in the city?\Don't you think that's too conspicuous?\Then should I assume my human form?\What? You mean you can do that? response:	Yes. Since it's a necessary skill for blending in with the human race.
context: there's nothing I can do...\Well, being able to pulverize concrete with a flick of my forehead was a surprise...\At any rate, we've got to find the other magical girls.\Yeah, sure, we need to find them, but a cat talking in the city?\Don't you think that's too conspicuous?\Then should I assume my human form?\What? You mean you can do that?\Yes. Since it's a necessary skill for blending in with the human race. response:	All right... transform!
context: Well, being able to pulverize concrete with a flick of my forehead was a surprise...\At any rate, we've got to find the other magical girls.\Yeah, sure, we need to find them, but a cat talking in the city?\Don't you think that's too conspicuous?\Then should I assume my human form?\What? You mean you can do that?\Yes. Since it's a necessary skill for blending in with the human race.\All right... transform! response:	Why do you get a cuter costume than me?
context: At any rate, we've got to find the other magical girls.\Yeah, sure, we need to find them, but a cat talking in the city?\Don't you think that's too conspicuous?\Then should I assume my human form?\What? You mean you can do that?\Yes. Since it's a necessary skill for blending in with the human race.\All right... transform!\Why do you get a cuter costume than me? response:	No fair! No fair! Trade me! Trade me!
context: Yeah, sure, we need to find them, but a cat talking in the city?\Don't you think that's too conspicuous?\Then should I assume my human form?\What? You mean you can do that?\Yes. Since it's a necessary skill for blending in with the human race.\All right... transform!\Why do you get a cuter costume than me?\No fair! No fair! Trade me! Trade me! response:	What? That's easy enough for you to say...
context: Don't you think that's too conspicuous?\Then should I assume my human form?\What? You mean you can do that?\Yes. Since it's a necessary skill for blending in with the human race.\All right... transform!\Why do you get a cuter costume than me?\No fair! No fair! Trade me! Trade me!\What? That's easy enough for you to say... response:	To Be Continued
context: Then should I assume my human form?\What? You mean you can do that?\Yes. Since it's a necessary skill for blending in with the human race.\All right... transform!\Why do you get a cuter costume than me?\No fair! No fair! Trade me! Trade me!\What? That's easy enough for you to say...\To Be Continued response:	I asked you to assemble in this town for one reason.
context: What? You mean you can do that?\Yes. Since it's a necessary skill for blending in with the human race.\All right... transform!\Why do you get a cuter costume than me?\No fair! No fair! Trade me! Trade me!\What? That's easy enough for you to say...\To Be Continued\I asked you to assemble in this town for one reason. response:	Starting now, I want you three to work as a team.
context: Yes. Since it's a necessary skill for blending in with the human race.\All right... transform!\Why do you get a cuter costume than me?\No fair! No fair! Trade me! Trade me!\What? That's easy enough for you to say...\To Be Continued\I asked you to assemble in this town for one reason.\Starting now, I want you three to work as a team. response:	To take on the evil minions who've been on a rampage of late,
context: All right... transform!\Why do you get a cuter costume than me?\No fair! No fair! Trade me! Trade me!\What? That's easy enough for you to say...\To Be Continued\I asked you to assemble in this town for one reason.\Starting now, I want you three to work as a team.\To take on the evil minions who've been on a rampage of late, response:	you're going to have to join forces and give it your best shot.
context: Why do you get a cuter costume than me?\No fair! No fair! Trade me! Trade me!\What? That's easy enough for you to say...\To Be Continued\I asked you to assemble in this town for one reason.\Starting now, I want you three to work as a team.\To take on the evil minions who've been on a rampage of late,\you're going to have to join forces and give it your best shot. response:	Well, in that case, you can count on us!
context: No fair! No fair! Trade me! Trade me!\What? That's easy enough for you to say...\To Be Continued\I asked you to assemble in this town for one reason.\Starting now, I want you three to work as a team.\To take on the evil minions who've been on a rampage of late,\you're going to have to join forces and give it your best shot.\Well, in that case, you can count on us! response:	I'm going to have comrades!
context: What? That's easy enough for you to say...\To Be Continued\I asked you to assemble in this town for one reason.\Starting now, I want you three to work as a team.\To take on the evil minions who've been on a rampage of late,\you're going to have to join forces and give it your best shot.\Well, in that case, you can count on us!\I'm going to have comrades! response:	Wonder if they'll be my friends?
context: To Be Continued\I asked you to assemble in this town for one reason.\Starting now, I want you three to work as a team.\To take on the evil minions who've been on a rampage of late,\you're going to have to join forces and give it your best shot.\Well, in that case, you can count on us!\I'm going to have comrades!\Wonder if they'll be my friends? response:	All right, let's get started.
context: I asked you to assemble in this town for one reason.\Starting now, I want you three to work as a team.\To take on the evil minions who've been on a rampage of late,\you're going to have to join forces and give it your best shot.\Well, in that case, you can count on us!\I'm going to have comrades!\Wonder if they'll be my friends?\All right, let's get started. response:	Can you decide on your leader?
context: Starting now, I want you three to work as a team.\To take on the evil minions who've been on a rampage of late,\you're going to have to join forces and give it your best shot.\Well, in that case, you can count on us!\I'm going to have comrades!\Wonder if they'll be my friends?\All right, let's get started.\Can you decide on your leader? response:	Leader?
context: To take on the evil minions who've been on a rampage of late,\you're going to have to join forces and give it your best shot.\Well, in that case, you can count on us!\I'm going to have comrades!\Wonder if they'll be my friends?\All right, let's get started.\Can you decide on your leader?\Leader? response:	If we're talking about leaders, based on ability and experience,
context: you're going to have to join forces and give it your best shot.\Well, in that case, you can count on us!\I'm going to have comrades!\Wonder if they'll be my friends?\All right, let's get started.\Can you decide on your leader?\Leader?\If we're talking about leaders, based on ability and experience, response:	surely there's no question that I should be the one!
context: Well, in that case, you can count on us!\I'm going to have comrades!\Wonder if they'll be my friends?\All right, let's get started.\Can you decide on your leader?\Leader?\If we're talking about leaders, based on ability and experience,\surely there's no question that I should be the one! response:	What? No fair!
context: I'm going to have comrades!\Wonder if they'll be my friends?\All right, let's get started.\Can you decide on your leader?\Leader?\If we're talking about leaders, based on ability and experience,\surely there's no question that I should be the one!\What? No fair! response:	I want to be the leader, too!
context: Wonder if they'll be my friends?\All right, let's get started.\Can you decide on your leader?\Leader?\If we're talking about leaders, based on ability and experience,\surely there's no question that I should be the one!\What? No fair!\I want to be the leader, too! response:	Handle With Care
context: All right, let's get started.\Can you decide on your leader?\Leader?\If we're talking about leaders, based on ability and experience,\surely there's no question that I should be the one!\What? No fair!\I want to be the leader, too!\Handle With Care response:	You only just became a magical girl the other day, you little newbie!
context: Can you decide on your leader?\Leader?\If we're talking about leaders, based on ability and experience,\surely there's no question that I should be the one!\What? No fair!\I want to be the leader, too!\Handle With Care\You only just became a magical girl the other day, you little newbie! response:	What does that have to do with anything?
context: Leader?\If we're talking about leaders, based on ability and experience,\surely there's no question that I should be the one!\What? No fair!\I want to be the leader, too!\Handle With Care\You only just became a magical girl the other day, you little newbie!\What does that have to do with anything? response:	Both of you, please calm down!
context: If we're talking about leaders, based on ability and experience,\surely there's no question that I should be the one!\What? No fair!\I want to be the leader, too!\Handle With Care\You only just became a magical girl the other day, you little newbie!\What does that have to do with anything?\Both of you, please calm down! response:	Now, now, let's play fair and decide via rock-paper-scissors.
context: surely there's no question that I should be the one!\What? No fair!\I want to be the leader, too!\Handle With Care\You only just became a magical girl the other day, you little newbie!\What does that have to do with anything?\Both of you, please calm down!\Now, now, let's play fair and decide via rock-paper-scissors. response:	Oh, no, I won!
context: What? No fair!\I want to be the leader, too!\Handle With Care\You only just became a magical girl the other day, you little newbie!\What does that have to do with anything?\Both of you, please calm down!\Now, now, let's play fair and decide via rock-paper-scissors.\Oh, no, I won! response:	Well, but just because I'm the leader now, it doesn't mean I get special privileges or anything...
context: I want to be the leader, too!\Handle With Care\You only just became a magical girl the other day, you little newbie!\What does that have to do with anything?\Both of you, please calm down!\Now, now, let's play fair and decide via rock-paper-scissors.\Oh, no, I won!\Well, but just because I'm the leader now, it doesn't mean I get special privileges or anything... response:	What? That's not true.
context: Handle With Care\You only just became a magical girl the other day, you little newbie!\What does that have to do with anything?\Both of you, please calm down!\Now, now, let's play fair and decide via rock-paper-scissors.\Oh, no, I won!\Well, but just because I'm the leader now, it doesn't mean I get special privileges or anything...\What? That's not true. response:	For starters, whenever you announce yourselves to the enemy, you always get the center position.
context: You only just became a magical girl the other day, you little newbie!\What does that have to do with anything?\Both of you, please calm down!\Now, now, let's play fair and decide via rock-paper-scissors.\Oh, no, I won!\Well, but just because I'm the leader now, it doesn't mean I get special privileges or anything...\What? That's not true.\For starters, whenever you announce yourselves to the enemy, you always get the center position. response:	Aside from that, in any and all situations, you get to monopolize the coolest lines and signature poses.
context: What does that have to do with anything?\Both of you, please calm down!\Now, now, let's play fair and decide via rock-paper-scissors.\Oh, no, I won!\Well, but just because I'm the leader now, it doesn't mean I get special privileges or anything...\What? That's not true.\For starters, whenever you announce yourselves to the enemy, you always get the center position.\Aside from that, in any and all situations, you get to monopolize the coolest lines and signature poses. response:	Though you do have other trivial tasks, as well.
context: Both of you, please calm down!\Now, now, let's play fair and decide via rock-paper-scissors.\Oh, no, I won!\Well, but just because I'm the leader now, it doesn't mean I get special privileges or anything...\What? That's not true.\For starters, whenever you announce yourselves to the enemy, you always get the center position.\Aside from that, in any and all situations, you get to monopolize the coolest lines and signature poses.\Though you do have other trivial tasks, as well. response:	Lucky her!
context: Now, now, let's play fair and decide via rock-paper-scissors.\Oh, no, I won!\Well, but just because I'm the leader now, it doesn't mean I get special privileges or anything...\What? That's not true.\For starters, whenever you announce yourselves to the enemy, you always get the center position.\Aside from that, in any and all situations, you get to monopolize the coolest lines and signature poses.\Though you do have other trivial tasks, as well.\Lucky her! response:	Shouldn't it be me who serves as our leader after all?
context: Oh, no, I won!\Well, but just because I'm the leader now, it doesn't mean I get special privileges or anything...\What? That's not true.\For starters, whenever you announce yourselves to the enemy, you always get the center position.\Aside from that, in any and all situations, you get to monopolize the coolest lines and signature poses.\Though you do have other trivial tasks, as well.\Lucky her!\Shouldn't it be me who serves as our leader after all? response:	What did you mean by other trivial tasks?
context: Well, but just because I'm the leader now, it doesn't mean I get special privileges or anything...\What? That's not true.\For starters, whenever you announce yourselves to the enemy, you always get the center position.\Aside from that, in any and all situations, you get to monopolize the coolest lines and signature poses.\Though you do have other trivial tasks, as well.\Lucky her!\Shouldn't it be me who serves as our leader after all?\What did you mean by other trivial tasks? response:	No biggie, just some simple admin work.
context: What? That's not true.\For starters, whenever you announce yourselves to the enemy, you always get the center position.\Aside from that, in any and all situations, you get to monopolize the coolest lines and signature poses.\Though you do have other trivial tasks, as well.\Lucky her!\Shouldn't it be me who serves as our leader after all?\What did you mean by other trivial tasks?\No biggie, just some simple admin work. response:	First, you're to write up a weekly report on your team activities and submit it to me.
