context: Are memories precious? response:	Yes! I wish I could gather every single one and keep them in a treasure box.
context: Tomorrow?\By any chance, is she the one who invited you?\If she did, that means... If she did, that means...\I invited Athena.\Eh? You did?\Really?\It was Athena's idea at first. She said, Once it gets warmer, let's go on a picnic, but...\But? response:	Spring came, but Athena's been so busy, we haven't had the chance to discuss it.
context: By any chance, is she the one who invited you?\If she did, that means... If she did, that means...\I invited Athena.\Eh? You did?\Really?\It was Athena's idea at first. She said, Once it gets warmer, let's go on a picnic, but...\But?\Spring came, but Athena's been so busy, we haven't had the chance to discuss it. response:	That's why...
context: If she did, that means... If she did, that means...\I invited Athena.\Eh? You did?\Really?\It was Athena's idea at first. She said, Once it gets warmer, let's go on a picnic, but...\But?\Spring came, but Athena's been so busy, we haven't had the chance to discuss it.\That's why... response:	So that's why you invited her.
context: I invited Athena.\Eh? You did?\Really?\It was Athena's idea at first. She said, Once it gets warmer, let's go on a picnic, but...\But?\Spring came, but Athena's been so busy, we haven't had the chance to discuss it.\That's why...\So that's why you invited her. response:	What was Athena's response?
context: Eh? You did?\Really?\It was Athena's idea at first. She said, Once it gets warmer, let's go on a picnic, but...\But?\Spring came, but Athena's been so busy, we haven't had the chance to discuss it.\That's why...\So that's why you invited her.\What was Athena's response? response:	Eh? Yes, well...
context: Really?\It was Athena's idea at first. She said, Once it gets warmer, let's go on a picnic, but...\But?\Spring came, but Athena's been so busy, we haven't had the chance to discuss it.\That's why...\So that's why you invited her.\What was Athena's response?\Eh? Yes, well... response:	It just so happens that Athena has a rare day off tomorrow, so...
context: It was Athena's idea at first. She said, Once it gets warmer, let's go on a picnic, but...\But?\Spring came, but Athena's been so busy, we haven't had the chance to discuss it.\That's why...\So that's why you invited her.\What was Athena's response?\Eh? Yes, well...\It just so happens that Athena has a rare day off tomorrow, so... response:	Well, I guess picnics are nice once in a while.
context: But?\Spring came, but Athena's been so busy, we haven't had the chance to discuss it.\That's why...\So that's why you invited her.\What was Athena's response?\Eh? Yes, well...\It just so happens that Athena has a rare day off tomorrow, so...\Well, I guess picnics are nice once in a while. response:	I hope you two have a fun picnic, Alice.
context: Spring came, but Athena's been so busy, we haven't had the chance to discuss it.\That's why...\So that's why you invited her.\What was Athena's response?\Eh? Yes, well...\It just so happens that Athena has a rare day off tomorrow, so...\Well, I guess picnics are nice once in a while.\I hope you two have a fun picnic, Alice. response:	Me too.
context: That's why...\So that's why you invited her.\What was Athena's response?\Eh? Yes, well...\It just so happens that Athena has a rare day off tomorrow, so...\Well, I guess picnics are nice once in a while.\I hope you two have a fun picnic, Alice.\Me too. response:	Do you remember that day Oboeteimasuka ano hi o
context: So that's why you invited her.\What was Athena's response?\Eh? Yes, well...\It just so happens that Athena has a rare day off tomorrow, so...\Well, I guess picnics are nice once in a while.\I hope you two have a fun picnic, Alice.\Me too.\Do you remember that day Oboeteimasuka ano hi o response:	When your heart suddenly began to race Futo kanjita tokimeki o
context: What was Athena's response?\Eh? Yes, well...\It just so happens that Athena has a rare day off tomorrow, so...\Well, I guess picnics are nice once in a while.\I hope you two have a fun picnic, Alice.\Me too.\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o response:	The rays from the blue sky were pouring over you... Aoi hizashi abite
context: Eh? Yes, well...\It just so happens that Athena has a rare day off tomorrow, so...\Well, I guess picnics are nice once in a while.\I hope you two have a fun picnic, Alice.\Me too.\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite response:	I couldn't look away, and when our eyes met Mitoreru to me ga atte
context: It just so happens that Athena has a rare day off tomorrow, so...\Well, I guess picnics are nice once in a while.\I hope you two have a fun picnic, Alice.\Me too.\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte response:	I couldn't help but smile Egao koboreta
context: Well, I guess picnics are nice once in a while.\I hope you two have a fun picnic, Alice.\Me too.\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta response:	It's just like a spiral Marude supiraare
context: I hope you two have a fun picnic, Alice.\Me too.\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare response:	I want to spend my days waving to you Itsumademo te o furitai hibi
context: Me too.\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi response:	This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi
context: Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi response:	An eternal spiral Zutto supiraare
context: When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare response:	There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru
context: The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru response:	When you climb the next hill, Tsugi no saka o nobottara
context: I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\When you climb the next hill, Tsugi no saka o nobottara response:	Let's meet again Mata aimashou
context: I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou response:	The Memories of That Precious Person...
context: It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou\The Memories of That Precious Person... response:	We'll leave early tomorrow morning.
context: I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou\The Memories of That Precious Person...\We'll leave early tomorrow morning. response:	First, we'll head towards the Canal Grande.
context: This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou\The Memories of That Precious Person...\We'll leave early tomorrow morning.\First, we'll head towards the Canal Grande. response:	If we turn around at this point in the canal,
context: An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou\The Memories of That Precious Person...\We'll leave early tomorrow morning.\First, we'll head towards the Canal Grande.\If we turn around at this point in the canal, response:	the morning sun should be sweeping over Neo-Venezia. It's supposed to be really beautiful.
context: There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou\The Memories of That Precious Person...\We'll leave early tomorrow morning.\First, we'll head towards the Canal Grande.\If we turn around at this point in the canal,\the morning sun should be sweeping over Neo-Venezia. It's supposed to be really beautiful. response:	After that, we'll head to Murano Island and have lunch.
context: When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou\The Memories of That Precious Person...\We'll leave early tomorrow morning.\First, we'll head towards the Canal Grande.\If we turn around at this point in the canal,\the morning sun should be sweeping over Neo-Venezia. It's supposed to be really beautiful.\After that, we'll head to Murano Island and have lunch. response:	Athena's late, isn't she?
context: Let's meet again Mata aimashou\The Memories of That Precious Person...\We'll leave early tomorrow morning.\First, we'll head towards the Canal Grande.\If we turn around at this point in the canal,\the morning sun should be sweeping over Neo-Venezia. It's supposed to be really beautiful.\After that, we'll head to Murano Island and have lunch.\Athena's late, isn't she? response:	I know! I'll draw up a schedule for tomorrow.
context: The Memories of That Precious Person...\We'll leave early tomorrow morning.\First, we'll head towards the Canal Grande.\If we turn around at this point in the canal,\the morning sun should be sweeping over Neo-Venezia. It's supposed to be really beautiful.\After that, we'll head to Murano Island and have lunch.\Athena's late, isn't she?\I know! I'll draw up a schedule for tomorrow. response:	That way Athena will understand right away.
context: We'll leave early tomorrow morning.\First, we'll head towards the Canal Grande.\If we turn around at this point in the canal,\the morning sun should be sweeping over Neo-Venezia. It's supposed to be really beautiful.\After that, we'll head to Murano Island and have lunch.\Athena's late, isn't she?\I know! I'll draw up a schedule for tomorrow.\That way Athena will understand right away. response:	Yes, yes.
context: First, we'll head towards the Canal Grande.\If we turn around at this point in the canal,\the morning sun should be sweeping over Neo-Venezia. It's supposed to be really beautiful.\After that, we'll head to Murano Island and have lunch.\Athena's late, isn't she?\I know! I'll draw up a schedule for tomorrow.\That way Athena will understand right away.\Yes, yes. response:	I'll bring two bananas tomorrow, one for dessert and one for snack time.
context: If we turn around at this point in the canal,\the morning sun should be sweeping over Neo-Venezia. It's supposed to be really beautiful.\After that, we'll head to Murano Island and have lunch.\Athena's late, isn't she?\I know! I'll draw up a schedule for tomorrow.\That way Athena will understand right away.\Yes, yes.\I'll bring two bananas tomorrow, one for dessert and one for snack time. response:	It gets really chilly after dark, doesn't it?
context: the morning sun should be sweeping over Neo-Venezia. It's supposed to be really beautiful.\After that, we'll head to Murano Island and have lunch.\Athena's late, isn't she?\I know! I'll draw up a schedule for tomorrow.\That way Athena will understand right away.\Yes, yes.\I'll bring two bananas tomorrow, one for dessert and one for snack time.\It gets really chilly after dark, doesn't it? response:	President Maa, it's still a little early, but let's go take a bath and warm ourselves up!
context: After that, we'll head to Murano Island and have lunch.\Athena's late, isn't she?\I know! I'll draw up a schedule for tomorrow.\That way Athena will understand right away.\Yes, yes.\I'll bring two bananas tomorrow, one for dessert and one for snack time.\It gets really chilly after dark, doesn't it?\President Maa, it's still a little early, but let's go take a bath and warm ourselves up! response:	But before that...
context: Athena's late, isn't she?\I know! I'll draw up a schedule for tomorrow.\That way Athena will understand right away.\Yes, yes.\I'll bring two bananas tomorrow, one for dessert and one for snack time.\It gets really chilly after dark, doesn't it?\President Maa, it's still a little early, but let's go take a bath and warm ourselves up!\But before that... response:	To Athena.
context: I know! I'll draw up a schedule for tomorrow.\That way Athena will understand right away.\Yes, yes.\I'll bring two bananas tomorrow, one for dessert and one for snack time.\It gets really chilly after dark, doesn't it?\President Maa, it's still a little early, but let's go take a bath and warm ourselves up!\But before that...\To Athena. response:	Okay, let's go, President Maa.
context: That way Athena will understand right away.\Yes, yes.\I'll bring two bananas tomorrow, one for dessert and one for snack time.\It gets really chilly after dark, doesn't it?\President Maa, it's still a little early, but let's go take a bath and warm ourselves up!\But before that...\To Athena.\Okay, let's go, President Maa. response:	Oh, that's right. We need to go to the cafeteria later...
context: Yes, yes.\I'll bring two bananas tomorrow, one for dessert and one for snack time.\It gets really chilly after dark, doesn't it?\President Maa, it's still a little early, but let's go take a bath and warm ourselves up!\But before that...\To Athena.\Okay, let's go, President Maa.\Oh, that's right. We need to go to the cafeteria later... response:	Let's bring lots of different teas, too.
context: I'll bring two bananas tomorrow, one for dessert and one for snack time.\It gets really chilly after dark, doesn't it?\President Maa, it's still a little early, but let's go take a bath and warm ourselves up!\But before that...\To Athena.\Okay, let's go, President Maa.\Oh, that's right. We need to go to the cafeteria later...\Let's bring lots of different teas, too. response:	How about a tea-naming quiz?
context: It gets really chilly after dark, doesn't it?\President Maa, it's still a little early, but let's go take a bath and warm ourselves up!\But before that...\To Athena.\Okay, let's go, President Maa.\Oh, that's right. We need to go to the cafeteria later...\Let's bring lots of different teas, too.\How about a tea-naming quiz? response:	Why don't we ask the cafeteria lady if she can recommend some rare teas?
context: President Maa, it's still a little early, but let's go take a bath and warm ourselves up!\But before that...\To Athena.\Okay, let's go, President Maa.\Oh, that's right. We need to go to the cafeteria later...\Let's bring lots of different teas, too.\How about a tea-naming quiz?\Why don't we ask the cafeteria lady if she can recommend some rare teas? response:	It's great, isn't it? They gave us so many bananas.
context: But before that...\To Athena.\Okay, let's go, President Maa.\Oh, that's right. We need to go to the cafeteria later...\Let's bring lots of different teas, too.\How about a tea-naming quiz?\Why don't we ask the cafeteria lady if she can recommend some rare teas?\It's great, isn't it? They gave us so many bananas. response:	Ah, looks like Athena is back.
context: To Athena.\Okay, let's go, President Maa.\Oh, that's right. We need to go to the cafeteria later...\Let's bring lots of different teas, too.\How about a tea-naming quiz?\Why don't we ask the cafeteria lady if she can recommend some rare teas?\It's great, isn't it? They gave us so many bananas.\Ah, looks like Athena is back. response:	Athena, you need to close the door properly, or...
context: Okay, let's go, President Maa.\Oh, that's right. We need to go to the cafeteria later...\Let's bring lots of different teas, too.\How about a tea-naming quiz?\Why don't we ask the cafeteria lady if she can recommend some rare teas?\It's great, isn't it? They gave us so many bananas.\Ah, looks like Athena is back.\Athena, you need to close the door properly, or... response:	She's asleep.
context: Oh, that's right. We need to go to the cafeteria later...\Let's bring lots of different teas, too.\How about a tea-naming quiz?\Why don't we ask the cafeteria lady if she can recommend some rare teas?\It's great, isn't it? They gave us so many bananas.\Ah, looks like Athena is back.\Athena, you need to close the door properly, or...\She's asleep. response:	I guess we just missed each other in the bath.
context: Let's bring lots of different teas, too.\How about a tea-naming quiz?\Why don't we ask the cafeteria lady if she can recommend some rare teas?\It's great, isn't it? They gave us so many bananas.\Ah, looks like Athena is back.\Athena, you need to close the door properly, or...\She's asleep.\I guess we just missed each other in the bath. response:	Athena. Athena!
context: How about a tea-naming quiz?\Why don't we ask the cafeteria lady if she can recommend some rare teas?\It's great, isn't it? They gave us so many bananas.\Ah, looks like Athena is back.\Athena, you need to close the door properly, or...\She's asleep.\I guess we just missed each other in the bath.\Athena. Athena! response:	I guess she's exhausted.
context: Why don't we ask the cafeteria lady if she can recommend some rare teas?\It's great, isn't it? They gave us so many bananas.\Ah, looks like Athena is back.\Athena, you need to close the door properly, or...\She's asleep.\I guess we just missed each other in the bath.\Athena. Athena!\I guess she's exhausted. response:	Dear Athena
context: It's great, isn't it? They gave us so many bananas.\Ah, looks like Athena is back.\Athena, you need to close the door properly, or...\She's asleep.\I guess we just missed each other in the bath.\Athena. Athena!\I guess she's exhausted.\Dear Athena response:	She must have had a last-minute booking...
context: Ah, looks like Athena is back.\Athena, you need to close the door properly, or...\She's asleep.\I guess we just missed each other in the bath.\Athena. Athena!\I guess she's exhausted.\Dear Athena\She must have had a last-minute booking... response:	President Maa, leave the lunch alone until we get to Murano Island!
context: Athena, you need to close the door properly, or...\She's asleep.\I guess we just missed each other in the bath.\Athena. Athena!\I guess she's exhausted.\Dear Athena\She must have had a last-minute booking...\President Maa, leave the lunch alone until we get to Murano Island! response:	Okay! This is now Murano Island!
context: She's asleep.\I guess we just missed each other in the bath.\Athena. Athena!\I guess she's exhausted.\Dear Athena\She must have had a last-minute booking...\President Maa, leave the lunch alone until we get to Murano Island!\Okay! This is now Murano Island! response:	We have sandwiches for lunch.
context: I guess we just missed each other in the bath.\Athena. Athena!\I guess she's exhausted.\Dear Athena\She must have had a last-minute booking...\President Maa, leave the lunch alone until we get to Murano Island!\Okay! This is now Murano Island!\We have sandwiches for lunch. response:	Eh? You're already full?
context: Athena. Athena!\I guess she's exhausted.\Dear Athena\She must have had a last-minute booking...\President Maa, leave the lunch alone until we get to Murano Island!\Okay! This is now Murano Island!\We have sandwiches for lunch.\Eh? You're already full? response:	That's no good. This lunch is for two people...
context: I guess she's exhausted.\Dear Athena\She must have had a last-minute booking...\President Maa, leave the lunch alone until we get to Murano Island!\Okay! This is now Murano Island!\We have sandwiches for lunch.\Eh? You're already full?\That's no good. This lunch is for two people... response:	Alice!
context: Dear Athena\She must have had a last-minute booking...\President Maa, leave the lunch alone until we get to Murano Island!\Okay! This is now Murano Island!\We have sandwiches for lunch.\Eh? You're already full?\That's no good. This lunch is for two people...\Alice! response:	Umm... I finished... work, so...
context: She must have had a last-minute booking...\President Maa, leave the lunch alone until we get to Murano Island!\Okay! This is now Murano Island!\We have sandwiches for lunch.\Eh? You're already full?\That's no good. This lunch is for two people...\Alice!\Umm... I finished... work, so... response:	Um, today... I suddenly got...
context: President Maa, leave the lunch alone until we get to Murano Island!\Okay! This is now Murano Island!\We have sandwiches for lunch.\Eh? You're already full?\That's no good. This lunch is for two people...\Alice!\Umm... I finished... work, so...\Um, today... I suddenly got... response:	I know.
context: Okay! This is now Murano Island!\We have sandwiches for lunch.\Eh? You're already full?\That's no good. This lunch is for two people...\Alice!\Umm... I finished... work, so...\Um, today... I suddenly got...\I know. response:	Um, it wasn't something I could...
context: We have sandwiches for lunch.\Eh? You're already full?\That's no good. This lunch is for two people...\Alice!\Umm... I finished... work, so...\Um, today... I suddenly got...\I know.\Um, it wasn't something I could... response:	It's fine.
context: Eh? You're already full?\That's no good. This lunch is for two people...\Alice!\Umm... I finished... work, so...\Um, today... I suddenly got...\I know.\Um, it wasn't something I could...\It's fine. response:	Um, Alice, why don't we go right now?
context: That's no good. This lunch is for two people...\Alice!\Umm... I finished... work, so...\Um, today... I suddenly got...\I know.\Um, it wasn't something I could...\It's fine.\Um, Alice, why don't we go right now? response:	We can't go very far, but-
context: Alice!\Umm... I finished... work, so...\Um, today... I suddenly got...\I know.\Um, it wasn't something I could...\It's fine.\Um, Alice, why don't we go right now?\We can't go very far, but- response:	I said it's fine, didn't I?! We can't go very far, but-
context: Umm... I finished... work, so...\Um, today... I suddenly got...\I know.\Um, it wasn't something I could...\It's fine.\Um, Alice, why don't we go right now?\We can't go very far, but-\I said it's fine, didn't I?! We can't go very far, but- response:	I said it's fine, didn't I?!
context: Um, today... I suddenly got...\I know.\Um, it wasn't something I could...\It's fine.\Um, Alice, why don't we go right now?\We can't go very far, but-\I said it's fine, didn't I?! We can't go very far, but-\I said it's fine, didn't I?! response:	Um, I... I'm sorry!
context: I know.\Um, it wasn't something I could...\It's fine.\Um, Alice, why don't we go right now?\We can't go very far, but-\I said it's fine, didn't I?! We can't go very far, but-\I said it's fine, didn't I?!\Um, I... I'm sorry! response:	Why are you apologizing?
context: Um, it wasn't something I could...\It's fine.\Um, Alice, why don't we go right now?\We can't go very far, but-\I said it's fine, didn't I?! We can't go very far, but-\I said it's fine, didn't I?!\Um, I... I'm sorry!\Why are you apologizing? response:	Alice!
context: It's fine.\Um, Alice, why don't we go right now?\We can't go very far, but-\I said it's fine, didn't I?! We can't go very far, but-\I said it's fine, didn't I?!\Um, I... I'm sorry!\Why are you apologizing?\Alice! response:	Why am I being so harsh to her?
context: Um, Alice, why don't we go right now?\We can't go very far, but-\I said it's fine, didn't I?! We can't go very far, but-\I said it's fine, didn't I?!\Um, I... I'm sorry!\Why are you apologizing?\Alice!\Why am I being so harsh to her? response:	It's not her fault...
context: We can't go very far, but-\I said it's fine, didn't I?! We can't go very far, but-\I said it's fine, didn't I?!\Um, I... I'm sorry!\Why are you apologizing?\Alice!\Why am I being so harsh to her?\It's not her fault... response:	Umm...
context: I said it's fine, didn't I?! We can't go very far, but-\I said it's fine, didn't I?!\Um, I... I'm sorry!\Why are you apologizing?\Alice!\Why am I being so harsh to her?\It's not her fault...\Umm... response:	President Aria's favorite mug!
context: I said it's fine, didn't I?!\Um, I... I'm sorry!\Why are you apologizing?\Alice!\Why am I being so harsh to her?\It's not her fault...\Umm...\President Aria's favorite mug! response:	My, my!
context: Um, I... I'm sorry!\Why are you apologizing?\Alice!\Why am I being so harsh to her?\It's not her fault...\Umm...\President Aria's favorite mug!\My, my! response:	Oh no! The phone's ringing!
context: Why are you apologizing?\Alice!\Why am I being so harsh to her?\It's not her fault...\Umm...\President Aria's favorite mug!\My, my!\Oh no! The phone's ringing! response:	Akari, I'll clean this up, so could you get it please?
context: Alice!\Why am I being so harsh to her?\It's not her fault...\Umm...\President Aria's favorite mug!\My, my!\Oh no! The phone's ringing!\Akari, I'll clean this up, so could you get it please? response:	Yes!
context: Why am I being so harsh to her?\It's not her fault...\Umm...\President Aria's favorite mug!\My, my!\Oh no! The phone's ringing!\Akari, I'll clean this up, so could you get it please?\Yes! response:	Coming!
context: It's not her fault...\Umm...\President Aria's favorite mug!\My, my!\Oh no! The phone's ringing!\Akari, I'll clean this up, so could you get it please?\Yes!\Coming! response:	Hello, this is the Aria Company.
context: Umm...\President Aria's favorite mug!\My, my!\Oh no! The phone's ringing!\Akari, I'll clean this up, so could you get it please?\Yes!\Coming!\Hello, this is the Aria Company. response:	Th-Th-Th-Th-Th-Th...
