context: You've been having things your way for a while... response:	But your reign ends here.
context: Call all the resident heroes!\Hello? This is the west wing, floor 2, conference room 7!\Should I shoot?\Yes, shoot!\Wait!\Listen to the message!\The Encircling Net of Justice\It's a pleasure to meet you, ladies and gentlemen of the Hero Association. response:	I am Gyoro-Gyoro, an officer in the Monster Association.
context: Hello? This is the west wing, floor 2, conference room 7!\Should I shoot?\Yes, shoot!\Wait!\Listen to the message!\The Encircling Net of Justice\It's a pleasure to meet you, ladies and gentlemen of the Hero Association.\I am Gyoro-Gyoro, an officer in the Monster Association. response:	As you already know, we have the son of one of your top executives in our custody.
context: Should I shoot?\Yes, shoot!\Wait!\Listen to the message!\The Encircling Net of Justice\It's a pleasure to meet you, ladies and gentlemen of the Hero Association.\I am Gyoro-Gyoro, an officer in the Monster Association.\As you already know, we have the son of one of your top executives in our custody. response:	What are your demands?
context: Yes, shoot!\Wait!\Listen to the message!\The Encircling Net of Justice\It's a pleasure to meet you, ladies and gentlemen of the Hero Association.\I am Gyoro-Gyoro, an officer in the Monster Association.\As you already know, we have the son of one of your top executives in our custody.\What are your demands? response:	We have but one request.
context: Wait!\Listen to the message!\The Encircling Net of Justice\It's a pleasure to meet you, ladies and gentlemen of the Hero Association.\I am Gyoro-Gyoro, an officer in the Monster Association.\As you already know, we have the son of one of your top executives in our custody.\What are your demands?\We have but one request. response:	We are tired of being oppressed just because we're monsters,
context: Listen to the message!\The Encircling Net of Justice\It's a pleasure to meet you, ladies and gentlemen of the Hero Association.\I am Gyoro-Gyoro, an officer in the Monster Association.\As you already know, we have the son of one of your top executives in our custody.\What are your demands?\We have but one request.\We are tired of being oppressed just because we're monsters, response:	so we ask that you leave us alone.
context: The Encircling Net of Justice\It's a pleasure to meet you, ladies and gentlemen of the Hero Association.\I am Gyoro-Gyoro, an officer in the Monster Association.\As you already know, we have the son of one of your top executives in our custody.\What are your demands?\We have but one request.\We are tired of being oppressed just because we're monsters,\so we ask that you leave us alone. response:	We are currently hiding in an abandoned part of City Z,
context: It's a pleasure to meet you, ladies and gentlemen of the Hero Association.\I am Gyoro-Gyoro, an officer in the Monster Association.\As you already know, we have the son of one of your top executives in our custody.\What are your demands?\We have but one request.\We are tired of being oppressed just because we're monsters,\so we ask that you leave us alone.\We are currently hiding in an abandoned part of City Z, response:	where we monsters help each other out while we try to make ends meet.
context: I am Gyoro-Gyoro, an officer in the Monster Association.\As you already know, we have the son of one of your top executives in our custody.\What are your demands?\We have but one request.\We are tired of being oppressed just because we're monsters,\so we ask that you leave us alone.\We are currently hiding in an abandoned part of City Z,\where we monsters help each other out while we try to make ends meet. response:	We would never ask for something as luxurious as living freely in the outside world.
context: As you already know, we have the son of one of your top executives in our custody.\What are your demands?\We have but one request.\We are tired of being oppressed just because we're monsters,\so we ask that you leave us alone.\We are currently hiding in an abandoned part of City Z,\where we monsters help each other out while we try to make ends meet.\We would never ask for something as luxurious as living freely in the outside world. response:	We will never attack another civilian again, nor intrude upon your way of life.
context: What are your demands?\We have but one request.\We are tired of being oppressed just because we're monsters,\so we ask that you leave us alone.\We are currently hiding in an abandoned part of City Z,\where we monsters help each other out while we try to make ends meet.\We would never ask for something as luxurious as living freely in the outside world.\We will never attack another civilian again, nor intrude upon your way of life. response:	All we ask for in return is our own sanctuary.
context: We have but one request.\We are tired of being oppressed just because we're monsters,\so we ask that you leave us alone.\We are currently hiding in an abandoned part of City Z,\where we monsters help each other out while we try to make ends meet.\We would never ask for something as luxurious as living freely in the outside world.\We will never attack another civilian again, nor intrude upon your way of life.\All we ask for in return is our own sanctuary. response:	Our dream is the realization of a society in which
context: We are tired of being oppressed just because we're monsters,\so we ask that you leave us alone.\We are currently hiding in an abandoned part of City Z,\where we monsters help each other out while we try to make ends meet.\We would never ask for something as luxurious as living freely in the outside world.\We will never attack another civilian again, nor intrude upon your way of life.\All we ask for in return is our own sanctuary.\Our dream is the realization of a society in which response:	humans and monsters can live together in harmony.
context: so we ask that you leave us alone.\We are currently hiding in an abandoned part of City Z,\where we monsters help each other out while we try to make ends meet.\We would never ask for something as luxurious as living freely in the outside world.\We will never attack another civilian again, nor intrude upon your way of life.\All we ask for in return is our own sanctuary.\Our dream is the realization of a society in which\humans and monsters can live together in harmony. response:	Then why did you insist on rampaging?
context: We are currently hiding in an abandoned part of City Z,\where we monsters help each other out while we try to make ends meet.\We would never ask for something as luxurious as living freely in the outside world.\We will never attack another civilian again, nor intrude upon your way of life.\All we ask for in return is our own sanctuary.\Our dream is the realization of a society in which\humans and monsters can live together in harmony.\Then why did you insist on rampaging? response:	By showing you our power,
context: where we monsters help each other out while we try to make ends meet.\We would never ask for something as luxurious as living freely in the outside world.\We will never attack another civilian again, nor intrude upon your way of life.\All we ask for in return is our own sanctuary.\Our dream is the realization of a society in which\humans and monsters can live together in harmony.\Then why did you insist on rampaging?\By showing you our power, response:	we thought you'd find that you could benefit from agreeing to this idea, as well.
context: We would never ask for something as luxurious as living freely in the outside world.\We will never attack another civilian again, nor intrude upon your way of life.\All we ask for in return is our own sanctuary.\Our dream is the realization of a society in which\humans and monsters can live together in harmony.\Then why did you insist on rampaging?\By showing you our power,\we thought you'd find that you could benefit from agreeing to this idea, as well. response:	I'm sure we want to avoid any further casualties on either side.
context: We will never attack another civilian again, nor intrude upon your way of life.\All we ask for in return is our own sanctuary.\Our dream is the realization of a society in which\humans and monsters can live together in harmony.\Then why did you insist on rampaging?\By showing you our power,\we thought you'd find that you could benefit from agreeing to this idea, as well.\I'm sure we want to avoid any further casualties on either side. response:	So they're asking for a cease-fire. Just like I thought they would.
context: All we ask for in return is our own sanctuary.\Our dream is the realization of a society in which\humans and monsters can live together in harmony.\Then why did you insist on rampaging?\By showing you our power,\we thought you'd find that you could benefit from agreeing to this idea, as well.\I'm sure we want to avoid any further casualties on either side.\So they're asking for a cease-fire. Just like I thought they would. response:	Very well.
context: Our dream is the realization of a society in which\humans and monsters can live together in harmony.\Then why did you insist on rampaging?\By showing you our power,\we thought you'd find that you could benefit from agreeing to this idea, as well.\I'm sure we want to avoid any further casualties on either side.\So they're asking for a cease-fire. Just like I thought they would.\Very well. response:	We promise that we will not engage the Monster Association from here on out.
context: humans and monsters can live together in harmony.\Then why did you insist on rampaging?\By showing you our power,\we thought you'd find that you could benefit from agreeing to this idea, as well.\I'm sure we want to avoid any further casualties on either side.\So they're asking for a cease-fire. Just like I thought they would.\Very well.\We promise that we will not engage the Monster Association from here on out. response:	So you should release your hostage immediately.
context: Then why did you insist on rampaging?\By showing you our power,\we thought you'd find that you could benefit from agreeing to this idea, as well.\I'm sure we want to avoid any further casualties on either side.\So they're asking for a cease-fire. Just like I thought they would.\Very well.\We promise that we will not engage the Monster Association from here on out.\So you should release your hostage immediately. response:	You stupid monsters better enjoy this brief moment of peace.
context: By showing you our power,\we thought you'd find that you could benefit from agreeing to this idea, as well.\I'm sure we want to avoid any further casualties on either side.\So they're asking for a cease-fire. Just like I thought they would.\Very well.\We promise that we will not engage the Monster Association from here on out.\So you should release your hostage immediately.\You stupid monsters better enjoy this brief moment of peace. response:	We're going to take you down before you can grow any stron
context: we thought you'd find that you could benefit from agreeing to this idea, as well.\I'm sure we want to avoid any further casualties on either side.\So they're asking for a cease-fire. Just like I thought they would.\Very well.\We promise that we will not engage the Monster Association from here on out.\So you should release your hostage immediately.\You stupid monsters better enjoy this brief moment of peace.\We're going to take you down before you can grow any stron response:	Whoops. My finger slipped.
context: I'm sure we want to avoid any further casualties on either side.\So they're asking for a cease-fire. Just like I thought they would.\Very well.\We promise that we will not engage the Monster Association from here on out.\So you should release your hostage immediately.\You stupid monsters better enjoy this brief moment of peace.\We're going to take you down before you can grow any stron\Whoops. My finger slipped. response:	Come, now. We're still in the middle of negotiations, Destrochloridium.
context: So they're asking for a cease-fire. Just like I thought they would.\Very well.\We promise that we will not engage the Monster Association from here on out.\So you should release your hostage immediately.\You stupid monsters better enjoy this brief moment of peace.\We're going to take you down before you can grow any stron\Whoops. My finger slipped.\Come, now. We're still in the middle of negotiations, Destrochloridium. response:	My bad. I need to work on my patience.
context: Very well.\We promise that we will not engage the Monster Association from here on out.\So you should release your hostage immediately.\You stupid monsters better enjoy this brief moment of peace.\We're going to take you down before you can grow any stron\Whoops. My finger slipped.\Come, now. We're still in the middle of negotiations, Destrochloridium.\My bad. I need to work on my patience. response:	He killed him!
context: We promise that we will not engage the Monster Association from here on out.\So you should release your hostage immediately.\You stupid monsters better enjoy this brief moment of peace.\We're going to take you down before you can grow any stron\Whoops. My finger slipped.\Come, now. We're still in the middle of negotiations, Destrochloridium.\My bad. I need to work on my patience.\He killed him! response:	Do you really have any intention to negotiate?
context: So you should release your hostage immediately.\You stupid monsters better enjoy this brief moment of peace.\We're going to take you down before you can grow any stron\Whoops. My finger slipped.\Come, now. We're still in the middle of negotiations, Destrochloridium.\My bad. I need to work on my patience.\He killed him!\Do you really have any intention to negotiate? response:	It's so fun to mess with you adults.
context: You stupid monsters better enjoy this brief moment of peace.\We're going to take you down before you can grow any stron\Whoops. My finger slipped.\Come, now. We're still in the middle of negotiations, Destrochloridium.\My bad. I need to work on my patience.\He killed him!\Do you really have any intention to negotiate?\It's so fun to mess with you adults. response:	Humans and monsters living in harmony?
context: We're going to take you down before you can grow any stron\Whoops. My finger slipped.\Come, now. We're still in the middle of negotiations, Destrochloridium.\My bad. I need to work on my patience.\He killed him!\Do you really have any intention to negotiate?\It's so fun to mess with you adults.\Humans and monsters living in harmony? response:	I think that's my best joke yet!
context: Whoops. My finger slipped.\Come, now. We're still in the middle of negotiations, Destrochloridium.\My bad. I need to work on my patience.\He killed him!\Do you really have any intention to negotiate?\It's so fun to mess with you adults.\Humans and monsters living in harmony?\I think that's my best joke yet! response:	You people are even dumber than I thought
context: Come, now. We're still in the middle of negotiations, Destrochloridium.\My bad. I need to work on my patience.\He killed him!\Do you really have any intention to negotiate?\It's so fun to mess with you adults.\Humans and monsters living in harmony?\I think that's my best joke yet!\You people are even dumber than I thought response:	if you were going to accept that demand so quickly.
context: My bad. I need to work on my patience.\He killed him!\Do you really have any intention to negotiate?\It's so fun to mess with you adults.\Humans and monsters living in harmony?\I think that's my best joke yet!\You people are even dumber than I thought\if you were going to accept that demand so quickly. response:	What do you plan to do with the hostage?!
context: He killed him!\Do you really have any intention to negotiate?\It's so fun to mess with you adults.\Humans and monsters living in harmony?\I think that's my best joke yet!\You people are even dumber than I thought\if you were going to accept that demand so quickly.\What do you plan to do with the hostage?! response:	Don't tell me you already
context: Do you really have any intention to negotiate?\It's so fun to mess with you adults.\Humans and monsters living in harmony?\I think that's my best joke yet!\You people are even dumber than I thought\if you were going to accept that demand so quickly.\What do you plan to do with the hostage?!\Don't tell me you already response:	Oh, he's still alive.
context: It's so fun to mess with you adults.\Humans and monsters living in harmony?\I think that's my best joke yet!\You people are even dumber than I thought\if you were going to accept that demand so quickly.\What do you plan to do with the hostage?!\Don't tell me you already\Oh, he's still alive. response:	We took a hostage so you cowards couldn't run away.
context: Humans and monsters living in harmony?\I think that's my best joke yet!\You people are even dumber than I thought\if you were going to accept that demand so quickly.\What do you plan to do with the hostage?!\Don't tell me you already\Oh, he's still alive.\We took a hostage so you cowards couldn't run away. response:	We'll give you just three days.
context: I think that's my best joke yet!\You people are even dumber than I thought\if you were going to accept that demand so quickly.\What do you plan to do with the hostage?!\Don't tell me you already\Oh, he's still alive.\We took a hostage so you cowards couldn't run away.\We'll give you just three days. response:	In that time, gather your strongest heroes and come rescue the brat!
context: You people are even dumber than I thought\if you were going to accept that demand so quickly.\What do you plan to do with the hostage?!\Don't tell me you already\Oh, he's still alive.\We took a hostage so you cowards couldn't run away.\We'll give you just three days.\In that time, gather your strongest heroes and come rescue the brat! response:	Lord Orochi and the rest of the Monster Association will be waiting for you.
context: if you were going to accept that demand so quickly.\What do you plan to do with the hostage?!\Don't tell me you already\Oh, he's still alive.\We took a hostage so you cowards couldn't run away.\We'll give you just three days.\In that time, gather your strongest heroes and come rescue the brat!\Lord Orochi and the rest of the Monster Association will be waiting for you. response:	It self-destructed?
context: What do you plan to do with the hostage?!\Don't tell me you already\Oh, he's still alive.\We took a hostage so you cowards couldn't run away.\We'll give you just three days.\In that time, gather your strongest heroes and come rescue the brat!\Lord Orochi and the rest of the Monster Association will be waiting for you.\It self-destructed? response:	There's still one more left! Where are the heroes?
context: Don't tell me you already\Oh, he's still alive.\We took a hostage so you cowards couldn't run away.\We'll give you just three days.\In that time, gather your strongest heroes and come rescue the brat!\Lord Orochi and the rest of the Monster Association will be waiting for you.\It self-destructed?\There's still one more left! Where are the heroes? response:	Are we done talking?
context: Oh, he's still alive.\We took a hostage so you cowards couldn't run away.\We'll give you just three days.\In that time, gather your strongest heroes and come rescue the brat!\Lord Orochi and the rest of the Monster Association will be waiting for you.\It self-destructed?\There's still one more left! Where are the heroes?\Are we done talking? response:	In that case...
context: We took a hostage so you cowards couldn't run away.\We'll give you just three days.\In that time, gather your strongest heroes and come rescue the brat!\Lord Orochi and the rest of the Monster Association will be waiting for you.\It self-destructed?\There's still one more left! Where are the heroes?\Are we done talking?\In that case... response:	I can go crazy now, right?!
context: We'll give you just three days.\In that time, gather your strongest heroes and come rescue the brat!\Lord Orochi and the rest of the Monster Association will be waiting for you.\It self-destructed?\There's still one more left! Where are the heroes?\Are we done talking?\In that case...\I can go crazy now, right?! response:	Class S Rank 11 Superalloy Blackluster
context: In that time, gather your strongest heroes and come rescue the brat!\Lord Orochi and the rest of the Monster Association will be waiting for you.\It self-destructed?\There's still one more left! Where are the heroes?\Are we done talking?\In that case...\I can go crazy now, right?!\Class S Rank 11 Superalloy Blackluster response:	Was this the emergency you guys called about?
context: Lord Orochi and the rest of the Monster Association will be waiting for you.\It self-destructed?\There's still one more left! Where are the heroes?\Are we done talking?\In that case...\I can go crazy now, right?!\Class S Rank 11 Superalloy Blackluster\Was this the emergency you guys called about? response:	Ah, Blackluster. Thank goodness we asked you to stay here to defend headquarters.
context: It self-destructed?\There's still one more left! Where are the heroes?\Are we done talking?\In that case...\I can go crazy now, right?!\Class S Rank 11 Superalloy Blackluster\Was this the emergency you guys called about?\Ah, Blackluster. Thank goodness we asked you to stay here to defend headquarters. response:	No! It's not over yet!
context: There's still one more left! Where are the heroes?\Are we done talking?\In that case...\I can go crazy now, right?!\Class S Rank 11 Superalloy Blackluster\Was this the emergency you guys called about?\Ah, Blackluster. Thank goodness we asked you to stay here to defend headquarters.\No! It's not over yet! response:	That thing's a parasite! It's true form's out now!
context: Are we done talking?\In that case...\I can go crazy now, right?!\Class S Rank 11 Superalloy Blackluster\Was this the emergency you guys called about?\Ah, Blackluster. Thank goodness we asked you to stay here to defend headquarters.\No! It's not over yet!\That thing's a parasite! It's true form's out now! response:	You guys are way too slow.
context: In that case...\I can go crazy now, right?!\Class S Rank 11 Superalloy Blackluster\Was this the emergency you guys called about?\Ah, Blackluster. Thank goodness we asked you to stay here to defend headquarters.\No! It's not over yet!\That thing's a parasite! It's true form's out now!\You guys are way too slow. response:	This Class S hero's body is mine!
context: I can go crazy now, right?!\Class S Rank 11 Superalloy Blackluster\Was this the emergency you guys called about?\Ah, Blackluster. Thank goodness we asked you to stay here to defend headquarters.\No! It's not over yet!\That thing's a parasite! It's true form's out now!\You guys are way too slow.\This Class S hero's body is mine! response:	His body's as hard as steel! My drills
context: Class S Rank 11 Superalloy Blackluster\Was this the emergency you guys called about?\Ah, Blackluster. Thank goodness we asked you to stay here to defend headquarters.\No! It's not over yet!\That thing's a parasite! It's true form's out now!\You guys are way too slow.\This Class S hero's body is mine!\His body's as hard as steel! My drills response:	Impossible! This is just skin, isn't it?!
context: Was this the emergency you guys called about?\Ah, Blackluster. Thank goodness we asked you to stay here to defend headquarters.\No! It's not over yet!\That thing's a parasite! It's true form's out now!\You guys are way too slow.\This Class S hero's body is mine!\His body's as hard as steel! My drills\Impossible! This is just skin, isn't it?! response:	What are you talking about?
context: Ah, Blackluster. Thank goodness we asked you to stay here to defend headquarters.\No! It's not over yet!\That thing's a parasite! It's true form's out now!\You guys are way too slow.\This Class S hero's body is mine!\His body's as hard as steel! My drills\Impossible! This is just skin, isn't it?!\What are you talking about? response:	Of course you don't stand a chance. My skin's toughened by steel.
context: No! It's not over yet!\That thing's a parasite! It's true form's out now!\You guys are way too slow.\This Class S hero's body is mine!\His body's as hard as steel! My drills\Impossible! This is just skin, isn't it?!\What are you talking about?\Of course you don't stand a chance. My skin's toughened by steel. response:	The Monster Association must be extremely confident.
context: That thing's a parasite! It's true form's out now!\You guys are way too slow.\This Class S hero's body is mine!\His body's as hard as steel! My drills\Impossible! This is just skin, isn't it?!\What are you talking about?\Of course you don't stand a chance. My skin's toughened by steel.\The Monster Association must be extremely confident. response:	What do we do?
context: You guys are way too slow.\This Class S hero's body is mine!\His body's as hard as steel! My drills\Impossible! This is just skin, isn't it?!\What are you talking about?\Of course you don't stand a chance. My skin's toughened by steel.\The Monster Association must be extremely confident.\What do we do? response:	What do you mean? Our plan from the start was to rescue the hostage!
context: This Class S hero's body is mine!\His body's as hard as steel! My drills\Impossible! This is just skin, isn't it?!\What are you talking about?\Of course you don't stand a chance. My skin's toughened by steel.\The Monster Association must be extremely confident.\What do we do?\What do you mean? Our plan from the start was to rescue the hostage! response:	You're okay with sending our Class S heroes in, knowing it's a trap?!
context: His body's as hard as steel! My drills\Impossible! This is just skin, isn't it?!\What are you talking about?\Of course you don't stand a chance. My skin's toughened by steel.\The Monster Association must be extremely confident.\What do we do?\What do you mean? Our plan from the start was to rescue the hostage!\You're okay with sending our Class S heroes in, knowing it's a trap?! response:	Well, this isn't good.
context: Impossible! This is just skin, isn't it?!\What are you talking about?\Of course you don't stand a chance. My skin's toughened by steel.\The Monster Association must be extremely confident.\What do we do?\What do you mean? Our plan from the start was to rescue the hostage!\You're okay with sending our Class S heroes in, knowing it's a trap?!\Well, this isn't good. response:	The executives are actually panicking over the Monster Association.
context: What are you talking about?\Of course you don't stand a chance. My skin's toughened by steel.\The Monster Association must be extremely confident.\What do we do?\What do you mean? Our plan from the start was to rescue the hostage!\You're okay with sending our Class S heroes in, knowing it's a trap?!\Well, this isn't good.\The executives are actually panicking over the Monster Association. response:	I should just...
context: Of course you don't stand a chance. My skin's toughened by steel.\The Monster Association must be extremely confident.\What do we do?\What do you mean? Our plan from the start was to rescue the hostage!\You're okay with sending our Class S heroes in, knowing it's a trap?!\Well, this isn't good.\The executives are actually panicking over the Monster Association.\I should just... response:	Ahem.
context: The Monster Association must be extremely confident.\What do we do?\What do you mean? Our plan from the start was to rescue the hostage!\You're okay with sending our Class S heroes in, knowing it's a trap?!\Well, this isn't good.\The executives are actually panicking over the Monster Association.\I should just...\Ahem. response:	Eyes over here!
context: What do we do?\What do you mean? Our plan from the start was to rescue the hostage!\You're okay with sending our Class S heroes in, knowing it's a trap?!\Well, this isn't good.\The executives are actually panicking over the Monster Association.\I should just...\Ahem.\Eyes over here! response:	How's that?
context: What do you mean? Our plan from the start was to rescue the hostage!\You're okay with sending our Class S heroes in, knowing it's a trap?!\Well, this isn't good.\The executives are actually panicking over the Monster Association.\I should just...\Ahem.\Eyes over here!\How's that? response:	H-How's what, Blackluster?
context: You're okay with sending our Class S heroes in, knowing it's a trap?!\Well, this isn't good.\The executives are actually panicking over the Monster Association.\I should just...\Ahem.\Eyes over here!\How's that?\H-How's what, Blackluster? response:	Have you calmed down a little after staring at my muscles?
context: Well, this isn't good.\The executives are actually panicking over the Monster Association.\I should just...\Ahem.\Eyes over here!\How's that?\H-How's what, Blackluster?\Have you calmed down a little after staring at my muscles? response:	We, uh...
context: The executives are actually panicking over the Monster Association.\I should just...\Ahem.\Eyes over here!\How's that?\H-How's what, Blackluster?\Have you calmed down a little after staring at my muscles?\We, uh... response:	We should be just as confident.
context: I should just...\Ahem.\Eyes over here!\How's that?\H-How's what, Blackluster?\Have you calmed down a little after staring at my muscles?\We, uh...\We should be just as confident. response:	Huh?
context: Ahem.\Eyes over here!\How's that?\H-How's what, Blackluster?\Have you calmed down a little after staring at my muscles?\We, uh...\We should be just as confident.\Huh? response:	It appears the time has come when I can truly shine.
context: Eyes over here!\How's that?\H-How's what, Blackluster?\Have you calmed down a little after staring at my muscles?\We, uh...\We should be just as confident.\Huh?\It appears the time has come when I can truly shine. response:	I'm more worried about the enemy.
context: How's that?\H-How's what, Blackluster?\Have you calmed down a little after staring at my muscles?\We, uh...\We should be just as confident.\Huh?\It appears the time has come when I can truly shine.\I'm more worried about the enemy. response:	I'm hoping I can at least go all-out on them.
