context: Up you go! response:	And, again!
context: Have a good day.\Bye!\Episode 1 Running and Inviting\Sabure, whoa.\Miyamoto!\Oh, good morning.\On your way to practice, too?\Yeah. response:	Isn't it kind of sad to play batminton by yourself?
context: Bye!\Episode 1 Running and Inviting\Sabure, whoa.\Miyamoto!\Oh, good morning.\On your way to practice, too?\Yeah.\Isn't it kind of sad to play batminton by yourself? response:	It's bad minton.
context: Episode 1 Running and Inviting\Sabure, whoa.\Miyamoto!\Oh, good morning.\On your way to practice, too?\Yeah.\Isn't it kind of sad to play batminton by yourself?\It's bad minton. response:	Good luck, forever alone!
context: Sabure, whoa.\Miyamoto!\Oh, good morning.\On your way to practice, too?\Yeah.\Isn't it kind of sad to play batminton by yourself?\It's bad minton.\Good luck, forever alone! response:	Shut up.
context: Miyamoto!\Oh, good morning.\On your way to practice, too?\Yeah.\Isn't it kind of sad to play batminton by yourself?\It's bad minton.\Good luck, forever alone!\Shut up. response:	Are you okay with taking the train home?
context: Oh, good morning.\On your way to practice, too?\Yeah.\Isn't it kind of sad to play batminton by yourself?\It's bad minton.\Good luck, forever alone!\Shut up.\Are you okay with taking the train home? response:	Yeah. See you later.
context: On your way to practice, too?\Yeah.\Isn't it kind of sad to play batminton by yourself?\It's bad minton.\Good luck, forever alone!\Shut up.\Are you okay with taking the train home?\Yeah. See you later. response:	Shirohamazaka High School
context: Yeah.\Isn't it kind of sad to play batminton by yourself?\It's bad minton.\Good luck, forever alone!\Shut up.\Are you okay with taking the train home?\Yeah. See you later.\Shirohamazaka High School response:	Thank you so much.
context: Isn't it kind of sad to play batminton by yourself?\It's bad minton.\Good luck, forever alone!\Shut up.\Are you okay with taking the train home?\Yeah. See you later.\Shirohamazaka High School\Thank you so much. response:	Anything for our best customer.
context: It's bad minton.\Good luck, forever alone!\Shut up.\Are you okay with taking the train home?\Yeah. See you later.\Shirohamazaka High School\Thank you so much.\Anything for our best customer. response:	It's Saturday, so I'll be home early.
context: Good luck, forever alone!\Shut up.\Are you okay with taking the train home?\Yeah. See you later.\Shirohamazaka High School\Thank you so much.\Anything for our best customer.\It's Saturday, so I'll be home early. response:	See you in the evening!
context: Shut up.\Are you okay with taking the train home?\Yeah. See you later.\Shirohamazaka High School\Thank you so much.\Anything for our best customer.\It's Saturday, so I'll be home early.\See you in the evening! response:	If you keep eating like that, you'll get fat.
context: Are you okay with taking the train home?\Yeah. See you later.\Shirohamazaka High School\Thank you so much.\Anything for our best customer.\It's Saturday, so I'll be home early.\See you in the evening!\If you keep eating like that, you'll get fat. response:	I'm off, Sabure.
context: Yeah. See you later.\Shirohamazaka High School\Thank you so much.\Anything for our best customer.\It's Saturday, so I'll be home early.\See you in the evening!\If you keep eating like that, you'll get fat.\I'm off, Sabure. response:	Bye!
context: Shirohamazaka High School\Thank you so much.\Anything for our best customer.\It's Saturday, so I'll be home early.\See you in the evening!\If you keep eating like that, you'll get fat.\I'm off, Sabure.\Bye! response:	Running out, headlong
context: Thank you so much.\Anything for our best customer.\It's Saturday, so I'll be home early.\See you in the evening!\If you keep eating like that, you'll get fat.\I'm off, Sabure.\Bye!\Running out, headlong response:	toward a miracle.
context: Anything for our best customer.\It's Saturday, so I'll be home early.\See you in the evening!\If you keep eating like that, you'll get fat.\I'm off, Sabure.\Bye!\Running out, headlong\toward a miracle. response:	Looking up, waving at the light.
context: It's Saturday, so I'll be home early.\See you in the evening!\If you keep eating like that, you'll get fat.\I'm off, Sabure.\Bye!\Running out, headlong\toward a miracle.\Looking up, waving at the light. response:	Connecting our unstoppable feelings.
context: See you in the evening!\If you keep eating like that, you'll get fat.\I'm off, Sabure.\Bye!\Running out, headlong\toward a miracle.\Looking up, waving at the light.\Connecting our unstoppable feelings. response:	Stop there.
context: If you keep eating like that, you'll get fat.\I'm off, Sabure.\Bye!\Running out, headlong\toward a miracle.\Looking up, waving at the light.\Connecting our unstoppable feelings.\Stop there. response:	You all need to listen to the other sections.
context: I'm off, Sabure.\Bye!\Running out, headlong\toward a miracle.\Looking up, waving at the light.\Connecting our unstoppable feelings.\Stop there.\You all need to listen to the other sections. response:	Sopranos, tone it down.
context: Bye!\Running out, headlong\toward a miracle.\Looking up, waving at the light.\Connecting our unstoppable feelings.\Stop there.\You all need to listen to the other sections.\Sopranos, tone it down. response:	Tenors, mezzo-forte.
context: Running out, headlong\toward a miracle.\Looking up, waving at the light.\Connecting our unstoppable feelings.\Stop there.\You all need to listen to the other sections.\Sopranos, tone it down.\Tenors, mezzo-forte. response:	I shouldn't have to keep telling you this.
context: toward a miracle.\Looking up, waving at the light.\Connecting our unstoppable feelings.\Stop there.\You all need to listen to the other sections.\Sopranos, tone it down.\Tenors, mezzo-forte.\I shouldn't have to keep telling you this. response:	There's only a month left until the recital.
context: Looking up, waving at the light.\Connecting our unstoppable feelings.\Stop there.\You all need to listen to the other sections.\Sopranos, tone it down.\Tenors, mezzo-forte.\I shouldn't have to keep telling you this.\There's only a month left until the recital. response:	We'll work on the sections after school.
context: Connecting our unstoppable feelings.\Stop there.\You all need to listen to the other sections.\Sopranos, tone it down.\Tenors, mezzo-forte.\I shouldn't have to keep telling you this.\There's only a month left until the recital.\We'll work on the sections after school. response:	Dismissed.
context: Stop there.\You all need to listen to the other sections.\Sopranos, tone it down.\Tenors, mezzo-forte.\I shouldn't have to keep telling you this.\There's only a month left until the recital.\We'll work on the sections after school.\Dismissed. response:	Miyamoto-san.
context: You all need to listen to the other sections.\Sopranos, tone it down.\Tenors, mezzo-forte.\I shouldn't have to keep telling you this.\There's only a month left until the recital.\We'll work on the sections after school.\Dismissed.\Miyamoto-san. response:	Bow.
context: Sopranos, tone it down.\Tenors, mezzo-forte.\I shouldn't have to keep telling you this.\There's only a month left until the recital.\We'll work on the sections after school.\Dismissed.\Miyamoto-san.\Bow. response:	Thank you very much!
context: Tenors, mezzo-forte.\I shouldn't have to keep telling you this.\There's only a month left until the recital.\We'll work on the sections after school.\Dismissed.\Miyamoto-san.\Bow.\Thank you very much! response:	You want to sing, don't you?
context: I shouldn't have to keep telling you this.\There's only a month left until the recital.\We'll work on the sections after school.\Dismissed.\Miyamoto-san.\Bow.\Thank you very much!\You want to sing, don't you? response:	Huh?
context: There's only a month left until the recital.\We'll work on the sections after school.\Dismissed.\Miyamoto-san.\Bow.\Thank you very much!\You want to sing, don't you?\Huh? response:	I have the song memorized,
context: We'll work on the sections after school.\Dismissed.\Miyamoto-san.\Bow.\Thank you very much!\You want to sing, don't you?\Huh?\I have the song memorized, response:	so you don't need to turn the pages for me anymore.
context: Dismissed.\Miyamoto-san.\Bow.\Thank you very much!\You want to sing, don't you?\Huh?\I have the song memorized,\so you don't need to turn the pages for me anymore. response:	Oh?
context: Miyamoto-san.\Bow.\Thank you very much!\You want to sing, don't you?\Huh?\I have the song memorized,\so you don't need to turn the pages for me anymore.\Oh? response:	This is our last performance this year,
context: Bow.\Thank you very much!\You want to sing, don't you?\Huh?\I have the song memorized,\so you don't need to turn the pages for me anymore.\Oh?\This is our last performance this year, response:	so why don't you talk to the vice principal?
context: Thank you very much!\You want to sing, don't you?\Huh?\I have the song memorized,\so you don't need to turn the pages for me anymore.\Oh?\This is our last performance this year,\so why don't you talk to the vice principal? response:	Great idea! I will!
context: You want to sing, don't you?\Huh?\I have the song memorized,\so you don't need to turn the pages for me anymore.\Oh?\This is our last performance this year,\so why don't you talk to the vice principal?\Great idea! I will! response:	Good morning, Sakai-san!
context: Huh?\I have the song memorized,\so you don't need to turn the pages for me anymore.\Oh?\This is our last performance this year,\so why don't you talk to the vice principal?\Great idea! I will!\Good morning, Sakai-san! response:	Morning.
context: I have the song memorized,\so you don't need to turn the pages for me anymore.\Oh?\This is our last performance this year,\so why don't you talk to the vice principal?\Great idea! I will!\Good morning, Sakai-san!\Morning. response:	Oh wow, your plant is really cute!
context: so you don't need to turn the pages for me anymore.\Oh?\This is our last performance this year,\so why don't you talk to the vice principal?\Great idea! I will!\Good morning, Sakai-san!\Morning.\Oh wow, your plant is really cute! response:	Are those fresh flowers?
context: Oh?\This is our last performance this year,\so why don't you talk to the vice principal?\Great idea! I will!\Good morning, Sakai-san!\Morning.\Oh wow, your plant is really cute!\Are those fresh flowers? response:	Yeah.
context: This is our last performance this year,\so why don't you talk to the vice principal?\Great idea! I will!\Good morning, Sakai-san!\Morning.\Oh wow, your plant is really cute!\Are those fresh flowers?\Yeah. response:	I snipped some hydrangeas from home.
context: so why don't you talk to the vice principal?\Great idea! I will!\Good morning, Sakai-san!\Morning.\Oh wow, your plant is really cute!\Are those fresh flowers?\Yeah.\I snipped some hydrangeas from home. response:	Home?
context: Great idea! I will!\Good morning, Sakai-san!\Morning.\Oh wow, your plant is really cute!\Are those fresh flowers?\Yeah.\I snipped some hydrangeas from home.\Home? response:	Morning!
context: Good morning, Sakai-san!\Morning.\Oh wow, your plant is really cute!\Are those fresh flowers?\Yeah.\I snipped some hydrangeas from home.\Home?\Morning! response:	Hey!
context: Morning.\Oh wow, your plant is really cute!\Are those fresh flowers?\Yeah.\I snipped some hydrangeas from home.\Home?\Morning!\Hey! response:	Good timing, Konatsu. Help me wrap these.
context: Oh wow, your plant is really cute!\Are those fresh flowers?\Yeah.\I snipped some hydrangeas from home.\Home?\Morning!\Hey!\Good timing, Konatsu. Help me wrap these. response:	Hurry, before Miss Takahashi shows up!
context: Are those fresh flowers?\Yeah.\I snipped some hydrangeas from home.\Home?\Morning!\Hey!\Good timing, Konatsu. Help me wrap these.\Hurry, before Miss Takahashi shows up! response:	You should have done that at home.
context: Yeah.\I snipped some hydrangeas from home.\Home?\Morning!\Hey!\Good timing, Konatsu. Help me wrap these.\Hurry, before Miss Takahashi shows up!\You should have done that at home. response:	Sawa, I need your help over here, too!
context: I snipped some hydrangeas from home.\Home?\Morning!\Hey!\Good timing, Konatsu. Help me wrap these.\Hurry, before Miss Takahashi shows up!\You should have done that at home.\Sawa, I need your help over here, too! response:	Sure, one second.
context: Home?\Morning!\Hey!\Good timing, Konatsu. Help me wrap these.\Hurry, before Miss Takahashi shows up!\You should have done that at home.\Sawa, I need your help over here, too!\Sure, one second. response:	Konatsu, can I see your math printout?
context: Morning!\Hey!\Good timing, Konatsu. Help me wrap these.\Hurry, before Miss Takahashi shows up!\You should have done that at home.\Sawa, I need your help over here, too!\Sure, one second.\Konatsu, can I see your math printout? response:	Ta-da!
context: Hey!\Good timing, Konatsu. Help me wrap these.\Hurry, before Miss Takahashi shows up!\You should have done that at home.\Sawa, I need your help over here, too!\Sure, one second.\Konatsu, can I see your math printout?\Ta-da! response:	You guys are my slaves today.
context: Good timing, Konatsu. Help me wrap these.\Hurry, before Miss Takahashi shows up!\You should have done that at home.\Sawa, I need your help over here, too!\Sure, one second.\Konatsu, can I see your math printout?\Ta-da!\You guys are my slaves today. response:	Where in Austria did you live?
context: Hurry, before Miss Takahashi shows up!\You should have done that at home.\Sawa, I need your help over here, too!\Sure, one second.\Konatsu, can I see your math printout?\Ta-da!\You guys are my slaves today.\Where in Austria did you live? response:	In Wien.
context: You should have done that at home.\Sawa, I need your help over here, too!\Sure, one second.\Konatsu, can I see your math printout?\Ta-da!\You guys are my slaves today.\Where in Austria did you live?\In Wien. response:	Wien? Oh, you mean Vienna.
context: Sawa, I need your help over here, too!\Sure, one second.\Konatsu, can I see your math printout?\Ta-da!\You guys are my slaves today.\Where in Austria did you live?\In Wien.\Wien? Oh, you mean Vienna. response:	I'm sorry I wasn't able to get a uniform on time.
context: Sure, one second.\Konatsu, can I see your math printout?\Ta-da!\You guys are my slaves today.\Where in Austria did you live?\In Wien.\Wien? Oh, you mean Vienna.\I'm sorry I wasn't able to get a uniform on time. response:	Don't worry about it.
context: Konatsu, can I see your math printout?\Ta-da!\You guys are my slaves today.\Where in Austria did you live?\In Wien.\Wien? Oh, you mean Vienna.\I'm sorry I wasn't able to get a uniform on time.\Don't worry about it. response:	It must be very hard to move back here
context: Ta-da!\You guys are my slaves today.\Where in Austria did you live?\In Wien.\Wien? Oh, you mean Vienna.\I'm sorry I wasn't able to get a uniform on time.\Don't worry about it.\It must be very hard to move back here response:	in your third year of high school.
context: You guys are my slaves today.\Where in Austria did you live?\In Wien.\Wien? Oh, you mean Vienna.\I'm sorry I wasn't able to get a uniform on time.\Don't worry about it.\It must be very hard to move back here\in your third year of high school. response:	I'll have someone show you around after school.
context: Where in Austria did you live?\In Wien.\Wien? Oh, you mean Vienna.\I'm sorry I wasn't able to get a uniform on time.\Don't worry about it.\It must be very hard to move back here\in your third year of high school.\I'll have someone show you around after school. response:	Thank you very much.
context: In Wien.\Wien? Oh, you mean Vienna.\I'm sorry I wasn't able to get a uniform on time.\Don't worry about it.\It must be very hard to move back here\in your third year of high school.\I'll have someone show you around after school.\Thank you very much. response:	Tanaka! Late again?
context: Wien? Oh, you mean Vienna.\I'm sorry I wasn't able to get a uniform on time.\Don't worry about it.\It must be very hard to move back here\in your third year of high school.\I'll have someone show you around after school.\Thank you very much.\Tanaka! Late again? response:	Wait right here. I'll call you in shortly.
context: I'm sorry I wasn't able to get a uniform on time.\Don't worry about it.\It must be very hard to move back here\in your third year of high school.\I'll have someone show you around after school.\Thank you very much.\Tanaka! Late again?\Wait right here. I'll call you in shortly. response:	Okay.
context: Don't worry about it.\It must be very hard to move back here\in your third year of high school.\I'll have someone show you around after school.\Thank you very much.\Tanaka! Late again?\Wait right here. I'll call you in shortly.\Okay. response:	All right, class, take your seats.
context: It must be very hard to move back here\in your third year of high school.\I'll have someone show you around after school.\Thank you very much.\Tanaka! Late again?\Wait right here. I'll call you in shortly.\Okay.\All right, class, take your seats. response:	Today, we'll
context: in your third year of high school.\I'll have someone show you around after school.\Thank you very much.\Tanaka! Late again?\Wait right here. I'll call you in shortly.\Okay.\All right, class, take your seats.\Today, we'll response:	Present bouquets!
context: I'll have someone show you around after school.\Thank you very much.\Tanaka! Late again?\Wait right here. I'll call you in shortly.\Okay.\All right, class, take your seats.\Today, we'll\Present bouquets! response:	Miss Takai Thank You So Much! Have a Healthy Baby! Boy or Girl?
context: Thank you very much.\Tanaka! Late again?\Wait right here. I'll call you in shortly.\Okay.\All right, class, take your seats.\Today, we'll\Present bouquets!\Miss Takai Thank You So Much! Have a Healthy Baby! Boy or Girl? response:	Thank you! Congratulations!
context: Tanaka! Late again?\Wait right here. I'll call you in shortly.\Okay.\All right, class, take your seats.\Today, we'll\Present bouquets!\Miss Takai Thank You So Much! Have a Healthy Baby! Boy or Girl?\Thank you! Congratulations! response:	It's just maternity leave,
context: Wait right here. I'll call you in shortly.\Okay.\All right, class, take your seats.\Today, we'll\Present bouquets!\Miss Takai Thank You So Much! Have a Healthy Baby! Boy or Girl?\Thank you! Congratulations!\It's just maternity leave, response:	but if I'm not back by graduation, I'm sorry.
context: Okay.\All right, class, take your seats.\Today, we'll\Present bouquets!\Miss Takai Thank You So Much! Have a Healthy Baby! Boy or Girl?\Thank you! Congratulations!\It's just maternity leave,\but if I'm not back by graduation, I'm sorry. response:	Could we do our graduation ceremony right now?
context: All right, class, take your seats.\Today, we'll\Present bouquets!\Miss Takai Thank You So Much! Have a Healthy Baby! Boy or Girl?\Thank you! Congratulations!\It's just maternity leave,\but if I'm not back by graduation, I'm sorry.\Could we do our graduation ceremony right now? response:	Hey.
context: Today, we'll\Present bouquets!\Miss Takai Thank You So Much! Have a Healthy Baby! Boy or Girl?\Thank you! Congratulations!\It's just maternity leave,\but if I'm not back by graduation, I'm sorry.\Could we do our graduation ceremony right now?\Hey. response:	What, you wanna sing Pomp and Circumstance with everyone?
context: Present bouquets!\Miss Takai Thank You So Much! Have a Healthy Baby! Boy or Girl?\Thank you! Congratulations!\It's just maternity leave,\but if I'm not back by graduation, I'm sorry.\Could we do our graduation ceremony right now?\Hey.\What, you wanna sing Pomp and Circumstance with everyone? response:	Sakai-san, would you sing it?
context: Miss Takai Thank You So Much! Have a Healthy Baby! Boy or Girl?\Thank you! Congratulations!\It's just maternity leave,\but if I'm not back by graduation, I'm sorry.\Could we do our graduation ceremony right now?\Hey.\What, you wanna sing Pomp and Circumstance with everyone?\Sakai-san, would you sing it? response:	Yeah, could you?
context: Thank you! Congratulations!\It's just maternity leave,\but if I'm not back by graduation, I'm sorry.\Could we do our graduation ceremony right now?\Hey.\What, you wanna sing Pomp and Circumstance with everyone?\Sakai-san, would you sing it?\Yeah, could you? response:	You've been studying music, right?
context: It's just maternity leave,\but if I'm not back by graduation, I'm sorry.\Could we do our graduation ceremony right now?\Hey.\What, you wanna sing Pomp and Circumstance with everyone?\Sakai-san, would you sing it?\Yeah, could you?\You've been studying music, right? response:	I want to hear you sing!
context: but if I'm not back by graduation, I'm sorry.\Could we do our graduation ceremony right now?\Hey.\What, you wanna sing Pomp and Circumstance with everyone?\Sakai-san, would you sing it?\Yeah, could you?\You've been studying music, right?\I want to hear you sing! response:	All right, all right.
context: Could we do our graduation ceremony right now?\Hey.\What, you wanna sing Pomp and Circumstance with everyone?\Sakai-san, would you sing it?\Yeah, could you?\You've been studying music, right?\I want to hear you sing!\All right, all right. response:	You all know who I want to hear last today.
context: Hey.\What, you wanna sing Pomp and Circumstance with everyone?\Sakai-san, would you sing it?\Yeah, could you?\You've been studying music, right?\I want to hear you sing!\All right, all right.\You all know who I want to hear last today. response:	Our repeat offender.
context: What, you wanna sing Pomp and Circumstance with everyone?\Sakai-san, would you sing it?\Yeah, could you?\You've been studying music, right?\I want to hear you sing!\All right, all right.\You all know who I want to hear last today.\Our repeat offender. response:	Tanaka Taichi!
context: Sakai-san, would you sing it?\Yeah, could you?\You've been studying music, right?\I want to hear you sing!\All right, all right.\You all know who I want to hear last today.\Our repeat offender.\Tanaka Taichi! response:	Huh?
context: Yeah, could you?\You've been studying music, right?\I want to hear you sing!\All right, all right.\You all know who I want to hear last today.\Our repeat offender.\Tanaka Taichi!\Huh? response:	I come early every morning for practice! I wasn't late today, either!
context: You've been studying music, right?\I want to hear you sing!\All right, all right.\You all know who I want to hear last today.\Our repeat offender.\Tanaka Taichi!\Huh?\I come early every morning for practice! I wasn't late today, either! response:	Excuses, excuses.
context: I want to hear you sing!\All right, all right.\You all know who I want to hear last today.\Our repeat offender.\Tanaka Taichi!\Huh?\I come early every morning for practice! I wasn't late today, either!\Excuses, excuses. response:	Oh, men.
context: All right, all right.\You all know who I want to hear last today.\Our repeat offender.\Tanaka Taichi!\Huh?\I come early every morning for practice! I wasn't late today, either!\Excuses, excuses.\Oh, men. response:	Fine, then I'll sing.
context: You all know who I want to hear last today.\Our repeat offender.\Tanaka Taichi!\Huh?\I come early every morning for practice! I wasn't late today, either!\Excuses, excuses.\Oh, men.\Fine, then I'll sing. response:	I will now perform Shirahamazaka High's school song.
context: Our repeat offender.\Tanaka Taichi!\Huh?\I come early every morning for practice! I wasn't late today, either!\Excuses, excuses.\Oh, men.\Fine, then I'll sing.\I will now perform Shirahamazaka High's school song. response:	I want to hear the voice of the white beach,
context: Tanaka Taichi!\Huh?\I come early every morning for practice! I wasn't late today, either!\Excuses, excuses.\Oh, men.\Fine, then I'll sing.\I will now perform Shirahamazaka High's school song.\I want to hear the voice of the white beach, response:	so let's climb that winding slope.
context: Huh?\I come early every morning for practice! I wasn't late today, either!\Excuses, excuses.\Oh, men.\Fine, then I'll sing.\I will now perform Shirahamazaka High's school song.\I want to hear the voice of the white beach,\so let's climb that winding slope. response:	Oh, no!
context: I come early every morning for practice! I wasn't late today, either!\Excuses, excuses.\Oh, men.\Fine, then I'll sing.\I will now perform Shirahamazaka High's school song.\I want to hear the voice of the white beach,\so let's climb that winding slope.\Oh, no! response:	My dear friends...
context: Excuses, excuses.\Oh, men.\Fine, then I'll sing.\I will now perform Shirahamazaka High's school song.\I want to hear the voice of the white beach,\so let's climb that winding slope.\Oh, no!\My dear friends... response:	I'm so sorry!
context: Oh, men.\Fine, then I'll sing.\I will now perform Shirahamazaka High's school song.\I want to hear the voice of the white beach,\so let's climb that winding slope.\Oh, no!\My dear friends...\I'm so sorry! response:	I've been away from Japan for twelve years,
context: Fine, then I'll sing.\I will now perform Shirahamazaka High's school song.\I want to hear the voice of the white beach,\so let's climb that winding slope.\Oh, no!\My dear friends...\I'm so sorry!\I've been away from Japan for twelve years, response:	but I'll try my best to get used to everything quickly.
context: I will now perform Shirahamazaka High's school song.\I want to hear the voice of the white beach,\so let's climb that winding slope.\Oh, no!\My dear friends...\I'm so sorry!\I've been away from Japan for twelve years,\but I'll try my best to get used to everything quickly. response:	Right now, as my only friends are books,
context: I want to hear the voice of the white beach,\so let's climb that winding slope.\Oh, no!\My dear friends...\I'm so sorry!\I've been away from Japan for twelve years,\but I'll try my best to get used to everything quickly.\Right now, as my only friends are books, response:	I beseech you to bless me with your favor.
context: so let's climb that winding slope.\Oh, no!\My dear friends...\I'm so sorry!\I've been away from Japan for twelve years,\but I'll try my best to get used to everything quickly.\Right now, as my only friends are books,\I beseech you to bless me with your favor. response:	Kneeling?
context: Oh, no!\My dear friends...\I'm so sorry!\I've been away from Japan for twelve years,\but I'll try my best to get used to everything quickly.\Right now, as my only friends are books,\I beseech you to bless me with your favor.\Kneeling? response:	It is now noon.
context: My dear friends...\I'm so sorry!\I've been away from Japan for twelve years,\but I'll try my best to get used to everything quickly.\Right now, as my only friends are books,\I beseech you to bless me with your favor.\Kneeling?\It is now noon. response:	Tanaka, please show him around.
context: I'm so sorry!\I've been away from Japan for twelve years,\but I'll try my best to get used to everything quickly.\Right now, as my only friends are books,\I beseech you to bless me with your favor.\Kneeling?\It is now noon.\Tanaka, please show him around. response:	Okay. Let's go.
