context: Stella! response:	She's alive.
context: You're cursed to die.\So give me your left arm.\It's my arm that you want?\Yeah.\That part looks the most usable right now.\I'll give you a part of me in exchange.\That way, you'll have a body that can never die.\I can't trust you. response:	Are you saying you have another option?
context: So give me your left arm.\It's my arm that you want?\Yeah.\That part looks the most usable right now.\I'll give you a part of me in exchange.\That way, you'll have a body that can never die.\I can't trust you.\Are you saying you have another option? response:	You're doing it.
context: It's my arm that you want?\Yeah.\That part looks the most usable right now.\I'll give you a part of me in exchange.\That way, you'll have a body that can never die.\I can't trust you.\Are you saying you have another option?\You're doing it. response:	Do I just need to give you my arm?
context: Yeah.\That part looks the most usable right now.\I'll give you a part of me in exchange.\That way, you'll have a body that can never die.\I can't trust you.\Are you saying you have another option?\You're doing it.\Do I just need to give you my arm? response:	First, let's make sure my body doesn't reject it.
context: That part looks the most usable right now.\I'll give you a part of me in exchange.\That way, you'll have a body that can never die.\I can't trust you.\Are you saying you have another option?\You're doing it.\Do I just need to give you my arm?\First, let's make sure my body doesn't reject it. response:	There.
context: I'll give you a part of me in exchange.\That way, you'll have a body that can never die.\I can't trust you.\Are you saying you have another option?\You're doing it.\Do I just need to give you my arm?\First, let's make sure my body doesn't reject it.\There. response:	Now it's your turn.
context: That way, you'll have a body that can never die.\I can't trust you.\Are you saying you have another option?\You're doing it.\Do I just need to give you my arm?\First, let's make sure my body doesn't reject it.\There.\Now it's your turn. response:	What? Are you scared?
context: I can't trust you.\Are you saying you have another option?\You're doing it.\Do I just need to give you my arm?\First, let's make sure my body doesn't reject it.\There.\Now it's your turn.\What? Are you scared? response:	You might be freed from your curse.
context: Are you saying you have another option?\You're doing it.\Do I just need to give you my arm?\First, let's make sure my body doesn't reject it.\There.\Now it's your turn.\What? Are you scared?\You might be freed from your curse. response:	It's okay.
context: You're doing it.\Do I just need to give you my arm?\First, let's make sure my body doesn't reject it.\There.\Now it's your turn.\What? Are you scared?\You might be freed from your curse.\It's okay. response:	You won't change into another form or anything.
context: Do I just need to give you my arm?\First, let's make sure my body doesn't reject it.\There.\Now it's your turn.\What? Are you scared?\You might be freed from your curse.\It's okay.\You won't change into another form or anything. response:	Even if I did...
context: First, let's make sure my body doesn't reject it.\There.\Now it's your turn.\What? Are you scared?\You might be freed from your curse.\It's okay.\You won't change into another form or anything.\Even if I did... response:	I wouldn't care.
context: There.\Now it's your turn.\What? Are you scared?\You might be freed from your curse.\It's okay.\You won't change into another form or anything.\Even if I did...\I wouldn't care. response:	Why are you so...
context: Now it's your turn.\What? Are you scared?\You might be freed from your curse.\It's okay.\You won't change into another form or anything.\Even if I did...\I wouldn't care.\Why are you so... response:	What?
context: What? Are you scared?\You might be freed from your curse.\It's okay.\You won't change into another form or anything.\Even if I did...\I wouldn't care.\Why are you so...\What? response:	Nothing. I was just thinking about how I still hate you.
context: You might be freed from your curse.\It's okay.\You won't change into another form or anything.\Even if I did...\I wouldn't care.\Why are you so...\What?\Nothing. I was just thinking about how I still hate you. response:	I'll help you.
context: It's okay.\You won't change into another form or anything.\Even if I did...\I wouldn't care.\Why are you so...\What?\Nothing. I was just thinking about how I still hate you.\I'll help you. response:	There.
context: You won't change into another form or anything.\Even if I did...\I wouldn't care.\Why are you so...\What?\Nothing. I was just thinking about how I still hate you.\I'll help you.\There. response:	Transplant complete.
context: Even if I did...\I wouldn't care.\Why are you so...\What?\Nothing. I was just thinking about how I still hate you.\I'll help you.\There.\Transplant complete. response:	Don't worry, you won't die just from bleeding.
context: I wouldn't care.\Why are you so...\What?\Nothing. I was just thinking about how I still hate you.\I'll help you.\There.\Transplant complete.\Don't worry, you won't die just from bleeding. response:	It doesn't seem like my body's rejecting it.
context: Why are you so...\What?\Nothing. I was just thinking about how I still hate you.\I'll help you.\There.\Transplant complete.\Don't worry, you won't die just from bleeding.\It doesn't seem like my body's rejecting it. response:	Your eyeball makes the world look bright and shiny.
context: What?\Nothing. I was just thinking about how I still hate you.\I'll help you.\There.\Transplant complete.\Don't worry, you won't die just from bleeding.\It doesn't seem like my body's rejecting it.\Your eyeball makes the world look bright and shiny. response:	I envy you.
context: Nothing. I was just thinking about how I still hate you.\I'll help you.\There.\Transplant complete.\Don't worry, you won't die just from bleeding.\It doesn't seem like my body's rejecting it.\Your eyeball makes the world look bright and shiny.\I envy you. response:	We're the only people in this world who see what we do.
context: I'll help you.\There.\Transplant complete.\Don't worry, you won't die just from bleeding.\It doesn't seem like my body's rejecting it.\Your eyeball makes the world look bright and shiny.\I envy you.\We're the only people in this world who see what we do. response:	I'll have your arm once the curse settles in.
context: There.\Transplant complete.\Don't worry, you won't die just from bleeding.\It doesn't seem like my body's rejecting it.\Your eyeball makes the world look bright and shiny.\I envy you.\We're the only people in this world who see what we do.\I'll have your arm once the curse settles in. response:	Don't worry. It'll all be done while you're asleep.
context: Transplant complete.\Don't worry, you won't die just from bleeding.\It doesn't seem like my body's rejecting it.\Your eyeball makes the world look bright and shiny.\I envy you.\We're the only people in this world who see what we do.\I'll have your arm once the curse settles in.\Don't worry. It'll all be done while you're asleep. response:	I'm going to borrow the power that's left in your eye.
context: Don't worry, you won't die just from bleeding.\It doesn't seem like my body's rejecting it.\Your eyeball makes the world look bright and shiny.\I envy you.\We're the only people in this world who see what we do.\I'll have your arm once the curse settles in.\Don't worry. It'll all be done while you're asleep.\I'm going to borrow the power that's left in your eye. response:	What are you...
context: It doesn't seem like my body's rejecting it.\Your eyeball makes the world look bright and shiny.\I envy you.\We're the only people in this world who see what we do.\I'll have your arm once the curse settles in.\Don't worry. It'll all be done while you're asleep.\I'm going to borrow the power that's left in your eye.\What are you... response:	I told you. I hate you.
context: Your eyeball makes the world look bright and shiny.\I envy you.\We're the only people in this world who see what we do.\I'll have your arm once the curse settles in.\Don't worry. It'll all be done while you're asleep.\I'm going to borrow the power that's left in your eye.\What are you...\I told you. I hate you. response:	So...
context: I envy you.\We're the only people in this world who see what we do.\I'll have your arm once the curse settles in.\Don't worry. It'll all be done while you're asleep.\I'm going to borrow the power that's left in your eye.\What are you...\I told you. I hate you.\So... response:	What is this place?
context: We're the only people in this world who see what we do.\I'll have your arm once the curse settles in.\Don't worry. It'll all be done while you're asleep.\I'm going to borrow the power that's left in your eye.\What are you...\I told you. I hate you.\So...\What is this place? response:	I don't know...
context: I'll have your arm once the curse settles in.\Don't worry. It'll all be done while you're asleep.\I'm going to borrow the power that's left in your eye.\What are you...\I told you. I hate you.\So...\What is this place?\I don't know... response:	No...
context: Don't worry. It'll all be done while you're asleep.\I'm going to borrow the power that's left in your eye.\What are you...\I told you. I hate you.\So...\What is this place?\I don't know...\No... response:	It's nostalgic.
context: I'm going to borrow the power that's left in your eye.\What are you...\I told you. I hate you.\So...\What is this place?\I don't know...\No...\It's nostalgic. response:	I know this place.
context: What are you...\I told you. I hate you.\So...\What is this place?\I don't know...\No...\It's nostalgic.\I know this place. response:	Sorry, Chise.
context: I told you. I hate you.\So...\What is this place?\I don't know...\No...\It's nostalgic.\I know this place.\Sorry, Chise. response:	Mom?
context: So...\What is this place?\I don't know...\No...\It's nostalgic.\I know this place.\Sorry, Chise.\Mom? response:	Thanks for watching the house.
context: What is this place?\I don't know...\No...\It's nostalgic.\I know this place.\Sorry, Chise.\Mom?\Thanks for watching the house. response:	It wasn't too scary, was it?
context: I don't know...\No...\It's nostalgic.\I know this place.\Sorry, Chise.\Mom?\Thanks for watching the house.\It wasn't too scary, was it? response:	Yeah, Fumiki was with me, so everything's okay.
context: No...\It's nostalgic.\I know this place.\Sorry, Chise.\Mom?\Thanks for watching the house.\It wasn't too scary, was it?\Yeah, Fumiki was with me, so everything's okay. response:	Okay.
context: It's nostalgic.\I know this place.\Sorry, Chise.\Mom?\Thanks for watching the house.\It wasn't too scary, was it?\Yeah, Fumiki was with me, so everything's okay.\Okay. response:	Fumiki's lucky he takes after his dad.
context: I know this place.\Sorry, Chise.\Mom?\Thanks for watching the house.\It wasn't too scary, was it?\Yeah, Fumiki was with me, so everything's okay.\Okay.\Fumiki's lucky he takes after his dad. response:	This is before my dad and little brother vanished.
context: Sorry, Chise.\Mom?\Thanks for watching the house.\It wasn't too scary, was it?\Yeah, Fumiki was with me, so everything's okay.\Okay.\Fumiki's lucky he takes after his dad.\This is before my dad and little brother vanished. response:	Fumiki's a good boy.
context: Mom?\Thanks for watching the house.\It wasn't too scary, was it?\Yeah, Fumiki was with me, so everything's okay.\Okay.\Fumiki's lucky he takes after his dad.\This is before my dad and little brother vanished.\Fumiki's a good boy. response:	Hey, I can change his diaper now!
context: Thanks for watching the house.\It wasn't too scary, was it?\Yeah, Fumiki was with me, so everything's okay.\Okay.\Fumiki's lucky he takes after his dad.\This is before my dad and little brother vanished.\Fumiki's a good boy.\Hey, I can change his diaper now! response:	You're right.
context: It wasn't too scary, was it?\Yeah, Fumiki was with me, so everything's okay.\Okay.\Fumiki's lucky he takes after his dad.\This is before my dad and little brother vanished.\Fumiki's a good boy.\Hey, I can change his diaper now!\You're right. response:	Thank you.
context: Yeah, Fumiki was with me, so everything's okay.\Okay.\Fumiki's lucky he takes after his dad.\This is before my dad and little brother vanished.\Fumiki's a good boy.\Hey, I can change his diaper now!\You're right.\Thank you. response:	You're a good girl, too, Chise.
context: Okay.\Fumiki's lucky he takes after his dad.\This is before my dad and little brother vanished.\Fumiki's a good boy.\Hey, I can change his diaper now!\You're right.\Thank you.\You're a good girl, too, Chise. response:	Mommy, Mommy, I want to help make dinner.
context: Fumiki's lucky he takes after his dad.\This is before my dad and little brother vanished.\Fumiki's a good boy.\Hey, I can change his diaper now!\You're right.\Thank you.\You're a good girl, too, Chise.\Mommy, Mommy, I want to help make dinner. response:	Really?
context: This is before my dad and little brother vanished.\Fumiki's a good boy.\Hey, I can change his diaper now!\You're right.\Thank you.\You're a good girl, too, Chise.\Mommy, Mommy, I want to help make dinner.\Really? response:	What should I have you do?
context: Fumiki's a good boy.\Hey, I can change his diaper now!\You're right.\Thank you.\You're a good girl, too, Chise.\Mommy, Mommy, I want to help make dinner.\Really?\What should I have you do? response:	I'll do anything.
context: Hey, I can change his diaper now!\You're right.\Thank you.\You're a good girl, too, Chise.\Mommy, Mommy, I want to help make dinner.\Really?\What should I have you do?\I'll do anything. response:	That's right.
context: You're right.\Thank you.\You're a good girl, too, Chise.\Mommy, Mommy, I want to help make dinner.\Really?\What should I have you do?\I'll do anything.\That's right. response:	She used to have a really happy smile.
context: Thank you.\You're a good girl, too, Chise.\Mommy, Mommy, I want to help make dinner.\Really?\What should I have you do?\I'll do anything.\That's right.\She used to have a really happy smile. response:	Just a sec.
context: You're a good girl, too, Chise.\Mommy, Mommy, I want to help make dinner.\Really?\What should I have you do?\I'll do anything.\That's right.\She used to have a really happy smile.\Just a sec. response:	You're gonna get wet.
context: Mommy, Mommy, I want to help make dinner.\Really?\What should I have you do?\I'll do anything.\That's right.\She used to have a really happy smile.\Just a sec.\You're gonna get wet. response:	You're home late.
context: Really?\What should I have you do?\I'll do anything.\That's right.\She used to have a really happy smile.\Just a sec.\You're gonna get wet.\You're home late. response:	Hurry!
context: What should I have you do?\I'll do anything.\That's right.\She used to have a really happy smile.\Just a sec.\You're gonna get wet.\You're home late.\Hurry! response:	Yeah.
context: I'll do anything.\That's right.\She used to have a really happy smile.\Just a sec.\You're gonna get wet.\You're home late.\Hurry!\Yeah. response:	I'm home, Chise.
context: That's right.\She used to have a really happy smile.\Just a sec.\You're gonna get wet.\You're home late.\Hurry!\Yeah.\I'm home, Chise. response:	Hey! I can't walk!
context: She used to have a really happy smile.\Just a sec.\You're gonna get wet.\You're home late.\Hurry!\Yeah.\I'm home, Chise.\Hey! I can't walk! response:	Hey.
context: Just a sec.\You're gonna get wet.\You're home late.\Hurry!\Yeah.\I'm home, Chise.\Hey! I can't walk!\Hey. response:	I guess I took after my dad.
context: You're gonna get wet.\You're home late.\Hurry!\Yeah.\I'm home, Chise.\Hey! I can't walk!\Hey.\I guess I took after my dad. response:	Is work tough?
context: You're home late.\Hurry!\Yeah.\I'm home, Chise.\Hey! I can't walk!\Hey.\I guess I took after my dad.\Is work tough? response:	I have more night shifts now.
context: Hurry!\Yeah.\I'm home, Chise.\Hey! I can't walk!\Hey.\I guess I took after my dad.\Is work tough?\I have more night shifts now. response:	I'm sorry. I wish I could work, too.
context: Yeah.\I'm home, Chise.\Hey! I can't walk!\Hey.\I guess I took after my dad.\Is work tough?\I have more night shifts now.\I'm sorry. I wish I could work, too. response:	You already take care of things around the house, Chika.
context: I'm home, Chise.\Hey! I can't walk!\Hey.\I guess I took after my dad.\Is work tough?\I have more night shifts now.\I'm sorry. I wish I could work, too.\You already take care of things around the house, Chika. response:	Besides, Chise's like you.
context: Hey! I can't walk!\Hey.\I guess I took after my dad.\Is work tough?\I have more night shifts now.\I'm sorry. I wish I could work, too.\You already take care of things around the house, Chika.\Besides, Chise's like you. response:	She's got a frail body.
context: Hey.\I guess I took after my dad.\Is work tough?\I have more night shifts now.\I'm sorry. I wish I could work, too.\You already take care of things around the house, Chika.\Besides, Chise's like you.\She's got a frail body. response:	I feel better with you around her.
context: I guess I took after my dad.\Is work tough?\I have more night shifts now.\I'm sorry. I wish I could work, too.\You already take care of things around the house, Chika.\Besides, Chise's like you.\She's got a frail body.\I feel better with you around her. response:	Thanks, Yuuki.
context: Is work tough?\I have more night shifts now.\I'm sorry. I wish I could work, too.\You already take care of things around the house, Chika.\Besides, Chise's like you.\She's got a frail body.\I feel better with you around her.\Thanks, Yuuki. response:	Frail body...
context: I have more night shifts now.\I'm sorry. I wish I could work, too.\You already take care of things around the house, Chika.\Besides, Chise's like you.\She's got a frail body.\I feel better with you around her.\Thanks, Yuuki.\Frail body... response:	Mom was the same as me?
context: I'm sorry. I wish I could work, too.\You already take care of things around the house, Chika.\Besides, Chise's like you.\She's got a frail body.\I feel better with you around her.\Thanks, Yuuki.\Frail body...\Mom was the same as me? response:	This is my memory.
context: You already take care of things around the house, Chika.\Besides, Chise's like you.\She's got a frail body.\I feel better with you around her.\Thanks, Yuuki.\Frail body...\Mom was the same as me?\This is my memory. response:	He's keeping me in a dream so that I don't wake up.
context: Besides, Chise's like you.\She's got a frail body.\I feel better with you around her.\Thanks, Yuuki.\Frail body...\Mom was the same as me?\This is my memory.\He's keeping me in a dream so that I don't wake up. response:	Car
context: She's got a frail body.\I feel better with you around her.\Thanks, Yuuki.\Frail body...\Mom was the same as me?\This is my memory.\He's keeping me in a dream so that I don't wake up.\Car response:	No.
context: I feel better with you around her.\Thanks, Yuuki.\Frail body...\Mom was the same as me?\This is my memory.\He's keeping me in a dream so that I don't wake up.\Car\No. response:	You aren't him.
context: Thanks, Yuuki.\Frail body...\Mom was the same as me?\This is my memory.\He's keeping me in a dream so that I don't wake up.\Car\No.\You aren't him. response:	I'm a fragment of him that's been chopped off.
context: Frail body...\Mom was the same as me?\This is my memory.\He's keeping me in a dream so that I don't wake up.\Car\No.\You aren't him.\I'm a fragment of him that's been chopped off. response:	He's attached and assumed all kinds of things.
context: Mom was the same as me?\This is my memory.\He's keeping me in a dream so that I don't wake up.\Car\No.\You aren't him.\I'm a fragment of him that's been chopped off.\He's attached and assumed all kinds of things. response:	Which is the real him, what he even was to begin with...
context: This is my memory.\He's keeping me in a dream so that I don't wake up.\Car\No.\You aren't him.\I'm a fragment of him that's been chopped off.\He's attached and assumed all kinds of things.\Which is the real him, what he even was to begin with... response:	none of it is clear anymore.
context: He's keeping me in a dream so that I don't wake up.\Car\No.\You aren't him.\I'm a fragment of him that's been chopped off.\He's attached and assumed all kinds of things.\Which is the real him, what he even was to begin with...\none of it is clear anymore. response:	Why is he making me see all this stuff from my past?
context: Car\No.\You aren't him.\I'm a fragment of him that's been chopped off.\He's attached and assumed all kinds of things.\Which is the real him, what he even was to begin with...\none of it is clear anymore.\Why is he making me see all this stuff from my past? response:	Probably to upset you.
context: No.\You aren't him.\I'm a fragment of him that's been chopped off.\He's attached and assumed all kinds of things.\Which is the real him, what he even was to begin with...\none of it is clear anymore.\Why is he making me see all this stuff from my past?\Probably to upset you. response:	That there is hurting you, but it's also protecting you.
context: You aren't him.\I'm a fragment of him that's been chopped off.\He's attached and assumed all kinds of things.\Which is the real him, what he even was to begin with...\none of it is clear anymore.\Why is he making me see all this stuff from my past?\Probably to upset you.\That there is hurting you, but it's also protecting you. response:	It's the reason you're able to talk to something like me.
context: I'm a fragment of him that's been chopped off.\He's attached and assumed all kinds of things.\Which is the real him, what he even was to begin with...\none of it is clear anymore.\Why is he making me see all this stuff from my past?\Probably to upset you.\That there is hurting you, but it's also protecting you.\It's the reason you're able to talk to something like me. response:	You're...
context: He's attached and assumed all kinds of things.\Which is the real him, what he even was to begin with...\none of it is clear anymore.\Why is he making me see all this stuff from my past?\Probably to upset you.\That there is hurting you, but it's also protecting you.\It's the reason you're able to talk to something like me.\You're... response:	You don't want to touch me.
context: Which is the real him, what he even was to begin with...\none of it is clear anymore.\Why is he making me see all this stuff from my past?\Probably to upset you.\That there is hurting you, but it's also protecting you.\It's the reason you're able to talk to something like me.\You're...\You don't want to touch me. response:	Not until you're ready.
context: none of it is clear anymore.\Why is he making me see all this stuff from my past?\Probably to upset you.\That there is hurting you, but it's also protecting you.\It's the reason you're able to talk to something like me.\You're...\You don't want to touch me.\Not until you're ready. response:	Ready?
context: Why is he making me see all this stuff from my past?\Probably to upset you.\That there is hurting you, but it's also protecting you.\It's the reason you're able to talk to something like me.\You're...\You don't want to touch me.\Not until you're ready.\Ready? response:	It's okay, I'll calm him down.
context: Probably to upset you.\That there is hurting you, but it's also protecting you.\It's the reason you're able to talk to something like me.\You're...\You don't want to touch me.\Not until you're ready.\Ready?\It's okay, I'll calm him down. response:	Thanks.
context: That there is hurting you, but it's also protecting you.\It's the reason you're able to talk to something like me.\You're...\You don't want to touch me.\Not until you're ready.\Ready?\It's okay, I'll calm him down.\Thanks. response:	Dad, are you going somewhere?
context: It's the reason you're able to talk to something like me.\You're...\You don't want to touch me.\Not until you're ready.\Ready?\It's okay, I'll calm him down.\Thanks.\Dad, are you going somewhere? response:	Chise, do you want to...
context: You're...\You don't want to touch me.\Not until you're ready.\Ready?\It's okay, I'll calm him down.\Thanks.\Dad, are you going somewhere?\Chise, do you want to... response:	No, I'll be right back.
context: You don't want to touch me.\Not until you're ready.\Ready?\It's okay, I'll calm him down.\Thanks.\Dad, are you going somewhere?\Chise, do you want to...\No, I'll be right back. response:	Wait here.
context: Not until you're ready.\Ready?\It's okay, I'll calm him down.\Thanks.\Dad, are you going somewhere?\Chise, do you want to...\No, I'll be right back.\Wait here. response:	Well, good night.
context: Ready?\It's okay, I'll calm him down.\Thanks.\Dad, are you going somewhere?\Chise, do you want to...\No, I'll be right back.\Wait here.\Well, good night. response:	Come back soon.
context: It's okay, I'll calm him down.\Thanks.\Dad, are you going somewhere?\Chise, do you want to...\No, I'll be right back.\Wait here.\Well, good night.\Come back soon. response:	Dad never...
context: Thanks.\Dad, are you going somewhere?\Chise, do you want to...\No, I'll be right back.\Wait here.\Well, good night.\Come back soon.\Dad never... response:	No!
context: Dad, are you going somewhere?\Chise, do you want to...\No, I'll be right back.\Wait here.\Well, good night.\Come back soon.\Dad never...\No! response:	That's all you remember.
context: Chise, do you want to...\No, I'll be right back.\Wait here.\Well, good night.\Come back soon.\Dad never...\No!\That's all you remember. response:	That door won't open.
context: No, I'll be right back.\Wait here.\Well, good night.\Come back soon.\Dad never...\No!\That's all you remember.\That door won't open. response:	Yuuki?
context: Wait here.\Well, good night.\Come back soon.\Dad never...\No!\That's all you remember.\That door won't open.\Yuuki? response:	That's right.
context: Well, good night.\Come back soon.\Dad never...\No!\That's all you remember.\That door won't open.\Yuuki?\That's right. response:	Ever since this day...
context: Come back soon.\Dad never...\No!\That's all you remember.\That door won't open.\Yuuki?\That's right.\Ever since this day... response:	Come on, again?
context: Dad never...\No!\That's all you remember.\That door won't open.\Yuuki?\That's right.\Ever since this day...\Come on, again? response:	I'm sorry.
context: No!\That's all you remember.\That door won't open.\Yuuki?\That's right.\Ever since this day...\Come on, again?\I'm sorry. response:	Something's odd lately.
context: That's all you remember.\That door won't open.\Yuuki?\That's right.\Ever since this day...\Come on, again?\I'm sorry.\Something's odd lately. response:	Ever since Hatori-san showed up, right?
context: That door won't open.\Yuuki?\That's right.\Ever since this day...\Come on, again?\I'm sorry.\Something's odd lately.\Ever since Hatori-san showed up, right? response:	Want some help?
context: Yuuki?\That's right.\Ever since this day...\Come on, again?\I'm sorry.\Something's odd lately.\Ever since Hatori-san showed up, right?\Want some help? response:	What's wrong?
context: That's right.\Ever since this day...\Come on, again?\I'm sorry.\Something's odd lately.\Ever since Hatori-san showed up, right?\Want some help?\What's wrong? response:	I was the one who said you can't be scared.
context: Ever since this day...\Come on, again?\I'm sorry.\Something's odd lately.\Ever since Hatori-san showed up, right?\Want some help?\What's wrong?\I was the one who said you can't be scared. response:	I'm sorry.
context: Come on, again?\I'm sorry.\Something's odd lately.\Ever since Hatori-san showed up, right?\Want some help?\What's wrong?\I was the one who said you can't be scared.\I'm sorry. response:	It'll be okay.
context: I'm sorry.\Something's odd lately.\Ever since Hatori-san showed up, right?\Want some help?\What's wrong?\I was the one who said you can't be scared.\I'm sorry.\It'll be okay. response:	It'll be okay.
context: Something's odd lately.\Ever since Hatori-san showed up, right?\Want some help?\What's wrong?\I was the one who said you can't be scared.\I'm sorry.\It'll be okay.\It'll be okay. response:	It'll be okay.
context: Ever since Hatori-san showed up, right?\Want some help?\What's wrong?\I was the one who said you can't be scared.\I'm sorry.\It'll be okay.\It'll be okay.\It'll be okay. response:	It'll be okay.
context: Want some help?\What's wrong?\I was the one who said you can't be scared.\I'm sorry.\It'll be okay.\It'll be okay.\It'll be okay.\It'll be okay. response:	Help!
context: What's wrong?\I was the one who said you can't be scared.\I'm sorry.\It'll be okay.\It'll be okay.\It'll be okay.\It'll be okay.\Help! response:	Help, Mom!
context: I was the one who said you can't be scared.\I'm sorry.\It'll be okay.\It'll be okay.\It'll be okay.\It'll be okay.\Help!\Help, Mom! response:	Get out!
context: I'm sorry.\It'll be okay.\It'll be okay.\It'll be okay.\It'll be okay.\Help!\Help, Mom!\Get out! response:	Now!
context: It'll be okay.\It'll be okay.\It'll be okay.\It'll be okay.\Help!\Help, Mom!\Get out!\Now! response:	Hey, it's midnight! Shut up!
context: It'll be okay.\It'll be okay.\It'll be okay.\Help!\Help, Mom!\Get out!\Now!\Hey, it's midnight! Shut up! response:	I have to protect her.
context: It'll be okay.\It'll be okay.\Help!\Help, Mom!\Get out!\Now!\Hey, it's midnight! Shut up!\I have to protect her. response:	I have to protect her.
context: It'll be okay.\Help!\Help, Mom!\Get out!\Now!\Hey, it's midnight! Shut up!\I have to protect her.\I have to protect her. response:	I have to be strong.
context: Help!\Help, Mom!\Get out!\Now!\Hey, it's midnight! Shut up!\I have to protect her.\I have to protect her.\I have to be strong. response:	That guy who was protecting them isn't around lately.
context: Help, Mom!\Get out!\Now!\Hey, it's midnight! Shut up!\I have to protect her.\I have to protect her.\I have to be strong.\That guy who was protecting them isn't around lately. response:	Poor thing. He must have gotten sick of her.
context: Get out!\Now!\Hey, it's midnight! Shut up!\I have to protect her.\I have to protect her.\I have to be strong.\That guy who was protecting them isn't around lately.\Poor thing. He must have gotten sick of her. response:	An abandoned woman.
context: Now!\Hey, it's midnight! Shut up!\I have to protect her.\I have to protect her.\I have to be strong.\That guy who was protecting them isn't around lately.\Poor thing. He must have gotten sick of her.\An abandoned woman. response:	An abandoned daughter.
context: Hey, it's midnight! Shut up!\I have to protect her.\I have to protect her.\I have to be strong.\That guy who was protecting them isn't around lately.\Poor thing. He must have gotten sick of her.\An abandoned woman.\An abandoned daughter. response:	Pitiful and appetizing.
context: I have to protect her.\I have to protect her.\I have to be strong.\That guy who was protecting them isn't around lately.\Poor thing. He must have gotten sick of her.\An abandoned woman.\An abandoned daughter.\Pitiful and appetizing. response:	Yes.
