context: Class 7 Special Hazard Organisms. response:	Everything has been thrown into chaos because of them.
context: We're saved!\They say that Unit 4's back!\I hear Tokishima's with her.\Haruto? He's back?\Looks like we made it back just in time.\Yeah. All that's left is...\Wow, this thing really took a beating.\That's not surprising, after fighting a Valvrave. response:	Hey, are you okay?
context: They say that Unit 4's back!\I hear Tokishima's with her.\Haruto? He's back?\Looks like we made it back just in time.\Yeah. All that's left is...\Wow, this thing really took a beating.\That's not surprising, after fighting a Valvrave.\Hey, are you okay? response:	I've got a survivor here!
context: I hear Tokishima's with her.\Haruto? He's back?\Looks like we made it back just in time.\Yeah. All that's left is...\Wow, this thing really took a beating.\That's not surprising, after fighting a Valvrave.\Hey, are you okay?\I've got a survivor here! response:	Send some people over! Let's get the pilot out of there!
context: Haruto? He's back?\Looks like we made it back just in time.\Yeah. All that's left is...\Wow, this thing really took a beating.\That's not surprising, after fighting a Valvrave.\Hey, are you okay?\I've got a survivor here!\Send some people over! Let's get the pilot out of there! response:	I want to create a country where humans and Kamitsuki can live together.
context: Looks like we made it back just in time.\Yeah. All that's left is...\Wow, this thing really took a beating.\That's not surprising, after fighting a Valvrave.\Hey, are you okay?\I've got a survivor here!\Send some people over! Let's get the pilot out of there!\I want to create a country where humans and Kamitsuki can live together. response:	And to do that, we need territory, huh?
context: Yeah. All that's left is...\Wow, this thing really took a beating.\That's not surprising, after fighting a Valvrave.\Hey, are you okay?\I've got a survivor here!\Send some people over! Let's get the pilot out of there!\I want to create a country where humans and Kamitsuki can live together.\And to do that, we need territory, huh? response:	Hey, it's going to take more than land to make that work, you know?
context: Wow, this thing really took a beating.\That's not surprising, after fighting a Valvrave.\Hey, are you okay?\I've got a survivor here!\Send some people over! Let's get the pilot out of there!\I want to create a country where humans and Kamitsuki can live together.\And to do that, we need territory, huh?\Hey, it's going to take more than land to make that work, you know? response:	All we can do right now is get things underway one step at a time.
context: That's not surprising, after fighting a Valvrave.\Hey, are you okay?\I've got a survivor here!\Send some people over! Let's get the pilot out of there!\I want to create a country where humans and Kamitsuki can live together.\And to do that, we need territory, huh?\Hey, it's going to take more than land to make that work, you know?\All we can do right now is get things underway one step at a time. response:	Even so, it's just not possible! Not with just four Valvraves.
context: Hey, are you okay?\I've got a survivor here!\Send some people over! Let's get the pilot out of there!\I want to create a country where humans and Kamitsuki can live together.\And to do that, we need territory, huh?\Hey, it's going to take more than land to make that work, you know?\All we can do right now is get things underway one step at a time.\Even so, it's just not possible! Not with just four Valvraves. response:	Module 77 is being guarded by 40,000 Allied Forces soldiers.
context: I've got a survivor here!\Send some people over! Let's get the pilot out of there!\I want to create a country where humans and Kamitsuki can live together.\And to do that, we need territory, huh?\Hey, it's going to take more than land to make that work, you know?\All we can do right now is get things underway one step at a time.\Even so, it's just not possible! Not with just four Valvraves.\Module 77 is being guarded by 40,000 Allied Forces soldiers. response:	I'll go.
context: Send some people over! Let's get the pilot out of there!\I want to create a country where humans and Kamitsuki can live together.\And to do that, we need territory, huh?\Hey, it's going to take more than land to make that work, you know?\All we can do right now is get things underway one step at a time.\Even so, it's just not possible! Not with just four Valvraves.\Module 77 is being guarded by 40,000 Allied Forces soldiers.\I'll go. response:	Don't get swept up in the excitement. Think it through carefully, and
context: I want to create a country where humans and Kamitsuki can live together.\And to do that, we need territory, huh?\Hey, it's going to take more than land to make that work, you know?\All we can do right now is get things underway one step at a time.\Even so, it's just not possible! Not with just four Valvraves.\Module 77 is being guarded by 40,000 Allied Forces soldiers.\I'll go.\Don't get swept up in the excitement. Think it through carefully, and response:	I want a place where I can belong, too.
context: And to do that, we need territory, huh?\Hey, it's going to take more than land to make that work, you know?\All we can do right now is get things underway one step at a time.\Even so, it's just not possible! Not with just four Valvraves.\Module 77 is being guarded by 40,000 Allied Forces soldiers.\I'll go.\Don't get swept up in the excitement. Think it through carefully, and\I want a place where I can belong, too. response:	Akira...
context: Hey, it's going to take more than land to make that work, you know?\All we can do right now is get things underway one step at a time.\Even so, it's just not possible! Not with just four Valvraves.\Module 77 is being guarded by 40,000 Allied Forces soldiers.\I'll go.\Don't get swept up in the excitement. Think it through carefully, and\I want a place where I can belong, too.\Akira... response:	We can win.
context: All we can do right now is get things underway one step at a time.\Even so, it's just not possible! Not with just four Valvraves.\Module 77 is being guarded by 40,000 Allied Forces soldiers.\I'll go.\Don't get swept up in the excitement. Think it through carefully, and\I want a place where I can belong, too.\Akira...\We can win. response:	L-elf is already infiltrating them.
context: Even so, it's just not possible! Not with just four Valvraves.\Module 77 is being guarded by 40,000 Allied Forces soldiers.\I'll go.\Don't get swept up in the excitement. Think it through carefully, and\I want a place where I can belong, too.\Akira...\We can win.\L-elf is already infiltrating them. response:	A simultaneous attack from inside and outside.
context: Module 77 is being guarded by 40,000 Allied Forces soldiers.\I'll go.\Don't get swept up in the excitement. Think it through carefully, and\I want a place where I can belong, too.\Akira...\We can win.\L-elf is already infiltrating them.\A simultaneous attack from inside and outside. response:	Between us and L-elf, this plan will work.
context: I'll go.\Don't get swept up in the excitement. Think it through carefully, and\I want a place where I can belong, too.\Akira...\We can win.\L-elf is already infiltrating them.\A simultaneous attack from inside and outside.\Between us and L-elf, this plan will work. response:	We can trust you, right?
context: Don't get swept up in the excitement. Think it through carefully, and\I want a place where I can belong, too.\Akira...\We can win.\L-elf is already infiltrating them.\A simultaneous attack from inside and outside.\Between us and L-elf, this plan will work.\We can trust you, right? response:	Yes.
context: I want a place where I can belong, too.\Akira...\We can win.\L-elf is already infiltrating them.\A simultaneous attack from inside and outside.\Between us and L-elf, this plan will work.\We can trust you, right?\Yes. response:	You can count on me. I'll get our home back no matter what.
context: Akira...\We can win.\L-elf is already infiltrating them.\A simultaneous attack from inside and outside.\Between us and L-elf, this plan will work.\We can trust you, right?\Yes.\You can count on me. I'll get our home back no matter what. response:	Switching places with an injured soldier to infiltrate an enemy position.
context: We can win.\L-elf is already infiltrating them.\A simultaneous attack from inside and outside.\Between us and L-elf, this plan will work.\We can trust you, right?\Yes.\You can count on me. I'll get our home back no matter what.\Switching places with an injured soldier to infiltrate an enemy position. response:	That's the same gambit you used in the New Guinea Conflict.
context: L-elf is already infiltrating them.\A simultaneous attack from inside and outside.\Between us and L-elf, this plan will work.\We can trust you, right?\Yes.\You can count on me. I'll get our home back no matter what.\Switching places with an injured soldier to infiltrate an enemy position.\That's the same gambit you used in the New Guinea Conflict. response:	You weren't the one who gave me this.
context: A simultaneous attack from inside and outside.\Between us and L-elf, this plan will work.\We can trust you, right?\Yes.\You can count on me. I'll get our home back no matter what.\Switching places with an injured soldier to infiltrate an enemy position.\That's the same gambit you used in the New Guinea Conflict.\You weren't the one who gave me this. response:	Why didn't you say anything?
context: Between us and L-elf, this plan will work.\We can trust you, right?\Yes.\You can count on me. I'll get our home back no matter what.\Switching places with an injured soldier to infiltrate an enemy position.\That's the same gambit you used in the New Guinea Conflict.\You weren't the one who gave me this.\Why didn't you say anything? response:	If I had, would you have believed me?
context: We can trust you, right?\Yes.\You can count on me. I'll get our home back no matter what.\Switching places with an injured soldier to infiltrate an enemy position.\That's the same gambit you used in the New Guinea Conflict.\You weren't the one who gave me this.\Why didn't you say anything?\If I had, would you have believed me? response:	I no longer bear you any ill will.
context: Yes.\You can count on me. I'll get our home back no matter what.\Switching places with an injured soldier to infiltrate an enemy position.\That's the same gambit you used in the New Guinea Conflict.\You weren't the one who gave me this.\Why didn't you say anything?\If I had, would you have believed me?\I no longer bear you any ill will. response:	That said, you are an enemy of the state.
context: You can count on me. I'll get our home back no matter what.\Switching places with an injured soldier to infiltrate an enemy position.\That's the same gambit you used in the New Guinea Conflict.\You weren't the one who gave me this.\Why didn't you say anything?\If I had, would you have believed me?\I no longer bear you any ill will.\That said, you are an enemy of the state. response:	However, my beloved homeland is being
context: Switching places with an injured soldier to infiltrate an enemy position.\That's the same gambit you used in the New Guinea Conflict.\You weren't the one who gave me this.\Why didn't you say anything?\If I had, would you have believed me?\I no longer bear you any ill will.\That said, you are an enemy of the state.\However, my beloved homeland is being response:	gnawed away at in secret by monsters.
context: That's the same gambit you used in the New Guinea Conflict.\You weren't the one who gave me this.\Why didn't you say anything?\If I had, would you have believed me?\I no longer bear you any ill will.\That said, you are an enemy of the state.\However, my beloved homeland is being\gnawed away at in secret by monsters. response:	And so, L-elf, I want you to assist us with our mission.
context: You weren't the one who gave me this.\Why didn't you say anything?\If I had, would you have believed me?\I no longer bear you any ill will.\That said, you are an enemy of the state.\However, my beloved homeland is being\gnawed away at in secret by monsters.\And so, L-elf, I want you to assist us with our mission. response:	Mission objectives?
context: Why didn't you say anything?\If I had, would you have believed me?\I no longer bear you any ill will.\That said, you are an enemy of the state.\However, my beloved homeland is being\gnawed away at in secret by monsters.\And so, L-elf, I want you to assist us with our mission.\Mission objectives? response:	The elimination of Captain Cain and all parties related to him.
context: If I had, would you have believed me?\I no longer bear you any ill will.\That said, you are an enemy of the state.\However, my beloved homeland is being\gnawed away at in secret by monsters.\And so, L-elf, I want you to assist us with our mission.\Mission objectives?\The elimination of Captain Cain and all parties related to him. response:	Our interests are aligned, I see.
context: I no longer bear you any ill will.\That said, you are an enemy of the state.\However, my beloved homeland is being\gnawed away at in secret by monsters.\And so, L-elf, I want you to assist us with our mission.\Mission objectives?\The elimination of Captain Cain and all parties related to him.\Our interests are aligned, I see. response:	I hereby sanction Special Forces Lieutenant L-elf's return to duty.
context: That said, you are an enemy of the state.\However, my beloved homeland is being\gnawed away at in secret by monsters.\And so, L-elf, I want you to assist us with our mission.\Mission objectives?\The elimination of Captain Cain and all parties related to him.\Our interests are aligned, I see.\I hereby sanction Special Forces Lieutenant L-elf's return to duty. response:	Blitzendegen.
context: However, my beloved homeland is being\gnawed away at in secret by monsters.\And so, L-elf, I want you to assist us with our mission.\Mission objectives?\The elimination of Captain Cain and all parties related to him.\Our interests are aligned, I see.\I hereby sanction Special Forces Lieutenant L-elf's return to duty.\Blitzendegen. response:	So, how much do you remember?
context: gnawed away at in secret by monsters.\And so, L-elf, I want you to assist us with our mission.\Mission objectives?\The elimination of Captain Cain and all parties related to him.\Our interests are aligned, I see.\I hereby sanction Special Forces Lieutenant L-elf's return to duty.\Blitzendegen.\So, how much do you remember? response:	I asked Professor Kibukawa about the Runes.
context: And so, L-elf, I want you to assist us with our mission.\Mission objectives?\The elimination of Captain Cain and all parties related to him.\Our interests are aligned, I see.\I hereby sanction Special Forces Lieutenant L-elf's return to duty.\Blitzendegen.\So, how much do you remember?\I asked Professor Kibukawa about the Runes. response:	Our memories will fade away, right?
context: Mission objectives?\The elimination of Captain Cain and all parties related to him.\Our interests are aligned, I see.\I hereby sanction Special Forces Lieutenant L-elf's return to duty.\Blitzendegen.\So, how much do you remember?\I asked Professor Kibukawa about the Runes.\Our memories will fade away, right? response:	And in the end, we...
context: The elimination of Captain Cain and all parties related to him.\Our interests are aligned, I see.\I hereby sanction Special Forces Lieutenant L-elf's return to duty.\Blitzendegen.\So, how much do you remember?\I asked Professor Kibukawa about the Runes.\Our memories will fade away, right?\And in the end, we... response:	Everything's fine! I can still remember everything just fine.
context: Our interests are aligned, I see.\I hereby sanction Special Forces Lieutenant L-elf's return to duty.\Blitzendegen.\So, how much do you remember?\I asked Professor Kibukawa about the Runes.\Our memories will fade away, right?\And in the end, we...\Everything's fine! I can still remember everything just fine. response:	There's nothing to worry about.
context: I hereby sanction Special Forces Lieutenant L-elf's return to duty.\Blitzendegen.\So, how much do you remember?\I asked Professor Kibukawa about the Runes.\Our memories will fade away, right?\And in the end, we...\Everything's fine! I can still remember everything just fine.\There's nothing to worry about. response:	Don't put on a tough act, not to me.
context: Blitzendegen.\So, how much do you remember?\I asked Professor Kibukawa about the Runes.\Our memories will fade away, right?\And in the end, we...\Everything's fine! I can still remember everything just fine.\There's nothing to worry about.\Don't put on a tough act, not to me. response:	Your We'll win for sure speech back there was also to put everyone at ease, right?
context: So, how much do you remember?\I asked Professor Kibukawa about the Runes.\Our memories will fade away, right?\And in the end, we...\Everything's fine! I can still remember everything just fine.\There's nothing to worry about.\Don't put on a tough act, not to me.\Your We'll win for sure speech back there was also to put everyone at ease, right? response:	Sometimes you have to put on a brave face.
context: I asked Professor Kibukawa about the Runes.\Our memories will fade away, right?\And in the end, we...\Everything's fine! I can still remember everything just fine.\There's nothing to worry about.\Don't put on a tough act, not to me.\Your We'll win for sure speech back there was also to put everyone at ease, right?\Sometimes you have to put on a brave face. response:	For others and for yourself.
context: Our memories will fade away, right?\And in the end, we...\Everything's fine! I can still remember everything just fine.\There's nothing to worry about.\Don't put on a tough act, not to me.\Your We'll win for sure speech back there was also to put everyone at ease, right?\Sometimes you have to put on a brave face.\For others and for yourself. response:	Haruto...
context: And in the end, we...\Everything's fine! I can still remember everything just fine.\There's nothing to worry about.\Don't put on a tough act, not to me.\Your We'll win for sure speech back there was also to put everyone at ease, right?\Sometimes you have to put on a brave face.\For others and for yourself.\Haruto... response:	Let's make a deal.
context: Everything's fine! I can still remember everything just fine.\There's nothing to worry about.\Don't put on a tough act, not to me.\Your We'll win for sure speech back there was also to put everyone at ease, right?\Sometimes you have to put on a brave face.\For others and for yourself.\Haruto...\Let's make a deal. response:	Neither of us gives up to the bitter end.
context: There's nothing to worry about.\Don't put on a tough act, not to me.\Your We'll win for sure speech back there was also to put everyone at ease, right?\Sometimes you have to put on a brave face.\For others and for yourself.\Haruto...\Let's make a deal.\Neither of us gives up to the bitter end. response:	If I don't give up,
context: Don't put on a tough act, not to me.\Your We'll win for sure speech back there was also to put everyone at ease, right?\Sometimes you have to put on a brave face.\For others and for yourself.\Haruto...\Let's make a deal.\Neither of us gives up to the bitter end.\If I don't give up, response:	will he also see how I feel?
context: Your We'll win for sure speech back there was also to put everyone at ease, right?\Sometimes you have to put on a brave face.\For others and for yourself.\Haruto...\Let's make a deal.\Neither of us gives up to the bitter end.\If I don't give up,\will he also see how I feel? response:	What?
context: Sometimes you have to put on a brave face.\For others and for yourself.\Haruto...\Let's make a deal.\Neither of us gives up to the bitter end.\If I don't give up,\will he also see how I feel?\What? response:	Forget it, it's nothing.
context: For others and for yourself.\Haruto...\Let's make a deal.\Neither of us gives up to the bitter end.\If I don't give up,\will he also see how I feel?\What?\Forget it, it's nothing. response:	I have no idea what the outcome will be, but if we give up, it'll never happen.
context: Haruto...\Let's make a deal.\Neither of us gives up to the bitter end.\If I don't give up,\will he also see how I feel?\What?\Forget it, it's nothing.\I have no idea what the outcome will be, but if we give up, it'll never happen. response:	Deal.
context: Let's make a deal.\Neither of us gives up to the bitter end.\If I don't give up,\will he also see how I feel?\What?\Forget it, it's nothing.\I have no idea what the outcome will be, but if we give up, it'll never happen.\Deal. response:	I'm gonna borrow this, Senpai.
context: Neither of us gives up to the bitter end.\If I don't give up,\will he also see how I feel?\What?\Forget it, it's nothing.\I have no idea what the outcome will be, but if we give up, it'll never happen.\Deal.\I'm gonna borrow this, Senpai. response:	You always slack off when it comes to defense, Yamada. You need it.
context: If I don't give up,\will he also see how I feel?\What?\Forget it, it's nothing.\I have no idea what the outcome will be, but if we give up, it'll never happen.\Deal.\I'm gonna borrow this, Senpai.\You always slack off when it comes to defense, Yamada. You need it. response:	It ain't a problem! I punch them before they can punch me.
context: will he also see how I feel?\What?\Forget it, it's nothing.\I have no idea what the outcome will be, but if we give up, it'll never happen.\Deal.\I'm gonna borrow this, Senpai.\You always slack off when it comes to defense, Yamada. You need it.\It ain't a problem! I punch them before they can punch me. response:	And for the last time... it's Thunder, damn it!
context: What?\Forget it, it's nothing.\I have no idea what the outcome will be, but if we give up, it'll never happen.\Deal.\I'm gonna borrow this, Senpai.\You always slack off when it comes to defense, Yamada. You need it.\It ain't a problem! I punch them before they can punch me.\And for the last time... it's Thunder, damn it! response:	Put some effort into defense, you hear?
context: Forget it, it's nothing.\I have no idea what the outcome will be, but if we give up, it'll never happen.\Deal.\I'm gonna borrow this, Senpai.\You always slack off when it comes to defense, Yamada. You need it.\It ain't a problem! I punch them before they can punch me.\And for the last time... it's Thunder, damn it!\Put some effort into defense, you hear? response:	Get off my case, man!
context: I have no idea what the outcome will be, but if we give up, it'll never happen.\Deal.\I'm gonna borrow this, Senpai.\You always slack off when it comes to defense, Yamada. You need it.\It ain't a problem! I punch them before they can punch me.\And for the last time... it's Thunder, damn it!\Put some effort into defense, you hear?\Get off my case, man! response:	We're talking tens of thousands of enemies!
context: Deal.\I'm gonna borrow this, Senpai.\You always slack off when it comes to defense, Yamada. You need it.\It ain't a problem! I punch them before they can punch me.\And for the last time... it's Thunder, damn it!\Put some effort into defense, you hear?\Get off my case, man!\We're talking tens of thousands of enemies! response:	I'm not sure if even the Valvraves can win against that many, so
context: I'm gonna borrow this, Senpai.\You always slack off when it comes to defense, Yamada. You need it.\It ain't a problem! I punch them before they can punch me.\And for the last time... it's Thunder, damn it!\Put some effort into defense, you hear?\Get off my case, man!\We're talking tens of thousands of enemies!\I'm not sure if even the Valvraves can win against that many, so response:	My glasses...
context: You always slack off when it comes to defense, Yamada. You need it.\It ain't a problem! I punch them before they can punch me.\And for the last time... it's Thunder, damn it!\Put some effort into defense, you hear?\Get off my case, man!\We're talking tens of thousands of enemies!\I'm not sure if even the Valvraves can win against that many, so\My glasses... response:	Don't worry about me! I'm coming back!
context: It ain't a problem! I punch them before they can punch me.\And for the last time... it's Thunder, damn it!\Put some effort into defense, you hear?\Get off my case, man!\We're talking tens of thousands of enemies!\I'm not sure if even the Valvraves can win against that many, so\My glasses...\Don't worry about me! I'm coming back! response:	After all, I got new friends now, right?
context: And for the last time... it's Thunder, damn it!\Put some effort into defense, you hear?\Get off my case, man!\We're talking tens of thousands of enemies!\I'm not sure if even the Valvraves can win against that many, so\My glasses...\Don't worry about me! I'm coming back!\After all, I got new friends now, right? response:	Thanks.
context: Put some effort into defense, you hear?\Get off my case, man!\We're talking tens of thousands of enemies!\I'm not sure if even the Valvraves can win against that many, so\My glasses...\Don't worry about me! I'm coming back!\After all, I got new friends now, right?\Thanks. response:	Is that enough?
context: Get off my case, man!\We're talking tens of thousands of enemies!\I'm not sure if even the Valvraves can win against that many, so\My glasses...\Don't worry about me! I'm coming back!\After all, I got new friends now, right?\Thanks.\Is that enough? response:	Yeah.
context: We're talking tens of thousands of enemies!\I'm not sure if even the Valvraves can win against that many, so\My glasses...\Don't worry about me! I'm coming back!\After all, I got new friends now, right?\Thanks.\Is that enough?\Yeah. response:	You sure?
context: I'm not sure if even the Valvraves can win against that many, so\My glasses...\Don't worry about me! I'm coming back!\After all, I got new friends now, right?\Thanks.\Is that enough?\Yeah.\You sure? response:	Um... It's okay, Akira.
context: My glasses...\Don't worry about me! I'm coming back!\After all, I got new friends now, right?\Thanks.\Is that enough?\Yeah.\You sure?\Um... It's okay, Akira. response:	Eat me if you want!
context: Don't worry about me! I'm coming back!\After all, I got new friends now, right?\Thanks.\Is that enough?\Yeah.\You sure?\Um... It's okay, Akira.\Eat me if you want! response:	Akira! I shouldn't have said that!
context: After all, I got new friends now, right?\Thanks.\Is that enough?\Yeah.\You sure?\Um... It's okay, Akira.\Eat me if you want!\Akira! I shouldn't have said that! response:	Akira!
context: Thanks.\Is that enough?\Yeah.\You sure?\Um... It's okay, Akira.\Eat me if you want!\Akira! I shouldn't have said that!\Akira! response:	You're such a jerk.
context: Is that enough?\Yeah.\You sure?\Um... It's okay, Akira.\Eat me if you want!\Akira! I shouldn't have said that!\Akira!\You're such a jerk. response:	In regards to the disposal of the Kamitsuki, the Council supports your plan.
context: Yeah.\You sure?\Um... It's okay, Akira.\Eat me if you want!\Akira! I shouldn't have said that!\Akira!\You're such a jerk.\In regards to the disposal of the Kamitsuki, the Council supports your plan. response:	I am of the opinion that surprise attacks should be as sensational as possible.
context: You sure?\Um... It's okay, Akira.\Eat me if you want!\Akira! I shouldn't have said that!\Akira!\You're such a jerk.\In regards to the disposal of the Kamitsuki, the Council supports your plan.\I am of the opinion that surprise attacks should be as sensational as possible. response:	Thanks to your plan, the public has directed their rage at those students.
context: Um... It's okay, Akira.\Eat me if you want!\Akira! I shouldn't have said that!\Akira!\You're such a jerk.\In regards to the disposal of the Kamitsuki, the Council supports your plan.\I am of the opinion that surprise attacks should be as sensational as possible.\Thanks to your plan, the public has directed their rage at those students. response:	Plu, this will make it easier to retrieve your sister.
context: Eat me if you want!\Akira! I shouldn't have said that!\Akira!\You're such a jerk.\In regards to the disposal of the Kamitsuki, the Council supports your plan.\I am of the opinion that surprise attacks should be as sensational as possible.\Thanks to your plan, the public has directed their rage at those students.\Plu, this will make it easier to retrieve your sister. response:	We never would have known of those artificial Magiuses
context: Akira! I shouldn't have said that!\Akira!\You're such a jerk.\In regards to the disposal of the Kamitsuki, the Council supports your plan.\I am of the opinion that surprise attacks should be as sensational as possible.\Thanks to your plan, the public has directed their rage at those students.\Plu, this will make it easier to retrieve your sister.\We never would have known of those artificial Magiuses response:	if you had not informed us of the Valvrave Project.
context: Akira!\You're such a jerk.\In regards to the disposal of the Kamitsuki, the Council supports your plan.\I am of the opinion that surprise attacks should be as sensational as possible.\Thanks to your plan, the public has directed their rage at those students.\Plu, this will make it easier to retrieve your sister.\We never would have known of those artificial Magiuses\if you had not informed us of the Valvrave Project. response:	You have our gratitude.
context: You're such a jerk.\In regards to the disposal of the Kamitsuki, the Council supports your plan.\I am of the opinion that surprise attacks should be as sensational as possible.\Thanks to your plan, the public has directed their rage at those students.\Plu, this will make it easier to retrieve your sister.\We never would have known of those artificial Magiuses\if you had not informed us of the Valvrave Project.\You have our gratitude. response:	You have mine as well, Cain.
context: In regards to the disposal of the Kamitsuki, the Council supports your plan.\I am of the opinion that surprise attacks should be as sensational as possible.\Thanks to your plan, the public has directed their rage at those students.\Plu, this will make it easier to retrieve your sister.\We never would have known of those artificial Magiuses\if you had not informed us of the Valvrave Project.\You have our gratitude.\You have mine as well, Cain. response:	You rescued me when I was lost and adrift.
context: I am of the opinion that surprise attacks should be as sensational as possible.\Thanks to your plan, the public has directed their rage at those students.\Plu, this will make it easier to retrieve your sister.\We never would have known of those artificial Magiuses\if you had not informed us of the Valvrave Project.\You have our gratitude.\You have mine as well, Cain.\You rescued me when I was lost and adrift. response:	I'm sorry, Miss Sashinami, Professor. I'm supposed to be the adult here, but...
