context: We're going to sally. response:	I-I beg your pardon?
context: Approximately 1,000 troops!\I'm going to destroy them!\The Dartanian forces are headed this way!\I guess there's no stopping them.\All right, let me prepare to die.\Although I'd intended to live a dull life...\Don your masks!\We shall now become the founder of the Dalaras family, the Lion King! response:	Let the curtain rise!
context: I'm going to destroy them!\The Dartanian forces are headed this way!\I guess there's no stopping them.\All right, let me prepare to die.\Although I'd intended to live a dull life...\Don your masks!\We shall now become the founder of the Dalaras family, the Lion King!\Let the curtain rise! response:	Who's the leading man? Who's playing the minor role?
context: The Dartanian forces are headed this way!\I guess there's no stopping them.\All right, let me prepare to die.\Although I'd intended to live a dull life...\Don your masks!\We shall now become the founder of the Dalaras family, the Lion King!\Let the curtain rise!\Who's the leading man? Who's playing the minor role? response:	That will be revealed when the curtain goes down.
context: I guess there's no stopping them.\All right, let me prepare to die.\Although I'd intended to live a dull life...\Don your masks!\We shall now become the founder of the Dalaras family, the Lion King!\Let the curtain rise!\Who's the leading man? Who's playing the minor role?\That will be revealed when the curtain goes down. response:	So they've made it this far.
context: All right, let me prepare to die.\Although I'd intended to live a dull life...\Don your masks!\We shall now become the founder of the Dalaras family, the Lion King!\Let the curtain rise!\Who's the leading man? Who's playing the minor role?\That will be revealed when the curtain goes down.\So they've made it this far. response:	We fought the Dartanian forces.
context: Although I'd intended to live a dull life...\Don your masks!\We shall now become the founder of the Dalaras family, the Lion King!\Let the curtain rise!\Who's the leading man? Who's playing the minor role?\That will be revealed when the curtain goes down.\So they've made it this far.\We fought the Dartanian forces. response:	Number of survivors on our side, 362.
context: Don your masks!\We shall now become the founder of the Dalaras family, the Lion King!\Let the curtain rise!\Who's the leading man? Who's playing the minor role?\That will be revealed when the curtain goes down.\So they've made it this far.\We fought the Dartanian forces.\Number of survivors on our side, 362. response:	Number of enemy soldiers killed, 427.
context: We shall now become the founder of the Dalaras family, the Lion King!\Let the curtain rise!\Who's the leading man? Who's playing the minor role?\That will be revealed when the curtain goes down.\So they've made it this far.\We fought the Dartanian forces.\Number of survivors on our side, 362.\Number of enemy soldiers killed, 427. response:	The Dartanian army is powerful.
context: Let the curtain rise!\Who's the leading man? Who's playing the minor role?\That will be revealed when the curtain goes down.\So they've made it this far.\We fought the Dartanian forces.\Number of survivors on our side, 362.\Number of enemy soldiers killed, 427.\The Dartanian army is powerful. response:	What's the meaning of this?
context: Who's the leading man? Who's playing the minor role?\That will be revealed when the curtain goes down.\So they've made it this far.\We fought the Dartanian forces.\Number of survivors on our side, 362.\Number of enemy soldiers killed, 427.\The Dartanian army is powerful.\What's the meaning of this? response:	Well, Prince Milza's battle strategy is quite flexible.
context: That will be revealed when the curtain goes down.\So they've made it this far.\We fought the Dartanian forces.\Number of survivors on our side, 362.\Number of enemy soldiers killed, 427.\The Dartanian army is powerful.\What's the meaning of this?\Well, Prince Milza's battle strategy is quite flexible. response:	He might've decided that it would be better to defeat Sir Theo first.
context: So they've made it this far.\We fought the Dartanian forces.\Number of survivors on our side, 362.\Number of enemy soldiers killed, 427.\The Dartanian army is powerful.\What's the meaning of this?\Well, Prince Milza's battle strategy is quite flexible.\He might've decided that it would be better to defeat Sir Theo first. response:	I won't let him!
context: We fought the Dartanian forces.\Number of survivors on our side, 362.\Number of enemy soldiers killed, 427.\The Dartanian army is powerful.\What's the meaning of this?\Well, Prince Milza's battle strategy is quite flexible.\He might've decided that it would be better to defeat Sir Theo first.\I won't let him! response:	Pursue Milza!
context: Number of survivors on our side, 362.\Number of enemy soldiers killed, 427.\The Dartanian army is powerful.\What's the meaning of this?\Well, Prince Milza's battle strategy is quite flexible.\He might've decided that it would be better to defeat Sir Theo first.\I won't let him!\Pursue Milza! response:	That's...
context: Number of enemy soldiers killed, 427.\The Dartanian army is powerful.\What's the meaning of this?\Well, Prince Milza's battle strategy is quite flexible.\He might've decided that it would be better to defeat Sir Theo first.\I won't let him!\Pursue Milza!\That's... response:	- So you survived, Sir Selge? - Yes.
context: The Dartanian army is powerful.\What's the meaning of this?\Well, Prince Milza's battle strategy is quite flexible.\He might've decided that it would be better to defeat Sir Theo first.\I won't let him!\Pursue Milza!\That's...\- So you survived, Sir Selge? - Yes. response:	We hastened to join you after receiving word from Sir Alfred.
context: What's the meaning of this?\Well, Prince Milza's battle strategy is quite flexible.\He might've decided that it would be better to defeat Sir Theo first.\I won't let him!\Pursue Milza!\That's...\- So you survived, Sir Selge? - Yes.\We hastened to join you after receiving word from Sir Alfred. response:	If you're planning to pursue Milza, please let us join you.
context: Well, Prince Milza's battle strategy is quite flexible.\He might've decided that it would be better to defeat Sir Theo first.\I won't let him!\Pursue Milza!\That's...\- So you survived, Sir Selge? - Yes.\We hastened to join you after receiving word from Sir Alfred.\If you're planning to pursue Milza, please let us join you. response:	Then let's split up and pursue him!
context: He might've decided that it would be better to defeat Sir Theo first.\I won't let him!\Pursue Milza!\That's...\- So you survived, Sir Selge? - Yes.\We hastened to join you after receiving word from Sir Alfred.\If you're planning to pursue Milza, please let us join you.\Then let's split up and pursue him! response:	Understood.
context: I won't let him!\Pursue Milza!\That's...\- So you survived, Sir Selge? - Yes.\We hastened to join you after receiving word from Sir Alfred.\If you're planning to pursue Milza, please let us join you.\Then let's split up and pursue him!\Understood. response:	In that case, we'll take the right.
context: Pursue Milza!\That's...\- So you survived, Sir Selge? - Yes.\We hastened to join you after receiving word from Sir Alfred.\If you're planning to pursue Milza, please let us join you.\Then let's split up and pursue him!\Understood.\In that case, we'll take the right. response:	Milza...
context: That's...\- So you survived, Sir Selge? - Yes.\We hastened to join you after receiving word from Sir Alfred.\If you're planning to pursue Milza, please let us join you.\Then let's split up and pursue him!\Understood.\In that case, we'll take the right.\Milza... response:	I won't let you kill the man who'll soon be my Lord!
context: - So you survived, Sir Selge? - Yes.\We hastened to join you after receiving word from Sir Alfred.\If you're planning to pursue Milza, please let us join you.\Then let's split up and pursue him!\Understood.\In that case, we'll take the right.\Milza...\I won't let you kill the man who'll soon be my Lord! response:	Let's go!
context: We hastened to join you after receiving word from Sir Alfred.\If you're planning to pursue Milza, please let us join you.\Then let's split up and pursue him!\Understood.\In that case, we'll take the right.\Milza...\I won't let you kill the man who'll soon be my Lord!\Let's go! response:	Well, this is it.
context: If you're planning to pursue Milza, please let us join you.\Then let's split up and pursue him!\Understood.\In that case, we'll take the right.\Milza...\I won't let you kill the man who'll soon be my Lord!\Let's go!\Well, this is it. response:	As for all the volunteers who showed up, let's send them away from the base.
context: Then let's split up and pursue him!\Understood.\In that case, we'll take the right.\Milza...\I won't let you kill the man who'll soon be my Lord!\Let's go!\Well, this is it.\As for all the volunteers who showed up, let's send them away from the base. response:	Milza is a dangerous opponent.
context: Understood.\In that case, we'll take the right.\Milza...\I won't let you kill the man who'll soon be my Lord!\Let's go!\Well, this is it.\As for all the volunteers who showed up, let's send them away from the base.\Milza is a dangerous opponent. response:	Fighting him will lead to many casualties.
context: In that case, we'll take the right.\Milza...\I won't let you kill the man who'll soon be my Lord!\Let's go!\Well, this is it.\As for all the volunteers who showed up, let's send them away from the base.\Milza is a dangerous opponent.\Fighting him will lead to many casualties. response:	From here, the Lords and regular Knights will be enough.
context: Milza...\I won't let you kill the man who'll soon be my Lord!\Let's go!\Well, this is it.\As for all the volunteers who showed up, let's send them away from the base.\Milza is a dangerous opponent.\Fighting him will lead to many casualties.\From here, the Lords and regular Knights will be enough. response:	If I may, sir, this isn't just your battle. It's also ours, the citizens of Altirks battle as well!
