context: Genshiken response:	I woke up and as usual forgot my cell and missed the Express.
context: I can't run fast, though.\I'm not that strongly-built.\Here I go, at my dauntless pace.\Pass away, today's sadness, raining in the sun!\Hesitation, repetition, dreaming all night, all night.\Farewell sadness, to outer space you go!\Look to the sky and shout at the top of your lungs!\At this tempo! response:	Right now, at this tempo!
context: I'm not that strongly-built.\Here I go, at my dauntless pace.\Pass away, today's sadness, raining in the sun!\Hesitation, repetition, dreaming all night, all night.\Farewell sadness, to outer space you go!\Look to the sky and shout at the top of your lungs!\At this tempo!\Right now, at this tempo! response:	Genshiken Right now, at this tempo!
context: Here I go, at my dauntless pace.\Pass away, today's sadness, raining in the sun!\Hesitation, repetition, dreaming all night, all night.\Farewell sadness, to outer space you go!\Look to the sky and shout at the top of your lungs!\At this tempo!\Right now, at this tempo!\Genshiken Right now, at this tempo! response:	Suioh University
context: Pass away, today's sadness, raining in the sun!\Hesitation, repetition, dreaming all night, all night.\Farewell sadness, to outer space you go!\Look to the sky and shout at the top of your lungs!\At this tempo!\Right now, at this tempo!\Genshiken Right now, at this tempo!\Suioh University response:	The weather's sure nice now.
context: Hesitation, repetition, dreaming all night, all night.\Farewell sadness, to outer space you go!\Look to the sky and shout at the top of your lungs!\At this tempo!\Right now, at this tempo!\Genshiken Right now, at this tempo!\Suioh University\The weather's sure nice now. response:	That it is.
context: Farewell sadness, to outer space you go!\Look to the sky and shout at the top of your lungs!\At this tempo!\Right now, at this tempo!\Genshiken Right now, at this tempo!\Suioh University\The weather's sure nice now.\That it is. response:	Hey, is this a good way to get to building 7?
context: Look to the sky and shout at the top of your lungs!\At this tempo!\Right now, at this tempo!\Genshiken Right now, at this tempo!\Suioh University\The weather's sure nice now.\That it is.\Hey, is this a good way to get to building 7? response:	I think it probably is...
context: At this tempo!\Right now, at this tempo!\Genshiken Right now, at this tempo!\Suioh University\The weather's sure nice now.\That it is.\Hey, is this a good way to get to building 7?\I think it probably is... response:	New freshmen are here already.
context: Right now, at this tempo!\Genshiken Right now, at this tempo!\Suioh University\The weather's sure nice now.\That it is.\Hey, is this a good way to get to building 7?\I think it probably is...\New freshmen are here already. response:	That they are.
context: Genshiken Right now, at this tempo!\Suioh University\The weather's sure nice now.\That it is.\Hey, is this a good way to get to building 7?\I think it probably is...\New freshmen are here already.\That they are. response:	I wonder if Genshiken will get new members.
context: Suioh University\The weather's sure nice now.\That it is.\Hey, is this a good way to get to building 7?\I think it probably is...\New freshmen are here already.\That they are.\I wonder if Genshiken will get new members. response:	I hope not.
context: The weather's sure nice now.\That it is.\Hey, is this a good way to get to building 7?\I think it probably is...\New freshmen are here already.\That they are.\I wonder if Genshiken will get new members.\I hope not. response:	If Genshiken gets more active, it'll be harder for Kohsaka to quit.
context: That it is.\Hey, is this a good way to get to building 7?\I think it probably is...\New freshmen are here already.\That they are.\I wonder if Genshiken will get new members.\I hope not.\If Genshiken gets more active, it'll be harder for Kohsaka to quit. response:	Hi hi!
context: Hey, is this a good way to get to building 7?\I think it probably is...\New freshmen are here already.\That they are.\I wonder if Genshiken will get new members.\I hope not.\If Genshiken gets more active, it'll be harder for Kohsaka to quit.\Hi hi! response:	Sup.
context: I think it probably is...\New freshmen are here already.\That they are.\I wonder if Genshiken will get new members.\I hope not.\If Genshiken gets more active, it'll be harder for Kohsaka to quit.\Hi hi!\Sup. response:	Oh, Saki! Saki!
context: New freshmen are here already.\That they are.\I wonder if Genshiken will get new members.\I hope not.\If Genshiken gets more active, it'll be harder for Kohsaka to quit.\Hi hi!\Sup.\Oh, Saki! Saki! response:	Huh?
context: That they are.\I wonder if Genshiken will get new members.\I hope not.\If Genshiken gets more active, it'll be harder for Kohsaka to quit.\Hi hi!\Sup.\Oh, Saki! Saki!\Huh? response:	Why don't we cosplay together for the freshman activities fair?
context: I wonder if Genshiken will get new members.\I hope not.\If Genshiken gets more active, it'll be harder for Kohsaka to quit.\Hi hi!\Sup.\Oh, Saki! Saki!\Huh?\Why don't we cosplay together for the freshman activities fair? response:	Absolutely not!
context: I hope not.\If Genshiken gets more active, it'll be harder for Kohsaka to quit.\Hi hi!\Sup.\Oh, Saki! Saki!\Huh?\Why don't we cosplay together for the freshman activities fair?\Absolutely not! response:	When on earth are you going to cosplay?
context: If Genshiken gets more active, it'll be harder for Kohsaka to quit.\Hi hi!\Sup.\Oh, Saki! Saki!\Huh?\Why don't we cosplay together for the freshman activities fair?\Absolutely not!\When on earth are you going to cosplay? response:	H-Hold on, you think it's a matter of time?
context: Hi hi!\Sup.\Oh, Saki! Saki!\Huh?\Why don't we cosplay together for the freshman activities fair?\Absolutely not!\When on earth are you going to cosplay?\H-Hold on, you think it's a matter of time? response:	It isn't?
context: Sup.\Oh, Saki! Saki!\Huh?\Why don't we cosplay together for the freshman activities fair?\Absolutely not!\When on earth are you going to cosplay?\H-Hold on, you think it's a matter of time?\It isn't? response:	No, it's not, at all!
context: Oh, Saki! Saki!\Huh?\Why don't we cosplay together for the freshman activities fair?\Absolutely not!\When on earth are you going to cosplay?\H-Hold on, you think it's a matter of time?\It isn't?\No, it's not, at all! response:	Now, now.
context: Huh?\Why don't we cosplay together for the freshman activities fair?\Absolutely not!\When on earth are you going to cosplay?\H-Hold on, you think it's a matter of time?\It isn't?\No, it's not, at all!\Now, now. response:	We've talked about basing our recruitment on cosplay...
context: Why don't we cosplay together for the freshman activities fair?\Absolutely not!\When on earth are you going to cosplay?\H-Hold on, you think it's a matter of time?\It isn't?\No, it's not, at all!\Now, now.\We've talked about basing our recruitment on cosplay... response:	That is, it's just two of us...
context: Absolutely not!\When on earth are you going to cosplay?\H-Hold on, you think it's a matter of time?\It isn't?\No, it's not, at all!\Now, now.\We've talked about basing our recruitment on cosplay...\That is, it's just two of us... response:	We're pretty much the world of hobbies.
context: When on earth are you going to cosplay?\H-Hold on, you think it's a matter of time?\It isn't?\No, it's not, at all!\Now, now.\We've talked about basing our recruitment on cosplay...\That is, it's just two of us...\We're pretty much the world of hobbies. response:	Our members c-can do just about anything they want...
context: H-Hold on, you think it's a matter of time?\It isn't?\No, it's not, at all!\Now, now.\We've talked about basing our recruitment on cosplay...\That is, it's just two of us...\We're pretty much the world of hobbies.\Our members c-can do just about anything they want... response:	So yeah, that's the general feeling.
context: It isn't?\No, it's not, at all!\Now, now.\We've talked about basing our recruitment on cosplay...\That is, it's just two of us...\We're pretty much the world of hobbies.\Our members c-can do just about anything they want...\So yeah, that's the general feeling. response:	But I want to do it every chance I get!
context: No, it's not, at all!\Now, now.\We've talked about basing our recruitment on cosplay...\That is, it's just two of us...\We're pretty much the world of hobbies.\Our members c-can do just about anything they want...\So yeah, that's the general feeling.\But I want to do it every chance I get! response:	Uh, yeah...
context: Now, now.\We've talked about basing our recruitment on cosplay...\That is, it's just two of us...\We're pretty much the world of hobbies.\Our members c-can do just about anything they want...\So yeah, that's the general feeling.\But I want to do it every chance I get!\Uh, yeah... response:	Your personality sure changes when it comes to cosplay...
context: We've talked about basing our recruitment on cosplay...\That is, it's just two of us...\We're pretty much the world of hobbies.\Our members c-can do just about anything they want...\So yeah, that's the general feeling.\But I want to do it every chance I get!\Uh, yeah...\Your personality sure changes when it comes to cosplay... response:	It does?
context: That is, it's just two of us...\We're pretty much the world of hobbies.\Our members c-can do just about anything they want...\So yeah, that's the general feeling.\But I want to do it every chance I get!\Uh, yeah...\Your personality sure changes when it comes to cosplay...\It does? response:	Don't look at me if any weirdos show up.
context: We're pretty much the world of hobbies.\Our members c-can do just about anything they want...\So yeah, that's the general feeling.\But I want to do it every chance I get!\Uh, yeah...\Your personality sure changes when it comes to cosplay...\It does?\Don't look at me if any weirdos show up. response:	I'd say it's a little late to worry about that now.
context: Our members c-can do just about anything they want...\So yeah, that's the general feeling.\But I want to do it every chance I get!\Uh, yeah...\Your personality sure changes when it comes to cosplay...\It does?\Don't look at me if any weirdos show up.\I'd say it's a little late to worry about that now. response:	Because there's already plenty of them here?
context: So yeah, that's the general feeling.\But I want to do it every chance I get!\Uh, yeah...\Your personality sure changes when it comes to cosplay...\It does?\Don't look at me if any weirdos show up.\I'd say it's a little late to worry about that now.\Because there's already plenty of them here? response:	So, aren't you going to start the number umpteen-hundred meeting thing?
context: But I want to do it every chance I get!\Uh, yeah...\Your personality sure changes when it comes to cosplay...\It does?\Don't look at me if any weirdos show up.\I'd say it's a little late to worry about that now.\Because there's already plenty of them here?\So, aren't you going to start the number umpteen-hundred meeting thing? response:	Why wait?
context: Uh, yeah...\Your personality sure changes when it comes to cosplay...\It does?\Don't look at me if any weirdos show up.\I'd say it's a little late to worry about that now.\Because there's already plenty of them here?\So, aren't you going to start the number umpteen-hundred meeting thing?\Why wait? response:	Huh, so that's your disposition.
context: Your personality sure changes when it comes to cosplay...\It does?\Don't look at me if any weirdos show up.\I'd say it's a little late to worry about that now.\Because there's already plenty of them here?\So, aren't you going to start the number umpteen-hundred meeting thing?\Why wait?\Huh, so that's your disposition. response:	The original story goes into a second part...
context: It does?\Don't look at me if any weirdos show up.\I'd say it's a little late to worry about that now.\Because there's already plenty of them here?\So, aren't you going to start the number umpteen-hundred meeting thing?\Why wait?\Huh, so that's your disposition.\The original story goes into a second part... response:	And they get through okay.
context: Don't look at me if any weirdos show up.\I'd say it's a little late to worry about that now.\Because there's already plenty of them here?\So, aren't you going to start the number umpteen-hundred meeting thing?\Why wait?\Huh, so that's your disposition.\The original story goes into a second part...\And they get through okay. response:	A-At this point it's n-nostalgic to see Alex.
context: I'd say it's a little late to worry about that now.\Because there's already plenty of them here?\So, aren't you going to start the number umpteen-hundred meeting thing?\Why wait?\Huh, so that's your disposition.\The original story goes into a second part...\And they get through okay.\A-At this point it's n-nostalgic to see Alex. response:	Good stuff.
context: Because there's already plenty of them here?\So, aren't you going to start the number umpteen-hundred meeting thing?\Why wait?\Huh, so that's your disposition.\The original story goes into a second part...\And they get through okay.\A-At this point it's n-nostalgic to see Alex.\Good stuff. response:	How can you watch this over and over so much?
context: So, aren't you going to start the number umpteen-hundred meeting thing?\Why wait?\Huh, so that's your disposition.\The original story goes into a second part...\And they get through okay.\A-At this point it's n-nostalgic to see Alex.\Good stuff.\How can you watch this over and over so much? response:	Huh?
context: Why wait?\Huh, so that's your disposition.\The original story goes into a second part...\And they get through okay.\A-At this point it's n-nostalgic to see Alex.\Good stuff.\How can you watch this over and over so much?\Huh? response:	Is it interesting?
context: Huh, so that's your disposition.\The original story goes into a second part...\And they get through okay.\A-At this point it's n-nostalgic to see Alex.\Good stuff.\How can you watch this over and over so much?\Huh?\Is it interesting? response:	Uh, you can't really simplify it that much...
context: The original story goes into a second part...\And they get through okay.\A-At this point it's n-nostalgic to see Alex.\Good stuff.\How can you watch this over and over so much?\Huh?\Is it interesting?\Uh, you can't really simplify it that much... response:	We watch it because it's interesting to see whether it's interesting or not...
context: And they get through okay.\A-At this point it's n-nostalgic to see Alex.\Good stuff.\How can you watch this over and over so much?\Huh?\Is it interesting?\Uh, you can't really simplify it that much...\We watch it because it's interesting to see whether it's interesting or not... response:	You're no fun, girl.
context: A-At this point it's n-nostalgic to see Alex.\Good stuff.\How can you watch this over and over so much?\Huh?\Is it interesting?\Uh, you can't really simplify it that much...\We watch it because it's interesting to see whether it's interesting or not...\You're no fun, girl. response:	Miss President...
context: Good stuff.\How can you watch this over and over so much?\Huh?\Is it interesting?\Uh, you can't really simplify it that much...\We watch it because it's interesting to see whether it's interesting or not...\You're no fun, girl.\Miss President... response:	Our chairman!
context: How can you watch this over and over so much?\Huh?\Is it interesting?\Uh, you can't really simplify it that much...\We watch it because it's interesting to see whether it's interesting or not...\You're no fun, girl.\Miss President...\Our chairman! response:	Did he graduate? Did he leave the school?
context: Huh?\Is it interesting?\Uh, you can't really simplify it that much...\We watch it because it's interesting to see whether it's interesting or not...\You're no fun, girl.\Miss President...\Our chairman!\Did he graduate? Did he leave the school? response:	Um, the chairman?
context: Is it interesting?\Uh, you can't really simplify it that much...\We watch it because it's interesting to see whether it's interesting or not...\You're no fun, girl.\Miss President...\Our chairman!\Did he graduate? Did he leave the school?\Um, the chairman? response:	No, I don't know...
context: Uh, you can't really simplify it that much...\We watch it because it's interesting to see whether it's interesting or not...\You're no fun, girl.\Miss President...\Our chairman!\Did he graduate? Did he leave the school?\Um, the chairman?\No, I don't know... response:	She's right, w-where is he?
context: We watch it because it's interesting to see whether it's interesting or not...\You're no fun, girl.\Miss President...\Our chairman!\Did he graduate? Did he leave the school?\Um, the chairman?\No, I don't know...\She's right, w-where is he? response:	Who knows?
context: You're no fun, girl.\Miss President...\Our chairman!\Did he graduate? Did he leave the school?\Um, the chairman?\No, I don't know...\She's right, w-where is he?\Who knows? response:	Did he find a job? Is he going to graduate? Is he repeating a year?
context: Miss President...\Our chairman!\Did he graduate? Did he leave the school?\Um, the chairman?\No, I don't know...\She's right, w-where is he?\Who knows?\Did he find a job? Is he going to graduate? Is he repeating a year? response:	Wait, what year was he in to begin with?
context: Our chairman!\Did he graduate? Did he leave the school?\Um, the chairman?\No, I don't know...\She's right, w-where is he?\Who knows?\Did he find a job? Is he going to graduate? Is he repeating a year?\Wait, what year was he in to begin with? response:	I'm still here.
context: Did he graduate? Did he leave the school?\Um, the chairman?\No, I don't know...\She's right, w-where is he?\Who knows?\Did he find a job? Is he going to graduate? Is he repeating a year?\Wait, what year was he in to begin with?\I'm still here. response:	You needn't be so startled.
context: Um, the chairman?\No, I don't know...\She's right, w-where is he?\Who knows?\Did he find a job? Is he going to graduate? Is he repeating a year?\Wait, what year was he in to begin with?\I'm still here.\You needn't be so startled. response:	You always startle me.
context: No, I don't know...\She's right, w-where is he?\Who knows?\Did he find a job? Is he going to graduate? Is he repeating a year?\Wait, what year was he in to begin with?\I'm still here.\You needn't be so startled.\You always startle me. response:	Because of a guilty conscience?
context: She's right, w-where is he?\Who knows?\Did he find a job? Is he going to graduate? Is he repeating a year?\Wait, what year was he in to begin with?\I'm still here.\You needn't be so startled.\You always startle me.\Because of a guilty conscience? response:	Not in the least!
context: Who knows?\Did he find a job? Is he going to graduate? Is he repeating a year?\Wait, what year was he in to begin with?\I'm still here.\You needn't be so startled.\You always startle me.\Because of a guilty conscience?\Not in the least! response:	That means you can rest at ease.
context: Did he find a job? Is he going to graduate? Is he repeating a year?\Wait, what year was he in to begin with?\I'm still here.\You needn't be so startled.\You always startle me.\Because of a guilty conscience?\Not in the least!\That means you can rest at ease. response:	I have an announcement to make.
context: Wait, what year was he in to begin with?\I'm still here.\You needn't be so startled.\You always startle me.\Because of a guilty conscience?\Not in the least!\That means you can rest at ease.\I have an announcement to make. response:	What?
context: I'm still here.\You needn't be so startled.\You always startle me.\Because of a guilty conscience?\Not in the least!\That means you can rest at ease.\I have an announcement to make.\What? response:	I think I'll retire as chairman.
context: You needn't be so startled.\You always startle me.\Because of a guilty conscience?\Not in the least!\That means you can rest at ease.\I have an announcement to make.\What?\I think I'll retire as chairman. response:	That's a very sudden and weighty announcement.
context: You always startle me.\Because of a guilty conscience?\Not in the least!\That means you can rest at ease.\I have an announcement to make.\What?\I think I'll retire as chairman.\That's a very sudden and weighty announcement. response:	I figured I would get around to graduating.
context: Because of a guilty conscience?\Not in the least!\That means you can rest at ease.\I have an announcement to make.\What?\I think I'll retire as chairman.\That's a very sudden and weighty announcement.\I figured I would get around to graduating. response:	Get around to? After how long?
context: Not in the least!\That means you can rest at ease.\I have an announcement to make.\What?\I think I'll retire as chairman.\That's a very sudden and weighty announcement.\I figured I would get around to graduating.\Get around to? After how long? response:	T-Then he hasn't thought about it until n-now?
context: That means you can rest at ease.\I have an announcement to make.\What?\I think I'll retire as chairman.\That's a very sudden and weighty announcement.\I figured I would get around to graduating.\Get around to? After how long?\T-Then he hasn't thought about it until n-now? response:	I plan to spend all year writing my graduation thesis.
context: I have an announcement to make.\What?\I think I'll retire as chairman.\That's a very sudden and weighty announcement.\I figured I would get around to graduating.\Get around to? After how long?\T-Then he hasn't thought about it until n-now?\I plan to spend all year writing my graduation thesis. response:	I've gathered plenty of data.
context: What?\I think I'll retire as chairman.\That's a very sudden and weighty announcement.\I figured I would get around to graduating.\Get around to? After how long?\T-Then he hasn't thought about it until n-now?\I plan to spend all year writing my graduation thesis.\I've gathered plenty of data. response:	What data?
context: I think I'll retire as chairman.\That's a very sudden and weighty announcement.\I figured I would get around to graduating.\Get around to? After how long?\T-Then he hasn't thought about it until n-now?\I plan to spend all year writing my graduation thesis.\I've gathered plenty of data.\What data? response:	Therefore I'd like to recommend Madarame as the next chairman.
context: That's a very sudden and weighty announcement.\I figured I would get around to graduating.\Get around to? After how long?\T-Then he hasn't thought about it until n-now?\I plan to spend all year writing my graduation thesis.\I've gathered plenty of data.\What data?\Therefore I'd like to recommend Madarame as the next chairman. response:	What, me?
context: I figured I would get around to graduating.\Get around to? After how long?\T-Then he hasn't thought about it until n-now?\I plan to spend all year writing my graduation thesis.\I've gathered plenty of data.\What data?\Therefore I'd like to recommend Madarame as the next chairman.\What, me? response:	Oh, good idea.
context: Get around to? After how long?\T-Then he hasn't thought about it until n-now?\I plan to spend all year writing my graduation thesis.\I've gathered plenty of data.\What data?\Therefore I'd like to recommend Madarame as the next chairman.\What, me?\Oh, good idea. response:	It essentially already feels that way anyway.
context: T-Then he hasn't thought about it until n-now?\I plan to spend all year writing my graduation thesis.\I've gathered plenty of data.\What data?\Therefore I'd like to recommend Madarame as the next chairman.\What, me?\Oh, good idea.\It essentially already feels that way anyway. response:	A-And the only other senior is Haraguchi...
context: I plan to spend all year writing my graduation thesis.\I've gathered plenty of data.\What data?\Therefore I'd like to recommend Madarame as the next chairman.\What, me?\Oh, good idea.\It essentially already feels that way anyway.\A-And the only other senior is Haraguchi... response:	Don't worry.
context: I've gathered plenty of data.\What data?\Therefore I'd like to recommend Madarame as the next chairman.\What, me?\Oh, good idea.\It essentially already feels that way anyway.\A-And the only other senior is Haraguchi...\Don't worry. response:	I myself left all the practicalities to Tanaka anyway.
context: What data?\Therefore I'd like to recommend Madarame as the next chairman.\What, me?\Oh, good idea.\It essentially already feels that way anyway.\A-And the only other senior is Haraguchi...\Don't worry.\I myself left all the practicalities to Tanaka anyway. response:	Oh... then maybe we should offer it to Tanaka first...
context: Therefore I'd like to recommend Madarame as the next chairman.\What, me?\Oh, good idea.\It essentially already feels that way anyway.\A-And the only other senior is Haraguchi...\Don't worry.\I myself left all the practicalities to Tanaka anyway.\Oh... then maybe we should offer it to Tanaka first... response:	Just do it. You're qualified.
context: What, me?\Oh, good idea.\It essentially already feels that way anyway.\A-And the only other senior is Haraguchi...\Don't worry.\I myself left all the practicalities to Tanaka anyway.\Oh... then maybe we should offer it to Tanaka first...\Just do it. You're qualified. response:	Yeah? Okay then...
context: Oh, good idea.\It essentially already feels that way anyway.\A-And the only other senior is Haraguchi...\Don't worry.\I myself left all the practicalities to Tanaka anyway.\Oh... then maybe we should offer it to Tanaka first...\Just do it. You're qualified.\Yeah? Okay then... response:	I'll give it a go...
context: It essentially already feels that way anyway.\A-And the only other senior is Haraguchi...\Don't worry.\I myself left all the practicalities to Tanaka anyway.\Oh... then maybe we should offer it to Tanaka first...\Just do it. You're qualified.\Yeah? Okay then...\I'll give it a go... response:	Congratulations, you're our second chairman.
context: A-And the only other senior is Haraguchi...\Don't worry.\I myself left all the practicalities to Tanaka anyway.\Oh... then maybe we should offer it to Tanaka first...\Just do it. You're qualified.\Yeah? Okay then...\I'll give it a go...\Congratulations, you're our second chairman. response:	The second?
context: Don't worry.\I myself left all the practicalities to Tanaka anyway.\Oh... then maybe we should offer it to Tanaka first...\Just do it. You're qualified.\Yeah? Okay then...\I'll give it a go...\Congratulations, you're our second chairman.\The second? response:	That's all? The second?
context: I myself left all the practicalities to Tanaka anyway.\Oh... then maybe we should offer it to Tanaka first...\Just do it. You're qualified.\Yeah? Okay then...\I'll give it a go...\Congratulations, you're our second chairman.\The second?\That's all? The second? response:	He's gone!
context: Oh... then maybe we should offer it to Tanaka first...\Just do it. You're qualified.\Yeah? Okay then...\I'll give it a go...\Congratulations, you're our second chairman.\The second?\That's all? The second?\He's gone! response:	No Photographs, please Genshiken
context: Just do it. You're qualified.\Yeah? Okay then...\I'll give it a go...\Congratulations, you're our second chairman.\The second?\That's all? The second?\He's gone!\No Photographs, please Genshiken response:	All right, then.
context: Yeah? Okay then...\I'll give it a go...\Congratulations, you're our second chairman.\The second?\That's all? The second?\He's gone!\No Photographs, please Genshiken\All right, then. response:	Suioh University
context: I'll give it a go...\Congratulations, you're our second chairman.\The second?\That's all? The second?\He's gone!\No Photographs, please Genshiken\All right, then.\Suioh University response:	What? Two people joined?
context: Congratulations, you're our second chairman.\The second?\That's all? The second?\He's gone!\No Photographs, please Genshiken\All right, then.\Suioh University\What? Two people joined? response:	They're still just provisional.
context: The second?\That's all? The second?\He's gone!\No Photographs, please Genshiken\All right, then.\Suioh University\What? Two people joined?\They're still just provisional. response:	I haven't even met them.
context: That's all? The second?\He's gone!\No Photographs, please Genshiken\All right, then.\Suioh University\What? Two people joined?\They're still just provisional.\I haven't even met them. response:	Even a club like this gets new members...
context: He's gone!\No Photographs, please Genshiken\All right, then.\Suioh University\What? Two people joined?\They're still just provisional.\I haven't even met them.\Even a club like this gets new members... response:	I wonder what they're like.
context: No Photographs, please Genshiken\All right, then.\Suioh University\What? Two people joined?\They're still just provisional.\I haven't even met them.\Even a club like this gets new members...\I wonder what they're like. response:	Oh.
context: All right, then.\Suioh University\What? Two people joined?\They're still just provisional.\I haven't even met them.\Even a club like this gets new members...\I wonder what they're like.\Oh. response:	Oh what?
context: Suioh University\What? Two people joined?\They're still just provisional.\I haven't even met them.\Even a club like this gets new members...\I wonder what they're like.\Oh.\Oh what? response:	Oh, right now...
context: What? Two people joined?\They're still just provisional.\I haven't even met them.\Even a club like this gets new members...\I wonder what they're like.\Oh.\Oh what?\Oh, right now... response:	What?
context: They're still just provisional.\I haven't even met them.\Even a club like this gets new members...\I wonder what they're like.\Oh.\Oh what?\Oh, right now...\What? response:	Uh, ah...
context: I haven't even met them.\Even a club like this gets new members...\I wonder what they're like.\Oh.\Oh what?\Oh, right now...\What?\Uh, ah... response:	Ahh, so much for the surprise test...
context: Even a club like this gets new members...\I wonder what they're like.\Oh.\Oh what?\Oh, right now...\What?\Uh, ah...\Ahh, so much for the surprise test... response:	Hey, new guys.
context: I wonder what they're like.\Oh.\Oh what?\Oh, right now...\What?\Uh, ah...\Ahh, so much for the surprise test...\Hey, new guys. response:	Um...
context: Oh.\Oh what?\Oh, right now...\What?\Uh, ah...\Ahh, so much for the surprise test...\Hey, new guys.\Um... response:	Hi there...
context: Oh what?\Oh, right now...\What?\Uh, ah...\Ahh, so much for the surprise test...\Hey, new guys.\Um...\Hi there... response:	I'm Sawazaki.
context: Oh, right now...\What?\Uh, ah...\Ahh, so much for the surprise test...\Hey, new guys.\Um...\Hi there...\I'm Sawazaki. response:	My name is Kuchiki.
context: What?\Uh, ah...\Ahh, so much for the surprise test...\Hey, new guys.\Um...\Hi there...\I'm Sawazaki.\My name is Kuchiki. response:	Please call me Coochy.
context: Uh, ah...\Ahh, so much for the surprise test...\Hey, new guys.\Um...\Hi there...\I'm Sawazaki.\My name is Kuchiki.\Please call me Coochy. response:	Not on your life!
context: Ahh, so much for the surprise test...\Hey, new guys.\Um...\Hi there...\I'm Sawazaki.\My name is Kuchiki.\Please call me Coochy.\Not on your life! response:	Now, now.
context: Hey, new guys.\Um...\Hi there...\I'm Sawazaki.\My name is Kuchiki.\Please call me Coochy.\Not on your life!\Now, now. response:	As for me...
context: Um...\Hi there...\I'm Sawazaki.\My name is Kuchiki.\Please call me Coochy.\Not on your life!\Now, now.\As for me... response:	Oh forget it, whatever.
context: Hi there...\I'm Sawazaki.\My name is Kuchiki.\Please call me Coochy.\Not on your life!\Now, now.\As for me...\Oh forget it, whatever. response:	Come on now, Kasukabe.
context: I'm Sawazaki.\My name is Kuchiki.\Please call me Coochy.\Not on your life!\Now, now.\As for me...\Oh forget it, whatever.\Come on now, Kasukabe. response:	You know, I guess I just don't have an otaku name.
context: My name is Kuchiki.\Please call me Coochy.\Not on your life!\Now, now.\As for me...\Oh forget it, whatever.\Come on now, Kasukabe.\You know, I guess I just don't have an otaku name. response:	I'm sorry, she's a mundane.
context: Please call me Coochy.\Not on your life!\Now, now.\As for me...\Oh forget it, whatever.\Come on now, Kasukabe.\You know, I guess I just don't have an otaku name.\I'm sorry, she's a mundane. response:	Oh, then she doesn't cosplay or anything.
context: Not on your life!\Now, now.\As for me...\Oh forget it, whatever.\Come on now, Kasukabe.\You know, I guess I just don't have an otaku name.\I'm sorry, she's a mundane.\Oh, then she doesn't cosplay or anything. response:	Cosplay? You mean Ohno?
context: Now, now.\As for me...\Oh forget it, whatever.\Come on now, Kasukabe.\You know, I guess I just don't have an otaku name.\I'm sorry, she's a mundane.\Oh, then she doesn't cosplay or anything.\Cosplay? You mean Ohno? response:	Did her cosplay dazzle you?
context: As for me...\Oh forget it, whatever.\Come on now, Kasukabe.\You know, I guess I just don't have an otaku name.\I'm sorry, she's a mundane.\Oh, then she doesn't cosplay or anything.\Cosplay? You mean Ohno?\Did her cosplay dazzle you? response:	Kasukabe...
context: Oh forget it, whatever.\Come on now, Kasukabe.\You know, I guess I just don't have an otaku name.\I'm sorry, she's a mundane.\Oh, then she doesn't cosplay or anything.\Cosplay? You mean Ohno?\Did her cosplay dazzle you?\Kasukabe... response:	N-No, it meant nothing!
