context: Our life of two-timing cohabitation is off to a start. response:	Right off the bat, Saki-san had suspicions about me.
context: To stay together, we have to keep our relationship a secret at school.\Secret Two-Timing\I have to pretend Naoya-kun and Saki-san are strangers...\But I accidentally made lunch for the three of us.\We can't even eat together...\We shouldn't be acting like strangers just so that we can keep our secret.\Yeah.\The roof gets crowded. response:	Let's eat together up here in secret.
context: Secret Two-Timing\I have to pretend Naoya-kun and Saki-san are strangers...\But I accidentally made lunch for the three of us.\We can't even eat together...\We shouldn't be acting like strangers just so that we can keep our secret.\Yeah.\The roof gets crowded.\Let's eat together up here in secret. response:	Okay.
context: I have to pretend Naoya-kun and Saki-san are strangers...\But I accidentally made lunch for the three of us.\We can't even eat together...\We shouldn't be acting like strangers just so that we can keep our secret.\Yeah.\The roof gets crowded.\Let's eat together up here in secret.\Okay. response:	Quietly, so no one notices us.
context: But I accidentally made lunch for the three of us.\We can't even eat together...\We shouldn't be acting like strangers just so that we can keep our secret.\Yeah.\The roof gets crowded.\Let's eat together up here in secret.\Okay.\Quietly, so no one notices us. response:	You don't have to do that for me.
context: We can't even eat together...\We shouldn't be acting like strangers just so that we can keep our secret.\Yeah.\The roof gets crowded.\Let's eat together up here in secret.\Okay.\Quietly, so no one notices us.\You don't have to do that for me. response:	Don't worry about it.
context: We shouldn't be acting like strangers just so that we can keep our secret.\Yeah.\The roof gets crowded.\Let's eat together up here in secret.\Okay.\Quietly, so no one notices us.\You don't have to do that for me.\Don't worry about it. response:	But Naoya-kun already offered to date both of us.
context: Yeah.\The roof gets crowded.\Let's eat together up here in secret.\Okay.\Quietly, so no one notices us.\You don't have to do that for me.\Don't worry about it.\But Naoya-kun already offered to date both of us. response:	I'm happy enough as it is.
context: The roof gets crowded.\Let's eat together up here in secret.\Okay.\Quietly, so no one notices us.\You don't have to do that for me.\Don't worry about it.\But Naoya-kun already offered to date both of us.\I'm happy enough as it is. response:	Wouldn't expecting us to have fun together at school be asking for too much?
context: Let's eat together up here in secret.\Okay.\Quietly, so no one notices us.\You don't have to do that for me.\Don't worry about it.\But Naoya-kun already offered to date both of us.\I'm happy enough as it is.\Wouldn't expecting us to have fun together at school be asking for too much? response:	W-Would it?
context: Okay.\Quietly, so no one notices us.\You don't have to do that for me.\Don't worry about it.\But Naoya-kun already offered to date both of us.\I'm happy enough as it is.\Wouldn't expecting us to have fun together at school be asking for too much?\W-Would it? response:	Did you hear something?
context: Quietly, so no one notices us.\You don't have to do that for me.\Don't worry about it.\But Naoya-kun already offered to date both of us.\I'm happy enough as it is.\Wouldn't expecting us to have fun together at school be asking for too much?\W-Would it?\Did you hear something? response:	Shoot!
context: You don't have to do that for me.\Don't worry about it.\But Naoya-kun already offered to date both of us.\I'm happy enough as it is.\Wouldn't expecting us to have fun together at school be asking for too much?\W-Would it?\Did you hear something?\Shoot! response:	Besides, you made this lunch because you wanted to eat with us at school, right?
context: Don't worry about it.\But Naoya-kun already offered to date both of us.\I'm happy enough as it is.\Wouldn't expecting us to have fun together at school be asking for too much?\W-Would it?\Did you hear something?\Shoot!\Besides, you made this lunch because you wanted to eat with us at school, right? response:	W-Well...
context: But Naoya-kun already offered to date both of us.\I'm happy enough as it is.\Wouldn't expecting us to have fun together at school be asking for too much?\W-Would it?\Did you hear something?\Shoot!\Besides, you made this lunch because you wanted to eat with us at school, right?\W-Well... response:	M-Minase-san...
context: I'm happy enough as it is.\Wouldn't expecting us to have fun together at school be asking for too much?\W-Would it?\Did you hear something?\Shoot!\Besides, you made this lunch because you wanted to eat with us at school, right?\W-Well...\M-Minase-san... response:	You're too modest!
context: Wouldn't expecting us to have fun together at school be asking for too much?\W-Would it?\Did you hear something?\Shoot!\Besides, you made this lunch because you wanted to eat with us at school, right?\W-Well...\M-Minase-san...\You're too modest! response:	Pipe down!
context: W-Would it?\Did you hear something?\Shoot!\Besides, you made this lunch because you wanted to eat with us at school, right?\W-Well...\M-Minase-san...\You're too modest!\Pipe down! response:	Anyway, isn't that true?
context: Did you hear something?\Shoot!\Besides, you made this lunch because you wanted to eat with us at school, right?\W-Well...\M-Minase-san...\You're too modest!\Pipe down!\Anyway, isn't that true? response:	It's true that eating lunch together...
context: Shoot!\Besides, you made this lunch because you wanted to eat with us at school, right?\W-Well...\M-Minase-san...\You're too modest!\Pipe down!\Anyway, isn't that true?\It's true that eating lunch together... response:	Delicious!
context: Besides, you made this lunch because you wanted to eat with us at school, right?\W-Well...\M-Minase-san...\You're too modest!\Pipe down!\Anyway, isn't that true?\It's true that eating lunch together...\Delicious! response:	Yeah!
context: W-Well...\M-Minase-san...\You're too modest!\Pipe down!\Anyway, isn't that true?\It's true that eating lunch together...\Delicious!\Yeah! response:	I'm so glad!
context: M-Minase-san...\You're too modest!\Pipe down!\Anyway, isn't that true?\It's true that eating lunch together...\Delicious!\Yeah!\I'm so glad! response:	Let's eat together!
context: You're too modest!\Pipe down!\Anyway, isn't that true?\It's true that eating lunch together...\Delicious!\Yeah!\I'm so glad!\Let's eat together! response:	Is someone up there?
context: Pipe down!\Anyway, isn't that true?\It's true that eating lunch together...\Delicious!\Yeah!\I'm so glad!\Let's eat together!\Is someone up there? response:	You're not allowed up there.
context: Anyway, isn't that true?\It's true that eating lunch together...\Delicious!\Yeah!\I'm so glad!\Let's eat together!\Is someone up there?\You're not allowed up there. response:	Shoot! Let's bounce!
context: It's true that eating lunch together...\Delicious!\Yeah!\I'm so glad!\Let's eat together!\Is someone up there?\You're not allowed up there.\Shoot! Let's bounce! response:	Girlfriend, Girlfriend
context: Delicious!\Yeah!\I'm so glad!\Let's eat together!\Is someone up there?\You're not allowed up there.\Shoot! Let's bounce!\Girlfriend, Girlfriend response:	Girlfriend, Girlfriend
context: Yeah!\I'm so glad!\Let's eat together!\Is someone up there?\You're not allowed up there.\Shoot! Let's bounce!\Girlfriend, Girlfriend\Girlfriend, Girlfriend response:	Episode 3
context: I'm so glad!\Let's eat together!\Is someone up there?\You're not allowed up there.\Shoot! Let's bounce!\Girlfriend, Girlfriend\Girlfriend, Girlfriend\Episode 3 response:	A Place for Three
context: Let's eat together!\Is someone up there?\You're not allowed up there.\Shoot! Let's bounce!\Girlfriend, Girlfriend\Girlfriend, Girlfriend\Episode 3\A Place for Three response:	Let's find a place to have lunch together.
context: Is someone up there?\You're not allowed up there.\Shoot! Let's bounce!\Girlfriend, Girlfriend\Girlfriend, Girlfriend\Episode 3\A Place for Three\Let's find a place to have lunch together. response:	But I was the one who made the lunch without even asking.
context: You're not allowed up there.\Shoot! Let's bounce!\Girlfriend, Girlfriend\Girlfriend, Girlfriend\Episode 3\A Place for Three\Let's find a place to have lunch together.\But I was the one who made the lunch without even asking. response:	Never mind that!
context: Shoot! Let's bounce!\Girlfriend, Girlfriend\Girlfriend, Girlfriend\Episode 3\A Place for Three\Let's find a place to have lunch together.\But I was the one who made the lunch without even asking.\Never mind that! response:	Yeah!
context: Girlfriend, Girlfriend\Girlfriend, Girlfriend\Episode 3\A Place for Three\Let's find a place to have lunch together.\But I was the one who made the lunch without even asking.\Never mind that!\Yeah! response:	Let us do this for you!
context: Girlfriend, Girlfriend\Episode 3\A Place for Three\Let's find a place to have lunch together.\But I was the one who made the lunch without even asking.\Never mind that!\Yeah!\Let us do this for you! response:	Naoya-kun, Saki-san...
context: Episode 3\A Place for Three\Let's find a place to have lunch together.\But I was the one who made the lunch without even asking.\Never mind that!\Yeah!\Let us do this for you!\Naoya-kun, Saki-san... response:	Where's a good spot?
context: A Place for Three\Let's find a place to have lunch together.\But I was the one who made the lunch without even asking.\Never mind that!\Yeah!\Let us do this for you!\Naoya-kun, Saki-san...\Where's a good spot? response:	Hey...
context: Let's find a place to have lunch together.\But I was the one who made the lunch without even asking.\Never mind that!\Yeah!\Let us do this for you!\Naoya-kun, Saki-san...\Where's a good spot?\Hey... response:	I know of a quiet place at school.
context: But I was the one who made the lunch without even asking.\Never mind that!\Yeah!\Let us do this for you!\Naoya-kun, Saki-san...\Where's a good spot?\Hey...\I know of a quiet place at school. response:	You do?
context: Never mind that!\Yeah!\Let us do this for you!\Naoya-kun, Saki-san...\Where's a good spot?\Hey...\I know of a quiet place at school.\You do? response:	I spent a lot of time alone in middle school.
context: Yeah!\Let us do this for you!\Naoya-kun, Saki-san...\Where's a good spot?\Hey...\I know of a quiet place at school.\You do?\I spent a lot of time alone in middle school. response:	What is this sad information?!
context: Let us do this for you!\Naoya-kun, Saki-san...\Where's a good spot?\Hey...\I know of a quiet place at school.\You do?\I spent a lot of time alone in middle school.\What is this sad information?! response:	L-Let's check it out.
context: Naoya-kun, Saki-san...\Where's a good spot?\Hey...\I know of a quiet place at school.\You do?\I spent a lot of time alone in middle school.\What is this sad information?!\L-Let's check it out. response:	Right!
context: Where's a good spot?\Hey...\I know of a quiet place at school.\You do?\I spent a lot of time alone in middle school.\What is this sad information?!\L-Let's check it out.\Right! response:	What do you think?
context: Hey...\I know of a quiet place at school.\You do?\I spent a lot of time alone in middle school.\What is this sad information?!\L-Let's check it out.\Right!\What do you think? response:	It's a restroom!
context: I know of a quiet place at school.\You do?\I spent a lot of time alone in middle school.\What is this sad information?!\L-Let's check it out.\Right!\What do you think?\It's a restroom! response:	It stinks!
context: You do?\I spent a lot of time alone in middle school.\What is this sad information?!\L-Let's check it out.\Right!\What do you think?\It's a restroom!\It stinks! response:	Well, a little.
context: I spent a lot of time alone in middle school.\What is this sad information?!\L-Let's check it out.\Right!\What do you think?\It's a restroom!\It stinks!\Well, a little. response:	Not just a little!
context: What is this sad information?!\L-Let's check it out.\Right!\What do you think?\It's a restroom!\It stinks!\Well, a little.\Not just a little! response:	I can't eat in a place like this!
context: L-Let's check it out.\Right!\What do you think?\It's a restroom!\It stinks!\Well, a little.\Not just a little!\I can't eat in a place like this! response:	B-But...
context: Right!\What do you think?\It's a restroom!\It stinks!\Well, a little.\Not just a little!\I can't eat in a place like this!\B-But... response:	The cleaners don't come to the schoolyard restroom often,
context: What do you think?\It's a restroom!\It stinks!\Well, a little.\Not just a little!\I can't eat in a place like this!\B-But...\The cleaners don't come to the schoolyard restroom often, response:	and no one uses it during lunch.
context: It's a restroom!\It stinks!\Well, a little.\Not just a little!\I can't eat in a place like this!\B-But...\The cleaners don't come to the schoolyard restroom often,\and no one uses it during lunch. response:	That's nasty!
context: It stinks!\Well, a little.\Not just a little!\I can't eat in a place like this!\B-But...\The cleaners don't come to the schoolyard restroom often,\and no one uses it during lunch.\That's nasty! response:	Isn't there anywhere else?
context: Well, a little.\Not just a little!\I can't eat in a place like this!\B-But...\The cleaners don't come to the schoolyard restroom often,\and no one uses it during lunch.\That's nasty!\Isn't there anywhere else? response:	Th-Then...
context: Not just a little!\I can't eat in a place like this!\B-But...\The cleaners don't come to the schoolyard restroom often,\and no one uses it during lunch.\That's nasty!\Isn't there anywhere else?\Th-Then... response:	Behind the restroom?
context: I can't eat in a place like this!\B-But...\The cleaners don't come to the schoolyard restroom often,\and no one uses it during lunch.\That's nasty!\Isn't there anywhere else?\Th-Then...\Behind the restroom? response:	It still stinks!
context: B-But...\The cleaners don't come to the schoolyard restroom often,\and no one uses it during lunch.\That's nasty!\Isn't there anywhere else?\Th-Then...\Behind the restroom?\It still stinks! response:	I'm getting both male and female restroom stank!
context: The cleaners don't come to the schoolyard restroom often,\and no one uses it during lunch.\That's nasty!\Isn't there anywhere else?\Th-Then...\Behind the restroom?\It still stinks!\I'm getting both male and female restroom stank! response:	I thought it might be less dirty than inside.
context: and no one uses it during lunch.\That's nasty!\Isn't there anywhere else?\Th-Then...\Behind the restroom?\It still stinks!\I'm getting both male and female restroom stank!\I thought it might be less dirty than inside. response:	Eek! And there are creepy bugs!
context: That's nasty!\Isn't there anywhere else?\Th-Then...\Behind the restroom?\It still stinks!\I'm getting both male and female restroom stank!\I thought it might be less dirty than inside.\Eek! And there are creepy bugs! response:	H-How about somewhere that doesn't smell?
context: Isn't there anywhere else?\Th-Then...\Behind the restroom?\It still stinks!\I'm getting both male and female restroom stank!\I thought it might be less dirty than inside.\Eek! And there are creepy bugs!\H-How about somewhere that doesn't smell? response:	O-Okay.
context: Th-Then...\Behind the restroom?\It still stinks!\I'm getting both male and female restroom stank!\I thought it might be less dirty than inside.\Eek! And there are creepy bugs!\H-How about somewhere that doesn't smell?\O-Okay. response:	How about here?
context: Behind the restroom?\It still stinks!\I'm getting both male and female restroom stank!\I thought it might be less dirty than inside.\Eek! And there are creepy bugs!\H-How about somewhere that doesn't smell?\O-Okay.\How about here? response:	It's still a restroom!
context: It still stinks!\I'm getting both male and female restroom stank!\I thought it might be less dirty than inside.\Eek! And there are creepy bugs!\H-How about somewhere that doesn't smell?\O-Okay.\How about here?\It's still a restroom! response:	The club building restrooms are relatively clean.
context: I'm getting both male and female restroom stank!\I thought it might be less dirty than inside.\Eek! And there are creepy bugs!\H-How about somewhere that doesn't smell?\O-Okay.\How about here?\It's still a restroom!\The club building restrooms are relatively clean. response:	I don't think they smell much, either.
context: I thought it might be less dirty than inside.\Eek! And there are creepy bugs!\H-How about somewhere that doesn't smell?\O-Okay.\How about here?\It's still a restroom!\The club building restrooms are relatively clean.\I don't think they smell much, either. response:	But it's still a restroom!
context: Eek! And there are creepy bugs!\H-How about somewhere that doesn't smell?\O-Okay.\How about here?\It's still a restroom!\The club building restrooms are relatively clean.\I don't think they smell much, either.\But it's still a restroom! response:	Also, Naoya, what are you doing, coming into the girls' restrooms?
context: H-How about somewhere that doesn't smell?\O-Okay.\How about here?\It's still a restroom!\The club building restrooms are relatively clean.\I don't think they smell much, either.\But it's still a restroom!\Also, Naoya, what are you doing, coming into the girls' restrooms? response:	I-I-It's to eat lunch with you guys.
context: O-Okay.\How about here?\It's still a restroom!\The club building restrooms are relatively clean.\I don't think they smell much, either.\But it's still a restroom!\Also, Naoya, what are you doing, coming into the girls' restrooms?\I-I-It's to eat lunch with you guys. response:	Sheesh! Get out!
context: How about here?\It's still a restroom!\The club building restrooms are relatively clean.\I don't think they smell much, either.\But it's still a restroom!\Also, Naoya, what are you doing, coming into the girls' restrooms?\I-I-It's to eat lunch with you guys.\Sheesh! Get out! response:	Oh, be careful when you go in or out.
context: It's still a restroom!\The club building restrooms are relatively clean.\I don't think they smell much, either.\But it's still a restroom!\Also, Naoya, what are you doing, coming into the girls' restrooms?\I-I-It's to eat lunch with you guys.\Sheesh! Get out!\Oh, be careful when you go in or out. response:	I swear...
context: The club building restrooms are relatively clean.\I don't think they smell much, either.\But it's still a restroom!\Also, Naoya, what are you doing, coming into the girls' restrooms?\I-I-It's to eat lunch with you guys.\Sheesh! Get out!\Oh, be careful when you go in or out.\I swear... response:	What do you think they were doing in the restroom?
context: I don't think they smell much, either.\But it's still a restroom!\Also, Naoya, what are you doing, coming into the girls' restrooms?\I-I-It's to eat lunch with you guys.\Sheesh! Get out!\Oh, be careful when you go in or out.\I swear...\What do you think they were doing in the restroom? response:	I wonder...
context: But it's still a restroom!\Also, Naoya, what are you doing, coming into the girls' restrooms?\I-I-It's to eat lunch with you guys.\Sheesh! Get out!\Oh, be careful when you go in or out.\I swear...\What do you think they were doing in the restroom?\I wonder... response:	I-It's not what you think!
context: Also, Naoya, what are you doing, coming into the girls' restrooms?\I-I-It's to eat lunch with you guys.\Sheesh! Get out!\Oh, be careful when you go in or out.\I swear...\What do you think they were doing in the restroom?\I wonder...\I-It's not what you think! response:	Saki-chan...
context: I-I-It's to eat lunch with you guys.\Sheesh! Get out!\Oh, be careful when you go in or out.\I swear...\What do you think they were doing in the restroom?\I wonder...\I-It's not what you think!\Saki-chan... response:	Please take me somewhere that isn't a restroom.
context: Sheesh! Get out!\Oh, be careful when you go in or out.\I swear...\What do you think they were doing in the restroom?\I wonder...\I-It's not what you think!\Saki-chan...\Please take me somewhere that isn't a restroom. response:	In that case, there aren't any safe places.
context: Oh, be careful when you go in or out.\I swear...\What do you think they were doing in the restroom?\I wonder...\I-It's not what you think!\Saki-chan...\Please take me somewhere that isn't a restroom.\In that case, there aren't any safe places. response:	There must be plenty of other places!
context: I swear...\What do you think they were doing in the restroom?\I wonder...\I-It's not what you think!\Saki-chan...\Please take me somewhere that isn't a restroom.\In that case, there aren't any safe places.\There must be plenty of other places! response:	I know. How about the gym storage room?
context: What do you think they were doing in the restroom?\I wonder...\I-It's not what you think!\Saki-chan...\Please take me somewhere that isn't a restroom.\In that case, there aren't any safe places.\There must be plenty of other places!\I know. How about the gym storage room? response:	That might work!
context: I wonder...\I-It's not what you think!\Saki-chan...\Please take me somewhere that isn't a restroom.\In that case, there aren't any safe places.\There must be plenty of other places!\I know. How about the gym storage room?\That might work! response:	There are more people there than in the restrooms.
context: I-It's not what you think!\Saki-chan...\Please take me somewhere that isn't a restroom.\In that case, there aren't any safe places.\There must be plenty of other places!\I know. How about the gym storage room?\That might work!\There are more people there than in the restrooms. response:	It'll be fine. People don't go there during lunch.
context: Saki-chan...\Please take me somewhere that isn't a restroom.\In that case, there aren't any safe places.\There must be plenty of other places!\I know. How about the gym storage room?\That might work!\There are more people there than in the restrooms.\It'll be fine. People don't go there during lunch. response:	But no one would come in while you're in the restroom.
context: Please take me somewhere that isn't a restroom.\In that case, there aren't any safe places.\There must be plenty of other places!\I know. How about the gym storage room?\That might work!\There are more people there than in the restrooms.\It'll be fine. People don't go there during lunch.\But no one would come in while you're in the restroom. response:	Could you stop comparing it to the restroom?!
context: In that case, there aren't any safe places.\There must be plenty of other places!\I know. How about the gym storage room?\That might work!\There are more people there than in the restrooms.\It'll be fine. People don't go there during lunch.\But no one would come in while you're in the restroom.\Could you stop comparing it to the restroom?! response:	Sorry.
context: There must be plenty of other places!\I know. How about the gym storage room?\That might work!\There are more people there than in the restrooms.\It'll be fine. People don't go there during lunch.\But no one would come in while you're in the restroom.\Could you stop comparing it to the restroom?!\Sorry. response:	B-But I don't want people
context: I know. How about the gym storage room?\That might work!\There are more people there than in the restrooms.\It'll be fine. People don't go there during lunch.\But no one would come in while you're in the restroom.\Could you stop comparing it to the restroom?!\Sorry.\B-But I don't want people response:	finding out about our relationship just to satisfy my selfishness.
context: That might work!\There are more people there than in the restrooms.\It'll be fine. People don't go there during lunch.\But no one would come in while you're in the restroom.\Could you stop comparing it to the restroom?!\Sorry.\B-But I don't want people\finding out about our relationship just to satisfy my selfishness. response:	Nagisa-chan...
context: There are more people there than in the restrooms.\It'll be fine. People don't go there during lunch.\But no one would come in while you're in the restroom.\Could you stop comparing it to the restroom?!\Sorry.\B-But I don't want people\finding out about our relationship just to satisfy my selfishness.\Nagisa-chan... response:	That's not being selfish.
context: It'll be fine. People don't go there during lunch.\But no one would come in while you're in the restroom.\Could you stop comparing it to the restroom?!\Sorry.\B-But I don't want people\finding out about our relationship just to satisfy my selfishness.\Nagisa-chan...\That's not being selfish. response:	But even if it is, that's okay, too.
context: But no one would come in while you're in the restroom.\Could you stop comparing it to the restroom?!\Sorry.\B-But I don't want people\finding out about our relationship just to satisfy my selfishness.\Nagisa-chan...\That's not being selfish.\But even if it is, that's okay, too. response:	Whatever it is, let's first see if we can do it.
context: Could you stop comparing it to the restroom?!\Sorry.\B-But I don't want people\finding out about our relationship just to satisfy my selfishness.\Nagisa-chan...\That's not being selfish.\But even if it is, that's okay, too.\Whatever it is, let's first see if we can do it. response:	It might turn out to be easy.
context: Sorry.\B-But I don't want people\finding out about our relationship just to satisfy my selfishness.\Nagisa-chan...\That's not being selfish.\But even if it is, that's okay, too.\Whatever it is, let's first see if we can do it.\It might turn out to be easy. response:	Even if it's hard, we'll figure it out!
context: B-But I don't want people\finding out about our relationship just to satisfy my selfishness.\Nagisa-chan...\That's not being selfish.\But even if it is, that's okay, too.\Whatever it is, let's first see if we can do it.\It might turn out to be easy.\Even if it's hard, we'll figure it out! response:	A-Are we really eating in the gym storage?
context: finding out about our relationship just to satisfy my selfishness.\Nagisa-chan...\That's not being selfish.\But even if it is, that's okay, too.\Whatever it is, let's first see if we can do it.\It might turn out to be easy.\Even if it's hard, we'll figure it out!\A-Are we really eating in the gym storage? response:	Sure!
context: Nagisa-chan...\That's not being selfish.\But even if it is, that's okay, too.\Whatever it is, let's first see if we can do it.\It might turn out to be easy.\Even if it's hard, we'll figure it out!\A-Are we really eating in the gym storage?\Sure! response:	It's locked, though.
context: That's not being selfish.\But even if it is, that's okay, too.\Whatever it is, let's first see if we can do it.\It might turn out to be easy.\Even if it's hard, we'll figure it out!\A-Are we really eating in the gym storage?\Sure!\It's locked, though. response:	I have no choice!
context: But even if it is, that's okay, too.\Whatever it is, let's first see if we can do it.\It might turn out to be easy.\Even if it's hard, we'll figure it out!\A-Are we really eating in the gym storage?\Sure!\It's locked, though.\I have no choice! response:	The window's open over here.
context: Whatever it is, let's first see if we can do it.\It might turn out to be easy.\Even if it's hard, we'll figure it out!\A-Are we really eating in the gym storage?\Sure!\It's locked, though.\I have no choice!\The window's open over here. response:	You can stand on me to get in.
context: It might turn out to be easy.\Even if it's hard, we'll figure it out!\A-Are we really eating in the gym storage?\Sure!\It's locked, though.\I have no choice!\The window's open over here.\You can stand on me to get in. response:	O-Okay!
context: Even if it's hard, we'll figure it out!\A-Are we really eating in the gym storage?\Sure!\It's locked, though.\I have no choice!\The window's open over here.\You can stand on me to get in.\O-Okay! response:	How is it?
context: A-Are we really eating in the gym storage?\Sure!\It's locked, though.\I have no choice!\The window's open over here.\You can stand on me to get in.\O-Okay!\How is it? response:	My eyes!
context: Sure!\It's locked, though.\I have no choice!\The window's open over here.\You can stand on me to get in.\O-Okay!\How is it?\My eyes! response:	No looking at her panties!
context: It's locked, though.\I have no choice!\The window's open over here.\You can stand on me to get in.\O-Okay!\How is it?\My eyes!\No looking at her panties! response:	Okay, we're in.
context: I have no choice!\The window's open over here.\You can stand on me to get in.\O-Okay!\How is it?\My eyes!\No looking at her panties!\Okay, we're in. response:	And now, with this...
context: The window's open over here.\You can stand on me to get in.\O-Okay!\How is it?\My eyes!\No looking at her panties!\Okay, we're in.\And now, with this... response:	We can hide when someone comes in.
context: You can stand on me to get in.\O-Okay!\How is it?\My eyes!\No looking at her panties!\Okay, we're in.\And now, with this...\We can hide when someone comes in. response:	Oh, five centimeters to the right.
context: O-Okay!\How is it?\My eyes!\No looking at her panties!\Okay, we're in.\And now, with this...\We can hide when someone comes in.\Oh, five centimeters to the right. response:	Saki-san?
context: How is it?\My eyes!\No looking at her panties!\Okay, we're in.\And now, with this...\We can hide when someone comes in.\Oh, five centimeters to the right.\Saki-san? response:	Yeah, this seems good.
context: My eyes!\No looking at her panties!\Okay, we're in.\And now, with this...\We can hide when someone comes in.\Oh, five centimeters to the right.\Saki-san?\Yeah, this seems good. response:	Naoya-kun...
context: No looking at her panties!\Okay, we're in.\And now, with this...\We can hide when someone comes in.\Oh, five centimeters to the right.\Saki-san?\Yeah, this seems good.\Naoya-kun... response:	Minase-san,
context: Okay, we're in.\And now, with this...\We can hide when someone comes in.\Oh, five centimeters to the right.\Saki-san?\Yeah, this seems good.\Naoya-kun...\Minase-san, response:	this relationship started with my own selfishness.
context: And now, with this...\We can hide when someone comes in.\Oh, five centimeters to the right.\Saki-san?\Yeah, this seems good.\Naoya-kun...\Minase-san,\this relationship started with my own selfishness. response:	There'll be a ton of problems, but I'll work to deal with them.
context: We can hide when someone comes in.\Oh, five centimeters to the right.\Saki-san?\Yeah, this seems good.\Naoya-kun...\Minase-san,\this relationship started with my own selfishness.\There'll be a ton of problems, but I'll work to deal with them. response:	I don't have any regrets.
context: Oh, five centimeters to the right.\Saki-san?\Yeah, this seems good.\Naoya-kun...\Minase-san,\this relationship started with my own selfishness.\There'll be a ton of problems, but I'll work to deal with them.\I don't have any regrets. response:	I'm just glad I get to be with you, Minase-san.
context: Saki-san?\Yeah, this seems good.\Naoya-kun...\Minase-san,\this relationship started with my own selfishness.\There'll be a ton of problems, but I'll work to deal with them.\I don't have any regrets.\I'm just glad I get to be with you, Minase-san. response:	Naoya-kun...
context: Yeah, this seems good.\Naoya-kun...\Minase-san,\this relationship started with my own selfishness.\There'll be a ton of problems, but I'll work to deal with them.\I don't have any regrets.\I'm just glad I get to be with you, Minase-san.\Naoya-kun... response:	I'm definitely the one being the most selfish and causing the most trouble
context: Naoya-kun...\Minase-san,\this relationship started with my own selfishness.\There'll be a ton of problems, but I'll work to deal with them.\I don't have any regrets.\I'm just glad I get to be with you, Minase-san.\Naoya-kun...\I'm definitely the one being the most selfish and causing the most trouble response:	by dating both of you.
context: Minase-san,\this relationship started with my own selfishness.\There'll be a ton of problems, but I'll work to deal with them.\I don't have any regrets.\I'm just glad I get to be with you, Minase-san.\Naoya-kun...\I'm definitely the one being the most selfish and causing the most trouble\by dating both of you. response:	No kidding!
