context: Isabelle... response:	I'm getting used to my new life.
context: Why don't you open the door and ask?\Let's go, Ruth.\Maybe the transformation from the fight took a toll on him.\Transformation?\It takes a lot of energy to change your appearance, maybe?\Why do you say that like a question?\I can't quite remember.\Maybe it hasn't quite hit me that I'm a fairy. response:	Are you settled in now?
context: Let's go, Ruth.\Maybe the transformation from the fight took a toll on him.\Transformation?\It takes a lot of energy to change your appearance, maybe?\Why do you say that like a question?\I can't quite remember.\Maybe it hasn't quite hit me that I'm a fairy.\Are you settled in now? response:	You've been exploring the property this whole time.
context: Maybe the transformation from the fight took a toll on him.\Transformation?\It takes a lot of energy to change your appearance, maybe?\Why do you say that like a question?\I can't quite remember.\Maybe it hasn't quite hit me that I'm a fairy.\Are you settled in now?\You've been exploring the property this whole time. response:	It's something I need to do.
context: Transformation?\It takes a lot of energy to change your appearance, maybe?\Why do you say that like a question?\I can't quite remember.\Maybe it hasn't quite hit me that I'm a fairy.\Are you settled in now?\You've been exploring the property this whole time.\It's something I need to do. response:	Instinctively.
context: It takes a lot of energy to change your appearance, maybe?\Why do you say that like a question?\I can't quite remember.\Maybe it hasn't quite hit me that I'm a fairy.\Are you settled in now?\You've been exploring the property this whole time.\It's something I need to do.\Instinctively. response:	As a dog?
context: Why do you say that like a question?\I can't quite remember.\Maybe it hasn't quite hit me that I'm a fairy.\Are you settled in now?\You've been exploring the property this whole time.\It's something I need to do.\Instinctively.\As a dog? response:	I don't want to admit it, but yeah.
context: I can't quite remember.\Maybe it hasn't quite hit me that I'm a fairy.\Are you settled in now?\You've been exploring the property this whole time.\It's something I need to do.\Instinctively.\As a dog?\I don't want to admit it, but yeah. response:	What's this?
context: Maybe it hasn't quite hit me that I'm a fairy.\Are you settled in now?\You've been exploring the property this whole time.\It's something I need to do.\Instinctively.\As a dog?\I don't want to admit it, but yeah.\What's this? response:	W-Wait, Silky.
context: Are you settled in now?\You've been exploring the property this whole time.\It's something I need to do.\Instinctively.\As a dog?\I don't want to admit it, but yeah.\What's this?\W-Wait, Silky. response:	What is it, Chise?
context: You've been exploring the property this whole time.\It's something I need to do.\Instinctively.\As a dog?\I don't want to admit it, but yeah.\What's this?\W-Wait, Silky.\What is it, Chise? response:	I-I don't know what just happened, but we got kicked out.
context: It's something I need to do.\Instinctively.\As a dog?\I don't want to admit it, but yeah.\What's this?\W-Wait, Silky.\What is it, Chise?\I-I don't know what just happened, but we got kicked out. response:	For a change of pace.
context: Instinctively.\As a dog?\I don't want to admit it, but yeah.\What's this?\W-Wait, Silky.\What is it, Chise?\I-I don't know what just happened, but we got kicked out.\For a change of pace. response:	Be back before it gets dark.
context: As a dog?\I don't want to admit it, but yeah.\What's this?\W-Wait, Silky.\What is it, Chise?\I-I don't know what just happened, but we got kicked out.\For a change of pace.\Be back before it gets dark. response:	It looks like she gave us some spending money.
context: I don't want to admit it, but yeah.\What's this?\W-Wait, Silky.\What is it, Chise?\I-I don't know what just happened, but we got kicked out.\For a change of pace.\Be back before it gets dark.\It looks like she gave us some spending money. response:	Looks like it.
context: What's this?\W-Wait, Silky.\What is it, Chise?\I-I don't know what just happened, but we got kicked out.\For a change of pace.\Be back before it gets dark.\It looks like she gave us some spending money.\Looks like it. response:	I wonder if it's safe to go out right now, though.
context: W-Wait, Silky.\What is it, Chise?\I-I don't know what just happened, but we got kicked out.\For a change of pace.\Be back before it gets dark.\It looks like she gave us some spending money.\Looks like it.\I wonder if it's safe to go out right now, though. response:	You have me.
context: What is it, Chise?\I-I don't know what just happened, but we got kicked out.\For a change of pace.\Be back before it gets dark.\It looks like she gave us some spending money.\Looks like it.\I wonder if it's safe to go out right now, though.\You have me. response:	Hey, long time no see, Chise!
context: I-I don't know what just happened, but we got kicked out.\For a change of pace.\Be back before it gets dark.\It looks like she gave us some spending money.\Looks like it.\I wonder if it's safe to go out right now, though.\You have me.\Hey, long time no see, Chise! response:	Angelica-san.
context: For a change of pace.\Be back before it gets dark.\It looks like she gave us some spending money.\Looks like it.\I wonder if it's safe to go out right now, though.\You have me.\Hey, long time no see, Chise!\Angelica-san. response:	How've you been?
context: Be back before it gets dark.\It looks like she gave us some spending money.\Looks like it.\I wonder if it's safe to go out right now, though.\You have me.\Hey, long time no see, Chise!\Angelica-san.\How've you been? response:	Hey, Robin.
context: It looks like she gave us some spending money.\Looks like it.\I wonder if it's safe to go out right now, though.\You have me.\Hey, long time no see, Chise!\Angelica-san.\How've you been?\Hey, Robin. response:	Um...
context: Looks like it.\I wonder if it's safe to go out right now, though.\You have me.\Hey, long time no see, Chise!\Angelica-san.\How've you been?\Hey, Robin.\Um... response:	Elias is a bit...
context: I wonder if it's safe to go out right now, though.\You have me.\Hey, long time no see, Chise!\Angelica-san.\How've you been?\Hey, Robin.\Um...\Elias is a bit... response:	No, I'm not asking about him.
context: You have me.\Hey, long time no see, Chise!\Angelica-san.\How've you been?\Hey, Robin.\Um...\Elias is a bit...\No, I'm not asking about him. response:	I want to know how you're doing.
context: Hey, long time no see, Chise!\Angelica-san.\How've you been?\Hey, Robin.\Um...\Elias is a bit...\No, I'm not asking about him.\I want to know how you're doing. response:	Do you have some time?
context: Angelica-san.\How've you been?\Hey, Robin.\Um...\Elias is a bit...\No, I'm not asking about him.\I want to know how you're doing.\Do you have some time? response:	Talk about a shopping spree.
context: How've you been?\Hey, Robin.\Um...\Elias is a bit...\No, I'm not asking about him.\I want to know how you're doing.\Do you have some time?\Talk about a shopping spree. response:	I can't buy any gifts for Silky, but I'm hoping there's something she can use at home.
context: Hey, Robin.\Um...\Elias is a bit...\No, I'm not asking about him.\I want to know how you're doing.\Do you have some time?\Talk about a shopping spree.\I can't buy any gifts for Silky, but I'm hoping there's something she can use at home. response:	That sounds good.
context: Um...\Elias is a bit...\No, I'm not asking about him.\I want to know how you're doing.\Do you have some time?\Talk about a shopping spree.\I can't buy any gifts for Silky, but I'm hoping there's something she can use at home.\That sounds good. response:	Now, can I take a look?
context: Elias is a bit...\No, I'm not asking about him.\I want to know how you're doing.\Do you have some time?\Talk about a shopping spree.\I can't buy any gifts for Silky, but I'm hoping there's something she can use at home.\That sounds good.\Now, can I take a look? response:	It looks like it's functioning properly.
context: No, I'm not asking about him.\I want to know how you're doing.\Do you have some time?\Talk about a shopping spree.\I can't buy any gifts for Silky, but I'm hoping there's something she can use at home.\That sounds good.\Now, can I take a look?\It looks like it's functioning properly. response:	How do you feel?
context: I want to know how you're doing.\Do you have some time?\Talk about a shopping spree.\I can't buy any gifts for Silky, but I'm hoping there's something she can use at home.\That sounds good.\Now, can I take a look?\It looks like it's functioning properly.\How do you feel? response:	Nothing unusual.
context: Do you have some time?\Talk about a shopping spree.\I can't buy any gifts for Silky, but I'm hoping there's something she can use at home.\That sounds good.\Now, can I take a look?\It looks like it's functioning properly.\How do you feel?\Nothing unusual. response:	She looks sleepy all the time.
context: Talk about a shopping spree.\I can't buy any gifts for Silky, but I'm hoping there's something she can use at home.\That sounds good.\Now, can I take a look?\It looks like it's functioning properly.\How do you feel?\Nothing unusual.\She looks sleepy all the time. response:	Ruth!
context: I can't buy any gifts for Silky, but I'm hoping there's something she can use at home.\That sounds good.\Now, can I take a look?\It looks like it's functioning properly.\How do you feel?\Nothing unusual.\She looks sleepy all the time.\Ruth! response:	You seem especially tired after you use magic.
context: That sounds good.\Now, can I take a look?\It looks like it's functioning properly.\How do you feel?\Nothing unusual.\She looks sleepy all the time.\Ruth!\You seem especially tired after you use magic. response:	Learn to depend on people, or you'll screw something up...
context: Now, can I take a look?\It looks like it's functioning properly.\How do you feel?\Nothing unusual.\She looks sleepy all the time.\Ruth!\You seem especially tired after you use magic.\Learn to depend on people, or you'll screw something up... response:	When you're on your own someday.
context: It looks like it's functioning properly.\How do you feel?\Nothing unusual.\She looks sleepy all the time.\Ruth!\You seem especially tired after you use magic.\Learn to depend on people, or you'll screw something up...\When you're on your own someday. response:	You must be Chise's familiar.
context: How do you feel?\Nothing unusual.\She looks sleepy all the time.\Ruth!\You seem especially tired after you use magic.\Learn to depend on people, or you'll screw something up...\When you're on your own someday.\You must be Chise's familiar. response:	Thank you.
context: Nothing unusual.\She looks sleepy all the time.\Ruth!\You seem especially tired after you use magic.\Learn to depend on people, or you'll screw something up...\When you're on your own someday.\You must be Chise's familiar.\Thank you. response:	You seem like a good person.
context: She looks sleepy all the time.\Ruth!\You seem especially tired after you use magic.\Learn to depend on people, or you'll screw something up...\When you're on your own someday.\You must be Chise's familiar.\Thank you.\You seem like a good person. response:	Don't try to do everything by yourself.
context: Ruth!\You seem especially tired after you use magic.\Learn to depend on people, or you'll screw something up...\When you're on your own someday.\You must be Chise's familiar.\Thank you.\You seem like a good person.\Don't try to do everything by yourself. response:	Otherwise, what's the point of having helpful neighbors?
context: You seem especially tired after you use magic.\Learn to depend on people, or you'll screw something up...\When you're on your own someday.\You must be Chise's familiar.\Thank you.\You seem like a good person.\Don't try to do everything by yourself.\Otherwise, what's the point of having helpful neighbors? response:	You're hot-blooded, but you have a weak heart.
context: Learn to depend on people, or you'll screw something up...\When you're on your own someday.\You must be Chise's familiar.\Thank you.\You seem like a good person.\Don't try to do everything by yourself.\Otherwise, what's the point of having helpful neighbors?\You're hot-blooded, but you have a weak heart. response:	You have to take care of your body.
context: When you're on your own someday.\You must be Chise's familiar.\Thank you.\You seem like a good person.\Don't try to do everything by yourself.\Otherwise, what's the point of having helpful neighbors?\You're hot-blooded, but you have a weak heart.\You have to take care of your body. response:	I'll do my best.
context: You must be Chise's familiar.\Thank you.\You seem like a good person.\Don't try to do everything by yourself.\Otherwise, what's the point of having helpful neighbors?\You're hot-blooded, but you have a weak heart.\You have to take care of your body.\I'll do my best. response:	Speaking of which, what are you doing about school?
context: Thank you.\You seem like a good person.\Don't try to do everything by yourself.\Otherwise, what's the point of having helpful neighbors?\You're hot-blooded, but you have a weak heart.\You have to take care of your body.\I'll do my best.\Speaking of which, what are you doing about school? response:	You could be going to school, at your age.
context: You seem like a good person.\Don't try to do everything by yourself.\Otherwise, what's the point of having helpful neighbors?\You're hot-blooded, but you have a weak heart.\You have to take care of your body.\I'll do my best.\Speaking of which, what are you doing about school?\You could be going to school, at your age. response:	I don't know.
context: Don't try to do everything by yourself.\Otherwise, what's the point of having helpful neighbors?\You're hot-blooded, but you have a weak heart.\You have to take care of your body.\I'll do my best.\Speaking of which, what are you doing about school?\You could be going to school, at your age.\I don't know. response:	I have to take care of the flowers and herbs.
context: Otherwise, what's the point of having helpful neighbors?\You're hot-blooded, but you have a weak heart.\You have to take care of your body.\I'll do my best.\Speaking of which, what are you doing about school?\You could be going to school, at your age.\I don't know.\I have to take care of the flowers and herbs. response:	Studying magic is a lot of work.
context: You're hot-blooded, but you have a weak heart.\You have to take care of your body.\I'll do my best.\Speaking of which, what are you doing about school?\You could be going to school, at your age.\I don't know.\I have to take care of the flowers and herbs.\Studying magic is a lot of work. response:	Each season has its own special chores to do and lessons for me to learn.
context: You have to take care of your body.\I'll do my best.\Speaking of which, what are you doing about school?\You could be going to school, at your age.\I don't know.\I have to take care of the flowers and herbs.\Studying magic is a lot of work.\Each season has its own special chores to do and lessons for me to learn. response:	I'm just content being allowed to stay with Elias and the others.
context: I'll do my best.\Speaking of which, what are you doing about school?\You could be going to school, at your age.\I don't know.\I have to take care of the flowers and herbs.\Studying magic is a lot of work.\Each season has its own special chores to do and lessons for me to learn.\I'm just content being allowed to stay with Elias and the others. response:	Chise, are you sure you aren't being overly dependent?
context: Speaking of which, what are you doing about school?\You could be going to school, at your age.\I don't know.\I have to take care of the flowers and herbs.\Studying magic is a lot of work.\Each season has its own special chores to do and lessons for me to learn.\I'm just content being allowed to stay with Elias and the others.\Chise, are you sure you aren't being overly dependent? response:	You're young.
context: You could be going to school, at your age.\I don't know.\I have to take care of the flowers and herbs.\Studying magic is a lot of work.\Each season has its own special chores to do and lessons for me to learn.\I'm just content being allowed to stay with Elias and the others.\Chise, are you sure you aren't being overly dependent?\You're young. response:	You have a long time ahead of you.
context: I don't know.\I have to take care of the flowers and herbs.\Studying magic is a lot of work.\Each season has its own special chores to do and lessons for me to learn.\I'm just content being allowed to stay with Elias and the others.\Chise, are you sure you aren't being overly dependent?\You're young.\You have a long time ahead of you. response:	Don't spend your time relying on handouts from others.
context: I have to take care of the flowers and herbs.\Studying magic is a lot of work.\Each season has its own special chores to do and lessons for me to learn.\I'm just content being allowed to stay with Elias and the others.\Chise, are you sure you aren't being overly dependent?\You're young.\You have a long time ahead of you.\Don't spend your time relying on handouts from others. response:	You were bought by Ainsworth.
context: Studying magic is a lot of work.\Each season has its own special chores to do and lessons for me to learn.\I'm just content being allowed to stay with Elias and the others.\Chise, are you sure you aren't being overly dependent?\You're young.\You have a long time ahead of you.\Don't spend your time relying on handouts from others.\You were bought by Ainsworth. response:	I know you had a hard time elsewhere,
context: Each season has its own special chores to do and lessons for me to learn.\I'm just content being allowed to stay with Elias and the others.\Chise, are you sure you aren't being overly dependent?\You're young.\You have a long time ahead of you.\Don't spend your time relying on handouts from others.\You were bought by Ainsworth.\I know you had a hard time elsewhere, response:	but you don't have to be fixed to him.
context: I'm just content being allowed to stay with Elias and the others.\Chise, are you sure you aren't being overly dependent?\You're young.\You have a long time ahead of you.\Don't spend your time relying on handouts from others.\You were bought by Ainsworth.\I know you had a hard time elsewhere,\but you don't have to be fixed to him. response:	I-I'm sorry.
context: Chise, are you sure you aren't being overly dependent?\You're young.\You have a long time ahead of you.\Don't spend your time relying on handouts from others.\You were bought by Ainsworth.\I know you had a hard time elsewhere,\but you don't have to be fixed to him.\I-I'm sorry. response:	I didn't mean that.
context: You're young.\You have a long time ahead of you.\Don't spend your time relying on handouts from others.\You were bought by Ainsworth.\I know you had a hard time elsewhere,\but you don't have to be fixed to him.\I-I'm sorry.\I didn't mean that. response:	I'm sorry.
context: You have a long time ahead of you.\Don't spend your time relying on handouts from others.\You were bought by Ainsworth.\I know you had a hard time elsewhere,\but you don't have to be fixed to him.\I-I'm sorry.\I didn't mean that.\I'm sorry. response:	No, I've said too much.
context: Don't spend your time relying on handouts from others.\You were bought by Ainsworth.\I know you had a hard time elsewhere,\but you don't have to be fixed to him.\I-I'm sorry.\I didn't mean that.\I'm sorry.\No, I've said too much. response:	That's not true.
context: You were bought by Ainsworth.\I know you had a hard time elsewhere,\but you don't have to be fixed to him.\I-I'm sorry.\I didn't mean that.\I'm sorry.\No, I've said too much.\That's not true. response:	I know you're right.
context: I know you had a hard time elsewhere,\but you don't have to be fixed to him.\I-I'm sorry.\I didn't mean that.\I'm sorry.\No, I've said too much.\That's not true.\I know you're right. response:	I'm sorry.
context: but you don't have to be fixed to him.\I-I'm sorry.\I didn't mean that.\I'm sorry.\No, I've said too much.\That's not true.\I know you're right.\I'm sorry. response:	Sorry about today.
context: I-I'm sorry.\I didn't mean that.\I'm sorry.\No, I've said too much.\That's not true.\I know you're right.\I'm sorry.\Sorry about today. response:	No, thank you for caring about me.
context: I didn't mean that.\I'm sorry.\No, I've said too much.\That's not true.\I know you're right.\I'm sorry.\Sorry about today.\No, thank you for caring about me. response:	Don't be too much of a good girl.
context: I'm sorry.\No, I've said too much.\That's not true.\I know you're right.\I'm sorry.\Sorry about today.\No, thank you for caring about me.\Don't be too much of a good girl. response:	See you, Robin, newbie.
context: No, I've said too much.\That's not true.\I know you're right.\I'm sorry.\Sorry about today.\No, thank you for caring about me.\Don't be too much of a good girl.\See you, Robin, newbie. response:	I'm a coward.
context: That's not true.\I know you're right.\I'm sorry.\Sorry about today.\No, thank you for caring about me.\Don't be too much of a good girl.\See you, Robin, newbie.\I'm a coward. response:	I'm depending on someone who doesn't think anything of me.
context: I know you're right.\I'm sorry.\Sorry about today.\No, thank you for caring about me.\Don't be too much of a good girl.\See you, Robin, newbie.\I'm a coward.\I'm depending on someone who doesn't think anything of me. response:	I tell myself that I wouldn't mind being abandoned, yet I don't want to be.
context: I'm sorry.\Sorry about today.\No, thank you for caring about me.\Don't be too much of a good girl.\See you, Robin, newbie.\I'm a coward.\I'm depending on someone who doesn't think anything of me.\I tell myself that I wouldn't mind being abandoned, yet I don't want to be. response:	I'm selfish.
context: Sorry about today.\No, thank you for caring about me.\Don't be too much of a good girl.\See you, Robin, newbie.\I'm a coward.\I'm depending on someone who doesn't think anything of me.\I tell myself that I wouldn't mind being abandoned, yet I don't want to be.\I'm selfish. response:	I used to hate coming home when the lights were on.
context: No, thank you for caring about me.\Don't be too much of a good girl.\See you, Robin, newbie.\I'm a coward.\I'm depending on someone who doesn't think anything of me.\I tell myself that I wouldn't mind being abandoned, yet I don't want to be.\I'm selfish.\I used to hate coming home when the lights were on. response:	Chise.
context: Don't be too much of a good girl.\See you, Robin, newbie.\I'm a coward.\I'm depending on someone who doesn't think anything of me.\I tell myself that I wouldn't mind being abandoned, yet I don't want to be.\I'm selfish.\I used to hate coming home when the lights were on.\Chise. response:	Yes, Ruth?
context: See you, Robin, newbie.\I'm a coward.\I'm depending on someone who doesn't think anything of me.\I tell myself that I wouldn't mind being abandoned, yet I don't want to be.\I'm selfish.\I used to hate coming home when the lights were on.\Chise.\Yes, Ruth? response:	I share a little bit of many things with you.
context: I'm a coward.\I'm depending on someone who doesn't think anything of me.\I tell myself that I wouldn't mind being abandoned, yet I don't want to be.\I'm selfish.\I used to hate coming home when the lights were on.\Chise.\Yes, Ruth?\I share a little bit of many things with you. response:	Yeah.
context: I'm depending on someone who doesn't think anything of me.\I tell myself that I wouldn't mind being abandoned, yet I don't want to be.\I'm selfish.\I used to hate coming home when the lights were on.\Chise.\Yes, Ruth?\I share a little bit of many things with you.\Yeah. response:	Senses, emotions, and even memories.
context: I tell myself that I wouldn't mind being abandoned, yet I don't want to be.\I'm selfish.\I used to hate coming home when the lights were on.\Chise.\Yes, Ruth?\I share a little bit of many things with you.\Yeah.\Senses, emotions, and even memories. response:	If that event was a curse put upon you, I want it to be lifted soon.
context: I'm selfish.\I used to hate coming home when the lights were on.\Chise.\Yes, Ruth?\I share a little bit of many things with you.\Yeah.\Senses, emotions, and even memories.\If that event was a curse put upon you, I want it to be lifted soon. response:	Yeah.
context: I used to hate coming home when the lights were on.\Chise.\Yes, Ruth?\I share a little bit of many things with you.\Yeah.\Senses, emotions, and even memories.\If that event was a curse put upon you, I want it to be lifted soon.\Yeah. response:	Thanks.
context: Chise.\Yes, Ruth?\I share a little bit of many things with you.\Yeah.\Senses, emotions, and even memories.\If that event was a curse put upon you, I want it to be lifted soon.\Yeah.\Thanks. response:	I'm home.
context: Yes, Ruth?\I share a little bit of many things with you.\Yeah.\Senses, emotions, and even memories.\If that event was a curse put upon you, I want it to be lifted soon.\Yeah.\Thanks.\I'm home. response:	Thanks for the money.
context: I share a little bit of many things with you.\Yeah.\Senses, emotions, and even memories.\If that event was a curse put upon you, I want it to be lifted soon.\Yeah.\Thanks.\I'm home.\Thanks for the money. response:	I bought some giftsI mean, some snacks and such for us.
context: Yeah.\Senses, emotions, and even memories.\If that event was a curse put upon you, I want it to be lifted soon.\Yeah.\Thanks.\I'm home.\Thanks for the money.\I bought some giftsI mean, some snacks and such for us. response:	How's Elias?
context: Senses, emotions, and even memories.\If that event was a curse put upon you, I want it to be lifted soon.\Yeah.\Thanks.\I'm home.\Thanks for the money.\I bought some giftsI mean, some snacks and such for us.\How's Elias? response:	Elias,
context: If that event was a curse put upon you, I want it to be lifted soon.\Yeah.\Thanks.\I'm home.\Thanks for the money.\I bought some giftsI mean, some snacks and such for us.\How's Elias?\Elias, response:	are you all right?
context: Yeah.\Thanks.\I'm home.\Thanks for the money.\I bought some giftsI mean, some snacks and such for us.\How's Elias?\Elias,\are you all right? response:	Elias, where are you?
context: Thanks.\I'm home.\Thanks for the money.\I bought some giftsI mean, some snacks and such for us.\How's Elias?\Elias,\are you all right?\Elias, where are you? response:	Eli
context: I'm home.\Thanks for the money.\I bought some giftsI mean, some snacks and such for us.\How's Elias?\Elias,\are you all right?\Elias, where are you?\Eli response:	Chise!
context: Thanks for the money.\I bought some giftsI mean, some snacks and such for us.\How's Elias?\Elias,\are you all right?\Elias, where are you?\Eli\Chise! response:	Chise, sorry.
context: I bought some giftsI mean, some snacks and such for us.\How's Elias?\Elias,\are you all right?\Elias, where are you?\Eli\Chise!\Chise, sorry. response:	I can't control my body very well.
context: How's Elias?\Elias,\are you all right?\Elias, where are you?\Eli\Chise!\Chise, sorry.\I can't control my body very well. response:	It might be scary, but let me stay this way.
context: Elias,\are you all right?\Elias, where are you?\Eli\Chise!\Chise, sorry.\I can't control my body very well.\It might be scary, but let me stay this way. response:	Will you explain things to me in the morning?
context: are you all right?\Elias, where are you?\Eli\Chise!\Chise, sorry.\I can't control my body very well.\It might be scary, but let me stay this way.\Will you explain things to me in the morning? response:	Yeah.
context: Elias, where are you?\Eli\Chise!\Chise, sorry.\I can't control my body very well.\It might be scary, but let me stay this way.\Will you explain things to me in the morning?\Yeah. response:	Don't worry.
context: Eli\Chise!\Chise, sorry.\I can't control my body very well.\It might be scary, but let me stay this way.\Will you explain things to me in the morning?\Yeah.\Don't worry. response:	An inhuman body.
context: Chise!\Chise, sorry.\I can't control my body very well.\It might be scary, but let me stay this way.\Will you explain things to me in the morning?\Yeah.\Don't worry.\An inhuman body. response:	Limbs,
context: Chise, sorry.\I can't control my body very well.\It might be scary, but let me stay this way.\Will you explain things to me in the morning?\Yeah.\Don't worry.\An inhuman body.\Limbs, response:	face,
context: I can't control my body very well.\It might be scary, but let me stay this way.\Will you explain things to me in the morning?\Yeah.\Don't worry.\An inhuman body.\Limbs,\face, response:	neck.
context: It might be scary, but let me stay this way.\Will you explain things to me in the morning?\Yeah.\Don't worry.\An inhuman body.\Limbs,\face,\neck. response:	The reason I'm not scared must be
context: Will you explain things to me in the morning?\Yeah.\Don't worry.\An inhuman body.\Limbs,\face,\neck.\The reason I'm not scared must be response:	because I'm cursed.
context: Yeah.\Don't worry.\An inhuman body.\Limbs,\face,\neck.\The reason I'm not scared must be\because I'm cursed. response:	I shouldn't have given birth to you.
context: Don't worry.\An inhuman body.\Limbs,\face,\neck.\The reason I'm not scared must be\because I'm cursed.\I shouldn't have given birth to you. response:	Elias...
context: An inhuman body.\Limbs,\face,\neck.\The reason I'm not scared must be\because I'm cursed.\I shouldn't have given birth to you.\Elias... response:	Elias?
context: Limbs,\face,\neck.\The reason I'm not scared must be\because I'm cursed.\I shouldn't have given birth to you.\Elias...\Elias? response:	Morning, Silky.
context: face,\neck.\The reason I'm not scared must be\because I'm cursed.\I shouldn't have given birth to you.\Elias...\Elias?\Morning, Silky. response:	Have you seen Elias?
context: neck.\The reason I'm not scared must be\because I'm cursed.\I shouldn't have given birth to you.\Elias...\Elias?\Morning, Silky.\Have you seen Elias? response:	Okay.
context: The reason I'm not scared must be\because I'm cursed.\I shouldn't have given birth to you.\Elias...\Elias?\Morning, Silky.\Have you seen Elias?\Okay. response:	Ruth, it's time for breakfast.
context: because I'm cursed.\I shouldn't have given birth to you.\Elias...\Elias?\Morning, Silky.\Have you seen Elias?\Okay.\Ruth, it's time for breakfast. response:	Thanks, Silky.
context: I shouldn't have given birth to you.\Elias...\Elias?\Morning, Silky.\Have you seen Elias?\Okay.\Ruth, it's time for breakfast.\Thanks, Silky. response:	Chise-kun.
