context: That must've been hard. response:	No, Prince Zen and the people at Fort Laxdo were there with me.
context: Yeah.\Speaking of which, I wonder if she knows...?\About what?\About Prince Izana.\Led to an encounter...\Ahead on the road I've reached...\This is the place I have chosen...\Where my desires become reality... response:	Episode 6: The Back Full of Meaning
context: Speaking of which, I wonder if she knows...?\About what?\About Prince Izana.\Led to an encounter...\Ahead on the road I've reached...\This is the place I have chosen...\Where my desires become reality...\Episode 6: The Back Full of Meaning response:	Today, I'll go with Ryu to the herb garden, and then organize the medical records and...
context: About what?\About Prince Izana.\Led to an encounter...\Ahead on the road I've reached...\This is the place I have chosen...\Where my desires become reality...\Episode 6: The Back Full of Meaning\Today, I'll go with Ryu to the herb garden, and then organize the medical records and... response:	Oh? Zen!
context: About Prince Izana.\Led to an encounter...\Ahead on the road I've reached...\This is the place I have chosen...\Where my desires become reality...\Episode 6: The Back Full of Meaning\Today, I'll go with Ryu to the herb garden, and then organize the medical records and...\Oh? Zen! response:	Hey, Shirayuki. Mornin-
context: Led to an encounter...\Ahead on the road I've reached...\This is the place I have chosen...\Where my desires become reality...\Episode 6: The Back Full of Meaning\Today, I'll go with Ryu to the herb garden, and then organize the medical records and...\Oh? Zen!\Hey, Shirayuki. Mornin- response:	You're... that's...
context: Ahead on the road I've reached...\This is the place I have chosen...\Where my desires become reality...\Episode 6: The Back Full of Meaning\Today, I'll go with Ryu to the herb garden, and then organize the medical records and...\Oh? Zen!\Hey, Shirayuki. Mornin-\You're... that's... response:	Clarines Kingdom, Wistal Castle, Apprentice Court Herbalist...
context: This is the place I have chosen...\Where my desires become reality...\Episode 6: The Back Full of Meaning\Today, I'll go with Ryu to the herb garden, and then organize the medical records and...\Oh? Zen!\Hey, Shirayuki. Mornin-\You're... that's...\Clarines Kingdom, Wistal Castle, Apprentice Court Herbalist... response:	This is your identification, huh?
context: Where my desires become reality...\Episode 6: The Back Full of Meaning\Today, I'll go with Ryu to the herb garden, and then organize the medical records and...\Oh? Zen!\Hey, Shirayuki. Mornin-\You're... that's...\Clarines Kingdom, Wistal Castle, Apprentice Court Herbalist...\This is your identification, huh? response:	They finished making it while we were at Fort Laxdo.
context: Episode 6: The Back Full of Meaning\Today, I'll go with Ryu to the herb garden, and then organize the medical records and...\Oh? Zen!\Hey, Shirayuki. Mornin-\You're... that's...\Clarines Kingdom, Wistal Castle, Apprentice Court Herbalist...\This is your identification, huh?\They finished making it while we were at Fort Laxdo. response:	This uniform, too.
context: Today, I'll go with Ryu to the herb garden, and then organize the medical records and...\Oh? Zen!\Hey, Shirayuki. Mornin-\You're... that's...\Clarines Kingdom, Wistal Castle, Apprentice Court Herbalist...\This is your identification, huh?\They finished making it while we were at Fort Laxdo.\This uniform, too. response:	Speaking of which, you also moved into the castle, right?
context: Oh? Zen!\Hey, Shirayuki. Mornin-\You're... that's...\Clarines Kingdom, Wistal Castle, Apprentice Court Herbalist...\This is your identification, huh?\They finished making it while we were at Fort Laxdo.\This uniform, too.\Speaking of which, you also moved into the castle, right? response:	Yeah. I have to work harder and harder from now on.
context: Hey, Shirayuki. Mornin-\You're... that's...\Clarines Kingdom, Wistal Castle, Apprentice Court Herbalist...\This is your identification, huh?\They finished making it while we were at Fort Laxdo.\This uniform, too.\Speaking of which, you also moved into the castle, right?\Yeah. I have to work harder and harder from now on. response:	I have a ton of studying and work to do.
context: You're... that's...\Clarines Kingdom, Wistal Castle, Apprentice Court Herbalist...\This is your identification, huh?\They finished making it while we were at Fort Laxdo.\This uniform, too.\Speaking of which, you also moved into the castle, right?\Yeah. I have to work harder and harder from now on.\I have a ton of studying and work to do. response:	I see. I'll be busy for a while with the bandit incident and everything at Fort Laxdo.
context: Clarines Kingdom, Wistal Castle, Apprentice Court Herbalist...\This is your identification, huh?\They finished making it while we were at Fort Laxdo.\This uniform, too.\Speaking of which, you also moved into the castle, right?\Yeah. I have to work harder and harder from now on.\I have a ton of studying and work to do.\I see. I'll be busy for a while with the bandit incident and everything at Fort Laxdo. response:	We might not be able to see each other for a while.
context: This is your identification, huh?\They finished making it while we were at Fort Laxdo.\This uniform, too.\Speaking of which, you also moved into the castle, right?\Yeah. I have to work harder and harder from now on.\I have a ton of studying and work to do.\I see. I'll be busy for a while with the bandit incident and everything at Fort Laxdo.\We might not be able to see each other for a while. response:	Huh?
context: They finished making it while we were at Fort Laxdo.\This uniform, too.\Speaking of which, you also moved into the castle, right?\Yeah. I have to work harder and harder from now on.\I have a ton of studying and work to do.\I see. I'll be busy for a while with the bandit incident and everything at Fort Laxdo.\We might not be able to see each other for a while.\Huh? response:	I see...
context: This uniform, too.\Speaking of which, you also moved into the castle, right?\Yeah. I have to work harder and harder from now on.\I have a ton of studying and work to do.\I see. I'll be busy for a while with the bandit incident and everything at Fort Laxdo.\We might not be able to see each other for a while.\Huh?\I see... response:	Shirayuki...
context: Speaking of which, you also moved into the castle, right?\Yeah. I have to work harder and harder from now on.\I have a ton of studying and work to do.\I see. I'll be busy for a while with the bandit incident and everything at Fort Laxdo.\We might not be able to see each other for a while.\Huh?\I see...\Shirayuki... response:	Well, see you later!
context: Yeah. I have to work harder and harder from now on.\I have a ton of studying and work to do.\I see. I'll be busy for a while with the bandit incident and everything at Fort Laxdo.\We might not be able to see each other for a while.\Huh?\I see...\Shirayuki...\Well, see you later! response:	-Hey! -Huh?
context: I have a ton of studying and work to do.\I see. I'll be busy for a while with the bandit incident and everything at Fort Laxdo.\We might not be able to see each other for a while.\Huh?\I see...\Shirayuki...\Well, see you later!\-Hey! -Huh? response:	Doesn't that make you upset at all?
context: I see. I'll be busy for a while with the bandit incident and everything at Fort Laxdo.\We might not be able to see each other for a while.\Huh?\I see...\Shirayuki...\Well, see you later!\-Hey! -Huh?\Doesn't that make you upset at all? response:	Upset? How?
context: We might not be able to see each other for a while.\Huh?\I see...\Shirayuki...\Well, see you later!\-Hey! -Huh?\Doesn't that make you upset at all?\Upset? How? response:	What do you mean, How...?
context: Huh?\I see...\Shirayuki...\Well, see you later!\-Hey! -Huh?\Doesn't that make you upset at all?\Upset? How?\What do you mean, How...? response:	Oh, never mind!
context: I see...\Shirayuki...\Well, see you later!\-Hey! -Huh?\Doesn't that make you upset at all?\Upset? How?\What do you mean, How...?\Oh, never mind! response:	See ya, Shirayuki!
context: Shirayuki...\Well, see you later!\-Hey! -Huh?\Doesn't that make you upset at all?\Upset? How?\What do you mean, How...?\Oh, never mind!\See ya, Shirayuki! response:	Okay!
context: Well, see you later!\-Hey! -Huh?\Doesn't that make you upset at all?\Upset? How?\What do you mean, How...?\Oh, never mind!\See ya, Shirayuki!\Okay! response:	We're waiting for the investigation report from the army for this.
context: -Hey! -Huh?\Doesn't that make you upset at all?\Upset? How?\What do you mean, How...?\Oh, never mind!\See ya, Shirayuki!\Okay!\We're waiting for the investigation report from the army for this. response:	What about rewriting the communication system with the fort?
context: Doesn't that make you upset at all?\Upset? How?\What do you mean, How...?\Oh, never mind!\See ya, Shirayuki!\Okay!\We're waiting for the investigation report from the army for this.\What about rewriting the communication system with the fort? response:	I've sent it on.
context: Upset? How?\What do you mean, How...?\Oh, never mind!\See ya, Shirayuki!\Okay!\We're waiting for the investigation report from the army for this.\What about rewriting the communication system with the fort?\I've sent it on. response:	Then, next-shall we go to the archives?
context: What do you mean, How...?\Oh, never mind!\See ya, Shirayuki!\Okay!\We're waiting for the investigation report from the army for this.\What about rewriting the communication system with the fort?\I've sent it on.\Then, next-shall we go to the archives? response:	The soldiers at the fort will have a hard time of it from now on, huh?
context: Oh, never mind!\See ya, Shirayuki!\Okay!\We're waiting for the investigation report from the army for this.\What about rewriting the communication system with the fort?\I've sent it on.\Then, next-shall we go to the archives?\The soldiers at the fort will have a hard time of it from now on, huh? response:	Yeah, probably.
context: See ya, Shirayuki!\Okay!\We're waiting for the investigation report from the army for this.\What about rewriting the communication system with the fort?\I've sent it on.\Then, next-shall we go to the archives?\The soldiers at the fort will have a hard time of it from now on, huh?\Yeah, probably. response:	Yeah, I'll have them work hard for me.
context: Okay!\We're waiting for the investigation report from the army for this.\What about rewriting the communication system with the fort?\I've sent it on.\Then, next-shall we go to the archives?\The soldiers at the fort will have a hard time of it from now on, huh?\Yeah, probably.\Yeah, I'll have them work hard for me. response:	To do that, we'll have to prepare the system first...
context: We're waiting for the investigation report from the army for this.\What about rewriting the communication system with the fort?\I've sent it on.\Then, next-shall we go to the archives?\The soldiers at the fort will have a hard time of it from now on, huh?\Yeah, probably.\Yeah, I'll have them work hard for me.\To do that, we'll have to prepare the system first... response:	Hm? Is something the matter?
context: What about rewriting the communication system with the fort?\I've sent it on.\Then, next-shall we go to the archives?\The soldiers at the fort will have a hard time of it from now on, huh?\Yeah, probably.\Yeah, I'll have them work hard for me.\To do that, we'll have to prepare the system first...\Hm? Is something the matter? response:	The palace guards are stationed in different places.
context: I've sent it on.\Then, next-shall we go to the archives?\The soldiers at the fort will have a hard time of it from now on, huh?\Yeah, probably.\Yeah, I'll have them work hard for me.\To do that, we'll have to prepare the system first...\Hm? Is something the matter?\The palace guards are stationed in different places. response:	Now that you mention it, there are a lot of them, too.
context: Then, next-shall we go to the archives?\The soldiers at the fort will have a hard time of it from now on, huh?\Yeah, probably.\Yeah, I'll have them work hard for me.\To do that, we'll have to prepare the system first...\Hm? Is something the matter?\The palace guards are stationed in different places.\Now that you mention it, there are a lot of them, too. response:	I didn't hear anything about this.
context: The soldiers at the fort will have a hard time of it from now on, huh?\Yeah, probably.\Yeah, I'll have them work hard for me.\To do that, we'll have to prepare the system first...\Hm? Is something the matter?\The palace guards are stationed in different places.\Now that you mention it, there are a lot of them, too.\I didn't hear anything about this. response:	H-Hey, Zen, where are you going?
context: Yeah, probably.\Yeah, I'll have them work hard for me.\To do that, we'll have to prepare the system first...\Hm? Is something the matter?\The palace guards are stationed in different places.\Now that you mention it, there are a lot of them, too.\I didn't hear anything about this.\H-Hey, Zen, where are you going? response:	When Master and the others get busy, I get bored...
context: Yeah, I'll have them work hard for me.\To do that, we'll have to prepare the system first...\Hm? Is something the matter?\The palace guards are stationed in different places.\Now that you mention it, there are a lot of them, too.\I didn't hear anything about this.\H-Hey, Zen, where are you going?\When Master and the others get busy, I get bored... response:	The area I'm allowed to be in is limited,
context: To do that, we'll have to prepare the system first...\Hm? Is something the matter?\The palace guards are stationed in different places.\Now that you mention it, there are a lot of them, too.\I didn't hear anything about this.\H-Hey, Zen, where are you going?\When Master and the others get busy, I get bored...\The area I'm allowed to be in is limited, response:	and there are no weapons for me to clean or repair.
context: Hm? Is something the matter?\The palace guards are stationed in different places.\Now that you mention it, there are a lot of them, too.\I didn't hear anything about this.\H-Hey, Zen, where are you going?\When Master and the others get busy, I get bored...\The area I'm allowed to be in is limited,\and there are no weapons for me to clean or repair. response:	Prince Zen, we cannot allow you to proceed further.
context: The palace guards are stationed in different places.\Now that you mention it, there are a lot of them, too.\I didn't hear anything about this.\H-Hey, Zen, where are you going?\When Master and the others get busy, I get bored...\The area I'm allowed to be in is limited,\and there are no weapons for me to clean or repair.\Prince Zen, we cannot allow you to proceed further. response:	Why not?
context: Now that you mention it, there are a lot of them, too.\I didn't hear anything about this.\H-Hey, Zen, where are you going?\When Master and the others get busy, I get bored...\The area I'm allowed to be in is limited,\and there are no weapons for me to clean or repair.\Prince Zen, we cannot allow you to proceed further.\Why not? response:	I cannot answer that.
context: I didn't hear anything about this.\H-Hey, Zen, where are you going?\When Master and the others get busy, I get bored...\The area I'm allowed to be in is limited,\and there are no weapons for me to clean or repair.\Prince Zen, we cannot allow you to proceed further.\Why not?\I cannot answer that. response:	I see. Thanks.
context: H-Hey, Zen, where are you going?\When Master and the others get busy, I get bored...\The area I'm allowed to be in is limited,\and there are no weapons for me to clean or repair.\Prince Zen, we cannot allow you to proceed further.\Why not?\I cannot answer that.\I see. Thanks. response:	Kiki, Mitsuhide, make yourselves presentable.
context: When Master and the others get busy, I get bored...\The area I'm allowed to be in is limited,\and there are no weapons for me to clean or repair.\Prince Zen, we cannot allow you to proceed further.\Why not?\I cannot answer that.\I see. Thanks.\Kiki, Mitsuhide, make yourselves presentable. response:	So I'm to wait until summoned, huh?
context: The area I'm allowed to be in is limited,\and there are no weapons for me to clean or repair.\Prince Zen, we cannot allow you to proceed further.\Why not?\I cannot answer that.\I see. Thanks.\Kiki, Mitsuhide, make yourselves presentable.\So I'm to wait until summoned, huh? response:	Obi, come out! You have ten seconds.
context: and there are no weapons for me to clean or repair.\Prince Zen, we cannot allow you to proceed further.\Why not?\I cannot answer that.\I see. Thanks.\Kiki, Mitsuhide, make yourselves presentable.\So I'm to wait until summoned, huh?\Obi, come out! You have ten seconds. response:	Jeez, you like to ask for the unreasonable.
context: Prince Zen, we cannot allow you to proceed further.\Why not?\I cannot answer that.\I see. Thanks.\Kiki, Mitsuhide, make yourselves presentable.\So I'm to wait until summoned, huh?\Obi, come out! You have ten seconds.\Jeez, you like to ask for the unreasonable. response:	Listen, you will be-
context: Why not?\I cannot answer that.\I see. Thanks.\Kiki, Mitsuhide, make yourselves presentable.\So I'm to wait until summoned, huh?\Obi, come out! You have ten seconds.\Jeez, you like to ask for the unreasonable.\Listen, you will be- response:	That scratch...
context: I cannot answer that.\I see. Thanks.\Kiki, Mitsuhide, make yourselves presentable.\So I'm to wait until summoned, huh?\Obi, come out! You have ten seconds.\Jeez, you like to ask for the unreasonable.\Listen, you will be-\That scratch... response:	Oh, this? Just now, there was a sudden-
context: I see. Thanks.\Kiki, Mitsuhide, make yourselves presentable.\So I'm to wait until summoned, huh?\Obi, come out! You have ten seconds.\Jeez, you like to ask for the unreasonable.\Listen, you will be-\That scratch...\Oh, this? Just now, there was a sudden- response:	Excuse me, Prince Zen.
context: Kiki, Mitsuhide, make yourselves presentable.\So I'm to wait until summoned, huh?\Obi, come out! You have ten seconds.\Jeez, you like to ask for the unreasonable.\Listen, you will be-\That scratch...\Oh, this? Just now, there was a sudden-\Excuse me, Prince Zen. response:	What do you want?
context: So I'm to wait until summoned, huh?\Obi, come out! You have ten seconds.\Jeez, you like to ask for the unreasonable.\Listen, you will be-\That scratch...\Oh, this? Just now, there was a sudden-\Excuse me, Prince Zen.\What do you want? response:	I was told to give this to you as soon as possible.
context: Obi, come out! You have ten seconds.\Jeez, you like to ask for the unreasonable.\Listen, you will be-\That scratch...\Oh, this? Just now, there was a sudden-\Excuse me, Prince Zen.\What do you want?\I was told to give this to you as soon as possible. response:	Sorry, Obi. Tell me about your scratch later.
context: Jeez, you like to ask for the unreasonable.\Listen, you will be-\That scratch...\Oh, this? Just now, there was a sudden-\Excuse me, Prince Zen.\What do you want?\I was told to give this to you as soon as possible.\Sorry, Obi. Tell me about your scratch later. response:	For now, uncover your face.
context: Listen, you will be-\That scratch...\Oh, this? Just now, there was a sudden-\Excuse me, Prince Zen.\What do you want?\I was told to give this to you as soon as possible.\Sorry, Obi. Tell me about your scratch later.\For now, uncover your face. response:	And stand by in this room. Got it?
context: That scratch...\Oh, this? Just now, there was a sudden-\Excuse me, Prince Zen.\What do you want?\I was told to give this to you as soon as possible.\Sorry, Obi. Tell me about your scratch later.\For now, uncover your face.\And stand by in this room. Got it? response:	Y-Yes, sir!
context: Oh, this? Just now, there was a sudden-\Excuse me, Prince Zen.\What do you want?\I was told to give this to you as soon as possible.\Sorry, Obi. Tell me about your scratch later.\For now, uncover your face.\And stand by in this room. Got it?\Y-Yes, sir! response:	Excuse me.
context: Excuse me, Prince Zen.\What do you want?\I was told to give this to you as soon as possible.\Sorry, Obi. Tell me about your scratch later.\For now, uncover your face.\And stand by in this room. Got it?\Y-Yes, sir!\Excuse me. response:	Hm?
context: What do you want?\I was told to give this to you as soon as possible.\Sorry, Obi. Tell me about your scratch later.\For now, uncover your face.\And stand by in this room. Got it?\Y-Yes, sir!\Excuse me.\Hm? response:	Shirayuki, the prince is summoning you.
context: I was told to give this to you as soon as possible.\Sorry, Obi. Tell me about your scratch later.\For now, uncover your face.\And stand by in this room. Got it?\Y-Yes, sir!\Excuse me.\Hm?\Shirayuki, the prince is summoning you. response:	Uh, okay. Right away-
context: Sorry, Obi. Tell me about your scratch later.\For now, uncover your face.\And stand by in this room. Got it?\Y-Yes, sir!\Excuse me.\Hm?\Shirayuki, the prince is summoning you.\Uh, okay. Right away- response:	Please come to the Room of Chanting Flowers.
context: For now, uncover your face.\And stand by in this room. Got it?\Y-Yes, sir!\Excuse me.\Hm?\Shirayuki, the prince is summoning you.\Uh, okay. Right away-\Please come to the Room of Chanting Flowers. response:	Huh? The Room of Chanting Flowers?
context: And stand by in this room. Got it?\Y-Yes, sir!\Excuse me.\Hm?\Shirayuki, the prince is summoning you.\Uh, okay. Right away-\Please come to the Room of Chanting Flowers.\Huh? The Room of Chanting Flowers? response:	Excuse me.
context: Y-Yes, sir!\Excuse me.\Hm?\Shirayuki, the prince is summoning you.\Uh, okay. Right away-\Please come to the Room of Chanting Flowers.\Huh? The Room of Chanting Flowers?\Excuse me. response:	Hey, Little Brother.
context: Excuse me.\Hm?\Shirayuki, the prince is summoning you.\Uh, okay. Right away-\Please come to the Room of Chanting Flowers.\Huh? The Room of Chanting Flowers?\Excuse me.\Hey, Little Brother. response:	Long time no see, Lord Brother.
context: Hm?\Shirayuki, the prince is summoning you.\Uh, okay. Right away-\Please come to the Room of Chanting Flowers.\Huh? The Room of Chanting Flowers?\Excuse me.\Hey, Little Brother.\Long time no see, Lord Brother. response:	Mitsuhide and Kiki are with you, too? Friendly, as always, huh?
context: Shirayuki, the prince is summoning you.\Uh, okay. Right away-\Please come to the Room of Chanting Flowers.\Huh? The Room of Chanting Flowers?\Excuse me.\Hey, Little Brother.\Long time no see, Lord Brother.\Mitsuhide and Kiki are with you, too? Friendly, as always, huh? response:	Thank you. Why did you hide your return from me?
context: Uh, okay. Right away-\Please come to the Room of Chanting Flowers.\Huh? The Room of Chanting Flowers?\Excuse me.\Hey, Little Brother.\Long time no see, Lord Brother.\Mitsuhide and Kiki are with you, too? Friendly, as always, huh?\Thank you. Why did you hide your return from me? response:	I was just wondering when you'd notice.
context: Please come to the Room of Chanting Flowers.\Huh? The Room of Chanting Flowers?\Excuse me.\Hey, Little Brother.\Long time no see, Lord Brother.\Mitsuhide and Kiki are with you, too? Friendly, as always, huh?\Thank you. Why did you hide your return from me?\I was just wondering when you'd notice. response:	I wanted to know how much you paid attention to what went on around the castle.
context: Huh? The Room of Chanting Flowers?\Excuse me.\Hey, Little Brother.\Long time no see, Lord Brother.\Mitsuhide and Kiki are with you, too? Friendly, as always, huh?\Thank you. Why did you hide your return from me?\I was just wondering when you'd notice.\I wanted to know how much you paid attention to what went on around the castle. response:	Please wait here.
context: Excuse me.\Hey, Little Brother.\Long time no see, Lord Brother.\Mitsuhide and Kiki are with you, too? Friendly, as always, huh?\Thank you. Why did you hide your return from me?\I was just wondering when you'd notice.\I wanted to know how much you paid attention to what went on around the castle.\Please wait here. response:	Please refrain from making any noise.
context: Hey, Little Brother.\Long time no see, Lord Brother.\Mitsuhide and Kiki are with you, too? Friendly, as always, huh?\Thank you. Why did you hide your return from me?\I was just wondering when you'd notice.\I wanted to know how much you paid attention to what went on around the castle.\Please wait here.\Please refrain from making any noise. response:	Right...
context: Long time no see, Lord Brother.\Mitsuhide and Kiki are with you, too? Friendly, as always, huh?\Thank you. Why did you hide your return from me?\I was just wondering when you'd notice.\I wanted to know how much you paid attention to what went on around the castle.\Please wait here.\Please refrain from making any noise.\Right... response:	Wh-What's this? What's going on?
context: Mitsuhide and Kiki are with you, too? Friendly, as always, huh?\Thank you. Why did you hide your return from me?\I was just wondering when you'd notice.\I wanted to know how much you paid attention to what went on around the castle.\Please wait here.\Please refrain from making any noise.\Right...\Wh-What's this? What's going on? response:	I heard you went all the way to Laxdo, Zen?
context: Thank you. Why did you hide your return from me?\I was just wondering when you'd notice.\I wanted to know how much you paid attention to what went on around the castle.\Please wait here.\Please refrain from making any noise.\Right...\Wh-What's this? What's going on?\I heard you went all the way to Laxdo, Zen? response:	Yes.
context: I was just wondering when you'd notice.\I wanted to know how much you paid attention to what went on around the castle.\Please wait here.\Please refrain from making any noise.\Right...\Wh-What's this? What's going on?\I heard you went all the way to Laxdo, Zen?\Yes. response:	Zen...?
context: I wanted to know how much you paid attention to what went on around the castle.\Please wait here.\Please refrain from making any noise.\Right...\Wh-What's this? What's going on?\I heard you went all the way to Laxdo, Zen?\Yes.\Zen...? response:	I saw the report, too.
context: Please wait here.\Please refrain from making any noise.\Right...\Wh-What's this? What's going on?\I heard you went all the way to Laxdo, Zen?\Yes.\Zen...?\I saw the report, too. response:	It said the soldiers at the fort were all sick because of the bandits.
context: Please refrain from making any noise.\Right...\Wh-What's this? What's going on?\I heard you went all the way to Laxdo, Zen?\Yes.\Zen...?\I saw the report, too.\It said the soldiers at the fort were all sick because of the bandits. response:	They couldn't even move. It must've been hard.
context: Right...\Wh-What's this? What's going on?\I heard you went all the way to Laxdo, Zen?\Yes.\Zen...?\I saw the report, too.\It said the soldiers at the fort were all sick because of the bandits.\They couldn't even move. It must've been hard. response:	The way he's speaking to Zen...
context: Wh-What's this? What's going on?\I heard you went all the way to Laxdo, Zen?\Yes.\Zen...?\I saw the report, too.\It said the soldiers at the fort were all sick because of the bandits.\They couldn't even move. It must've been hard.\The way he's speaking to Zen... response:	Someone with a higher social status than the second prince...
context: I heard you went all the way to Laxdo, Zen?\Yes.\Zen...?\I saw the report, too.\It said the soldiers at the fort were all sick because of the bandits.\They couldn't even move. It must've been hard.\The way he's speaking to Zen...\Someone with a higher social status than the second prince... response:	The first prince of Clarines!
context: Yes.\Zen...?\I saw the report, too.\It said the soldiers at the fort were all sick because of the bandits.\They couldn't even move. It must've been hard.\The way he's speaking to Zen...\Someone with a higher social status than the second prince...\The first prince of Clarines! response:	You were there with a court herbalist, and another attendant, right?
context: Zen...?\I saw the report, too.\It said the soldiers at the fort were all sick because of the bandits.\They couldn't even move. It must've been hard.\The way he's speaking to Zen...\Someone with a higher social status than the second prince...\The first prince of Clarines!\You were there with a court herbalist, and another attendant, right? response:	You didn't bring him?
context: I saw the report, too.\It said the soldiers at the fort were all sick because of the bandits.\They couldn't even move. It must've been hard.\The way he's speaking to Zen...\Someone with a higher social status than the second prince...\The first prince of Clarines!\You were there with a court herbalist, and another attendant, right?\You didn't bring him? response:	Because... he is a newcomer.
context: It said the soldiers at the fort were all sick because of the bandits.\They couldn't even move. It must've been hard.\The way he's speaking to Zen...\Someone with a higher social status than the second prince...\The first prince of Clarines!\You were there with a court herbalist, and another attendant, right?\You didn't bring him?\Because... he is a newcomer. response:	A man with a scratch on his cheek?
context: They couldn't even move. It must've been hard.\The way he's speaking to Zen...\Someone with a higher social status than the second prince...\The first prince of Clarines!\You were there with a court herbalist, and another attendant, right?\You didn't bring him?\Because... he is a newcomer.\A man with a scratch on his cheek? response:	I thought he was an outlaw, but he was yours, huh?
context: The way he's speaking to Zen...\Someone with a higher social status than the second prince...\The first prince of Clarines!\You were there with a court herbalist, and another attendant, right?\You didn't bring him?\Because... he is a newcomer.\A man with a scratch on his cheek?\I thought he was an outlaw, but he was yours, huh? response:	Well? I didn't see a report about the punishment of those at the fort.
context: Someone with a higher social status than the second prince...\The first prince of Clarines!\You were there with a court herbalist, and another attendant, right?\You didn't bring him?\Because... he is a newcomer.\A man with a scratch on his cheek?\I thought he was an outlaw, but he was yours, huh?\Well? I didn't see a report about the punishment of those at the fort. response:	They were not punished.
context: The first prince of Clarines!\You were there with a court herbalist, and another attendant, right?\You didn't bring him?\Because... he is a newcomer.\A man with a scratch on his cheek?\I thought he was an outlaw, but he was yours, huh?\Well? I didn't see a report about the punishment of those at the fort.\They were not punished. response:	Why not?
context: You were there with a court herbalist, and another attendant, right?\You didn't bring him?\Because... he is a newcomer.\A man with a scratch on his cheek?\I thought he was an outlaw, but he was yours, huh?\Well? I didn't see a report about the punishment of those at the fort.\They were not punished.\Why not? response:	They have the duty to patrol and protect the surrounding area.
context: You didn't bring him?\Because... he is a newcomer.\A man with a scratch on his cheek?\I thought he was an outlaw, but he was yours, huh?\Well? I didn't see a report about the punishment of those at the fort.\They were not punished.\Why not?\They have the duty to patrol and protect the surrounding area. response:	During this incident, they were unable to perform this duty for quite some time.
context: Because... he is a newcomer.\A man with a scratch on his cheek?\I thought he was an outlaw, but he was yours, huh?\Well? I didn't see a report about the punishment of those at the fort.\They were not punished.\Why not?\They have the duty to patrol and protect the surrounding area.\During this incident, they were unable to perform this duty for quite some time. response:	They could not be prevented from going back to their duties any longer.
context: A man with a scratch on his cheek?\I thought he was an outlaw, but he was yours, huh?\Well? I didn't see a report about the punishment of those at the fort.\They were not punished.\Why not?\They have the duty to patrol and protect the surrounding area.\During this incident, they were unable to perform this duty for quite some time.\They could not be prevented from going back to their duties any longer. response:	Well then, Zen, why don't we remove Laxdo from your jurisdiction for six months?
