context: Fukiyama Daigo response:	To Be Transferred
context: Hey, how can they stay so sane?\Hey, how can they stay so sane?\This is their artificial world\This is their artificial world\In this beautiful world\In this beautiful world\there is something\there is something response:	that obscures all light for me
context: Hey, how can they stay so sane?\This is their artificial world\This is their artificial world\In this beautiful world\In this beautiful world\there is something\there is something\that obscures all light for me response:	that obscures all light for me
context: This is their artificial world\This is their artificial world\In this beautiful world\In this beautiful world\there is something\there is something\that obscures all light for me\that obscures all light for me response:	My heart tries to make sense of it
context: This is their artificial world\In this beautiful world\In this beautiful world\there is something\there is something\that obscures all light for me\that obscures all light for me\My heart tries to make sense of it response:	My heart tries to make sense of it
context: In this beautiful world\In this beautiful world\there is something\there is something\that obscures all light for me\that obscures all light for me\My heart tries to make sense of it\My heart tries to make sense of it response:	and finds no answer
context: In this beautiful world\there is something\there is something\that obscures all light for me\that obscures all light for me\My heart tries to make sense of it\My heart tries to make sense of it\and finds no answer response:	and finds no answer
context: there is something\there is something\that obscures all light for me\that obscures all light for me\My heart tries to make sense of it\My heart tries to make sense of it\and finds no answer\and finds no answer response:	Secret kills for you
context: there is something\that obscures all light for me\that obscures all light for me\My heart tries to make sense of it\My heart tries to make sense of it\and finds no answer\and finds no answer\Secret kills for you response:	Secret kills for you
context: that obscures all light for me\that obscures all light for me\My heart tries to make sense of it\My heart tries to make sense of it\and finds no answer\and finds no answer\Secret kills for you\Secret kills for you response:	Secret kills for you
context: that obscures all light for me\My heart tries to make sense of it\My heart tries to make sense of it\and finds no answer\and finds no answer\Secret kills for you\Secret kills for you\Secret kills for you response:	Secret kills for you
context: My heart tries to make sense of it\My heart tries to make sense of it\and finds no answer\and finds no answer\Secret kills for you\Secret kills for you\Secret kills for you\Secret kills for you response:	Secret image for you
context: My heart tries to make sense of it\and finds no answer\and finds no answer\Secret kills for you\Secret kills for you\Secret kills for you\Secret kills for you\Secret image for you response:	Secret image for you
context: and finds no answer\and finds no answer\Secret kills for you\Secret kills for you\Secret kills for you\Secret kills for you\Secret image for you\Secret image for you response:	Don't show me a dark future
context: and finds no answer\Secret kills for you\Secret kills for you\Secret kills for you\Secret kills for you\Secret image for you\Secret image for you\Don't show me a dark future response:	Don't show me a dark future
context: Secret kills for you\Secret kills for you\Secret kills for you\Secret kills for you\Secret image for you\Secret image for you\Don't show me a dark future\Don't show me a dark future response:	with this gaudy land
context: Secret kills for you\Secret kills for you\Secret kills for you\Secret image for you\Secret image for you\Don't show me a dark future\Don't show me a dark future\with this gaudy land response:	with this gaudy land
context: Secret kills for you\Secret kills for you\Secret image for you\Secret image for you\Don't show me a dark future\Don't show me a dark future\with this gaudy land\with this gaudy land response:	Show me a way to fade
context: Secret kills for you\Secret image for you\Secret image for you\Don't show me a dark future\Don't show me a dark future\with this gaudy land\with this gaudy land\Show me a way to fade response:	Show me a way to fade
context: Secret image for you\Secret image for you\Don't show me a dark future\Don't show me a dark future\with this gaudy land\with this gaudy land\Show me a way to fade\Show me a way to fade response:	The victim is Shioyama Daisuke, twenty-seven years old.
context: Secret image for you\Don't show me a dark future\Don't show me a dark future\with this gaudy land\with this gaudy land\Show me a way to fade\Show me a way to fade\The victim is Shioyama Daisuke, twenty-seven years old. response:	He worked at the Hachiouji Drone Factory.
context: Don't show me a dark future\Don't show me a dark future\with this gaudy land\with this gaudy land\Show me a way to fade\Show me a way to fade\The victim is Shioyama Daisuke, twenty-seven years old.\He worked at the Hachiouji Drone Factory. response:	His body was found at precisely 4 AM.
context: Don't show me a dark future\with this gaudy land\with this gaudy land\Show me a way to fade\Show me a way to fade\The victim is Shioyama Daisuke, twenty-seven years old.\He worked at the Hachiouji Drone Factory.\His body was found at precisely 4 AM. response:	They said he was dismembered by a Drone he was testing.
context: with this gaudy land\with this gaudy land\Show me a way to fade\Show me a way to fade\The victim is Shioyama Daisuke, twenty-seven years old.\He worked at the Hachiouji Drone Factory.\His body was found at precisely 4 AM.\They said he was dismembered by a Drone he was testing. response:	Do you think... it was an accident?
context: with this gaudy land\Show me a way to fade\Show me a way to fade\The victim is Shioyama Daisuke, twenty-seven years old.\He worked at the Hachiouji Drone Factory.\His body was found at precisely 4 AM.\They said he was dismembered by a Drone he was testing.\Do you think... it was an accident? response:	I heard that this is already the third casualty in the past year at this factory.
context: Show me a way to fade\Show me a way to fade\The victim is Shioyama Daisuke, twenty-seven years old.\He worked at the Hachiouji Drone Factory.\His body was found at precisely 4 AM.\They said he was dismembered by a Drone he was testing.\Do you think... it was an accident?\I heard that this is already the third casualty in the past year at this factory. response:	It's clearly unusual.
context: Show me a way to fade\The victim is Shioyama Daisuke, twenty-seven years old.\He worked at the Hachiouji Drone Factory.\His body was found at precisely 4 AM.\They said he was dismembered by a Drone he was testing.\Do you think... it was an accident?\I heard that this is already the third casualty in the past year at this factory.\It's clearly unusual. response:	The body was found in the Drones' behavior inspection section,
context: The victim is Shioyama Daisuke, twenty-seven years old.\He worked at the Hachiouji Drone Factory.\His body was found at precisely 4 AM.\They said he was dismembered by a Drone he was testing.\Do you think... it was an accident?\I heard that this is already the third casualty in the past year at this factory.\It's clearly unusual.\The body was found in the Drones' behavior inspection section, response:	the only manned area in the otherwise automated production line.
context: He worked at the Hachiouji Drone Factory.\His body was found at precisely 4 AM.\They said he was dismembered by a Drone he was testing.\Do you think... it was an accident?\I heard that this is already the third casualty in the past year at this factory.\It's clearly unusual.\The body was found in the Drones' behavior inspection section,\the only manned area in the otherwise automated production line. response:	There are about fifty debuggers working there around the clock.
context: His body was found at precisely 4 AM.\They said he was dismembered by a Drone he was testing.\Do you think... it was an accident?\I heard that this is already the third casualty in the past year at this factory.\It's clearly unusual.\The body was found in the Drones' behavior inspection section,\the only manned area in the otherwise automated production line.\There are about fifty debuggers working there around the clock. response:	Is that a live-in job?
context: They said he was dismembered by a Drone he was testing.\Do you think... it was an accident?\I heard that this is already the third casualty in the past year at this factory.\It's clearly unusual.\The body was found in the Drones' behavior inspection section,\the only manned area in the otherwise automated production line.\There are about fifty debuggers working there around the clock.\Is that a live-in job? response:	There are over 1000 Drones
context: Do you think... it was an accident?\I heard that this is already the third casualty in the past year at this factory.\It's clearly unusual.\The body was found in the Drones' behavior inspection section,\the only manned area in the otherwise automated production line.\There are about fifty debuggers working there around the clock.\Is that a live-in job?\There are over 1000 Drones response:	that need to be evaluated and verified each month.
context: I heard that this is already the third casualty in the past year at this factory.\It's clearly unusual.\The body was found in the Drones' behavior inspection section,\the only manned area in the otherwise automated production line.\There are about fifty debuggers working there around the clock.\Is that a live-in job?\There are over 1000 Drones\that need to be evaluated and verified each month. response:	They have no choice but to work around the clock.
context: It's clearly unusual.\The body was found in the Drones' behavior inspection section,\the only manned area in the otherwise automated production line.\There are about fifty debuggers working there around the clock.\Is that a live-in job?\There are over 1000 Drones\that need to be evaluated and verified each month.\They have no choice but to work around the clock. response:	If you can install a program that induces a malfunction in a Drone before it's tested,
context: The body was found in the Drones' behavior inspection section,\the only manned area in the otherwise automated production line.\There are about fifty debuggers working there around the clock.\Is that a live-in job?\There are over 1000 Drones\that need to be evaluated and verified each month.\They have no choice but to work around the clock.\If you can install a program that induces a malfunction in a Drone before it's tested, response:	there's a good chance you can make it look like an accident.
context: the only manned area in the otherwise automated production line.\There are about fifty debuggers working there around the clock.\Is that a live-in job?\There are over 1000 Drones\that need to be evaluated and verified each month.\They have no choice but to work around the clock.\If you can install a program that induces a malfunction in a Drone before it's tested,\there's a good chance you can make it look like an accident. response:	Which means...
context: There are about fifty debuggers working there around the clock.\Is that a live-in job?\There are over 1000 Drones\that need to be evaluated and verified each month.\They have no choice but to work around the clock.\If you can install a program that induces a malfunction in a Drone before it's tested,\there's a good chance you can make it look like an accident.\Which means... response:	This could be a murder case.
context: Is that a live-in job?\There are over 1000 Drones\that need to be evaluated and verified each month.\They have no choice but to work around the clock.\If you can install a program that induces a malfunction in a Drone before it's tested,\there's a good chance you can make it look like an accident.\Which means...\This could be a murder case. response:	But if there are only fifty suspects,
context: There are over 1000 Drones\that need to be evaluated and verified each month.\They have no choice but to work around the clock.\If you can install a program that induces a malfunction in a Drone before it's tested,\there's a good chance you can make it look like an accident.\Which means...\This could be a murder case.\But if there are only fifty suspects, response:	can't we just check everyone's Crime Coefficient?
context: that need to be evaluated and verified each month.\They have no choice but to work around the clock.\If you can install a program that induces a malfunction in a Drone before it's tested,\there's a good chance you can make it look like an accident.\Which means...\This could be a murder case.\But if there are only fifty suspects,\can't we just check everyone's Crime Coefficient? response:	Well, it's not that simple.
context: They have no choice but to work around the clock.\If you can install a program that induces a malfunction in a Drone before it's tested,\there's a good chance you can make it look like an accident.\Which means...\This could be a murder case.\But if there are only fifty suspects,\can't we just check everyone's Crime Coefficient?\Well, it's not that simple. response:	03: Rearing Conventions
context: If you can install a program that induces a malfunction in a Drone before it's tested,\there's a good chance you can make it look like an accident.\Which means...\This could be a murder case.\But if there are only fifty suspects,\can't we just check everyone's Crime Coefficient?\Well, it's not that simple.\03: Rearing Conventions response:	Inspector Ginoza...
context: there's a good chance you can make it look like an accident.\Which means...\This could be a murder case.\But if there are only fifty suspects,\can't we just check everyone's Crime Coefficient?\Well, it's not that simple.\03: Rearing Conventions\Inspector Ginoza... response:	What is it?
context: Which means...\This could be a murder case.\But if there are only fifty suspects,\can't we just check everyone's Crime Coefficient?\Well, it's not that simple.\03: Rearing Conventions\Inspector Ginoza...\What is it? response:	I feel like I'll be able to get along well with the Enforcers.
context: This could be a murder case.\But if there are only fifty suspects,\can't we just check everyone's Crime Coefficient?\Well, it's not that simple.\03: Rearing Conventions\Inspector Ginoza...\What is it?\I feel like I'll be able to get along well with the Enforcers. response:	Do you mean you'll get along with them as a colleague?
context: But if there are only fifty suspects,\can't we just check everyone's Crime Coefficient?\Well, it's not that simple.\03: Rearing Conventions\Inspector Ginoza...\What is it?\I feel like I'll be able to get along well with the Enforcers.\Do you mean you'll get along with them as a colleague? response:	Or as their handler?
context: can't we just check everyone's Crime Coefficient?\Well, it's not that simple.\03: Rearing Conventions\Inspector Ginoza...\What is it?\I feel like I'll be able to get along well with the Enforcers.\Do you mean you'll get along with them as a colleague?\Or as their handler? response:	They say that fools learn from their experiences,
context: Well, it's not that simple.\03: Rearing Conventions\Inspector Ginoza...\What is it?\I feel like I'll be able to get along well with the Enforcers.\Do you mean you'll get along with them as a colleague?\Or as their handler?\They say that fools learn from their experiences, response:	while the wise learn from history.
context: 03: Rearing Conventions\Inspector Ginoza...\What is it?\I feel like I'll be able to get along well with the Enforcers.\Do you mean you'll get along with them as a colleague?\Or as their handler?\They say that fools learn from their experiences,\while the wise learn from history. response:	I hope you're not a fool.
context: Inspector Ginoza...\What is it?\I feel like I'll be able to get along well with the Enforcers.\Do you mean you'll get along with them as a colleague?\Or as their handler?\They say that fools learn from their experiences,\while the wise learn from history.\I hope you're not a fool. response:	I'd like to see where it happened.
context: What is it?\I feel like I'll be able to get along well with the Enforcers.\Do you mean you'll get along with them as a colleague?\Or as their handler?\They say that fools learn from their experiences,\while the wise learn from history.\I hope you're not a fool.\I'd like to see where it happened. response:	Of course. This way, please.
context: I feel like I'll be able to get along well with the Enforcers.\Do you mean you'll get along with them as a colleague?\Or as their handler?\They say that fools learn from their experiences,\while the wise learn from history.\I hope you're not a fool.\I'd like to see where it happened.\Of course. This way, please. response:	We do a safety check and a test run here after the Drones are built.
context: Do you mean you'll get along with them as a colleague?\Or as their handler?\They say that fools learn from their experiences,\while the wise learn from history.\I hope you're not a fool.\I'd like to see where it happened.\Of course. This way, please.\We do a safety check and a test run here after the Drones are built. response:	We depend on machines for all the other processes,
context: Or as their handler?\They say that fools learn from their experiences,\while the wise learn from history.\I hope you're not a fool.\I'd like to see where it happened.\Of course. This way, please.\We do a safety check and a test run here after the Drones are built.\We depend on machines for all the other processes, response:	but the final check still needs to be done by humans, as it's always been.
context: They say that fools learn from their experiences,\while the wise learn from history.\I hope you're not a fool.\I'd like to see where it happened.\Of course. This way, please.\We do a safety check and a test run here after the Drones are built.\We depend on machines for all the other processes,\but the final check still needs to be done by humans, as it's always been. response:	As you can see, it's dangerous work.
context: while the wise learn from history.\I hope you're not a fool.\I'd like to see where it happened.\Of course. This way, please.\We do a safety check and a test run here after the Drones are built.\We depend on machines for all the other processes,\but the final check still needs to be done by humans, as it's always been.\As you can see, it's dangerous work. response:	It's hard on the debuggers, isn't it?
context: I hope you're not a fool.\I'd like to see where it happened.\Of course. This way, please.\We do a safety check and a test run here after the Drones are built.\We depend on machines for all the other processes,\but the final check still needs to be done by humans, as it's always been.\As you can see, it's dangerous work.\It's hard on the debuggers, isn't it? response:	Yes, it is.
context: I'd like to see where it happened.\Of course. This way, please.\We do a safety check and a test run here after the Drones are built.\We depend on machines for all the other processes,\but the final check still needs to be done by humans, as it's always been.\As you can see, it's dangerous work.\It's hard on the debuggers, isn't it?\Yes, it is. response:	In fact, there aren't many ways to deal with stress here, unlike in the outside world.
context: Of course. This way, please.\We do a safety check and a test run here after the Drones are built.\We depend on machines for all the other processes,\but the final check still needs to be done by humans, as it's always been.\As you can see, it's dangerous work.\It's hard on the debuggers, isn't it?\Yes, it is.\In fact, there aren't many ways to deal with stress here, unlike in the outside world. response:	You can't connect to the net, so there's not much in the way of diversions.
context: We do a safety check and a test run here after the Drones are built.\We depend on machines for all the other processes,\but the final check still needs to be done by humans, as it's always been.\As you can see, it's dangerous work.\It's hard on the debuggers, isn't it?\Yes, it is.\In fact, there aren't many ways to deal with stress here, unlike in the outside world.\You can't connect to the net, so there's not much in the way of diversions. response:	Is this place offline?
context: We depend on machines for all the other processes,\but the final check still needs to be done by humans, as it's always been.\As you can see, it's dangerous work.\It's hard on the debuggers, isn't it?\Yes, it is.\In fact, there aren't many ways to deal with stress here, unlike in the outside world.\You can't connect to the net, so there's not much in the way of diversions.\Is this place offline? response:	We're not wired for it,
context: but the final check still needs to be done by humans, as it's always been.\As you can see, it's dangerous work.\It's hard on the debuggers, isn't it?\Yes, it is.\In fact, there aren't many ways to deal with stress here, unlike in the outside world.\You can't connect to the net, so there's not much in the way of diversions.\Is this place offline?\We're not wired for it, response:	and this building itself is an anechoic chamber,
context: As you can see, it's dangerous work.\It's hard on the debuggers, isn't it?\Yes, it is.\In fact, there aren't many ways to deal with stress here, unlike in the outside world.\You can't connect to the net, so there's not much in the way of diversions.\Is this place offline?\We're not wired for it,\and this building itself is an anechoic chamber, response:	so there's no way to access outside communications networks here.
context: It's hard on the debuggers, isn't it?\Yes, it is.\In fact, there aren't many ways to deal with stress here, unlike in the outside world.\You can't connect to the net, so there's not much in the way of diversions.\Is this place offline?\We're not wired for it,\and this building itself is an anechoic chamber,\so there's no way to access outside communications networks here. response:	This is the most efficient security system against hacking.
context: Yes, it is.\In fact, there aren't many ways to deal with stress here, unlike in the outside world.\You can't connect to the net, so there's not much in the way of diversions.\Is this place offline?\We're not wired for it,\and this building itself is an anechoic chamber,\so there's no way to access outside communications networks here.\This is the most efficient security system against hacking. response:	How horrifying.
context: In fact, there aren't many ways to deal with stress here, unlike in the outside world.\You can't connect to the net, so there's not much in the way of diversions.\Is this place offline?\We're not wired for it,\and this building itself is an anechoic chamber,\so there's no way to access outside communications networks here.\This is the most efficient security system against hacking.\How horrifying. response:	A totally isolated area, huh?
context: You can't connect to the net, so there's not much in the way of diversions.\Is this place offline?\We're not wired for it,\and this building itself is an anechoic chamber,\so there's no way to access outside communications networks here.\This is the most efficient security system against hacking.\How horrifying.\A totally isolated area, huh? response:	The body was already taken away by a Drone during the initial response.
context: Is this place offline?\We're not wired for it,\and this building itself is an anechoic chamber,\so there's no way to access outside communications networks here.\This is the most efficient security system against hacking.\How horrifying.\A totally isolated area, huh?\The body was already taken away by a Drone during the initial response. response:	However, I'm told it was all recorded on this disk.
context: We're not wired for it,\and this building itself is an anechoic chamber,\so there's no way to access outside communications networks here.\This is the most efficient security system against hacking.\How horrifying.\A totally isolated area, huh?\The body was already taken away by a Drone during the initial response.\However, I'm told it was all recorded on this disk. response:	It's like his body was dissected by the Drone while he was still alive.
context: and this building itself is an anechoic chamber,\so there's no way to access outside communications networks here.\This is the most efficient security system against hacking.\How horrifying.\A totally isolated area, huh?\The body was already taken away by a Drone during the initial response.\However, I'm told it was all recorded on this disk.\It's like his body was dissected by the Drone while he was still alive. response:	Nasty.
context: so there's no way to access outside communications networks here.\This is the most efficient security system against hacking.\How horrifying.\A totally isolated area, huh?\The body was already taken away by a Drone during the initial response.\However, I'm told it was all recorded on this disk.\It's like his body was dissected by the Drone while he was still alive.\Nasty. response:	Did the victim, Mr. Shioyama, have anyone with a grudge against him?
context: This is the most efficient security system against hacking.\How horrifying.\A totally isolated area, huh?\The body was already taken away by a Drone during the initial response.\However, I'm told it was all recorded on this disk.\It's like his body was dissected by the Drone while he was still alive.\Nasty.\Did the victim, Mr. Shioyama, have anyone with a grudge against him? response:	Shioy ama Dai suke
context: How horrifying.\A totally isolated area, huh?\The body was already taken away by a Drone during the initial response.\However, I'm told it was all recorded on this disk.\It's like his body was dissected by the Drone while he was still alive.\Nasty.\Did the victim, Mr. Shioyama, have anyone with a grudge against him?\Shioy ama Dai suke response:	Shioy ama Dai suke
context: A totally isolated area, huh?\The body was already taken away by a Drone during the initial response.\However, I'm told it was all recorded on this disk.\It's like his body was dissected by the Drone while he was still alive.\Nasty.\Did the victim, Mr. Shioyama, have anyone with a grudge against him?\Shioy ama Dai suke\Shioy ama Dai suke response:	Blood Type
context: The body was already taken away by a Drone during the initial response.\However, I'm told it was all recorded on this disk.\It's like his body was dissected by the Drone while he was still alive.\Nasty.\Did the victim, Mr. Shioyama, have anyone with a grudge against him?\Shioy ama Dai suke\Shioy ama Dai suke\Blood Type response:	Blood Type
context: However, I'm told it was all recorded on this disk.\It's like his body was dissected by the Drone while he was still alive.\Nasty.\Did the victim, Mr. Shioyama, have anyone with a grudge against him?\Shioy ama Dai suke\Shioy ama Dai suke\Blood Type\Blood Type response:	Height: Weight:
context: It's like his body was dissected by the Drone while he was still alive.\Nasty.\Did the victim, Mr. Shioyama, have anyone with a grudge against him?\Shioy ama Dai suke\Shioy ama Dai suke\Blood Type\Blood Type\Height: Weight: response:	Height: Weight:
context: Nasty.\Did the victim, Mr. Shioyama, have anyone with a grudge against him?\Shioy ama Dai suke\Shioy ama Dai suke\Blood Type\Blood Type\Height: Weight:\Height: Weight: response:	No, he didn't.
context: Did the victim, Mr. Shioyama, have anyone with a grudge against him?\Shioy ama Dai suke\Shioy ama Dai suke\Blood Type\Blood Type\Height: Weight:\Height: Weight:\No, he didn't. response:	He was a model employee.
context: Shioy ama Dai suke\Shioy ama Dai suke\Blood Type\Blood Type\Height: Weight:\Height: Weight:\No, he didn't.\He was a model employee. response:	His Psycho-Pass showed no indication of any problems.
context: Shioy ama Dai suke\Blood Type\Blood Type\Height: Weight:\Height: Weight:\No, he didn't.\He was a model employee.\His Psycho-Pass showed no indication of any problems. response:	It must have been an accident.
context: Blood Type\Blood Type\Height: Weight:\Height: Weight:\No, he didn't.\He was a model employee.\His Psycho-Pass showed no indication of any problems.\It must have been an accident. response:	But this is the third incident of this kind. Don't you think that's a few too many?
context: Blood Type\Height: Weight:\Height: Weight:\No, he didn't.\He was a model employee.\His Psycho-Pass showed no indication of any problems.\It must have been an accident.\But this is the third incident of this kind. Don't you think that's a few too many? response:	As I told you earlier, this is a dangerous work environment.
context: Height: Weight:\Height: Weight:\No, he didn't.\He was a model employee.\His Psycho-Pass showed no indication of any problems.\It must have been an accident.\But this is the third incident of this kind. Don't you think that's a few too many?\As I told you earlier, this is a dangerous work environment. response:	If you have any criticisms regarding our management, we're all ears,
context: Height: Weight:\No, he didn't.\He was a model employee.\His Psycho-Pass showed no indication of any problems.\It must have been an accident.\But this is the third incident of this kind. Don't you think that's a few too many?\As I told you earlier, this is a dangerous work environment.\If you have any criticisms regarding our management, we're all ears, response:	but please air those concerns through the appropriate channels.
context: No, he didn't.\He was a model employee.\His Psycho-Pass showed no indication of any problems.\It must have been an accident.\But this is the third incident of this kind. Don't you think that's a few too many?\As I told you earlier, this is a dangerous work environment.\If you have any criticisms regarding our management, we're all ears,\but please air those concerns through the appropriate channels. response:	What about the Drone that went out of control?
context: He was a model employee.\His Psycho-Pass showed no indication of any problems.\It must have been an accident.\But this is the third incident of this kind. Don't you think that's a few too many?\As I told you earlier, this is a dangerous work environment.\If you have any criticisms regarding our management, we're all ears,\but please air those concerns through the appropriate channels.\What about the Drone that went out of control? response:	I'm having it sent to headquarters.
context: His Psycho-Pass showed no indication of any problems.\It must have been an accident.\But this is the third incident of this kind. Don't you think that's a few too many?\As I told you earlier, this is a dangerous work environment.\If you have any criticisms regarding our management, we're all ears,\but please air those concerns through the appropriate channels.\What about the Drone that went out of control?\I'm having it sent to headquarters. response:	We'll have to wait for Karanomori to complete her analysis,
context: It must have been an accident.\But this is the third incident of this kind. Don't you think that's a few too many?\As I told you earlier, this is a dangerous work environment.\If you have any criticisms regarding our management, we're all ears,\but please air those concerns through the appropriate channels.\What about the Drone that went out of control?\I'm having it sent to headquarters.\We'll have to wait for Karanomori to complete her analysis, response:	but I was told that its memory, including the backup, is gone.
context: But this is the third incident of this kind. Don't you think that's a few too many?\As I told you earlier, this is a dangerous work environment.\If you have any criticisms regarding our management, we're all ears,\but please air those concerns through the appropriate channels.\What about the Drone that went out of control?\I'm having it sent to headquarters.\We'll have to wait for Karanomori to complete her analysis,\but I was told that its memory, including the backup, is gone. response:	We probably shouldn't expect much.
context: As I told you earlier, this is a dangerous work environment.\If you have any criticisms regarding our management, we're all ears,\but please air those concerns through the appropriate channels.\What about the Drone that went out of control?\I'm having it sent to headquarters.\We'll have to wait for Karanomori to complete her analysis,\but I was told that its memory, including the backup, is gone.\We probably shouldn't expect much. response:	For now, head back to the car and forward this to headquarters.
context: If you have any criticisms regarding our management, we're all ears,\but please air those concerns through the appropriate channels.\What about the Drone that went out of control?\I'm having it sent to headquarters.\We'll have to wait for Karanomori to complete her analysis,\but I was told that its memory, including the backup, is gone.\We probably shouldn't expect much.\For now, head back to the car and forward this to headquarters. response:	I have a few more things to talk about with Chief Goda.
context: but please air those concerns through the appropriate channels.\What about the Drone that went out of control?\I'm having it sent to headquarters.\We'll have to wait for Karanomori to complete her analysis,\but I was told that its memory, including the backup, is gone.\We probably shouldn't expect much.\For now, head back to the car and forward this to headquarters.\I have a few more things to talk about with Chief Goda. response:	Okay.
context: What about the Drone that went out of control?\I'm having it sent to headquarters.\We'll have to wait for Karanomori to complete her analysis,\but I was told that its memory, including the backup, is gone.\We probably shouldn't expect much.\For now, head back to the car and forward this to headquarters.\I have a few more things to talk about with Chief Goda.\Okay. response:	These are the Psycho-Passes for all staff within this facility.
context: I'm having it sent to headquarters.\We'll have to wait for Karanomori to complete her analysis,\but I was told that its memory, including the backup, is gone.\We probably shouldn't expect much.\For now, head back to the car and forward this to headquarters.\I have a few more things to talk about with Chief Goda.\Okay.\These are the Psycho-Passes for all staff within this facility. response:	These records contain the results of our detailed periodic checks
context: We'll have to wait for Karanomori to complete her analysis,\but I was told that its memory, including the backup, is gone.\We probably shouldn't expect much.\For now, head back to the car and forward this to headquarters.\I have a few more things to talk about with Chief Goda.\Okay.\These are the Psycho-Passes for all staff within this facility.\These records contain the results of our detailed periodic checks response:	along with the Hue Assessments by the scanners installed in the building.
context: but I was told that its memory, including the backup, is gone.\We probably shouldn't expect much.\For now, head back to the car and forward this to headquarters.\I have a few more things to talk about with Chief Goda.\Okay.\These are the Psycho-Passes for all staff within this facility.\These records contain the results of our detailed periodic checks\along with the Hue Assessments by the scanners installed in the building. response:	Thank you.
