context: I wonder why the sky looks so lonely? response:	This is Edolas after Natsu and the others left.
context: Things are destroyed all over!\Well, now...\Anyway, now we have to rebuild the city, right?\Let's work hard, everyone! We might not have magic, but we can still do this!\That's an excellent spirit they have.\He Who Erases Life.\I've brought him.\Hey, hey, hey! Hold it a sec! response:	What do you want, Lucy Loser?
context: Well, now...\Anyway, now we have to rebuild the city, right?\Let's work hard, everyone! We might not have magic, but we can still do this!\That's an excellent spirit they have.\He Who Erases Life.\I've brought him.\Hey, hey, hey! Hold it a sec!\What do you want, Lucy Loser? response:	It's true that I told you to think up a way to move the guild...
context: Anyway, now we have to rebuild the city, right?\Let's work hard, everyone! We might not have magic, but we can still do this!\That's an excellent spirit they have.\He Who Erases Life.\I've brought him.\Hey, hey, hey! Hold it a sec!\What do you want, Lucy Loser?\It's true that I told you to think up a way to move the guild... response:	But what the hell is this?!
context: Let's work hard, everyone! We might not have magic, but we can still do this!\That's an excellent spirit they have.\He Who Erases Life.\I've brought him.\Hey, hey, hey! Hold it a sec!\What do you want, Lucy Loser?\It's true that I told you to think up a way to move the guild...\But what the hell is this?! response:	You want us to pull it ourselves?
context: That's an excellent spirit they have.\He Who Erases Life.\I've brought him.\Hey, hey, hey! Hold it a sec!\What do you want, Lucy Loser?\It's true that I told you to think up a way to move the guild...\But what the hell is this?!\You want us to pull it ourselves? response:	We don't have any other choice! All the magic power's gone...
context: He Who Erases Life.\I've brought him.\Hey, hey, hey! Hold it a sec!\What do you want, Lucy Loser?\It's true that I told you to think up a way to move the guild...\But what the hell is this?!\You want us to pull it ourselves?\We don't have any other choice! All the magic power's gone... response:	You thinkin' of escapin', huh?
context: I've brought him.\Hey, hey, hey! Hold it a sec!\What do you want, Lucy Loser?\It's true that I told you to think up a way to move the guild...\But what the hell is this?!\You want us to pull it ourselves?\We don't have any other choice! All the magic power's gone...\You thinkin' of escapin', huh? response:	O-Of course not!
context: Hey, hey, hey! Hold it a sec!\What do you want, Lucy Loser?\It's true that I told you to think up a way to move the guild...\But what the hell is this?!\You want us to pull it ourselves?\We don't have any other choice! All the magic power's gone...\You thinkin' of escapin', huh?\O-Of course not! response:	Oh, I know!
context: What do you want, Lucy Loser?\It's true that I told you to think up a way to move the guild...\But what the hell is this?!\You want us to pull it ourselves?\We don't have any other choice! All the magic power's gone...\You thinkin' of escapin', huh?\O-Of course not!\Oh, I know! response:	I'll just tow'er with this.
context: It's true that I told you to think up a way to move the guild...\But what the hell is this?!\You want us to pull it ourselves?\We don't have any other choice! All the magic power's gone...\You thinkin' of escapin', huh?\O-Of course not!\Oh, I know!\I'll just tow'er with this. response:	Check out the horsepower on my ride...
context: But what the hell is this?!\You want us to pull it ourselves?\We don't have any other choice! All the magic power's gone...\You thinkin' of escapin', huh?\O-Of course not!\Oh, I know!\I'll just tow'er with this.\Check out the horsepower on my ride... response:	Oh yeah, baby, I'm coool!
context: You want us to pull it ourselves?\We don't have any other choice! All the magic power's gone...\You thinkin' of escapin', huh?\O-Of course not!\Oh, I know!\I'll just tow'er with this.\Check out the horsepower on my ride...\Oh yeah, baby, I'm coool! response:	Go Fire!
context: We don't have any other choice! All the magic power's gone...\You thinkin' of escapin', huh?\O-Of course not!\Oh, I know!\I'll just tow'er with this.\Check out the horsepower on my ride...\Oh yeah, baby, I'm coool!\Go Fire! response:	Uh?
context: You thinkin' of escapin', huh?\O-Of course not!\Oh, I know!\I'll just tow'er with this.\Check out the horsepower on my ride...\Oh yeah, baby, I'm coool!\Go Fire!\Uh? response:	What was that?
context: O-Of course not!\Oh, I know!\I'll just tow'er with this.\Check out the horsepower on my ride...\Oh yeah, baby, I'm coool!\Go Fire!\Uh?\What was that? response:	A magic four-wheeler without any magic power is less useful than a push cart.
context: Oh, I know!\I'll just tow'er with this.\Check out the horsepower on my ride...\Oh yeah, baby, I'm coool!\Go Fire!\Uh?\What was that?\A magic four-wheeler without any magic power is less useful than a push cart. response:	Juvia-chan, your mind is so sharp!
context: I'll just tow'er with this.\Check out the horsepower on my ride...\Oh yeah, baby, I'm coool!\Go Fire!\Uh?\What was that?\A magic four-wheeler without any magic power is less useful than a push cart.\Juvia-chan, your mind is so sharp! response:	It's still more useful than you.
context: Check out the horsepower on my ride...\Oh yeah, baby, I'm coool!\Go Fire!\Uh?\What was that?\A magic four-wheeler without any magic power is less useful than a push cart.\Juvia-chan, your mind is so sharp!\It's still more useful than you. response:	Ouch...
context: Oh yeah, baby, I'm coool!\Go Fire!\Uh?\What was that?\A magic four-wheeler without any magic power is less useful than a push cart.\Juvia-chan, your mind is so sharp!\It's still more useful than you.\Ouch... response:	I'm sorry!
context: Go Fire!\Uh?\What was that?\A magic four-wheeler without any magic power is less useful than a push cart.\Juvia-chan, your mind is so sharp!\It's still more useful than you.\Ouch...\I'm sorry! response:	I never expected anything out of you anyway!
context: Uh?\What was that?\A magic four-wheeler without any magic power is less useful than a push cart.\Juvia-chan, your mind is so sharp!\It's still more useful than you.\Ouch...\I'm sorry!\I never expected anything out of you anyway! response:	Ouch!
context: What was that?\A magic four-wheeler without any magic power is less useful than a push cart.\Juvia-chan, your mind is so sharp!\It's still more useful than you.\Ouch...\I'm sorry!\I never expected anything out of you anyway!\Ouch! response:	Listen up! We're dragging this thing to the Royal City at least!
context: A magic four-wheeler without any magic power is less useful than a push cart.\Juvia-chan, your mind is so sharp!\It's still more useful than you.\Ouch...\I'm sorry!\I never expected anything out of you anyway!\Ouch!\Listen up! We're dragging this thing to the Royal City at least! response:	Take your stations!
context: Juvia-chan, your mind is so sharp!\It's still more useful than you.\Ouch...\I'm sorry!\I never expected anything out of you anyway!\Ouch!\Listen up! We're dragging this thing to the Royal City at least!\Take your stations! response:	Let's go, Nee-chan.
context: It's still more useful than you.\Ouch...\I'm sorry!\I never expected anything out of you anyway!\Ouch!\Listen up! We're dragging this thing to the Royal City at least!\Take your stations!\Let's go, Nee-chan. response:	Yeah...
context: Ouch...\I'm sorry!\I never expected anything out of you anyway!\Ouch!\Listen up! We're dragging this thing to the Royal City at least!\Take your stations!\Let's go, Nee-chan.\Yeah... response:	Um, what are you doing?
context: I'm sorry!\I never expected anything out of you anyway!\Ouch!\Listen up! We're dragging this thing to the Royal City at least!\Take your stations!\Let's go, Nee-chan.\Yeah...\Um, what are you doing? response:	You expect delicate maidens such as ourselves to carry such a heavy load?
context: I never expected anything out of you anyway!\Ouch!\Listen up! We're dragging this thing to the Royal City at least!\Take your stations!\Let's go, Nee-chan.\Yeah...\Um, what are you doing?\You expect delicate maidens such as ourselves to carry such a heavy load? response:	D-Delicate?!
context: Ouch!\Listen up! We're dragging this thing to the Royal City at least!\Take your stations!\Let's go, Nee-chan.\Yeah...\Um, what are you doing?\You expect delicate maidens such as ourselves to carry such a heavy load?\D-Delicate?! response:	The Royal City has entered a new era.
context: Listen up! We're dragging this thing to the Royal City at least!\Take your stations!\Let's go, Nee-chan.\Yeah...\Um, what are you doing?\You expect delicate maidens such as ourselves to carry such a heavy load?\D-Delicate?!\The Royal City has entered a new era. response:	Everyone's hearts are looking toward the future.
context: Take your stations!\Let's go, Nee-chan.\Yeah...\Um, what are you doing?\You expect delicate maidens such as ourselves to carry such a heavy load?\D-Delicate?!\The Royal City has entered a new era.\Everyone's hearts are looking toward the future. response:	But they have not forgotten about your existence.
context: Let's go, Nee-chan.\Yeah...\Um, what are you doing?\You expect delicate maidens such as ourselves to carry such a heavy load?\D-Delicate?!\The Royal City has entered a new era.\Everyone's hearts are looking toward the future.\But they have not forgotten about your existence. response:	I must decide on an appropriate punishment, and uphold justice.
context: Yeah...\Um, what are you doing?\You expect delicate maidens such as ourselves to carry such a heavy load?\D-Delicate?!\The Royal City has entered a new era.\Everyone's hearts are looking toward the future.\But they have not forgotten about your existence.\I must decide on an appropriate punishment, and uphold justice. response:	I understand.
context: Um, what are you doing?\You expect delicate maidens such as ourselves to carry such a heavy load?\D-Delicate?!\The Royal City has entered a new era.\Everyone's hearts are looking toward the future.\But they have not forgotten about your existence.\I must decide on an appropriate punishment, and uphold justice.\I understand. response:	Faust, I order you banished from the Royal City.
context: You expect delicate maidens such as ourselves to carry such a heavy load?\D-Delicate?!\The Royal City has entered a new era.\Everyone's hearts are looking toward the future.\But they have not forgotten about your existence.\I must decide on an appropriate punishment, and uphold justice.\I understand.\Faust, I order you banished from the Royal City. response:	You will never be allowed to set foot in this city again.
context: D-Delicate?!\The Royal City has entered a new era.\Everyone's hearts are looking toward the future.\But they have not forgotten about your existence.\I must decide on an appropriate punishment, and uphold justice.\I understand.\Faust, I order you banished from the Royal City.\You will never be allowed to set foot in this city again. response:	But...
context: The Royal City has entered a new era.\Everyone's hearts are looking toward the future.\But they have not forgotten about your existence.\I must decide on an appropriate punishment, and uphold justice.\I understand.\Faust, I order you banished from the Royal City.\You will never be allowed to set foot in this city again.\But... response:	Erza Knightwalker.
context: Everyone's hearts are looking toward the future.\But they have not forgotten about your existence.\I must decide on an appropriate punishment, and uphold justice.\I understand.\Faust, I order you banished from the Royal City.\You will never be allowed to set foot in this city again.\But...\Erza Knightwalker. response:	Without my permission, you are not allowed to leave the Royal City.
context: But they have not forgotten about your existence.\I must decide on an appropriate punishment, and uphold justice.\I understand.\Faust, I order you banished from the Royal City.\You will never be allowed to set foot in this city again.\But...\Erza Knightwalker.\Without my permission, you are not allowed to leave the Royal City. response:	I would gladly accept execution...
context: I must decide on an appropriate punishment, and uphold justice.\I understand.\Faust, I order you banished from the Royal City.\You will never be allowed to set foot in this city again.\But...\Erza Knightwalker.\Without my permission, you are not allowed to leave the Royal City.\I would gladly accept execution... response:	Suit yourself.
context: I understand.\Faust, I order you banished from the Royal City.\You will never be allowed to set foot in this city again.\But...\Erza Knightwalker.\Without my permission, you are not allowed to leave the Royal City.\I would gladly accept execution...\Suit yourself. response:	No. You will be put to work with the citizens in reconstruction.
context: Faust, I order you banished from the Royal City.\You will never be allowed to set foot in this city again.\But...\Erza Knightwalker.\Without my permission, you are not allowed to leave the Royal City.\I would gladly accept execution...\Suit yourself.\No. You will be put to work with the citizens in reconstruction. response:	Bydo, Sugar Boy, Hughes...
context: You will never be allowed to set foot in this city again.\But...\Erza Knightwalker.\Without my permission, you are not allowed to leave the Royal City.\I would gladly accept execution...\Suit yourself.\No. You will be put to work with the citizens in reconstruction.\Bydo, Sugar Boy, Hughes... response:	You will receive the same punishment as Erza Knightwalker.
context: But...\Erza Knightwalker.\Without my permission, you are not allowed to leave the Royal City.\I would gladly accept execution...\Suit yourself.\No. You will be put to work with the citizens in reconstruction.\Bydo, Sugar Boy, Hughes...\You will receive the same punishment as Erza Knightwalker. response:	That is all.
context: Erza Knightwalker.\Without my permission, you are not allowed to leave the Royal City.\I would gladly accept execution...\Suit yourself.\No. You will be put to work with the citizens in reconstruction.\Bydo, Sugar Boy, Hughes...\You will receive the same punishment as Erza Knightwalker.\That is all. response:	What is the meaning of this?
context: Without my permission, you are not allowed to leave the Royal City.\I would gladly accept execution...\Suit yourself.\No. You will be put to work with the citizens in reconstruction.\Bydo, Sugar Boy, Hughes...\You will receive the same punishment as Erza Knightwalker.\That is all.\What is the meaning of this? response:	Whoa... I mean, like, whoa I can't just accept that!
context: I would gladly accept execution...\Suit yourself.\No. You will be put to work with the citizens in reconstruction.\Bydo, Sugar Boy, Hughes...\You will receive the same punishment as Erza Knightwalker.\That is all.\What is the meaning of this?\Whoa... I mean, like, whoa I can't just accept that! response:	So the Magic Regiments get off free?
context: Suit yourself.\No. You will be put to work with the citizens in reconstruction.\Bydo, Sugar Boy, Hughes...\You will receive the same punishment as Erza Knightwalker.\That is all.\What is the meaning of this?\Whoa... I mean, like, whoa I can't just accept that!\So the Magic Regiments get off free? response:	What is the meaning behind this?
context: No. You will be put to work with the citizens in reconstruction.\Bydo, Sugar Boy, Hughes...\You will receive the same punishment as Erza Knightwalker.\That is all.\What is the meaning of this?\Whoa... I mean, like, whoa I can't just accept that!\So the Magic Regiments get off free?\What is the meaning behind this? response:	Atone for your sins.
context: Bydo, Sugar Boy, Hughes...\You will receive the same punishment as Erza Knightwalker.\That is all.\What is the meaning of this?\Whoa... I mean, like, whoa I can't just accept that!\So the Magic Regiments get off free?\What is the meaning behind this?\Atone for your sins. response:	In that case I'd rather be executed!
context: You will receive the same punishment as Erza Knightwalker.\That is all.\What is the meaning of this?\Whoa... I mean, like, whoa I can't just accept that!\So the Magic Regiments get off free?\What is the meaning behind this?\Atone for your sins.\In that case I'd rather be executed! response:	I refuse to live a life of humiliation!
context: That is all.\What is the meaning of this?\Whoa... I mean, like, whoa I can't just accept that!\So the Magic Regiments get off free?\What is the meaning behind this?\Atone for your sins.\In that case I'd rather be executed!\I refuse to live a life of humiliation! response:	That's right. Got it?
context: What is the meaning of this?\Whoa... I mean, like, whoa I can't just accept that!\So the Magic Regiments get off free?\What is the meaning behind this?\Atone for your sins.\In that case I'd rather be executed!\I refuse to live a life of humiliation!\That's right. Got it? response:	We were always prepared for the worst.
context: Whoa... I mean, like, whoa I can't just accept that!\So the Magic Regiments get off free?\What is the meaning behind this?\Atone for your sins.\In that case I'd rather be executed!\I refuse to live a life of humiliation!\That's right. Got it?\We were always prepared for the worst. response:	New King, this is our will.
context: So the Magic Regiments get off free?\What is the meaning behind this?\Atone for your sins.\In that case I'd rather be executed!\I refuse to live a life of humiliation!\That's right. Got it?\We were always prepared for the worst.\New King, this is our will. response:	I think you grasp it now, yes?
context: What is the meaning behind this?\Atone for your sins.\In that case I'd rather be executed!\I refuse to live a life of humiliation!\That's right. Got it?\We were always prepared for the worst.\New King, this is our will.\I think you grasp it now, yes? response:	In that case...
context: Atone for your sins.\In that case I'd rather be executed!\I refuse to live a life of humiliation!\That's right. Got it?\We were always prepared for the worst.\New King, this is our will.\I think you grasp it now, yes?\In that case... response:	In that case, let me atone for my sins as well!
context: In that case I'd rather be executed!\I refuse to live a life of humiliation!\That's right. Got it?\We were always prepared for the worst.\New King, this is our will.\I think you grasp it now, yes?\In that case...\In that case, let me atone for my sins as well! response:	In that case...
context: I refuse to live a life of humiliation!\That's right. Got it?\We were always prepared for the worst.\New King, this is our will.\I think you grasp it now, yes?\In that case...\In that case, let me atone for my sins as well!\In that case... response:	Coco, you acted based on your conscious.
context: That's right. Got it?\We were always prepared for the worst.\New King, this is our will.\I think you grasp it now, yes?\In that case...\In that case, let me atone for my sins as well!\In that case...\Coco, you acted based on your conscious. response:	Your actions were noble.
context: We were always prepared for the worst.\New King, this is our will.\I think you grasp it now, yes?\In that case...\In that case, let me atone for my sins as well!\In that case...\Coco, you acted based on your conscious.\Your actions were noble. response:	Regardless of your past, do not make nothing of them.
context: New King, this is our will.\I think you grasp it now, yes?\In that case...\In that case, let me atone for my sins as well!\In that case...\Coco, you acted based on your conscious.\Your actions were noble.\Regardless of your past, do not make nothing of them. response:	But...
context: I think you grasp it now, yes?\In that case...\In that case, let me atone for my sins as well!\In that case...\Coco, you acted based on your conscious.\Your actions were noble.\Regardless of your past, do not make nothing of them.\But... response:	Even without magic power, you people all have incredible latent powers.
context: In that case...\In that case, let me atone for my sins as well!\In that case...\Coco, you acted based on your conscious.\Your actions were noble.\Regardless of your past, do not make nothing of them.\But...\Even without magic power, you people all have incredible latent powers. response:	Furthermore, you have knowledge and experience.
context: In that case, let me atone for my sins as well!\In that case...\Coco, you acted based on your conscious.\Your actions were noble.\Regardless of your past, do not make nothing of them.\But...\Even without magic power, you people all have incredible latent powers.\Furthermore, you have knowledge and experience. response:	I want you to put them to work in restoring the Royal City.
context: In that case...\Coco, you acted based on your conscious.\Your actions were noble.\Regardless of your past, do not make nothing of them.\But...\Even without magic power, you people all have incredible latent powers.\Furthermore, you have knowledge and experience.\I want you to put them to work in restoring the Royal City. response:	If you think that to be difficult,
context: Coco, you acted based on your conscious.\Your actions were noble.\Regardless of your past, do not make nothing of them.\But...\Even without magic power, you people all have incredible latent powers.\Furthermore, you have knowledge and experience.\I want you to put them to work in restoring the Royal City.\If you think that to be difficult, response:	consider it the ultimate punishment you receive from me.
context: Your actions were noble.\Regardless of your past, do not make nothing of them.\But...\Even without magic power, you people all have incredible latent powers.\Furthermore, you have knowledge and experience.\I want you to put them to work in restoring the Royal City.\If you think that to be difficult,\consider it the ultimate punishment you receive from me. response:	And what of his highness?
context: Regardless of your past, do not make nothing of them.\But...\Even without magic power, you people all have incredible latent powers.\Furthermore, you have knowledge and experience.\I want you to put them to work in restoring the Royal City.\If you think that to be difficult,\consider it the ultimate punishment you receive from me.\And what of his highness? response:	I mean, Faust... Wouldn't he be the same?
context: But...\Even without magic power, you people all have incredible latent powers.\Furthermore, you have knowledge and experience.\I want you to put them to work in restoring the Royal City.\If you think that to be difficult,\consider it the ultimate punishment you receive from me.\And what of his highness?\I mean, Faust... Wouldn't he be the same? response:	Why is he the only one that's banished?
context: Even without magic power, you people all have incredible latent powers.\Furthermore, you have knowledge and experience.\I want you to put them to work in restoring the Royal City.\If you think that to be difficult,\consider it the ultimate punishment you receive from me.\And what of his highness?\I mean, Faust... Wouldn't he be the same?\Why is he the only one that's banished? response:	That's right!
context: Furthermore, you have knowledge and experience.\I want you to put them to work in restoring the Royal City.\If you think that to be difficult,\consider it the ultimate punishment you receive from me.\And what of his highness?\I mean, Faust... Wouldn't he be the same?\Why is he the only one that's banished?\That's right! response:	Enough already.
context: I want you to put them to work in restoring the Royal City.\If you think that to be difficult,\consider it the ultimate punishment you receive from me.\And what of his highness?\I mean, Faust... Wouldn't he be the same?\Why is he the only one that's banished?\That's right!\Enough already. response:	But...
context: If you think that to be difficult,\consider it the ultimate punishment you receive from me.\And what of his highness?\I mean, Faust... Wouldn't he be the same?\Why is he the only one that's banished?\That's right!\Enough already.\But... response:	Be well.
context: consider it the ultimate punishment you receive from me.\And what of his highness?\I mean, Faust... Wouldn't he be the same?\Why is he the only one that's banished?\That's right!\Enough already.\But...\Be well. response:	I am thankful for your lenient sentence, new King.
context: And what of his highness?\I mean, Faust... Wouldn't he be the same?\Why is he the only one that's banished?\That's right!\Enough already.\But...\Be well.\I am thankful for your lenient sentence, new King. response:	I called out to that youth when he left...
context: I mean, Faust... Wouldn't he be the same?\Why is he the only one that's banished?\That's right!\Enough already.\But...\Be well.\I am thankful for your lenient sentence, new King.\I called out to that youth when he left... response:	Yes, I noticed.
context: Why is he the only one that's banished?\That's right!\Enough already.\But...\Be well.\I am thankful for your lenient sentence, new King.\I called out to that youth when he left...\Yes, I noticed. response:	Solidarity.
context: That's right!\Enough already.\But...\Be well.\I am thankful for your lenient sentence, new King.\I called out to that youth when he left...\Yes, I noticed.\Solidarity. response:	Huh?
context: Enough already.\But...\Be well.\I am thankful for your lenient sentence, new King.\I called out to that youth when he left...\Yes, I noticed.\Solidarity.\Huh? response:	Courage.
context: But...\Be well.\I am thankful for your lenient sentence, new King.\I called out to that youth when he left...\Yes, I noticed.\Solidarity.\Huh?\Courage. response:	Conviction.
context: Be well.\I am thankful for your lenient sentence, new King.\I called out to that youth when he left...\Yes, I noticed.\Solidarity.\Huh?\Courage.\Conviction. response:	It seems I had forgotten some important things...
context: I am thankful for your lenient sentence, new King.\I called out to that youth when he left...\Yes, I noticed.\Solidarity.\Huh?\Courage.\Conviction.\It seems I had forgotten some important things... response:	Is being in a guild fun?
context: I called out to that youth when he left...\Yes, I noticed.\Solidarity.\Huh?\Courage.\Conviction.\It seems I had forgotten some important things...\Is being in a guild fun? response:	Yeah!
context: Yes, I noticed.\Solidarity.\Huh?\Courage.\Conviction.\It seems I had forgotten some important things...\Is being in a guild fun?\Yeah! response:	Is being in a guild fun?
context: Solidarity.\Huh?\Courage.\Conviction.\It seems I had forgotten some important things...\Is being in a guild fun?\Yeah!\Is being in a guild fun? response:	When I asked that, I'll never forget the smile on that youth's face.
context: Huh?\Courage.\Conviction.\It seems I had forgotten some important things...\Is being in a guild fun?\Yeah!\Is being in a guild fun?\When I asked that, I'll never forget the smile on that youth's face. response:	I don't know exactly why...
context: Courage.\Conviction.\It seems I had forgotten some important things...\Is being in a guild fun?\Yeah!\Is being in a guild fun?\When I asked that, I'll never forget the smile on that youth's face.\I don't know exactly why... response:	That is all.
context: Conviction.\It seems I had forgotten some important things...\Is being in a guild fun?\Yeah!\Is being in a guild fun?\When I asked that, I'll never forget the smile on that youth's face.\I don't know exactly why...\That is all. response:	Coco! Keep on running!
context: It seems I had forgotten some important things...\Is being in a guild fun?\Yeah!\Is being in a guild fun?\When I asked that, I'll never forget the smile on that youth's face.\I don't know exactly why...\That is all.\Coco! Keep on running! response:	I will!
context: Is being in a guild fun?\Yeah!\Is being in a guild fun?\When I asked that, I'll never forget the smile on that youth's face.\I don't know exactly why...\That is all.\Coco! Keep on running!\I will! response:	Man, what a breeze!
context: Yeah!\Is being in a guild fun?\When I asked that, I'll never forget the smile on that youth's face.\I don't know exactly why...\That is all.\Coco! Keep on running!\I will!\Man, what a breeze! response:	Quite peaceful, really...
context: Is being in a guild fun?\When I asked that, I'll never forget the smile on that youth's face.\I don't know exactly why...\That is all.\Coco! Keep on running!\I will!\Man, what a breeze!\Quite peaceful, really... response:	Comfy...
context: When I asked that, I'll never forget the smile on that youth's face.\I don't know exactly why...\That is all.\Coco! Keep on running!\I will!\Man, what a breeze!\Quite peaceful, really...\Comfy... response:	Don't ride on the inside!
context: I don't know exactly why...\That is all.\Coco! Keep on running!\I will!\Man, what a breeze!\Quite peaceful, really...\Comfy...\Don't ride on the inside! response:	And don't have tea, damn it!
context: That is all.\Coco! Keep on running!\I will!\Man, what a breeze!\Quite peaceful, really...\Comfy...\Don't ride on the inside!\And don't have tea, damn it! response:	And just like that... Moving is over!
context: Coco! Keep on running!\I will!\Man, what a breeze!\Quite peaceful, really...\Comfy...\Don't ride on the inside!\And don't have tea, damn it!\And just like that... Moving is over! response:	What's that?
context: I will!\Man, what a breeze!\Quite peaceful, really...\Comfy...\Don't ride on the inside!\And don't have tea, damn it!\And just like that... Moving is over!\What's that? response:	They moved a building?
context: Man, what a breeze!\Quite peaceful, really...\Comfy...\Don't ride on the inside!\And don't have tea, damn it!\And just like that... Moving is over!\What's that?\They moved a building? response:	Wait, that mark... Could they be...?
context: Quite peaceful, really...\Comfy...\Don't ride on the inside!\And don't have tea, damn it!\And just like that... Moving is over!\What's that?\They moved a building?\Wait, that mark... Could they be...? response:	Hey, everyone in the Royal City!
context: Comfy...\Don't ride on the inside!\And don't have tea, damn it!\And just like that... Moving is over!\What's that?\They moved a building?\Wait, that mark... Could they be...?\Hey, everyone in the Royal City! response:	We're Fairy Tail!
context: Don't ride on the inside!\And don't have tea, damn it!\And just like that... Moving is over!\What's that?\They moved a building?\Wait, that mark... Could they be...?\Hey, everyone in the Royal City!\We're Fairy Tail! response:	We'll solve any problem you might have!
context: And don't have tea, damn it!\And just like that... Moving is over!\What's that?\They moved a building?\Wait, that mark... Could they be...?\Hey, everyone in the Royal City!\We're Fairy Tail!\We'll solve any problem you might have! response:	Our fee is fully negotiable!
context: And just like that... Moving is over!\What's that?\They moved a building?\Wait, that mark... Could they be...?\Hey, everyone in the Royal City!\We're Fairy Tail!\We'll solve any problem you might have!\Our fee is fully negotiable! response:	In honor of our new opening, prices are super cheap!
context: What's that?\They moved a building?\Wait, that mark... Could they be...?\Hey, everyone in the Royal City!\We're Fairy Tail!\We'll solve any problem you might have!\Our fee is fully negotiable!\In honor of our new opening, prices are super cheap! response:	Come on by!
context: They moved a building?\Wait, that mark... Could they be...?\Hey, everyone in the Royal City!\We're Fairy Tail!\We'll solve any problem you might have!\Our fee is fully negotiable!\In honor of our new opening, prices are super cheap!\Come on by! response:	Ooh, that'll be a big help!
context: Wait, that mark... Could they be...?\Hey, everyone in the Royal City!\We're Fairy Tail!\We'll solve any problem you might have!\Our fee is fully negotiable!\In honor of our new opening, prices are super cheap!\Come on by!\Ooh, that'll be a big help! response:	The Great Demon Lord broke my roof! Can you repair it?
context: Hey, everyone in the Royal City!\We're Fairy Tail!\We'll solve any problem you might have!\Our fee is fully negotiable!\In honor of our new opening, prices are super cheap!\Come on by!\Ooh, that'll be a big help!\The Great Demon Lord broke my roof! Can you repair it? response:	We don't got nearly enough brick-layers.
context: We're Fairy Tail!\We'll solve any problem you might have!\Our fee is fully negotiable!\In honor of our new opening, prices are super cheap!\Come on by!\Ooh, that'll be a big help!\The Great Demon Lord broke my roof! Can you repair it?\We don't got nearly enough brick-layers. response:	Someone help out!
context: We'll solve any problem you might have!\Our fee is fully negotiable!\In honor of our new opening, prices are super cheap!\Come on by!\Ooh, that'll be a big help!\The Great Demon Lord broke my roof! Can you repair it?\We don't got nearly enough brick-layers.\Someone help out! response:	We'd be happy to!
context: Our fee is fully negotiable!\In honor of our new opening, prices are super cheap!\Come on by!\Ooh, that'll be a big help!\The Great Demon Lord broke my roof! Can you repair it?\We don't got nearly enough brick-layers.\Someone help out!\We'd be happy to! response:	They're telling us to do things like fix the roof...
context: In honor of our new opening, prices are super cheap!\Come on by!\Ooh, that'll be a big help!\The Great Demon Lord broke my roof! Can you repair it?\We don't got nearly enough brick-layers.\Someone help out!\We'd be happy to!\They're telling us to do things like fix the roof... response:	And baking bricks, too...
context: Come on by!\Ooh, that'll be a big help!\The Great Demon Lord broke my roof! Can you repair it?\We don't got nearly enough brick-layers.\Someone help out!\We'd be happy to!\They're telling us to do things like fix the roof...\And baking bricks, too... response:	Witches...
context: Ooh, that'll be a big help!\The Great Demon Lord broke my roof! Can you repair it?\We don't got nearly enough brick-layers.\Someone help out!\We'd be happy to!\They're telling us to do things like fix the roof...\And baking bricks, too...\Witches... response:	Now, earn that cash!
