context: What will they be? Red-hot anger? Deep-blue sadness? response:	Are they red-hot anger? Deep blue sadness?
context: It's strange.\I never expected so much energy to be collected. The folly of man knows no limits.\There was no need for me to activate itthe Noir Rod has started itself!\Unfortunately for you, magic can no longer be used in this location without a router.\Stop!\The Leyline!\You're pretty stubborn to follow me all the way here.\You are right. This is where the Grand Triskelion is sealed. response:	As you said, the Grand Triskelion is sealed here.
context: I never expected so much energy to be collected. The folly of man knows no limits.\There was no need for me to activate itthe Noir Rod has started itself!\Unfortunately for you, magic can no longer be used in this location without a router.\Stop!\The Leyline!\You're pretty stubborn to follow me all the way here.\You are right. This is where the Grand Triskelion is sealed.\As you said, the Grand Triskelion is sealed here. response:	It won't be long until I release it.
context: There was no need for me to activate itthe Noir Rod has started itself!\Unfortunately for you, magic can no longer be used in this location without a router.\Stop!\The Leyline!\You're pretty stubborn to follow me all the way here.\You are right. This is where the Grand Triskelion is sealed.\As you said, the Grand Triskelion is sealed here.\It won't be long until I release it. response:	This is where we are?
context: Unfortunately for you, magic can no longer be used in this location without a router.\Stop!\The Leyline!\You're pretty stubborn to follow me all the way here.\You are right. This is where the Grand Triskelion is sealed.\As you said, the Grand Triskelion is sealed here.\It won't be long until I release it.\This is where we are? response:	It's here?
context: Stop!\The Leyline!\You're pretty stubborn to follow me all the way here.\You are right. This is where the Grand Triskelion is sealed.\As you said, the Grand Triskelion is sealed here.\It won't be long until I release it.\This is where we are?\It's here? response:	Man, this place is giving me the creeps. Let's get the hell outta here.
context: The Leyline!\You're pretty stubborn to follow me all the way here.\You are right. This is where the Grand Triskelion is sealed.\As you said, the Grand Triskelion is sealed here.\It won't be long until I release it.\This is where we are?\It's here?\Man, this place is giving me the creeps. Let's get the hell outta here. response:	This place is giving me the creeps. Let's get the hell out of here.
context: You're pretty stubborn to follow me all the way here.\You are right. This is where the Grand Triskelion is sealed.\As you said, the Grand Triskelion is sealed here.\It won't be long until I release it.\This is where we are?\It's here?\Man, this place is giving me the creeps. Let's get the hell outta here.\This place is giving me the creeps. Let's get the hell out of here. response:	The Leyline was messed up too. Something's definitely wrong.
context: You are right. This is where the Grand Triskelion is sealed.\As you said, the Grand Triskelion is sealed here.\It won't be long until I release it.\This is where we are?\It's here?\Man, this place is giving me the creeps. Let's get the hell outta here.\This place is giving me the creeps. Let's get the hell out of here.\The Leyline was messed up too. Something's definitely wrong. response:	Look at that!
context: As you said, the Grand Triskelion is sealed here.\It won't be long until I release it.\This is where we are?\It's here?\Man, this place is giving me the creeps. Let's get the hell outta here.\This place is giving me the creeps. Let's get the hell out of here.\The Leyline was messed up too. Something's definitely wrong.\Look at that! response:	What is it?
context: It won't be long until I release it.\This is where we are?\It's here?\Man, this place is giving me the creeps. Let's get the hell outta here.\This place is giving me the creeps. Let's get the hell out of here.\The Leyline was messed up too. Something's definitely wrong.\Look at that!\What is it? response:	Attention all citizens taking part in the riot!
context: This is where we are?\It's here?\Man, this place is giving me the creeps. Let's get the hell outta here.\This place is giving me the creeps. Let's get the hell out of here.\The Leyline was messed up too. Something's definitely wrong.\Look at that!\What is it?\Attention all citizens taking part in the riot! response:	We order you to disperse immediately!
context: It's here?\Man, this place is giving me the creeps. Let's get the hell outta here.\This place is giving me the creeps. Let's get the hell out of here.\The Leyline was messed up too. Something's definitely wrong.\Look at that!\What is it?\Attention all citizens taking part in the riot!\We order you to disperse immediately! response:	Failure to comply results in
context: Man, this place is giving me the creeps. Let's get the hell outta here.\This place is giving me the creeps. Let's get the hell out of here.\The Leyline was messed up too. Something's definitely wrong.\Look at that!\What is it?\Attention all citizens taking part in the riot!\We order you to disperse immediately!\Failure to comply results in response:	If you fail to do so...
context: This place is giving me the creeps. Let's get the hell out of here.\The Leyline was messed up too. Something's definitely wrong.\Look at that!\What is it?\Attention all citizens taking part in the riot!\We order you to disperse immediately!\Failure to comply results in\If you fail to do so... response:	A coup d'etat?!
context: The Leyline was messed up too. Something's definitely wrong.\Look at that!\What is it?\Attention all citizens taking part in the riot!\We order you to disperse immediately!\Failure to comply results in\If you fail to do so...\A coup d'etat?! response:	It's currently only a rumor.
context: Look at that!\What is it?\Attention all citizens taking part in the riot!\We order you to disperse immediately!\Failure to comply results in\If you fail to do so...\A coup d'etat?!\It's currently only a rumor. response:	However, several videos of the riots are being uploaded online, so I consider a coup d'etat possible.
context: What is it?\Attention all citizens taking part in the riot!\We order you to disperse immediately!\Failure to comply results in\If you fail to do so...\A coup d'etat?!\It's currently only a rumor.\However, several videos of the riots are being uploaded online, so I consider a coup d'etat possible. response:	Unbelievable. Have they no sense?
context: Attention all citizens taking part in the riot!\We order you to disperse immediately!\Failure to comply results in\If you fail to do so...\A coup d'etat?!\It's currently only a rumor.\However, several videos of the riots are being uploaded online, so I consider a coup d'etat possible.\Unbelievable. Have they no sense? response:	Gather more detailed information.
context: We order you to disperse immediately!\Failure to comply results in\If you fail to do so...\A coup d'etat?!\It's currently only a rumor.\However, several videos of the riots are being uploaded online, so I consider a coup d'etat possible.\Unbelievable. Have they no sense?\Gather more detailed information. response:	A coup d'etat, huh...
context: Failure to comply results in\If you fail to do so...\A coup d'etat?!\It's currently only a rumor.\However, several videos of the riots are being uploaded online, so I consider a coup d'etat possible.\Unbelievable. Have they no sense?\Gather more detailed information.\A coup d'etat, huh... response:	Use... how so?
context: If you fail to do so...\A coup d'etat?!\It's currently only a rumor.\However, several videos of the riots are being uploaded online, so I consider a coup d'etat possible.\Unbelievable. Have they no sense?\Gather more detailed information.\A coup d'etat, huh...\Use... how so? response:	Use howso?
context: A coup d'etat?!\It's currently only a rumor.\However, several videos of the riots are being uploaded online, so I consider a coup d'etat possible.\Unbelievable. Have they no sense?\Gather more detailed information.\A coup d'etat, huh...\Use... how so?\Use howso? response:	But faced with a coup d'etat, those pacifists will have no choice but to wake up.
context: It's currently only a rumor.\However, several videos of the riots are being uploaded online, so I consider a coup d'etat possible.\Unbelievable. Have they no sense?\Gather more detailed information.\A coup d'etat, huh...\Use... how so?\Use howso?\But faced with a coup d'etat, those pacifists will have no choice but to wake up. response:	If the situation demands, we could even deploy the military.
context: However, several videos of the riots are being uploaded online, so I consider a coup d'etat possible.\Unbelievable. Have they no sense?\Gather more detailed information.\A coup d'etat, huh...\Use... how so?\Use howso?\But faced with a coup d'etat, those pacifists will have no choice but to wake up.\If the situation demands, we could even deploy the military. response:	You intend to take advantage of another country's crisis?!
context: Unbelievable. Have they no sense?\Gather more detailed information.\A coup d'etat, huh...\Use... how so?\Use howso?\But faced with a coup d'etat, those pacifists will have no choice but to wake up.\If the situation demands, we could even deploy the military.\You intend to take advantage of another country's crisis?! response:	Go and gather more information.
context: Gather more detailed information.\A coup d'etat, huh...\Use... how so?\Use howso?\But faced with a coup d'etat, those pacifists will have no choice but to wake up.\If the situation demands, we could even deploy the military.\You intend to take advantage of another country's crisis?!\Go and gather more information. response:	Gather more information.
context: A coup d'etat, huh...\Use... how so?\Use howso?\But faced with a coup d'etat, those pacifists will have no choice but to wake up.\If the situation demands, we could even deploy the military.\You intend to take advantage of another country's crisis?!\Go and gather more information.\Gather more information. response:	Change the world!
context: Use... how so?\Use howso?\But faced with a coup d'etat, those pacifists will have no choice but to wake up.\If the situation demands, we could even deploy the military.\You intend to take advantage of another country's crisis?!\Go and gather more information.\Gather more information.\Change the world! response:	No!
context: Use howso?\But faced with a coup d'etat, those pacifists will have no choice but to wake up.\If the situation demands, we could even deploy the military.\You intend to take advantage of another country's crisis?!\Go and gather more information.\Gather more information.\Change the world!\No! response:	This is all wrong!
context: But faced with a coup d'etat, those pacifists will have no choice but to wake up.\If the situation demands, we could even deploy the military.\You intend to take advantage of another country's crisis?!\Go and gather more information.\Gather more information.\Change the world!\No!\This is all wrong! response:	This can't be true!
context: If the situation demands, we could even deploy the military.\You intend to take advantage of another country's crisis?!\Go and gather more information.\Gather more information.\Change the world!\No!\This is all wrong!\This can't be true! response:	There's no way this is the world reconstruction magic!
context: You intend to take advantage of another country's crisis?!\Go and gather more information.\Gather more information.\Change the world!\No!\This is all wrong!\This can't be true!\There's no way this is the world reconstruction magic! response:	There's no way this is the world reconstruction magic!
context: Go and gather more information.\Gather more information.\Change the world!\No!\This is all wrong!\This can't be true!\There's no way this is the world reconstruction magic!\There's no way this is the world reconstruction magic! response:	There's no way... this is the Grand Triskelion...
context: Gather more information.\Change the world!\No!\This is all wrong!\This can't be true!\There's no way this is the world reconstruction magic!\There's no way this is the world reconstruction magic!\There's no way... this is the Grand Triskelion... response:	Where is t?!
context: Change the world!\No!\This is all wrong!\This can't be true!\There's no way this is the world reconstruction magic!\There's no way this is the world reconstruction magic!\There's no way... this is the Grand Triskelion...\Where is t?! response:	That's a lie!
context: No!\This is all wrong!\This can't be true!\There's no way this is the world reconstruction magic!\There's no way this is the world reconstruction magic!\There's no way... this is the Grand Triskelion...\Where is t?!\That's a lie! response:	It is the truth.
context: This is all wrong!\This can't be true!\There's no way this is the world reconstruction magic!\There's no way this is the world reconstruction magic!\There's no way... this is the Grand Triskelion...\Where is t?!\That's a lie!\It is the truth. response:	Why do you always overlook me?
context: This can't be true!\There's no way this is the world reconstruction magic!\There's no way this is the world reconstruction magic!\There's no way... this is the Grand Triskelion...\Where is t?!\That's a lie!\It is the truth.\Why do you always overlook me? response:	If you'll never choose me...
context: There's no way this is the world reconstruction magic!\There's no way this is the world reconstruction magic!\There's no way... this is the Grand Triskelion...\Where is t?!\That's a lie!\It is the truth.\Why do you always overlook me?\If you'll never choose me... response:	Then stop showing me your face!
context: There's no way this is the world reconstruction magic!\There's no way... this is the Grand Triskelion...\Where is t?!\That's a lie!\It is the truth.\Why do you always overlook me?\If you'll never choose me...\Then stop showing me your face! response:	What?
context: There's no way... this is the Grand Triskelion...\Where is t?!\That's a lie!\It is the truth.\Why do you always overlook me?\If you'll never choose me...\Then stop showing me your face!\What? response:	Run, Chariot...
context: Where is t?!\That's a lie!\It is the truth.\Why do you always overlook me?\If you'll never choose me...\Then stop showing me your face!\What?\Run, Chariot... response:	You've done enough!
context: That's a lie!\It is the truth.\Why do you always overlook me?\If you'll never choose me...\Then stop showing me your face!\What?\Run, Chariot...\You've done enough! response:	No, I haven't!
context: It is the truth.\Why do you always overlook me?\If you'll never choose me...\Then stop showing me your face!\What?\Run, Chariot...\You've done enough!\No, I haven't! response:	I stole your dream!
context: Why do you always overlook me?\If you'll never choose me...\Then stop showing me your face!\What?\Run, Chariot...\You've done enough!\No, I haven't!\I stole your dream! response:	I stole Akko's power!
context: If you'll never choose me...\Then stop showing me your face!\What?\Run, Chariot...\You've done enough!\No, I haven't!\I stole your dream!\I stole Akko's power! response:	And that's why I won't let even more things get stolen!
context: Then stop showing me your face!\What?\Run, Chariot...\You've done enough!\No, I haven't!\I stole your dream!\I stole Akko's power!\And that's why I won't let even more things get stolen! response:	The Words!
context: What?\Run, Chariot...\You've done enough!\No, I haven't!\I stole your dream!\I stole Akko's power!\And that's why I won't let even more things get stolen!\The Words! response:	Cast the spell!
context: Run, Chariot...\You've done enough!\No, I haven't!\I stole your dream!\I stole Akko's power!\And that's why I won't let even more things get stolen!\The Words!\Cast the spell! response:	Noctu Orfei!
context: You've done enough!\No, I haven't!\I stole your dream!\I stole Akko's power!\And that's why I won't let even more things get stolen!\The Words!\Cast the spell!\Noctu Orfei! response:	Aude!
context: No, I haven't!\I stole your dream!\I stole Akko's power!\And that's why I won't let even more things get stolen!\The Words!\Cast the spell!\Noctu Orfei!\Aude! response:	I made up my mind to return it to Chariot once I found her.
context: I stole your dream!\I stole Akko's power!\And that's why I won't let even more things get stolen!\The Words!\Cast the spell!\Noctu Orfei!\Aude!\I made up my mind to return it to Chariot once I found her. response:	Please accept it.
context: I stole Akko's power!\And that's why I won't let even more things get stolen!\The Words!\Cast the spell!\Noctu Orfei!\Aude!\I made up my mind to return it to Chariot once I found her.\Please accept it. response:	It was so pretty and fun and cool, and it felt like I was in a dream.
context: And that's why I won't let even more things get stolen!\The Words!\Cast the spell!\Noctu Orfei!\Aude!\I made up my mind to return it to Chariot once I found her.\Please accept it.\It was so pretty and fun and cool, and it felt like I was in a dream. response:	I can't even describe how it made me feel!
context: The Words!\Cast the spell!\Noctu Orfei!\Aude!\I made up my mind to return it to Chariot once I found her.\Please accept it.\It was so pretty and fun and cool, and it felt like I was in a dream.\I can't even describe how it made me feel! response:	I was touched in ways I can't describe.
context: Cast the spell!\Noctu Orfei!\Aude!\I made up my mind to return it to Chariot once I found her.\Please accept it.\It was so pretty and fun and cool, and it felt like I was in a dream.\I can't even describe how it made me feel!\I was touched in ways I can't describe. response:	I believed that if I became a witch, I'd be able to see Chariot again.
context: Noctu Orfei!\Aude!\I made up my mind to return it to Chariot once I found her.\Please accept it.\It was so pretty and fun and cool, and it felt like I was in a dream.\I can't even describe how it made me feel!\I was touched in ways I can't describe.\I believed that if I became a witch, I'd be able to see Chariot again. response:	That was my dream.
context: Aude!\I made up my mind to return it to Chariot once I found her.\Please accept it.\It was so pretty and fun and cool, and it felt like I was in a dream.\I can't even describe how it made me feel!\I was touched in ways I can't describe.\I believed that if I became a witch, I'd be able to see Chariot again.\That was my dream. response:	I caused them so much trouble and they still helped me so much, and that's what brought me so far.
context: I made up my mind to return it to Chariot once I found her.\Please accept it.\It was so pretty and fun and cool, and it felt like I was in a dream.\I can't even describe how it made me feel!\I was touched in ways I can't describe.\I believed that if I became a witch, I'd be able to see Chariot again.\That was my dream.\I caused them so much trouble and they still helped me so much, and that's what brought me so far. response:	I caused them lots of trouble and was always getting helped, and that brought me here.
context: Please accept it.\It was so pretty and fun and cool, and it felt like I was in a dream.\I can't even describe how it made me feel!\I was touched in ways I can't describe.\I believed that if I became a witch, I'd be able to see Chariot again.\That was my dream.\I caused them so much trouble and they still helped me so much, and that's what brought me so far.\I caused them lots of trouble and was always getting helped, and that brought me here. response:	I wanted to be like Chariot, gracefully flying through the sky and using beautiful transformation magic.
context: It was so pretty and fun and cool, and it felt like I was in a dream.\I can't even describe how it made me feel!\I was touched in ways I can't describe.\I believed that if I became a witch, I'd be able to see Chariot again.\That was my dream.\I caused them so much trouble and they still helped me so much, and that's what brought me so far.\I caused them lots of trouble and was always getting helped, and that brought me here.\I wanted to be like Chariot, gracefully flying through the sky and using beautiful transformation magic. response:	Professor, I keep working even harder!
context: I can't even describe how it made me feel!\I was touched in ways I can't describe.\I believed that if I became a witch, I'd be able to see Chariot again.\That was my dream.\I caused them so much trouble and they still helped me so much, and that's what brought me so far.\I caused them lots of trouble and was always getting helped, and that brought me here.\I wanted to be like Chariot, gracefully flying through the sky and using beautiful transformation magic.\Professor, I keep working even harder! response:	I'll work hard to become a witch who can make everyone smile.
context: I was touched in ways I can't describe.\I believed that if I became a witch, I'd be able to see Chariot again.\That was my dream.\I caused them so much trouble and they still helped me so much, and that's what brought me so far.\I caused them lots of trouble and was always getting helped, and that brought me here.\I wanted to be like Chariot, gracefully flying through the sky and using beautiful transformation magic.\Professor, I keep working even harder!\I'll work hard to become a witch who can make everyone smile. response:	So please keep on teaching me how to use magic, just like you always have!
context: I believed that if I became a witch, I'd be able to see Chariot again.\That was my dream.\I caused them so much trouble and they still helped me so much, and that's what brought me so far.\I caused them lots of trouble and was always getting helped, and that brought me here.\I wanted to be like Chariot, gracefully flying through the sky and using beautiful transformation magic.\Professor, I keep working even harder!\I'll work hard to become a witch who can make everyone smile.\So please keep on teaching me how to use magic, just like you always have! response:	So just like you always have, please keep on teaching me how to use magic!
context: That was my dream.\I caused them so much trouble and they still helped me so much, and that's what brought me so far.\I caused them lots of trouble and was always getting helped, and that brought me here.\I wanted to be like Chariot, gracefully flying through the sky and using beautiful transformation magic.\Professor, I keep working even harder!\I'll work hard to become a witch who can make everyone smile.\So please keep on teaching me how to use magic, just like you always have!\So just like you always have, please keep on teaching me how to use magic! response:	Of course I'm fine with you.
context: I caused them so much trouble and they still helped me so much, and that's what brought me so far.\I caused them lots of trouble and was always getting helped, and that brought me here.\I wanted to be like Chariot, gracefully flying through the sky and using beautiful transformation magic.\Professor, I keep working even harder!\I'll work hard to become a witch who can make everyone smile.\So please keep on teaching me how to use magic, just like you always have!\So just like you always have, please keep on teaching me how to use magic!\Of course I'm fine with you. response:	Thank you, Professor.
context: I caused them lots of trouble and was always getting helped, and that brought me here.\I wanted to be like Chariot, gracefully flying through the sky and using beautiful transformation magic.\Professor, I keep working even harder!\I'll work hard to become a witch who can make everyone smile.\So please keep on teaching me how to use magic, just like you always have!\So just like you always have, please keep on teaching me how to use magic!\Of course I'm fine with you.\Thank you, Professor. response:	I love you.
context: I wanted to be like Chariot, gracefully flying through the sky and using beautiful transformation magic.\Professor, I keep working even harder!\I'll work hard to become a witch who can make everyone smile.\So please keep on teaching me how to use magic, just like you always have!\So just like you always have, please keep on teaching me how to use magic!\Of course I'm fine with you.\Thank you, Professor.\I love you. response:	Akko.
context: Professor, I keep working even harder!\I'll work hard to become a witch who can make everyone smile.\So please keep on teaching me how to use magic, just like you always have!\So just like you always have, please keep on teaching me how to use magic!\Of course I'm fine with you.\Thank you, Professor.\I love you.\Akko. response:	You made my dream come true.
context: I'll work hard to become a witch who can make everyone smile.\So please keep on teaching me how to use magic, just like you always have!\So just like you always have, please keep on teaching me how to use magic!\Of course I'm fine with you.\Thank you, Professor.\I love you.\Akko.\You made my dream come true. response:	Dreams grow through your connections with others.
context: So please keep on teaching me how to use magic, just like you always have!\So just like you always have, please keep on teaching me how to use magic!\Of course I'm fine with you.\Thank you, Professor.\I love you.\Akko.\You made my dream come true.\Dreams grow through your connections with others. response:	Isn't that just some stick?
context: So just like you always have, please keep on teaching me how to use magic!\Of course I'm fine with you.\Thank you, Professor.\I love you.\Akko.\You made my dream come true.\Dreams grow through your connections with others.\Isn't that just some stick? response:	Isn't is just a stick?
context: Of course I'm fine with you.\Thank you, Professor.\I love you.\Akko.\You made my dream come true.\Dreams grow through your connections with others.\Isn't that just some stick?\Isn't is just a stick? response:	This is the world reconstruction magic? Diana?
context: Thank you, Professor.\I love you.\Akko.\You made my dream come true.\Dreams grow through your connections with others.\Isn't that just some stick?\Isn't is just a stick?\This is the world reconstruction magic? Diana? response:	This is... the world reconstruction magic?
context: I love you.\Akko.\You made my dream come true.\Dreams grow through your connections with others.\Isn't that just some stick?\Isn't is just a stick?\This is the world reconstruction magic? Diana?\This is... the world reconstruction magic? response:	Take action!
context: Akko.\You made my dream come true.\Dreams grow through your connections with others.\Isn't that just some stick?\Isn't is just a stick?\This is the world reconstruction magic? Diana?\This is... the world reconstruction magic?\Take action! response:	Take action!
context: You made my dream come true.\Dreams grow through your connections with others.\Isn't that just some stick?\Isn't is just a stick?\This is the world reconstruction magic? Diana?\This is... the world reconstruction magic?\Take action!\Take action! response:	Take action!
context: Dreams grow through your connections with others.\Isn't that just some stick?\Isn't is just a stick?\This is the world reconstruction magic? Diana?\This is... the world reconstruction magic?\Take action!\Take action!\Take action! response:	Take action!
context: Isn't that just some stick?\Isn't is just a stick?\This is the world reconstruction magic? Diana?\This is... the world reconstruction magic?\Take action!\Take action!\Take action!\Take action! response:	Raise your hands!
context: Isn't is just a stick?\This is the world reconstruction magic? Diana?\This is... the world reconstruction magic?\Take action!\Take action!\Take action!\Take action!\Raise your hands! response:	Raise your hands!
context: This is the world reconstruction magic? Diana?\This is... the world reconstruction magic?\Take action!\Take action!\Take action!\Take action!\Raise your hands!\Raise your hands! response:	Raise your hands!
context: This is... the world reconstruction magic?\Take action!\Take action!\Take action!\Take action!\Raise your hands!\Raise your hands!\Raise your hands! response:	Raise your hands!
context: Take action!\Take action!\Take action!\Take action!\Raise your hands!\Raise your hands!\Raise your hands!\Raise your hands! response:	Raise your hands!
context: Take action!\Take action!\Take action!\Raise your hands!\Raise your hands!\Raise your hands!\Raise your hands!\Raise your hands! response:	Raise your hands!
context: Take action!\Take action!\Raise your hands!\Raise your hands!\Raise your hands!\Raise your hands!\Raise your hands!\Raise your hands! response:	Raise your hands!
context: Take action!\Raise your hands!\Raise your hands!\Raise your hands!\Raise your hands!\Raise your hands!\Raise your hands!\Raise your hands! response:	Raise your hands!
context: Raise your hands!\Raise your hands!\Raise your hands!\Raise your hands!\Raise your hands!\Raise your hands!\Raise your hands!\Raise your hands! response:	Release the shutter on this scene like it's the moment of a lifetime
context: Raise your hands!\Raise your hands!\Raise your hands!\Raise your hands!\Raise your hands!\Raise your hands!\Raise your hands!\Release the shutter on this scene like it's the moment of a lifetime response:	One scene shattaa kiru you ni setsuna wo utsushite
context: Raise your hands!\Raise your hands!\Raise your hands!\Raise your hands!\Raise your hands!\Raise your hands!\Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite response:	Release the shutter on this scene like it's the moment of a lifetime
context: Raise your hands!\Raise your hands!\Raise your hands!\Raise your hands!\Raise your hands!\Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite\Release the shutter on this scene like it's the moment of a lifetime response:	One scene shattaa kiru you ni setsuna wo utsushite
context: Raise your hands!\Raise your hands!\Raise your hands!\Raise your hands!\Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite\Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite response:	Turn it into a story that can speak for itself
