context: In order to protect something, you need power response:	and to obtain something requires even greater power.
context: It's almost time.\All right, then!\How about we get this task out of the way?\S-Sister...\There's nothing to worry about.\Just handle everything like you always do.\You can leave the fighting to me.\Well, not like we won't have to come out guns blazing... response:	or things could get dire!
context: All right, then!\How about we get this task out of the way?\S-Sister...\There's nothing to worry about.\Just handle everything like you always do.\You can leave the fighting to me.\Well, not like we won't have to come out guns blazing...\or things could get dire! response:	Sorry to keep doing this to you.
context: How about we get this task out of the way?\S-Sister...\There's nothing to worry about.\Just handle everything like you always do.\You can leave the fighting to me.\Well, not like we won't have to come out guns blazing...\or things could get dire!\Sorry to keep doing this to you. response:	Oh, no! It's totally no big deal! But...
context: S-Sister...\There's nothing to worry about.\Just handle everything like you always do.\You can leave the fighting to me.\Well, not like we won't have to come out guns blazing...\or things could get dire!\Sorry to keep doing this to you.\Oh, no! It's totally no big deal! But... response:	I'm sorry.
context: There's nothing to worry about.\Just handle everything like you always do.\You can leave the fighting to me.\Well, not like we won't have to come out guns blazing...\or things could get dire!\Sorry to keep doing this to you.\Oh, no! It's totally no big deal! But...\I'm sorry. response:	You dummy.
context: Just handle everything like you always do.\You can leave the fighting to me.\Well, not like we won't have to come out guns blazing...\or things could get dire!\Sorry to keep doing this to you.\Oh, no! It's totally no big deal! But...\I'm sorry.\You dummy. response:	Why are you apologizing?
context: You can leave the fighting to me.\Well, not like we won't have to come out guns blazing...\or things could get dire!\Sorry to keep doing this to you.\Oh, no! It's totally no big deal! But...\I'm sorry.\You dummy.\Why are you apologizing? response:	Yeah.
context: Well, not like we won't have to come out guns blazing...\or things could get dire!\Sorry to keep doing this to you.\Oh, no! It's totally no big deal! But...\I'm sorry.\You dummy.\Why are you apologizing?\Yeah. response:	The Gravi-Sheath
context: or things could get dire!\Sorry to keep doing this to you.\Oh, no! It's totally no big deal! But...\I'm sorry.\You dummy.\Why are you apologizing?\Yeah.\The Gravi-Sheath response:	All right, it's almost time, huh?
context: Sorry to keep doing this to you.\Oh, no! It's totally no big deal! But...\I'm sorry.\You dummy.\Why are you apologizing?\Yeah.\The Gravi-Sheath\All right, it's almost time, huh? response:	Oh, right. I guess it is.
context: Oh, no! It's totally no big deal! But...\I'm sorry.\You dummy.\Why are you apologizing?\Yeah.\The Gravi-Sheath\All right, it's almost time, huh?\Oh, right. I guess it is. response:	What's the matter?
context: I'm sorry.\You dummy.\Why are you apologizing?\Yeah.\The Gravi-Sheath\All right, it's almost time, huh?\Oh, right. I guess it is.\What's the matter? response:	We can't have you pondering things before a match.
context: You dummy.\Why are you apologizing?\Yeah.\The Gravi-Sheath\All right, it's almost time, huh?\Oh, right. I guess it is.\What's the matter?\We can't have you pondering things before a match. response:	The thing is... there's something I'd like to try out.
context: Why are you apologizing?\Yeah.\The Gravi-Sheath\All right, it's almost time, huh?\Oh, right. I guess it is.\What's the matter?\We can't have you pondering things before a match.\The thing is... there's something I'd like to try out. response:	Ayato.
context: Yeah.\The Gravi-Sheath\All right, it's almost time, huh?\Oh, right. I guess it is.\What's the matter?\We can't have you pondering things before a match.\The thing is... there's something I'd like to try out.\Ayato. response:	Yeah?
context: The Gravi-Sheath\All right, it's almost time, huh?\Oh, right. I guess it is.\What's the matter?\We can't have you pondering things before a match.\The thing is... there's something I'd like to try out.\Ayato.\Yeah? response:	I've got to win this match.
context: All right, it's almost time, huh?\Oh, right. I guess it is.\What's the matter?\We can't have you pondering things before a match.\The thing is... there's something I'd like to try out.\Ayato.\Yeah?\I've got to win this match. response:	No matter who our opponent is, I have no intention of giving up on my wish.
context: Oh, right. I guess it is.\What's the matter?\We can't have you pondering things before a match.\The thing is... there's something I'd like to try out.\Ayato.\Yeah?\I've got to win this match.\No matter who our opponent is, I have no intention of giving up on my wish. response:	That's why I'm here right now.
context: What's the matter?\We can't have you pondering things before a match.\The thing is... there's something I'd like to try out.\Ayato.\Yeah?\I've got to win this match.\No matter who our opponent is, I have no intention of giving up on my wish.\That's why I'm here right now. response:	Right.
context: We can't have you pondering things before a match.\The thing is... there's something I'd like to try out.\Ayato.\Yeah?\I've got to win this match.\No matter who our opponent is, I have no intention of giving up on my wish.\That's why I'm here right now.\Right. response:	But... Neither do I care how we win.
context: The thing is... there's something I'd like to try out.\Ayato.\Yeah?\I've got to win this match.\No matter who our opponent is, I have no intention of giving up on my wish.\That's why I'm here right now.\Right.\But... Neither do I care how we win. response:	If we can win doing it your way, go right ahead.
context: Ayato.\Yeah?\I've got to win this match.\No matter who our opponent is, I have no intention of giving up on my wish.\That's why I'm here right now.\Right.\But... Neither do I care how we win.\If we can win doing it your way, go right ahead. response:	We're partners.
context: Yeah?\I've got to win this match.\No matter who our opponent is, I have no intention of giving up on my wish.\That's why I'm here right now.\Right.\But... Neither do I care how we win.\If we can win doing it your way, go right ahead.\We're partners. response:	We work together, and fight hand in hand.
context: I've got to win this match.\No matter who our opponent is, I have no intention of giving up on my wish.\That's why I'm here right now.\Right.\But... Neither do I care how we win.\If we can win doing it your way, go right ahead.\We're partners.\We work together, and fight hand in hand. response:	Isn't that only natural?
context: No matter who our opponent is, I have no intention of giving up on my wish.\That's why I'm here right now.\Right.\But... Neither do I care how we win.\If we can win doing it your way, go right ahead.\We're partners.\We work together, and fight hand in hand.\Isn't that only natural? response:	Julis...
context: That's why I'm here right now.\Right.\But... Neither do I care how we win.\If we can win doing it your way, go right ahead.\We're partners.\We work together, and fight hand in hand.\Isn't that only natural?\Julis... response:	Thanks.
context: Right.\But... Neither do I care how we win.\If we can win doing it your way, go right ahead.\We're partners.\We work together, and fight hand in hand.\Isn't that only natural?\Julis...\Thanks. response:	Idiot. No thanks necessary.
context: But... Neither do I care how we win.\If we can win doing it your way, go right ahead.\We're partners.\We work together, and fight hand in hand.\Isn't that only natural?\Julis...\Thanks.\Idiot. No thanks necessary. response:	Remember, we're up against that Gravi-Sheath!
context: If we can win doing it your way, go right ahead.\We're partners.\We work together, and fight hand in hand.\Isn't that only natural?\Julis...\Thanks.\Idiot. No thanks necessary.\Remember, we're up against that Gravi-Sheath! response:	I know it's not gonna be easy. But...
context: We're partners.\We work together, and fight hand in hand.\Isn't that only natural?\Julis...\Thanks.\Idiot. No thanks necessary.\Remember, we're up against that Gravi-Sheath!\I know it's not gonna be easy. But... response:	Fine. Go ahead and do it.
context: We work together, and fight hand in hand.\Isn't that only natural?\Julis...\Thanks.\Idiot. No thanks necessary.\Remember, we're up against that Gravi-Sheath!\I know it's not gonna be easy. But...\Fine. Go ahead and do it. response:	But we're probably only going to get one chance.
context: Isn't that only natural?\Julis...\Thanks.\Idiot. No thanks necessary.\Remember, we're up against that Gravi-Sheath!\I know it's not gonna be easy. But...\Fine. Go ahead and do it.\But we're probably only going to get one chance. response:	Then it'll be out of our hands.
context: Julis...\Thanks.\Idiot. No thanks necessary.\Remember, we're up against that Gravi-Sheath!\I know it's not gonna be easy. But...\Fine. Go ahead and do it.\But we're probably only going to get one chance.\Then it'll be out of our hands. response:	All right... Then let's get going!
context: Thanks.\Idiot. No thanks necessary.\Remember, we're up against that Gravi-Sheath!\I know it's not gonna be easy. But...\Fine. Go ahead and do it.\But we're probably only going to get one chance.\Then it'll be out of our hands.\All right... Then let's get going! response:	Right!
context: Idiot. No thanks necessary.\Remember, we're up against that Gravi-Sheath!\I know it's not gonna be easy. But...\Fine. Go ahead and do it.\But we're probably only going to get one chance.\Then it'll be out of our hands.\All right... Then let's get going!\Right! response:	All right! It's been one exciting match after another throughout Round 4!
context: Remember, we're up against that Gravi-Sheath!\I know it's not gonna be easy. But...\Fine. Go ahead and do it.\But we're probably only going to get one chance.\Then it'll be out of our hands.\All right... Then let's get going!\Right!\All right! It's been one exciting match after another throughout Round 4! response:	And the grand finale in Sirius Dome will feature Seidoukan Academy's Amagiri/Riessfeld team
context: I know it's not gonna be easy. But...\Fine. Go ahead and do it.\But we're probably only going to get one chance.\Then it'll be out of our hands.\All right... Then let's get going!\Right!\All right! It's been one exciting match after another throughout Round 4!\And the grand finale in Sirius Dome will feature Seidoukan Academy's Amagiri/Riessfeld team response:	vs. the Urzaiz Sisters of Le Wolfe Black Academy!
context: Fine. Go ahead and do it.\But we're probably only going to get one chance.\Then it'll be out of our hands.\All right... Then let's get going!\Right!\All right! It's been one exciting match after another throughout Round 4!\And the grand finale in Sirius Dome will feature Seidoukan Academy's Amagiri/Riessfeld team\vs. the Urzaiz Sisters of Le Wolfe Black Academy! response:	Now this is another must-see!
context: But we're probably only going to get one chance.\Then it'll be out of our hands.\All right... Then let's get going!\Right!\All right! It's been one exciting match after another throughout Round 4!\And the grand finale in Sirius Dome will feature Seidoukan Academy's Amagiri/Riessfeld team\vs. the Urzaiz Sisters of Le Wolfe Black Academy!\Now this is another must-see! response:	With the sword inside me, I shall break out of this starry prison...
context: Then it'll be out of our hands.\All right... Then let's get going!\Right!\All right! It's been one exciting match after another throughout Round 4!\And the grand finale in Sirius Dome will feature Seidoukan Academy's Amagiri/Riessfeld team\vs. the Urzaiz Sisters of Le Wolfe Black Academy!\Now this is another must-see!\With the sword inside me, I shall break out of this starry prison... response:	and release my savage force!
context: All right... Then let's get going!\Right!\All right! It's been one exciting match after another throughout Round 4!\And the grand finale in Sirius Dome will feature Seidoukan Academy's Amagiri/Riessfeld team\vs. the Urzaiz Sisters of Le Wolfe Black Academy!\Now this is another must-see!\With the sword inside me, I shall break out of this starry prison...\and release my savage force! response:	There it is, there it is!
context: Right!\All right! It's been one exciting match after another throughout Round 4!\And the grand finale in Sirius Dome will feature Seidoukan Academy's Amagiri/Riessfeld team\vs. the Urzaiz Sisters of Le Wolfe Black Academy!\Now this is another must-see!\With the sword inside me, I shall break out of this starry prison...\and release my savage force!\There it is, there it is! response:	Amagiri's performance, which is now a well-known sight!
context: All right! It's been one exciting match after another throughout Round 4!\And the grand finale in Sirius Dome will feature Seidoukan Academy's Amagiri/Riessfeld team\vs. the Urzaiz Sisters of Le Wolfe Black Academy!\Now this is another must-see!\With the sword inside me, I shall break out of this starry prison...\and release my savage force!\There it is, there it is!\Amagiri's performance, which is now a well-known sight! response:	Always a flair for the dramatic, eh?
context: And the grand finale in Sirius Dome will feature Seidoukan Academy's Amagiri/Riessfeld team\vs. the Urzaiz Sisters of Le Wolfe Black Academy!\Now this is another must-see!\With the sword inside me, I shall break out of this starry prison...\and release my savage force!\There it is, there it is!\Amagiri's performance, which is now a well-known sight!\Always a flair for the dramatic, eh? response:	I see you're bursting with motivation, Amagiri.
context: vs. the Urzaiz Sisters of Le Wolfe Black Academy!\Now this is another must-see!\With the sword inside me, I shall break out of this starry prison...\and release my savage force!\There it is, there it is!\Amagiri's performance, which is now a well-known sight!\Always a flair for the dramatic, eh?\I see you're bursting with motivation, Amagiri. response:	In that case...
context: Now this is another must-see!\With the sword inside me, I shall break out of this starry prison...\and release my savage force!\There it is, there it is!\Amagiri's performance, which is now a well-known sight!\Always a flair for the dramatic, eh?\I see you're bursting with motivation, Amagiri.\In that case... response:	I think I'll go all-out myself!
context: With the sword inside me, I shall break out of this starry prison...\and release my savage force!\There it is, there it is!\Amagiri's performance, which is now a well-known sight!\Always a flair for the dramatic, eh?\I see you're bursting with motivation, Amagiri.\In that case...\I think I'll go all-out myself! response:	Phoenix Festa Fourth round, Match 11!
context: and release my savage force!\There it is, there it is!\Amagiri's performance, which is now a well-known sight!\Always a flair for the dramatic, eh?\I see you're bursting with motivation, Amagiri.\In that case...\I think I'll go all-out myself!\Phoenix Festa Fourth round, Match 11! response:	Let the battle begin!
context: There it is, there it is!\Amagiri's performance, which is now a well-known sight!\Always a flair for the dramatic, eh?\I see you're bursting with motivation, Amagiri.\In that case...\I think I'll go all-out myself!\Phoenix Festa Fourth round, Match 11!\Let the battle begin! response:	Burst into bloom - Livingstone Daisy!
context: Amagiri's performance, which is now a well-known sight!\Always a flair for the dramatic, eh?\I see you're bursting with motivation, Amagiri.\In that case...\I think I'll go all-out myself!\Phoenix Festa Fourth round, Match 11!\Let the battle begin!\Burst into bloom - Livingstone Daisy! response:	Go!
context: Always a flair for the dramatic, eh?\I see you're bursting with motivation, Amagiri.\In that case...\I think I'll go all-out myself!\Phoenix Festa Fourth round, Match 11!\Let the battle begin!\Burst into bloom - Livingstone Daisy!\Go! response:	How cunning!
context: I see you're bursting with motivation, Amagiri.\In that case...\I think I'll go all-out myself!\Phoenix Festa Fourth round, Match 11!\Let the battle begin!\Burst into bloom - Livingstone Daisy!\Go!\How cunning! response:	Whoa!
context: In that case...\I think I'll go all-out myself!\Phoenix Festa Fourth round, Match 11!\Let the battle begin!\Burst into bloom - Livingstone Daisy!\Go!\How cunning!\Whoa! response:	She stopped it!
context: I think I'll go all-out myself!\Phoenix Festa Fourth round, Match 11!\Let the battle begin!\Burst into bloom - Livingstone Daisy!\Go!\How cunning!\Whoa!\She stopped it! response:	The Ser=Veresta is known to burn any object with a fiery slash,
context: Phoenix Festa Fourth round, Match 11!\Let the battle begin!\Burst into bloom - Livingstone Daisy!\Go!\How cunning!\Whoa!\She stopped it!\The Ser=Veresta is known to burn any object with a fiery slash, response:	but against a comparable Ogre Luxe, it's a different story!
context: Let the battle begin!\Burst into bloom - Livingstone Daisy!\Go!\How cunning!\Whoa!\She stopped it!\The Ser=Veresta is known to burn any object with a fiery slash,\but against a comparable Ogre Luxe, it's a different story! response:	Damn!
context: Burst into bloom - Livingstone Daisy!\Go!\How cunning!\Whoa!\She stopped it!\The Ser=Veresta is known to burn any object with a fiery slash,\but against a comparable Ogre Luxe, it's a different story!\Damn! response:	So the odds are stacked against me in a swordfight, huh?
context: Go!\How cunning!\Whoa!\She stopped it!\The Ser=Veresta is known to burn any object with a fiery slash,\but against a comparable Ogre Luxe, it's a different story!\Damn!\So the odds are stacked against me in a swordfight, huh? response:	Tenfold Destruction!
context: How cunning!\Whoa!\She stopped it!\The Ser=Veresta is known to burn any object with a fiery slash,\but against a comparable Ogre Luxe, it's a different story!\Damn!\So the odds are stacked against me in a swordfight, huh?\Tenfold Destruction! response:	For a team cobbled together in a couple of months, not bad!
context: Whoa!\She stopped it!\The Ser=Veresta is known to burn any object with a fiery slash,\but against a comparable Ogre Luxe, it's a different story!\Damn!\So the odds are stacked against me in a swordfight, huh?\Tenfold Destruction!\For a team cobbled together in a couple of months, not bad! response:	Right back at you!
context: She stopped it!\The Ser=Veresta is known to burn any object with a fiery slash,\but against a comparable Ogre Luxe, it's a different story!\Damn!\So the odds are stacked against me in a swordfight, huh?\Tenfold Destruction!\For a team cobbled together in a couple of months, not bad!\Right back at you! response:	I'm impressed that you can evade so well on your own.
context: The Ser=Veresta is known to burn any object with a fiery slash,\but against a comparable Ogre Luxe, it's a different story!\Damn!\So the odds are stacked against me in a swordfight, huh?\Tenfold Destruction!\For a team cobbled together in a couple of months, not bad!\Right back at you!\I'm impressed that you can evade so well on your own. response:	Oh, but I'm not alone.
context: but against a comparable Ogre Luxe, it's a different story!\Damn!\So the odds are stacked against me in a swordfight, huh?\Tenfold Destruction!\For a team cobbled together in a couple of months, not bad!\Right back at you!\I'm impressed that you can evade so well on your own.\Oh, but I'm not alone. response:	We're a team of two, as well.
context: Damn!\So the odds are stacked against me in a swordfight, huh?\Tenfold Destruction!\For a team cobbled together in a couple of months, not bad!\Right back at you!\I'm impressed that you can evade so well on your own.\Oh, but I'm not alone.\We're a team of two, as well. response:	This power is mine and Priscilla's...
context: So the odds are stacked against me in a swordfight, huh?\Tenfold Destruction!\For a team cobbled together in a couple of months, not bad!\Right back at you!\I'm impressed that you can evade so well on your own.\Oh, but I'm not alone.\We're a team of two, as well.\This power is mine and Priscilla's... response:	The power we share!
context: Tenfold Destruction!\For a team cobbled together in a couple of months, not bad!\Right back at you!\I'm impressed that you can evade so well on your own.\Oh, but I'm not alone.\We're a team of two, as well.\This power is mine and Priscilla's...\The power we share! response:	Get out of the way, Ayato!
context: For a team cobbled together in a couple of months, not bad!\Right back at you!\I'm impressed that you can evade so well on your own.\Oh, but I'm not alone.\We're a team of two, as well.\This power is mine and Priscilla's...\The power we share!\Get out of the way, Ayato! response:	As expected, you react well.
context: Right back at you!\I'm impressed that you can evade so well on your own.\Oh, but I'm not alone.\We're a team of two, as well.\This power is mine and Priscilla's...\The power we share!\Get out of the way, Ayato!\As expected, you react well. response:	Julis!
context: I'm impressed that you can evade so well on your own.\Oh, but I'm not alone.\We're a team of two, as well.\This power is mine and Priscilla's...\The power we share!\Get out of the way, Ayato!\As expected, you react well.\Julis! response:	I know!
context: Oh, but I'm not alone.\We're a team of two, as well.\This power is mine and Priscilla's...\The power we share!\Get out of the way, Ayato!\As expected, you react well.\Julis!\I know! response:	Longiflorum!
context: We're a team of two, as well.\This power is mine and Priscilla's...\The power we share!\Get out of the way, Ayato!\As expected, you react well.\Julis!\I know!\Longiflorum! response:	Heavy Reed Prison!
context: This power is mine and Priscilla's...\The power we share!\Get out of the way, Ayato!\As expected, you react well.\Julis!\I know!\Longiflorum!\Heavy Reed Prison! response:	Setting-type defensive powers!
context: The power we share!\Get out of the way, Ayato!\As expected, you react well.\Julis!\I know!\Longiflorum!\Heavy Reed Prison!\Setting-type defensive powers! response:	This is a secret weapon that I've devised for Priscilla.
context: Get out of the way, Ayato!\As expected, you react well.\Julis!\I know!\Longiflorum!\Heavy Reed Prison!\Setting-type defensive powers!\This is a secret weapon that I've devised for Priscilla. response:	It won't be easily destroyed.
context: As expected, you react well.\Julis!\I know!\Longiflorum!\Heavy Reed Prison!\Setting-type defensive powers!\This is a secret weapon that I've devised for Priscilla.\It won't be easily destroyed. response:	So we're back to square one, huh?
context: Julis!\I know!\Longiflorum!\Heavy Reed Prison!\Setting-type defensive powers!\This is a secret weapon that I've devised for Priscilla.\It won't be easily destroyed.\So we're back to square one, huh? response:	Ayato...
context: I know!\Longiflorum!\Heavy Reed Prison!\Setting-type defensive powers!\This is a secret weapon that I've devised for Priscilla.\It won't be easily destroyed.\So we're back to square one, huh?\Ayato... response:	My preparations are complete.
context: Longiflorum!\Heavy Reed Prison!\Setting-type defensive powers!\This is a secret weapon that I've devised for Priscilla.\It won't be easily destroyed.\So we're back to square one, huh?\Ayato...\My preparations are complete. response:	If you're going to try out that thing, do it fast.
context: Heavy Reed Prison!\Setting-type defensive powers!\This is a secret weapon that I've devised for Priscilla.\It won't be easily destroyed.\So we're back to square one, huh?\Ayato...\My preparations are complete.\If you're going to try out that thing, do it fast. response:	Roger that.
context: Setting-type defensive powers!\This is a secret weapon that I've devised for Priscilla.\It won't be easily destroyed.\So we're back to square one, huh?\Ayato...\My preparations are complete.\If you're going to try out that thing, do it fast.\Roger that. response:	Hey, sorry to keep you waiting.
context: This is a secret weapon that I've devised for Priscilla.\It won't be easily destroyed.\So we're back to square one, huh?\Ayato...\My preparations are complete.\If you're going to try out that thing, do it fast.\Roger that.\Hey, sorry to keep you waiting. response:	All right, let's move on to Round Two!
context: It won't be easily destroyed.\So we're back to square one, huh?\Ayato...\My preparations are complete.\If you're going to try out that thing, do it fast.\Roger that.\Hey, sorry to keep you waiting.\All right, let's move on to Round Two! response:	Do you really think that's the right way to do this?
context: So we're back to square one, huh?\Ayato...\My preparations are complete.\If you're going to try out that thing, do it fast.\Roger that.\Hey, sorry to keep you waiting.\All right, let's move on to Round Two!\Do you really think that's the right way to do this? response:	Shut up, Amagiri.
context: Ayato...\My preparations are complete.\If you're going to try out that thing, do it fast.\Roger that.\Hey, sorry to keep you waiting.\All right, let's move on to Round Two!\Do you really think that's the right way to do this?\Shut up, Amagiri. response:	I don't need to hear that from you now.
context: My preparations are complete.\If you're going to try out that thing, do it fast.\Roger that.\Hey, sorry to keep you waiting.\All right, let's move on to Round Two!\Do you really think that's the right way to do this?\Shut up, Amagiri.\I don't need to hear that from you now. response:	Then...
context: If you're going to try out that thing, do it fast.\Roger that.\Hey, sorry to keep you waiting.\All right, let's move on to Round Two!\Do you really think that's the right way to do this?\Shut up, Amagiri.\I don't need to hear that from you now.\Then... response:	I said shut up!
context: Roger that.\Hey, sorry to keep you waiting.\All right, let's move on to Round Two!\Do you really think that's the right way to do this?\Shut up, Amagiri.\I don't need to hear that from you now.\Then...\I said shut up! response:	You sneaky little...
context: Hey, sorry to keep you waiting.\All right, let's move on to Round Two!\Do you really think that's the right way to do this?\Shut up, Amagiri.\I don't need to hear that from you now.\Then...\I said shut up!\You sneaky little... response:	Burst into bloom...
context: All right, let's move on to Round Two!\Do you really think that's the right way to do this?\Shut up, Amagiri.\I don't need to hear that from you now.\Then...\I said shut up!\You sneaky little...\Burst into bloom... response:	Primrose!
context: Do you really think that's the right way to do this?\Shut up, Amagiri.\I don't need to hear that from you now.\Then...\I said shut up!\You sneaky little...\Burst into bloom...\Primrose! response:	Damn, you piss me off!
context: Shut up, Amagiri.\I don't need to hear that from you now.\Then...\I said shut up!\You sneaky little...\Burst into bloom...\Primrose!\Damn, you piss me off! response:	Hundredfold Funeral Procession!
context: I don't need to hear that from you now.\Then...\I said shut up!\You sneaky little...\Burst into bloom...\Primrose!\Damn, you piss me off!\Hundredfold Funeral Procession! response:	Amagiri Shinmei Style First Sword, Twin Dragons!
context: Then...\I said shut up!\You sneaky little...\Burst into bloom...\Primrose!\Damn, you piss me off!\Hundredfold Funeral Procession!\Amagiri Shinmei Style First Sword, Twin Dragons! response:	Damn!
context: I said shut up!\You sneaky little...\Burst into bloom...\Primrose!\Damn, you piss me off!\Hundredfold Funeral Procession!\Amagiri Shinmei Style First Sword, Twin Dragons!\Damn! response:	I see.
context: You sneaky little...\Burst into bloom...\Primrose!\Damn, you piss me off!\Hundredfold Funeral Procession!\Amagiri Shinmei Style First Sword, Twin Dragons!\Damn!\I see. response:	Who would've thought you'd go for the Gravi-Sheath?
context: Burst into bloom...\Primrose!\Damn, you piss me off!\Hundredfold Funeral Procession!\Amagiri Shinmei Style First Sword, Twin Dragons!\Damn!\I see.\Who would've thought you'd go for the Gravi-Sheath? response:	That was close, but we're out of time, Ayato.
context: Primrose!\Damn, you piss me off!\Hundredfold Funeral Procession!\Amagiri Shinmei Style First Sword, Twin Dragons!\Damn!\I see.\Who would've thought you'd go for the Gravi-Sheath?\That was close, but we're out of time, Ayato. response:	I know.
context: Damn, you piss me off!\Hundredfold Funeral Procession!\Amagiri Shinmei Style First Sword, Twin Dragons!\Damn!\I see.\Who would've thought you'd go for the Gravi-Sheath?\That was close, but we're out of time, Ayato.\I know. response:	All right... Now it's my turn for payback!
context: Hundredfold Funeral Procession!\Amagiri Shinmei Style First Sword, Twin Dragons!\Damn!\I see.\Who would've thought you'd go for the Gravi-Sheath?\That was close, but we're out of time, Ayato.\I know.\All right... Now it's my turn for payback! response:	Ten Thousandfold Destruction!
context: Amagiri Shinmei Style First Sword, Twin Dragons!\Damn!\I see.\Who would've thought you'd go for the Gravi-Sheath?\That was close, but we're out of time, Ayato.\I know.\All right... Now it's my turn for payback!\Ten Thousandfold Destruction! response:	Hate to break it to you, but I'm not much of a control artist.
context: Damn!\I see.\Who would've thought you'd go for the Gravi-Sheath?\That was close, but we're out of time, Ayato.\I know.\All right... Now it's my turn for payback!\Ten Thousandfold Destruction!\Hate to break it to you, but I'm not much of a control artist. response:	Yeah, but still, I can't miss with these!
context: I see.\Who would've thought you'd go for the Gravi-Sheath?\That was close, but we're out of time, Ayato.\I know.\All right... Now it's my turn for payback!\Ten Thousandfold Destruction!\Hate to break it to you, but I'm not much of a control artist.\Yeah, but still, I can't miss with these! response:	Julis! Focus on defense!
context: Who would've thought you'd go for the Gravi-Sheath?\That was close, but we're out of time, Ayato.\I know.\All right... Now it's my turn for payback!\Ten Thousandfold Destruction!\Hate to break it to you, but I'm not much of a control artist.\Yeah, but still, I can't miss with these!\Julis! Focus on defense! response:	Right, I know!
context: That was close, but we're out of time, Ayato.\I know.\All right... Now it's my turn for payback!\Ten Thousandfold Destruction!\Hate to break it to you, but I'm not much of a control artist.\Yeah, but still, I can't miss with these!\Julis! Focus on defense!\Right, I know! response:	Break down and vanish!
context: I know.\All right... Now it's my turn for payback!\Ten Thousandfold Destruction!\Hate to break it to you, but I'm not much of a control artist.\Yeah, but still, I can't miss with these!\Julis! Focus on defense!\Right, I know!\Break down and vanish! response:	Amagiri Shinmei Style, Intermediate Skill...
context: All right... Now it's my turn for payback!\Ten Thousandfold Destruction!\Hate to break it to you, but I'm not much of a control artist.\Yeah, but still, I can't miss with these!\Julis! Focus on defense!\Right, I know!\Break down and vanish!\Amagiri Shinmei Style, Intermediate Skill... response:	Repulsing Crow!
context: Ten Thousandfold Destruction!\Hate to break it to you, but I'm not much of a control artist.\Yeah, but still, I can't miss with these!\Julis! Focus on defense!\Right, I know!\Break down and vanish!\Amagiri Shinmei Style, Intermediate Skill...\Repulsing Crow! response:	You gotta be kidding me...
