context: So it's not in bloom yet. response:	I told you that it was too early.
context: I'm coming!\What's he doing?\Oh, is that tree...\Ah...\It looks just like that tree.\Distant Free!\It's so big.\And it's packed. response:	Yo! There you are.
context: What's he doing?\Oh, is that tree...\Ah...\It looks just like that tree.\Distant Free!\It's so big.\And it's packed.\Yo! There you are. response:	Good morning!
context: Oh, is that tree...\Ah...\It looks just like that tree.\Distant Free!\It's so big.\And it's packed.\Yo! There you are.\Good morning! response:	Good morning!
context: Ah...\It looks just like that tree.\Distant Free!\It's so big.\And it's packed.\Yo! There you are.\Good morning!\Good morning! response:	Morning.
context: It looks just like that tree.\Distant Free!\It's so big.\And it's packed.\Yo! There you are.\Good morning!\Good morning!\Morning. response:	Seems Rin isn't here yet.
context: Distant Free!\It's so big.\And it's packed.\Yo! There you are.\Good morning!\Good morning!\Morning.\Seems Rin isn't here yet. response:	I'm sure he'll show up soon.
context: It's so big.\And it's packed.\Yo! There you are.\Good morning!\Good morning!\Morning.\Seems Rin isn't here yet.\I'm sure he'll show up soon. response:	Yeah.
context: And it's packed.\Yo! There you are.\Good morning!\Good morning!\Morning.\Seems Rin isn't here yet.\I'm sure he'll show up soon.\Yeah. response:	Did something happen with my brother yesterday?
context: Yo! There you are.\Good morning!\Good morning!\Morning.\Seems Rin isn't here yet.\I'm sure he'll show up soon.\Yeah.\Did something happen with my brother yesterday? response:	No.
context: Good morning!\Good morning!\Morning.\Seems Rin isn't here yet.\I'm sure he'll show up soon.\Yeah.\Did something happen with my brother yesterday?\No. response:	We just agreed to both do our best today.
context: Good morning!\Morning.\Seems Rin isn't here yet.\I'm sure he'll show up soon.\Yeah.\Did something happen with my brother yesterday?\No.\We just agreed to both do our best today. response:	We got seats for everyone.
context: Morning.\Seems Rin isn't here yet.\I'm sure he'll show up soon.\Yeah.\Did something happen with my brother yesterday?\No.\We just agreed to both do our best today.\We got seats for everyone. response:	Thank you!
context: Seems Rin isn't here yet.\I'm sure he'll show up soon.\Yeah.\Did something happen with my brother yesterday?\No.\We just agreed to both do our best today.\We got seats for everyone.\Thank you! response:	Let's get going then.
context: I'm sure he'll show up soon.\Yeah.\Did something happen with my brother yesterday?\No.\We just agreed to both do our best today.\We got seats for everyone.\Thank you!\Let's get going then. response:	If we win today, we make it to nationals.
context: Yeah.\Did something happen with my brother yesterday?\No.\We just agreed to both do our best today.\We got seats for everyone.\Thank you!\Let's get going then.\If we win today, we make it to nationals. response:	Can we win?
context: Did something happen with my brother yesterday?\No.\We just agreed to both do our best today.\We got seats for everyone.\Thank you!\Let's get going then.\If we win today, we make it to nationals.\Can we win? response:	Hey!
context: No.\We just agreed to both do our best today.\We got seats for everyone.\Thank you!\Let's get going then.\If we win today, we make it to nationals.\Can we win?\Hey! response:	Don't wuss out now!
context: We just agreed to both do our best today.\We got seats for everyone.\Thank you!\Let's get going then.\If we win today, we make it to nationals.\Can we win?\Hey!\Don't wuss out now! response:	Stop worrying about the outcome!
context: We got seats for everyone.\Thank you!\Let's get going then.\If we win today, we make it to nationals.\Can we win?\Hey!\Don't wuss out now!\Stop worrying about the outcome! response:	Just be free.
context: Thank you!\Let's get going then.\If we win today, we make it to nationals.\Can we win?\Hey!\Don't wuss out now!\Stop worrying about the outcome!\Just be free. response:	Swim to your hearts' content!
context: Let's get going then.\If we win today, we make it to nationals.\Can we win?\Hey!\Don't wuss out now!\Stop worrying about the outcome!\Just be free.\Swim to your hearts' content! response:	Swim so you have no regrets!
context: If we win today, we make it to nationals.\Can we win?\Hey!\Don't wuss out now!\Stop worrying about the outcome!\Just be free.\Swim to your hearts' content!\Swim so you have no regrets! response:	Yes!
context: Can we win?\Hey!\Don't wuss out now!\Stop worrying about the outcome!\Just be free.\Swim to your hearts' content!\Swim so you have no regrets!\Yes! response:	Matsuoka-senpai...
context: Hey!\Don't wuss out now!\Stop worrying about the outcome!\Just be free.\Swim to your hearts' content!\Swim so you have no regrets!\Yes!\Matsuoka-senpai... response:	Uh...
context: Don't wuss out now!\Stop worrying about the outcome!\Just be free.\Swim to your hearts' content!\Swim so you have no regrets!\Yes!\Matsuoka-senpai...\Uh... response:	Cheer up!
context: Stop worrying about the outcome!\Just be free.\Swim to your hearts' content!\Swim so you have no regrets!\Yes!\Matsuoka-senpai...\Uh...\Cheer up! response:	You'll get another shot at the relay at nationals.
context: Just be free.\Swim to your hearts' content!\Swim so you have no regrets!\Yes!\Matsuoka-senpai...\Uh...\Cheer up!\You'll get another shot at the relay at nationals. response:	Our school will definitely advance!
context: Swim to your hearts' content!\Swim so you have no regrets!\Yes!\Matsuoka-senpai...\Uh...\Cheer up!\You'll get another shot at the relay at nationals.\Our school will definitely advance! response:	So you should focus on your 100 m free today
context: Swim so you have no regrets!\Yes!\Matsuoka-senpai...\Uh...\Cheer up!\You'll get another shot at the relay at nationals.\Our school will definitely advance!\So you should focus on your 100 m free today response:	and forget about the relay
context: Yes!\Matsuoka-senpai...\Uh...\Cheer up!\You'll get another shot at the relay at nationals.\Our school will definitely advance!\So you should focus on your 100 m free today\and forget about the relay response:	Shut up!
context: Matsuoka-senpai...\Uh...\Cheer up!\You'll get another shot at the relay at nationals.\Our school will definitely advance!\So you should focus on your 100 m free today\and forget about the relay\Shut up! response:	Senpai...
context: Uh...\Cheer up!\You'll get another shot at the relay at nationals.\Our school will definitely advance!\So you should focus on your 100 m free today\and forget about the relay\Shut up!\Senpai... response:	I'm sure that
context: Cheer up!\You'll get another shot at the relay at nationals.\Our school will definitely advance!\So you should focus on your 100 m free today\and forget about the relay\Shut up!\Senpai...\I'm sure that response:	everyone here has been practicing hard for this day.
context: You'll get another shot at the relay at nationals.\Our school will definitely advance!\So you should focus on your 100 m free today\and forget about the relay\Shut up!\Senpai...\I'm sure that\everyone here has been practicing hard for this day. response:	This tournament is your opportunity to
context: Our school will definitely advance!\So you should focus on your 100 m free today\and forget about the relay\Shut up!\Senpai...\I'm sure that\everyone here has been practicing hard for this day.\This tournament is your opportunity to response:	Hey, which one is your brother?
context: So you should focus on your 100 m free today\and forget about the relay\Shut up!\Senpai...\I'm sure that\everyone here has been practicing hard for this day.\This tournament is your opportunity to\Hey, which one is your brother? response:	Um, he's on Samezuka's...
context: and forget about the relay\Shut up!\Senpai...\I'm sure that\everyone here has been practicing hard for this day.\This tournament is your opportunity to\Hey, which one is your brother?\Um, he's on Samezuka's... response:	show that your hard work has paid off.
context: Shut up!\Senpai...\I'm sure that\everyone here has been practicing hard for this day.\This tournament is your opportunity to\Hey, which one is your brother?\Um, he's on Samezuka's...\show that your hard work has paid off. response:	Men's 100 m freestyle, heat three.
context: Senpai...\I'm sure that\everyone here has been practicing hard for this day.\This tournament is your opportunity to\Hey, which one is your brother?\Um, he's on Samezuka's...\show that your hard work has paid off.\Men's 100 m freestyle, heat three. response:	Rin-chan's up next!
context: I'm sure that\everyone here has been practicing hard for this day.\This tournament is your opportunity to\Hey, which one is your brother?\Um, he's on Samezuka's...\show that your hard work has paid off.\Men's 100 m freestyle, heat three.\Rin-chan's up next! response:	Yeah.
context: everyone here has been practicing hard for this day.\This tournament is your opportunity to\Hey, which one is your brother?\Um, he's on Samezuka's...\show that your hard work has paid off.\Men's 100 m freestyle, heat three.\Rin-chan's up next!\Yeah. response:	Big brother, you can do it!
context: This tournament is your opportunity to\Hey, which one is your brother?\Um, he's on Samezuka's...\show that your hard work has paid off.\Men's 100 m freestyle, heat three.\Rin-chan's up next!\Yeah.\Big brother, you can do it! response:	Set.
context: Hey, which one is your brother?\Um, he's on Samezuka's...\show that your hard work has paid off.\Men's 100 m freestyle, heat three.\Rin-chan's up next!\Yeah.\Big brother, you can do it!\Set. response:	Go!
context: Um, he's on Samezuka's...\show that your hard work has paid off.\Men's 100 m freestyle, heat three.\Rin-chan's up next!\Yeah.\Big brother, you can do it!\Set.\Go! response:	He had a late start?!
context: show that your hard work has paid off.\Men's 100 m freestyle, heat three.\Rin-chan's up next!\Yeah.\Big brother, you can do it!\Set.\Go!\He had a late start?! response:	Rin can make it up on the turn!
context: Men's 100 m freestyle, heat three.\Rin-chan's up next!\Yeah.\Big brother, you can do it!\Set.\Go!\He had a late start?!\Rin can make it up on the turn! response:	Go! Go!
context: Rin-chan's up next!\Yeah.\Big brother, you can do it!\Set.\Go!\He had a late start?!\Rin can make it up on the turn!\Go! Go! response:	And turn!
context: Yeah.\Big brother, you can do it!\Set.\Go!\He had a late start?!\Rin can make it up on the turn!\Go! Go!\And turn! response:	Last spurt, last spurt, last spurt!
context: Big brother, you can do it!\Set.\Go!\He had a late start?!\Rin can make it up on the turn!\Go! Go!\And turn!\Last spurt, last spurt, last spurt! response:	Rin...
context: Set.\Go!\He had a late start?!\Rin can make it up on the turn!\Go! Go!\And turn!\Last spurt, last spurt, last spurt!\Rin... response:	What's wrong?
context: Go!\He had a late start?!\Rin can make it up on the turn!\Go! Go!\And turn!\Last spurt, last spurt, last spurt!\Rin...\What's wrong? response:	Last spurt, last spurt, last spurt!
context: He had a late start?!\Rin can make it up on the turn!\Go! Go!\And turn!\Last spurt, last spurt, last spurt!\Rin...\What's wrong?\Last spurt, last spurt, last spurt! response:	What happened to Rin?
context: Rin can make it up on the turn!\Go! Go!\And turn!\Last spurt, last spurt, last spurt!\Rin...\What's wrong?\Last spurt, last spurt, last spurt!\What happened to Rin? response:	Big brother...
context: Go! Go!\And turn!\Last spurt, last spurt, last spurt!\Rin...\What's wrong?\Last spurt, last spurt, last spurt!\What happened to Rin?\Big brother... response:	Haru!
context: And turn!\Last spurt, last spurt, last spurt!\Rin...\What's wrong?\Last spurt, last spurt, last spurt!\What happened to Rin?\Big brother...\Haru! response:	I'm going with him!
context: Last spurt, last spurt, last spurt!\Rin...\What's wrong?\Last spurt, last spurt, last spurt!\What happened to Rin?\Big brother...\Haru!\I'm going with him! response:	Me too!
context: Rin...\What's wrong?\Last spurt, last spurt, last spurt!\What happened to Rin?\Big brother...\Haru!\I'm going with him!\Me too! response:	Senpai! Matsuoka-senpai!
context: What's wrong?\Last spurt, last spurt, last spurt!\What happened to Rin?\Big brother...\Haru!\I'm going with him!\Me too!\Senpai! Matsuoka-senpai! response:	Please wait!
context: Last spurt, last spurt, last spurt!\What happened to Rin?\Big brother...\Haru!\I'm going with him!\Me too!\Senpai! Matsuoka-senpai!\Please wait! response:	It's okay!
context: What happened to Rin?\Big brother...\Haru!\I'm going with him!\Me too!\Senpai! Matsuoka-senpai!\Please wait!\It's okay! response:	You just happened to have a bad day.
context: Big brother...\Haru!\I'm going with him!\Me too!\Senpai! Matsuoka-senpai!\Please wait!\It's okay!\You just happened to have a bad day. response:	Your talent is the real deal.
context: Haru!\I'm going with him!\Me too!\Senpai! Matsuoka-senpai!\Please wait!\It's okay!\You just happened to have a bad day.\Your talent is the real deal. response:	If you were in better condition, you could have...
context: I'm going with him!\Me too!\Senpai! Matsuoka-senpai!\Please wait!\It's okay!\You just happened to have a bad day.\Your talent is the real deal.\If you were in better condition, you could have... response:	Shut up!
context: Me too!\Senpai! Matsuoka-senpai!\Please wait!\It's okay!\You just happened to have a bad day.\Your talent is the real deal.\If you were in better condition, you could have...\Shut up! response:	That was...
context: Senpai! Matsuoka-senpai!\Please wait!\It's okay!\You just happened to have a bad day.\Your talent is the real deal.\If you were in better condition, you could have...\Shut up!\That was... response:	This way!
context: Please wait!\It's okay!\You just happened to have a bad day.\Your talent is the real deal.\If you were in better condition, you could have...\Shut up!\That was...\This way! response:	Senpai! Please calm down!
context: It's okay!\You just happened to have a bad day.\Your talent is the real deal.\If you were in better condition, you could have...\Shut up!\That was...\This way!\Senpai! Please calm down! response:	If you do that, you won't be allowed to
context: You just happened to have a bad day.\Your talent is the real deal.\If you were in better condition, you could have...\Shut up!\That was...\This way!\Senpai! Please calm down!\If you do that, you won't be allowed to response:	participate in the next tournament!
context: Your talent is the real deal.\If you were in better condition, you could have...\Shut up!\That was...\This way!\Senpai! Please calm down!\If you do that, you won't be allowed to\participate in the next tournament! response:	It doesn't matter!
context: If you were in better condition, you could have...\Shut up!\That was...\This way!\Senpai! Please calm down!\If you do that, you won't be allowed to\participate in the next tournament!\It doesn't matter! response:	I don't give a damn about what happens!
context: Shut up!\That was...\This way!\Senpai! Please calm down!\If you do that, you won't be allowed to\participate in the next tournament!\It doesn't matter!\I don't give a damn about what happens! response:	I'm obviously no better than this!
context: That was...\This way!\Senpai! Please calm down!\If you do that, you won't be allowed to\participate in the next tournament!\It doesn't matter!\I don't give a damn about what happens!\I'm obviously no better than this! response:	That's why I was taken off the relay!
context: This way!\Senpai! Please calm down!\If you do that, you won't be allowed to\participate in the next tournament!\It doesn't matter!\I don't give a damn about what happens!\I'm obviously no better than this!\That's why I was taken off the relay! response:	Forget it! I quit!
context: Senpai! Please calm down!\If you do that, you won't be allowed to\participate in the next tournament!\It doesn't matter!\I don't give a damn about what happens!\I'm obviously no better than this!\That's why I was taken off the relay!\Forget it! I quit! response:	I'm done swimming!
context: If you do that, you won't be allowed to\participate in the next tournament!\It doesn't matter!\I don't give a damn about what happens!\I'm obviously no better than this!\That's why I was taken off the relay!\Forget it! I quit!\I'm done swimming! response:	Matsuoka-senpai!
context: participate in the next tournament!\It doesn't matter!\I don't give a damn about what happens!\I'm obviously no better than this!\That's why I was taken off the relay!\Forget it! I quit!\I'm done swimming!\Matsuoka-senpai! response:	Gou, look at this!
context: It doesn't matter!\I don't give a damn about what happens!\I'm obviously no better than this!\That's why I was taken off the relay!\Forget it! I quit!\I'm done swimming!\Matsuoka-senpai!\Gou, look at this! response:	This is...
context: I don't give a damn about what happens!\I'm obviously no better than this!\That's why I was taken off the relay!\Forget it! I quit!\I'm done swimming!\Matsuoka-senpai!\Gou, look at this!\This is... response:	Rin-chan was removed from the relay?
context: I'm obviously no better than this!\That's why I was taken off the relay!\Forget it! I quit!\I'm done swimming!\Matsuoka-senpai!\Gou, look at this!\This is...\Rin-chan was removed from the relay? response:	We thought we'd be able to race Rin if we made it to the final.
context: That's why I was taken off the relay!\Forget it! I quit!\I'm done swimming!\Matsuoka-senpai!\Gou, look at this!\This is...\Rin-chan was removed from the relay?\We thought we'd be able to race Rin if we made it to the final. response:	Haru...
context: Forget it! I quit!\I'm done swimming!\Matsuoka-senpai!\Gou, look at this!\This is...\Rin-chan was removed from the relay?\We thought we'd be able to race Rin if we made it to the final.\Haru... response:	I'm done swimming!
context: I'm done swimming!\Matsuoka-senpai!\Gou, look at this!\This is...\Rin-chan was removed from the relay?\We thought we'd be able to race Rin if we made it to the final.\Haru...\I'm done swimming! response:	I'll quit swimming.
context: Matsuoka-senpai!\Gou, look at this!\This is...\Rin-chan was removed from the relay?\We thought we'd be able to race Rin if we made it to the final.\Haru...\I'm done swimming!\I'll quit swimming. response:	Haru!
context: Gou, look at this!\This is...\Rin-chan was removed from the relay?\We thought we'd be able to race Rin if we made it to the final.\Haru...\I'm done swimming!\I'll quit swimming.\Haru! response:	I won't get to swim with Rin again?
context: This is...\Rin-chan was removed from the relay?\We thought we'd be able to race Rin if we made it to the final.\Haru...\I'm done swimming!\I'll quit swimming.\Haru!\I won't get to swim with Rin again? response:	Haru...
context: Rin-chan was removed from the relay?\We thought we'd be able to race Rin if we made it to the final.\Haru...\I'm done swimming!\I'll quit swimming.\Haru!\I won't get to swim with Rin again?\Haru... response:	Haru-chan...
context: We thought we'd be able to race Rin if we made it to the final.\Haru...\I'm done swimming!\I'll quit swimming.\Haru!\I won't get to swim with Rin again?\Haru...\Haru-chan... response:	What now?
context: Haru...\I'm done swimming!\I'll quit swimming.\Haru!\I won't get to swim with Rin again?\Haru...\Haru-chan...\What now? response:	The relay prelims are about to start.
context: I'm done swimming!\I'll quit swimming.\Haru!\I won't get to swim with Rin again?\Haru...\Haru-chan...\What now?\The relay prelims are about to start. response:	Let's focus on our own race right now!
context: I'll quit swimming.\Haru!\I won't get to swim with Rin again?\Haru...\Haru-chan...\What now?\The relay prelims are about to start.\Let's focus on our own race right now! response:	But look at Haru-chan.
context: Haru!\I won't get to swim with Rin again?\Haru...\Haru-chan...\What now?\The relay prelims are about to start.\Let's focus on our own race right now!\But look at Haru-chan. response:	Haru...
context: I won't get to swim with Rin again?\Haru...\Haru-chan...\What now?\The relay prelims are about to start.\Let's focus on our own race right now!\But look at Haru-chan.\Haru... response:	I have something to tell everyone.
context: Haru...\Haru-chan...\What now?\The relay prelims are about to start.\Let's focus on our own race right now!\But look at Haru-chan.\Haru...\I have something to tell everyone. response:	Rei-chan?
context: Haru-chan...\What now?\The relay prelims are about to start.\Let's focus on our own race right now!\But look at Haru-chan.\Haru...\I have something to tell everyone.\Rei-chan? response:	Last night, Rin-san called me outside to talk.
context: What now?\The relay prelims are about to start.\Let's focus on our own race right now!\But look at Haru-chan.\Haru...\I have something to tell everyone.\Rei-chan?\Last night, Rin-san called me outside to talk. response:	He told me that when he said he wanted
context: The relay prelims are about to start.\Let's focus on our own race right now!\But look at Haru-chan.\Haru...\I have something to tell everyone.\Rei-chan?\Last night, Rin-san called me outside to talk.\He told me that when he said he wanted response:	to quit swimming in middle school,
context: Let's focus on our own race right now!\But look at Haru-chan.\Haru...\I have something to tell everyone.\Rei-chan?\Last night, Rin-san called me outside to talk.\He told me that when he said he wanted\to quit swimming in middle school, response:	it wasn't because he lost to Haruka-senpai.
context: But look at Haru-chan.\Haru...\I have something to tell everyone.\Rei-chan?\Last night, Rin-san called me outside to talk.\He told me that when he said he wanted\to quit swimming in middle school,\it wasn't because he lost to Haruka-senpai. response:	He hit a wall while training abroad and his confidence was shaken.
context: Haru...\I have something to tell everyone.\Rei-chan?\Last night, Rin-san called me outside to talk.\He told me that when he said he wanted\to quit swimming in middle school,\it wasn't because he lost to Haruka-senpai.\He hit a wall while training abroad and his confidence was shaken. response:	That's why he wanted to quit swimming.
context: I have something to tell everyone.\Rei-chan?\Last night, Rin-san called me outside to talk.\He told me that when he said he wanted\to quit swimming in middle school,\it wasn't because he lost to Haruka-senpai.\He hit a wall while training abroad and his confidence was shaken.\That's why he wanted to quit swimming. response:	But after returning to Japan,
context: Rei-chan?\Last night, Rin-san called me outside to talk.\He told me that when he said he wanted\to quit swimming in middle school,\it wasn't because he lost to Haruka-senpai.\He hit a wall while training abroad and his confidence was shaken.\That's why he wanted to quit swimming.\But after returning to Japan, response:	running into Haruka-senpai,
context: Last night, Rin-san called me outside to talk.\He told me that when he said he wanted\to quit swimming in middle school,\it wasn't because he lost to Haruka-senpai.\He hit a wall while training abroad and his confidence was shaken.\That's why he wanted to quit swimming.\But after returning to Japan,\running into Haruka-senpai, response:	and racing him again,
context: He told me that when he said he wanted\to quit swimming in middle school,\it wasn't because he lost to Haruka-senpai.\He hit a wall while training abroad and his confidence was shaken.\That's why he wanted to quit swimming.\But after returning to Japan,\running into Haruka-senpai,\and racing him again, response:	he could put it behind him.
context: to quit swimming in middle school,\it wasn't because he lost to Haruka-senpai.\He hit a wall while training abroad and his confidence was shaken.\That's why he wanted to quit swimming.\But after returning to Japan,\running into Haruka-senpai,\and racing him again,\he could put it behind him. response:	After watching us swim at prefecturals,
context: it wasn't because he lost to Haruka-senpai.\He hit a wall while training abroad and his confidence was shaken.\That's why he wanted to quit swimming.\But after returning to Japan,\running into Haruka-senpai,\and racing him again,\he could put it behind him.\After watching us swim at prefecturals, response:	he remembered what it was like,
context: He hit a wall while training abroad and his confidence was shaken.\That's why he wanted to quit swimming.\But after returning to Japan,\running into Haruka-senpai,\and racing him again,\he could put it behind him.\After watching us swim at prefecturals,\he remembered what it was like, response:	and wanted to swim in a relay again.
context: That's why he wanted to quit swimming.\But after returning to Japan,\running into Haruka-senpai,\and racing him again,\he could put it behind him.\After watching us swim at prefecturals,\he remembered what it was like,\and wanted to swim in a relay again. response:	That's why he said
context: But after returning to Japan,\running into Haruka-senpai,\and racing him again,\he could put it behind him.\After watching us swim at prefecturals,\he remembered what it was like,\and wanted to swim in a relay again.\That's why he said response:	he'd swim with Samezuka to give us the best relay ever.
context: running into Haruka-senpai,\and racing him again,\he could put it behind him.\After watching us swim at prefecturals,\he remembered what it was like,\and wanted to swim in a relay again.\That's why he said\he'd swim with Samezuka to give us the best relay ever. response:	I didn't realize Rin-chan felt that way.
context: and racing him again,\he could put it behind him.\After watching us swim at prefecturals,\he remembered what it was like,\and wanted to swim in a relay again.\That's why he said\he'd swim with Samezuka to give us the best relay ever.\I didn't realize Rin-chan felt that way. response:	But that's not what he really wants.
context: he could put it behind him.\After watching us swim at prefecturals,\he remembered what it was like,\and wanted to swim in a relay again.\That's why he said\he'd swim with Samezuka to give us the best relay ever.\I didn't realize Rin-chan felt that way.\But that's not what he really wants. response:	He didn't care about the race.
context: After watching us swim at prefecturals,\he remembered what it was like,\and wanted to swim in a relay again.\That's why he said\he'd swim with Samezuka to give us the best relay ever.\I didn't realize Rin-chan felt that way.\But that's not what he really wants.\He didn't care about the race. response:	He just wanted to swim with all of you again.
context: he remembered what it was like,\and wanted to swim in a relay again.\That's why he said\he'd swim with Samezuka to give us the best relay ever.\I didn't realize Rin-chan felt that way.\But that's not what he really wants.\He didn't care about the race.\He just wanted to swim with all of you again. response:	To swim with the best teammates he could have...
context: and wanted to swim in a relay again.\That's why he said\he'd swim with Samezuka to give us the best relay ever.\I didn't realize Rin-chan felt that way.\But that's not what he really wants.\He didn't care about the race.\He just wanted to swim with all of you again.\To swim with the best teammates he could have... response:	How do you know that?
context: That's why he said\he'd swim with Samezuka to give us the best relay ever.\I didn't realize Rin-chan felt that way.\But that's not what he really wants.\He didn't care about the race.\He just wanted to swim with all of you again.\To swim with the best teammates he could have...\How do you know that? response:	Because...
context: he'd swim with Samezuka to give us the best relay ever.\I didn't realize Rin-chan felt that way.\But that's not what he really wants.\He didn't care about the race.\He just wanted to swim with all of you again.\To swim with the best teammates he could have...\How do you know that?\Because... response:	I feel the same way he does.
context: I didn't realize Rin-chan felt that way.\But that's not what he really wants.\He didn't care about the race.\He just wanted to swim with all of you again.\To swim with the best teammates he could have...\How do you know that?\Because...\I feel the same way he does. response:	I want to swim in a relay
context: But that's not what he really wants.\He didn't care about the race.\He just wanted to swim with all of you again.\To swim with the best teammates he could have...\How do you know that?\Because...\I feel the same way he does.\I want to swim in a relay response:	with all of you.
context: He didn't care about the race.\He just wanted to swim with all of you again.\To swim with the best teammates he could have...\How do you know that?\Because...\I feel the same way he does.\I want to swim in a relay\with all of you. response:	With the best teammates I could ask for...
context: He just wanted to swim with all of you again.\To swim with the best teammates he could have...\How do you know that?\Because...\I feel the same way he does.\I want to swim in a relay\with all of you.\With the best teammates I could ask for... response:	I'm sure you feel the same way, Haruka-senpai!
context: To swim with the best teammates he could have...\How do you know that?\Because...\I feel the same way he does.\I want to swim in a relay\with all of you.\With the best teammates I could ask for...\I'm sure you feel the same way, Haruka-senpai! response:	The race isn't important!
context: How do you know that?\Because...\I feel the same way he does.\I want to swim in a relay\with all of you.\With the best teammates I could ask for...\I'm sure you feel the same way, Haruka-senpai!\The race isn't important! response:	There's someone you want to swim with, right?!
context: Because...\I feel the same way he does.\I want to swim in a relay\with all of you.\With the best teammates I could ask for...\I'm sure you feel the same way, Haruka-senpai!\The race isn't important!\There's someone you want to swim with, right?! response:	I want to swim with Rin!
context: I feel the same way he does.\I want to swim in a relay\with all of you.\With the best teammates I could ask for...\I'm sure you feel the same way, Haruka-senpai!\The race isn't important!\There's someone you want to swim with, right?!\I want to swim with Rin! response:	If you don't do something, Rin-san will stop swimming.
