context: Okay! Cut! response:	Wow, the staff around Yunosagi are very capable.
context: Thanks!\Hello?\Oh, Mom?\Well, well...\Are you feeling homesick,\after your recent visit home?\Let me get straight to the point.\You received an offer for a movie to be shot at the inn, didn't you? response:	Yes.
context: Hello?\Oh, Mom?\Well, well...\Are you feeling homesick,\after your recent visit home?\Let me get straight to the point.\You received an offer for a movie to be shot at the inn, didn't you?\Yes. response:	You didn't accept that offer, did you?
context: Oh, Mom?\Well, well...\Are you feeling homesick,\after your recent visit home?\Let me get straight to the point.\You received an offer for a movie to be shot at the inn, didn't you?\Yes.\You didn't accept that offer, did you? response:	If you haven't accepted it yet, that's good.
context: Well, well...\Are you feeling homesick,\after your recent visit home?\Let me get straight to the point.\You received an offer for a movie to be shot at the inn, didn't you?\Yes.\You didn't accept that offer, did you?\If you haven't accepted it yet, that's good. response:	I've left Enishi in charge of that.
context: Are you feeling homesick,\after your recent visit home?\Let me get straight to the point.\You received an offer for a movie to be shot at the inn, didn't you?\Yes.\You didn't accept that offer, did you?\If you haven't accepted it yet, that's good.\I've left Enishi in charge of that. response:	What are you saying?!
context: after your recent visit home?\Let me get straight to the point.\You received an offer for a movie to be shot at the inn, didn't you?\Yes.\You didn't accept that offer, did you?\If you haven't accepted it yet, that's good.\I've left Enishi in charge of that.\What are you saying?! response:	I'm telling you, something is fishy about the whole thing!
context: Let me get straight to the point.\You received an offer for a movie to be shot at the inn, didn't you?\Yes.\You didn't accept that offer, did you?\If you haven't accepted it yet, that's good.\I've left Enishi in charge of that.\What are you saying?!\I'm telling you, something is fishy about the whole thing! response:	You can call it off right now by just opening your mouth!
context: You received an offer for a movie to be shot at the inn, didn't you?\Yes.\You didn't accept that offer, did you?\If you haven't accepted it yet, that's good.\I've left Enishi in charge of that.\What are you saying?!\I'm telling you, something is fishy about the whole thing!\You can call it off right now by just opening your mouth! response:	This time I don't plan on interfering at all.
context: Yes.\You didn't accept that offer, did you?\If you haven't accepted it yet, that's good.\I've left Enishi in charge of that.\What are you saying?!\I'm telling you, something is fishy about the whole thing!\You can call it off right now by just opening your mouth!\This time I don't plan on interfering at all. response:	But, Mom!
context: You didn't accept that offer, did you?\If you haven't accepted it yet, that's good.\I've left Enishi in charge of that.\What are you saying?!\I'm telling you, something is fishy about the whole thing!\You can call it off right now by just opening your mouth!\This time I don't plan on interfering at all.\But, Mom! response:	How do you feel about inheriting this inn?
context: If you haven't accepted it yet, that's good.\I've left Enishi in charge of that.\What are you saying?!\I'm telling you, something is fishy about the whole thing!\You can call it off right now by just opening your mouth!\This time I don't plan on interfering at all.\But, Mom!\How do you feel about inheriting this inn? response:	Actually, no, Enishi will be the one.
context: I've left Enishi in charge of that.\What are you saying?!\I'm telling you, something is fishy about the whole thing!\You can call it off right now by just opening your mouth!\This time I don't plan on interfering at all.\But, Mom!\How do you feel about inheriting this inn?\Actually, no, Enishi will be the one. response:	That's right.
context: What are you saying?!\I'm telling you, something is fishy about the whole thing!\You can call it off right now by just opening your mouth!\This time I don't plan on interfering at all.\But, Mom!\How do you feel about inheriting this inn?\Actually, no, Enishi will be the one.\That's right. response:	Enishi will be the one who inherits Kissuiso, Mom.
context: I'm telling you, something is fishy about the whole thing!\You can call it off right now by just opening your mouth!\This time I don't plan on interfering at all.\But, Mom!\How do you feel about inheriting this inn?\Actually, no, Enishi will be the one.\That's right.\Enishi will be the one who inherits Kissuiso, Mom. response:	I've just said something pretty foolish, haven't I?
context: You can call it off right now by just opening your mouth!\This time I don't plan on interfering at all.\But, Mom!\How do you feel about inheriting this inn?\Actually, no, Enishi will be the one.\That's right.\Enishi will be the one who inherits Kissuiso, Mom.\I've just said something pretty foolish, haven't I? response:	It wasn't foolish.
context: This time I don't plan on interfering at all.\But, Mom!\How do you feel about inheriting this inn?\Actually, no, Enishi will be the one.\That's right.\Enishi will be the one who inherits Kissuiso, Mom.\I've just said something pretty foolish, haven't I?\It wasn't foolish. response:	But it is all in the past now.
context: But, Mom!\How do you feel about inheriting this inn?\Actually, no, Enishi will be the one.\That's right.\Enishi will be the one who inherits Kissuiso, Mom.\I've just said something pretty foolish, haven't I?\It wasn't foolish.\But it is all in the past now. response:	Bye.
context: How do you feel about inheriting this inn?\Actually, no, Enishi will be the one.\That's right.\Enishi will be the one who inherits Kissuiso, Mom.\I've just said something pretty foolish, haven't I?\It wasn't foolish.\But it is all in the past now.\Bye. response:	That's your job, young master.
context: Actually, no, Enishi will be the one.\That's right.\Enishi will be the one who inherits Kissuiso, Mom.\I've just said something pretty foolish, haven't I?\It wasn't foolish.\But it is all in the past now.\Bye.\That's your job, young master. response:	Right.
context: That's right.\Enishi will be the one who inherits Kissuiso, Mom.\I've just said something pretty foolish, haven't I?\It wasn't foolish.\But it is all in the past now.\Bye.\That's your job, young master.\Right. response:	Th-Then, shall we?
context: Enishi will be the one who inherits Kissuiso, Mom.\I've just said something pretty foolish, haven't I?\It wasn't foolish.\But it is all in the past now.\Bye.\That's your job, young master.\Right.\Th-Then, shall we? response:	Okay.
context: I've just said something pretty foolish, haven't I?\It wasn't foolish.\But it is all in the past now.\Bye.\That's your job, young master.\Right.\Th-Then, shall we?\Okay. response:	Please excuse me.
context: It wasn't foolish.\But it is all in the past now.\Bye.\That's your job, young master.\Right.\Th-Then, shall we?\Okay.\Please excuse me. response:	We were watching you from up here!
context: But it is all in the past now.\Bye.\That's your job, young master.\Right.\Th-Then, shall we?\Okay.\Please excuse me.\We were watching you from up here! response:	That was excellent!
context: Bye.\That's your job, young master.\Right.\Th-Then, shall we?\Okay.\Please excuse me.\We were watching you from up here!\That was excellent! response:	I hear that they're shooting a film here?
context: That's your job, young master.\Right.\Th-Then, shall we?\Okay.\Please excuse me.\We were watching you from up here!\That was excellent!\I hear that they're shooting a film here? response:	What you were doing was very interesting!
context: Right.\Th-Then, shall we?\Okay.\Please excuse me.\We were watching you from up here!\That was excellent!\I hear that they're shooting a film here?\What you were doing was very interesting! response:	Don't worry, we'll still be at your service as usual.
context: Th-Then, shall we?\Okay.\Please excuse me.\We were watching you from up here!\That was excellent!\I hear that they're shooting a film here?\What you were doing was very interesting!\Don't worry, we'll still be at your service as usual. response:	It's okay.
context: Okay.\Please excuse me.\We were watching you from up here!\That was excellent!\I hear that they're shooting a film here?\What you were doing was very interesting!\Don't worry, we'll still be at your service as usual.\It's okay. response:	I know how well you've been taking care of us.
context: Please excuse me.\We were watching you from up here!\That was excellent!\I hear that they're shooting a film here?\What you were doing was very interesting!\Don't worry, we'll still be at your service as usual.\It's okay.\I know how well you've been taking care of us. response:	Were you the one who jumped from the building just then?
context: We were watching you from up here!\That was excellent!\I hear that they're shooting a film here?\What you were doing was very interesting!\Don't worry, we'll still be at your service as usual.\It's okay.\I know how well you've been taking care of us.\Were you the one who jumped from the building just then? response:	No, that wasn't me.
context: That was excellent!\I hear that they're shooting a film here?\What you were doing was very interesting!\Don't worry, we'll still be at your service as usual.\It's okay.\I know how well you've been taking care of us.\Were you the one who jumped from the building just then?\No, that wasn't me. response:	My heart nearly stopped!
context: I hear that they're shooting a film here?\What you were doing was very interesting!\Don't worry, we'll still be at your service as usual.\It's okay.\I know how well you've been taking care of us.\Were you the one who jumped from the building just then?\No, that wasn't me.\My heart nearly stopped! response:	In that case,
context: What you were doing was very interesting!\Don't worry, we'll still be at your service as usual.\It's okay.\I know how well you've been taking care of us.\Were you the one who jumped from the building just then?\No, that wasn't me.\My heart nearly stopped!\In that case, response:	you might want to refrain from watching what's coming next.
context: Don't worry, we'll still be at your service as usual.\It's okay.\I know how well you've been taking care of us.\Were you the one who jumped from the building just then?\No, that wasn't me.\My heart nearly stopped!\In that case,\you might want to refrain from watching what's coming next. response:	Okay, that's a wrap!
context: It's okay.\I know how well you've been taking care of us.\Were you the one who jumped from the building just then?\No, that wasn't me.\My heart nearly stopped!\In that case,\you might want to refrain from watching what's coming next.\Okay, that's a wrap! response:	Umm...
context: I know how well you've been taking care of us.\Were you the one who jumped from the building just then?\No, that wasn't me.\My heart nearly stopped!\In that case,\you might want to refrain from watching what's coming next.\Okay, that's a wrap!\Umm... response:	Yeah?
context: Were you the one who jumped from the building just then?\No, that wasn't me.\My heart nearly stopped!\In that case,\you might want to refrain from watching what's coming next.\Okay, that's a wrap!\Umm...\Yeah? response:	What's this movie supposed to be about, precisely?
context: No, that wasn't me.\My heart nearly stopped!\In that case,\you might want to refrain from watching what's coming next.\Okay, that's a wrap!\Umm...\Yeah?\What's this movie supposed to be about, precisely? response:	The proposal said, waitresses in their youth.
context: My heart nearly stopped!\In that case,\you might want to refrain from watching what's coming next.\Okay, that's a wrap!\Umm...\Yeah?\What's this movie supposed to be about, precisely?\The proposal said, waitresses in their youth. response:	Yuina...
context: In that case,\you might want to refrain from watching what's coming next.\Okay, that's a wrap!\Umm...\Yeah?\What's this movie supposed to be about, precisely?\The proposal said, waitresses in their youth.\Yuina... response:	Yeah...
context: you might want to refrain from watching what's coming next.\Okay, that's a wrap!\Umm...\Yeah?\What's this movie supposed to be about, precisely?\The proposal said, waitresses in their youth.\Yuina...\Yeah... response:	I heard...
context: Okay, that's a wrap!\Umm...\Yeah?\What's this movie supposed to be about, precisely?\The proposal said, waitresses in their youth.\Yuina...\Yeah...\I heard... response:	Hmm?
context: Umm...\Yeah?\What's this movie supposed to be about, precisely?\The proposal said, waitresses in their youth.\Yuina...\Yeah...\I heard...\Hmm? response:	That all the madam managers in
context: Yeah?\What's this movie supposed to be about, precisely?\The proposal said, waitresses in their youth.\Yuina...\Yeah...\I heard...\Hmm?\That all the madam managers in response:	the union don't like this upcoming movie.
context: What's this movie supposed to be about, precisely?\The proposal said, waitresses in their youth.\Yuina...\Yeah...\I heard...\Hmm?\That all the madam managers in\the union don't like this upcoming movie. response:	Well, I think everyone gets a little
context: The proposal said, waitresses in their youth.\Yuina...\Yeah...\I heard...\Hmm?\That all the madam managers in\the union don't like this upcoming movie.\Well, I think everyone gets a little response:	uneasy when trying out something new.
context: Yuina...\Yeah...\I heard...\Hmm?\That all the madam managers in\the union don't like this upcoming movie.\Well, I think everyone gets a little\uneasy when trying out something new. response:	Even though they're not the ones staging it?
context: Yeah...\I heard...\Hmm?\That all the madam managers in\the union don't like this upcoming movie.\Well, I think everyone gets a little\uneasy when trying out something new.\Even though they're not the ones staging it? response:	Yeah.
context: I heard...\Hmm?\That all the madam managers in\the union don't like this upcoming movie.\Well, I think everyone gets a little\uneasy when trying out something new.\Even though they're not the ones staging it?\Yeah. response:	Wouldn't you be jealous if someone became
context: Hmm?\That all the madam managers in\the union don't like this upcoming movie.\Well, I think everyone gets a little\uneasy when trying out something new.\Even though they're not the ones staging it?\Yeah.\Wouldn't you be jealous if someone became response:	successful at doing something new?
context: That all the madam managers in\the union don't like this upcoming movie.\Well, I think everyone gets a little\uneasy when trying out something new.\Even though they're not the ones staging it?\Yeah.\Wouldn't you be jealous if someone became\successful at doing something new? response:	I mean, people say that,
context: the union don't like this upcoming movie.\Well, I think everyone gets a little\uneasy when trying out something new.\Even though they're not the ones staging it?\Yeah.\Wouldn't you be jealous if someone became\successful at doing something new?\I mean, people say that, response:	but there aren't exactly many scenes in this film where lots
context: Well, I think everyone gets a little\uneasy when trying out something new.\Even though they're not the ones staging it?\Yeah.\Wouldn't you be jealous if someone became\successful at doing something new?\I mean, people say that,\but there aren't exactly many scenes in this film where lots response:	of madam managers appear.
context: uneasy when trying out something new.\Even though they're not the ones staging it?\Yeah.\Wouldn't you be jealous if someone became\successful at doing something new?\I mean, people say that,\but there aren't exactly many scenes in this film where lots\of madam managers appear. response:	Oh!
context: Even though they're not the ones staging it?\Yeah.\Wouldn't you be jealous if someone became\successful at doing something new?\I mean, people say that,\but there aren't exactly many scenes in this film where lots\of madam managers appear.\Oh! response:	All the madam managers can go to
context: Yeah.\Wouldn't you be jealous if someone became\successful at doing something new?\I mean, people say that,\but there aren't exactly many scenes in this film where lots\of madam managers appear.\Oh!\All the madam managers can go to response:	a hot spring for a work trip.
context: Wouldn't you be jealous if someone became\successful at doing something new?\I mean, people say that,\but there aren't exactly many scenes in this film where lots\of madam managers appear.\Oh!\All the madam managers can go to\a hot spring for a work trip. response:	And then they all become zombies.
context: successful at doing something new?\I mean, people say that,\but there aren't exactly many scenes in this film where lots\of madam managers appear.\Oh!\All the madam managers can go to\a hot spring for a work trip.\And then they all become zombies. response:	What?
context: I mean, people say that,\but there aren't exactly many scenes in this film where lots\of madam managers appear.\Oh!\All the madam managers can go to\a hot spring for a work trip.\And then they all become zombies.\What? response:	A meal for two in the Paulownia Room, please!
context: but there aren't exactly many scenes in this film where lots\of madam managers appear.\Oh!\All the madam managers can go to\a hot spring for a work trip.\And then they all become zombies.\What?\A meal for two in the Paulownia Room, please! response:	Okay!
context: of madam managers appear.\Oh!\All the madam managers can go to\a hot spring for a work trip.\And then they all become zombies.\What?\A meal for two in the Paulownia Room, please!\Okay! response:	I'll take this to the Wisteria Room.
context: Oh!\All the madam managers can go to\a hot spring for a work trip.\And then they all become zombies.\What?\A meal for two in the Paulownia Room, please!\Okay!\I'll take this to the Wisteria Room. response:	The meal with the red tag
context: All the madam managers can go to\a hot spring for a work trip.\And then they all become zombies.\What?\A meal for two in the Paulownia Room, please!\Okay!\I'll take this to the Wisteria Room.\The meal with the red tag response:	has no green onions in it.
context: a hot spring for a work trip.\And then they all become zombies.\What?\A meal for two in the Paulownia Room, please!\Okay!\I'll take this to the Wisteria Room.\The meal with the red tag\has no green onions in it. response:	Okay!
context: And then they all become zombies.\What?\A meal for two in the Paulownia Room, please!\Okay!\I'll take this to the Wisteria Room.\The meal with the red tag\has no green onions in it.\Okay! response:	Ohana.
context: What?\A meal for two in the Paulownia Room, please!\Okay!\I'll take this to the Wisteria Room.\The meal with the red tag\has no green onions in it.\Okay!\Ohana. response:	Yes?
context: A meal for two in the Paulownia Room, please!\Okay!\I'll take this to the Wisteria Room.\The meal with the red tag\has no green onions in it.\Okay!\Ohana.\Yes? response:	Oh, that explains it.
context: Okay!\I'll take this to the Wisteria Room.\The meal with the red tag\has no green onions in it.\Okay!\Ohana.\Yes?\Oh, that explains it. response:	Explains what?
context: I'll take this to the Wisteria Room.\The meal with the red tag\has no green onions in it.\Okay!\Ohana.\Yes?\Oh, that explains it.\Explains what? response:	A customer in the Wisteria Room
context: The meal with the red tag\has no green onions in it.\Okay!\Ohana.\Yes?\Oh, that explains it.\Explains what?\A customer in the Wisteria Room response:	kept staring at my face earlier.
context: has no green onions in it.\Okay!\Ohana.\Yes?\Oh, that explains it.\Explains what?\A customer in the Wisteria Room\kept staring at my face earlier. response:	You know...
context: Okay!\Ohana.\Yes?\Oh, that explains it.\Explains what?\A customer in the Wisteria Room\kept staring at my face earlier.\You know... response:	I'll be on my way!
context: Ohana.\Yes?\Oh, that explains it.\Explains what?\A customer in the Wisteria Room\kept staring at my face earlier.\You know...\I'll be on my way! response:	Hey! Get back here!
context: Yes?\Oh, that explains it.\Explains what?\A customer in the Wisteria Room\kept staring at my face earlier.\You know...\I'll be on my way!\Hey! Get back here! response:	The next time we're here, we'll be shooting for real.
context: Oh, that explains it.\Explains what?\A customer in the Wisteria Room\kept staring at my face earlier.\You know...\I'll be on my way!\Hey! Get back here!\The next time we're here, we'll be shooting for real. response:	We'll be waiting.
context: Explains what?\A customer in the Wisteria Room\kept staring at my face earlier.\You know...\I'll be on my way!\Hey! Get back here!\The next time we're here, we'll be shooting for real.\We'll be waiting. response:	I'm counting on you, Mr. Isami.
context: A customer in the Wisteria Room\kept staring at my face earlier.\You know...\I'll be on my way!\Hey! Get back here!\The next time we're here, we'll be shooting for real.\We'll be waiting.\I'm counting on you, Mr. Isami. response:	Yes, hello?
context: kept staring at my face earlier.\You know...\I'll be on my way!\Hey! Get back here!\The next time we're here, we'll be shooting for real.\We'll be waiting.\I'm counting on you, Mr. Isami.\Yes, hello? response:	Expect great things.
context: You know...\I'll be on my way!\Hey! Get back here!\The next time we're here, we'll be shooting for real.\We'll be waiting.\I'm counting on you, Mr. Isami.\Yes, hello?\Expect great things. response:	I'm turning this on, young master.
context: I'll be on my way!\Hey! Get back here!\The next time we're here, we'll be shooting for real.\We'll be waiting.\I'm counting on you, Mr. Isami.\Yes, hello?\Expect great things.\I'm turning this on, young master. response:	Do it.
context: Hey! Get back here!\The next time we're here, we'll be shooting for real.\We'll be waiting.\I'm counting on you, Mr. Isami.\Yes, hello?\Expect great things.\I'm turning this on, young master.\Do it. response:	I hear it is a scam.
context: The next time we're here, we'll be shooting for real.\We'll be waiting.\I'm counting on you, Mr. Isami.\Yes, hello?\Expect great things.\I'm turning this on, young master.\Do it.\I hear it is a scam. response:	Oh, my!
context: We'll be waiting.\I'm counting on you, Mr. Isami.\Yes, hello?\Expect great things.\I'm turning this on, young master.\Do it.\I hear it is a scam.\Oh, my! response:	I had my suspicions from the start!
context: I'm counting on you, Mr. Isami.\Yes, hello?\Expect great things.\I'm turning this on, young master.\Do it.\I hear it is a scam.\Oh, my!\I had my suspicions from the start! response:	A scam?
context: Yes, hello?\Expect great things.\I'm turning this on, young master.\Do it.\I hear it is a scam.\Oh, my!\I had my suspicions from the start!\A scam? response:	This has got nothing to do with you.
context: Expect great things.\I'm turning this on, young master.\Do it.\I hear it is a scam.\Oh, my!\I had my suspicions from the start!\A scam?\This has got nothing to do with you. response:	Leave.
context: I'm turning this on, young master.\Do it.\I hear it is a scam.\Oh, my!\I had my suspicions from the start!\A scam?\This has got nothing to do with you.\Leave. response:	The folks at Kissuiso have really done it this time.
context: Do it.\I hear it is a scam.\Oh, my!\I had my suspicions from the start!\A scam?\This has got nothing to do with you.\Leave.\The folks at Kissuiso have really done it this time. response:	Takako! Takako!
context: I hear it is a scam.\Oh, my!\I had my suspicions from the start!\A scam?\This has got nothing to do with you.\Leave.\The folks at Kissuiso have really done it this time.\Takako! Takako! response:	You still haven't managed to contact Mr. Isami?!
context: Oh, my!\I had my suspicions from the start!\A scam?\This has got nothing to do with you.\Leave.\The folks at Kissuiso have really done it this time.\Takako! Takako!\You still haven't managed to contact Mr. Isami?! response:	No, I only received an e-mail from him saying
context: I had my suspicions from the start!\A scam?\This has got nothing to do with you.\Leave.\The folks at Kissuiso have really done it this time.\Takako! Takako!\You still haven't managed to contact Mr. Isami?!\No, I only received an e-mail from him saying response:	that the project had been called off.
context: A scam?\This has got nothing to do with you.\Leave.\The folks at Kissuiso have really done it this time.\Takako! Takako!\You still haven't managed to contact Mr. Isami?!\No, I only received an e-mail from him saying\that the project had been called off. response:	I'll try calling him again later.
context: This has got nothing to do with you.\Leave.\The folks at Kissuiso have really done it this time.\Takako! Takako!\You still haven't managed to contact Mr. Isami?!\No, I only received an e-mail from him saying\that the project had been called off.\I'll try calling him again later. response:	I had my suspicions about this from the start!
context: Leave.\The folks at Kissuiso have really done it this time.\Takako! Takako!\You still haven't managed to contact Mr. Isami?!\No, I only received an e-mail from him saying\that the project had been called off.\I'll try calling him again later.\I had my suspicions about this from the start! response:	What?!
context: The folks at Kissuiso have really done it this time.\Takako! Takako!\You still haven't managed to contact Mr. Isami?!\No, I only received an e-mail from him saying\that the project had been called off.\I'll try calling him again later.\I had my suspicions about this from the start!\What?! response:	You're telling me this now?
context: Takako! Takako!\You still haven't managed to contact Mr. Isami?!\No, I only received an e-mail from him saying\that the project had been called off.\I'll try calling him again later.\I had my suspicions about this from the start!\What?!\You're telling me this now? response:	Didn't I tell you?
context: You still haven't managed to contact Mr. Isami?!\No, I only received an e-mail from him saying\that the project had been called off.\I'll try calling him again later.\I had my suspicions about this from the start!\What?!\You're telling me this now?\Didn't I tell you? response:	Don't rush the payment and
context: No, I only received an e-mail from him saying\that the project had been called off.\I'll try calling him again later.\I had my suspicions about this from the start!\What?!\You're telling me this now?\Didn't I tell you?\Don't rush the payment and response:	only pay them once you've confirmed that it's safe.
context: that the project had been called off.\I'll try calling him again later.\I had my suspicions about this from the start!\What?!\You're telling me this now?\Didn't I tell you?\Don't rush the payment and\only pay them once you've confirmed that it's safe. response:	Y-Yeah, but...
context: I'll try calling him again later.\I had my suspicions about this from the start!\What?!\You're telling me this now?\Didn't I tell you?\Don't rush the payment and\only pay them once you've confirmed that it's safe.\Y-Yeah, but... response:	Anyway, the contract is under your name, Enishi!
context: I had my suspicions about this from the start!\What?!\You're telling me this now?\Didn't I tell you?\Don't rush the payment and\only pay them once you've confirmed that it's safe.\Y-Yeah, but...\Anyway, the contract is under your name, Enishi! response:	But you're the one who told me about this in the first place, Takako!
context: What?!\You're telling me this now?\Didn't I tell you?\Don't rush the payment and\only pay them once you've confirmed that it's safe.\Y-Yeah, but...\Anyway, the contract is under your name, Enishi!\But you're the one who told me about this in the first place, Takako! response:	I know...
context: You're telling me this now?\Didn't I tell you?\Don't rush the payment and\only pay them once you've confirmed that it's safe.\Y-Yeah, but...\Anyway, the contract is under your name, Enishi!\But you're the one who told me about this in the first place, Takako!\I know... response:	I know that...
context: Didn't I tell you?\Don't rush the payment and\only pay them once you've confirmed that it's safe.\Y-Yeah, but...\Anyway, the contract is under your name, Enishi!\But you're the one who told me about this in the first place, Takako!\I know...\I know that... response:	What's going to happen to the young master?
context: Don't rush the payment and\only pay them once you've confirmed that it's safe.\Y-Yeah, but...\Anyway, the contract is under your name, Enishi!\But you're the one who told me about this in the first place, Takako!\I know...\I know that...\What's going to happen to the young master? response:	I have no idea...
context: only pay them once you've confirmed that it's safe.\Y-Yeah, but...\Anyway, the contract is under your name, Enishi!\But you're the one who told me about this in the first place, Takako!\I know...\I know that...\What's going to happen to the young master?\I have no idea... response:	I did hear he paid them a lot of money, though.
context: Y-Yeah, but...\Anyway, the contract is under your name, Enishi!\But you're the one who told me about this in the first place, Takako!\I know...\I know that...\What's going to happen to the young master?\I have no idea...\I did hear he paid them a lot of money, though. response:	It's his fault for listening to that dumb woman.
context: Anyway, the contract is under your name, Enishi!\But you're the one who told me about this in the first place, Takako!\I know...\I know that...\What's going to happen to the young master?\I have no idea...\I did hear he paid them a lot of money, though.\It's his fault for listening to that dumb woman. response:	Don't say such things.
context: But you're the one who told me about this in the first place, Takako!\I know...\I know that...\What's going to happen to the young master?\I have no idea...\I did hear he paid them a lot of money, though.\It's his fault for listening to that dumb woman.\Don't say such things. response:	I get it!
context: I know...\I know that...\What's going to happen to the young master?\I have no idea...\I did hear he paid them a lot of money, though.\It's his fault for listening to that dumb woman.\Don't say such things.\I get it! response:	Isami Tetsuo.
context: I know that...\What's going to happen to the young master?\I have no idea...\I did hear he paid them a lot of money, though.\It's his fault for listening to that dumb woman.\Don't say such things.\I get it!\Isami Tetsuo. response:	The characters in his name must stand for,
context: What's going to happen to the young master?\I have no idea...\I did hear he paid them a lot of money, though.\It's his fault for listening to that dumb woman.\Don't say such things.\I get it!\Isami Tetsuo.\The characters in his name must stand for, response:	Stepping out of the ring and following someone's mistake!
context: I have no idea...\I did hear he paid them a lot of money, though.\It's his fault for listening to that dumb woman.\Don't say such things.\I get it!\Isami Tetsuo.\The characters in his name must stand for,\Stepping out of the ring and following someone's mistake! response:	I'll peel the white radish.
context: I did hear he paid them a lot of money, though.\It's his fault for listening to that dumb woman.\Don't say such things.\I get it!\Isami Tetsuo.\The characters in his name must stand for,\Stepping out of the ring and following someone's mistake!\I'll peel the white radish. response:	I knew that Tohru was tactless,
context: It's his fault for listening to that dumb woman.\Don't say such things.\I get it!\Isami Tetsuo.\The characters in his name must stand for,\Stepping out of the ring and following someone's mistake!\I'll peel the white radish.\I knew that Tohru was tactless, response:	but I still think that a good chef can be.
context: Don't say such things.\I get it!\Isami Tetsuo.\The characters in his name must stand for,\Stepping out of the ring and following someone's mistake!\I'll peel the white radish.\I knew that Tohru was tactless,\but I still think that a good chef can be. response:	Oops...
context: I get it!\Isami Tetsuo.\The characters in his name must stand for,\Stepping out of the ring and following someone's mistake!\I'll peel the white radish.\I knew that Tohru was tactless,\but I still think that a good chef can be.\Oops... response:	Hey...
context: Isami Tetsuo.\The characters in his name must stand for,\Stepping out of the ring and following someone's mistake!\I'll peel the white radish.\I knew that Tohru was tactless,\but I still think that a good chef can be.\Oops...\Hey... response:	Oh, did you hear? The movie's been called off.
context: The characters in his name must stand for,\Stepping out of the ring and following someone's mistake!\I'll peel the white radish.\I knew that Tohru was tactless,\but I still think that a good chef can be.\Oops...\Hey...\Oh, did you hear? The movie's been called off. response:	Too bad we didn't get to act in it.
context: Stepping out of the ring and following someone's mistake!\I'll peel the white radish.\I knew that Tohru was tactless,\but I still think that a good chef can be.\Oops...\Hey...\Oh, did you hear? The movie's been called off.\Too bad we didn't get to act in it. response:	Yeah.
context: I'll peel the white radish.\I knew that Tohru was tactless,\but I still think that a good chef can be.\Oops...\Hey...\Oh, did you hear? The movie's been called off.\Too bad we didn't get to act in it.\Yeah. response:	It's too bad.
