context: Hey, hey! A human's transformed into a monster! response:	There's no way I can punish him!
context: Jupiter, the Brawny Girl In Love\Awaken, oh great ruler.\With this supremely blissful energy,\return to life, my great ruler!\The energy of humans has revived me from my long sleep.\I have long awaited this day!\But at times,\my consciousness is still drawn into the depths of slumber. response:	Find the legendary Silver Crystal!
context: Awaken, oh great ruler.\With this supremely blissful energy,\return to life, my great ruler!\The energy of humans has revived me from my long sleep.\I have long awaited this day!\But at times,\my consciousness is still drawn into the depths of slumber.\Find the legendary Silver Crystal! response:	The legendary Silver Crystal is necessary
context: With this supremely blissful energy,\return to life, my great ruler!\The energy of humans has revived me from my long sleep.\I have long awaited this day!\But at times,\my consciousness is still drawn into the depths of slumber.\Find the legendary Silver Crystal!\The legendary Silver Crystal is necessary response:	for me to completely revive!
context: return to life, my great ruler!\The energy of humans has revived me from my long sleep.\I have long awaited this day!\But at times,\my consciousness is still drawn into the depths of slumber.\Find the legendary Silver Crystal!\The legendary Silver Crystal is necessary\for me to completely revive! response:	But we know nothing of its whereabouts.
context: The energy of humans has revived me from my long sleep.\I have long awaited this day!\But at times,\my consciousness is still drawn into the depths of slumber.\Find the legendary Silver Crystal!\The legendary Silver Crystal is necessary\for me to completely revive!\But we know nothing of its whereabouts. response:	When the Seven Monsters
context: I have long awaited this day!\But at times,\my consciousness is still drawn into the depths of slumber.\Find the legendary Silver Crystal!\The legendary Silver Crystal is necessary\for me to completely revive!\But we know nothing of its whereabouts.\When the Seven Monsters response:	have been revived along with the rainbow crystals,
context: But at times,\my consciousness is still drawn into the depths of slumber.\Find the legendary Silver Crystal!\The legendary Silver Crystal is necessary\for me to completely revive!\But we know nothing of its whereabouts.\When the Seven Monsters\have been revived along with the rainbow crystals, response:	the legendary Silver Crystal will shine!
context: my consciousness is still drawn into the depths of slumber.\Find the legendary Silver Crystal!\The legendary Silver Crystal is necessary\for me to completely revive!\But we know nothing of its whereabouts.\When the Seven Monsters\have been revived along with the rainbow crystals,\the legendary Silver Crystal will shine! response:	Oh, no, I'm late! I'm late!
context: Find the legendary Silver Crystal!\The legendary Silver Crystal is necessary\for me to completely revive!\But we know nothing of its whereabouts.\When the Seven Monsters\have been revived along with the rainbow crystals,\the legendary Silver Crystal will shine!\Oh, no, I'm late! I'm late! response:	Hey, Usagi! You forgot something!
context: The legendary Silver Crystal is necessary\for me to completely revive!\But we know nothing of its whereabouts.\When the Seven Monsters\have been revived along with the rainbow crystals,\the legendary Silver Crystal will shine!\Oh, no, I'm late! I'm late!\Hey, Usagi! You forgot something! response:	Oh, thanks! Can you bring it with you?!
context: for me to completely revive!\But we know nothing of its whereabouts.\When the Seven Monsters\have been revived along with the rainbow crystals,\the legendary Silver Crystal will shine!\Oh, no, I'm late! I'm late!\Hey, Usagi! You forgot something!\Oh, thanks! Can you bring it with you?! response:	Oh, ouch!
context: But we know nothing of its whereabouts.\When the Seven Monsters\have been revived along with the rainbow crystals,\the legendary Silver Crystal will shine!\Oh, no, I'm late! I'm late!\Hey, Usagi! You forgot something!\Oh, thanks! Can you bring it with you?!\Oh, ouch! response:	Ouch! Oh, ouch!
context: When the Seven Monsters\have been revived along with the rainbow crystals,\the legendary Silver Crystal will shine!\Oh, no, I'm late! I'm late!\Hey, Usagi! You forgot something!\Oh, thanks! Can you bring it with you?!\Oh, ouch!\Ouch! Oh, ouch! response:	Ouch!
context: have been revived along with the rainbow crystals,\the legendary Silver Crystal will shine!\Oh, no, I'm late! I'm late!\Hey, Usagi! You forgot something!\Oh, thanks! Can you bring it with you?!\Oh, ouch!\Ouch! Oh, ouch!\Ouch! response:	Sorry!
context: the legendary Silver Crystal will shine!\Oh, no, I'm late! I'm late!\Hey, Usagi! You forgot something!\Oh, thanks! Can you bring it with you?!\Oh, ouch!\Ouch! Oh, ouch!\Ouch!\Sorry! response:	You broke my leg! Ouch!
context: Oh, no, I'm late! I'm late!\Hey, Usagi! You forgot something!\Oh, thanks! Can you bring it with you?!\Oh, ouch!\Ouch! Oh, ouch!\Ouch!\Sorry!\You broke my leg! Ouch! response:	Yo! What're you gonna do about this, Missy?
context: Hey, Usagi! You forgot something!\Oh, thanks! Can you bring it with you?!\Oh, ouch!\Ouch! Oh, ouch!\Ouch!\Sorry!\You broke my leg! Ouch!\Yo! What're you gonna do about this, Missy? response:	Stop it!
context: Oh, thanks! Can you bring it with you?!\Oh, ouch!\Ouch! Oh, ouch!\Ouch!\Sorry!\You broke my leg! Ouch!\Yo! What're you gonna do about this, Missy?\Stop it! response:	What?! Stop it!
context: Oh, ouch!\Ouch! Oh, ouch!\Ouch!\Sorry!\You broke my leg! Ouch!\Yo! What're you gonna do about this, Missy?\Stop it!\What?! Stop it! response:	What?! I saw everything!
context: Ouch! Oh, ouch!\Ouch!\Sorry!\You broke my leg! Ouch!\Yo! What're you gonna do about this, Missy?\Stop it!\What?! Stop it!\What?! I saw everything! response:	I saw everything!
context: Ouch!\Sorry!\You broke my leg! Ouch!\Yo! What're you gonna do about this, Missy?\Stop it!\What?! Stop it!\What?! I saw everything!\I saw everything! response:	She just bumped into him, and you're getting on her case?
context: Sorry!\You broke my leg! Ouch!\Yo! What're you gonna do about this, Missy?\Stop it!\What?! Stop it!\What?! I saw everything!\I saw everything!\She just bumped into him, and you're getting on her case? response:	Talk about cheap.
context: You broke my leg! Ouch!\Yo! What're you gonna do about this, Missy?\Stop it!\What?! Stop it!\What?! I saw everything!\I saw everything!\She just bumped into him, and you're getting on her case?\Talk about cheap. response:	What did you say?!
context: Yo! What're you gonna do about this, Missy?\Stop it!\What?! Stop it!\What?! I saw everything!\I saw everything!\She just bumped into him, and you're getting on her case?\Talk about cheap.\What did you say?! response:	Hey, you might be a cutie,
context: Stop it!\What?! Stop it!\What?! I saw everything!\I saw everything!\She just bumped into him, and you're getting on her case?\Talk about cheap.\What did you say?!\Hey, you might be a cutie, response:	but you're not getting away with that!
context: What?! Stop it!\What?! I saw everything!\I saw everything!\She just bumped into him, and you're getting on her case?\Talk about cheap.\What did you say?!\Hey, you might be a cutie,\but you're not getting away with that! response:	You bitch!
context: What?! I saw everything!\I saw everything!\She just bumped into him, and you're getting on her case?\Talk about cheap.\What did you say?!\Hey, you might be a cutie,\but you're not getting away with that!\You bitch! response:	Amazing.
context: I saw everything!\She just bumped into him, and you're getting on her case?\Talk about cheap.\What did you say?!\Hey, you might be a cutie,\but you're not getting away with that!\You bitch!\Amazing. response:	Are you all right?
context: She just bumped into him, and you're getting on her case?\Talk about cheap.\What did you say?!\Hey, you might be a cutie,\but you're not getting away with that!\You bitch!\Amazing.\Are you all right? response:	Oh, yes! Are you all right?
context: Talk about cheap.\What did you say?!\Hey, you might be a cutie,\but you're not getting away with that!\You bitch!\Amazing.\Are you all right?\Oh, yes! Are you all right? response:	Oh, yes!
context: What did you say?!\Hey, you might be a cutie,\but you're not getting away with that!\You bitch!\Amazing.\Are you all right?\Oh, yes! Are you all right?\Oh, yes! response:	Be careful.
context: Hey, you might be a cutie,\but you're not getting away with that!\You bitch!\Amazing.\Are you all right?\Oh, yes! Are you all right?\Oh, yes!\Be careful. response:	A rose-shaped pierced earring. That's so nice.
context: but you're not getting away with that!\You bitch!\Amazing.\Are you all right?\Oh, yes! Are you all right?\Oh, yes!\Be careful.\A rose-shaped pierced earring. That's so nice. response:	When the Seven Monsters
context: You bitch!\Amazing.\Are you all right?\Oh, yes! Are you all right?\Oh, yes!\Be careful.\A rose-shaped pierced earring. That's so nice.\When the Seven Monsters response:	have been revived along with the rainbow crystals,
context: Amazing.\Are you all right?\Oh, yes! Are you all right?\Oh, yes!\Be careful.\A rose-shaped pierced earring. That's so nice.\When the Seven Monsters\have been revived along with the rainbow crystals, response:	the legendary Silver Crystal will shine!
context: Are you all right?\Oh, yes! Are you all right?\Oh, yes!\Be careful.\A rose-shaped pierced earring. That's so nice.\When the Seven Monsters\have been revived along with the rainbow crystals,\the legendary Silver Crystal will shine! response:	I seem to recall that a long time ago,
context: Oh, yes! Are you all right?\Oh, yes!\Be careful.\A rose-shaped pierced earring. That's so nice.\When the Seven Monsters\have been revived along with the rainbow crystals,\the legendary Silver Crystal will shine!\I seem to recall that a long time ago, response:	our allies, the great Seven Monsters,
context: Oh, yes!\Be careful.\A rose-shaped pierced earring. That's so nice.\When the Seven Monsters\have been revived along with the rainbow crystals,\the legendary Silver Crystal will shine!\I seem to recall that a long time ago,\our allies, the great Seven Monsters, response:	were sealed away by our old enemies.
context: Be careful.\A rose-shaped pierced earring. That's so nice.\When the Seven Monsters\have been revived along with the rainbow crystals,\the legendary Silver Crystal will shine!\I seem to recall that a long time ago,\our allies, the great Seven Monsters,\were sealed away by our old enemies. response:	Oh, our strongest warriors of legend, the Seven Monsters!
context: A rose-shaped pierced earring. That's so nice.\When the Seven Monsters\have been revived along with the rainbow crystals,\the legendary Silver Crystal will shine!\I seem to recall that a long time ago,\our allies, the great Seven Monsters,\were sealed away by our old enemies.\Oh, our strongest warriors of legend, the Seven Monsters! response:	Damn our hateful old enemies!
context: When the Seven Monsters\have been revived along with the rainbow crystals,\the legendary Silver Crystal will shine!\I seem to recall that a long time ago,\our allies, the great Seven Monsters,\were sealed away by our old enemies.\Oh, our strongest warriors of legend, the Seven Monsters!\Damn our hateful old enemies! response:	Into the seven shards of the legendary Silver Crystal,
context: have been revived along with the rainbow crystals,\the legendary Silver Crystal will shine!\I seem to recall that a long time ago,\our allies, the great Seven Monsters,\were sealed away by our old enemies.\Oh, our strongest warriors of legend, the Seven Monsters!\Damn our hateful old enemies!\Into the seven shards of the legendary Silver Crystal, response:	they sealed away the Seven Monsters,
context: the legendary Silver Crystal will shine!\I seem to recall that a long time ago,\our allies, the great Seven Monsters,\were sealed away by our old enemies.\Oh, our strongest warriors of legend, the Seven Monsters!\Damn our hateful old enemies!\Into the seven shards of the legendary Silver Crystal,\they sealed away the Seven Monsters, response:	and dropped them onto the Earth.
context: I seem to recall that a long time ago,\our allies, the great Seven Monsters,\were sealed away by our old enemies.\Oh, our strongest warriors of legend, the Seven Monsters!\Damn our hateful old enemies!\Into the seven shards of the legendary Silver Crystal,\they sealed away the Seven Monsters,\and dropped them onto the Earth. response:	And those seven shards are called the rainbow crystals.
context: our allies, the great Seven Monsters,\were sealed away by our old enemies.\Oh, our strongest warriors of legend, the Seven Monsters!\Damn our hateful old enemies!\Into the seven shards of the legendary Silver Crystal,\they sealed away the Seven Monsters,\and dropped them onto the Earth.\And those seven shards are called the rainbow crystals. response:	Rainbow crystals...
context: were sealed away by our old enemies.\Oh, our strongest warriors of legend, the Seven Monsters!\Damn our hateful old enemies!\Into the seven shards of the legendary Silver Crystal,\they sealed away the Seven Monsters,\and dropped them onto the Earth.\And those seven shards are called the rainbow crystals.\Rainbow crystals... response:	What of the Seven Monsters?
context: Oh, our strongest warriors of legend, the Seven Monsters!\Damn our hateful old enemies!\Into the seven shards of the legendary Silver Crystal,\they sealed away the Seven Monsters,\and dropped them onto the Earth.\And those seven shards are called the rainbow crystals.\Rainbow crystals...\What of the Seven Monsters? response:	They were reborn as human beings,
context: Damn our hateful old enemies!\Into the seven shards of the legendary Silver Crystal,\they sealed away the Seven Monsters,\and dropped them onto the Earth.\And those seven shards are called the rainbow crystals.\Rainbow crystals...\What of the Seven Monsters?\They were reborn as human beings, response:	and have lost their memory as monsters.
context: Into the seven shards of the legendary Silver Crystal,\they sealed away the Seven Monsters,\and dropped them onto the Earth.\And those seven shards are called the rainbow crystals.\Rainbow crystals...\What of the Seven Monsters?\They were reborn as human beings,\and have lost their memory as monsters. response:	I see.
context: they sealed away the Seven Monsters,\and dropped them onto the Earth.\And those seven shards are called the rainbow crystals.\Rainbow crystals...\What of the Seven Monsters?\They were reborn as human beings,\and have lost their memory as monsters.\I see. response:	So, if we recover the rainbow crystals from those human beings,
context: and dropped them onto the Earth.\And those seven shards are called the rainbow crystals.\Rainbow crystals...\What of the Seven Monsters?\They were reborn as human beings,\and have lost their memory as monsters.\I see.\So, if we recover the rainbow crystals from those human beings, response:	we can get a hold of the legendary Silver Crystal, correct?
context: And those seven shards are called the rainbow crystals.\Rainbow crystals...\What of the Seven Monsters?\They were reborn as human beings,\and have lost their memory as monsters.\I see.\So, if we recover the rainbow crystals from those human beings,\we can get a hold of the legendary Silver Crystal, correct? response:	Yes. And the strongest warriors, the Seven Monsters will also be revived.
context: Rainbow crystals...\What of the Seven Monsters?\They were reborn as human beings,\and have lost their memory as monsters.\I see.\So, if we recover the rainbow crystals from those human beings,\we can get a hold of the legendary Silver Crystal, correct?\Yes. And the strongest warriors, the Seven Monsters will also be revived. response:	I have modified it so it will only respond to the rainbow crystals.
context: What of the Seven Monsters?\They were reborn as human beings,\and have lost their memory as monsters.\I see.\So, if we recover the rainbow crystals from those human beings,\we can get a hold of the legendary Silver Crystal, correct?\Yes. And the strongest warriors, the Seven Monsters will also be revived.\I have modified it so it will only respond to the rainbow crystals. response:	Thank you.
context: They were reborn as human beings,\and have lost their memory as monsters.\I see.\So, if we recover the rainbow crystals from those human beings,\we can get a hold of the legendary Silver Crystal, correct?\Yes. And the strongest warriors, the Seven Monsters will also be revived.\I have modified it so it will only respond to the rainbow crystals.\Thank you. response:	Zoi!
context: and have lost their memory as monsters.\I see.\So, if we recover the rainbow crystals from those human beings,\we can get a hold of the legendary Silver Crystal, correct?\Yes. And the strongest warriors, the Seven Monsters will also be revived.\I have modified it so it will only respond to the rainbow crystals.\Thank you.\Zoi! response:	One of the rainbow crystals is in this man's body.
context: I see.\So, if we recover the rainbow crystals from those human beings,\we can get a hold of the legendary Silver Crystal, correct?\Yes. And the strongest warriors, the Seven Monsters will also be revived.\I have modified it so it will only respond to the rainbow crystals.\Thank you.\Zoi!\One of the rainbow crystals is in this man's body. response:	Hurry! Let's go! The seats will be taken!
context: So, if we recover the rainbow crystals from those human beings,\we can get a hold of the legendary Silver Crystal, correct?\Yes. And the strongest warriors, the Seven Monsters will also be revived.\I have modified it so it will only respond to the rainbow crystals.\Thank you.\Zoi!\One of the rainbow crystals is in this man's body.\Hurry! Let's go! The seats will be taken! response:	It's lunch time, lunch time. My tummy is groaning.
context: we can get a hold of the legendary Silver Crystal, correct?\Yes. And the strongest warriors, the Seven Monsters will also be revived.\I have modified it so it will only respond to the rainbow crystals.\Thank you.\Zoi!\One of the rainbow crystals is in this man's body.\Hurry! Let's go! The seats will be taken!\It's lunch time, lunch time. My tummy is groaning. response:	That's the girl with the rose-shaped pierced earrings!
context: Yes. And the strongest warriors, the Seven Monsters will also be revived.\I have modified it so it will only respond to the rainbow crystals.\Thank you.\Zoi!\One of the rainbow crystals is in this man's body.\Hurry! Let's go! The seats will be taken!\It's lunch time, lunch time. My tummy is groaning.\That's the girl with the rose-shaped pierced earrings! response:	Miss Usagi!
context: I have modified it so it will only respond to the rainbow crystals.\Thank you.\Zoi!\One of the rainbow crystals is in this man's body.\Hurry! Let's go! The seats will be taken!\It's lunch time, lunch time. My tummy is groaning.\That's the girl with the rose-shaped pierced earrings!\Miss Usagi! response:	Don't show up out of nowhere!
context: Thank you.\Zoi!\One of the rainbow crystals is in this man's body.\Hurry! Let's go! The seats will be taken!\It's lunch time, lunch time. My tummy is groaning.\That's the girl with the rose-shaped pierced earrings!\Miss Usagi!\Don't show up out of nowhere! response:	Oh, no, that girl transferred into Class 6 today.
context: Zoi!\One of the rainbow crystals is in this man's body.\Hurry! Let's go! The seats will be taken!\It's lunch time, lunch time. My tummy is groaning.\That's the girl with the rose-shaped pierced earrings!\Miss Usagi!\Don't show up out of nowhere!\Oh, no, that girl transferred into Class 6 today. response:	What?
context: One of the rainbow crystals is in this man's body.\Hurry! Let's go! The seats will be taken!\It's lunch time, lunch time. My tummy is groaning.\That's the girl with the rose-shaped pierced earrings!\Miss Usagi!\Don't show up out of nowhere!\Oh, no, that girl transferred into Class 6 today.\What? response:	Her name is Makoto Kino. She has enormous physical strength! What?
context: Hurry! Let's go! The seats will be taken!\It's lunch time, lunch time. My tummy is groaning.\That's the girl with the rose-shaped pierced earrings!\Miss Usagi!\Don't show up out of nowhere!\Oh, no, that girl transferred into Class 6 today.\What?\Her name is Makoto Kino. She has enormous physical strength! What? response:	Her name is Makoto Kino. She has enormous physical strength!
context: It's lunch time, lunch time. My tummy is groaning.\That's the girl with the rose-shaped pierced earrings!\Miss Usagi!\Don't show up out of nowhere!\Oh, no, that girl transferred into Class 6 today.\What?\Her name is Makoto Kino. She has enormous physical strength! What?\Her name is Makoto Kino. She has enormous physical strength! response:	Rumor is, she was kicked out of her previous school
context: That's the girl with the rose-shaped pierced earrings!\Miss Usagi!\Don't show up out of nowhere!\Oh, no, that girl transferred into Class 6 today.\What?\Her name is Makoto Kino. She has enormous physical strength! What?\Her name is Makoto Kino. She has enormous physical strength!\Rumor is, she was kicked out of her previous school response:	because she got into a fight.
context: Miss Usagi!\Don't show up out of nowhere!\Oh, no, that girl transferred into Class 6 today.\What?\Her name is Makoto Kino. She has enormous physical strength! What?\Her name is Makoto Kino. She has enormous physical strength!\Rumor is, she was kicked out of her previous school\because she got into a fight. response:	You'd better stay away from her, Miss Usagi. If you're not careful...
context: Don't show up out of nowhere!\Oh, no, that girl transferred into Class 6 today.\What?\Her name is Makoto Kino. She has enormous physical strength! What?\Her name is Makoto Kino. She has enormous physical strength!\Rumor is, she was kicked out of her previous school\because she got into a fight.\You'd better stay away from her, Miss Usagi. If you're not careful... response:	Huh?
context: Oh, no, that girl transferred into Class 6 today.\What?\Her name is Makoto Kino. She has enormous physical strength! What?\Her name is Makoto Kino. She has enormous physical strength!\Rumor is, she was kicked out of her previous school\because she got into a fight.\You'd better stay away from her, Miss Usagi. If you're not careful...\Huh? response:	Oh, Miss Usagi!
context: What?\Her name is Makoto Kino. She has enormous physical strength! What?\Her name is Makoto Kino. She has enormous physical strength!\Rumor is, she was kicked out of her previous school\because she got into a fight.\You'd better stay away from her, Miss Usagi. If you're not careful...\Huh?\Oh, Miss Usagi! response:	Wow! Her lunch looks so cute and yummy!
context: Her name is Makoto Kino. She has enormous physical strength! What?\Her name is Makoto Kino. She has enormous physical strength!\Rumor is, she was kicked out of her previous school\because she got into a fight.\You'd better stay away from her, Miss Usagi. If you're not careful...\Huh?\Oh, Miss Usagi!\Wow! Her lunch looks so cute and yummy! response:	Her pouch is adorable, too!
context: Her name is Makoto Kino. She has enormous physical strength!\Rumor is, she was kicked out of her previous school\because she got into a fight.\You'd better stay away from her, Miss Usagi. If you're not careful...\Huh?\Oh, Miss Usagi!\Wow! Her lunch looks so cute and yummy!\Her pouch is adorable, too! response:	Oh, those seasoned rice balls look so yummy!
context: Rumor is, she was kicked out of her previous school\because she got into a fight.\You'd better stay away from her, Miss Usagi. If you're not careful...\Huh?\Oh, Miss Usagi!\Wow! Her lunch looks so cute and yummy!\Her pouch is adorable, too!\Oh, those seasoned rice balls look so yummy! response:	Who's there?!
