context: Once upon a time, there was a young woman. response:	The young woman was to marry a groom chosen by her parents, and not her sweetheart, whom she loved.
context: I'm sorry.\Seriously, I'm telling you...\Ugh!\No way!\Huh? What?\Ahiru, you mustn't look right now!\This is a shock.\That's definitely... response:	What'd you do that for, all of a...
context: Seriously, I'm telling you...\Ugh!\No way!\Huh? What?\Ahiru, you mustn't look right now!\This is a shock.\That's definitely...\What'd you do that for, all of a... response:	No, Ahiru! There's something you mustn't look at RIGHT THERE, look!
context: Ugh!\No way!\Huh? What?\Ahiru, you mustn't look right now!\This is a shock.\That's definitely...\What'd you do that for, all of a...\No, Ahiru! There's something you mustn't look at RIGHT THERE, look! response:	Thank you!
context: No way!\Huh? What?\Ahiru, you mustn't look right now!\This is a shock.\That's definitely...\What'd you do that for, all of a...\No, Ahiru! There's something you mustn't look at RIGHT THERE, look!\Thank you! response:	Fakir...
context: Huh? What?\Ahiru, you mustn't look right now!\This is a shock.\That's definitely...\What'd you do that for, all of a...\No, Ahiru! There's something you mustn't look at RIGHT THERE, look!\Thank you!\Fakir... response:	He smiled!
context: Ahiru, you mustn't look right now!\This is a shock.\That's definitely...\What'd you do that for, all of a...\No, Ahiru! There's something you mustn't look at RIGHT THERE, look!\Thank you!\Fakir...\He smiled! response:	That totally ruins his bad-boy appeal!
context: This is a shock.\That's definitely...\What'd you do that for, all of a...\No, Ahiru! There's something you mustn't look at RIGHT THERE, look!\Thank you!\Fakir...\He smiled!\That totally ruins his bad-boy appeal! response:	That's right, we need him to become a full-fledged juvenile delinquent!
context: That's definitely...\What'd you do that for, all of a...\No, Ahiru! There's something you mustn't look at RIGHT THERE, look!\Thank you!\Fakir...\He smiled!\That totally ruins his bad-boy appeal!\That's right, we need him to become a full-fledged juvenile delinquent! response:	Who is this woman who can take the bite out of Fakir-sama?!
context: What'd you do that for, all of a...\No, Ahiru! There's something you mustn't look at RIGHT THERE, look!\Thank you!\Fakir...\He smiled!\That totally ruins his bad-boy appeal!\That's right, we need him to become a full-fledged juvenile delinquent!\Who is this woman who can take the bite out of Fakir-sama?! response:	Huh?
context: No, Ahiru! There's something you mustn't look at RIGHT THERE, look!\Thank you!\Fakir...\He smiled!\That totally ruins his bad-boy appeal!\That's right, we need him to become a full-fledged juvenile delinquent!\Who is this woman who can take the bite out of Fakir-sama?!\Huh? response:	An older-woman lover has made her appearance, huh!
context: Thank you!\Fakir...\He smiled!\That totally ruins his bad-boy appeal!\That's right, we need him to become a full-fledged juvenile delinquent!\Who is this woman who can take the bite out of Fakir-sama?!\Huh?\An older-woman lover has made her appearance, huh! response:	We still don't know that she's his lover!
context: Fakir...\He smiled!\That totally ruins his bad-boy appeal!\That's right, we need him to become a full-fledged juvenile delinquent!\Who is this woman who can take the bite out of Fakir-sama?!\Huh?\An older-woman lover has made her appearance, huh!\We still don't know that she's his lover! response:	That's right, you should have unreasonable hopes!
context: He smiled!\That totally ruins his bad-boy appeal!\That's right, we need him to become a full-fledged juvenile delinquent!\Who is this woman who can take the bite out of Fakir-sama?!\Huh?\An older-woman lover has made her appearance, huh!\We still don't know that she's his lover!\That's right, you should have unreasonable hopes! response:	You should make sure!
context: That totally ruins his bad-boy appeal!\That's right, we need him to become a full-fledged juvenile delinquent!\Who is this woman who can take the bite out of Fakir-sama?!\Huh?\An older-woman lover has made her appearance, huh!\We still don't know that she's his lover!\That's right, you should have unreasonable hopes!\You should make sure! response:	Be brave!
context: That's right, we need him to become a full-fledged juvenile delinquent!\Who is this woman who can take the bite out of Fakir-sama?!\Huh?\An older-woman lover has made her appearance, huh!\We still don't know that she's his lover!\That's right, you should have unreasonable hopes!\You should make sure!\Be brave! response:	Oh, my...
context: Who is this woman who can take the bite out of Fakir-sama?!\Huh?\An older-woman lover has made her appearance, huh!\We still don't know that she's his lover!\That's right, you should have unreasonable hopes!\You should make sure!\Be brave!\Oh, my... response:	Hey.
context: Huh?\An older-woman lover has made her appearance, huh!\We still don't know that she's his lover!\That's right, you should have unreasonable hopes!\You should make sure!\Be brave!\Oh, my...\Hey. response:	Oh, Fakir! Um...
context: An older-woman lover has made her appearance, huh!\We still don't know that she's his lover!\That's right, you should have unreasonable hopes!\You should make sure!\Be brave!\Oh, my...\Hey.\Oh, Fakir! Um... response:	Are you a friend of Fakir's?
context: We still don't know that she's his lover!\That's right, you should have unreasonable hopes!\You should make sure!\Be brave!\Oh, my...\Hey.\Oh, Fakir! Um...\Are you a friend of Fakir's? response:	She's calling her a friend right off the bat!
context: That's right, you should have unreasonable hopes!\You should make sure!\Be brave!\Oh, my...\Hey.\Oh, Fakir! Um...\Are you a friend of Fakir's?\She's calling her a friend right off the bat! response:	Well, that is...
context: You should make sure!\Be brave!\Oh, my...\Hey.\Oh, Fakir! Um...\Are you a friend of Fakir's?\She's calling her a friend right off the bat!\Well, that is... response:	Talk about the unfazed confidence of the adult woman!
context: Be brave!\Oh, my...\Hey.\Oh, Fakir! Um...\Are you a friend of Fakir's?\She's calling her a friend right off the bat!\Well, that is...\Talk about the unfazed confidence of the adult woman! response:	I don't know if you'd call me a friend or a... a... well...
context: Oh, my...\Hey.\Oh, Fakir! Um...\Are you a friend of Fakir's?\She's calling her a friend right off the bat!\Well, that is...\Talk about the unfazed confidence of the adult woman!\I don't know if you'd call me a friend or a... a... well... response:	Oh, it's like I can see Ahiru's crying face before me!
context: Hey.\Oh, Fakir! Um...\Are you a friend of Fakir's?\She's calling her a friend right off the bat!\Well, that is...\Talk about the unfazed confidence of the adult woman!\I don't know if you'd call me a friend or a... a... well...\Oh, it's like I can see Ahiru's crying face before me! response:	I can't sit here any longer.
context: Oh, Fakir! Um...\Are you a friend of Fakir's?\She's calling her a friend right off the bat!\Well, that is...\Talk about the unfazed confidence of the adult woman!\I don't know if you'd call me a friend or a... a... well...\Oh, it's like I can see Ahiru's crying face before me!\I can't sit here any longer. response:	We were all just on our way to the ice cream shop. Right?
context: Are you a friend of Fakir's?\She's calling her a friend right off the bat!\Well, that is...\Talk about the unfazed confidence of the adult woman!\I don't know if you'd call me a friend or a... a... well...\Oh, it's like I can see Ahiru's crying face before me!\I can't sit here any longer.\We were all just on our way to the ice cream shop. Right? response:	Huh?
context: She's calling her a friend right off the bat!\Well, that is...\Talk about the unfazed confidence of the adult woman!\I don't know if you'd call me a friend or a... a... well...\Oh, it's like I can see Ahiru's crying face before me!\I can't sit here any longer.\We were all just on our way to the ice cream shop. Right?\Huh? response:	Um, they were just here...
context: Well, that is...\Talk about the unfazed confidence of the adult woman!\I don't know if you'd call me a friend or a... a... well...\Oh, it's like I can see Ahiru's crying face before me!\I can't sit here any longer.\We were all just on our way to the ice cream shop. Right?\Huh?\Um, they were just here... response:	You're an interesting person.
context: Talk about the unfazed confidence of the adult woman!\I don't know if you'd call me a friend or a... a... well...\Oh, it's like I can see Ahiru's crying face before me!\I can't sit here any longer.\We were all just on our way to the ice cream shop. Right?\Huh?\Um, they were just here...\You're an interesting person. response:	I'm Raetsel. What's your name?
context: I don't know if you'd call me a friend or a... a... well...\Oh, it's like I can see Ahiru's crying face before me!\I can't sit here any longer.\We were all just on our way to the ice cream shop. Right?\Huh?\Um, they were just here...\You're an interesting person.\I'm Raetsel. What's your name? response:	I'm Ahiru.
context: Oh, it's like I can see Ahiru's crying face before me!\I can't sit here any longer.\We were all just on our way to the ice cream shop. Right?\Huh?\Um, they were just here...\You're an interesting person.\I'm Raetsel. What's your name?\I'm Ahiru. response:	Ahiru-san, we're going to Fakir's house now.
context: I can't sit here any longer.\We were all just on our way to the ice cream shop. Right?\Huh?\Um, they were just here...\You're an interesting person.\I'm Raetsel. What's your name?\I'm Ahiru.\Ahiru-san, we're going to Fakir's house now. response:	Come along with us.
context: We were all just on our way to the ice cream shop. Right?\Huh?\Um, they were just here...\You're an interesting person.\I'm Raetsel. What's your name?\I'm Ahiru.\Ahiru-san, we're going to Fakir's house now.\Come along with us. response:	What?
context: Huh?\Um, they were just here...\You're an interesting person.\I'm Raetsel. What's your name?\I'm Ahiru.\Ahiru-san, we're going to Fakir's house now.\Come along with us.\What? response:	Raetsel.
context: Um, they were just here...\You're an interesting person.\I'm Raetsel. What's your name?\I'm Ahiru.\Ahiru-san, we're going to Fakir's house now.\Come along with us.\What?\Raetsel. response:	Oh, why not?
context: You're an interesting person.\I'm Raetsel. What's your name?\I'm Ahiru.\Ahiru-san, we're going to Fakir's house now.\Come along with us.\What?\Raetsel.\Oh, why not? response:	Right?
context: I'm Raetsel. What's your name?\I'm Ahiru.\Ahiru-san, we're going to Fakir's house now.\Come along with us.\What?\Raetsel.\Oh, why not?\Right? response:	I'm impressed you found out where I was.
context: I'm Ahiru.\Ahiru-san, we're going to Fakir's house now.\Come along with us.\What?\Raetsel.\Oh, why not?\Right?\I'm impressed you found out where I was. response:	You can't hide anything from me, Fakir.
context: Ahiru-san, we're going to Fakir's house now.\Come along with us.\What?\Raetsel.\Oh, why not?\Right?\I'm impressed you found out where I was.\You can't hide anything from me, Fakir. response:	In our house there's still...
context: Come along with us.\What?\Raetsel.\Oh, why not?\Right?\I'm impressed you found out where I was.\You can't hide anything from me, Fakir.\In our house there's still... response:	It's been a long time, hasn't it Karon?
context: What?\Raetsel.\Oh, why not?\Right?\I'm impressed you found out where I was.\You can't hide anything from me, Fakir.\In our house there's still...\It's been a long time, hasn't it Karon? response:	Raetsel!
context: Raetsel.\Oh, why not?\Right?\I'm impressed you found out where I was.\You can't hide anything from me, Fakir.\In our house there's still...\It's been a long time, hasn't it Karon?\Raetsel! response:	I can come in, right?
context: Oh, why not?\Right?\I'm impressed you found out where I was.\You can't hide anything from me, Fakir.\In our house there's still...\It's been a long time, hasn't it Karon?\Raetsel!\I can come in, right? response:	Sure.
context: Right?\I'm impressed you found out where I was.\You can't hide anything from me, Fakir.\In our house there's still...\It's been a long time, hasn't it Karon?\Raetsel!\I can come in, right?\Sure. response:	Who do you go well together with zura?
context: I'm impressed you found out where I was.\You can't hide anything from me, Fakir.\In our house there's still...\It's been a long time, hasn't it Karon?\Raetsel!\I can come in, right?\Sure.\Who do you go well together with zura? response:	What?
context: You can't hide anything from me, Fakir.\In our house there's still...\It's been a long time, hasn't it Karon?\Raetsel!\I can come in, right?\Sure.\Who do you go well together with zura?\What? response:	It's a new lovey-dovey zura!
context: In our house there's still...\It's been a long time, hasn't it Karon?\Raetsel!\I can come in, right?\Sure.\Who do you go well together with zura?\What?\It's a new lovey-dovey zura! response:	Karon, this isn't your...
context: It's been a long time, hasn't it Karon?\Raetsel!\I can come in, right?\Sure.\Who do you go well together with zura?\What?\It's a new lovey-dovey zura!\Karon, this isn't your... response:	I don't think I've seen you since Mytho and I entered Gold Crown Academy.
context: Raetsel!\I can come in, right?\Sure.\Who do you go well together with zura?\What?\It's a new lovey-dovey zura!\Karon, this isn't your...\I don't think I've seen you since Mytho and I entered Gold Crown Academy. response:	That's right. I was really lonely then.
context: I can come in, right?\Sure.\Who do you go well together with zura?\What?\It's a new lovey-dovey zura!\Karon, this isn't your...\I don't think I've seen you since Mytho and I entered Gold Crown Academy.\That's right. I was really lonely then. response:	Here.
context: Sure.\Who do you go well together with zura?\What?\It's a new lovey-dovey zura!\Karon, this isn't your...\I don't think I've seen you since Mytho and I entered Gold Crown Academy.\That's right. I was really lonely then.\Here. response:	Oh, thanks.
context: Who do you go well together with zura?\What?\It's a new lovey-dovey zura!\Karon, this isn't your...\I don't think I've seen you since Mytho and I entered Gold Crown Academy.\That's right. I was really lonely then.\Here.\Oh, thanks. response:	It's all right, I'm like an older sister to Fakir.
context: What?\It's a new lovey-dovey zura!\Karon, this isn't your...\I don't think I've seen you since Mytho and I entered Gold Crown Academy.\That's right. I was really lonely then.\Here.\Oh, thanks.\It's all right, I'm like an older sister to Fakir. response:	Older sister?
context: It's a new lovey-dovey zura!\Karon, this isn't your...\I don't think I've seen you since Mytho and I entered Gold Crown Academy.\That's right. I was really lonely then.\Here.\Oh, thanks.\It's all right, I'm like an older sister to Fakir.\Older sister? response:	I mean, no, I wasn't really...
context: Karon, this isn't your...\I don't think I've seen you since Mytho and I entered Gold Crown Academy.\That's right. I was really lonely then.\Here.\Oh, thanks.\It's all right, I'm like an older sister to Fakir.\Older sister?\I mean, no, I wasn't really... response:	Ever since my parents died and I was taken in by Karon, she's been like a surrogate mother to me.
context: I don't think I've seen you since Mytho and I entered Gold Crown Academy.\That's right. I was really lonely then.\Here.\Oh, thanks.\It's all right, I'm like an older sister to Fakir.\Older sister?\I mean, no, I wasn't really...\Ever since my parents died and I was taken in by Karon, she's been like a surrogate mother to me. response:	Is older sister different from lovey-dovey zura?
context: That's right. I was really lonely then.\Here.\Oh, thanks.\It's all right, I'm like an older sister to Fakir.\Older sister?\I mean, no, I wasn't really...\Ever since my parents died and I was taken in by Karon, she's been like a surrogate mother to me.\Is older sister different from lovey-dovey zura? response:	Then is Raetsel lovey-dovey with Kar...
context: Here.\Oh, thanks.\It's all right, I'm like an older sister to Fakir.\Older sister?\I mean, no, I wasn't really...\Ever since my parents died and I was taken in by Karon, she's been like a surrogate mother to me.\Is older sister different from lovey-dovey zura?\Then is Raetsel lovey-dovey with Kar... response:	Hey, Uzura!
context: Oh, thanks.\It's all right, I'm like an older sister to Fakir.\Older sister?\I mean, no, I wasn't really...\Ever since my parents died and I was taken in by Karon, she's been like a surrogate mother to me.\Is older sister different from lovey-dovey zura?\Then is Raetsel lovey-dovey with Kar...\Hey, Uzura! response:	Lovey-dovey! Lovey-dovey!
context: It's all right, I'm like an older sister to Fakir.\Older sister?\I mean, no, I wasn't really...\Ever since my parents died and I was taken in by Karon, she's been like a surrogate mother to me.\Is older sister different from lovey-dovey zura?\Then is Raetsel lovey-dovey with Kar...\Hey, Uzura!\Lovey-dovey! Lovey-dovey! response:	How flattering. Do we look like that?
context: Older sister?\I mean, no, I wasn't really...\Ever since my parents died and I was taken in by Karon, she's been like a surrogate mother to me.\Is older sister different from lovey-dovey zura?\Then is Raetsel lovey-dovey with Kar...\Hey, Uzura!\Lovey-dovey! Lovey-dovey!\How flattering. Do we look like that? response:	That would be nice.
context: I mean, no, I wasn't really...\Ever since my parents died and I was taken in by Karon, she's been like a surrogate mother to me.\Is older sister different from lovey-dovey zura?\Then is Raetsel lovey-dovey with Kar...\Hey, Uzura!\Lovey-dovey! Lovey-dovey!\How flattering. Do we look like that?\That would be nice. response:	You shouldn't tease adults.
context: Ever since my parents died and I was taken in by Karon, she's been like a surrogate mother to me.\Is older sister different from lovey-dovey zura?\Then is Raetsel lovey-dovey with Kar...\Hey, Uzura!\Lovey-dovey! Lovey-dovey!\How flattering. Do we look like that?\That would be nice.\You shouldn't tease adults. response:	You're going to treat me like a child, as always?
context: Is older sister different from lovey-dovey zura?\Then is Raetsel lovey-dovey with Kar...\Hey, Uzura!\Lovey-dovey! Lovey-dovey!\How flattering. Do we look like that?\That would be nice.\You shouldn't tease adults.\You're going to treat me like a child, as always? response:	I'm at an age where it wouldn't be odd if I married somebody, you know.
context: Then is Raetsel lovey-dovey with Kar...\Hey, Uzura!\Lovey-dovey! Lovey-dovey!\How flattering. Do we look like that?\That would be nice.\You shouldn't tease adults.\You're going to treat me like a child, as always?\I'm at an age where it wouldn't be odd if I married somebody, you know. response:	To me, you haven't changed one bit.
context: Hey, Uzura!\Lovey-dovey! Lovey-dovey!\How flattering. Do we look like that?\That would be nice.\You shouldn't tease adults.\You're going to treat me like a child, as always?\I'm at an age where it wouldn't be odd if I married somebody, you know.\To me, you haven't changed one bit. response:	You're just like when you were romping around with Fakir and Mytho.
context: Lovey-dovey! Lovey-dovey!\How flattering. Do we look like that?\That would be nice.\You shouldn't tease adults.\You're going to treat me like a child, as always?\I'm at an age where it wouldn't be odd if I married somebody, you know.\To me, you haven't changed one bit.\You're just like when you were romping around with Fakir and Mytho. response:	That reminds me, where is Mytho?
context: How flattering. Do we look like that?\That would be nice.\You shouldn't tease adults.\You're going to treat me like a child, as always?\I'm at an age where it wouldn't be odd if I married somebody, you know.\To me, you haven't changed one bit.\You're just like when you were romping around with Fakir and Mytho.\That reminds me, where is Mytho? response:	Oh, yeah, he's at school. He's completely wrapped up in his dancing.
context: That would be nice.\You shouldn't tease adults.\You're going to treat me like a child, as always?\I'm at an age where it wouldn't be odd if I married somebody, you know.\To me, you haven't changed one bit.\You're just like when you were romping around with Fakir and Mytho.\That reminds me, where is Mytho?\Oh, yeah, he's at school. He's completely wrapped up in his dancing. response:	But you always used to be with him, saying, I'll protect Mytho!
context: You shouldn't tease adults.\You're going to treat me like a child, as always?\I'm at an age where it wouldn't be odd if I married somebody, you know.\To me, you haven't changed one bit.\You're just like when you were romping around with Fakir and Mytho.\That reminds me, where is Mytho?\Oh, yeah, he's at school. He's completely wrapped up in his dancing.\But you always used to be with him, saying, I'll protect Mytho! response:	I WILL protect him!
context: You're going to treat me like a child, as always?\I'm at an age where it wouldn't be odd if I married somebody, you know.\To me, you haven't changed one bit.\You're just like when you were romping around with Fakir and Mytho.\That reminds me, where is Mytho?\Oh, yeah, he's at school. He's completely wrapped up in his dancing.\But you always used to be with him, saying, I'll protect Mytho!\I WILL protect him! response:	You're staying the night, right?
context: I'm at an age where it wouldn't be odd if I married somebody, you know.\To me, you haven't changed one bit.\You're just like when you were romping around with Fakir and Mytho.\That reminds me, where is Mytho?\Oh, yeah, he's at school. He's completely wrapped up in his dancing.\But you always used to be with him, saying, I'll protect Mytho!\I WILL protect him!\You're staying the night, right? response:	No, that's okay. I plan to stay at the water mill.
context: To me, you haven't changed one bit.\You're just like when you were romping around with Fakir and Mytho.\That reminds me, where is Mytho?\Oh, yeah, he's at school. He's completely wrapped up in his dancing.\But you always used to be with him, saying, I'll protect Mytho!\I WILL protect him!\You're staying the night, right?\No, that's okay. I plan to stay at the water mill. response:	I'll walk you there, then.
context: You're just like when you were romping around with Fakir and Mytho.\That reminds me, where is Mytho?\Oh, yeah, he's at school. He's completely wrapped up in his dancing.\But you always used to be with him, saying, I'll protect Mytho!\I WILL protect him!\You're staying the night, right?\No, that's okay. I plan to stay at the water mill.\I'll walk you there, then. response:	Thank you, but I think I'd like to take a little walk with Ahiru-san.
context: That reminds me, where is Mytho?\Oh, yeah, he's at school. He's completely wrapped up in his dancing.\But you always used to be with him, saying, I'll protect Mytho!\I WILL protect him!\You're staying the night, right?\No, that's okay. I plan to stay at the water mill.\I'll walk you there, then.\Thank you, but I think I'd like to take a little walk with Ahiru-san. response:	What?
context: Oh, yeah, he's at school. He's completely wrapped up in his dancing.\But you always used to be with him, saying, I'll protect Mytho!\I WILL protect him!\You're staying the night, right?\No, that's okay. I plan to stay at the water mill.\I'll walk you there, then.\Thank you, but I think I'd like to take a little walk with Ahiru-san.\What? response:	I'm a tiny bit jealous.
context: But you always used to be with him, saying, I'll protect Mytho!\I WILL protect him!\You're staying the night, right?\No, that's okay. I plan to stay at the water mill.\I'll walk you there, then.\Thank you, but I think I'd like to take a little walk with Ahiru-san.\What?\I'm a tiny bit jealous. response:	Huh?
context: I WILL protect him!\You're staying the night, right?\No, that's okay. I plan to stay at the water mill.\I'll walk you there, then.\Thank you, but I think I'd like to take a little walk with Ahiru-san.\What?\I'm a tiny bit jealous.\Huh? response:	Fakir with a girl as cute as you...
context: You're staying the night, right?\No, that's okay. I plan to stay at the water mill.\I'll walk you there, then.\Thank you, but I think I'd like to take a little walk with Ahiru-san.\What?\I'm a tiny bit jealous.\Huh?\Fakir with a girl as cute as you... response:	Oh, no, I'm not cute at all!
context: No, that's okay. I plan to stay at the water mill.\I'll walk you there, then.\Thank you, but I think I'd like to take a little walk with Ahiru-san.\What?\I'm a tiny bit jealous.\Huh?\Fakir with a girl as cute as you...\Oh, no, I'm not cute at all! response:	And I'm always fighting with Fakir, actually sometimes I just can't STAND him...
context: I'll walk you there, then.\Thank you, but I think I'd like to take a little walk with Ahiru-san.\What?\I'm a tiny bit jealous.\Huh?\Fakir with a girl as cute as you...\Oh, no, I'm not cute at all!\And I'm always fighting with Fakir, actually sometimes I just can't STAND him... response:	I wonder if it's thanks to you that Fakir has changed.
context: Thank you, but I think I'd like to take a little walk with Ahiru-san.\What?\I'm a tiny bit jealous.\Huh?\Fakir with a girl as cute as you...\Oh, no, I'm not cute at all!\And I'm always fighting with Fakir, actually sometimes I just can't STAND him...\I wonder if it's thanks to you that Fakir has changed. response:	Say, is Fakir writing stories?
context: What?\I'm a tiny bit jealous.\Huh?\Fakir with a girl as cute as you...\Oh, no, I'm not cute at all!\And I'm always fighting with Fakir, actually sometimes I just can't STAND him...\I wonder if it's thanks to you that Fakir has changed.\Say, is Fakir writing stories? response:	Stories?
context: I'm a tiny bit jealous.\Huh?\Fakir with a girl as cute as you...\Oh, no, I'm not cute at all!\And I'm always fighting with Fakir, actually sometimes I just can't STAND him...\I wonder if it's thanks to you that Fakir has changed.\Say, is Fakir writing stories?\Stories? response:	The stories that boy wrote sometimes came true.
context: Huh?\Fakir with a girl as cute as you...\Oh, no, I'm not cute at all!\And I'm always fighting with Fakir, actually sometimes I just can't STAND him...\I wonder if it's thanks to you that Fakir has changed.\Say, is Fakir writing stories?\Stories?\The stories that boy wrote sometimes came true. response:	What? Stories came true?
context: Fakir with a girl as cute as you...\Oh, no, I'm not cute at all!\And I'm always fighting with Fakir, actually sometimes I just can't STAND him...\I wonder if it's thanks to you that Fakir has changed.\Say, is Fakir writing stories?\Stories?\The stories that boy wrote sometimes came true.\What? Stories came true? response:	He loved to write stories from the time when he was very small.
context: Oh, no, I'm not cute at all!\And I'm always fighting with Fakir, actually sometimes I just can't STAND him...\I wonder if it's thanks to you that Fakir has changed.\Say, is Fakir writing stories?\Stories?\The stories that boy wrote sometimes came true.\What? Stories came true?\He loved to write stories from the time when he was very small. response:	They were just silly little stories, but sometimes parts of them came true.
context: And I'm always fighting with Fakir, actually sometimes I just can't STAND him...\I wonder if it's thanks to you that Fakir has changed.\Say, is Fakir writing stories?\Stories?\The stories that boy wrote sometimes came true.\What? Stories came true?\He loved to write stories from the time when he was very small.\They were just silly little stories, but sometimes parts of them came true. response:	But after he came to Karon's house, he completely stopped writing.
context: I wonder if it's thanks to you that Fakir has changed.\Say, is Fakir writing stories?\Stories?\The stories that boy wrote sometimes came true.\What? Stories came true?\He loved to write stories from the time when he was very small.\They were just silly little stories, but sometimes parts of them came true.\But after he came to Karon's house, he completely stopped writing. response:	Raetsel-san?
