context: Shinjurou... response:	I can't hold on any longer...
context: Can't see anything, don't know anything, but I'll still go\To the place of shining light in which you wait\Episode Eleven\I'm Just Searching\Inspired by Sneering Demon and Red Trap from Ango Sakaguchi's Meijikaika Ango Torimonochou (Meiji-era Detective Stories) and from I Give Reason\I thought Kaishou wasn't on any cameras at the TV station...\That's what Diet Member Kuramitsu had us say.\AD response:	Motoyama's Assistant
context: To the place of shining light in which you wait\Episode Eleven\I'm Just Searching\Inspired by Sneering Demon and Red Trap from Ango Sakaguchi's Meijikaika Ango Torimonochou (Meiji-era Detective Stories) and from I Give Reason\I thought Kaishou wasn't on any cameras at the TV station...\That's what Diet Member Kuramitsu had us say.\AD\Motoyama's Assistant response:	This was delivered.
context: Episode Eleven\I'm Just Searching\Inspired by Sneering Demon and Red Trap from Ango Sakaguchi's Meijikaika Ango Torimonochou (Meiji-era Detective Stories) and from I Give Reason\I thought Kaishou wasn't on any cameras at the TV station...\That's what Diet Member Kuramitsu had us say.\AD\Motoyama's Assistant\This was delivered. response:	Don't tell me Kaishou Rinroku is alive?
context: I'm Just Searching\Inspired by Sneering Demon and Red Trap from Ango Sakaguchi's Meijikaika Ango Torimonochou (Meiji-era Detective Stories) and from I Give Reason\I thought Kaishou wasn't on any cameras at the TV station...\That's what Diet Member Kuramitsu had us say.\AD\Motoyama's Assistant\This was delivered.\Don't tell me Kaishou Rinroku is alive? response:	Motoyama Minami
context: Inspired by Sneering Demon and Red Trap from Ango Sakaguchi's Meijikaika Ango Torimonochou (Meiji-era Detective Stories) and from I Give Reason\I thought Kaishou wasn't on any cameras at the TV station...\That's what Diet Member Kuramitsu had us say.\AD\Motoyama's Assistant\This was delivered.\Don't tell me Kaishou Rinroku is alive?\Motoyama Minami response:	Television Producer
context: I thought Kaishou wasn't on any cameras at the TV station...\That's what Diet Member Kuramitsu had us say.\AD\Motoyama's Assistant\This was delivered.\Don't tell me Kaishou Rinroku is alive?\Motoyama Minami\Television Producer response:	Yuuki Shijurou
context: That's what Diet Member Kuramitsu had us say.\AD\Motoyama's Assistant\This was delivered.\Don't tell me Kaishou Rinroku is alive?\Motoyama Minami\Television Producer\Yuuki Shijurou response:	Detective
context: AD\Motoyama's Assistant\This was delivered.\Don't tell me Kaishou Rinroku is alive?\Motoyama Minami\Television Producer\Yuuki Shijurou\Detective response:	Yes, that is what my father said.
context: Motoyama's Assistant\This was delivered.\Don't tell me Kaishou Rinroku is alive?\Motoyama Minami\Television Producer\Yuuki Shijurou\Detective\Yes, that is what my father said. response:	Rie, I was definitely at home, wasn't I?
context: This was delivered.\Don't tell me Kaishou Rinroku is alive?\Motoyama Minami\Television Producer\Yuuki Shijurou\Detective\Yes, that is what my father said.\Rie, I was definitely at home, wasn't I? response:	How many times must we go over this?
context: Don't tell me Kaishou Rinroku is alive?\Motoyama Minami\Television Producer\Yuuki Shijurou\Detective\Yes, that is what my father said.\Rie, I was definitely at home, wasn't I?\How many times must we go over this? response:	Please leave.
context: Motoyama Minami\Television Producer\Yuuki Shijurou\Detective\Yes, that is what my father said.\Rie, I was definitely at home, wasn't I?\How many times must we go over this?\Please leave. response:	Kaishou Rie
context: Television Producer\Yuuki Shijurou\Detective\Yes, that is what my father said.\Rie, I was definitely at home, wasn't I?\How many times must we go over this?\Please leave.\Kaishou Rie response:	Daughter of Kaishou Rinroku, Lives at Home
context: Yuuki Shijurou\Detective\Yes, that is what my father said.\Rie, I was definitely at home, wasn't I?\How many times must we go over this?\Please leave.\Kaishou Rie\Daughter of Kaishou Rinroku, Lives at Home response:	Kaishou Family Maid (Head Maid)
context: Detective\Yes, that is what my father said.\Rie, I was definitely at home, wasn't I?\How many times must we go over this?\Please leave.\Kaishou Rie\Daughter of Kaishou Rinroku, Lives at Home\Kaishou Family Maid (Head Maid) response:	Kaishou Family Maid
context: Yes, that is what my father said.\Rie, I was definitely at home, wasn't I?\How many times must we go over this?\Please leave.\Kaishou Rie\Daughter of Kaishou Rinroku, Lives at Home\Kaishou Family Maid (Head Maid)\Kaishou Family Maid response:	Wait, Detective!
context: Rie, I was definitely at home, wasn't I?\How many times must we go over this?\Please leave.\Kaishou Rie\Daughter of Kaishou Rinroku, Lives at Home\Kaishou Family Maid (Head Maid)\Kaishou Family Maid\Wait, Detective! response:	Was this delivered to you, too?
context: How many times must we go over this?\Please leave.\Kaishou Rie\Daughter of Kaishou Rinroku, Lives at Home\Kaishou Family Maid (Head Maid)\Kaishou Family Maid\Wait, Detective!\Was this delivered to you, too? response:	Did the hospital provide Kaishou Rinroku's DNA to verify his remains?
context: Please leave.\Kaishou Rie\Daughter of Kaishou Rinroku, Lives at Home\Kaishou Family Maid (Head Maid)\Kaishou Family Maid\Wait, Detective!\Was this delivered to you, too?\Did the hospital provide Kaishou Rinroku's DNA to verify his remains? response:	No.
context: Kaishou Rie\Daughter of Kaishou Rinroku, Lives at Home\Kaishou Family Maid (Head Maid)\Kaishou Family Maid\Wait, Detective!\Was this delivered to you, too?\Did the hospital provide Kaishou Rinroku's DNA to verify his remains?\No. response:	She did, from my father's brush.
context: Daughter of Kaishou Rinroku, Lives at Home\Kaishou Family Maid (Head Maid)\Kaishou Family Maid\Wait, Detective!\Was this delivered to you, too?\Did the hospital provide Kaishou Rinroku's DNA to verify his remains?\No.\She did, from my father's brush. response:	That's right. Self-interest.
context: Kaishou Family Maid (Head Maid)\Kaishou Family Maid\Wait, Detective!\Was this delivered to you, too?\Did the hospital provide Kaishou Rinroku's DNA to verify his remains?\No.\She did, from my father's brush.\That's right. Self-interest. response:	If solar power generation is nationalized, Kaishou Rinroku won't be able to
context: Kaishou Family Maid\Wait, Detective!\Was this delivered to you, too?\Did the hospital provide Kaishou Rinroku's DNA to verify his remains?\No.\She did, from my father's brush.\That's right. Self-interest.\If solar power generation is nationalized, Kaishou Rinroku won't be able to response:	profit from the electric utility industry that he introduced to the market.
context: Wait, Detective!\Was this delivered to you, too?\Did the hospital provide Kaishou Rinroku's DNA to verify his remains?\No.\She did, from my father's brush.\That's right. Self-interest.\If solar power generation is nationalized, Kaishou Rinroku won't be able to\profit from the electric utility industry that he introduced to the market. response:	Nationalize Solar Power!
context: Was this delivered to you, too?\Did the hospital provide Kaishou Rinroku's DNA to verify his remains?\No.\She did, from my father's brush.\That's right. Self-interest.\If solar power generation is nationalized, Kaishou Rinroku won't be able to\profit from the electric utility industry that he introduced to the market.\Nationalize Solar Power! response:	But he's passed on.
context: Did the hospital provide Kaishou Rinroku's DNA to verify his remains?\No.\She did, from my father's brush.\That's right. Self-interest.\If solar power generation is nationalized, Kaishou Rinroku won't be able to\profit from the electric utility industry that he introduced to the market.\Nationalize Solar Power!\But he's passed on. response:	Is that divine retribution?
context: No.\She did, from my father's brush.\That's right. Self-interest.\If solar power generation is nationalized, Kaishou Rinroku won't be able to\profit from the electric utility industry that he introduced to the market.\Nationalize Solar Power!\But he's passed on.\Is that divine retribution? response:	Our generation can create a smart grid environment and solar power plants,
context: She did, from my father's brush.\That's right. Self-interest.\If solar power generation is nationalized, Kaishou Rinroku won't be able to\profit from the electric utility industry that he introduced to the market.\Nationalize Solar Power!\But he's passed on.\Is that divine retribution?\Our generation can create a smart grid environment and solar power plants, response:	Kuramitsu Mine
context: That's right. Self-interest.\If solar power generation is nationalized, Kaishou Rinroku won't be able to\profit from the electric utility industry that he introduced to the market.\Nationalize Solar Power!\But he's passed on.\Is that divine retribution?\Our generation can create a smart grid environment and solar power plants,\Kuramitsu Mine response:	New Diet Member
context: If solar power generation is nationalized, Kaishou Rinroku won't be able to\profit from the electric utility industry that he introduced to the market.\Nationalize Solar Power!\But he's passed on.\Is that divine retribution?\Our generation can create a smart grid environment and solar power plants,\Kuramitsu Mine\New Diet Member response:	making Japan a great nation, the world's leader in renewable energy!
context: profit from the electric utility industry that he introduced to the market.\Nationalize Solar Power!\But he's passed on.\Is that divine retribution?\Our generation can create a smart grid environment and solar power plants,\Kuramitsu Mine\New Diet Member\making Japan a great nation, the world's leader in renewable energy! response:	Oh, you mean this?
context: Nationalize Solar Power!\But he's passed on.\Is that divine retribution?\Our generation can create a smart grid environment and solar power plants,\Kuramitsu Mine\New Diet Member\making Japan a great nation, the world's leader in renewable energy!\Oh, you mean this? response:	I don't think it's possible to accept the invitation, but just in case...
context: But he's passed on.\Is that divine retribution?\Our generation can create a smart grid environment and solar power plants,\Kuramitsu Mine\New Diet Member\making Japan a great nation, the world's leader in renewable energy!\Oh, you mean this?\I don't think it's possible to accept the invitation, but just in case... response:	But it makes me wonder who would pull a prank like this.
context: Is that divine retribution?\Our generation can create a smart grid environment and solar power plants,\Kuramitsu Mine\New Diet Member\making Japan a great nation, the world's leader in renewable energy!\Oh, you mean this?\I don't think it's possible to accept the invitation, but just in case...\But it makes me wonder who would pull a prank like this. response:	Kaishou Rinroku's ghost, indeed!
context: Our generation can create a smart grid environment and solar power plants,\Kuramitsu Mine\New Diet Member\making Japan a great nation, the world's leader in renewable energy!\Oh, you mean this?\I don't think it's possible to accept the invitation, but just in case...\But it makes me wonder who would pull a prank like this.\Kaishou Rinroku's ghost, indeed! response:	Miss Kaishou!
context: Kuramitsu Mine\New Diet Member\making Japan a great nation, the world's leader in renewable energy!\Oh, you mean this?\I don't think it's possible to accept the invitation, but just in case...\But it makes me wonder who would pull a prank like this.\Kaishou Rinroku's ghost, indeed!\Miss Kaishou! response:	I tried to stop her, but...
context: New Diet Member\making Japan a great nation, the world's leader in renewable energy!\Oh, you mean this?\I don't think it's possible to accept the invitation, but just in case...\But it makes me wonder who would pull a prank like this.\Kaishou Rinroku's ghost, indeed!\Miss Kaishou!\I tried to stop her, but... response:	Your father has definitely passed away.
context: making Japan a great nation, the world's leader in renewable energy!\Oh, you mean this?\I don't think it's possible to accept the invitation, but just in case...\But it makes me wonder who would pull a prank like this.\Kaishou Rinroku's ghost, indeed!\Miss Kaishou!\I tried to stop her, but...\Your father has definitely passed away. response:	Hayami Seigen
context: Oh, you mean this?\I don't think it's possible to accept the invitation, but just in case...\But it makes me wonder who would pull a prank like this.\Kaishou Rinroku's ghost, indeed!\Miss Kaishou!\I tried to stop her, but...\Your father has definitely passed away.\Hayami Seigen response:	Director of the Security Bureau Metropolitan Police Dept.
context: I don't think it's possible to accept the invitation, but just in case...\But it makes me wonder who would pull a prank like this.\Kaishou Rinroku's ghost, indeed!\Miss Kaishou!\I tried to stop her, but...\Your father has definitely passed away.\Hayami Seigen\Director of the Security Bureau Metropolitan Police Dept. response:	Koyama Izumi
context: But it makes me wonder who would pull a prank like this.\Kaishou Rinroku's ghost, indeed!\Miss Kaishou!\I tried to stop her, but...\Your father has definitely passed away.\Hayami Seigen\Director of the Security Bureau Metropolitan Police Dept.\Koyama Izumi response:	Public Prosecutor Joint Coordinating Dept. Public Prosecutor's Office
context: Kaishou Rinroku's ghost, indeed!\Miss Kaishou!\I tried to stop her, but...\Your father has definitely passed away.\Hayami Seigen\Director of the Security Bureau Metropolitan Police Dept.\Koyama Izumi\Public Prosecutor Joint Coordinating Dept. Public Prosecutor's Office response:	But I want to know who is using his name.
context: Miss Kaishou!\I tried to stop her, but...\Your father has definitely passed away.\Hayami Seigen\Director of the Security Bureau Metropolitan Police Dept.\Koyama Izumi\Public Prosecutor Joint Coordinating Dept. Public Prosecutor's Office\But I want to know who is using his name. response:	This is in extremely poor taste!
context: I tried to stop her, but...\Your father has definitely passed away.\Hayami Seigen\Director of the Security Bureau Metropolitan Police Dept.\Koyama Izumi\Public Prosecutor Joint Coordinating Dept. Public Prosecutor's Office\But I want to know who is using his name.\This is in extremely poor taste! response:	You always see it on TV.
context: Your father has definitely passed away.\Hayami Seigen\Director of the Security Bureau Metropolitan Police Dept.\Koyama Izumi\Public Prosecutor Joint Coordinating Dept. Public Prosecutor's Office\But I want to know who is using his name.\This is in extremely poor taste!\You always see it on TV. response:	Fuwa Jujirou
context: Hayami Seigen\Director of the Security Bureau Metropolitan Police Dept.\Koyama Izumi\Public Prosecutor Joint Coordinating Dept. Public Prosecutor's Office\But I want to know who is using his name.\This is in extremely poor taste!\You always see it on TV.\Fuwa Jujirou response:	Victims summoned to the scene of the crime.
context: Director of the Security Bureau Metropolitan Police Dept.\Koyama Izumi\Public Prosecutor Joint Coordinating Dept. Public Prosecutor's Office\But I want to know who is using his name.\This is in extremely poor taste!\You always see it on TV.\Fuwa Jujirou\Victims summoned to the scene of the crime. response:	This isn't for a show!
context: Koyama Izumi\Public Prosecutor Joint Coordinating Dept. Public Prosecutor's Office\But I want to know who is using his name.\This is in extremely poor taste!\You always see it on TV.\Fuwa Jujirou\Victims summoned to the scene of the crime.\This isn't for a show! response:	I was called here, too.
context: Public Prosecutor Joint Coordinating Dept. Public Prosecutor's Office\But I want to know who is using his name.\This is in extremely poor taste!\You always see it on TV.\Fuwa Jujirou\Victims summoned to the scene of the crime.\This isn't for a show!\I was called here, too. response:	An invitation to a party,
context: But I want to know who is using his name.\This is in extremely poor taste!\You always see it on TV.\Fuwa Jujirou\Victims summoned to the scene of the crime.\This isn't for a show!\I was called here, too.\An invitation to a party, response:	Mihara Yasutarou
context: This is in extremely poor taste!\You always see it on TV.\Fuwa Jujirou\Victims summoned to the scene of the crime.\This isn't for a show!\I was called here, too.\An invitation to a party,\Mihara Yasutarou response:	Member of the Public Security Force, Commanded by Mizuno
context: You always see it on TV.\Fuwa Jujirou\Victims summoned to the scene of the crime.\This isn't for a show!\I was called here, too.\An invitation to a party,\Mihara Yasutarou\Member of the Public Security Force, Commanded by Mizuno response:	in which the real person behind the bombing will be rooted out.
context: Fuwa Jujirou\Victims summoned to the scene of the crime.\This isn't for a show!\I was called here, too.\An invitation to a party,\Mihara Yasutarou\Member of the Public Security Force, Commanded by Mizuno\in which the real person behind the bombing will be rooted out. response:	W-What are you doing here?
context: Victims summoned to the scene of the crime.\This isn't for a show!\I was called here, too.\An invitation to a party,\Mihara Yasutarou\Member of the Public Security Force, Commanded by Mizuno\in which the real person behind the bombing will be rooted out.\W-What are you doing here? response:	Did you set this up?!
context: This isn't for a show!\I was called here, too.\An invitation to a party,\Mihara Yasutarou\Member of the Public Security Force, Commanded by Mizuno\in which the real person behind the bombing will be rooted out.\W-What are you doing here?\Did you set this up?! response:	You too...?
context: I was called here, too.\An invitation to a party,\Mihara Yasutarou\Member of the Public Security Force, Commanded by Mizuno\in which the real person behind the bombing will be rooted out.\W-What are you doing here?\Did you set this up?!\You too...? response:	All right, everyone.
context: An invitation to a party,\Mihara Yasutarou\Member of the Public Security Force, Commanded by Mizuno\in which the real person behind the bombing will be rooted out.\W-What are you doing here?\Did you set this up?!\You too...?\All right, everyone. response:	Why don't we all take our seats?
context: Mihara Yasutarou\Member of the Public Security Force, Commanded by Mizuno\in which the real person behind the bombing will be rooted out.\W-What are you doing here?\Did you set this up?!\You too...?\All right, everyone.\Why don't we all take our seats? response:	The party is going to begin.
context: Member of the Public Security Force, Commanded by Mizuno\in which the real person behind the bombing will be rooted out.\W-What are you doing here?\Did you set this up?!\You too...?\All right, everyone.\Why don't we all take our seats?\The party is going to begin. response:	Yuuki Shinjurou
context: in which the real person behind the bombing will be rooted out.\W-What are you doing here?\Did you set this up?!\You too...?\All right, everyone.\Why don't we all take our seats?\The party is going to begin.\Yuuki Shinjurou response:	Defeated Detective!
context: W-What are you doing here?\Did you set this up?!\You too...?\All right, everyone.\Why don't we all take our seats?\The party is going to begin.\Yuuki Shinjurou\Defeated Detective! response:	It wasn't enough you drove Chairman Kaishou to commit suicide?!
context: Did you set this up?!\You too...?\All right, everyone.\Why don't we all take our seats?\The party is going to begin.\Yuuki Shinjurou\Defeated Detective!\It wasn't enough you drove Chairman Kaishou to commit suicide?! response:	Now this farce...?!
context: You too...?\All right, everyone.\Why don't we all take our seats?\The party is going to begin.\Yuuki Shinjurou\Defeated Detective!\It wasn't enough you drove Chairman Kaishou to commit suicide?!\Now this farce...?! response:	I was called here, too.
context: All right, everyone.\Why don't we all take our seats?\The party is going to begin.\Yuuki Shinjurou\Defeated Detective!\It wasn't enough you drove Chairman Kaishou to commit suicide?!\Now this farce...?!\I was called here, too. response:	In other words, a crime is going to occur.
context: Why don't we all take our seats?\The party is going to begin.\Yuuki Shinjurou\Defeated Detective!\It wasn't enough you drove Chairman Kaishou to commit suicide?!\Now this farce...?!\I was called here, too.\In other words, a crime is going to occur. response:	And a major crime at that...
context: The party is going to begin.\Yuuki Shinjurou\Defeated Detective!\It wasn't enough you drove Chairman Kaishou to commit suicide?!\Now this farce...?!\I was called here, too.\In other words, a crime is going to occur.\And a major crime at that... response:	What major crime?!
context: Yuuki Shinjurou\Defeated Detective!\It wasn't enough you drove Chairman Kaishou to commit suicide?!\Now this farce...?!\I was called here, too.\In other words, a crime is going to occur.\And a major crime at that...\What major crime?! response:	Fuwa Jujirou
context: Defeated Detective!\It wasn't enough you drove Chairman Kaishou to commit suicide?!\Now this farce...?!\I was called here, too.\In other words, a crime is going to occur.\And a major crime at that...\What major crime?!\Fuwa Jujirou response:	Entrepreneur
context: It wasn't enough you drove Chairman Kaishou to commit suicide?!\Now this farce...?!\I was called here, too.\In other words, a crime is going to occur.\And a major crime at that...\What major crime?!\Fuwa Jujirou\Entrepreneur response:	Kaishou tried to murder us, and when he was exposed, he killed himself.
context: Now this farce...?!\I was called here, too.\In other words, a crime is going to occur.\And a major crime at that...\What major crime?!\Fuwa Jujirou\Entrepreneur\Kaishou tried to murder us, and when he was exposed, he killed himself. response:	The crimes are over...
context: I was called here, too.\In other words, a crime is going to occur.\And a major crime at that...\What major crime?!\Fuwa Jujirou\Entrepreneur\Kaishou tried to murder us, and when he was exposed, he killed himself.\The crimes are over... response:	It's the real thing!
context: In other words, a crime is going to occur.\And a major crime at that...\What major crime?!\Fuwa Jujirou\Entrepreneur\Kaishou tried to murder us, and when he was exposed, he killed himself.\The crimes are over...\It's the real thing! response:	What does my father...
context: And a major crime at that...\What major crime?!\Fuwa Jujirou\Entrepreneur\Kaishou tried to murder us, and when he was exposed, he killed himself.\The crimes are over...\It's the real thing!\What does my father... response:	I mean, what does the organizer of this party want?
context: What major crime?!\Fuwa Jujirou\Entrepreneur\Kaishou tried to murder us, and when he was exposed, he killed himself.\The crimes are over...\It's the real thing!\What does my father...\I mean, what does the organizer of this party want? response:	I'm not sure. But how about this?
context: Fuwa Jujirou\Entrepreneur\Kaishou tried to murder us, and when he was exposed, he killed himself.\The crimes are over...\It's the real thing!\What does my father...\I mean, what does the organizer of this party want?\I'm not sure. But how about this? response:	Revenge against the person who framed Kaishou Rinroku.
context: Entrepreneur\Kaishou tried to murder us, and when he was exposed, he killed himself.\The crimes are over...\It's the real thing!\What does my father...\I mean, what does the organizer of this party want?\I'm not sure. But how about this?\Revenge against the person who framed Kaishou Rinroku. response:	Revenge?!
context: Kaishou tried to murder us, and when he was exposed, he killed himself.\The crimes are over...\It's the real thing!\What does my father...\I mean, what does the organizer of this party want?\I'm not sure. But how about this?\Revenge against the person who framed Kaishou Rinroku.\Revenge?! response:	Are we supposed to kill each other with these weapons
context: The crimes are over...\It's the real thing!\What does my father...\I mean, what does the organizer of this party want?\I'm not sure. But how about this?\Revenge against the person who framed Kaishou Rinroku.\Revenge?!\Are we supposed to kill each other with these weapons response:	until the real criminal is found?!
context: It's the real thing!\What does my father...\I mean, what does the organizer of this party want?\I'm not sure. But how about this?\Revenge against the person who framed Kaishou Rinroku.\Revenge?!\Are we supposed to kill each other with these weapons\until the real criminal is found?! response:	In that case, you should be the first one to go!
context: What does my father...\I mean, what does the organizer of this party want?\I'm not sure. But how about this?\Revenge against the person who framed Kaishou Rinroku.\Revenge?!\Are we supposed to kill each other with these weapons\until the real criminal is found?!\In that case, you should be the first one to go! response:	I admit that my deductions were wrong.
context: I mean, what does the organizer of this party want?\I'm not sure. But how about this?\Revenge against the person who framed Kaishou Rinroku.\Revenge?!\Are we supposed to kill each other with these weapons\until the real criminal is found?!\In that case, you should be the first one to go!\I admit that my deductions were wrong. response:	I gracefully admit it...
context: I'm not sure. But how about this?\Revenge against the person who framed Kaishou Rinroku.\Revenge?!\Are we supposed to kill each other with these weapons\until the real criminal is found?!\In that case, you should be the first one to go!\I admit that my deductions were wrong.\I gracefully admit it... response:	What do you mean?
context: Revenge against the person who framed Kaishou Rinroku.\Revenge?!\Are we supposed to kill each other with these weapons\until the real criminal is found?!\In that case, you should be the first one to go!\I admit that my deductions were wrong.\I gracefully admit it...\What do you mean? response:	When the explosion happened here, the real Mr. Kaishou was at home,
context: Revenge?!\Are we supposed to kill each other with these weapons\until the real criminal is found?!\In that case, you should be the first one to go!\I admit that my deductions were wrong.\I gracefully admit it...\What do you mean?\When the explosion happened here, the real Mr. Kaishou was at home, response:	while the one who showed up at the TV station was an impostor.
context: Are we supposed to kill each other with these weapons\until the real criminal is found?!\In that case, you should be the first one to go!\I admit that my deductions were wrong.\I gracefully admit it...\What do you mean?\When the explosion happened here, the real Mr. Kaishou was at home,\while the one who showed up at the TV station was an impostor. response:	It was all done through the power of Bettenou.
context: until the real criminal is found?!\In that case, you should be the first one to go!\I admit that my deductions were wrong.\I gracefully admit it...\What do you mean?\When the explosion happened here, the real Mr. Kaishou was at home,\while the one who showed up at the TV station was an impostor.\It was all done through the power of Bettenou. response:	That's what I figured...
context: In that case, you should be the first one to go!\I admit that my deductions were wrong.\I gracefully admit it...\What do you mean?\When the explosion happened here, the real Mr. Kaishou was at home,\while the one who showed up at the TV station was an impostor.\It was all done through the power of Bettenou.\That's what I figured... response:	No, it's what I was made to figure.
context: I admit that my deductions were wrong.\I gracefully admit it...\What do you mean?\When the explosion happened here, the real Mr. Kaishou was at home,\while the one who showed up at the TV station was an impostor.\It was all done through the power of Bettenou.\That's what I figured...\No, it's what I was made to figure. response:	Yuuki Shinjurou will definitely deduce the presence of Bettenou.
