context: Miketsukami response:	This is Darjeeling.
context: as literal reincarnations of the ancestors,\and were to be carefully raised, to bring more fortune to the family.\At least, that was the common belief.\However, there was another, darker belief.\In the Miketsukami family,\which carries the blood of the evil nine-tailed fox, kyuubi,\the family believed that it would gain power through the control\of the reincarnation housing this immense power. response:	Thus, I was put under house arrest. Enshrined, if you will.
context: and were to be carefully raised, to bring more fortune to the family.\At least, that was the common belief.\However, there was another, darker belief.\In the Miketsukami family,\which carries the blood of the evil nine-tailed fox, kyuubi,\the family believed that it would gain power through the control\of the reincarnation housing this immense power.\Thus, I was put under house arrest. Enshrined, if you will. response:	I was allowed to attend school, under strict supervision.
context: At least, that was the common belief.\However, there was another, darker belief.\In the Miketsukami family,\which carries the blood of the evil nine-tailed fox, kyuubi,\the family believed that it would gain power through the control\of the reincarnation housing this immense power.\Thus, I was put under house arrest. Enshrined, if you will.\I was allowed to attend school, under strict supervision. response:	But otherwise, this room was my everything.
context: However, there was another, darker belief.\In the Miketsukami family,\which carries the blood of the evil nine-tailed fox, kyuubi,\the family believed that it would gain power through the control\of the reincarnation housing this immense power.\Thus, I was put under house arrest. Enshrined, if you will.\I was allowed to attend school, under strict supervision.\But otherwise, this room was my everything. response:	Everyone pretended not to see anything unusual
context: In the Miketsukami family,\which carries the blood of the evil nine-tailed fox, kyuubi,\the family believed that it would gain power through the control\of the reincarnation housing this immense power.\Thus, I was put under house arrest. Enshrined, if you will.\I was allowed to attend school, under strict supervision.\But otherwise, this room was my everything.\Everyone pretended not to see anything unusual response:	in these strange circumstances.
context: which carries the blood of the evil nine-tailed fox, kyuubi,\the family believed that it would gain power through the control\of the reincarnation housing this immense power.\Thus, I was put under house arrest. Enshrined, if you will.\I was allowed to attend school, under strict supervision.\But otherwise, this room was my everything.\Everyone pretended not to see anything unusual\in these strange circumstances. response:	I must have had parents, but I never formally met them.
context: the family believed that it would gain power through the control\of the reincarnation housing this immense power.\Thus, I was put under house arrest. Enshrined, if you will.\I was allowed to attend school, under strict supervision.\But otherwise, this room was my everything.\Everyone pretended not to see anything unusual\in these strange circumstances.\I must have had parents, but I never formally met them. response:	That is the type of house it was.
context: of the reincarnation housing this immense power.\Thus, I was put under house arrest. Enshrined, if you will.\I was allowed to attend school, under strict supervision.\But otherwise, this room was my everything.\Everyone pretended not to see anything unusual\in these strange circumstances.\I must have had parents, but I never formally met them.\That is the type of house it was. response:	Every household with supernatural creature blood feels a bit like a cult,
context: Thus, I was put under house arrest. Enshrined, if you will.\I was allowed to attend school, under strict supervision.\But otherwise, this room was my everything.\Everyone pretended not to see anything unusual\in these strange circumstances.\I must have had parents, but I never formally met them.\That is the type of house it was.\Every household with supernatural creature blood feels a bit like a cult, response:	but I was too young to rebel against that distortion.
context: I was allowed to attend school, under strict supervision.\But otherwise, this room was my everything.\Everyone pretended not to see anything unusual\in these strange circumstances.\I must have had parents, but I never formally met them.\That is the type of house it was.\Every household with supernatural creature blood feels a bit like a cult,\but I was too young to rebel against that distortion. response:	All I had was
context: But otherwise, this room was my everything.\Everyone pretended not to see anything unusual\in these strange circumstances.\I must have had parents, but I never formally met them.\That is the type of house it was.\Every household with supernatural creature blood feels a bit like a cult,\but I was too young to rebel against that distortion.\All I had was response:	the knowledge I could glean from school,
context: Everyone pretended not to see anything unusual\in these strange circumstances.\I must have had parents, but I never formally met them.\That is the type of house it was.\Every household with supernatural creature blood feels a bit like a cult,\but I was too young to rebel against that distortion.\All I had was\the knowledge I could glean from school, response:	the cunning I was born with,
context: in these strange circumstances.\I must have had parents, but I never formally met them.\That is the type of house it was.\Every household with supernatural creature blood feels a bit like a cult,\but I was too young to rebel against that distortion.\All I had was\the knowledge I could glean from school,\the cunning I was born with, response:	and my own self.
context: I must have had parents, but I never formally met them.\That is the type of house it was.\Every household with supernatural creature blood feels a bit like a cult,\but I was too young to rebel against that distortion.\All I had was\the knowledge I could glean from school,\the cunning I was born with,\and my own self. response:	At first, it was the maid.
context: That is the type of house it was.\Every household with supernatural creature blood feels a bit like a cult,\but I was too young to rebel against that distortion.\All I had was\the knowledge I could glean from school,\the cunning I was born with,\and my own self.\At first, it was the maid. response:	Playing a lonely, vulnerable boy,
context: Every household with supernatural creature blood feels a bit like a cult,\but I was too young to rebel against that distortion.\All I had was\the knowledge I could glean from school,\the cunning I was born with,\and my own self.\At first, it was the maid.\Playing a lonely, vulnerable boy, response:	starved for physical contact,
context: but I was too young to rebel against that distortion.\All I had was\the knowledge I could glean from school,\the cunning I was born with,\and my own self.\At first, it was the maid.\Playing a lonely, vulnerable boy,\starved for physical contact, response:	sufficed to convince most women to lower their guard.
context: All I had was\the knowledge I could glean from school,\the cunning I was born with,\and my own self.\At first, it was the maid.\Playing a lonely, vulnerable boy,\starved for physical contact,\sufficed to convince most women to lower their guard. response:	After that, I needed only to worm my way into their hearts.
context: the knowledge I could glean from school,\the cunning I was born with,\and my own self.\At first, it was the maid.\Playing a lonely, vulnerable boy,\starved for physical contact,\sufficed to convince most women to lower their guard.\After that, I needed only to worm my way into their hearts. response:	From there, I branched out,
context: the cunning I was born with,\and my own self.\At first, it was the maid.\Playing a lonely, vulnerable boy,\starved for physical contact,\sufficed to convince most women to lower their guard.\After that, I needed only to worm my way into their hearts.\From there, I branched out, response:	each time moving on to more powerful women.
context: and my own self.\At first, it was the maid.\Playing a lonely, vulnerable boy,\starved for physical contact,\sufficed to convince most women to lower their guard.\After that, I needed only to worm my way into their hearts.\From there, I branched out,\each time moving on to more powerful women. response:	Miketsukami
context: At first, it was the maid.\Playing a lonely, vulnerable boy,\starved for physical contact,\sufficed to convince most women to lower their guard.\After that, I needed only to worm my way into their hearts.\From there, I branched out,\each time moving on to more powerful women.\Miketsukami response:	Soushi, I'm leaving soon.
context: Playing a lonely, vulnerable boy,\starved for physical contact,\sufficed to convince most women to lower their guard.\After that, I needed only to worm my way into their hearts.\From there, I branched out,\each time moving on to more powerful women.\Miketsukami\Soushi, I'm leaving soon. response:	And then, finally,
context: starved for physical contact,\sufficed to convince most women to lower their guard.\After that, I needed only to worm my way into their hearts.\From there, I branched out,\each time moving on to more powerful women.\Miketsukami\Soushi, I'm leaving soon.\And then, finally, response:	I reached the most powerful woman of the house.
context: sufficed to convince most women to lower their guard.\After that, I needed only to worm my way into their hearts.\From there, I branched out,\each time moving on to more powerful women.\Miketsukami\Soushi, I'm leaving soon.\And then, finally,\I reached the most powerful woman of the house. response:	It was easy to earn her favor.
context: After that, I needed only to worm my way into their hearts.\From there, I branched out,\each time moving on to more powerful women.\Miketsukami\Soushi, I'm leaving soon.\And then, finally,\I reached the most powerful woman of the house.\It was easy to earn her favor. response:	She had no children,
context: From there, I branched out,\each time moving on to more powerful women.\Miketsukami\Soushi, I'm leaving soon.\And then, finally,\I reached the most powerful woman of the house.\It was easy to earn her favor.\She had no children, response:	and her husband had come to ignore her.
context: each time moving on to more powerful women.\Miketsukami\Soushi, I'm leaving soon.\And then, finally,\I reached the most powerful woman of the house.\It was easy to earn her favor.\She had no children,\and her husband had come to ignore her. response:	She was lonely.
context: Miketsukami\Soushi, I'm leaving soon.\And then, finally,\I reached the most powerful woman of the house.\It was easy to earn her favor.\She had no children,\and her husband had come to ignore her.\She was lonely. response:	Stop that.
context: Soushi, I'm leaving soon.\And then, finally,\I reached the most powerful woman of the house.\It was easy to earn her favor.\She had no children,\and her husband had come to ignore her.\She was lonely.\Stop that. response:	I had only to treat her as a woman.
context: And then, finally,\I reached the most powerful woman of the house.\It was easy to earn her favor.\She had no children,\and her husband had come to ignore her.\She was lonely.\Stop that.\I had only to treat her as a woman. response:	For time, money, and I
context: I reached the most powerful woman of the house.\It was easy to earn her favor.\She had no children,\and her husband had come to ignore her.\She was lonely.\Stop that.\I had only to treat her as a woman.\For time, money, and I response:	I'm going to be late.
context: It was easy to earn her favor.\She had no children,\and her husband had come to ignore her.\She was lonely.\Stop that.\I had only to treat her as a woman.\For time, money, and I\I'm going to be late. response:	were abundantly available.
context: She had no children,\and her husband had come to ignore her.\She was lonely.\Stop that.\I had only to treat her as a woman.\For time, money, and I\I'm going to be late.\were abundantly available. response:	As her pet, I gained freedom.
context: and her husband had come to ignore her.\She was lonely.\Stop that.\I had only to treat her as a woman.\For time, money, and I\I'm going to be late.\were abundantly available.\As her pet, I gained freedom. response:	From being with her,
context: She was lonely.\Stop that.\I had only to treat her as a woman.\For time, money, and I\I'm going to be late.\were abundantly available.\As her pet, I gained freedom.\From being with her, response:	I gained experience, luxury, and refinement.
context: Stop that.\I had only to treat her as a woman.\For time, money, and I\I'm going to be late.\were abundantly available.\As her pet, I gained freedom.\From being with her,\I gained experience, luxury, and refinement. response:	But I did not plan to stop there.
context: I had only to treat her as a woman.\For time, money, and I\I'm going to be late.\were abundantly available.\As her pet, I gained freedom.\From being with her,\I gained experience, luxury, and refinement.\But I did not plan to stop there. response:	I wished for true freedom.
context: For time, money, and I\I'm going to be late.\were abundantly available.\As her pet, I gained freedom.\From being with her,\I gained experience, luxury, and refinement.\But I did not plan to stop there.\I wished for true freedom. response:	A year later, my wish was granted.
context: I'm going to be late.\were abundantly available.\As her pet, I gained freedom.\From being with her,\I gained experience, luxury, and refinement.\But I did not plan to stop there.\I wished for true freedom.\A year later, my wish was granted. response:	I saw my chance at a party I attended with my lady.
context: were abundantly available.\As her pet, I gained freedom.\From being with her,\I gained experience, luxury, and refinement.\But I did not plan to stop there.\I wished for true freedom.\A year later, my wish was granted.\I saw my chance at a party I attended with my lady. response:	Someone whose family
context: As her pet, I gained freedom.\From being with her,\I gained experience, luxury, and refinement.\But I did not plan to stop there.\I wished for true freedom.\A year later, my wish was granted.\I saw my chance at a party I attended with my lady.\Someone whose family response:	was more powerful than the Miketsukami family.
context: From being with her,\I gained experience, luxury, and refinement.\But I did not plan to stop there.\I wished for true freedom.\A year later, my wish was granted.\I saw my chance at a party I attended with my lady.\Someone whose family\was more powerful than the Miketsukami family. response:	I found it in a woman with a keen sense of justice.
context: I gained experience, luxury, and refinement.\But I did not plan to stop there.\I wished for true freedom.\A year later, my wish was granted.\I saw my chance at a party I attended with my lady.\Someone whose family\was more powerful than the Miketsukami family.\I found it in a woman with a keen sense of justice. response:	She was kind and helpful.
context: But I did not plan to stop there.\I wished for true freedom.\A year later, my wish was granted.\I saw my chance at a party I attended with my lady.\Someone whose family\was more powerful than the Miketsukami family.\I found it in a woman with a keen sense of justice.\She was kind and helpful. response:	She had too much free time,
context: I wished for true freedom.\A year later, my wish was granted.\I saw my chance at a party I attended with my lady.\Someone whose family\was more powerful than the Miketsukami family.\I found it in a woman with a keen sense of justice.\She was kind and helpful.\She had too much free time, response:	and a tendency to be intrusive.
context: A year later, my wish was granted.\I saw my chance at a party I attended with my lady.\Someone whose family\was more powerful than the Miketsukami family.\I found it in a woman with a keen sense of justice.\She was kind and helpful.\She had too much free time,\and a tendency to be intrusive. response:	I understand.
context: I saw my chance at a party I attended with my lady.\Someone whose family\was more powerful than the Miketsukami family.\I found it in a woman with a keen sense of justice.\She was kind and helpful.\She had too much free time,\and a tendency to be intrusive.\I understand. response:	So this is what has been happening in the Miketsukami house?
context: Someone whose family\was more powerful than the Miketsukami family.\I found it in a woman with a keen sense of justice.\She was kind and helpful.\She had too much free time,\and a tendency to be intrusive.\I understand.\So this is what has been happening in the Miketsukami house? response:	This business will probably get complicated,
context: was more powerful than the Miketsukami family.\I found it in a woman with a keen sense of justice.\She was kind and helpful.\She had too much free time,\and a tendency to be intrusive.\I understand.\So this is what has been happening in the Miketsukami house?\This business will probably get complicated, response:	but you don't have to worry any longer.
context: I found it in a woman with a keen sense of justice.\She was kind and helpful.\She had too much free time,\and a tendency to be intrusive.\I understand.\So this is what has been happening in the Miketsukami house?\This business will probably get complicated,\but you don't have to worry any longer. response:	You have been through quite a lot.
context: She was kind and helpful.\She had too much free time,\and a tendency to be intrusive.\I understand.\So this is what has been happening in the Miketsukami house?\This business will probably get complicated,\but you don't have to worry any longer.\You have been through quite a lot. response:	Yes.
context: She had too much free time,\and a tendency to be intrusive.\I understand.\So this is what has been happening in the Miketsukami house?\This business will probably get complicated,\but you don't have to worry any longer.\You have been through quite a lot.\Yes. response:	It looked as though she pitied me enough.
context: and a tendency to be intrusive.\I understand.\So this is what has been happening in the Miketsukami house?\This business will probably get complicated,\but you don't have to worry any longer.\You have been through quite a lot.\Yes.\It looked as though she pitied me enough. response:	I will... I will finally be set free?
context: I understand.\So this is what has been happening in the Miketsukami house?\This business will probably get complicated,\but you don't have to worry any longer.\You have been through quite a lot.\Yes.\It looked as though she pitied me enough.\I will... I will finally be set free? response:	Since the entire family is complicit in this imprisonment,
context: So this is what has been happening in the Miketsukami house?\This business will probably get complicated,\but you don't have to worry any longer.\You have been through quite a lot.\Yes.\It looked as though she pitied me enough.\I will... I will finally be set free?\Since the entire family is complicit in this imprisonment, response:	there's no one I can even speak with.
context: This business will probably get complicated,\but you don't have to worry any longer.\You have been through quite a lot.\Yes.\It looked as though she pitied me enough.\I will... I will finally be set free?\Since the entire family is complicit in this imprisonment,\there's no one I can even speak with. response:	You can come live with us.
context: but you don't have to worry any longer.\You have been through quite a lot.\Yes.\It looked as though she pitied me enough.\I will... I will finally be set free?\Since the entire family is complicit in this imprisonment,\there's no one I can even speak with.\You can come live with us. response:	Miss Ayame.
context: You have been through quite a lot.\Yes.\It looked as though she pitied me enough.\I will... I will finally be set free?\Since the entire family is complicit in this imprisonment,\there's no one I can even speak with.\You can come live with us.\Miss Ayame. response:	Thank you...
context: Yes.\It looked as though she pitied me enough.\I will... I will finally be set free?\Since the entire family is complicit in this imprisonment,\there's no one I can even speak with.\You can come live with us.\Miss Ayame.\Thank you... response:	Hey!
context: It looked as though she pitied me enough.\I will... I will finally be set free?\Since the entire family is complicit in this imprisonment,\there's no one I can even speak with.\You can come live with us.\Miss Ayame.\Thank you...\Hey! response:	Don't get any ideas, just because you're tall.
context: I will... I will finally be set free?\Since the entire family is complicit in this imprisonment,\there's no one I can even speak with.\You can come live with us.\Miss Ayame.\Thank you...\Hey!\Don't get any ideas, just because you're tall. response:	You little brat.
context: Since the entire family is complicit in this imprisonment,\there's no one I can even speak with.\You can come live with us.\Miss Ayame.\Thank you...\Hey!\Don't get any ideas, just because you're tall.\You little brat. response:	I am taking you home for my son.
context: there's no one I can even speak with.\You can come live with us.\Miss Ayame.\Thank you...\Hey!\Don't get any ideas, just because you're tall.\You little brat.\I am taking you home for my son. response:	Oh, a boy?
context: You can come live with us.\Miss Ayame.\Thank you...\Hey!\Don't get any ideas, just because you're tall.\You little brat.\I am taking you home for my son.\Oh, a boy? response:	I've never been with one before, but I will do my best.
context: Miss Ayame.\Thank you...\Hey!\Don't get any ideas, just because you're tall.\You little brat.\I am taking you home for my son.\Oh, a boy?\I've never been with one before, but I will do my best. response:	That's not what I meant...
context: Thank you...\Hey!\Don't get any ideas, just because you're tall.\You little brat.\I am taking you home for my son.\Oh, a boy?\I've never been with one before, but I will do my best.\That's not what I meant... response:	I simply can't allow something like this to happen.
context: Hey!\Don't get any ideas, just because you're tall.\You little brat.\I am taking you home for my son.\Oh, a boy?\I've never been with one before, but I will do my best.\That's not what I meant...\I simply can't allow something like this to happen. response:	Like you, my son carries our ancestor's blood.
context: Don't get any ideas, just because you're tall.\You little brat.\I am taking you home for my son.\Oh, a boy?\I've never been with one before, but I will do my best.\That's not what I meant...\I simply can't allow something like this to happen.\Like you, my son carries our ancestor's blood. response:	Her name was Ayame Shoukiin.
context: You little brat.\I am taking you home for my son.\Oh, a boy?\I've never been with one before, but I will do my best.\That's not what I meant...\I simply can't allow something like this to happen.\Like you, my son carries our ancestor's blood.\Her name was Ayame Shoukiin. response:	And then, I met her son.
context: I am taking you home for my son.\Oh, a boy?\I've never been with one before, but I will do my best.\That's not what I meant...\I simply can't allow something like this to happen.\Like you, my son carries our ancestor's blood.\Her name was Ayame Shoukiin.\And then, I met her son. response:	Her son, Kagerou Shoukiin.
context: Oh, a boy?\I've never been with one before, but I will do my best.\That's not what I meant...\I simply can't allow something like this to happen.\Like you, my son carries our ancestor's blood.\Her name was Ayame Shoukiin.\And then, I met her son.\Her son, Kagerou Shoukiin. response:	From this day forth, you're part of my gang!
context: I've never been with one before, but I will do my best.\That's not what I meant...\I simply can't allow something like this to happen.\Like you, my son carries our ancestor's blood.\Her name was Ayame Shoukiin.\And then, I met her son.\Her son, Kagerou Shoukiin.\From this day forth, you're part of my gang! response:	Why don't you start by licking my shoe?
context: That's not what I meant...\I simply can't allow something like this to happen.\Like you, my son carries our ancestor's blood.\Her name was Ayame Shoukiin.\And then, I met her son.\Her son, Kagerou Shoukiin.\From this day forth, you're part of my gang!\Why don't you start by licking my shoe? response:	All right.
context: I simply can't allow something like this to happen.\Like you, my son carries our ancestor's blood.\Her name was Ayame Shoukiin.\And then, I met her son.\Her son, Kagerou Shoukiin.\From this day forth, you're part of my gang!\Why don't you start by licking my shoe?\All right. response:	Wait...
context: Like you, my son carries our ancestor's blood.\Her name was Ayame Shoukiin.\And then, I met her son.\Her son, Kagerou Shoukiin.\From this day forth, you're part of my gang!\Why don't you start by licking my shoe?\All right.\Wait... response:	Have you no pride?
context: Her name was Ayame Shoukiin.\And then, I met her son.\Her son, Kagerou Shoukiin.\From this day forth, you're part of my gang!\Why don't you start by licking my shoe?\All right.\Wait...\Have you no pride? response:	One can only have self-respect if a self exists, Master Kagerou.
context: And then, I met her son.\Her son, Kagerou Shoukiin.\From this day forth, you're part of my gang!\Why don't you start by licking my shoe?\All right.\Wait...\Have you no pride?\One can only have self-respect if a self exists, Master Kagerou. response:	As you said, from this day on, I'm yours.
context: Her son, Kagerou Shoukiin.\From this day forth, you're part of my gang!\Why don't you start by licking my shoe?\All right.\Wait...\Have you no pride?\One can only have self-respect if a self exists, Master Kagerou.\As you said, from this day on, I'm yours. response:	I have no self beyond you.
context: From this day forth, you're part of my gang!\Why don't you start by licking my shoe?\All right.\Wait...\Have you no pride?\One can only have self-respect if a self exists, Master Kagerou.\As you said, from this day on, I'm yours.\I have no self beyond you. response:	Wow.
context: Why don't you start by licking my shoe?\All right.\Wait...\Have you no pride?\One can only have self-respect if a self exists, Master Kagerou.\As you said, from this day on, I'm yours.\I have no self beyond you.\Wow. response:	What a boring guy.
context: All right.\Wait...\Have you no pride?\One can only have self-respect if a self exists, Master Kagerou.\As you said, from this day on, I'm yours.\I have no self beyond you.\Wow.\What a boring guy. response:	My name is Soushi Miketsukami.
context: Wait...\Have you no pride?\One can only have self-respect if a self exists, Master Kagerou.\As you said, from this day on, I'm yours.\I have no self beyond you.\Wow.\What a boring guy.\My name is Soushi Miketsukami. response:	I was told to stay in that house until I came of age.
context: Have you no pride?\One can only have self-respect if a self exists, Master Kagerou.\As you said, from this day on, I'm yours.\I have no self beyond you.\Wow.\What a boring guy.\My name is Soushi Miketsukami.\I was told to stay in that house until I came of age. response:	Until then, I accepted my position as
context: One can only have self-respect if a self exists, Master Kagerou.\As you said, from this day on, I'm yours.\I have no self beyond you.\Wow.\What a boring guy.\My name is Soushi Miketsukami.\I was told to stay in that house until I came of age.\Until then, I accepted my position as response:	a conversation partner and caretaker for Kagerou.
context: As you said, from this day on, I'm yours.\I have no self beyond you.\Wow.\What a boring guy.\My name is Soushi Miketsukami.\I was told to stay in that house until I came of age.\Until then, I accepted my position as\a conversation partner and caretaker for Kagerou. response:	I wanted money for the time when I would finally live alone.
context: I have no self beyond you.\Wow.\What a boring guy.\My name is Soushi Miketsukami.\I was told to stay in that house until I came of age.\Until then, I accepted my position as\a conversation partner and caretaker for Kagerou.\I wanted money for the time when I would finally live alone. response:	As expected from the Shoukiin family,
context: Wow.\What a boring guy.\My name is Soushi Miketsukami.\I was told to stay in that house until I came of age.\Until then, I accepted my position as\a conversation partner and caretaker for Kagerou.\I wanted money for the time when I would finally live alone.\As expected from the Shoukiin family, response:	the salary was more than enough.
context: What a boring guy.\My name is Soushi Miketsukami.\I was told to stay in that house until I came of age.\Until then, I accepted my position as\a conversation partner and caretaker for Kagerou.\I wanted money for the time when I would finally live alone.\As expected from the Shoukiin family,\the salary was more than enough. response:	I like it! I like it!
context: My name is Soushi Miketsukami.\I was told to stay in that house until I came of age.\Until then, I accepted my position as\a conversation partner and caretaker for Kagerou.\I wanted money for the time when I would finally live alone.\As expected from the Shoukiin family,\the salary was more than enough.\I like it! I like it! response:	Let's go, Rascal!
context: I was told to stay in that house until I came of age.\Until then, I accepted my position as\a conversation partner and caretaker for Kagerou.\I wanted money for the time when I would finally live alone.\As expected from the Shoukiin family,\the salary was more than enough.\I like it! I like it!\Let's go, Rascal! response:	I had but to hold out until I was twenty.
context: Until then, I accepted my position as\a conversation partner and caretaker for Kagerou.\I wanted money for the time when I would finally live alone.\As expected from the Shoukiin family,\the salary was more than enough.\I like it! I like it!\Let's go, Rascal!\I had but to hold out until I was twenty. response:	Then I could have real freedom.
context: a conversation partner and caretaker for Kagerou.\I wanted money for the time when I would finally live alone.\As expected from the Shoukiin family,\the salary was more than enough.\I like it! I like it!\Let's go, Rascal!\I had but to hold out until I was twenty.\Then I could have real freedom. response:	Until then, I needed to be able
context: I wanted money for the time when I would finally live alone.\As expected from the Shoukiin family,\the salary was more than enough.\I like it! I like it!\Let's go, Rascal!\I had but to hold out until I was twenty.\Then I could have real freedom.\Until then, I needed to be able response:	to do everything flawlessly.
context: As expected from the Shoukiin family,\the salary was more than enough.\I like it! I like it!\Let's go, Rascal!\I had but to hold out until I was twenty.\Then I could have real freedom.\Until then, I needed to be able\to do everything flawlessly. response:	A poser, an imposter, a flatterer.
context: the salary was more than enough.\I like it! I like it!\Let's go, Rascal!\I had but to hold out until I was twenty.\Then I could have real freedom.\Until then, I needed to be able\to do everything flawlessly.\A poser, an imposter, a flatterer. response:	That was how I'd survived till then.
context: I like it! I like it!\Let's go, Rascal!\I had but to hold out until I was twenty.\Then I could have real freedom.\Until then, I needed to be able\to do everything flawlessly.\A poser, an imposter, a flatterer.\That was how I'd survived till then. response:	Write something good back to this.
context: Let's go, Rascal!\I had but to hold out until I was twenty.\Then I could have real freedom.\Until then, I needed to be able\to do everything flawlessly.\A poser, an imposter, a flatterer.\That was how I'd survived till then.\Write something good back to this. response:	It's a letter from your fiancee, Ririchiyo Shirakiin.
context: I had but to hold out until I was twenty.\Then I could have real freedom.\Until then, I needed to be able\to do everything flawlessly.\A poser, an imposter, a flatterer.\That was how I'd survived till then.\Write something good back to this.\It's a letter from your fiancee, Ririchiyo Shirakiin. response:	Are you certain?
context: Then I could have real freedom.\Until then, I needed to be able\to do everything flawlessly.\A poser, an imposter, a flatterer.\That was how I'd survived till then.\Write something good back to this.\It's a letter from your fiancee, Ririchiyo Shirakiin.\Are you certain? response:	I'm sure.
context: Until then, I needed to be able\to do everything flawlessly.\A poser, an imposter, a flatterer.\That was how I'd survived till then.\Write something good back to this.\It's a letter from your fiancee, Ririchiyo Shirakiin.\Are you certain?\I'm sure. response:	I can't be bothered.
context: to do everything flawlessly.\A poser, an imposter, a flatterer.\That was how I'd survived till then.\Write something good back to this.\It's a letter from your fiancee, Ririchiyo Shirakiin.\Are you certain?\I'm sure.\I can't be bothered. response:	You write to her.
context: A poser, an imposter, a flatterer.\That was how I'd survived till then.\Write something good back to this.\It's a letter from your fiancee, Ririchiyo Shirakiin.\Are you certain?\I'm sure.\I can't be bothered.\You write to her. response:	Yes, sir.
context: That was how I'd survived till then.\Write something good back to this.\It's a letter from your fiancee, Ririchiyo Shirakiin.\Are you certain?\I'm sure.\I can't be bothered.\You write to her.\Yes, sir. response:	Kagerou's fiancee was a girl from a family
context: Write something good back to this.\It's a letter from your fiancee, Ririchiyo Shirakiin.\Are you certain?\I'm sure.\I can't be bothered.\You write to her.\Yes, sir.\Kagerou's fiancee was a girl from a family response:	that drew from the blood of a different oni than that of the Shoukiin family.
context: It's a letter from your fiancee, Ririchiyo Shirakiin.\Are you certain?\I'm sure.\I can't be bothered.\You write to her.\Yes, sir.\Kagerou's fiancee was a girl from a family\that drew from the blood of a different oni than that of the Shoukiin family. response:	I'd never met her,
