context: What's up, Kazuya? You know her? response:	Huh? No...
context: So what's the story? Felt like something was up between you two.\Yeah, tell us.\No... I think I mistook her for someone else.\What?!\The heck? Don't get our hopes up like that.\Any girl you see makes you think you've met her before?\Virgins gonna virgin.\Speak for yourself! response:	We'll be in touch later.
context: Yeah, tell us.\No... I think I mistook her for someone else.\What?!\The heck? Don't get our hopes up like that.\Any girl you see makes you think you've met her before?\Virgins gonna virgin.\Speak for yourself!\We'll be in touch later. response:	Sure.
context: No... I think I mistook her for someone else.\What?!\The heck? Don't get our hopes up like that.\Any girl you see makes you think you've met her before?\Virgins gonna virgin.\Speak for yourself!\We'll be in touch later.\Sure. response:	It's way too crazy to be true.
context: What?!\The heck? Don't get our hopes up like that.\Any girl you see makes you think you've met her before?\Virgins gonna virgin.\Speak for yourself!\We'll be in touch later.\Sure.\It's way too crazy to be true. response:	She's probably just someone else...
context: The heck? Don't get our hopes up like that.\Any girl you see makes you think you've met her before?\Virgins gonna virgin.\Speak for yourself!\We'll be in touch later.\Sure.\It's way too crazy to be true.\She's probably just someone else... response:	File Storage D
context: Any girl you see makes you think you've met her before?\Virgins gonna virgin.\Speak for yourself!\We'll be in touch later.\Sure.\It's way too crazy to be true.\She's probably just someone else...\File Storage D response:	Don't you dare tell anyone!
context: Virgins gonna virgin.\Speak for yourself!\We'll be in touch later.\Sure.\It's way too crazy to be true.\She's probably just someone else...\File Storage D\Don't you dare tell anyone! response:	You don't know me at all!
context: Speak for yourself!\We'll be in touch later.\Sure.\It's way too crazy to be true.\She's probably just someone else...\File Storage D\Don't you dare tell anyone!\You don't know me at all! response:	And there was nothing between us!
context: We'll be in touch later.\Sure.\It's way too crazy to be true.\She's probably just someone else...\File Storage D\Don't you dare tell anyone!\You don't know me at all!\And there was nothing between us! response:	Promise me that!
context: Sure.\It's way too crazy to be true.\She's probably just someone else...\File Storage D\Don't you dare tell anyone!\You don't know me at all!\And there was nothing between us!\Promise me that! response:	So you really are Mizuhara?
context: It's way too crazy to be true.\She's probably just someone else...\File Storage D\Don't you dare tell anyone!\You don't know me at all!\And there was nothing between us!\Promise me that!\So you really are Mizuhara? response:	Yes, I am. I'm keeping my job a secret.
context: She's probably just someone else...\File Storage D\Don't you dare tell anyone!\You don't know me at all!\And there was nothing between us!\Promise me that!\So you really are Mizuhara?\Yes, I am. I'm keeping my job a secret. response:	Problem with that?
context: File Storage D\Don't you dare tell anyone!\You don't know me at all!\And there was nothing between us!\Promise me that!\So you really are Mizuhara?\Yes, I am. I'm keeping my job a secret.\Problem with that? response:	I do it because I don't want people talking behind my back!
context: Don't you dare tell anyone!\You don't know me at all!\And there was nothing between us!\Promise me that!\So you really are Mizuhara?\Yes, I am. I'm keeping my job a secret.\Problem with that?\I do it because I don't want people talking behind my back! response:	Repeat after me! You and I are...
context: You don't know me at all!\And there was nothing between us!\Promise me that!\So you really are Mizuhara?\Yes, I am. I'm keeping my job a secret.\Problem with that?\I do it because I don't want people talking behind my back!\Repeat after me! You and I are... response:	Okay, okay! I get it!
context: And there was nothing between us!\Promise me that!\So you really are Mizuhara?\Yes, I am. I'm keeping my job a secret.\Problem with that?\I do it because I don't want people talking behind my back!\Repeat after me! You and I are...\Okay, okay! I get it! response:	Sheesh. Why are you even here?
context: Promise me that!\So you really are Mizuhara?\Yes, I am. I'm keeping my job a secret.\Problem with that?\I do it because I don't want people talking behind my back!\Repeat after me! You and I are...\Okay, okay! I get it!\Sheesh. Why are you even here? response:	I've been avoiding dates in the same area as the college,
context: So you really are Mizuhara?\Yes, I am. I'm keeping my job a secret.\Problem with that?\I do it because I don't want people talking behind my back!\Repeat after me! You and I are...\Okay, okay! I get it!\Sheesh. Why are you even here?\I've been avoiding dates in the same area as the college, response:	but this makes it all meaningless.
context: Yes, I am. I'm keeping my job a secret.\Problem with that?\I do it because I don't want people talking behind my back!\Repeat after me! You and I are...\Okay, okay! I get it!\Sheesh. Why are you even here?\I've been avoiding dates in the same area as the college,\but this makes it all meaningless. response:	Goodbye. I pray that you never hit the I agree and Confirm buttons again.
context: Problem with that?\I do it because I don't want people talking behind my back!\Repeat after me! You and I are...\Okay, okay! I get it!\Sheesh. Why are you even here?\I've been avoiding dates in the same area as the college,\but this makes it all meaningless.\Goodbye. I pray that you never hit the I agree and Confirm buttons again. response:	I can't believe Mizuhara Chizuru goes to my college...
context: I do it because I don't want people talking behind my back!\Repeat after me! You and I are...\Okay, okay! I get it!\Sheesh. Why are you even here?\I've been avoiding dates in the same area as the college,\but this makes it all meaningless.\Goodbye. I pray that you never hit the I agree and Confirm buttons again.\I can't believe Mizuhara Chizuru goes to my college... response:	What?!
context: Repeat after me! You and I are...\Okay, okay! I get it!\Sheesh. Why are you even here?\I've been avoiding dates in the same area as the college,\but this makes it all meaningless.\Goodbye. I pray that you never hit the I agree and Confirm buttons again.\I can't believe Mizuhara Chizuru goes to my college...\What?! response:	Now
context: Okay, okay! I get it!\Sheesh. Why are you even here?\I've been avoiding dates in the same area as the college,\but this makes it all meaningless.\Goodbye. I pray that you never hit the I agree and Confirm buttons again.\I can't believe Mizuhara Chizuru goes to my college...\What?!\Now response:	You have a new message.
context: Sheesh. Why are you even here?\I've been avoiding dates in the same area as the college,\but this makes it all meaningless.\Goodbye. I pray that you never hit the I agree and Confirm buttons again.\I can't believe Mizuhara Chizuru goes to my college...\What?!\Now\You have a new message. response:	Where are you?
context: I've been avoiding dates in the same area as the college,\but this makes it all meaningless.\Goodbye. I pray that you never hit the I agree and Confirm buttons again.\I can't believe Mizuhara Chizuru goes to my college...\What?!\Now\You have a new message.\Where are you? response:	Mizuhara
context: but this makes it all meaningless.\Goodbye. I pray that you never hit the I agree and Confirm buttons again.\I can't believe Mizuhara Chizuru goes to my college...\What?!\Now\You have a new message.\Where are you?\Mizuhara response:	You're late
context: Goodbye. I pray that you never hit the I agree and Confirm buttons again.\I can't believe Mizuhara Chizuru goes to my college...\What?!\Now\You have a new message.\Where are you?\Mizuhara\You're late response:	I'm waiting for you
context: I can't believe Mizuhara Chizuru goes to my college...\What?!\Now\You have a new message.\Where are you?\Mizuhara\You're late\I'm waiting for you response:	Mizuhara
context: What?!\Now\You have a new message.\Where are you?\Mizuhara\You're late\I'm waiting for you\Mizuhara response:	When hwill hhyou hhhget hhhhhere hhhhh?
context: Now\You have a new message.\Where are you?\Mizuhara\You're late\I'm waiting for you\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh? response:	Mizuhara
context: You have a new message.\Where are you?\Mizuhara\You're late\I'm waiting for you\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara response:	When hwill hhyou hhhget hhhhhere hhhhh?
context: Where are you?\Mizuhara\You're late\I'm waiting for you\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh? response:	If you don't hurry up
context: Mizuhara\You're late\I'm waiting for you\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\If you don't hurry up response:	Mizuhara
context: You're late\I'm waiting for you\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\If you don't hurry up\Mizuhara response:	I'll charge you for an extension
context: I'm waiting for you\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\If you don't hurry up\Mizuhara\I'll charge you for an extension response:	Numa
context: Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\If you don't hurry up\Mizuhara\I'll charge you for an extension\Numa response:	Who does that girl think she is? A romcom heroine?
context: When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\If you don't hurry up\Mizuhara\I'll charge you for an extension\Numa\Who does that girl think she is? A romcom heroine? response:	Numa
context: Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\If you don't hurry up\Mizuhara\I'll charge you for an extension\Numa\Who does that girl think she is? A romcom heroine?\Numa response:	And that stupid virgin's pissing hme off, too!
context: When hwill hhyou hhhget hhhhhere hhhhh?\If you don't hurry up\Mizuhara\I'll charge you for an extension\Numa\Who does that girl think she is? A romcom heroine?\Numa\And that stupid virgin's pissing hme off, too! response:	Numa
context: If you don't hurry up\Mizuhara\I'll charge you for an extension\Numa\Who does that girl think she is? A romcom heroine?\Numa\And that stupid virgin's pissing hme off, too!\Numa response:	Not like they'll last more than three months, anyway
context: Mizuhara\I'll charge you for an extension\Numa\Who does that girl think she is? A romcom heroine?\Numa\And that stupid virgin's pissing hme off, too!\Numa\Not like they'll last more than three months, anyway response:	It's not real
context: I'll charge you for an extension\Numa\Who does that girl think she is? A romcom heroine?\Numa\And that stupid virgin's pissing hme off, too!\Numa\Not like they'll last more than three months, anyway\It's not real response:	Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes
context: Numa\Who does that girl think she is? A romcom heroine?\Numa\And that stupid virgin's pissing hme off, too!\Numa\Not like they'll last more than three months, anyway\It's not real\Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes response:	Why...
context: Who does that girl think she is? A romcom heroine?\Numa\And that stupid virgin's pissing hme off, too!\Numa\Not like they'll last more than three months, anyway\It's not real\Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes\Why... response:	Wait, hang on!
context: Numa\And that stupid virgin's pissing hme off, too!\Numa\Not like they'll last more than three months, anyway\It's not real\Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes\Why...\Wait, hang on! response:	Mizuhara-san? It's you, isn't it?!
context: And that stupid virgin's pissing hme off, too!\Numa\Not like they'll last more than three months, anyway\It's not real\Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes\Why...\Wait, hang on!\Mizuhara-san? It's you, isn't it?! response:	Or wait, Ichinose-san?
context: Numa\Not like they'll last more than three months, anyway\It's not real\Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes\Why...\Wait, hang on!\Mizuhara-san? It's you, isn't it?!\Or wait, Ichinose-san? response:	Talk about coincidence, huh?
context: Not like they'll last more than three months, anyway\It's not real\Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes\Why...\Wait, hang on!\Mizuhara-san? It's you, isn't it?!\Or wait, Ichinose-san?\Talk about coincidence, huh? response:	What are you doing here?!
context: It's not real\Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes\Why...\Wait, hang on!\Mizuhara-san? It's you, isn't it?!\Or wait, Ichinose-san?\Talk about coincidence, huh?\What are you doing here?! response:	Well, my apartment is next door.
context: Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes\Why...\Wait, hang on!\Mizuhara-san? It's you, isn't it?!\Or wait, Ichinose-san?\Talk about coincidence, huh?\What are you doing here?!\Well, my apartment is next door. response:	I mean, why do you live here?!
context: Why...\Wait, hang on!\Mizuhara-san? It's you, isn't it?!\Or wait, Ichinose-san?\Talk about coincidence, huh?\What are you doing here?!\Well, my apartment is next door.\I mean, why do you live here?! response:	Uh, I'm not sure how to answer that.
context: Wait, hang on!\Mizuhara-san? It's you, isn't it?!\Or wait, Ichinose-san?\Talk about coincidence, huh?\What are you doing here?!\Well, my apartment is next door.\I mean, why do you live here?!\Uh, I'm not sure how to answer that. response:	No interacting with me!
context: Mizuhara-san? It's you, isn't it?!\Or wait, Ichinose-san?\Talk about coincidence, huh?\What are you doing here?!\Well, my apartment is next door.\I mean, why do you live here?!\Uh, I'm not sure how to answer that.\No interacting with me! response:	No meddling or prying, either!
context: Or wait, Ichinose-san?\Talk about coincidence, huh?\What are you doing here?!\Well, my apartment is next door.\I mean, why do you live here?!\Uh, I'm not sure how to answer that.\No interacting with me!\No meddling or prying, either! response:	The heck? Don't act like I'm some kind of stalker.
context: Talk about coincidence, huh?\What are you doing here?!\Well, my apartment is next door.\I mean, why do you live here?!\Uh, I'm not sure how to answer that.\No interacting with me!\No meddling or prying, either!\The heck? Don't act like I'm some kind of stalker. response:	But...
context: What are you doing here?!\Well, my apartment is next door.\I mean, why do you live here?!\Uh, I'm not sure how to answer that.\No interacting with me!\No meddling or prying, either!\The heck? Don't act like I'm some kind of stalker.\But... response:	She's living in my apartment complex... Right next door, even.
context: Well, my apartment is next door.\I mean, why do you live here?!\Uh, I'm not sure how to answer that.\No interacting with me!\No meddling or prying, either!\The heck? Don't act like I'm some kind of stalker.\But...\She's living in my apartment complex... Right next door, even. response:	Mizuhara Chizuru, of all people.
context: I mean, why do you live here?!\Uh, I'm not sure how to answer that.\No interacting with me!\No meddling or prying, either!\The heck? Don't act like I'm some kind of stalker.\But...\She's living in my apartment complex... Right next door, even.\Mizuhara Chizuru, of all people. response:	Nagomi Sake
context: Uh, I'm not sure how to answer that.\No interacting with me!\No meddling or prying, either!\The heck? Don't act like I'm some kind of stalker.\But...\She's living in my apartment complex... Right next door, even.\Mizuhara Chizuru, of all people.\Nagomi Sake response:	Calling
context: No interacting with me!\No meddling or prying, either!\The heck? Don't act like I'm some kind of stalker.\But...\She's living in my apartment complex... Right next door, even.\Mizuhara Chizuru, of all people.\Nagomi Sake\Calling response:	Ack.
context: No meddling or prying, either!\The heck? Don't act like I'm some kind of stalker.\But...\She's living in my apartment complex... Right next door, even.\Mizuhara Chizuru, of all people.\Nagomi Sake\Calling\Ack. response:	Hey, Kazuya. I finally got through to you.
context: The heck? Don't act like I'm some kind of stalker.\But...\She's living in my apartment complex... Right next door, even.\Mizuhara Chizuru, of all people.\Nagomi Sake\Calling\Ack.\Hey, Kazuya. I finally got through to you. response:	Oh, you got internet in your hospital room?
context: But...\She's living in my apartment complex... Right next door, even.\Mizuhara Chizuru, of all people.\Nagomi Sake\Calling\Ack.\Hey, Kazuya. I finally got through to you.\Oh, you got internet in your hospital room? response:	It's 980 yen per month for Wi-Fi.
context: She's living in my apartment complex... Right next door, even.\Mizuhara Chizuru, of all people.\Nagomi Sake\Calling\Ack.\Hey, Kazuya. I finally got through to you.\Oh, you got internet in your hospital room?\It's 980 yen per month for Wi-Fi. response:	An unexpected expense!
context: Mizuhara Chizuru, of all people.\Nagomi Sake\Calling\Ack.\Hey, Kazuya. I finally got through to you.\Oh, you got internet in your hospital room?\It's 980 yen per month for Wi-Fi.\An unexpected expense! response:	I need to tell her the truth.
context: Nagomi Sake\Calling\Ack.\Hey, Kazuya. I finally got through to you.\Oh, you got internet in your hospital room?\It's 980 yen per month for Wi-Fi.\An unexpected expense!\I need to tell her the truth. response:	Let's just tell them we broke up.
context: Calling\Ack.\Hey, Kazuya. I finally got through to you.\Oh, you got internet in your hospital room?\It's 980 yen per month for Wi-Fi.\An unexpected expense!\I need to tell her the truth.\Let's just tell them we broke up. response:	Hey, Gran...
context: Ack.\Hey, Kazuya. I finally got through to you.\Oh, you got internet in your hospital room?\It's 980 yen per month for Wi-Fi.\An unexpected expense!\I need to tell her the truth.\Let's just tell them we broke up.\Hey, Gran... response:	I'm about head over to your place, Kazuya.
context: Hey, Kazuya. I finally got through to you.\Oh, you got internet in your hospital room?\It's 980 yen per month for Wi-Fi.\An unexpected expense!\I need to tell her the truth.\Let's just tell them we broke up.\Hey, Gran...\I'm about head over to your place, Kazuya. response:	Can you call Chizuru over for me?
context: Oh, you got internet in your hospital room?\It's 980 yen per month for Wi-Fi.\An unexpected expense!\I need to tell her the truth.\Let's just tell them we broke up.\Hey, Gran...\I'm about head over to your place, Kazuya.\Can you call Chizuru over for me? response:	Huh? No way!
context: It's 980 yen per month for Wi-Fi.\An unexpected expense!\I need to tell her the truth.\Let's just tell them we broke up.\Hey, Gran...\I'm about head over to your place, Kazuya.\Can you call Chizuru over for me?\Huh? No way! response:	Did you know?
context: An unexpected expense!\I need to tell her the truth.\Let's just tell them we broke up.\Hey, Gran...\I'm about head over to your place, Kazuya.\Can you call Chizuru over for me?\Huh? No way!\Did you know? response:	Ohohoho
context: I need to tell her the truth.\Let's just tell them we broke up.\Hey, Gran...\I'm about head over to your place, Kazuya.\Can you call Chizuru over for me?\Huh? No way!\Did you know?\Ohohoho response:	There's this popular new mobile game called Hot'n Steamy Hot Springs Matron.
context: Let's just tell them we broke up.\Hey, Gran...\I'm about head over to your place, Kazuya.\Can you call Chizuru over for me?\Huh? No way!\Did you know?\Ohohoho\There's this popular new mobile game called Hot'n Steamy Hot Springs Matron. response:	Listen, Kinoshita-san...
context: Hey, Gran...\I'm about head over to your place, Kazuya.\Can you call Chizuru over for me?\Huh? No way!\Did you know?\Ohohoho\There's this popular new mobile game called Hot'n Steamy Hot Springs Matron.\Listen, Kinoshita-san... response:	And this Sen girl in it is a dead ringer for Chizuru.
context: I'm about head over to your place, Kazuya.\Can you call Chizuru over for me?\Huh? No way!\Did you know?\Ohohoho\There's this popular new mobile game called Hot'n Steamy Hot Springs Matron.\Listen, Kinoshita-san...\And this Sen girl in it is a dead ringer for Chizuru. response:	Home
context: Can you call Chizuru over for me?\Huh? No way!\Did you know?\Ohohoho\There's this popular new mobile game called Hot'n Steamy Hot Springs Matron.\Listen, Kinoshita-san...\And this Sen girl in it is a dead ringer for Chizuru.\Home response:	Hot Spring
context: Huh? No way!\Did you know?\Ohohoho\There's this popular new mobile game called Hot'n Steamy Hot Springs Matron.\Listen, Kinoshita-san...\And this Sen girl in it is a dead ringer for Chizuru.\Home\Hot Spring response:	Kitchen
context: Did you know?\Ohohoho\There's this popular new mobile game called Hot'n Steamy Hot Springs Matron.\Listen, Kinoshita-san...\And this Sen girl in it is a dead ringer for Chizuru.\Home\Hot Spring\Kitchen response:	Gacha
context: Ohohoho\There's this popular new mobile game called Hot'n Steamy Hot Springs Matron.\Listen, Kinoshita-san...\And this Sen girl in it is a dead ringer for Chizuru.\Home\Hot Spring\Kitchen\Gacha response:	Shop
context: There's this popular new mobile game called Hot'n Steamy Hot Springs Matron.\Listen, Kinoshita-san...\And this Sen girl in it is a dead ringer for Chizuru.\Home\Hot Spring\Kitchen\Gacha\Shop response:	Tip
context: Listen, Kinoshita-san...\And this Sen girl in it is a dead ringer for Chizuru.\Home\Hot Spring\Kitchen\Gacha\Shop\Tip response:	Gifts
context: And this Sen girl in it is a dead ringer for Chizuru.\Home\Hot Spring\Kitchen\Gacha\Shop\Tip\Gifts response:	Mailbox
context: Home\Hot Spring\Kitchen\Gacha\Shop\Tip\Gifts\Mailbox response:	Thank you, Matron.
context: Hot Spring\Kitchen\Gacha\Shop\Tip\Gifts\Mailbox\Thank you, Matron. response:	I ended up whaling for her.
context: Kitchen\Gacha\Shop\Tip\Gifts\Mailbox\Thank you, Matron.\I ended up whaling for her. response:	See you in a bit, then! I can't wait!
context: Gacha\Shop\Tip\Gifts\Mailbox\Thank you, Matron.\I ended up whaling for her.\See you in a bit, then! I can't wait! response:	Wait a
context: Shop\Tip\Gifts\Mailbox\Thank you, Matron.\I ended up whaling for her.\See you in a bit, then! I can't wait!\Wait a response:	What? Gran's coming over now?
context: Tip\Gifts\Mailbox\Thank you, Matron.\I ended up whaling for her.\See you in a bit, then! I can't wait!\Wait a\What? Gran's coming over now? response:	You need to book a rental girlfriend a week in advance.
context: Gifts\Mailbox\Thank you, Matron.\I ended up whaling for her.\See you in a bit, then! I can't wait!\Wait a\What? Gran's coming over now?\You need to book a rental girlfriend a week in advance. response:	It's too late now!
context: Mailbox\Thank you, Matron.\I ended up whaling for her.\See you in a bit, then! I can't wait!\Wait a\What? Gran's coming over now?\You need to book a rental girlfriend a week in advance.\It's too late now! response:	But she'll snap if I tell her in person that we broke up!
context: Thank you, Matron.\I ended up whaling for her.\See you in a bit, then! I can't wait!\Wait a\What? Gran's coming over now?\You need to book a rental girlfriend a week in advance.\It's too late now!\But she'll snap if I tell her in person that we broke up! response:	What if she cries on me again?
context: I ended up whaling for her.\See you in a bit, then! I can't wait!\Wait a\What? Gran's coming over now?\You need to book a rental girlfriend a week in advance.\It's too late now!\But she'll snap if I tell her in person that we broke up!\What if she cries on me again? response:	Ichinose
context: See you in a bit, then! I can't wait!\Wait a\What? Gran's coming over now?\You need to book a rental girlfriend a week in advance.\It's too late now!\But she'll snap if I tell her in person that we broke up!\What if she cries on me again?\Ichinose response:	Help me!
context: Wait a\What? Gran's coming over now?\You need to book a rental girlfriend a week in advance.\It's too late now!\But she'll snap if I tell her in person that we broke up!\What if she cries on me again?\Ichinose\Help me! response:	Be my girlfriend one more time!
context: What? Gran's coming over now?\You need to book a rental girlfriend a week in advance.\It's too late now!\But she'll snap if I tell her in person that we broke up!\What if she cries on me again?\Ichinose\Help me!\Be my girlfriend one more time! response:	Huh? Are you kidding me?
context: You need to book a rental girlfriend a week in advance.\It's too late now!\But she'll snap if I tell her in person that we broke up!\What if she cries on me again?\Ichinose\Help me!\Be my girlfriend one more time!\Huh? Are you kidding me? response:	Please! Gran's coming over today!
context: It's too late now!\But she'll snap if I tell her in person that we broke up!\What if she cries on me again?\Ichinose\Help me!\Be my girlfriend one more time!\Huh? Are you kidding me?\Please! Gran's coming over today! response:	Just an hour... No, even half an hour will do!
context: But she'll snap if I tell her in person that we broke up!\What if she cries on me again?\Ichinose\Help me!\Be my girlfriend one more time!\Huh? Are you kidding me?\Please! Gran's coming over today!\Just an hour... No, even half an hour will do! response:	Didn't we agree to tell our grandmoms we broke up?
context: What if she cries on me again?\Ichinose\Help me!\Be my girlfriend one more time!\Huh? Are you kidding me?\Please! Gran's coming over today!\Just an hour... No, even half an hour will do!\Didn't we agree to tell our grandmoms we broke up? response:	I'm not ready for that conversation yet.
context: Ichinose\Help me!\Be my girlfriend one more time!\Huh? Are you kidding me?\Please! Gran's coming over today!\Just an hour... No, even half an hour will do!\Didn't we agree to tell our grandmoms we broke up?\I'm not ready for that conversation yet. response:	Why should I care?!
context: Help me!\Be my girlfriend one more time!\Huh? Are you kidding me?\Please! Gran's coming over today!\Just an hour... No, even half an hour will do!\Didn't we agree to tell our grandmoms we broke up?\I'm not ready for that conversation yet.\Why should I care?! response:	She's taken a real liking to you!
context: Be my girlfriend one more time!\Huh? Are you kidding me?\Please! Gran's coming over today!\Just an hour... No, even half an hour will do!\Didn't we agree to tell our grandmoms we broke up?\I'm not ready for that conversation yet.\Why should I care?!\She's taken a real liking to you! response:	She looked so lively talking about you, I couldn't bring myself to tell her!
context: Huh? Are you kidding me?\Please! Gran's coming over today!\Just an hour... No, even half an hour will do!\Didn't we agree to tell our grandmoms we broke up?\I'm not ready for that conversation yet.\Why should I care?!\She's taken a real liking to you!\She looked so lively talking about you, I couldn't bring myself to tell her! response:	Please! I beg of you!
context: Please! Gran's coming over today!\Just an hour... No, even half an hour will do!\Didn't we agree to tell our grandmoms we broke up?\I'm not ready for that conversation yet.\Why should I care?!\She's taken a real liking to you!\She looked so lively talking about you, I couldn't bring myself to tell her!\Please! I beg of you! response:	Not happening.
context: Just an hour... No, even half an hour will do!\Didn't we agree to tell our grandmoms we broke up?\I'm not ready for that conversation yet.\Why should I care?!\She's taken a real liking to you!\She looked so lively talking about you, I couldn't bring myself to tell her!\Please! I beg of you!\Not happening. response:	User Agreement
context: Didn't we agree to tell our grandmoms we broke up?\I'm not ready for that conversation yet.\Why should I care?!\She's taken a real liking to you!\She looked so lively talking about you, I couldn't bring myself to tell her!\Please! I beg of you!\Not happening.\User Agreement response:	Demanding that our talents accompany the user to
context: I'm not ready for that conversation yet.\Why should I care?!\She's taken a real liking to you!\She looked so lively talking about you, I couldn't bring myself to tell her!\Please! I beg of you!\Not happening.\User Agreement\Demanding that our talents accompany the user to response:	their residence, workplace, or other private spaces is strictly forbidden.
context: Why should I care?!\She's taken a real liking to you!\She looked so lively talking about you, I couldn't bring myself to tell her!\Please! I beg of you!\Not happening.\User Agreement\Demanding that our talents accompany the user to\their residence, workplace, or other private spaces is strictly forbidden. response:	You're old enough to know what that means, right?
