context: Body improvement! response:	Fight on! Fight on! Fight on! Fight!
context: Why did you join the Body Improvement Club?\I've never been the most athletic guy.\And I'm a really slow runner.\It's because I've relied on my psychic powers for everything.\Huh? What kind of excuse is that?\If you actually have psychic powers, I'd love to see them, jeez.\Is that enough for you to believe me?\This is heavy! response:	Seriously? He could only bend spoons before!
context: I've never been the most athletic guy.\And I'm a really slow runner.\It's because I've relied on my psychic powers for everything.\Huh? What kind of excuse is that?\If you actually have psychic powers, I'd love to see them, jeez.\Is that enough for you to believe me?\This is heavy!\Seriously? He could only bend spoons before! response:	Please! Help me make my dream come true!
context: And I'm a really slow runner.\It's because I've relied on my psychic powers for everything.\Huh? What kind of excuse is that?\If you actually have psychic powers, I'd love to see them, jeez.\Is that enough for you to believe me?\This is heavy!\Seriously? He could only bend spoons before!\Please! Help me make my dream come true! response:	Believe it or not...
context: It's because I've relied on my psychic powers for everything.\Huh? What kind of excuse is that?\If you actually have psychic powers, I'd love to see them, jeez.\Is that enough for you to believe me?\This is heavy!\Seriously? He could only bend spoons before!\Please! Help me make my dream come true!\Believe it or not... response:	My dream is to contact and interact with extraterrestrial lifeforms!
context: Huh? What kind of excuse is that?\If you actually have psychic powers, I'd love to see them, jeez.\Is that enough for you to believe me?\This is heavy!\Seriously? He could only bend spoons before!\Please! Help me make my dream come true!\Believe it or not...\My dream is to contact and interact with extraterrestrial lifeforms! response:	Telepathy
context: If you actually have psychic powers, I'd love to see them, jeez.\Is that enough for you to believe me?\This is heavy!\Seriously? He could only bend spoons before!\Please! Help me make my dream come true!\Believe it or not...\My dream is to contact and interact with extraterrestrial lifeforms!\Telepathy response:	At first, I followed a guidebook and tried it out, but it didn't work.
context: Is that enough for you to believe me?\This is heavy!\Seriously? He could only bend spoons before!\Please! Help me make my dream come true!\Believe it or not...\My dream is to contact and interact with extraterrestrial lifeforms!\Telepathy\At first, I followed a guidebook and tried it out, but it didn't work. response:	And before I knew it, I was just lazing around...
context: This is heavy!\Seriously? He could only bend spoons before!\Please! Help me make my dream come true!\Believe it or not...\My dream is to contact and interact with extraterrestrial lifeforms!\Telepathy\At first, I followed a guidebook and tried it out, but it didn't work.\And before I knew it, I was just lazing around... response:	But now,
context: Seriously? He could only bend spoons before!\Please! Help me make my dream come true!\Believe it or not...\My dream is to contact and interact with extraterrestrial lifeforms!\Telepathy\At first, I followed a guidebook and tried it out, but it didn't work.\And before I knew it, I was just lazing around...\But now, response:	I've got my big break!
context: Please! Help me make my dream come true!\Believe it or not...\My dream is to contact and interact with extraterrestrial lifeforms!\Telepathy\At first, I followed a guidebook and tried it out, but it didn't work.\And before I knew it, I was just lazing around...\But now,\I've got my big break! response:	Mob-kun, let's research telepathy together,
context: Believe it or not...\My dream is to contact and interact with extraterrestrial lifeforms!\Telepathy\At first, I followed a guidebook and tried it out, but it didn't work.\And before I knew it, I was just lazing around...\But now,\I've got my big break!\Mob-kun, let's research telepathy together, response:	seek new life, and boldly go where no man has gone before!
context: My dream is to contact and interact with extraterrestrial lifeforms!\Telepathy\At first, I followed a guidebook and tried it out, but it didn't work.\And before I knew it, I was just lazing around...\But now,\I've got my big break!\Mob-kun, let's research telepathy together,\seek new life, and boldly go where no man has gone before! response:	Actually, I've got weight lifting to do.
context: Telepathy\At first, I followed a guidebook and tried it out, but it didn't work.\And before I knew it, I was just lazing around...\But now,\I've got my big break!\Mob-kun, let's research telepathy together,\seek new life, and boldly go where no man has gone before!\Actually, I've got weight lifting to do. response:	Wait, why?
context: At first, I followed a guidebook and tried it out, but it didn't work.\And before I knew it, I was just lazing around...\But now,\I've got my big break!\Mob-kun, let's research telepathy together,\seek new life, and boldly go where no man has gone before!\Actually, I've got weight lifting to do.\Wait, why? response:	I'm burning with passion here. Why are you so ice-cold?
context: And before I knew it, I was just lazing around...\But now,\I've got my big break!\Mob-kun, let's research telepathy together,\seek new life, and boldly go where no man has gone before!\Actually, I've got weight lifting to do.\Wait, why?\I'm burning with passion here. Why are you so ice-cold? response:	I've finally found something that I want to do.
context: But now,\I've got my big break!\Mob-kun, let's research telepathy together,\seek new life, and boldly go where no man has gone before!\Actually, I've got weight lifting to do.\Wait, why?\I'm burning with passion here. Why are you so ice-cold?\I've finally found something that I want to do. response:	What, putting on muscle?
context: I've got my big break!\Mob-kun, let's research telepathy together,\seek new life, and boldly go where no man has gone before!\Actually, I've got weight lifting to do.\Wait, why?\I'm burning with passion here. Why are you so ice-cold?\I've finally found something that I want to do.\What, putting on muscle? response:	But you have psychic powers...
context: Mob-kun, let's research telepathy together,\seek new life, and boldly go where no man has gone before!\Actually, I've got weight lifting to do.\Wait, why?\I'm burning with passion here. Why are you so ice-cold?\I've finally found something that I want to do.\What, putting on muscle?\But you have psychic powers... response:	Actually, maybe I should say I want to become more appealing as a man.
context: seek new life, and boldly go where no man has gone before!\Actually, I've got weight lifting to do.\Wait, why?\I'm burning with passion here. Why are you so ice-cold?\I've finally found something that I want to do.\What, putting on muscle?\But you have psychic powers...\Actually, maybe I should say I want to become more appealing as a man. response:	You want to be popular, Mob-kun?
context: Actually, I've got weight lifting to do.\Wait, why?\I'm burning with passion here. Why are you so ice-cold?\I've finally found something that I want to do.\What, putting on muscle?\But you have psychic powers...\Actually, maybe I should say I want to become more appealing as a man.\You want to be popular, Mob-kun? response:	No, not really...
context: Wait, why?\I'm burning with passion here. Why are you so ice-cold?\I've finally found something that I want to do.\What, putting on muscle?\But you have psychic powers...\Actually, maybe I should say I want to become more appealing as a man.\You want to be popular, Mob-kun?\No, not really... response:	Well, you won't be.
context: I'm burning with passion here. Why are you so ice-cold?\I've finally found something that I want to do.\What, putting on muscle?\But you have psychic powers...\Actually, maybe I should say I want to become more appealing as a man.\You want to be popular, Mob-kun?\No, not really...\Well, you won't be. response:	Even if you gain muscle, you won't become popular.
context: I've finally found something that I want to do.\What, putting on muscle?\But you have psychic powers...\Actually, maybe I should say I want to become more appealing as a man.\You want to be popular, Mob-kun?\No, not really...\Well, you won't be.\Even if you gain muscle, you won't become popular. response:	Not a chance!
context: What, putting on muscle?\But you have psychic powers...\Actually, maybe I should say I want to become more appealing as a man.\You want to be popular, Mob-kun?\No, not really...\Well, you won't be.\Even if you gain muscle, you won't become popular.\Not a chance! response:	Th-Then what should I do?
context: But you have psychic powers...\Actually, maybe I should say I want to become more appealing as a man.\You want to be popular, Mob-kun?\No, not really...\Well, you won't be.\Even if you gain muscle, you won't become popular.\Not a chance!\Th-Then what should I do? response:	Read girls' minds using telepathy.
context: Actually, maybe I should say I want to become more appealing as a man.\You want to be popular, Mob-kun?\No, not really...\Well, you won't be.\Even if you gain muscle, you won't become popular.\Not a chance!\Th-Then what should I do?\Read girls' minds using telepathy. response:	Then you'll be super popular.
context: You want to be popular, Mob-kun?\No, not really...\Well, you won't be.\Even if you gain muscle, you won't become popular.\Not a chance!\Th-Then what should I do?\Read girls' minds using telepathy.\Then you'll be super popular. response:	Spirits and Such Consultation Office
context: No, not really...\Well, you won't be.\Even if you gain muscle, you won't become popular.\Not a chance!\Th-Then what should I do?\Read girls' minds using telepathy.\Then you'll be super popular.\Spirits and Such Consultation Office response:	What? Telepathy?
context: Well, you won't be.\Even if you gain muscle, you won't become popular.\Not a chance!\Th-Then what should I do?\Read girls' minds using telepathy.\Then you'll be super popular.\Spirits and Such Consultation Office\What? Telepathy? response:	Yeah, I can't really do that.
context: Even if you gain muscle, you won't become popular.\Not a chance!\Th-Then what should I do?\Read girls' minds using telepathy.\Then you'll be super popular.\Spirits and Such Consultation Office\What? Telepathy?\Yeah, I can't really do that. response:	I can hear the voices of spirits, though...
context: Not a chance!\Th-Then what should I do?\Read girls' minds using telepathy.\Then you'll be super popular.\Spirits and Such Consultation Office\What? Telepathy?\Yeah, I can't really do that.\I can hear the voices of spirits, though... response:	What brought this on?
context: Th-Then what should I do?\Read girls' minds using telepathy.\Then you'll be super popular.\Spirits and Such Consultation Office\What? Telepathy?\Yeah, I can't really do that.\I can hear the voices of spirits, though...\What brought this on? response:	I was just wondering...
context: Read girls' minds using telepathy.\Then you'll be super popular.\Spirits and Such Consultation Office\What? Telepathy?\Yeah, I can't really do that.\I can hear the voices of spirits, though...\What brought this on?\I was just wondering... response:	Is there someone whose mind you want to read?
context: Then you'll be super popular.\Spirits and Such Consultation Office\What? Telepathy?\Yeah, I can't really do that.\I can hear the voices of spirits, though...\What brought this on?\I was just wondering...\Is there someone whose mind you want to read? response:	A girl, huh?
context: Spirits and Such Consultation Office\What? Telepathy?\Yeah, I can't really do that.\I can hear the voices of spirits, though...\What brought this on?\I was just wondering...\Is there someone whose mind you want to read?\A girl, huh? response:	My, my, Mob-kun...
context: What? Telepathy?\Yeah, I can't really do that.\I can hear the voices of spirits, though...\What brought this on?\I was just wondering...\Is there someone whose mind you want to read?\A girl, huh?\My, my, Mob-kun... response:	You're so easy to read.
context: Yeah, I can't really do that.\I can hear the voices of spirits, though...\What brought this on?\I was just wondering...\Is there someone whose mind you want to read?\A girl, huh?\My, my, Mob-kun...\You're so easy to read. response:	Well, every middle school boy wants to be popular,
context: I can hear the voices of spirits, though...\What brought this on?\I was just wondering...\Is there someone whose mind you want to read?\A girl, huh?\My, my, Mob-kun...\You're so easy to read.\Well, every middle school boy wants to be popular, response:	so there's no need to be embarrassed.
context: What brought this on?\I was just wondering...\Is there someone whose mind you want to read?\A girl, huh?\My, my, Mob-kun...\You're so easy to read.\Well, every middle school boy wants to be popular,\so there's no need to be embarrassed. response:	Even I want to be popular.
context: I was just wondering...\Is there someone whose mind you want to read?\A girl, huh?\My, my, Mob-kun...\You're so easy to read.\Well, every middle school boy wants to be popular,\so there's no need to be embarrassed.\Even I want to be popular. response:	It's not like I want to be popular.
context: Is there someone whose mind you want to read?\A girl, huh?\My, my, Mob-kun...\You're so easy to read.\Well, every middle school boy wants to be popular,\so there's no need to be embarrassed.\Even I want to be popular.\It's not like I want to be popular. response:	I just want to get close to Tsubomi-chan.
context: A girl, huh?\My, my, Mob-kun...\You're so easy to read.\Well, every middle school boy wants to be popular,\so there's no need to be embarrassed.\Even I want to be popular.\It's not like I want to be popular.\I just want to get close to Tsubomi-chan. response:	Pardon me, young man.
context: My, my, Mob-kun...\You're so easy to read.\Well, every middle school boy wants to be popular,\so there's no need to be embarrassed.\Even I want to be popular.\It's not like I want to be popular.\I just want to get close to Tsubomi-chan.\Pardon me, young man. response:	Something must be troubling you.
context: You're so easy to read.\Well, every middle school boy wants to be popular,\so there's no need to be embarrassed.\Even I want to be popular.\It's not like I want to be popular.\I just want to get close to Tsubomi-chan.\Pardon me, young man.\Something must be troubling you. response:	You aren't laughing or smiling.
context: Well, every middle school boy wants to be popular,\so there's no need to be embarrassed.\Even I want to be popular.\It's not like I want to be popular.\I just want to get close to Tsubomi-chan.\Pardon me, young man.\Something must be troubling you.\You aren't laughing or smiling. response:	No...
context: so there's no need to be embarrassed.\Even I want to be popular.\It's not like I want to be popular.\I just want to get close to Tsubomi-chan.\Pardon me, young man.\Something must be troubling you.\You aren't laughing or smiling.\No... response:	I can tell.
context: Even I want to be popular.\It's not like I want to be popular.\I just want to get close to Tsubomi-chan.\Pardon me, young man.\Something must be troubling you.\You aren't laughing or smiling.\No...\I can tell. response:	You're worried about your studies, right?
context: It's not like I want to be popular.\I just want to get close to Tsubomi-chan.\Pardon me, young man.\Something must be troubling you.\You aren't laughing or smiling.\No...\I can tell.\You're worried about your studies, right? response:	I'm not.
context: I just want to get close to Tsubomi-chan.\Pardon me, young man.\Something must be troubling you.\You aren't laughing or smiling.\No...\I can tell.\You're worried about your studies, right?\I'm not. response:	Of course not. It's not your studies...
context: Pardon me, young man.\Something must be troubling you.\You aren't laughing or smiling.\No...\I can tell.\You're worried about your studies, right?\I'm not.\Of course not. It's not your studies... response:	Yes, it must be hard dealing with family issues.
context: Something must be troubling you.\You aren't laughing or smiling.\No...\I can tell.\You're worried about your studies, right?\I'm not.\Of course not. It's not your studies...\Yes, it must be hard dealing with family issues. response:	Actually, I don't have any.
context: You aren't laughing or smiling.\No...\I can tell.\You're worried about your studies, right?\I'm not.\Of course not. It's not your studies...\Yes, it must be hard dealing with family issues.\Actually, I don't have any. response:	Of course you don't. It must be your health... No...
context: No...\I can tell.\You're worried about your studies, right?\I'm not.\Of course not. It's not your studies...\Yes, it must be hard dealing with family issues.\Actually, I don't have any.\Of course you don't. It must be your health... No... response:	It's about love.
context: I can tell.\You're worried about your studies, right?\I'm not.\Of course not. It's not your studies...\Yes, it must be hard dealing with family issues.\Actually, I don't have any.\Of course you don't. It must be your health... No...\It's about love. response:	How did you know?!
context: You're worried about your studies, right?\I'm not.\Of course not. It's not your studies...\Yes, it must be hard dealing with family issues.\Actually, I don't have any.\Of course you don't. It must be your health... No...\It's about love.\How did you know?! response:	If you want to resolve your troubles, come with me.
context: I'm not.\Of course not. It's not your studies...\Yes, it must be hard dealing with family issues.\Actually, I don't have any.\Of course you don't. It must be your health... No...\It's about love.\How did you know?!\If you want to resolve your troubles, come with me. response:	Actually, I have to head home.
context: Of course not. It's not your studies...\Yes, it must be hard dealing with family issues.\Actually, I don't have any.\Of course you don't. It must be your health... No...\It's about love.\How did you know?!\If you want to resolve your troubles, come with me.\Actually, I have to head home. response:	You'll be popular.
context: Yes, it must be hard dealing with family issues.\Actually, I don't have any.\Of course you don't. It must be your health... No...\It's about love.\How did you know?!\If you want to resolve your troubles, come with me.\Actually, I have to head home.\You'll be popular. response:	I'll go!
context: Actually, I don't have any.\Of course you don't. It must be your health... No...\It's about love.\How did you know?!\If you want to resolve your troubles, come with me.\Actually, I have to head home.\You'll be popular.\I'll go! response:	An Invite to a Meeting Simply Put, I Just Want to Be Popular
context: Of course you don't. It must be your health... No...\It's about love.\How did you know?!\If you want to resolve your troubles, come with me.\Actually, I have to head home.\You'll be popular.\I'll go!\An Invite to a Meeting Simply Put, I Just Want to Be Popular response:	I belong to a brand-new religious order that came into existence last month.
context: It's about love.\How did you know?!\If you want to resolve your troubles, come with me.\Actually, I have to head home.\You'll be popular.\I'll go!\An Invite to a Meeting Simply Put, I Just Want to Be Popular\I belong to a brand-new religious order that came into existence last month. response:	Religious order?
context: How did you know?!\If you want to resolve your troubles, come with me.\Actually, I have to head home.\You'll be popular.\I'll go!\An Invite to a Meeting Simply Put, I Just Want to Be Popular\I belong to a brand-new religious order that came into existence last month.\Religious order? response:	It's called ().
context: If you want to resolve your troubles, come with me.\Actually, I have to head home.\You'll be popular.\I'll go!\An Invite to a Meeting Simply Put, I Just Want to Be Popular\I belong to a brand-new religious order that came into existence last month.\Religious order?\It's called (). response:	Founded by our leader, Dimple-sama,
context: Actually, I have to head home.\You'll be popular.\I'll go!\An Invite to a Meeting Simply Put, I Just Want to Be Popular\I belong to a brand-new religious order that came into existence last month.\Religious order?\It's called ().\Founded by our leader, Dimple-sama, response:	it's the happiest and trendiest gathering of the century!
context: You'll be popular.\I'll go!\An Invite to a Meeting Simply Put, I Just Want to Be Popular\I belong to a brand-new religious order that came into existence last month.\Religious order?\It's called ().\Founded by our leader, Dimple-sama,\it's the happiest and trendiest gathering of the century! response:	Dimple-sama has the mysterious power to make anyone laugh immediately.
context: I'll go!\An Invite to a Meeting Simply Put, I Just Want to Be Popular\I belong to a brand-new religious order that came into existence last month.\Religious order?\It's called ().\Founded by our leader, Dimple-sama,\it's the happiest and trendiest gathering of the century!\Dimple-sama has the mysterious power to make anyone laugh immediately. response:	So, how do I become popular?
context: An Invite to a Meeting Simply Put, I Just Want to Be Popular\I belong to a brand-new religious order that came into existence last month.\Religious order?\It's called ().\Founded by our leader, Dimple-sama,\it's the happiest and trendiest gathering of the century!\Dimple-sama has the mysterious power to make anyone laugh immediately.\So, how do I become popular? response:	Now, now, don't be so hasty.
context: I belong to a brand-new religious order that came into existence last month.\Religious order?\It's called ().\Founded by our leader, Dimple-sama,\it's the happiest and trendiest gathering of the century!\Dimple-sama has the mysterious power to make anyone laugh immediately.\So, how do I become popular?\Now, now, don't be so hasty. response:	() is in no way a suspicious group.
context: Religious order?\It's called ().\Founded by our leader, Dimple-sama,\it's the happiest and trendiest gathering of the century!\Dimple-sama has the mysterious power to make anyone laugh immediately.\So, how do I become popular?\Now, now, don't be so hasty.\() is in no way a suspicious group. response:	()
context: It's called ().\Founded by our leader, Dimple-sama,\it's the happiest and trendiest gathering of the century!\Dimple-sama has the mysterious power to make anyone laugh immediately.\So, how do I become popular?\Now, now, don't be so hasty.\() is in no way a suspicious group.\() response:	Wow, there are a lot of people.
context: Founded by our leader, Dimple-sama,\it's the happiest and trendiest gathering of the century!\Dimple-sama has the mysterious power to make anyone laugh immediately.\So, how do I become popular?\Now, now, don't be so hasty.\() is in no way a suspicious group.\()\Wow, there are a lot of people. response:	I wonder if they all want to be popular, too.
context: it's the happiest and trendiest gathering of the century!\Dimple-sama has the mysterious power to make anyone laugh immediately.\So, how do I become popular?\Now, now, don't be so hasty.\() is in no way a suspicious group.\()\Wow, there are a lot of people.\I wonder if they all want to be popular, too. response:	Oh, are you new, too?
context: Dimple-sama has the mysterious power to make anyone laugh immediately.\So, how do I become popular?\Now, now, don't be so hasty.\() is in no way a suspicious group.\()\Wow, there are a lot of people.\I wonder if they all want to be popular, too.\Oh, are you new, too? response:	Huh?
context: So, how do I become popular?\Now, now, don't be so hasty.\() is in no way a suspicious group.\()\Wow, there are a lot of people.\I wonder if they all want to be popular, too.\Oh, are you new, too?\Huh? response:	Then get on stage.
context: Now, now, don't be so hasty.\() is in no way a suspicious group.\()\Wow, there are a lot of people.\I wonder if they all want to be popular, too.\Oh, are you new, too?\Huh?\Then get on stage. response:	Why?
context: () is in no way a suspicious group.\()\Wow, there are a lot of people.\I wonder if they all want to be popular, too.\Oh, are you new, too?\Huh?\Then get on stage.\Why? response:	Come on, now.
context: ()\Wow, there are a lot of people.\I wonder if they all want to be popular, too.\Oh, are you new, too?\Huh?\Then get on stage.\Why?\Come on, now. response:	Hurry.
context: Wow, there are a lot of people.\I wonder if they all want to be popular, too.\Oh, are you new, too?\Huh?\Then get on stage.\Why?\Come on, now.\Hurry. response:	Heave ho, heave ho!
context: I wonder if they all want to be popular, too.\Oh, are you new, too?\Huh?\Then get on stage.\Why?\Come on, now.\Hurry.\Heave ho, heave ho! response:	I have no idea what's going on anymore.
context: Oh, are you new, too?\Huh?\Then get on stage.\Why?\Come on, now.\Hurry.\Heave ho, heave ho!\I have no idea what's going on anymore. response:	Huh? Mob-kun?
context: Huh?\Then get on stage.\Why?\Come on, now.\Hurry.\Heave ho, heave ho!\I have no idea what's going on anymore.\Huh? Mob-kun? response:	Do you recognize me? I'm Mezato from your class.
context: Then get on stage.\Why?\Come on, now.\Hurry.\Heave ho, heave ho!\I have no idea what's going on anymore.\Huh? Mob-kun?\Do you recognize me? I'm Mezato from your class. response:	Mezato Ichi
context: Why?\Come on, now.\Hurry.\Heave ho, heave ho!\I have no idea what's going on anymore.\Huh? Mob-kun?\Do you recognize me? I'm Mezato from your class.\Mezato Ichi response:	Ah, I've never talked to her before.
context: Come on, now.\Hurry.\Heave ho, heave ho!\I have no idea what's going on anymore.\Huh? Mob-kun?\Do you recognize me? I'm Mezato from your class.\Mezato Ichi\Ah, I've never talked to her before. response:	Did they lure you in?
context: Hurry.\Heave ho, heave ho!\I have no idea what's going on anymore.\Huh? Mob-kun?\Do you recognize me? I'm Mezato from your class.\Mezato Ichi\Ah, I've never talked to her before.\Did they lure you in? response:	Um, I...
context: Heave ho, heave ho!\I have no idea what's going on anymore.\Huh? Mob-kun?\Do you recognize me? I'm Mezato from your class.\Mezato Ichi\Ah, I've never talked to her before.\Did they lure you in?\Um, I... response:	He's here!
context: I have no idea what's going on anymore.\Huh? Mob-kun?\Do you recognize me? I'm Mezato from your class.\Mezato Ichi\Ah, I've never talked to her before.\Did they lure you in?\Um, I...\He's here! response:	It's Dimple-sama!
