context: Take the weretiger alive? response:	Take the weretiger alive?
context: That is your karma, weretiger.\You will cause ill for everyone around you, just by being alive.\My karma?\Rashoumon\Rashoumon.\Where... am I?\I see you've come to, brat.\Kunikida... san? response:	Damn, I can't believe you pulled this during such a busy time.
context: You will cause ill for everyone around you, just by being alive.\My karma?\Rashoumon\Rashoumon.\Where... am I?\I see you've come to, brat.\Kunikida... san?\Damn, I can't believe you pulled this during such a busy time. response:	I...
context: My karma?\Rashoumon\Rashoumon.\Where... am I?\I see you've come to, brat.\Kunikida... san?\Damn, I can't believe you pulled this during such a busy time.\I... response:	I was... attacked by the Mafia.
context: Rashoumon\Rashoumon.\Where... am I?\I see you've come to, brat.\Kunikida... san?\Damn, I can't believe you pulled this during such a busy time.\I...\I was... attacked by the Mafia. response:	I remember now...
context: Rashoumon.\Where... am I?\I see you've come to, brat.\Kunikida... san?\Damn, I can't believe you pulled this during such a busy time.\I...\I was... attacked by the Mafia.\I remember now... response:	Kunikida-san, where are Tanizaki-san and Naomi-san?!
context: Where... am I?\I see you've come to, brat.\Kunikida... san?\Damn, I can't believe you pulled this during such a busy time.\I...\I was... attacked by the Mafia.\I remember now...\Kunikida-san, where are Tanizaki-san and Naomi-san?! response:	Calm down.
context: I see you've come to, brat.\Kunikida... san?\Damn, I can't believe you pulled this during such a busy time.\I...\I was... attacked by the Mafia.\I remember now...\Kunikida-san, where are Tanizaki-san and Naomi-san?!\Calm down. response:	They're both okay.
context: Kunikida... san?\Damn, I can't believe you pulled this during such a busy time.\I...\I was... attacked by the Mafia.\I remember now...\Kunikida-san, where are Tanizaki-san and Naomi-san?!\Calm down.\They're both okay. response:	Are you... sure?
context: Damn, I can't believe you pulled this during such a busy time.\I...\I was... attacked by the Mafia.\I remember now...\Kunikida-san, where are Tanizaki-san and Naomi-san?!\Calm down.\They're both okay.\Are you... sure? response:	Yes.
context: I...\I was... attacked by the Mafia.\I remember now...\Kunikida-san, where are Tanizaki-san and Naomi-san?!\Calm down.\They're both okay.\Are you... sure?\Yes. response:	Dr. Yosano is treating Tanizaki right now next door.
context: I was... attacked by the Mafia.\I remember now...\Kunikida-san, where are Tanizaki-san and Naomi-san?!\Calm down.\They're both okay.\Are you... sure?\Yes.\Dr. Yosano is treating Tanizaki right now next door. response:	What a nice big injury you've racked up, huh, Tanizaki?
context: I remember now...\Kunikida-san, where are Tanizaki-san and Naomi-san?!\Calm down.\They're both okay.\Are you... sure?\Yes.\Dr. Yosano is treating Tanizaki right now next door.\What a nice big injury you've racked up, huh, Tanizaki? response:	Do you like my treatment that much?
context: Kunikida-san, where are Tanizaki-san and Naomi-san?!\Calm down.\They're both okay.\Are you... sure?\Yes.\Dr. Yosano is treating Tanizaki right now next door.\What a nice big injury you've racked up, huh, Tanizaki?\Do you like my treatment that much? response:	All right, I'll give you the extra special treatment plan this time.
context: Calm down.\They're both okay.\Are you... sure?\Yes.\Dr. Yosano is treating Tanizaki right now next door.\What a nice big injury you've racked up, huh, Tanizaki?\Do you like my treatment that much?\All right, I'll give you the extra special treatment plan this time. response:	Scream
context: They're both okay.\Are you... sure?\Yes.\Dr. Yosano is treating Tanizaki right now next door.\What a nice big injury you've racked up, huh, Tanizaki?\Do you like my treatment that much?\All right, I'll give you the extra special treatment plan this time.\Scream response:	Ah...
context: Are you... sure?\Yes.\Dr. Yosano is treating Tanizaki right now next door.\What a nice big injury you've racked up, huh, Tanizaki?\Do you like my treatment that much?\All right, I'll give you the extra special treatment plan this time.\Scream\Ah... response:	That's... treatment?
context: Yes.\Dr. Yosano is treating Tanizaki right now next door.\What a nice big injury you've racked up, huh, Tanizaki?\Do you like my treatment that much?\All right, I'll give you the extra special treatment plan this time.\Scream\Ah...\That's... treatment? response:	I heard, brat.
context: Dr. Yosano is treating Tanizaki right now next door.\What a nice big injury you've racked up, huh, Tanizaki?\Do you like my treatment that much?\All right, I'll give you the extra special treatment plan this time.\Scream\Ah...\That's... treatment?\I heard, brat. response:	Huh?
context: What a nice big injury you've racked up, huh, Tanizaki?\Do you like my treatment that much?\All right, I'll give you the extra special treatment plan this time.\Scream\Ah...\That's... treatment?\I heard, brat.\Huh? response:	You have a seven-billion-yen bounty on your head on the black market.
context: Do you like my treatment that much?\All right, I'll give you the extra special treatment plan this time.\Scream\Ah...\That's... treatment?\I heard, brat.\Huh?\You have a seven-billion-yen bounty on your head on the black market. response:	What?
context: All right, I'll give you the extra special treatment plan this time.\Scream\Ah...\That's... treatment?\I heard, brat.\Huh?\You have a seven-billion-yen bounty on your head on the black market.\What? response:	Seven billion, huh?
context: Scream\Ah...\That's... treatment?\I heard, brat.\Huh?\You have a seven-billion-yen bounty on your head on the black market.\What?\Seven billion, huh? response:	You've moved up in the world.
context: Ah...\That's... treatment?\I heard, brat.\Huh?\You have a seven-billion-yen bounty on your head on the black market.\What?\Seven billion, huh?\You've moved up in the world. response:	No wonder the Port Mafia are keen to get their hands on you.
context: That's... treatment?\I heard, brat.\Huh?\You have a seven-billion-yen bounty on your head on the black market.\What?\Seven billion, huh?\You've moved up in the world.\No wonder the Port Mafia are keen to get their hands on you. response:	Seven billion?
context: I heard, brat.\Huh?\You have a seven-billion-yen bounty on your head on the black market.\What?\Seven billion, huh?\You've moved up in the world.\No wonder the Port Mafia are keen to get their hands on you.\Seven billion? response:	My target has always been you and you alone, weretiger.
context: Huh?\You have a seven-billion-yen bounty on your head on the black market.\What?\Seven billion, huh?\You've moved up in the world.\No wonder the Port Mafia are keen to get their hands on you.\Seven billion?\My target has always been you and you alone, weretiger. response:	I see.
context: You have a seven-billion-yen bounty on your head on the black market.\What?\Seven billion, huh?\You've moved up in the world.\No wonder the Port Mafia are keen to get their hands on you.\Seven billion?\My target has always been you and you alone, weretiger.\I see. response:	Wh-Wh-What should I do?
context: What?\Seven billion, huh?\You've moved up in the world.\No wonder the Port Mafia are keen to get their hands on you.\Seven billion?\My target has always been you and you alone, weretiger.\I see.\Wh-Wh-What should I do? response:	The Mafia might launch a raid on the Agency.
context: Seven billion, huh?\You've moved up in the world.\No wonder the Port Mafia are keen to get their hands on you.\Seven billion?\My target has always been you and you alone, weretiger.\I see.\Wh-Wh-What should I do?\The Mafia might launch a raid on the Agency. response:	But why me?
context: You've moved up in the world.\No wonder the Port Mafia are keen to get their hands on you.\Seven billion?\My target has always been you and you alone, weretiger.\I see.\Wh-Wh-What should I do?\The Mafia might launch a raid on the Agency.\But why me? response:	Don't panic.
context: No wonder the Port Mafia are keen to get their hands on you.\Seven billion?\My target has always been you and you alone, weretiger.\I see.\Wh-Wh-What should I do?\The Mafia might launch a raid on the Agency.\But why me?\Don't panic. response:	The Port Mafia are certainly violent to the extreme,
context: Seven billion?\My target has always been you and you alone, weretiger.\I see.\Wh-Wh-What should I do?\The Mafia might launch a raid on the Agency.\But why me?\Don't panic.\The Port Mafia are certainly violent to the extreme, response:	but keep your cool.
context: My target has always been you and you alone, weretiger.\I see.\Wh-Wh-What should I do?\The Mafia might launch a raid on the Agency.\But why me?\Don't panic.\The Port Mafia are certainly violent to the extreme,\but keep your cool. response:	Ideal
context: I see.\Wh-Wh-What should I do?\The Mafia might launch a raid on the Agency.\But why me?\Don't panic.\The Port Mafia are certainly violent to the extreme,\but keep your cool.\Ideal response:	Losing your cool can kill even the most skilled.
context: Wh-Wh-What should I do?\The Mafia might launch a raid on the Agency.\But why me?\Don't panic.\The Port Mafia are certainly violent to the extreme,\but keep your cool.\Ideal\Losing your cool can kill even the most skilled. response:	That's what my mentor would tell me.
context: The Mafia might launch a raid on the Agency.\But why me?\Don't panic.\The Port Mafia are certainly violent to the extreme,\but keep your cool.\Ideal\Losing your cool can kill even the most skilled.\That's what my mentor would tell me. response:	Um, it's upside down...
context: But why me?\Don't panic.\The Port Mafia are certainly violent to the extreme,\but keep your cool.\Ideal\Losing your cool can kill even the most skilled.\That's what my mentor would tell me.\Um, it's upside down... response:	Your notebook.
context: Don't panic.\The Port Mafia are certainly violent to the extreme,\but keep your cool.\Ideal\Losing your cool can kill even the most skilled.\That's what my mentor would tell me.\Um, it's upside down...\Your notebook. response:	I haven't lost my cool!
context: The Port Mafia are certainly violent to the extreme,\but keep your cool.\Ideal\Losing your cool can kill even the most skilled.\That's what my mentor would tell me.\Um, it's upside down...\Your notebook.\I haven't lost my cool! response:	I'm not going to panic over the Mafia!
context: but keep your cool.\Ideal\Losing your cool can kill even the most skilled.\That's what my mentor would tell me.\Um, it's upside down...\Your notebook.\I haven't lost my cool!\I'm not going to panic over the Mafia! response:	I'd beat them back, even if they attacked this very second!
context: Ideal\Losing your cool can kill even the most skilled.\That's what my mentor would tell me.\Um, it's upside down...\Your notebook.\I haven't lost my cool!\I'm not going to panic over the Mafia!\I'd beat them back, even if they attacked this very second! response:	I'll go like this, and this!
context: Losing your cool can kill even the most skilled.\That's what my mentor would tell me.\Um, it's upside down...\Your notebook.\I haven't lost my cool!\I'm not going to panic over the Mafia!\I'd beat them back, even if they attacked this very second!\I'll go like this, and this! response:	Kunikida-san's pretty wound up...
context: That's what my mentor would tell me.\Um, it's upside down...\Your notebook.\I haven't lost my cool!\I'm not going to panic over the Mafia!\I'd beat them back, even if they attacked this very second!\I'll go like this, and this!\Kunikida-san's pretty wound up... response:	Slash and burn like a pro,
context: Um, it's upside down...\Your notebook.\I haven't lost my cool!\I'm not going to panic over the Mafia!\I'd beat them back, even if they attacked this very second!\I'll go like this, and this!\Kunikida-san's pretty wound up...\Slash and burn like a pro, response:	His explanation's all over the place!
context: Your notebook.\I haven't lost my cool!\I'm not going to panic over the Mafia!\I'd beat them back, even if they attacked this very second!\I'll go like this, and this!\Kunikida-san's pretty wound up...\Slash and burn like a pro,\His explanation's all over the place! response:	stabbity-stab and beat them all!
context: I haven't lost my cool!\I'm not going to panic over the Mafia!\I'd beat them back, even if they attacked this very second!\I'll go like this, and this!\Kunikida-san's pretty wound up...\Slash and burn like a pro,\His explanation's all over the place!\stabbity-stab and beat them all! response:	It must mean the Agency's situation is pretty dire,
context: I'm not going to panic over the Mafia!\I'd beat them back, even if they attacked this very second!\I'll go like this, and this!\Kunikida-san's pretty wound up...\Slash and burn like a pro,\His explanation's all over the place!\stabbity-stab and beat them all!\It must mean the Agency's situation is pretty dire, response:	and all because of me.
context: I'd beat them back, even if they attacked this very second!\I'll go like this, and this!\Kunikida-san's pretty wound up...\Slash and burn like a pro,\His explanation's all over the place!\stabbity-stab and beat them all!\It must mean the Agency's situation is pretty dire,\and all because of me. response:	He'll come for sure.
context: I'll go like this, and this!\Kunikida-san's pretty wound up...\Slash and burn like a pro,\His explanation's all over the place!\stabbity-stab and beat them all!\It must mean the Agency's situation is pretty dire,\and all because of me.\He'll come for sure. response:	You caused this.
context: Kunikida-san's pretty wound up...\Slash and burn like a pro,\His explanation's all over the place!\stabbity-stab and beat them all!\It must mean the Agency's situation is pretty dire,\and all because of me.\He'll come for sure.\You caused this. response:	The worst-case scenario may come to pass...
context: Slash and burn like a pro,\His explanation's all over the place!\stabbity-stab and beat them all!\It must mean the Agency's situation is pretty dire,\and all because of me.\He'll come for sure.\You caused this.\The worst-case scenario may come to pass... response:	Think about what you can do.
context: His explanation's all over the place!\stabbity-stab and beat them all!\It must mean the Agency's situation is pretty dire,\and all because of me.\He'll come for sure.\You caused this.\The worst-case scenario may come to pass...\Think about what you can do. response:	What I can do?
context: stabbity-stab and beat them all!\It must mean the Agency's situation is pretty dire,\and all because of me.\He'll come for sure.\You caused this.\The worst-case scenario may come to pass...\Think about what you can do.\What I can do? response:	By the way, brat.
context: It must mean the Agency's situation is pretty dire,\and all because of me.\He'll come for sure.\You caused this.\The worst-case scenario may come to pass...\Think about what you can do.\What I can do?\By the way, brat. response:	I've been looking for something...
context: and all because of me.\He'll come for sure.\You caused this.\The worst-case scenario may come to pass...\Think about what you can do.\What I can do?\By the way, brat.\I've been looking for something... response:	Have you seen my glasses?
context: He'll come for sure.\You caused this.\The worst-case scenario may come to pass...\Think about what you can do.\What I can do?\By the way, brat.\I've been looking for something...\Have you seen my glasses? response:	Episode Four: The Tragedy of the Fatalist
context: You caused this.\The worst-case scenario may come to pass...\Think about what you can do.\What I can do?\By the way, brat.\I've been looking for something...\Have you seen my glasses?\Episode Four: The Tragedy of the Fatalist response:	It's time.
context: The worst-case scenario may come to pass...\Think about what you can do.\What I can do?\By the way, brat.\I've been looking for something...\Have you seen my glasses?\Episode Four: The Tragedy of the Fatalist\It's time. response:	Stay back.
context: Think about what you can do.\What I can do?\By the way, brat.\I've been looking for something...\Have you seen my glasses?\Episode Four: The Tragedy of the Fatalist\It's time.\Stay back. response:	Sorry to bother you at work, folks.
context: What I can do?\By the way, brat.\I've been looking for something...\Have you seen my glasses?\Episode Four: The Tragedy of the Fatalist\It's time.\Stay back.\Sorry to bother you at work, folks. response:	Wh-Who the hell are you?
context: By the way, brat.\I've been looking for something...\Have you seen my glasses?\Episode Four: The Tragedy of the Fatalist\It's time.\Stay back.\Sorry to bother you at work, folks.\Wh-Who the hell are you? response:	We're here for work, as well.
context: I've been looking for something...\Have you seen my glasses?\Episode Four: The Tragedy of the Fatalist\It's time.\Stay back.\Sorry to bother you at work, folks.\Wh-Who the hell are you?\We're here for work, as well. response:	We'll be done soon enough.
context: Have you seen my glasses?\Episode Four: The Tragedy of the Fatalist\It's time.\Stay back.\Sorry to bother you at work, folks.\Wh-Who the hell are you?\We're here for work, as well.\We'll be done soon enough. response:	We've heard rumors that an unruly bunch
context: Episode Four: The Tragedy of the Fatalist\It's time.\Stay back.\Sorry to bother you at work, folks.\Wh-Who the hell are you?\We're here for work, as well.\We'll be done soon enough.\We've heard rumors that an unruly bunch response:	have been selling Port Mafia cargo on the black market.
context: It's time.\Stay back.\Sorry to bother you at work, folks.\Wh-Who the hell are you?\We're here for work, as well.\We'll be done soon enough.\We've heard rumors that an unruly bunch\have been selling Port Mafia cargo on the black market. response:	They're supposedly based right here.
context: Stay back.\Sorry to bother you at work, folks.\Wh-Who the hell are you?\We're here for work, as well.\We'll be done soon enough.\We've heard rumors that an unruly bunch\have been selling Port Mafia cargo on the black market.\They're supposedly based right here. response:	We're just looking for evidence.
context: Sorry to bother you at work, folks.\Wh-Who the hell are you?\We're here for work, as well.\We'll be done soon enough.\We've heard rumors that an unruly bunch\have been selling Port Mafia cargo on the black market.\They're supposedly based right here.\We're just looking for evidence. response:	Do you mind if I look through the cargo?
context: Wh-Who the hell are you?\We're here for work, as well.\We'll be done soon enough.\We've heard rumors that an unruly bunch\have been selling Port Mafia cargo on the black market.\They're supposedly based right here.\We're just looking for evidence.\Do you mind if I look through the cargo? response:	There's the evidence, right here.
context: We're here for work, as well.\We'll be done soon enough.\We've heard rumors that an unruly bunch\have been selling Port Mafia cargo on the black market.\They're supposedly based right here.\We're just looking for evidence.\Do you mind if I look through the cargo?\There's the evidence, right here. response:	That's impossible!
context: We'll be done soon enough.\We've heard rumors that an unruly bunch\have been selling Port Mafia cargo on the black market.\They're supposedly based right here.\We're just looking for evidence.\Do you mind if I look through the cargo?\There's the evidence, right here.\That's impossible! response:	It's a steel pipe.
context: We've heard rumors that an unruly bunch\have been selling Port Mafia cargo on the black market.\They're supposedly based right here.\We're just looking for evidence.\Do you mind if I look through the cargo?\There's the evidence, right here.\That's impossible!\It's a steel pipe. response:	You've never seen a gift in action before?
context: have been selling Port Mafia cargo on the black market.\They're supposedly based right here.\We're just looking for evidence.\Do you mind if I look through the cargo?\There's the evidence, right here.\That's impossible!\It's a steel pipe.\You've never seen a gift in action before? response:	Kill them all.
context: They're supposedly based right here.\We're just looking for evidence.\Do you mind if I look through the cargo?\There's the evidence, right here.\That's impossible!\It's a steel pipe.\You've never seen a gift in action before?\Kill them all. response:	The best smokes are always after a job well done.
context: We're just looking for evidence.\Do you mind if I look through the cargo?\There's the evidence, right here.\That's impossible!\It's a steel pipe.\You've never seen a gift in action before?\Kill them all.\The best smokes are always after a job well done. response:	An explosion?
context: Do you mind if I look through the cargo?\There's the evidence, right here.\That's impossible!\It's a steel pipe.\You've never seen a gift in action before?\Kill them all.\The best smokes are always after a job well done.\An explosion? response:	What's going on?
context: There's the evidence, right here.\That's impossible!\It's a steel pipe.\You've never seen a gift in action before?\Kill them all.\The best smokes are always after a job well done.\An explosion?\What's going on? response:	I hear it's a massacre.
context: That's impossible!\It's a steel pipe.\You've never seen a gift in action before?\Kill them all.\The best smokes are always after a job well done.\An explosion?\What's going on?\I hear it's a massacre. response:	Damn...
context: It's a steel pipe.\You've never seen a gift in action before?\Kill them all.\The best smokes are always after a job well done.\An explosion?\What's going on?\I hear it's a massacre.\Damn... response:	The military police say the Port Mafia's military squad did it...
context: You've never seen a gift in action before?\Kill them all.\The best smokes are always after a job well done.\An explosion?\What's going on?\I hear it's a massacre.\Damn...\The military police say the Port Mafia's military squad did it... response:	The Black Lizard group, the most violent of them all.
context: Kill them all.\The best smokes are always after a job well done.\An explosion?\What's going on?\I hear it's a massacre.\Damn...\The military police say the Port Mafia's military squad did it...\The Black Lizard group, the most violent of them all. response:	The Black Lizard?
context: The best smokes are always after a job well done.\An explosion?\What's going on?\I hear it's a massacre.\Damn...\The military police say the Port Mafia's military squad did it...\The Black Lizard group, the most violent of them all.\The Black Lizard? response:	They're as good as special ops,
context: An explosion?\What's going on?\I hear it's a massacre.\Damn...\The military police say the Port Mafia's military squad did it...\The Black Lizard group, the most violent of them all.\The Black Lizard?\They're as good as special ops, response:	and merciless to boot.
context: What's going on?\I hear it's a massacre.\Damn...\The military police say the Port Mafia's military squad did it...\The Black Lizard group, the most violent of them all.\The Black Lizard?\They're as good as special ops,\and merciless to boot. response:	The Port Mafia's Black Lizard...
context: I hear it's a massacre.\Damn...\The military police say the Port Mafia's military squad did it...\The Black Lizard group, the most violent of them all.\The Black Lizard?\They're as good as special ops,\and merciless to boot.\The Port Mafia's Black Lizard... response:	If they were to attack the Agency...
context: Damn...\The military police say the Port Mafia's military squad did it...\The Black Lizard group, the most violent of them all.\The Black Lizard?\They're as good as special ops,\and merciless to boot.\The Port Mafia's Black Lizard...\If they were to attack the Agency... response:	The worst-case scenario.
context: The military police say the Port Mafia's military squad did it...\The Black Lizard group, the most violent of them all.\The Black Lizard?\They're as good as special ops,\and merciless to boot.\The Port Mafia's Black Lizard...\If they were to attack the Agency...\The worst-case scenario. response:	Yes?
context: The Black Lizard group, the most violent of them all.\The Black Lizard?\They're as good as special ops,\and merciless to boot.\The Port Mafia's Black Lizard...\If they were to attack the Agency...\The worst-case scenario.\Yes? response:	Who is this?
context: The Black Lizard?\They're as good as special ops,\and merciless to boot.\The Port Mafia's Black Lizard...\If they were to attack the Agency...\The worst-case scenario.\Yes?\Who is this? response:	It's me.
context: They're as good as special ops,\and merciless to boot.\The Port Mafia's Black Lizard...\If they were to attack the Agency...\The worst-case scenario.\Yes?\Who is this?\It's me. response:	Weretiger!
context: and merciless to boot.\The Port Mafia's Black Lizard...\If they were to attack the Agency...\The worst-case scenario.\Yes?\Who is this?\It's me.\Weretiger! response:	I see...
context: The Port Mafia's Black Lizard...\If they were to attack the Agency...\The worst-case scenario.\Yes?\Who is this?\It's me.\Weretiger!\I see... response:	He saw the business card I left at the Agency.
context: If they were to attack the Agency...\The worst-case scenario.\Yes?\Who is this?\It's me.\Weretiger!\I see...\He saw the business card I left at the Agency. response:	Your colleagues saved you the other day,
context: The worst-case scenario.\Yes?\Who is this?\It's me.\Weretiger!\I see...\He saw the business card I left at the Agency.\Your colleagues saved you the other day, response:	but that won't be the case next time.
context: Yes?\Who is this?\It's me.\Weretiger!\I see...\He saw the business card I left at the Agency.\Your colleagues saved you the other day,\but that won't be the case next time. response:	What do you want?
context: Who is this?\It's me.\Weretiger!\I see...\He saw the business card I left at the Agency.\Your colleagues saved you the other day,\but that won't be the case next time.\What do you want? response:	I'm going to quit the Agency.
context: It's me.\Weretiger!\I see...\He saw the business card I left at the Agency.\Your colleagues saved you the other day,\but that won't be the case next time.\What do you want?\I'm going to quit the Agency. response:	I'm going to quit, and go on the run alone.
context: Weretiger!\I see...\He saw the business card I left at the Agency.\Your colleagues saved you the other day,\but that won't be the case next time.\What do you want?\I'm going to quit the Agency.\I'm going to quit, and go on the run alone. response:	Catch me if you can!
context: I see...\He saw the business card I left at the Agency.\Your colleagues saved you the other day,\but that won't be the case next time.\What do you want?\I'm going to quit the Agency.\I'm going to quit, and go on the run alone.\Catch me if you can! response:	I see.
context: He saw the business card I left at the Agency.\Your colleagues saved you the other day,\but that won't be the case next time.\What do you want?\I'm going to quit the Agency.\I'm going to quit, and go on the run alone.\Catch me if you can!\I see. response:	So you're telling us to call off the war on the Agency?
context: Your colleagues saved you the other day,\but that won't be the case next time.\What do you want?\I'm going to quit the Agency.\I'm going to quit, and go on the run alone.\Catch me if you can!\I see.\So you're telling us to call off the war on the Agency? response:	Call the Black Lizard!
context: but that won't be the case next time.\What do you want?\I'm going to quit the Agency.\I'm going to quit, and go on the run alone.\Catch me if you can!\I see.\So you're telling us to call off the war on the Agency?\Call the Black Lizard! response:	Oh there you are, brat.
context: What do you want?\I'm going to quit the Agency.\I'm going to quit, and go on the run alone.\Catch me if you can!\I see.\So you're telling us to call off the war on the Agency?\Call the Black Lizard!\Oh there you are, brat. response:	Thanks to you, it's a huge mess.
context: I'm going to quit the Agency.\I'm going to quit, and go on the run alone.\Catch me if you can!\I see.\So you're telling us to call off the war on the Agency?\Call the Black Lizard!\Oh there you are, brat.\Thanks to you, it's a huge mess. response:	It's highly probable that this will turn into the worst-case scenario.
context: I'm going to quit, and go on the run alone.\Catch me if you can!\I see.\So you're telling us to call off the war on the Agency?\Call the Black Lizard!\Oh there you are, brat.\Thanks to you, it's a huge mess.\It's highly probable that this will turn into the worst-case scenario. response:	Investigation Report
context: Catch me if you can!\I see.\So you're telling us to call off the war on the Agency?\Call the Black Lizard!\Oh there you are, brat.\Thanks to you, it's a huge mess.\It's highly probable that this will turn into the worst-case scenario.\Investigation Report response:	Come help carry these
context: I see.\So you're telling us to call off the war on the Agency?\Call the Black Lizard!\Oh there you are, brat.\Thanks to you, it's a huge mess.\It's highly probable that this will turn into the worst-case scenario.\Investigation Report\Come help carry these response:	Hey!
context: So you're telling us to call off the war on the Agency?\Call the Black Lizard!\Oh there you are, brat.\Thanks to you, it's a huge mess.\It's highly probable that this will turn into the worst-case scenario.\Investigation Report\Come help carry these\Hey! response:	There's no need to worry.
context: Call the Black Lizard!\Oh there you are, brat.\Thanks to you, it's a huge mess.\It's highly probable that this will turn into the worst-case scenario.\Investigation Report\Come help carry these\Hey!\There's no need to worry. response:	The worst-case scenario won't happen anymore.
context: Oh there you are, brat.\Thanks to you, it's a huge mess.\It's highly probable that this will turn into the worst-case scenario.\Investigation Report\Come help carry these\Hey!\There's no need to worry.\The worst-case scenario won't happen anymore. response:	This agency is safe.
context: Thanks to you, it's a huge mess.\It's highly probable that this will turn into the worst-case scenario.\Investigation Report\Come help carry these\Hey!\There's no need to worry.\The worst-case scenario won't happen anymore.\This agency is safe. response:	Huh?
context: It's highly probable that this will turn into the worst-case scenario.\Investigation Report\Come help carry these\Hey!\There's no need to worry.\The worst-case scenario won't happen anymore.\This agency is safe.\Huh? response:	Hey!
context: Investigation Report\Come help carry these\Hey!\There's no need to worry.\The worst-case scenario won't happen anymore.\This agency is safe.\Huh?\Hey! response:	Come help, brat!
context: Come help carry these\Hey!\There's no need to worry.\The worst-case scenario won't happen anymore.\This agency is safe.\Huh?\Hey!\Come help, brat! response:	Where are you running off to now?!
context: Hey!\There's no need to worry.\The worst-case scenario won't happen anymore.\This agency is safe.\Huh?\Hey!\Come help, brat!\Where are you running off to now?! response:	Get out, you good-for-nothing!
context: There's no need to worry.\The worst-case scenario won't happen anymore.\This agency is safe.\Huh?\Hey!\Come help, brat!\Where are you running off to now?!\Get out, you good-for-nothing! response:	The world would be a better place
context: The worst-case scenario won't happen anymore.\This agency is safe.\Huh?\Hey!\Come help, brat!\Where are you running off to now?!\Get out, you good-for-nothing!\The world would be a better place response:	if you'd just die in a ditch somewhere!
context: This agency is safe.\Huh?\Hey!\Come help, brat!\Where are you running off to now?!\Get out, you good-for-nothing!\The world would be a better place\if you'd just die in a ditch somewhere! response:	You're late.
context: Huh?\Hey!\Come help, brat!\Where are you running off to now?!\Get out, you good-for-nothing!\The world would be a better place\if you'd just die in a ditch somewhere!\You're late. response:	You're two minutes late.
context: Hey!\Come help, brat!\Where are you running off to now?!\Get out, you good-for-nothing!\The world would be a better place\if you'd just die in a ditch somewhere!\You're late.\You're two minutes late. response:	Black Lizard Commander Tachiwara Michizou
context: Come help, brat!\Where are you running off to now?!\Get out, you good-for-nothing!\The world would be a better place\if you'd just die in a ditch somewhere!\You're late.\You're two minutes late.\Black Lizard Commander Tachiwara Michizou response:	Don't be so uptight, gramps.
context: Where are you running off to now?!\Get out, you good-for-nothing!\The world would be a better place\if you'd just die in a ditch somewhere!\You're late.\You're two minutes late.\Black Lizard Commander Tachiwara Michizou\Don't be so uptight, gramps. response:	What a glum place.
context: Get out, you good-for-nothing!\The world would be a better place\if you'd just die in a ditch somewhere!\You're late.\You're two minutes late.\Black Lizard Commander Tachiwara Michizou\Don't be so uptight, gramps.\What a glum place. response:	Where's Gin?
