context: W- why do we have to wait for Kakarrot!? response:	Because he is a traitor to us Saiyans.
context: do it after we get the Namekian to tell us about the Dragon Balls.\I sure hope that Kakarrot does come!\Kuririn- san...\Dammit, what are you doing, Goku? Has he really come back to life?\Say, at this point, what if we ran away?\There's no way we can win. This is no time to be stubborn!\Fool! They plan on wiping out all of humanity in any case.\Even if you run away now, you'll end up the same. response:	D- dammit! Please, Goku, get here!
context: I sure hope that Kakarrot does come!\Kuririn- san...\Dammit, what are you doing, Goku? Has he really come back to life?\Say, at this point, what if we ran away?\There's no way we can win. This is no time to be stubborn!\Fool! They plan on wiping out all of humanity in any case.\Even if you run away now, you'll end up the same.\D- dammit! Please, Goku, get here! response:	Show us how much stronger than them you've become!
context: Kuririn- san...\Dammit, what are you doing, Goku? Has he really come back to life?\Say, at this point, what if we ran away?\There's no way we can win. This is no time to be stubborn!\Fool! They plan on wiping out all of humanity in any case.\Even if you run away now, you'll end up the same.\D- dammit! Please, Goku, get here!\Show us how much stronger than them you've become! response:	Hurry! Hurry! Hurry!
context: Dammit, what are you doing, Goku? Has he really come back to life?\Say, at this point, what if we ran away?\There's no way we can win. This is no time to be stubborn!\Fool! They plan on wiping out all of humanity in any case.\Even if you run away now, you'll end up the same.\D- dammit! Please, Goku, get here!\Show us how much stronger than them you've become!\Hurry! Hurry! Hurry! response:	Not yet?
context: Say, at this point, what if we ran away?\There's no way we can win. This is no time to be stubborn!\Fool! They plan on wiping out all of humanity in any case.\Even if you run away now, you'll end up the same.\D- dammit! Please, Goku, get here!\Show us how much stronger than them you've become!\Hurry! Hurry! Hurry!\Not yet? response:	Guys! Hang in there a little longer!
context: There's no way we can win. This is no time to be stubborn!\Fool! They plan on wiping out all of humanity in any case.\Even if you run away now, you'll end up the same.\D- dammit! Please, Goku, get here!\Show us how much stronger than them you've become!\Hurry! Hurry! Hurry!\Not yet?\Guys! Hang in there a little longer! response:	Piccolo, Goku is sure to be here in the next three hours, right?
context: Fool! They plan on wiping out all of humanity in any case.\Even if you run away now, you'll end up the same.\D- dammit! Please, Goku, get here!\Show us how much stronger than them you've become!\Hurry! Hurry! Hurry!\Not yet?\Guys! Hang in there a little longer!\Piccolo, Goku is sure to be here in the next three hours, right? response:	Who knows?
context: Even if you run away now, you'll end up the same.\D- dammit! Please, Goku, get here!\Show us how much stronger than them you've become!\Hurry! Hurry! Hurry!\Not yet?\Guys! Hang in there a little longer!\Piccolo, Goku is sure to be here in the next three hours, right?\Who knows? response:	Think of some way to inflict some damage on them,
context: D- dammit! Please, Goku, get here!\Show us how much stronger than them you've become!\Hurry! Hurry! Hurry!\Not yet?\Guys! Hang in there a little longer!\Piccolo, Goku is sure to be here in the next three hours, right?\Who knows?\Think of some way to inflict some damage on them, response:	however little, before Son Goku gets here.
context: Show us how much stronger than them you've become!\Hurry! Hurry! Hurry!\Not yet?\Guys! Hang in there a little longer!\Piccolo, Goku is sure to be here in the next three hours, right?\Who knows?\Think of some way to inflict some damage on them,\however little, before Son Goku gets here. response:	Regardless of how much power Goku may have gained at Kaio's place,
context: Hurry! Hurry! Hurry!\Not yet?\Guys! Hang in there a little longer!\Piccolo, Goku is sure to be here in the next three hours, right?\Who knows?\Think of some way to inflict some damage on them,\however little, before Son Goku gets here.\Regardless of how much power Goku may have gained at Kaio's place, response:	his chances of fighting both of them and winning are next to impossible.
context: Not yet?\Guys! Hang in there a little longer!\Piccolo, Goku is sure to be here in the next three hours, right?\Who knows?\Think of some way to inflict some damage on them,\however little, before Son Goku gets here.\Regardless of how much power Goku may have gained at Kaio's place,\his chances of fighting both of them and winning are next to impossible. response:	We've made some tremendous enemies here.
context: Guys! Hang in there a little longer!\Piccolo, Goku is sure to be here in the next three hours, right?\Who knows?\Think of some way to inflict some damage on them,\however little, before Son Goku gets here.\Regardless of how much power Goku may have gained at Kaio's place,\his chances of fighting both of them and winning are next to impossible.\We've made some tremendous enemies here. response:	If only I... I had been more reliable earlier, Tenshinhan- san...
context: Piccolo, Goku is sure to be here in the next three hours, right?\Who knows?\Think of some way to inflict some damage on them,\however little, before Son Goku gets here.\Regardless of how much power Goku may have gained at Kaio's place,\his chances of fighting both of them and winning are next to impossible.\We've made some tremendous enemies here.\If only I... I had been more reliable earlier, Tenshinhan- san... response:	That's right!
context: Who knows?\Think of some way to inflict some damage on them,\however little, before Son Goku gets here.\Regardless of how much power Goku may have gained at Kaio's place,\his chances of fighting both of them and winning are next to impossible.\We've made some tremendous enemies here.\If only I... I had been more reliable earlier, Tenshinhan- san...\That's right! response:	Who knew you were such a coward!?
context: Think of some way to inflict some damage on them,\however little, before Son Goku gets here.\Regardless of how much power Goku may have gained at Kaio's place,\his chances of fighting both of them and winning are next to impossible.\We've made some tremendous enemies here.\If only I... I had been more reliable earlier, Tenshinhan- san...\That's right!\Who knew you were such a coward!? response:	Piccolo, be reasonable. Gohan is still only 5 years old.
context: however little, before Son Goku gets here.\Regardless of how much power Goku may have gained at Kaio's place,\his chances of fighting both of them and winning are next to impossible.\We've made some tremendous enemies here.\If only I... I had been more reliable earlier, Tenshinhan- san...\That's right!\Who knew you were such a coward!?\Piccolo, be reasonable. Gohan is still only 5 years old. response:	Ordinarily, he'd be in kindergarten right now.
context: Regardless of how much power Goku may have gained at Kaio's place,\his chances of fighting both of them and winning are next to impossible.\We've made some tremendous enemies here.\If only I... I had been more reliable earlier, Tenshinhan- san...\That's right!\Who knew you were such a coward!?\Piccolo, be reasonable. Gohan is still only 5 years old.\Ordinarily, he'd be in kindergarten right now. response:	It's miraculous that he's even here, isn't it?
context: his chances of fighting both of them and winning are next to impossible.\We've made some tremendous enemies here.\If only I... I had been more reliable earlier, Tenshinhan- san...\That's right!\Who knew you were such a coward!?\Piccolo, be reasonable. Gohan is still only 5 years old.\Ordinarily, he'd be in kindergarten right now.\It's miraculous that he's even here, isn't it? response:	Kuririn- san...
context: We've made some tremendous enemies here.\If only I... I had been more reliable earlier, Tenshinhan- san...\That's right!\Who knew you were such a coward!?\Piccolo, be reasonable. Gohan is still only 5 years old.\Ordinarily, he'd be in kindergarten right now.\It's miraculous that he's even here, isn't it?\Kuririn- san... response:	Gohan, I thought I had raised you up to be a man.
context: If only I... I had been more reliable earlier, Tenshinhan- san...\That's right!\Who knew you were such a coward!?\Piccolo, be reasonable. Gohan is still only 5 years old.\Ordinarily, he'd be in kindergarten right now.\It's miraculous that he's even here, isn't it?\Kuririn- san...\Gohan, I thought I had raised you up to be a man. response:	Piccolo- san!
context: That's right!\Who knew you were such a coward!?\Piccolo, be reasonable. Gohan is still only 5 years old.\Ordinarily, he'd be in kindergarten right now.\It's miraculous that he's even here, isn't it?\Kuririn- san...\Gohan, I thought I had raised you up to be a man.\Piccolo- san! response:	P- please re-train me for the next three hours!
context: Who knew you were such a coward!?\Piccolo, be reasonable. Gohan is still only 5 years old.\Ordinarily, he'd be in kindergarten right now.\It's miraculous that he's even here, isn't it?\Kuririn- san...\Gohan, I thought I had raised you up to be a man.\Piccolo- san!\P- please re-train me for the next three hours! response:	Don't act like a spoiled child!
context: Piccolo, be reasonable. Gohan is still only 5 years old.\Ordinarily, he'd be in kindergarten right now.\It's miraculous that he's even here, isn't it?\Kuririn- san...\Gohan, I thought I had raised you up to be a man.\Piccolo- san!\P- please re-train me for the next three hours!\Don't act like a spoiled child! response:	I've got no time for cowards! Get out of here, now!
context: Ordinarily, he'd be in kindergarten right now.\It's miraculous that he's even here, isn't it?\Kuririn- san...\Gohan, I thought I had raised you up to be a man.\Piccolo- san!\P- please re-train me for the next three hours!\Don't act like a spoiled child!\I've got no time for cowards! Get out of here, now! response:	P- Piccolo- san!
context: It's miraculous that he's even here, isn't it?\Kuririn- san...\Gohan, I thought I had raised you up to be a man.\Piccolo- san!\P- please re-train me for the next three hours!\Don't act like a spoiled child!\I've got no time for cowards! Get out of here, now!\P- Piccolo- san! response:	P- Piccolo!
context: Kuririn- san...\Gohan, I thought I had raised you up to be a man.\Piccolo- san!\P- please re-train me for the next three hours!\Don't act like a spoiled child!\I've got no time for cowards! Get out of here, now!\P- Piccolo- san!\P- Piccolo! response:	Gohan, l've taught you everything I know.
context: Gohan, I thought I had raised you up to be a man.\Piccolo- san!\P- please re-train me for the next three hours!\Don't act like a spoiled child!\I've got no time for cowards! Get out of here, now!\P- Piccolo- san!\P- Piccolo!\Gohan, l've taught you everything I know. response:	Gohan, come back! You've got to show Goku how big and strong you've grown!
context: Piccolo- san!\P- please re-train me for the next three hours!\Don't act like a spoiled child!\I've got no time for cowards! Get out of here, now!\P- Piccolo- san!\P- Piccolo!\Gohan, l've taught you everything I know.\Gohan, come back! You've got to show Goku how big and strong you've grown! response:	Gohan!
context: P- please re-train me for the next three hours!\Don't act like a spoiled child!\I've got no time for cowards! Get out of here, now!\P- Piccolo- san!\P- Piccolo!\Gohan, l've taught you everything I know.\Gohan, come back! You've got to show Goku how big and strong you've grown!\Gohan! response:	Kid!
context: Don't act like a spoiled child!\I've got no time for cowards! Get out of here, now!\P- Piccolo- san!\P- Piccolo!\Gohan, l've taught you everything I know.\Gohan, come back! You've got to show Goku how big and strong you've grown!\Gohan!\Kid! response:	You trying to run away!?
context: I've got no time for cowards! Get out of here, now!\P- Piccolo- san!\P- Piccolo!\Gohan, l've taught you everything I know.\Gohan, come back! You've got to show Goku how big and strong you've grown!\Gohan!\Kid!\You trying to run away!? response:	Well, that would be the smart thing to do.
context: P- Piccolo- san!\P- Piccolo!\Gohan, l've taught you everything I know.\Gohan, come back! You've got to show Goku how big and strong you've grown!\Gohan!\Kid!\You trying to run away!?\Well, that would be the smart thing to do. response:	W- who's running away!?
context: P- Piccolo!\Gohan, l've taught you everything I know.\Gohan, come back! You've got to show Goku how big and strong you've grown!\Gohan!\Kid!\You trying to run away!?\Well, that would be the smart thing to do.\W- who's running away!? response:	I just have to go pee!
context: Gohan, l've taught you everything I know.\Gohan, come back! You've got to show Goku how big and strong you've grown!\Gohan!\Kid!\You trying to run away!?\Well, that would be the smart thing to do.\W- who's running away!?\I just have to go pee! response:	And if you guys are going to go home, now is your chance.
context: Gohan, come back! You've got to show Goku how big and strong you've grown!\Gohan!\Kid!\You trying to run away!?\Well, that would be the smart thing to do.\W- who's running away!?\I just have to go pee!\And if you guys are going to go home, now is your chance. response:	What was that? I didn't hear you.
context: Gohan!\Kid!\You trying to run away!?\Well, that would be the smart thing to do.\W- who's running away!?\I just have to go pee!\And if you guys are going to go home, now is your chance.\What was that? I didn't hear you. response:	Your momma's belly-button sticks out!
context: Kid!\You trying to run away!?\Well, that would be the smart thing to do.\W- who's running away!?\I just have to go pee!\And if you guys are going to go home, now is your chance.\What was that? I didn't hear you.\Your momma's belly-button sticks out! response:	That brat! H- how...
context: You trying to run away!?\Well, that would be the smart thing to do.\W- who's running away!?\I just have to go pee!\And if you guys are going to go home, now is your chance.\What was that? I didn't hear you.\Your momma's belly-button sticks out!\That brat! H- how... response:	How did you know my mommy's belly-button sticks out!?
context: Well, that would be the smart thing to do.\W- who's running away!?\I just have to go pee!\And if you guys are going to go home, now is your chance.\What was that? I didn't hear you.\Your momma's belly-button sticks out!\That brat! H- how...\How did you know my mommy's belly-button sticks out!? response:	The mysterious energy that had enveloped the battleground has disappeared,
context: W- who's running away!?\I just have to go pee!\And if you guys are going to go home, now is your chance.\What was that? I didn't hear you.\Your momma's belly-button sticks out!\That brat! H- how...\How did you know my mommy's belly-button sticks out!?\The mysterious energy that had enveloped the battleground has disappeared, response:	as though it were never there, which has allowed us to get closer,
context: I just have to go pee!\And if you guys are going to go home, now is your chance.\What was that? I didn't hear you.\Your momma's belly-button sticks out!\That brat! H- how...\How did you know my mommy's belly-button sticks out!?\The mysterious energy that had enveloped the battleground has disappeared,\as though it were never there, which has allowed us to get closer, response:	so we are going to try to get in as close to the scene as we can.
context: And if you guys are going to go home, now is your chance.\What was that? I didn't hear you.\Your momma's belly-button sticks out!\That brat! H- how...\How did you know my mommy's belly-button sticks out!?\The mysterious energy that had enveloped the battleground has disappeared,\as though it were never there, which has allowed us to get closer,\so we are going to try to get in as close to the scene as we can. response:	What in the world could be happening? I am unaware of the details,
context: What was that? I didn't hear you.\Your momma's belly-button sticks out!\That brat! H- how...\How did you know my mommy's belly-button sticks out!?\The mysterious energy that had enveloped the battleground has disappeared,\as though it were never there, which has allowed us to get closer,\so we are going to try to get in as close to the scene as we can.\What in the world could be happening? I am unaware of the details, response:	but could it be that they have called a time-out?
context: Your momma's belly-button sticks out!\That brat! H- how...\How did you know my mommy's belly-button sticks out!?\The mysterious energy that had enveloped the battleground has disappeared,\as though it were never there, which has allowed us to get closer,\so we are going to try to get in as close to the scene as we can.\What in the world could be happening? I am unaware of the details,\but could it be that they have called a time-out? response:	I- in any event, it's certain that the intense fighting
context: That brat! H- how...\How did you know my mommy's belly-button sticks out!?\The mysterious energy that had enveloped the battleground has disappeared,\as though it were never there, which has allowed us to get closer,\so we are going to try to get in as close to the scene as we can.\What in the world could be happening? I am unaware of the details,\but could it be that they have called a time-out?\I- in any event, it's certain that the intense fighting response:	that was going on earlier is not occurring now.
context: How did you know my mommy's belly-button sticks out!?\The mysterious energy that had enveloped the battleground has disappeared,\as though it were never there, which has allowed us to get closer,\so we are going to try to get in as close to the scene as we can.\What in the world could be happening? I am unaware of the details,\but could it be that they have called a time-out?\I- in any event, it's certain that the intense fighting\that was going on earlier is not occurring now. response:	Could they be taking a break?
context: The mysterious energy that had enveloped the battleground has disappeared,\as though it were never there, which has allowed us to get closer,\so we are going to try to get in as close to the scene as we can.\What in the world could be happening? I am unaware of the details,\but could it be that they have called a time-out?\I- in any event, it's certain that the intense fighting\that was going on earlier is not occurring now.\Could they be taking a break? response:	What could this be?
context: as though it were never there, which has allowed us to get closer,\so we are going to try to get in as close to the scene as we can.\What in the world could be happening? I am unaware of the details,\but could it be that they have called a time-out?\I- in any event, it's certain that the intense fighting\that was going on earlier is not occurring now.\Could they be taking a break?\What could this be? response:	I don't care what it is.
context: so we are going to try to get in as close to the scene as we can.\What in the world could be happening? I am unaware of the details,\but could it be that they have called a time-out?\I- in any event, it's certain that the intense fighting\that was going on earlier is not occurring now.\Could they be taking a break?\What could this be?\I don't care what it is. response:	If they can buy even one minute- one second of time to let Goku come back,
context: What in the world could be happening? I am unaware of the details,\but could it be that they have called a time-out?\I- in any event, it's certain that the intense fighting\that was going on earlier is not occurring now.\Could they be taking a break?\What could this be?\I don't care what it is.\If they can buy even one minute- one second of time to let Goku come back, response:	nothing could work to our advantage better.
context: but could it be that they have called a time-out?\I- in any event, it's certain that the intense fighting\that was going on earlier is not occurring now.\Could they be taking a break?\What could this be?\I don't care what it is.\If they can buy even one minute- one second of time to let Goku come back,\nothing could work to our advantage better. response:	I guess so. I wonder if Son- kun will get back during this time.
context: I- in any event, it's certain that the intense fighting\that was going on earlier is not occurring now.\Could they be taking a break?\What could this be?\I don't care what it is.\If they can buy even one minute- one second of time to let Goku come back,\nothing could work to our advantage better.\I guess so. I wonder if Son- kun will get back during this time. response:	On the other hand,
context: that was going on earlier is not occurring now.\Could they be taking a break?\What could this be?\I don't care what it is.\If they can buy even one minute- one second of time to let Goku come back,\nothing could work to our advantage better.\I guess so. I wonder if Son- kun will get back during this time.\On the other hand, response:	if Piccolo gets killed, Kami- sama dies too, right?
context: Could they be taking a break?\What could this be?\I don't care what it is.\If they can buy even one minute- one second of time to let Goku come back,\nothing could work to our advantage better.\I guess so. I wonder if Son- kun will get back during this time.\On the other hand,\if Piccolo gets killed, Kami- sama dies too, right? response:	What happens to our world if that happens!?
context: What could this be?\I don't care what it is.\If they can buy even one minute- one second of time to let Goku come back,\nothing could work to our advantage better.\I guess so. I wonder if Son- kun will get back during this time.\On the other hand,\if Piccolo gets killed, Kami- sama dies too, right?\What happens to our world if that happens!? response:	Isn't it obvious?
context: I don't care what it is.\If they can buy even one minute- one second of time to let Goku come back,\nothing could work to our advantage better.\I guess so. I wonder if Son- kun will get back during this time.\On the other hand,\if Piccolo gets killed, Kami- sama dies too, right?\What happens to our world if that happens!?\Isn't it obvious? response:	Either way, if Son- kun and the others don't defeat those Saiyans...
context: If they can buy even one minute- one second of time to let Goku come back,\nothing could work to our advantage better.\I guess so. I wonder if Son- kun will get back during this time.\On the other hand,\if Piccolo gets killed, Kami- sama dies too, right?\What happens to our world if that happens!?\Isn't it obvious?\Either way, if Son- kun and the others don't defeat those Saiyans... response:	Goku! Get here quick and defeat them!
context: nothing could work to our advantage better.\I guess so. I wonder if Son- kun will get back during this time.\On the other hand,\if Piccolo gets killed, Kami- sama dies too, right?\What happens to our world if that happens!?\Isn't it obvious?\Either way, if Son- kun and the others don't defeat those Saiyans...\Goku! Get here quick and defeat them! response:	If I have to die anyway,
context: I guess so. I wonder if Son- kun will get back during this time.\On the other hand,\if Piccolo gets killed, Kami- sama dies too, right?\What happens to our world if that happens!?\Isn't it obvious?\Either way, if Son- kun and the others don't defeat those Saiyans...\Goku! Get here quick and defeat them!\If I have to die anyway, response:	I wish I could have collected more gals' panties before I went.
context: On the other hand,\if Piccolo gets killed, Kami- sama dies too, right?\What happens to our world if that happens!?\Isn't it obvious?\Either way, if Son- kun and the others don't defeat those Saiyans...\Goku! Get here quick and defeat them!\If I have to die anyway,\I wish I could have collected more gals' panties before I went. response:	Frankly, that's not possible.
context: if Piccolo gets killed, Kami- sama dies too, right?\What happens to our world if that happens!?\Isn't it obvious?\Either way, if Son- kun and the others don't defeat those Saiyans...\Goku! Get here quick and defeat them!\If I have to die anyway,\I wish I could have collected more gals' panties before I went.\Frankly, that's not possible. response:	Then there's no way they can win!?
context: What happens to our world if that happens!?\Isn't it obvious?\Either way, if Son- kun and the others don't defeat those Saiyans...\Goku! Get here quick and defeat them!\If I have to die anyway,\I wish I could have collected more gals' panties before I went.\Frankly, that's not possible.\Then there's no way they can win!? response:	I'm saying that there aren't any gals that are stupid enough
context: Isn't it obvious?\Either way, if Son- kun and the others don't defeat those Saiyans...\Goku! Get here quick and defeat them!\If I have to die anyway,\I wish I could have collected more gals' panties before I went.\Frankly, that's not possible.\Then there's no way they can win!?\I'm saying that there aren't any gals that are stupid enough response:	to let their panties be stolen by you.
context: Either way, if Son- kun and the others don't defeat those Saiyans...\Goku! Get here quick and defeat them!\If I have to die anyway,\I wish I could have collected more gals' panties before I went.\Frankly, that's not possible.\Then there's no way they can win!?\I'm saying that there aren't any gals that are stupid enough\to let their panties be stolen by you. response:	-Why, you jerk... -Gohan!
context: Goku! Get here quick and defeat them!\If I have to die anyway,\I wish I could have collected more gals' panties before I went.\Frankly, that's not possible.\Then there's no way they can win!?\I'm saying that there aren't any gals that are stupid enough\to let their panties be stolen by you.\-Why, you jerk... -Gohan! response:	Chichi, have you come around? Are you okay?
context: If I have to die anyway,\I wish I could have collected more gals' panties before I went.\Frankly, that's not possible.\Then there's no way they can win!?\I'm saying that there aren't any gals that are stupid enough\to let their panties be stolen by you.\-Why, you jerk... -Gohan!\Chichi, have you come around? Are you okay? response:	W- where's Gohan- chan?
context: I wish I could have collected more gals' panties before I went.\Frankly, that's not possible.\Then there's no way they can win!?\I'm saying that there aren't any gals that are stupid enough\to let their panties be stolen by you.\-Why, you jerk... -Gohan!\Chichi, have you come around? Are you okay?\W- where's Gohan- chan? response:	Relax.
context: Frankly, that's not possible.\Then there's no way they can win!?\I'm saying that there aren't any gals that are stupid enough\to let their panties be stolen by you.\-Why, you jerk... -Gohan!\Chichi, have you come around? Are you okay?\W- where's Gohan- chan?\Relax. response:	He's still all right.
context: Then there's no way they can win!?\I'm saying that there aren't any gals that are stupid enough\to let their panties be stolen by you.\-Why, you jerk... -Gohan!\Chichi, have you come around? Are you okay?\W- where's Gohan- chan?\Relax.\He's still all right. response:	Gohan- chan!
context: I'm saying that there aren't any gals that are stupid enough\to let their panties be stolen by you.\-Why, you jerk... -Gohan!\Chichi, have you come around? Are you okay?\W- where's Gohan- chan?\Relax.\He's still all right.\Gohan- chan! response:	He's doin' fine.
context: to let their panties be stolen by you.\-Why, you jerk... -Gohan!\Chichi, have you come around? Are you okay?\W- where's Gohan- chan?\Relax.\He's still all right.\Gohan- chan!\He's doin' fine. response:	We have to hurry and save him!
context: -Why, you jerk... -Gohan!\Chichi, have you come around? Are you okay?\W- where's Gohan- chan?\Relax.\He's still all right.\Gohan- chan!\He's doin' fine.\We have to hurry and save him! response:	We can't! That's nowhere that we can get close to!
context: Chichi, have you come around? Are you okay?\W- where's Gohan- chan?\Relax.\He's still all right.\Gohan- chan!\He's doin' fine.\We have to hurry and save him!\We can't! That's nowhere that we can get close to! response:	All we can do is wait here.
context: W- where's Gohan- chan?\Relax.\He's still all right.\Gohan- chan!\He's doin' fine.\We have to hurry and save him!\We can't! That's nowhere that we can get close to!\All we can do is wait here. response:	Gohan- chan...
context: Relax.\He's still all right.\Gohan- chan!\He's doin' fine.\We have to hurry and save him!\We can't! That's nowhere that we can get close to!\All we can do is wait here.\Gohan- chan... response:	I'm going to go have a little fun.
context: He's still all right.\Gohan- chan!\He's doin' fine.\We have to hurry and save him!\We can't! That's nowhere that we can get close to!\All we can do is wait here.\Gohan- chan...\I'm going to go have a little fun. response:	I can't just sit still here for three hours, after all.
context: Gohan- chan!\He's doin' fine.\We have to hurry and save him!\We can't! That's nowhere that we can get close to!\All we can do is wait here.\Gohan- chan...\I'm going to go have a little fun.\I can't just sit still here for three hours, after all. response:	Suit yourself. But Nappa, don't go overdoing it, now.
context: He's doin' fine.\We have to hurry and save him!\We can't! That's nowhere that we can get close to!\All we can do is wait here.\Gohan- chan...\I'm going to go have a little fun.\I can't just sit still here for three hours, after all.\Suit yourself. But Nappa, don't go overdoing it, now. response:	Why not?
context: We have to hurry and save him!\We can't! That's nowhere that we can get close to!\All we can do is wait here.\Gohan- chan...\I'm going to go have a little fun.\I can't just sit still here for three hours, after all.\Suit yourself. But Nappa, don't go overdoing it, now.\Why not? response:	For the sake of the hellish show we're going to have in three hours.
context: We can't! That's nowhere that we can get close to!\All we can do is wait here.\Gohan- chan...\I'm going to go have a little fun.\I can't just sit still here for three hours, after all.\Suit yourself. But Nappa, don't go overdoing it, now.\Why not?\For the sake of the hellish show we're going to have in three hours. response:	That's Vegeta for you!
context: All we can do is wait here.\Gohan- chan...\I'm going to go have a little fun.\I can't just sit still here for three hours, after all.\Suit yourself. But Nappa, don't go overdoing it, now.\Why not?\For the sake of the hellish show we're going to have in three hours.\That's Vegeta for you! response:	It'll be fine, don't worry about it!
context: Gohan- chan...\I'm going to go have a little fun.\I can't just sit still here for three hours, after all.\Suit yourself. But Nappa, don't go overdoing it, now.\Why not?\For the sake of the hellish show we're going to have in three hours.\That's Vegeta for you!\It'll be fine, don't worry about it! response:	One of the Saiyans has taken to the skies by himself!
context: I'm going to go have a little fun.\I can't just sit still here for three hours, after all.\Suit yourself. But Nappa, don't go overdoing it, now.\Why not?\For the sake of the hellish show we're going to have in three hours.\That's Vegeta for you!\It'll be fine, don't worry about it!\One of the Saiyans has taken to the skies by himself! response:	Where exactly is he planning to go?
