context: Newspaper! response:	It's the latest issue of Youkai's newspaper!
context: Yay, all the newspaper are distributed!\Yahoo, The news report critics are good this time too.\Hey, how about we hold a celebration?\Like bring some snacks and such.\That's a great idea, Moka-san.\Agreed!\Huh? Where's Gin-senpai?\He was over here just now... response:	He must've gone to harass some female students, right?
context: Yahoo, The news report critics are good this time too.\Hey, how about we hold a celebration?\Like bring some snacks and such.\That's a great idea, Moka-san.\Agreed!\Huh? Where's Gin-senpai?\He was over here just now...\He must've gone to harass some female students, right? response:	Isn't this report interesting?
context: Hey, how about we hold a celebration?\Like bring some snacks and such.\That's a great idea, Moka-san.\Agreed!\Huh? Where's Gin-senpai?\He was over here just now...\He must've gone to harass some female students, right?\Isn't this report interesting? response:	Actually, the newspaper club is recruiting some beautiful girls for modeling, wanna try it?
context: Like bring some snacks and such.\That's a great idea, Moka-san.\Agreed!\Huh? Where's Gin-senpai?\He was over here just now...\He must've gone to harass some female students, right?\Isn't this report interesting?\Actually, the newspaper club is recruiting some beautiful girls for modeling, wanna try it? response:	Just as she said.
context: That's a great idea, Moka-san.\Agreed!\Huh? Where's Gin-senpai?\He was over here just now...\He must've gone to harass some female students, right?\Isn't this report interesting?\Actually, the newspaper club is recruiting some beautiful girls for modeling, wanna try it?\Just as she said. response:	So it's okay if we don't invite him.
context: Agreed!\Huh? Where's Gin-senpai?\He was over here just now...\He must've gone to harass some female students, right?\Isn't this report interesting?\Actually, the newspaper club is recruiting some beautiful girls for modeling, wanna try it?\Just as she said.\So it's okay if we don't invite him. response:	He's an enemy of women!
context: Huh? Where's Gin-senpai?\He was over here just now...\He must've gone to harass some female students, right?\Isn't this report interesting?\Actually, the newspaper club is recruiting some beautiful girls for modeling, wanna try it?\Just as she said.\So it's okay if we don't invite him.\He's an enemy of women! response:	Other than that, how are we going to hold celebration?
context: He was over here just now...\He must've gone to harass some female students, right?\Isn't this report interesting?\Actually, the newspaper club is recruiting some beautiful girls for modeling, wanna try it?\Just as she said.\So it's okay if we don't invite him.\He's an enemy of women!\Other than that, how are we going to hold celebration? response:	First, let's go to the store and buy snacks.
context: He must've gone to harass some female students, right?\Isn't this report interesting?\Actually, the newspaper club is recruiting some beautiful girls for modeling, wanna try it?\Just as she said.\So it's okay if we don't invite him.\He's an enemy of women!\Other than that, how are we going to hold celebration?\First, let's go to the store and buy snacks. response:	I want to drink some beverages.
context: Isn't this report interesting?\Actually, the newspaper club is recruiting some beautiful girls for modeling, wanna try it?\Just as she said.\So it's okay if we don't invite him.\He's an enemy of women!\Other than that, how are we going to hold celebration?\First, let's go to the store and buy snacks.\I want to drink some beverages. response:	Alcohol is a no though.
context: Actually, the newspaper club is recruiting some beautiful girls for modeling, wanna try it?\Just as she said.\So it's okay if we don't invite him.\He's an enemy of women!\Other than that, how are we going to hold celebration?\First, let's go to the store and buy snacks.\I want to drink some beverages.\Alcohol is a no though. response:	Well then, we will bring our stuffs to the clubroom after class is over.
context: Just as she said.\So it's okay if we don't invite him.\He's an enemy of women!\Other than that, how are we going to hold celebration?\First, let's go to the store and buy snacks.\I want to drink some beverages.\Alcohol is a no though.\Well then, we will bring our stuffs to the clubroom after class is over. response:	And let's play Bingo after that.
context: So it's okay if we don't invite him.\He's an enemy of women!\Other than that, how are we going to hold celebration?\First, let's go to the store and buy snacks.\I want to drink some beverages.\Alcohol is a no though.\Well then, we will bring our stuffs to the clubroom after class is over.\And let's play Bingo after that. response:	You guys sure get along well.
context: He's an enemy of women!\Other than that, how are we going to hold celebration?\First, let's go to the store and buy snacks.\I want to drink some beverages.\Alcohol is a no though.\Well then, we will bring our stuffs to the clubroom after class is over.\And let's play Bingo after that.\You guys sure get along well. response:	The newspaper club that is...
context: Other than that, how are we going to hold celebration?\First, let's go to the store and buy snacks.\I want to drink some beverages.\Alcohol is a no though.\Well then, we will bring our stuffs to the clubroom after class is over.\And let's play Bingo after that.\You guys sure get along well.\The newspaper club that is... response:	Getting close with one another...I don't really understand that.
context: First, let's go to the store and buy snacks.\I want to drink some beverages.\Alcohol is a no though.\Well then, we will bring our stuffs to the clubroom after class is over.\And let's play Bingo after that.\You guys sure get along well.\The newspaper club that is...\Getting close with one another...I don't really understand that. response:	Hey! What's that suppose to mean?
context: I want to drink some beverages.\Alcohol is a no though.\Well then, we will bring our stuffs to the clubroom after class is over.\And let's play Bingo after that.\You guys sure get along well.\The newspaper club that is...\Getting close with one another...I don't really understand that.\Hey! What's that suppose to mean? response:	Newspaper.
context: Alcohol is a no though.\Well then, we will bring our stuffs to the clubroom after class is over.\And let's play Bingo after that.\You guys sure get along well.\The newspaper club that is...\Getting close with one another...I don't really understand that.\Hey! What's that suppose to mean?\Newspaper. response:	Are there any left?
context: Well then, we will bring our stuffs to the clubroom after class is over.\And let's play Bingo after that.\You guys sure get along well.\The newspaper club that is...\Getting close with one another...I don't really understand that.\Hey! What's that suppose to mean?\Newspaper.\Are there any left? response:	It's a bit tattered, but if you don't mind...
context: And let's play Bingo after that.\You guys sure get along well.\The newspaper club that is...\Getting close with one another...I don't really understand that.\Hey! What's that suppose to mean?\Newspaper.\Are there any left?\It's a bit tattered, but if you don't mind... response:	Here.
context: You guys sure get along well.\The newspaper club that is...\Getting close with one another...I don't really understand that.\Hey! What's that suppose to mean?\Newspaper.\Are there any left?\It's a bit tattered, but if you don't mind...\Here. response:	What is it?
context: The newspaper club that is...\Getting close with one another...I don't really understand that.\Hey! What's that suppose to mean?\Newspaper.\Are there any left?\It's a bit tattered, but if you don't mind...\Here.\What is it? response:	So you're Tsukune-kun?
context: Getting close with one another...I don't really understand that.\Hey! What's that suppose to mean?\Newspaper.\Are there any left?\It's a bit tattered, but if you don't mind...\Here.\What is it?\So you're Tsukune-kun? response:	You're cuter than I thought.
context: Hey! What's that suppose to mean?\Newspaper.\Are there any left?\It's a bit tattered, but if you don't mind...\Here.\What is it?\So you're Tsukune-kun?\You're cuter than I thought. response:	Bye then.
context: Newspaper.\Are there any left?\It's a bit tattered, but if you don't mind...\Here.\What is it?\So you're Tsukune-kun?\You're cuter than I thought.\Bye then. response:	Who was that just now, Tsukune?
context: Are there any left?\It's a bit tattered, but if you don't mind...\Here.\What is it?\So you're Tsukune-kun?\You're cuter than I thought.\Bye then.\Who was that just now, Tsukune? response:	Ah, someone I don't know...
context: It's a bit tattered, but if you don't mind...\Here.\What is it?\So you're Tsukune-kun?\You're cuter than I thought.\Bye then.\Who was that just now, Tsukune?\Ah, someone I don't know... response:	But she kinda pisses me off.
context: Here.\What is it?\So you're Tsukune-kun?\You're cuter than I thought.\Bye then.\Who was that just now, Tsukune?\Ah, someone I don't know...\But she kinda pisses me off. response:	Yup, yup!
context: What is it?\So you're Tsukune-kun?\You're cuter than I thought.\Bye then.\Who was that just now, Tsukune?\Ah, someone I don't know...\But she kinda pisses me off.\Yup, yup! response:	Now now,
context: So you're Tsukune-kun?\You're cuter than I thought.\Bye then.\Who was that just now, Tsukune?\Ah, someone I don't know...\But she kinda pisses me off.\Yup, yup!\Now now, response:	Putting that aside, let's party hard after school.
context: You're cuter than I thought.\Bye then.\Who was that just now, Tsukune?\Ah, someone I don't know...\But she kinda pisses me off.\Yup, yup!\Now now,\Putting that aside, let's party hard after school. response:	Yeah!
context: Bye then.\Who was that just now, Tsukune?\Ah, someone I don't know...\But she kinda pisses me off.\Yup, yup!\Now now,\Putting that aside, let's party hard after school.\Yeah! response:	Kurono-san.
context: Who was that just now, Tsukune?\Ah, someone I don't know...\But she kinda pisses me off.\Yup, yup!\Now now,\Putting that aside, let's party hard after school.\Yeah!\Kurono-san. response:	Here.
context: Ah, someone I don't know...\But she kinda pisses me off.\Yup, yup!\Now now,\Putting that aside, let's party hard after school.\Yeah!\Kurono-san.\Here. response:	Satou-kun.
context: But she kinda pisses me off.\Yup, yup!\Now now,\Putting that aside, let's party hard after school.\Yeah!\Kurono-san.\Here.\Satou-kun. response:	Here.
context: Yup, yup!\Now now,\Putting that aside, let's party hard after school.\Yeah!\Kurono-san.\Here.\Satou-kun.\Here. response:	Shirayuki-san.
context: Now now,\Putting that aside, let's party hard after school.\Yeah!\Kurono-san.\Here.\Satou-kun.\Here.\Shirayuki-san. response:	Shirayuki-san?
context: Putting that aside, let's party hard after school.\Yeah!\Kurono-san.\Here.\Satou-kun.\Here.\Shirayuki-san.\Shirayuki-san? response:	Shirayuki-san is absent today too...
context: Yeah!\Kurono-san.\Here.\Satou-kun.\Here.\Shirayuki-san.\Shirayuki-san?\Shirayuki-san is absent today too... response:	The girl from this morning...
context: Kurono-san.\Here.\Satou-kun.\Here.\Shirayuki-san.\Shirayuki-san?\Shirayuki-san is absent today too...\The girl from this morning... response:	Shirayuki-san, you finally came?
context: Here.\Satou-kun.\Here.\Shirayuki-san.\Shirayuki-san?\Shirayuki-san is absent today too...\The girl from this morning...\Shirayuki-san, you finally came? response:	Well then, let me introduce her to the class again.
context: Satou-kun.\Here.\Shirayuki-san.\Shirayuki-san?\Shirayuki-san is absent today too...\The girl from this morning...\Shirayuki-san, you finally came?\Well then, let me introduce her to the class again. response:	She's Shirayuki Mizore-san.
context: Here.\Shirayuki-san.\Shirayuki-san?\Shirayuki-san is absent today too...\The girl from this morning...\Shirayuki-san, you finally came?\Well then, let me introduce her to the class again.\She's Shirayuki Mizore-san. response:	Due to some reasons she hasn't been coming to school,
context: Shirayuki-san.\Shirayuki-san?\Shirayuki-san is absent today too...\The girl from this morning...\Shirayuki-san, you finally came?\Well then, let me introduce her to the class again.\She's Shirayuki Mizore-san.\Due to some reasons she hasn't been coming to school, response:	So everyone, please get along with her.
context: Shirayuki-san?\Shirayuki-san is absent today too...\The girl from this morning...\Shirayuki-san, you finally came?\Well then, let me introduce her to the class again.\She's Shirayuki Mizore-san.\Due to some reasons she hasn't been coming to school,\So everyone, please get along with her. response:	Eh?
context: Shirayuki-san is absent today too...\The girl from this morning...\Shirayuki-san, you finally came?\Well then, let me introduce her to the class again.\She's Shirayuki Mizore-san.\Due to some reasons she hasn't been coming to school,\So everyone, please get along with her.\Eh? response:	Then, let's meet up in the clubroom after we finish buying everything.
context: The girl from this morning...\Shirayuki-san, you finally came?\Well then, let me introduce her to the class again.\She's Shirayuki Mizore-san.\Due to some reasons she hasn't been coming to school,\So everyone, please get along with her.\Eh?\Then, let's meet up in the clubroom after we finish buying everything. response:	You better be looking forward to my handmade sweets.
context: Shirayuki-san, you finally came?\Well then, let me introduce her to the class again.\She's Shirayuki Mizore-san.\Due to some reasons she hasn't been coming to school,\So everyone, please get along with her.\Eh?\Then, let's meet up in the clubroom after we finish buying everything.\You better be looking forward to my handmade sweets. response:	Kurumu-chan, you're too close to Tsukune!
context: Well then, let me introduce her to the class again.\She's Shirayuki Mizore-san.\Due to some reasons she hasn't been coming to school,\So everyone, please get along with her.\Eh?\Then, let's meet up in the clubroom after we finish buying everything.\You better be looking forward to my handmade sweets.\Kurumu-chan, you're too close to Tsukune! response:	Hey, wait!
context: She's Shirayuki Mizore-san.\Due to some reasons she hasn't been coming to school,\So everyone, please get along with her.\Eh?\Then, let's meet up in the clubroom after we finish buying everything.\You better be looking forward to my handmade sweets.\Kurumu-chan, you're too close to Tsukune!\Hey, wait! response:	Who's there?
context: Due to some reasons she hasn't been coming to school,\So everyone, please get along with her.\Eh?\Then, let's meet up in the clubroom after we finish buying everything.\You better be looking forward to my handmade sweets.\Kurumu-chan, you're too close to Tsukune!\Hey, wait!\Who's there? response:	Hi...
context: So everyone, please get along with her.\Eh?\Then, let's meet up in the clubroom after we finish buying everything.\You better be looking forward to my handmade sweets.\Kurumu-chan, you're too close to Tsukune!\Hey, wait!\Who's there?\Hi... response:	You are...Shirayuki-san...
context: Eh?\Then, let's meet up in the clubroom after we finish buying everything.\You better be looking forward to my handmade sweets.\Kurumu-chan, you're too close to Tsukune!\Hey, wait!\Who's there?\Hi...\You are...Shirayuki-san... response:	Anything I can do for you?
context: Then, let's meet up in the clubroom after we finish buying everything.\You better be looking forward to my handmade sweets.\Kurumu-chan, you're too close to Tsukune!\Hey, wait!\Who's there?\Hi...\You are...Shirayuki-san...\Anything I can do for you? response:	I read it; the news that you wrote is interesting as usual.
context: You better be looking forward to my handmade sweets.\Kurumu-chan, you're too close to Tsukune!\Hey, wait!\Who's there?\Hi...\You are...Shirayuki-san...\Anything I can do for you?\I read it; the news that you wrote is interesting as usual. response:	As usual?
context: Kurumu-chan, you're too close to Tsukune!\Hey, wait!\Who's there?\Hi...\You are...Shirayuki-san...\Anything I can do for you?\I read it; the news that you wrote is interesting as usual.\As usual? response:	Look.
context: Hey, wait!\Who's there?\Hi...\You are...Shirayuki-san...\Anything I can do for you?\I read it; the news that you wrote is interesting as usual.\As usual?\Look. response:	When I was away from school, I always requested Nekonome-sensei to send me copies of Youkai's newspaper.
context: Who's there?\Hi...\You are...Shirayuki-san...\Anything I can do for you?\I read it; the news that you wrote is interesting as usual.\As usual?\Look.\When I was away from school, I always requested Nekonome-sensei to send me copies of Youkai's newspaper. response:	I've been gathering your articles into this scrapbook.
context: Hi...\You are...Shirayuki-san...\Anything I can do for you?\I read it; the news that you wrote is interesting as usual.\As usual?\Look.\When I was away from school, I always requested Nekonome-sensei to send me copies of Youkai's newspaper.\I've been gathering your articles into this scrapbook. response:	Oh I see, I'm happy...
context: You are...Shirayuki-san...\Anything I can do for you?\I read it; the news that you wrote is interesting as usual.\As usual?\Look.\When I was away from school, I always requested Nekonome-sensei to send me copies of Youkai's newspaper.\I've been gathering your articles into this scrapbook.\Oh I see, I'm happy... response:	How is it? I even wrote some comments about them.
context: Anything I can do for you?\I read it; the news that you wrote is interesting as usual.\As usual?\Look.\When I was away from school, I always requested Nekonome-sensei to send me copies of Youkai's newspaper.\I've been gathering your articles into this scrapbook.\Oh I see, I'm happy...\How is it? I even wrote some comments about them. response:	What is this?! There's some strange and small words written in here!
context: I read it; the news that you wrote is interesting as usual.\As usual?\Look.\When I was away from school, I always requested Nekonome-sensei to send me copies of Youkai's newspaper.\I've been gathering your articles into this scrapbook.\Oh I see, I'm happy...\How is it? I even wrote some comments about them.\What is this?! There's some strange and small words written in here! response:	I love the news reports that you write.
context: As usual?\Look.\When I was away from school, I always requested Nekonome-sensei to send me copies of Youkai's newspaper.\I've been gathering your articles into this scrapbook.\Oh I see, I'm happy...\How is it? I even wrote some comments about them.\What is this?! There's some strange and small words written in here!\I love the news reports that you write. response:	You always write from a weak person's view, which I can relate to.
context: Look.\When I was away from school, I always requested Nekonome-sensei to send me copies of Youkai's newspaper.\I've been gathering your articles into this scrapbook.\Oh I see, I'm happy...\How is it? I even wrote some comments about them.\What is this?! There's some strange and small words written in here!\I love the news reports that you write.\You always write from a weak person's view, which I can relate to. response:	Your personality and way of thinking is just like mine.
context: When I was away from school, I always requested Nekonome-sensei to send me copies of Youkai's newspaper.\I've been gathering your articles into this scrapbook.\Oh I see, I'm happy...\How is it? I even wrote some comments about them.\What is this?! There's some strange and small words written in here!\I love the news reports that you write.\You always write from a weak person's view, which I can relate to.\Your personality and way of thinking is just like mine. response:	W-Wait...
context: I've been gathering your articles into this scrapbook.\Oh I see, I'm happy...\How is it? I even wrote some comments about them.\What is this?! There's some strange and small words written in here!\I love the news reports that you write.\You always write from a weak person's view, which I can relate to.\Your personality and way of thinking is just like mine.\W-Wait... response:	You must be lonely, right? I also know how it feels...
context: Oh I see, I'm happy...\How is it? I even wrote some comments about them.\What is this?! There's some strange and small words written in here!\I love the news reports that you write.\You always write from a weak person's view, which I can relate to.\Your personality and way of thinking is just like mine.\W-Wait...\You must be lonely, right? I also know how it feels... response:	Nekonome-sensei.
context: How is it? I even wrote some comments about them.\What is this?! There's some strange and small words written in here!\I love the news reports that you write.\You always write from a weak person's view, which I can relate to.\Your personality and way of thinking is just like mine.\W-Wait...\You must be lonely, right? I also know how it feels...\Nekonome-sensei. response:	Yes?
context: What is this?! There's some strange and small words written in here!\I love the news reports that you write.\You always write from a weak person's view, which I can relate to.\Your personality and way of thinking is just like mine.\W-Wait...\You must be lonely, right? I also know how it feels...\Nekonome-sensei.\Yes? response:	There's a student in your class that's been refusing to come to school.
context: I love the news reports that you write.\You always write from a weak person's view, which I can relate to.\Your personality and way of thinking is just like mine.\W-Wait...\You must be lonely, right? I also know how it feels...\Nekonome-sensei.\Yes?\There's a student in your class that's been refusing to come to school. response:	If I remember correctly, she's called Shirayuki.
context: You always write from a weak person's view, which I can relate to.\Your personality and way of thinking is just like mine.\W-Wait...\You must be lonely, right? I also know how it feels...\Nekonome-sensei.\Yes?\There's a student in your class that's been refusing to come to school.\If I remember correctly, she's called Shirayuki. response:	It seems like she started to attend school today.
context: Your personality and way of thinking is just like mine.\W-Wait...\You must be lonely, right? I also know how it feels...\Nekonome-sensei.\Yes?\There's a student in your class that's been refusing to come to school.\If I remember correctly, she's called Shirayuki.\It seems like she started to attend school today. response:	Yes, Kotsubo-sensei.
context: W-Wait...\You must be lonely, right? I also know how it feels...\Nekonome-sensei.\Yes?\There's a student in your class that's been refusing to come to school.\If I remember correctly, she's called Shirayuki.\It seems like she started to attend school today.\Yes, Kotsubo-sensei. response:	You'd better be careful.
context: You must be lonely, right? I also know how it feels...\Nekonome-sensei.\Yes?\There's a student in your class that's been refusing to come to school.\If I remember correctly, she's called Shirayuki.\It seems like she started to attend school today.\Yes, Kotsubo-sensei.\You'd better be careful. response:	Meow?
context: Nekonome-sensei.\Yes?\There's a student in your class that's been refusing to come to school.\If I remember correctly, she's called Shirayuki.\It seems like she started to attend school today.\Yes, Kotsubo-sensei.\You'd better be careful.\Meow? response:	Refusing to come to school from the new term would basically mean that she has some major problems.
context: Yes?\There's a student in your class that's been refusing to come to school.\If I remember correctly, she's called Shirayuki.\It seems like she started to attend school today.\Yes, Kotsubo-sensei.\You'd better be careful.\Meow?\Refusing to come to school from the new term would basically mean that she has some major problems. response:	According to reports, due to her personality,
context: There's a student in your class that's been refusing to come to school.\If I remember correctly, she's called Shirayuki.\It seems like she started to attend school today.\Yes, Kotsubo-sensei.\You'd better be careful.\Meow?\Refusing to come to school from the new term would basically mean that she has some major problems.\According to reports, due to her personality, response:	This has been a recurring problem since junior high.
context: If I remember correctly, she's called Shirayuki.\It seems like she started to attend school today.\Yes, Kotsubo-sensei.\You'd better be careful.\Meow?\Refusing to come to school from the new term would basically mean that she has some major problems.\According to reports, due to her personality,\This has been a recurring problem since junior high. response:	Anyway,
context: It seems like she started to attend school today.\Yes, Kotsubo-sensei.\You'd better be careful.\Meow?\Refusing to come to school from the new term would basically mean that she has some major problems.\According to reports, due to her personality,\This has been a recurring problem since junior high.\Anyway, response:	I'd like you to watch her and not let the other students get any bad influences from her, Nekonome-sensei.
context: Yes, Kotsubo-sensei.\You'd better be careful.\Meow?\Refusing to come to school from the new term would basically mean that she has some major problems.\According to reports, due to her personality,\This has been a recurring problem since junior high.\Anyway,\I'd like you to watch her and not let the other students get any bad influences from her, Nekonome-sensei. response:	Yes...
context: You'd better be careful.\Meow?\Refusing to come to school from the new term would basically mean that she has some major problems.\According to reports, due to her personality,\This has been a recurring problem since junior high.\Anyway,\I'd like you to watch her and not let the other students get any bad influences from her, Nekonome-sensei.\Yes... response:	Did you see it, Tsukune? The stone just skipped nine times.
context: Meow?\Refusing to come to school from the new term would basically mean that she has some major problems.\According to reports, due to her personality,\This has been a recurring problem since junior high.\Anyway,\I'd like you to watch her and not let the other students get any bad influences from her, Nekonome-sensei.\Yes...\Did you see it, Tsukune? The stone just skipped nine times. response:	Umm... Shirayuki-san...
context: Refusing to come to school from the new term would basically mean that she has some major problems.\According to reports, due to her personality,\This has been a recurring problem since junior high.\Anyway,\I'd like you to watch her and not let the other students get any bad influences from her, Nekonome-sensei.\Yes...\Did you see it, Tsukune? The stone just skipped nine times.\Umm... Shirayuki-san... response:	I have to return to the clubroom soon.
context: According to reports, due to her personality,\This has been a recurring problem since junior high.\Anyway,\I'd like you to watch her and not let the other students get any bad influences from her, Nekonome-sensei.\Yes...\Did you see it, Tsukune? The stone just skipped nine times.\Umm... Shirayuki-san...\I have to return to the clubroom soon. response:	No! Your throwing is too bad that you still can't make it skip more than 4 times, right?
context: This has been a recurring problem since junior high.\Anyway,\I'd like you to watch her and not let the other students get any bad influences from her, Nekonome-sensei.\Yes...\Did you see it, Tsukune? The stone just skipped nine times.\Umm... Shirayuki-san...\I have to return to the clubroom soon.\No! Your throwing is too bad that you still can't make it skip more than 4 times, right? response:	It's already time for the party, and Moka-san is waiting for me.
context: Anyway,\I'd like you to watch her and not let the other students get any bad influences from her, Nekonome-sensei.\Yes...\Did you see it, Tsukune? The stone just skipped nine times.\Umm... Shirayuki-san...\I have to return to the clubroom soon.\No! Your throwing is too bad that you still can't make it skip more than 4 times, right?\It's already time for the party, and Moka-san is waiting for me. response:	Do you want to go back to that collusive club of yours?
context: I'd like you to watch her and not let the other students get any bad influences from her, Nekonome-sensei.\Yes...\Did you see it, Tsukune? The stone just skipped nine times.\Umm... Shirayuki-san...\I have to return to the clubroom soon.\No! Your throwing is too bad that you still can't make it skip more than 4 times, right?\It's already time for the party, and Moka-san is waiting for me.\Do you want to go back to that collusive club of yours? response:	No, rather, you just want to see Akashiya Moke, right?
context: Yes...\Did you see it, Tsukune? The stone just skipped nine times.\Umm... Shirayuki-san...\I have to return to the clubroom soon.\No! Your throwing is too bad that you still can't make it skip more than 4 times, right?\It's already time for the party, and Moka-san is waiting for me.\Do you want to go back to that collusive club of yours?\No, rather, you just want to see Akashiya Moke, right? response:	If you were to go, I don't know what I'll do to that woman.
context: Did you see it, Tsukune? The stone just skipped nine times.\Umm... Shirayuki-san...\I have to return to the clubroom soon.\No! Your throwing is too bad that you still can't make it skip more than 4 times, right?\It's already time for the party, and Moka-san is waiting for me.\Do you want to go back to that collusive club of yours?\No, rather, you just want to see Akashiya Moke, right?\If you were to go, I don't know what I'll do to that woman. response:	Shirayuki...san.
context: Umm... Shirayuki-san...\I have to return to the clubroom soon.\No! Your throwing is too bad that you still can't make it skip more than 4 times, right?\It's already time for the party, and Moka-san is waiting for me.\Do you want to go back to that collusive club of yours?\No, rather, you just want to see Akashiya Moke, right?\If you were to go, I don't know what I'll do to that woman.\Shirayuki...san. response:	All you need to do is just be mine, Tsukune.
context: I have to return to the clubroom soon.\No! Your throwing is too bad that you still can't make it skip more than 4 times, right?\It's already time for the party, and Moka-san is waiting for me.\Do you want to go back to that collusive club of yours?\No, rather, you just want to see Akashiya Moke, right?\If you were to go, I don't know what I'll do to that woman.\Shirayuki...san.\All you need to do is just be mine, Tsukune. response:	Tsukune sure is late...
context: No! Your throwing is too bad that you still can't make it skip more than 4 times, right?\It's already time for the party, and Moka-san is waiting for me.\Do you want to go back to that collusive club of yours?\No, rather, you just want to see Akashiya Moke, right?\If you were to go, I don't know what I'll do to that woman.\Shirayuki...san.\All you need to do is just be mine, Tsukune.\Tsukune sure is late... response:	Tsukune?
context: It's already time for the party, and Moka-san is waiting for me.\Do you want to go back to that collusive club of yours?\No, rather, you just want to see Akashiya Moke, right?\If you were to go, I don't know what I'll do to that woman.\Shirayuki...san.\All you need to do is just be mine, Tsukune.\Tsukune sure is late...\Tsukune? response:	Shirayuki...san?
context: Do you want to go back to that collusive club of yours?\No, rather, you just want to see Akashiya Moke, right?\If you were to go, I don't know what I'll do to that woman.\Shirayuki...san.\All you need to do is just be mine, Tsukune.\Tsukune sure is late...\Tsukune?\Shirayuki...san? response:	Tsukune won't be coming no matter how much longer you wait.
context: No, rather, you just want to see Akashiya Moke, right?\If you were to go, I don't know what I'll do to that woman.\Shirayuki...san.\All you need to do is just be mine, Tsukune.\Tsukune sure is late...\Tsukune?\Shirayuki...san?\Tsukune won't be coming no matter how much longer you wait. response:	What are you...?
context: If you were to go, I don't know what I'll do to that woman.\Shirayuki...san.\All you need to do is just be mine, Tsukune.\Tsukune sure is late...\Tsukune?\Shirayuki...san?\Tsukune won't be coming no matter how much longer you wait.\What are you...? response:	You're an eyesore.
context: Shirayuki...san.\All you need to do is just be mine, Tsukune.\Tsukune sure is late...\Tsukune?\Shirayuki...san?\Tsukune won't be coming no matter how much longer you wait.\What are you...?\You're an eyesore. response:	If you don't exist, Tsukune will be mine.
context: All you need to do is just be mine, Tsukune.\Tsukune sure is late...\Tsukune?\Shirayuki...san?\Tsukune won't be coming no matter how much longer you wait.\What are you...?\You're an eyesore.\If you don't exist, Tsukune will be mine. response:	What's with her hands? They're as cold as ice.
context: Tsukune sure is late...\Tsukune?\Shirayuki...san?\Tsukune won't be coming no matter how much longer you wait.\What are you...?\You're an eyesore.\If you don't exist, Tsukune will be mine.\What's with her hands? They're as cold as ice. response:	Stop!
