context: Between catching a cold and trying to help Sota with his first girlfriend, response:	I used up a lot of time.
context: Hername's Kirara.\Let's put this on.\She's Sango's beloved pet.\Huh?\There, all set.\Now let's go home, Kuroro.\I told you that's not Kuroro! Hername's Kirara!\They're coming. response:	Run away, Kuroro!
context: Let's put this on.\She's Sango's beloved pet.\Huh?\There, all set.\Now let's go home, Kuroro.\I told you that's not Kuroro! Hername's Kirara!\They're coming.\Run away, Kuroro! response:	Kuroro! Don'tget caught!
context: She's Sango's beloved pet.\Huh?\There, all set.\Now let's go home, Kuroro.\I told you that's not Kuroro! Hername's Kirara!\They're coming.\Run away, Kuroro!\Kuroro! Don'tget caught! response:	I said that's Kirara!
context: Huh?\There, all set.\Now let's go home, Kuroro.\I told you that's not Kuroro! Hername's Kirara!\They're coming.\Run away, Kuroro!\Kuroro! Don'tget caught!\I said that's Kirara! response:	She's cute, but strange.
context: There, all set.\Now let's go home, Kuroro.\I told you that's not Kuroro! Hername's Kirara!\They're coming.\Run away, Kuroro!\Kuroro! Don'tget caught!\I said that's Kirara!\She's cute, but strange. response:	What's the matter, Kirara?
context: Now let's go home, Kuroro.\I told you that's not Kuroro! Hername's Kirara!\They're coming.\Run away, Kuroro!\Kuroro! Don'tget caught!\I said that's Kirara!\She's cute, but strange.\What's the matter, Kirara? response:	H-Hey look! That cat again!
context: I told you that's not Kuroro! Hername's Kirara!\They're coming.\Run away, Kuroro!\Kuroro! Don'tget caught!\I said that's Kirara!\She's cute, but strange.\What's the matter, Kirara?\H-Hey look! That cat again! response:	I'm sure we chased it far away from the village.
context: They're coming.\Run away, Kuroro!\Kuroro! Don'tget caught!\I said that's Kirara!\She's cute, but strange.\What's the matter, Kirara?\H-Hey look! That cat again!\I'm sure we chased it far away from the village. response:	Why, you...!
context: Run away, Kuroro!\Kuroro! Don'tget caught!\I said that's Kirara!\She's cute, but strange.\What's the matter, Kirara?\H-Hey look! That cat again!\I'm sure we chased it far away from the village.\Why, you...! response:	Get outta here!
context: Kuroro! Don'tget caught!\I said that's Kirara!\She's cute, but strange.\What's the matter, Kirara?\H-Hey look! That cat again!\I'm sure we chased it far away from the village.\Why, you...!\Get outta here! response:	Hey! Stop! What're you doing?!
context: I said that's Kirara!\She's cute, but strange.\What's the matter, Kirara?\H-Hey look! That cat again!\I'm sure we chased it far away from the village.\Why, you...!\Get outta here!\Hey! Stop! What're you doing?! response:	Owwee!
context: She's cute, but strange.\What's the matter, Kirara?\H-Hey look! That cat again!\I'm sure we chased it far away from the village.\Why, you...!\Get outta here!\Hey! Stop! What're you doing?!\Owwee! response:	Hey!
context: What's the matter, Kirara?\H-Hey look! That cat again!\I'm sure we chased it far away from the village.\Why, you...!\Get outta here!\Hey! Stop! What're you doing?!\Owwee!\Hey! response:	Wait Kirara!
context: H-Hey look! That cat again!\I'm sure we chased it far away from the village.\Why, you...!\Get outta here!\Hey! Stop! What're you doing?!\Owwee!\Hey!\Wait Kirara! response:	You mustn't bare yourfangs against humans.
context: I'm sure we chased it far away from the village.\Why, you...!\Get outta here!\Hey! Stop! What're you doing?!\Owwee!\Hey!\Wait Kirara!\You mustn't bare yourfangs against humans. response:	Hey Shippo! What's going on?
context: Why, you...!\Get outta here!\Hey! Stop! What're you doing?!\Owwee!\Hey!\Wait Kirara!\You mustn't bare yourfangs against humans.\Hey Shippo! What's going on? response:	Shippo?
context: Get outta here!\Hey! Stop! What're you doing?!\Owwee!\Hey!\Wait Kirara!\You mustn't bare yourfangs against humans.\Hey Shippo! What's going on?\Shippo? response:	E-Everyone!
context: Hey! Stop! What're you doing?!\Owwee!\Hey!\Wait Kirara!\You mustn't bare yourfangs against humans.\Hey Shippo! What's going on?\Shippo?\E-Everyone! response:	You guys! Are you in league with that demon cat?!
context: Owwee!\Hey!\Wait Kirara!\You mustn't bare yourfangs against humans.\Hey Shippo! What's going on?\Shippo?\E-Everyone!\You guys! Are you in league with that demon cat?! response:	Who you calling a demon cat?!
context: Hey!\Wait Kirara!\You mustn't bare yourfangs against humans.\Hey Shippo! What's going on?\Shippo?\E-Everyone!\You guys! Are you in league with that demon cat?!\Who you calling a demon cat?! response:	Come come, Inuyasha!
context: Wait Kirara!\You mustn't bare yourfangs against humans.\Hey Shippo! What's going on?\Shippo?\E-Everyone!\You guys! Are you in league with that demon cat?!\Who you calling a demon cat?!\Come come, Inuyasha! response:	W-What?
context: You mustn't bare yourfangs against humans.\Hey Shippo! What's going on?\Shippo?\E-Everyone!\You guys! Are you in league with that demon cat?!\Who you calling a demon cat?!\Come come, Inuyasha!\W-What? response:	Let me handle this...
context: Hey Shippo! What's going on?\Shippo?\E-Everyone!\You guys! Are you in league with that demon cat?!\Who you calling a demon cat?!\Come come, Inuyasha!\W-What?\Let me handle this... response:	Villagers, violence is notgood.
context: Shippo?\E-Everyone!\You guys! Are you in league with that demon cat?!\Who you calling a demon cat?!\Come come, Inuyasha!\W-What?\Let me handle this...\Villagers, violence is notgood. response:	We can talk it out...
context: E-Everyone!\You guys! Are you in league with that demon cat?!\Who you calling a demon cat?!\Come come, Inuyasha!\W-What?\Let me handle this...\Villagers, violence is notgood.\We can talk it out... response:	Why, you...!
context: You guys! Are you in league with that demon cat?!\Who you calling a demon cat?!\Come come, Inuyasha!\W-What?\Let me handle this...\Villagers, violence is notgood.\We can talk it out...\Why, you...! response:	- Come come... - Miroku, calm down.
context: Who you calling a demon cat?!\Come come, Inuyasha!\W-What?\Let me handle this...\Villagers, violence is notgood.\We can talk it out...\Why, you...!\- Come come... - Miroku, calm down. response:	Wait, everyone!
context: Come come, Inuyasha!\W-What?\Let me handle this...\Villagers, violence is notgood.\We can talk it out...\Why, you...!\- Come come... - Miroku, calm down.\Wait, everyone! response:	Stop!
context: W-What?\Let me handle this...\Villagers, violence is notgood.\We can talk it out...\Why, you...!\- Come come... - Miroku, calm down.\Wait, everyone!\Stop! response:	Don't do anything rough!
context: Let me handle this...\Villagers, violence is notgood.\We can talk it out...\Why, you...!\- Come come... - Miroku, calm down.\Wait, everyone!\Stop!\Don't do anything rough! response:	Cats are vengeful creatures and will curse you for seven generations.
context: Villagers, violence is notgood.\We can talk it out...\Why, you...!\- Come come... - Miroku, calm down.\Wait, everyone!\Stop!\Don't do anything rough!\Cats are vengeful creatures and will curse you for seven generations. response:	Besides, that cat is not Kuroro!
context: We can talk it out...\Why, you...!\- Come come... - Miroku, calm down.\Wait, everyone!\Stop!\Don't do anything rough!\Cats are vengeful creatures and will curse you for seven generations.\Besides, that cat is not Kuroro! response:	Oh, dear... The villagers have been awfully rude to you!
context: Why, you...!\- Come come... - Miroku, calm down.\Wait, everyone!\Stop!\Don't do anything rough!\Cats are vengeful creatures and will curse you for seven generations.\Besides, that cat is not Kuroro!\Oh, dear... The villagers have been awfully rude to you! response:	Nevermind that.
context: - Come come... - Miroku, calm down.\Wait, everyone!\Stop!\Don't do anything rough!\Cats are vengeful creatures and will curse you for seven generations.\Besides, that cat is not Kuroro!\Oh, dear... The villagers have been awfully rude to you!\Nevermind that. response:	But why're you all frantic over one cat?
context: Wait, everyone!\Stop!\Don't do anything rough!\Cats are vengeful creatures and will curse you for seven generations.\Besides, that cat is not Kuroro!\Oh, dear... The villagers have been awfully rude to you!\Nevermind that.\But why're you all frantic over one cat? response:	Well...
context: Stop!\Don't do anything rough!\Cats are vengeful creatures and will curse you for seven generations.\Besides, that cat is not Kuroro!\Oh, dear... The villagers have been awfully rude to you!\Nevermind that.\But why're you all frantic over one cat?\Well... response:	I wonderwho that girl was?
context: Don't do anything rough!\Cats are vengeful creatures and will curse you for seven generations.\Besides, that cat is not Kuroro!\Oh, dear... The villagers have been awfully rude to you!\Nevermind that.\But why're you all frantic over one cat?\Well...\I wonderwho that girl was? response:	Kirara seemed to take to herso well.
context: Cats are vengeful creatures and will curse you for seven generations.\Besides, that cat is not Kuroro!\Oh, dear... The villagers have been awfully rude to you!\Nevermind that.\But why're you all frantic over one cat?\Well...\I wonderwho that girl was?\Kirara seemed to take to herso well. response:	She must be a girl with a kind heart.
context: Besides, that cat is not Kuroro!\Oh, dear... The villagers have been awfully rude to you!\Nevermind that.\But why're you all frantic over one cat?\Well...\I wonderwho that girl was?\Kirara seemed to take to herso well.\She must be a girl with a kind heart. response:	Avery smart cat named Kuroro lived in this village.
context: Oh, dear... The villagers have been awfully rude to you!\Nevermind that.\But why're you all frantic over one cat?\Well...\I wonderwho that girl was?\Kirara seemed to take to herso well.\She must be a girl with a kind heart.\Avery smart cat named Kuroro lived in this village. response:	It used to play often with the children of the village.
context: Nevermind that.\But why're you all frantic over one cat?\Well...\I wonderwho that girl was?\Kirara seemed to take to herso well.\She must be a girl with a kind heart.\Avery smart cat named Kuroro lived in this village.\It used to play often with the children of the village. response:	But several days ago,
context: But why're you all frantic over one cat?\Well...\I wonderwho that girl was?\Kirara seemed to take to herso well.\She must be a girl with a kind heart.\Avery smart cat named Kuroro lived in this village.\It used to play often with the children of the village.\But several days ago, response:	a very important faith healer passed through the village.
context: Well...\I wonderwho that girl was?\Kirara seemed to take to herso well.\She must be a girl with a kind heart.\Avery smart cat named Kuroro lived in this village.\It used to play often with the children of the village.\But several days ago,\a very important faith healer passed through the village. response:	And he read an oracle that said that a two-tailed cat was bad forthe village
context: I wonderwho that girl was?\Kirara seemed to take to herso well.\She must be a girl with a kind heart.\Avery smart cat named Kuroro lived in this village.\It used to play often with the children of the village.\But several days ago,\a very important faith healer passed through the village.\And he read an oracle that said that a two-tailed cat was bad forthe village response:	and to expel it.
context: Kirara seemed to take to herso well.\She must be a girl with a kind heart.\Avery smart cat named Kuroro lived in this village.\It used to play often with the children of the village.\But several days ago,\a very important faith healer passed through the village.\And he read an oracle that said that a two-tailed cat was bad forthe village\and to expel it. response:	I see... That's why the village girl mistook Kirara forKuroro.
context: She must be a girl with a kind heart.\Avery smart cat named Kuroro lived in this village.\It used to play often with the children of the village.\But several days ago,\a very important faith healer passed through the village.\And he read an oracle that said that a two-tailed cat was bad forthe village\and to expel it.\I see... That's why the village girl mistook Kirara forKuroro. response:	I feel badly forthe children of the village,
context: Avery smart cat named Kuroro lived in this village.\It used to play often with the children of the village.\But several days ago,\a very important faith healer passed through the village.\And he read an oracle that said that a two-tailed cat was bad forthe village\and to expel it.\I see... That's why the village girl mistook Kirara forKuroro.\I feel badly forthe children of the village, response:	but we cannot afford any calamity to hit ourvillage.
context: It used to play often with the children of the village.\But several days ago,\a very important faith healer passed through the village.\And he read an oracle that said that a two-tailed cat was bad forthe village\and to expel it.\I see... That's why the village girl mistook Kirara forKuroro.\I feel badly forthe children of the village,\but we cannot afford any calamity to hit ourvillage. response:	It's pretty harsh to expel one poor cat from the village.
context: But several days ago,\a very important faith healer passed through the village.\And he read an oracle that said that a two-tailed cat was bad forthe village\and to expel it.\I see... That's why the village girl mistook Kirara forKuroro.\I feel badly forthe children of the village,\but we cannot afford any calamity to hit ourvillage.\It's pretty harsh to expel one poor cat from the village. response:	Something's fishy about this faith healer.
context: a very important faith healer passed through the village.\And he read an oracle that said that a two-tailed cat was bad forthe village\and to expel it.\I see... That's why the village girl mistook Kirara forKuroro.\I feel badly forthe children of the village,\but we cannot afford any calamity to hit ourvillage.\It's pretty harsh to expel one poor cat from the village.\Something's fishy about this faith healer. response:	I think we should meet this faith healer.
context: And he read an oracle that said that a two-tailed cat was bad forthe village\and to expel it.\I see... That's why the village girl mistook Kirara forKuroro.\I feel badly forthe children of the village,\but we cannot afford any calamity to hit ourvillage.\It's pretty harsh to expel one poor cat from the village.\Something's fishy about this faith healer.\I think we should meet this faith healer. response:	Yeah, you're right.
context: and to expel it.\I see... That's why the village girl mistook Kirara forKuroro.\I feel badly forthe children of the village,\but we cannot afford any calamity to hit ourvillage.\It's pretty harsh to expel one poor cat from the village.\Something's fishy about this faith healer.\I think we should meet this faith healer.\Yeah, you're right. response:	What's the matter, Shippo?
context: I see... That's why the village girl mistook Kirara forKuroro.\I feel badly forthe children of the village,\but we cannot afford any calamity to hit ourvillage.\It's pretty harsh to expel one poor cat from the village.\Something's fishy about this faith healer.\I think we should meet this faith healer.\Yeah, you're right.\What's the matter, Shippo? response:	Maybe he's got an aching belly
context: I feel badly forthe children of the village,\but we cannot afford any calamity to hit ourvillage.\It's pretty harsh to expel one poor cat from the village.\Something's fishy about this faith healer.\I think we should meet this faith healer.\Yeah, you're right.\What's the matter, Shippo?\Maybe he's got an aching belly response:	from eating a feast he's not used to.
context: but we cannot afford any calamity to hit ourvillage.\It's pretty harsh to expel one poor cat from the village.\Something's fishy about this faith healer.\I think we should meet this faith healer.\Yeah, you're right.\What's the matter, Shippo?\Maybe he's got an aching belly\from eating a feast he's not used to. response:	Where can I find that girl I saw?
context: It's pretty harsh to expel one poor cat from the village.\Something's fishy about this faith healer.\I think we should meet this faith healer.\Yeah, you're right.\What's the matter, Shippo?\Maybe he's got an aching belly\from eating a feast he's not used to.\Where can I find that girl I saw? response:	Huh? That sound.
context: Something's fishy about this faith healer.\I think we should meet this faith healer.\Yeah, you're right.\What's the matter, Shippo?\Maybe he's got an aching belly\from eating a feast he's not used to.\Where can I find that girl I saw?\Huh? That sound. response:	Oh, thatgirl's the one...
context: I think we should meet this faith healer.\Yeah, you're right.\What's the matter, Shippo?\Maybe he's got an aching belly\from eating a feast he's not used to.\Where can I find that girl I saw?\Huh? That sound.\Oh, thatgirl's the one... response:	Kuroro!
context: Yeah, you're right.\What's the matter, Shippo?\Maybe he's got an aching belly\from eating a feast he's not used to.\Where can I find that girl I saw?\Huh? That sound.\Oh, thatgirl's the one...\Kuroro! response:	Kuroro...
context: What's the matter, Shippo?\Maybe he's got an aching belly\from eating a feast he's not used to.\Where can I find that girl I saw?\Huh? That sound.\Oh, thatgirl's the one...\Kuroro!\Kuroro... response:	Hey!
context: Maybe he's got an aching belly\from eating a feast he's not used to.\Where can I find that girl I saw?\Huh? That sound.\Oh, thatgirl's the one...\Kuroro!\Kuroro...\Hey! response:	This is yours, huh?
context: from eating a feast he's not used to.\Where can I find that girl I saw?\Huh? That sound.\Oh, thatgirl's the one...\Kuroro!\Kuroro...\Hey!\This is yours, huh? response:	My name's Shippo.
context: Where can I find that girl I saw?\Huh? That sound.\Oh, thatgirl's the one...\Kuroro!\Kuroro...\Hey!\This is yours, huh?\My name's Shippo. response:	The one you put the bell on wasn't Kuroro.
context: Huh? That sound.\Oh, thatgirl's the one...\Kuroro!\Kuroro...\Hey!\This is yours, huh?\My name's Shippo.\The one you put the bell on wasn't Kuroro. response:	But Kirara.
context: Oh, thatgirl's the one...\Kuroro!\Kuroro...\Hey!\This is yours, huh?\My name's Shippo.\The one you put the bell on wasn't Kuroro.\But Kirara. response:	Kirara?
context: Kuroro!\Kuroro...\Hey!\This is yours, huh?\My name's Shippo.\The one you put the bell on wasn't Kuroro.\But Kirara.\Kirara? response:	You're looking for a cat named Kuroro, right?
context: Kuroro...\Hey!\This is yours, huh?\My name's Shippo.\The one you put the bell on wasn't Kuroro.\But Kirara.\Kirara?\You're looking for a cat named Kuroro, right? response:	Uh-huh.
context: Hey!\This is yours, huh?\My name's Shippo.\The one you put the bell on wasn't Kuroro.\But Kirara.\Kirara?\You're looking for a cat named Kuroro, right?\Uh-huh. response:	I'll help you.
context: This is yours, huh?\My name's Shippo.\The one you put the bell on wasn't Kuroro.\But Kirara.\Kirara?\You're looking for a cat named Kuroro, right?\Uh-huh.\I'll help you. response:	'Kay.
context: My name's Shippo.\The one you put the bell on wasn't Kuroro.\But Kirara.\Kirara?\You're looking for a cat named Kuroro, right?\Uh-huh.\I'll help you.\'Kay. response:	My name's Koume.
context: The one you put the bell on wasn't Kuroro.\But Kirara.\Kirara?\You're looking for a cat named Kuroro, right?\Uh-huh.\I'll help you.\'Kay.\My name's Koume. response:	Koume? Nice name.
context: But Kirara.\Kirara?\You're looking for a cat named Kuroro, right?\Uh-huh.\I'll help you.\'Kay.\My name's Koume.\Koume? Nice name. response:	On-kiri-kiri-kyabara-furanku-kyapura
context: Kirara?\You're looking for a cat named Kuroro, right?\Uh-huh.\I'll help you.\'Kay.\My name's Koume.\Koume? Nice name.\On-kiri-kiri-kyabara-furanku-kyapura response:	On-kiri-kiri-kyabara-furanku-kyapura
