context: Wha...! response:	It was a silent night
context: (Bloody bonds) Makka na chi ga\Kizuna o nurashiai\Yowasa o wakeatte\(Bloody bonds) Yowasa o wakeatte\Futari wa ikite yuku no ka?\Kizu o nameatte\Sei o teigi shiatte\Ai o musabotte response:	Safe House
context: Kizuna o nurashiai\Yowasa o wakeatte\(Bloody bonds) Yowasa o wakeatte\Futari wa ikite yuku no ka?\Kizu o nameatte\Sei o teigi shiatte\Ai o musabotte\Safe House response:	Let's see...
context: Yowasa o wakeatte\(Bloody bonds) Yowasa o wakeatte\Futari wa ikite yuku no ka?\Kizu o nameatte\Sei o teigi shiatte\Ai o musabotte\Safe House\Let's see... response:	How about Taira?
context: (Bloody bonds) Yowasa o wakeatte\Futari wa ikite yuku no ka?\Kizu o nameatte\Sei o teigi shiatte\Ai o musabotte\Safe House\Let's see...\How about Taira? response:	Tsukasa.
context: Futari wa ikite yuku no ka?\Kizu o nameatte\Sei o teigi shiatte\Ai o musabotte\Safe House\Let's see...\How about Taira?\Tsukasa. response:	Tsukasa!
context: Kizu o nameatte\Sei o teigi shiatte\Ai o musabotte\Safe House\Let's see...\How about Taira?\Tsukasa.\Tsukasa! response:	You alive, Taira?
context: Sei o teigi shiatte\Ai o musabotte\Safe House\Let's see...\How about Taira?\Tsukasa.\Tsukasa!\You alive, Taira? response:	You can stay in your seat, but would you read paragraph three?
context: Ai o musabotte\Safe House\Let's see...\How about Taira?\Tsukasa.\Tsukasa!\You alive, Taira?\You can stay in your seat, but would you read paragraph three? response:	Page 136 of the text.
context: Safe House\Let's see...\How about Taira?\Tsukasa.\Tsukasa!\You alive, Taira?\You can stay in your seat, but would you read paragraph three?\Page 136 of the text. response:	Medieval communes in the European Middle Ages had sworn allegiances of mutual defense...
context: Let's see...\How about Taira?\Tsukasa.\Tsukasa!\You alive, Taira?\You can stay in your seat, but would you read paragraph three?\Page 136 of the text.\Medieval communes in the European Middle Ages had sworn allegiances of mutual defense... response:	Medieval communes in the European Middle Ages had sworn allegiances of mutual defense... It's been one month since Akimura disappeared.
context: How about Taira?\Tsukasa.\Tsukasa!\You alive, Taira?\You can stay in your seat, but would you read paragraph three?\Page 136 of the text.\Medieval communes in the European Middle Ages had sworn allegiances of mutual defense...\Medieval communes in the European Middle Ages had sworn allegiances of mutual defense... It's been one month since Akimura disappeared. response:	It's been one month since Akimura disappeared.
context: Tsukasa.\Tsukasa!\You alive, Taira?\You can stay in your seat, but would you read paragraph three?\Page 136 of the text.\Medieval communes in the European Middle Ages had sworn allegiances of mutual defense...\Medieval communes in the European Middle Ages had sworn allegiances of mutual defense... It's been one month since Akimura disappeared.\It's been one month since Akimura disappeared. response:	They're saying he's studying abroad in Canada.
context: Tsukasa!\You alive, Taira?\You can stay in your seat, but would you read paragraph three?\Page 136 of the text.\Medieval communes in the European Middle Ages had sworn allegiances of mutual defense...\Medieval communes in the European Middle Ages had sworn allegiances of mutual defense... It's been one month since Akimura disappeared.\It's been one month since Akimura disappeared.\They're saying he's studying abroad in Canada. response:	His arrest wasn't on the news. Is that because he was a vampire?
context: You alive, Taira?\You can stay in your seat, but would you read paragraph three?\Page 136 of the text.\Medieval communes in the European Middle Ages had sworn allegiances of mutual defense...\Medieval communes in the European Middle Ages had sworn allegiances of mutual defense... It's been one month since Akimura disappeared.\It's been one month since Akimura disappeared.\They're saying he's studying abroad in Canada.\His arrest wasn't on the news. Is that because he was a vampire? response:	I haven't seen Anzai once since the incident.
context: You can stay in your seat, but would you read paragraph three?\Page 136 of the text.\Medieval communes in the European Middle Ages had sworn allegiances of mutual defense...\Medieval communes in the European Middle Ages had sworn allegiances of mutual defense... It's been one month since Akimura disappeared.\It's been one month since Akimura disappeared.\They're saying he's studying abroad in Canada.\His arrest wasn't on the news. Is that because he was a vampire?\I haven't seen Anzai once since the incident. response:	What if...
context: Page 136 of the text.\Medieval communes in the European Middle Ages had sworn allegiances of mutual defense...\Medieval communes in the European Middle Ages had sworn allegiances of mutual defense... It's been one month since Akimura disappeared.\It's been one month since Akimura disappeared.\They're saying he's studying abroad in Canada.\His arrest wasn't on the news. Is that because he was a vampire?\I haven't seen Anzai once since the incident.\What if... response:	What if I imagined the whole thing?
context: Medieval communes in the European Middle Ages had sworn allegiances of mutual defense...\Medieval communes in the European Middle Ages had sworn allegiances of mutual defense... It's been one month since Akimura disappeared.\It's been one month since Akimura disappeared.\They're saying he's studying abroad in Canada.\His arrest wasn't on the news. Is that because he was a vampire?\I haven't seen Anzai once since the incident.\What if...\What if I imagined the whole thing? response:	Huh?
context: Medieval communes in the European Middle Ages had sworn allegiances of mutual defense... It's been one month since Akimura disappeared.\It's been one month since Akimura disappeared.\They're saying he's studying abroad in Canada.\His arrest wasn't on the news. Is that because he was a vampire?\I haven't seen Anzai once since the incident.\What if...\What if I imagined the whole thing?\Huh? response:	Um! There's a syringe sticking out of your leg!
context: It's been one month since Akimura disappeared.\They're saying he's studying abroad in Canada.\His arrest wasn't on the news. Is that because he was a vampire?\I haven't seen Anzai once since the incident.\What if...\What if I imagined the whole thing?\Huh?\Um! There's a syringe sticking out of your leg! response:	Shut up! I did it on purpose!
context: They're saying he's studying abroad in Canada.\His arrest wasn't on the news. Is that because he was a vampire?\I haven't seen Anzai once since the incident.\What if...\What if I imagined the whole thing?\Huh?\Um! There's a syringe sticking out of your leg!\Shut up! I did it on purpose! response:	I can't believe I'm using a sedative on myself.
context: His arrest wasn't on the news. Is that because he was a vampire?\I haven't seen Anzai once since the incident.\What if...\What if I imagined the whole thing?\Huh?\Um! There's a syringe sticking out of your leg!\Shut up! I did it on purpose!\I can't believe I'm using a sedative on myself. response:	Do my eyes look normal now?
context: I haven't seen Anzai once since the incident.\What if...\What if I imagined the whole thing?\Huh?\Um! There's a syringe sticking out of your leg!\Shut up! I did it on purpose!\I can't believe I'm using a sedative on myself.\Do my eyes look normal now? response:	Uh, yeah...
context: What if...\What if I imagined the whole thing?\Huh?\Um! There's a syringe sticking out of your leg!\Shut up! I did it on purpose!\I can't believe I'm using a sedative on myself.\Do my eyes look normal now?\Uh, yeah... response:	Huh? He looks so much better now.
context: What if I imagined the whole thing?\Huh?\Um! There's a syringe sticking out of your leg!\Shut up! I did it on purpose!\I can't believe I'm using a sedative on myself.\Do my eyes look normal now?\Uh, yeah...\Huh? He looks so much better now. response:	The dark circles are gone.
context: Huh?\Um! There's a syringe sticking out of your leg!\Shut up! I did it on purpose!\I can't believe I'm using a sedative on myself.\Do my eyes look normal now?\Uh, yeah...\Huh? He looks so much better now.\The dark circles are gone. response:	So, um...
context: Um! There's a syringe sticking out of your leg!\Shut up! I did it on purpose!\I can't believe I'm using a sedative on myself.\Do my eyes look normal now?\Uh, yeah...\Huh? He looks so much better now.\The dark circles are gone.\So, um... response:	Sorry about that. With the tongue.
context: Shut up! I did it on purpose!\I can't believe I'm using a sedative on myself.\Do my eyes look normal now?\Uh, yeah...\Huh? He looks so much better now.\The dark circles are gone.\So, um...\Sorry about that. With the tongue. response:	You don't have to remind me there was tongue!
context: I can't believe I'm using a sedative on myself.\Do my eyes look normal now?\Uh, yeah...\Huh? He looks so much better now.\The dark circles are gone.\So, um...\Sorry about that. With the tongue.\You don't have to remind me there was tongue! response:	I said sorry! Don't hit me! Stop it! You don't have to remind me there was tongue!
context: Do my eyes look normal now?\Uh, yeah...\Huh? He looks so much better now.\The dark circles are gone.\So, um...\Sorry about that. With the tongue.\You don't have to remind me there was tongue!\I said sorry! Don't hit me! Stop it! You don't have to remind me there was tongue! response:	I said sorry! Don't hit me! Stop it!
context: Uh, yeah...\Huh? He looks so much better now.\The dark circles are gone.\So, um...\Sorry about that. With the tongue.\You don't have to remind me there was tongue!\I said sorry! Don't hit me! Stop it! You don't have to remind me there was tongue!\I said sorry! Don't hit me! Stop it! response:	Anyway...
context: Huh? He looks so much better now.\The dark circles are gone.\So, um...\Sorry about that. With the tongue.\You don't have to remind me there was tongue!\I said sorry! Don't hit me! Stop it! You don't have to remind me there was tongue!\I said sorry! Don't hit me! Stop it!\Anyway... response:	Are you a vampire, too?
context: The dark circles are gone.\So, um...\Sorry about that. With the tongue.\You don't have to remind me there was tongue!\I said sorry! Don't hit me! Stop it! You don't have to remind me there was tongue!\I said sorry! Don't hit me! Stop it!\Anyway...\Are you a vampire, too? response:	I'm sorry. I...
context: So, um...\Sorry about that. With the tongue.\You don't have to remind me there was tongue!\I said sorry! Don't hit me! Stop it! You don't have to remind me there was tongue!\I said sorry! Don't hit me! Stop it!\Anyway...\Are you a vampire, too?\I'm sorry. I... response:	What? Oh, no, it's fine.
context: Sorry about that. With the tongue.\You don't have to remind me there was tongue!\I said sorry! Don't hit me! Stop it! You don't have to remind me there was tongue!\I said sorry! Don't hit me! Stop it!\Anyway...\Are you a vampire, too?\I'm sorry. I...\What? Oh, no, it's fine. response:	Well, I have genes from both, so I guess I'm a half vampire.
context: You don't have to remind me there was tongue!\I said sorry! Don't hit me! Stop it! You don't have to remind me there was tongue!\I said sorry! Don't hit me! Stop it!\Anyway...\Are you a vampire, too?\I'm sorry. I...\What? Oh, no, it's fine.\Well, I have genes from both, so I guess I'm a half vampire. response:	Half...?
context: I said sorry! Don't hit me! Stop it! You don't have to remind me there was tongue!\I said sorry! Don't hit me! Stop it!\Anyway...\Are you a vampire, too?\I'm sorry. I...\What? Oh, no, it's fine.\Well, I have genes from both, so I guess I'm a half vampire.\Half...? response:	So I was under the impression my bloodlust was weaker.
context: I said sorry! Don't hit me! Stop it!\Anyway...\Are you a vampire, too?\I'm sorry. I...\What? Oh, no, it's fine.\Well, I have genes from both, so I guess I'm a half vampire.\Half...?\So I was under the impression my bloodlust was weaker. response:	But apparently not.
context: Anyway...\Are you a vampire, too?\I'm sorry. I...\What? Oh, no, it's fine.\Well, I have genes from both, so I guess I'm a half vampire.\Half...?\So I was under the impression my bloodlust was weaker.\But apparently not. response:	All of Akimura's self-control, and I almost wasted it.
context: Are you a vampire, too?\I'm sorry. I...\What? Oh, no, it's fine.\Well, I have genes from both, so I guess I'm a half vampire.\Half...?\So I was under the impression my bloodlust was weaker.\But apparently not.\All of Akimura's self-control, and I almost wasted it. response:	Anyway, cheer up, alright?
context: I'm sorry. I...\What? Oh, no, it's fine.\Well, I have genes from both, so I guess I'm a half vampire.\Half...?\So I was under the impression my bloodlust was weaker.\But apparently not.\All of Akimura's self-control, and I almost wasted it.\Anyway, cheer up, alright? response:	Huh?
context: What? Oh, no, it's fine.\Well, I have genes from both, so I guess I'm a half vampire.\Half...?\So I was under the impression my bloodlust was weaker.\But apparently not.\All of Akimura's self-control, and I almost wasted it.\Anyway, cheer up, alright?\Huh? response:	There are plenty of fish in the sea.
context: Well, I have genes from both, so I guess I'm a half vampire.\Half...?\So I was under the impression my bloodlust was weaker.\But apparently not.\All of Akimura's self-control, and I almost wasted it.\Anyway, cheer up, alright?\Huh?\There are plenty of fish in the sea. response:	Wait!
context: Half...?\So I was under the impression my bloodlust was weaker.\But apparently not.\All of Akimura's self-control, and I almost wasted it.\Anyway, cheer up, alright?\Huh?\There are plenty of fish in the sea.\Wait! response:	Since then, I haven't seen Anzai once.
context: So I was under the impression my bloodlust was weaker.\But apparently not.\All of Akimura's self-control, and I almost wasted it.\Anyway, cheer up, alright?\Huh?\There are plenty of fish in the sea.\Wait!\Since then, I haven't seen Anzai once. response:	Is it because he kissed me? Is that why I can't stop thinking about him?
context: But apparently not.\All of Akimura's self-control, and I almost wasted it.\Anyway, cheer up, alright?\Huh?\There are plenty of fish in the sea.\Wait!\Since then, I haven't seen Anzai once.\Is it because he kissed me? Is that why I can't stop thinking about him? response:	But...
context: All of Akimura's self-control, and I almost wasted it.\Anyway, cheer up, alright?\Huh?\There are plenty of fish in the sea.\Wait!\Since then, I haven't seen Anzai once.\Is it because he kissed me? Is that why I can't stop thinking about him?\But... response:	that's not how real love is supposed to work, is it?
context: Anyway, cheer up, alright?\Huh?\There are plenty of fish in the sea.\Wait!\Since then, I haven't seen Anzai once.\Is it because he kissed me? Is that why I can't stop thinking about him?\But...\that's not how real love is supposed to work, is it? response:	Akimura?
context: Huh?\There are plenty of fish in the sea.\Wait!\Since then, I haven't seen Anzai once.\Is it because he kissed me? Is that why I can't stop thinking about him?\But...\that's not how real love is supposed to work, is it?\Akimura? response:	I hope you're okay, Akimura.
context: There are plenty of fish in the sea.\Wait!\Since then, I haven't seen Anzai once.\Is it because he kissed me? Is that why I can't stop thinking about him?\But...\that's not how real love is supposed to work, is it?\Akimura?\I hope you're okay, Akimura. response:	Come to think of it,
context: Wait!\Since then, I haven't seen Anzai once.\Is it because he kissed me? Is that why I can't stop thinking about him?\But...\that's not how real love is supposed to work, is it?\Akimura?\I hope you're okay, Akimura.\Come to think of it, response:	have I ever really fallen in love with anyone before?
context: Since then, I haven't seen Anzai once.\Is it because he kissed me? Is that why I can't stop thinking about him?\But...\that's not how real love is supposed to work, is it?\Akimura?\I hope you're okay, Akimura.\Come to think of it,\have I ever really fallen in love with anyone before? response:	Honestly, that was basically my first kiss.
context: Is it because he kissed me? Is that why I can't stop thinking about him?\But...\that's not how real love is supposed to work, is it?\Akimura?\I hope you're okay, Akimura.\Come to think of it,\have I ever really fallen in love with anyone before?\Honestly, that was basically my first kiss. response:	I wonder where you are now, Anzai.
context: But...\that's not how real love is supposed to work, is it?\Akimura?\I hope you're okay, Akimura.\Come to think of it,\have I ever really fallen in love with anyone before?\Honestly, that was basically my first kiss.\I wonder where you are now, Anzai. response:	Hey! Don't scare me like that!
context: that's not how real love is supposed to work, is it?\Akimura?\I hope you're okay, Akimura.\Come to think of it,\have I ever really fallen in love with anyone before?\Honestly, that was basically my first kiss.\I wonder where you are now, Anzai.\Hey! Don't scare me like that! response:	Huh?
context: Akimura?\I hope you're okay, Akimura.\Come to think of it,\have I ever really fallen in love with anyone before?\Honestly, that was basically my first kiss.\I wonder where you are now, Anzai.\Hey! Don't scare me like that!\Huh? response:	A-Anzai?
context: I hope you're okay, Akimura.\Come to think of it,\have I ever really fallen in love with anyone before?\Honestly, that was basically my first kiss.\I wonder where you are now, Anzai.\Hey! Don't scare me like that!\Huh?\A-Anzai? response:	Wh-why are you on my balcony?
context: Come to think of it,\have I ever really fallen in love with anyone before?\Honestly, that was basically my first kiss.\I wonder where you are now, Anzai.\Hey! Don't scare me like that!\Huh?\A-Anzai?\Wh-why are you on my balcony? response:	I came via telephone pole. It was the closest entrance.
context: have I ever really fallen in love with anyone before?\Honestly, that was basically my first kiss.\I wonder where you are now, Anzai.\Hey! Don't scare me like that!\Huh?\A-Anzai?\Wh-why are you on my balcony?\I came via telephone pole. It was the closest entrance. response:	Telephone pole?!
context: Honestly, that was basically my first kiss.\I wonder where you are now, Anzai.\Hey! Don't scare me like that!\Huh?\A-Anzai?\Wh-why are you on my balcony?\I came via telephone pole. It was the closest entrance.\Telephone pole?! response:	How are you?
context: I wonder where you are now, Anzai.\Hey! Don't scare me like that!\Huh?\A-Anzai?\Wh-why are you on my balcony?\I came via telephone pole. It was the closest entrance.\Telephone pole?!\How are you? response:	Huh?
context: Hey! Don't scare me like that!\Huh?\A-Anzai?\Wh-why are you on my balcony?\I came via telephone pole. It was the closest entrance.\Telephone pole?!\How are you?\Huh? response:	You're worried about Akimura, aren't you?
context: Huh?\A-Anzai?\Wh-why are you on my balcony?\I came via telephone pole. It was the closest entrance.\Telephone pole?!\How are you?\Huh?\You're worried about Akimura, aren't you? response:	You always stop for a minute when you get to the place we arrested him.
context: A-Anzai?\Wh-why are you on my balcony?\I came via telephone pole. It was the closest entrance.\Telephone pole?!\How are you?\Huh?\You're worried about Akimura, aren't you?\You always stop for a minute when you get to the place we arrested him. response:	I can put in a request for you if you want to visit him.
context: Wh-why are you on my balcony?\I came via telephone pole. It was the closest entrance.\Telephone pole?!\How are you?\Huh?\You're worried about Akimura, aren't you?\You always stop for a minute when you get to the place we arrested him.\I can put in a request for you if you want to visit him. response:	And depending on the trial, sometimes they get off with just a life sentence.
context: I came via telephone pole. It was the closest entrance.\Telephone pole?!\How are you?\Huh?\You're worried about Akimura, aren't you?\You always stop for a minute when you get to the place we arrested him.\I can put in a request for you if you want to visit him.\And depending on the trial, sometimes they get off with just a life sentence. response:	Uh... yeah.
context: Telephone pole?!\How are you?\Huh?\You're worried about Akimura, aren't you?\You always stop for a minute when you get to the place we arrested him.\I can put in a request for you if you want to visit him.\And depending on the trial, sometimes they get off with just a life sentence.\Uh... yeah. response:	I'm a terrible person.
context: How are you?\Huh?\You're worried about Akimura, aren't you?\You always stop for a minute when you get to the place we arrested him.\I can put in a request for you if you want to visit him.\And depending on the trial, sometimes they get off with just a life sentence.\Uh... yeah.\I'm a terrible person. response:	I was so busy thinking about Anzai, I forgot about Akimura.
context: Huh?\You're worried about Akimura, aren't you?\You always stop for a minute when you get to the place we arrested him.\I can put in a request for you if you want to visit him.\And depending on the trial, sometimes they get off with just a life sentence.\Uh... yeah.\I'm a terrible person.\I was so busy thinking about Anzai, I forgot about Akimura. response:	I'm the worst.
context: You're worried about Akimura, aren't you?\You always stop for a minute when you get to the place we arrested him.\I can put in a request for you if you want to visit him.\And depending on the trial, sometimes they get off with just a life sentence.\Uh... yeah.\I'm a terrible person.\I was so busy thinking about Anzai, I forgot about Akimura.\I'm the worst. response:	Have you gotten skinnier?
context: You always stop for a minute when you get to the place we arrested him.\I can put in a request for you if you want to visit him.\And depending on the trial, sometimes they get off with just a life sentence.\Uh... yeah.\I'm a terrible person.\I was so busy thinking about Anzai, I forgot about Akimura.\I'm the worst.\Have you gotten skinnier? response:	You know guys prefer a girl with a little meat on her bones.
context: I can put in a request for you if you want to visit him.\And depending on the trial, sometimes they get off with just a life sentence.\Uh... yeah.\I'm a terrible person.\I was so busy thinking about Anzai, I forgot about Akimura.\I'm the worst.\Have you gotten skinnier?\You know guys prefer a girl with a little meat on her bones. response:	Ow! Don't punch me! Not the fist!
context: And depending on the trial, sometimes they get off with just a life sentence.\Uh... yeah.\I'm a terrible person.\I was so busy thinking about Anzai, I forgot about Akimura.\I'm the worst.\Have you gotten skinnier?\You know guys prefer a girl with a little meat on her bones.\Ow! Don't punch me! Not the fist! response:	Well look at you.
context: Uh... yeah.\I'm a terrible person.\I was so busy thinking about Anzai, I forgot about Akimura.\I'm the worst.\Have you gotten skinnier?\You know guys prefer a girl with a little meat on her bones.\Ow! Don't punch me! Not the fist!\Well look at you. response:	You're doing much better than I thought.
context: I'm a terrible person.\I was so busy thinking about Anzai, I forgot about Akimura.\I'm the worst.\Have you gotten skinnier?\You know guys prefer a girl with a little meat on her bones.\Ow! Don't punch me! Not the fist!\Well look at you.\You're doing much better than I thought. response:	He... he smiled.
context: I was so busy thinking about Anzai, I forgot about Akimura.\I'm the worst.\Have you gotten skinnier?\You know guys prefer a girl with a little meat on her bones.\Ow! Don't punch me! Not the fist!\Well look at you.\You're doing much better than I thought.\He... he smiled. response:	Sawazaki here. We have a Level 1 Special Case!
context: I'm the worst.\Have you gotten skinnier?\You know guys prefer a girl with a little meat on her bones.\Ow! Don't punch me! Not the fist!\Well look at you.\You're doing much better than I thought.\He... he smiled.\Sawazaki here. We have a Level 1 Special Case! response:	Our suspect is Yuuko Tamaru, age 21. Female.
context: Have you gotten skinnier?\You know guys prefer a girl with a little meat on her bones.\Ow! Don't punch me! Not the fist!\Well look at you.\You're doing much better than I thought.\He... he smiled.\Sawazaki here. We have a Level 1 Special Case!\Our suspect is Yuuko Tamaru, age 21. Female. response:	Hereafter the investigation will refer to her as Target T.
context: You know guys prefer a girl with a little meat on her bones.\Ow! Don't punch me! Not the fist!\Well look at you.\You're doing much better than I thought.\He... he smiled.\Sawazaki here. We have a Level 1 Special Case!\Our suspect is Yuuko Tamaru, age 21. Female.\Hereafter the investigation will refer to her as Target T. response:	We believe she is currently hiding out in the Mikusa Building.
context: Ow! Don't punch me! Not the fist!\Well look at you.\You're doing much better than I thought.\He... he smiled.\Sawazaki here. We have a Level 1 Special Case!\Our suspect is Yuuko Tamaru, age 21. Female.\Hereafter the investigation will refer to her as Target T.\We believe she is currently hiding out in the Mikusa Building. response:	This is Anzai. I copy.
context: Well look at you.\You're doing much better than I thought.\He... he smiled.\Sawazaki here. We have a Level 1 Special Case!\Our suspect is Yuuko Tamaru, age 21. Female.\Hereafter the investigation will refer to her as Target T.\We believe she is currently hiding out in the Mikusa Building.\This is Anzai. I copy. response:	I'm close. I'll be right there!
context: You're doing much better than I thought.\He... he smiled.\Sawazaki here. We have a Level 1 Special Case!\Our suspect is Yuuko Tamaru, age 21. Female.\Hereafter the investigation will refer to her as Target T.\We believe she is currently hiding out in the Mikusa Building.\This is Anzai. I copy.\I'm close. I'll be right there! response:	Mikusa Building
context: He... he smiled.\Sawazaki here. We have a Level 1 Special Case!\Our suspect is Yuuko Tamaru, age 21. Female.\Hereafter the investigation will refer to her as Target T.\We believe she is currently hiding out in the Mikusa Building.\This is Anzai. I copy.\I'm close. I'll be right there!\Mikusa Building response:	Calm down.
context: Sawazaki here. We have a Level 1 Special Case!\Our suspect is Yuuko Tamaru, age 21. Female.\Hereafter the investigation will refer to her as Target T.\We believe she is currently hiding out in the Mikusa Building.\This is Anzai. I copy.\I'm close. I'll be right there!\Mikusa Building\Calm down. response:	I want to settle this peacefully.
context: Our suspect is Yuuko Tamaru, age 21. Female.\Hereafter the investigation will refer to her as Target T.\We believe she is currently hiding out in the Mikusa Building.\This is Anzai. I copy.\I'm close. I'll be right there!\Mikusa Building\Calm down.\I want to settle this peacefully. response:	Yuuko Tamaru, right?
context: Hereafter the investigation will refer to her as Target T.\We believe she is currently hiding out in the Mikusa Building.\This is Anzai. I copy.\I'm close. I'll be right there!\Mikusa Building\Calm down.\I want to settle this peacefully.\Yuuko Tamaru, right? response:	The police?
context: We believe she is currently hiding out in the Mikusa Building.\This is Anzai. I copy.\I'm close. I'll be right there!\Mikusa Building\Calm down.\I want to settle this peacefully.\Yuuko Tamaru, right?\The police? response:	Public Security Division 5, for devil-related crimes.
context: This is Anzai. I copy.\I'm close. I'll be right there!\Mikusa Building\Calm down.\I want to settle this peacefully.\Yuuko Tamaru, right?\The police?\Public Security Division 5, for devil-related crimes. response:	We can make special allowances in cases like yours.
