context: There aren't many Russians who hate the summer sun. response:	We thoroughly and innocently enjoyed those short summer days.
context: Kyou ga donna ni kowaresou de mo\No matter how broken today looks\You can open the door.\Oh, you've skimmed the train.\Nothing less expected from the SVR.\You know what you're doing.\We'll find BK201's room soon.\There's no need for that. response:	It's more fun to leave him to her.
context: No matter how broken today looks\You can open the door.\Oh, you've skimmed the train.\Nothing less expected from the SVR.\You know what you're doing.\We'll find BK201's room soon.\There's no need for that.\It's more fun to leave him to her. response:	Ikebukuro, huh? That brings back memories.
context: You can open the door.\Oh, you've skimmed the train.\Nothing less expected from the SVR.\You know what you're doing.\We'll find BK201's room soon.\There's no need for that.\It's more fun to leave him to her.\Ikebukuro, huh? That brings back memories. response:	Have you been there before?
context: Oh, you've skimmed the train.\Nothing less expected from the SVR.\You know what you're doing.\We'll find BK201's room soon.\There's no need for that.\It's more fun to leave him to her.\Ikebukuro, huh? That brings back memories.\Have you been there before? response:	Yeah. The sun felt like it would pierce through my body on that summer day.
context: Nothing less expected from the SVR.\You know what you're doing.\We'll find BK201's room soon.\There's no need for that.\It's more fun to leave him to her.\Ikebukuro, huh? That brings back memories.\Have you been there before?\Yeah. The sun felt like it would pierce through my body on that summer day. response:	What, don't you wanna hear my story?
context: You know what you're doing.\We'll find BK201's room soon.\There's no need for that.\It's more fun to leave him to her.\Ikebukuro, huh? That brings back memories.\Have you been there before?\Yeah. The sun felt like it would pierce through my body on that summer day.\What, don't you wanna hear my story? response:	Ah, I just remembered something.
context: We'll find BK201's room soon.\There's no need for that.\It's more fun to leave him to her.\Ikebukuro, huh? That brings back memories.\Have you been there before?\Yeah. The sun felt like it would pierce through my body on that summer day.\What, don't you wanna hear my story?\Ah, I just remembered something. response:	I was there before, when I was a little kid.
context: There's no need for that.\It's more fun to leave him to her.\Ikebukuro, huh? That brings back memories.\Have you been there before?\Yeah. The sun felt like it would pierce through my body on that summer day.\What, don't you wanna hear my story?\Ah, I just remembered something.\I was there before, when I was a little kid. response:	I'll get us something to eat.
context: It's more fun to leave him to her.\Ikebukuro, huh? That brings back memories.\Have you been there before?\Yeah. The sun felt like it would pierce through my body on that summer day.\What, don't you wanna hear my story?\Ah, I just remembered something.\I was there before, when I was a little kid.\I'll get us something to eat. response:	Don't open the door if the knocking isn't right.
context: Ikebukuro, huh? That brings back memories.\Have you been there before?\Yeah. The sun felt like it would pierce through my body on that summer day.\What, don't you wanna hear my story?\Ah, I just remembered something.\I was there before, when I was a little kid.\I'll get us something to eat.\Don't open the door if the knocking isn't right. response:	I'm sure you know that getting rough here isn't a good idea.
context: Have you been there before?\Yeah. The sun felt like it would pierce through my body on that summer day.\What, don't you wanna hear my story?\Ah, I just remembered something.\I was there before, when I was a little kid.\I'll get us something to eat.\Don't open the door if the knocking isn't right.\I'm sure you know that getting rough here isn't a good idea. response:	I've always wanted to have a chat with you, Black Grim Reaper.
context: Yeah. The sun felt like it would pierce through my body on that summer day.\What, don't you wanna hear my story?\Ah, I just remembered something.\I was there before, when I was a little kid.\I'll get us something to eat.\Don't open the door if the knocking isn't right.\I'm sure you know that getting rough here isn't a good idea.\I've always wanted to have a chat with you, Black Grim Reaper. response:	What's wrong?
context: What, don't you wanna hear my story?\Ah, I just remembered something.\I was there before, when I was a little kid.\I'll get us something to eat.\Don't open the door if the knocking isn't right.\I'm sure you know that getting rough here isn't a good idea.\I've always wanted to have a chat with you, Black Grim Reaper.\What's wrong? response:	Cockroaches.
context: Ah, I just remembered something.\I was there before, when I was a little kid.\I'll get us something to eat.\Don't open the door if the knocking isn't right.\I'm sure you know that getting rough here isn't a good idea.\I've always wanted to have a chat with you, Black Grim Reaper.\What's wrong?\Cockroaches. response:	Hold on! No friendly fire, okay?
context: I was there before, when I was a little kid.\I'll get us something to eat.\Don't open the door if the knocking isn't right.\I'm sure you know that getting rough here isn't a good idea.\I've always wanted to have a chat with you, Black Grim Reaper.\What's wrong?\Cockroaches.\Hold on! No friendly fire, okay? response:	I'll do something about it.
context: I'll get us something to eat.\Don't open the door if the knocking isn't right.\I'm sure you know that getting rough here isn't a good idea.\I've always wanted to have a chat with you, Black Grim Reaper.\What's wrong?\Cockroaches.\Hold on! No friendly fire, okay?\I'll do something about it. response:	Don't move, July!
context: Don't open the door if the knocking isn't right.\I'm sure you know that getting rough here isn't a good idea.\I've always wanted to have a chat with you, Black Grim Reaper.\What's wrong?\Cockroaches.\Hold on! No friendly fire, okay?\I'll do something about it.\Don't move, July! response:	Shit!
context: I'm sure you know that getting rough here isn't a good idea.\I've always wanted to have a chat with you, Black Grim Reaper.\What's wrong?\Cockroaches.\Hold on! No friendly fire, okay?\I'll do something about it.\Don't move, July!\Shit! response:	This is bad!
context: I've always wanted to have a chat with you, Black Grim Reaper.\What's wrong?\Cockroaches.\Hold on! No friendly fire, okay?\I'll do something about it.\Don't move, July!\Shit!\This is bad! response:	Where is Hei?!
context: What's wrong?\Cockroaches.\Hold on! No friendly fire, okay?\I'll do something about it.\Don't move, July!\Shit!\This is bad!\Where is Hei?! response:	What? Is this too heavy for me?!
context: Cockroaches.\Hold on! No friendly fire, okay?\I'll do something about it.\Don't move, July!\Shit!\This is bad!\Where is Hei?!\What? Is this too heavy for me?! response:	What?! An animal!
context: Hold on! No friendly fire, okay?\I'll do something about it.\Don't move, July!\Shit!\This is bad!\Where is Hei?!\What? Is this too heavy for me?!\What?! An animal! response:	Crap!
context: I'll do something about it.\Don't move, July!\Shit!\This is bad!\Where is Hei?!\What? Is this too heavy for me?!\What?! An animal!\Crap! response:	Hey!
context: Don't move, July!\Shit!\This is bad!\Where is Hei?!\What? Is this too heavy for me?!\What?! An animal!\Crap!\Hey! response:	They don't serve alcohol in the morning,
context: Shit!\This is bad!\Where is Hei?!\What? Is this too heavy for me?!\What?! An animal!\Crap!\Hey!\They don't serve alcohol in the morning, response:	so I had to persuade them in Russian.
context: This is bad!\Where is Hei?!\What? Is this too heavy for me?!\What?! An animal!\Crap!\Hey!\They don't serve alcohol in the morning,\so I had to persuade them in Russian. response:	Not interested in a drink?
context: Where is Hei?!\What? Is this too heavy for me?!\What?! An animal!\Crap!\Hey!\They don't serve alcohol in the morning,\so I had to persuade them in Russian.\Not interested in a drink? response:	You seem like someone who drinks like a fish, though.
context: What? Is this too heavy for me?!\What?! An animal!\Crap!\Hey!\They don't serve alcohol in the morning,\so I had to persuade them in Russian.\Not interested in a drink?\You seem like someone who drinks like a fish, though. response:	I don't drink anymore.
context: What?! An animal!\Crap!\Hey!\They don't serve alcohol in the morning,\so I had to persuade them in Russian.\Not interested in a drink?\You seem like someone who drinks like a fish, though.\I don't drink anymore. response:	Well, that's good, too.
context: Crap!\Hey!\They don't serve alcohol in the morning,\so I had to persuade them in Russian.\Not interested in a drink?\You seem like someone who drinks like a fish, though.\I don't drink anymore.\Well, that's good, too. response:	Have you ordered your meal?
context: Hey!\They don't serve alcohol in the morning,\so I had to persuade them in Russian.\Not interested in a drink?\You seem like someone who drinks like a fish, though.\I don't drink anymore.\Well, that's good, too.\Have you ordered your meal? response:	Since you're not drinking, feel free to order anything...
context: They don't serve alcohol in the morning,\so I had to persuade them in Russian.\Not interested in a drink?\You seem like someone who drinks like a fish, though.\I don't drink anymore.\Well, that's good, too.\Have you ordered your meal?\Since you're not drinking, feel free to order anything... response:	Thank you for waiting.
context: so I had to persuade them in Russian.\Not interested in a drink?\You seem like someone who drinks like a fish, though.\I don't drink anymore.\Well, that's good, too.\Have you ordered your meal?\Since you're not drinking, feel free to order anything...\Thank you for waiting. response:	Pardon me.
context: Not interested in a drink?\You seem like someone who drinks like a fish, though.\I don't drink anymore.\Well, that's good, too.\Have you ordered your meal?\Since you're not drinking, feel free to order anything...\Thank you for waiting.\Pardon me. response:	Where did it go?
context: You seem like someone who drinks like a fish, though.\I don't drink anymore.\Well, that's good, too.\Have you ordered your meal?\Since you're not drinking, feel free to order anything...\Thank you for waiting.\Pardon me.\Where did it go? response:	Cut me some slack!
context: I don't drink anymore.\Well, that's good, too.\Have you ordered your meal?\Since you're not drinking, feel free to order anything...\Thank you for waiting.\Pardon me.\Where did it go?\Cut me some slack! response:	I feel like I'm Road Runner from those cartoons I used to watch...
context: Well, that's good, too.\Have you ordered your meal?\Since you're not drinking, feel free to order anything...\Thank you for waiting.\Pardon me.\Where did it go?\Cut me some slack!\I feel like I'm Road Runner from those cartoons I used to watch... response:	Tanya...
context: Have you ordered your meal?\Since you're not drinking, feel free to order anything...\Thank you for waiting.\Pardon me.\Where did it go?\Cut me some slack!\I feel like I'm Road Runner from those cartoons I used to watch...\Tanya... response:	Don't move.
context: Since you're not drinking, feel free to order anything...\Thank you for waiting.\Pardon me.\Where did it go?\Cut me some slack!\I feel like I'm Road Runner from those cartoons I used to watch...\Tanya...\Don't move. response:	This won't take long.
context: Thank you for waiting.\Pardon me.\Where did it go?\Cut me some slack!\I feel like I'm Road Runner from those cartoons I used to watch...\Tanya...\Don't move.\This won't take long. response:	When you find a capable person, you'd do anything to recruit them.
context: Pardon me.\Where did it go?\Cut me some slack!\I feel like I'm Road Runner from those cartoons I used to watch...\Tanya...\Don't move.\This won't take long.\When you find a capable person, you'd do anything to recruit them. response:	It's like that no matter where you go.
context: Where did it go?\Cut me some slack!\I feel like I'm Road Runner from those cartoons I used to watch...\Tanya...\Don't move.\This won't take long.\When you find a capable person, you'd do anything to recruit them.\It's like that no matter where you go. response:	We will pay you and treat you better than ever before.
context: Cut me some slack!\I feel like I'm Road Runner from those cartoons I used to watch...\Tanya...\Don't move.\This won't take long.\When you find a capable person, you'd do anything to recruit them.\It's like that no matter where you go.\We will pay you and treat you better than ever before. response:	It's a great deal for you no matter how you look at it.
context: I feel like I'm Road Runner from those cartoons I used to watch...\Tanya...\Don't move.\This won't take long.\When you find a capable person, you'd do anything to recruit them.\It's like that no matter where you go.\We will pay you and treat you better than ever before.\It's a great deal for you no matter how you look at it. response:	Hence, I ask that you join our side.
context: Tanya...\Don't move.\This won't take long.\When you find a capable person, you'd do anything to recruit them.\It's like that no matter where you go.\We will pay you and treat you better than ever before.\It's a great deal for you no matter how you look at it.\Hence, I ask that you join our side. response:	This deal includes that girl too, I assume?
context: Don't move.\This won't take long.\When you find a capable person, you'd do anything to recruit them.\It's like that no matter where you go.\We will pay you and treat you better than ever before.\It's a great deal for you no matter how you look at it.\Hence, I ask that you join our side.\This deal includes that girl too, I assume? response:	Well, that too.
context: This won't take long.\When you find a capable person, you'd do anything to recruit them.\It's like that no matter where you go.\We will pay you and treat you better than ever before.\It's a great deal for you no matter how you look at it.\Hence, I ask that you join our side.\This deal includes that girl too, I assume?\Well, that too. response:	I refuse.
context: When you find a capable person, you'd do anything to recruit them.\It's like that no matter where you go.\We will pay you and treat you better than ever before.\It's a great deal for you no matter how you look at it.\Hence, I ask that you join our side.\This deal includes that girl too, I assume?\Well, that too.\I refuse. response:	That's quite a blunt answer.
context: It's like that no matter where you go.\We will pay you and treat you better than ever before.\It's a great deal for you no matter how you look at it.\Hence, I ask that you join our side.\This deal includes that girl too, I assume?\Well, that too.\I refuse.\That's quite a blunt answer. response:	It's not the response I expected.
context: We will pay you and treat you better than ever before.\It's a great deal for you no matter how you look at it.\Hence, I ask that you join our side.\This deal includes that girl too, I assume?\Well, that too.\I refuse.\That's quite a blunt answer.\It's not the response I expected. response:	Rationally speaking, there's no reason to refuse.
context: It's a great deal for you no matter how you look at it.\Hence, I ask that you join our side.\This deal includes that girl too, I assume?\Well, that too.\I refuse.\That's quite a blunt answer.\It's not the response I expected.\Rationally speaking, there's no reason to refuse. response:	We know that she's a decoy.
context: Hence, I ask that you join our side.\This deal includes that girl too, I assume?\Well, that too.\I refuse.\That's quite a blunt answer.\It's not the response I expected.\Rationally speaking, there's no reason to refuse.\We know that she's a decoy. response:	There's no need to be fixated on that girl.
context: This deal includes that girl too, I assume?\Well, that too.\I refuse.\That's quite a blunt answer.\It's not the response I expected.\Rationally speaking, there's no reason to refuse.\We know that she's a decoy.\There's no need to be fixated on that girl. response:	Or do you expect to find Pavlichenko if you're with her?
context: Well, that too.\I refuse.\That's quite a blunt answer.\It's not the response I expected.\Rationally speaking, there's no reason to refuse.\We know that she's a decoy.\There's no need to be fixated on that girl.\Or do you expect to find Pavlichenko if you're with her? response:	I killed Pavlichenko.
context: I refuse.\That's quite a blunt answer.\It's not the response I expected.\Rationally speaking, there's no reason to refuse.\We know that she's a decoy.\There's no need to be fixated on that girl.\Or do you expect to find Pavlichenko if you're with her?\I killed Pavlichenko. response:	Oh, right.
context: That's quite a blunt answer.\It's not the response I expected.\Rationally speaking, there's no reason to refuse.\We know that she's a decoy.\There's no need to be fixated on that girl.\Or do you expect to find Pavlichenko if you're with her?\I killed Pavlichenko.\Oh, right. response:	It appears that you've been kept in the dark.
