context: Are you free on 3/14? Let's meet up if you aren't busy. response:	White Day?? I said it! I was trying to pretend I didn't know. But I did noticeso much for that.
context: The Letter and Me\Did she like the cookies?\Thanks for helping me\Yeah!\I hope you'll find a girl you like soon!\And I hope that girl will like\home-made rice crackers.\Rice crackers? response:	My bad.
context: Did she like the cookies?\Thanks for helping me\Yeah!\I hope you'll find a girl you like soon!\And I hope that girl will like\home-made rice crackers.\Rice crackers?\My bad. response:	If it's a girl who'd smile and eat cookies,
context: Thanks for helping me\Yeah!\I hope you'll find a girl you like soon!\And I hope that girl will like\home-made rice crackers.\Rice crackers?\My bad.\If it's a girl who'd smile and eat cookies, response:	That was way off
context: Yeah!\I hope you'll find a girl you like soon!\And I hope that girl will like\home-made rice crackers.\Rice crackers?\My bad.\If it's a girl who'd smile and eat cookies,\That was way off response:	which are as hard as rice crackers, with you...
context: I hope you'll find a girl you like soon!\And I hope that girl will like\home-made rice crackers.\Rice crackers?\My bad.\If it's a girl who'd smile and eat cookies,\That was way off\which are as hard as rice crackers, with you... response:	Suna, you go on ahead.
context: And I hope that girl will like\home-made rice crackers.\Rice crackers?\My bad.\If it's a girl who'd smile and eat cookies,\That was way off\which are as hard as rice crackers, with you...\Suna, you go on ahead. response:	Okay, later.
context: home-made rice crackers.\Rice crackers?\My bad.\If it's a girl who'd smile and eat cookies,\That was way off\which are as hard as rice crackers, with you...\Suna, you go on ahead.\Okay, later. response:	You need something?
context: Rice crackers?\My bad.\If it's a girl who'd smile and eat cookies,\That was way off\which are as hard as rice crackers, with you...\Suna, you go on ahead.\Okay, later.\You need something? response:	Hey, do you need something?
context: My bad.\If it's a girl who'd smile and eat cookies,\That was way off\which are as hard as rice crackers, with you...\Suna, you go on ahead.\Okay, later.\You need something?\Hey, do you need something? response:	To Sunakawa Makoto-sama
context: If it's a girl who'd smile and eat cookies,\That was way off\which are as hard as rice crackers, with you...\Suna, you go on ahead.\Okay, later.\You need something?\Hey, do you need something?\To Sunakawa Makoto-sama response:	A letter?
context: That was way off\which are as hard as rice crackers, with you...\Suna, you go on ahead.\Okay, later.\You need something?\Hey, do you need something?\To Sunakawa Makoto-sama\A letter? response:	I wanted to give it to Sunakawa-kun...
context: which are as hard as rice crackers, with you...\Suna, you go on ahead.\Okay, later.\You need something?\Hey, do you need something?\To Sunakawa Makoto-sama\A letter?\I wanted to give it to Sunakawa-kun... response:	Suna?!
context: Suna, you go on ahead.\Okay, later.\You need something?\Hey, do you need something?\To Sunakawa Makoto-sama\A letter?\I wanted to give it to Sunakawa-kun...\Suna?! response:	Sorry!
context: Okay, later.\You need something?\Hey, do you need something?\To Sunakawa Makoto-sama\A letter?\I wanted to give it to Sunakawa-kun...\Suna?!\Sorry! response:	What?
context: You need something?\Hey, do you need something?\To Sunakawa Makoto-sama\A letter?\I wanted to give it to Sunakawa-kun...\Suna?!\Sorry!\What? response:	To Sunakawa Makoto-sama
context: Hey, do you need something?\To Sunakawa Makoto-sama\A letter?\I wanted to give it to Sunakawa-kun...\Suna?!\Sorry!\What?\To Sunakawa Makoto-sama response:	I don't need anything in return, so please like me.
context: To Sunakawa Makoto-sama\A letter?\I wanted to give it to Sunakawa-kun...\Suna?!\Sorry!\What?\To Sunakawa Makoto-sama\I don't need anything in return, so please like me. response:	To Sunakawa-kun I don't need chocolates in return, so please like me.
context: A letter?\I wanted to give it to Sunakawa-kun...\Suna?!\Sorry!\What?\To Sunakawa Makoto-sama\I don't need anything in return, so please like me.\To Sunakawa-kun I don't need chocolates in return, so please like me. response:	Sorry that I misread you.
context: I wanted to give it to Sunakawa-kun...\Suna?!\Sorry!\What?\To Sunakawa Makoto-sama\I don't need anything in return, so please like me.\To Sunakawa-kun I don't need chocolates in return, so please like me.\Sorry that I misread you. response:	And I saw this.
context: Suna?!\Sorry!\What?\To Sunakawa Makoto-sama\I don't need anything in return, so please like me.\To Sunakawa-kun I don't need chocolates in return, so please like me.\Sorry that I misread you.\And I saw this. response:	So this is the girl who's been sending Suna anonymous letters all this time.
context: Sorry!\What?\To Sunakawa Makoto-sama\I don't need anything in return, so please like me.\To Sunakawa-kun I don't need chocolates in return, so please like me.\Sorry that I misread you.\And I saw this.\So this is the girl who's been sending Suna anonymous letters all this time. response:	I'm sorry for what happened to your letter.
context: What?\To Sunakawa Makoto-sama\I don't need anything in return, so please like me.\To Sunakawa-kun I don't need chocolates in return, so please like me.\Sorry that I misread you.\And I saw this.\So this is the girl who's been sending Suna anonymous letters all this time.\I'm sorry for what happened to your letter. response:	I can just write one again
context: To Sunakawa Makoto-sama\I don't need anything in return, so please like me.\To Sunakawa-kun I don't need chocolates in return, so please like me.\Sorry that I misread you.\And I saw this.\So this is the girl who's been sending Suna anonymous letters all this time.\I'm sorry for what happened to your letter.\I can just write one again response:	No!
context: I don't need anything in return, so please like me.\To Sunakawa-kun I don't need chocolates in return, so please like me.\Sorry that I misread you.\And I saw this.\So this is the girl who's been sending Suna anonymous letters all this time.\I'm sorry for what happened to your letter.\I can just write one again\No! response:	Let me make it up to you somehow!
context: To Sunakawa-kun I don't need chocolates in return, so please like me.\Sorry that I misread you.\And I saw this.\So this is the girl who's been sending Suna anonymous letters all this time.\I'm sorry for what happened to your letter.\I can just write one again\No!\Let me make it up to you somehow! response:	Tell me how.
context: Sorry that I misread you.\And I saw this.\So this is the girl who's been sending Suna anonymous letters all this time.\I'm sorry for what happened to your letter.\I can just write one again\No!\Let me make it up to you somehow!\Tell me how. response:	Okay, just let me know if there's anything I can do.
context: And I saw this.\So this is the girl who's been sending Suna anonymous letters all this time.\I'm sorry for what happened to your letter.\I can just write one again\No!\Let me make it up to you somehow!\Tell me how.\Okay, just let me know if there's anything I can do. response:	Later!
context: So this is the girl who's been sending Suna anonymous letters all this time.\I'm sorry for what happened to your letter.\I can just write one again\No!\Let me make it up to you somehow!\Tell me how.\Okay, just let me know if there's anything I can do.\Later! response:	Oh...
context: I'm sorry for what happened to your letter.\I can just write one again\No!\Let me make it up to you somehow!\Tell me how.\Okay, just let me know if there's anything I can do.\Later!\Oh... response:	T-Takeo-kun!
context: I can just write one again\No!\Let me make it up to you somehow!\Tell me how.\Okay, just let me know if there's anything I can do.\Later!\Oh...\T-Takeo-kun! response:	Takeo-kun?
context: No!\Let me make it up to you somehow!\Tell me how.\Okay, just let me know if there's anything I can do.\Later!\Oh...\T-Takeo-kun!\Takeo-kun? response:	Th-Then, can you please hear me out?
context: Let me make it up to you somehow!\Tell me how.\Okay, just let me know if there's anything I can do.\Later!\Oh...\T-Takeo-kun!\Takeo-kun?\Th-Then, can you please hear me out? response:	Let me tell you about Sunakawa-kun!
context: Tell me how.\Okay, just let me know if there's anything I can do.\Later!\Oh...\T-Takeo-kun!\Takeo-kun?\Th-Then, can you please hear me out?\Let me tell you about Sunakawa-kun! response:	S-Sure...
context: Okay, just let me know if there's anything I can do.\Later!\Oh...\T-Takeo-kun!\Takeo-kun?\Th-Then, can you please hear me out?\Let me tell you about Sunakawa-kun!\S-Sure... response:	Oh, of course you don't recognize me.
context: Later!\Oh...\T-Takeo-kun!\Takeo-kun?\Th-Then, can you please hear me out?\Let me tell you about Sunakawa-kun!\S-Sure...\Oh, of course you don't recognize me. response:	We were in the same cherry class, in kindergarten.
context: Oh...\T-Takeo-kun!\Takeo-kun?\Th-Then, can you please hear me out?\Let me tell you about Sunakawa-kun!\S-Sure...\Oh, of course you don't recognize me.\We were in the same cherry class, in kindergarten. response:	I'm Amami Yukika.
context: T-Takeo-kun!\Takeo-kun?\Th-Then, can you please hear me out?\Let me tell you about Sunakawa-kun!\S-Sure...\Oh, of course you don't recognize me.\We were in the same cherry class, in kindergarten.\I'm Amami Yukika. response:	Amami Yukika...
context: Takeo-kun?\Th-Then, can you please hear me out?\Let me tell you about Sunakawa-kun!\S-Sure...\Oh, of course you don't recognize me.\We were in the same cherry class, in kindergarten.\I'm Amami Yukika.\Amami Yukika... response:	Argh...
context: Th-Then, can you please hear me out?\Let me tell you about Sunakawa-kun!\S-Sure...\Oh, of course you don't recognize me.\We were in the same cherry class, in kindergarten.\I'm Amami Yukika.\Amami Yukika...\Argh... response:	Y-You don't have to try so hard to remember.
context: Let me tell you about Sunakawa-kun!\S-Sure...\Oh, of course you don't recognize me.\We were in the same cherry class, in kindergarten.\I'm Amami Yukika.\Amami Yukika...\Argh...\Y-You don't have to try so hard to remember. response:	I think I remember!
context: S-Sure...\Oh, of course you don't recognize me.\We were in the same cherry class, in kindergarten.\I'm Amami Yukika.\Amami Yukika...\Argh...\Y-You don't have to try so hard to remember.\I think I remember! response:	Haze
context: Oh, of course you don't recognize me.\We were in the same cherry class, in kindergarten.\I'm Amami Yukika.\Amami Yukika...\Argh...\Y-You don't have to try so hard to remember.\I think I remember!\Haze response:	Amami Yukika-chan!
context: We were in the same cherry class, in kindergarten.\I'm Amami Yukika.\Amami Yukika...\Argh...\Y-You don't have to try so hard to remember.\I think I remember!\Haze\Amami Yukika-chan! response:	Right.
context: I'm Amami Yukika.\Amami Yukika...\Argh...\Y-You don't have to try so hard to remember.\I think I remember!\Haze\Amami Yukika-chan!\Right. response:	Why isn't she saying anything?
context: Amami Yukika...\Argh...\Y-You don't have to try so hard to remember.\I think I remember!\Haze\Amami Yukika-chan!\Right.\Why isn't she saying anything? response:	Does she need some opportunity?
context: Argh...\Y-You don't have to try so hard to remember.\I think I remember!\Haze\Amami Yukika-chan!\Right.\Why isn't she saying anything?\Does she need some opportunity? response:	Should I just say something?
context: Y-You don't have to try so hard to remember.\I think I remember!\Haze\Amami Yukika-chan!\Right.\Why isn't she saying anything?\Does she need some opportunity?\Should I just say something? response:	I'm not good at this sort of thing, either...
context: I think I remember!\Haze\Amami Yukika-chan!\Right.\Why isn't she saying anything?\Does she need some opportunity?\Should I just say something?\I'm not good at this sort of thing, either... response:	But no, I should try...
context: Haze\Amami Yukika-chan!\Right.\Why isn't she saying anything?\Does she need some opportunity?\Should I just say something?\I'm not good at this sort of thing, either...\But no, I should try... response:	Give me all you've got!
context: Amami Yukika-chan!\Right.\Why isn't she saying anything?\Does she need some opportunity?\Should I just say something?\I'm not good at this sort of thing, either...\But no, I should try...\Give me all you've got! response:	Sorry.
context: Right.\Why isn't she saying anything?\Does she need some opportunity?\Should I just say something?\I'm not good at this sort of thing, either...\But no, I should try...\Give me all you've got!\Sorry. response:	No, I'm sorry for making you worry.
context: Why isn't she saying anything?\Does she need some opportunity?\Should I just say something?\I'm not good at this sort of thing, either...\But no, I should try...\Give me all you've got!\Sorry.\No, I'm sorry for making you worry. response:	I'm just not very good at talking with boys.
context: Does she need some opportunity?\Should I just say something?\I'm not good at this sort of thing, either...\But no, I should try...\Give me all you've got!\Sorry.\No, I'm sorry for making you worry.\I'm just not very good at talking with boys. response:	I see.
context: Should I just say something?\I'm not good at this sort of thing, either...\But no, I should try...\Give me all you've got!\Sorry.\No, I'm sorry for making you worry.\I'm just not very good at talking with boys.\I see. response:	Even all the way back in kindergarten,
context: I'm not good at this sort of thing, either...\But no, I should try...\Give me all you've got!\Sorry.\No, I'm sorry for making you worry.\I'm just not very good at talking with boys.\I see.\Even all the way back in kindergarten, response:	boys would tear up the sandbox, even if girls were playing house there.
context: But no, I should try...\Give me all you've got!\Sorry.\No, I'm sorry for making you worry.\I'm just not very good at talking with boys.\I see.\Even all the way back in kindergarten,\boys would tear up the sandbox, even if girls were playing house there. response:	I might have done that.
context: Give me all you've got!\Sorry.\No, I'm sorry for making you worry.\I'm just not very good at talking with boys.\I see.\Even all the way back in kindergarten,\boys would tear up the sandbox, even if girls were playing house there.\I might have done that. response:	Boys would bring bugs and stuff to class.
context: Sorry.\No, I'm sorry for making you worry.\I'm just not very good at talking with boys.\I see.\Even all the way back in kindergarten,\boys would tear up the sandbox, even if girls were playing house there.\I might have done that.\Boys would bring bugs and stuff to class. response:	I've done that.
context: No, I'm sorry for making you worry.\I'm just not very good at talking with boys.\I see.\Even all the way back in kindergarten,\boys would tear up the sandbox, even if girls were playing house there.\I might have done that.\Boys would bring bugs and stuff to class.\I've done that. response:	They'd be muddy, even in the morning.
context: I'm just not very good at talking with boys.\I see.\Even all the way back in kindergarten,\boys would tear up the sandbox, even if girls were playing house there.\I might have done that.\Boys would bring bugs and stuff to class.\I've done that.\They'd be muddy, even in the morning. response:	That'd be me.
context: I see.\Even all the way back in kindergarten,\boys would tear up the sandbox, even if girls were playing house there.\I might have done that.\Boys would bring bugs and stuff to class.\I've done that.\They'd be muddy, even in the morning.\That'd be me. response:	Their socks were all dirty.
context: Even all the way back in kindergarten,\boys would tear up the sandbox, even if girls were playing house there.\I might have done that.\Boys would bring bugs and stuff to class.\I've done that.\They'd be muddy, even in the morning.\That'd be me.\Their socks were all dirty. response:	That was also me.
context: boys would tear up the sandbox, even if girls were playing house there.\I might have done that.\Boys would bring bugs and stuff to class.\I've done that.\They'd be muddy, even in the morning.\That'd be me.\Their socks were all dirty.\That was also me. response:	But Sunakawa-kun was different.
context: I might have done that.\Boys would bring bugs and stuff to class.\I've done that.\They'd be muddy, even in the morning.\That'd be me.\Their socks were all dirty.\That was also me.\But Sunakawa-kun was different. response:	He had this presence.
context: Boys would bring bugs and stuff to class.\I've done that.\They'd be muddy, even in the morning.\That'd be me.\Their socks were all dirty.\That was also me.\But Sunakawa-kun was different.\He had this presence. response:	Presence... Presence?
context: I've done that.\They'd be muddy, even in the morning.\That'd be me.\Their socks were all dirty.\That was also me.\But Sunakawa-kun was different.\He had this presence.\Presence... Presence? response:	He was often reading picture books.
context: They'd be muddy, even in the morning.\That'd be me.\Their socks were all dirty.\That was also me.\But Sunakawa-kun was different.\He had this presence.\Presence... Presence?\He was often reading picture books. response:	I'd read the same books,
context: That'd be me.\Their socks were all dirty.\That was also me.\But Sunakawa-kun was different.\He had this presence.\Presence... Presence?\He was often reading picture books.\I'd read the same books, response:	just to learn what kind of books he liked.
context: Their socks were all dirty.\That was also me.\But Sunakawa-kun was different.\He had this presence.\Presence... Presence?\He was often reading picture books.\I'd read the same books,\just to learn what kind of books he liked. response:	He was always so tidy when he ate school lunches, too.
context: That was also me.\But Sunakawa-kun was different.\He had this presence.\Presence... Presence?\He was often reading picture books.\I'd read the same books,\just to learn what kind of books he liked.\He was always so tidy when he ate school lunches, too. response:	And he was good at dodgeball!
context: But Sunakawa-kun was different.\He had this presence.\Presence... Presence?\He was often reading picture books.\I'd read the same books,\just to learn what kind of books he liked.\He was always so tidy when he ate school lunches, too.\And he was good at dodgeball! response:	He was really nimble on his feet.
context: He had this presence.\Presence... Presence?\He was often reading picture books.\I'd read the same books,\just to learn what kind of books he liked.\He was always so tidy when he ate school lunches, too.\And he was good at dodgeball!\He was really nimble on his feet. response:	He'd always be the last one standing.
context: Presence... Presence?\He was often reading picture books.\I'd read the same books,\just to learn what kind of books he liked.\He was always so tidy when he ate school lunches, too.\And he was good at dodgeball!\He was really nimble on his feet.\He'd always be the last one standing. response:	I was so amazed by him.
context: He was often reading picture books.\I'd read the same books,\just to learn what kind of books he liked.\He was always so tidy when he ate school lunches, too.\And he was good at dodgeball!\He was really nimble on his feet.\He'd always be the last one standing.\I was so amazed by him. response:	But just once...
context: I'd read the same books,\just to learn what kind of books he liked.\He was always so tidy when he ate school lunches, too.\And he was good at dodgeball!\He was really nimble on his feet.\He'd always be the last one standing.\I was so amazed by him.\But just once... response:	Sunakawa, you're out!
context: just to learn what kind of books he liked.\He was always so tidy when he ate school lunches, too.\And he was good at dodgeball!\He was really nimble on his feet.\He'd always be the last one standing.\I was so amazed by him.\But just once...\Sunakawa, you're out! response:	I was behind Sunakawa-kun, so I didn't see the ball being thrown at all.
context: He was always so tidy when he ate school lunches, too.\And he was good at dodgeball!\He was really nimble on his feet.\He'd always be the last one standing.\I was so amazed by him.\But just once...\Sunakawa, you're out!\I was behind Sunakawa-kun, so I didn't see the ball being thrown at all. response:	If Sunakawa-kun had dodged the ball,
context: And he was good at dodgeball!\He was really nimble on his feet.\He'd always be the last one standing.\I was so amazed by him.\But just once...\Sunakawa, you're out!\I was behind Sunakawa-kun, so I didn't see the ball being thrown at all.\If Sunakawa-kun had dodged the ball, response:	I think it would've hit me.
context: He was really nimble on his feet.\He'd always be the last one standing.\I was so amazed by him.\But just once...\Sunakawa, you're out!\I was behind Sunakawa-kun, so I didn't see the ball being thrown at all.\If Sunakawa-kun had dodged the ball,\I think it would've hit me. response:	That sounds like him.
context: He'd always be the last one standing.\I was so amazed by him.\But just once...\Sunakawa, you're out!\I was behind Sunakawa-kun, so I didn't see the ball being thrown at all.\If Sunakawa-kun had dodged the ball,\I think it would've hit me.\That sounds like him. response:	Afterward...
context: I was so amazed by him.\But just once...\Sunakawa, you're out!\I was behind Sunakawa-kun, so I didn't see the ball being thrown at all.\If Sunakawa-kun had dodged the ball,\I think it would've hit me.\That sounds like him.\Afterward... response:	Um, I'm so sorry.
context: But just once...\Sunakawa, you're out!\I was behind Sunakawa-kun, so I didn't see the ball being thrown at all.\If Sunakawa-kun had dodged the ball,\I think it would've hit me.\That sounds like him.\Afterward...\Um, I'm so sorry. response:	You got hit because of me.
context: Sunakawa, you're out!\I was behind Sunakawa-kun, so I didn't see the ball being thrown at all.\If Sunakawa-kun had dodged the ball,\I think it would've hit me.\That sounds like him.\Afterward...\Um, I'm so sorry.\You got hit because of me. response:	I just thought you might get hurt if it hit your glasses.
context: I was behind Sunakawa-kun, so I didn't see the ball being thrown at all.\If Sunakawa-kun had dodged the ball,\I think it would've hit me.\That sounds like him.\Afterward...\Um, I'm so sorry.\You got hit because of me.\I just thought you might get hurt if it hit your glasses. response:	I really fell for him! Hard!
context: If Sunakawa-kun had dodged the ball,\I think it would've hit me.\That sounds like him.\Afterward...\Um, I'm so sorry.\You got hit because of me.\I just thought you might get hurt if it hit your glasses.\I really fell for him! Hard! response:	I can see why.
context: I think it would've hit me.\That sounds like him.\Afterward...\Um, I'm so sorry.\You got hit because of me.\I just thought you might get hurt if it hit your glasses.\I really fell for him! Hard!\I can see why. response:	That's the last time I ever talked to Sunakawa-kun.
context: That sounds like him.\Afterward...\Um, I'm so sorry.\You got hit because of me.\I just thought you might get hurt if it hit your glasses.\I really fell for him! Hard!\I can see why.\That's the last time I ever talked to Sunakawa-kun. response:	You haven't spoken to him since?
context: Afterward...\Um, I'm so sorry.\You got hit because of me.\I just thought you might get hurt if it hit your glasses.\I really fell for him! Hard!\I can see why.\That's the last time I ever talked to Sunakawa-kun.\You haven't spoken to him since? response:	That was back in elementary school, right?
context: Um, I'm so sorry.\You got hit because of me.\I just thought you might get hurt if it hit your glasses.\I really fell for him! Hard!\I can see why.\That's the last time I ever talked to Sunakawa-kun.\You haven't spoken to him since?\That was back in elementary school, right? response:	No, kindergarten.
context: You got hit because of me.\I just thought you might get hurt if it hit your glasses.\I really fell for him! Hard!\I can see why.\That's the last time I ever talked to Sunakawa-kun.\You haven't spoken to him since?\That was back in elementary school, right?\No, kindergarten. response:	Kindergarten?!
context: I just thought you might get hurt if it hit your glasses.\I really fell for him! Hard!\I can see why.\That's the last time I ever talked to Sunakawa-kun.\You haven't spoken to him since?\That was back in elementary school, right?\No, kindergarten.\Kindergarten?! response:	Since I'm in high school now, that makes it ten years ago.
context: I really fell for him! Hard!\I can see why.\That's the last time I ever talked to Sunakawa-kun.\You haven't spoken to him since?\That was back in elementary school, right?\No, kindergarten.\Kindergarten?!\Since I'm in high school now, that makes it ten years ago. response:	Ten years?!
context: I can see why.\That's the last time I ever talked to Sunakawa-kun.\You haven't spoken to him since?\That was back in elementary school, right?\No, kindergarten.\Kindergarten?!\Since I'm in high school now, that makes it ten years ago.\Ten years?! response:	What have you been doing all these years?
context: That's the last time I ever talked to Sunakawa-kun.\You haven't spoken to him since?\That was back in elementary school, right?\No, kindergarten.\Kindergarten?!\Since I'm in high school now, that makes it ten years ago.\Ten years?!\What have you been doing all these years? response:	Watching.
context: You haven't spoken to him since?\That was back in elementary school, right?\No, kindergarten.\Kindergarten?!\Since I'm in high school now, that makes it ten years ago.\Ten years?!\What have you been doing all these years?\Watching. response:	During sports festivals...
context: That was back in elementary school, right?\No, kindergarten.\Kindergarten?!\Since I'm in high school now, that makes it ten years ago.\Ten years?!\What have you been doing all these years?\Watching.\During sports festivals... response:	Or even when nothing is happening.
context: No, kindergarten.\Kindergarten?!\Since I'm in high school now, that makes it ten years ago.\Ten years?!\What have you been doing all these years?\Watching.\During sports festivals...\Or even when nothing is happening. response:	I've been watching Sunakawa-kun live his life.
context: Kindergarten?!\Since I'm in high school now, that makes it ten years ago.\Ten years?!\What have you been doing all these years?\Watching.\During sports festivals...\Or even when nothing is happening.\I've been watching Sunakawa-kun live his life. response:	I also gathered all the information I could, and tried to read his fortune.
context: Since I'm in high school now, that makes it ten years ago.\Ten years?!\What have you been doing all these years?\Watching.\During sports festivals...\Or even when nothing is happening.\I've been watching Sunakawa-kun live his life.\I also gathered all the information I could, and tried to read his fortune. response:	She's a fortuneteller?
context: Ten years?!\What have you been doing all these years?\Watching.\During sports festivals...\Or even when nothing is happening.\I've been watching Sunakawa-kun live his life.\I also gathered all the information I could, and tried to read his fortune.\She's a fortuneteller? response:	But you could've at least tried to talk to him.
