context: Hey, your feet stopped short! response:	What happened to your serving and receiving reflexes from yesterday?
context: mothers, setters from the girl's team throw tosses to me...\We got along well and we're friends, but still,\they weren't really teammates.\That's why I used to wonder what kind of setter I'd have in high school.\You're lousy as shit.\I was looking forward to it...\You suck.\Like I said, I'm a setter. I'll toss to you. response:	But if you tossed to me...
context: We got along well and we're friends, but still,\they weren't really teammates.\That's why I used to wonder what kind of setter I'd have in high school.\You're lousy as shit.\I was looking forward to it...\You suck.\Like I said, I'm a setter. I'll toss to you.\But if you tossed to me... response:	I'd kinda feel like I've lost.
context: they weren't really teammates.\That's why I used to wonder what kind of setter I'd have in high school.\You're lousy as shit.\I was looking forward to it...\You suck.\Like I said, I'm a setter. I'll toss to you.\But if you tossed to me...\I'd kinda feel like I've lost. response:	Hinata, why do you insist on getting in Kageyama's face?
context: That's why I used to wonder what kind of setter I'd have in high school.\You're lousy as shit.\I was looking forward to it...\You suck.\Like I said, I'm a setter. I'll toss to you.\But if you tossed to me...\I'd kinda feel like I've lost.\Hinata, why do you insist on getting in Kageyama's face? response:	Personally, I try to avoid confronting guys who are stronger than me.
context: You're lousy as shit.\I was looking forward to it...\You suck.\Like I said, I'm a setter. I'll toss to you.\But if you tossed to me...\I'd kinda feel like I've lost.\Hinata, why do you insist on getting in Kageyama's face?\Personally, I try to avoid confronting guys who are stronger than me. response:	At the junior high tournament...
context: I was looking forward to it...\You suck.\Like I said, I'm a setter. I'll toss to you.\But if you tossed to me...\I'd kinda feel like I've lost.\Hinata, why do you insist on getting in Kageyama's face?\Personally, I try to avoid confronting guys who are stronger than me.\At the junior high tournament... response:	he was so much bigger and taller than me.
context: You suck.\Like I said, I'm a setter. I'll toss to you.\But if you tossed to me...\I'd kinda feel like I've lost.\Hinata, why do you insist on getting in Kageyama's face?\Personally, I try to avoid confronting guys who are stronger than me.\At the junior high tournament...\he was so much bigger and taller than me. response:	He was so strong.
context: Like I said, I'm a setter. I'll toss to you.\But if you tossed to me...\I'd kinda feel like I've lost.\Hinata, why do you insist on getting in Kageyama's face?\Personally, I try to avoid confronting guys who are stronger than me.\At the junior high tournament...\he was so much bigger and taller than me.\He was so strong. response:	It was horrible when he stood in front of me.
context: But if you tossed to me...\I'd kinda feel like I've lost.\Hinata, why do you insist on getting in Kageyama's face?\Personally, I try to avoid confronting guys who are stronger than me.\At the junior high tournament...\he was so much bigger and taller than me.\He was so strong.\It was horrible when he stood in front of me. response:	I understand how that must feel.
context: I'd kinda feel like I've lost.\Hinata, why do you insist on getting in Kageyama's face?\Personally, I try to avoid confronting guys who are stronger than me.\At the junior high tournament...\he was so much bigger and taller than me.\He was so strong.\It was horrible when he stood in front of me.\I understand how that must feel. response:	I came to Karasuno because I was going to beat Kageyama.
context: Hinata, why do you insist on getting in Kageyama's face?\Personally, I try to avoid confronting guys who are stronger than me.\At the junior high tournament...\he was so much bigger and taller than me.\He was so strong.\It was horrible when he stood in front of me.\I understand how that must feel.\I came to Karasuno because I was going to beat Kageyama. response:	I see. But, Hinata, is beating Kageyama all you want out of volleyball?
context: Personally, I try to avoid confronting guys who are stronger than me.\At the junior high tournament...\he was so much bigger and taller than me.\He was so strong.\It was horrible when he stood in front of me.\I understand how that must feel.\I came to Karasuno because I was going to beat Kageyama.\I see. But, Hinata, is beating Kageyama all you want out of volleyball? response:	Oh... um...
context: At the junior high tournament...\he was so much bigger and taller than me.\He was so strong.\It was horrible when he stood in front of me.\I understand how that must feel.\I came to Karasuno because I was going to beat Kageyama.\I see. But, Hinata, is beating Kageyama all you want out of volleyball?\Oh... um... response:	He's practicing through his lunch break?
context: he was so much bigger and taller than me.\He was so strong.\It was horrible when he stood in front of me.\I understand how that must feel.\I came to Karasuno because I was going to beat Kageyama.\I see. But, Hinata, is beating Kageyama all you want out of volleyball?\Oh... um...\He's practicing through his lunch break? response:	I just want to become strong enough to defeat Kageyama.
context: He was so strong.\It was horrible when he stood in front of me.\I understand how that must feel.\I came to Karasuno because I was going to beat Kageyama.\I see. But, Hinata, is beating Kageyama all you want out of volleyball?\Oh... um...\He's practicing through his lunch break?\I just want to become strong enough to defeat Kageyama. response:	If I can do that, I'll be on even ground with any strong opponent.
context: It was horrible when he stood in front of me.\I understand how that must feel.\I came to Karasuno because I was going to beat Kageyama.\I see. But, Hinata, is beating Kageyama all you want out of volleyball?\Oh... um...\He's practicing through his lunch break?\I just want to become strong enough to defeat Kageyama.\If I can do that, I'll be on even ground with any strong opponent. response:	I wouldn't be easy to beat in a match.
context: I understand how that must feel.\I came to Karasuno because I was going to beat Kageyama.\I see. But, Hinata, is beating Kageyama all you want out of volleyball?\Oh... um...\He's practicing through his lunch break?\I just want to become strong enough to defeat Kageyama.\If I can do that, I'll be on even ground with any strong opponent.\I wouldn't be easy to beat in a match. response:	I don't want to lose any more.
context: I came to Karasuno because I was going to beat Kageyama.\I see. But, Hinata, is beating Kageyama all you want out of volleyball?\Oh... um...\He's practicing through his lunch break?\I just want to become strong enough to defeat Kageyama.\If I can do that, I'll be on even ground with any strong opponent.\I wouldn't be easy to beat in a match.\I don't want to lose any more. response:	I see...
context: I see. But, Hinata, is beating Kageyama all you want out of volleyball?\Oh... um...\He's practicing through his lunch break?\I just want to become strong enough to defeat Kageyama.\If I can do that, I'll be on even ground with any strong opponent.\I wouldn't be easy to beat in a match.\I don't want to lose any more.\I see... response:	So, in other words, Kageyama is the best player in your grade level, as far as you know.
context: Oh... um...\He's practicing through his lunch break?\I just want to become strong enough to defeat Kageyama.\If I can do that, I'll be on even ground with any strong opponent.\I wouldn't be easy to beat in a match.\I don't want to lose any more.\I see...\So, in other words, Kageyama is the best player in your grade level, as far as you know. response:	Y-Yes...
context: He's practicing through his lunch break?\I just want to become strong enough to defeat Kageyama.\If I can do that, I'll be on even ground with any strong opponent.\I wouldn't be easy to beat in a match.\I don't want to lose any more.\I see...\So, in other words, Kageyama is the best player in your grade level, as far as you know.\Y-Yes... response:	He sure doesn't like admitting it.
context: I just want to become strong enough to defeat Kageyama.\If I can do that, I'll be on even ground with any strong opponent.\I wouldn't be easy to beat in a match.\I don't want to lose any more.\I see...\So, in other words, Kageyama is the best player in your grade level, as far as you know.\Y-Yes...\He sure doesn't like admitting it. response:	But if he was your most formidable opponent,
context: If I can do that, I'll be on even ground with any strong opponent.\I wouldn't be easy to beat in a match.\I don't want to lose any more.\I see...\So, in other words, Kageyama is the best player in your grade level, as far as you know.\Y-Yes...\He sure doesn't like admitting it.\But if he was your most formidable opponent, response:	now he's your most formidable ally.
context: I wouldn't be easy to beat in a match.\I don't want to lose any more.\I see...\So, in other words, Kageyama is the best player in your grade level, as far as you know.\Y-Yes...\He sure doesn't like admitting it.\But if he was your most formidable opponent,\now he's your most formidable ally. response:	I don't think you're essential to winning.
context: I don't want to lose any more.\I see...\So, in other words, Kageyama is the best player in your grade level, as far as you know.\Y-Yes...\He sure doesn't like admitting it.\But if he was your most formidable opponent,\now he's your most formidable ally.\I don't think you're essential to winning. response:	All right, let's do some receiving.
context: I see...\So, in other words, Kageyama is the best player in your grade level, as far as you know.\Y-Yes...\He sure doesn't like admitting it.\But if he was your most formidable opponent,\now he's your most formidable ally.\I don't think you're essential to winning.\All right, let's do some receiving. response:	All right.
context: So, in other words, Kageyama is the best player in your grade level, as far as you know.\Y-Yes...\He sure doesn't like admitting it.\But if he was your most formidable opponent,\now he's your most formidable ally.\I don't think you're essential to winning.\All right, let's do some receiving.\All right. response:	Thanks for taking out the trash.
