context: Dang... I finally climbed up the ladder enough to get a TV appearance. response:	These greenrooms sure do make you restless, though.
context: What the heck is he doing?\And now... Will we be able to save the poor,\Host\Ebihara Morizo\unfortunate young man that's been possessed?\Let's introduce our two powerful helpers!\The first one needs no introduction.\The president of the Rising Sun Spiritual Union, Jodo Kirin-sensei! response:	Jodo Kirin
context: And now... Will we be able to save the poor,\Host\Ebihara Morizo\unfortunate young man that's been possessed?\Let's introduce our two powerful helpers!\The first one needs no introduction.\The president of the Rising Sun Spiritual Union, Jodo Kirin-sensei!\Jodo Kirin response:	He's solved devastating problems for many. He's the best of the best!
context: Host\Ebihara Morizo\unfortunate young man that's been possessed?\Let's introduce our two powerful helpers!\The first one needs no introduction.\The president of the Rising Sun Spiritual Union, Jodo Kirin-sensei!\Jodo Kirin\He's solved devastating problems for many. He's the best of the best! response:	The other is making his first appearance on TV.
context: Ebihara Morizo\unfortunate young man that's been possessed?\Let's introduce our two powerful helpers!\The first one needs no introduction.\The president of the Rising Sun Spiritual Union, Jodo Kirin-sensei!\Jodo Kirin\He's solved devastating problems for many. He's the best of the best!\The other is making his first appearance on TV. response:	Reigen Arataka-sensei!
context: unfortunate young man that's been possessed?\Let's introduce our two powerful helpers!\The first one needs no introduction.\The president of the Rising Sun Spiritual Union, Jodo Kirin-sensei!\Jodo Kirin\He's solved devastating problems for many. He's the best of the best!\The other is making his first appearance on TV.\Reigen Arataka-sensei! response:	Why, hello there. I'm Reigen Arataka.
context: Let's introduce our two powerful helpers!\The first one needs no introduction.\The president of the Rising Sun Spiritual Union, Jodo Kirin-sensei!\Jodo Kirin\He's solved devastating problems for many. He's the best of the best!\The other is making his first appearance on TV.\Reigen Arataka-sensei!\Why, hello there. I'm Reigen Arataka. response:	You can find my business in Seasoning City.
context: The first one needs no introduction.\The president of the Rising Sun Spiritual Union, Jodo Kirin-sensei!\Jodo Kirin\He's solved devastating problems for many. He's the best of the best!\The other is making his first appearance on TV.\Reigen Arataka-sensei!\Why, hello there. I'm Reigen Arataka.\You can find my business in Seasoning City. response:	Do Spiritual Powers Actually Exist!?
context: The president of the Rising Sun Spiritual Union, Jodo Kirin-sensei!\Jodo Kirin\He's solved devastating problems for many. He's the best of the best!\The other is making his first appearance on TV.\Reigen Arataka-sensei!\Why, hello there. I'm Reigen Arataka.\You can find my business in Seasoning City.\Do Spiritual Powers Actually Exist!? response:	Special!
context: Jodo Kirin\He's solved devastating problems for many. He's the best of the best!\The other is making his first appearance on TV.\Reigen Arataka-sensei!\Why, hello there. I'm Reigen Arataka.\You can find my business in Seasoning City.\Do Spiritual Powers Actually Exist!?\Special! response:	What are some of your accomplishments up till now, Reigen-sensei?
context: He's solved devastating problems for many. He's the best of the best!\The other is making his first appearance on TV.\Reigen Arataka-sensei!\Why, hello there. I'm Reigen Arataka.\You can find my business in Seasoning City.\Do Spiritual Powers Actually Exist!?\Special!\What are some of your accomplishments up till now, Reigen-sensei? response:	It's hard to choose just one...
context: The other is making his first appearance on TV.\Reigen Arataka-sensei!\Why, hello there. I'm Reigen Arataka.\You can find my business in Seasoning City.\Do Spiritual Powers Actually Exist!?\Special!\What are some of your accomplishments up till now, Reigen-sensei?\It's hard to choose just one... response:	Oh, but I did defeat the Dragger.
context: Reigen Arataka-sensei!\Why, hello there. I'm Reigen Arataka.\You can find my business in Seasoning City.\Do Spiritual Powers Actually Exist!?\Special!\What are some of your accomplishments up till now, Reigen-sensei?\It's hard to choose just one...\Oh, but I did defeat the Dragger. response:	Mogi Tatsuya
context: Why, hello there. I'm Reigen Arataka.\You can find my business in Seasoning City.\Do Spiritual Powers Actually Exist!?\Special!\What are some of your accomplishments up till now, Reigen-sensei?\It's hard to choose just one...\Oh, but I did defeat the Dragger.\Mogi Tatsuya response:	Huh? That's awesome.
context: You can find my business in Seasoning City.\Do Spiritual Powers Actually Exist!?\Special!\What are some of your accomplishments up till now, Reigen-sensei?\It's hard to choose just one...\Oh, but I did defeat the Dragger.\Mogi Tatsuya\Huh? That's awesome. response:	Looks like we can expect great things.
context: Do Spiritual Powers Actually Exist!?\Special!\What are some of your accomplishments up till now, Reigen-sensei?\It's hard to choose just one...\Oh, but I did defeat the Dragger.\Mogi Tatsuya\Huh? That's awesome.\Looks like we can expect great things. response:	And now, let's bring out the boy.
context: Special!\What are some of your accomplishments up till now, Reigen-sensei?\It's hard to choose just one...\Oh, but I did defeat the Dragger.\Mogi Tatsuya\Huh? That's awesome.\Looks like we can expect great things.\And now, let's bring out the boy. response:	Spooky
context: What are some of your accomplishments up till now, Reigen-sensei?\It's hard to choose just one...\Oh, but I did defeat the Dragger.\Mogi Tatsuya\Huh? That's awesome.\Looks like we can expect great things.\And now, let's bring out the boy.\Spooky response:	To be extra careful, since he may freak out,
context: It's hard to choose just one...\Oh, but I did defeat the Dragger.\Mogi Tatsuya\Huh? That's awesome.\Looks like we can expect great things.\And now, let's bring out the boy.\Spooky\To be extra careful, since he may freak out, response:	we have him securely bound.
context: Oh, but I did defeat the Dragger.\Mogi Tatsuya\Huh? That's awesome.\Looks like we can expect great things.\And now, let's bring out the boy.\Spooky\To be extra careful, since he may freak out,\we have him securely bound. response:	Go to Reigen-sensei!
context: Mogi Tatsuya\Huh? That's awesome.\Looks like we can expect great things.\And now, let's bring out the boy.\Spooky\To be extra careful, since he may freak out,\we have him securely bound.\Go to Reigen-sensei! response:	Go to Reigen-sensei!
context: Huh? That's awesome.\Looks like we can expect great things.\And now, let's bring out the boy.\Spooky\To be extra careful, since he may freak out,\we have him securely bound.\Go to Reigen-sensei!\Go to Reigen-sensei! response:	What do you think?
context: Looks like we can expect great things.\And now, let's bring out the boy.\Spooky\To be extra careful, since he may freak out,\we have him securely bound.\Go to Reigen-sensei!\Go to Reigen-sensei!\What do you think? response:	I see...
context: And now, let's bring out the boy.\Spooky\To be extra careful, since he may freak out,\we have him securely bound.\Go to Reigen-sensei!\Go to Reigen-sensei!\What do you think?\I see... response:	The footage we just watched
context: Spooky\To be extra careful, since he may freak out,\we have him securely bound.\Go to Reigen-sensei!\Go to Reigen-sensei!\What do you think?\I see...\The footage we just watched response:	mentioned that he was possessed by a fox after playing the Kokkuri-san game.
context: To be extra careful, since he may freak out,\we have him securely bound.\Go to Reigen-sensei!\Go to Reigen-sensei!\What do you think?\I see...\The footage we just watched\mentioned that he was possessed by a fox after playing the Kokkuri-san game. response:	But to be more precise,
context: we have him securely bound.\Go to Reigen-sensei!\Go to Reigen-sensei!\What do you think?\I see...\The footage we just watched\mentioned that he was possessed by a fox after playing the Kokkuri-san game.\But to be more precise, response:	it's a ghost of a Ruppell's fox, which are usually found in North Africa.
context: Go to Reigen-sensei!\Go to Reigen-sensei!\What do you think?\I see...\The footage we just watched\mentioned that he was possessed by a fox after playing the Kokkuri-san game.\But to be more precise,\it's a ghost of a Ruppell's fox, which are usually found in North Africa. response:	What's this? He was able to precisely deduce the kind of ghost it is!
context: Go to Reigen-sensei!\What do you think?\I see...\The footage we just watched\mentioned that he was possessed by a fox after playing the Kokkuri-san game.\But to be more precise,\it's a ghost of a Ruppell's fox, which are usually found in North Africa.\What's this? He was able to precisely deduce the kind of ghost it is! response:	What do you think, Jodo-sensei?
context: What do you think?\I see...\The footage we just watched\mentioned that he was possessed by a fox after playing the Kokkuri-san game.\But to be more precise,\it's a ghost of a Ruppell's fox, which are usually found in North Africa.\What's this? He was able to precisely deduce the kind of ghost it is!\What do you think, Jodo-sensei? response:	The poor child... being strapped down like that.
context: I see...\The footage we just watched\mentioned that he was possessed by a fox after playing the Kokkuri-san game.\But to be more precise,\it's a ghost of a Ruppell's fox, which are usually found in North Africa.\What's this? He was able to precisely deduce the kind of ghost it is!\What do you think, Jodo-sensei?\The poor child... being strapped down like that. response:	I'm hoping we don't have to keep those things on him much longer.
context: The footage we just watched\mentioned that he was possessed by a fox after playing the Kokkuri-san game.\But to be more precise,\it's a ghost of a Ruppell's fox, which are usually found in North Africa.\What's this? He was able to precisely deduce the kind of ghost it is!\What do you think, Jodo-sensei?\The poor child... being strapped down like that.\I'm hoping we don't have to keep those things on him much longer. response:	I see. So we all feel the same.
context: mentioned that he was possessed by a fox after playing the Kokkuri-san game.\But to be more precise,\it's a ghost of a Ruppell's fox, which are usually found in North Africa.\What's this? He was able to precisely deduce the kind of ghost it is!\What do you think, Jodo-sensei?\The poor child... being strapped down like that.\I'm hoping we don't have to keep those things on him much longer.\I see. So we all feel the same. response:	And now, we're finally going to witness the public exorcism!
context: But to be more precise,\it's a ghost of a Ruppell's fox, which are usually found in North Africa.\What's this? He was able to precisely deduce the kind of ghost it is!\What do you think, Jodo-sensei?\The poor child... being strapped down like that.\I'm hoping we don't have to keep those things on him much longer.\I see. So we all feel the same.\And now, we're finally going to witness the public exorcism! response:	But before that, a word from our sponsors.
context: it's a ghost of a Ruppell's fox, which are usually found in North Africa.\What's this? He was able to precisely deduce the kind of ghost it is!\What do you think, Jodo-sensei?\The poor child... being strapped down like that.\I'm hoping we don't have to keep those things on him much longer.\I see. So we all feel the same.\And now, we're finally going to witness the public exorcism!\But before that, a word from our sponsors. response:	When we're back on air, we're going to have Jodo-sensei do the exorcism.
context: What's this? He was able to precisely deduce the kind of ghost it is!\What do you think, Jodo-sensei?\The poor child... being strapped down like that.\I'm hoping we don't have to keep those things on him much longer.\I see. So we all feel the same.\And now, we're finally going to witness the public exorcism!\But before that, a word from our sponsors.\When we're back on air, we're going to have Jodo-sensei do the exorcism. response:	Actually, why don't we have Reigen-kun give it a shot?
context: What do you think, Jodo-sensei?\The poor child... being strapped down like that.\I'm hoping we don't have to keep those things on him much longer.\I see. So we all feel the same.\And now, we're finally going to witness the public exorcism!\But before that, a word from our sponsors.\When we're back on air, we're going to have Jodo-sensei do the exorcism.\Actually, why don't we have Reigen-kun give it a shot? response:	Wha
context: The poor child... being strapped down like that.\I'm hoping we don't have to keep those things on him much longer.\I see. So we all feel the same.\And now, we're finally going to witness the public exorcism!\But before that, a word from our sponsors.\When we're back on air, we're going to have Jodo-sensei do the exorcism.\Actually, why don't we have Reigen-kun give it a shot?\Wha response:	No one wants to see an old man.
context: I'm hoping we don't have to keep those things on him much longer.\I see. So we all feel the same.\And now, we're finally going to witness the public exorcism!\But before that, a word from our sponsors.\When we're back on air, we're going to have Jodo-sensei do the exorcism.\Actually, why don't we have Reigen-kun give it a shot?\Wha\No one wants to see an old man. response:	Let's show the country how a next-generation psychic does things.
context: I see. So we all feel the same.\And now, we're finally going to witness the public exorcism!\But before that, a word from our sponsors.\When we're back on air, we're going to have Jodo-sensei do the exorcism.\Actually, why don't we have Reigen-kun give it a shot?\Wha\No one wants to see an old man.\Let's show the country how a next-generation psychic does things. response:	Wasn't I just supposed to sit there and comment today?
context: And now, we're finally going to witness the public exorcism!\But before that, a word from our sponsors.\When we're back on air, we're going to have Jodo-sensei do the exorcism.\Actually, why don't we have Reigen-kun give it a shot?\Wha\No one wants to see an old man.\Let's show the country how a next-generation psychic does things.\Wasn't I just supposed to sit there and comment today? response:	I'm trying to give you the spotlight here.
context: But before that, a word from our sponsors.\When we're back on air, we're going to have Jodo-sensei do the exorcism.\Actually, why don't we have Reigen-kun give it a shot?\Wha\No one wants to see an old man.\Let's show the country how a next-generation psychic does things.\Wasn't I just supposed to sit there and comment today?\I'm trying to give you the spotlight here. response:	But if you're not up to the task, very well.
context: When we're back on air, we're going to have Jodo-sensei do the exorcism.\Actually, why don't we have Reigen-kun give it a shot?\Wha\No one wants to see an old man.\Let's show the country how a next-generation psychic does things.\Wasn't I just supposed to sit there and comment today?\I'm trying to give you the spotlight here.\But if you're not up to the task, very well. response:	I'll do it, just as it says in the script.
context: Actually, why don't we have Reigen-kun give it a shot?\Wha\No one wants to see an old man.\Let's show the country how a next-generation psychic does things.\Wasn't I just supposed to sit there and comment today?\I'm trying to give you the spotlight here.\But if you're not up to the task, very well.\I'll do it, just as it says in the script. response:	The script?
context: Wha\No one wants to see an old man.\Let's show the country how a next-generation psychic does things.\Wasn't I just supposed to sit there and comment today?\I'm trying to give you the spotlight here.\But if you're not up to the task, very well.\I'll do it, just as it says in the script.\The script? response:	I see!
context: No one wants to see an old man.\Let's show the country how a next-generation psychic does things.\Wasn't I just supposed to sit there and comment today?\I'm trying to give you the spotlight here.\But if you're not up to the task, very well.\I'll do it, just as it says in the script.\The script?\I see! response:	One moment! I'll do it after all.
context: Let's show the country how a next-generation psychic does things.\Wasn't I just supposed to sit there and comment today?\I'm trying to give you the spotlight here.\But if you're not up to the task, very well.\I'll do it, just as it says in the script.\The script?\I see!\One moment! I'll do it after all. response:	Okay... sure.
context: Wasn't I just supposed to sit there and comment today?\I'm trying to give you the spotlight here.\But if you're not up to the task, very well.\I'll do it, just as it says in the script.\The script?\I see!\One moment! I'll do it after all.\Okay... sure. response:	Reigen-sensei's going to perform the exorcism this time.
context: I'm trying to give you the spotlight here.\But if you're not up to the task, very well.\I'll do it, just as it says in the script.\The script?\I see!\One moment! I'll do it after all.\Okay... sure.\Reigen-sensei's going to perform the exorcism this time. response:	We're coming back from commercial!
context: But if you're not up to the task, very well.\I'll do it, just as it says in the script.\The script?\I see!\One moment! I'll do it after all.\Okay... sure.\Reigen-sensei's going to perform the exorcism this time.\We're coming back from commercial! response:	Supernatural Detective Special!!
context: I'll do it, just as it says in the script.\The script?\I see!\One moment! I'll do it after all.\Okay... sure.\Reigen-sensei's going to perform the exorcism this time.\We're coming back from commercial!\Supernatural Detective Special!! response:	And it looks like we're just about ready for this public exorcism.
context: The script?\I see!\One moment! I'll do it after all.\Okay... sure.\Reigen-sensei's going to perform the exorcism this time.\We're coming back from commercial!\Supernatural Detective Special!!\And it looks like we're just about ready for this public exorcism. response:	The one performing this exorcism
context: I see!\One moment! I'll do it after all.\Okay... sure.\Reigen-sensei's going to perform the exorcism this time.\We're coming back from commercial!\Supernatural Detective Special!!\And it looks like we're just about ready for this public exorcism.\The one performing this exorcism response:	is an exciting newcomer who has had a meteoric rise!
context: One moment! I'll do it after all.\Okay... sure.\Reigen-sensei's going to perform the exorcism this time.\We're coming back from commercial!\Supernatural Detective Special!!\And it looks like we're just about ready for this public exorcism.\The one performing this exorcism\is an exciting newcomer who has had a meteoric rise! response:	Reigen Arataka-sensei! Are you ready?
context: Okay... sure.\Reigen-sensei's going to perform the exorcism this time.\We're coming back from commercial!\Supernatural Detective Special!!\And it looks like we're just about ready for this public exorcism.\The one performing this exorcism\is an exciting newcomer who has had a meteoric rise!\Reigen Arataka-sensei! Are you ready? response:	Karaoke
context: Reigen-sensei's going to perform the exorcism this time.\We're coming back from commercial!\Supernatural Detective Special!!\And it looks like we're just about ready for this public exorcism.\The one performing this exorcism\is an exciting newcomer who has had a meteoric rise!\Reigen Arataka-sensei! Are you ready?\Karaoke response:	Leave it to me! I, Reigen Arataka, shall accept this job!
context: We're coming back from commercial!\Supernatural Detective Special!!\And it looks like we're just about ready for this public exorcism.\The one performing this exorcism\is an exciting newcomer who has had a meteoric rise!\Reigen Arataka-sensei! Are you ready?\Karaoke\Leave it to me! I, Reigen Arataka, shall accept this job! response:	I shall successfully get rid of this spirit!
context: Supernatural Detective Special!!\And it looks like we're just about ready for this public exorcism.\The one performing this exorcism\is an exciting newcomer who has had a meteoric rise!\Reigen Arataka-sensei! Are you ready?\Karaoke\Leave it to me! I, Reigen Arataka, shall accept this job!\I shall successfully get rid of this spirit! response:	Live or not, this is still a TV show.
context: And it looks like we're just about ready for this public exorcism.\The one performing this exorcism\is an exciting newcomer who has had a meteoric rise!\Reigen Arataka-sensei! Are you ready?\Karaoke\Leave it to me! I, Reigen Arataka, shall accept this job!\I shall successfully get rid of this spirit!\Live or not, this is still a TV show. response:	It's all a setup written by some scriptwriter.
context: The one performing this exorcism\is an exciting newcomer who has had a meteoric rise!\Reigen Arataka-sensei! Are you ready?\Karaoke\Leave it to me! I, Reigen Arataka, shall accept this job!\I shall successfully get rid of this spirit!\Live or not, this is still a TV show.\It's all a setup written by some scriptwriter. response:	If I do some random exorcism,
context: is an exciting newcomer who has had a meteoric rise!\Reigen Arataka-sensei! Are you ready?\Karaoke\Leave it to me! I, Reigen Arataka, shall accept this job!\I shall successfully get rid of this spirit!\Live or not, this is still a TV show.\It's all a setup written by some scriptwriter.\If I do some random exorcism, response:	that'll quietly be the cue for the boy to calm down
context: Reigen Arataka-sensei! Are you ready?\Karaoke\Leave it to me! I, Reigen Arataka, shall accept this job!\I shall successfully get rid of this spirit!\Live or not, this is still a TV show.\It's all a setup written by some scriptwriter.\If I do some random exorcism,\that'll quietly be the cue for the boy to calm down response:	and the studio audience to clap.
context: Karaoke\Leave it to me! I, Reigen Arataka, shall accept this job!\I shall successfully get rid of this spirit!\Live or not, this is still a TV show.\It's all a setup written by some scriptwriter.\If I do some random exorcism,\that'll quietly be the cue for the boy to calm down\and the studio audience to clap. response:	Then the host will praise me, and the show will be over.
context: Leave it to me! I, Reigen Arataka, shall accept this job!\I shall successfully get rid of this spirit!\Live or not, this is still a TV show.\It's all a setup written by some scriptwriter.\If I do some random exorcism,\that'll quietly be the cue for the boy to calm down\and the studio audience to clap.\Then the host will praise me, and the show will be over. response:	Splashity Splash
context: I shall successfully get rid of this spirit!\Live or not, this is still a TV show.\It's all a setup written by some scriptwriter.\If I do some random exorcism,\that'll quietly be the cue for the boy to calm down\and the studio audience to clap.\Then the host will praise me, and the show will be over.\Splashity Splash response:	Salt Splash!
context: Live or not, this is still a TV show.\It's all a setup written by some scriptwriter.\If I do some random exorcism,\that'll quietly be the cue for the boy to calm down\and the studio audience to clap.\Then the host will praise me, and the show will be over.\Splashity Splash\Salt Splash! response:	And he just started throwing a ton of salt outta nowhere!
context: It's all a setup written by some scriptwriter.\If I do some random exorcism,\that'll quietly be the cue for the boy to calm down\and the studio audience to clap.\Then the host will praise me, and the show will be over.\Splashity Splash\Salt Splash!\And he just started throwing a ton of salt outta nowhere! response:	The spirit possessing the boy seems to be struggling in agony.
context: If I do some random exorcism,\that'll quietly be the cue for the boy to calm down\and the studio audience to clap.\Then the host will praise me, and the show will be over.\Splashity Splash\Salt Splash!\And he just started throwing a ton of salt outta nowhere!\The spirit possessing the boy seems to be struggling in agony. response:	It's working! It's really working!
context: that'll quietly be the cue for the boy to calm down\and the studio audience to clap.\Then the host will praise me, and the show will be over.\Splashity Splash\Salt Splash!\And he just started throwing a ton of salt outta nowhere!\The spirit possessing the boy seems to be struggling in agony.\It's working! It's really working! response:	But it has never worked before!
context: and the studio audience to clap.\Then the host will praise me, and the show will be over.\Splashity Splash\Salt Splash!\And he just started throwing a ton of salt outta nowhere!\The spirit possessing the boy seems to be struggling in agony.\It's working! It's really working!\But it has never worked before! response:	This kid is acting!
context: Then the host will praise me, and the show will be over.\Splashity Splash\Salt Splash!\And he just started throwing a ton of salt outta nowhere!\The spirit possessing the boy seems to be struggling in agony.\It's working! It's really working!\But it has never worked before!\This kid is acting! response:	Now that I know that, I'm not pulling any punches!
context: Splashity Splash\Salt Splash!\And he just started throwing a ton of salt outta nowhere!\The spirit possessing the boy seems to be struggling in agony.\It's working! It's really working!\But it has never worked before!\This kid is acting!\Now that I know that, I'm not pulling any punches! response:	Sorcery Crush Special!
context: Salt Splash!\And he just started throwing a ton of salt outta nowhere!\The spirit possessing the boy seems to be struggling in agony.\It's working! It's really working!\But it has never worked before!\This kid is acting!\Now that I know that, I'm not pulling any punches!\Sorcery Crush Special! response:	Air Banishing Salt...
context: And he just started throwing a ton of salt outta nowhere!\The spirit possessing the boy seems to be struggling in agony.\It's working! It's really working!\But it has never worked before!\This kid is acting!\Now that I know that, I'm not pulling any punches!\Sorcery Crush Special!\Air Banishing Salt... response:	Punch!
context: The spirit possessing the boy seems to be struggling in agony.\It's working! It's really working!\But it has never worked before!\This kid is acting!\Now that I know that, I'm not pulling any punches!\Sorcery Crush Special!\Air Banishing Salt...\Punch! response:	A clean hit!
context: It's working! It's really working!\But it has never worked before!\This kid is acting!\Now that I know that, I'm not pulling any punches!\Sorcery Crush Special!\Air Banishing Salt...\Punch!\A clean hit! response:	Well, it's been about 30 minutes since the exorcism started,
context: But it has never worked before!\This kid is acting!\Now that I know that, I'm not pulling any punches!\Sorcery Crush Special!\Air Banishing Salt...\Punch!\A clean hit!\Well, it's been about 30 minutes since the exorcism started, response:	but apparently, the spirit just refuses to leave.
context: This kid is acting!\Now that I know that, I'm not pulling any punches!\Sorcery Crush Special!\Air Banishing Salt...\Punch!\A clean hit!\Well, it's been about 30 minutes since the exorcism started,\but apparently, the spirit just refuses to leave. response:	Talk about resilient.
context: Now that I know that, I'm not pulling any punches!\Sorcery Crush Special!\Air Banishing Salt...\Punch!\A clean hit!\Well, it's been about 30 minutes since the exorcism started,\but apparently, the spirit just refuses to leave.\Talk about resilient. response:	Evil Spirit Detox Acupressure!
context: Sorcery Crush Special!\Air Banishing Salt...\Punch!\A clean hit!\Well, it's been about 30 minutes since the exorcism started,\but apparently, the spirit just refuses to leave.\Talk about resilient.\Evil Spirit Detox Acupressure! response:	Holy Water Chop!
context: Air Banishing Salt...\Punch!\A clean hit!\Well, it's been about 30 minutes since the exorcism started,\but apparently, the spirit just refuses to leave.\Talk about resilient.\Evil Spirit Detox Acupressure!\Holy Water Chop! response:	For real!
context: Punch!\A clean hit!\Well, it's been about 30 minutes since the exorcism started,\but apparently, the spirit just refuses to leave.\Talk about resilient.\Evil Spirit Detox Acupressure!\Holy Water Chop!\For real! response:	I've already used up all my special moves
context: A clean hit!\Well, it's been about 30 minutes since the exorcism started,\but apparently, the spirit just refuses to leave.\Talk about resilient.\Evil Spirit Detox Acupressure!\Holy Water Chop!\For real!\I've already used up all my special moves response:	Sorcery Crush
context: Well, it's been about 30 minutes since the exorcism started,\but apparently, the spirit just refuses to leave.\Talk about resilient.\Evil Spirit Detox Acupressure!\Holy Water Chop!\For real!\I've already used up all my special moves\Sorcery Crush response:	Aroma Runway Express
context: but apparently, the spirit just refuses to leave.\Talk about resilient.\Evil Spirit Detox Acupressure!\Holy Water Chop!\For real!\I've already used up all my special moves\Sorcery Crush\Aroma Runway Express response:	Salt Splash
context: Talk about resilient.\Evil Spirit Detox Acupressure!\Holy Water Chop!\For real!\I've already used up all my special moves\Sorcery Crush\Aroma Runway Express\Salt Splash response:	Graphic Exorcism
context: Evil Spirit Detox Acupressure!\Holy Water Chop!\For real!\I've already used up all my special moves\Sorcery Crush\Aroma Runway Express\Salt Splash\Graphic Exorcism response:	Hypnosis Punch
context: Holy Water Chop!\For real!\I've already used up all my special moves\Sorcery Crush\Aroma Runway Express\Salt Splash\Graphic Exorcism\Hypnosis Punch response:	and now I'm trying to keep things going with ad-libs!
context: For real!\I've already used up all my special moves\Sorcery Crush\Aroma Runway Express\Salt Splash\Graphic Exorcism\Hypnosis Punch\and now I'm trying to keep things going with ad-libs! response:	Banishing Salt Punch
context: I've already used up all my special moves\Sorcery Crush\Aroma Runway Express\Salt Splash\Graphic Exorcism\Hypnosis Punch\and now I'm trying to keep things going with ad-libs!\Banishing Salt Punch response:	Cheeseburger Tornado
context: Sorcery Crush\Aroma Runway Express\Salt Splash\Graphic Exorcism\Hypnosis Punch\and now I'm trying to keep things going with ad-libs!\Banishing Salt Punch\Cheeseburger Tornado response:	Anti-Possession Jumping Knee Strike
context: Aroma Runway Express\Salt Splash\Graphic Exorcism\Hypnosis Punch\and now I'm trying to keep things going with ad-libs!\Banishing Salt Punch\Cheeseburger Tornado\Anti-Possession Jumping Knee Strike response:	All right, let's have our other psychic step in.
context: Salt Splash\Graphic Exorcism\Hypnosis Punch\and now I'm trying to keep things going with ad-libs!\Banishing Salt Punch\Cheeseburger Tornado\Anti-Possession Jumping Knee Strike\All right, let's have our other psychic step in. response:	Huh?
