context: Are you sure you're okay? response:	Yeah, I'm totally fine.
context: Yeah, he's just sleeping.\Once he wakes up, he'll be back to normal.\Yeah, back to normal.\This was the place I always dreamed of...\And yet...\What are you so scared of?\Huh?\I told you, they're just hibernating! response:	It's rude to everyone if you keep looking so surprised!
context: Once he wakes up, he'll be back to normal.\Yeah, back to normal.\This was the place I always dreamed of...\And yet...\What are you so scared of?\Huh?\I told you, they're just hibernating!\It's rude to everyone if you keep looking so surprised! response:	Hikari...
context: Yeah, back to normal.\This was the place I always dreamed of...\And yet...\What are you so scared of?\Huh?\I told you, they're just hibernating!\It's rude to everyone if you keep looking so surprised!\Hikari... response:	Do you think that all of them are dead or something?!
context: This was the place I always dreamed of...\And yet...\What are you so scared of?\Huh?\I told you, they're just hibernating!\It's rude to everyone if you keep looking so surprised!\Hikari...\Do you think that all of them are dead or something?! response:	Hey, Hikari!
context: And yet...\What are you so scared of?\Huh?\I told you, they're just hibernating!\It's rude to everyone if you keep looking so surprised!\Hikari...\Do you think that all of them are dead or something?!\Hey, Hikari! response:	Sorry...
context: What are you so scared of?\Huh?\I told you, they're just hibernating!\It's rude to everyone if you keep looking so surprised!\Hikari...\Do you think that all of them are dead or something?!\Hey, Hikari!\Sorry... response:	Hikari...
context: Huh?\I told you, they're just hibernating!\It's rude to everyone if you keep looking so surprised!\Hikari...\Do you think that all of them are dead or something?!\Hey, Hikari!\Sorry...\Hikari... response:	Huh?
context: I told you, they're just hibernating!\It's rude to everyone if you keep looking so surprised!\Hikari...\Do you think that all of them are dead or something?!\Hey, Hikari!\Sorry...\Hikari...\Huh? response:	I'm going to go calm down before we look for Manaka.
context: It's rude to everyone if you keep looking so surprised!\Hikari...\Do you think that all of them are dead or something?!\Hey, Hikari!\Sorry...\Hikari...\Huh?\I'm going to go calm down before we look for Manaka. response:	At this rate,
context: Hikari...\Do you think that all of them are dead or something?!\Hey, Hikari!\Sorry...\Hikari...\Huh?\I'm going to go calm down before we look for Manaka.\At this rate, response:	I'll be too worked up and I have a feeling I'll embarrass myself.
context: Do you think that all of them are dead or something?!\Hey, Hikari!\Sorry...\Hikari...\Huh?\I'm going to go calm down before we look for Manaka.\At this rate,\I'll be too worked up and I have a feeling I'll embarrass myself. response:	That's possible. I don't have any faith that I won't.
context: Hey, Hikari!\Sorry...\Hikari...\Huh?\I'm going to go calm down before we look for Manaka.\At this rate,\I'll be too worked up and I have a feeling I'll embarrass myself.\That's possible. I don't have any faith that I won't. response:	We'll be back as soon as possible, so could you wait here?
context: Sorry...\Hikari...\Huh?\I'm going to go calm down before we look for Manaka.\At this rate,\I'll be too worked up and I have a feeling I'll embarrass myself.\That's possible. I don't have any faith that I won't.\We'll be back as soon as possible, so could you wait here? response:	Okay.
context: Hikari...\Huh?\I'm going to go calm down before we look for Manaka.\At this rate,\I'll be too worked up and I have a feeling I'll embarrass myself.\That's possible. I don't have any faith that I won't.\We'll be back as soon as possible, so could you wait here?\Okay. response:	Don't go anywhere.
context: Huh?\I'm going to go calm down before we look for Manaka.\At this rate,\I'll be too worked up and I have a feeling I'll embarrass myself.\That's possible. I don't have any faith that I won't.\We'll be back as soon as possible, so could you wait here?\Okay.\Don't go anywhere. response:	This is my first time being in Shioshishio, but...
context: I'm going to go calm down before we look for Manaka.\At this rate,\I'll be too worked up and I have a feeling I'll embarrass myself.\That's possible. I don't have any faith that I won't.\We'll be back as soon as possible, so could you wait here?\Okay.\Don't go anywhere.\This is my first time being in Shioshishio, but... response:	For Hikari and Kaname,
context: At this rate,\I'll be too worked up and I have a feeling I'll embarrass myself.\That's possible. I don't have any faith that I won't.\We'll be back as soon as possible, so could you wait here?\Okay.\Don't go anywhere.\This is my first time being in Shioshishio, but...\For Hikari and Kaname, response:	this is probably a Shioshishio they don't know either.
context: I'll be too worked up and I have a feeling I'll embarrass myself.\That's possible. I don't have any faith that I won't.\We'll be back as soon as possible, so could you wait here?\Okay.\Don't go anywhere.\This is my first time being in Shioshishio, but...\For Hikari and Kaname,\this is probably a Shioshishio they don't know either. response:	She doesn't mean anything by it.
context: That's possible. I don't have any faith that I won't.\We'll be back as soon as possible, so could you wait here?\Okay.\Don't go anywhere.\This is my first time being in Shioshishio, but...\For Hikari and Kaname,\this is probably a Shioshishio they don't know either.\She doesn't mean anything by it. response:	I know.
context: We'll be back as soon as possible, so could you wait here?\Okay.\Don't go anywhere.\This is my first time being in Shioshishio, but...\For Hikari and Kaname,\this is probably a Shioshishio they don't know either.\She doesn't mean anything by it.\I know. response:	Hey, they really are just sleeping, right?
context: Okay.\Don't go anywhere.\This is my first time being in Shioshishio, but...\For Hikari and Kaname,\this is probably a Shioshishio they don't know either.\She doesn't mean anything by it.\I know.\Hey, they really are just sleeping, right? response:	Hikari...
context: Don't go anywhere.\This is my first time being in Shioshishio, but...\For Hikari and Kaname,\this is probably a Shioshishio they don't know either.\She doesn't mean anything by it.\I know.\Hey, they really are just sleeping, right?\Hikari... response:	It's just hibernation, right?
context: This is my first time being in Shioshishio, but...\For Hikari and Kaname,\this is probably a Shioshishio they don't know either.\She doesn't mean anything by it.\I know.\Hey, they really are just sleeping, right?\Hikari...\It's just hibernation, right? response:	Uroko-sama and the adults weren't lying, were they?
context: For Hikari and Kaname,\this is probably a Shioshishio they don't know either.\She doesn't mean anything by it.\I know.\Hey, they really are just sleeping, right?\Hikari...\It's just hibernation, right?\Uroko-sama and the adults weren't lying, were they? response:	If that's the case, why'd we wake up?
context: this is probably a Shioshishio they don't know either.\She doesn't mean anything by it.\I know.\Hey, they really are just sleeping, right?\Hikari...\It's just hibernation, right?\Uroko-sama and the adults weren't lying, were they?\If that's the case, why'd we wake up? response:	You're right...
context: She doesn't mean anything by it.\I know.\Hey, they really are just sleeping, right?\Hikari...\It's just hibernation, right?\Uroko-sama and the adults weren't lying, were they?\If that's the case, why'd we wake up?\You're right... response:	I'm just being selfish.
context: I know.\Hey, they really are just sleeping, right?\Hikari...\It's just hibernation, right?\Uroko-sama and the adults weren't lying, were they?\If that's the case, why'd we wake up?\You're right...\I'm just being selfish. response:	What?
context: Hey, they really are just sleeping, right?\Hikari...\It's just hibernation, right?\Uroko-sama and the adults weren't lying, were they?\If that's the case, why'd we wake up?\You're right...\I'm just being selfish.\What? response:	Miuna's birth mother was from the sea, right?
context: Hikari...\It's just hibernation, right?\Uroko-sama and the adults weren't lying, were they?\If that's the case, why'd we wake up?\You're right...\I'm just being selfish.\What?\Miuna's birth mother was from the sea, right? response:	I wanted her to think it was pretty.
context: It's just hibernation, right?\Uroko-sama and the adults weren't lying, were they?\If that's the case, why'd we wake up?\You're right...\I'm just being selfish.\What?\Miuna's birth mother was from the sea, right?\I wanted her to think it was pretty. response:	Miuna's mom's...
context: Uroko-sama and the adults weren't lying, were they?\If that's the case, why'd we wake up?\You're right...\I'm just being selfish.\What?\Miuna's birth mother was from the sea, right?\I wanted her to think it was pretty.\Miuna's mom's... response:	Our Shioshishio.
context: If that's the case, why'd we wake up?\You're right...\I'm just being selfish.\What?\Miuna's birth mother was from the sea, right?\I wanted her to think it was pretty.\Miuna's mom's...\Our Shioshishio. response:	I'm home.
context: You're right...\I'm just being selfish.\What?\Miuna's birth mother was from the sea, right?\I wanted her to think it was pretty.\Miuna's mom's...\Our Shioshishio.\I'm home. response:	The world I always imagined.
context: I'm just being selfish.\What?\Miuna's birth mother was from the sea, right?\I wanted her to think it was pretty.\Miuna's mom's...\Our Shioshishio.\I'm home.\The world I always imagined. response:	The world I didn't know...
context: What?\Miuna's birth mother was from the sea, right?\I wanted her to think it was pretty.\Miuna's mom's...\Our Shioshishio.\I'm home.\The world I always imagined.\The world I didn't know... response:	With roads I didn't know, and people I didn't know.
context: Miuna's birth mother was from the sea, right?\I wanted her to think it was pretty.\Miuna's mom's...\Our Shioshishio.\I'm home.\The world I always imagined.\The world I didn't know...\With roads I didn't know, and people I didn't know. response:	Yesterday was a storm, today is a lull. What will the sea be like tomorrow? What do the two sea slugs wonder? The light wavers, pepepu. The wave draws nearer, pepupu. The wavering light is like a net. The drawing wave is the song of the sea.
context: I wanted her to think it was pretty.\Miuna's mom's...\Our Shioshishio.\I'm home.\The world I always imagined.\The world I didn't know...\With roads I didn't know, and people I didn't know.\Yesterday was a storm, today is a lull. What will the sea be like tomorrow? What do the two sea slugs wonder? The light wavers, pepepu. The wave draws nearer, pepupu. The wavering light is like a net. The drawing wave is the song of the sea. response:	Because the world I had imagined was so bright...
context: Miuna's mom's...\Our Shioshishio.\I'm home.\The world I always imagined.\The world I didn't know...\With roads I didn't know, and people I didn't know.\Yesterday was a storm, today is a lull. What will the sea be like tomorrow? What do the two sea slugs wonder? The light wavers, pepepu. The wave draws nearer, pepupu. The wavering light is like a net. The drawing wave is the song of the sea.\Because the world I had imagined was so bright... response:	Because it was shining...
context: Our Shioshishio.\I'm home.\The world I always imagined.\The world I didn't know...\With roads I didn't know, and people I didn't know.\Yesterday was a storm, today is a lull. What will the sea be like tomorrow? What do the two sea slugs wonder? The light wavers, pepepu. The wave draws nearer, pepupu. The wavering light is like a net. The drawing wave is the song of the sea.\Because the world I had imagined was so bright...\Because it was shining... response:	I didn't know... what to do.
context: I'm home.\The world I always imagined.\The world I didn't know...\With roads I didn't know, and people I didn't know.\Yesterday was a storm, today is a lull. What will the sea be like tomorrow? What do the two sea slugs wonder? The light wavers, pepepu. The wave draws nearer, pepupu. The wavering light is like a net. The drawing wave is the song of the sea.\Because the world I had imagined was so bright...\Because it was shining...\I didn't know... what to do. response:	Old man Hayakawa was acting like a guard.
context: The world I always imagined.\The world I didn't know...\With roads I didn't know, and people I didn't know.\Yesterday was a storm, today is a lull. What will the sea be like tomorrow? What do the two sea slugs wonder? The light wavers, pepepu. The wave draws nearer, pepupu. The wavering light is like a net. The drawing wave is the song of the sea.\Because the world I had imagined was so bright...\Because it was shining...\I didn't know... what to do.\Old man Hayakawa was acting like a guard. response:	He was always serious about wanting to do it,
context: The world I didn't know...\With roads I didn't know, and people I didn't know.\Yesterday was a storm, today is a lull. What will the sea be like tomorrow? What do the two sea slugs wonder? The light wavers, pepepu. The wave draws nearer, pepupu. The wavering light is like a net. The drawing wave is the song of the sea.\Because the world I had imagined was so bright...\Because it was shining...\I didn't know... what to do.\Old man Hayakawa was acting like a guard.\He was always serious about wanting to do it, response:	but something was off.
context: With roads I didn't know, and people I didn't know.\Yesterday was a storm, today is a lull. What will the sea be like tomorrow? What do the two sea slugs wonder? The light wavers, pepepu. The wave draws nearer, pepupu. The wavering light is like a net. The drawing wave is the song of the sea.\Because the world I had imagined was so bright...\Because it was shining...\I didn't know... what to do.\Old man Hayakawa was acting like a guard.\He was always serious about wanting to do it,\but something was off. response:	Dad, did you know you have a grandkid?
context: Yesterday was a storm, today is a lull. What will the sea be like tomorrow? What do the two sea slugs wonder? The light wavers, pepepu. The wave draws nearer, pepupu. The wavering light is like a net. The drawing wave is the song of the sea.\Because the world I had imagined was so bright...\Because it was shining...\I didn't know... what to do.\Old man Hayakawa was acting like a guard.\He was always serious about wanting to do it,\but something was off.\Dad, did you know you have a grandkid? response:	Not just Miuna, but a little boy.
context: Because the world I had imagined was so bright...\Because it was shining...\I didn't know... what to do.\Old man Hayakawa was acting like a guard.\He was always serious about wanting to do it,\but something was off.\Dad, did you know you have a grandkid?\Not just Miuna, but a little boy. response:	His name is Akira.
context: Because it was shining...\I didn't know... what to do.\Old man Hayakawa was acting like a guard.\He was always serious about wanting to do it,\but something was off.\Dad, did you know you have a grandkid?\Not just Miuna, but a little boy.\His name is Akira. response:	He's almost four now.
context: I didn't know... what to do.\Old man Hayakawa was acting like a guard.\He was always serious about wanting to do it,\but something was off.\Dad, did you know you have a grandkid?\Not just Miuna, but a little boy.\His name is Akira.\He's almost four now. response:	But then again, I just found out the other day, too.
context: Old man Hayakawa was acting like a guard.\He was always serious about wanting to do it,\but something was off.\Dad, did you know you have a grandkid?\Not just Miuna, but a little boy.\His name is Akira.\He's almost four now.\But then again, I just found out the other day, too. response:	Wait!
context: He was always serious about wanting to do it,\but something was off.\Dad, did you know you have a grandkid?\Not just Miuna, but a little boy.\His name is Akira.\He's almost four now.\But then again, I just found out the other day, too.\Wait! response:	Wait!
context: but something was off.\Dad, did you know you have a grandkid?\Not just Miuna, but a little boy.\His name is Akira.\He's almost four now.\But then again, I just found out the other day, too.\Wait!\Wait! response:	Wait!
context: Dad, did you know you have a grandkid?\Not just Miuna, but a little boy.\His name is Akira.\He's almost four now.\But then again, I just found out the other day, too.\Wait!\Wait!\Wait! response:	Do you know what Akira's special move is?
context: Not just Miuna, but a little boy.\His name is Akira.\He's almost four now.\But then again, I just found out the other day, too.\Wait!\Wait!\Wait!\Do you know what Akira's special move is? response:	It's kancho.
context: His name is Akira.\He's almost four now.\But then again, I just found out the other day, too.\Wait!\Wait!\Wait!\Do you know what Akira's special move is?\It's kancho. response:	What are we going to do about that kid?
context: He's almost four now.\But then again, I just found out the other day, too.\Wait!\Wait!\Wait!\Do you know what Akira's special move is?\It's kancho.\What are we going to do about that kid? response:	Well, it's not like he's not cute or anything.
context: But then again, I just found out the other day, too.\Wait!\Wait!\Wait!\Do you know what Akira's special move is?\It's kancho.\What are we going to do about that kid?\Well, it's not like he's not cute or anything. response:	Or rather, he is cute...
context: Wait!\Wait!\Wait!\Do you know what Akira's special move is?\It's kancho.\What are we going to do about that kid?\Well, it's not like he's not cute or anything.\Or rather, he is cute... response:	Akari says he looks like me when I was younger,
context: Wait!\Wait!\Do you know what Akira's special move is?\It's kancho.\What are we going to do about that kid?\Well, it's not like he's not cute or anything.\Or rather, he is cute...\Akari says he looks like me when I was younger, response:	but I wouldn't know.
context: Wait!\Do you know what Akira's special move is?\It's kancho.\What are we going to do about that kid?\Well, it's not like he's not cute or anything.\Or rather, he is cute...\Akari says he looks like me when I was younger,\but I wouldn't know. response:	I want you to meet him and get your opinion... or something.
context: Do you know what Akira's special move is?\It's kancho.\What are we going to do about that kid?\Well, it's not like he's not cute or anything.\Or rather, he is cute...\Akari says he looks like me when I was younger,\but I wouldn't know.\I want you to meet him and get your opinion... or something. response:	Wait...
context: It's kancho.\What are we going to do about that kid?\Well, it's not like he's not cute or anything.\Or rather, he is cute...\Akari says he looks like me when I was younger,\but I wouldn't know.\I want you to meet him and get your opinion... or something.\Wait... response:	Wait, Manaka-san!
context: What are we going to do about that kid?\Well, it's not like he's not cute or anything.\Or rather, he is cute...\Akari says he looks like me when I was younger,\but I wouldn't know.\I want you to meet him and get your opinion... or something.\Wait...\Wait, Manaka-san! response:	Why did I just say Manaka-san's name?
context: Well, it's not like he's not cute or anything.\Or rather, he is cute...\Akari says he looks like me when I was younger,\but I wouldn't know.\I want you to meet him and get your opinion... or something.\Wait...\Wait, Manaka-san!\Why did I just say Manaka-san's name? response:	This is...
context: Or rather, he is cute...\Akari says he looks like me when I was younger,\but I wouldn't know.\I want you to meet him and get your opinion... or something.\Wait...\Wait, Manaka-san!\Why did I just say Manaka-san's name?\This is... response:	Oh, and the reason we were able to come here is Miuna.
context: Akari says he looks like me when I was younger,\but I wouldn't know.\I want you to meet him and get your opinion... or something.\Wait...\Wait, Manaka-san!\Why did I just say Manaka-san's name?\This is...\Oh, and the reason we were able to come here is Miuna. response:	She's able to be in the sea now.
context: but I wouldn't know.\I want you to meet him and get your opinion... or something.\Wait...\Wait, Manaka-san!\Why did I just say Manaka-san's name?\This is...\Oh, and the reason we were able to come here is Miuna.\She's able to be in the sea now. response:	It's surprising, isn't it?
context: I want you to meet him and get your opinion... or something.\Wait...\Wait, Manaka-san!\Why did I just say Manaka-san's name?\This is...\Oh, and the reason we were able to come here is Miuna.\She's able to be in the sea now.\It's surprising, isn't it? response:	And then she heard some weird sound,
context: Wait...\Wait, Manaka-san!\Why did I just say Manaka-san's name?\This is...\Oh, and the reason we were able to come here is Miuna.\She's able to be in the sea now.\It's surprising, isn't it?\And then she heard some weird sound, response:	and it led us here.
context: Wait, Manaka-san!\Why did I just say Manaka-san's name?\This is...\Oh, and the reason we were able to come here is Miuna.\She's able to be in the sea now.\It's surprising, isn't it?\And then she heard some weird sound,\and it led us here. response:	I wanted to show her...
context: Why did I just say Manaka-san's name?\This is...\Oh, and the reason we were able to come here is Miuna.\She's able to be in the sea now.\It's surprising, isn't it?\And then she heard some weird sound,\and it led us here.\I wanted to show her... response:	the real Shioshishio.
context: This is...\Oh, and the reason we were able to come here is Miuna.\She's able to be in the sea now.\It's surprising, isn't it?\And then she heard some weird sound,\and it led us here.\I wanted to show her...\the real Shioshishio. response:	I mean, we were able to come back here thanks to her.
context: Oh, and the reason we were able to come here is Miuna.\She's able to be in the sea now.\It's surprising, isn't it?\And then she heard some weird sound,\and it led us here.\I wanted to show her...\the real Shioshishio.\I mean, we were able to come back here thanks to her. response:	Oh yeah, I didn't say it...
context: She's able to be in the sea now.\It's surprising, isn't it?\And then she heard some weird sound,\and it led us here.\I wanted to show her...\the real Shioshishio.\I mean, we were able to come back here thanks to her.\Oh yeah, I didn't say it... response:	Thanks for bringing us here.
context: It's surprising, isn't it?\And then she heard some weird sound,\and it led us here.\I wanted to show her...\the real Shioshishio.\I mean, we were able to come back here thanks to her.\Oh yeah, I didn't say it...\Thanks for bringing us here. response:	I didn't tell Miuna that.
context: And then she heard some weird sound,\and it led us here.\I wanted to show her...\the real Shioshishio.\I mean, we were able to come back here thanks to her.\Oh yeah, I didn't say it...\Thanks for bringing us here.\I didn't tell Miuna that. response:	The Shioshishio that I always dreamed of.
context: and it led us here.\I wanted to show her...\the real Shioshishio.\I mean, we were able to come back here thanks to her.\Oh yeah, I didn't say it...\Thanks for bringing us here.\I didn't tell Miuna that.\The Shioshishio that I always dreamed of. response:	2nd Year
context: I wanted to show her...\the real Shioshishio.\I mean, we were able to come back here thanks to her.\Oh yeah, I didn't say it...\Thanks for bringing us here.\I didn't tell Miuna that.\The Shioshishio that I always dreamed of.\2nd Year response:	But the way I acted...
context: the real Shioshishio.\I mean, we were able to come back here thanks to her.\Oh yeah, I didn't say it...\Thanks for bringing us here.\I didn't tell Miuna that.\The Shioshishio that I always dreamed of.\2nd Year\But the way I acted... response:	Entrance Ceremony
context: I mean, we were able to come back here thanks to her.\Oh yeah, I didn't say it...\Thanks for bringing us here.\I didn't tell Miuna that.\The Shioshishio that I always dreamed of.\2nd Year\But the way I acted...\Entrance Ceremony response:	New Students
context: Oh yeah, I didn't say it...\Thanks for bringing us here.\I didn't tell Miuna that.\The Shioshishio that I always dreamed of.\2nd Year\But the way I acted...\Entrance Ceremony\New Students response:	I ended up hurting Hikari.
