context: Akaashi... response:	Don't toss to me anymore!
context: Nice, Akaashi!\Thank you.\He is pretty amazing on his own, though.\Nice receive!\We're used to Bokuto's slumps.\The slightest thing can bring him up or down.\Left!\Oh, for crying out loud... response:	All right!
context: Thank you.\He is pretty amazing on his own, though.\Nice receive!\We're used to Bokuto's slumps.\The slightest thing can bring him up or down.\Left!\Oh, for crying out loud...\All right! response:	Karasuno Fukurodani
context: He is pretty amazing on his own, though.\Nice receive!\We're used to Bokuto's slumps.\The slightest thing can bring him up or down.\Left!\Oh, for crying out loud...\All right!\Karasuno Fukurodani response:	Fukurodani match point!
context: Nice receive!\We're used to Bokuto's slumps.\The slightest thing can bring him up or down.\Left!\Oh, for crying out loud...\All right!\Karasuno Fukurodani\Fukurodani match point! response:	Just one more point!
context: We're used to Bokuto's slumps.\The slightest thing can bring him up or down.\Left!\Oh, for crying out loud...\All right!\Karasuno Fukurodani\Fukurodani match point!\Just one more point! response:	Apparently Fukurodani isn't a team that Bokuto pulls,
context: The slightest thing can bring him up or down.\Left!\Oh, for crying out loud...\All right!\Karasuno Fukurodani\Fukurodani match point!\Just one more point!\Apparently Fukurodani isn't a team that Bokuto pulls, response:	but is a team where all of the other members pull Bokuto.
context: Left!\Oh, for crying out loud...\All right!\Karasuno Fukurodani\Fukurodani match point!\Just one more point!\Apparently Fukurodani isn't a team that Bokuto pulls,\but is a team where all of the other members pull Bokuto. response:	One touch!
context: Oh, for crying out loud...\All right!\Karasuno Fukurodani\Fukurodani match point!\Just one more point!\Apparently Fukurodani isn't a team that Bokuto pulls,\but is a team where all of the other members pull Bokuto.\One touch! response:	We now know that Fukurodani is not Bokuto-san's one-man team.
context: All right!\Karasuno Fukurodani\Fukurodani match point!\Just one more point!\Apparently Fukurodani isn't a team that Bokuto pulls,\but is a team where all of the other members pull Bokuto.\One touch!\We now know that Fukurodani is not Bokuto-san's one-man team. response:	And yet...
context: Karasuno Fukurodani\Fukurodani match point!\Just one more point!\Apparently Fukurodani isn't a team that Bokuto pulls,\but is a team where all of the other members pull Bokuto.\One touch!\We now know that Fukurodani is not Bokuto-san's one-man team.\And yet... response:	There's still no one scarier on their own than Bokuto-san!
context: Fukurodani match point!\Just one more point!\Apparently Fukurodani isn't a team that Bokuto pulls,\but is a team where all of the other members pull Bokuto.\One touch!\We now know that Fukurodani is not Bokuto-san's one-man team.\And yet...\There's still no one scarier on their own than Bokuto-san! response:	Totally shut out!
context: Just one more point!\Apparently Fukurodani isn't a team that Bokuto pulls,\but is a team where all of the other members pull Bokuto.\One touch!\We now know that Fukurodani is not Bokuto-san's one-man team.\And yet...\There's still no one scarier on their own than Bokuto-san!\Totally shut out! response:	All right! Just one more point to a deuce!
context: Apparently Fukurodani isn't a team that Bokuto pulls,\but is a team where all of the other members pull Bokuto.\One touch!\We now know that Fukurodani is not Bokuto-san's one-man team.\And yet...\There's still no one scarier on their own than Bokuto-san!\Totally shut out!\All right! Just one more point to a deuce! response:	Karasuno Fukurodani
context: but is a team where all of the other members pull Bokuto.\One touch!\We now know that Fukurodani is not Bokuto-san's one-man team.\And yet...\There's still no one scarier on their own than Bokuto-san!\Totally shut out!\All right! Just one more point to a deuce!\Karasuno Fukurodani response:	Wow...
context: One touch!\We now know that Fukurodani is not Bokuto-san's one-man team.\And yet...\There's still no one scarier on their own than Bokuto-san!\Totally shut out!\All right! Just one more point to a deuce!\Karasuno Fukurodani\Wow... response:	Well done.
context: We now know that Fukurodani is not Bokuto-san's one-man team.\And yet...\There's still no one scarier on their own than Bokuto-san!\Totally shut out!\All right! Just one more point to a deuce!\Karasuno Fukurodani\Wow...\Well done. response:	If I mess up this serve, the match will be over.
context: And yet...\There's still no one scarier on their own than Bokuto-san!\Totally shut out!\All right! Just one more point to a deuce!\Karasuno Fukurodani\Wow...\Well done.\If I mess up this serve, the match will be over. response:	I'm...
context: There's still no one scarier on their own than Bokuto-san!\Totally shut out!\All right! Just one more point to a deuce!\Karasuno Fukurodani\Wow...\Well done.\If I mess up this serve, the match will be over.\I'm... response:	Komi-yan!
context: Totally shut out!\All right! Just one more point to a deuce!\Karasuno Fukurodani\Wow...\Well done.\If I mess up this serve, the match will be over.\I'm...\Komi-yan! response:	Yeah!
context: All right! Just one more point to a deuce!\Karasuno Fukurodani\Wow...\Well done.\If I mess up this serve, the match will be over.\I'm...\Komi-yan!\Yeah! response:	Nice receive!
context: Karasuno Fukurodani\Wow...\Well done.\If I mess up this serve, the match will be over.\I'm...\Komi-yan!\Yeah!\Nice receive! response:	I'm sure Karasuno's figured out what kind of team we are by now.
context: Wow...\Well done.\If I mess up this serve, the match will be over.\I'm...\Komi-yan!\Yeah!\Nice receive!\I'm sure Karasuno's figured out what kind of team we are by now. response:	Which means...
context: Well done.\If I mess up this serve, the match will be over.\I'm...\Komi-yan!\Yeah!\Nice receive!\I'm sure Karasuno's figured out what kind of team we are by now.\Which means... response:	Their attention is off of the ace.
context: If I mess up this serve, the match will be over.\I'm...\Komi-yan!\Yeah!\Nice receive!\I'm sure Karasuno's figured out what kind of team we are by now.\Which means...\Their attention is off of the ace. response:	And Bokuto-san wants to hit so bad that he's getting restless!
context: I'm...\Komi-yan!\Yeah!\Nice receive!\I'm sure Karasuno's figured out what kind of team we are by now.\Which means...\Their attention is off of the ace.\And Bokuto-san wants to hit so bad that he's getting restless! response:	We'll give you the good part...
context: Komi-yan!\Yeah!\Nice receive!\I'm sure Karasuno's figured out what kind of team we are by now.\Which means...\Their attention is off of the ace.\And Bokuto-san wants to hit so bad that he's getting restless!\We'll give you the good part... response:	Karasuno Fukurodani
context: Yeah!\Nice receive!\I'm sure Karasuno's figured out what kind of team we are by now.\Which means...\Their attention is off of the ace.\And Bokuto-san wants to hit so bad that he's getting restless!\We'll give you the good part...\Karasuno Fukurodani response:	If you would.
context: Nice receive!\I'm sure Karasuno's figured out what kind of team we are by now.\Which means...\Their attention is off of the ace.\And Bokuto-san wants to hit so bad that he's getting restless!\We'll give you the good part...\Karasuno Fukurodani\If you would. response:	Leave it to us.
context: I'm sure Karasuno's figured out what kind of team we are by now.\Which means...\Their attention is off of the ace.\And Bokuto-san wants to hit so bad that he's getting restless!\We'll give you the good part...\Karasuno Fukurodani\If you would.\Leave it to us. response:	Whoo! Ace!
context: Which means...\Their attention is off of the ace.\And Bokuto-san wants to hit so bad that he's getting restless!\We'll give you the good part...\Karasuno Fukurodani\If you would.\Leave it to us.\Whoo! Ace! response:	You're so cool!
context: Their attention is off of the ace.\And Bokuto-san wants to hit so bad that he's getting restless!\We'll give you the good part...\Karasuno Fukurodani\If you would.\Leave it to us.\Whoo! Ace!\You're so cool! response:	Nothing beats the ace in the end!
context: And Bokuto-san wants to hit so bad that he's getting restless!\We'll give you the good part...\Karasuno Fukurodani\If you would.\Leave it to us.\Whoo! Ace!\You're so cool!\Nothing beats the ace in the end! response:	Birds of prey!
context: We'll give you the good part...\Karasuno Fukurodani\If you would.\Leave it to us.\Whoo! Ace!\You're so cool!\Nothing beats the ace in the end!\Birds of prey! response:	Your hair's like a great horned owl!
context: Karasuno Fukurodani\If you would.\Leave it to us.\Whoo! Ace!\You're so cool!\Nothing beats the ace in the end!\Birds of prey!\Your hair's like a great horned owl! response:	I'm the best after all!
context: If you would.\Leave it to us.\Whoo! Ace!\You're so cool!\Nothing beats the ace in the end!\Birds of prey!\Your hair's like a great horned owl!\I'm the best after all! response:	Hey, hey, hey!
context: Leave it to us.\Whoo! Ace!\You're so cool!\Nothing beats the ace in the end!\Birds of prey!\Your hair's like a great horned owl!\I'm the best after all!\Hey, hey, hey! response:	Hey, hey, hey...
context: Whoo! Ace!\You're so cool!\Nothing beats the ace in the end!\Birds of prey!\Your hair's like a great horned owl!\I'm the best after all!\Hey, hey, hey!\Hey, hey, hey... response:	He's able to pick himself up so quickly.
context: You're so cool!\Nothing beats the ace in the end!\Birds of prey!\Your hair's like a great horned owl!\I'm the best after all!\Hey, hey, hey!\Hey, hey, hey...\He's able to pick himself up so quickly. response:	That's what they call a simpleton.
context: Nothing beats the ace in the end!\Birds of prey!\Your hair's like a great horned owl!\I'm the best after all!\Hey, hey, hey!\Hey, hey, hey...\He's able to pick himself up so quickly.\That's what they call a simpleton. response:	The ace's weakness brings out the others' strengths,
context: Birds of prey!\Your hair's like a great horned owl!\I'm the best after all!\Hey, hey, hey!\Hey, hey, hey...\He's able to pick himself up so quickly.\That's what they call a simpleton.\The ace's weakness brings out the others' strengths, response:	and, at the same time,
context: Your hair's like a great horned owl!\I'm the best after all!\Hey, hey, hey!\Hey, hey, hey...\He's able to pick himself up so quickly.\That's what they call a simpleton.\The ace's weakness brings out the others' strengths,\and, at the same time, response:	becomes a strong root for the team that's hard to break.
context: I'm the best after all!\Hey, hey, hey!\Hey, hey, hey...\He's able to pick himself up so quickly.\That's what they call a simpleton.\The ace's weakness brings out the others' strengths,\and, at the same time,\becomes a strong root for the team that's hard to break. response:	Apparently, this is another form of strength.
context: Hey, hey, hey!\Hey, hey, hey...\He's able to pick himself up so quickly.\That's what they call a simpleton.\The ace's weakness brings out the others' strengths,\and, at the same time,\becomes a strong root for the team that's hard to break.\Apparently, this is another form of strength. response:	To be honest,
context: Hey, hey, hey...\He's able to pick himself up so quickly.\That's what they call a simpleton.\The ace's weakness brings out the others' strengths,\and, at the same time,\becomes a strong root for the team that's hard to break.\Apparently, this is another form of strength.\To be honest, response:	I was thinking we might be okay if we were able to stop Bokuto-kun,
context: He's able to pick himself up so quickly.\That's what they call a simpleton.\The ace's weakness brings out the others' strengths,\and, at the same time,\becomes a strong root for the team that's hard to break.\Apparently, this is another form of strength.\To be honest,\I was thinking we might be okay if we were able to stop Bokuto-kun, response:	but I guess that was naIve.
context: That's what they call a simpleton.\The ace's weakness brings out the others' strengths,\and, at the same time,\becomes a strong root for the team that's hard to break.\Apparently, this is another form of strength.\To be honest,\I was thinking we might be okay if we were able to stop Bokuto-kun,\but I guess that was naIve. response:	The reason he's able to be that free and selfish,
context: The ace's weakness brings out the others' strengths,\and, at the same time,\becomes a strong root for the team that's hard to break.\Apparently, this is another form of strength.\To be honest,\I was thinking we might be okay if we were able to stop Bokuto-kun,\but I guess that was naIve.\The reason he's able to be that free and selfish, response:	and the reason the others are able to ignore that,
context: and, at the same time,\becomes a strong root for the team that's hard to break.\Apparently, this is another form of strength.\To be honest,\I was thinking we might be okay if we were able to stop Bokuto-kun,\but I guess that was naIve.\The reason he's able to be that free and selfish,\and the reason the others are able to ignore that, response:	Aren't I awesome, Akaashi?!
context: becomes a strong root for the team that's hard to break.\Apparently, this is another form of strength.\To be honest,\I was thinking we might be okay if we were able to stop Bokuto-kun,\but I guess that was naIve.\The reason he's able to be that free and selfish,\and the reason the others are able to ignore that,\Aren't I awesome, Akaashi?! response:	must be because of how much they trust each other.
context: Apparently, this is another form of strength.\To be honest,\I was thinking we might be okay if we were able to stop Bokuto-kun,\but I guess that was naIve.\The reason he's able to be that free and selfish,\and the reason the others are able to ignore that,\Aren't I awesome, Akaashi?!\must be because of how much they trust each other. response:	For sure, Bokuto-san.
context: To be honest,\I was thinking we might be okay if we were able to stop Bokuto-kun,\but I guess that was naIve.\The reason he's able to be that free and selfish,\and the reason the others are able to ignore that,\Aren't I awesome, Akaashi?!\must be because of how much they trust each other.\For sure, Bokuto-san. response:	Our team isn't at the point where any of them can be that selfish yet.
context: I was thinking we might be okay if we were able to stop Bokuto-kun,\but I guess that was naIve.\The reason he's able to be that free and selfish,\and the reason the others are able to ignore that,\Aren't I awesome, Akaashi?!\must be because of how much they trust each other.\For sure, Bokuto-san.\Our team isn't at the point where any of them can be that selfish yet. response:	I'm sorry!
context: but I guess that was naIve.\The reason he's able to be that free and selfish,\and the reason the others are able to ignore that,\Aren't I awesome, Akaashi?!\must be because of how much they trust each other.\For sure, Bokuto-san.\Our team isn't at the point where any of them can be that selfish yet.\I'm sorry! response:	My last serve ended up being an I freaked out, so please attack, serve!
context: The reason he's able to be that free and selfish,\and the reason the others are able to ignore that,\Aren't I awesome, Akaashi?!\must be because of how much they trust each other.\For sure, Bokuto-san.\Our team isn't at the point where any of them can be that selfish yet.\I'm sorry!\My last serve ended up being an I freaked out, so please attack, serve! response:	If you can figure that out on your own, you're well off.
context: and the reason the others are able to ignore that,\Aren't I awesome, Akaashi?!\must be because of how much they trust each other.\For sure, Bokuto-san.\Our team isn't at the point where any of them can be that selfish yet.\I'm sorry!\My last serve ended up being an I freaked out, so please attack, serve!\If you can figure that out on your own, you're well off. response:	In that situation, how much one is going to get blamed
context: Aren't I awesome, Akaashi?!\must be because of how much they trust each other.\For sure, Bokuto-san.\Our team isn't at the point where any of them can be that selfish yet.\I'm sorry!\My last serve ended up being an I freaked out, so please attack, serve!\If you can figure that out on your own, you're well off.\In that situation, how much one is going to get blamed response:	will affect our ability to win.
context: must be because of how much they trust each other.\For sure, Bokuto-san.\Our team isn't at the point where any of them can be that selfish yet.\I'm sorry!\My last serve ended up being an I freaked out, so please attack, serve!\If you can figure that out on your own, you're well off.\In that situation, how much one is going to get blamed\will affect our ability to win. response:	No one wants the game to end because of their mistake.
context: For sure, Bokuto-san.\Our team isn't at the point where any of them can be that selfish yet.\I'm sorry!\My last serve ended up being an I freaked out, so please attack, serve!\If you can figure that out on your own, you're well off.\In that situation, how much one is going to get blamed\will affect our ability to win.\No one wants the game to end because of their mistake. response:	He must be talking about you.
context: Our team isn't at the point where any of them can be that selfish yet.\I'm sorry!\My last serve ended up being an I freaked out, so please attack, serve!\If you can figure that out on your own, you're well off.\In that situation, how much one is going to get blamed\will affect our ability to win.\No one wants the game to end because of their mistake.\He must be talking about you. response:	Shut up.
context: I'm sorry!\My last serve ended up being an I freaked out, so please attack, serve!\If you can figure that out on your own, you're well off.\In that situation, how much one is going to get blamed\will affect our ability to win.\No one wants the game to end because of their mistake.\He must be talking about you.\Shut up. response:	But there's no one who tries to hold back a winning serve.
context: My last serve ended up being an I freaked out, so please attack, serve!\If you can figure that out on your own, you're well off.\In that situation, how much one is going to get blamed\will affect our ability to win.\No one wants the game to end because of their mistake.\He must be talking about you.\Shut up.\But there's no one who tries to hold back a winning serve. response:	Right!
context: If you can figure that out on your own, you're well off.\In that situation, how much one is going to get blamed\will affect our ability to win.\No one wants the game to end because of their mistake.\He must be talking about you.\Shut up.\But there's no one who tries to hold back a winning serve.\Right! response:	Now that it's over, that was definitely our loss,
context: In that situation, how much one is going to get blamed\will affect our ability to win.\No one wants the game to end because of their mistake.\He must be talking about you.\Shut up.\But there's no one who tries to hold back a winning serve.\Right!\Now that it's over, that was definitely our loss, response:	but there's one thing that's for sure...
context: will affect our ability to win.\No one wants the game to end because of their mistake.\He must be talking about you.\Shut up.\But there's no one who tries to hold back a winning serve.\Right!\Now that it's over, that was definitely our loss,\but there's one thing that's for sure... response:	Your plays will be effective at a national level of competition.
context: No one wants the game to end because of their mistake.\He must be talking about you.\Shut up.\But there's no one who tries to hold back a winning serve.\Right!\Now that it's over, that was definitely our loss,\but there's one thing that's for sure...\Your plays will be effective at a national level of competition. response:	Right now, your serves and combinations
context: He must be talking about you.\Shut up.\But there's no one who tries to hold back a winning serve.\Right!\Now that it's over, that was definitely our loss,\but there's one thing that's for sure...\Your plays will be effective at a national level of competition.\Right now, your serves and combinations response:	can't match the other teams'.
context: Shut up.\But there's no one who tries to hold back a winning serve.\Right!\Now that it's over, that was definitely our loss,\but there's one thing that's for sure...\Your plays will be effective at a national level of competition.\Right now, your serves and combinations\can't match the other teams'. response:	Because you started so late on them, it can't be helped.
context: But there's no one who tries to hold back a winning serve.\Right!\Now that it's over, that was definitely our loss,\but there's one thing that's for sure...\Your plays will be effective at a national level of competition.\Right now, your serves and combinations\can't match the other teams'.\Because you started so late on them, it can't be helped. response:	But you mustn't stop.
context: Right!\Now that it's over, that was definitely our loss,\but there's one thing that's for sure...\Your plays will be effective at a national level of competition.\Right now, your serves and combinations\can't match the other teams'.\Because you started so late on them, it can't be helped.\But you mustn't stop. response:	You mustn't think that this is the limit of your power.
context: Now that it's over, that was definitely our loss,\but there's one thing that's for sure...\Your plays will be effective at a national level of competition.\Right now, your serves and combinations\can't match the other teams'.\Because you started so late on them, it can't be helped.\But you mustn't stop.\You mustn't think that this is the limit of your power. response:	When you mix colors, they become muddled and dirty, right?
context: but there's one thing that's for sure...\Your plays will be effective at a national level of competition.\Right now, your serves and combinations\can't match the other teams'.\Because you started so late on them, it can't be helped.\But you mustn't stop.\You mustn't think that this is the limit of your power.\When you mix colors, they become muddled and dirty, right? response:	But once you finish mixing, you get the color black,
context: Your plays will be effective at a national level of competition.\Right now, your serves and combinations\can't match the other teams'.\Because you started so late on them, it can't be helped.\But you mustn't stop.\You mustn't think that this is the limit of your power.\When you mix colors, they become muddled and dirty, right?\But once you finish mixing, you get the color black, response:	which won't be overtaken by any other.
context: Right now, your serves and combinations\can't match the other teams'.\Because you started so late on them, it can't be helped.\But you mustn't stop.\You mustn't think that this is the limit of your power.\When you mix colors, they become muddled and dirty, right?\But once you finish mixing, you get the color black,\which won't be overtaken by any other. response:	Please make our team's color black, which fits us crows.
context: can't match the other teams'.\Because you started so late on them, it can't be helped.\But you mustn't stop.\You mustn't think that this is the limit of your power.\When you mix colors, they become muddled and dirty, right?\But once you finish mixing, you get the color black,\which won't be overtaken by any other.\Please make our team's color black, which fits us crows. response:	W-Was that metaphor a bit hard to understand?
context: Because you started so late on them, it can't be helped.\But you mustn't stop.\You mustn't think that this is the limit of your power.\When you mix colors, they become muddled and dirty, right?\But once you finish mixing, you get the color black,\which won't be overtaken by any other.\Please make our team's color black, which fits us crows.\W-Was that metaphor a bit hard to understand? response:	No! Thank you very much!
context: But you mustn't stop.\You mustn't think that this is the limit of your power.\When you mix colors, they become muddled and dirty, right?\But once you finish mixing, you get the color black,\which won't be overtaken by any other.\Please make our team's color black, which fits us crows.\W-Was that metaphor a bit hard to understand?\No! Thank you very much! response:	Thank you very much!
context: You mustn't think that this is the limit of your power.\When you mix colors, they become muddled and dirty, right?\But once you finish mixing, you get the color black,\which won't be overtaken by any other.\Please make our team's color black, which fits us crows.\W-Was that metaphor a bit hard to understand?\No! Thank you very much!\Thank you very much! response:	All right. This is gonna be our final training camp penalty...
context: When you mix colors, they become muddled and dirty, right?\But once you finish mixing, you get the color black,\which won't be overtaken by any other.\Please make our team's color black, which fits us crows.\W-Was that metaphor a bit hard to understand?\No! Thank you very much!\Thank you very much!\All right. This is gonna be our final training camp penalty... response:	One lap of diving drills!
context: But once you finish mixing, you get the color black,\which won't be overtaken by any other.\Please make our team's color black, which fits us crows.\W-Was that metaphor a bit hard to understand?\No! Thank you very much!\Thank you very much!\All right. This is gonna be our final training camp penalty...\One lap of diving drills! response:	Right!
context: which won't be overtaken by any other.\Please make our team's color black, which fits us crows.\W-Was that metaphor a bit hard to understand?\No! Thank you very much!\Thank you very much!\All right. This is gonna be our final training camp penalty...\One lap of diving drills!\Right! response:	Asahi-san!
context: Please make our team's color black, which fits us crows.\W-Was that metaphor a bit hard to understand?\No! Thank you very much!\Thank you very much!\All right. This is gonna be our final training camp penalty...\One lap of diving drills!\Right!\Asahi-san! response:	There's still a little time left,
context: W-Was that metaphor a bit hard to understand?\No! Thank you very much!\Thank you very much!\All right. This is gonna be our final training camp penalty...\One lap of diving drills!\Right!\Asahi-san!\There's still a little time left, response:	so could you hit some of my tosses?
context: No! Thank you very much!\Thank you very much!\All right. This is gonna be our final training camp penalty...\One lap of diving drills!\Right!\Asahi-san!\There's still a little time left,\so could you hit some of my tosses? response:	Oh, sure.
context: Thank you very much!\All right. This is gonna be our final training camp penalty...\One lap of diving drills!\Right!\Asahi-san!\There's still a little time left,\so could you hit some of my tosses?\Oh, sure. response:	Noya-san! Let me hit some, too.
context: All right. This is gonna be our final training camp penalty...\One lap of diving drills!\Right!\Asahi-san!\There's still a little time left,\so could you hit some of my tosses?\Oh, sure.\Noya-san! Let me hit some, too. response:	Yeah! Sure thing, Ryu!
context: One lap of diving drills!\Right!\Asahi-san!\There's still a little time left,\so could you hit some of my tosses?\Oh, sure.\Noya-san! Let me hit some, too.\Yeah! Sure thing, Ryu! response:	Oh, me, too.
context: Right!\Asahi-san!\There's still a little time left,\so could you hit some of my tosses?\Oh, sure.\Noya-san! Let me hit some, too.\Yeah! Sure thing, Ryu!\Oh, me, too. response:	Ah! Are you going to toss some up for us, too?
context: Asahi-san!\There's still a little time left,\so could you hit some of my tosses?\Oh, sure.\Noya-san! Let me hit some, too.\Yeah! Sure thing, Ryu!\Oh, me, too.\Ah! Are you going to toss some up for us, too? response:	Thanks!
context: There's still a little time left,\so could you hit some of my tosses?\Oh, sure.\Noya-san! Let me hit some, too.\Yeah! Sure thing, Ryu!\Oh, me, too.\Ah! Are you going to toss some up for us, too?\Thanks! response:	Oh, no, no.
