context: Otani... response:	Sorry.
context: You got a problem with that?\A Confrontation With the Ex-Girlfriend?! The Great Chest Baring Plan!!\What the hell is this?!\I've been cut off!\Pretty lame, huh?\Seriously, Umibouzu's wife, couldn't you have done better?\Look, here's another picture of you looking lame.\What? There are more? response:	What the hell is this?!
context: A Confrontation With the Ex-Girlfriend?! The Great Chest Baring Plan!!\What the hell is this?!\I've been cut off!\Pretty lame, huh?\Seriously, Umibouzu's wife, couldn't you have done better?\Look, here's another picture of you looking lame.\What? There are more?\What the hell is this?! response:	Gimme that!
context: What the hell is this?!\I've been cut off!\Pretty lame, huh?\Seriously, Umibouzu's wife, couldn't you have done better?\Look, here's another picture of you looking lame.\What? There are more?\What the hell is this?!\Gimme that! response:	Why should I? I took it using my own camera.
context: I've been cut off!\Pretty lame, huh?\Seriously, Umibouzu's wife, couldn't you have done better?\Look, here's another picture of you looking lame.\What? There are more?\What the hell is this?!\Gimme that!\Why should I? I took it using my own camera. response:	No good will come of you having that picture.
context: Pretty lame, huh?\Seriously, Umibouzu's wife, couldn't you have done better?\Look, here's another picture of you looking lame.\What? There are more?\What the hell is this?!\Gimme that!\Why should I? I took it using my own camera.\No good will come of you having that picture. response:	I could print out a few more copies and put them up in the hallway.
context: Seriously, Umibouzu's wife, couldn't you have done better?\Look, here's another picture of you looking lame.\What? There are more?\What the hell is this?!\Gimme that!\Why should I? I took it using my own camera.\No good will come of you having that picture.\I could print out a few more copies and put them up in the hallway. response:	I'll hit you!
context: Look, here's another picture of you looking lame.\What? There are more?\What the hell is this?!\Gimme that!\Why should I? I took it using my own camera.\No good will come of you having that picture.\I could print out a few more copies and put them up in the hallway.\I'll hit you! response:	Is that how you treat the guy you like?
context: What? There are more?\What the hell is this?!\Gimme that!\Why should I? I took it using my own camera.\No good will come of you having that picture.\I could print out a few more copies and put them up in the hallway.\I'll hit you!\Is that how you treat the guy you like? response:	Why do you have to say stuff like that?!
context: What the hell is this?!\Gimme that!\Why should I? I took it using my own camera.\No good will come of you having that picture.\I could print out a few more copies and put them up in the hallway.\I'll hit you!\Is that how you treat the guy you like?\Why do you have to say stuff like that?! response:	It's your fault, no matter how you look at it.
context: Gimme that!\Why should I? I took it using my own camera.\No good will come of you having that picture.\I could print out a few more copies and put them up in the hallway.\I'll hit you!\Is that how you treat the guy you like?\Why do you have to say stuff like that?!\It's your fault, no matter how you look at it. response:	Now I'm definitely gonna print more copies!
context: Why should I? I took it using my own camera.\No good will come of you having that picture.\I could print out a few more copies and put them up in the hallway.\I'll hit you!\Is that how you treat the guy you like?\Why do you have to say stuff like that?!\It's your fault, no matter how you look at it.\Now I'm definitely gonna print more copies! response:	I'll make a hundred copies and hand them out with tissues in front of the station.
context: No good will come of you having that picture.\I could print out a few more copies and put them up in the hallway.\I'll hit you!\Is that how you treat the guy you like?\Why do you have to say stuff like that?!\It's your fault, no matter how you look at it.\Now I'm definitely gonna print more copies!\I'll make a hundred copies and hand them out with tissues in front of the station. response:	I really will hit you!
context: I could print out a few more copies and put them up in the hallway.\I'll hit you!\Is that how you treat the guy you like?\Why do you have to say stuff like that?!\It's your fault, no matter how you look at it.\Now I'm definitely gonna print more copies!\I'll make a hundred copies and hand them out with tissues in front of the station.\I really will hit you! response:	Go ahead, if you dare.
context: I'll hit you!\Is that how you treat the guy you like?\Why do you have to say stuff like that?!\It's your fault, no matter how you look at it.\Now I'm definitely gonna print more copies!\I'll make a hundred copies and hand them out with tissues in front of the station.\I really will hit you!\Go ahead, if you dare. response:	The data is still stored in my camera, anyway.
context: Is that how you treat the guy you like?\Why do you have to say stuff like that?!\It's your fault, no matter how you look at it.\Now I'm definitely gonna print more copies!\I'll make a hundred copies and hand them out with tissues in front of the station.\I really will hit you!\Go ahead, if you dare.\The data is still stored in my camera, anyway. response:	They're back to normal.
context: Why do you have to say stuff like that?!\It's your fault, no matter how you look at it.\Now I'm definitely gonna print more copies!\I'll make a hundred copies and hand them out with tissues in front of the station.\I really will hit you!\Go ahead, if you dare.\The data is still stored in my camera, anyway.\They're back to normal. response:	A little too normal.
context: It's your fault, no matter how you look at it.\Now I'm definitely gonna print more copies!\I'll make a hundred copies and hand them out with tissues in front of the station.\I really will hit you!\Go ahead, if you dare.\The data is still stored in my camera, anyway.\They're back to normal.\A little too normal. response:	This is bad.
context: Now I'm definitely gonna print more copies!\I'll make a hundred copies and hand them out with tissues in front of the station.\I really will hit you!\Go ahead, if you dare.\The data is still stored in my camera, anyway.\They're back to normal.\A little too normal.\This is bad. response:	Otani knows my biggest weakness now.
context: I'll make a hundred copies and hand them out with tissues in front of the station.\I really will hit you!\Go ahead, if you dare.\The data is still stored in my camera, anyway.\They're back to normal.\A little too normal.\This is bad.\Otani knows my biggest weakness now. response:	This is making me mad.
context: I really will hit you!\Go ahead, if you dare.\The data is still stored in my camera, anyway.\They're back to normal.\A little too normal.\This is bad.\Otani knows my biggest weakness now.\This is making me mad. response:	This isn't the time to get mad.
context: Go ahead, if you dare.\The data is still stored in my camera, anyway.\They're back to normal.\A little too normal.\This is bad.\Otani knows my biggest weakness now.\This is making me mad.\This isn't the time to get mad. response:	I thought you were going to make Otani-kun regret rejecting you.
context: The data is still stored in my camera, anyway.\They're back to normal.\A little too normal.\This is bad.\Otani knows my biggest weakness now.\This is making me mad.\This isn't the time to get mad.\I thought you were going to make Otani-kun regret rejecting you. response:	That's easier said than done.
context: They're back to normal.\A little too normal.\This is bad.\Otani knows my biggest weakness now.\This is making me mad.\This isn't the time to get mad.\I thought you were going to make Otani-kun regret rejecting you.\That's easier said than done. response:	Nevertheless, don't make that ugly face!
context: A little too normal.\This is bad.\Otani knows my biggest weakness now.\This is making me mad.\This isn't the time to get mad.\I thought you were going to make Otani-kun regret rejecting you.\That's easier said than done.\Nevertheless, don't make that ugly face! response:	Think. Why did he reject you in the first place?
context: This is bad.\Otani knows my biggest weakness now.\This is making me mad.\This isn't the time to get mad.\I thought you were going to make Otani-kun regret rejecting you.\That's easier said than done.\Nevertheless, don't make that ugly face!\Think. Why did he reject you in the first place? response:	It was because he thinks of you as his comedy partner, right?
context: Otani knows my biggest weakness now.\This is making me mad.\This isn't the time to get mad.\I thought you were going to make Otani-kun regret rejecting you.\That's easier said than done.\Nevertheless, don't make that ugly face!\Think. Why did he reject you in the first place?\It was because he thinks of you as his comedy partner, right? response:	Yeah, something like that.
context: This is making me mad.\This isn't the time to get mad.\I thought you were going to make Otani-kun regret rejecting you.\That's easier said than done.\Nevertheless, don't make that ugly face!\Think. Why did he reject you in the first place?\It was because he thinks of you as his comedy partner, right?\Yeah, something like that. response:	Right!
context: This isn't the time to get mad.\I thought you were going to make Otani-kun regret rejecting you.\That's easier said than done.\Nevertheless, don't make that ugly face!\Think. Why did he reject you in the first place?\It was because he thinks of you as his comedy partner, right?\Yeah, something like that.\Right! response:	You can't just keep doing comedy with him like before.
context: I thought you were going to make Otani-kun regret rejecting you.\That's easier said than done.\Nevertheless, don't make that ugly face!\Think. Why did he reject you in the first place?\It was because he thinks of you as his comedy partner, right?\Yeah, something like that.\Right!\You can't just keep doing comedy with him like before. response:	Use your seductiveness! Seductiveness!
context: That's easier said than done.\Nevertheless, don't make that ugly face!\Think. Why did he reject you in the first place?\It was because he thinks of you as his comedy partner, right?\Yeah, something like that.\Right!\You can't just keep doing comedy with him like before.\Use your seductiveness! Seductiveness! response:	Seductiveness?
context: Nevertheless, don't make that ugly face!\Think. Why did he reject you in the first place?\It was because he thinks of you as his comedy partner, right?\Yeah, something like that.\Right!\You can't just keep doing comedy with him like before.\Use your seductiveness! Seductiveness!\Seductiveness? response:	Exactly, bare your chest completely and move forward!
context: Think. Why did he reject you in the first place?\It was because he thinks of you as his comedy partner, right?\Yeah, something like that.\Right!\You can't just keep doing comedy with him like before.\Use your seductiveness! Seductiveness!\Seductiveness?\Exactly, bare your chest completely and move forward! response:	How can I do that?
context: It was because he thinks of you as his comedy partner, right?\Yeah, something like that.\Right!\You can't just keep doing comedy with him like before.\Use your seductiveness! Seductiveness!\Seductiveness?\Exactly, bare your chest completely and move forward!\How can I do that? response:	Then do a lap of the station area!
context: Yeah, something like that.\Right!\You can't just keep doing comedy with him like before.\Use your seductiveness! Seductiveness!\Seductiveness?\Exactly, bare your chest completely and move forward!\How can I do that?\Then do a lap of the station area! response:	I'll be arrested!
context: Right!\You can't just keep doing comedy with him like before.\Use your seductiveness! Seductiveness!\Seductiveness?\Exactly, bare your chest completely and move forward!\How can I do that?\Then do a lap of the station area!\I'll be arrested! response:	I mean show that kind of attitude!
context: You can't just keep doing comedy with him like before.\Use your seductiveness! Seductiveness!\Seductiveness?\Exactly, bare your chest completely and move forward!\How can I do that?\Then do a lap of the station area!\I'll be arrested!\I mean show that kind of attitude! response:	What?!
context: Use your seductiveness! Seductiveness!\Seductiveness?\Exactly, bare your chest completely and move forward!\How can I do that?\Then do a lap of the station area!\I'll be arrested!\I mean show that kind of attitude!\What?! response:	What the heck is a chest baring attitude?
context: Seductiveness?\Exactly, bare your chest completely and move forward!\How can I do that?\Then do a lap of the station area!\I'll be arrested!\I mean show that kind of attitude!\What?!\What the heck is a chest baring attitude? response:	It's Christmas again.
context: Exactly, bare your chest completely and move forward!\How can I do that?\Then do a lap of the station area!\I'll be arrested!\I mean show that kind of attitude!\What?!\What the heck is a chest baring attitude?\It's Christmas again. response:	A year sure goes by quickly, huh?
context: How can I do that?\Then do a lap of the station area!\I'll be arrested!\I mean show that kind of attitude!\What?!\What the heck is a chest baring attitude?\It's Christmas again.\A year sure goes by quickly, huh? response:	What, are you an old woman?
context: Then do a lap of the station area!\I'll be arrested!\I mean show that kind of attitude!\What?!\What the heck is a chest baring attitude?\It's Christmas again.\A year sure goes by quickly, huh?\What, are you an old woman? response:	Come to think of it...
context: I'll be arrested!\I mean show that kind of attitude!\What?!\What the heck is a chest baring attitude?\It's Christmas again.\A year sure goes by quickly, huh?\What, are you an old woman?\Come to think of it... response:	She sure was cute...
context: I mean show that kind of attitude!\What?!\What the heck is a chest baring attitude?\It's Christmas again.\A year sure goes by quickly, huh?\What, are you an old woman?\Come to think of it...\She sure was cute... response:	Hey Otani...
context: What?!\What the heck is a chest baring attitude?\It's Christmas again.\A year sure goes by quickly, huh?\What, are you an old woman?\Come to think of it...\She sure was cute...\Hey Otani... response:	What was your relationship with Kanzaki-san like?
context: What the heck is a chest baring attitude?\It's Christmas again.\A year sure goes by quickly, huh?\What, are you an old woman?\Come to think of it...\She sure was cute...\Hey Otani...\What was your relationship with Kanzaki-san like? response:	What's with this all of a sudden?!
context: It's Christmas again.\A year sure goes by quickly, huh?\What, are you an old woman?\Come to think of it...\She sure was cute...\Hey Otani...\What was your relationship with Kanzaki-san like?\What's with this all of a sudden?! response:	It would bother anyone in my position.
context: A year sure goes by quickly, huh?\What, are you an old woman?\Come to think of it...\She sure was cute...\Hey Otani...\What was your relationship with Kanzaki-san like?\What's with this all of a sudden?!\It would bother anyone in my position. response:	It was normal. Normal.
context: What, are you an old woman?\Come to think of it...\She sure was cute...\Hey Otani...\What was your relationship with Kanzaki-san like?\What's with this all of a sudden?!\It would bother anyone in my position.\It was normal. Normal. response:	Normal, huh?
context: Come to think of it...\She sure was cute...\Hey Otani...\What was your relationship with Kanzaki-san like?\What's with this all of a sudden?!\It would bother anyone in my position.\It was normal. Normal.\Normal, huh? response:	What?!
context: She sure was cute...\Hey Otani...\What was your relationship with Kanzaki-san like?\What's with this all of a sudden?!\It would bother anyone in my position.\It was normal. Normal.\Normal, huh?\What?! response:	Nothing.
context: Hey Otani...\What was your relationship with Kanzaki-san like?\What's with this all of a sudden?!\It would bother anyone in my position.\It was normal. Normal.\Normal, huh?\What?!\Nothing. response:	Well you guys weren't ever a comedy duo, were you.
context: What was your relationship with Kanzaki-san like?\What's with this all of a sudden?!\It would bother anyone in my position.\It was normal. Normal.\Normal, huh?\What?!\Nothing.\Well you guys weren't ever a comedy duo, were you. response:	The girl Otani went out with...
context: What's with this all of a sudden?!\It would bother anyone in my position.\It was normal. Normal.\Normal, huh?\What?!\Nothing.\Well you guys weren't ever a comedy duo, were you.\The girl Otani went out with... response:	The girl he liked...
context: It would bother anyone in my position.\It was normal. Normal.\Normal, huh?\What?!\Nothing.\Well you guys weren't ever a comedy duo, were you.\The girl Otani went out with...\The girl he liked... response:	I want to become the girl that Otani likes.
context: It was normal. Normal.\Normal, huh?\What?!\Nothing.\Well you guys weren't ever a comedy duo, were you.\The girl Otani went out with...\The girl he liked...\I want to become the girl that Otani likes. response:	How should I do that?
context: Normal, huh?\What?!\Nothing.\Well you guys weren't ever a comedy duo, were you.\The girl Otani went out with...\The girl he liked...\I want to become the girl that Otani likes.\How should I do that? response:	What should I give my darling for Christmas?
context: What?!\Nothing.\Well you guys weren't ever a comedy duo, were you.\The girl Otani went out with...\The girl he liked...\I want to become the girl that Otani likes.\How should I do that?\What should I give my darling for Christmas? response:	Chiharu-chan, what are you going to give Suzuki-kun?
context: Nothing.\Well you guys weren't ever a comedy duo, were you.\The girl Otani went out with...\The girl he liked...\I want to become the girl that Otani likes.\How should I do that?\What should I give my darling for Christmas?\Chiharu-chan, what are you going to give Suzuki-kun? response:	Well, last year I gave him a sweater...
context: Well you guys weren't ever a comedy duo, were you.\The girl Otani went out with...\The girl he liked...\I want to become the girl that Otani likes.\How should I do that?\What should I give my darling for Christmas?\Chiharu-chan, what are you going to give Suzuki-kun?\Well, last year I gave him a sweater... response:	U-Um...
context: The girl Otani went out with...\The girl he liked...\I want to become the girl that Otani likes.\How should I do that?\What should I give my darling for Christmas?\Chiharu-chan, what are you going to give Suzuki-kun?\Well, last year I gave him a sweater...\U-Um... response:	It's fine. Don't mind me.
context: The girl he liked...\I want to become the girl that Otani likes.\How should I do that?\What should I give my darling for Christmas?\Chiharu-chan, what are you going to give Suzuki-kun?\Well, last year I gave him a sweater...\U-Um...\It's fine. Don't mind me. response:	Risa, you don't have any plans for Christmas this year, right?
context: I want to become the girl that Otani likes.\How should I do that?\What should I give my darling for Christmas?\Chiharu-chan, what are you going to give Suzuki-kun?\Well, last year I gave him a sweater...\U-Um...\It's fine. Don't mind me.\Risa, you don't have any plans for Christmas this year, right? response:	So what?
context: How should I do that?\What should I give my darling for Christmas?\Chiharu-chan, what are you going to give Suzuki-kun?\Well, last year I gave him a sweater...\U-Um...\It's fine. Don't mind me.\Risa, you don't have any plans for Christmas this year, right?\So what? response:	Why don't you ask Otani-kun out?
context: What should I give my darling for Christmas?\Chiharu-chan, what are you going to give Suzuki-kun?\Well, last year I gave him a sweater...\U-Um...\It's fine. Don't mind me.\Risa, you don't have any plans for Christmas this year, right?\So what?\Why don't you ask Otani-kun out? response:	Tell him you want to spend Christmas eve together, just the two of you.
context: Chiharu-chan, what are you going to give Suzuki-kun?\Well, last year I gave him a sweater...\U-Um...\It's fine. Don't mind me.\Risa, you don't have any plans for Christmas this year, right?\So what?\Why don't you ask Otani-kun out?\Tell him you want to spend Christmas eve together, just the two of you. response:	Yes, Yes!
context: Well, last year I gave him a sweater...\U-Um...\It's fine. Don't mind me.\Risa, you don't have any plans for Christmas this year, right?\So what?\Why don't you ask Otani-kun out?\Tell him you want to spend Christmas eve together, just the two of you.\Yes, Yes! response:	He rejected me!
context: U-Um...\It's fine. Don't mind me.\Risa, you don't have any plans for Christmas this year, right?\So what?\Why don't you ask Otani-kun out?\Tell him you want to spend Christmas eve together, just the two of you.\Yes, Yes!\He rejected me! response:	There's no way I could say something so embarrassing!
context: It's fine. Don't mind me.\Risa, you don't have any plans for Christmas this year, right?\So what?\Why don't you ask Otani-kun out?\Tell him you want to spend Christmas eve together, just the two of you.\Yes, Yes!\He rejected me!\There's no way I could say something so embarrassing! response:	He already knows you like him, and nothing could be more embarrassing than that, right?
context: Risa, you don't have any plans for Christmas this year, right?\So what?\Why don't you ask Otani-kun out?\Tell him you want to spend Christmas eve together, just the two of you.\Yes, Yes!\He rejected me!\There's no way I could say something so embarrassing!\He already knows you like him, and nothing could be more embarrassing than that, right? response:	I still like you, after all.
context: So what?\Why don't you ask Otani-kun out?\Tell him you want to spend Christmas eve together, just the two of you.\Yes, Yes!\He rejected me!\There's no way I could say something so embarrassing!\He already knows you like him, and nothing could be more embarrassing than that, right?\I still like you, after all. response:	Just keep that in mind.
context: Why don't you ask Otani-kun out?\Tell him you want to spend Christmas eve together, just the two of you.\Yes, Yes!\He rejected me!\There's no way I could say something so embarrassing!\He already knows you like him, and nothing could be more embarrassing than that, right?\I still like you, after all.\Just keep that in mind. response:	I'm remembering pointless things again!
context: Tell him you want to spend Christmas eve together, just the two of you.\Yes, Yes!\He rejected me!\There's no way I could say something so embarrassing!\He already knows you like him, and nothing could be more embarrassing than that, right?\I still like you, after all.\Just keep that in mind.\I'm remembering pointless things again! response:	How embarrassing! I'm so embarrassed I could die!
context: Yes, Yes!\He rejected me!\There's no way I could say something so embarrassing!\He already knows you like him, and nothing could be more embarrassing than that, right?\I still like you, after all.\Just keep that in mind.\I'm remembering pointless things again!\How embarrassing! I'm so embarrassed I could die! response:	I should never have told him!
context: He rejected me!\There's no way I could say something so embarrassing!\He already knows you like him, and nothing could be more embarrassing than that, right?\I still like you, after all.\Just keep that in mind.\I'm remembering pointless things again!\How embarrassing! I'm so embarrassed I could die!\I should never have told him! response:	Huh?
context: There's no way I could say something so embarrassing!\He already knows you like him, and nothing could be more embarrassing than that, right?\I still like you, after all.\Just keep that in mind.\I'm remembering pointless things again!\How embarrassing! I'm so embarrassed I could die!\I should never have told him!\Huh? response:	Leave me alone.
context: He already knows you like him, and nothing could be more embarrassing than that, right?\I still like you, after all.\Just keep that in mind.\I'm remembering pointless things again!\How embarrassing! I'm so embarrassed I could die!\I should never have told him!\Huh?\Leave me alone. response:	You'll be fine, you'll be fine.
context: I still like you, after all.\Just keep that in mind.\I'm remembering pointless things again!\How embarrassing! I'm so embarrassed I could die!\I should never have told him!\Huh?\Leave me alone.\You'll be fine, you'll be fine. response:	Love is naturally embarrassing.
context: Just keep that in mind.\I'm remembering pointless things again!\How embarrassing! I'm so embarrassed I could die!\I should never have told him!\Huh?\Leave me alone.\You'll be fine, you'll be fine.\Love is naturally embarrassing. response:	Everyone loves whilst fighting against embarrassment.
context: I'm remembering pointless things again!\How embarrassing! I'm so embarrassed I could die!\I should never have told him!\Huh?\Leave me alone.\You'll be fine, you'll be fine.\Love is naturally embarrassing.\Everyone loves whilst fighting against embarrassment. response:	How did you get together with Nakao-chi, Nobu-chan?
context: How embarrassing! I'm so embarrassed I could die!\I should never have told him!\Huh?\Leave me alone.\You'll be fine, you'll be fine.\Love is naturally embarrassing.\Everyone loves whilst fighting against embarrassment.\How did you get together with Nakao-chi, Nobu-chan? response:	Me?
context: I should never have told him!\Huh?\Leave me alone.\You'll be fine, you'll be fine.\Love is naturally embarrassing.\Everyone loves whilst fighting against embarrassment.\How did you get together with Nakao-chi, Nobu-chan?\Me? response:	It was a winter's day, when the rain was cold as snow...
context: Huh?\Leave me alone.\You'll be fine, you'll be fine.\Love is naturally embarrassing.\Everyone loves whilst fighting against embarrassment.\How did you get together with Nakao-chi, Nobu-chan?\Me?\It was a winter's day, when the rain was cold as snow... response:	It's a former gang leader, Nakao-kun.
context: Leave me alone.\You'll be fine, you'll be fine.\Love is naturally embarrassing.\Everyone loves whilst fighting against embarrassment.\How did you get together with Nakao-chi, Nobu-chan?\Me?\It was a winter's day, when the rain was cold as snow...\It's a former gang leader, Nakao-kun. response:	I heard he put twenty delinquents from another school in the hospital all by himself.
context: You'll be fine, you'll be fine.\Love is naturally embarrassing.\Everyone loves whilst fighting against embarrassment.\How did you get together with Nakao-chi, Nobu-chan?\Me?\It was a winter's day, when the rain was cold as snow...\It's a former gang leader, Nakao-kun.\I heard he put twenty delinquents from another school in the hospital all by himself. response:	Oh my! How scary!
context: Love is naturally embarrassing.\Everyone loves whilst fighting against embarrassment.\How did you get together with Nakao-chi, Nobu-chan?\Me?\It was a winter's day, when the rain was cold as snow...\It's a former gang leader, Nakao-kun.\I heard he put twenty delinquents from another school in the hospital all by himself.\Oh my! How scary! response:	Stray cat, please take me in
context: Everyone loves whilst fighting against embarrassment.\How did you get together with Nakao-chi, Nobu-chan?\Me?\It was a winter's day, when the rain was cold as snow...\It's a former gang leader, Nakao-kun.\I heard he put twenty delinquents from another school in the hospital all by himself.\Oh my! How scary!\Stray cat, please take me in response:	Sorry. I live in an apartment, so I can't take you in.
context: How did you get together with Nakao-chi, Nobu-chan?\Me?\It was a winter's day, when the rain was cold as snow...\It's a former gang leader, Nakao-kun.\I heard he put twenty delinquents from another school in the hospital all by himself.\Oh my! How scary!\Stray cat, please take me in\Sorry. I live in an apartment, so I can't take you in. response:	You really like milk, huh?
context: Me?\It was a winter's day, when the rain was cold as snow...\It's a former gang leader, Nakao-kun.\I heard he put twenty delinquents from another school in the hospital all by himself.\Oh my! How scary!\Stray cat, please take me in\Sorry. I live in an apartment, so I can't take you in.\You really like milk, huh? response:	And then one day, I was picked on by some delinquents,
context: It was a winter's day, when the rain was cold as snow...\It's a former gang leader, Nakao-kun.\I heard he put twenty delinquents from another school in the hospital all by himself.\Oh my! How scary!\Stray cat, please take me in\Sorry. I live in an apartment, so I can't take you in.\You really like milk, huh?\And then one day, I was picked on by some delinquents, response:	I've heard enough.
context: It's a former gang leader, Nakao-kun.\I heard he put twenty delinquents from another school in the hospital all by himself.\Oh my! How scary!\Stray cat, please take me in\Sorry. I live in an apartment, so I can't take you in.\You really like milk, huh?\And then one day, I was picked on by some delinquents,\I've heard enough. response:	And then I put a love letter in his locker...
context: I heard he put twenty delinquents from another school in the hospital all by himself.\Oh my! How scary!\Stray cat, please take me in\Sorry. I live in an apartment, so I can't take you in.\You really like milk, huh?\And then one day, I was picked on by some delinquents,\I've heard enough.\And then I put a love letter in his locker... response:	I've heard enough!
context: Oh my! How scary!\Stray cat, please take me in\Sorry. I live in an apartment, so I can't take you in.\You really like milk, huh?\And then one day, I was picked on by some delinquents,\I've heard enough.\And then I put a love letter in his locker...\I've heard enough! response:	Just kidding. just kidding.
context: Stray cat, please take me in\Sorry. I live in an apartment, so I can't take you in.\You really like milk, huh?\And then one day, I was picked on by some delinquents,\I've heard enough.\And then I put a love letter in his locker...\I've heard enough!\Just kidding. just kidding. response:	In our last year of middle school, we attended the same cram school and became friends.
context: Sorry. I live in an apartment, so I can't take you in.\You really like milk, huh?\And then one day, I was picked on by some delinquents,\I've heard enough.\And then I put a love letter in his locker...\I've heard enough!\Just kidding. just kidding.\In our last year of middle school, we attended the same cram school and became friends. response:	Cram school?
context: You really like milk, huh?\And then one day, I was picked on by some delinquents,\I've heard enough.\And then I put a love letter in his locker...\I've heard enough!\Just kidding. just kidding.\In our last year of middle school, we attended the same cram school and became friends.\Cram school? response:	I said to him, If only I had a boyfriend like you, Nakao-kun...
context: And then one day, I was picked on by some delinquents,\I've heard enough.\And then I put a love letter in his locker...\I've heard enough!\Just kidding. just kidding.\In our last year of middle school, we attended the same cram school and became friends.\Cram school?\I said to him, If only I had a boyfriend like you, Nakao-kun... response:	And he said, If only I had a girlfriend like you, Nobu-chan...
context: I've heard enough.\And then I put a love letter in his locker...\I've heard enough!\Just kidding. just kidding.\In our last year of middle school, we attended the same cram school and became friends.\Cram school?\I said to him, If only I had a boyfriend like you, Nakao-kun...\And he said, If only I had a girlfriend like you, Nobu-chan... response:	And then it was like, So why don't we go out?
context: And then I put a love letter in his locker...\I've heard enough!\Just kidding. just kidding.\In our last year of middle school, we attended the same cram school and became friends.\Cram school?\I said to him, If only I had a boyfriend like you, Nakao-kun...\And he said, If only I had a girlfriend like you, Nobu-chan...\And then it was like, So why don't we go out? response:	There was no drama involved.
context: I've heard enough!\Just kidding. just kidding.\In our last year of middle school, we attended the same cram school and became friends.\Cram school?\I said to him, If only I had a boyfriend like you, Nakao-kun...\And he said, If only I had a girlfriend like you, Nobu-chan...\And then it was like, So why don't we go out?\There was no drama involved. response:	That's a good thing. I've had enough of drama.
context: Just kidding. just kidding.\In our last year of middle school, we attended the same cram school and became friends.\Cram school?\I said to him, If only I had a boyfriend like you, Nakao-kun...\And he said, If only I had a girlfriend like you, Nobu-chan...\And then it was like, So why don't we go out?\There was no drama involved.\That's a good thing. I've had enough of drama. response:	The person you like likes you back. That's pretty impressive in itself.
context: In our last year of middle school, we attended the same cram school and became friends.\Cram school?\I said to him, If only I had a boyfriend like you, Nakao-kun...\And he said, If only I had a girlfriend like you, Nobu-chan...\And then it was like, So why don't we go out?\There was no drama involved.\That's a good thing. I've had enough of drama.\The person you like likes you back. That's pretty impressive in itself. response:	It's almost a miracle, in fact.
context: Cram school?\I said to him, If only I had a boyfriend like you, Nakao-kun...\And he said, If only I had a girlfriend like you, Nobu-chan...\And then it was like, So why don't we go out?\There was no drama involved.\That's a good thing. I've had enough of drama.\The person you like likes you back. That's pretty impressive in itself.\It's almost a miracle, in fact. response:	Risa...
context: I said to him, If only I had a boyfriend like you, Nakao-kun...\And he said, If only I had a girlfriend like you, Nobu-chan...\And then it was like, So why don't we go out?\There was no drama involved.\That's a good thing. I've had enough of drama.\The person you like likes you back. That's pretty impressive in itself.\It's almost a miracle, in fact.\Risa... response:	Risa-chan...
