context: I want to go back to that time again. response:	I want to be small again. Minami-kun...
context: Minami-kun, what are you doing?!\Well, it won't be good to keep this pot as it is. So I got this.\Ivy?\I suppose if the ivy covers the pot, I would feel comfortable for sure.\Ah, don't dig it up too much. That spot is...\Hmm?\Hm? No. Nothing.\How is it? Why don't you use it? response:	Eh? Well, if you say it like that... (I don't feel comfortable)
context: Well, it won't be good to keep this pot as it is. So I got this.\Ivy?\I suppose if the ivy covers the pot, I would feel comfortable for sure.\Ah, don't dig it up too much. That spot is...\Hmm?\Hm? No. Nothing.\How is it? Why don't you use it?\Eh? Well, if you say it like that... (I don't feel comfortable) response:	Alright.
context: Ivy?\I suppose if the ivy covers the pot, I would feel comfortable for sure.\Ah, don't dig it up too much. That spot is...\Hmm?\Hm? No. Nothing.\How is it? Why don't you use it?\Eh? Well, if you say it like that... (I don't feel comfortable)\Alright. response:	Ah, that's my dad's cake.
context: I suppose if the ivy covers the pot, I would feel comfortable for sure.\Ah, don't dig it up too much. That spot is...\Hmm?\Hm? No. Nothing.\How is it? Why don't you use it?\Eh? Well, if you say it like that... (I don't feel comfortable)\Alright.\Ah, that's my dad's cake. response:	Yup, your dad's cake is delicious.
context: Ah, don't dig it up too much. That spot is...\Hmm?\Hm? No. Nothing.\How is it? Why don't you use it?\Eh? Well, if you say it like that... (I don't feel comfortable)\Alright.\Ah, that's my dad's cake.\Yup, your dad's cake is delicious. response:	It is delicious, isn't it?
context: Hmm?\Hm? No. Nothing.\How is it? Why don't you use it?\Eh? Well, if you say it like that... (I don't feel comfortable)\Alright.\Ah, that's my dad's cake.\Yup, your dad's cake is delicious.\It is delicious, isn't it? response:	Do you want to eat it?
context: Hm? No. Nothing.\How is it? Why don't you use it?\Eh? Well, if you say it like that... (I don't feel comfortable)\Alright.\Ah, that's my dad's cake.\Yup, your dad's cake is delicious.\It is delicious, isn't it?\Do you want to eat it? response:	Yeah, I would like to eat it...
context: How is it? Why don't you use it?\Eh? Well, if you say it like that... (I don't feel comfortable)\Alright.\Ah, that's my dad's cake.\Yup, your dad's cake is delicious.\It is delicious, isn't it?\Do you want to eat it?\Yeah, I would like to eat it... response:	Can't be helped. I'll share it with you.
context: Eh? Well, if you say it like that... (I don't feel comfortable)\Alright.\Ah, that's my dad's cake.\Yup, your dad's cake is delicious.\It is delicious, isn't it?\Do you want to eat it?\Yeah, I would like to eat it...\Can't be helped. I'll share it with you. response:	Hey, Shunichi. Would you change the light bulb?
context: Alright.\Ah, that's my dad's cake.\Yup, your dad's cake is delicious.\It is delicious, isn't it?\Do you want to eat it?\Yeah, I would like to eat it...\Can't be helped. I'll share it with you.\Hey, Shunichi. Would you change the light bulb? response:	I'm coming now!
context: Ah, that's my dad's cake.\Yup, your dad's cake is delicious.\It is delicious, isn't it?\Do you want to eat it?\Yeah, I would like to eat it...\Can't be helped. I'll share it with you.\Hey, Shunichi. Would you change the light bulb?\I'm coming now! response:	Bye.
context: Yup, your dad's cake is delicious.\It is delicious, isn't it?\Do you want to eat it?\Yeah, I would like to eat it...\Can't be helped. I'll share it with you.\Hey, Shunichi. Would you change the light bulb?\I'm coming now!\Bye. response:	I guess this one is better.
context: It is delicious, isn't it?\Do you want to eat it?\Yeah, I would like to eat it...\Can't be helped. I'll share it with you.\Hey, Shunichi. Would you change the light bulb?\I'm coming now!\Bye.\I guess this one is better. response:	There are still some things I can't get used to. Because I am a girl afterall.
context: Do you want to eat it?\Yeah, I would like to eat it...\Can't be helped. I'll share it with you.\Hey, Shunichi. Would you change the light bulb?\I'm coming now!\Bye.\I guess this one is better.\There are still some things I can't get used to. Because I am a girl afterall. response:	N I am not good at talking in similitudes N N So I can't do a good job telling a tale N
context: Yeah, I would like to eat it...\Can't be helped. I'll share it with you.\Hey, Shunichi. Would you change the light bulb?\I'm coming now!\Bye.\I guess this one is better.\There are still some things I can't get used to. Because I am a girl afterall.\N I am not good at talking in similitudes N N So I can't do a good job telling a tale N response:	N But, I will tell you an amazing story of you and I N
context: Can't be helped. I'll share it with you.\Hey, Shunichi. Would you change the light bulb?\I'm coming now!\Bye.\I guess this one is better.\There are still some things I can't get used to. Because I am a girl afterall.\N I am not good at talking in similitudes N N So I can't do a good job telling a tale N\N But, I will tell you an amazing story of you and I N response:	N It is not a small story that will fit in a pocket N
context: Hey, Shunichi. Would you change the light bulb?\I'm coming now!\Bye.\I guess this one is better.\There are still some things I can't get used to. Because I am a girl afterall.\N I am not good at talking in similitudes N N So I can't do a good job telling a tale N\N But, I will tell you an amazing story of you and I N\N It is not a small story that will fit in a pocket N response:	N God played a trick N N And a dramatic time began N
context: I'm coming now!\Bye.\I guess this one is better.\There are still some things I can't get used to. Because I am a girl afterall.\N I am not good at talking in similitudes N N So I can't do a good job telling a tale N\N But, I will tell you an amazing story of you and I N\N It is not a small story that will fit in a pocket N\N God played a trick N N And a dramatic time began N response:	N The shape of happiness you and I imagined N
context: Bye.\I guess this one is better.\There are still some things I can't get used to. Because I am a girl afterall.\N I am not good at talking in similitudes N N So I can't do a good job telling a tale N\N But, I will tell you an amazing story of you and I N\N It is not a small story that will fit in a pocket N\N God played a trick N N And a dramatic time began N\N The shape of happiness you and I imagined N response:	N doesn't have a name N N But if it is a world I create with you, it's okay N
context: I guess this one is better.\There are still some things I can't get used to. Because I am a girl afterall.\N I am not good at talking in similitudes N N So I can't do a good job telling a tale N\N But, I will tell you an amazing story of you and I N\N It is not a small story that will fit in a pocket N\N God played a trick N N And a dramatic time began N\N The shape of happiness you and I imagined N\N doesn't have a name N N But if it is a world I create with you, it's okay N response:	N I will write words that won't be erased like a magic N N and turn the page N
context: There are still some things I can't get used to. Because I am a girl afterall.\N I am not good at talking in similitudes N N So I can't do a good job telling a tale N\N But, I will tell you an amazing story of you and I N\N It is not a small story that will fit in a pocket N\N God played a trick N N And a dramatic time began N\N The shape of happiness you and I imagined N\N doesn't have a name N N But if it is a world I create with you, it's okay N\N I will write words that won't be erased like a magic N N and turn the page N response:	N It is like a sequel to a fairy tale N N We can smile forever N
context: N I am not good at talking in similitudes N N So I can't do a good job telling a tale N\N But, I will tell you an amazing story of you and I N\N It is not a small story that will fit in a pocket N\N God played a trick N N And a dramatic time began N\N The shape of happiness you and I imagined N\N doesn't have a name N N But if it is a world I create with you, it's okay N\N I will write words that won't be erased like a magic N N and turn the page N\N It is like a sequel to a fairy tale N N We can smile forever N response:	N Let's imagine a story with a happy ending N
context: N But, I will tell you an amazing story of you and I N\N It is not a small story that will fit in a pocket N\N God played a trick N N And a dramatic time began N\N The shape of happiness you and I imagined N\N doesn't have a name N N But if it is a world I create with you, it's okay N\N I will write words that won't be erased like a magic N N and turn the page N\N It is like a sequel to a fairy tale N N We can smile forever N\N Let's imagine a story with a happy ending N response:	Please treat me well.
context: N It is not a small story that will fit in a pocket N\N God played a trick N N And a dramatic time began N\N The shape of happiness you and I imagined N\N doesn't have a name N N But if it is a world I create with you, it's okay N\N I will write words that won't be erased like a magic N N and turn the page N\N It is like a sequel to a fairy tale N N We can smile forever N\N Let's imagine a story with a happy ending N\Please treat me well. response:	Ok.
context: N God played a trick N N And a dramatic time began N\N The shape of happiness you and I imagined N\N doesn't have a name N N But if it is a world I create with you, it's okay N\N I will write words that won't be erased like a magic N N and turn the page N\N It is like a sequel to a fairy tale N N We can smile forever N\N Let's imagine a story with a happy ending N\Please treat me well.\Ok. response:	Ok...
context: N The shape of happiness you and I imagined N\N doesn't have a name N N But if it is a world I create with you, it's okay N\N I will write words that won't be erased like a magic N N and turn the page N\N It is like a sequel to a fairy tale N N We can smile forever N\N Let's imagine a story with a happy ending N\Please treat me well.\Ok.\Ok... response:	Hurry up, hurry up, hurry up.
context: N doesn't have a name N N But if it is a world I create with you, it's okay N\N I will write words that won't be erased like a magic N N and turn the page N\N It is like a sequel to a fairy tale N N We can smile forever N\N Let's imagine a story with a happy ending N\Please treat me well.\Ok.\Ok...\Hurry up, hurry up, hurry up. response:	Ouch.
context: N I will write words that won't be erased like a magic N N and turn the page N\N It is like a sequel to a fairy tale N N We can smile forever N\N Let's imagine a story with a happy ending N\Please treat me well.\Ok.\Ok...\Hurry up, hurry up, hurry up.\Ouch. response:	Are you OK?
context: N It is like a sequel to a fairy tale N N We can smile forever N\N Let's imagine a story with a happy ending N\Please treat me well.\Ok.\Ok...\Hurry up, hurry up, hurry up.\Ouch.\Are you OK? response:	Yeah.
context: N Let's imagine a story with a happy ending N\Please treat me well.\Ok.\Ok...\Hurry up, hurry up, hurry up.\Ouch.\Are you OK?\Yeah. response:	Be careful!
context: Please treat me well.\Ok.\Ok...\Hurry up, hurry up, hurry up.\Ouch.\Are you OK?\Yeah.\Be careful! response:	No... Hmm?
context: Ok.\Ok...\Hurry up, hurry up, hurry up.\Ouch.\Are you OK?\Yeah.\Be careful!\No... Hmm? response:	Where is it?
context: Ok...\Hurry up, hurry up, hurry up.\Ouch.\Are you OK?\Yeah.\Be careful!\No... Hmm?\Where is it? response:	Geez...
context: Hurry up, hurry up, hurry up.\Ouch.\Are you OK?\Yeah.\Be careful!\No... Hmm?\Where is it?\Geez... response:	Did you wear it?
context: Ouch.\Are you OK?\Yeah.\Be careful!\No... Hmm?\Where is it?\Geez...\Did you wear it? response:	I can't. I can't get my head through.
context: Are you OK?\Yeah.\Be careful!\No... Hmm?\Where is it?\Geez...\Did you wear it?\I can't. I can't get my head through. response:	I guess it didn't work after all.
context: Yeah.\Be careful!\No... Hmm?\Where is it?\Geez...\Did you wear it?\I can't. I can't get my head through.\I guess it didn't work after all. response:	Then, why don't you make Takagi do it?
context: Be careful!\No... Hmm?\Where is it?\Geez...\Did you wear it?\I can't. I can't get my head through.\I guess it didn't work after all.\Then, why don't you make Takagi do it? response:	He will be thrilled to make anything for you.
context: No... Hmm?\Where is it?\Geez...\Did you wear it?\I can't. I can't get my head through.\I guess it didn't work after all.\Then, why don't you make Takagi do it?\He will be thrilled to make anything for you. response:	Huh?
context: Where is it?\Geez...\Did you wear it?\I can't. I can't get my head through.\I guess it didn't work after all.\Then, why don't you make Takagi do it?\He will be thrilled to make anything for you.\Huh? response:	He made a figurine that looked like you, and puts it in his pocket at school.
context: Geez...\Did you wear it?\I can't. I can't get my head through.\I guess it didn't work after all.\Then, why don't you make Takagi do it?\He will be thrilled to make anything for you.\Huh?\He made a figurine that looked like you, and puts it in his pocket at school. response:	It's not manly. So gross.
context: Did you wear it?\I can't. I can't get my head through.\I guess it didn't work after all.\Then, why don't you make Takagi do it?\He will be thrilled to make anything for you.\Huh?\He made a figurine that looked like you, and puts it in his pocket at school.\It's not manly. So gross. response:	Don't badmouth Riku.
context: I can't. I can't get my head through.\I guess it didn't work after all.\Then, why don't you make Takagi do it?\He will be thrilled to make anything for you.\Huh?\He made a figurine that looked like you, and puts it in his pocket at school.\It's not manly. So gross.\Don't badmouth Riku. response:	I didn't badmouth.
context: I guess it didn't work after all.\Then, why don't you make Takagi do it?\He will be thrilled to make anything for you.\Huh?\He made a figurine that looked like you, and puts it in his pocket at school.\It's not manly. So gross.\Don't badmouth Riku.\I didn't badmouth. response:	Tomorrow, we can go buy your clothes after school.
context: Then, why don't you make Takagi do it?\He will be thrilled to make anything for you.\Huh?\He made a figurine that looked like you, and puts it in his pocket at school.\It's not manly. So gross.\Don't badmouth Riku.\I didn't badmouth.\Tomorrow, we can go buy your clothes after school. response:	No, that's okay.
context: He will be thrilled to make anything for you.\Huh?\He made a figurine that looked like you, and puts it in his pocket at school.\It's not manly. So gross.\Don't badmouth Riku.\I didn't badmouth.\Tomorrow, we can go buy your clothes after school.\No, that's okay. response:	But, you want a change of clothes, don't you?
context: Huh?\He made a figurine that looked like you, and puts it in his pocket at school.\It's not manly. So gross.\Don't badmouth Riku.\I didn't badmouth.\Tomorrow, we can go buy your clothes after school.\No, that's okay.\But, you want a change of clothes, don't you? response:	Tomorrow, I will go to my house again.
context: He made a figurine that looked like you, and puts it in his pocket at school.\It's not manly. So gross.\Don't badmouth Riku.\I didn't badmouth.\Tomorrow, we can go buy your clothes after school.\No, that's okay.\But, you want a change of clothes, don't you?\Tomorrow, I will go to my house again. response:	What?
context: It's not manly. So gross.\Don't badmouth Riku.\I didn't badmouth.\Tomorrow, we can go buy your clothes after school.\No, that's okay.\But, you want a change of clothes, don't you?\Tomorrow, I will go to my house again.\What? response:	In my room, there are some doll clothes.
context: Don't badmouth Riku.\I didn't badmouth.\Tomorrow, we can go buy your clothes after school.\No, that's okay.\But, you want a change of clothes, don't you?\Tomorrow, I will go to my house again.\What?\In my room, there are some doll clothes. response:	That'll be impossible.
context: I didn't badmouth.\Tomorrow, we can go buy your clothes after school.\No, that's okay.\But, you want a change of clothes, don't you?\Tomorrow, I will go to my house again.\What?\In my room, there are some doll clothes.\That'll be impossible. response:	Last time, I had to come up with such a lame excuse as the yearbook.
context: Tomorrow, we can go buy your clothes after school.\No, that's okay.\But, you want a change of clothes, don't you?\Tomorrow, I will go to my house again.\What?\In my room, there are some doll clothes.\That'll be impossible.\Last time, I had to come up with such a lame excuse as the yearbook. response:	I am out of ideas.
context: No, that's okay.\But, you want a change of clothes, don't you?\Tomorrow, I will go to my house again.\What?\In my room, there are some doll clothes.\That'll be impossible.\Last time, I had to come up with such a lame excuse as the yearbook.\I am out of ideas. response:	No... I will go alone.
context: But, you want a change of clothes, don't you?\Tomorrow, I will go to my house again.\What?\In my room, there are some doll clothes.\That'll be impossible.\Last time, I had to come up with such a lame excuse as the yearbook.\I am out of ideas.\No... I will go alone. response:	What? Alone?
context: Tomorrow, I will go to my house again.\What?\In my room, there are some doll clothes.\That'll be impossible.\Last time, I had to come up with such a lame excuse as the yearbook.\I am out of ideas.\No... I will go alone.\What? Alone? response:	Yup. While you are at school, I will go there a little bit.
context: What?\In my room, there are some doll clothes.\That'll be impossible.\Last time, I had to come up with such a lame excuse as the yearbook.\I am out of ideas.\No... I will go alone.\What? Alone?\Yup. While you are at school, I will go there a little bit. response:	A little bit? Come on.
context: In my room, there are some doll clothes.\That'll be impossible.\Last time, I had to come up with such a lame excuse as the yearbook.\I am out of ideas.\No... I will go alone.\What? Alone?\Yup. While you are at school, I will go there a little bit.\A little bit? Come on. response:	You couldn't do that when I accompanied you. You won't be able to do it all by yourself.
context: That'll be impossible.\Last time, I had to come up with such a lame excuse as the yearbook.\I am out of ideas.\No... I will go alone.\What? Alone?\Yup. While you are at school, I will go there a little bit.\A little bit? Come on.\You couldn't do that when I accompanied you. You won't be able to do it all by yourself. response:	That's rude.
context: Last time, I had to come up with such a lame excuse as the yearbook.\I am out of ideas.\No... I will go alone.\What? Alone?\Yup. While you are at school, I will go there a little bit.\A little bit? Come on.\You couldn't do that when I accompanied you. You won't be able to do it all by yourself.\That's rude. response:	Last time, I could have gotten them all by myself without you.
context: I am out of ideas.\No... I will go alone.\What? Alone?\Yup. While you are at school, I will go there a little bit.\A little bit? Come on.\You couldn't do that when I accompanied you. You won't be able to do it all by yourself.\That's rude.\Last time, I could have gotten them all by myself without you. response:	I don't care anymore. Why don't you go by yourself?
context: No... I will go alone.\What? Alone?\Yup. While you are at school, I will go there a little bit.\A little bit? Come on.\You couldn't do that when I accompanied you. You won't be able to do it all by yourself.\That's rude.\Last time, I could have gotten them all by myself without you.\I don't care anymore. Why don't you go by yourself? response:	I don't care anymore.
context: What? Alone?\Yup. While you are at school, I will go there a little bit.\A little bit? Come on.\You couldn't do that when I accompanied you. You won't be able to do it all by yourself.\That's rude.\Last time, I could have gotten them all by myself without you.\I don't care anymore. Why don't you go by yourself?\I don't care anymore. response:	Alright! I will get those cute clothes safely.
context: Yup. While you are at school, I will go there a little bit.\A little bit? Come on.\You couldn't do that when I accompanied you. You won't be able to do it all by yourself.\That's rude.\Last time, I could have gotten them all by myself without you.\I don't care anymore. Why don't you go by yourself?\I don't care anymore.\Alright! I will get those cute clothes safely. response:	Ah, however,
context: A little bit? Come on.\You couldn't do that when I accompanied you. You won't be able to do it all by yourself.\That's rude.\Last time, I could have gotten them all by myself without you.\I don't care anymore. Why don't you go by yourself?\I don't care anymore.\Alright! I will get those cute clothes safely.\Ah, however, response:	if, by chance, I don't make it, please go buy clothes with me again.
context: You couldn't do that when I accompanied you. You won't be able to do it all by yourself.\That's rude.\Last time, I could have gotten them all by myself without you.\I don't care anymore. Why don't you go by yourself?\I don't care anymore.\Alright! I will get those cute clothes safely.\Ah, however,\if, by chance, I don't make it, please go buy clothes with me again. response:	Alright!
context: That's rude.\Last time, I could have gotten them all by myself without you.\I don't care anymore. Why don't you go by yourself?\I don't care anymore.\Alright! I will get those cute clothes safely.\Ah, however,\if, by chance, I don't make it, please go buy clothes with me again.\Alright! response:	You got a mail? From Horikiri-shi?
context: Last time, I could have gotten them all by myself without you.\I don't care anymore. Why don't you go by yourself?\I don't care anymore.\Alright! I will get those cute clothes safely.\Ah, however,\if, by chance, I don't make it, please go buy clothes with me again.\Alright!\You got a mail? From Horikiri-shi? response:	Yeah, I got it. I got a movie too.
context: I don't care anymore. Why don't you go by yourself?\I don't care anymore.\Alright! I will get those cute clothes safely.\Ah, however,\if, by chance, I don't make it, please go buy clothes with me again.\Alright!\You got a mail? From Horikiri-shi?\Yeah, I got it. I got a movie too. response:	Amippe, I am sorry I left so suddenly.
context: I don't care anymore.\Alright! I will get those cute clothes safely.\Ah, however,\if, by chance, I don't make it, please go buy clothes with me again.\Alright!\You got a mail? From Horikiri-shi?\Yeah, I got it. I got a movie too.\Amippe, I am sorry I left so suddenly. response:	How are you doing? I'm doing fine.
context: Alright! I will get those cute clothes safely.\Ah, however,\if, by chance, I don't make it, please go buy clothes with me again.\Alright!\You got a mail? From Horikiri-shi?\Yeah, I got it. I got a movie too.\Amippe, I am sorry I left so suddenly.\How are you doing? I'm doing fine. response:	The Solo's Workshop is quite hard, but I've been doing my best.
context: Ah, however,\if, by chance, I don't make it, please go buy clothes with me again.\Alright!\You got a mail? From Horikiri-shi?\Yeah, I got it. I got a movie too.\Amippe, I am sorry I left so suddenly.\How are you doing? I'm doing fine.\The Solo's Workshop is quite hard, but I've been doing my best. response:	I came up with some dance movements, so I am sending a movie to show them to you.
context: if, by chance, I don't make it, please go buy clothes with me again.\Alright!\You got a mail? From Horikiri-shi?\Yeah, I got it. I got a movie too.\Amippe, I am sorry I left so suddenly.\How are you doing? I'm doing fine.\The Solo's Workshop is quite hard, but I've been doing my best.\I came up with some dance movements, so I am sending a movie to show them to you. response:	Here we go. Five, six, seven, eight.
context: Alright!\You got a mail? From Horikiri-shi?\Yeah, I got it. I got a movie too.\Amippe, I am sorry I left so suddenly.\How are you doing? I'm doing fine.\The Solo's Workshop is quite hard, but I've been doing my best.\I came up with some dance movements, so I am sending a movie to show them to you.\Here we go. Five, six, seven, eight. response:	No matter how early in the morning it is,
context: You got a mail? From Horikiri-shi?\Yeah, I got it. I got a movie too.\Amippe, I am sorry I left so suddenly.\How are you doing? I'm doing fine.\The Solo's Workshop is quite hard, but I've been doing my best.\I came up with some dance movements, so I am sending a movie to show them to you.\Here we go. Five, six, seven, eight.\No matter how early in the morning it is, response:	Up, down, up, down. And pose. Seven of us will do this.
